econ_compare_comparison_year,econ_compare_region_grouping_scheme,econ_compare_region_a_code,econ_compare_region_b_code,econ_compare_metric_name,econ_compare_metric_value_region_a,econ_compare_metric_value_region_b,econ_compare_absolute_difference,econ_compare_percent_difference,econ_compare_rank_region_a,econ_compare_rank_region_b,econ_compare_percentile_region_a,econ_compare_percentile_region_b,econ_compare_inequality_gini_estimate,econ_compare_cost_of_living_index,econ_compare_housing_affordability_index,econ_compare_tax_burden_index,econ_compare_job_growth_rate_pct,econ_compare_population_growth_rate_pct,econ_compare_composite_score
2002,CENSUS_DIVISION,RA00038,RB00038,MEDIAN_WAGE,23.888,93.64,-69.752,-74.49,328,104,33.13,40.45,0.5694,148.95,84.06,80.13,10.008,-1.879,52.34
2004,REGION,RA00039,RB00039,MEDIAN_WAGE,21.659,109.934,-88.275,-80.298,380,22,31.36,64.1,0.466,154.64,149.79,86.76,3.625,-2.389,58.1
2001,METRO,RA00040,RB00040,COST_OF_LIVING,218.614,143.515,75.099,52.328,392,384,69.7,58.04,0.5759,85.3,136.75,81.3,-0.784,-0.192,79.84
2005,METRO,RA00041,RB00041,MEDIAN_WAGE,71.761,154.256,-82.495,-53.479,130,331,78.35,86.36,0.4368,126.64,128.2,77.17,-0.422,-0.435,79.13
2003,STATE,RA00042,RB00042,COST_OF_LIVING,11.37,28.002,-16.632,-59.396,280,308,26.89,2.41,0.4771,105.84,94.9,121.83,5.66,-0.356,69.48
2014,REGION,RA00043,RB00043,PRODUCTIVITY,246.325,68.901,177.424,257.506,374,203,24.05,17.25,0.3294,101.63,131.59,75.37,6.105,0.402,54.44
2008,CENSUS_DIVISION,RA00044,RB00044,INCOME_GROWTH,29.868,54.382,-24.514,-45.077,202,82,30.01,5.43,0.3189,96.18,102.51,123.72,0.524,-2.899,73.29
2025,METRO,RA00045,RB00045,INCOME_GROWTH,158.55,61.659,96.891,157.14,85,125,7.68,85.85,0.4009,125.8,105.47,74.07,-2.853,1.699,54.77
2018,REGION,RA00046,RB00046,INCOME_GROWTH,91.031,130.693,-39.662,-30.347,278,49,51.42,15.18,0.5753,150.37,101.76,138.88,8.702,-0.12,75.91
2024,REGION,RA00047,RB00047,INCOME_GROWTH,208.069,86.084,121.985,141.705,260,346,67.46,17.37,0.4951,116.45,142.91,80.1,-2.597,4.132,46.64
2025,STATE,RA00048,RB00048,UNEMP_RATE,143.717,171.143,-27.426,-16.025,129,35,52.27,23.9,0.3532,123.82,123.66,111.02,-2.767,0.997,86.75
2012,STATE,RA00049,RB00049,MEDIAN_WAGE,160.372,123.443,36.929,29.916,130,206,64.1,12.4,0.3319,88.11,148.69,97.88,1.984,-3.394,74.67
2018,REGION,RA00050,RB00050,INCOME_GROWTH,242.439,217.63,24.809,11.4,154,304,55.52,60.99,0.2958,107.77,82.03,99.92,-6.277,-0.373,85.29
2003,REGION,RA00051,RB00051,INCOME_GROWTH,179.345,116.394,62.951,54.084,89,119,86.92,82.05,0.2981,154.62,72.97,126.27,5.161,1.61,67.69
2019,CENSUS_DIVISION,RA00052,RB00052,EXPORT_INTENSITY,120.756,234.181,-113.425,-48.435,87,1,63.13,34.53,0.4484,127.38,80.56,92.76,1.928,1.736,74.08
2017,CENSUS_DIVISION,RA00053,RB00053,UNEMP_RATE,246.173,129.829,116.344,89.613,164,128,59.49,43.67,0.5935,104.86,157.94,132.7,6.33,-2.429,50.64
2000,STATE,RA00054,RB00054,EXPORT_INTENSITY,136.736,123.488,13.248,10.728,78,206,95.73,13.68,0.5535,118.71,80.31,98.41,6.536,-2.374,78.13
2014,METRO,RA00055,RB00055,JOB_GROWTH,52.544,201.53,-148.986,-73.927,342,393,5.3,74.73,0.5108,88.32,129.68,124.98,-2.134,0.144,70.42
2002,METRO,RA00056,RB00056,MEDIAN_WAGE,21.077,184.985,-163.908,-88.606,206,353,4.2,96.59,0.4573,82.79,102.3,126.66,8.22,0.931,53.4
2013,STATE,RA00057,RB00057,MEDIAN_WAGE,127.696,48.506,79.19,163.258,305,55,92.73,35.13,0.316,96.23,147.54,110.7,-5.569,-2.292,48.62
2002,REGION,RA00058,RB00058,UNEMP_RATE,81.776,211.806,-130.03,-61.391,85,53,49.28,36.48,0.4124,84.06,117.01,97.4,7.374,0.042,67.31
2012,CENSUS_DIVISION,RA00059,RB00059,INCOME_GROWTH,168.032,59.129,108.903,184.179,370,345,55.58,91.03,0.28,112.57,99.94,125.54,6.009,2.44,47.45
2003,REGION,RA00060,RB00060,COST_OF_LIVING,99.1,179.437,-80.337,-44.772,210,262,54.72,11.01,0.3779,92.86,127.92,125.13,-5.189,1.412,71.6
2003,CENSUS_DIVISION,RA00061,RB00061,PRODUCTIVITY,24.554,249.149,-224.595,-90.145,191,164,43.31,2.1,0.3986,118.46,94.63,135.45,-5.41,-1.065,56.61
2017,STATE,RA00062,RB00062,EXPORT_INTENSITY,149.429,193.959,-44.53,-22.958,10,105,79.02,45.85,0.4905,117.57,89.04,70.65,0.295,2.413,83.08
2008,STATE,RA00063,RB00063,EXPORT_INTENSITY,121.584,75.439,46.145,61.169,263,364,96.16,95.26,0.3074,90.38,146.48,74.45,0.876,5.201,59.07
2022,CENSUS_DIVISION,RA00064,RB00064,MEDIAN_WAGE,249.775,150.479,99.296,65.987,363,309,54.35,81.88,0.3246,137.23,61.77,95.69,-2.977,3.149,61.42
2025,METRO,RA00065,RB00065,EXPORT_INTENSITY,238.349,111.608,126.741,113.559,334,102,38.3,89.63,0.4403,77.44,62.54,138.91,10.716,2.881,38.84
2015,STATE,RA00066,RB00066,MEDIAN_WAGE,226.58,48.68,177.9,365.448,134,157,23.69,55.91,0.4589,92.39,106.6,72.35,6.39,4.788,38.66
2003,METRO,RA00067,RB00067,INCOME_GROWTH,132.019,86.694,45.325,52.282,339,183,85.07,69.14,0.3281,137.73,155.98,73.11,-2.967,5.437,58.22
2019,CENSUS_DIVISION,RA00068,RB00068,PRODUCTIVITY,21.566,16.599,4.967,29.923,202,67,11.62,41.62,0.4284,128.77,142.08,125.67,-7.935,-0.693,75.2
2005,STATE,RA00069,RB00069,MEDIAN_WAGE,142.681,84.748,57.933,68.359,200,217,54.16,2.48,0.3929,133.51,61.78,131.65,8.44,-1.076,59.65
2007,REGION,RA00070,RB00070,PRODUCTIVITY,163.52,229.717,-66.197,-28.817,19,319,32.78,9.08,0.323,80.12,113.14,122.3,-7.929,-1.835,71.6
2020,STATE,RA00071,RB00071,COST_OF_LIVING,93.639,208.181,-114.542,-55.02,383,246,23.2,3.12,0.3158,119.9,110.56,105.47,-7.389,5.752,49.53
2021,REGION,RA00072,RB00072,JOB_GROWTH,159.893,165.694,-5.801,-3.501,335,319,57.58,0.64,0.372,108.56,148.26,121.74,0.841,2.914,87.31
2001,METRO,RA00073,RB00073,JOB_GROWTH,201.649,88.32,113.329,128.316,314,371,47.82,93.03,0.6034,91.79,144.56,84.37,7.251,-2.586,45.07
2010,REGION,RA00074,RB00074,COST_OF_LIVING,16.963,66.548,-49.585,-74.51,110,260,65.28,47.21,0.339,133.07,72.07,102.46,-5.754,3.146,54.28
2019,STATE,RA00075,RB00075,PRODUCTIVITY,169.808,202.522,-32.714,-16.153,323,116,55.83,65.97,0.373,145.95,137.55,83.84,-0.363,4.498,78.06
2000,METRO,RA00076,RB00076,COST_OF_LIVING,149.025,184.421,-35.396,-19.193,361,285,72.12,2.33,0.4371,115.19,120.26,119.96,-4.205,-3.106,76.1
2007,CENSUS_DIVISION,RA00077,RB00077,JOB_GROWTH,65.604,234.279,-168.675,-71.997,136,204,26.91,78.42,0.4139,147.47,106.46,102.17,1.927,-1.161,67.85
2007,REGION,RA00078,RB00078,COST_OF_LIVING,171.138,224.679,-53.541,-23.83,367,303,11.14,24.79,0.2989,113.63,75.14,138.37,7.936,5.708,59.78
2010,CENSUS_DIVISION,RA00079,RB00079,GDP_PER_CAPITA,65.571,217.627,-152.056,-69.87,223,9,35.31,81.67,0.3592,88.27,120.21,72.7,6.791,-1.809,59.03
2021,METRO,RA00080,RB00080,COST_OF_LIVING,110.131,141.73,-31.599,-22.295,142,212,16.44,67.79,0.541,79.95,101.06,111.45,-5.68,1.137,79.7
2023,STATE,RA00081,RB00081,PRODUCTIVITY,221.596,186.071,35.525,19.092,344,227,23.91,82.75,0.4968,143.39,129.99,82.64,-7.317,5.574,62.83
2018,REGION,RA00082,RB00082,PRODUCTIVITY,67.083,57.345,9.738,16.981,270,68,84.98,90.28,0.2545,76.05,149.03,81.8,4.11,3.8,74.59
2009,CENSUS_DIVISION,RA00083,RB00083,UNEMP_RATE,199.364,188.705,10.659,5.648,392,249,48.2,3.28,0.5688,125.92,142.45,116.04,-0.598,-3.191,85.96
2012,CENSUS_DIVISION,RA00084,RB00084,JOB_GROWTH,79.296,248.223,-168.927,-68.055,120,87,3.71,52.58,0.337,135.86,157.26,137.54,4.67,-0.01,69.14
2022,REGION,RA00085,RB00085,GDP_PER_CAPITA,125.845,63.786,62.059,97.293,90,101,67.58,1.04,0.5396,129.58,66.63,79.89,0.423,0.446,63.75
2002,STATE,RA00086,RB00086,INCOME_GROWTH,167.305,99.629,67.676,67.928,353,124,88.33,38.23,0.3118,151.31,152.28,112.71,-2.745,-2.421,63.63
2021,REGION,RA00087,RB00087,EXPORT_INTENSITY,142.759,160.963,-18.204,-11.309,20,383,34.16,65.65,0.5835,91.39,115.67,112.02,2.334,5.57,73.05
2005,STATE,RA00088,RB00088,INCOME_GROWTH,173.564,76.028,97.536,128.29,201,202,2.76,34.19,0.4693,112.47,145.15,86.56,-3.178,-2.159,52.68
2014,REGION,RA00089,RB00089,COST_OF_LIVING,183.683,42.803,140.88,329.136,150,154,42.34,31.78,0.3802,142.14,148.89,111.17,-1.967,1.132,58.09
2025,METRO,RA00090,RB00090,PRODUCTIVITY,136.164,65.2,70.964,108.84,346,220,1.17,41.22,0.3389,120.91,63.93,111.28,0.661,5.77,43.81
2008,STATE,RA00091,RB00091,PRODUCTIVITY,195.312,248.865,-53.553,-21.519,237,231,96.25,8.01,0.3886,130.55,130.65,92.18,-7.367,0.918,78.2
2008,STATE,RA00092,RB00092,COST_OF_LIVING,87.804,212.16,-124.356,-58.614,46,383,45.73,32.6,0.5048,133.21,92.39,109.74,-4.863,-0.62,70.02
2004,REGION,RA00093,RB00093,MEDIAN_WAGE,13.616,41.965,-28.349,-67.554,137,89,71.5,79.76,0.5191,102.13,66.11,72.43,9.854,2.261,53.66
2017,STATE,RA00094,RB00094,JOB_GROWTH,72.234,192.861,-120.627,-62.546,158,218,53.18,94.24,0.5606,118.0,107.99,105.21,-7.236,1.156,63.21
2012,STATE,RA00095,RB00095,GDP_PER_CAPITA,228.51,200.391,28.119,14.032,214,376,64.74,60.44,0.4022,143.45,72.7,77.17,9.02,-0.214,80.81
2009,METRO,RA00096,RB00096,PRODUCTIVITY,29.59,96.363,-66.773,-69.293,284,145,72.54,3.86,0.2976,141.54,106.6,137.79,9.634,6.344,39.09
2017,REGION,RA00097,RB00097,GDP_PER_CAPITA,92.43,208.592,-116.162,-55.689,121,394,46.24,10.38,0.4202,130.6,148.18,84.66,-2.667,1.618,70.85
2014,CENSUS_DIVISION,RA00098,RB00098,INCOME_GROWTH,110.639,244.861,-134.222,-54.816,217,267,5.96,69.89,0.3526,78.42,101.12,111.77,-1.446,-0.558,76.69
2023,METRO,RA00099,RB00099,EXPORT_INTENSITY,239.722,71.152,168.57,236.915,226,215,24.71,1.05,0.3687,134.86,122.48,108.1,10.867,5.738,28.62
2013,REGION,RA00100,RB00100,JOB_GROWTH,208.058,12.426,195.632,1574.376,400,152,62.59,15.85,0.4724,127.16,110.75,70.24,-5.602,2.016,49.54
2011,METRO,RA00101,RB00101,COST_OF_LIVING,83.635,228.633,-144.998,-63.42,78,77,97.42,76.61,0.3707,108.13,144.33,92.23,4.007,5.132,53.83
2010,REGION,RA00102,RB00102,INCOME_GROWTH,205.469,206.539,-1.07,-0.518,83,130,41.57,70.82,0.4218,139.04,146.4,125.14,-7.615,5.932,67.63
2018,METRO,RA00103,RB00103,INCOME_GROWTH,47.082,115.962,-68.88,-59.399,79,13,2.64,51.15,0.5836,124.82,66.43,109.84,-4.863,0.105,71.55
2019,STATE,RA00104,RB00104,INCOME_GROWTH,102.767,181.981,-79.214,-43.529,1,185,37.62,23.0,0.4416,127.99,115.73,116.79,-3.554,3.699,66.49
2025,STATE,RA00105,RB00105,COST_OF_LIVING,208.306,85.932,122.374,142.408,324,328,82.04,55.4,0.2621,148.43,124.31,80.23,-5.236,3.424,45.16
2009,METRO,RA00106,RB00106,INCOME_GROWTH,175.382,73.745,101.637,137.822,90,164,78.73,72.11,0.2622,87.16,91.04,73.07,4.183,1.714,52.73
2018,METRO,RA00107,RB00107,MEDIAN_WAGE,194.555,12.46,182.095,1461.437,28,309,45.38,95.82,0.5031,114.04,69.76,90.48,-7.963,5.861,32.54
2019,REGION,RA00108,RB00108,JOB_GROWTH,164.885,12.812,152.073,1186.958,198,36,52.09,85.55,0.5787,125.02,91.21,104.57,3.157,5.917,39.56
2010,CENSUS_DIVISION,RA00109,RB00109,INCOME_GROWTH,138.228,61.75,76.478,123.851,310,318,70.73,37.69,0.5206,138.97,140.54,70.93,-4.031,0.445,57.4
2002,CENSUS_DIVISION,RA00110,RB00110,UNEMP_RATE,121.68,165.189,-43.509,-26.339,123,322,7.99,21.22,0.3316,147.88,157.94,108.42,9.169,6.455,54.44
2017,CENSUS_DIVISION,RA00111,RB00111,JOB_GROWTH,31.768,131.74,-99.972,-75.886,234,24,88.88,52.74,0.6044,133.86,101.4,100.95,-7.248,-2.129,55.12
2025,CENSUS_DIVISION,RA00112,RB00112,JOB_GROWTH,184.827,100.955,83.872,83.079,204,317,74.78,24.13,0.3208,127.63,70.62,77.01,5.831,-0.33,61.02
2000,REGION,RA00113,RB00113,COST_OF_LIVING,162.363,192.682,-30.319,-15.735,98,372,58.11,7.58,0.5208,146.24,73.38,70.78,-7.335,3.547,71.08
2000,STATE,RA00114,RB00114,UNEMP_RATE,81.162,136.056,-54.894,-40.347,353,176,54.8,65.52,0.5051,109.74,133.27,84.24,-0.983,5.684,64.51
2009,CENSUS_DIVISION,RA00115,RB00115,JOB_GROWTH,141.429,145.105,-3.676,-2.533,317,245,37.94,77.02,0.3363,145.26,123.75,121.38,-2.807,0.132,94.44
2017,CENSUS_DIVISION,RA00116,RB00116,COST_OF_LIVING,175.527,15.932,159.595,1001.726,337,299,71.33,41.92,0.339,78.71,127.97,75.2,-7.451,-0.675,51.46
2023,METRO,RA00117,RB00117,JOB_GROWTH,91.94,93.079,-1.139,-1.224,383,331,77.66,66.09,0.5203,152.73,138.5,104.89,-7.029,-1.059,85.32
2006,REGION,RA00118,RB00118,UNEMP_RATE,41.465,128.479,-87.014,-67.726,222,66,25.03,46.94,0.3176,93.05,156.3,129.41,3.613,3.366,59.1
2025,STATE,RA00119,RB00119,EXPORT_INTENSITY,27.534,101.267,-73.733,-72.81,171,373,85.4,69.89,0.4083,89.86,64.67,118.44,10.922,1.836,51.71
2000,REGION,RA00120,RB00120,UNEMP_RATE,196.733,205.962,-9.229,-4.481,261,46,72.13,64.55,0.5791,134.7,143.54,115.01,-5.792,-0.725,87.21
2013,METRO,RA00121,RB00121,EXPORT_INTENSITY,108.958,180.997,-72.039,-39.801,313,143,2.74,4.59,0.3205,118.34,124.05,126.78,-6.296,0.46,75.02
2010,STATE,RA00122,RB00122,COST_OF_LIVING,211.436,90.66,120.776,133.219,391,348,2.47,24.08,0.3344,126.86,135.73,70.08,-0.701,4.241,49.1
2019,REGION,RA00123,RB00123,GDP_PER_CAPITA,20.113,26.45,-6.337,-23.958,27,55,7.02,97.14,0.5075,78.23,68.0,91.31,7.403,5.289,62.0
2017,METRO,RA00124,RB00124,JOB_GROWTH,151.198,131.913,19.285,14.619,339,306,51.59,54.87,0.2802,154.41,79.71,124.91,-0.252,-3.262,83.09
2014,CENSUS_DIVISION,RA00125,RB00125,MEDIAN_WAGE,138.982,41.743,97.239,232.947,287,48,79.47,86.8,0.3756,77.36,69.42,79.59,6.476,-0.957,51.94
2008,REGION,RA00126,RB00126,EXPORT_INTENSITY,210.744,241.935,-31.191,-12.892,120,206,88.14,16.43,0.2701,130.8,83.23,71.11,8.53,-1.585,77.15
2011,CENSUS_DIVISION,RA00127,RB00127,PRODUCTIVITY,104.951,65.232,39.719,60.889,274,365,89.01,13.95,0.4157,111.36,124.96,120.5,11.403,1.448,56.52
2018,METRO,RA00128,RB00128,JOB_GROWTH,242.354,17.892,224.462,1254.538,41,380,67.69,84.92,0.4385,152.22,94.0,101.52,7.292,2.401,45.66
2025,METRO,RA00129,RB00129,COST_OF_LIVING,42.943,237.106,-194.163,-81.889,361,162,11.07,74.74,0.5197,146.41,158.22,112.34,0.29,0.045,70.75
2019,METRO,RA00130,RB00130,COST_OF_LIVING,40.899,120.402,-79.503,-66.031,32,373,57.45,23.82,0.3919,102.65,70.71,112.74,-1.278,2.301,66.92
2016,METRO,RA00131,RB00131,EXPORT_INTENSITY,40.196,182.922,-142.726,-78.026,218,309,89.05,39.77,0.3027,80.52,116.55,80.11,-3.329,2.974,57.29
2017,CENSUS_DIVISION,RA00132,RB00132,EXPORT_INTENSITY,22.569,99.428,-76.859,-77.301,19,194,40.51,70.51,0.3568,130.05,125.4,125.86,4.429,1.41,61.37
2017,CENSUS_DIVISION,RA00133,RB00133,INCOME_GROWTH,171.071,152.672,18.399,12.051,175,5,95.84,95.61,0.5273,131.72,75.92,108.56,4.128,0.447,88.03
2022,CENSUS_DIVISION,RA00134,RB00134,MEDIAN_WAGE,241.83,236.309,5.521,2.336,196,351,93.24,92.42,0.4987,107.92,127.27,77.84,1.684,1.666,90.83
2016,METRO,RA00135,RB00135,COST_OF_LIVING,102.342,182.659,-80.317,-43.971,189,59,3.04,52.29,0.3881,82.67,155.55,127.46,7.842,6.124,51.41
2025,REGION,RA00136,RB00136,GDP_PER_CAPITA,56.722,233.864,-177.142,-75.746,305,86,4.09,98.49,0.3146,118.79,107.67,116.05,10.295,-1.641,52.3
2011,REGION,RA00137,RB00137,EXPORT_INTENSITY,125.169,134.968,-9.799,-7.26,184,293,89.14,56.05,0.4312,108.45,122.98,116.69,-2.459,-2.749,84.15
2021,STATE,RA00138,RB00138,COST_OF_LIVING,143.688,217.426,-73.738,-33.914,340,370,84.85,59.4,0.3244,141.25,125.74,86.23,-1.603,5.032,68.11
2022,REGION,RA00139,RB00139,INCOME_GROWTH,58.731,96.059,-37.328,-38.859,341,395,69.82,67.19,0.3329,107.52,100.61,98.01,-3.537,2.79,71.33
2000,CENSUS_DIVISION,RA00140,RB00140,UNEMP_RATE,44.406,152.063,-107.657,-70.798,285,105,60.49,50.64,0.3778,124.08,116.92,80.39,8.777,-1.671,56.21
2007,METRO,RA00141,RB00141,JOB_GROWTH,90.518,230.999,-140.481,-60.815,116,371,20.5,29.98,0.6053,115.85,71.27,93.63,0.047,6.147,57.13
2018,REGION,RA00142,RB00142,INCOME_GROWTH,106.06,133.476,-27.416,-20.54,345,183,31.09,73.03,0.556,108.57,70.57,132.28,-2.0,4.149,75.29
2002,CENSUS_DIVISION,RA00143,RB00143,UNEMP_RATE,76.423,199.381,-122.958,-61.67,115,360,86.17,69.72,0.4193,143.02,91.41,106.44,-2.812,1.45,69.12
2000,METRO,RA00144,RB00144,UNEMP_RATE,40.061,30.517,9.544,31.274,192,264,28.26,95.21,0.5834,98.97,71.99,74.81,1.259,0.187,86.51
2023,METRO,RA00145,RB00145,JOB_GROWTH,169.182,177.215,-8.033,-4.533,135,123,71.42,37.91,0.5232,105.9,114.91,124.84,-2.786,2.232,86.42
2016,STATE,RA00146,RB00146,MEDIAN_WAGE,231.564,213.555,18.009,8.433,368,35,62.68,34.81,0.4991,121.67,121.4,88.57,5.762,1.068,84.67
2023,METRO,RA00147,RB00147,PRODUCTIVITY,50.978,91.199,-40.221,-44.102,229,191,31.55,8.86,0.5989,154.67,128.86,85.73,4.093,2.817,68.57
2021,CENSUS_DIVISION,RA00148,RB00148,GDP_PER_CAPITA,198.397,97.489,100.908,103.507,362,313,27.63,30.3,0.4066,130.13,150.28,113.06,-5.034,2.208,49.72
2003,METRO,RA00149,RB00149,PRODUCTIVITY,148.884,84.905,63.979,75.354,332,138,93.61,92.89,0.4861,132.73,153.1,87.54,8.569,-1.986,53.82
2021,METRO,RA00150,RB00150,PRODUCTIVITY,23.632,113.759,-90.127,-79.226,177,166,5.61,47.01,0.4775,108.85,63.24,137.1,2.494,4.548,52.61
