econ_tradebal_reference_month,econ_tradebal_reporting_country_iso2,econ_tradebal_partner_area_code,econ_tradebal_flow_direction,econ_tradebal_hs2_code,econ_tradebal_product_group,econ_tradebal_trade_value_eur,econ_tradebal_trade_quantity_kg,econ_tradebal_trade_value_index,econ_tradebal_unit_value_index,econ_tradebal_intra_eu_flag,econ_tradebal_extra_eu_flag,econ_tradebal_mode_of_transport_code,econ_tradebal_incoterms_code,econ_tradebal_customs_procedure_code,econ_tradebal_sanctions_regime_flag,econ_tradebal_current_account_balance_eur,econ_tradebal_financial_account_balance_eur,econ_tradebal_eurostat_table_code,econ_tradebal_data_extract_date
2024-01,DK,EU27_2020,IMPORT,13,TEXTILES,3447628.66,8274.13,80.458,85.309,0,1,SEA,DDP,4000,0,5160086432.79,-2014078606.9,bop_q_f,2024-11-09
2025-06,IE,APAC,EXPORT,30,PHARMA,3595909.13,8355.5,81.671,85.666,0,1,POST,DPU,4200,0,-2763354515.95,-5508164758.59,ext_lt_intratrd,2025-08-24
2026-11,PL,LATAM,IMPORT,47,VEHICLES,3692721.14,8527.37,81.972,85.142,0,1,PIPE,DAP,5100,0,3256444763.93,-2483526647.76,bop_q_c,2024-02-09
2018-04,AT,AFR,EXPORT,64,MACHINERY,3772711.94,8608.39,82.649,86.787,0,1,RAIL,CIP,6100,0,5509746396.64,-1296201081.61,bop_q_g,2024-06-12
2019-09,EE,MEA,IMPORT,81,CHEMICALS,3894444.32,8730.21,83.384,87.345,0,1,ROAD,CPT,7100,0,7971726717.59,-4606370823.48,ext_lt_extratrd,2024-11-25
2020-02,IT,TUR,EXPORT,98,ENERGY,3919291.34,8950.12,82.446,86.732,0,1,AIR,FCA,A123,0,271996329.64,3251001844.41,bop_q_f,2024-01-31
2021-07,PT,RUS,IMPORT,16,AGRI_FOOD,4044524.61,9089.58,83.61,87.594,0,1,SEA,EXW,4000,0,2896768638.3,1169195577.58,ext_lt_intratrd,2026-01-05
2022-12,BE,CHN,EXPORT,33,SERVICES_EST,4192700.16,9160.01,83.7,87.939,0,1,POST,CIF,4200,0,2290851587.55,-3657702179.95,bop_q_c,2024-11-09
2023-05,FI,USA,IMPORT,50,ELECTRONICS,4270870.21,9272.75,84.816,87.845,0,1,PIPE,CFR,5100,0,322355412.32,3615106800.72,bop_q_g,2025-01-29
2024-10,LV,UK,EXPORT,67,METALS,4293488.77,9410.54,85.373,88.815,0,1,RAIL,FOB,6100,0,-2842071568.84,-4471587697.78,ext_lt_extratrd,2024-07-27
2025-03,RO,EFTA,IMPORT,84,TEXTILES,4390181.45,9552.93,86.029,88.576,1,0,ROAD,DDP,7100,0,-23987127.38,-3943155031.13,bop_q_f,2025-10-05
2026-08,BG,EA20,EXPORT,02,PHARMA,4563546.71,9710.94,86.136,89.999,1,1,AIR,DPU,A123,0,5726276761.36,-2071590115.03,ext_lt_intratrd,2025-11-11
2018-01,FR,EU27_2020,IMPORT,19,VEHICLES,4620992.36,9855.76,85.545,90.461,1,1,SEA,DAP,4000,0,7007231041.56,-4001999187.17,bop_q_c,2024-11-19
2019-06,LT,APAC,EXPORT,36,MACHINERY,4744482.7,10034.6,86.314,90.643,0,1,POST,CIP,4200,0,1863717591.41,467556730.59,bop_q_g,2026-02-03
2020-11,SK,LATAM,IMPORT,53,CHEMICALS,4764917.08,10089.48,86.438,91.603,0,1,PIPE,CPT,5100,0,580942099.09,-4154723244.27,ext_lt_extratrd,2024-12-05
2021-04,HR,AFR,EXPORT,70,ENERGY,4933809.76,10281.4,88.019,91.281,0,1,RAIL,FCA,6100,0,8266214873.35,-6230874691.37,bop_q_f,2026-01-10
2022-09,DE,MEA,IMPORT,87,AGRI_FOOD,5004750.87,10416.74,88.465,91.257,0,1,ROAD,EXW,7100,0,6533409736.15,-3100658917.01,ext_lt_intratrd,2024-07-22
2023-02,LU,TUR,EXPORT,05,SERVICES_EST,5072109.98,10569.93,88.179,91.975,0,1,AIR,CIF,A123,0,7387564303.5,6287626693.99,bop_q_c,2024-11-10
2024-07,SI,RUS,IMPORT,22,ELECTRONICS,5163456.55,10716.73,89.241,92.515,0,1,SEA,CFR,4000,0,-3331104807.87,-3909499946.12,bop_q_g,2024-12-21
2025-12,CY,CHN,EXPORT,39,METALS,5326386.99,10831.75,89.757,92.616,0,1,POST,FOB,4200,0,7110502325.73,-645694103.41,ext_lt_extratrd,2024-02-14
2026-05,GR,USA,IMPORT,56,TEXTILES,5361192.02,10918.75,89.702,93.069,0,1,PIPE,DDP,5100,0,879873960.06,-2636896550.83,bop_q_f,2025-06-15
2018-10,MT,UK,EXPORT,73,PHARMA,5445933.72,11096.28,90.745,93.743,0,1,RAIL,DPU,6100,0,2956972221.54,3735992387.46,ext_lt_intratrd,2025-07-08
2019-03,ES,EFTA,IMPORT,90,VEHICLES,5585977.49,11255.43,90.151,94.051,1,0,ROAD,DAP,7100,0,5212142102.82,4378486204.85,bop_q_c,2025-03-14
2020-08,CZ,EA20,EXPORT,08,MACHINERY,5712265.36,11304.56,90.802,95.251,1,0,AIR,CIP,A123,0,1547614840.66,-1921715395.87,bop_q_g,2025-09-13
2021-01,HU,EU27_2020,IMPORT,25,CHEMICALS,5799346.68,11486.19,91.938,94.865,0,1,SEA,CPT,4000,0,3737180571.57,429392704.35,ext_lt_extratrd,2026-01-26
2022-06,NL,APAC,EXPORT,42,ENERGY,5900436.99,11620.7,91.488,94.987,0,1,POST,FCA,4200,0,3785059931.84,-1730887663.81,bop_q_f,2025-05-23
2023-11,SE,LATAM,IMPORT,59,AGRI_FOOD,5960941.64,11715.58,92.705,96.092,0,1,PIPE,EXW,5100,0,-3775165454.78,5948614823.7,ext_lt_intratrd,2025-08-09
2024-04,DK,AFR,EXPORT,76,SERVICES_EST,6093297.1,11902.99,93.186,96.242,0,1,RAIL,CIF,6100,0,689396738.16,6822401378.42,bop_q_c,2025-11-24
2025-09,IE,MEA,IMPORT,93,ELECTRONICS,6104476.36,11995.12,92.914,97.51,0,1,ROAD,CFR,7100,0,3021860071.72,132078690.75,bop_q_g,2026-02-06
2026-02,PL,TUR,EXPORT,11,METALS,6195590.64,12188.54,93.509,96.53,0,1,AIR,FOB,A123,0,-4243105888.95,4696518783.92,ext_lt_extratrd,2024-12-18
2018-07,AT,RUS,IMPORT,28,TEXTILES,6353338.83,12289.33,94.485,97.741,0,1,SEA,DDP,4000,1,3405827955.7,-4051917953.41,bop_q_f,2026-01-12
2019-12,EE,CHN,EXPORT,45,PHARMA,6383964.15,12414.04,94.718,98.067,0,1,POST,DPU,4200,0,5864359956.13,7276568755.53,ext_lt_intratrd,2025-10-21
2020-05,IT,USA,IMPORT,62,VEHICLES,6529326.17,12588.0,94.738,98.855,0,1,PIPE,DAP,5100,0,7845325462.28,-1075870484.9,bop_q_c,2024-01-18
2021-10,PT,UK,EXPORT,79,MACHINERY,6621624.47,12676.97,95.733,99.327,0,1,RAIL,CIP,6100,0,492194253.16,-4041561984.16,bop_q_g,2025-05-03
2022-03,BE,EFTA,IMPORT,96,CHEMICALS,6733877.68,12798.15,96.32,99.719,0,1,ROAD,CPT,7100,0,-3749032166.0,-1473208292.15,ext_lt_extratrd,2026-02-03
2023-08,FI,EA20,EXPORT,14,ENERGY,6813509.15,12996.91,96.617,99.577,1,0,AIR,FCA,A123,0,700481471.94,4382047156.31,bop_q_f,2025-10-21
2024-01,LV,EU27_2020,IMPORT,31,AGRI_FOOD,6921329.12,13057.17,96.254,100.833,0,1,SEA,EXW,4000,0,-145949518.36,2986564495.97,ext_lt_intratrd,2024-05-17
2025-06,RO,APAC,EXPORT,48,SERVICES_EST,6963030.39,13243.54,97.457,100.268,0,1,POST,CIF,4200,0,-95391150.28,6345519656.76,bop_q_c,2025-12-25
2026-11,BG,LATAM,IMPORT,65,ELECTRONICS,7111356.93,13408.66,98.561,101.056,0,1,PIPE,CFR,5100,0,-2408641253.47,6233074744.78,bop_q_g,2025-03-12
2018-04,FR,AFR,EXPORT,82,METALS,7191459.09,13538.58,98.307,102.029,0,1,RAIL,FOB,6100,0,7256731097.04,-332413272.99,ext_lt_extratrd,2024-06-03
2019-09,LT,MEA,IMPORT,99,TEXTILES,7267144.33,13632.28,99.202,102.537,0,1,ROAD,DDP,7100,0,7184691445.07,5479204378.72,bop_q_f,2025-09-29
2020-02,SK,TUR,EXPORT,17,PHARMA,7336443.65,13783.54,99.931,101.914,0,1,AIR,DPU,A123,0,474941873.09,-2472270549.08,ext_lt_intratrd,2025-08-21
2021-07,HR,RUS,IMPORT,34,VEHICLES,7493080.56,13937.07,99.276,102.369,0,1,SEA,DAP,4000,0,-2204891068.17,2068866593.74,bop_q_c,2024-02-04
2022-12,DE,CHN,EXPORT,51,MACHINERY,7581083.95,14056.21,99.953,102.759,0,1,POST,CIP,4200,0,1705470723.03,-6053772056.98,bop_q_g,2025-09-05
2023-05,LU,USA,IMPORT,68,CHEMICALS,7699889.82,14182.62,99.89,103.965,0,1,PIPE,CPT,5100,0,3778385542.34,-705791620.99,ext_lt_extratrd,2024-10-08
2024-10,SI,UK,EXPORT,85,ENERGY,7725109.56,14362.58,100.549,103.283,0,1,RAIL,FCA,6100,0,3329505033.06,-5292138136.24,bop_q_f,2024-06-12
2025-03,CY,EFTA,IMPORT,03,AGRI_FOOD,7865904.55,14450.76,101.848,104.114,1,0,ROAD,EXW,7100,0,7204678208.06,4154773816.96,ext_lt_intratrd,2024-06-18
2026-08,GR,EA20,EXPORT,20,SERVICES_EST,7898687.73,14625.97,102.71,104.031,0,1,AIR,CIF,A123,0,7379601627.55,1211537353.01,bop_q_c,2024-09-22
2018-01,MT,EU27_2020,IMPORT,37,ELECTRONICS,8062283.24,14741.52,102.94,104.546,1,0,SEA,CFR,4000,0,4390300893.07,1437577232.45,bop_q_g,2025-08-23
2019-06,ES,APAC,EXPORT,54,METALS,8103735.43,14868.6,102.364,105.998,0,1,POST,FOB,4200,0,112096610.56,2406593568.44,ext_lt_extratrd,2025-12-20
2020-11,CZ,LATAM,IMPORT,71,TEXTILES,8235059.78,15012.85,103.796,105.521,0,1,PIPE,DDP,5100,0,1503453643.98,-2738677391.93,bop_q_f,2025-07-12
2021-04,HU,AFR,EXPORT,88,PHARMA,8339572.66,15139.6,103.786,107.097,0,1,RAIL,DPU,6100,0,2746956279.87,4457072927.35,ext_lt_intratrd,2025-06-12
2022-09,NL,MEA,IMPORT,06,VEHICLES,8401661.14,15277.67,104.89,107.668,0,1,ROAD,DAP,7100,0,-1161110436.08,-2968327460.73,bop_q_c,2024-08-13
2023-02,SE,TUR,EXPORT,23,MACHINERY,8528133.64,15439.62,105.431,107.219,0,1,AIR,CIP,A123,0,3571521935.32,-4260211251.52,bop_q_g,2024-02-02
2024-07,DK,RUS,IMPORT,40,CHEMICALS,8616360.56,15564.37,105.78,108.239,0,1,SEA,CPT,4000,1,7564142109.42,7758685780.06,ext_lt_extratrd,2024-03-23
2025-12,IE,CHN,EXPORT,57,ENERGY,8710316.26,15638.9,105.866,107.751,0,1,POST,FCA,4200,0,-2824475722.75,1462112199.46,bop_q_f,2024-02-29
2026-05,PL,USA,IMPORT,74,AGRI_FOOD,8751725.97,15750.51,106.227,108.547,0,1,PIPE,EXW,5100,0,3574497825.78,3753558545.72,ext_lt_intratrd,2024-06-22
2018-10,AT,UK,EXPORT,91,SERVICES_EST,8853847.89,15929.38,106.409,108.662,0,1,RAIL,CIF,6100,0,-3983782931.78,7756201606.48,bop_q_c,2025-02-09
2019-03,EE,EFTA,IMPORT,09,ELECTRONICS,9002399.39,16106.23,107.533,109.586,1,0,ROAD,CFR,7100,0,3559424910.99,2848234001.5,bop_q_g,2025-08-19
2020-08,IT,EA20,EXPORT,26,METALS,9127866.59,16196.62,106.929,110.005,0,1,AIR,FOB,A123,0,535129528.26,-5396381698.09,ext_lt_extratrd,2024-06-14
2021-01,PT,EU27_2020,IMPORT,43,TEXTILES,9168277.33,16344.45,108.371,110.616,1,0,SEA,DDP,4000,0,-2798011462.9,4987236327.73,bop_q_f,2024-04-12
2022-06,BE,APAC,EXPORT,60,PHARMA,9279090.64,16506.76,108.885,111.154,0,1,POST,DPU,4200,0,-3565195062.19,-4918860235.99,ext_lt_intratrd,2025-10-05
2023-11,FI,LATAM,IMPORT,77,VEHICLES,9358064.55,16645.02,108.518,111.248,0,1,PIPE,DAP,5100,0,197444821.67,6957760180.97,bop_q_c,2025-06-09
2024-04,LV,AFR,EXPORT,94,MACHINERY,9479983.17,16754.13,109.525,111.11,0,1,RAIL,CIP,6100,0,3557969770.33,-1647114875.0,bop_q_g,2024-11-23
2025-09,RO,MEA,IMPORT,12,CHEMICALS,9550380.68,16878.96,108.984,111.355,0,1,ROAD,CPT,7100,0,2716610608.88,-218859825.62,ext_lt_extratrd,2025-06-19
2026-02,BG,TUR,EXPORT,29,ENERGY,9655116.27,17006.38,110.474,112.199,0,1,AIR,FCA,A123,0,-302068329.36,-5077011872.15,bop_q_f,2024-03-03
2018-07,FR,RUS,IMPORT,46,AGRI_FOOD,9756172.9,17175.0,110.944,112.365,0,1,SEA,EXW,4000,0,-1618979535.75,5531196410.24,ext_lt_intratrd,2025-06-27
2019-12,LT,CHN,EXPORT,63,SERVICES_EST,9817044.6,17313.58,110.419,113.257,0,1,POST,CIF,4200,0,-963536045.21,7395655578.4,bop_q_c,2025-01-22
2020-05,SK,USA,IMPORT,80,ELECTRONICS,9943458.57,17431.04,111.056,113.646,0,1,PIPE,CFR,5100,0,2949483642.42,318732344.89,bop_q_g,2024-12-13
2021-10,HR,UK,EXPORT,97,METALS,10045458.16,17515.47,111.142,113.37,0,1,RAIL,FOB,6100,0,6513414267.75,7840626051.91,ext_lt_extratrd,2025-09-14
2022-03,DE,EFTA,IMPORT,15,TEXTILES,10157579.78,17676.35,112.104,114.881,0,1,ROAD,DDP,7100,0,5700617720.91,6868199127.94,bop_q_f,2025-03-24
2023-08,LU,EA20,EXPORT,32,PHARMA,10238127.0,17807.65,113.338,114.484,1,0,AIR,DPU,A123,0,6624578974.88,-3045037431.42,ext_lt_intratrd,2025-09-23
2024-01,SI,EU27_2020,IMPORT,49,VEHICLES,10312834.0,17912.48,113.028,114.57,1,0,SEA,DAP,4000,0,3205128369.26,3759453414.01,bop_q_c,2025-11-21
2025-06,CY,APAC,EXPORT,66,MACHINERY,10378241.8,18057.81,113.267,115.597,0,1,POST,CIP,4200,0,4512371949.22,-2131439068.23,bop_q_g,2025-05-01
2026-11,GR,LATAM,IMPORT,83,CHEMICALS,10485249.96,18245.6,114.214,115.706,0,1,PIPE,CPT,5100,0,-1458422716.73,310369335.46,ext_lt_extratrd,2025-05-31
2018-04,MT,AFR,EXPORT,01,ENERGY,10622422.05,18394.21,114.616,116.811,0,1,RAIL,FCA,6100,0,4939430072.19,-2522690047.19,bop_q_f,2025-06-25
2019-09,ES,MEA,IMPORT,18,AGRI_FOOD,10737566.31,18534.82,115.305,117.584,0,1,ROAD,EXW,7100,0,-77941861.62,-226294536.89,ext_lt_intratrd,2024-07-07
2020-02,CZ,TUR,EXPORT,35,SERVICES_EST,10784300.9,18651.16,115.872,117.999,0,1,AIR,CIF,A123,0,-1429815291.48,-4995976663.95,bop_q_c,2025-05-24
2021-07,HU,RUS,IMPORT,52,ELECTRONICS,10865614.54,18790.71,115.934,117.57,0,1,SEA,CFR,4000,1,1951233284.52,452561884.1,bop_q_g,2024-11-21
2022-12,NL,CHN,EXPORT,69,METALS,10938355.44,18922.13,116.172,117.93,0,1,POST,FOB,4200,0,1838997961.8,-4728269131.75,ext_lt_extratrd,2025-04-20
2023-05,SE,USA,IMPORT,86,TEXTILES,11045465.82,19078.15,116.693,118.89,0,1,PIPE,DDP,5100,0,-1383508112.35,6616457446.43,bop_q_f,2024-02-24
2024-10,DK,UK,EXPORT,04,PHARMA,11180283.09,19144.0,117.331,119.483,0,1,RAIL,DPU,6100,0,5119723052.32,4400995222.48,ext_lt_intratrd,2025-07-14
2025-03,IE,EFTA,IMPORT,21,VEHICLES,11295315.89,19325.79,117.622,119.279,1,0,ROAD,DAP,7100,0,7419768271.37,-1250233920.44,bop_q_c,2024-06-26
2026-08,PL,EA20,EXPORT,38,MACHINERY,11321512.43,19437.3,117.845,120.721,1,0,AIR,CIP,A123,0,-325690738.29,2151508271.26,bop_q_g,2024-01-17
2018-01,AT,EU27_2020,IMPORT,55,CHEMICALS,11443786.3,19578.47,118.175,120.635,1,0,SEA,CPT,4000,0,7754172584.71,6408605373.85,ext_lt_extratrd,2024-07-02
2019-06,EE,APAC,EXPORT,72,ENERGY,11526165.54,19757.4,119.47,120.133,0,1,POST,FCA,4200,0,4329910628.56,-462870949.87,bop_q_f,2025-10-09
2020-11,IT,LATAM,IMPORT,89,AGRI_FOOD,11647906.08,19839.18,118.776,121.046,0,1,PIPE,EXW,5100,0,-605094271.01,-3974910844.75,ext_lt_intratrd,2025-11-15
2021-04,PT,AFR,EXPORT,07,SERVICES_EST,11784519.39,20023.56,119.687,121.11,0,1,RAIL,CIF,6100,0,4565908728.63,-1513155166.36,bop_q_c,2025-05-27
2022-09,BE,MEA,IMPORT,24,ELECTRONICS,11815489.86,20122.03,120.784,122.386,0,1,ROAD,CFR,7100,0,-699773823.73,3973202325.82,bop_q_g,2025-07-28
2023-02,FI,TUR,EXPORT,41,METALS,11940812.33,20233.63,120.672,123.201,0,1,AIR,FOB,A123,0,4309158381.54,-3779079070.41,ext_lt_extratrd,2025-05-31
2024-07,LV,RUS,IMPORT,58,TEXTILES,12027302.68,20435.81,120.561,123.397,0,1,SEA,DDP,4000,1,9096982822.04,-3370012717.42,bop_q_f,2024-08-14
2025-12,RO,CHN,EXPORT,75,PHARMA,12080460.76,20562.7,122.008,123.346,0,1,POST,DPU,4200,0,3402914839.88,-337475344.1,ext_lt_intratrd,2025-01-17
2026-05,BG,USA,IMPORT,92,VEHICLES,12180356.84,20703.96,122.092,123.921,0,1,PIPE,DAP,5100,0,7133151514.39,4494858179.12,bop_q_c,2025-10-21
2018-10,FR,UK,EXPORT,10,MACHINERY,12349836.74,20821.76,122.529,124.606,0,1,RAIL,CIP,6100,0,1744795442.27,7514699473.16,bop_q_g,2026-02-03
2019-03,LT,EFTA,IMPORT,27,CHEMICALS,12368304.63,20892.35,123.608,124.575,1,0,ROAD,CPT,7100,0,-2760087230.88,-579624861.19,ext_lt_extratrd,2025-10-20
2020-08,SK,EA20,EXPORT,44,ENERGY,12550296.36,21111.56,123.073,124.755,1,0,AIR,FCA,A123,0,1659855087.53,2696104329.13,bop_q_f,2024-04-13
2021-01,HR,EU27_2020,IMPORT,61,AGRI_FOOD,12605301.56,21176.09,124.616,126.101,0,1,SEA,EXW,4000,0,-21122078.12,-3385564128.84,ext_lt_intratrd,2024-03-06
2022-06,DE,APAC,EXPORT,78,SERVICES_EST,12695539.01,21376.18,124.899,125.028,0,1,POST,CIF,4200,0,-3622740177.39,-3510048515.28,bop_q_c,2024-01-12
2023-11,LU,LATAM,IMPORT,95,ELECTRONICS,12763231.3,21482.48,124.962,126.226,0,1,PIPE,CFR,5100,0,2212556124.01,5060245385.04,bop_q_g,2025-01-23
2024-04,SI,AFR,EXPORT,13,METALS,12876491.06,21633.99,125.171,126.931,0,1,RAIL,FOB,6100,0,-4846257331.14,180119867.47,ext_lt_extratrd,2026-01-26
2025-09,CY,MEA,IMPORT,30,TEXTILES,13018469.81,21789.14,125.878,126.578,0,1,ROAD,DDP,7100,0,7287739556.98,-3757402117.93,bop_q_f,2024-05-30
2026-02,GR,TUR,EXPORT,47,PHARMA,13065603.76,21899.04,127.026,128.043,0,1,AIR,DPU,A123,0,5205684482.44,1239088718.95,ext_lt_intratrd,2025-04-04
2018-07,MT,RUS,IMPORT,64,VEHICLES,13133496.94,22059.7,126.597,127.506,0,1,SEA,DAP,4000,1,931946018.6,3113070666.74,bop_q_c,2024-11-23
2019-12,ES,CHN,EXPORT,81,MACHINERY,13280186.87,22115.91,126.358,127.653,0,1,POST,CIP,4200,0,307502107.07,3050223360.35,bop_q_g,2024-09-13
2020-05,CZ,USA,IMPORT,98,CHEMICALS,13333444.69,22295.01,128.3,128.706,0,1,PIPE,CPT,5100,0,6113624139.34,175339365.84,ext_lt_extratrd,2024-07-09
2021-10,HU,UK,EXPORT,16,ENERGY,13471806.57,22437.32,127.507,129.75,0,1,RAIL,FCA,6100,0,4035951296.99,-152061534.08,bop_q_f,2025-02-10
2022-03,NL,EFTA,IMPORT,33,AGRI_FOOD,13599433.14,22516.32,128.134,130.061,1,0,ROAD,EXW,7100,0,4211786590.95,3842831372.37,ext_lt_intratrd,2024-08-24
2023-08,SE,EA20,EXPORT,50,SERVICES_EST,13639545.1,22681.99,129.172,129.893,0,1,AIR,CIF,A123,0,1046718036.31,-2728815249.12,bop_q_c,2024-07-02
2024-01,DK,EU27_2020,IMPORT,67,ELECTRONICS,13733375.96,22807.99,129.635,130.833,1,0,SEA,CFR,4000,0,5917731502.94,-2352117930.2,bop_q_g,2024-01-04
2025-06,IE,APAC,EXPORT,84,METALS,13873833.0,22997.9,129.788,130.275,0,1,POST,FOB,4200,0,6317714399.9,-2338391229.51,ext_lt_extratrd,2025-03-16
2026-11,PL,LATAM,IMPORT,02,TEXTILES,13928884.09,23087.57,130.916,130.784,0,1,PIPE,DDP,5100,0,6275287009.94,-4606502159.61,bop_q_f,2025-09-04
2018-04,AT,AFR,EXPORT,19,PHARMA,14052278.91,23246.8,131.311,131.938,0,1,RAIL,DPU,6100,0,-2482966786.34,5620764901.66,ext_lt_intratrd,2024-02-23
2019-09,EE,MEA,IMPORT,36,VEHICLES,14109653.86,23366.84,131.266,131.778,0,1,ROAD,DAP,7100,0,4862173791.73,4933972064.47,bop_q_c,2025-05-16
2020-02,IT,TUR,EXPORT,53,MACHINERY,14229270.48,23466.85,131.281,132.875,0,1,AIR,CIP,A123,0,5614917934.91,-1337097668.96,bop_q_g,2025-10-27
2021-07,PT,RUS,IMPORT,70,CHEMICALS,14340166.14,23639.51,131.573,133.648,0,1,SEA,CPT,4000,0,-1215470314.38,1472690285.89,ext_lt_extratrd,2025-08-20
2022-12,BE,CHN,EXPORT,87,ENERGY,14441618.5,23733.78,133.04,133.083,0,1,POST,FCA,4200,0,-564082712.53,445552887.35,bop_q_f,2024-01-01
2023-05,FI,USA,IMPORT,05,AGRI_FOOD,14500897.12,23926.38,133.064,133.288,0,1,PIPE,EXW,5100,0,-473800193.9,-5878237952.91,ext_lt_intratrd,2024-04-19
2024-10,LV,UK,EXPORT,22,SERVICES_EST,14564026.46,23987.9,132.822,134.084,0,1,RAIL,CIF,6100,0,4844698591.36,-5231984719.0,bop_q_c,2025-01-08
