safe_incident_incident_datetime_local,safe_incident_incident_type_code,safe_incident_ucr_nibrs_offense_code,safe_incident_call_priority_level,safe_incident_reporting_agency_ori,safe_incident_location_block_id,safe_incident_premise_type,safe_incident_weapon_involved_flag,safe_incident_injury_severity_code,safe_incident_victim_count,safe_incident_suspect_count,safe_incident_clearance_status_code,safe_incident_bias_motivation_flag,safe_incident_gang_related_flag,safe_incident_domestic_related_flag,safe_incident_property_loss_value_usd,safe_incident_body_worn_camera_flag,safe_incident_response_time_seconds,safe_incident_geocoding_accuracy_level,safe_incident_case_update_timestamp
2020-01-01 00:51:00,OTHER,240,MEDIUM,ORI100052,BLK0000000052,PARKING,0,FATAL,3,3,CLEARED_ARREST,0,0,0,220.44,1,3597,BLOCK,2020-01-01T00:51:21
2020-01-01 00:52:00,OTHER,23B,HIGH,ORI100053,BLK0000000053,OTHER,0,FATAL,2,0,UNFOUNDED,0,1,0,1728.16,0,492,STREET,2020-01-01T00:52:22
2020-01-01 00:53:00,DOMESTIC,250,MEDIUM,ORI100054,BLK0000000054,SCHOOL,0,NONE,4,1,CLEARED_ARREST,0,0,0,684.81,0,69,STREET,2020-01-01T00:53:23
2020-01-01 00:54:00,DOMESTIC,220,HIGH,ORI100055,BLK0000000055,PARK,0,NONE,4,0,CLEARED_EXCEPTION,0,0,0,702.07,0,1134,STREET,2020-01-01T00:54:24
2020-01-01 00:55:00,THEFT,220,LOW,ORI100056,BLK0000000056,SCHOOL,1,NONE,6,1,OPEN,0,0,0,1952.81,0,2444,ROOFTOP,2020-01-01T00:55:25
2020-01-01 00:56:00,THEFT,250,MEDIUM,ORI100057,BLK0000000057,PARK,0,NONE,1,5,OPEN,0,1,0,760.16,1,2531,PARCEL,2020-01-01T00:56:26
2020-01-01 00:57:00,BURGLARY,23C,MEDIUM,ORI100058,BLK0000000058,RESIDENCE,1,NONE,2,3,OPEN,0,0,0,1526.91,1,2388,BLOCK,2020-01-01T00:57:27
2020-01-01 00:58:00,ROBBERY,220,LOW,ORI100059,BLK0000000059,STREET,1,MINOR,0,3,OPEN,0,0,0,937.29,0,1814,BLOCK,2020-01-01T00:58:28
2020-01-01 00:59:00,THEFT,90Z,HIGH,ORI100060,BLK0000000060,BUSINESS,1,NONE,1,0,OPEN,0,0,0,1983.1,0,1176,STREET,2020-01-01T00:59:29
2020-01-01 01:00:00,DUI,26C,LOW,ORI100061,BLK0000000061,TRANSIT,1,MINOR,4,3,OPEN,0,0,0,3389.77,1,2809,ZIP,2020-01-01T01:00:30
2020-01-01 01:01:00,FRAUD,250,HIGH,ORI100062,BLK0000000062,SCHOOL,0,NONE,0,1,CLEARED_ARREST,0,0,0,486.26,1,373,ROOFTOP,2020-01-01T01:01:31
2020-01-01 01:02:00,DUI,26B,MEDIUM,ORI100063,BLK0000000063,BUSINESS,0,NONE,6,2,CLEARED_EXCEPTION,0,0,0,1674.82,1,3272,STREET,2020-01-01T01:02:32
2020-01-01 01:03:00,OTHER,26A,MEDIUM,ORI100064,BLK0000000064,PARKING,0,NONE,3,1,CLEARED_ARREST,0,0,0,1540.34,1,2912,PARCEL,2020-01-01T01:03:33
2020-01-01 01:04:00,DUI,26C,LOW,ORI100065,BLK0000000065,PARKING,0,NONE,5,2,CLEARED_ARREST,0,0,1,656.68,0,475,ROOFTOP,2020-01-01T01:04:34
2020-01-01 01:05:00,DOMESTIC,240,LOW,ORI100066,BLK0000000066,OTHER,1,MINOR,1,2,OPEN,0,0,0,1122.58,0,2148,STREET,2020-01-01T01:05:35
2020-01-01 01:06:00,VANDALISM,250,LOW,ORI100067,BLK0000000067,PARKING,0,MINOR,3,3,CLEARED_ARREST,0,0,0,2387.64,0,1405,STREET,2020-01-01T01:06:36
2020-01-01 01:07:00,NARCOTICS,13A,HIGH,ORI100068,BLK0000000068,SCHOOL,0,MINOR,6,2,OPEN,0,0,0,1282.66,0,924,STREET,2020-01-01T01:07:37
2020-01-01 01:08:00,FRAUD,90Z,LOW,ORI100069,BLK0000000069,PARKING,0,NONE,3,3,OPEN,0,1,0,2085.56,1,674,STREET,2020-01-01T01:08:38
2020-01-01 01:09:00,ASSAULT,26C,HIGH,ORI100070,BLK0000000070,BAR,0,NONE,2,3,OPEN,0,0,0,3515.93,0,1999,BLOCK,2020-01-01T01:09:39
2020-01-01 01:10:00,WEAPONS,13A,LOW,ORI100071,BLK0000000071,PARK,0,MINOR,4,5,OPEN,0,0,0,2765.9,0,874,PARCEL,2020-01-01T01:10:40
2020-01-01 01:11:00,WEAPONS,240,MEDIUM,ORI100072,BLK0000000072,STREET,0,NONE,5,1,OPEN,0,0,0,921.07,0,2219,STREET,2020-01-01T01:11:41
2020-01-01 01:12:00,BURGLARY,13A,MEDIUM,ORI100073,BLK0000000073,BUSINESS,0,NONE,1,5,OPEN,0,0,1,2311.86,1,1654,PARCEL,2020-01-01T01:12:42
2020-01-01 01:13:00,THEFT,26A,HIGH,ORI100074,BLK0000000074,TRANSIT,0,MINOR,2,2,OPEN,0,0,1,363.02,0,2865,ZIP,2020-01-01T01:13:43
2020-01-01 01:14:00,THEFT,240,LOW,ORI100075,BLK0000000075,BAR,0,SERIOUS,3,5,OPEN,0,0,0,286.13,0,2236,BLOCK,2020-01-01T01:14:44
2020-01-01 01:15:00,BURGLARY,250,MEDIUM,ORI100076,BLK0000000076,SCHOOL,0,MINOR,5,0,OPEN,0,0,1,2475.45,0,591,ROOFTOP,2020-01-01T01:15:45
2020-01-01 01:16:00,WEAPONS,23B,MEDIUM,ORI100077,BLK0000000077,RESIDENCE,1,NONE,4,1,OPEN,0,0,0,3240.52,1,3278,PARCEL,2020-01-01T01:16:46
2020-01-01 01:17:00,THEFT,23A,LOW,ORI100078,BLK0000000078,SCHOOL,0,SERIOUS,3,1,OPEN,0,1,0,491.31,1,680,PARCEL,2020-01-01T01:17:47
2020-01-01 01:18:00,FRAUD,23C,LOW,ORI100079,BLK0000000079,SCHOOL,0,MINOR,1,4,OPEN,0,0,0,176.57,0,1098,UNKNOWN,2020-01-01T01:18:48
2020-01-01 01:19:00,THEFT,250,LOW,ORI100080,BLK0000000080,TRANSIT,0,MINOR,6,1,OPEN,0,0,1,1554.55,0,642,STREET,2020-01-01T01:19:49
2020-01-01 01:20:00,THEFT,23B,MEDIUM,ORI100081,BLK0000000081,STREET,0,NONE,4,0,CLEARED_ARREST,0,0,0,1277.6,0,2833,ZIP,2020-01-01T01:20:50
2020-01-01 01:21:00,NARCOTICS,13A,MEDIUM,ORI100082,BLK0000000082,OTHER,0,NONE,6,3,CLEARED_ARREST,0,1,0,1898.7,1,2736,STREET,2020-01-01T01:21:51
2020-01-01 01:22:00,ROBBERY,26B,LOW,ORI100083,BLK0000000083,OTHER,0,NONE,3,3,OPEN,0,0,1,187.92,1,3359,STREET,2020-01-01T01:22:52
2020-01-01 01:23:00,BURGLARY,26B,HIGH,ORI100084,BLK0000000084,PARKING,0,NONE,0,4,OPEN,1,0,1,1213.4,0,579,PARCEL,2020-01-01T01:23:53
2020-01-01 01:24:00,FRAUD,13A,HIGH,ORI100085,BLK0000000085,TRANSIT,0,MINOR,1,5,OPEN,0,0,0,1167.4,1,674,STREET,2020-01-01T01:24:54
2020-01-01 01:25:00,THEFT,250,MEDIUM,ORI100086,BLK0000000086,RESIDENCE,0,SERIOUS,4,0,OPEN,0,0,1,2139.95,0,3559,ROOFTOP,2020-01-01T01:25:55
2020-01-01 01:26:00,WEAPONS,26B,LOW,ORI100087,BLK0000000087,OTHER,0,MINOR,2,2,OPEN,0,0,0,2112.27,0,2840,PARCEL,2020-01-01T01:26:56
2020-01-01 01:27:00,VANDALISM,13B,MEDIUM,ORI100088,BLK0000000088,BUSINESS,1,NONE,3,4,OPEN,0,0,0,3207.24,0,2675,ROOFTOP,2020-01-01T01:27:57
2020-01-01 01:28:00,FRAUD,26C,LOW,ORI100089,BLK0000000089,BAR,0,NONE,0,4,OPEN,0,0,0,1092.97,0,2388,STREET,2020-01-01T01:28:58
2020-01-01 01:29:00,FRAUD,90Z,LOW,ORI100090,BLK0000000090,BUSINESS,1,MINOR,1,5,OPEN,0,0,0,393.75,0,900,PARCEL,2020-01-01T01:29:59
2020-01-01 01:30:00,FRAUD,23B,LOW,ORI100091,BLK0000000091,TRANSIT,0,NONE,4,0,CLEARED_ARREST,0,0,0,2292.88,0,239,STREET,2020-01-01T01:30:15
2020-01-01 01:31:00,VANDALISM,13B,MEDIUM,ORI100092,BLK0000000092,OTHER,0,MINOR,4,0,OPEN,0,0,1,189.47,0,2294,BLOCK,2020-01-01T01:31:16
2020-01-01 01:32:00,ROBBERY,250,CRITICAL,ORI100093,BLK0000000093,PARKING,0,NONE,0,1,OPEN,0,0,1,1584.02,0,1015,PARCEL,2020-01-01T01:32:17
2020-01-01 01:33:00,BURGLARY,26B,LOW,ORI100094,BLK0000000094,BAR,0,NONE,1,0,CLEARED_EXCEPTION,0,0,0,1427.47,1,1926,ROOFTOP,2020-01-01T01:33:18
2020-01-01 01:34:00,DOMESTIC,26C,CRITICAL,ORI100095,BLK0000000095,BAR,0,SERIOUS,3,5,CLEARED_EXCEPTION,0,0,0,1250.02,1,2720,BLOCK,2020-01-01T01:34:19
2020-01-01 01:35:00,NARCOTICS,26B,LOW,ORI100096,BLK0000000096,STREET,0,NONE,0,4,OPEN,0,0,0,1343.8,0,2431,ROOFTOP,2020-01-01T01:35:20
2020-01-01 01:36:00,DUI,240,MEDIUM,ORI100097,BLK0000000097,BUSINESS,1,NONE,6,2,OPEN,0,1,1,367.86,1,1929,ROOFTOP,2020-01-01T01:36:21
2020-01-01 01:37:00,NARCOTICS,240,LOW,ORI100098,BLK0000000098,BUSINESS,0,SERIOUS,2,2,OPEN,0,0,0,670.11,1,2866,ROOFTOP,2020-01-01T01:37:22
2020-01-01 01:38:00,FRAUD,250,LOW,ORI100099,BLK0000000099,TRANSIT,0,SERIOUS,0,2,OPEN,0,0,0,3326.37,1,3243,BLOCK,2020-01-01T01:38:23
2020-01-01 01:39:00,DOMESTIC,13A,HIGH,ORI100100,BLK0000000100,BUSINESS,1,NONE,3,2,CLEARED_ARREST,0,0,1,1836.77,0,1090,STREET,2020-01-01T01:39:24
2020-01-01 01:40:00,WEAPONS,90Z,MEDIUM,ORI100101,BLK0000000101,RESIDENCE,0,NONE,4,0,OPEN,0,0,1,65.81,0,947,STREET,2020-01-01T01:40:25
2020-01-01 01:41:00,ROBBERY,90Z,LOW,ORI100102,BLK0000000102,TRANSIT,0,NONE,2,5,OPEN,0,0,0,572.27,0,3422,STREET,2020-01-01T01:41:26
2020-01-01 01:42:00,THEFT,13A,MEDIUM,ORI100103,BLK0000000103,PARK,0,NONE,3,0,CLEARED_ARREST,0,1,0,1887.25,0,625,STREET,2020-01-01T01:42:27
2020-01-01 01:43:00,THEFT,26B,LOW,ORI100104,BLK0000000104,PARKING,0,NONE,6,4,CLEARED_EXCEPTION,0,0,0,1253.0,1,498,PARCEL,2020-01-01T01:43:28
2020-01-01 01:44:00,NARCOTICS,23A,HIGH,ORI100105,BLK0000000105,RESIDENCE,1,NONE,6,2,OPEN,0,0,0,1280.32,0,1888,PARCEL,2020-01-01T01:44:29
2020-01-01 01:45:00,NARCOTICS,250,LOW,ORI100106,BLK0000000106,OTHER,0,NONE,3,5,OPEN,0,0,0,1874.09,0,1404,STREET,2020-01-01T01:45:30
2020-01-01 01:46:00,OTHER,26C,LOW,ORI100107,BLK0000000107,STREET,0,NONE,0,0,CLEARED_EXCEPTION,0,0,0,1719.64,1,49,STREET,2020-01-01T01:46:31
2020-01-01 01:47:00,ROBBERY,23A,HIGH,ORI100108,BLK0000000108,SCHOOL,0,NONE,4,5,OPEN,0,0,0,2279.23,0,633,UNKNOWN,2020-01-01T01:47:32
2020-01-01 01:48:00,ROBBERY,13B,MEDIUM,ORI100109,BLK0000000109,STREET,0,NONE,0,2,OPEN,0,0,0,328.44,1,1003,UNKNOWN,2020-01-01T01:48:33
2020-01-01 01:49:00,VANDALISM,26B,MEDIUM,ORI100110,BLK0000000110,PARKING,0,NONE,4,5,CLEARED_EXCEPTION,0,0,0,173.36,1,2799,STREET,2020-01-01T01:49:34
2020-01-01 01:50:00,FRAUD,23C,MEDIUM,ORI100111,BLK0000000111,BUSINESS,1,NONE,5,1,CLEARED_EXCEPTION,0,0,0,1317.27,1,3285,STREET,2020-01-01T01:50:35
2020-01-01 01:51:00,DOMESTIC,90Z,CRITICAL,ORI100112,BLK0000000112,PARKING,0,NONE,1,5,CLEARED_ARREST,0,0,0,617.15,1,343,ROOFTOP,2020-01-01T01:51:36
2020-01-01 01:52:00,ROBBERY,23B,MEDIUM,ORI100113,BLK0000000113,BUSINESS,0,NONE,2,1,OPEN,0,0,1,1536.34,1,1616,STREET,2020-01-01T01:52:37
2020-01-01 01:53:00,DUI,250,MEDIUM,ORI100114,BLK0000000114,PARK,0,MINOR,2,5,CLEARED_ARREST,0,0,1,1000.37,1,834,ROOFTOP,2020-01-01T01:53:38
2020-01-01 01:54:00,DUI,23C,MEDIUM,ORI100115,BLK0000000115,PARK,1,SERIOUS,2,2,OPEN,1,0,0,2230.93,0,1574,STREET,2020-01-01T01:54:39
2020-01-01 01:55:00,NARCOTICS,23A,LOW,ORI100116,BLK0000000116,STREET,0,FATAL,6,0,UNFOUNDED,0,0,0,2625.5,0,871,STREET,2020-01-01T01:55:40
2020-01-01 01:56:00,ROBBERY,23B,CRITICAL,ORI100117,BLK0000000117,BUSINESS,1,NONE,4,3,OPEN,0,0,0,1883.89,0,3412,PARCEL,2020-01-01T01:56:41
2020-01-01 01:57:00,OTHER,23C,LOW,ORI100118,BLK0000000118,PARK,1,NONE,1,2,CLEARED_EXCEPTION,1,0,1,480.25,0,2544,BLOCK,2020-01-01T01:57:42
2020-01-01 01:58:00,BURGLARY,90Z,MEDIUM,ORI100119,BLK0000000119,BAR,0,NONE,1,0,OPEN,0,0,0,3152.93,1,2102,BLOCK,2020-01-01T01:58:43
2020-01-01 01:59:00,VANDALISM,13A,HIGH,ORI100120,BLK0000000120,SCHOOL,0,MINOR,0,3,OPEN,0,0,0,497.19,0,236,STREET,2020-01-01T01:59:44
2020-01-01 02:00:00,THEFT,23B,LOW,ORI100121,BLK0000000121,SCHOOL,0,NONE,0,2,UNFOUNDED,0,0,1,2418.12,1,425,ROOFTOP,2020-01-01T02:00:45
2020-01-01 02:01:00,FRAUD,13B,LOW,ORI100122,BLK0000000122,PARKING,0,NONE,5,5,OPEN,0,0,1,419.77,1,1658,ROOFTOP,2020-01-01T02:01:46
2020-01-01 02:02:00,BURGLARY,90Z,LOW,ORI100123,BLK0000000123,STREET,0,NONE,6,2,UNFOUNDED,0,0,0,1300.96,1,3544,PARCEL,2020-01-01T02:02:47
2020-01-01 02:03:00,DOMESTIC,26A,LOW,ORI100124,BLK0000000124,SCHOOL,0,NONE,2,3,OPEN,0,0,0,392.33,1,2633,PARCEL,2020-01-01T02:03:48
2020-01-01 02:04:00,VANDALISM,250,HIGH,ORI100125,BLK0000000125,BUSINESS,0,NONE,4,1,OPEN,0,0,0,4041.58,1,1382,PARCEL,2020-01-01T02:04:49
2020-01-01 02:05:00,DUI,90Z,MEDIUM,ORI100126,BLK0000000126,PARKING,0,SERIOUS,3,3,CLEARED_EXCEPTION,0,0,1,1816.03,0,726,BLOCK,2020-01-01T02:05:50
2020-01-01 02:06:00,NARCOTICS,13A,LOW,ORI100127,BLK0000000127,PARK,0,NONE,4,2,OPEN,0,0,1,2573.53,1,2423,STREET,2020-01-01T02:06:51
2020-01-01 02:07:00,WEAPONS,26C,MEDIUM,ORI100128,BLK0000000128,RESIDENCE,0,MINOR,6,0,CLEARED_EXCEPTION,0,0,0,2160.03,0,2151,STREET,2020-01-01T02:07:52
2020-01-01 02:08:00,ROBBERY,220,LOW,ORI100129,BLK0000000129,TRANSIT,1,SERIOUS,2,3,OPEN,0,0,1,1406.55,0,917,ROOFTOP,2020-01-01T02:08:53
2020-01-01 02:09:00,FRAUD,23A,LOW,ORI100130,BLK0000000130,RESIDENCE,0,NONE,6,5,OPEN,0,1,0,2117.89,0,2564,STREET,2020-01-01T02:09:54
2020-01-01 02:10:00,DUI,26B,LOW,ORI100131,BLK0000000131,PARK,0,NONE,0,2,CLEARED_ARREST,0,1,0,3031.23,0,1945,PARCEL,2020-01-01T02:10:55
2020-01-01 02:11:00,THEFT,23C,MEDIUM,ORI100132,BLK0000000132,OTHER,0,MINOR,3,1,OPEN,0,0,1,656.62,1,1300,BLOCK,2020-01-01T02:11:56
2020-01-01 02:12:00,WEAPONS,250,LOW,ORI100133,BLK0000000133,BAR,1,MINOR,1,4,OPEN,0,0,0,1887.56,0,1225,PARCEL,2020-01-01T02:12:57
2020-01-01 02:13:00,FRAUD,240,LOW,ORI100134,BLK0000000134,BUSINESS,0,NONE,5,3,OPEN,0,0,0,761.93,1,3334,UNKNOWN,2020-01-01T02:13:58
