tax_customs_reference_month,tax_customs_country_iso2,tax_customs_customs_office_code,tax_customs_partner_country_iso2,tax_customs_hs2_code,tax_customs_tariff_rate_pct,tax_customs_customs_value_eur,tax_customs_duty_collected_eur,tax_customs_antidumping_duty_flag,tax_customs_sanctions_goods_flag,tax_customs_risk_channel_code,tax_customs_phytosanitary_control_flag,tax_customs_security_safety_declaration_flag,tax_customs_clearance_time_hours_median,tax_customs_post_clearance_audit_flag,tax_customs_infringement_case_count,tax_customs_aep_authorised_economic_operator_flag,tax_customs_import_one_stop_shop_ioss_flag,tax_customs_data_source,tax_customs_data_extract_date
2021-06,LV,LVCUST042,PL,56,3.108,2467770.8,37501.68,0,0,RED,0,1,123.83,1,12,1,0,ICS2_AGGREGATE,2025-08-20
2021-07,MT,MTCUST043,US,67,12.892,2486915.62,321318.53,0,0,GREEN,0,1,45.23,1,42,0,0,TARIC_ANALYTICS,2025-02-27
2021-08,PT,PTCUST044,CA,78,1.442,2560363.78,22076.27,0,0,YELLOW,1,1,25.4,0,2,0,1,FRAUD_RISK_SYSTEM,2024-04-16
2021-09,SI,SICUST045,AU,89,13.18,2599743.44,346678.91,0,0,RED,0,1,107.14,0,35,0,1,NATIONAL_CUSTOMS_ADMIN,2024-07-23
2021-10,AT,ATCUST046,DK,01,8.382,2695471.78,226132.4,0,1,GREEN,0,1,18.39,0,11,1,1,ICS2_AGGREGATE,2025-03-19
2021-11,HR,HRCUST047,IE,12,16.362,2719670.08,366969.0,0,0,YELLOW,0,1,70.95,0,25,0,0,TARIC_ANALYTICS,2024-04-18
2021-12,DK,DKCUST048,PL,23,6.688,2791490.35,123455.8,0,0,RED,1,1,40.9,0,44,1,1,FRAUD_RISK_SYSTEM,2025-12-31
2022-01,FR,FRCUST049,US,34,0.502,2852036.16,10574.96,0,0,GREEN,0,1,64.04,0,15,1,1,NATIONAL_CUSTOMS_ADMIN,2025-05-08
2022-02,HU,HUCUST050,CA,45,10.245,2893298.24,282151.84,0,0,YELLOW,0,1,34.82,0,6,1,0,ICS2_AGGREGATE,2024-07-09
2022-03,LV,LVCUST051,AU,56,2.089,2967490.14,32867.74,0,0,RED,0,1,106.94,1,14,0,0,TARIC_ANALYTICS,2025-01-18
2022-04,MT,MTCUST052,DK,67,11.436,3018257.05,317788.05,0,0,GREEN,0,1,58.77,0,15,0,1,FRAUD_RISK_SYSTEM,2024-10-27
2022-05,PT,PTCUST053,IE,78,0.367,3045399.13,8229.86,0,0,YELLOW,0,1,51.36,1,31,0,1,NATIONAL_CUSTOMS_ADMIN,2024-09-23
2022-06,SI,SICUST054,PL,89,14.294,3095921.74,344206.48,0,0,RED,0,1,38.88,0,11,1,0,ICS2_AGGREGATE,2024-01-29
2022-07,AT,ATCUST055,US,01,14.037,3192323.14,212823.11,0,0,GREEN,1,1,19.38,0,20,0,1,TARIC_ANALYTICS,2024-02-05
2022-08,HR,HRCUST056,CA,12,1.697,3231610.0,41558.92,0,0,YELLOW,1,1,85.63,1,6,0,1,FRAUD_RISK_SYSTEM,2025-02-11
2022-09,DK,DKCUST057,AU,23,2.837,3294457.18,68049.96,0,0,RED,0,1,50.12,0,14,0,1,NATIONAL_CUSTOMS_ADMIN,2025-12-26
2022-10,FR,FRCUST058,DK,34,4.942,3314622.5,113783.03,0,0,GREEN,1,1,57.06,1,19,1,1,ICS2_AGGREGATE,2024-05-18
2022-11,HU,HUCUST059,IE,45,7.997,3379154.11,259836.08,0,0,YELLOW,0,1,57.13,1,1,0,1,TARIC_ANALYTICS,2025-10-08
2022-12,LV,LVCUST060,PL,56,6.871,3465271.63,131144.17,0,0,RED,0,1,76.71,0,20,0,1,FRAUD_RISK_SYSTEM,2024-05-14
2023-01,MT,MTCUST061,US,67,7.66,3484956.97,128592.89,0,0,GREEN,1,1,0.82,0,16,0,0,NATIONAL_CUSTOMS_ADMIN,2024-07-29
2023-02,PT,PTCUST062,CA,78,10.631,3575987.41,267598.16,0,0,YELLOW,0,1,46.9,0,23,0,0,ICS2_AGGREGATE,2026-01-27
2023-03,SI,SICUST063,AU,89,0.402,3631969.16,12247.93,0,0,RED,0,1,15.4,0,39,1,1,TARIC_ANALYTICS,2025-05-16
2023-04,AT,ATCUST064,DK,01,16.496,3652739.73,608355.19,0,0,GREEN,1,1,40.61,1,38,0,0,FRAUD_RISK_SYSTEM,2025-01-07
2023-05,HR,HRCUST065,IE,12,0.504,3697058.72,19916.21,0,1,YELLOW,0,1,31.3,1,20,0,1,NATIONAL_CUSTOMS_ADMIN,2024-04-10
2023-06,DK,DKCUST066,PL,23,3.665,3792167.91,126658.06,0,0,RED,0,0,34.7,1,2,0,0,ICS2_AGGREGATE,2025-10-25
2023-07,FR,FRCUST067,US,34,11.98,3834931.38,473871.01,0,0,GREEN,0,1,23.28,1,23,0,0,TARIC_ANALYTICS,2025-02-14
2023-08,HU,HUCUST068,CA,45,1.582,3869800.19,50088.83,0,0,YELLOW,0,1,75.24,0,5,0,0,FRAUD_RISK_SYSTEM,2024-12-08
2023-09,LV,LVCUST069,AU,56,7.947,3933080.92,141344.74,0,0,RED,0,1,55.07,1,39,0,0,NATIONAL_CUSTOMS_ADMIN,2025-08-29
2023-10,MT,MTCUST070,DK,67,0.943,4010473.54,34598.63,0,1,GREEN,1,1,12.54,0,14,0,0,ICS2_AGGREGATE,2025-06-12
2023-11,PT,PTCUST071,IE,78,4.553,4073347.22,158656.2,0,0,YELLOW,0,1,48.21,1,23,1,1,TARIC_ANALYTICS,2024-10-19
2023-12,SI,SICUST072,PL,89,14.358,4098091.83,375989.65,0,0,RED,0,1,118.51,0,39,0,1,FRAUD_RISK_SYSTEM,2026-01-04
2024-01,AT,ATCUST073,US,01,4.599,4169101.41,203683.15,0,0,GREEN,0,1,20.47,1,3,0,1,NATIONAL_CUSTOMS_ADMIN,2025-11-22
2024-02,HR,HRCUST074,CA,12,10.722,4235407.14,427617.99,0,0,YELLOW,0,1,64.11,0,35,0,0,ICS2_AGGREGATE,2025-11-21
2024-03,DK,DKCUST075,AU,23,9.823,4278776.75,440437.2,0,0,RED,0,1,61.47,1,13,0,0,TARIC_ANALYTICS,2025-01-02
2024-04,FR,FRCUST076,DK,34,11.404,4314531.66,394291.6,0,0,GREEN,0,1,20.15,1,4,0,1,FRAUD_RISK_SYSTEM,2025-04-02
2024-05,HU,HUCUST077,IE,45,16.957,4384625.83,341082.01,0,0,YELLOW,0,1,75.02,0,14,0,1,NATIONAL_CUSTOMS_ADMIN,2024-01-23
2024-06,LV,LVCUST078,PL,56,6.309,4434419.46,222035.22,0,0,RED,0,1,36.99,1,23,0,0,ICS2_AGGREGATE,2025-07-04
2024-07,MT,MTCUST079,US,67,12.85,4479754.76,402179.47,0,0,GREEN,0,0,24.25,1,8,0,0,TARIC_ANALYTICS,2026-02-11
2024-08,PT,PTCUST080,CA,78,8.54,4564859.28,288067.13,0,0,YELLOW,0,1,20.13,0,34,0,0,FRAUD_RISK_SYSTEM,2024-09-01
2024-09,SI,SICUST081,AU,89,13.299,4602626.39,568811.57,0,0,RED,0,1,65.94,0,7,0,0,NATIONAL_CUSTOMS_ADMIN,2025-12-06
2024-10,AT,ATCUST082,DK,01,1.818,4660749.13,68437.68,0,1,GREEN,1,1,47.93,0,31,0,1,ICS2_AGGREGATE,2024-03-21
2024-11,HR,HRCUST083,IE,12,5.698,4722451.25,122171.25,0,0,YELLOW,1,1,21.17,0,12,0,0,TARIC_ANALYTICS,2025-11-21
2024-12,DK,DKCUST084,PL,23,8.841,4784259.88,268183.07,0,0,RED,1,1,50.42,0,26,1,1,FRAUD_RISK_SYSTEM,2025-05-24
2025-01,FR,FRCUST085,US,34,1.129,4815972.09,41871.26,0,0,GREEN,1,1,32.84,0,21,0,1,NATIONAL_CUSTOMS_ADMIN,2026-02-13
2025-02,HU,HUCUST086,CA,45,12.138,4893174.04,371626.38,0,0,YELLOW,0,1,28.98,0,35,0,1,ICS2_AGGREGATE,2024-05-23
2025-03,LV,LVCUST087,AU,56,12.625,4925936.92,395124.92,0,0,RED,0,1,125.71,0,6,0,1,TARIC_ANALYTICS,2025-03-29
2025-04,MT,MTCUST088,DK,67,2.9,4977827.43,142070.76,0,0,GREEN,0,1,53.19,0,37,0,1,FRAUD_RISK_SYSTEM,2025-07-20
2025-05,PT,PTCUST089,IE,78,3.364,5033568.55,145911.47,0,0,YELLOW,0,1,4.07,1,5,1,0,NATIONAL_CUSTOMS_ADMIN,2025-08-21
2025-06,SI,SICUST090,PL,89,16.241,5083180.58,414655.67,0,0,RED,1,0,108.45,0,28,0,1,ICS2_AGGREGATE,2025-05-16
2025-07,AT,ATCUST091,US,01,13.901,5159466.25,459402.94,0,0,GREEN,0,1,32.67,0,37,0,1,TARIC_ANALYTICS,2024-03-22
2025-08,HR,HRCUST092,CA,12,10.346,5206031.67,433225.56,0,0,YELLOW,1,1,45.1,0,1,0,1,FRAUD_RISK_SYSTEM,2025-08-03
2025-09,DK,DKCUST093,AU,23,5.988,5246892.27,273089.95,1,0,RED,1,1,79.34,0,32,0,0,NATIONAL_CUSTOMS_ADMIN,2026-02-15
2025-10,FR,FRCUST094,DK,34,4.22,5318797.22,178844.36,0,0,GREEN,0,1,50.85,0,4,1,1,ICS2_AGGREGATE,2024-06-22
2025-11,HU,HUCUST095,IE,45,5.628,5390321.92,231402.21,0,1,YELLOW,0,1,63.69,0,8,1,1,TARIC_ANALYTICS,2025-07-16
2025-12,LV,LVCUST096,PL,56,9.828,5419084.13,391689.21,0,0,RED,0,1,61.03,1,23,1,0,FRAUD_RISK_SYSTEM,2025-02-22
2026-01,MT,MTCUST097,US,67,1.429,5477865.88,36739.43,0,0,GREEN,0,1,32.98,1,7,0,0,NATIONAL_CUSTOMS_ADMIN,2024-06-26
2026-02,PT,PTCUST098,CA,78,3.859,5552796.22,209824.47,0,0,YELLOW,0,0,33.32,1,36,0,1,ICS2_AGGREGATE,2024-09-24
2026-03,SI,SICUST099,AU,89,15.412,5611022.64,666301.8,0,0,RED,0,1,63.4,0,52,1,1,TARIC_ANALYTICS,2026-02-13
2026-04,AT,ATCUST100,DK,01,7.105,5640308.81,428790.01,0,0,GREEN,1,0,25.87,0,36,0,0,FRAUD_RISK_SYSTEM,2025-07-28
2026-05,HR,HRCUST101,IE,12,14.708,5709569.72,921133.65,0,0,YELLOW,1,1,34.93,1,10,0,0,NATIONAL_CUSTOMS_ADMIN,2025-01-11
2026-06,DK,DKCUST102,PL,23,6.403,5744455.16,263388.39,0,0,RED,0,1,83.83,0,33,0,0,ICS2_AGGREGATE,2024-10-01
2026-07,FR,FRCUST103,US,34,11.87,5807004.87,487648.54,0,0,GREEN,0,1,3.65,0,39,1,0,TARIC_ANALYTICS,2024-03-03
2026-08,HU,HUCUST104,CA,45,16.477,5859329.76,725978.27,0,0,YELLOW,1,1,40.15,1,14,0,0,FRAUD_RISK_SYSTEM,2024-03-14
2026-09,LV,LVCUST105,AU,56,8.124,5919912.9,469069.25,0,0,RED,0,1,69.95,0,30,0,0,NATIONAL_CUSTOMS_ADMIN,2025-01-18
2026-10,MT,MTCUST106,DK,67,12.246,5960073.08,705023.1,0,0,GREEN,1,1,11.54,0,27,0,0,ICS2_AGGREGATE,2025-07-07
2026-11,PT,PTCUST107,IE,78,8.606,6053195.67,360087.95,0,0,YELLOW,0,1,60.69,1,15,0,1,TARIC_ANALYTICS,2024-10-29
2026-12,SI,SICUST108,PL,89,14.966,6074202.72,580438.97,0,0,RED,0,1,47.99,0,44,0,1,FRAUD_RISK_SYSTEM,2024-07-09
2018-01,AT,ATCUST109,US,01,10.636,6157071.85,301313.58,0,0,GREEN,1,1,28.79,0,39,0,1,NATIONAL_CUSTOMS_ADMIN,2025-05-27
2018-02,HR,HRCUST110,CA,12,7.327,6201576.64,292517.45,0,0,YELLOW,0,1,31.1,0,31,0,1,ICS2_AGGREGATE,2024-05-30
2018-03,DK,DKCUST111,AU,23,0.903,6270977.95,45602.04,0,0,RED,1,0,123.24,1,9,1,0,TARIC_ANALYTICS,2024-09-16
2018-04,FR,FRCUST112,DK,34,16.459,6317869.57,811089.28,0,0,GREEN,0,0,3.62,1,13,1,0,FRAUD_RISK_SYSTEM,2024-04-28
2018-05,HU,HUCUST113,IE,45,4.76,6359945.17,160823.58,0,0,YELLOW,1,1,24.49,0,4,0,0,NATIONAL_CUSTOMS_ADMIN,2025-09-15
2018-06,LV,LVCUST114,PL,56,8.601,6425872.41,282366.33,0,0,RED,0,1,118.56,0,7,0,1,ICS2_AGGREGATE,2025-04-24
2018-07,MT,MTCUST115,US,67,16.378,6488271.38,1096405.24,0,0,GREEN,0,1,38.3,0,3,1,1,TARIC_ANALYTICS,2024-08-04
2018-08,PT,PTCUST116,CA,78,0.345,6520455.85,23501.89,0,0,YELLOW,0,1,19.95,0,1,0,1,FRAUD_RISK_SYSTEM,2024-08-04
2018-09,SI,SICUST117,AU,89,16.585,6599973.02,1053645.52,0,0,RED,0,1,101.9,0,6,1,0,NATIONAL_CUSTOMS_ADMIN,2025-02-14
2018-10,AT,ATCUST118,DK,01,13.014,6611862.45,862933.94,0,0,GREEN,0,1,52.01,0,39,0,0,ICS2_AGGREGATE,2026-01-23
2018-11,HR,HRCUST119,IE,12,16.22,6696899.44,992412.15,0,0,YELLOW,1,0,49.38,0,6,0,1,TARIC_ANALYTICS,2025-10-16
2018-12,DK,DKCUST120,PL,23,7.747,6768297.42,480038.43,0,0,RED,1,1,64.69,1,15,1,0,FRAUD_RISK_SYSTEM,2025-07-27
2019-01,FR,FRCUST001,US,34,12.25,6808302.77,562253.6,0,0,GREEN,0,0,28.18,0,7,1,0,NATIONAL_CUSTOMS_ADMIN,2025-03-26
2019-02,HU,HUCUST002,CA,45,12.099,6865699.1,523646.74,0,0,YELLOW,0,1,81.65,1,17,0,1,ICS2_AGGREGATE,2024-03-26
2019-03,LV,LVCUST003,AU,56,14.741,6899016.86,1038662.81,0,0,RED,1,0,98.58,1,44,0,1,TARIC_ANALYTICS,2024-10-28
2019-04,MT,MTCUST004,DK,67,9.224,6968606.58,545656.41,0,0,GREEN,0,1,25.75,1,18,0,0,FRAUD_RISK_SYSTEM,2025-10-11
2019-05,PT,PTCUST005,IE,78,4.777,7002000.29,327365.62,0,0,YELLOW,0,0,75.02,1,6,0,0,NATIONAL_CUSTOMS_ADMIN,2025-06-15
2019-06,SI,SICUST006,PL,89,9.974,7059179.55,418997.29,1,1,RED,0,0,33.23,1,17,0,1,ICS2_AGGREGATE,2024-06-20
2019-07,AT,ATCUST007,US,01,13.719,7130318.51,489800.48,0,0,GREEN,1,1,38.05,0,20,0,0,TARIC_ANALYTICS,2024-09-17
2019-08,HR,HRCUST008,CA,12,2.674,7161575.46,198896.14,0,1,YELLOW,0,1,13.01,0,25,1,1,FRAUD_RISK_SYSTEM,2024-10-10
2019-09,DK,DKCUST009,AU,23,16.399,7249298.1,1284423.1,0,0,RED,1,0,96.6,1,14,1,0,NATIONAL_CUSTOMS_ADMIN,2024-11-20
2019-10,FR,FRCUST010,DK,34,5.521,7282495.78,241029.0,1,0,GREEN,0,1,68.65,1,23,1,0,ICS2_AGGREGATE,2025-11-05
2019-11,HU,HUCUST011,IE,45,15.367,7343495.84,1071818.42,0,0,YELLOW,0,1,80.11,1,38,0,1,TARIC_ANALYTICS,2025-05-20
2019-12,LV,LVCUST012,PL,56,14.984,7411378.63,703613.48,0,0,RED,0,1,49.27,1,41,0,0,FRAUD_RISK_SYSTEM,2026-01-31
2020-01,MT,MTCUST013,US,67,8.002,7481071.45,474439.94,0,1,GREEN,0,0,8.37,0,24,0,0,NATIONAL_CUSTOMS_ADMIN,2025-06-26
2020-02,PT,PTCUST014,CA,78,10.064,7492909.82,764183.26,0,0,YELLOW,0,1,74.79,0,12,0,1,ICS2_AGGREGATE,2024-03-27
2020-03,SI,SICUST015,AU,89,1.693,7548934.09,62334.94,0,0,RED,0,1,96.76,0,35,0,0,TARIC_ANALYTICS,2024-09-03
2020-04,AT,ATCUST016,DK,01,1.336,7640671.02,107054.0,0,0,GREEN,1,0,11.68,0,41,1,0,FRAUD_RISK_SYSTEM,2025-02-17
2020-05,HR,HRCUST017,IE,12,6.776,7660018.7,518662.15,1,0,YELLOW,0,1,48.84,0,11,0,0,NATIONAL_CUSTOMS_ADMIN,2024-11-25
2020-06,DK,DKCUST018,PL,23,13.849,7714059.18,966903.96,0,0,RED,0,1,2.32,0,44,0,0,ICS2_AGGREGATE,2025-03-01
2020-07,FR,FRCUST019,US,34,0.681,7769912.93,42518.71,0,0,GREEN,0,1,39.41,0,2,1,1,TARIC_ANALYTICS,2024-03-23
2020-08,HU,HUCUST020,CA,45,13.641,7828270.69,885024.66,0,0,YELLOW,0,1,1.32,1,40,0,1,FRAUD_RISK_SYSTEM,2024-03-17
2020-09,LV,LVCUST021,AU,56,10.894,7907602.07,746966.09,0,0,RED,0,0,28.23,0,22,0,0,NATIONAL_CUSTOMS_ADMIN,2025-11-12
2020-10,MT,MTCUST022,DK,67,10.432,7954327.16,909259.38,0,0,GREEN,0,0,22.67,1,3,0,0,ICS2_AGGREGATE,2024-09-01
2020-11,PT,PTCUST023,IE,78,10.536,8027807.4,603096.72,1,0,YELLOW,0,1,56.65,0,29,0,0,TARIC_ANALYTICS,2025-06-05
2020-12,SI,SICUST024,PL,89,7.834,8080001.91,366489.12,0,0,RED,1,1,22.73,0,34,1,0,FRAUD_RISK_SYSTEM,2026-01-21
2021-01,AT,ATCUST025,US,01,16.903,8099788.22,840424.64,0,0,GREEN,1,1,2.8,0,31,0,0,NATIONAL_CUSTOMS_ADMIN,2025-04-11
2021-02,HR,HRCUST026,CA,12,0.944,8193208.11,48891.35,0,0,YELLOW,0,0,32.82,0,11,0,1,ICS2_AGGREGATE,2025-11-08
2021-03,DK,DKCUST027,AU,23,15.593,8231034.44,951735.45,0,0,RED,0,1,84.6,0,18,0,1,TARIC_ANALYTICS,2026-02-01
2021-04,FR,FRCUST028,DK,34,7.092,8298417.71,594613.92,0,0,GREEN,0,1,32.83,0,45,0,0,FRAUD_RISK_SYSTEM,2024-10-10
2021-05,HU,HUCUST029,IE,45,8.148,8328139.22,432182.08,0,0,YELLOW,0,1,89.31,1,33,0,0,NATIONAL_CUSTOMS_ADMIN,2024-01-25
2021-06,LV,LVCUST030,PL,56,16.541,8414090.81,1480025.52,0,0,RED,0,1,5.81,1,50,1,0,ICS2_AGGREGATE,2025-12-15
2021-07,MT,MTCUST031,US,67,2.51,8462999.79,174919.01,0,0,GREEN,1,0,37.22,0,10,0,0,TARIC_ANALYTICS,2024-04-20
2021-08,PT,PTCUST032,CA,78,16.41,8505968.82,1151395.88,0,0,YELLOW,0,1,20.93,0,0,0,1,FRAUD_RISK_SYSTEM,2025-06-06
2021-09,SI,SICUST033,AU,89,2.27,8540829.38,172047.95,0,0,RED,0,1,56.79,0,33,0,0,NATIONAL_CUSTOMS_ADMIN,2024-02-25
2021-10,AT,ATCUST034,DK,01,10.938,8631138.69,635932.87,1,0,GREEN,0,1,58.02,0,42,0,0,ICS2_AGGREGATE,2024-12-25
2021-11,HR,HRCUST035,IE,12,4.757,8653561.93,231778.33,0,0,YELLOW,1,1,76.66,0,12,0,0,TARIC_ANALYTICS,2024-08-04
2021-12,DK,DKCUST036,PL,23,14.96,8737425.92,1215864.06,0,0,RED,1,1,65.78,0,5,0,0,FRAUD_RISK_SYSTEM,2024-12-07
2022-01,FR,FRCUST037,US,34,2.292,8803629.74,189957.5,0,0,GREEN,0,1,51.29,0,19,0,0,NATIONAL_CUSTOMS_ADMIN,2024-09-11
2022-02,HU,HUCUST038,CA,45,8.659,8813452.22,800210.31,1,0,YELLOW,0,1,50.1,0,1,0,1,ICS2_AGGREGATE,2025-05-09
2022-03,LV,LVCUST039,AU,56,2.55,8886154.0,110993.31,0,0,RED,1,1,58.0,0,20,0,1,TARIC_ANALYTICS,2025-01-21
2022-04,MT,MTCUST040,DK,67,5.066,8925157.57,376753.35,0,0,GREEN,0,1,22.59,0,27,1,1,FRAUD_RISK_SYSTEM,2024-02-16
2022-05,PT,PTCUST041,IE,78,4.371,8982762.79,232673.55,1,0,YELLOW,0,0,34.6,0,5,0,0,NATIONAL_CUSTOMS_ADMIN,2025-07-26
2022-06,SI,SICUST042,PL,89,6.139,9037561.53,479484.98,0,0,RED,0,1,20.07,0,32,1,1,ICS2_AGGREGATE,2025-06-09
