tech_infra_project_start_date,tech_infra_project_id,tech_infra_project_type_code,tech_infra_funding_source_code,tech_infra_total_budget_inr,tech_infra_matching_funds_inr,tech_infra_km_fiber_planned,tech_infra_km_fiber_completed,tech_infra_locations_planned,tech_infra_locations_connected,tech_infra_construction_status_code,tech_infra_permits_issued_count,tech_infra_right_of_way_delay_days,tech_infra_contractor_id,tech_infra_workforce_local_hire_pct,tech_infra_equipment_supply_risk_score,tech_infra_open_access_policy_flag,tech_infra_community_anchor_sites_connected,tech_infra_performance_milestone_met_flag,tech_infra_project_closeout_date
2023-03-10,INFHN4LC0W21P,COMMUNITY_WIFI,MDB_LOAN,147525733,89233979,676.6,526.9,152818,56088,COMPLETED,938,165,CON2783423,60.2,0.19,1,465,1,2020-12-24
2024-05-07,INFYX11CFY2G3,LAST_MILE,USOF,82647655,52748218,1121.6,492.0,243532,162101,CANCELLED,1346,64,CON7704698,10.2,0.859,1,753,0,2023-02-13
2019-07-26,INFFZW7XMUMC4,TOWER_UPGRADE,PPP,160582465,52770959,1185.7,420.0,228223,135568,PLANNED,1118,306,CON9161746,84.9,0.12,1,2044,0,
2023-05-18,INFFOAQIW7882,FIBER_BACKBONE,USOF,60794825,34713038,1388.9,955.6,99513,43624,ON_HOLD,461,116,CON9480885,27.5,0.194,0,828,0,
2025-07-05,INF3S04IKWSVD,FIBER_BACKBONE,PRIVATE_CAPEX,64348762,28849702,913.4,733.2,40997,15048,CANCELLED,311,184,CON7600635,92.1,0.82,0,1705,0,2021-03-24
2022-03-03,INFAWOQVGA6NR,COMMUNITY_WIFI,PRIVATE_CAPEX,186895303,92447876,1220.6,873.0,168713,114468,COMPLETED,1039,66,CON9831530,19.4,0.986,1,74,0,2024-05-09
2021-09-28,INFWUX3DQ3EGG,TOWER_UPGRADE,PRIVATE_CAPEX,71395549,45614344,1406.0,1263.8,49916,2328,PLANNED,1342,268,CON6493629,29.0,0.647,1,913,0,
2025-11-01,INFH5U69NPUDU,FIBER_BACKBONE,PPP,3204149,1759990,1176.7,964.1,233639,111004,CANCELLED,470,21,CON9923082,24.6,0.996,1,2040,0,2023-04-20
2022-07-16,INFUO5Q3V4N24,SAT_GATEWAY,MDB_LOAN,121680530,21597770,1078.3,27.2,127239,13239,IN_PROGRESS,350,362,CON0389305,44.7,0.932,0,162,0,
2024-05-03,INFPV6U9TO0OG,COMMUNITY_WIFI,STATE_GRANT,218962820,28797469,921.0,35.6,188687,71406,PLANNED,63,322,CON0111624,51.9,0.435,0,1904,1,
2020-02-05,INFNEJNETCJQU,LAST_MILE,USOF,240547073,123621741,1204.4,953.8,95878,22152,ON_HOLD,92,245,CON2892651,49.5,0.73,0,2516,1,
2025-08-28,INFARB14A3IEJ,LAST_MILE,PPP,80307383,39859957,546.4,364.2,79623,50489,IN_PROGRESS,1379,188,CON4540770,60.9,0.576,0,2261,1,
2024-10-08,INFKEBR0N951C,FIBER_BACKBONE,MDB_LOAN,94470027,24947995,86.2,5.5,91549,31704,PLANNED,1456,266,CON8459417,45.1,0.401,0,577,0,
2025-05-21,INFB9KI3LT0GU,SAT_GATEWAY,PPP,150487341,39572928,801.1,25.4,44310,8322,PLANNED,1126,331,CON8359225,39.2,0.97,0,2065,0,
2021-02-15,INFIJR3L3B727,COMMUNITY_WIFI,USOF,50316353,20932334,1499.1,192.9,5296,4694,IN_PROGRESS,124,324,CON8544537,45.1,0.122,1,1886,0,
2024-10-14,INFEAVUULVXMA,FIBER_BACKBONE,MDB_LOAN,176313632,104151177,1060.5,566.3,192771,75350,CANCELLED,1008,358,CON2392501,3.1,0.828,0,327,1,2023-01-05
2022-08-31,INFF2IXU6IQD1,TOWER_UPGRADE,PPP,145874365,67035162,1342.1,1018.3,52988,45057,COMPLETED,614,66,CON8385353,10.8,0.164,1,2471,0,2025-09-29
2020-01-16,INFIWBU0VCKHA,COMMUNITY_WIFI,PPP,197157634,17801839,656.9,600.0,68944,64050,IN_PROGRESS,686,230,CON1334727,9.3,0.545,0,2484,1,
2025-10-08,INFRUQT012JO9,FIBER_BACKBONE,PPP,47457191,1421052,866.6,446.2,158234,105920,ON_HOLD,1368,171,CON6110415,55.5,0.197,0,1143,0,
2023-06-06,INFX6W81EJSNN,LAST_MILE,MDB_LOAN,197236220,93858037,600.6,434.6,221834,107076,ON_HOLD,1216,81,CON0231020,95.9,0.55,1,832,0,
2020-03-30,INFR8O61BTR9I,FIBER_BACKBONE,PRIVATE_CAPEX,102486023,40148190,1348.7,1132.0,164311,4520,CANCELLED,204,256,CON0455186,56.4,0.121,1,2075,0,2022-07-07
2022-06-20,INF092ZE6CATQ,TOWER_UPGRADE,MDB_LOAN,222624273,47960846,1150.2,387.9,179093,9377,CANCELLED,400,211,CON7253454,77.9,0.548,1,62,0,2023-08-17
2019-11-22,INFK634LJ5FXR,COMMUNITY_WIFI,STATE_GRANT,6630071,4306287,278.3,183.5,55630,28129,PLANNED,1405,141,CON7554979,6.8,0.347,0,1784,1,
2025-08-27,INF6CZH5F983K,COMMUNITY_WIFI,PPP,167766261,68739515,703.8,255.5,14298,9811,IN_PROGRESS,798,134,CON4142624,93.6,0.163,0,572,0,
2024-06-02,INFGVV53OV30P,FIBER_BACKBONE,STATE_GRANT,152397512,67097155,579.0,379.7,207035,44093,PLANNED,40,344,CON5392201,53.7,0.988,1,2722,0,
2025-06-01,INFJKD4O5P8BI,TOWER_UPGRADE,STATE_GRANT,222631873,11230646,426.9,292.2,36489,7337,ON_HOLD,709,223,CON1312200,70.7,0.615,1,28,0,
2024-04-25,INFS5M9HUQQB9,LAST_MILE,USOF,24324634,2782476,261.3,43.4,219106,208535,IN_PROGRESS,1271,20,CON7995148,8.2,0.059,0,2375,1,
2024-10-26,INFTNLZ83KIPQ,COMMUNITY_WIFI,STATE_GRANT,229142096,129224783,1405.6,827.0,181041,159221,PLANNED,534,95,CON9639193,66.4,0.949,1,179,1,
2022-02-08,INFPA39T2KXYR,FIBER_BACKBONE,PPP,160722802,10042341,329.7,245.5,188564,182764,ON_HOLD,72,215,CON4621388,46.3,0.634,0,1197,0,
2025-03-27,INFO0FXTZ2H0O,TOWER_UPGRADE,USOF,208646650,122024358,551.0,390.4,191958,81440,ON_HOLD,805,348,CON8856255,58.0,0.881,0,1844,1,
2019-06-18,INFN2O2LHLRXN,FIBER_BACKBONE,PPP,151949675,25723759,1137.7,64.1,99804,77623,IN_PROGRESS,546,166,CON9063847,62.4,0.126,0,2998,1,
2023-12-02,INFXQMEC69Y3B,COMMUNITY_WIFI,STATE_GRANT,202530866,87756706,385.5,266.9,42359,40037,PLANNED,1028,151,CON2896334,99.5,0.424,1,2278,0,
2019-08-02,INFXKBFUHNP77,TOWER_UPGRADE,PRIVATE_CAPEX,80971991,35878620,1255.7,935.0,12450,3004,CANCELLED,245,346,CON0147466,76.0,0.862,0,2818,0,2022-09-02
2025-04-01,INF8ELUAUKYCH,COMMUNITY_WIFI,USOF,101015951,52777209,61.0,34.5,176766,21053,CANCELLED,671,150,CON3082790,16.1,0.928,1,2953,0,2025-11-12
2019-06-26,INFJWKU35QE2R,LAST_MILE,USOF,10347860,1072287,1318.6,1221.1,186425,127669,IN_PROGRESS,887,326,CON0844486,33.5,0.834,0,1348,0,
2025-08-12,INF3N3P6UVGXG,LAST_MILE,PRIVATE_CAPEX,84697927,45160461,1195.1,1114.5,36136,11169,ON_HOLD,1012,237,CON9574946,16.5,0.689,1,2966,0,
2025-09-28,INF3OU1X4CN0X,TOWER_UPGRADE,MDB_LOAN,148715128,99718117,1475.4,1403.5,230362,115215,PLANNED,27,335,CON6774839,45.1,0.121,1,404,0,
2019-10-15,INFPRN0TYU4RJ,SAT_GATEWAY,MDB_LOAN,217387421,6017065,1090.7,572.8,24652,7672,ON_HOLD,942,36,CON8863233,78.0,0.917,1,1010,0,
2021-12-28,INFRX3Z5XEHIL,LAST_MILE,PPP,75075272,22884501,753.0,667.0,169151,67155,COMPLETED,725,278,CON4375201,41.4,0.524,1,1797,0,2021-04-06
2020-10-29,INFMLR2ETL6L8,SAT_GATEWAY,USOF,152762428,36486125,714.6,626.6,155897,26131,CANCELLED,4,256,CON8345062,15.6,0.692,1,1792,0,2024-04-20
2020-06-02,INFDB3TSET4WI,TOWER_UPGRADE,PRIVATE_CAPEX,12067903,6698334,870.9,476.1,56952,51779,CANCELLED,975,27,CON3198869,24.4,0.95,0,2147,1,2023-11-10
2021-10-01,INFLVC7K90C9N,LAST_MILE,PRIVATE_CAPEX,226751616,131421818,432.3,394.6,10793,972,ON_HOLD,226,285,CON6753123,63.4,0.803,0,529,0,
2020-03-06,INF6T9RXDYG9Z,SAT_GATEWAY,PRIVATE_CAPEX,128349890,89077292,72.4,27.7,119072,18185,PLANNED,1468,238,CON3143136,36.6,0.155,0,2062,0,
2020-05-30,INFRGWYJFEYLF,FIBER_BACKBONE,USOF,123675856,70505749,454.5,166.1,179693,121323,PLANNED,468,208,CON6576149,4.9,0.952,0,68,0,
2021-12-14,INFSCM8UICM9S,TOWER_UPGRADE,PRIVATE_CAPEX,79661361,44922895,1154.5,47.5,212531,82008,COMPLETED,153,133,CON0790872,5.5,0.749,1,2633,0,2021-01-11
2019-03-24,INF3VPOWWS4UB,TOWER_UPGRADE,MDB_LOAN,86563645,16965492,915.4,147.0,146075,93348,PLANNED,1150,276,CON3465462,74.3,0.229,0,680,0,
2020-12-10,INFWC8MGTCQZG,SAT_GATEWAY,STATE_GRANT,186299093,118057615,1334.7,750.5,139405,88891,IN_PROGRESS,311,175,CON4826288,59.4,0.932,1,2068,1,
2023-06-27,INFWYSE43GOPU,LAST_MILE,MDB_LOAN,145038645,49103740,334.1,219.1,113246,87227,IN_PROGRESS,681,261,CON4747735,79.1,0.957,1,1375,0,
2020-03-21,INF8D5WOPSUF0,FIBER_BACKBONE,PRIVATE_CAPEX,3367059,332552,1185.0,689.8,198104,170688,ON_HOLD,928,216,CON2171908,89.6,0.661,0,655,0,
2020-07-18,INF05PRX3JNL4,LAST_MILE,PRIVATE_CAPEX,180486435,82297587,1092.9,608.8,115759,40145,IN_PROGRESS,583,8,CON6531904,64.2,0.877,1,648,0,
2022-10-10,INFJ9J6YCP24B,COMMUNITY_WIFI,PRIVATE_CAPEX,12709547,1207447,607.4,557.3,64319,27699,COMPLETED,857,118,CON7494133,26.3,0.065,1,2804,1,2022-09-28
2022-12-25,INF7SMQQ8U885,SAT_GATEWAY,USOF,223681571,142654594,1351.8,555.6,194285,63209,PLANNED,1204,95,CON8340283,27.6,0.577,0,547,1,
2026-02-15,INF0RUROYCSG9,TOWER_UPGRADE,MDB_LOAN,236662213,20359712,746.8,94.8,38572,4709,ON_HOLD,150,321,CON1046251,37.4,0.34,0,1252,0,
2024-11-26,INF682BFTVCQI,SAT_GATEWAY,STATE_GRANT,148526325,7307642,766.6,56.7,176558,83970,CANCELLED,210,47,CON1683832,53.7,0.025,0,1586,0,2021-10-04
2021-08-30,INFYU3GEW2V9W,SAT_GATEWAY,STATE_GRANT,93054638,19733529,853.8,404.5,44290,5238,PLANNED,700,337,CON9110991,94.0,0.297,0,2209,0,
2022-05-11,INFHY9EL7W16A,TOWER_UPGRADE,STATE_GRANT,3393621,1225027,851.9,0.9,201807,16735,ON_HOLD,138,306,CON9819780,1.6,0.035,1,1156,0,
2022-09-04,INFCG119S377F,FIBER_BACKBONE,STATE_GRANT,157766749,97159164,52.3,48.2,74781,63909,CANCELLED,256,95,CON4529141,86.3,0.118,0,1232,0,2021-12-05
2022-03-12,INF8V01L2VV0D,FIBER_BACKBONE,PPP,126511527,39061109,1074.9,212.8,112177,69118,COMPLETED,1479,56,CON5705328,52.5,0.302,0,391,0,2023-07-12
2023-03-30,INFOFK2LPYLZG,LAST_MILE,USOF,108457531,2757810,1140.9,268.0,177604,164885,CANCELLED,1471,321,CON9373095,2.5,0.718,0,1648,0,2025-01-21
2023-06-09,INFAUT59OKY0S,LAST_MILE,USOF,47386997,1554222,89.5,17.8,29794,5811,PLANNED,750,292,CON9670418,5.0,0.349,1,1272,0,
2024-07-16,INFTJMF6P10GE,TOWER_UPGRADE,MDB_LOAN,219588470,48529358,488.7,163.6,190262,184560,PLANNED,428,68,CON6112959,7.6,0.215,0,1926,0,
2024-09-27,INFYF6QKFK73T,FIBER_BACKBONE,PRIVATE_CAPEX,249879044,9906689,871.6,496.7,96143,85247,PLANNED,328,212,CON0176252,88.4,0.458,0,2495,0,
2022-02-04,INFDRYTKV6Z6F,LAST_MILE,PRIVATE_CAPEX,128128265,12010232,786.6,575.8,4064,668,ON_HOLD,773,78,CON5240456,63.4,0.793,0,1718,0,
2024-12-20,INFT3ZGPA8QRI,COMMUNITY_WIFI,PPP,176400388,78525410,312.7,77.1,177883,148620,CANCELLED,662,345,CON4773611,30.5,0.477,1,2664,0,2025-12-26
2023-09-10,INFUXDVZRB4WC,COMMUNITY_WIFI,PPP,21077484,6006229,1422.7,550.1,233650,21731,ON_HOLD,1109,16,CON8584356,27.2,0.027,0,2379,0,
2022-09-26,INF6MVAKUNZ1A,COMMUNITY_WIFI,PPP,90228183,52421260,1224.5,1065.7,248316,194700,CANCELLED,1352,191,CON2156626,76.7,0.208,0,762,0,2025-12-06
2019-04-07,INFW3L297INJR,COMMUNITY_WIFI,STATE_GRANT,97818542,22198637,308.8,272.3,239037,214737,COMPLETED,368,93,CON1091140,97.9,0.934,0,549,1,2025-07-30
2024-07-11,INFR8E7IZNP98,TOWER_UPGRADE,PPP,129745594,51501783,317.5,267.8,186241,159107,CANCELLED,352,115,CON2582070,33.8,0.889,1,887,1,2022-02-28
2022-10-02,INFTHQDZ682TX,SAT_GATEWAY,PRIVATE_CAPEX,151102612,2362709,284.8,71.2,134313,69375,COMPLETED,413,241,CON9307392,6.4,0.822,1,16,1,2024-01-02
2021-04-24,INFQ5BJBO32QL,FIBER_BACKBONE,PPP,77693765,19638349,1322.7,566.6,242112,193819,CANCELLED,845,94,CON7117761,22.6,0.399,0,2622,0,2020-11-21
2021-07-23,INFJMRXPY4KC6,LAST_MILE,USOF,5183394,187886,461.2,67.1,64480,12650,COMPLETED,1325,138,CON5274217,38.1,0.665,0,2034,0,2023-10-04
2023-03-08,INFG98HDBX754,FIBER_BACKBONE,PPP,18930098,2248735,192.3,87.2,190119,27734,COMPLETED,443,258,CON6090029,80.9,0.296,0,2356,1,2022-03-05
2021-01-15,INFZX0PG1RN4C,COMMUNITY_WIFI,PRIVATE_CAPEX,44653961,13378696,289.3,232.0,113978,28035,CANCELLED,533,113,CON7465476,12.7,0.932,0,2157,0,2021-11-15
2022-03-01,INFZBD2THY2MY,TOWER_UPGRADE,PPP,99650019,39802664,542.2,5.9,241830,3298,IN_PROGRESS,1404,15,CON3653149,8.3,0.232,1,2390,0,
2020-08-19,INFHS5BK1EXIK,FIBER_BACKBONE,MDB_LOAN,11182261,395149,440.8,430.8,83519,37780,PLANNED,166,319,CON6530628,35.8,0.602,0,124,0,
2019-04-10,INF6F9OCPJIDJ,COMMUNITY_WIFI,PRIVATE_CAPEX,24620395,4941549,679.2,411.9,206615,141932,CANCELLED,1128,134,CON3767036,85.7,0.358,0,2515,1,2023-02-25
2022-10-09,INFB2AO0MM3Q9,SAT_GATEWAY,PRIVATE_CAPEX,66134714,38932888,648.2,623.4,222724,185928,CANCELLED,396,342,CON8974242,95.4,0.949,0,1647,1,2023-03-03
2021-11-12,INFS3Z6WWE1V9,FIBER_BACKBONE,MDB_LOAN,78807078,12869208,420.9,233.7,93694,75219,PLANNED,1297,34,CON4713145,1.6,0.62,1,1612,0,
2019-06-06,INFMR2GGJI1XN,COMMUNITY_WIFI,PPP,201011182,79631996,473.5,86.5,111661,5758,IN_PROGRESS,674,337,CON7775138,17.9,0.795,0,920,1,
2025-05-31,INF8L58LSNUN2,LAST_MILE,MDB_LOAN,234679552,58054942,1300.4,603.1,95882,77081,ON_HOLD,1327,80,CON5407565,25.9,0.514,1,511,0,
2023-12-19,INFOQ1JUOREKE,COMMUNITY_WIFI,PPP,242605269,114586622,103.8,11.8,162669,25889,COMPLETED,824,163,CON8567929,69.4,0.489,1,1509,1,2021-07-13
2022-04-10,INF4W65PAD0OD,LAST_MILE,MDB_LOAN,145149475,96686444,326.4,124.4,183314,7014,PLANNED,55,299,CON1849945,30.4,0.891,1,669,0,
2024-10-19,INFOTBFWM8768,TOWER_UPGRADE,MDB_LOAN,197093480,95757398,1169.1,564.8,58535,3793,IN_PROGRESS,1105,245,CON7420966,79.9,0.252,0,2615,1,
2020-11-12,INF8KT4UP416M,FIBER_BACKBONE,USOF,12605086,6258069,339.8,46.6,86287,4047,CANCELLED,1009,174,CON7573696,94.7,0.592,1,1628,0,2022-02-02
2023-05-16,INFU6R4V4WMMC,FIBER_BACKBONE,PRIVATE_CAPEX,61191069,37442091,556.1,502.2,170107,40972,IN_PROGRESS,775,306,CON0008322,9.6,0.591,0,1638,1,
2023-09-25,INFOSNXDIEYEX,TOWER_UPGRADE,STATE_GRANT,117823685,11930525,108.3,88.7,40409,1733,COMPLETED,847,25,CON4343315,98.5,0.321,0,2620,1,2022-01-10
2019-11-03,INF6AN7W0SGGX,FIBER_BACKBONE,USOF,2946590,252768,1111.2,446.4,62529,43554,PLANNED,436,320,CON4947297,82.8,0.386,1,680,0,
2025-03-07,INFUPCXLSJWPV,COMMUNITY_WIFI,PRIVATE_CAPEX,193119599,14012851,50.0,47.3,239164,4480,IN_PROGRESS,1474,121,CON5911344,70.1,0.675,0,2560,1,
2021-01-02,INFK7MQM02NDM,SAT_GATEWAY,MDB_LOAN,130912331,90091415,1185.3,907.8,157559,103893,ON_HOLD,400,221,CON7000333,22.6,0.07,0,2394,0,
2019-05-01,INFIG2AN4WUHC,TOWER_UPGRADE,MDB_LOAN,178585232,80996068,792.0,502.8,202582,154014,CANCELLED,1075,123,CON3791662,2.4,0.824,0,802,0,2021-12-23
2024-03-30,INFCJLCY0SQH1,COMMUNITY_WIFI,STATE_GRANT,57437933,31067379,997.4,240.8,169721,85893,COMPLETED,1167,134,CON6533370,40.2,0.794,0,402,0,2022-12-27
2023-02-19,INFOAXMQBX8SC,TOWER_UPGRADE,PRIVATE_CAPEX,15171070,9724889,646.3,253.0,98026,54209,IN_PROGRESS,571,242,CON6784580,35.5,0.793,1,748,1,
2019-06-25,INFCENJRBUB5F,LAST_MILE,MDB_LOAN,52774380,17443317,915.3,354.4,113197,39674,ON_HOLD,238,299,CON2068353,22.2,0.983,0,1244,0,
2019-07-07,INFZUSVY3GH9X,SAT_GATEWAY,USOF,32607198,4431970,162.6,49.2,180374,24791,IN_PROGRESS,1112,224,CON9869343,36.6,0.639,0,2417,0,
2020-10-18,INFY22KVRO6IN,SAT_GATEWAY,PRIVATE_CAPEX,124370619,63182631,1315.2,1111.3,226998,214406,COMPLETED,953,358,CON3051925,40.4,0.182,0,378,1,2023-03-08
2023-11-05,INFVUHEJUHR6C,SAT_GATEWAY,PRIVATE_CAPEX,130873417,33379502,846.9,730.5,135445,92517,ON_HOLD,1315,272,CON2310770,69.9,0.506,1,515,0,
2019-04-18,INF7B68MBDZ91,COMMUNITY_WIFI,PPP,171676775,7973454,102.9,78.7,39159,6877,ON_HOLD,468,365,CON7857324,66.1,0.852,1,592,0,
2022-07-25,INFMVJUJSC118,FIBER_BACKBONE,STATE_GRANT,135839993,7087973,1373.4,1055.1,239111,36536,ON_HOLD,1482,279,CON4693540,69.5,0.751,0,1642,0,
2019-02-25,INFKZVA4M5W9K,TOWER_UPGRADE,PPP,136384482,39533961,44.3,25.7,167309,134367,ON_HOLD,1054,224,CON7660507,78.3,0.671,1,2226,0,
2021-06-23,INFBXM4LUF6TR,TOWER_UPGRADE,USOF,168699375,23867505,1356.5,684.1,232323,142599,IN_PROGRESS,1237,70,CON8780465,44.6,0.438,0,2778,1,
2021-12-04,INFDUFB91C2KW,LAST_MILE,STATE_GRANT,175649233,43568070,1457.9,1201.2,131612,58783,CANCELLED,450,82,CON2718481,16.7,0.489,1,709,0,2024-12-14
2021-10-08,INFTTW46M7ROQ,FIBER_BACKBONE,PPP,183171667,83535039,803.4,717.4,156251,42671,COMPLETED,1384,304,CON4958185,95.6,0.634,0,2029,0,2020-09-08
2021-02-07,INFETRLDHOV8T,TOWER_UPGRADE,STATE_GRANT,133237357,85200214,1269.5,46.4,169351,4285,ON_HOLD,1303,315,CON8308038,85.6,0.47,0,955,0,
2024-06-30,INFNWCEXDX1PW,FIBER_BACKBONE,STATE_GRANT,49032603,19850471,45.2,21.9,198590,156857,PLANNED,24,296,CON2342226,92.2,0.556,1,1475,1,
2025-06-04,INF7TN7HSLRXE,LAST_MILE,MDB_LOAN,28491582,14613267,1157.5,757.6,175027,44312,COMPLETED,585,122,CON4698630,88.0,0.752,0,2119,1,2020-05-23
2019-01-11,INF9K301F1WWX,COMMUNITY_WIFI,PPP,23374799,13329345,872.9,579.4,236793,94997,COMPLETED,1381,319,CON4396394,96.2,0.885,0,2844,0,2024-01-12
2022-07-13,INF1F07SEXRYR,SAT_GATEWAY,STATE_GRANT,130606571,28695265,856.3,723.4,244112,30970,COMPLETED,598,215,CON2273968,72.5,0.495,0,1468,1,2022-01-20
2021-03-16,INFSPDQZOIYH1,TOWER_UPGRADE,PRIVATE_CAPEX,107100975,35312590,422.7,360.8,126438,94473,CANCELLED,178,327,CON8187392,73.1,0.009,0,1824,0,2023-06-12
2021-06-08,INFITHU1KM1GV,FIBER_BACKBONE,USOF,145991242,83760749,942.1,633.4,218416,125823,IN_PROGRESS,24,26,CON6493321,79.1,0.529,0,738,1,
2021-09-10,INF4LRESTMUVR,FIBER_BACKBONE,MDB_LOAN,201085707,11209588,1462.8,442.4,119085,117139,COMPLETED,33,164,CON4579219,26.7,0.348,0,188,0,2022-07-29
2024-04-27,INFJ7MZRSACAX,FIBER_BACKBONE,USOF,249334698,148660106,360.0,342.9,236233,31630,PLANNED,1220,173,CON8983199,9.6,0.038,0,477,0,
2019-12-27,INFF0Z07F4BIY,SAT_GATEWAY,PRIVATE_CAPEX,76562904,47907689,1162.6,684.6,241940,185089,COMPLETED,1478,184,CON8258338,6.5,0.534,0,2667,1,2024-12-27
2022-11-15,INFH6XCUPYOZZ,LAST_MILE,USOF,91413819,50716901,830.9,219.2,144999,31553,COMPLETED,1302,79,CON0551835,40.4,0.827,0,628,1,2021-07-21
2022-09-22,INF17CDLJMT13,FIBER_BACKBONE,PRIVATE_CAPEX,6314691,417745,1399.3,213.6,46798,14298,CANCELLED,922,234,CON4863644,97.6,0.466,1,276,0,2025-02-14
2020-03-03,INF6R0TWI5KJC,COMMUNITY_WIFI,PPP,45643023,7890334,1270.0,476.4,141717,42840,ON_HOLD,1049,130,CON4830247,44.7,0.195,1,15,0,
2024-10-18,INFDF9OP9JWHX,FIBER_BACKBONE,STATE_GRANT,48586038,6049838,1048.9,497.5,8059,2482,ON_HOLD,1057,231,CON7546055,12.2,0.349,0,1839,1,
2019-10-06,INFGKUFIRVF38,LAST_MILE,PRIVATE_CAPEX,138181062,48852391,1118.7,64.5,189358,140252,ON_HOLD,511,24,CON5244982,32.6,0.144,1,2316,0,
2024-09-07,INF7SZ1IOOYT5,LAST_MILE,PRIVATE_CAPEX,231595789,113264152,501.0,108.3,111599,65146,ON_HOLD,797,311,CON7492720,5.6,0.003,1,1980,0,
2020-10-20,INFXHSQ5CTAKV,COMMUNITY_WIFI,MDB_LOAN,109029069,49222922,1198.0,883.5,213876,19607,PLANNED,1184,320,CON9657228,1.1,0.674,0,2149,0,
2025-08-29,INF1AJXHS721O,FIBER_BACKBONE,MDB_LOAN,113374269,53028530,1183.6,1077.5,13718,1252,IN_PROGRESS,929,281,CON7918380,9.0,0.081,0,409,1,
2022-11-21,INF2YLGJNPTZ3,SAT_GATEWAY,PPP,199199052,21564654,1197.9,378.3,131688,44954,COMPLETED,633,270,CON0302412,4.8,0.319,0,545,1,2020-04-06
2019-01-30,INFFT2LJ17Z77,TOWER_UPGRADE,MDB_LOAN,211450930,127406853,949.5,693.2,36532,19432,COMPLETED,1390,157,CON0064353,48.0,0.978,1,2760,0,2025-01-05
2019-01-11,INFNGJTPXDQ3Q,LAST_MILE,PPP,68041424,31469993,332.6,55.1,222912,135802,IN_PROGRESS,326,324,CON2833638,2.2,0.252,0,1641,0,
2020-03-07,INF9HP02GWOFB,COMMUNITY_WIFI,USOF,142484733,94699113,1227.1,16.2,150766,55621,IN_PROGRESS,1272,242,CON7254744,51.0,0.04,1,2189,1,
2023-01-27,INFSLZK5I00XS,LAST_MILE,PRIVATE_CAPEX,241913234,25850547,1269.9,1076.3,55759,17433,IN_PROGRESS,712,232,CON5262439,18.2,0.924,1,950,0,
2025-09-21,INFLRD2ABIT7Y,COMMUNITY_WIFI,MDB_LOAN,226525998,157211525,716.7,679.9,188369,15688,CANCELLED,542,13,CON1359029,43.0,0.331,0,1327,0,2020-10-03
2019-08-29,INF8WSJJJHS26,SAT_GATEWAY,USOF,96055229,48539763,957.3,20.5,61090,50064,ON_HOLD,330,345,CON4758581,99.9,0.892,1,2215,0,
2019-10-12,INFBSNKEZCHBJ,LAST_MILE,USOF,59576361,16717049,64.7,41.8,201577,99072,IN_PROGRESS,1274,313,CON9087072,51.3,0.761,1,2933,0,
