edu_enroll_collection_date,edu_enroll_campus_id,edu_enroll_enrollment_total,edu_enroll_enrollment_by_grade_band,edu_enroll_new_entries_count,edu_enroll_withdrawals_count,edu_enroll_mobility_rate_pct,edu_enroll_average_daily_attendance,edu_enroll_seat_capacity,edu_enroll_class_size_average,edu_enroll_teacher_vacancy_count,edu_enroll_substitute_fill_rate_pct,edu_enroll_transport_ridership_count,edu_enroll_meal_program_participation,edu_enroll_after_school_participation,edu_enroll_internet_device_access_rate,edu_enroll_learning_loss_indicator,edu_enroll_weather_closure_days,edu_enroll_instructional_minutes_week,edu_enroll_data_quality_flag
2019-11-15,CAMP100093,2041,K12,168,40,23.77,1728,2284,28.85,19,70.93,2049,UNIVERSAL,69.88,81.33,MODERATE,7,1556,PASS
2019-11-16,CAMP100094,410,ELEM,145,11,17.4,401,499,14.69,13,85.62,693,UNIVERSAL,44.85,71.74,HIGH,10,1733,WARN
2019-11-17,CAMP100095,2175,ELEM,202,194,18.49,1883,2550,29.96,27,53.25,509,PAID_ONLY,19.89,80.69,MODERATE,18,1626,PASS
2019-11-18,CAMP100096,2874,MIDDLE,42,198,22.12,2511,3209,14.85,28,74.31,1106,MIXED,1.29,94.04,LOW,9,1271,PASS
2019-11-19,CAMP100097,3091,HIGH,84,73,7.11,2678,3506,16.85,15,74.71,1685,FREE_REDUCED,45.09,76.15,HIGH,15,1696,PASS
2019-11-20,CAMP100098,3186,HIGH,25,106,23.71,2628,3420,31.14,10,65.03,1227,PAID_ONLY,21.78,58.24,LOW,15,1506,PASS
2019-11-21,CAMP100099,999,ELEM,191,126,3.14,907,1164,14.3,15,41.38,1322,PAID_ONLY,56.03,84.63,MODERATE,16,1566,PASS
2019-11-22,CAMP100100,666,MIDDLE,50,153,19.07,646,751,18.29,1,42.57,2678,PAID_ONLY,23.39,65.21,HIGH,18,1505,PASS
2019-11-23,CAMP100101,3057,HIGH,104,137,21.53,2907,3664,22.63,28,79.37,2608,FREE_REDUCED,1.86,63.34,LOW,15,1385,PASS
2019-11-24,CAMP100102,2374,ELEM,43,96,27.36,2102,2725,31.04,4,90.96,3504,MIXED,55.0,56.72,HIGH,0,1508,PASS
2019-11-25,CAMP100103,2070,HIGH,15,73,3.18,2015,2244,31.17,24,95.22,1876,FREE_REDUCED,25.5,83.68,HIGH,18,1817,PASS
2019-11-26,CAMP100104,2655,MIDDLE,129,175,33.57,2285,3471,21.16,2,75.47,2912,MIXED,25.89,83.04,MODERATE,15,1584,PASS
2019-11-27,CAMP100105,2056,HIGH,176,148,9.55,2006,2623,21.1,2,54.57,448,PAID_ONLY,36.0,66.86,MODERATE,19,1614,FAIL
2019-11-28,CAMP100106,2154,K12,177,169,12.26,2106,2340,24.02,23,91.85,3791,UNIVERSAL,7.6,88.63,LOW,12,1719,PASS
2019-11-29,CAMP100107,1107,K12,127,72,21.94,929,1129,18.7,7,52.87,2285,PAID_ONLY,54.98,98.89,LOW,17,1732,PASS
2019-11-30,CAMP100108,494,MIDDLE,87,155,25.19,410,635,15.75,11,84.67,164,FREE_REDUCED,47.41,68.83,LOW,9,1336,PASS
2019-12-01,CAMP100109,2938,MIDDLE,19,8,8.31,2810,3616,17.25,27,89.06,134,FREE_REDUCED,68.55,59.34,MODERATE,15,1857,PASS
2019-12-02,CAMP100110,4031,ELEM,101,181,23.7,3936,4947,18.76,9,81.67,1283,UNIVERSAL,74.25,73.56,LOW,0,1740,WARN
2019-12-03,CAMP100111,3456,K12,21,218,26.95,2865,4330,28.95,23,48.95,2879,UNIVERSAL,27.23,69.37,MODERATE,20,1597,PASS
2019-12-04,CAMP100112,818,HIGH,80,29,15.48,784,971,28.88,22,57.14,3676,FREE_REDUCED,1.51,89.8,MODERATE,7,1729,PASS
2019-12-05,CAMP100113,381,K12,127,185,17.1,361,417,22.44,5,73.44,2866,UNIVERSAL,59.17,97.57,UNKNOWN,3,1227,WARN
2019-12-06,CAMP100114,1675,HIGH,57,91,13.92,1513,1719,26.77,18,69.89,1124,FREE_REDUCED,0.96,77.54,HIGH,9,1311,PASS
2019-12-07,CAMP100115,2631,K12,122,144,1.97,2177,2891,17.4,26,81.13,2588,MIXED,37.54,72.76,MODERATE,0,1463,PASS
2019-12-08,CAMP100116,2261,K12,216,121,22.86,2141,2653,31.4,23,45.44,982,PAID_ONLY,19.81,88.19,MODERATE,18,1356,PASS
2019-12-09,CAMP100117,3267,HIGH,0,170,34.57,3064,3788,24.58,9,48.99,1091,PAID_ONLY,36.05,95.45,MODERATE,7,1795,WARN
2019-12-10,CAMP100118,1148,HIGH,202,70,26.73,1102,1353,27.57,8,56.73,2860,PAID_ONLY,69.52,94.29,HIGH,13,1391,PASS
2019-12-11,CAMP100119,3602,MIDDLE,44,54,0.97,3111,4657,19.89,24,51.24,241,MIXED,22.62,93.19,MODERATE,12,1331,PASS
2019-12-12,CAMP100120,1878,ELEM,204,182,2.31,1581,2413,17.19,19,54.18,2295,PAID_ONLY,16.56,85.06,LOW,7,1426,PASS
2019-12-13,CAMP100121,3706,ELEM,165,202,12.49,3142,3933,16.26,8,97.46,34,FREE_REDUCED,13.59,82.74,UNKNOWN,1,1828,PASS
2019-12-14,CAMP100122,2569,MIDDLE,57,133,32.51,2496,3103,29.53,7,70.23,60,MIXED,26.26,82.65,MODERATE,20,1412,PASS
2019-12-15,CAMP100123,1188,ELEM,78,22,8.43,1126,1560,25.0,7,96.4,2645,FREE_REDUCED,54.89,56.11,HIGH,1,1732,PASS
2019-12-16,CAMP100124,2341,HIGH,178,110,25.47,2250,3118,21.74,22,60.21,2735,MIXED,46.68,99.74,MODERATE,8,1238,PASS
2019-12-17,CAMP100125,3144,ELEM,104,206,16.38,3036,3244,21.94,25,82.82,1277,UNIVERSAL,70.63,56.35,MODERATE,17,1624,PASS
2019-12-18,CAMP100126,3897,ELEM,21,58,32.67,3740,4558,16.29,8,63.31,1937,UNIVERSAL,62.78,95.64,LOW,15,1552,WARN
2019-12-19,CAMP100127,157,K12,212,69,26.45,148,179,19.86,2,42.65,3627,UNIVERSAL,24.93,78.88,LOW,12,1782,PASS
2019-12-20,CAMP100128,2373,K12,149,46,21.41,2125,2842,15.18,19,55.88,287,PAID_ONLY,56.26,84.29,LOW,14,1251,WARN
2019-12-21,CAMP100129,283,MIDDLE,46,34,28.99,257,327,20.2,22,59.61,3147,PAID_ONLY,10.42,98.0,UNKNOWN,15,1416,PASS
2019-12-22,CAMP100130,2584,MIDDLE,48,184,30.9,2167,3196,30.94,6,59.86,456,PAID_ONLY,30.63,60.34,UNKNOWN,3,1368,WARN
2019-12-23,CAMP100131,1592,HIGH,155,85,6.43,1519,2084,14.24,14,73.11,646,PAID_ONLY,9.56,73.86,LOW,13,1404,FAIL
2019-12-24,CAMP100132,4094,MIDDLE,71,67,29.83,3940,5005,27.78,16,91.72,1104,UNIVERSAL,45.46,71.28,UNKNOWN,3,1343,WARN
2019-12-25,CAMP100133,492,MIDDLE,122,125,16.55,416,566,27.91,11,87.53,2225,FREE_REDUCED,66.15,86.95,HIGH,18,1660,PASS
2019-12-26,CAMP100134,2359,K12,162,127,17.52,2026,3157,21.16,25,84.86,2660,UNIVERSAL,0.0,70.42,UNKNOWN,3,1724,PASS
2019-12-27,CAMP100135,2586,HIGH,12,96,10.67,2228,2722,18.86,9,82.95,2800,MIXED,22.81,86.6,HIGH,0,1472,PASS
2019-12-28,CAMP100136,2256,HIGH,24,3,22.37,2133,2605,29.31,16,52.96,3607,FREE_REDUCED,73.71,85.41,MODERATE,11,1302,PASS
2019-12-29,CAMP100137,2436,MIDDLE,200,84,7.08,2304,2828,24.21,15,64.85,2285,MIXED,61.56,80.29,HIGH,16,1432,PASS
2019-12-30,CAMP100138,2557,HIGH,47,219,0.53,2216,2928,27.49,19,51.54,3010,MIXED,1.26,59.14,LOW,15,1681,PASS
2019-12-31,CAMP100139,589,K12,44,129,30.29,546,713,15.56,14,90.33,1181,FREE_REDUCED,44.42,75.53,UNKNOWN,11,1355,WARN
2020-01-01,CAMP100140,3375,K12,79,144,4.22,2896,3497,21.76,14,45.93,3750,UNIVERSAL,42.67,75.49,MODERATE,1,1868,PASS
2020-01-02,CAMP100141,1187,K12,130,169,24.87,1157,1224,17.3,12,57.26,921,MIXED,2.63,90.34,MODERATE,14,1496,PASS
2020-01-03,CAMP100142,2090,HIGH,65,211,25.84,1937,2417,24.45,4,41.71,2409,FREE_REDUCED,32.31,60.82,LOW,18,1758,WARN
2020-01-04,CAMP100143,3325,MIDDLE,155,146,7.93,2796,3736,28.98,10,82.0,903,UNIVERSAL,4.18,68.5,HIGH,2,1618,PASS
2020-01-05,CAMP100144,3875,K12,134,43,30.65,3522,4224,16.25,26,57.24,1474,FREE_REDUCED,31.59,66.68,MODERATE,17,1478,PASS
2020-01-06,CAMP100145,3448,MIDDLE,195,126,24.45,2838,4583,27.14,3,48.33,1146,FREE_REDUCED,50.88,59.56,LOW,20,1247,PASS
2020-01-07,CAMP100146,2816,ELEM,204,56,11.22,2595,3251,22.17,17,50.66,193,UNIVERSAL,13.84,70.69,LOW,6,1833,PASS
2020-01-08,CAMP100147,1336,K12,122,25,6.29,1221,1709,31.07,10,92.06,531,UNIVERSAL,74.92,98.76,LOW,3,1335,PASS
2020-01-09,CAMP100148,1039,HIGH,160,124,12.87,973,1321,22.9,2,60.04,2491,FREE_REDUCED,67.67,61.83,HIGH,0,1796,PASS
2020-01-10,CAMP100149,3236,MIDDLE,181,51,6.72,3136,4242,26.88,10,91.76,1070,UNIVERSAL,48.11,61.97,HIGH,4,1518,PASS
2020-01-11,CAMP100150,4042,ELEM,146,41,2.31,3852,5251,22.08,27,73.98,236,MIXED,47.39,65.21,LOW,6,1802,PASS
2020-01-12,CAMP100151,1748,ELEM,157,29,1.77,1642,1982,20.33,26,62.05,1876,UNIVERSAL,51.04,80.55,MODERATE,4,1355,PASS
2020-01-13,CAMP100152,1974,ELEM,203,115,32.44,1683,2139,25.41,0,42.41,315,UNIVERSAL,53.01,98.8,LOW,2,1349,WARN
2020-01-14,CAMP100153,934,K12,7,73,24.02,769,1236,21.4,25,57.89,3628,UNIVERSAL,53.43,79.61,MODERATE,16,1208,PASS
2020-01-15,CAMP100154,3692,MIDDLE,146,80,26.16,3275,4418,24.06,11,58.37,3006,FREE_REDUCED,30.09,79.47,LOW,12,1583,WARN
2020-01-16,CAMP100155,1890,ELEM,88,4,24.56,1762,2064,15.69,8,78.4,3800,FREE_REDUCED,49.21,55.75,LOW,9,1594,PASS
2020-01-17,CAMP100156,3979,MIDDLE,18,58,10.44,3512,4408,21.65,22,89.39,2879,FREE_REDUCED,68.6,87.51,LOW,18,1704,WARN
2020-01-18,CAMP100157,1294,HIGH,89,208,10.7,1127,1731,29.18,3,46.68,1735,FREE_REDUCED,71.49,72.05,HIGH,13,1850,PASS
2020-01-19,CAMP100158,2543,K12,203,141,25.4,2391,3086,26.81,8,95.68,1759,MIXED,68.65,66.9,UNKNOWN,13,1545,FAIL
2020-01-20,CAMP100159,1062,ELEM,124,74,24.69,1024,1229,16.23,25,51.89,2714,UNIVERSAL,33.84,92.7,MODERATE,4,1575,PASS
2020-01-21,CAMP100160,3260,HIGH,143,80,14.51,2689,3752,19.97,4,43.4,1736,PAID_ONLY,63.27,65.83,MODERATE,5,1395,PASS
2020-01-22,CAMP100161,2480,ELEM,81,56,31.33,2041,3154,26.38,0,97.05,1040,PAID_ONLY,56.72,56.45,HIGH,0,1850,PASS
2020-01-23,CAMP100162,3450,HIGH,190,92,18.47,2990,4535,26.99,25,50.31,2053,MIXED,68.64,60.04,MODERATE,4,1401,WARN
2020-01-24,CAMP100163,2656,K12,15,40,18.13,2599,3124,24.27,8,78.81,2580,PAID_ONLY,33.48,69.24,MODERATE,13,1660,PASS
2020-01-25,CAMP100164,1066,K12,11,5,22.57,926,1308,14.54,4,99.68,3799,FREE_REDUCED,11.35,75.18,MODERATE,10,1771,PASS
2020-01-26,CAMP100165,2552,MIDDLE,188,58,7.94,2252,2652,26.59,13,46.72,450,MIXED,53.61,64.88,MODERATE,11,1406,PASS
2020-01-27,CAMP100166,2532,MIDDLE,157,165,1.32,2097,2872,23.76,23,97.97,361,PAID_ONLY,56.66,72.84,MODERATE,13,1339,PASS
2020-01-28,CAMP100167,207,HIGH,106,184,32.43,199,217,31.8,8,75.7,1536,MIXED,6.23,96.88,MODERATE,20,1858,PASS
2020-01-29,CAMP100168,683,HIGH,215,42,3.94,661,708,19.69,10,95.94,280,FREE_REDUCED,17.2,83.86,UNKNOWN,7,1438,PASS
2020-01-30,CAMP100169,4041,MIDDLE,28,140,11.08,3585,4868,31.69,5,94.39,972,MIXED,54.05,58.62,MODERATE,9,1465,PASS
