civic_district_plan_id,civic_district_plan_effective_year,civic_district_district_number,civic_district_district_type_code,civic_district_population_total_ideal,civic_district_population_deviation_pct,civic_district_voting_age_population,civic_district_citizen_vap,civic_district_minority_vap_share_pct,civic_district_compactness_polsby_popper,civic_district_compactness_reock,civic_district_contiguity_flag,civic_district_split_count_county,civic_district_split_count_tract,civic_district_incumbent_residence_flag,civic_district_communities_of_interest_index,civic_district_partisan_lean_metric,civic_district_election_competitiveness_score,civic_district_public_comment_count,civic_district_litigation_risk_flag
PLAN2018-JP5K79,2018,483,LOKSABHA,624543,1.17,462482,443796,3.5,0.177,0.774,1,2,0,1,47.8,9.35,18.2,15,0
PLAN2017-7XFH41,2017,474,LOKSABHA,740656,-4.62,493325,486870,26.39,0.602,0.789,1,2,2,0,48.2,12.87,89.7,22,0
PLAN2014-VB6THR,2014,263,LOKSABHA,224359,-5.27,150405,144191,25.68,0.122,0.106,1,0,2,0,43.7,-12.4,21.4,17,0
PLAN2019-NK8PQE,2019,240,PANCHAYAT_WARD,1681900,-3.98,1075095,1001135,20.75,0.197,0.719,1,2,1,1,67.0,-5.49,77.3,24,0
PLAN2019-KDZ4PP,2019,306,MUNICIPAL_WARD,2273155,3.2,1740402,1621481,14.63,0.343,0.53,1,2,0,0,51.4,12.83,56.8,18,0
PLAN2024-DEKY82,2024,378,VIDHANSABHA,1553064,6.43,1180563,1142322,19.43,0.383,0.312,1,1,3,1,80.1,6.69,68.4,15,0
PLAN2019-0LSJWS,2019,428,LOKSABHA,1349830,3.38,1026907,984165,37.86,0.484,0.347,1,0,6,1,79.1,12.09,73.1,15,0
PLAN2024-ZL7P72,2024,145,MUNICIPAL_WARD,1076513,2.0,754124,700410,3.09,0.127,0.203,1,0,3,1,90.8,0.69,29.6,19,0
PLAN2015-GU4W8W,2015,130,VIDHANSABHA,1343504,-2.64,903464,855288,38.97,0.517,0.304,1,1,2,1,42.7,-5.58,69.6,18,0
PLAN2015-EN7YJF,2015,131,VIDHANSABHA,2156641,-1.06,1515858,1473287,19.17,0.377,0.766,1,0,3,0,40.8,7.78,72.4,13,0
PLAN2014-0KH584,2014,188,VIDHANSABHA,1059040,2.63,817665,793755,7.63,0.481,0.147,1,2,2,0,13.4,7.98,17.1,8,0
PLAN2008-ACUHGP,2008,238,MUNICIPAL_WARD,1470096,4.25,1113932,1062385,30.09,0.337,0.307,1,1,3,1,67.3,3.98,65.2,14,0
PLAN2016-WWIMT8,2016,411,MUNICIPAL_WARD,2244318,-4.1,1420541,1364520,13.11,0.645,0.461,1,2,4,1,54.1,-2.33,10.8,25,0
PLAN2012-45YRWV,2012,489,PANCHAYAT_WARD,1282485,-1.28,910370,859676,32.27,0.198,0.207,1,5,6,1,61.6,11.0,13.7,10,0
PLAN2025-KH861P,2025,126,PANCHAYAT_WARD,1451086,5.63,973366,946036,15.2,0.157,0.662,1,1,2,1,24.6,9.26,56.4,21,0
PLAN2019-LXEQLE,2019,221,PANCHAYAT_WARD,783188,-1.27,491640,482193,34.87,0.107,0.193,0,3,1,1,25.0,-13.39,31.7,18,1
PLAN2024-Z1R2RO,2024,292,VIDHANSABHA,879664,0.09,639465,605592,41.54,0.438,0.114,0,1,3,0,47.1,4.96,15.6,15,0
PLAN2023-BJH4OU,2023,44,MUNICIPAL_WARD,383970,3.07,295333,284061,8.8,0.455,0.241,1,1,0,0,80.1,-14.54,10.9,22,1
PLAN2023-JLOPO6,2023,507,MUNICIPAL_WARD,1776104,-3.14,1118755,1098292,41.95,0.475,0.639,0,2,3,1,21.6,5.25,19.0,13,0
PLAN2008-RHWBQH,2008,58,VIDHANSABHA,882218,-2.24,554656,546593,8.01,0.471,0.475,1,0,3,1,46.9,9.18,74.9,16,0
PLAN2025-T2D8VE,2025,178,LOKSABHA,477396,-0.31,353751,341004,20.92,0.523,0.174,1,0,2,0,91.2,-4.02,56.5,18,0
PLAN2017-8AN2LM,2017,336,LOKSABHA,364339,-5.64,242971,238570,10.3,0.182,0.244,1,4,3,0,70.9,-11.29,78.5,22,0
PLAN2017-XSNHFT,2017,480,VIDHANSABHA,1696011,0.43,1183284,1159289,8.97,0.469,0.484,1,1,0,0,41.9,-0.56,8.6,19,0
PLAN2011-KFNOTI,2011,200,LOKSABHA,1197730,-3.15,803371,762485,15.43,0.071,0.166,1,0,0,1,13.5,-12.94,55.0,26,0
PLAN2009-BA7DOR,2009,299,VIDHANSABHA,1832695,2.08,1304555,1239266,24.41,0.29,0.17,1,1,7,0,93.4,5.68,45.2,16,0
PLAN2013-KAWYB0,2013,166,PANCHAYAT_WARD,1483244,-2.29,1124814,1109946,15.36,0.593,0.798,1,1,2,1,16.3,-13.73,94.0,23,1
PLAN2014-XE0JDC,2014,298,PANCHAYAT_WARD,2194509,1.24,1697085,1657493,42.48,0.219,0.472,1,4,1,1,10.9,-9.31,32.7,24,0
PLAN2016-A0T7DV,2016,348,PANCHAYAT_WARD,228897,-4.32,174475,167806,34.4,0.148,0.324,1,3,3,1,45.8,-13.76,17.9,23,0
PLAN2009-GVLLSA,2009,240,MUNICIPAL_WARD,842531,-4.2,577353,556446,18.33,0.279,0.691,1,2,0,1,56.8,9.83,21.3,23,0
PLAN2021-QD8UNP,2021,346,VIDHANSABHA,2183844,1.41,1474826,1377654,22.13,0.444,0.799,1,2,4,0,69.4,-6.33,86.9,18,0
PLAN2012-8UR6TI,2012,299,LOKSABHA,756798,5.94,471725,464710,9.23,0.177,0.672,1,1,1,0,58.2,6.2,73.9,16,0
PLAN2023-9081ZQ,2023,124,LOKSABHA,1487792,6.13,1016142,988724,7.62,0.562,0.219,1,0,9,0,28.7,4.29,12.3,14,0
PLAN2023-OINUXL,2023,166,LOKSABHA,1717221,-0.9,1141700,1077421,14.67,0.071,0.283,1,3,1,1,48.1,-9.66,23.9,23,1
PLAN2010-DG5RIF,2010,353,PANCHAYAT_WARD,1233423,4.53,894367,863931,27.35,0.08,0.756,1,3,4,0,71.9,14.23,73.3,23,0
PLAN2014-S41CRO,2014,505,MUNICIPAL_WARD,1381396,-3.86,1046798,1026441,28.79,0.306,0.677,1,2,2,1,91.1,-1.62,89.8,20,0
PLAN2017-4BYV5J,2017,80,VIDHANSABHA,1904159,-3.74,1357969,1340168,43.17,0.369,0.169,1,0,4,0,94.4,-4.85,27.9,19,0
PLAN2017-12TLXL,2017,156,PANCHAYAT_WARD,1453499,-5.88,1096519,1056974,42.54,0.41,0.228,1,1,4,1,17.8,-7.6,46.2,16,0
PLAN2012-S49CDZ,2012,356,PANCHAYAT_WARD,1061790,-5.83,820145,791583,38.93,0.375,0.236,1,1,3,1,64.1,1.07,74.9,15,0
PLAN2021-EASEH5,2021,291,LOKSABHA,442888,0.66,290949,282572,10.01,0.59,0.36,1,0,6,1,37.6,-1.56,91.1,15,1
PLAN2019-BPG2R0,2019,536,PANCHAYAT_WARD,1536147,0.83,1153864,1065149,33.91,0.367,0.378,1,0,4,1,71.6,-14.65,36.6,23,0
PLAN2016-OKPK7Y,2016,307,MUNICIPAL_WARD,2023928,3.72,1384936,1291794,6.25,0.353,0.579,1,1,1,1,71.6,4.08,71.4,19,0
PLAN2025-WNXFSH,2025,303,MUNICIPAL_WARD,1275945,-5.99,831029,811601,37.7,0.541,0.711,1,1,4,0,24.6,-14.12,76.5,17,1
PLAN2013-SJQ77Z,2013,65,VIDHANSABHA,1001275,4.34,751969,699244,32.85,0.544,0.719,1,1,2,0,17.3,4.7,17.4,25,0
PLAN2017-FZRLGQ,2017,441,LOKSABHA,2360741,-0.18,1690169,1654645,17.03,0.158,0.404,1,4,2,1,38.3,-13.4,54.5,16,0
PLAN2018-LGYTLC,2018,189,PANCHAYAT_WARD,1044734,5.62,717530,707931,5.07,0.059,0.446,1,0,3,0,55.6,-1.5,28.9,18,0
PLAN2017-VCW5MA,2017,254,VIDHANSABHA,2302571,-3.35,1508844,1459789,15.25,0.127,0.363,1,1,6,0,47.9,-3.19,79.5,16,0
PLAN2019-J35VLW,2019,455,PANCHAYAT_WARD,802813,5.11,620512,593795,25.37,0.073,0.639,1,2,4,1,10.3,12.56,82.7,20,0
PLAN2012-7UXHVD,2012,294,VIDHANSABHA,1788085,0.32,1150270,1111263,36.58,0.149,0.655,1,2,4,0,83.5,-10.31,12.3,11,0
PLAN2022-KJD2V1,2022,459,MUNICIPAL_WARD,2037352,-2.99,1303592,1207896,25.74,0.481,0.541,1,1,2,1,54.6,-1.44,56.9,20,0
PLAN2025-U4V80W,2025,544,PANCHAYAT_WARD,2150009,-2.13,1417595,1396314,30.43,0.363,0.456,1,3,3,1,73.5,-0.76,26.7,20,1
PLAN2016-HAIH7W,2016,362,VIDHANSABHA,556848,6.08,378466,373107,15.33,0.416,0.462,1,1,1,1,19.4,2.16,71.3,16,0
PLAN2014-F5L6BS,2014,271,PANCHAYAT_WARD,382187,-1.77,256558,253094,14.46,0.576,0.782,1,0,4,1,36.4,-3.92,59.8,27,0
PLAN2011-PQK1IO,2011,324,PANCHAYAT_WARD,919817,-5.68,653233,606771,24.47,0.163,0.755,1,0,4,1,57.4,-2.95,49.7,20,0
PLAN2008-ZM4LCV,2008,529,VIDHANSABHA,1265954,-0.38,785659,764246,41.18,0.442,0.467,1,2,0,1,47.4,3.37,75.3,21,0
PLAN2022-884Z4U,2022,212,PANCHAYAT_WARD,2136633,4.56,1368233,1285396,19.7,0.449,0.377,1,0,4,0,73.9,7.08,77.2,18,0
PLAN2025-ZJE6XG,2025,178,MUNICIPAL_WARD,2379498,-2.1,1595921,1541382,10.51,0.642,0.581,1,0,5,1,45.9,11.71,74.0,19,1
PLAN2010-41MPW5,2010,456,VIDHANSABHA,2313915,-0.95,1497185,1385111,33.91,0.526,0.67,1,2,2,1,20.6,-12.74,19.6,22,0
PLAN2024-NG0APS,2024,468,LOKSABHA,759710,-2.52,570603,546890,9.86,0.247,0.563,1,2,5,1,75.6,-14.88,11.4,18,1
PLAN2023-VL66SA,2023,515,MUNICIPAL_WARD,500873,-2.41,341793,334437,5.26,0.49,0.739,1,1,5,0,79.9,-0.53,84.5,17,0
PLAN2023-BJRBZJ,2023,140,LOKSABHA,2097721,5.38,1483402,1453595,37.95,0.085,0.534,1,4,2,1,69.1,-9.87,97.4,21,0
PLAN2017-83579W,2017,306,PANCHAYAT_WARD,1750428,-1.76,1201007,1138172,38.08,0.322,0.363,1,1,2,1,12.6,8.18,29.8,12,0
PLAN2014-G0XTDN,2014,400,VIDHANSABHA,1437064,0.47,1015385,995666,6.79,0.144,0.669,1,1,3,1,44.2,13.24,1.6,16,0
PLAN2012-ZG4C4E,2012,539,PANCHAYAT_WARD,1372272,-3.64,938397,900681,34.94,0.242,0.29,1,2,3,0,62.4,0.2,48.6,19,0
PLAN2011-WCDT9G,2011,143,LOKSABHA,1284930,-4.84,853865,803206,12.82,0.623,0.741,1,0,2,1,61.4,-13.01,5.0,17,0
PLAN2022-LY66G9,2022,58,MUNICIPAL_WARD,2037591,-0.64,1419534,1374140,22.92,0.088,0.617,1,2,1,1,68.0,14.07,66.8,20,0
PLAN2010-S7O4YC,2010,364,VIDHANSABHA,1669973,4.6,1043078,998337,38.14,0.067,0.298,1,1,5,1,17.0,12.96,70.0,18,0
PLAN2019-0DPJHS,2019,473,VIDHANSABHA,734062,-2.63,518847,479611,22.78,0.453,0.793,1,2,5,0,33.5,9.66,93.2,20,0
PLAN2016-W47LUE,2016,470,PANCHAYAT_WARD,706970,-5.65,526504,508602,22.61,0.56,0.695,1,3,4,1,20.1,10.26,78.9,11,1
PLAN2008-UZUQED,2008,322,LOKSABHA,1650761,-2.5,1281286,1237058,16.59,0.076,0.792,1,0,4,1,43.2,-9.1,76.8,25,0
PLAN2009-GV812H,2009,119,MUNICIPAL_WARD,616104,4.38,403923,382893,21.74,0.402,0.154,1,2,3,1,72.4,-0.69,81.8,22,0
PLAN2013-Q57LY7,2013,340,VIDHANSABHA,1046644,-0.57,674941,627235,33.29,0.515,0.617,1,2,4,1,76.0,-12.68,68.8,12,0
PLAN2021-00LNKK,2021,392,MUNICIPAL_WARD,1998301,-0.04,1284085,1230112,7.81,0.593,0.261,1,1,3,0,42.2,-4.84,85.2,19,0
PLAN2019-O4JH9J,2019,531,PANCHAYAT_WARD,1900386,4.51,1416179,1381187,13.96,0.643,0.16,1,0,2,0,39.8,4.42,71.8,11,0
PLAN2012-JRUMXQ,2012,86,VIDHANSABHA,1169186,6.25,806784,753321,31.59,0.539,0.452,1,1,0,0,50.8,-3.1,84.3,12,0
PLAN2023-B4NTHZ,2023,485,MUNICIPAL_WARD,975555,1.72,629338,601738,35.24,0.46,0.407,1,3,2,1,75.4,-7.72,18.8,13,0
PLAN2016-XYKM8T,2016,74,MUNICIPAL_WARD,840766,-5.1,563839,535040,18.7,0.285,0.696,1,2,3,1,87.5,4.05,27.6,11,0
PLAN2024-D1JQBE,2024,160,VIDHANSABHA,2233757,4.48,1468320,1431903,19.81,0.65,0.164,1,2,3,1,33.7,13.4,36.5,17,0
PLAN2019-RQLUX6,2019,103,MUNICIPAL_WARD,2102656,-5.22,1430885,1396114,32.71,0.114,0.659,1,0,3,0,35.1,8.85,93.8,19,0
PLAN2014-ZW5APM,2014,164,LOKSABHA,951645,-1.27,600106,567452,40.79,0.586,0.117,0,1,4,0,21.3,-8.33,76.0,21,0
PLAN2009-GMFT1P,2009,383,PANCHAYAT_WARD,1999827,1.4,1507576,1387959,42.31,0.121,0.73,1,2,0,1,79.8,5.39,38.2,12,0
PLAN2021-VZ0RI0,2021,297,MUNICIPAL_WARD,997549,4.94,634588,611802,22.2,0.074,0.733,1,1,2,1,51.3,-10.44,88.7,12,0
PLAN2015-ROB7I7,2015,133,LOKSABHA,768392,2.38,569395,557295,22.85,0.39,0.727,1,0,1,1,77.0,9.92,2.4,22,0
PLAN2011-P18OBS,2011,262,MUNICIPAL_WARD,624958,0.55,401832,385649,29.25,0.315,0.209,1,2,2,0,52.0,-4.01,32.0,17,0
PLAN2017-587H91,2017,307,VIDHANSABHA,1476080,1.06,1008952,958142,7.33,0.261,0.743,1,2,2,1,44.0,9.45,93.9,27,0
PLAN2010-X2BD2F,2010,535,MUNICIPAL_WARD,595895,-0.1,431374,410174,18.18,0.117,0.545,1,0,2,1,74.5,-3.22,59.3,15,0
PLAN2020-QFAF5K,2020,282,LOKSABHA,790086,3.91,604589,569412,44.09,0.149,0.139,1,0,2,1,53.2,-11.71,7.5,16,0
PLAN2018-G4P0FT,2018,325,MUNICIPAL_WARD,693332,4.31,534814,494942,10.27,0.153,0.663,1,2,4,1,56.1,-5.75,45.1,15,0
PLAN2018-AFDTOH,2018,139,PANCHAYAT_WARD,2071670,1.51,1289131,1240031,27.91,0.285,0.273,1,1,3,1,73.4,8.65,86.9,25,0
PLAN2012-Y3Z1DE,2012,522,VIDHANSABHA,693266,2.76,478188,455794,25.81,0.527,0.529,1,0,1,0,25.2,-11.44,45.4,12,1
PLAN2024-OLKY5V,2024,344,LOKSABHA,1142260,2.62,871649,840087,37.02,0.232,0.36,1,0,3,1,38.5,-8.17,50.6,15,0
PLAN2017-MY8A5G,2017,64,VIDHANSABHA,506903,-4.58,388683,368983,27.22,0.37,0.608,1,0,4,1,94.2,-12.03,34.4,19,0
PLAN2015-NM3V16,2015,24,VIDHANSABHA,964346,-1.59,730348,695372,26.86,0.329,0.643,1,1,5,0,82.5,8.92,10.2,24,0
PLAN2023-EGHPMX,2023,383,PANCHAYAT_WARD,1354063,-4.1,1053600,1042982,5.14,0.451,0.669,1,1,4,0,42.0,11.45,1.6,14,0
PLAN2024-FLYRJ8,2024,504,VIDHANSABHA,1545501,5.56,968858,897987,12.84,0.107,0.551,1,3,1,0,76.4,-1.97,15.5,32,0
PLAN2014-FY4QCY,2014,449,LOKSABHA,2378251,-4.46,1475210,1379614,30.6,0.484,0.401,1,1,3,1,82.5,0.89,46.1,17,0
PLAN2008-XO3FES,2008,191,PANCHAYAT_WARD,1678810,-3.29,1045721,1000415,34.59,0.51,0.25,1,1,1,1,74.0,-2.72,86.7,18,0
PLAN2013-AXYPBP,2013,496,LOKSABHA,1418119,-1.86,922173,904257,44.3,0.535,0.608,0,0,2,1,45.6,4.76,46.8,22,0
PLAN2021-V2QNRM,2021,463,MUNICIPAL_WARD,1778261,0.35,1191823,1138229,33.17,0.479,0.746,1,2,1,0,71.8,4.63,29.2,24,0
PLAN2019-EGP15C,2019,199,LOKSABHA,1509607,-2.98,1107173,1082097,29.11,0.617,0.557,1,1,5,1,75.0,-13.76,84.7,18,0
PLAN2009-M7VH30,2009,164,PANCHAYAT_WARD,1198726,3.57,834044,785864,9.56,0.099,0.42,1,2,3,0,72.5,10.81,37.6,12,0
PLAN2013-PQB5QB,2013,15,MUNICIPAL_WARD,1841339,-0.91,1412746,1396215,11.84,0.387,0.476,1,2,2,0,45.3,-10.36,54.5,15,0
PLAN2012-JMK3TG,2012,58,MUNICIPAL_WARD,1961423,5.61,1353923,1290205,42.54,0.131,0.615,1,1,5,1,40.6,-14.81,11.2,24,1
PLAN2023-PQKBE0,2023,492,PANCHAYAT_WARD,630502,-6.17,407462,378269,22.45,0.222,0.132,1,1,2,1,17.9,-1.29,72.0,22,1
PLAN2025-IDD0WP,2025,262,MUNICIPAL_WARD,199813,-2.66,141475,132377,4.48,0.593,0.464,1,0,1,1,84.8,4.51,5.5,17,0
PLAN2010-MQW767,2010,27,PANCHAYAT_WARD,2228276,4.45,1407906,1301395,21.59,0.294,0.213,1,2,0,0,43.1,10.97,83.3,16,0
PLAN2021-BLBV03,2021,63,LOKSABHA,595869,-2.88,401730,392446,26.22,0.171,0.167,1,4,3,0,43.3,4.76,65.7,14,0
PLAN2013-N9C70P,2013,9,LOKSABHA,915868,3.53,680876,629224,43.89,0.486,0.768,1,1,6,1,23.6,11.72,97.9,11,0
PLAN2013-G0Z0C6,2013,97,LOKSABHA,1036580,-1.38,676608,648495,31.58,0.293,0.243,1,0,4,0,63.1,10.94,58.4,29,0
PLAN2012-2U9WT2,2012,88,LOKSABHA,1321764,4.77,904401,833026,29.38,0.317,0.702,1,1,8,0,82.9,9.92,65.0,10,0
PLAN2019-NR1P02,2019,24,MUNICIPAL_WARD,1226274,4.91,797981,749477,30.97,0.555,0.419,1,1,0,1,17.9,-12.65,77.7,19,1
PLAN2018-SBOGKA,2018,199,VIDHANSABHA,2027694,2.86,1425537,1383981,23.34,0.34,0.188,1,1,3,0,32.1,2.24,52.1,13,0
PLAN2014-AOEJV9,2014,123,MUNICIPAL_WARD,2030236,0.35,1562260,1538502,5.62,0.65,0.651,1,1,3,1,62.7,9.23,41.8,16,0
PLAN2008-DIZHW0,2008,177,PANCHAYAT_WARD,1631882,-1.64,1245512,1217351,33.28,0.111,0.535,1,0,3,0,54.6,-5.8,7.1,14,0
PLAN2016-VWLO7A,2016,449,MUNICIPAL_WARD,545937,1.98,366958,353300,25.74,0.556,0.25,1,2,5,1,76.3,-14.2,59.2,20,0
PLAN2011-L3F4RT,2011,147,VIDHANSABHA,1873393,2.32,1349706,1314909,12.76,0.43,0.547,1,1,5,0,93.0,1.43,56.1,19,0
PLAN2014-YJB48W,2014,246,MUNICIPAL_WARD,1571989,-1.72,1014338,998454,13.06,0.477,0.401,1,1,3,0,38.0,-11.57,21.4,21,0
PLAN2019-C0TK1Q,2019,313,PANCHAYAT_WARD,2209564,-3.34,1378882,1317080,39.17,0.145,0.515,1,1,1,1,61.0,10.35,13.9,22,0
PLAN2015-BWGMP9,2015,457,LOKSABHA,963626,-0.02,714213,689334,44.52,0.121,0.605,1,1,2,0,83.1,-5.29,98.6,15,0
PLAN2020-1K09NT,2020,135,PANCHAYAT_WARD,290738,-1.3,209141,193163,28.16,0.24,0.797,1,0,2,0,40.2,-11.81,55.4,15,0
PLAN2021-V4DH9U,2021,125,VIDHANSABHA,1404222,-5.75,886897,825836,14.42,0.473,0.432,0,0,2,0,32.3,10.1,20.9,14,0
PLAN2017-5199TM,2017,543,VIDHANSABHA,2069381,4.63,1573312,1535052,25.76,0.313,0.288,1,2,4,1,88.2,-7.36,54.2,22,0
PLAN2008-PVLND5,2008,379,MUNICIPAL_WARD,1525841,0.68,1064758,1040720,9.42,0.101,0.218,1,0,2,1,53.0,-13.98,11.5,24,0
PLAN2008-STIO1K,2008,349,PANCHAYAT_WARD,1446498,2.89,961481,936687,5.97,0.306,0.283,1,4,1,1,68.2,10.98,77.1,15,0
PLAN2012-F5OA31,2012,465,VIDHANSABHA,1439856,5.89,1025980,965065,26.4,0.433,0.178,1,3,1,1,76.7,-10.01,60.9,13,0
PLAN2022-YDUPPG,2022,505,LOKSABHA,1220868,-5.43,773120,745261,27.13,0.257,0.473,1,1,1,0,81.4,-12.49,71.1,28,0
PLAN2025-WEW9V0,2025,528,LOKSABHA,1813665,-5.87,1317547,1266155,29.84,0.435,0.186,1,0,2,1,40.5,-10.55,82.2,22,0
PLAN2011-LIUQDN,2011,273,PANCHAYAT_WARD,934551,3.02,710404,683027,8.28,0.513,0.361,1,0,1,0,60.8,-5.44,24.1,19,0
PLAN2020-T54FN5,2020,258,VIDHANSABHA,1485365,5.31,1026759,962979,43.62,0.566,0.738,1,2,3,1,13.2,-1.47,4.6,17,0
PLAN2016-QZHECB,2016,179,PANCHAYAT_WARD,1725494,-2.3,1169402,1117211,26.15,0.541,0.64,1,4,2,1,89.6,-6.11,61.1,19,0
PLAN2011-QYPIGQ,2011,530,LOKSABHA,1691973,-5.4,1180370,1126923,5.18,0.503,0.101,1,2,1,1,27.4,-12.83,43.5,21,0
PLAN2008-2456IZ,2008,221,LOKSABHA,1327708,2.21,952058,935801,25.13,0.541,0.251,1,1,0,1,43.7,-6.0,19.4,23,0
PLAN2015-ABY595,2015,444,LOKSABHA,317342,5.98,245332,241202,26.74,0.511,0.302,1,0,2,0,17.1,2.35,49.1,19,1
PLAN2019-285TZV,2019,459,LOKSABHA,501640,4.94,316786,299026,22.45,0.091,0.506,1,2,3,0,54.9,6.07,9.9,15,0
PLAN2022-P3C330,2022,288,LOKSABHA,1223145,0.52,923660,856771,4.24,0.535,0.287,1,0,1,1,34.9,-1.42,38.8,22,0
PLAN2017-NZSXPE,2017,512,VIDHANSABHA,1125140,-4.56,718819,665208,15.53,0.17,0.423,1,3,3,1,46.1,9.43,7.4,22,1
PLAN2018-41U2ZN,2018,518,MUNICIPAL_WARD,2356309,-6.27,1601259,1482050,18.43,0.278,0.363,1,1,3,1,89.1,-1.04,61.4,22,0
PLAN2011-FIRJLY,2011,500,PANCHAYAT_WARD,608254,2.67,442022,431533,10.75,0.612,0.267,1,1,0,0,91.2,-14.49,27.8,16,0
PLAN2017-6RIJKQ,2017,7,PANCHAYAT_WARD,504428,2.75,376960,358236,26.41,0.112,0.581,1,3,2,0,64.9,5.75,97.1,14,1
PLAN2021-ZUV1FK,2021,339,VIDHANSABHA,1061154,1.74,688831,634012,6.59,0.464,0.366,1,2,6,1,14.9,13.55,84.7,31,0
PLAN2025-5UZLZU,2025,275,MUNICIPAL_WARD,128647,-5.42,96023,88473,28.17,0.472,0.234,1,0,4,1,33.1,-13.29,78.4,24,0
PLAN2021-RPK0ZF,2021,17,MUNICIPAL_WARD,2343890,1.6,1512039,1427795,38.33,0.178,0.779,1,0,1,0,30.2,-14.51,71.5,14,0
PLAN2022-4JI4UF,2022,329,LOKSABHA,628951,-0.1,468866,448501,8.24,0.306,0.754,1,0,4,1,84.0,10.28,20.3,18,0
PLAN2018-JZ09OW,2018,419,VIDHANSABHA,750080,-5.11,508206,470015,34.08,0.301,0.264,1,0,1,1,42.1,2.53,50.3,20,0
PLAN2012-9XVSSN,2012,506,PANCHAYAT_WARD,1863756,5.87,1183262,1133036,28.91,0.422,0.142,1,0,4,0,35.5,-7.09,60.4,18,0
PLAN2016-X5RRNY,2016,119,LOKSABHA,1304789,-0.06,948895,885729,26.37,0.487,0.269,1,0,2,0,31.1,-13.69,72.9,20,0
PLAN2013-MLIK22,2013,99,VIDHANSABHA,2183476,4.98,1542944,1510409,34.24,0.085,0.686,1,1,4,1,77.3,1.07,46.0,27,0
PLAN2010-MQ6644,2010,110,VIDHANSABHA,732671,0.94,501412,480234,7.96,0.576,0.245,1,2,2,1,47.4,-6.87,29.2,23,0
PLAN2008-0NBW8S,2008,138,MUNICIPAL_WARD,1143217,-4.69,887789,849684,7.31,0.299,0.15,1,1,3,1,14.1,-0.77,99.2,22,0
PLAN2019-TT058C,2019,463,VIDHANSABHA,600596,-0.27,397298,380782,16.93,0.155,0.197,1,1,4,0,84.3,-0.86,59.8,17,0
PLAN2014-I2G74I,2014,218,PANCHAYAT_WARD,1113912,-3.91,861221,839817,31.83,0.503,0.388,1,1,3,1,67.4,-10.18,56.6,17,0
PLAN2025-G9JJ00,2025,286,LOKSABHA,1491764,5.66,999336,922002,30.8,0.412,0.737,1,1,6,1,85.2,-8.72,43.9,19,0
PLAN2014-6EKHI1,2014,451,PANCHAYAT_WARD,1765288,2.45,1280471,1235084,27.51,0.486,0.673,1,1,4,1,79.2,5.94,85.1,23,0
PLAN2012-QT2LWH,2012,159,LOKSABHA,608829,-6.27,393980,383449,19.15,0.533,0.451,0,2,4,1,66.5,3.92,56.8,15,0
PLAN2010-PRDVVK,2010,193,LOKSABHA,1918836,-4.83,1212003,1181036,31.4,0.439,0.75,1,1,3,1,52.9,-9.93,70.2,14,0
