safe_emergency_reference_month,safe_emergency_country_iso2,safe_emergency_region_nuts_code,safe_emergency_call_type_code,safe_emergency_calls_received_count,safe_emergency_calls_answered_within_10s_pct,safe_emergency_dispatch_time_seconds_median,safe_emergency_response_time_minutes_median,safe_emergency_incident_location_type_code,safe_emergency_ambulance_dispatch_count,safe_emergency_fire_dispatch_count,safe_emergency_police_dispatch_count,safe_emergency_cross_border_assistance_flag,safe_emergency_major_incident_flag,safe_emergency_critical_care_transfers_count,safe_emergency_air_ambulance_missions_count,safe_emergency_emergency_alert_system_used_flag,safe_emergency_data_source,safe_emergency_data_quality_flag,safe_emergency_data_extract_date
2017-07,MT,NL72,POLICE,187152,66.96,243.44,33.5,MOTORWAY,22723,17047,63069,0,0,2182,185,0,FIRE_SERVICE_REPORT,0,2024-07-09
2017-08,ES,LV518,OTHER,582038,91.35,68.43,28.51,RURAL,70585,61077,42050,0,1,787,176,1,POLICE_DISPATCH_SYSTEM,1,2026-02-01
2017-09,CZ,GR92,TRAFFIC_ACCIDENT,1075441,87.89,158.16,13.67,SUBURBAN,500298,287607,397137,0,0,306,131,0,112_PUBLIC_SAFETY_ANSWERING_POINT,1,2025-05-30
2017-10,HU,FI93,MEDICAL,545408,81.96,86.82,30.27,URBAN,240910,24374,56460,0,0,5699,53,0,NATIONAL_EMS_ADMIN,1,2025-09-08
2017-11,NL,HU1,RESCUE,841107,58.28,215.98,41.2,INDUSTRIAL_ZONE,326199,206646,48533,0,0,281,239,0,FIRE_SERVICE_REPORT,1,2025-12-01
2017-12,SE,MT10,FIRE,786375,80.92,258.0,14.82,MOUNTAIN,56668,108831,88415,0,0,1161,141,1,POLICE_DISPATCH_SYSTEM,1,2025-02-03
2018-01,DK,SI388,PUBLIC_ORDER,391382,81.77,192.3,25.6,COASTAL,46835,19468,65160,0,0,2078,420,0,112_PUBLIC_SAFETY_ANSWERING_POINT,1,2024-01-25
2018-02,IE,FI1,POLICE,34393,87.39,311.18,13.13,MOTORWAY,7260,2217,8854,0,0,411,72,0,NATIONAL_EMS_ADMIN,1,2025-12-20
2018-03,PL,HR7,OTHER,355697,81.88,62.74,32.1,RURAL,36351,18605,47234,0,0,914,279,0,FIRE_SERVICE_REPORT,1,2026-02-03
2018-04,AT,GR82,TRAFFIC_ACCIDENT,162311,92.45,348.83,36.96,SUBURBAN,83297,37144,33728,0,0,343,178,0,POLICE_DISPATCH_SYSTEM,1,2024-01-29
2018-05,EE,LT193,MEDICAL,574813,63.78,55.87,14.13,URBAN,263172,53291,61059,0,0,1043,126,0,112_PUBLIC_SAFETY_ANSWERING_POINT,1,2024-05-26
2018-06,IT,LT48,RESCUE,415251,74.72,146.69,46.74,INDUSTRIAL_ZONE,151921,138366,62759,0,0,566,189,0,NATIONAL_EMS_ADMIN,1,2025-02-13
2018-07,PT,DE2,FIRE,715990,58.72,409.57,13.89,MOUNTAIN,73066,110922,119308,0,0,119,106,0,FIRE_SERVICE_REPORT,1,2024-04-07
2018-08,BE,DE919,PUBLIC_ORDER,19910,88.59,286.62,19.7,COASTAL,3061,1444,4348,1,0,1748,433,0,POLICE_DISPATCH_SYSTEM,1,2024-10-05
2018-09,FI,SK56,POLICE,230094,96.21,293.33,18.78,MOTORWAY,37445,25023,62798,0,1,612,43,1,112_PUBLIC_SAFETY_ANSWERING_POINT,1,2024-10-29
2018-10,LV,LU81,OTHER,403206,66.63,506.15,35.43,RURAL,65138,17303,22926,0,0,2261,219,0,NATIONAL_EMS_ADMIN,1,2025-09-29
2018-11,RO,NL6,TRAFFIC_ACCIDENT,984150,88.48,92.02,23.24,SUBURBAN,222301,180931,496692,1,0,976,33,0,FIRE_SERVICE_REPORT,1,2024-11-14
2018-12,BG,AT339,MEDICAL,52984,76.24,270.25,19.23,URBAN,14841,4732,3694,0,0,1,233,0,POLICE_DISPATCH_SYSTEM,1,2025-05-10
2019-01,FR,IT17,RESCUE,845393,74.43,216.5,19.77,INDUSTRIAL_ZONE,288566,328252,126967,0,0,2601,213,0,112_PUBLIC_SAFETY_ANSWERING_POINT,1,2024-04-10
2019-02,LT,DK34,FIRE,674792,67.32,451.26,27.64,MOUNTAIN,72410,221254,105408,0,0,3000,266,0,NATIONAL_EMS_ADMIN,1,2025-12-14
2019-03,SK,PL2,PUBLIC_ORDER,505086,97.94,295.14,28.37,COASTAL,36268,46814,252870,0,0,882,386,1,FIRE_SERVICE_REPORT,1,2024-01-02
2019-04,HR,DE786,POLICE,934727,64.23,97.1,15.7,MOTORWAY,192407,110718,464623,0,0,1769,19,0,POLICE_DISPATCH_SYSTEM,1,2024-11-18
2019-05,DE,CZ3,OTHER,276841,97.17,98.15,25.36,RURAL,32115,29116,30773,0,0,2118,380,0,112_PUBLIC_SAFETY_ANSWERING_POINT,1,2024-03-26
2019-06,LU,SI7,TRAFFIC_ACCIDENT,10059,58.63,181.33,15.28,SUBURBAN,1921,3515,2453,0,0,1011,206,0,NATIONAL_EMS_ADMIN,1,2025-12-18
2019-07,SI,PL7,MEDICAL,176533,73.26,326.46,15.83,URBAN,31949,6807,24143,1,0,2375,228,0,FIRE_SERVICE_REPORT,1,2024-05-08
2019-08,CY,RO466,RESCUE,440128,63.44,466.32,15.99,INDUSTRIAL_ZONE,148081,91361,58155,0,0,1158,244,0,POLICE_DISPATCH_SYSTEM,1,2024-07-21
2019-09,GR,LU61,FIRE,75150,87.39,123.99,16.64,MOUNTAIN,11306,17285,7714,0,0,2599,390,1,112_PUBLIC_SAFETY_ANSWERING_POINT,1,2025-09-07
2019-10,MT,MT59,PUBLIC_ORDER,401272,87.14,355.51,34.53,COASTAL,59659,40602,97632,0,1,1193,445,0,NATIONAL_EMS_ADMIN,1,2025-04-21
2019-11,ES,PL4,POLICE,826311,57.74,146.62,31.79,MOTORWAY,84345,51785,356511,0,1,3029,176,0,FIRE_SERVICE_REPORT,0,2025-10-03
2019-12,CZ,LT5,OTHER,540318,76.89,317.93,32.78,RURAL,67464,29551,94019,0,0,867,47,0,POLICE_DISPATCH_SYSTEM,1,2025-05-08
2020-01,HU,HR5,TRAFFIC_ACCIDENT,714676,85.49,82.45,24.27,SUBURBAN,348605,237329,301431,0,1,2405,100,1,112_PUBLIC_SAFETY_ANSWERING_POINT,1,2024-10-29
2020-02,NL,SI371,MEDICAL,190463,72.39,319.96,12.02,URBAN,42103,8749,19892,0,0,5058,217,0,NATIONAL_EMS_ADMIN,0,2024-06-23
2020-03,SE,GR864,RESCUE,1043706,95.72,156.91,15.04,INDUSTRIAL_ZONE,341963,323389,70691,0,0,1714,11,0,FIRE_SERVICE_REPORT,1,2024-09-05
2020-04,DK,HU863,FIRE,288447,71.64,90.47,24.61,MOUNTAIN,53828,97508,22589,0,0,2556,326,0,POLICE_DISPATCH_SYSTEM,1,2024-09-18
2020-05,IE,SI700,PUBLIC_ORDER,385995,58.29,334.56,11.05,COASTAL,69347,26824,201041,0,0,801,258,0,112_PUBLIC_SAFETY_ANSWERING_POINT,1,2024-05-30
2020-06,PL,ES82,POLICE,206105,73.99,49.68,20.28,MOTORWAY,32642,22768,102384,0,0,964,186,0,NATIONAL_EMS_ADMIN,1,2026-01-05
2020-07,AT,SE964,OTHER,875516,95.25,296.26,11.58,RURAL,69739,57456,62959,0,0,307,210,0,FIRE_SERVICE_REPORT,1,2024-08-07
2020-08,EE,SE18,TRAFFIC_ACCIDENT,1126798,79.65,237.26,42.95,SUBURBAN,218223,127491,557125,0,0,301,178,0,POLICE_DISPATCH_SYSTEM,1,2025-07-20
2020-09,IT,AT6,MEDICAL,194375,55.62,495.93,29.19,URBAN,49310,6329,12621,0,0,3770,243,0,112_PUBLIC_SAFETY_ANSWERING_POINT,1,2024-05-15
2020-10,PT,ES385,RESCUE,367516,83.03,181.93,38.8,INDUSTRIAL_ZONE,162745,131445,34608,0,0,3293,120,0,NATIONAL_EMS_ADMIN,1,2025-12-26
2020-11,BE,PT809,FIRE,68040,75.48,126.5,23.41,MOUNTAIN,6833,17232,10377,0,0,1019,310,0,FIRE_SERVICE_REPORT,1,2026-01-24
2020-12,FI,AT719,PUBLIC_ORDER,808712,82.25,346.8,13.13,COASTAL,146864,60792,302662,1,0,2471,318,0,POLICE_DISPATCH_SYSTEM,1,2024-11-25
2021-01,LV,IT81,POLICE,277744,95.66,81.11,13.87,MOTORWAY,41821,23162,33602,0,0,2257,159,0,112_PUBLIC_SAFETY_ANSWERING_POINT,1,2024-09-26
2021-02,RO,MT588,OTHER,899013,86.34,312.71,31.99,RURAL,122309,44743,62362,0,0,1981,458,0,NATIONAL_EMS_ADMIN,1,2024-11-13
2021-03,BG,ES88,TRAFFIC_ACCIDENT,265620,71.84,233.63,22.1,SUBURBAN,122764,30515,124103,0,0,685,249,0,FIRE_SERVICE_REPORT,1,2024-02-08
2021-04,FR,IT11,MEDICAL,334518,93.51,183.31,34.64,URBAN,108130,36501,56442,0,0,3407,73,0,POLICE_DISPATCH_SYSTEM,1,2024-01-05
2021-05,LT,IT74,RESCUE,274125,57.93,80.23,22.24,INDUSTRIAL_ZONE,103162,108875,43317,1,0,2705,85,0,112_PUBLIC_SAFETY_ANSWERING_POINT,1,2024-04-22
2021-06,SK,PT734,FIRE,649447,57.07,105.56,40.59,MOUNTAIN,107135,249937,94621,0,0,528,256,0,NATIONAL_EMS_ADMIN,1,2025-06-30
2021-07,HR,DE42,PUBLIC_ORDER,432136,55.65,178.77,10.28,COASTAL,38419,33050,206695,0,0,2315,311,0,FIRE_SERVICE_REPORT,1,2025-05-04
2021-08,DE,EE7,POLICE,432540,64.34,296.18,22.14,MOTORWAY,44906,40589,202742,0,0,380,240,0,POLICE_DISPATCH_SYSTEM,1,2024-04-27
2021-09,LU,DE24,OTHER,285759,88.35,163.79,18.49,RURAL,40433,16717,47021,0,0,1111,383,1,112_PUBLIC_SAFETY_ANSWERING_POINT,0,2025-12-17
2021-10,SI,IE428,TRAFFIC_ACCIDENT,998837,73.38,203.29,45.23,SUBURBAN,411662,277861,121963,0,0,1399,235,0,NATIONAL_EMS_ADMIN,1,2024-10-31
2021-11,CY,IT4,MEDICAL,846635,72.51,226.34,27.5,URBAN,190713,77466,35004,0,0,3356,118,0,FIRE_SERVICE_REPORT,1,2025-08-23
2021-12,GR,CY225,RESCUE,937833,91.79,321.39,38.78,INDUSTRIAL_ZONE,190283,309178,129218,0,0,2651,134,0,POLICE_DISPATCH_SYSTEM,1,2025-01-04
2022-01,MT,LT329,FIRE,89559,92.2,78.18,33.09,MOUNTAIN,17626,26229,7431,0,0,1005,192,1,112_PUBLIC_SAFETY_ANSWERING_POINT,1,2024-02-15
2022-02,ES,DK712,PUBLIC_ORDER,563375,56.14,359.89,16.29,COASTAL,105686,59845,59954,0,0,2442,295,0,NATIONAL_EMS_ADMIN,1,2025-03-04
2022-03,CZ,PL442,POLICE,78724,74.98,213.43,24.91,MOTORWAY,4876,3630,10833,1,0,799,91,0,FIRE_SERVICE_REPORT,1,2025-10-09
2022-04,HU,CZ38,OTHER,891993,96.42,101.49,14.27,RURAL,167980,52417,101083,0,0,1371,301,1,POLICE_DISPATCH_SYSTEM,1,2025-09-19
2022-05,NL,GR9,TRAFFIC_ACCIDENT,670510,84.01,50.62,23.35,SUBURBAN,333795,191737,92403,0,0,2726,104,0,112_PUBLIC_SAFETY_ANSWERING_POINT,1,2024-06-19
2022-06,SE,PL87,MEDICAL,337694,87.32,103.99,33.04,URBAN,162895,13604,29254,1,0,1988,154,0,NATIONAL_EMS_ADMIN,1,2024-03-30
2022-07,DK,ES901,RESCUE,264550,78.57,286.85,41.85,INDUSTRIAL_ZONE,48078,62116,46268,0,0,2911,180,0,FIRE_SERVICE_REPORT,1,2025-06-18
2022-08,IE,SE8,FIRE,4143,85.02,171.17,7.6,MOUNTAIN,361,646,637,0,0,2575,75,0,POLICE_DISPATCH_SYSTEM,1,2025-08-05
2022-09,PL,LV782,PUBLIC_ORDER,142136,56.45,377.81,10.29,COASTAL,15594,14369,17056,0,0,3123,209,0,112_PUBLIC_SAFETY_ANSWERING_POINT,1,2025-12-01
2022-10,AT,LV95,POLICE,811759,79.28,352.03,17.31,MOTORWAY,178491,36374,163976,0,0,1086,221,0,NATIONAL_EMS_ADMIN,1,2024-11-25
2022-11,EE,AT35,OTHER,916565,85.03,210.8,30.03,RURAL,131418,29257,78938,0,0,2676,186,0,FIRE_SERVICE_REPORT,1,2026-01-21
2022-12,IT,IE537,TRAFFIC_ACCIDENT,309893,93.38,239.25,38.1,SUBURBAN,86002,73767,147573,0,0,3070,38,0,POLICE_DISPATCH_SYSTEM,1,2025-02-02
2023-01,PT,CZ5,MEDICAL,624752,61.71,54.42,6.07,URBAN,214140,34373,28305,0,0,2388,112,0,112_PUBLIC_SAFETY_ANSWERING_POINT,1,2025-12-22
2023-02,BE,FR24,RESCUE,1024414,59.16,260.48,23.83,INDUSTRIAL_ZONE,556422,204351,50990,0,0,1491,8,0,NATIONAL_EMS_ADMIN,1,2025-10-04
2023-03,FI,LU10,FIRE,378692,91.69,323.32,13.96,MOUNTAIN,21965,49716,63007,0,0,108,412,0,FIRE_SERVICE_REPORT,1,2024-10-13
2023-04,LV,LT9,PUBLIC_ORDER,707736,85.81,215.82,7.51,COASTAL,40210,75780,270621,0,0,1090,340,0,POLICE_DISPATCH_SYSTEM,1,2025-07-29
2023-05,RO,BE93,POLICE,983756,68.99,477.2,5.93,MOTORWAY,65251,51272,247671,0,0,2250,142,0,112_PUBLIC_SAFETY_ANSWERING_POINT,1,2024-04-01
2023-06,BG,BE8,OTHER,168089,92.11,315.09,30.55,RURAL,10480,10757,19172,0,0,1550,463,0,NATIONAL_EMS_ADMIN,1,2025-05-12
2023-07,FR,PL71,TRAFFIC_ACCIDENT,468579,67.78,295.05,36.6,SUBURBAN,160718,171224,53454,0,0,2572,87,0,FIRE_SERVICE_REPORT,1,2025-06-04
2023-08,LT,CZ1,MEDICAL,613739,75.12,133.23,34.28,URBAN,124897,26386,86293,0,0,5020,29,0,POLICE_DISPATCH_SYSTEM,1,2024-04-15
2023-09,SK,ES946,RESCUE,125818,95.22,212.35,28.56,INDUSTRIAL_ZONE,64770,32081,20641,0,0,1278,182,0,112_PUBLIC_SAFETY_ANSWERING_POINT,1,2025-05-04
2023-10,HR,PT16,FIRE,175041,59.07,150.45,25.43,MOUNTAIN,15119,46407,20496,0,0,2688,92,0,NATIONAL_EMS_ADMIN,1,2025-11-05
2023-11,DE,MT993,PUBLIC_ORDER,219159,57.53,304.67,7.31,COASTAL,42875,12283,73012,0,0,2519,263,0,FIRE_SERVICE_REPORT,1,2024-06-14
2023-12,LU,IE749,POLICE,796146,91.53,289.5,35.44,MOTORWAY,130558,90727,375156,0,0,1236,13,0,POLICE_DISPATCH_SYSTEM,1,2026-02-01
2024-01,SI,HU719,OTHER,464604,87.66,174.97,19.79,RURAL,80357,25736,21385,0,0,3120,12,0,112_PUBLIC_SAFETY_ANSWERING_POINT,1,2025-09-11
2024-02,CY,EE69,TRAFFIC_ACCIDENT,124885,93.68,163.3,27.06,SUBURBAN,47545,41171,65959,1,0,1678,243,0,NATIONAL_EMS_ADMIN,1,2025-06-26
2024-03,GR,LV4,MEDICAL,562467,66.81,214.85,29.03,URBAN,177148,38575,38387,0,0,3595,161,0,FIRE_SERVICE_REPORT,1,2024-01-14
2024-04,MT,PL704,RESCUE,360613,95.22,332.43,16.71,INDUSTRIAL_ZONE,165680,140329,18634,0,0,228,122,0,POLICE_DISPATCH_SYSTEM,1,2026-01-24
2024-05,ES,ES28,FIRE,386304,95.76,221.72,40.07,MOUNTAIN,28616,150174,52830,1,0,171,268,0,112_PUBLIC_SAFETY_ANSWERING_POINT,1,2024-05-13
2024-06,CZ,EE236,PUBLIC_ORDER,190667,79.98,346.53,14.25,COASTAL,34619,5960,83418,1,0,1161,245,0,NATIONAL_EMS_ADMIN,1,2024-01-24
2024-07,HU,HR323,POLICE,401778,57.49,214.06,30.71,MOTORWAY,85264,13018,135140,0,0,1050,223,0,FIRE_SERVICE_REPORT,1,2024-11-24
2024-08,NL,DK732,OTHER,359002,67.09,133.39,26.14,RURAL,24818,33599,46859,0,1,1853,339,0,POLICE_DISPATCH_SYSTEM,1,2025-03-30
2024-09,SE,FR939,TRAFFIC_ACCIDENT,900103,72.74,217.78,14.81,SUBURBAN,473757,195453,433061,0,0,1200,208,0,112_PUBLIC_SAFETY_ANSWERING_POINT,1,2024-05-25
2024-10,DK,SK61,MEDICAL,584252,93.22,296.29,16.19,URBAN,288727,44115,96684,1,0,7123,138,0,NATIONAL_EMS_ADMIN,1,2026-02-25
2024-11,IE,DK3,RESCUE,435486,94.93,34.8,27.05,INDUSTRIAL_ZONE,103906,148834,25440,0,0,34,108,1,FIRE_SERVICE_REPORT,1,2025-04-30
2024-12,PL,IT2,FIRE,816970,87.95,75.53,13.23,MOUNTAIN,88461,218991,46520,0,0,1056,35,0,POLICE_DISPATCH_SYSTEM,1,2025-03-03
2025-01,AT,LV3,PUBLIC_ORDER,163726,88.39,62.13,25.68,COASTAL,22879,8766,45634,0,0,881,300,0,112_PUBLIC_SAFETY_ANSWERING_POINT,1,2024-10-26
2025-02,EE,CY58,POLICE,515540,96.09,296.23,30.15,MOTORWAY,62531,24607,255868,0,0,40,2,0,NATIONAL_EMS_ADMIN,1,2024-07-10
2025-03,IT,SE27,OTHER,768435,71.1,151.61,21.93,RURAL,151638,46802,57336,0,0,248,424,0,FIRE_SERVICE_REPORT,1,2026-02-17
2025-04,PT,MT528,TRAFFIC_ACCIDENT,357022,97.56,301.63,17.88,SUBURBAN,186709,125457,168338,0,1,1617,185,1,POLICE_DISPATCH_SYSTEM,1,2024-10-24
2025-05,BE,BG873,MEDICAL,84722,66.69,67.65,27.36,URBAN,32679,7804,5215,0,0,3695,120,0,112_PUBLIC_SAFETY_ANSWERING_POINT,0,2024-11-09
2025-06,FI,CY63,RESCUE,736463,64.75,385.02,45.27,INDUSTRIAL_ZONE,229658,271441,129883,0,0,2231,95,0,NATIONAL_EMS_ADMIN,1,2024-12-16
2025-07,LV,MT3,FIRE,770803,89.65,325.13,23.96,MOUNTAIN,114023,198865,49539,0,0,143,120,0,FIRE_SERVICE_REPORT,1,2024-03-30
2025-08,RO,SI467,PUBLIC_ORDER,121252,58.6,499.53,21.69,COASTAL,10285,14355,40145,1,1,1686,182,0,POLICE_DISPATCH_SYSTEM,0,2025-08-17
2025-09,BG,EE78,POLICE,666265,98.25,154.22,21.96,MOTORWAY,60832,58278,333079,0,1,1092,184,1,112_PUBLIC_SAFETY_ANSWERING_POINT,1,2025-08-29
2025-10,FR,HR6,OTHER,778950,62.96,153.23,18.16,RURAL,147207,82014,44002,0,0,452,89,0,NATIONAL_EMS_ADMIN,1,2024-02-26
2025-11,LT,SI490,TRAFFIC_ACCIDENT,780164,68.92,511.71,37.04,SUBURBAN,425377,155228,88998,0,0,3291,212,0,FIRE_SERVICE_REPORT,1,2026-01-26
2025-12,SK,GR908,MEDICAL,675080,75.6,347.18,15.25,URBAN,299836,38879,46500,0,0,823,70,1,POLICE_DISPATCH_SYSTEM,1,2025-10-25
2026-01,HR,IE347,RESCUE,727816,76.59,244.49,34.84,INDUSTRIAL_ZONE,353680,144077,107409,0,0,321,239,1,112_PUBLIC_SAFETY_ANSWERING_POINT,1,2024-09-09
2026-02,DE,ES64,FIRE,1085219,81.94,340.17,12.14,MOUNTAIN,181110,369204,147012,0,0,1065,182,0,NATIONAL_EMS_ADMIN,1,2025-06-15
2026-03,LU,NL26,PUBLIC_ORDER,188584,71.61,40.66,33.74,COASTAL,27949,20875,59675,0,0,1435,213,0,FIRE_SERVICE_REPORT,0,2025-05-20
2026-04,SI,FR91,POLICE,573227,92.18,349.47,22.34,MOTORWAY,106727,31550,184355,0,0,166,55,0,POLICE_DISPATCH_SYSTEM,1,2025-09-29
2026-05,CY,RO328,OTHER,503304,64.4,262.53,35.58,RURAL,100699,47323,82428,0,1,1666,280,1,112_PUBLIC_SAFETY_ANSWERING_POINT,1,2024-12-06
2026-06,GR,CZ572,TRAFFIC_ACCIDENT,23246,91.65,258.88,26.89,SUBURBAN,5100,5686,11687,0,0,3032,62,0,NATIONAL_EMS_ADMIN,1,2024-03-07
2026-07,MT,IE104,MEDICAL,562179,74.34,87.03,29.2,URBAN,235147,42873,41526,0,0,4441,234,0,FIRE_SERVICE_REPORT,1,2024-09-27
2026-08,ES,MT5,RESCUE,681948,64.98,460.66,32.84,INDUSTRIAL_ZONE,305091,63129,73946,0,0,572,175,0,POLICE_DISPATCH_SYSTEM,1,2024-05-16
2026-09,CZ,PT4,FIRE,960223,58.49,187.99,23.59,MOUNTAIN,63093,347343,120278,0,0,2242,405,0,112_PUBLIC_SAFETY_ANSWERING_POINT,1,2025-03-13
2026-10,HU,SE26,PUBLIC_ORDER,637608,81.16,173.6,32.23,COASTAL,95578,74995,251587,0,0,960,126,0,NATIONAL_EMS_ADMIN,1,2025-07-12
2026-11,NL,SE639,POLICE,691480,93.48,154.25,32.09,MOTORWAY,124305,28573,233551,0,0,2986,5,0,FIRE_SERVICE_REPORT,1,2024-01-31
2026-12,SE,NL9,OTHER,456566,75.63,110.6,22.61,RURAL,43218,43941,63950,1,0,1562,220,0,POLICE_DISPATCH_SYSTEM,1,2025-11-29
2016-01,DK,HR269,TRAFFIC_ACCIDENT,925133,94.29,292.74,21.14,SUBURBAN,407438,344374,96499,0,1,618,155,1,112_PUBLIC_SAFETY_ANSWERING_POINT,1,2025-02-15
2016-02,IE,ES450,MEDICAL,90553,81.01,62.75,13.89,URBAN,22812,4050,9677,0,0,1057,104,0,NATIONAL_EMS_ADMIN,1,2025-07-21
2016-03,PL,RO573,RESCUE,319276,63.74,283.69,33.39,INDUSTRIAL_ZONE,144479,102927,47439,0,0,3120,24,0,FIRE_SERVICE_REPORT,1,2025-07-06
2016-04,AT,SI3,FIRE,474666,89.12,131.65,43.75,MOUNTAIN,39017,51062,44429,0,0,904,25,0,POLICE_DISPATCH_SYSTEM,1,2024-06-11
2016-05,EE,DE9,PUBLIC_ORDER,154448,60.93,488.31,15.63,COASTAL,23260,10506,79678,0,0,2188,252,0,112_PUBLIC_SAFETY_ANSWERING_POINT,1,2024-01-30
2016-06,IT,CZ13,POLICE,36155,66.33,290.31,14.56,MOTORWAY,3979,4265,12253,1,0,2660,97,0,NATIONAL_EMS_ADMIN,1,2024-09-09
2016-07,PT,RO134,OTHER,408647,59.97,353.98,26.19,RURAL,62593,23413,62823,0,0,2561,421,0,FIRE_SERVICE_REPORT,1,2024-07-30
2016-08,BE,DE6,TRAFFIC_ACCIDENT,713094,86.91,253.81,40.19,SUBURBAN,147766,224448,340752,0,0,1495,126,0,POLICE_DISPATCH_SYSTEM,1,2025-12-06
2016-09,FI,BE549,MEDICAL,523947,60.39,448.23,25.15,URBAN,184712,19705,65446,0,0,801,132,0,112_PUBLIC_SAFETY_ANSWERING_POINT,0,2026-02-17
2016-10,LV,HR46,RESCUE,46656,84.24,110.68,31.25,INDUSTRIAL_ZONE,15813,17667,2125,0,0,1820,170,0,NATIONAL_EMS_ADMIN,1,2026-02-06
2016-11,RO,GR87,FIRE,475205,60.55,283.09,7.64,MOUNTAIN,35966,63746,76130,0,0,387,393,1,FIRE_SERVICE_REPORT,1,2024-04-16
2016-12,BG,IT347,PUBLIC_ORDER,17162,75.0,32.37,20.39,COASTAL,3558,1679,6044,0,0,218,433,0,POLICE_DISPATCH_SYSTEM,1,2024-09-24
2017-01,FR,SI851,POLICE,634621,64.95,301.48,31.55,MOTORWAY,76596,54487,79538,0,0,1792,235,0,112_PUBLIC_SAFETY_ANSWERING_POINT,1,2025-05-18
2017-02,LT,ES592,OTHER,186767,59.7,279.14,13.75,RURAL,21613,9720,28892,0,0,840,178,0,NATIONAL_EMS_ADMIN,1,2025-01-16
