travel_intl_arrival_year,travel_intl_arrival_month,travel_intl_port_of_entry_air_sea,travel_intl_visitor_country_code,travel_intl_visitor_region_code,travel_intl_purpose_of_trip_code,travel_intl_length_of_stay_days_median,travel_intl_visitor_spend_inr_total,travel_intl_visitor_spend_retail_inr,travel_intl_visitor_spend_lodging_inr,travel_intl_visitor_spend_food_inr,travel_intl_visitor_spend_entertainment_inr,travel_intl_payment_method_share_cash,travel_intl_payment_method_share_card,travel_intl_group_tour_flag,travel_intl_business_travel_flag,travel_intl_visa_waiver_eligible_flag,travel_intl_repeat_visitor_flag,travel_intl_satisfaction_score,travel_intl_exchange_rate_index
2024,10,BOM_AIR,BTN,OCEANIA,CONFERENCE,42,506835,34648,400101,200622,30070,0.61,0.1,1,1,0,0,5.2,69.44
2017,9,BOM_SEA,RUS,OCEANIA,EDUCATION,35,826076,364285,593878,34202,148003,0.45,0.37,1,1,1,1,7.7,64.56
2025,12,DEL_AIR,IND,N_AMERICA,EDUCATION,19,437453,151648,426140,75772,182732,0.34,0.15,1,1,0,1,4.0,111.02
2021,11,KOCHI_SEA,AUS,N_AMERICA,LEISURE,21,718046,23303,491884,133267,17968,0.58,0.41,0,1,1,0,8.3,88.98
2025,9,AMD_AIR,VNM,OCEANIA,LEISURE,39,972354,166463,566983,183856,187869,0.07,0.61,0,1,1,0,2.3,94.96
2022,12,KOCHI_SEA,LKA,EUROPE,EDUCATION,2,66901,185238,46123,224019,44901,0.13,0.48,0,1,0,0,9.9,66.92
2022,8,BOM_AIR,AFG,MIDDLE_EAST,MEDICAL,24,137149,215591,455517,72477,49402,0.21,0.68,0,1,1,1,6.8,68.11
2018,7,MAA_AIR,GBR,AFRICA,LEISURE,28,73562,304281,513622,83809,93091,0.88,0.06,1,0,1,1,3.6,107.18
2021,1,KOCHI_SEA,THA,MIDDLE_EAST,PILGRIMAGE,17,622377,369972,6336,104866,300,0.29,0.33,0,0,1,1,1.6,88.87
2021,9,BLR_AIR,CHN,N_AMERICA,PILGRIMAGE,28,161254,131774,195930,105301,100209,0.48,0.51,0,1,1,1,6.0,118.83
2020,11,MAA_AIR,CHN,EUROPE,VFR,10,1136550,146546,368107,233619,167373,0.53,0.26,1,1,1,1,6.3,115.1
2023,3,MAA_AIR,RUS,MIDDLE_EAST,LEISURE,13,1118845,317894,421704,98594,126113,0.06,0.61,0,0,1,1,5.0,114.99
2015,3,BOM_SEA,JPN,S_AMERICA,CONFERENCE,32,505656,139506,469617,116694,23872,0.12,0.11,1,0,1,0,9.4,120.25
2019,11,HYD_AIR,KEN,EUROPE,MEDICAL,33,698464,260822,173156,38134,194034,0.18,0.11,1,0,0,0,3.9,119.32
2020,2,DEL_AIR,BGD,ASIA,LEISURE,23,747387,112676,8045,161432,74265,0.24,0.09,1,0,1,1,6.2,98.01
2025,6,COK_AIR,BTN,OCEANIA,LEISURE,26,398626,109885,593785,80897,189524,0.11,0.46,1,0,1,1,1.6,80.12
2016,9,CCU_AIR,MDV,EUROPE,VFR,36,263380,283777,122601,44335,122436,0.6,0.3,1,0,0,1,5.1,99.4
2020,8,MUM_SEA,THA,S_AMERICA,BUSINESS,37,308061,114627,495747,100329,46085,0.15,0.31,0,1,0,1,8.1,76.56
2017,3,HYD_AIR,FRA,ASIA,CONFERENCE,38,597360,302761,468134,175792,151737,0.81,0.13,1,0,0,0,7.7,73.43
2023,4,BOM_AIR,KOR,EUROPE,BUSINESS,14,259693,32384,496892,120395,165421,0.48,0.32,0,1,1,1,5.3,95.43
2018,8,MAA_AIR,LKA,EUROPE,MEDICAL,13,569153,353493,412590,15545,39572,0.21,0.17,0,0,1,0,8.7,103.6
2021,3,AMD_AIR,SAU,N_AMERICA,BUSINESS,28,213714,210128,431655,106239,197814,0.25,0.58,1,0,0,0,9.5,91.57
2018,4,BOM_SEA,PAK,N_AMERICA,MEDICAL,38,172998,40636,317874,180202,78634,0.6,0.24,0,0,0,0,4.9,116.44
2015,9,MAA_AIR,SGP,N_AMERICA,LEISURE,25,914458,138454,26055,159840,6050,0.15,0.15,1,1,1,1,4.2,100.89
2025,9,AMD_AIR,AUS,AFRICA,LEISURE,19,967796,343076,332060,114068,61159,0.09,0.86,1,0,1,1,6.7,128.45
2015,9,CCU_AIR,PAK,N_AMERICA,VFR,13,848843,26436,55742,99196,11032,0.73,0.1,1,1,0,0,10.0,71.9
2017,11,KOCHI_SEA,CHN,N_AMERICA,MEDICAL,40,1095888,256237,437866,212070,136656,0.47,0.25,0,0,1,1,1.4,81.86
2015,10,MAA_AIR,THA,S_AMERICA,LEISURE,43,995079,20659,488822,133362,174318,0.77,0.22,0,1,0,1,4.3,64.95
2018,7,BOM_SEA,NPL,N_AMERICA,CONFERENCE,35,104788,395493,544827,234152,116134,0.86,0.08,0,1,1,1,5.4,94.95
2022,11,CCU_AIR,CAN,MIDDLE_EAST,BUSINESS,3,223880,150152,563499,192179,54210,0.44,0.14,0,1,1,0,9.8,63.5
2024,2,HYD_AIR,ITA,EUROPE,MEDICAL,4,777948,180749,199909,224999,11494,0.31,0.68,0,1,1,0,8.4,105.58
2024,5,COK_AIR,LKA,N_AMERICA,LEISURE,44,73195,329823,58985,64019,109385,0.36,0.64,1,0,1,1,3.7,77.48
2020,10,HYD_AIR,RUS,ASIA,EDUCATION,12,640821,272818,272231,31448,150085,0.81,0.15,0,0,0,0,8.0,112.87
2020,7,GOI_AIR,IND,ASIA,BUSINESS,23,197455,332777,365074,64109,131764,0.9,0.09,1,0,0,1,2.9,62.79
2016,4,KOCHI_SEA,ESP,N_AMERICA,MEDICAL,4,452129,57327,578399,76334,96056,0.37,0.63,1,0,1,1,6.3,83.58
2023,9,DEL_AIR,CHN,EUROPE,LEISURE,5,1010268,372417,402167,81067,48612,0.87,0.06,1,1,0,0,1.4,125.17
2022,11,BOM_SEA,SAU,AFRICA,PILGRIMAGE,34,930132,55228,263756,85077,173787,0.48,0.45,0,1,1,0,4.8,64.82
2021,8,MAA_AIR,THA,N_AMERICA,BUSINESS,16,1006983,212418,550168,89827,140963,0.08,0.09,0,1,0,1,7.9,121.28
2018,8,MAA_AIR,CHN,ASIA,BUSINESS,22,1013859,394219,510703,233839,141888,0.22,0.52,0,0,0,0,3.6,83.14
2018,10,BOM_AIR,CHN,EUROPE,CONFERENCE,25,956354,313252,274018,248574,190117,0.38,0.41,0,0,1,1,7.6,62.66
2024,9,AMD_AIR,JPN,AFRICA,BUSINESS,24,306736,358256,44641,132441,171294,0.35,0.34,0,1,1,0,3.9,123.02
2024,9,COK_AIR,BGD,N_AMERICA,EDUCATION,43,493168,154582,440530,25244,118386,0.74,0.17,0,1,0,1,1.6,90.03
2018,2,DEL_AIR,IND,AFRICA,BUSINESS,7,375025,224315,403495,228943,106709,0.72,0.11,0,1,1,0,9.1,90.41
2023,5,COK_AIR,ESP,MIDDLE_EAST,LEISURE,11,563841,84934,394380,73765,136865,0.16,0.06,0,1,1,0,4.8,108.22
2023,1,BOM_SEA,KOR,S_AMERICA,LEISURE,36,1016864,15745,26569,237338,31713,0.1,0.21,1,0,0,1,7.7,92.8
2023,5,CCU_AIR,NPL,S_AMERICA,BUSINESS,32,780013,303491,415332,66143,197171,0.65,0.33,0,1,1,0,6.3,114.38
2019,8,DEL_AIR,KEN,EUROPE,PILGRIMAGE,4,438511,239226,324321,226037,108572,0.41,0.2,1,1,1,0,7.1,99.72
2023,7,CCU_AIR,SAU,MIDDLE_EAST,EDUCATION,20,828184,131529,453869,217246,138645,0.2,0.58,0,1,1,1,5.8,82.26
2015,8,AMD_AIR,ITA,AFRICA,LEISURE,25,627716,363863,75967,185548,67042,0.12,0.43,0,0,1,1,5.9,104.72
2022,8,BOM_AIR,SGP,S_AMERICA,LEISURE,21,800873,383282,131249,110472,93933,0.23,0.76,1,0,0,1,8.8,66.13
2018,5,MAA_AIR,GBR,N_AMERICA,BUSINESS,38,927515,166323,519328,88661,110331,0.86,0.14,0,0,1,1,6.1,94.45
2019,6,GOI_AIR,CAN,OCEANIA,MEDICAL,22,1004848,369660,15247,204908,84857,0.12,0.49,0,0,1,0,8.3,83.85
2022,11,COK_AIR,CAN,MIDDLE_EAST,MEDICAL,29,901975,231963,530467,156511,181455,0.52,0.2,0,0,1,1,5.0,88.17
2022,2,MAA_AIR,CHN,N_AMERICA,VFR,35,964730,332495,212725,115821,174498,0.07,0.41,0,1,0,1,9.8,107.21
2015,12,GOI_AIR,JPN,AFRICA,MEDICAL,44,884736,107059,409435,206933,115510,0.82,0.1,0,1,1,0,1.6,71.34
2025,4,AMD_AIR,IND,S_AMERICA,EDUCATION,27,657781,315538,239214,127892,47561,0.49,0.08,1,0,1,1,4.4,62.41
2024,3,CCU_AIR,USA,EUROPE,LEISURE,1,976506,282002,202787,82900,7595,0.85,0.05,0,1,0,0,2.6,121.26
2019,10,CCU_AIR,MDV,N_AMERICA,EDUCATION,41,626729,174123,361262,105278,69125,0.33,0.4,1,0,1,1,3.7,119.67
2016,5,DEL_AIR,CHN,AFRICA,VFR,28,422589,145812,514023,152822,98066,0.39,0.37,0,1,1,0,2.1,124.33
2022,5,BLR_AIR,JPN,OCEANIA,EDUCATION,21,856879,8174,258881,134230,47371,0.69,0.07,0,1,1,1,5.5,109.66
2022,12,CCU_AIR,ESP,MIDDLE_EAST,VFR,10,1185125,103509,233449,125641,58784,0.85,0.09,1,0,0,1,1.1,121.88
2024,12,COK_AIR,PAK,S_AMERICA,EDUCATION,38,932585,78759,167045,235812,118489,0.17,0.77,1,0,1,0,6.3,82.62
2016,12,CCU_AIR,JPN,EUROPE,VFR,29,1159219,46350,327258,248988,44523,0.39,0.29,0,0,1,0,9.5,70.49
2018,9,MAA_AIR,NGA,OCEANIA,PILGRIMAGE,20,498166,335478,13675,88352,193060,0.87,0.08,1,0,1,0,2.5,108.64
2016,11,BOM_SEA,CAN,N_AMERICA,LEISURE,38,861483,374280,326669,186922,84823,0.33,0.1,0,1,1,0,6.9,84.67
2018,12,MAA_AIR,ESP,AFRICA,VFR,7,871725,108855,56050,17733,77342,0.85,0.13,1,0,0,0,3.3,79.12
2025,7,BOM_SEA,AUS,ASIA,MEDICAL,33,1057218,273517,9464,64823,150702,0.58,0.27,1,1,0,0,2.3,101.46
2018,1,COK_AIR,ESP,AFRICA,BUSINESS,13,779722,231602,183175,150773,190293,0.46,0.13,1,1,0,0,8.5,70.14
2022,12,COK_AIR,DEU,MIDDLE_EAST,VFR,17,792009,246470,309838,200188,66806,0.33,0.31,0,1,1,1,5.3,101.49
2024,7,DEL_AIR,BGD,OCEANIA,VFR,9,513795,196460,29296,181673,126587,0.48,0.39,0,0,1,1,1.6,121.15
2023,1,COK_AIR,PAK,AFRICA,PILGRIMAGE,16,1113703,240816,170373,137752,140927,0.61,0.14,1,1,0,0,5.9,108.19
2022,12,DEL_AIR,SGP,AFRICA,PILGRIMAGE,7,1077567,56624,462943,119035,6609,0.65,0.2,0,1,0,1,9.8,95.72
2017,9,MAA_AIR,RUS,OCEANIA,PILGRIMAGE,40,67407,208263,371458,169827,15123,0.11,0.51,1,1,0,1,8.2,94.06
2017,7,DEL_AIR,MDV,MIDDLE_EAST,PILGRIMAGE,41,1174195,130478,149311,36985,107473,0.59,0.31,1,0,0,1,6.0,82.29
2021,8,HYD_AIR,THA,N_AMERICA,VFR,5,499434,47676,547169,238928,104348,0.81,0.13,1,0,1,1,9.6,113.15
2015,9,AMD_AIR,ESP,N_AMERICA,BUSINESS,12,644276,80851,496221,218651,14323,0.41,0.3,0,0,1,0,8.2,125.45
2023,2,MAA_AIR,GBR,N_AMERICA,MEDICAL,14,471099,194946,571618,221754,16880,0.26,0.17,1,0,1,1,5.0,93.21
2020,4,BOM_SEA,FRA,AFRICA,MEDICAL,44,764938,204629,243781,142584,17688,0.64,0.15,0,1,0,1,5.2,121.83
2024,11,AMD_AIR,BTN,AFRICA,BUSINESS,27,849809,17151,489051,73013,160202,0.15,0.36,0,1,0,1,9.3,61.56
2020,12,MUM_SEA,NPL,S_AMERICA,MEDICAL,10,261561,105008,535962,95476,197639,0.84,0.15,0,0,0,0,1.4,73.28
2021,7,MUM_SEA,BTN,OCEANIA,PILGRIMAGE,6,900235,363643,242196,162818,191067,0.49,0.35,0,1,1,0,4.0,63.64
2022,11,MAA_AIR,KEN,OCEANIA,BUSINESS,20,571902,370223,178219,125421,148414,0.61,0.23,1,0,0,0,4.9,97.44
2022,9,BOM_AIR,ESP,S_AMERICA,CONFERENCE,24,1170112,354533,136079,219786,40770,0.35,0.36,0,1,0,0,2.8,83.09
2015,7,MUM_SEA,DEU,EUROPE,PILGRIMAGE,27,124350,348859,3330,96458,174048,0.42,0.4,0,0,1,1,2.6,118.96
2019,2,CCU_AIR,USA,ASIA,PILGRIMAGE,5,881243,232018,571509,183161,2108,0.54,0.14,1,0,1,0,5.5,107.75
2025,10,GOI_AIR,JPN,N_AMERICA,PILGRIMAGE,44,1052525,183478,60785,210185,88906,0.89,0.08,1,1,1,0,6.3,103.34
2017,2,COK_AIR,VNM,ASIA,VFR,9,496785,92956,479514,222347,29917,0.65,0.22,1,0,0,0,5.1,68.78
2017,11,BLR_AIR,KOR,MIDDLE_EAST,LEISURE,7,1093581,247376,261095,105853,197787,0.84,0.09,0,0,0,0,4.7,79.46
2018,9,BOM_AIR,SGP,N_AMERICA,EDUCATION,8,690662,193675,320165,6483,17267,0.86,0.05,0,0,0,0,7.4,110.78
2025,6,COK_AIR,MYS,OCEANIA,CONFERENCE,44,19426,108363,499844,24107,133855,0.71,0.15,0,1,1,1,7.7,74.13
2023,6,CCU_AIR,BGD,S_AMERICA,EDUCATION,10,914525,274637,227167,48678,124983,0.08,0.17,1,0,0,1,2.6,108.96
2020,3,BLR_AIR,ITA,EUROPE,CONFERENCE,25,507294,392303,249489,46809,25220,0.28,0.58,1,1,1,0,1.6,123.05
2020,6,BOM_AIR,AUS,MIDDLE_EAST,PILGRIMAGE,39,319417,50285,236708,212496,26243,0.74,0.16,0,0,1,0,1.6,120.89
2018,10,CCU_AIR,ETH,ASIA,VFR,33,463963,88849,299408,242116,43907,0.06,0.91,0,1,0,1,7.6,62.12
2025,3,BOM_SEA,AFG,AFRICA,BUSINESS,9,990207,277611,208759,21791,159807,0.46,0.23,0,1,1,0,1.1,121.66
2025,4,HYD_AIR,SAU,OCEANIA,LEISURE,43,366630,302686,376707,133383,128464,0.7,0.12,0,1,1,1,9.8,80.4
2018,5,KOCHI_SEA,ITA,S_AMERICA,VFR,41,475529,97484,331520,6068,101773,0.84,0.16,1,1,0,1,7.4,90.46
2016,1,BOM_AIR,DEU,EUROPE,PILGRIMAGE,31,265243,38336,271676,42943,87296,0.42,0.22,0,1,0,1,6.4,97.14
2017,3,BOM_SEA,USA,N_AMERICA,VFR,37,738992,287314,546198,185463,189512,0.75,0.13,0,1,1,0,1.3,88.74
2024,3,BLR_AIR,AUS,MIDDLE_EAST,VFR,28,981292,61240,94936,134440,86046,0.44,0.05,1,1,1,0,1.3,104.02
2017,2,GOI_AIR,LKA,N_AMERICA,EDUCATION,10,790210,78809,121436,219457,19339,0.17,0.22,0,1,1,1,5.1,118.44
2018,5,GOI_AIR,KOR,EUROPE,VFR,8,1136404,165335,514196,166263,143495,0.44,0.45,0,0,1,1,4.5,108.72
2022,12,KOCHI_SEA,MYS,N_AMERICA,CONFERENCE,34,1152406,263491,380367,189402,153277,0.43,0.42,1,0,1,0,3.6,76.72
2019,7,BOM_SEA,CAN,N_AMERICA,PILGRIMAGE,7,96595,24801,78250,17426,146914,0.5,0.23,0,0,1,1,2.2,124.32
2020,12,BLR_AIR,DEU,MIDDLE_EAST,PILGRIMAGE,34,42936,167289,39778,92355,88038,0.84,0.15,1,0,0,1,3.5,108.62
2020,2,BLR_AIR,CAN,AFRICA,PILGRIMAGE,43,742771,276599,370105,116091,182422,0.58,0.25,1,0,1,1,6.7,69.55
2015,1,GOI_AIR,AUS,N_AMERICA,EDUCATION,30,169544,195000,201977,114695,127936,0.13,0.57,0,1,0,0,4.6,111.09
2022,2,MUM_SEA,DEU,OCEANIA,PILGRIMAGE,26,530856,275919,375774,28846,106829,0.42,0.48,0,1,0,1,3.8,62.39
2024,11,AMD_AIR,CAN,MIDDLE_EAST,MEDICAL,42,704394,217156,350242,33709,62182,0.44,0.41,1,0,0,0,9.3,103.74
2015,5,CCU_AIR,MDV,ASIA,VFR,32,1077379,115855,175404,141050,32230,0.75,0.08,1,0,0,1,4.0,124.73
2022,12,MAA_AIR,DEU,MIDDLE_EAST,PILGRIMAGE,31,999537,7128,220545,91503,165471,0.49,0.27,1,0,0,0,9.2,100.24
2017,11,BOM_SEA,FRA,OCEANIA,CONFERENCE,43,296298,118430,332225,150840,166628,0.42,0.37,1,0,0,1,1.7,81.48
2015,6,BLR_AIR,FRA,EUROPE,PILGRIMAGE,24,57975,12500,148702,18618,164587,0.16,0.09,0,0,0,1,8.4,129.18
2020,10,BLR_AIR,MDV,MIDDLE_EAST,PILGRIMAGE,22,115536,219390,342498,51669,183413,0.71,0.11,1,0,0,1,5.6,116.6
2020,8,CCU_AIR,RUS,EUROPE,LEISURE,17,884810,278724,234354,70296,160829,0.71,0.24,0,0,0,0,5.6,77.35
2016,11,BOM_AIR,PAK,AFRICA,PILGRIMAGE,31,1018922,298061,286451,216186,112291,0.22,0.75,1,0,1,0,6.4,65.06
2019,9,GOI_AIR,IND,S_AMERICA,EDUCATION,20,233425,28701,102768,126448,183898,0.61,0.38,0,0,0,1,7.0,127.63
2019,5,CCU_AIR,BGD,OCEANIA,BUSINESS,43,1167530,88409,182900,233993,159200,0.12,0.65,1,1,0,0,8.4,62.47
