health_chronic_surveillance_year,health_chronic_small_area_id,health_chronic_condition_code,health_chronic_prevalence_rate_pct,health_chronic_incidence_rate_per_100k,health_chronic_hospitalization_rate_per_100k,health_chronic_mortality_rate_per_100k,health_chronic_comorbidity_index,health_chronic_risk_factor_smoking_rate,health_chronic_risk_factor_obesity_rate,health_chronic_risk_factor_diabetes_rate,health_chronic_physical_activity_rate,health_chronic_diet_quality_score,health_chronic_medication_adherence_rate,health_chronic_preventive_screening_rate,health_chronic_avoidable_ed_visit_rate,health_chronic_healthcare_access_barrier_index,health_chronic_ncoioeconomic_deprivation_index,health_chronic_age_adjustment_standard,health_chronic_confidence_interval_width
2020,LGD-SA-1993141,STROKE,14.97,3155.92,942.76,1704.91,0.28,12.74,45.88,33.49,10.83,18.53,25.33,37.27,132.51,99.01,96.73,WHO2000,1.593
2018,LGD-SA-1302080,OBES,12.29,2983.05,930.78,839.16,5.49,4.55,32.29,29.54,15.54,95.64,93.27,70.51,105.91,69.52,97.19,WHO2000,14.181
2023,LGD-SA-9123403,CKD,14.43,968.45,1616.16,67.54,8.29,27.26,4.16,17.76,11.91,11.33,76.03,86.88,45.42,86.86,29.9,GBDStd,12.155
2025,LGD-SA-5026299,STROKE,29.55,3136.28,1461.46,215.6,9.11,27.46,11.03,9.66,37.41,55.45,61.96,49.4,20.77,93.94,64.2,Census2011,10.245
2024,LGD-SA-1678725,CANC,27.17,3393.26,1805.84,51.0,3.84,16.19,35.4,5.43,83.03,90.09,34.99,17.32,96.82,13.47,65.31,India2011,13.248
2018,LGD-SA-9308672,NCD_MULTI,19.93,2597.46,1906.62,163.66,6.42,17.3,52.92,1.65,34.24,48.69,50.59,25.2,165.6,84.94,40.55,GBDStd,11.2
2021,LGD-SA-8765832,STROKE,34.02,2082.55,1319.12,816.11,11.65,38.84,53.59,34.28,26.55,54.56,35.93,82.32,110.72,19.61,70.63,Census2011,8.913
2022,LGD-SA-3158449,TB_SEQ,33.7,1573.28,1790.09,894.02,10.07,33.83,18.07,11.71,45.59,53.68,37.71,43.56,126.98,45.11,77.87,Census2011,5.29
2020,LGD-SA-3599725,NCD_MULTI,6.86,3272.34,1425.03,434.76,12.29,20.66,44.89,12.82,51.38,82.06,38.94,85.1,120.98,59.12,25.99,WHO2000,5.778
2018,LGD-SA-1419718,STROKE,38.7,1763.65,408.15,135.62,0.83,24.15,41.71,31.81,60.95,81.04,22.56,25.42,131.24,32.63,1.41,GBDStd,9.805
2020,LGD-SA-3478588,CANC,20.11,902.14,817.72,409.35,6.01,26.14,19.86,30.66,14.91,91.12,56.43,7.63,42.1,91.76,60.0,India2011,5.189
2022,LGD-SA-1411454,COPD,7.14,618.92,2131.03,229.15,2.76,23.75,37.11,13.08,36.2,75.37,57.24,62.02,154.48,98.93,25.11,WHO2000,11.371
2016,LGD-SA-4347081,CVD,9.43,862.79,1283.67,955.22,13.92,30.33,2.15,4.74,60.41,57.63,83.76,1.62,24.89,84.2,93.57,India2011,1.511
2025,LGD-SA-4031528,CKD,28.23,71.15,408.84,322.12,3.17,3.12,20.88,17.13,82.96,81.38,61.5,18.02,32.29,79.04,80.08,WHO2000,4.493
2016,LGD-SA-2620653,TB_SEQ,18.08,2806.76,966.52,669.43,4.37,23.94,5.74,22.19,58.38,95.38,60.5,94.47,114.76,37.74,2.78,GBDStd,13.512
2017,LGD-SA-1429646,TB_SEQ,33.97,3182.54,1856.34,366.8,14.25,14.56,37.94,5.82,35.64,9.65,56.69,81.67,28.17,62.99,66.72,Census2011,8.972
2019,LGD-SA-6377418,CVD,6.84,2839.69,2195.15,1192.68,0.05,18.24,16.21,9.89,58.45,39.58,93.55,37.62,17.27,69.1,94.56,Census2011,9.229
2019,LGD-SA-4359736,DM2,39.71,2939.27,950.38,375.06,5.53,11.39,22.96,32.93,68.6,30.91,30.71,13.17,19.16,59.81,29.21,India2011,0.103
2021,LGD-SA-2291380,NCD_MULTI,7.65,225.17,1925.15,50.61,2.33,23.74,47.2,28.03,51.14,83.92,24.64,53.31,28.39,81.35,64.73,Census2011,0.644
2022,LGD-SA-1769831,NCD_MULTI,0.63,3159.53,385.49,1503.47,0.06,3.62,42.57,5.82,88.65,31.41,85.48,66.74,17.0,69.46,58.54,WHO2000,0.864
2017,LGD-SA-7780892,COPD,0.47,2670.44,681.33,1016.76,10.79,15.83,20.67,34.91,11.77,77.66,63.81,53.38,166.43,92.84,42.04,India2011,2.666
2016,LGD-SA-9644416,OBES,16.46,2421.32,455.04,820.37,3.18,11.7,51.44,9.9,21.25,4.75,97.66,28.56,71.85,4.31,17.48,India2011,12.305
2025,LGD-SA-6875567,COPD,35.96,213.72,867.19,1281.39,11.49,34.8,47.65,18.76,30.78,67.84,26.06,1.15,1.04,66.53,57.95,WHO2000,1.743
2024,LGD-SA-5952528,STROKE,10.33,864.54,1119.88,1261.79,2.1,37.74,37.22,19.35,82.8,17.13,84.09,92.25,129.5,22.2,13.3,Census2011,1.513
2021,LGD-SA-9907121,CANC,28.97,1370.91,350.03,945.74,14.63,14.57,19.49,33.47,39.0,29.67,34.91,15.26,87.89,62.26,47.38,India2011,14.095
2022,LGD-SA-3489334,ASTH,38.13,2188.3,2143.13,18.64,1.15,28.98,44.99,9.43,35.07,61.97,24.79,40.14,51.13,55.9,20.56,GBDStd,8.372
2023,LGD-SA-9748692,DM2,12.0,2548.48,2188.56,938.28,1.96,14.13,51.5,4.64,28.92,51.94,22.0,93.79,36.93,37.36,75.62,Census2011,2.997
2021,LGD-SA-1267587,ASTH,2.32,1258.39,419.07,1273.24,3.84,28.06,13.84,3.72,58.58,73.6,31.07,0.56,81.69,79.91,55.6,WHO2000,8.147
2021,LGD-SA-9513683,COPD,43.45,2178.98,1008.84,1537.53,10.34,33.24,25.26,28.83,46.48,58.89,57.83,12.76,7.43,37.22,35.93,India2011,0.896
2025,LGD-SA-4634016,CVD,34.77,2023.29,714.05,269.83,6.55,36.88,52.2,26.82,61.79,92.72,90.61,47.29,178.15,74.43,60.01,Census2011,13.797
2019,LGD-SA-7051979,OBES,31.2,1557.2,1212.69,1124.11,11.76,36.94,9.01,25.94,45.8,59.85,61.28,30.83,124.96,47.51,83.72,GBDStd,3.969
2017,LGD-SA-6178452,CKD,41.66,2785.94,704.37,614.91,5.43,17.57,34.76,7.97,69.13,5.04,21.33,19.55,2.55,88.61,66.33,GBDStd,7.863
2021,LGD-SA-7595335,COPD,33.15,1004.72,1142.99,886.04,3.63,14.5,37.09,34.65,24.5,74.95,95.78,20.5,93.27,94.61,83.39,India2011,6.005
2018,LGD-SA-3776486,STROKE,30.72,1550.15,1130.31,1727.93,14.97,27.39,44.55,10.23,40.68,6.95,75.1,43.51,84.44,41.79,24.64,Census2011,10.564
2022,LGD-SA-1038659,TB_SEQ,20.49,45.79,802.68,334.5,13.52,25.54,26.69,8.95,73.89,20.08,90.94,73.78,67.5,32.21,39.72,India2011,12.756
2017,LGD-SA-3876742,STROKE,30.88,2267.19,1922.33,1516.4,5.79,28.53,41.46,12.92,52.03,72.75,74.73,85.09,176.78,72.85,34.15,WHO2000,4.903
2022,LGD-SA-7055900,COPD,41.1,1668.74,1896.53,1575.07,11.88,38.93,40.37,30.39,43.69,37.83,80.35,45.45,51.71,62.71,32.28,GBDStd,6.639
2018,LGD-SA-3903512,CKD,24.58,2151.73,1666.9,1692.31,0.99,11.94,48.24,27.71,66.61,37.36,40.41,5.86,112.48,96.12,33.51,GBDStd,0.691
2025,LGD-SA-5856351,HTN,37.09,1562.11,328.61,385.86,2.17,31.07,18.24,14.67,65.45,95.38,71.35,32.26,135.73,29.15,62.75,WHO2000,10.661
2025,LGD-SA-8507890,OBES,7.12,1093.23,1080.35,1218.61,6.05,29.49,25.02,14.69,48.53,1.86,27.37,54.34,20.26,78.44,14.85,India2011,3.886
2015,LGD-SA-4021800,OBES,6.34,2395.54,1230.25,1029.55,9.03,44.16,25.13,13.88,19.56,10.22,84.74,84.99,38.23,69.53,19.48,India2011,14.412
2023,LGD-SA-3686860,COPD,32.93,1953.4,216.87,59.55,12.44,35.78,7.57,13.66,71.49,30.52,90.45,30.72,70.05,62.54,11.53,WHO2000,1.813
2020,LGD-SA-3740561,ASTH,16.14,3217.92,2146.51,1234.98,11.51,27.1,15.01,4.58,19.89,58.59,66.21,66.28,38.37,57.26,67.66,India2011,9.357
2020,LGD-SA-7149342,COPD,4.44,1000.51,237.51,595.73,13.52,9.53,34.96,29.2,40.45,69.78,60.64,27.6,47.67,64.76,31.65,GBDStd,7.887
2021,LGD-SA-4320909,COPD,1.84,2652.0,1814.59,143.26,6.63,30.19,11.04,6.64,60.61,60.5,26.64,21.13,68.36,6.14,87.91,WHO2000,7.522
2016,LGD-SA-5816440,CANC,44.93,3048.16,1866.65,1524.35,0.23,10.01,18.64,10.6,53.2,56.09,80.15,29.42,141.44,38.25,22.72,India2011,1.889
2021,LGD-SA-3707373,STROKE,39.95,3246.81,68.34,78.48,5.38,24.82,44.21,2.62,87.79,4.07,58.47,31.25,40.2,60.51,18.84,GBDStd,0.267
2015,LGD-SA-8446092,STROKE,39.22,765.53,344.05,1733.24,12.5,29.26,44.27,14.91,53.78,98.26,43.36,36.32,36.73,35.8,76.03,WHO2000,14.237
2024,LGD-SA-4689367,OBES,8.13,208.01,1345.84,1479.97,2.83,11.62,51.73,4.04,65.88,23.25,86.44,15.92,60.43,87.59,39.06,GBDStd,1.045
2024,LGD-SA-3407667,NCD_MULTI,15.24,1802.11,443.49,413.52,3.57,29.08,40.15,6.46,87.32,56.95,48.35,87.53,55.22,89.22,0.1,WHO2000,8.292
2019,LGD-SA-2450023,STROKE,5.2,2445.59,1012.18,673.94,4.29,30.19,20.54,20.04,36.98,33.95,86.85,59.82,65.49,57.5,14.71,Census2011,7.566
2023,LGD-SA-1907165,DM2,8.66,1755.71,1063.76,622.9,5.81,29.07,26.57,22.55,80.06,32.17,77.95,75.49,135.09,41.62,21.45,WHO2000,9.181
2015,LGD-SA-6211299,COPD,20.33,971.86,66.83,662.33,7.81,3.39,20.99,8.39,73.44,92.4,64.1,94.82,71.52,47.3,97.88,GBDStd,4.965
2015,LGD-SA-7023746,CANC,26.15,298.72,1562.83,311.09,1.26,38.33,20.89,31.52,50.78,18.39,55.37,81.84,40.55,12.39,3.62,GBDStd,11.414
2024,LGD-SA-9372250,CKD,32.73,1861.42,1312.29,348.31,11.49,35.79,50.61,1.7,28.01,63.65,88.13,83.29,31.98,89.52,43.94,India2011,12.748
2022,LGD-SA-6382392,DM2,21.4,2452.79,2162.96,1618.44,8.56,28.45,44.85,29.29,89.72,32.72,73.57,41.33,72.58,84.16,19.02,GBDStd,8.72
2019,LGD-SA-6102405,CANC,35.06,2115.85,2131.49,1113.93,12.63,38.65,37.8,31.0,43.91,0.39,80.58,30.28,157.62,93.74,40.42,Census2011,4.791
2017,LGD-SA-8635650,CKD,41.11,1617.31,363.39,1286.87,13.96,30.44,14.7,6.99,33.91,39.98,65.8,4.35,38.7,61.32,30.94,WHO2000,5.956
2015,LGD-SA-3542027,OBES,27.08,2334.35,792.02,1639.25,10.45,34.91,27.58,13.89,26.5,73.61,65.46,26.51,112.81,87.22,69.01,WHO2000,13.683
2025,LGD-SA-9386914,OBES,14.11,549.32,990.25,800.52,12.19,8.27,8.13,20.2,55.86,46.45,43.31,2.76,133.97,43.34,63.43,WHO2000,3.01
2017,LGD-SA-5247135,STROKE,19.05,3115.24,428.2,1096.39,3.78,10.88,46.6,15.22,47.79,30.97,50.73,46.36,59.68,28.94,7.3,GBDStd,3.971
2023,LGD-SA-3287001,HTN,14.58,1509.42,215.27,555.49,2.16,32.87,46.84,18.87,44.4,93.83,20.7,5.25,31.67,40.31,23.47,Census2011,1.169
2015,LGD-SA-4670643,CVD,37.75,42.8,2106.03,734.61,12.65,43.08,20.29,3.68,18.77,18.39,29.61,82.81,166.93,68.44,61.89,India2011,5.928
2023,LGD-SA-9052237,NCD_MULTI,43.26,1994.4,2163.14,994.01,13.27,30.38,31.66,6.52,19.79,96.62,22.29,9.55,47.09,44.06,40.99,GBDStd,4.541
2018,LGD-SA-7439527,OBES,23.41,437.72,977.4,796.28,4.66,10.56,19.11,2.4,84.25,49.92,86.74,47.74,90.55,52.85,51.59,Census2011,14.145
2025,LGD-SA-1792271,CANC,24.0,1008.3,2051.28,812.32,1.86,27.99,33.14,23.92,22.85,48.84,70.81,5.07,120.58,50.86,33.44,Census2011,7.027
2021,LGD-SA-1496351,CANC,36.86,2815.27,1236.68,327.5,10.41,12.79,5.01,33.97,48.46,25.85,41.74,31.05,173.04,40.67,41.77,Census2011,14.86
2023,LGD-SA-9753054,CANC,34.83,1107.29,335.99,1099.99,13.39,15.72,8.44,20.63,40.47,85.54,96.71,19.57,116.04,64.5,53.35,GBDStd,0.898
2017,LGD-SA-9573072,HTN,27.06,1960.23,1599.34,789.03,1.13,21.51,30.07,5.4,12.08,94.46,45.96,23.18,76.67,58.53,52.75,GBDStd,5.152
2024,LGD-SA-8090612,NCD_MULTI,22.56,744.8,1791.18,1307.7,6.93,24.9,37.6,28.77,27.38,57.9,40.41,61.77,46.99,46.77,19.89,GBDStd,6.681
2017,LGD-SA-2946838,CANC,25.78,1729.52,390.91,585.43,4.88,15.74,21.02,9.43,69.99,56.94,32.17,24.42,123.44,16.47,81.84,India2011,0.721
2020,LGD-SA-8516512,CKD,5.03,241.93,2077.56,705.11,4.37,17.42,29.79,3.5,76.65,41.73,93.16,66.72,5.94,67.32,98.91,WHO2000,11.626
2015,LGD-SA-6559686,CANC,8.75,2725.66,1475.0,1656.56,14.36,6.57,27.6,13.68,30.87,94.87,22.68,24.87,162.54,49.6,97.12,India2011,8.67
2018,LGD-SA-2779726,NCD_MULTI,42.25,3283.66,596.34,1432.99,8.57,11.98,34.31,32.24,54.75,1.54,65.95,21.21,18.78,99.58,64.32,India2011,2.467
2017,LGD-SA-5710005,CVD,17.95,3124.96,1886.36,1487.39,9.86,8.07,45.0,6.32,76.98,49.11,56.56,37.17,146.15,27.82,51.33,Census2011,11.116
2018,LGD-SA-1024563,TB_SEQ,35.93,3149.54,1418.3,1506.75,9.8,19.34,45.14,27.95,49.04,55.78,76.61,5.31,146.0,98.81,9.24,WHO2000,0.644
2020,LGD-SA-4388591,STROKE,32.15,1157.86,1889.36,813.15,13.04,19.3,53.39,8.2,10.61,67.15,49.01,87.15,150.15,6.15,43.3,WHO2000,6.382
2017,LGD-SA-5395508,TB_SEQ,8.98,2727.14,517.76,1061.7,9.35,18.32,37.64,33.99,40.54,12.47,47.19,24.95,52.46,25.26,26.09,Census2011,6.273
2023,LGD-SA-4980254,CKD,2.35,3346.94,1320.75,869.33,2.1,9.25,14.77,16.38,80.09,90.12,30.49,61.58,38.96,67.05,65.61,Census2011,2.54
2015,LGD-SA-5300110,CVD,17.73,3288.97,2110.72,466.2,7.11,16.0,51.26,26.52,51.42,1.35,46.58,65.41,30.13,65.88,7.73,Census2011,8.39
2016,LGD-SA-6064846,OBES,34.67,2835.53,1287.4,943.31,6.05,35.43,19.21,14.58,48.34,55.72,36.87,79.36,85.14,18.06,93.95,GBDStd,6.112
2018,LGD-SA-9905656,OBES,15.82,1281.64,1895.94,882.16,8.66,4.4,21.21,23.67,42.64,95.99,44.87,12.83,10.03,15.15,62.64,India2011,5.858
2025,LGD-SA-9229340,STROKE,23.32,3459.12,110.3,4.75,14.93,19.42,19.7,22.15,33.44,35.72,39.71,92.73,97.12,59.26,4.08,India2011,13.3
2016,LGD-SA-8505617,HTN,21.93,2086.14,970.55,1072.83,11.57,17.81,13.36,12.19,49.68,42.63,73.69,37.22,162.22,77.79,20.85,Census2011,14.573
2020,LGD-SA-5546307,STROKE,27.07,265.56,1974.48,689.77,7.53,22.67,26.19,11.09,75.65,23.89,24.19,37.11,144.53,55.07,70.48,Census2011,6.923
2025,LGD-SA-1728485,CVD,20.75,1925.32,138.51,1348.69,4.7,39.03,51.89,1.33,64.07,7.3,66.62,54.09,116.05,34.79,18.82,India2011,1.896
2022,LGD-SA-2921477,CANC,25.33,167.63,1347.2,1729.02,13.04,16.97,42.3,12.09,71.91,20.92,47.52,87.08,131.24,61.81,75.5,India2011,7.237
2015,LGD-SA-7350166,CKD,38.64,2540.39,1639.9,405.4,4.67,13.45,40.26,14.37,37.18,15.28,80.97,15.79,94.03,92.42,72.93,India2011,4.649
2025,LGD-SA-2383601,HTN,12.46,2624.62,999.81,465.09,8.88,30.05,29.42,8.47,48.95,13.47,84.21,46.58,27.9,76.66,20.67,Census2011,13.868
2020,LGD-SA-9698430,STROKE,29.44,1806.4,1129.31,1365.29,1.71,25.31,14.72,31.13,41.98,12.16,86.13,47.8,73.3,71.78,25.52,India2011,5.781
2024,LGD-SA-4719319,HTN,0.31,2786.68,1267.69,214.59,13.23,25.89,53.13,12.33,12.31,2.86,44.61,41.33,163.52,88.09,91.33,Census2011,0.84
2024,LGD-SA-7509003,DM2,9.11,3234.77,1786.13,480.73,1.61,9.18,3.01,8.14,37.13,7.76,82.17,63.52,96.6,8.36,5.45,Census2011,12.312
2018,LGD-SA-6777886,DM2,26.59,980.6,48.27,1186.54,1.32,14.71,46.29,34.85,43.35,55.29,79.82,64.86,67.59,71.35,31.3,WHO2000,0.972
2024,LGD-SA-8240314,CKD,12.65,101.13,1753.89,1424.83,14.04,26.25,5.22,13.52,38.62,37.55,76.89,16.82,0.86,44.33,94.75,GBDStd,13.925
2025,LGD-SA-8822379,TB_SEQ,18.68,1636.73,436.05,1542.39,7.9,44.62,6.65,13.12,21.25,12.72,73.01,22.08,75.84,19.11,2.31,GBDStd,3.033
2018,LGD-SA-3273714,DM2,10.82,544.23,680.86,461.43,6.65,27.61,30.11,16.0,70.97,40.87,95.63,23.06,24.69,43.63,45.17,Census2011,0.703
2018,LGD-SA-6954828,CKD,36.18,445.11,1880.11,255.42,10.25,24.48,32.87,31.93,47.87,84.86,21.21,7.8,126.8,80.21,3.05,Census2011,8.599
2018,LGD-SA-7208827,STROKE,4.38,2421.8,2020.47,849.23,7.32,16.6,3.12,7.29,19.85,92.53,90.92,26.74,154.16,66.2,17.88,GBDStd,14.734
2024,LGD-SA-2717982,CKD,40.39,2885.09,242.96,1534.43,5.24,40.41,29.25,3.09,79.48,55.96,97.25,62.09,157.14,22.39,45.45,India2011,14.428
2024,LGD-SA-2528727,OBES,17.37,3444.03,2187.69,721.42,3.15,32.73,36.74,25.05,73.98,59.43,39.58,14.94,119.42,2.44,80.49,Census2011,3.482
2021,LGD-SA-5891100,CKD,13.27,2790.25,1852.56,867.69,10.52,40.96,36.14,6.83,46.84,78.77,28.37,85.44,119.4,36.04,54.42,Census2011,10.975
2015,LGD-SA-1671149,STROKE,25.14,254.42,850.59,346.84,3.59,27.61,11.19,3.52,16.14,18.63,60.3,55.14,72.49,29.19,58.51,GBDStd,2.038
2025,LGD-SA-6569085,DM2,13.34,1640.08,1188.4,973.54,2.47,30.47,16.97,21.38,29.7,23.85,72.32,57.19,54.78,22.72,83.63,India2011,8.058
2020,LGD-SA-9884781,CKD,11.81,2018.98,1323.51,399.94,6.06,3.63,3.96,11.25,46.64,23.73,62.49,79.21,140.82,30.64,89.13,Census2011,1.795
2016,LGD-SA-6686115,NCD_MULTI,38.23,1705.56,1321.35,181.55,14.95,4.3,26.94,22.73,18.55,37.2,71.24,2.82,42.06,50.95,7.6,WHO2000,8.059
2020,LGD-SA-7130274,HTN,10.92,3334.06,480.28,153.47,1.63,11.46,27.96,34.19,75.15,92.95,87.11,83.49,46.16,67.22,1.03,GBDStd,7.51
2016,LGD-SA-1775255,OBES,42.55,1093.05,1303.29,1630.24,8.57,12.02,22.37,30.51,59.19,33.55,41.43,42.91,13.38,12.75,73.7,GBDStd,4.914
2017,LGD-SA-9369441,STROKE,4.16,1409.29,1115.65,607.5,4.52,26.22,8.45,19.21,82.44,12.99,34.52,26.71,52.98,90.15,35.05,India2011,10.084
2025,LGD-SA-8383733,CVD,32.26,3148.33,3.17,144.96,14.24,32.65,31.94,25.58,37.73,67.01,75.7,26.02,18.39,87.66,38.75,Census2011,10.433
2021,LGD-SA-6496399,NCD_MULTI,27.77,2799.81,2123.24,1449.28,12.06,26.1,11.34,1.98,64.47,86.95,81.38,28.0,125.29,15.37,65.59,India2011,0.179
2018,LGD-SA-1551018,ASTH,24.39,1030.48,488.4,1705.32,9.63,44.79,25.27,1.93,71.19,93.94,66.2,69.48,155.95,18.13,83.05,WHO2000,5.032
2019,LGD-SA-6429658,STROKE,41.85,426.84,364.29,103.39,7.61,44.38,13.9,19.38,84.68,15.07,55.89,74.26,33.28,33.28,47.38,GBDStd,12.554
2022,LGD-SA-4408755,CKD,3.09,78.38,1341.08,465.74,13.48,11.69,25.51,2.04,65.63,81.3,93.92,10.08,102.28,46.86,91.45,GBDStd,4.314
2017,LGD-SA-3741150,HTN,5.79,3483.83,854.02,1433.83,9.42,32.13,41.6,11.34,38.74,23.87,44.34,79.21,102.59,18.23,9.21,GBDStd,9.069
2024,LGD-SA-5432667,ASTH,2.54,388.64,1525.08,938.28,4.81,20.12,9.99,7.42,55.41,89.68,59.77,92.75,155.41,63.98,70.19,WHO2000,0.516
2019,LGD-SA-3627057,ASTH,10.24,2083.52,1847.89,692.37,6.48,4.51,38.28,1.41,10.7,28.75,97.1,56.93,80.58,16.97,57.25,GBDStd,2.32
2017,LGD-SA-8620554,CKD,12.66,1157.4,249.92,1499.9,10.78,27.99,40.52,27.33,34.82,32.75,40.95,66.66,177.99,45.63,58.57,Census2011,8.569
2021,LGD-SA-8379670,CVD,16.12,1928.18,540.95,1058.06,13.54,43.5,7.49,28.54,78.76,89.92,95.97,94.36,177.48,29.02,74.83,India2011,6.935
2015,LGD-SA-5553456,OBES,0.24,2197.37,141.4,445.21,8.61,10.1,43.48,17.66,37.9,46.71,48.79,60.9,3.3,62.99,90.04,India2011,4.298
2025,LGD-SA-7775330,CANC,0.51,1760.37,1322.48,202.9,1.31,2.23,29.57,11.28,19.09,93.52,47.6,12.55,3.9,44.6,77.55,India2011,7.824
2018,LGD-SA-8794941,CKD,8.07,2701.21,1941.17,1758.54,11.79,16.25,10.05,17.3,81.63,7.54,76.35,50.9,168.6,86.75,69.55,GBDStd,13.321
2015,LGD-SA-4322745,TB_SEQ,14.3,995.7,1322.5,1779.45,14.42,36.13,8.49,27.49,59.29,17.74,56.51,72.35,113.83,88.98,37.63,GBDStd,13.184
2025,LGD-SA-9546657,CVD,14.67,2632.84,1860.15,67.84,0.14,7.51,39.27,30.76,47.24,97.15,88.1,12.5,112.3,32.8,27.91,India2011,2.21
2018,LGD-SA-8245379,CKD,12.77,2345.95,1522.17,1452.62,2.61,3.63,12.63,13.04,31.79,46.24,83.7,64.37,158.82,5.25,47.94,GBDStd,1.774
2015,LGD-SA-9814721,CVD,1.08,1794.95,620.76,351.47,10.14,33.12,29.34,14.09,24.17,7.12,40.0,19.9,178.04,97.87,98.36,Census2011,7.749
2018,LGD-SA-3393545,CKD,26.47,3359.8,344.89,1161.44,10.53,38.81,33.1,15.57,65.3,18.44,26.06,8.44,9.76,92.83,80.6,Census2011,7.083
2019,LGD-SA-7753586,ASTH,24.51,1229.27,985.96,510.26,10.32,36.69,22.06,21.32,39.96,54.23,30.12,85.27,158.71,90.72,30.42,Census2011,3.73
2023,LGD-SA-5313630,NCD_MULTI,37.62,832.0,727.03,108.95,4.83,24.86,16.16,16.06,30.34,77.49,54.81,37.27,119.56,17.15,52.48,Census2011,14.178
2019,LGD-SA-9643554,TB_SEQ,8.78,2030.79,1488.66,1414.65,1.67,19.86,27.12,14.56,59.98,20.32,93.83,4.29,174.73,49.46,83.93,Census2011,12.857
2016,LGD-SA-8507678,CANC,28.23,1401.74,537.94,1067.15,10.02,37.17,25.54,24.36,11.42,38.24,83.9,83.98,103.76,42.45,98.94,GBDStd,1.997
2020,LGD-SA-8130244,TB_SEQ,28.14,852.41,1590.07,725.78,3.16,21.92,9.14,23.11,40.21,68.77,50.5,76.1,155.91,60.94,8.94,Census2011,7.494
2018,LGD-SA-3942444,NCD_MULTI,19.97,482.24,1069.69,1718.08,7.32,2.9,22.24,18.01,15.43,31.69,29.16,34.26,40.83,65.65,95.14,GBDStd,6.257
2016,LGD-SA-9242997,CVD,31.48,1802.28,512.03,1688.56,12.77,24.24,22.27,3.39,12.43,85.15,31.81,89.87,59.21,22.22,47.91,GBDStd,8.917
2022,LGD-SA-7343344,CANC,12.28,978.59,1121.05,339.12,3.68,28.12,7.04,10.01,20.73,6.95,71.24,42.59,145.26,95.33,3.69,WHO2000,6.198
