env_ghg_reference_year,env_ghg_country_iso2,env_ghg_sector_ipcc_code,env_ghg_subsector_code,env_ghg_emissions_co2e_tonnes,env_ghg_emissions_ch4_tonnes,env_ghg_emissions_n2o_tonnes,env_ghg_lulucf_net_sink_co2e_tonnes,env_ghg_per_capita_co2e_tonnes,env_ghg_emissions_intensity_per_gdp,env_ghg_national_target_2030_pct,env_ghg_fit55_alignment_flag,env_ghg_policy_measure_count,env_ghg_energy_efficiency_contribution_pct,env_ghg_renewables_contribution_pct,env_ghg_transport_contribution_pct,env_ghg_agriculture_contribution_pct,env_ghg_data_source_eea_inventory,env_ghg_methodology_version,env_ghg_data_extract_date
2011,CY,1_ENERGY,1A2_MANUFACTURING,34787445.51,23616.1031,1124.06211,-328229.91,16.165,0.5687,-37.33,0,44,31.74,48.5,7.77,23.65,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2024-08-29
2012,GR,1_ENERGY,1A3_TRANSPORT,142673592.44,82830.146,9137.9987,-342274.67,15.3,0.4324,-33.03,0,51,31.01,43.8,16.34,10.35,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2024-07-06
2013,MT,1_ENERGY,1A4_BUILDINGS,334009889.54,140297.368,11894.43101,-853204.69,4.119,0.2458,-43.76,1,53,40.96,14.88,33.53,9.05,EEA_GHG_INVENTORY,IPCC_2006_GPG,2024-08-31
2014,ES,1_ENERGY,1B_FUGITIVE,115645883.24,13800.0766,4047.48392,-354389.78,12.621,0.2179,-50.2,0,55,18.86,33.18,35.48,20.44,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2024-10-11
2015,CZ,1_ENERGY,1A1_ENERGY_INDUSTRIES,43003631.02,3119.5362,3351.53301,-705836.85,8.374,0.3926,-31.04,1,29,13.78,12.15,22.14,5.39,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2025-08-21
2016,HU,1_ENERGY,1A2_MANUFACTURING,143993112.5,45648.2604,1800.47855,-551435.36,14.411,0.646,-55.49,1,69,26.34,13.24,10.34,9.36,EEA_GHG_INVENTORY,IPCC_2006_GPG,2025-02-13
2017,NL,1_ENERGY,1A3_TRANSPORT,188653616.13,101590.6256,846.32341,-619686.05,6.551,0.2403,-47.61,0,44,5.83,49.25,24.73,8.89,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2025-04-11
2018,SE,1_ENERGY,1A4_BUILDINGS,274964250.36,33114.0297,16477.12922,-650898.44,7.636,0.4706,-59.11,0,58,27.45,35.6,37.46,5.06,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2025-10-15
2019,DK,1_ENERGY,1B_FUGITIVE,223819544.23,36743.5348,7805.23978,-190553.6,16.697,0.2997,-60.96,1,35,21.22,45.26,23.34,21.65,EEA_GHG_INVENTORY,IPCC_2006_GPG,2025-03-24
2020,IE,1_ENERGY,1A1_ENERGY_INDUSTRIES,287525222.36,47944.1037,16645.55983,-868015.37,14.287,0.38,-52.36,0,54,44.32,7.4,5.48,18.65,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2024-03-25
2021,PL,1_ENERGY,1A2_MANUFACTURING,400648509.36,70338.8368,21606.7356,-222553.5,5.754,0.541,-57.99,1,45,36.33,37.64,24.96,5.39,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2025-11-10
2022,AT,1_ENERGY,1A3_TRANSPORT,143132849.93,87411.8703,4106.1754,-132546.21,6.543,0.3201,-63.07,1,40,35.42,48.04,16.03,15.5,EEA_GHG_INVENTORY,IPCC_2006_GPG,2025-06-03
2023,EE,1_ENERGY,1A4_BUILDINGS,13992430.3,2857.7687,950.1555,-881555.46,4.703,0.1942,-46.06,0,34,40.83,38.65,20.88,22.76,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2024-10-09
2024,IT,1_ENERGY,1B_FUGITIVE,242686210.13,103048.6623,15727.53425,-315367.65,16.235,0.3377,-39.66,1,42,5.23,25.33,34.42,4.95,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2025-08-16
2025,PT,1_ENERGY,1A1_ENERGY_INDUSTRIES,106440282.93,22162.0333,6190.34841,-121492.23,6.54,0.2713,-38.4,1,71,16.32,44.27,37.03,20.26,EEA_GHG_INVENTORY,IPCC_2006_GPG,2024-07-05
1995,BE,1_ENERGY,1A2_MANUFACTURING,345566529.61,77435.284,12338.86535,-793179.25,8.927,0.179,-54.12,1,50,42.82,10.49,10.79,12.68,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2025-06-12
1996,FI,1_ENERGY,1A3_TRANSPORT,237991222.13,96569.8588,15388.99102,-780970.84,2.905,0.0799,-44.25,1,59,14.83,44.28,20.92,24.47,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2025-02-07
1997,LV,1_ENERGY,1A4_BUILDINGS,125412374.59,81605.0919,2795.51168,-411842.53,15.676,0.5383,-62.17,1,72,24.33,22.18,21.46,2.44,EEA_GHG_INVENTORY,IPCC_2006_GPG,2025-09-29
1998,RO,1_ENERGY,1B_FUGITIVE,93218573.59,4922.7247,3427.83991,-14446.93,14.49,0.4917,-54.61,1,70,6.67,52.38,11.86,5.83,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2025-12-09
1999,BG,1_ENERGY,1A1_ENERGY_INDUSTRIES,329851054.2,206873.1329,873.34183,-513678.14,8.15,0.1734,-64.19,1,40,9.26,41.32,28.24,2.19,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2024-04-09
2000,FR,1_ENERGY,1A2_MANUFACTURING,252022968.96,133807.7288,19171.82427,-323059.59,8.032,0.6109,-49.45,1,51,19.01,11.61,6.93,4.33,EEA_GHG_INVENTORY,IPCC_2006_GPG,2024-01-13
2001,LT,1_ENERGY,1A3_TRANSPORT,288553565.86,7784.5226,16114.04652,-615224.72,3.063,0.2365,-53.5,0,49,34.92,48.82,30.94,3.39,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2025-09-25
2002,SK,1_ENERGY,1A4_BUILDINGS,161551582.55,40662.3114,1178.53623,-45607.05,7.126,0.1043,-36.24,1,49,18.49,24.33,18.89,19.09,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2025-01-01
2003,HR,1_ENERGY,1B_FUGITIVE,297743128.48,48430.483,6384.07917,-635867.13,3.098,0.3761,-34.55,1,68,27.37,13.19,11.27,13.23,EEA_GHG_INVENTORY,IPCC_2006_GPG,2025-10-06
2004,DE,1_ENERGY,1A1_ENERGY_INDUSTRIES,237766100.99,110886.1069,13832.30457,-693785.94,4.334,0.5906,-35.27,1,71,5.55,27.34,36.37,3.22,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2025-01-29
2005,LU,1_ENERGY,1A2_MANUFACTURING,325449846.56,133617.2626,13683.68761,-940647.06,8.782,0.2575,-56.29,1,65,35.72,15.78,38.82,2.55,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2025-07-30
2006,SI,1_ENERGY,1A3_TRANSPORT,254846834.75,174279.916,17184.1108,-374064.13,11.096,0.3773,-31.64,1,90,9.77,8.35,7.94,19.6,EEA_GHG_INVENTORY,IPCC_2006_GPG,2026-01-01
2007,CY,1_ENERGY,1A4_BUILDINGS,57141638.93,38733.93,2527.34059,-581015.57,17.42,0.339,-56.99,1,88,23.79,48.95,36.07,9.27,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2024-03-18
2008,GR,1_ENERGY,1B_FUGITIVE,291632388.55,107009.595,559.38827,-582868.92,11.379,0.2491,-60.85,1,77,19.04,50.19,37.82,5.14,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2025-08-27
2009,MT,1_ENERGY,1A1_ENERGY_INDUSTRIES,613465721.38,71282.4129,39440.85104,-102205.56,3.211,0.3216,-50.99,1,68,6.5,14.96,20.44,3.52,EEA_GHG_INVENTORY,IPCC_2006_GPG,2024-09-26
2010,ES,1_ENERGY,1A2_MANUFACTURING,481596112.01,110601.8246,26728.37247,-587898.14,9.239,0.1147,-34.19,0,55,7.65,29.46,21.14,23.02,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2024-08-13
2011,CZ,1_ENERGY,1A3_TRANSPORT,427729291.43,126642.2828,9357.58178,-816477.36,8.593,0.3071,-62.58,1,67,19.63,21.72,31.33,14.38,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2025-10-13
2012,HU,1_ENERGY,1A4_BUILDINGS,320469652.73,156838.6966,5984.43587,-514252.03,9.346,0.5164,-58.18,0,94,35.73,10.11,14.33,21.11,EEA_GHG_INVENTORY,IPCC_2006_GPG,2024-08-07
2013,NL,1_ENERGY,1B_FUGITIVE,142527236.79,95229.2174,4041.76879,-626626.43,17.129,0.4252,-47.63,1,67,14.55,48.96,11.33,12.18,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2024-03-27
2014,SE,1_ENERGY,1A1_ENERGY_INDUSTRIES,54757591.31,9677.722,390.71984,-282683.35,9.732,0.3881,-39.24,0,91,42.66,24.41,13.56,15.84,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2025-09-24
2015,DK,1_ENERGY,1A2_MANUFACTURING,581261893.2,281048.3267,42709.85631,-846604.64,4.932,0.63,-62.1,1,70,27.7,5.6,23.74,22.72,EEA_GHG_INVENTORY,IPCC_2006_GPG,2025-11-15
2016,IE,1_ENERGY,1A3_TRANSPORT,234281125.55,97657.4835,11372.28331,-144661.43,15.443,0.0722,-50.33,1,84,29.23,22.26,36.93,18.75,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2024-03-16
2017,PL,1_ENERGY,1A4_BUILDINGS,270659911.1,163367.6801,6864.37716,-783063.33,11.425,0.0915,-30.85,1,81,27.19,25.54,24.66,19.85,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2025-09-05
2018,AT,1_ENERGY,1B_FUGITIVE,265468051.33,135076.7901,1271.43449,-809073.44,12.209,0.4589,-56.68,0,91,20.95,45.29,35.06,3.72,EEA_GHG_INVENTORY,IPCC_2006_GPG,2024-10-04
2019,EE,1_ENERGY,1A1_ENERGY_INDUSTRIES,158562617.6,24540.2364,6833.44714,-490629.06,2.57,0.3801,-52.33,1,81,28.76,41.75,29.52,14.83,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2026-02-21
2020,IT,1_ENERGY,1A2_MANUFACTURING,35120691.9,16994.6341,1264.59525,-41047.0,9.708,0.3856,-42.83,1,92,16.21,40.86,15.09,19.52,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2025-07-20
2021,PT,1_ENERGY,1A3_TRANSPORT,339646166.22,232551.8975,15901.20143,-511463.1,10.642,0.2891,-30.33,1,94,9.81,28.87,30.97,9.35,EEA_GHG_INVENTORY,IPCC_2006_GPG,2025-01-14
2022,BE,1_ENERGY,1A4_BUILDINGS,105845911.01,48716.2158,7845.10729,-903831.5,6.445,0.0537,-43.07,0,75,37.47,53.13,36.53,17.92,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2024-03-02
2023,FI,1_ENERGY,1B_FUGITIVE,113374201.21,40205.7309,7674.23464,-677961.39,11.22,0.4501,-46.99,1,76,37.47,23.11,24.3,12.29,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2024-01-10
2024,LV,1_ENERGY,1A1_ENERGY_INDUSTRIES,187744104.18,45735.7209,7978.60503,-37002.55,13.646,0.2324,-35.66,0,65,21.72,23.36,36.87,3.22,EEA_GHG_INVENTORY,IPCC_2006_GPG,2024-02-26
2025,RO,1_ENERGY,1A2_MANUFACTURING,419229437.88,96859.9494,2919.70931,-247210.64,2.575,0.0713,-30.66,1,88,36.38,53.3,17.58,7.07,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2024-10-27
1995,BG,1_ENERGY,1A3_TRANSPORT,254523689.98,16367.1737,10768.82217,-264363.84,11.484,0.2734,-48.28,1,92,22.01,26.9,15.13,10.23,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2024-08-26
1996,FR,1_ENERGY,1A4_BUILDINGS,451861727.03,59162.0186,3057.84284,-759353.38,13.407,0.4091,-59.81,1,87,20.98,17.86,30.37,20.71,EEA_GHG_INVENTORY,IPCC_2006_GPG,2025-11-09
1997,LT,1_ENERGY,1B_FUGITIVE,67329955.84,34668.2204,4726.27211,-860504.95,10.554,0.5437,-33.76,0,107,24.47,14.17,38.89,6.85,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2024-07-14
1998,SK,1_ENERGY,1A1_ENERGY_INDUSTRIES,161781206.89,107391.1788,12826.63487,-774922.8,2.696,0.1082,-58.28,0,105,43.11,40.49,34.55,4.27,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2025-11-22
1999,HR,1_ENERGY,1A2_MANUFACTURING,127645201.63,57699.4547,5754.99625,-772651.35,10.97,0.2357,-63.09,1,98,14.23,41.41,35.13,24.69,EEA_GHG_INVENTORY,IPCC_2006_GPG,2025-04-29
2000,DE,1_ENERGY,1A3_TRANSPORT,25758041.04,2910.9486,863.07192,-400478.37,17.912,0.3433,-61.78,0,115,35.36,12.99,12.68,8.08,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2025-11-01
2001,LU,1_ENERGY,1A4_BUILDINGS,534966959.64,157795.6765,33803.48912,-258878.39,10.066,0.1397,-31.08,1,118,35.21,44.85,39.16,13.41,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2024-03-29
2002,SI,1_ENERGY,1B_FUGITIVE,473156244.04,64717.6851,32664.24471,-497405.12,17.759,0.4432,-63.39,1,101,6.78,25.11,13.07,20.83,EEA_GHG_INVENTORY,IPCC_2006_GPG,2025-12-11
2003,CY,1_ENERGY,1A1_ENERGY_INDUSTRIES,330911713.16,77433.2947,9212.72067,-200125.68,12.767,0.0745,-55.72,0,84,15.63,27.37,19.67,22.32,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2024-04-24
2004,GR,1_ENERGY,1A2_MANUFACTURING,168819191.8,20464.4495,13061.49397,-379875.76,11.601,0.5303,-57.46,1,126,17.21,38.97,11.44,3.73,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2025-06-22
2005,MT,1_ENERGY,1A3_TRANSPORT,254721795.77,152728.9244,14019.35304,-255322.53,15.898,0.4255,-54.43,1,85,33.38,9.71,27.1,13.07,EEA_GHG_INVENTORY,IPCC_2006_GPG,2024-08-02
2006,ES,1_ENERGY,1A4_BUILDINGS,258717403.01,38995.7612,3392.39669,-71278.7,10.265,0.492,-53.74,1,124,27.17,8.46,31.52,10.47,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2024-09-10
2007,CZ,1_ENERGY,1B_FUGITIVE,529922018.95,70397.5853,22061.45706,-960929.22,6.355,0.5394,-54.06,0,129,17.1,24.95,23.32,14.03,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2024-08-06
2008,HU,1_ENERGY,1A1_ENERGY_INDUSTRIES,311453181.17,198613.7766,18523.15191,-926706.07,5.805,0.4865,-64.14,0,81,32.4,11.32,26.06,18.14,EEA_GHG_INVENTORY,IPCC_2006_GPG,2024-01-28
2009,NL,1_ENERGY,1A2_MANUFACTURING,221074948.9,21492.5618,14586.43473,-740167.78,3.982,0.1843,-35.78,0,117,7.28,20.8,10.61,3.51,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2024-10-08
2010,SE,1_ENERGY,1A3_TRANSPORT,515981184.28,53618.287,23152.52338,-878395.03,6.289,0.544,-63.11,1,122,34.51,54.65,28.31,4.88,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2025-12-13
2011,DK,1_ENERGY,1A4_BUILDINGS,84411984.96,7848.2231,4024.3694,-60767.63,12.417,0.3306,-47.16,1,110,38.84,14.77,35.04,13.98,EEA_GHG_INVENTORY,IPCC_2006_GPG,2025-08-23
2012,IE,1_ENERGY,1B_FUGITIVE,76724952.84,53403.2871,4077.47475,-96344.25,8.078,0.1863,-47.36,1,116,9.31,33.55,22.4,22.38,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2026-02-19
2013,PL,1_ENERGY,1A1_ENERGY_INDUSTRIES,218039784.22,83775.623,10289.83809,-451930.91,2.705,0.2044,-64.9,1,88,28.93,39.06,31.45,23.79,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2025-09-28
2014,AT,1_ENERGY,1A2_MANUFACTURING,348830004.12,68799.0778,27610.84514,-186620.88,14.189,0.5149,-57.19,1,117,33.81,24.83,32.41,19.05,EEA_GHG_INVENTORY,IPCC_2006_GPG,2024-04-30
2015,EE,1_ENERGY,1A3_TRANSPORT,19793311.5,2353.1248,635.71037,-83747.42,11.396,0.1666,-45.73,0,131,33.88,19.77,12.81,7.05,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2024-08-29
2016,IT,1_ENERGY,1A4_BUILDINGS,422090875.2,252896.3358,26554.92479,-826970.28,5.675,0.5014,-59.96,1,126,26.92,50.13,11.24,16.21,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2024-04-02
2017,PT,1_ENERGY,1B_FUGITIVE,395741534.95,257962.9323,24027.29692,-799401.24,9.351,0.4763,-35.79,0,120,31.62,30.87,14.82,2.14,EEA_GHG_INVENTORY,IPCC_2006_GPG,2026-01-28
2018,BE,1_ENERGY,1A1_ENERGY_INDUSTRIES,567779178.68,114636.9041,734.85708,-554739.68,7.608,0.2118,-53.06,1,116,31.41,53.68,13.13,8.82,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2025-12-27
2019,FI,1_ENERGY,1A2_MANUFACTURING,68243867.24,45848.09,4341.36643,-557144.31,8.589,0.3373,-52.14,0,99,42.62,9.96,24.24,23.73,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2026-01-17
2020,LV,1_ENERGY,1A3_TRANSPORT,416946772.29,14081.2454,27257.85475,-313417.96,4.797,0.2804,-34.62,1,106,6.13,40.53,31.22,15.26,EEA_GHG_INVENTORY,IPCC_2006_GPG,2024-04-05
2021,RO,1_ENERGY,1A4_BUILDINGS,265873623.16,58959.6803,8634.73615,-586350.29,3.046,0.5051,-37.18,1,118,18.95,28.79,17.86,5.59,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2024-09-25
2022,BG,1_ENERGY,1B_FUGITIVE,140489498.19,58358.9719,9517.33678,-278361.88,10.966,0.2207,-57.23,1,126,20.33,18.18,5.1,16.68,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2025-02-24
2023,FR,1_ENERGY,1A1_ENERGY_INDUSTRIES,19222968.55,4721.1747,1494.019,-708327.17,3.388,0.2958,-52.95,0,106,9.68,20.92,9.86,14.72,EEA_GHG_INVENTORY,IPCC_2006_GPG,2025-12-11
2024,LT,1_ENERGY,1A2_MANUFACTURING,94926087.92,42387.3724,4059.2654,-844448.39,3.343,0.1352,-54.1,0,123,35.22,38.49,23.11,18.53,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2024-11-01
2025,SK,1_ENERGY,1A3_TRANSPORT,123704476.77,55096.303,591.55392,-29705.8,16.754,0.3154,-46.61,0,99,11.37,44.51,31.73,12.84,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2024-09-03
1995,HR,1_ENERGY,1A4_BUILDINGS,538375126.96,205927.1309,5986.00022,-50498.36,8.452,0.5932,-31.11,1,145,41.44,40.72,27.21,19.6,EEA_GHG_INVENTORY,IPCC_2006_GPG,2025-11-13
1996,DE,1_ENERGY,1B_FUGITIVE,238043193.93,34824.0265,13696.33823,-762418.48,15.899,0.1165,-64.28,1,119,11.08,54.35,34.75,23.02,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2025-11-19
1997,LU,1_ENERGY,1A1_ENERGY_INDUSTRIES,5885974.93,2407.9903,59.0513,-995553.16,8.729,0.0559,-37.07,0,104,26.42,48.45,35.38,23.9,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2024-11-09
1998,SI,1_ENERGY,1A2_MANUFACTURING,487766365.54,63538.5938,25937.41239,-470832.1,12.843,0.5724,-55.93,0,131,31.5,42.12,7.67,20.21,EEA_GHG_INVENTORY,IPCC_2006_GPG,2025-05-22
1999,CY,1_ENERGY,1A3_TRANSPORT,408825084.52,105280.4024,28318.08955,-310379.36,6.47,0.2464,-51.81,0,140,19.22,30.26,17.71,3.93,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2024-04-25
2000,GR,1_ENERGY,1A4_BUILDINGS,485233993.44,87061.4193,4920.09557,-397092.73,8.423,0.6135,-54.94,0,130,36.49,11.92,27.09,13.43,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2025-04-03
2001,MT,1_ENERGY,1B_FUGITIVE,108933890.29,48853.3239,8678.72867,-41261.79,6.622,0.4514,-30.28,1,139,27.23,9.25,20.96,23.1,EEA_GHG_INVENTORY,IPCC_2006_GPG,2025-12-14
2002,ES,1_ENERGY,1A1_ENERGY_INDUSTRIES,400289963.11,70079.753,25558.79655,-954032.93,14.573,0.3564,-48.46,1,113,30.58,40.34,7.98,5.31,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2025-06-17
2003,CZ,1_ENERGY,1A2_MANUFACTURING,320099395.5,162228.6454,14103.39267,-845668.47,8.389,0.5814,-51.74,1,154,30.2,42.7,28.51,19.91,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2025-08-26
2004,HU,1_ENERGY,1A3_TRANSPORT,159929137.89,24906.9447,3697.8088,-286925.71,3.661,0.1641,-53.3,1,123,35.95,17.76,10.59,12.21,EEA_GHG_INVENTORY,IPCC_2006_GPG,2024-06-27
2005,NL,1_ENERGY,1A4_BUILDINGS,196207271.49,123538.6517,6916.25467,-221153.72,5.236,0.1295,-30.9,0,121,8.07,46.49,23.19,9.23,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2024-07-12
2006,SE,1_ENERGY,1B_FUGITIVE,38181875.11,7380.5061,97.62254,-164464.01,9.763,0.4884,-50.17,1,126,29.97,38.09,36.72,17.99,NATIONAL_INVENTORY_REPORT,IPCC_2019_REFINEMENT,2025-02-15
2007,DK,1_ENERGY,1A1_ENERGY_INDUSTRIES,87237798.62,24179.4413,3823.76638,-777184.06,4.277,0.3629,-31.77,1,155,21.16,5.36,13.36,22.37,EEA_GHG_INVENTORY,IPCC_2006_GPG,2025-03-04
2008,IE,1_ENERGY,1A2_MANUFACTURING,25801075.96,7066.8425,1389.66611,-997657.46,13.838,0.4138,-38.9,1,152,44.69,28.4,38.09,7.09,UNFCCC_SUBMISSION,NATIONAL_METHOD_UPDATE,2024-04-20
