demo_popproj_projection_year,demo_popproj_geography_geoid,demo_popproj_age_cohort_5yr,demo_popproj_sex_at_birth,demo_popproj_race_ethnicity_group,demo_popproj_population_base_estimate,demo_popproj_population_projected_mid,demo_popproj_population_projected_low,demo_popproj_population_projected_high,demo_popproj_net_births_assumption,demo_popproj_net_deaths_assumption,demo_popproj_domestic_migration_assumption,demo_popproj_international_migration_assumption,demo_popproj_housing_units_baseline,demo_popproj_group_quarters_population,demo_popproj_cohort_survival_rate,demo_popproj_fertility_rate_assumption,demo_popproj_migration_rate_assumption,demo_popproj_release_vintage,demo_popproj_methodology_code
2027,01019,20-24,M,NH_AI_AN,652916,738532,704176,750945,6.82,11.57,-1.09,12.32,1134174,43674,0.8801,1.852,-0.0103,2022,TREND_EXTRAP
2043,01020,85+,M,NH_AI_AN,1016503,1194249,1161692,1245363,0.81,10.12,8.69,4.58,975209,42668,0.9894,1.304,-0.0141,2021,TREND_EXTRAP
2022,01021,55-59,F,NH_Black,1534763,1554718,1491758,1636430,3.87,19.46,3.6,-0.47,204478,48662,0.8839,2.274,0.0255,2019,MICROSIM
2041,01022,30-34,M,NH_Asian,1708042,1802647,1712023,1826085,13.67,2.64,24.35,-5.81,641671,31983,0.911,2.148,-0.0125,2024,HYBRID_SCEN
2040,01023,5-9,F,NH_Black,1893128,1918435,1873512,1945607,16.9,19.92,16.29,-7.74,352126,24039,0.8731,2.367,-0.0038,2021,TREND_EXTRAP
2021,01024,30-34,M,Hispanic,1475120,1522311,1442705,1610849,2.03,15.04,-11.77,-8.65,997006,30416,0.9298,1.93,-0.009,2025,COHORT_COMP
2043,01025,40-44,F,NH_White,1175346,1304473,1282012,1380839,10.26,16.75,11.29,-5.15,794955,1145,0.8958,1.827,-0.0248,2020,MICROSIM
2031,01026,35-39,F,NH_Multiracial,1993069,2051349,1981056,2102054,4.94,2.05,-14.28,-9.1,96323,23804,0.9229,1.823,-0.0188,2021,TREND_EXTRAP
2049,01027,40-44,F,NH_NHPI,1849895,1887898,1784601,1976466,2.93,14.56,14.12,11.98,1140130,47244,0.8835,1.664,-0.0186,2025,MICROSIM
2025,01028,45-49,F,NH_White,2429259,2715473,2646781,2814834,4.33,13.77,-17.62,-2.54,454248,1475,0.858,1.762,0.0116,2020,TREND_EXTRAP
2021,01029,55-59,M,NH_White,989836,1085893,1048927,1137974,10.61,12.74,-1.32,1.06,270828,52073,0.9661,1.962,-0.0056,2022,TREND_EXTRAP
2047,01030,5-9,M,NH_Black,767786,837655,799879,889399,1.64,17.72,14.53,14.68,161954,10047,0.9455,2.32,0.0169,2023,MICROSIM
2040,01031,45-49,F,NH_NHPI,1030433,1062197,1020906,1077908,8.1,13.12,-10.99,-6.56,127362,12156,0.9008,1.915,0.0125,2022,COHORT_COMP
2020,01032,10-14,F,NH_NHPI,966520,1109160,1059155,1172026,2.87,19.14,16.86,15.07,343800,30421,0.8571,2.229,-0.0185,2019,COHORT_COMP
2031,01033,0-4,F,NH_NHPI,2451479,2625213,2502225,2729123,5.27,6.65,7.21,9.19,579378,27955,0.979,2.235,0.0038,2024,HYBRID_SCEN
2045,01034,80-84,M,NH_Black,1635425,1983462,1880679,2070432,3.84,18.12,-5.12,0.26,537807,22063,0.8753,1.823,0.0146,2022,TREND_EXTRAP
2041,01035,0-4,M,NH_White,2033316,2195310,2103410,2303398,15.95,5.59,-3.83,-6.47,510899,48444,0.9887,1.617,0.008,2022,HYBRID_SCEN
2048,01036,20-24,M,NH_Black,62253,57895,55147,61678,12.89,18.26,21.3,-7.26,370041,56848,0.9213,1.967,0.006,2019,MICROSIM
2031,01037,65-69,M,NH_AI_AN,1453379,1347758,1312947,1365822,15.7,20.81,-14.11,0.07,126393,21799,0.9007,1.735,0.0144,2019,HYBRID_SCEN
2044,01038,25-29,F,NH_AI_AN,1473108,1631374,1589274,1650572,7.21,8.71,9.67,-5.79,924604,21322,0.9605,1.298,-0.0266,2023,MICROSIM
2036,01039,40-44,F,NH_Black,1072484,1231243,1188262,1256724,5.98,12.6,10.36,-1.97,67896,34372,0.9806,1.653,0.0139,2023,COHORT_COMP
2046,01040,65-69,F,NH_NHPI,124616,127478,124787,136297,7.16,15.17,21.12,-8.41,981959,14932,0.9052,2.393,-0.0136,2021,MICROSIM
2046,01041,15-19,M,NH_White,1023280,1223902,1201953,1288652,0.82,3.59,10.66,7.85,318829,46361,0.9107,1.258,0.0043,2020,MICROSIM
2050,01042,0-4,M,NH_Black,655996,767370,743572,803343,13.18,11.88,4.22,-5.64,1171135,44239,0.9145,2.036,-0.0155,2019,HYBRID_SCEN
2029,01043,25-29,M,NH_Black,2115065,2289838,2223310,2319199,6.62,9.21,20.13,12.7,137493,37815,0.9874,2.209,0.0203,2022,TREND_EXTRAP
2047,01044,30-34,F,NH_Black,871446,960653,916601,1020930,5.98,19.45,16.46,-3.45,25494,57895,0.9532,1.978,-0.0012,2022,HYBRID_SCEN
2047,01045,25-29,F,Hispanic,1105434,1242145,1223194,1315140,10.97,19.53,10.84,13.94,1189886,42964,0.8869,1.884,0.0086,2023,COHORT_COMP
2035,01046,0-4,M,NH_AI_AN,2163849,2560698,2410155,2688446,8.13,16.02,-23.37,-4.3,1002891,40943,0.8776,2.049,0.0176,2020,COHORT_COMP
2034,01047,35-39,F,NH_Multiracial,494492,549345,525959,566016,17.66,15.11,-6.32,11.64,709209,24003,0.8843,1.715,0.0237,2025,COHORT_COMP
2049,01048,55-59,M,NH_NHPI,1797225,1943296,1896831,1970949,6.73,16.67,6.59,-0.01,1057031,22501,0.8893,1.31,0.0139,2019,TREND_EXTRAP
2049,01049,50-54,M,NH_Asian,2321144,2577254,2432939,2692720,11.24,9.32,1.11,7.49,611952,57081,0.8843,2.355,-0.0211,2023,HYBRID_SCEN
2034,01050,5-9,F,NH_Multiracial,786333,866728,822662,912822,5.95,10.09,-9.03,-8.84,441585,31092,0.9481,1.719,0.0213,2025,MICROSIM
2049,01051,5-9,M,NH_NHPI,76740,86368,83730,87720,17.84,13.07,-17.78,4.86,975353,14983,0.8673,1.998,0.0071,2020,MICROSIM
2038,01052,5-9,F,NH_Asian,236095,230381,223008,241445,8.29,20.76,2.65,-5.54,113048,29768,0.9077,1.838,0.0066,2019,TREND_EXTRAP
2031,01053,35-39,M,Hispanic,1571786,1711598,1672139,1758122,11.6,16.48,-10.7,4.59,936602,34604,0.9431,1.266,0.0253,2022,COHORT_COMP
2042,01054,30-34,F,NH_Black,1327542,1457145,1428921,1538533,2.72,13.02,-13.35,-5.76,705643,22288,0.8933,2.343,-0.0151,2022,TREND_EXTRAP
2039,01055,75-79,F,Hispanic,1948561,2076443,1965205,2164436,13.33,17.41,-5.05,3.11,548343,46760,0.8597,2.151,-0.0156,2023,MICROSIM
2044,01056,40-44,F,Hispanic,2387314,2666749,2509194,2714063,5.21,9.42,14.27,-6.68,34958,6476,0.8622,1.379,0.0008,2020,COHORT_COMP
2022,01057,75-79,M,NH_Multiracial,838857,994272,968900,1035624,8.35,16.61,-0.61,-3.4,249616,48837,0.8688,2.378,0.0151,2022,TREND_EXTRAP
2024,01058,5-9,M,NH_White,191420,206406,197132,213371,15.95,10.21,-14.18,7.85,261472,32602,0.9745,2.084,-0.0032,2025,MICROSIM
2038,01059,10-14,F,NH_Multiracial,898832,999054,970380,1019855,17.48,7.59,-19.15,19.3,629582,56425,0.948,1.767,0.008,2020,MICROSIM
2026,01060,5-9,F,NH_AI_AN,880354,1026823,972942,1088936,7.93,14.19,-0.05,3.48,792015,42084,0.8596,1.934,-0.0028,2023,TREND_EXTRAP
2040,01061,80-84,M,NH_Asian,2329728,2515393,2423460,2542211,15.11,15.74,14.72,10.62,60312,50534,0.9083,1.328,0.0066,2025,MICROSIM
2028,01062,55-59,M,NH_Black,1072275,1090173,1052258,1121491,1.43,11.19,7.64,6.18,975590,9962,0.8915,1.872,0.0193,2025,HYBRID_SCEN
2026,01063,50-54,M,NH_Multiracial,163687,181192,175621,183140,15.33,13.31,-13.39,4.95,79686,28439,0.9361,1.288,-0.0192,2021,HYBRID_SCEN
2037,01064,25-29,F,NH_Asian,455650,427354,412678,434089,11.52,15.88,-3.16,-8.06,598016,3400,0.9279,1.854,0.0117,2020,COHORT_COMP
2023,01065,45-49,M,NH_NHPI,510051,475417,458674,488645,9.05,17.35,17.76,-5.67,944521,24440,0.9217,1.863,0.0172,2024,HYBRID_SCEN
2044,01066,65-69,M,NH_Asian,1563018,1703659,1629782,1726243,16.07,19.91,-16.12,16.49,1148130,46697,0.8969,2.249,-0.0032,2020,HYBRID_SCEN
2047,01067,0-4,F,NH_NHPI,1054596,980037,924722,1024920,15.29,9.09,1.6,2.3,518148,24610,0.8705,2.07,-0.0106,2023,TREND_EXTRAP
2033,01068,70-74,M,NH_Multiracial,1683178,1668180,1575555,1693555,5.7,21.03,-7.19,8.43,13569,51356,0.9606,1.499,-0.0292,2024,COHORT_COMP
2037,01069,25-29,M,NH_AI_AN,168027,175956,169214,185123,14.35,14.75,-18.79,5.85,1109204,29575,0.9811,2.266,0.0178,2021,TREND_EXTRAP
2045,01070,60-64,M,NH_Multiracial,1588319,1630750,1561915,1652208,2.24,17.75,-22.5,1.37,660604,19728,0.9907,1.888,-0.0103,2022,TREND_EXTRAP
2028,01071,65-69,F,NH_NHPI,1224197,1299034,1254615,1316646,14.9,16.0,2.79,1.63,65323,52166,0.8587,1.928,-0.0086,2019,HYBRID_SCEN
2045,01072,60-64,F,NH_Asian,988297,1123468,1073183,1155284,12.32,6.11,-23.96,6.66,993528,29067,0.9602,1.403,-0.0098,2023,HYBRID_SCEN
2040,01073,75-79,F,NH_Asian,1520873,1649096,1606871,1754298,2.04,3.43,-19.83,-5.77,877546,24303,0.9582,2.229,-0.0001,2019,MICROSIM
2021,01074,0-4,F,NH_NHPI,2347796,2393908,2353684,2509973,12.45,16.53,-7.62,1.62,138533,45262,0.9911,2.317,0.0121,2021,MICROSIM
2039,01075,65-69,F,Hispanic,2162577,2489702,2377523,2629642,10.66,12.22,-22.82,3.41,993039,42740,0.8877,2.13,0.0163,2024,COHORT_COMP
2047,01076,60-64,F,NH_AI_AN,2467012,2428202,2305940,2473107,10.9,16.04,-4.98,19.55,919761,1628,0.9606,2.329,-0.0064,2021,HYBRID_SCEN
2034,01077,45-49,F,NH_White,595057,644632,609698,683340,5.59,11.54,-18.48,0.54,363369,39532,0.8581,1.563,0.0098,2020,MICROSIM
2047,01078,45-49,M,NH_Black,990621,968425,940159,978582,5.16,8.24,-7.51,9.34,14759,9521,0.9441,2.233,0.0132,2019,TREND_EXTRAP
2026,01079,15-19,M,NH_Asian,1400257,1519473,1462025,1554091,13.84,7.7,14.56,-5.88,1044196,38513,0.9023,1.787,-0.0122,2019,HYBRID_SCEN
2031,01080,65-69,F,NH_Black,1725549,1813348,1721594,1898512,4.99,16.61,6.32,-8.04,492661,42519,0.9646,1.397,-0.0242,2021,COHORT_COMP
2048,01081,55-59,M,NH_White,483942,549242,534223,567100,8.31,7.54,-2.73,16.15,41730,25380,0.9786,2.003,0.0237,2024,COHORT_COMP
2027,01082,25-29,M,NH_Multiracial,1078421,1200542,1137422,1283441,12.66,16.29,-20.41,11.92,1040779,59853,0.9044,2.021,0.0106,2019,TREND_EXTRAP
2034,01083,70-74,F,NH_Black,1421327,1470748,1423264,1488132,1.89,9.68,5.96,-0.48,730633,28923,0.9283,1.544,0.0089,2025,MICROSIM
2022,01084,20-24,M,NH_White,1957374,2002909,1935525,2142944,10.9,17.42,-16.81,5.14,198450,34058,0.8675,1.233,-0.0265,2022,TREND_EXTRAP
2033,01085,45-49,M,NH_NHPI,1010369,1061992,1037259,1112349,10.81,4.86,-21.17,-5.93,836315,56162,0.9121,1.44,0.0191,2021,MICROSIM
2036,01086,40-44,M,Hispanic,494314,584543,551081,609983,12.47,6.1,8.2,11.21,916038,28880,0.9038,1.68,0.004,2020,HYBRID_SCEN
2023,01087,45-49,M,NH_Asian,2428962,2834948,2790704,2873420,6.97,15.72,20.6,-7.89,583384,18970,0.8773,1.401,0.0209,2020,COHORT_COMP
2037,01088,55-59,M,NH_White,1752297,1773156,1729092,1819966,8.36,13.2,-1.97,12.71,1028771,38891,0.9833,1.433,0.0285,2020,MICROSIM
2027,01089,15-19,F,NH_Black,97906,109460,104075,116627,6.27,6.08,-22.95,6.41,411417,4930,0.8721,1.67,0.0274,2019,TREND_EXTRAP
2023,01090,15-19,F,NH_Asian,1576817,1523385,1445951,1570998,14.64,20.06,19.01,-1.63,586133,35318,0.9447,2.354,0.0214,2021,HYBRID_SCEN
2021,01091,60-64,F,Hispanic,385083,401702,386269,421666,2.79,7.52,-21.65,15.88,1118327,50107,0.9826,2.117,-0.0293,2020,MICROSIM
2049,01092,65-69,M,NH_NHPI,1021936,1036596,1016774,1109126,17.35,10.42,18.38,19.58,199770,41539,0.9859,1.584,0.0231,2021,HYBRID_SCEN
2025,01093,55-59,F,NH_Multiracial,1002929,1137478,1117171,1166806,11.61,6.05,-5.41,-2.37,443480,42897,0.9682,2.342,-0.0255,2019,HYBRID_SCEN
2041,01094,60-64,M,NH_Asian,1609684,1597703,1543417,1668904,16.02,9.76,-6.73,14.19,872622,29843,0.8762,1.975,0.0211,2022,TREND_EXTRAP
2029,01095,60-64,M,NH_Multiracial,1149622,1259710,1238346,1324945,7.96,11.83,2.14,12.5,1054475,49108,0.9718,1.747,-0.0132,2022,TREND_EXTRAP
2023,01096,5-9,M,NH_White,604989,647364,608698,660232,6.31,7.9,22.85,12.42,923626,32574,0.8912,1.762,0.0066,2022,HYBRID_SCEN
2041,01097,40-44,M,Hispanic,2328976,2467487,2323777,2514172,16.26,17.38,19.94,18.72,714096,51149,0.9874,1.693,-0.0277,2019,HYBRID_SCEN
2048,01098,45-49,F,NH_Black,484773,567327,559152,588532,2.23,9.88,-1.48,4.6,932566,39751,0.9557,1.48,0.0163,2020,MICROSIM
2050,01099,80-84,F,Hispanic,1734485,2039029,1995733,2106620,2.55,16.59,9.79,10.23,1193446,9857,0.967,1.664,-0.0233,2019,TREND_EXTRAP
2037,01100,45-49,M,Hispanic,1760489,1868471,1798469,1967225,5.74,6.14,4.02,14.72,460850,23513,0.8627,1.833,-0.0054,2021,MICROSIM
2045,01101,60-64,F,NH_AI_AN,919924,965225,943681,978902,17.3,9.54,9.67,4.39,156046,34898,0.9368,1.834,0.019,2022,COHORT_COMP
2031,01102,0-4,M,Hispanic,2403733,2354667,2325897,2515561,11.58,2.16,16.47,4.44,707944,23593,0.9724,2.114,0.0117,2021,MICROSIM
2021,01103,5-9,F,Hispanic,1192355,1275515,1248224,1289362,10.2,17.17,-23.28,-0.44,954956,22683,0.9784,1.631,-0.0296,2019,HYBRID_SCEN
2029,01104,80-84,F,NH_Asian,688832,817780,803156,855462,12.84,14.52,-8.71,13.42,615073,36508,0.8543,2.06,-0.0058,2023,COHORT_COMP
2049,01105,60-64,M,NH_Black,1453091,1543583,1509670,1611127,7.81,18.36,22.97,10.59,87620,18884,0.9899,1.894,-0.0275,2023,MICROSIM
2023,01106,80-84,F,NH_Asian,726948,809620,767852,824260,13.77,11.11,22.47,3.53,275396,58986,0.8565,2.354,0.0104,2025,COHORT_COMP
2033,01107,60-64,M,NH_Asian,70963,69980,68697,71313,7.38,17.99,-24.44,2.58,1132350,56603,0.9416,1.662,0.0281,2019,TREND_EXTRAP
2050,01108,80-84,F,NH_White,2191152,2287373,2172444,2419035,14.96,14.95,-14.93,-7.82,1000215,5307,0.9533,2.281,0.0093,2020,MICROSIM
2035,01109,65-69,M,NH_Asian,1256848,1379702,1358496,1466973,5.18,2.07,24.69,-9.8,654659,12904,0.866,2.185,-0.0165,2024,MICROSIM
2034,01110,45-49,M,NH_AI_AN,1133683,1220241,1175009,1253164,5.36,7.07,-0.36,5.87,231424,39535,0.8572,1.965,-0.0087,2021,TREND_EXTRAP
2027,01111,5-9,F,NH_AI_AN,2431492,2722006,2650822,2820754,9.64,11.88,3.64,2.52,70115,17881,0.967,1.985,0.0286,2019,MICROSIM
2033,01112,65-69,F,NH_Multiracial,848442,877153,846331,904607,8.04,14.37,-16.68,13.88,195819,29178,0.9073,1.302,-0.0166,2019,COHORT_COMP
2042,01113,80-84,M,NH_White,120576,116355,109920,118025,11.84,3.31,19.72,6.28,334847,13582,0.866,2.34,0.0037,2023,TREND_EXTRAP
2047,01114,20-24,F,NH_Multiracial,1107768,1259892,1202612,1323380,6.88,16.1,-13.44,18.1,619894,57965,0.9636,1.328,-0.006,2022,COHORT_COMP
2044,01115,85+,F,NH_Multiracial,655629,664697,657509,704254,4.53,12.87,-15.52,-4.12,872562,35912,0.9765,1.876,0.0161,2022,MICROSIM
2049,01116,10-14,M,NH_NHPI,717604,789648,780200,811989,8.72,12.52,-13.59,19.7,261897,42911,0.9375,1.596,0.022,2024,MICROSIM
2027,01117,75-79,M,NH_Black,802742,880649,841921,941775,10.32,7.84,20.98,-1.06,970704,42419,0.874,1.716,-0.0095,2020,MICROSIM
2040,01118,85+,F,NH_Black,923130,895597,886475,908628,3.0,13.9,10.14,9.27,936269,8025,0.8523,1.932,0.0096,2020,MICROSIM
2035,01119,20-24,M,NH_Asian,2258733,2559025,2513672,2686227,10.24,2.55,13.43,5.06,911166,49444,0.9544,2.291,0.0029,2024,COHORT_COMP
2032,01120,35-39,M,NH_Asian,1160794,1202589,1167170,1246956,6.09,3.29,-6.15,0.79,1044801,41614,0.932,1.749,-0.0133,2020,MICROSIM
2037,01121,25-29,M,NH_NHPI,1402152,1504934,1417657,1560309,7.37,16.68,20.46,-5.82,394248,43944,0.947,2.385,-0.0137,2025,TREND_EXTRAP
2034,01122,70-74,F,NH_Asian,524980,550446,542229,571065,5.39,8.44,14.47,-5.95,665745,19188,0.9712,1.911,0.0023,2025,TREND_EXTRAP
2040,01123,10-14,F,NH_Black,2345188,2737668,2649710,2807535,16.8,8.94,12.53,11.35,1183340,7604,0.9147,1.393,-0.0208,2023,HYBRID_SCEN
2043,01124,40-44,M,NH_Multiracial,36913,42472,41767,44720,12.46,6.17,23.55,1.33,189510,39907,0.8686,1.428,0.0186,2019,TREND_EXTRAP
2045,01125,50-54,F,Hispanic,1696494,1630771,1600962,1717682,5.09,10.91,-6.69,18.84,583347,48979,0.9901,2.059,-0.0259,2020,HYBRID_SCEN
2044,01126,65-69,M,NH_AI_AN,564930,681039,668542,699388,11.79,3.04,5.55,-0.23,171856,27290,0.9312,1.26,-0.0243,2023,TREND_EXTRAP
2047,01127,40-44,F,Hispanic,2134120,2196653,2141536,2328712,15.35,8.01,20.5,19.51,1276,40596,0.9417,1.776,-0.0095,2025,TREND_EXTRAP
2047,01128,45-49,M,Hispanic,948702,1134786,1083233,1167706,7.53,12.54,14.54,-3.84,722170,6203,0.9891,1.378,-0.0229,2021,MICROSIM
2047,01129,70-74,M,NH_Black,666515,702924,672563,740534,15.02,11.31,3.17,-6.92,786529,50773,0.9888,1.72,-0.0015,2019,TREND_EXTRAP
2032,01130,85+,F,Hispanic,1472367,1545315,1476430,1571987,3.2,21.99,-21.19,-0.62,159470,7871,0.9352,2.1,-0.006,2024,MICROSIM
2028,01131,30-34,M,NH_NHPI,915980,966505,909483,985953,14.9,9.78,7.64,16.57,377214,14662,0.8943,1.751,0.0133,2021,MICROSIM
2048,01132,20-24,F,NH_White,42556,44511,43136,45799,9.96,9.74,1.33,5.66,518055,36782,0.9986,1.396,0.0272,2022,TREND_EXTRAP
2034,01133,85+,F,NH_Asian,2149483,2625515,2559724,2745323,4.4,12.07,-15.79,-5.93,832392,11445,0.9514,1.502,0.0152,2022,COHORT_COMP
2032,01134,0-4,M,NH_White,774452,825115,810834,865323,7.62,5.81,19.11,-3.93,62113,11038,0.9109,1.641,-0.0192,2019,MICROSIM
2020,01135,55-59,M,NH_Multiracial,908880,956016,905355,988311,17.79,19.53,-7.84,-0.66,335952,45840,0.9334,1.283,0.0261,2020,TREND_EXTRAP
2044,01136,25-29,F,NH_AI_AN,426988,458850,443803,465581,14.21,13.45,-5.63,7.71,669512,45822,0.912,1.901,-0.0065,2019,COHORT_COMP
2026,01137,60-64,M,NH_Asian,632905,640474,602302,661236,10.56,5.84,8.62,-0.03,518,3505,0.9824,1.929,-0.0015,2020,TREND_EXTRAP
2028,01138,80-84,M,Hispanic,2374467,2768218,2615286,2910299,2.52,17.87,-0.56,12.41,288355,41478,0.9219,1.275,-0.0047,2024,TREND_EXTRAP
2043,01139,40-44,M,NH_AI_AN,1338268,1313824,1238555,1379856,7.81,2.69,-20.54,8.49,281131,19069,0.9727,1.683,-0.0132,2022,COHORT_COMP
2020,01140,0-4,M,NH_Asian,1861471,1923196,1877566,1960913,5.1,21.65,-5.63,16.21,374630,14418,0.9752,1.697,0.0237,2025,TREND_EXTRAP
2031,01141,55-59,M,NH_NHPI,1514601,1705743,1610311,1723597,1.74,19.3,-20.28,5.03,885664,16411,0.9728,1.601,-0.0101,2025,MICROSIM
2027,01142,0-4,F,NH_NHPI,2330844,2499926,2439484,2637869,9.99,13.59,-15.46,-0.06,364649,33033,0.9576,1.869,0.0047,2019,HYBRID_SCEN
2043,01143,15-19,F,NH_NHPI,1406650,1551468,1477744,1576884,16.06,4.23,-24.64,19.89,372726,9498,0.9774,1.615,-0.0156,2019,HYBRID_SCEN
2050,01144,30-34,M,NH_NHPI,525505,610631,600791,619754,12.32,6.31,-15.93,0.67,1147104,47500,0.9077,1.7,0.0178,2024,TREND_EXTRAP
2030,01145,20-24,M,Hispanic,1229958,1390133,1363244,1404259,4.87,7.59,-8.48,2.86,673098,56257,0.8671,2.157,0.0165,2025,HYBRID_SCEN
2038,01146,20-24,M,NH_White,2069941,2231910,2204884,2312160,10.54,6.82,1.91,14.27,799289,56058,0.9755,1.395,-0.0122,2020,HYBRID_SCEN
2036,01147,30-34,F,NH_Asian,1167772,1395908,1373836,1452017,17.01,11.95,20.96,-7.34,81319,21459,0.9242,1.943,0.0109,2022,HYBRID_SCEN
2027,01148,80-84,M,Hispanic,2102646,2170561,2141619,2275311,13.15,20.89,2.02,1.59,283835,22203,0.869,1.807,0.0122,2022,MICROSIM
2022,01149,55-59,F,NH_NHPI,2166952,2305596,2266255,2369608,12.57,10.88,10.28,-7.43,1177577,28030,0.8672,1.566,0.0038,2020,MICROSIM
2022,01150,70-74,F,NH_Multiracial,2403745,2567616,2502575,2702738,17.44,15.23,-7.12,-5.82,1031852,49962,0.8737,2.073,0.006,2024,HYBRID_SCEN
2020,01151,10-14,F,NH_White,562193,598091,567297,610148,14.48,15.77,12.58,-9.86,719035,21060,0.9619,1.861,0.0045,2020,COHORT_COMP
2046,01152,80-84,M,NH_Multiracial,1346092,1353963,1291119,1435091,2.89,19.43,6.02,-9.71,828812,19774,0.9559,1.773,-0.0251,2024,COHORT_COMP
2024,01153,65-69,F,NH_AI_AN,1747878,1704147,1620024,1779659,6.58,2.68,-2.01,1.41,280884,46917,0.8804,2.001,0.0102,2020,COHORT_COMP
2029,01154,70-74,M,NH_Multiracial,1494051,1636033,1587245,1709709,17.39,10.09,-15.31,14.27,202787,33378,0.9762,2.163,-0.0018,2022,MICROSIM
2026,01155,70-74,F,NH_AI_AN,2437331,2515305,2427724,2572116,9.07,17.69,-9.82,7.61,1056719,45248,0.8919,2.367,-0.0037,2022,MICROSIM
2045,01156,70-74,M,NH_AI_AN,1707017,2021907,1988250,2051116,2.45,18.3,6.05,9.05,271255,59618,0.9682,1.955,0.0216,2019,MICROSIM
2028,01157,50-54,F,NH_NHPI,355554,378895,374209,393248,8.53,20.55,-3.7,5.58,957958,20930,0.9228,2.249,-0.0286,2025,MICROSIM
2047,01158,85+,M,NH_AI_AN,1256215,1325194,1272508,1387394,12.7,16.06,19.47,14.59,754969,13493,0.959,1.201,-0.0149,2025,HYBRID_SCEN
2026,01159,45-49,F,NH_Black,1167170,1325508,1279536,1346322,17.96,6.9,-13.26,16.41,325344,37795,0.9068,1.836,-0.0227,2024,MICROSIM
2028,01160,40-44,M,NH_Asian,681167,745286,736771,795244,6.17,12.11,-21.35,15.49,593793,13638,0.9017,1.458,-0.0279,2022,HYBRID_SCEN
2027,01161,10-14,M,NH_Asian,1125924,1192881,1137784,1274980,9.5,2.65,4.47,14.36,1051255,5724,0.9754,1.313,-0.0135,2024,COHORT_COMP
