health_mch_birth_cohort_year,health_mch_prenatal_visit_adequacy_index,health_mch_maternal_mortality_ratio,health_mch_severe_maternal_morbidity_rate,health_mch_preterm_birth_rate,health_mch_low_birthweight_rate,health_mch_breastfeeding_initiation_rate,health_mch_breastfeeding_6mo_rate,health_mch_postpartum_care_rate,health_mch_infant_sleep_safe_rate,health_mch_immunization_series_completion,health_mch_well_child_visit_rate,health_mch_teen_birth_rate,health_mch_fertility_rate_age_specific,health_mch_nicu_admission_rate,health_mch_postnatal_depression_screen_rate,health_mch_substance_exposure_flag_rate,health_mch_doula_support_rate,health_mch_pmjay_eligibility_category,health_mch_home_visiting_program_uptake
2018,6.95,78.35,4.241,8.97,17.34,68.72,57.73,43.99,52.3,75.17,56.14,13.7,201.36,15.44,20.27,8.56,22.53,Unknown,38.0
2015,1.49,233.42,5.427,4.37,24.55,24.01,15.41,65.47,10.25,77.78,31.09,6.1,164.39,0.11,52.44,7.12,14.48,SECC_Eligible,10.78
2017,5.17,258.23,2.976,2.96,18.14,44.55,52.79,80.82,34.34,43.46,82.17,26.01,84.19,8.62,13.5,8.28,18.17,PMJAY_OtherEligible,52.06
2014,6.22,77.76,5.111,10.82,21.38,86.24,7.76,68.05,28.5,74.86,76.75,33.01,121.74,19.39,5.07,6.93,8.35,PMJAY_OtherEligible,9.41
2023,1.21,83.02,4.602,9.41,25.79,64.82,56.15,36.59,80.68,77.25,74.3,21.05,190.71,16.11,56.73,8.59,5.81,Unknown,76.9
2020,2.37,112.18,5.132,15.39,18.06,39.84,17.58,40.52,39.89,91.09,85.71,14.48,243.31,20.76,14.26,2.09,5.77,SECC_Eligible,29.32
2023,1.36,21.64,3.876,3.92,13.95,86.08,6.26,75.81,60.85,47.55,73.12,3.52,52.18,2.28,53.34,8.53,13.12,SECC_Eligible,75.95
2020,7.3,346.41,3.524,5.45,25.0,34.16,83.51,65.79,32.67,12.7,14.79,6.18,211.97,23.31,42.66,0.97,22.67,Unknown,1.15
2021,0.77,222.93,1.633,16.17,12.06,95.78,75.65,41.99,25.66,76.23,67.53,6.19,230.93,12.89,61.51,2.36,8.32,Unknown,2.1
2020,0.11,94.99,3.026,10.23,21.11,42.66,6.9,86.52,50.69,70.69,39.24,12.28,164.47,17.19,54.51,9.64,4.71,NotEligible,74.22
2024,5.82,67.6,1.41,13.99,4.42,85.1,76.19,39.56,26.42,58.55,24.13,31.24,119.8,5.23,29.48,2.88,27.39,PMJAY_OtherEligible,6.45
2015,7.97,190.52,3.522,14.02,11.93,66.1,53.27,65.28,75.2,23.24,13.39,32.8,114.97,6.59,7.03,4.68,2.48,NotEligible,2.81
2016,2.51,82.17,5.845,17.22,26.58,26.27,74.47,16.01,50.67,33.02,38.11,16.39,33.31,6.45,59.34,1.01,1.39,NotEligible,33.59
2017,1.31,76.27,3.861,13.68,12.43,71.23,37.62,46.77,77.76,94.37,77.77,25.96,122.44,3.0,89.87,1.47,17.82,SECC_Eligible,0.58
2025,5.75,103.85,2.704,3.21,22.61,82.13,28.21,39.92,50.44,13.07,11.57,19.18,132.93,23.84,3.11,0.87,2.3,PMJAY_OtherEligible,78.91
2016,7.13,62.23,3.472,6.85,4.2,31.73,58.76,29.19,53.12,17.48,31.17,3.56,43.12,14.38,29.1,8.1,27.39,Unknown,40.46
2019,3.46,161.38,0.881,7.09,28.92,96.96,65.65,56.93,34.45,60.55,63.01,4.7,248.23,8.12,57.31,3.39,13.47,SECC_Eligible,75.01
2019,3.65,118.57,1.723,10.94,10.34,41.34,45.94,54.41,33.2,66.07,39.64,23.25,222.42,5.82,53.94,7.4,21.41,SECC_Eligible,16.62
2020,0.53,70.11,1.659,3.95,8.67,93.55,60.22,68.71,96.03,41.1,13.72,29.71,205.8,21.17,14.23,6.34,9.93,SECC_Eligible,72.4
2015,7.95,312.68,1.234,17.55,27.95,35.21,28.9,46.01,76.35,58.65,85.02,25.71,240.86,20.18,84.9,4.88,7.62,SECC_Eligible,20.81
2023,5.75,252.07,2.513,14.36,4.05,27.87,55.59,65.36,32.78,73.69,77.25,14.24,197.69,0.45,42.54,10.44,15.27,PMJAY_OtherEligible,56.3
2023,3.94,257.23,5.836,2.27,27.09,74.26,14.5,85.97,80.51,94.02,18.04,24.15,166.62,3.77,79.74,10.5,17.17,Unknown,47.55
2017,1.38,281.0,5.504,5.64,19.78,42.58,77.43,32.44,81.21,98.67,22.81,13.64,100.12,14.1,7.39,5.83,23.18,Unknown,38.24
2021,4.84,82.02,3.581,2.82,7.6,77.8,13.72,64.3,24.57,79.82,11.17,5.11,221.86,4.64,82.03,3.71,12.36,SECC_Eligible,70.14
2021,0.44,45.15,2.27,16.7,17.79,30.64,68.05,30.42,71.72,66.36,90.95,33.53,141.62,6.87,67.32,4.74,12.99,PMJAY_OtherEligible,47.41
2018,3.24,53.33,2.923,7.73,6.28,29.71,25.59,71.32,73.96,88.64,87.64,24.77,140.15,7.66,54.46,5.78,3.77,SECC_Eligible,38.72
2023,5.14,219.34,2.636,9.39,22.82,88.62,56.98,38.11,90.98,56.15,16.73,5.25,159.48,18.47,65.0,11.14,11.61,NotEligible,15.64
2020,6.34,214.9,3.042,8.51,22.32,45.08,64.63,55.58,21.56,14.35,20.5,0.07,208.34,13.51,69.21,9.84,29.32,NotEligible,62.38
2021,5.23,250.64,3.967,12.46,9.88,88.28,36.73,51.34,41.28,54.47,24.88,26.07,56.59,14.56,67.52,5.55,25.24,Unknown,57.27
2024,0.21,77.31,3.379,4.46,20.44,67.8,55.0,47.02,90.03,79.87,8.43,2.2,173.97,10.2,3.16,4.91,23.05,NotEligible,67.2
2023,0.6,292.15,5.329,15.68,12.61,91.43,12.76,30.24,62.27,23.77,24.53,6.17,192.56,5.11,19.65,2.74,6.99,PMJAY_OtherEligible,32.34
2018,5.62,49.66,5.997,13.13,13.6,46.45,31.62,67.74,92.06,15.21,81.84,21.36,224.07,2.82,60.34,3.73,3.32,Unknown,31.89
2014,4.53,254.25,5.017,8.16,27.95,49.89,41.42,21.87,85.48,46.73,42.97,26.57,131.47,21.4,31.15,7.25,3.81,SECC_Eligible,44.88
2022,0.24,69.55,5.12,10.96,14.54,53.66,73.38,53.09,24.98,25.09,73.83,24.12,38.82,11.9,59.26,0.18,29.35,NotEligible,26.02
2023,9.95,27.11,4.978,2.34,12.02,39.99,77.82,61.18,90.69,52.94,48.23,7.33,136.61,10.53,88.46,5.52,2.07,SECC_Eligible,36.66
2016,4.53,258.13,0.276,2.59,17.44,87.74,35.89,44.37,45.6,67.39,58.83,16.51,56.12,1.38,49.34,11.64,6.92,SECC_Eligible,72.94
2025,7.69,37.99,3.947,6.67,19.39,47.91,52.5,59.9,44.82,11.92,51.35,31.54,208.35,20.71,79.18,5.25,7.17,NotEligible,69.44
2025,5.11,97.03,4.105,10.85,5.73,24.73,15.78,79.4,51.47,79.14,56.59,21.17,174.18,9.63,42.45,0.43,15.43,NotEligible,9.2
2019,0.73,197.98,2.297,13.47,17.92,83.02,62.5,78.13,23.96,66.63,65.75,17.17,146.58,16.7,1.02,6.0,29.29,SECC_Eligible,33.14
2025,4.63,282.74,0.819,3.38,29.22,31.44,12.94,55.26,19.88,67.77,44.57,1.55,249.21,6.18,32.35,11.28,10.52,PMJAY_OtherEligible,3.5
2016,6.85,125.55,5.335,4.28,23.72,43.77,57.8,58.84,14.07,75.36,60.0,1.57,236.38,5.44,2.06,5.72,29.87,NotEligible,66.38
2017,0.62,62.58,0.7,5.84,21.38,82.62,7.42,84.84,52.54,44.5,5.68,0.6,164.18,18.11,17.53,0.87,8.84,NotEligible,39.49
2019,3.76,142.28,5.388,5.53,8.32,27.06,81.29,23.18,59.99,67.04,94.21,30.36,20.83,19.91,19.25,1.31,20.44,SECC_Eligible,51.49
2021,4.29,35.5,0.956,14.33,7.64,29.92,32.1,30.09,83.67,60.17,39.48,29.18,139.22,11.79,85.79,11.12,22.3,Unknown,23.64
2022,6.67,238.59,1.954,4.17,21.6,33.03,28.89,10.56,91.2,46.93,6.27,31.46,129.19,21.68,50.96,10.08,16.26,NotEligible,50.43
2015,5.58,267.23,4.126,17.88,9.37,94.43,34.24,91.91,92.76,85.83,50.77,0.09,75.55,14.4,44.22,3.2,22.29,PMJAY_OtherEligible,52.88
2021,1.47,334.73,4.732,11.89,10.85,20.93,54.77,20.65,79.65,10.2,38.31,15.2,103.56,1.0,3.45,7.87,5.34,NotEligible,79.25
2024,3.58,139.46,2.139,8.04,20.76,48.12,40.92,60.93,79.95,34.14,80.11,12.43,83.45,13.57,15.27,4.33,1.55,SECC_Eligible,12.9
2021,9.31,26.43,2.609,10.62,18.6,42.52,45.18,79.36,53.65,43.38,7.64,7.76,40.02,6.0,13.2,2.64,28.68,NotEligible,6.38
2021,1.83,232.46,5.492,9.68,23.93,89.86,16.36,84.57,12.36,76.68,73.38,21.7,106.29,3.91,63.75,6.74,9.9,PMJAY_OtherEligible,65.95
2024,1.43,208.51,4.079,6.15,5.97,56.33,51.58,26.12,30.65,38.8,62.67,8.1,127.9,21.78,85.32,2.8,12.98,PMJAY_OtherEligible,39.87
2022,5.38,246.47,4.3,5.24,22.35,84.66,45.64,42.6,70.63,92.18,62.3,31.97,232.37,1.34,5.91,9.36,8.8,Unknown,37.02
2017,6.12,315.58,3.825,9.6,28.49,72.77,32.98,20.88,24.95,14.66,35.15,12.6,186.23,21.61,58.48,2.43,12.38,SECC_Eligible,57.31
2017,5.89,22.52,0.347,14.89,18.16,25.86,35.63,17.49,42.13,69.06,38.17,1.61,48.73,6.4,11.7,11.09,12.11,NotEligible,78.34
2023,1.21,84.52,3.952,8.23,10.09,78.89,11.58,21.63,84.15,51.62,16.97,19.68,64.19,12.27,72.68,10.63,26.51,PMJAY_OtherEligible,61.77
2014,6.43,144.15,0.76,4.93,6.44,49.79,45.7,62.13,14.55,42.71,26.55,4.2,80.28,0.23,9.81,6.26,16.01,SECC_Eligible,9.68
2018,5.35,250.27,1.732,13.02,21.5,38.09,6.84,14.75,45.0,96.88,28.45,16.31,162.81,3.08,6.97,11.31,5.84,PMJAY_OtherEligible,25.52
2014,7.23,183.88,1.302,17.5,28.01,93.58,15.2,17.67,88.91,92.36,9.79,22.17,30.63,18.63,63.25,8.28,26.64,Unknown,30.43
2014,6.09,238.42,3.96,9.68,15.84,20.24,30.63,26.26,88.49,55.99,7.72,20.88,134.5,4.67,4.0,6.19,13.25,Unknown,66.28
2014,7.86,169.78,0.887,15.02,10.43,93.67,82.98,52.35,30.54,22.83,65.04,30.14,28.17,9.71,15.3,9.32,12.03,NotEligible,13.0
2016,9.43,88.67,1.709,5.51,20.89,32.43,73.97,39.25,51.88,79.41,21.05,29.31,13.55,3.15,57.1,5.38,7.33,SECC_Eligible,28.85
2018,1.52,299.48,2.971,16.86,8.85,34.73,16.5,94.97,74.62,31.39,76.64,1.09,195.32,14.14,47.77,1.08,15.19,NotEligible,44.9
2024,8.4,154.67,3.187,16.01,28.64,21.28,13.55,30.89,37.35,30.39,54.01,22.87,111.24,1.2,29.67,0.15,26.49,NotEligible,79.98
2021,7.98,65.5,0.205,7.68,22.84,72.56,80.52,87.17,15.73,24.5,28.16,12.45,238.39,3.74,72.96,5.98,12.06,SECC_Eligible,70.4
2021,4.44,208.74,3.399,10.49,8.46,54.1,32.34,36.24,53.0,72.18,63.84,19.67,79.43,15.18,83.46,8.94,22.82,Unknown,58.66
2025,3.75,307.83,4.402,3.6,29.81,47.62,14.8,18.96,58.36,50.49,12.46,13.33,125.54,9.65,49.05,10.4,27.52,Unknown,34.56
2018,7.73,44.06,2.799,14.75,27.65,55.36,38.74,75.77,32.71,56.53,69.78,11.32,212.22,6.63,34.24,2.83,1.15,PMJAY_OtherEligible,61.87
2016,1.67,239.24,1.89,10.92,27.95,44.86,37.03,43.93,64.37,14.84,68.62,22.75,213.46,21.06,64.03,11.67,1.05,NotEligible,60.83
2025,4.22,91.96,0.513,12.04,27.93,76.7,39.14,94.91,38.01,15.9,58.57,16.92,207.15,23.06,41.04,11.54,3.38,PMJAY_OtherEligible,69.72
2016,8.03,38.3,2.32,8.58,7.34,49.58,28.94,49.3,72.95,63.49,37.26,32.81,229.54,13.4,56.36,2.15,25.98,NotEligible,60.6
2015,9.06,197.28,4.341,3.9,23.91,88.2,12.88,17.27,94.92,89.18,48.78,9.84,228.77,21.84,50.14,7.65,14.41,Unknown,47.58
2018,2.61,148.59,4.806,2.88,10.1,72.07,76.78,89.78,41.03,32.79,37.58,27.96,8.76,3.86,32.79,8.59,11.59,PMJAY_OtherEligible,10.95
2015,9.16,279.65,4.545,5.95,17.02,44.4,62.01,79.31,34.71,93.78,13.45,13.49,145.23,1.89,31.18,5.32,5.53,SECC_Eligible,43.72
2016,0.86,144.66,2.623,3.38,17.28,33.5,70.4,39.3,65.58,66.87,52.98,11.67,92.12,17.57,46.7,2.28,11.78,SECC_Eligible,15.98
2014,1.77,49.27,0.845,11.91,5.61,82.27,41.18,72.33,48.51,31.71,94.03,23.8,144.87,7.27,29.88,2.72,24.72,PMJAY_OtherEligible,25.2
2022,7.27,88.95,1.492,6.12,10.55,55.29,38.39,83.59,37.98,85.59,28.41,2.9,32.74,12.67,76.12,11.87,29.53,Unknown,16.84
2022,1.34,101.71,5.626,2.57,26.82,67.75,33.2,85.19,25.02,30.1,69.86,16.41,188.94,4.53,4.08,6.07,12.13,PMJAY_OtherEligible,42.49
2023,5.39,190.65,2.109,7.98,6.83,57.45,41.0,78.16,44.92,42.73,59.22,10.65,130.8,16.26,14.69,3.96,19.57,SECC_Eligible,57.96
2020,4.75,216.71,4.504,5.84,21.33,24.15,68.22,18.48,52.64,41.77,60.1,12.78,32.34,19.26,73.88,5.14,15.58,NotEligible,32.91
2016,6.24,85.77,4.219,16.96,26.11,88.19,24.61,41.79,71.29,83.72,19.67,19.48,42.3,6.92,50.34,10.8,8.17,NotEligible,66.42
2023,4.75,311.6,0.971,17.54,5.06,84.6,21.64,87.06,85.64,65.68,69.26,28.59,228.9,3.06,87.62,10.73,6.62,NotEligible,7.67
2020,8.87,273.98,2.81,15.11,12.87,79.31,18.89,91.44,36.36,89.15,48.64,18.9,68.46,1.21,75.96,5.21,23.32,Unknown,29.12
2018,8.01,34.59,0.494,6.67,28.54,57.15,69.33,24.13,59.77,95.79,21.68,32.59,80.49,1.15,18.91,1.13,1.74,NotEligible,35.2
2021,8.93,349.03,1.819,2.52,11.88,67.94,55.28,59.79,49.54,49.48,43.4,13.73,160.95,14.39,37.59,11.45,4.89,PMJAY_OtherEligible,43.59
2015,6.65,140.35,2.885,2.53,19.31,22.59,36.15,72.98,52.62,75.61,94.66,6.56,190.77,14.69,42.52,4.0,4.76,PMJAY_OtherEligible,44.09
2017,4.13,195.95,0.639,17.96,15.09,94.4,32.74,74.06,27.94,98.42,61.09,22.82,184.91,3.01,64.13,11.66,3.81,PMJAY_OtherEligible,58.26
2025,6.06,50.02,5.708,12.37,12.89,56.96,73.36,31.58,64.53,23.18,75.77,4.18,11.79,20.69,6.84,9.92,25.0,NotEligible,56.96
2017,9.66,130.0,3.965,16.72,15.07,49.52,36.94,60.86,62.79,37.86,13.08,24.44,123.59,24.97,15.87,10.46,26.07,Unknown,32.51
2016,2.38,326.48,3.112,15.08,15.07,34.25,43.72,72.61,11.98,73.86,54.03,17.75,78.94,23.09,83.65,8.1,2.15,NotEligible,8.38
2024,1.07,310.88,4.899,6.83,17.12,90.77,17.49,29.68,27.37,10.24,55.12,17.21,102.13,5.65,86.41,5.92,1.54,PMJAY_OtherEligible,7.96
2020,2.58,255.55,1.34,6.93,17.14,63.46,48.16,71.59,33.24,24.31,94.48,10.78,14.79,23.35,22.76,0.98,3.68,Unknown,59.46
2015,3.04,92.24,2.633,9.12,13.91,62.23,59.02,22.11,57.82,75.56,13.97,19.83,163.06,9.61,55.0,4.11,29.64,Unknown,58.23
2015,2.44,265.12,2.45,4.81,18.85,35.83,79.34,49.87,61.31,36.61,43.44,20.37,35.96,10.72,22.3,4.48,5.58,Unknown,15.94
2020,9.02,272.96,4.261,14.64,25.33,50.04,81.94,66.39,69.15,42.34,13.49,27.81,210.7,1.35,79.71,1.05,20.7,Unknown,65.53
2024,6.28,161.04,4.331,9.56,13.0,33.87,29.13,42.71,89.01,82.37,92.52,21.26,152.76,23.01,84.25,0.7,0.56,PMJAY_OtherEligible,0.38
2021,7.44,110.2,0.794,13.17,22.6,79.03,7.25,34.95,61.45,44.19,14.38,15.12,248.01,11.12,25.73,11.85,18.94,SECC_Eligible,39.97
2016,5.27,178.24,4.007,4.92,11.08,85.67,21.38,30.03,70.38,21.43,39.55,17.32,40.57,13.16,44.13,0.21,25.7,NotEligible,17.11
2014,8.29,74.07,1.871,4.64,19.31,79.62,46.51,77.06,57.49,28.13,26.82,20.24,108.49,5.24,21.46,0.07,22.82,NotEligible,41.9
2023,5.17,218.88,3.522,8.12,22.39,31.93,65.73,29.43,35.86,31.74,35.66,24.97,75.79,0.41,78.26,1.49,17.56,NotEligible,13.7
2019,8.6,120.85,5.386,6.73,6.47,65.63,60.78,61.79,16.97,33.77,31.53,14.35,204.42,17.72,55.88,8.54,26.37,NotEligible,76.12
2020,7.19,28.9,0.158,6.0,5.06,23.0,28.44,66.53,10.9,42.14,32.92,12.0,196.18,13.5,2.17,2.8,3.48,Unknown,69.69
2015,8.84,207.1,5.481,15.14,21.04,42.72,41.39,16.69,68.73,53.32,9.62,12.16,78.18,8.95,55.53,6.97,6.84,SECC_Eligible,44.25
2015,5.21,243.88,4.962,6.29,18.61,40.62,53.09,91.57,12.81,65.26,30.43,31.47,158.1,23.65,49.01,3.96,5.8,PMJAY_OtherEligible,8.32
2016,8.79,265.58,3.989,10.37,6.89,49.6,32.39,90.79,57.73,73.78,52.76,24.79,197.28,19.44,79.66,3.94,12.1,NotEligible,37.68
2017,0.17,228.95,0.31,5.21,16.36,94.49,79.87,57.76,76.52,65.42,63.09,6.61,214.9,13.28,23.14,0.58,29.22,SECC_Eligible,19.26
2021,2.98,122.43,4.982,3.56,21.62,71.25,11.9,23.38,21.05,32.94,62.98,17.92,26.23,15.84,86.38,0.24,3.83,SECC_Eligible,54.45
2022,3.97,343.47,0.577,15.18,26.9,31.61,81.33,94.94,30.67,63.72,37.22,16.74,232.58,24.33,50.12,0.78,22.41,PMJAY_OtherEligible,10.18
2018,1.48,217.91,5.945,16.97,27.31,40.26,63.05,10.66,51.67,14.24,50.77,6.33,22.57,17.83,42.66,10.62,12.65,PMJAY_OtherEligible,65.79
2015,3.98,104.78,3.405,16.7,10.72,81.37,6.36,41.28,37.4,31.84,64.6,32.03,29.13,16.37,51.29,5.91,20.16,NotEligible,2.66
2021,6.51,179.8,1.457,8.87,11.16,56.03,44.17,24.53,15.74,58.18,52.35,24.24,78.87,9.73,79.35,4.46,3.75,NotEligible,6.84
2021,3.35,183.43,4.681,6.58,22.43,34.25,44.0,17.8,65.85,27.7,24.04,19.49,116.1,13.8,71.89,11.37,4.41,PMJAY_OtherEligible,58.65
2023,0.48,184.35,1.216,16.43,16.92,80.15,28.03,94.64,55.52,34.81,91.23,24.1,18.66,14.22,0.17,11.12,3.18,SECC_Eligible,58.21
2022,5.12,244.18,1.807,13.69,9.12,72.87,33.87,37.94,96.39,23.12,18.93,34.94,11.67,20.53,66.44,8.16,9.27,NotEligible,2.9
