soc_policy_policy_effective_date,soc_policy_policy_change_id,soc_policy_eligibility_rule_area,soc_policy_income_threshold_pct_fpl,soc_policy_asset_limit_inr,soc_policy_work_requirement_flag,soc_policy_time_limit_months,soc_policy_sanction_rate_pct,soc_policy_exemption_category_code,soc_policy_expected_caseload_change_pct,soc_policy_observed_caseload_change_pct,soc_policy_expected_spending_change_inr,soc_policy_observed_spending_change_inr,soc_policy_application_volume_change_pct,soc_policy_approval_rate_change_pct,soc_policy_benefit_level_change_inr,soc_policy_disparity_impact_score,soc_policy_administrative_cost_change_inr,soc_policy_stakeholder_comment_count,soc_policy_implementation_status_code
2022-08-20,POL839639,Age,165.0,151116,1,30,10.53,Tribal,9.61,-2.76,-134932893,1847039351,-22.1,2.25,1199,0.591,7362586,629,Retired
2023-11-24,POL386559,Occupation,218.1,234227,1,36,16.74,None,10.0,37.98,1063815136,665591451,45.05,16.79,1695,-0.633,50380140,691,Retired
2023-02-23,POL352138,Age,82.1,17308,1,43,10.4,Tribal,-23.6,28.08,1341125510,-387488172,-11.8,-2.64,-1108,-0.203,89502621,617,RolledOut
2019-04-09,POL360443,Residence,191.0,109686,0,3,8.23,ST,2.23,-8.37,2064928481,357495647,-29.13,-0.61,3337,-0.091,72798828,203,RolledOut
2020-04-24,POL246075,Age,166.0,376778,1,39,8.08,Migrant,30.28,19.77,1933986295,-337193896,-11.13,11.74,-755,-0.821,7605211,971,Retired
2022-03-17,POL891444,Residence,140.3,17674,0,17,15.37,OBC,2.72,-29.86,2308272734,113893524,-20.84,2.9,3491,-0.42,58400885,394,Draft
2019-09-13,POL982719,Disability,101.1,60379,1,42,12.1,OBC,9.85,9.95,1628479903,559597507,-7.76,20.53,433,-0.421,7993377,964,Retired
2024-09-03,POL843558,Landholding,45.5,232410,1,29,1.33,ST,-2.37,38.88,939083817,59420219,51.92,11.12,1164,0.714,36355206,1070,Paused
2022-04-29,POL139371,HouseholdSize,209.2,383094,0,56,16.8,OBC,-18.7,16.37,734464136,934976471,27.3,3.73,2416,-0.788,-4541311,790,Draft
2023-03-21,POL950046,Residence,62.6,376127,0,6,12.22,SingleParent,-5.59,38.18,929587545,-588079817,19.24,17.34,2132,-0.527,11756117,976,RolledOut
2023-01-11,POL832432,HouseholdSize,119.2,103008,1,15,2.79,EWS,-19.89,-24.33,406945274,-489844503,47.84,4.52,1895,-0.092,88952445,186,Paused
2020-03-20,POL161138,Occupation,144.2,245504,1,43,8.45,SC,9.71,10.03,-78002499,2308307564,50.38,-6.52,901,-0.723,30062387,321,RolledOut
2023-06-18,POL118113,Occupation,109.2,386004,1,12,4.51,OBC,33.91,21.32,268675138,2352215524,56.54,-14.58,1379,-0.595,61616157,671,Retired
2022-11-20,POL325199,Assets,179.1,251872,1,15,10.64,ST,-3.24,-27.51,1578820916,856996604,48.31,-4.23,-1107,0.91,28217590,504,RolledOut
2024-05-14,POL536604,Age,109.0,88627,0,38,10.01,Tribal,26.51,34.98,-262685949,3134937309,42.72,8.56,-528,0.737,-19806122,1063,RolledOut
2020-01-31,POL416929,CasteCategory,148.4,277457,1,30,17.46,None,-22.43,-10.76,673626233,437928944,-31.95,24.18,2897,-0.744,51969029,1145,Notified
2022-04-22,POL677342,Disability,60.0,204494,1,8,0.99,Senior,5.3,34.86,28837539,2240392246,17.94,13.55,2534,-0.456,26105262,195,Piloting
2025-02-23,POL724435,HouseholdSize,131.2,197511,0,19,8.11,Migrant,14.27,-9.02,1565967227,1083406679,2.26,7.85,521,0.74,8757382,1144,RolledOut
2020-06-11,POL529943,Age,162.4,195351,0,38,3.29,OBC,-5.85,43.61,504278988,699224179,-29.04,-10.89,3254,-0.298,1524608,1028,Piloting
2024-08-18,POL440922,Occupation,221.0,45011,0,3,0.4,Tribal,-19.1,36.56,1072000206,495660746,-26.38,11.81,3337,-0.116,33466600,331,Draft
2020-02-29,POL608234,Disability,78.1,315774,1,57,14.01,None,-11.93,34.22,2007796124,273382032,5.72,3.53,1665,-0.635,78734986,99,Revised
2018-03-07,POL193632,Disability,111.1,138782,0,23,13.64,OBC,-20.8,21.56,1084499646,1918230806,54.83,13.25,4379,0.094,17519954,458,Notified
2017-04-24,POL122829,Occupation,94.5,73901,0,27,16.82,SingleParent,28.29,0.11,395633918,-487294175,8.17,-3.55,99,-0.71,42194999,1155,Paused
2021-06-21,POL814456,Residence,72.1,176343,1,39,10.59,Tribal,-24.73,4.35,1290591561,2837731165,38.43,1.52,268,0.048,-14352941,24,Retired
2020-10-13,POL238800,Residence,121.0,257218,1,12,4.6,EWS,-20.84,14.04,2424240021,366895183,-14.83,3.67,-1444,0.837,59454985,1158,RolledOut
2019-04-18,POL984279,Age,230.8,221377,0,33,6.53,OBC,22.74,-9.95,1206434333,1228375023,-12.57,-3.71,-601,-0.046,66111324,279,Draft
2024-11-22,POL597966,Income,118.3,327639,0,59,10.88,Tribal,-7.02,-10.77,534102337,884756176,45.07,6.04,3408,0.643,21519910,1180,Paused
2024-08-04,POL574728,Assets,97.2,337325,0,57,11.32,EWS,-3.11,6.4,1810558677,3005746145,-7.42,-7.56,2276,0.148,28337949,663,Draft
2022-09-14,POL844937,Income,241.2,248235,1,22,0.77,Senior,-6.6,9.67,1358498162,39829378,26.67,-16.56,-359,-0.266,-12374072,408,Paused
2023-12-29,POL286465,HouseholdSize,190.2,220683,0,59,16.39,SC,28.44,29.81,2401735284,787781935,-34.76,-11.97,2564,0.884,81260114,783,Retired
2022-05-22,POL593581,Income,117.6,226692,0,6,16.67,SingleParent,30.72,25.87,-27433456,1914552776,-32.34,2.24,-519,0.994,40605173,1024,Piloting
2022-11-10,POL519829,CasteCategory,197.4,157242,0,53,14.37,Tribal,30.73,16.89,2463906458,473706432,10.11,-16.98,940,-0.349,-4634492,395,Piloting
2019-01-13,POL549533,Income,174.1,187708,0,24,4.5,SC,-6.56,19.07,1595213758,1469637996,21.02,-2.6,4488,0.978,61842717,412,Draft
2017-02-28,POL931444,Landholding,219.5,210685,0,18,6.27,OBC,-12.98,35.37,1341433035,-497748185,-27.52,10.41,398,0.968,65643230,814,Notified
2022-06-01,POL989362,CasteCategory,63.3,320348,0,5,12.64,SingleParent,24.68,-25.64,1782462303,2828209156,39.83,3.05,2575,-0.362,2145436,121,Draft
2018-01-18,POL465249,Income,153.4,298346,1,37,5.5,Senior,25.94,12.8,-47000475,2586248275,-28.79,4.91,-1464,-0.089,29882210,831,RolledOut
2018-08-22,POL450841,Assets,187.4,78232,0,4,6.98,PwD,-3.74,-25.46,268743146,-127983433,27.6,12.6,297,-0.918,28768499,517,RolledOut
2021-09-19,POL341681,Assets,249.5,391131,0,43,12.03,EWS,9.68,-21.75,-143351536,2170483332,29.05,-14.56,334,-0.968,20994827,334,Paused
2020-02-06,POL446931,Residence,166.4,386139,1,2,0.61,None,-1.56,5.67,977154747,-367457753,6.72,-8.13,3528,-0.684,75126994,962,Paused
2020-07-30,POL488867,Residence,69.5,111688,1,31,2.48,PwD,-24.1,-0.62,1038802957,2905944422,8.92,-0.99,-477,-0.463,57780694,742,Draft
2022-04-24,POL166618,CasteCategory,244.0,399541,0,27,0.65,SC,-0.36,25.04,2206775914,-144053574,-34.78,-7.93,433,0.783,77200489,29,Retired
2024-09-11,POL308621,Residence,136.3,210043,0,59,4.78,ST,28.7,31.4,827314558,763695615,15.74,-0.25,-522,-0.345,38292627,1148,Notified
2017-05-31,POL804861,Income,142.5,90694,0,27,8.66,EWS,26.48,29.25,1657376477,2658813606,-6.29,20.21,1359,0.434,69031399,529,Revised
2019-07-08,POL744716,HouseholdSize,93.2,288199,1,18,15.19,SingleParent,-18.77,13.48,711846849,186144293,-13.45,-14.85,132,0.893,6049604,3,Retired
2019-10-31,POL160947,Income,210.9,19182,1,44,3.22,SC,-6.58,-29.55,1893607068,2926646651,-24.75,-6.74,-431,0.053,10752276,723,Piloting
2019-03-28,POL903034,Disability,151.2,275054,0,52,6.42,Tribal,-20.57,-28.25,-150434953,1935147576,23.28,19.03,1089,0.679,34299375,415,Revised
2017-10-21,POL222539,Income,244.5,334001,1,32,0.17,Tribal,-7.12,-15.74,-188586306,1204108588,46.31,5.42,1337,-0.169,34027607,978,RolledOut
2019-06-07,POL245872,Occupation,149.0,140219,0,45,8.34,SC,-7.14,-9.88,466882483,-134514164,-23.13,23.65,354,-0.49,-15217196,818,Paused
2018-06-28,POL151081,CasteCategory,77.9,133850,1,51,0.46,PwD,-21.81,4.57,2486809021,1895556478,34.25,-12.24,4301,0.545,44423303,299,RolledOut
2024-12-24,POL240062,Residence,201.8,108969,0,27,5.8,EWS,28.71,-1.5,1102133378,1637190985,10.61,14.01,-626,0.287,-18284827,1058,Draft
2020-03-14,POL273145,Age,71.0,162998,0,52,14.96,ST,25.39,-18.66,1454383287,1004769199,-34.05,17.76,2783,0.322,1230312,131,Notified
2020-02-17,POL902777,Income,99.5,229375,0,48,16.85,Senior,30.71,-22.77,-205667487,933381881,11.49,23.13,1664,-0.34,14551629,418,Notified
2023-04-18,POL495002,Disability,237.3,304824,1,10,6.61,None,19.66,-28.38,669277005,1638825201,45.35,-12.9,808,-0.007,72154477,243,Notified
2022-06-03,POL275207,Income,245.0,354647,0,25,5.09,Senior,20.6,-24.82,2293071376,962615188,55.99,4.11,2545,-0.22,1553967,276,Paused
2019-06-07,POL137798,Income,203.1,219424,0,2,13.65,Migrant,22.23,-29.95,1209359191,1996165799,9.35,-1.86,-578,0.807,22980905,734,Revised
2019-09-17,POL322029,Landholding,83.4,189996,1,46,12.56,SingleParent,15.51,-27.58,-328359090,1057360742,7.73,7.27,4081,0.863,51101165,962,Draft
2017-03-08,POL470297,Landholding,195.8,149873,0,42,6.81,None,-14.44,3.55,2050349096,3122955313,-2.35,-16.42,3499,-0.774,-3540414,741,Draft
2018-12-30,POL496274,Assets,164.8,238139,0,2,16.3,Migrant,-14.34,20.67,-180786698,1505378886,0.97,1.32,2964,0.417,-11862246,40,Piloting
2020-08-17,POL532948,Disability,133.8,57947,0,0,8.17,Migrant,5.02,1.4,1355794944,-64995642,10.23,-18.7,4250,-0.475,-19227750,431,Draft
2020-11-15,POL280066,HouseholdSize,133.7,186782,0,36,16.85,Senior,16.44,-10.31,-44778971,3078689014,-27.44,-6.07,4144,0.43,85890868,682,Retired
2019-01-04,POL199717,Disability,135.1,203516,1,23,15.91,Migrant,-23.22,16.16,2116883037,3145284643,26.56,16.97,-288,-0.489,-15650674,620,Notified
2024-11-16,POL536030,Age,107.7,251717,0,2,17.07,EWS,7.78,17.43,2419687010,3173314606,-1.11,1.02,3819,-0.11,51779885,583,Revised
2024-01-27,POL149622,Disability,153.0,27408,0,3,1.96,Tribal,28.23,23.33,276689432,561233422,27.76,18.31,3247,-0.18,-19535168,447,RolledOut
2020-12-25,POL902017,Occupation,47.7,171872,0,51,4.81,SingleParent,-17.44,-8.68,2043240580,704380734,25.1,-17.38,1103,0.633,70931001,155,Piloting
2024-06-20,POL382954,Income,218.2,304708,1,27,6.68,EWS,-6.22,41.73,2218422358,-576523224,49.19,11.5,1688,-0.296,53664260,108,Draft
2019-11-06,POL687863,Age,228.4,313616,1,45,13.38,SC,34.21,-17.1,1777903724,2773513279,-8.28,-17.3,1872,0.827,87778162,8,RolledOut
2023-02-05,POL685480,Residence,122.1,217283,0,26,5.29,EWS,-5.27,42.26,1829018450,2097178705,53.88,-13.01,1608,-0.792,82975414,107,Piloting
2024-03-01,POL134534,CasteCategory,239.2,348756,1,55,3.73,PwD,-23.28,17.48,1604184427,470083222,27.63,16.16,1047,-0.53,86174008,907,Notified
2022-07-27,POL646428,Age,203.0,301907,1,50,6.19,ST,16.02,-9.58,-290502113,109294045,24.06,-19.11,2235,-0.528,-11560512,609,Revised
2019-11-04,POL667591,Age,218.1,318918,0,54,5.6,Senior,33.96,-15.06,567008076,2781828128,17.72,-2.87,3441,-0.489,44391755,992,Draft
