soc_access_service_date,soc_access_state_ut_code,soc_access_district_lgd_code,soc_access_benefit_delivery_method,soc_access_dbt_transaction_id_hash,soc_access_bank_ifsc_code,soc_access_upi_success_rate_pct,soc_access_aeps_transactions_count,soc_access_eload_card_spend_inr,soc_access_authorized_retailer_density,soc_access_caseworker_caseload_avg,soc_access_appointment_no_show_rate,soc_access_document_verification_time_days,soc_access_language_service_request_count,soc_access_disability_accommodation_count,soc_access_office_distance_km_avg,soc_access_mobile_office_visits_count,soc_access_website_uptime_pct,soc_access_client_satisfaction_score,soc_access_service_gap_index
2024-04-28,AP,526829,InKind,27112a98a74a47d18f6fef2f,HDFC0970388,96.46,4956,197601.75,6.834,57.7,7.22,11,99,41,11.43,54,92.33,2.29,0.508
2022-06-16,HP,370035,Cash,93ee9ff21d094f048801af93,HDFC0829304,82.59,1622,67393.08,5.442,247.6,1.56,23,236,73,7.01,29,94.92,4.47,0.51
2023-01-11,CH,163007,InKind,b16b6d0b932d463abd25883a,CBIN0214121,94.15,4643,260103.55,5.353,170.4,8.47,0,118,19,2.48,41,97.83,4.71,0.167
2023-04-30,MZ,496881,DBT,21c419b6620c4a2db696cee6,IDIB0246306,90.52,4642,418223.68,3.749,134.7,1.15,2,36,20,17.52,44,94.95,3.19,0.813
2024-03-18,MZ,349974,Voucher,bd9b96e63ad84cb7b8ed6cc3,HDFC0589642,83.35,2092,52159.7,0.676,270.0,8.03,9,200,46,32.38,55,95.83,1.86,0.715
2021-02-06,MN,866109,InKind,15afdf81d08b473fbddd3e61,HDFC0192141,94.33,3976,70383.49,7.493,141.6,21.29,25,234,55,1.62,12,96.0,1.88,0.849
2019-01-18,JH,875075,Mixed,9af51f73adf94ed6962dcf15,CBIN0967903,90.64,4661,255079.22,0.215,218.4,12.23,11,72,23,21.48,54,99.26,2.74,0.816
2020-04-09,UP,391616,Voucher,ee793aa6657445b8954e7c16,SBIN0674220,97.4,4258,152998.52,3.766,129.9,4.6,22,55,43,29.28,36,99.01,3.32,0.785
2025-10-05,AP,289448,Cash,cf5d3f43eef740dca05f8cbb,CBIN0159556,85.73,1943,403002.28,2.817,297.0,6.58,6,88,40,13.41,49,92.51,3.14,0.78
2020-07-23,TN,361694,Cash,e0eb077ac2144f3fb4336ebf,HDFC0499136,82.04,3332,320743.75,5.843,363.8,12.56,18,85,53,21.5,15,97.54,3.56,0.944
2020-09-29,LA,461686,Mixed,72429bb031224c4888895a70,CBIN0299771,84.34,2962,66189.51,5.545,66.5,0.42,20,48,50,15.64,7,96.34,2.6,0.605
2025-01-02,DL,701790,DBT,95c5c62468814cd9802cad46,PUNB0541405,86.83,2068,391823.27,4.748,350.6,19.79,14,8,16,2.48,5,94.84,2.45,0.828
2020-08-25,MH,237043,InKind,ee3ca79012964c0d9686c77c,BKID0322322,93.68,3197,289031.42,0.653,362.9,12.72,2,46,9,17.76,23,95.94,4.82,0.801
2022-04-02,DN,999707,DBT,17d744cfbf4e4d0fa6fe5807,CBIN0848615,88.49,4670,222135.45,1.853,406.5,10.83,27,74,21,3.3,33,99.04,2.67,0.27
2021-08-05,HP,730233,DBT,ec507d387f294113b5e52a0d,BARB0748988,84.12,130,115445.9,0.797,353.7,15.76,9,47,10,24.04,17,98.18,4.73,0.566
2023-08-18,HP,217951,Mixed,6a0e34810b4f448ab52a21c6,HDFC0915919,99.57,4507,292369.77,7.344,247.7,4.41,21,49,43,10.99,16,96.54,3.57,0.73
2023-03-01,MP,383266,DBT,dc241543da1a4e2b974dfa97,UTIB0278161,83.94,1840,404318.63,1.046,62.0,0.48,31,235,40,28.13,48,93.4,2.02,0.103
2022-08-09,AP,730953,Mixed,bf32414bbe2e4140a80953d6,BARB0446852,88.36,4142,17314.32,7.257,63.7,13.53,4,54,0,20.63,44,96.95,3.64,0.531
2022-07-06,JH,553515,Voucher,44a1a0eee86e4427b046ecc1,PUNB0824919,97.69,539,168817.5,0.934,110.7,3.52,30,205,65,32.74,38,95.98,4.86,0.003
2024-11-02,DN,574259,Voucher,e0afae2d22004e74920cd42f,BARB0436461,93.68,4455,421046.78,6.481,207.1,0.27,16,143,57,25.87,39,95.58,4.4,0.24
2023-01-26,WB,137330,Voucher,cab0b0a845ce4abdbe641f1e,YESB0441179,87.72,2240,172309.25,4.352,402.8,20.44,22,109,37,25.42,50,99.55,2.74,0.486
2022-07-24,KL,469555,DBT,6ec01f8f51aa4b589c108aec,IDIB0987433,99.37,4583,16141.64,6.255,102.5,17.35,3,195,12,10.8,13,99.94,2.1,0.307
2025-03-19,KL,653067,DBT,af21e46e1511497a856e59d9,PUNB0793776,90.97,2138,45649.86,4.792,242.4,2.51,22,4,12,15.58,56,99.61,3.23,0.771
2019-08-27,MP,774872,InKind,345da0b0f6b245128dca414a,BKID0874734,82.15,3731,310842.02,5.789,419.3,19.72,17,186,74,26.15,51,97.91,2.11,0.637
2024-11-01,CG,502258,Voucher,00dfc71363e1446ab0fa6811,PUNB0466275,82.11,2980,315054.23,5.508,40.3,1.49,8,104,18,25.33,20,96.79,2.72,0.268
2020-05-21,GA,599352,InKind,5fef49905cfd4659abf61a25,ICIC0627326,98.84,1001,51770.27,2.025,53.1,17.67,23,207,68,24.29,20,94.56,4.65,0.017
2021-04-28,PY,299809,DBT,7504a48a0c284f5a93eedaa8,CBIN0505497,87.03,1246,98647.2,7.019,138.9,9.12,29,240,53,0.48,11,99.58,3.83,0.255
2019-02-03,TR,818029,Voucher,559cdc1457aa40d3a499e204,UTIB0505263,96.54,2692,253742.82,4.863,121.7,11.4,17,182,49,0.8,42,95.64,4.23,0.519
2023-01-01,TR,728112,Voucher,189e945d946942e39cd21df2,BARB0214929,82.78,2433,308939.84,1.595,227.0,14.7,28,28,66,2.55,18,93.61,3.48,0.762
2024-10-27,KA,769467,Cash,8ba78249836e4f5ba68671ad,CBIN0857918,84.63,3079,70555.61,2.365,196.9,2.17,15,244,71,1.3,16,92.89,2.32,0.603
2021-09-03,DN,701179,Cash,94a4ffd5c21d4c45a639ce32,UTIB0451487,97.34,4034,205372.05,4.045,259.7,19.97,37,189,21,27.1,40,98.69,2.27,0.056
2023-08-23,GJ,986606,Voucher,12530ea54b3f4606b4730b07,SBIN0623641,99.79,3866,252915.84,6.626,91.6,3.16,12,4,78,19.23,11,94.63,4.17,0.467
2021-10-01,LD,891853,Voucher,7820ee2368b5476aa5e986b0,PUNB0871363,82.93,293,22366.59,5.996,299.0,20.71,35,47,10,17.77,6,98.13,3.13,0.96
2024-04-25,OD,829778,InKind,6c3aa8fb95df4214bf60ac8d,IDIB0796128,85.0,2475,100690.42,2.335,117.7,2.01,17,246,61,3.18,51,97.02,3.35,0.904
2025-12-28,KL,401723,DBT,6132b48f3e4a4b4f88df7802,ICIC0278413,94.94,741,413503.08,5.195,209.0,3.78,25,209,30,27.16,2,94.27,2.35,0.742
2024-01-03,WB,160119,Mixed,d571256d3d8c4dd9a5ddfd15,PUNB0656659,91.48,2564,395991.7,0.112,47.8,1.27,3,102,50,3.43,55,98.81,2.92,0.284
2021-05-20,ML,100663,DBT,74380b6405b54ba1beebd069,SBIN0546157,89.27,2679,145117.4,2.562,342.2,8.75,3,239,66,7.92,41,98.76,2.21,0.022
2024-10-09,JH,801620,Cash,6e78c4a847494d54a00407dd,SBIN0334136,85.48,4977,390589.69,6.313,276.4,13.0,44,119,35,28.7,21,93.37,2.43,0.456
2019-04-08,TR,909131,Mixed,8e7a4de2256d45668cf7bd17,UTIB0136772,98.92,1941,284648.4,1.219,115.4,13.75,0,216,6,24.3,33,92.97,4.56,0.374
2025-11-28,UP,684732,Cash,8bacf88441d04cb191aa8177,ICIC0666811,85.08,2261,441729.98,2.715,266.7,18.23,24,144,65,3.42,18,96.8,4.02,0.676
2024-11-16,SK,749003,Mixed,82724ee7964941e991fad84e,IDIB0801868,86.75,2557,434798.53,0.108,203.2,11.62,20,165,10,2.77,24,93.87,4.44,0.071
2023-07-29,MZ,180811,Cash,59bd18f307b449258737d479,UTIB0947545,87.8,650,277622.01,0.271,353.1,11.22,28,2,56,14.35,42,94.66,4.51,0.923
2023-05-07,KL,608934,Voucher,53ffabf03e0242dbbb74ba0c,PUNB0419485,84.48,299,210527.74,1.181,413.7,7.18,0,242,35,21.2,54,99.49,3.63,0.736
2020-10-07,MN,644939,Cash,47a5bad1369a40e0847f7387,YESB0459295,91.6,3548,64026.36,0.854,82.9,14.32,8,45,37,8.79,13,93.4,2.74,0.971
2022-01-07,DL,240966,InKind,6593007d032f4202a529a9a1,BKID0246704,88.11,1503,238657.81,3.724,223.7,19.99,15,53,20,20.56,32,95.76,3.33,0.865
2019-09-17,MP,775722,Mixed,dbc82844ca8e447fbf490f3d,UTIB0986153,92.88,1812,179234.4,6.76,134.3,7.82,41,111,40,12.71,51,94.36,1.86,0.43
2021-05-16,LD,401759,Cash,aa1da300c5d945e2a34c8f68,ICIC0864627,88.58,4961,290523.1,0.726,323.6,7.84,15,188,14,20.68,0,94.78,4.33,0.662
2023-02-16,GA,277474,Cash,386a8ba087934566beb2f253,PUNB0961842,84.08,1242,40270.89,6.537,48.3,7.55,25,192,18,25.45,0,94.96,4.29,0.846
2021-07-15,GA,726378,Voucher,f21739b958e54a9ea4671c5b,PUNB0545811,97.62,4520,375712.99,5.044,244.7,5.0,25,156,37,29.54,36,94.08,3.38,0.204
2024-05-24,KL,491420,Mixed,38b34c8ba03c4776a30ddffa,UTIB0288803,91.12,3142,435201.52,1.35,365.0,12.47,18,217,63,7.02,8,98.11,2.97,0.01
2024-12-21,AP,582411,Mixed,5566d3fa005e4fd0add8d2d2,YESB0615865,87.76,1325,94213.22,2.244,184.9,2.32,37,173,41,3.16,59,98.49,2.34,0.308
2022-12-06,DL,588237,InKind,cde4760cc9a948a68defe4f1,BARB0434882,82.29,4771,284752.64,1.537,357.6,18.37,32,36,70,4.32,7,96.32,2.03,0.437
2021-05-21,MP,660359,InKind,1ec434ee6cfc459781c15fba,BKID0413077,92.7,3111,360872.29,5.941,91.6,3.03,19,195,21,5.96,44,99.19,2.81,0.625
2021-02-15,BR,471837,InKind,c1c796f6df7542ec9033e639,ICIC0174127,96.01,1564,249484.18,5.466,388.6,3.83,13,65,1,11.49,19,93.09,4.71,0.263
2022-10-29,TN,833181,InKind,f4ca02d04de54741a5efd4d5,YESB0165834,93.64,2256,420946.61,2.353,339.7,1.51,12,129,24,1.2,55,96.05,2.01,0.442
2024-01-15,LD,888403,InKind,c167bce1eae74818b3a7697f,YESB0440918,96.1,1861,230339.96,0.502,185.6,8.39,42,151,8,29.17,51,98.63,4.74,0.649
2019-11-20,PY,535394,Cash,c17309c5595d408e83f6de4a,SBIN0933577,84.77,4227,121746.33,1.349,85.3,16.67,5,98,41,29.75,47,96.97,3.44,0.824
2022-02-19,BR,252012,DBT,73fd28f620da4f9e94dac585,BKID0750720,99.39,2327,212220.09,4.761,235.4,20.02,7,90,79,25.02,38,99.88,3.17,0.227
2022-01-31,AN,351010,Cash,57adbbe4474443ba9901b773,BARB0784501,85.78,184,219539.81,0.769,293.1,9.55,11,66,39,12.61,12,96.77,2.18,0.8
2021-01-02,MH,794399,Mixed,687c88612ce549cb981b1d95,HDFC0310861,86.78,3439,114170.16,4.07,84.6,5.17,37,74,14,24.79,6,99.68,2.02,0.939
2020-08-30,DN,330969,Cash,a9716a16c8024c9ea3e73a66,BARB0761075,91.17,3784,354128.76,4.636,394.3,15.96,30,246,46,20.2,15,92.79,3.49,0.41
2024-11-20,SK,800281,DBT,95e61fc620db4ca69b7ae263,BARB0465686,82.09,1979,277985.98,5.189,328.6,15.14,43,95,58,23.25,4,92.34,3.66,0.552
2022-01-10,UK,695916,InKind,f4aace95a86448d68a78db15,CBIN0153451,89.92,4609,166665.81,1.028,401.4,15.0,32,118,69,3.26,47,94.85,3.15,0.01
2023-01-14,DN,503226,InKind,64531d033d0547158a5ebbad,BARB0455331,85.5,2125,189745.3,3.502,150.2,9.76,22,175,38,30.64,17,98.73,2.69,0.71
2019-04-08,JK,213814,Cash,7b94c989d5f14906871a229b,PUNB0218128,95.41,1320,167265.5,3.529,201.9,12.44,1,62,33,12.33,26,92.4,1.84,0.872
2020-12-25,GA,585529,InKind,381e9bc07f254956820c955b,IDIB0868328,95.56,3504,201554.34,6.281,127.4,1.36,39,49,41,9.57,37,94.02,2.63,0.02
2020-07-25,UK,723509,InKind,ca074351043049e0834d4cc3,IDIB0856263,93.02,638,237642.55,3.569,140.4,5.5,30,52,17,13.8,42,99.88,4.02,0.844
2021-04-20,GA,238206,Voucher,796c7d4901fb46d98bd532e0,CBIN0358721,89.55,4925,148917.14,3.11,90.9,20.39,3,15,8,8.81,35,97.13,3.68,0.149
2024-11-22,LA,842472,DBT,05998ac0fbe4409985d00ab5,HDFC0650729,87.55,3416,368170.55,1.014,83.2,0.92,43,112,61,34.8,44,95.14,2.29,0.842
2023-01-01,TN,275641,Mixed,c95494536e39403da748054a,IDIB0427383,96.81,1582,417765.21,5.239,293.3,6.64,27,0,11,22.69,6,92.62,4.26,0.542
2025-04-25,GJ,471322,InKind,1fa5d9402091425bae5c441c,IDIB0238803,91.08,408,235260.13,4.686,95.4,4.99,27,94,55,31.4,16,98.04,2.26,0.37
2021-12-17,KA,578497,Mixed,567d905a2bab438fb2b43e36,ICIC0684465,90.89,2926,320113.26,5.405,86.4,2.87,16,131,46,33.3,45,99.4,4.27,0.941
2024-05-22,JK,765118,DBT,0db09796f7db48b28a15b727,PUNB0784095,84.03,2932,418742.63,4.956,240.8,20.34,14,64,37,20.43,43,97.93,3.39,0.612
2020-02-15,TS,302212,InKind,fe380761decc416795fd4d50,UTIB0797249,85.91,3972,86372.78,6.577,306.0,2.77,16,62,30,28.06,37,92.93,4.02,0.039
2024-09-15,HP,402267,InKind,c3ef5f6a1bb74ea7a6a46b08,UTIB0234298,88.45,1417,85375.14,6.592,334.5,10.77,2,150,78,31.7,56,96.25,2.06,0.766
2023-04-10,CH,825818,Cash,697851139e194ad6b14f43f1,BARB0561320,94.51,1060,32674.96,2.377,258.4,18.47,20,140,63,5.42,58,95.22,4.1,0.182
2019-04-10,UP,396635,DBT,a78e583f1d9a4c8098a281c3,BARB0121509,97.13,2063,198946.35,1.45,112.6,0.09,2,197,13,9.57,5,99.23,4.04,0.923
2023-10-29,AS,654595,InKind,593db9e2a7ee4759b9ca5fbb,PUNB0181152,99.77,4091,149016.36,6.956,255.7,2.39,26,220,77,14.18,33,98.1,2.34,0.166
2022-05-10,KA,458032,Mixed,98ec7c68a5ee4120830acf3b,YESB0172945,89.65,4540,252240.32,5.376,275.9,7.52,9,62,10,21.87,54,98.42,2.23,0.488
2019-01-01,DN,150920,Mixed,e8443eeda5dc4fe3bbc26197,IDIB0151471,90.11,1774,202980.91,7.285,134.4,3.25,27,73,64,26.94,19,95.31,4.12,0.523
2024-12-05,MP,563025,Cash,4fe6e1d97c094f36b0073cc9,CBIN0400392,95.71,238,85587.26,3.777,90.6,4.02,16,131,34,12.21,3,92.2,3.09,0.564
2022-10-04,AR,422088,DBT,3eb6e181065c4d3a92a9182d,HDFC0421911,87.75,555,176031.14,7.221,391.4,13.01,12,45,32,29.53,7,98.08,3.81,0.533
2023-04-01,SK,338455,InKind,5f19c708fa9f4791881ee850,SBIN0728082,91.68,2722,13003.58,1.008,71.9,3.75,6,182,40,22.97,43,97.07,1.83,0.439
2023-01-15,JK,872582,Mixed,0de40e2a5a3349b0b2a08d05,YESB0396891,94.12,124,241823.14,4.469,141.7,14.05,17,0,38,13.15,55,93.13,2.37,0.713
2019-08-20,RJ,796827,Mixed,b9d96743bb7d4c70b06affc4,PUNB0226356,86.23,3619,121977.07,3.776,124.1,20.14,3,91,10,23.89,42,98.05,4.11,0.156
2021-04-29,PY,349699,Mixed,02675fe3949048fe99b3151b,PUNB0952187,87.0,165,50561.48,0.12,378.4,5.05,11,245,12,29.85,2,93.19,2.42,0.787
2023-11-30,CG,571477,Mixed,00430067ab134f9697ff8537,BARB0887927,88.38,2118,29635.59,1.527,228.3,4.67,20,183,58,11.89,24,97.92,2.05,0.037
2021-05-16,TR,747745,Voucher,15b75647147f480ab03be7f7,BKID0211803,92.34,3988,321502.01,1.236,403.3,0.25,28,129,55,13.67,20,97.71,2.34,0.842
2025-03-21,TS,147937,Voucher,5ead73c36dbd464bb121125f,SBIN0426500,86.84,2339,111303.23,0.55,353.9,0.32,20,0,31,24.28,54,92.06,4.38,0.75
2021-03-23,PY,184420,Voucher,661aa673fdd2439eac285359,IDIB0251276,85.73,3374,296458.64,7.116,325.6,8.73,4,200,35,15.16,31,98.2,2.87,0.795
2022-03-21,OD,585950,Voucher,bf5301f7b41141a0b5106266,SBIN0963199,84.68,1669,366978.83,7.244,103.1,10.76,32,111,30,6.38,14,95.26,3.44,0.297
2022-02-12,CH,937479,InKind,f395976257f047278a2603c5,HDFC0420379,96.49,3967,224993.59,6.699,167.6,4.02,19,214,68,29.92,34,96.05,3.59,0.85
2019-02-18,GA,934732,Voucher,d9dd8feda9c141f98d056dfa,BKID0188305,97.86,2133,59873.69,7.418,350.8,7.11,28,195,5,7.21,44,99.72,2.96,0.691
2024-09-07,AR,504410,InKind,6acd8dea16ea4294b85c4274,HDFC0754158,98.19,3764,276546.54,6.247,413.7,3.09,44,248,52,8.77,34,99.36,2.09,0.969
2019-12-13,UP,733614,Voucher,0f278f25afa94117868cd1b4,SBIN0740545,96.71,4760,32223.38,6.998,373.0,14.99,2,29,24,30.4,25,95.06,2.6,0.02
2022-04-14,AP,542408,InKind,5ad7549ebc18416b85df87de,BARB0316930,84.46,1904,367714.59,1.562,400.1,8.64,44,214,13,22.54,43,97.68,2.29,0.791
2025-05-10,DL,914203,Cash,e56de0bed0154a32b98cf842,CBIN0389315,83.75,1159,342693.1,2.001,282.1,16.16,42,177,12,15.22,18,96.1,4.62,0.623
2025-12-15,AP,612846,DBT,1dfc75d9389e4374b7ea780a,IDIB0473516,90.94,4665,180937.52,6.479,220.9,12.11,23,73,32,13.49,7,98.58,4.09,0.989
2020-08-11,TR,902171,Mixed,385463b35afc4729be490d69,BKID0340929,91.33,3404,121092.87,3.648,233.2,8.3,1,211,11,6.58,51,94.56,4.35,0.443
2021-08-19,MZ,427088,Voucher,c82d9810cb8a47b194538f62,YESB0359998,95.12,4389,319299.5,5.406,211.5,13.78,11,141,54,2.56,43,95.77,4.32,0.28
2022-12-17,TS,937967,DBT,1ce94adbd1bd4ccf84279587,BARB0821430,85.99,1891,255244.41,4.258,94.6,0.16,10,164,26,31.85,43,92.9,1.81,0.88
2023-11-24,TN,752756,Cash,1d6b6e66c6404056835a30b7,IDIB0776664,98.66,1741,65291.47,2.362,152.7,15.19,26,240,68,1.76,53,99.41,4.12,0.326
2020-10-01,ML,790904,Cash,b4510d1304d840fa84e46e60,CBIN0723365,87.55,620,341634.18,2.208,69.8,8.16,31,143,11,2.35,42,99.21,3.29,0.703
2022-11-04,NL,113125,Mixed,a9eb6fc9bfb3404fbb808a9d,PUNB0718095,92.34,3864,150288.83,5.637,69.1,11.3,21,158,28,26.37,1,94.21,4.2,0.332
2024-11-03,OD,825741,Voucher,b68f4eb6650e489594cffbc4,BARB0569693,97.47,4220,402231.37,4.038,155.1,11.52,16,216,30,31.3,50,96.66,4.78,0.946
2024-05-03,TR,245983,Mixed,d5bbc56ab3c44d25a8a4207e,UTIB0415828,91.37,4098,373260.76,2.759,291.5,12.29,1,192,53,24.9,2,95.03,2.91,0.526
2024-10-03,UP,942584,Cash,be09195bfee64f18826e3d0a,HDFC0748489,95.49,1455,124115.93,4.666,271.3,15.45,42,160,23,8.62,41,93.25,3.67,0.32
2025-03-21,MZ,269938,DBT,b129bf3e483b44a082e88e55,SBIN0204730,95.41,2442,114864.18,3.208,250.4,2.43,44,226,13,9.62,59,92.36,2.74,0.822
2025-01-11,MP,843386,Voucher,ebe5c24eb8ec496eaff1c179,ICIC0226963,96.14,2465,179050.28,3.616,323.3,10.76,1,227,32,33.66,24,98.58,4.57,0.062
2022-08-01,AR,671805,InKind,18be54c48ed54f939766fcd5,BKID0213638,96.52,602,362017.43,5.117,197.7,1.83,14,153,72,24.56,18,94.31,2.59,0.094
2025-10-27,AN,453311,Voucher,d4a09f5b3e5e4406b81f9507,PUNB0759445,89.03,0,58794.33,3.489,205.2,5.15,44,24,65,29.01,55,96.12,2.89,0.837
2022-06-18,HP,901539,Cash,c9808daaa2ea408a85257f2e,BARB0632386,88.51,1670,142222.97,7.13,234.4,4.16,17,173,46,15.73,27,99.22,4.55,0.323
2023-12-20,ML,449398,InKind,95d2ed6c028f428ea4996d81,UTIB0505143,96.38,2551,296598.57,3.69,60.6,13.17,28,83,79,27.22,55,92.16,2.11,0.177
2025-08-07,PY,157275,DBT,d6822a8f89144b1ead494071,BKID0528607,92.38,4944,15070.75,7.217,259.0,13.33,23,147,61,34.33,18,96.38,3.33,0.587
2019-04-21,AN,168064,Mixed,42e9d2236a5a47dfa62e2e00,CBIN0844802,92.88,4368,25155.07,6.373,323.8,18.28,28,94,61,12.61,11,99.64,3.6,0.255
2025-07-15,MP,867211,Voucher,faa2c25a2fcd477b967c84f2,ICIC0209511,89.37,3579,342976.99,6.693,136.5,11.48,39,84,31,11.35,33,98.47,3.59,0.987
2024-10-02,NL,446032,InKind,2ecbf1c4caac4882b8b0153d,PUNB0444919,85.61,4813,235054.3,5.748,364.1,16.38,17,243,39,1.69,22,93.75,2.17,0.821
2025-12-24,KL,837561,Voucher,d0a55f55d5e1474480ee61e8,HDFC0784148,90.18,3873,250921.05,4.573,137.5,19.56,35,62,75,25.85,42,93.61,1.92,0.889
2024-05-29,TN,118043,Mixed,bfa2883d0727475f8f39b637,CBIN0692054,99.36,2631,111988.79,4.042,232.6,2.94,20,40,74,8.58,17,98.1,3.09,0.834
