trans_mar_reference_month,trans_mar_port_code,trans_mar_country_iso2,trans_mar_ship_type_code,trans_mar_gross_tonnage_total,trans_mar_cargo_tonnes_total,trans_mar_container_teu_total,trans_mar_passengers_count,trans_mar_vessel_calls_count,trans_mar_port_dwell_time_hours_median,trans_mar_congestion_index,trans_mar_fuel_type_code,trans_mar_sulphur_cap_compliance_flag,trans_mar_ghg_intensity_index,trans_mar_shore_power_available_flag,trans_mar_eu_mrv_reporting_flag,trans_mar_accident_incidents_count,trans_mar_customs_clearance_time_hours_median,trans_mar_data_source,trans_mar_data_extract_date
2016-11,SKPORT011,SK,FERRY,104844460.6,147885395.2,1084247,3040973,18989,33.06,1.7117,LNG,1,1.8552,1,1,32,60.16,EU_MRV_DATABASE,2024-04-17
2016-12,BEPORT012,BE,GENERAL_CARGO,55318085.6,72332122.53,3597841,1248244,9423,76.06,2.2607,MGO,1,0.9508,0,1,24,70.26,CUSTOMS_ADMIN_DATA,2025-10-17
2017-01,DKPORT013,DK,CRUISE,119219078.95,68478002.99,3188483,1879262,18486,85.77,0.3047,VLSFO,1,2.0878,1,1,39,33.77,EMSA_PORT_STAT,2024-11-09
2017-02,GRPORT014,GR,RORO,14328132.68,256479228.5,2707606,1769476,26609,11.19,0.8961,HFO_SCRUBBER,1,1.8834,0,0,22,4.39,PORT_AUTHORITY_REPORT,2025-05-12
2017-03,LTPORT015,LT,TANKER,53305494.49,238386804.01,2249040,1484150,21628,75.64,0.7012,AMMONIA_PILOT,1,1.9407,0,1,38,42.41,EU_MRV_DATABASE,2024-08-28
2017-04,PTPORT016,PT,BULK_CARRIER,89591342.13,68991382.18,1109673,2225190,20173,67.99,2.6349,METHANOL,1,0.9197,0,1,37,80.09,CUSTOMS_ADMIN_DATA,2025-07-09
2017-05,SEPORT017,SE,CONTAINER,22606759.64,63721001.23,5973878,855712,16434,19.11,1.9735,LNG,1,1.019,0,1,19,57.71,EMSA_PORT_STAT,2024-08-01
2017-06,CYPORT018,CY,OFFSHORE_SUPPORT,68423589.36,179131387.12,2390337,72791,25596,7.07,0.7457,MGO,1,1.6139,0,1,47,35.27,PORT_AUTHORITY_REPORT,2025-01-03
2017-07,FRPORT019,FR,FERRY,31539797.57,831783.89,3653980,1238520,12527,18.15,0.8789,VLSFO,1,0.9102,0,1,13,11.54,EU_MRV_DATABASE,2025-11-09
2017-08,ITPORT020,IT,GENERAL_CARGO,45013726.23,210622459.95,1670192,1174682,10436,37.5,1.758,HFO_SCRUBBER,1,2.4367,0,1,9,35.7,CUSTOMS_ADMIN_DATA,2024-07-03
2017-09,NLPORT021,NL,CRUISE,13828689.9,93108811.19,3625935,14776168,15699,29.09,1.482,AMMONIA_PILOT,0,1.3778,1,1,25,0.85,EMSA_PORT_STAT,2025-04-19
2017-10,SIPORT022,SI,RORO,7928595.29,188811605.58,2933189,2210830,13691,71.65,0.2739,METHANOL,1,0.4635,0,1,12,28.0,PORT_AUTHORITY_REPORT,2024-04-17
2017-11,BGPORT023,BG,TANKER,9902903.3,229636038.82,3068684,105100,7169,15.15,0.6444,LNG,1,0.9316,1,1,11,57.23,EU_MRV_DATABASE,2026-01-04
2017-12,EEPORT024,EE,BULK_CARRIER,58750541.53,233821243.54,3613053,953274,24600,38.89,1.8474,MGO,1,0.4725,0,1,11,30.4,CUSTOMS_ADMIN_DATA,2024-04-25
2018-01,HUPORT025,HU,CONTAINER,56666981.01,120837204.33,2328624,1079920,11484,18.77,2.3077,VLSFO,1,1.1644,1,1,26,39.3,EMSA_PORT_STAT,2024-05-01
2018-02,LUPORT026,LU,OFFSHORE_SUPPORT,82934037.34,143160459.44,1892923,316911,23500,23.09,2.7209,HFO_SCRUBBER,1,1.2898,1,1,56,68.35,PORT_AUTHORITY_REPORT,2024-01-25
2018-03,ROPORT027,RO,FERRY,34522902.96,146445007.99,438331,12375678,28649,82.77,1.7417,AMMONIA_PILOT,1,0.5235,1,0,11,39.17,EU_MRV_DATABASE,2026-02-10
2018-04,ATPORT028,AT,GENERAL_CARGO,64796410.39,131323221.18,2542293,162809,15047,23.9,2.0191,METHANOL,1,1.145,1,1,18,42.76,CUSTOMS_ADMIN_DATA,2024-08-12
2018-05,CZPORT029,CZ,CRUISE,55532274.52,275642925.26,3048480,9132592,5171,45.56,0.365,LNG,1,0.7537,1,1,6,4.11,EMSA_PORT_STAT,2025-02-18
2018-06,DEPORT030,DE,RORO,37277198.87,243959943.8,2710002,2235882,12113,56.66,1.6699,MGO,1,1.6719,1,1,22,32.4,PORT_AUTHORITY_REPORT,2024-05-18
2018-07,LVPORT031,LV,TANKER,27416278.19,131519854.36,2903468,6059,16688,32.84,1.654,VLSFO,0,0.8413,1,1,43,65.36,EU_MRV_DATABASE,2024-07-04
2018-08,PLPORT032,PL,BULK_CARRIER,47489087.2,167482473.42,1625934,166934,763,11.97,0.2505,HFO_SCRUBBER,0,1.461,1,1,28,37.58,CUSTOMS_ADMIN_DATA,2024-04-02
2018-09,ESPORT033,ES,CONTAINER,1338125.87,174963070.4,5039385,594936,13302,80.75,1.5243,AMMONIA_PILOT,1,2.0061,1,1,37,28.51,EMSA_PORT_STAT,2024-06-13
2018-10,HRPORT034,HR,OFFSHORE_SUPPORT,44297508.75,249351325.13,1029714,1642889,9951,78.34,1.2427,METHANOL,1,0.4312,0,0,19,25.44,PORT_AUTHORITY_REPORT,2024-06-17
2018-11,FIPORT035,FI,FERRY,72589644.85,41642534.73,3316905,1667450,4237,51.82,1.7286,LNG,1,0.9301,0,1,13,33.5,EU_MRV_DATABASE,2026-02-07
2018-12,IEPORT036,IE,GENERAL_CARGO,37805894.15,96982543.37,1032424,1647416,293,5.04,2.7436,MGO,0,1.9985,0,0,17,32.0,CUSTOMS_ADMIN_DATA,2025-11-11
2019-01,MTPORT037,MT,CRUISE,72232921.52,93102763.11,1528613,7889981,278,6.78,1.9522,VLSFO,0,2.4894,1,1,39,30.25,EMSA_PORT_STAT,2024-08-16
2019-02,SKPORT038,SK,RORO,23738639.93,52803031.62,2966733,4897028,19305,93.03,2.737,HFO_SCRUBBER,1,1.1531,1,1,20,12.42,PORT_AUTHORITY_REPORT,2025-08-17
2019-03,BEPORT039,BE,TANKER,26232229.05,39456.26,3460525,1954700,4361,38.07,2.594,AMMONIA_PILOT,1,0.3382,0,1,43,60.34,EU_MRV_DATABASE,2025-07-06
2019-04,DKPORT040,DK,BULK_CARRIER,48907218.56,44036266.78,1406169,943162,13632,29.29,2.2086,METHANOL,1,1.5433,0,0,37,17.05,CUSTOMS_ADMIN_DATA,2025-04-07
2019-05,GRPORT041,GR,CONTAINER,36728136.19,285297671.31,2170979,1530709,8017,40.89,1.6407,LNG,1,1.0822,0,1,26,74.62,EMSA_PORT_STAT,2025-04-25
2019-06,LTPORT042,LT,OFFSHORE_SUPPORT,15118182.57,188759360.93,2323772,1572917,25698,70.25,2.5212,MGO,1,1.97,1,0,44,58.13,PORT_AUTHORITY_REPORT,2025-09-06
2019-07,PTPORT043,PT,FERRY,63475487.45,249996711.16,2026575,1636552,3843,12.05,1.7119,VLSFO,1,1.5562,0,1,40,1.05,EU_MRV_DATABASE,2024-11-10
2019-08,SEPORT044,SE,GENERAL_CARGO,64096391.59,238421737.61,605371,405013,23338,39.97,2.3278,HFO_SCRUBBER,1,1.9217,1,0,27,10.51,CUSTOMS_ADMIN_DATA,2025-04-08
2019-09,CYPORT045,CY,CRUISE,29676132.21,290162409.93,3528513,12238395,19468,74.19,0.5726,AMMONIA_PILOT,1,1.891,1,1,22,19.67,EMSA_PORT_STAT,2026-02-24
2019-10,FRPORT046,FR,RORO,8171730.6,13929197.06,2324905,4860675,11791,67.85,2.5803,METHANOL,1,0.6283,1,1,5,32.38,PORT_AUTHORITY_REPORT,2025-10-07
2019-11,ITPORT047,IT,TANKER,24315685.46,4369782.11,3649264,922247,736,10.8,0.2776,LNG,1,1.0275,0,1,37,54.94,EU_MRV_DATABASE,2025-03-16
2019-12,NLPORT048,NL,BULK_CARRIER,2885092.11,71873499.37,343967,5252,704,66.19,0.7536,MGO,0,1.0166,0,0,18,4.05,CUSTOMS_ADMIN_DATA,2024-08-26
2020-01,SIPORT049,SI,CONTAINER,97959399.45,98840345.81,8310883,2185716,14761,11.96,1.5668,VLSFO,1,0.5917,1,1,16,21.18,EMSA_PORT_STAT,2025-11-24
2020-02,BGPORT050,BG,OFFSHORE_SUPPORT,35198338.77,349140628.0,1505806,1973447,15830,70.57,0.7968,HFO_SCRUBBER,0,0.5877,1,1,3,26.98,PORT_AUTHORITY_REPORT,2024-02-28
2020-03,EEPORT051,EE,FERRY,6192460.17,104382302.74,3308560,1888356,11745,36.2,2.3285,AMMONIA_PILOT,1,0.944,0,1,3,0.73,EU_MRV_DATABASE,2025-03-28
2020-04,HUPORT052,HU,GENERAL_CARGO,9792581.41,33867815.3,3613961,905559,23006,38.49,0.432,METHANOL,1,1.8253,0,1,38,13.23,CUSTOMS_ADMIN_DATA,2025-10-31
2020-05,LUPORT053,LU,CRUISE,95906961.88,47496162.8,947192,2567302,15656,16.82,0.792,LNG,0,1.815,0,1,32,36.86,EMSA_PORT_STAT,2025-04-25
2020-06,ROPORT054,RO,RORO,14510705.31,258843671.45,3746171,3245875,9675,14.58,1.9319,MGO,0,1.7255,0,0,1,7.9,PORT_AUTHORITY_REPORT,2024-05-25
2020-07,ATPORT055,AT,TANKER,13799407.55,97010468.08,3701005,409887,2864,47.52,1.845,VLSFO,0,0.4921,0,1,4,39.41,EU_MRV_DATABASE,2024-04-27
2020-08,CZPORT056,CZ,BULK_CARRIER,53461084.29,151081536.38,1822812,1281008,22518,63.21,2.5929,HFO_SCRUBBER,1,1.5942,1,0,19,14.35,CUSTOMS_ADMIN_DATA,2025-04-30
2020-09,DEPORT057,DE,CONTAINER,50813578.87,219157803.32,9757368,1748056,28627,31.68,2.0047,AMMONIA_PILOT,1,0.3912,0,0,18,46.38,EMSA_PORT_STAT,2024-08-08
2020-10,LVPORT058,LV,OFFSHORE_SUPPORT,58448925.39,93669316.79,3240879,359260,4290,54.72,2.7784,METHANOL,1,1.3504,1,1,48,80.3,PORT_AUTHORITY_REPORT,2024-10-02
2020-11,PLPORT059,PL,FERRY,44204634.32,211807918.97,3575797,12612953,2260,26.27,2.2355,LNG,1,1.7419,0,1,6,39.06,EU_MRV_DATABASE,2024-02-26
2020-12,ESPORT060,ES,GENERAL_CARGO,47423768.57,233210932.51,2807341,1547175,8199,69.07,2.3496,MGO,1,2.1899,1,1,27,59.54,CUSTOMS_ADMIN_DATA,2026-02-15
2021-01,HRPORT061,HR,CRUISE,55728668.87,59653590.53,2567968,747939,10631,5.77,1.0724,VLSFO,1,0.6221,1,1,4,17.74,EMSA_PORT_STAT,2025-05-23
2021-02,FIPORT062,FI,RORO,37092778.83,63039210.12,2331493,9980599,18191,65.72,1.4148,HFO_SCRUBBER,1,0.8761,1,0,3,22.91,PORT_AUTHORITY_REPORT,2025-11-18
2021-03,IEPORT063,IE,TANKER,111821847.68,231695824.13,127701,2256239,10063,69.71,1.5456,AMMONIA_PILOT,1,0.6753,0,1,15,70.79,EU_MRV_DATABASE,2024-02-10
2021-04,MTPORT064,MT,BULK_CARRIER,18542173.98,315092283.74,1126194,1487447,10612,19.7,0.2961,METHANOL,1,1.1023,1,1,14,33.34,CUSTOMS_ADMIN_DATA,2025-02-10
2021-05,SKPORT065,SK,CONTAINER,28000802.28,7664261.89,8508872,740554,9035,50.72,0.3522,LNG,0,0.8437,0,1,15,36.61,EMSA_PORT_STAT,2025-07-29
2021-06,BEPORT066,BE,OFFSHORE_SUPPORT,65578271.28,66696736.91,1569297,644333,29555,73.9,2.3546,MGO,0,1.2049,0,1,51,10.61,PORT_AUTHORITY_REPORT,2024-02-12
2021-07,DKPORT067,DK,FERRY,13890322.05,254977158.44,1623222,10037356,10654,59.47,0.9511,VLSFO,1,1.3496,1,1,36,27.04,EU_MRV_DATABASE,2025-08-01
2021-08,GRPORT068,GR,GENERAL_CARGO,79778347.63,58160604.48,95331,3756,10553,77.93,0.3431,HFO_SCRUBBER,1,1.7483,0,1,16,31.07,CUSTOMS_ADMIN_DATA,2024-04-22
2021-09,LTPORT069,LT,CRUISE,22265816.5,65556100.84,3649052,8816899,20000,49.46,1.3495,AMMONIA_PILOT,1,1.5836,1,0,19,10.89,EMSA_PORT_STAT,2024-07-08
2021-10,PTPORT070,PT,RORO,22640330.81,223813117.33,808553,11811043,1378,16.36,1.8031,METHANOL,1,0.5365,0,1,13,71.49,PORT_AUTHORITY_REPORT,2024-12-01
2021-11,SEPORT071,SE,TANKER,32563150.46,164889342.26,1054389,1990509,11551,64.59,2.147,LNG,0,0.688,1,0,65,83.96,EU_MRV_DATABASE,2024-09-20
2021-12,CYPORT072,CY,BULK_CARRIER,113180390.75,75457956.34,2466826,680808,12973,77.2,0.9371,MGO,1,1.2464,1,1,26,58.18,CUSTOMS_ADMIN_DATA,2025-04-29
2022-01,FRPORT073,FR,CONTAINER,40037319.94,109321040.38,5253841,111476,23208,63.0,1.9579,VLSFO,1,1.9762,0,1,40,78.48,EMSA_PORT_STAT,2024-07-02
2022-02,ITPORT074,IT,OFFSHORE_SUPPORT,75833458.5,155886280.71,1540238,2389499,8985,73.86,0.9874,HFO_SCRUBBER,1,1.1724,1,0,22,44.83,PORT_AUTHORITY_REPORT,2024-08-22
2022-03,NLPORT075,NL,FERRY,52416662.18,145127126.38,14169,13210525,5489,63.45,1.0726,AMMONIA_PILOT,0,1.7301,1,0,30,24.29,EU_MRV_DATABASE,2024-08-29
2022-04,SIPORT076,SI,GENERAL_CARGO,29969358.76,337896299.47,2666964,2244874,28406,24.16,1.9606,METHANOL,1,0.9832,1,1,9,9.59,CUSTOMS_ADMIN_DATA,2024-12-06
2022-05,BGPORT077,BG,CRUISE,15956367.06,60485389.31,685927,4957208,7894,7.93,2.5489,LNG,1,1.4003,1,1,9,84.12,EMSA_PORT_STAT,2024-02-03
2022-06,EEPORT078,EE,RORO,31449993.31,244892657.15,640941,5136447,26298,88.58,0.9357,MGO,1,2.3711,1,1,42,52.18,PORT_AUTHORITY_REPORT,2025-01-24
2022-07,HUPORT079,HU,TANKER,71372970.2,51270165.63,1329848,1383941,24576,61.44,2.4655,VLSFO,1,0.7655,1,1,54,40.78,EU_MRV_DATABASE,2024-03-13
2022-08,LUPORT080,LU,BULK_CARRIER,65716190.53,71283171.18,51120,1694619,995,36.13,2.4465,HFO_SCRUBBER,1,1.9223,0,1,13,79.99,CUSTOMS_ADMIN_DATA,2025-10-04
2022-09,ROPORT081,RO,CONTAINER,48115996.75,320807558.08,12747614,237876,22222,57.18,0.5811,AMMONIA_PILOT,1,0.4339,0,1,13,55.4,EMSA_PORT_STAT,2025-12-26
2022-10,ATPORT082,AT,OFFSHORE_SUPPORT,23610787.08,114107457.08,2583576,166946,21238,28.42,1.7883,METHANOL,1,1.4642,0,1,62,19.49,PORT_AUTHORITY_REPORT,2025-05-29
2022-11,CZPORT083,CZ,FERRY,33252410.96,3359421.48,2888757,6054633,20374,72.6,2.567,LNG,1,1.0908,0,1,4,50.43,EU_MRV_DATABASE,2024-08-23
2022-12,DEPORT084,DE,GENERAL_CARGO,43337890.83,109554715.9,1977635,2062874,16777,29.21,0.5477,MGO,1,2.2042,0,1,27,48.35,CUSTOMS_ADMIN_DATA,2024-06-25
2023-01,LVPORT085,LV,CRUISE,89943095.03,271414419.6,3300028,1441487,16351,39.1,0.4619,VLSFO,0,1.1799,0,0,39,1.58,EMSA_PORT_STAT,2025-04-05
2023-02,PLPORT086,PL,RORO,31764000.97,237439557.68,3437411,460519,10137,71.52,2.7215,HFO_SCRUBBER,1,2.1833,0,1,13,5.53,PORT_AUTHORITY_REPORT,2025-07-08
2023-03,ESPORT087,ES,TANKER,54372579.35,22160847.07,3307388,2133863,11618,4.82,2.6624,AMMONIA_PILOT,1,1.6435,1,1,33,40.27,EU_MRV_DATABASE,2025-09-20
2023-04,HRPORT088,HR,BULK_CARRIER,14725642.74,236380229.29,3508887,511777,5596,13.69,1.0529,METHANOL,1,1.6629,0,1,30,1.24,CUSTOMS_ADMIN_DATA,2024-09-07
2023-05,FIPORT089,FI,CONTAINER,102626981.08,155363383.95,209500,1504834,29347,35.55,0.6539,LNG,1,1.7763,0,1,12,59.13,EMSA_PORT_STAT,2024-10-04
2023-06,IEPORT090,IE,OFFSHORE_SUPPORT,19596280.03,98407198.92,2928071,2190309,10133,46.12,1.4312,MGO,0,2.5002,0,1,58,35.71,PORT_AUTHORITY_REPORT,2025-06-04
2023-07,MTPORT091,MT,FERRY,65828035.05,130881216.21,3759015,13634738,15648,14.46,2.4316,VLSFO,1,2.5151,0,1,43,18.74,EU_MRV_DATABASE,2025-07-25
2023-08,SKPORT092,SK,GENERAL_CARGO,41529166.92,272207456.78,1236787,1107692,11983,49.63,1.0216,HFO_SCRUBBER,1,0.9681,1,1,2,5.79,CUSTOMS_ADMIN_DATA,2025-01-27
2023-09,BEPORT093,BE,CRUISE,4943215.25,103903433.67,3147088,5863949,5008,65.09,2.7933,AMMONIA_PILOT,1,1.9867,0,1,7,11.83,EMSA_PORT_STAT,2025-06-05
2023-10,DKPORT094,DK,RORO,113293289.13,111054195.36,2512371,14124384,1865,55.91,1.3002,METHANOL,1,2.0138,1,1,7,37.38,PORT_AUTHORITY_REPORT,2024-07-22
2023-11,GRPORT095,GR,TANKER,111416939.51,157650851.04,2642497,1748188,19293,17.15,2.1395,LNG,1,0.8691,1,1,39,74.02,EU_MRV_DATABASE,2024-09-14
2023-12,LTPORT096,LT,BULK_CARRIER,73369406.95,82497912.02,2407537,702996,14506,43.46,0.1163,MGO,1,2.1494,1,1,31,8.22,CUSTOMS_ADMIN_DATA,2024-08-21
2024-01,PTPORT097,PT,CONTAINER,61078414.43,255349771.08,11058561,1532493,10951,21.02,0.1568,VLSFO,1,0.9994,0,1,31,3.18,EMSA_PORT_STAT,2025-02-27
2024-02,SEPORT098,SE,OFFSHORE_SUPPORT,22110726.83,219777932.8,452230,589530,11626,37.98,1.1603,HFO_SCRUBBER,0,1.4944,0,1,8,29.26,PORT_AUTHORITY_REPORT,2024-04-21
2024-03,CYPORT099,CY,FERRY,57554626.86,146830258.39,1835954,9211676,21774,81.99,0.4856,AMMONIA_PILOT,0,0.8281,0,1,0,22.92,EU_MRV_DATABASE,2025-07-20
2024-04,FRPORT100,FR,GENERAL_CARGO,42416490.33,170476742.47,3318540,1783592,31678,54.33,2.675,METHANOL,1,1.4469,0,1,31,62.49,CUSTOMS_ADMIN_DATA,2025-02-24
2024-05,ITPORT101,IT,CRUISE,14000186.72,227555156.26,1588548,9560494,157,16.31,1.2003,LNG,1,1.9245,1,1,33,50.71,EMSA_PORT_STAT,2025-06-17
2024-06,NLPORT102,NL,RORO,35071871.82,168155212.28,1786121,12563620,15452,39.52,1.6114,MGO,1,0.4572,0,1,2,1.78,PORT_AUTHORITY_REPORT,2024-06-11
2024-07,SIPORT103,SI,TANKER,81228252.53,181784093.12,1949679,472567,18696,44.57,0.7533,VLSFO,1,1.851,0,1,0,28.26,EU_MRV_DATABASE,2025-03-31
2024-08,BGPORT104,BG,BULK_CARRIER,49463434.14,14136326.51,315035,893143,17290,78.66,0.6563,HFO_SCRUBBER,1,1.1828,0,0,1,39.07,CUSTOMS_ADMIN_DATA,2024-12-24
2024-09,EEPORT105,EE,CONTAINER,46268858.8,75136489.6,7564034,404448,8461,6.57,0.8816,AMMONIA_PILOT,1,1.385,1,0,7,44.69,EMSA_PORT_STAT,2026-01-06
2024-10,HUPORT106,HU,OFFSHORE_SUPPORT,72142440.04,124876948.59,1561326,1504547,535,42.27,1.3407,METHANOL,1,0.5247,1,1,34,49.14,PORT_AUTHORITY_REPORT,2024-03-02
2024-11,LUPORT107,LU,FERRY,105253811.31,6280735.82,1552379,14876748,15888,15.86,2.5613,LNG,0,1.6347,1,1,39,42.53,EU_MRV_DATABASE,2024-09-03
2024-12,ROPORT108,RO,GENERAL_CARGO,76546228.1,154994329.2,275212,169675,5550,17.81,0.7818,MGO,0,1.0815,0,1,18,14.42,CUSTOMS_ADMIN_DATA,2026-01-25
2025-01,ATPORT109,AT,CRUISE,72135765.09,90875788.48,1374756,2443221,10643,49.25,0.7066,VLSFO,1,0.4479,1,1,2,31.6,EMSA_PORT_STAT,2024-12-19
2025-02,CZPORT110,CZ,RORO,20598386.81,281876574.11,1163910,10476776,19240,84.07,2.139,HFO_SCRUBBER,1,0.9023,0,1,28,6.4,PORT_AUTHORITY_REPORT,2024-09-07
2025-03,DEPORT111,DE,TANKER,69126860.46,7898424.61,2118969,615857,10261,46.47,1.7854,AMMONIA_PILOT,1,0.3977,0,1,48,25.01,EU_MRV_DATABASE,2024-11-05
2025-04,LVPORT112,LV,BULK_CARRIER,61481478.22,38646024.91,2862437,1898099,26679,45.75,2.5413,METHANOL,1,1.2445,1,1,25,74.53,CUSTOMS_ADMIN_DATA,2024-10-22
2025-05,PLPORT113,PL,CONTAINER,68798050.73,185404235.01,6996958,1267720,13023,70.76,2.4608,LNG,0,0.9361,0,1,30,10.46,EMSA_PORT_STAT,2024-04-02
2025-06,ESPORT114,ES,OFFSHORE_SUPPORT,16707953.39,174008082.31,1751550,207495,18971,17.0,1.5674,MGO,1,0.6923,1,1,4,79.69,PORT_AUTHORITY_REPORT,2025-09-20
2025-07,HRPORT115,HR,FERRY,79323611.49,34912803.19,3285321,1392059,18408,48.82,2.0068,VLSFO,1,0.9469,1,1,32,75.45,EU_MRV_DATABASE,2025-01-11
2025-08,FIPORT116,FI,GENERAL_CARGO,3241554.82,8788576.75,3452953,714458,23420,58.79,0.8016,HFO_SCRUBBER,1,2.3492,0,1,27,22.69,CUSTOMS_ADMIN_DATA,2025-12-05
2025-09,IEPORT117,IE,CRUISE,14233299.2,104952429.78,2691859,1253593,18030,31.42,2.0544,AMMONIA_PILOT,1,1.7738,1,1,19,69.22,EMSA_PORT_STAT,2025-10-03
2025-10,MTPORT118,MT,RORO,75649445.95,131026607.22,2122909,7652229,5823,20.01,2.4132,METHANOL,0,0.7392,0,0,31,8.35,PORT_AUTHORITY_REPORT,2024-12-19
2025-11,SKPORT119,SK,TANKER,7509602.22,219102368.86,2304214,2276216,4238,40.38,2.076,LNG,1,1.4872,1,0,23,82.85,EU_MRV_DATABASE,2024-10-14
2025-12,BEPORT120,BE,BULK_CARRIER,78321193.6,345819923.7,3614216,546356,12691,34.71,0.6978,MGO,1,1.6095,0,0,21,34.79,CUSTOMS_ADMIN_DATA,2025-01-17
2026-01,DKPORT121,DK,CONTAINER,78587531.0,183939438.36,3266307,1291177,4338,49.07,0.3886,VLSFO,1,0.6386,1,1,42,27.09,EMSA_PORT_STAT,2025-11-02
2026-02,GRPORT122,GR,OFFSHORE_SUPPORT,30683628.91,10741590.44,1671412,1715984,12095,30.11,2.0426,HFO_SCRUBBER,1,0.5096,1,1,13,59.2,PORT_AUTHORITY_REPORT,2025-09-25
2026-03,LTPORT123,LT,FERRY,58751934.21,8382306.34,486829,14483302,4274,47.73,1.2993,AMMONIA_PILOT,1,1.9045,1,0,9,36.23,EU_MRV_DATABASE,2024-03-03
2026-04,PTPORT124,PT,GENERAL_CARGO,53243720.5,164863874.33,2683092,1708674,6368,24.52,1.1415,METHANOL,0,0.9634,1,0,35,28.14,CUSTOMS_ADMIN_DATA,2024-01-27
2026-05,SEPORT125,SE,CRUISE,73874209.56,55149433.04,1959628,4170783,11759,80.99,1.7058,LNG,1,1.7996,0,1,34,67.41,EMSA_PORT_STAT,2024-06-26
2026-06,CYPORT126,CY,RORO,71827913.47,21182490.2,305046,10016424,16102,60.96,1.5458,MGO,1,2.173,1,1,18,33.93,PORT_AUTHORITY_REPORT,2025-08-07
2026-07,FRPORT127,FR,TANKER,26649369.08,47747519.07,2183792,990956,14518,50.78,0.5381,VLSFO,0,1.1667,1,1,11,36.92,EU_MRV_DATABASE,2025-06-01
2026-08,ITPORT128,IT,BULK_CARRIER,3214277.99,182421711.34,3302714,2225589,16006,31.49,1.797,HFO_SCRUBBER,1,1.8953,0,1,19,21.4,CUSTOMS_ADMIN_DATA,2024-08-20
2026-09,NLPORT129,NL,CONTAINER,88549018.42,58592819.47,9026749,2228631,12643,93.25,1.7454,AMMONIA_PILOT,1,1.0989,1,1,34,10.29,EMSA_PORT_STAT,2025-09-21
2026-10,SIPORT130,SI,OFFSHORE_SUPPORT,21121548.05,278407283.09,1030123,1330680,14508,62.8,2.3671,METHANOL,0,1.7603,1,1,10,16.81,PORT_AUTHORITY_REPORT,2024-07-23
2026-11,BGPORT131,BG,FERRY,10283627.95,28427257.69,2732011,9816439,15945,52.27,1.8051,LNG,0,0.9361,1,1,40,8.52,EU_MRV_DATABASE,2024-06-23
2026-12,EEPORT132,EE,GENERAL_CARGO,67640204.52,64913340.9,998486,359813,17432,80.27,2.4558,MGO,1,1.3391,0,1,28,40.08,CUSTOMS_ADMIN_DATA,2025-08-21
2016-01,HUPORT133,HU,CRUISE,25884203.51,17323298.17,333391,2579819,16440,53.45,1.5709,VLSFO,1,0.7325,1,1,9,27.6,EMSA_PORT_STAT,2024-12-07
