qol_cost_index_month,qol_cost_city_geo_id,qol_cost_cost_of_living_index,qol_cost_housing_cost_index,qol_cost_grocery_cost_index,qol_cost_utilities_cost_index,qol_cost_transport_cost_index,qol_cost_healthcare_cost_index,qol_cost_childcare_cost_index,qol_cost_tax_burden_estimate,qol_cost_median_wage_local,qol_cost_purchasing_power_index,qol_cost_inflation_local_estimate,qol_cost_rent_to_income_ratio_local,qol_cost_commute_cost_share_pct,qol_cost_essential_basket_usd,qol_cost_price_dispersion_score,qol_cost_low_income_adjusted_index,qol_cost_seniors_adjusted_index,qol_cost_methodology_release_tag
2020-03,CITY00000015,173.69,179.0,130.28,121.71,193.23,155.47,167.85,9.843,22566.33,82.636,13.053,14.21,18.64,1113.22,0.2845,153.92,191.32,REL_2024Q2
2020-04,CITY00000016,101.16,99.86,82.19,105.88,97.05,79.75,144.99,12.627,124126.23,1666.346,11.528,31.31,5.89,900.95,0.3024,96.06,97.24,REL_2021Q2
2020-05,CITY00000017,167.31,204.58,137.61,194.91,130.21,190.26,208.13,20.503,75908.83,364.977,3.917,46.14,17.6,1289.32,0.5326,149.58,165.22,REL_2025Q2
2020-06,CITY00000018,89.77,89.89,88.05,59.31,92.52,96.76,80.75,19.874,116161.45,1541.006,16.621,59.96,20.68,1083.52,0.7144,98.32,79.75,REL_2019Q1
2020-07,CITY00000019,125.7,141.7,127.54,150.25,93.13,102.17,149.71,24.783,48326.2,412.771,17.823,64.32,15.42,213.27,0.2625,142.42,146.54,REL_2021Q2
2020-08,CITY00000020,187.84,218.27,198.07,164.2,180.09,206.64,276.98,23.171,94283.22,381.162,3.51,61.41,21.63,353.31,0.4302,213.83,191.75,REL_2021Q2
2020-09,CITY00000021,141.57,129.21,109.33,115.56,157.3,150.52,152.43,13.632,116409.62,605.924,9.116,35.49,8.61,228.09,0.593,130.28,149.5,REL_2023Q4
2020-10,CITY00000022,171.01,205.31,143.29,167.73,186.98,149.41,174.69,9.331,54365.52,412.201,5.011,11.16,0.88,163.76,0.528,194.09,154.04,REL_2021Q1
2020-11,CITY00000023,76.62,78.49,78.33,69.48,65.7,85.25,89.46,12.088,42637.43,574.712,5.801,50.68,3.87,1335.78,0.4367,79.08,68.86,REL_2024Q4
2020-12,CITY00000024,139.46,127.64,123.01,131.67,117.63,145.93,151.45,14.213,90063.5,730.062,1.075,23.05,20.19,1241.35,0.4282,138.32,156.71,REL_2020Q4
2021-01,CITY00000025,118.39,113.19,92.83,134.27,87.27,112.12,156.06,8.682,45749.53,291.745,14.767,64.67,17.73,962.31,0.1198,106.36,121.67,REL_2022Q3
2021-02,CITY00000026,126.12,148.66,124.23,143.06,144.78,112.13,143.39,21.666,60836.78,351.368,5.241,33.27,9.37,1328.5,0.2687,109.76,148.75,REL_2020Q1
2021-03,CITY00000027,94.95,108.84,70.87,80.36,80.8,72.01,106.67,8.283,119330.92,1120.174,-0.36,30.37,15.19,1421.18,0.7065,103.43,84.24,REL_2021Q4
2021-04,CITY00000028,110.03,96.79,104.44,66.76,95.54,116.58,118.35,10.502,47021.87,532.143,11.787,18.85,3.11,620.76,0.971,100.01,122.77,REL_2019Q2
2021-05,CITY00000029,97.99,100.27,98.52,61.01,81.57,115.63,134.16,5.473,113379.7,1114.39,3.015,46.63,12.57,703.01,0.2412,102.45,100.18,REL_2019Q3
2021-06,CITY00000030,112.19,102.4,85.05,79.38,130.98,89.39,104.62,22.459,139466.24,895.936,10.323,61.09,17.59,525.53,0.8325,116.74,117.4,REL_2021Q1
2021-07,CITY00000031,173.06,193.62,184.14,107.93,115.74,182.83,232.56,8.92,110935.45,537.882,-1.201,57.47,5.08,670.24,0.0783,191.11,171.59,REL_2022Q1
2021-08,CITY00000032,124.69,154.53,107.27,129.58,120.77,137.22,159.87,8.37,127634.62,1074.415,-0.107,20.21,1.73,748.68,0.7338,117.56,119.69,REL_2019Q1
2021-09,CITY00000033,103.08,116.02,79.96,74.63,91.18,107.33,114.44,1.884,30593.33,342.167,5.012,49.03,9.68,1279.56,0.7814,111.22,117.02,REL_2025Q2
2021-10,CITY00000034,104.97,111.29,93.56,64.43,69.91,115.43,85.03,7.012,59246.79,426.342,10.725,39.42,7.45,1383.14,0.7218,96.99,112.35,REL_2025Q4
2021-11,CITY00000035,172.59,164.61,147.79,185.99,195.71,186.13,180.09,3.911,138094.99,759.013,4.474,33.69,3.61,987.69,0.4102,183.28,176.21,REL_2019Q2
2021-12,CITY00000036,105.59,108.01,92.16,104.09,105.05,87.85,139.39,8.428,110577.55,1029.57,-1.862,34.24,5.93,304.49,0.3918,92.01,102.84,REL_2020Q3
2022-01,CITY00000037,176.3,182.01,169.57,111.71,190.87,204.65,174.65,6.185,41650.62,189.671,16.995,48.87,18.54,403.09,0.5504,169.42,189.77,REL_2019Q2
2022-02,CITY00000038,186.17,225.46,166.41,207.8,187.78,203.26,213.08,5.703,73364.33,349.746,10.862,11.38,7.89,1179.47,0.1411,185.86,222.23,REL_2023Q2
2022-03,CITY00000039,185.75,162.46,188.05,150.01,122.38,148.68,269.7,4.791,104792.24,434.07,1.875,28.32,7.81,1144.25,0.284,178.07,180.08,REL_2023Q2
2022-04,CITY00000040,87.55,79.41,61.61,61.74,62.37,80.7,80.58,22.81,38256.28,359.899,-1.038,49.33,0.31,693.67,0.935,79.01,91.45,REL_2025Q3
2022-05,CITY00000041,151.23,158.02,124.78,142.25,101.27,158.77,155.6,0.381,53131.84,379.232,11.817,24.17,24.29,183.52,0.6618,142.72,158.22,REL_2024Q3
2022-06,CITY00000042,88.35,76.13,67.15,62.38,97.44,92.61,77.86,7.022,85925.12,1046.357,12.766,61.29,4.03,535.15,0.9656,88.91,91.04,REL_2024Q3
2022-07,CITY00000043,147.21,144.4,127.34,132.14,159.06,134.75,121.3,1.143,116021.44,865.267,17.074,29.32,3.01,412.09,0.2904,158.5,171.5,REL_2024Q1
2022-08,CITY00000044,170.83,155.85,124.82,194.99,148.48,129.03,194.9,7.399,70752.36,482.74,12.898,39.88,2.05,472.06,0.9784,154.39,203.89,REL_2025Q4
2022-09,CITY00000045,197.93,200.01,167.04,124.01,157.88,156.65,159.07,20.263,100903.2,526.404,2.49,43.22,19.59,1431.49,0.9348,211.48,235.39,REL_2022Q2
2022-10,CITY00000046,187.07,210.54,191.6,151.58,158.76,192.54,218.85,6.605,118727.13,601.039,-0.944,42.84,18.89,1312.61,0.3097,176.73,181.23,REL_2022Q3
2022-11,CITY00000047,175.1,186.83,175.89,112.82,189.5,199.95,149.08,1.297,94485.58,473.727,13.973,60.26,14.77,691.29,0.131,186.97,200.79,REL_2023Q4
2022-12,CITY00000048,81.94,101.68,85.43,68.38,54.74,87.62,99.99,9.21,95326.12,1270.658,11.203,20.01,7.07,1005.66,0.491,90.21,83.71,REL_2024Q4
2023-01,CITY00000049,118.26,100.25,121.69,94.98,94.47,120.43,134.19,19.513,22666.7,182.761,10.175,64.51,1.47,341.39,0.1702,122.61,131.56,REL_2022Q1
2023-02,CITY00000050,94.71,90.73,81.07,68.52,89.73,82.5,88.29,11.741,120251.64,1317.646,13.592,50.38,10.73,740.36,0.9949,104.34,88.46,REL_2019Q4
2023-03,CITY00000051,168.18,199.48,147.03,159.49,111.86,191.41,221.5,1.885,42234.32,305.603,14.131,49.77,15.56,1107.67,0.413,160.24,149.45,REL_2022Q1
2023-04,CITY00000052,146.1,156.5,136.38,169.53,144.05,123.46,187.24,18.152,116451.86,943.483,3.967,15.71,6.39,1378.44,0.1223,153.72,173.18,REL_2021Q3
2023-05,CITY00000053,190.72,175.06,190.22,143.89,177.99,162.12,189.78,15.485,88072.17,282.51,15.321,13.11,16.11,1205.98,0.6846,163.85,188.82,REL_2020Q2
2023-06,CITY00000054,62.81,58.42,45.26,71.06,70.65,47.55,75.44,11.208,81743.9,1243.521,12.911,59.92,20.81,924.25,0.4936,68.86,63.49,REL_2020Q3
2023-07,CITY00000055,111.96,110.55,81.0,90.37,94.01,126.34,143.25,14.278,34713.66,330.002,3.045,54.12,10.6,1063.66,0.0053,127.46,100.66,REL_2019Q3
2023-08,CITY00000056,110.12,134.57,101.85,69.81,91.45,92.97,141.35,4.395,98865.22,735.092,15.369,26.06,1.24,303.69,0.2336,123.02,104.49,REL_2023Q3
2023-09,CITY00000057,196.07,211.97,188.02,230.81,135.83,203.03,273.26,8.063,31828.09,172.738,11.046,47.99,16.87,1161.81,0.7641,169.65,198.36,REL_2019Q1
2023-10,CITY00000058,107.98,116.7,75.23,116.49,114.1,103.81,153.7,6.395,93328.2,1106.942,5.641,53.01,6.7,1052.88,0.1198,114.27,101.33,REL_2025Q1
2023-11,CITY00000059,151.11,130.47,149.22,160.99,102.28,159.06,194.05,14.058,72359.5,485.89,-0.116,56.13,9.3,956.09,0.2926,150.43,134.42,REL_2021Q2
2023-12,CITY00000060,187.17,217.91,138.93,163.03,151.36,171.5,212.34,19.556,60117.15,383.091,2.159,61.07,6.58,1299.84,0.3228,170.26,213.42,REL_2021Q3
2024-01,CITY00000061,104.6,116.29,95.58,106.42,109.47,95.75,152.14,11.121,78481.56,1002.076,10.893,35.37,17.47,1056.85,0.0079,116.75,105.78,REL_2022Q4
2024-02,CITY00000062,125.64,152.51,88.86,94.91,132.61,127.82,122.82,23.859,107134.8,935.993,17.568,50.65,11.67,782.58,0.7837,106.71,149.98,REL_2022Q1
2024-03,CITY00000063,164.84,172.97,142.65,152.75,117.34,192.19,189.62,15.447,135205.91,879.121,-0.609,25.2,22.47,1426.61,0.0664,171.15,174.29,REL_2020Q3
2024-04,CITY00000064,194.78,194.34,189.93,123.19,211.28,231.03,199.93,11.937,68102.05,217.306,5.527,64.95,21.13,395.62,0.0283,205.84,202.66,REL_2023Q3
2024-05,CITY00000065,184.73,213.34,164.9,177.47,149.55,178.69,275.27,21.646,118842.41,560.429,10.541,29.59,5.3,1197.48,0.037,206.52,166.76,REL_2020Q3
2024-06,CITY00000066,129.08,153.02,138.21,100.09,94.3,110.67,170.86,16.186,112242.15,887.96,-0.611,32.57,13.49,341.46,0.4608,131.2,123.14,REL_2023Q4
2024-07,CITY00000067,138.98,155.76,145.62,85.98,165.04,154.21,150.34,7.713,114178.47,689.342,10.325,22.29,22.78,744.77,0.0901,131.53,140.17,REL_2021Q1
2024-08,CITY00000068,183.14,210.21,170.75,129.35,178.51,164.31,223.69,1.418,64126.46,486.363,8.377,18.36,13.21,1479.92,0.7623,180.45,204.29,REL_2020Q4
2024-09,CITY00000069,97.62,109.43,104.93,89.1,97.29,99.25,124.99,1.662,112177.18,1136.77,2.366,50.69,14.1,1381.89,0.2202,97.51,106.09,REL_2019Q3
2024-10,CITY00000070,96.78,83.6,76.39,83.11,69.53,85.23,77.84,22.12,96215.44,689.838,9.009,56.6,0.32,976.74,0.9055,105.45,107.83,REL_2022Q3
2024-11,CITY00000071,144.67,178.54,139.13,146.05,157.28,152.51,166.31,12.616,51901.64,284.701,5.727,57.93,21.12,1370.5,0.7693,145.25,139.58,REL_2019Q3
2024-12,CITY00000072,190.46,215.53,158.33,143.64,154.24,153.57,173.49,7.46,121742.49,468.874,11.895,42.88,11.02,564.8,0.7256,183.77,210.76,REL_2022Q1
2025-01,CITY00000073,151.31,179.91,148.67,141.77,115.51,124.69,164.17,20.076,129239.11,823.365,5.801,15.71,18.28,703.53,0.0841,159.77,149.33,REL_2025Q3
2025-02,CITY00000074,123.24,143.13,101.46,115.89,134.06,140.1,166.47,20.708,81349.1,897.526,2.457,13.08,22.75,1139.0,0.3154,139.38,116.8,REL_2020Q4
2025-03,CITY00000075,65.07,74.49,47.96,43.4,71.7,72.35,91.47,9.728,118594.52,1853.172,15.06,30.32,7.88,737.79,0.0954,65.35,66.87,REL_2020Q1
2025-04,CITY00000076,105.52,100.98,112.13,67.51,75.92,94.82,100.76,14.626,88784.5,712.658,2.55,60.24,1.25,596.47,0.5287,120.2,122.53,REL_2020Q1
2025-05,CITY00000077,117.33,113.71,83.95,74.78,131.15,110.89,131.09,17.204,97048.87,1075.866,16.583,11.25,11.62,915.99,0.4183,112.79,106.11,REL_2025Q3
2025-06,CITY00000078,156.75,194.68,154.76,140.47,142.83,173.82,167.0,7.263,68929.35,550.222,11.549,37.08,23.7,1303.32,0.952,178.2,150.58,REL_2019Q4
2025-07,CITY00000079,91.45,100.23,68.8,96.86,92.42,105.05,102.9,6.86,129872.88,1932.763,6.778,31.89,9.56,639.16,0.049,83.77,102.39,REL_2022Q3
2025-08,CITY00000080,99.14,113.57,84.17,65.58,102.81,98.28,84.13,10.588,98438.07,1371.711,1.528,51.88,16.13,297.75,0.2721,85.53,88.53,REL_2021Q1
2025-09,CITY00000081,173.07,214.16,161.87,121.14,143.36,197.42,182.22,5.36,120566.31,522.491,4.231,64.93,19.15,1016.63,0.6777,173.54,154.82,REL_2025Q2
2025-10,CITY00000082,106.33,106.01,112.44,78.73,73.21,93.3,113.31,0.066,117062.34,766.038,-0.191,60.42,15.4,551.53,0.5454,107.93,122.47,REL_2023Q2
2025-11,CITY00000083,192.29,164.62,160.17,156.74,146.29,174.96,212.95,6.457,31618.8,223.078,11.108,57.56,10.47,415.41,0.0527,202.06,219.29,REL_2023Q3
2025-12,CITY00000084,99.46,105.79,95.12,72.86,87.04,78.78,114.6,15.481,59887.99,441.066,-0.339,23.57,24.94,1232.81,0.9949,108.46,104.13,REL_2020Q2
2026-01,CITY00000085,178.19,197.63,153.64,126.56,193.89,205.91,252.98,23.981,99359.65,719.087,0.63,44.15,24.56,1324.5,0.2143,174.94,189.85,REL_2021Q4
2026-02,CITY00000086,94.14,113.29,93.43,85.08,80.18,87.96,137.5,7.678,25055.92,352.802,11.726,51.12,24.56,203.26,0.7493,101.32,92.5,REL_2022Q2
2026-03,CITY00000087,90.67,89.63,83.6,63.93,107.11,74.99,78.93,9.023,125474.53,1578.014,17.254,25.03,2.22,632.69,0.2417,86.75,102.95,REL_2021Q2
2026-04,CITY00000088,113.88,103.24,106.65,96.16,93.49,96.99,111.62,7.898,49082.23,427.698,11.413,17.36,3.53,375.65,0.9767,120.82,132.89,REL_2023Q3
2026-05,CITY00000089,161.29,180.44,130.74,135.4,192.38,123.63,154.89,10.43,56055.95,256.044,17.43,29.06,3.08,722.24,0.0546,168.65,154.69,REL_2020Q1
2026-06,CITY00000090,123.65,131.03,86.26,84.79,138.77,102.09,133.91,10.228,58567.15,582.135,-0.988,59.7,11.5,1047.42,0.1757,133.62,130.01,REL_2020Q3
2026-07,CITY00000091,155.52,148.17,166.06,156.09,144.0,134.21,174.2,24.03,57971.78,249.797,9.746,40.94,12.01,1176.87,0.3676,174.91,178.42,REL_2023Q4
2026-08,CITY00000092,153.37,188.73,164.77,132.37,180.04,138.5,219.4,20.271,22281.5,123.308,7.643,43.3,19.67,1278.17,0.0225,168.71,182.25,REL_2020Q1
2026-09,CITY00000093,154.72,152.98,145.32,151.71,174.84,174.51,165.34,7.608,117374.99,947.051,4.533,63.26,20.5,1467.41,0.725,170.0,146.64,REL_2019Q4
2026-10,CITY00000094,195.37,212.47,165.37,202.27,137.37,216.66,264.88,23.742,35292.65,236.96,4.352,57.79,3.83,259.88,0.2313,206.82,229.42,REL_2021Q4
2026-11,CITY00000095,110.67,95.05,118.29,127.3,95.75,88.67,89.3,22.7,56512.39,640.709,2.254,38.28,11.61,962.14,0.0612,118.21,121.22,REL_2022Q2
2026-12,CITY00000096,190.99,173.17,175.92,207.03,166.0,214.06,279.46,18.765,83824.6,574.414,5.577,41.8,7.07,1094.6,0.471,185.94,193.68,REL_2025Q4
2027-01,CITY00000097,189.05,213.14,144.0,197.28,127.97,185.49,281.33,18.987,103537.46,494.407,9.347,57.79,10.61,766.05,0.5783,200.89,211.18,REL_2025Q2
2027-02,CITY00000098,92.19,107.03,79.36,87.32,85.88,94.6,112.41,3.456,65361.05,589.421,-0.479,32.04,24.16,892.71,0.1071,85.62,98.13,REL_2020Q2
2027-03,CITY00000099,97.58,119.27,71.63,113.3,109.16,88.67,115.47,14.547,60207.68,805.832,0.508,27.18,11.43,368.86,0.8113,109.5,90.57,REL_2022Q3
2027-04,CITY00000100,135.79,137.73,101.91,103.85,146.9,149.31,180.28,11.18,89843.57,607.219,12.205,58.71,17.13,310.66,0.8014,118.77,123.63,REL_2019Q1
2027-05,CITY00000101,90.19,80.09,78.31,76.82,76.32,76.4,113.52,0.906,136416.81,1122.696,6.92,36.94,16.31,593.42,0.3709,78.02,79.9,REL_2022Q1
2027-06,CITY00000102,78.46,72.95,82.33,91.15,68.58,66.34,88.74,13.831,79434.11,683.787,12.419,64.64,12.38,735.23,0.8016,66.54,79.85,REL_2021Q4
2027-07,CITY00000103,147.85,175.59,142.23,95.91,139.45,141.48,120.85,22.139,80497.46,519.956,0.706,44.82,3.45,1417.42,0.5627,136.93,167.34,REL_2019Q3
2027-08,CITY00000104,116.45,131.08,92.51,132.39,75.53,130.52,119.11,11.373,81590.13,673.27,0.665,50.54,2.31,1026.51,0.5646,127.1,117.2,REL_2024Q1
2027-09,CITY00000105,174.8,173.51,155.87,201.21,173.15,145.08,213.09,24.377,65860.57,393.566,0.546,29.35,13.51,460.97,0.8672,148.7,184.6,REL_2024Q2
2027-10,CITY00000106,112.27,110.09,105.76,96.47,75.92,83.74,137.67,12.403,22257.31,273.849,6.972,64.74,22.17,743.26,0.6718,124.74,106.25,REL_2021Q1
2027-11,CITY00000107,76.67,90.32,68.31,65.35,76.33,62.56,99.81,22.63,93946.68,851.969,9.795,29.68,11.08,557.07,0.126,78.23,78.64,REL_2021Q4
2027-12,CITY00000108,196.6,183.88,141.25,165.23,162.86,197.51,243.48,10.383,83597.02,517.386,16.851,64.34,24.78,213.29,0.7326,186.2,208.43,REL_2021Q1
2028-01,CITY00000109,100.39,108.02,86.9,99.3,77.99,89.31,125.11,18.144,89343.31,1074.222,15.596,37.19,1.33,1220.21,0.432,91.97,113.04,REL_2022Q1
2028-02,CITY00000110,125.91,133.49,95.84,93.45,113.9,112.81,143.9,3.009,90487.58,927.948,-0.406,22.21,15.63,855.98,0.2583,119.6,122.89,REL_2022Q4
2028-03,CITY00000111,86.89,89.84,90.83,69.36,87.9,95.77,125.1,1.07,46757.84,607.143,14.871,55.95,11.28,1199.34,0.4672,81.03,79.77,REL_2023Q1
2028-04,CITY00000112,149.62,132.29,104.47,92.33,159.42,127.51,125.63,11.029,87559.77,535.275,2.943,11.54,0.23,591.02,0.645,167.46,149.24,REL_2022Q2
2028-05,CITY00000113,107.31,117.74,116.12,85.2,114.93,85.98,134.84,19.221,62129.84,595.209,0.055,36.52,4.48,201.86,0.6075,113.99,110.23,REL_2023Q2
2028-06,CITY00000114,96.86,110.07,90.57,113.78,80.54,92.63,94.55,22.143,81592.83,698.308,13.533,57.96,17.85,1336.48,0.8104,100.42,90.65,REL_2023Q4
2028-07,CITY00000115,168.23,202.02,127.29,118.33,119.86,200.32,163.3,16.036,111813.15,719.812,15.359,59.72,19.33,177.87,0.0303,170.76,161.75,REL_2023Q2
2028-08,CITY00000116,127.59,148.18,137.16,127.01,143.46,141.83,166.25,8.051,113728.9,1028.899,2.118,58.95,11.94,876.38,0.0941,145.25,122.78,REL_2022Q4
2028-09,CITY00000117,105.08,124.13,100.03,72.63,81.69,114.85,133.15,23.163,53021.7,497.703,6.61,60.36,24.02,454.16,0.3403,110.73,96.58,REL_2024Q2
2028-10,CITY00000118,187.74,216.31,157.46,210.2,223.73,221.25,228.95,10.126,22448.06,85.89,8.996,15.36,0.43,1172.94,0.1535,164.77,167.86,REL_2020Q2
2028-11,CITY00000119,187.13,199.73,189.85,159.46,137.83,175.09,197.93,3.056,94111.39,495.188,13.445,59.92,6.1,278.39,0.8953,181.29,190.78,REL_2023Q2
2028-12,CITY00000120,118.49,135.45,105.72,88.88,92.05,103.77,102.36,3.388,118202.04,1374.999,6.753,10.68,7.35,372.36,0.1136,128.0,125.0,REL_2024Q4
2029-01,CITY00000121,74.38,87.23,79.08,85.29,79.32,56.18,75.87,6.92,60992.88,850.853,-1.655,63.94,20.74,602.9,0.9601,81.74,79.12,REL_2019Q3
2029-02,CITY00000122,61.81,70.54,49.16,53.5,52.9,60.99,67.82,15.446,41595.83,430.478,14.618,55.74,16.49,1456.17,0.4292,64.57,70.39,REL_2023Q2
2029-03,CITY00000123,114.63,132.54,117.01,101.35,118.13,129.08,119.86,2.237,65042.09,697.206,16.712,49.15,19.05,614.31,0.4913,122.19,122.9,REL_2019Q4
2029-04,CITY00000124,87.84,102.56,75.9,100.64,56.84,77.09,129.66,2.396,54608.16,865.05,-1.203,29.59,7.91,742.8,0.0487,99.6,102.35,REL_2025Q1
2029-05,CITY00000125,84.4,73.93,89.75,60.42,87.64,62.6,123.21,21.517,81980.76,1238.763,10.433,26.24,14.86,696.89,0.436,74.1,85.6,REL_2023Q3
2029-06,CITY00000126,114.86,102.29,102.85,110.57,117.33,100.2,130.05,8.312,128997.16,717.262,16.583,54.63,3.26,1488.89,0.4059,121.22,108.61,REL_2021Q1
2029-07,CITY00000127,140.49,158.24,122.37,152.25,100.53,146.95,203.52,12.052,37499.02,224.741,14.04,38.33,22.66,898.74,0.2685,151.03,148.95,REL_2020Q1
2029-08,CITY00000128,96.84,111.05,90.45,102.47,76.11,111.84,118.71,3.094,45607.8,463.899,8.964,47.12,20.09,310.29,0.2637,108.13,114.06,REL_2023Q1
2029-09,CITY00000129,162.72,176.3,131.75,186.48,157.31,170.51,214.22,20.932,73731.16,328.594,2.7,21.98,24.29,484.88,0.8685,149.44,148.8,REL_2025Q2
2029-10,CITY00000130,154.55,151.55,118.79,148.11,128.49,180.28,147.86,8.066,85163.28,584.825,-1.232,22.22,1.19,252.46,0.362,140.3,161.3,REL_2022Q3
2029-11,CITY00000131,110.72,106.59,81.62,89.56,117.87,100.62,136.55,12.042,39841.26,499.033,16.929,32.2,15.37,509.51,0.7474,125.52,122.88,REL_2019Q3
2029-12,CITY00000132,65.92,66.12,46.63,53.47,42.08,71.99,66.58,11.879,136510.23,2229.796,-1.636,58.98,3.3,433.76,0.2121,59.58,60.55,REL_2019Q3
2030-01,CITY00000133,155.59,157.94,125.75,136.11,162.17,154.41,151.13,7.021,86970.2,582.801,11.723,52.79,10.68,688.15,0.4299,136.98,151.42,REL_2020Q1
2030-02,CITY00000134,116.43,106.64,85.89,112.74,86.16,125.71,154.02,23.827,38805.06,463.057,16.089,64.55,8.73,892.91,0.9315,110.09,112.68,REL_2022Q4
2030-03,CITY00000135,92.18,98.69,84.74,72.51,84.98,76.86,78.11,15.928,69821.34,976.293,16.734,60.12,8.28,1432.61,0.4588,81.42,81.71,REL_2021Q1
2030-04,CITY00000136,122.85,148.74,122.51,80.21,106.83,115.21,171.37,8.448,48626.53,285.558,3.847,52.75,1.55,352.18,0.6356,129.73,112.05,REL_2023Q1
2030-05,CITY00000137,122.97,144.47,128.39,85.89,92.23,145.34,165.85,6.219,101425.81,906.462,3.065,24.85,18.86,221.01,0.5773,114.77,122.7,REL_2021Q2
2030-06,CITY00000138,196.37,202.52,139.99,209.64,130.21,171.67,290.75,6.396,62640.76,320.256,15.511,63.08,6.51,1343.56,0.7162,223.89,206.27,REL_2019Q1
2030-07,CITY00000139,157.9,167.18,162.09,126.44,102.8,159.7,128.72,7.082,63093.82,553.022,7.355,12.8,20.01,847.24,0.4156,170.12,167.39,REL_2022Q2
2030-08,CITY00000140,95.89,93.21,79.38,86.76,90.59,93.67,102.25,10.871,107480.98,1567.049,2.465,31.82,19.58,508.41,0.7373,102.88,110.04,REL_2021Q4
2030-09,CITY00000141,104.39,106.88,85.53,80.67,72.12,93.13,144.55,9.915,34341.13,285.555,7.239,54.31,20.55,218.07,0.8984,101.98,114.24,REL_2020Q1
2030-10,CITY00000142,97.39,99.84,104.54,59.21,92.22,82.43,77.32,4.29,66107.99,925.78,16.973,58.29,5.22,785.33,0.1467,90.26,113.97,REL_2021Q3
2030-11,CITY00000143,62.92,75.04,49.37,70.01,47.62,61.79,57.31,2.553,113465.35,1494.765,13.76,41.08,19.72,1311.31,0.2718,52.5,54.34,REL_2022Q2
2030-12,CITY00000144,143.5,124.47,123.76,124.73,165.42,135.99,149.28,16.722,33928.99,304.316,-0.513,40.38,8.54,675.56,0.3095,126.45,138.52,REL_2024Q3
2031-01,CITY00000145,158.23,167.75,160.39,102.43,163.91,146.66,173.26,23.38,43164.63,216.879,8.22,59.87,2.52,951.34,0.3964,144.84,174.59,REL_2025Q2
2031-02,CITY00000146,139.7,164.45,102.31,112.06,130.68,154.55,178.86,6.08,72655.49,574.806,13.74,57.15,24.53,441.61,0.9951,130.72,140.49,REL_2020Q3
