econ_prices_pricing_month,econ_prices_cpi_item_code,econ_prices_cpi_area_code,econ_prices_cpi_index_level,econ_prices_cpi_monthly_change_pct,econ_prices_cpi_12mo_change_pct,econ_prices_ppi_commodity_code,econ_prices_ppi_index_level,econ_prices_energy_price_index,econ_prices_shelter_cost_index,econ_prices_food_at_home_index,econ_prices_food_away_index,econ_prices_medical_care_index,econ_prices_transportation_index,econ_prices_core_cpi_ex_food_energy,econ_prices_seasonal_adjustment_flag,econ_prices_base_period_reference,econ_prices_imputed_value_flag,econ_prices_outlier_detection_score,econ_prices_publication_series
2005-11,CPIITEM000011,DAL,167.22,0.16,1.6,PPICOM000011,191.86,248.97,137.92,118.22,150.43,161.22,256.71,198.94,1,1999_100,0,0.301,CPI_U
2005-12,CPIITEM000012,US,126.5,0.02,1.67,PPICOM000012,228.0,145.32,307.27,204.93,168.68,290.07,195.37,168.59,1,2017_100,0,0.5685,CPI_RS
2006-01,CPIITEM000013,SEA,268.17,0.28,-1.4,PPICOM000013,118.63,120.38,290.84,170.33,234.34,130.37,132.84,226.23,1,1999_100,0,0.8065,PPI_FD_ID
2006-02,CPIITEM000014,NORTHEAST,312.1,-0.11,-1.32,PPICOM000014,278.69,321.87,275.6,89.86,118.01,98.79,158.64,160.69,1,1999_100,0,0.9419,PPI_FD_ID
2006-03,CPIITEM000015,SEA,203.86,1.09,1.73,PPICOM000015,94.04,320.83,109.64,311.29,294.97,191.24,201.95,302.74,1,2017_100,0,0.4277,CPI_W
2006-04,CPIITEM000016,CHI,274.6,0.16,4.27,PPICOM000016,201.31,194.1,219.98,258.26,125.3,100.33,132.96,167.86,1,2017_100,0,0.1762,PPI_FD_ID
2006-05,CPIITEM000017,NYC,275.59,-0.1,3.22,PPICOM000017,167.84,280.17,299.61,206.47,291.04,213.84,267.84,257.12,1,1982_84_100,0,0.2995,CPI_U
2006-06,CPIITEM000018,SOUTH,287.94,-0.17,-1.98,PPICOM000018,200.75,288.42,164.1,293.92,148.75,211.45,276.48,108.84,1,1999_100,0,0.2131,CPI_U
2006-07,CPIITEM000019,CHI,266.84,0.17,-2.12,PPICOM000019,175.84,96.7,144.35,153.1,110.41,154.42,202.84,140.14,1,2017_100,1,0.0312,CPI_EXSHEL
2006-08,CPIITEM000020,NORTHEAST,313.55,0.91,1.16,PPICOM000020,98.16,282.6,143.21,291.53,138.54,305.03,267.04,238.86,1,2017_100,0,0.7742,PPI_COM
2006-09,CPIITEM000021,NORTHEAST,113.94,0.05,-1.52,PPICOM000021,130.87,322.93,301.93,153.96,291.41,153.5,285.03,265.97,1,1999_100,0,0.3575,CPI_W
2006-10,CPIITEM000022,DAL,288.75,0.15,-1.01,PPICOM000022,212.13,204.88,175.2,221.08,283.44,182.54,161.52,114.71,0,2017_100,0,0.0376,CPI_EXSHEL
2006-11,CPIITEM000023,MIA,304.14,1.17,6.91,PPICOM000023,259.25,341.78,153.74,102.56,211.05,100.81,175.84,115.36,1,2017_100,1,0.0769,PPI_COM
2006-12,CPIITEM000024,MIDWEST,205.63,-0.27,8.34,PPICOM000024,245.55,97.19,237.4,291.06,255.89,211.2,186.4,306.83,1,2017_100,1,0.9829,PPI_FD_ID
2007-01,CPIITEM000025,SEA,175.58,1.33,5.99,PPICOM000025,218.41,210.08,127.14,205.64,143.28,112.99,177.4,266.24,1,2017_100,0,0.5526,CPI_RS
2007-02,CPIITEM000026,MIDWEST,134.03,0.19,3.03,PPICOM000026,147.13,277.12,140.36,184.11,301.34,135.33,237.07,164.99,1,1982_84_100,0,0.7076,CPI_W
2007-03,CPIITEM000027,US,208.5,0.72,1.95,PPICOM000027,246.59,302.33,94.91,309.77,194.82,107.68,161.59,226.87,0,1982_84_100,1,0.7563,CPI_U
2007-04,CPIITEM000028,MIA,318.59,1.18,7.12,PPICOM000028,256.0,214.52,142.14,215.67,270.0,139.41,288.64,169.15,1,1982_84_100,0,0.7625,PPI_FD_ID
2007-05,CPIITEM000029,MIDWEST,273.87,0.5,8.84,PPICOM000029,147.53,194.22,199.06,198.77,126.75,219.14,96.42,145.37,0,2017_100,0,0.3586,PPI_COM
2007-06,CPIITEM000030,NYC,255.84,-0.17,4.32,PPICOM000030,280.34,63.09,224.4,296.2,249.97,248.47,230.37,272.03,0,1982_84_100,0,0.6179,PPI_COM
2007-07,CPIITEM000031,NYC,239.14,1.56,8.38,PPICOM000031,265.51,93.77,285.41,217.65,136.95,193.68,297.73,307.65,1,1982_84_100,0,0.911,CPI_EXSHEL
2007-08,CPIITEM000032,SOUTH,120.73,0.82,3.25,PPICOM000032,134.39,125.13,124.48,144.91,187.65,290.79,269.64,95.94,0,2017_100,0,0.4165,CPI_RS
2007-09,CPIITEM000033,MIDWEST,96.5,-1.27,-1.57,PPICOM000033,200.53,189.19,236.72,133.64,168.4,147.47,302.44,259.14,1,1982_84_100,1,0.1939,PPI_COM
2007-10,CPIITEM000034,DAL,118.84,0.98,6.64,PPICOM000034,280.33,177.22,110.32,158.33,310.33,261.4,179.76,123.17,1,1982_84_100,1,0.5064,CPI_EXSHEL
2007-11,CPIITEM000035,MIDWEST,280.51,-0.33,8.21,PPICOM000035,117.71,100.2,84.87,244.87,306.46,202.66,217.89,274.17,1,2017_100,0,0.0948,PPI_FD_ID
2007-12,CPIITEM000036,NYC,255.92,0.34,8.06,PPICOM000036,183.82,272.08,178.83,196.35,162.75,280.12,281.44,230.59,0,2017_100,0,0.9788,PPI_COM
2008-01,CPIITEM000037,NORTHEAST,286.24,0.26,4.86,PPICOM000037,162.03,166.41,304.59,160.73,330.08,212.85,95.43,165.21,0,2017_100,0,0.865,CPI_EXSHEL
2008-02,CPIITEM000038,NORTHEAST,265.94,0.01,-0.86,PPICOM000038,283.64,263.36,215.9,245.64,202.87,177.86,71.69,270.61,1,1999_100,0,0.8864,PPI_COM
2008-03,CPIITEM000039,LA,149.85,0.31,-1.08,PPICOM000039,173.62,219.61,152.44,227.33,119.18,185.18,200.62,178.55,0,2017_100,0,0.2216,PPI_FD_ID
2008-04,CPIITEM000040,DAL,247.16,-0.15,5.78,PPICOM000040,238.79,229.09,179.3,231.98,92.81,111.54,286.11,307.73,1,1982_84_100,0,0.2003,PPI_FD_ID
2008-05,CPIITEM000041,CHI,232.16,0.59,-1.09,PPICOM000041,173.71,293.69,180.46,170.8,185.73,104.54,137.49,103.11,0,2017_100,0,0.7846,CPI_U
2008-06,CPIITEM000042,CHI,94.88,0.52,5.96,PPICOM000042,149.61,158.18,234.02,194.37,284.95,173.86,96.89,244.01,0,1999_100,1,0.9459,PPI_FD_ID
2008-07,CPIITEM000043,US,301.74,-0.34,1.47,PPICOM000043,191.94,236.85,200.43,144.06,169.54,182.17,144.65,108.6,1,1999_100,0,0.7751,CPI_RS
2008-08,CPIITEM000044,NYC,142.14,1.0,2.41,PPICOM000044,175.64,121.8,227.67,237.24,123.84,211.61,185.46,181.36,0,1999_100,0,0.4766,CPI_RS
2008-09,CPIITEM000045,NYC,165.96,-0.24,-1.08,PPICOM000045,153.33,266.28,214.6,201.42,321.59,188.58,88.44,93.63,1,1999_100,0,0.2962,CPI_RS
2008-10,CPIITEM000046,WEST,95.37,0.33,3.45,PPICOM000046,274.74,275.53,269.88,142.03,116.76,285.2,95.0,118.03,1,1999_100,0,0.6105,CPI_RS
2008-11,CPIITEM000047,DAL,107.51,0.48,3.64,PPICOM000047,253.63,91.58,252.75,209.96,281.98,266.3,253.03,204.21,1,1999_100,1,0.9694,CPI_RS
2008-12,CPIITEM000048,US,256.6,0.79,6.91,PPICOM000048,284.66,138.4,284.72,110.41,183.01,166.22,207.38,116.07,0,2017_100,0,0.9771,CPI_EXSHEL
2009-01,CPIITEM000049,CHI,280.22,-0.23,4.03,PPICOM000049,231.94,263.2,97.32,133.53,321.07,239.2,272.45,209.71,1,2017_100,0,0.2976,CPI_EXSHEL
2009-02,CPIITEM000050,WEST,215.23,-0.21,5.45,PPICOM000050,154.68,328.76,192.82,162.23,212.87,148.34,280.76,176.93,1,2017_100,0,0.5864,CPI_U
2009-03,CPIITEM000051,SEA,314.06,0.69,3.38,PPICOM000051,99.89,230.86,200.11,286.85,331.33,119.9,271.97,277.98,1,2017_100,1,0.4236,CPI_RS
2009-04,CPIITEM000052,MIA,234.7,-0.3,8.72,PPICOM000052,192.49,73.72,207.32,192.26,168.48,285.07,193.13,148.71,0,1982_84_100,0,0.4965,CPI_EXSHEL
2009-05,CPIITEM000053,CHI,188.06,0.88,4.71,PPICOM000053,109.96,267.48,197.32,173.8,281.1,196.84,229.5,144.62,0,2017_100,0,0.1091,PPI_FD_ID
2009-06,CPIITEM000054,DAL,281.07,0.6,5.56,PPICOM000054,198.72,275.32,287.45,189.29,210.67,249.16,96.45,278.8,0,2017_100,0,0.5879,CPI_U
2009-07,CPIITEM000055,SEA,186.69,0.0,2.39,PPICOM000055,88.63,271.7,114.75,285.82,313.91,144.94,199.96,90.8,1,1999_100,0,0.6101,CPI_EXSHEL
2009-08,CPIITEM000056,LA,137.69,1.12,7.28,PPICOM000056,218.98,321.18,233.17,190.17,135.27,140.17,307.93,244.86,1,2017_100,0,0.7467,PPI_FD_ID
2009-09,CPIITEM000057,US,190.18,0.55,6.8,PPICOM000057,118.03,260.97,186.82,262.1,240.72,184.17,120.46,92.06,1,1982_84_100,0,0.3928,CPI_W
2009-10,CPIITEM000058,MIDWEST,254.55,-0.72,1.71,PPICOM000058,102.92,157.23,169.34,187.88,252.12,304.24,133.84,279.09,0,2017_100,0,0.5437,PPI_FD_ID
2009-11,CPIITEM000059,SEA,253.33,0.44,7.75,PPICOM000059,105.78,299.06,272.33,259.42,273.6,157.7,291.07,134.12,0,1999_100,0,0.5103,CPI_W
2009-12,CPIITEM000060,SOUTH,269.85,0.32,4.01,PPICOM000060,136.88,342.16,206.87,142.93,252.0,190.67,216.34,206.61,1,1982_84_100,0,0.2914,CPI_EXSHEL
2010-01,CPIITEM000061,MIDWEST,252.39,0.08,4.12,PPICOM000061,181.77,264.73,209.36,301.4,200.2,239.15,133.89,209.99,1,1999_100,0,0.3172,CPI_W
2010-02,CPIITEM000062,MIA,136.84,0.35,6.37,PPICOM000062,259.68,88.91,196.83,281.82,292.52,178.44,161.14,262.31,1,1999_100,1,0.9835,PPI_FD_ID
2010-03,CPIITEM000063,LA,132.57,0.14,5.0,PPICOM000063,144.67,240.19,198.27,252.88,253.81,164.62,121.87,216.33,0,1999_100,0,0.8677,PPI_FD_ID
2010-04,CPIITEM000064,NYC,106.52,0.12,0.78,PPICOM000064,136.31,66.68,187.32,233.8,226.65,242.06,158.18,229.69,1,1982_84_100,0,0.0124,PPI_FD_ID
2010-05,CPIITEM000065,SOUTH,300.15,0.24,5.2,PPICOM000065,201.22,107.49,140.3,302.08,151.47,179.89,307.55,239.26,0,1999_100,0,0.1989,PPI_COM
2010-06,CPIITEM000066,CHI,119.49,0.66,7.85,PPICOM000066,242.05,295.41,313.15,252.11,268.37,130.94,146.4,207.53,0,2017_100,0,0.0688,PPI_FD_ID
2010-07,CPIITEM000067,MIDWEST,221.66,-0.28,1.91,PPICOM000067,107.46,91.86,196.65,214.37,94.45,298.24,208.06,166.98,0,1982_84_100,0,0.1966,CPI_EXSHEL
2010-08,CPIITEM000068,SOUTH,236.93,-0.45,-2.03,PPICOM000068,260.13,158.39,114.62,129.88,226.56,196.83,309.38,203.61,0,2017_100,0,0.7433,PPI_COM
2010-09,CPIITEM000069,WEST,314.2,0.44,-1.5,PPICOM000069,102.65,275.39,301.11,269.4,185.68,119.08,127.74,131.1,1,1982_84_100,0,0.2841,PPI_FD_ID
2010-10,CPIITEM000070,WEST,242.53,0.32,5.76,PPICOM000070,266.96,171.03,277.58,309.64,100.0,249.46,127.94,303.09,1,1999_100,0,0.3167,PPI_FD_ID
2010-11,CPIITEM000071,NYC,233.34,-0.09,5.44,PPICOM000071,263.39,68.34,205.91,209.19,321.07,296.17,110.97,225.74,0,1982_84_100,0,0.8698,PPI_FD_ID
2010-12,CPIITEM000072,WEST,175.52,-0.29,3.76,PPICOM000072,170.16,258.38,97.32,106.36,211.27,307.12,280.57,293.2,1,1999_100,0,0.3454,CPI_W
2011-01,CPIITEM000073,NORTHEAST,249.8,0.09,-0.88,PPICOM000073,104.3,102.65,220.72,259.11,171.2,180.16,156.36,117.24,0,1982_84_100,0,0.7601,CPI_RS
2011-02,CPIITEM000074,MIDWEST,280.84,-0.21,6.05,PPICOM000074,123.04,268.23,90.78,256.35,230.35,174.76,272.49,226.91,1,1982_84_100,0,0.5425,CPI_U
2011-03,CPIITEM000075,CHI,307.75,0.1,3.32,PPICOM000075,189.74,213.68,276.05,291.86,225.34,119.65,94.6,297.45,0,2017_100,1,0.7183,PPI_FD_ID
2011-04,CPIITEM000076,NYC,247.19,0.03,8.05,PPICOM000076,287.69,118.34,235.15,253.47,197.09,293.35,178.0,221.84,0,1999_100,0,0.4367,PPI_FD_ID
2011-05,CPIITEM000077,DAL,104.98,-0.02,7.93,PPICOM000077,84.43,71.42,266.55,312.3,182.76,277.0,167.42,194.61,1,2017_100,0,0.0354,PPI_COM
2011-06,CPIITEM000078,SOUTH,285.54,0.01,-1.18,PPICOM000078,259.46,76.65,102.11,298.34,210.66,242.94,159.88,201.02,1,1982_84_100,0,0.0721,PPI_FD_ID
2011-07,CPIITEM000079,LA,206.38,0.89,-0.13,PPICOM000079,134.73,288.37,191.06,166.79,106.71,134.48,90.49,279.11,1,1999_100,0,0.6861,CPI_RS
2011-08,CPIITEM000080,NYC,146.08,0.57,2.08,PPICOM000080,178.23,220.8,203.81,296.28,276.72,244.89,107.74,245.23,0,2017_100,0,0.1209,CPI_W
2011-09,CPIITEM000081,SEA,184.75,0.35,4.53,PPICOM000081,249.71,132.8,220.68,173.72,104.11,151.04,192.35,251.61,1,2017_100,0,0.0908,PPI_COM
2011-10,CPIITEM000082,DAL,319.82,-0.22,6.12,PPICOM000082,89.52,336.85,156.13,200.12,257.66,255.39,285.96,253.14,0,1982_84_100,1,0.6765,PPI_COM
2011-11,CPIITEM000083,MIA,98.87,0.11,0.75,PPICOM000083,135.73,136.56,161.42,169.07,235.84,136.5,275.57,287.79,0,1982_84_100,0,0.0983,CPI_EXSHEL
2011-12,CPIITEM000084,SOUTH,247.18,-0.31,8.82,PPICOM000084,144.14,287.15,101.1,239.25,175.32,273.64,232.04,109.21,1,1982_84_100,0,0.8149,CPI_W
2012-01,CPIITEM000085,MIDWEST,305.38,0.35,1.68,PPICOM000085,122.21,131.93,126.92,86.45,169.03,277.13,81.69,138.3,1,1999_100,0,0.7936,CPI_W
2012-02,CPIITEM000086,LA,228.98,0.07,4.25,PPICOM000086,154.91,283.91,245.21,184.27,250.62,160.87,304.35,260.68,0,1999_100,0,0.2336,CPI_EXSHEL
2012-03,CPIITEM000087,CHI,260.61,0.57,5.64,PPICOM000087,110.87,261.47,264.23,214.25,270.38,185.16,192.42,232.29,0,1999_100,0,0.121,CPI_RS
2012-04,CPIITEM000088,MIDWEST,226.24,0.63,7.33,PPICOM000088,113.04,343.04,190.54,172.65,264.61,128.86,229.96,227.75,1,2017_100,1,0.1004,CPI_EXSHEL
2012-05,CPIITEM000089,NORTHEAST,203.07,0.06,5.77,PPICOM000089,108.78,276.12,318.69,306.21,302.8,259.77,128.59,178.24,0,1999_100,0,0.9715,CPI_RS
2012-06,CPIITEM000090,SOUTH,208.3,-0.15,0.34,PPICOM000090,259.07,107.79,220.78,112.53,199.75,112.27,137.17,189.49,1,1982_84_100,0,0.35,CPI_U
2012-07,CPIITEM000091,NORTHEAST,259.75,-0.76,-0.88,PPICOM000091,114.46,196.47,277.06,195.81,256.7,100.51,135.27,98.92,1,1999_100,0,0.446,PPI_COM
2012-08,CPIITEM000092,WEST,129.44,-0.59,4.82,PPICOM000092,222.21,194.25,243.58,185.23,311.35,99.58,239.44,227.68,0,2017_100,1,0.5164,CPI_U
2012-09,CPIITEM000093,US,121.18,0.99,6.27,PPICOM000093,249.28,133.31,113.71,243.71,334.31,231.12,158.77,92.52,1,1999_100,0,0.8959,CPI_EXSHEL
2012-10,CPIITEM000094,WEST,317.95,0.52,-0.26,PPICOM000094,257.83,222.84,100.42,313.68,105.64,119.31,80.6,204.76,0,1982_84_100,0,0.3863,CPI_W
2012-11,CPIITEM000095,WEST,225.46,-0.28,-0.72,PPICOM000095,200.54,164.49,137.3,97.97,203.82,96.58,243.85,160.85,1,1982_84_100,0,0.5673,CPI_W
2012-12,CPIITEM000096,WEST,303.29,0.48,4.67,PPICOM000096,231.9,225.55,184.61,241.53,174.11,259.0,279.21,180.57,0,1982_84_100,0,0.7786,CPI_U
2013-01,CPIITEM000097,CHI,133.65,-0.07,6.36,PPICOM000097,238.38,291.15,186.98,274.49,214.45,304.32,279.66,183.96,0,2017_100,0,0.599,CPI_EXSHEL
2013-02,CPIITEM000098,WEST,247.94,0.3,-0.68,PPICOM000098,98.25,119.62,98.78,137.04,240.28,100.22,80.72,274.95,0,1982_84_100,0,0.8845,CPI_RS
2013-03,CPIITEM000099,MIDWEST,147.29,0.16,5.03,PPICOM000099,217.04,143.28,279.2,234.46,188.47,238.11,142.97,292.42,0,1982_84_100,0,0.3966,CPI_W
2013-04,CPIITEM000100,WEST,107.49,0.29,0.94,PPICOM000100,199.53,285.48,240.9,319.3,339.0,270.28,82.66,152.43,0,1999_100,0,0.6507,CPI_EXSHEL
2013-05,CPIITEM000101,CHI,283.44,0.52,-0.4,PPICOM000101,206.36,149.94,195.45,287.42,161.77,96.93,193.74,132.26,1,2017_100,0,0.3544,PPI_FD_ID
2013-06,CPIITEM000102,MIA,185.12,0.08,4.74,PPICOM000102,177.03,249.33,312.7,305.09,229.7,203.31,184.88,268.1,0,1982_84_100,0,0.6936,PPI_FD_ID
2013-07,CPIITEM000103,MIDWEST,194.51,0.38,0.33,PPICOM000103,151.35,216.69,235.04,249.34,317.05,244.03,199.71,229.4,0,1999_100,0,0.5865,CPI_U
2013-08,CPIITEM000104,DAL,249.31,0.18,0.64,PPICOM000104,285.0,210.59,262.04,114.22,155.52,278.87,214.05,191.57,1,1999_100,0,0.8935,CPI_U
2013-09,CPIITEM000105,DAL,129.76,0.58,1.46,PPICOM000105,181.01,114.56,184.4,271.02,289.4,193.79,231.46,99.06,1,1999_100,0,0.3117,CPI_W
2013-10,CPIITEM000106,DAL,125.18,0.85,-2.43,PPICOM000106,162.09,131.43,147.28,132.23,318.42,309.86,245.48,151.53,1,2017_100,0,0.9113,PPI_COM
2013-11,CPIITEM000107,WEST,250.6,-0.62,-0.06,PPICOM000107,152.01,191.74,267.35,194.43,152.91,211.06,226.18,268.56,1,1982_84_100,1,0.8805,PPI_FD_ID
2013-12,CPIITEM000108,MIDWEST,220.75,-0.0,7.33,PPICOM000108,243.6,183.26,266.92,291.83,134.63,247.14,297.45,188.46,1,1999_100,0,0.0127,CPI_W
2014-01,CPIITEM000109,NORTHEAST,91.25,0.29,0.27,PPICOM000109,81.83,217.98,146.74,152.27,135.14,272.9,172.31,193.77,0,1999_100,0,0.5784,CPI_W
2014-02,CPIITEM000110,DAL,108.11,0.51,4.4,PPICOM000110,248.66,279.16,243.73,242.61,215.37,111.39,76.06,279.08,1,2017_100,0,0.0974,CPI_U
2014-03,CPIITEM000111,MIDWEST,178.2,-0.36,7.2,PPICOM000111,152.88,253.88,307.71,91.44,261.7,236.75,309.76,194.41,1,2017_100,0,0.7326,PPI_FD_ID
2014-04,CPIITEM000112,SOUTH,219.34,0.2,6.74,PPICOM000112,272.88,202.64,107.25,87.41,235.19,117.7,87.67,112.47,1,1982_84_100,0,0.9721,PPI_COM
2014-05,CPIITEM000113,CHI,253.59,0.18,8.63,PPICOM000113,107.15,124.6,295.38,106.91,295.11,257.96,260.4,217.61,1,1999_100,0,0.0731,CPI_RS
2014-06,CPIITEM000114,SOUTH,181.92,0.32,2.75,PPICOM000114,87.37,114.73,102.48,204.59,174.53,222.38,205.85,223.08,0,1982_84_100,1,0.1367,CPI_RS
2014-07,CPIITEM000115,LA,111.05,0.87,1.67,PPICOM000115,110.9,131.31,323.44,85.75,226.81,276.38,91.46,178.84,0,2017_100,0,0.2877,CPI_W
2014-08,CPIITEM000116,NORTHEAST,231.51,-0.01,8.68,PPICOM000116,250.88,253.86,314.41,286.92,242.13,116.54,292.84,306.3,0,1982_84_100,0,0.863,PPI_COM
2014-09,CPIITEM000117,WEST,307.82,0.01,5.81,PPICOM000117,269.95,162.16,107.22,288.83,93.43,252.89,290.65,237.38,1,2017_100,0,0.3368,PPI_COM
2014-10,CPIITEM000118,NYC,111.23,0.16,3.78,PPICOM000118,218.95,285.57,189.41,221.57,169.1,244.09,156.52,93.21,1,1982_84_100,0,0.9124,CPI_W
2014-11,CPIITEM000119,WEST,154.21,-0.56,0.65,PPICOM000119,90.08,260.08,279.35,255.03,173.83,195.51,177.5,278.03,0,1982_84_100,0,0.2262,PPI_FD_ID
2014-12,CPIITEM000120,DAL,241.09,-0.22,6.46,PPICOM000120,139.88,324.84,120.52,160.89,278.57,199.8,118.68,162.37,1,2017_100,0,0.5214,PPI_FD_ID
2015-01,CPIITEM000121,DAL,183.13,0.66,0.23,PPICOM000121,253.38,61.42,190.59,189.46,308.73,109.6,258.86,259.02,1,1999_100,0,0.2798,CPI_U
2015-02,CPIITEM000122,US,297.4,0.34,7.73,PPICOM000122,230.99,228.82,301.89,270.62,114.59,226.06,116.61,278.41,1,1999_100,0,0.1521,PPI_FD_ID
2015-03,CPIITEM000123,SOUTH,283.95,0.3,-0.2,PPICOM000123,184.91,247.42,96.96,94.84,316.43,273.64,246.63,298.7,1,1982_84_100,0,0.8079,PPI_FD_ID
2015-04,CPIITEM000124,US,123.5,0.0,1.9,PPICOM000124,173.19,211.87,275.82,127.72,137.47,148.87,189.98,199.26,1,1982_84_100,0,0.3922,PPI_FD_ID
2015-05,CPIITEM000125,CHI,128.24,0.12,0.24,PPICOM000125,236.35,328.6,144.44,262.42,209.4,265.76,142.6,252.67,1,1999_100,0,0.248,CPI_W
2015-06,CPIITEM000126,CHI,288.33,0.19,5.31,PPICOM000126,167.58,270.44,222.55,299.3,298.87,142.14,245.08,107.67,1,2017_100,0,0.765,CPI_U
2015-07,CPIITEM000127,MIA,233.75,0.21,0.6,PPICOM000127,199.7,157.04,124.61,156.21,125.63,134.31,71.39,295.17,1,1999_100,0,0.7694,CPI_W
2015-08,CPIITEM000128,US,130.61,-0.28,-1.62,PPICOM000128,160.39,202.51,105.06,287.39,215.11,128.48,129.79,296.75,1,2017_100,0,0.2859,PPI_FD_ID
2015-09,CPIITEM000129,MIA,289.32,-0.05,4.27,PPICOM000129,158.53,161.51,134.0,180.45,231.63,217.39,140.32,102.69,1,1982_84_100,0,0.0573,CPI_W
2015-10,CPIITEM000130,MIDWEST,235.34,0.02,-1.32,PPICOM000130,89.06,175.14,251.34,273.0,188.96,155.51,304.36,248.69,1,2017_100,0,0.5252,CPI_U
2015-11,CPIITEM000131,WEST,304.25,0.26,2.67,PPICOM000131,156.76,321.57,301.7,276.42,149.95,107.97,203.66,92.76,1,1999_100,1,0.5411,CPI_W
2015-12,CPIITEM000132,WEST,175.44,0.21,1.16,PPICOM000132,160.11,299.23,275.17,262.05,275.97,220.13,130.3,94.09,1,2017_100,0,0.4944,PPI_FD_ID
2016-01,CPIITEM000133,MIA,220.12,-0.17,7.7,PPICOM000133,199.34,116.34,206.73,247.33,121.36,268.38,167.61,233.31,0,1999_100,0,0.9917,PPI_FD_ID
2016-02,CPIITEM000134,DAL,139.7,-0.28,-0.47,PPICOM000134,153.46,209.52,328.61,206.29,223.64,259.12,299.96,230.26,0,1982_84_100,0,0.7891,PPI_COM
2016-03,CPIITEM000135,MIDWEST,247.55,-0.14,-0.25,PPICOM000135,263.27,187.44,293.22,113.07,259.41,143.05,286.25,296.77,1,2017_100,0,0.8505,CPI_EXSHEL
2016-04,CPIITEM000136,NORTHEAST,256.96,-0.14,3.05,PPICOM000136,208.26,186.6,159.65,137.05,328.95,272.52,117.42,117.7,0,1982_84_100,0,0.8789,CPI_RS
2016-05,CPIITEM000137,MIDWEST,97.63,0.33,-2.32,PPICOM000137,217.97,125.85,138.88,270.81,237.64,166.88,161.97,128.26,0,2017_100,0,0.4147,CPI_W
2016-06,CPIITEM000138,MIDWEST,179.77,0.22,0.3,PPICOM000138,276.93,326.42,127.25,275.96,303.52,257.52,244.43,197.03,1,2017_100,0,0.6178,CPI_RS
2016-07,CPIITEM000139,NYC,188.94,-0.46,0.03,PPICOM000139,262.9,180.0,123.04,145.65,217.34,225.72,222.04,209.13,1,1982_84_100,0,0.0336,CPI_RS
2016-08,CPIITEM000140,SEA,131.67,0.16,6.4,PPICOM000140,156.3,330.63,198.74,302.66,226.02,248.28,136.35,212.14,1,1999_100,0,0.704,PPI_FD_ID
2016-09,CPIITEM000141,SOUTH,155.3,0.84,6.54,PPICOM000141,228.75,229.49,173.33,286.26,232.63,198.39,192.2,109.07,1,1982_84_100,0,0.7197,CPI_U
2016-10,CPIITEM000142,NYC,278.21,-0.31,8.36,PPICOM000142,159.01,144.51,182.61,298.19,263.4,106.5,107.96,259.35,0,2017_100,0,0.2444,CPI_RS
