health_mental_survey_year,health_mental_behavioral_health_region,health_mental_serious_mental_illness_rate,health_mental_major_depressive_episode_rate,health_mental_anxiety_disorder_rate,health_mental_suicidal_ideation_rate,health_mental_suicide_mortality_rate,health_mental_opioid_overdose_rate,health_mental_alcohol_use_disorder_rate,health_mental_stimulant_use_disorder_rate,health_mental_treatment_gap_pct,health_mental_provider_shortage_area_flag,health_mental_telehealth_visit_share_pct,health_mental_crisis_line_call_volume,health_mental_involuntary_hold_rate,health_mental_naloxone_distribution_rate,health_mental_medication_assisted_treatment_rate,health_mental_recovery_support_participation,health_mental_homelessness_comorbidity_rate,health_mental_justice_involved_rate
2015,West,2.788,6.232,9.44,1.328,3.212,5.675,0.482,1.043,32.95,N,4.84,22651,14.561,469.81,47.69,14.85,23.13,7.88
2020,NorthEast,7.619,11.37,8.807,4.07,15.335,8.45,11.098,6.128,20.3,N,61.33,24634,11.024,314.36,58.11,38.63,25.42,14.55
2017,North,1.043,9.874,8.209,0.611,6.042,2.897,1.366,1.735,88.65,N,57.51,14997,6.962,73.86,14.25,0.25,12.85,8.4
2017,NorthEast,7.987,12.723,12.886,8.25,26.49,6.833,0.216,6.248,43.83,Y,46.47,5715,13.898,368.37,30.98,54.82,18.97,11.24
2017,Central,0.713,8.888,15.712,5.0,6.183,10.678,7.431,1.761,65.57,Y,24.33,3885,12.532,68.56,3.19,5.08,2.87,12.08
2019,NorthEast,2.068,9.179,8.877,4.573,25.746,1.726,9.614,6.395,50.04,Y,80.41,180,10.316,383.88,44.3,21.26,29.38,11.15
2025,West,0.501,0.9,20.906,1.998,25.834,7.213,10.918,0.01,17.37,Y,59.14,7729,10.448,408.12,12.81,55.81,15.54,17.1
2015,NorthEast,5.736,13.479,0.563,7.302,11.239,10.377,6.088,6.936,23.79,Y,51.94,24318,9.138,91.47,48.35,73.07,8.21,14.02
2016,South,0.186,4.241,3.923,0.651,17.231,7.018,3.455,0.708,22.46,N,71.33,8169,4.979,211.67,36.62,9.59,14.81,15.67
2025,South,6.209,1.19,11.03,7.54,24.951,8.41,4.388,3.703,46.34,Y,22.33,238,0.324,171.8,34.19,24.46,0.39,0.87
2023,NorthEast,2.206,13.445,12.625,5.503,21.383,3.574,2.214,6.333,42.44,Y,20.77,5833,7.7,359.3,13.74,48.2,28.59,4.21
2020,East,6.881,14.432,11.421,2.967,11.916,3.847,1.343,5.918,77.56,Y,34.66,8936,14.168,81.32,27.76,57.84,29.72,6.7
2015,NorthEast,5.177,8.986,15.761,8.789,7.66,9.997,11.527,6.798,78.93,N,75.87,9587,6.07,377.29,17.27,3.03,7.87,0.48
2025,North,1.937,14.931,13.863,7.296,16.034,2.434,5.383,0.614,13.02,Y,39.89,23085,9.615,6.79,22.24,15.73,14.23,3.18
2015,Central,3.438,13.132,15.736,2.836,9.941,2.014,7.676,6.046,18.22,N,13.68,18095,7.5,370.88,48.86,61.27,28.16,1.37
2021,South,7.817,7.282,19.398,0.636,2.595,5.465,4.521,1.446,65.45,N,48.13,10647,0.488,224.17,15.03,33.38,27.15,13.03
2019,Central,6.205,4.151,15.345,3.293,11.684,2.109,7.301,0.725,25.41,N,65.58,12446,10.634,125.02,52.49,70.17,4.5,10.49
2019,North,2.678,4.042,5.499,7.061,29.525,11.561,2.943,7.268,82.27,Y,25.39,17981,10.925,298.55,40.29,59.5,24.98,6.52
2018,North,5.563,3.035,13.573,7.39,0.685,0.117,11.418,6.433,40.91,N,29.19,12813,11.281,250.07,51.59,57.25,15.15,9.04
2023,North,3.325,8.2,1.126,2.455,13.764,4.378,11.942,6.428,65.57,Y,11.36,7113,4.409,154.51,28.66,51.78,16.47,16.97
2025,East,6.053,2.975,12.509,2.95,5.751,3.669,11.235,7.537,64.01,Y,26.75,17810,11.109,244.97,43.28,49.42,14.45,13.89
2017,West,1.801,14.22,12.66,2.761,28.533,0.825,11.382,5.786,58.15,N,62.86,2862,3.983,265.72,41.71,71.55,20.95,5.72
2025,West,6.859,1.576,9.161,0.842,13.094,9.221,9.695,2.615,68.92,Y,61.93,22164,10.995,139.79,36.76,1.1,9.62,0.14
2017,South,6.849,1.92,21.424,7.263,33.664,7.308,7.697,6.656,52.73,N,9.28,9877,8.623,314.92,44.91,34.27,7.68,3.13
2019,East,6.179,10.773,10.897,1.972,26.711,8.354,1.088,3.494,57.25,N,14.69,9557,7.958,236.64,19.83,9.74,16.32,14.25
2024,West,4.812,11.082,3.145,6.943,22.429,1.033,5.792,3.777,16.29,N,73.57,11970,3.387,203.26,0.61,26.34,17.3,10.18
2022,North,2.307,9.203,12.829,6.091,19.189,2.057,3.224,3.787,39.02,N,28.35,4431,13.798,308.08,36.25,66.4,23.05,8.72
2019,Central,6.915,8.939,7.792,5.292,28.767,3.733,0.934,5.806,93.88,Y,18.53,11931,6.02,178.84,0.37,30.98,7.42,13.47
2018,East,6.294,6.457,9.136,7.46,17.176,11.545,7.131,7.306,24.95,N,62.48,16735,12.806,297.76,44.54,45.35,5.15,9.59
2025,South,4.8,13.888,6.939,6.172,5.605,1.947,1.06,1.861,16.91,Y,44.35,18794,14.328,433.27,48.43,19.07,4.29,19.42
2018,West,3.908,2.364,15.248,4.16,30.542,3.532,6.596,6.672,89.03,N,83.88,16364,10.047,176.22,30.14,9.46,21.34,0.73
2018,East,1.1,5.247,2.129,3.603,2.503,8.628,9.191,6.632,70.45,Y,31.22,16295,7.789,95.07,59.54,10.94,20.25,7.94
2025,NorthEast,1.91,7.438,15.052,8.389,16.014,5.829,7.849,5.998,46.78,N,22.01,18804,3.596,178.25,12.3,55.8,22.39,17.84
2021,North,7.233,10.42,4.302,2.645,34.6,8.954,9.226,6.521,22.69,Y,30.04,10436,7.35,425.29,45.12,25.37,5.73,3.71
2016,North,4.122,3.441,11.12,4.813,13.108,6.109,10.85,2.319,93.03,Y,32.32,2706,0.572,398.49,22.94,4.14,7.02,3.47
2021,Central,6.893,4.866,8.858,3.15,28.197,8.783,10.544,1.112,44.93,N,79.97,5323,2.114,430.02,35.35,20.13,2.91,9.83
2016,South,4.452,5.906,5.517,7.11,28.318,5.27,10.73,0.665,82.52,N,26.22,8870,13.386,36.99,49.2,35.25,6.57,16.59
2025,Central,3.77,8.865,2.369,6.602,3.251,7.9,5.554,6.775,32.34,Y,67.48,19008,8.175,478.53,25.05,10.2,7.81,7.19
2016,East,2.674,1.049,16.68,3.26,10.906,0.525,11.184,3.489,67.51,Y,42.41,23920,8.515,215.01,55.22,22.48,5.17,17.52
2025,East,7.373,10.83,3.94,1.015,13.489,4.479,2.74,0.619,85.1,Y,56.28,8040,3.815,95.03,9.58,71.98,5.35,0.19
2020,Central,7.752,1.181,11.742,7.599,1.765,6.962,8.059,0.402,33.44,Y,21.3,16360,8.141,482.16,19.5,27.11,12.15,17.94
2022,Central,0.635,13.766,9.418,0.946,30.06,6.921,1.995,2.33,27.24,Y,69.95,11781,12.299,154.82,24.21,34.52,13.97,17.38
2016,NorthEast,5.894,1.569,17.98,1.989,8.13,2.576,9.93,1.477,50.08,Y,38.01,10932,10.993,303.36,5.94,32.46,6.56,11.44
2020,North,2.99,3.899,19.198,7.533,13.471,0.856,7.518,4.79,65.93,Y,18.28,2762,0.368,405.22,27.74,2.1,12.16,12.02
2021,East,6.24,10.018,16.255,2.53,25.307,1.192,1.463,4.396,28.18,Y,43.66,18574,1.737,270.69,2.47,4.23,6.72,1.11
2015,East,0.882,8.841,2.802,5.91,16.009,3.849,1.128,7.621,47.02,N,2.41,20244,5.839,239.61,41.67,78.27,9.56,1.85
2021,NorthEast,4.271,13.588,16.965,4.375,17.24,1.301,11.526,3.741,64.33,N,59.26,24839,0.929,254.28,44.43,34.89,13.32,0.7
2024,North,0.253,12.761,10.484,0.214,34.633,10.23,2.753,0.976,44.45,N,71.58,17118,1.89,365.72,14.31,36.52,7.75,19.81
2017,East,4.307,8.474,17.183,0.706,25.708,4.127,4.026,1.949,45.31,N,62.42,545,11.843,479.19,8.18,6.82,16.25,2.36
2022,Central,5.232,14.927,14.094,6.657,10.144,1.453,4.969,2.042,71.16,N,35.73,14518,11.93,174.39,29.98,47.82,10.71,11.5
2019,East,6.705,11.61,14.326,1.426,11.115,9.778,3.4,5.309,58.66,N,45.46,2053,12.488,208.71,10.74,70.89,7.96,14.27
2023,West,6.872,3.624,12.692,6.75,0.981,0.76,10.848,1.067,15.74,N,7.27,10056,4.751,489.04,19.02,20.36,17.77,6.59
2020,Central,3.233,11.274,6.028,0.279,20.32,1.572,3.368,5.278,41.72,Y,7.32,4498,4.245,314.16,55.63,37.4,13.23,18.22
2025,North,2.572,3.129,6.738,8.413,31.233,9.302,1.366,7.59,41.31,Y,60.99,2090,12.363,228.09,40.93,71.02,29.63,11.57
2021,North,2.448,2.122,2.824,3.395,33.394,9.664,11.539,5.885,37.41,Y,50.01,4830,1.91,321.07,13.56,29.87,23.47,15.02
2021,South,1.131,5.853,11.898,6.039,20.753,5.193,11.528,1.966,19.16,N,67.74,6307,3.245,94.47,3.99,24.43,29.48,0.86
2019,South,3.97,6.685,3.549,5.452,5.433,4.591,6.061,3.459,12.42,Y,6.57,490,7.688,358.31,41.63,47.21,21.2,16.21
2015,North,5.44,7.728,17.413,1.114,23.023,5.477,2.09,2.644,49.48,Y,83.96,24126,10.185,86.84,6.69,53.71,3.95,7.97
2024,Central,6.452,13.651,1.756,0.117,10.843,5.839,9.58,1.955,33.04,Y,83.61,7662,1.483,10.26,15.88,10.39,27.9,11.42
2022,South,4.687,1.772,8.583,6.14,8.607,7.772,11.15,2.338,64.62,Y,20.58,23468,11.326,351.22,34.73,74.12,15.94,15.64
2016,Central,2.483,7.132,13.866,5.364,30.142,9.54,8.808,1.485,77.42,N,26.61,7058,9.904,291.02,10.64,2.67,18.93,8.68
2021,NorthEast,1.765,12.238,4.599,2.228,8.889,4.101,11.054,2.472,60.58,Y,33.47,13457,12.686,486.17,15.38,52.19,7.89,9.77
2021,North,3.815,4.746,9.163,2.622,25.773,3.363,6.097,3.268,64.59,N,32.71,24040,6.955,324.78,52.79,59.25,13.71,12.89
2017,North,6.307,5.55,12.525,1.394,1.418,1.814,5.225,2.989,17.04,N,7.05,21696,0.705,105.06,2.47,29.61,29.57,2.95
2018,South,3.758,6.924,18.137,1.604,3.182,6.32,6.654,4.669,43.42,Y,26.65,5597,9.596,329.39,51.22,6.21,20.42,17.43
2017,West,7.006,3.897,18.759,1.294,4.789,8.804,7.858,5.334,29.66,N,0.4,16043,11.619,324.71,42.44,58.67,16.33,2.42
2020,South,2.369,11.462,18.915,6.619,6.598,9.32,8.442,0.073,90.32,N,8.78,19606,13.278,423.37,27.42,9.54,26.89,11.42
2021,Central,2.89,1.973,5.982,7.535,20.163,1.167,2.981,4.019,29.39,N,70.28,9048,10.786,400.82,24.72,49.19,0.14,2.71
2017,South,1.7,4.936,8.081,5.346,8.663,0.646,9.554,4.241,70.62,N,8.75,16439,9.652,27.68,5.39,10.02,15.43,0.13
2024,Central,4.917,6.862,21.477,3.705,12.807,6.495,10.805,3.128,41.18,Y,6.01,21445,12.841,64.3,46.9,64.71,21.41,2.27
2024,North,2.6,10.823,7.713,2.059,12.715,7.759,6.082,0.593,81.25,N,82.75,24376,4.606,33.62,10.87,68.43,28.27,13.16
2020,West,3.095,9.321,19.497,5.911,27.525,4.463,10.082,7.292,62.13,N,60.57,21159,11.744,301.72,49.83,13.23,10.43,13.67
2019,South,0.779,7.337,6.68,1.251,2.935,6.923,6.553,5.879,46.78,Y,1.77,14785,8.612,428.89,2.25,6.22,7.41,18.99
2023,North,3.422,12.692,14.825,7.922,5.21,1.258,4.678,6.813,55.0,Y,50.47,16026,5.891,44.64,21.67,41.19,19.72,0.18
2025,Central,1.171,0.757,13.686,0.529,9.398,7.143,9.108,5.252,62.07,N,24.75,2615,8.217,479.65,6.64,33.29,13.71,19.34
2020,South,7.343,6.242,17.439,4.77,8.897,11.609,4.595,1.493,90.02,N,2.1,6257,1.954,21.84,35.41,55.07,11.53,2.79
2022,North,0.268,10.044,12.873,8.099,30.189,4.967,5.047,5.414,83.18,N,46.23,2140,2.661,132.65,31.54,55.77,19.77,19.56
2023,South,5.719,6.773,18.081,6.432,6.363,1.417,1.393,0.944,87.78,N,51.89,14892,6.202,395.6,48.5,22.52,28.48,15.16
2020,West,5.5,11.793,6.042,5.263,5.717,10.49,10.469,4.82,44.99,Y,82.07,12009,12.475,7.13,1.97,18.19,18.44,1.34
2018,East,2.359,9.63,13.644,1.988,8.313,0.329,2.515,3.137,59.2,Y,19.48,943,3.418,326.87,32.33,54.99,16.65,0.88
2017,South,2.701,9.2,11.29,3.332,21.739,0.939,6.131,6.898,40.07,Y,16.12,23144,4.978,336.3,22.14,34.62,25.93,2.44
2020,NorthEast,3.68,2.157,14.945,2.309,9.706,11.629,7.391,2.986,76.74,N,72.21,11988,3.518,326.66,51.67,71.5,12.13,17.74
2017,Central,3.023,3.179,1.859,8.942,24.077,11.826,1.686,5.448,75.15,N,80.22,7928,14.657,280.87,34.63,2.02,15.24,8.64
2025,South,0.498,6.434,15.368,8.504,18.553,8.701,10.971,7.275,30.32,Y,27.29,6223,8.181,399.42,9.62,35.57,19.8,10.86
2022,Central,1.419,2.708,19.99,4.831,2.286,6.295,2.486,0.05,28.04,N,5.3,19095,10.826,221.83,6.52,18.0,8.41,15.8
2018,NorthEast,4.328,9.669,1.574,4.653,16.666,7.38,8.366,4.626,32.99,Y,27.52,14773,2.8,353.58,28.16,63.66,7.54,14.04
2016,East,5.124,12.179,9.273,0.461,31.772,0.864,5.323,1.707,55.97,N,40.61,3846,11.335,130.44,58.72,5.33,27.6,17.03
2018,Central,0.801,1.549,7.694,6.928,3.343,6.51,2.0,5.292,21.98,N,30.06,4384,5.208,458.55,3.23,75.36,20.08,14.78
2016,NorthEast,2.758,12.406,3.435,6.037,4.209,3.27,9.957,3.703,57.76,N,22.36,943,9.34,387.65,11.92,18.09,10.3,19.63
2019,West,6.126,14.74,6.491,1.902,32.183,9.857,1.59,7.192,38.96,N,8.66,1845,8.781,261.55,28.33,44.1,5.13,16.65
2023,Central,1.71,11.937,15.636,5.69,23.237,3.724,4.623,2.742,12.46,Y,22.04,1336,8.539,235.44,45.82,12.31,29.14,1.35
2015,East,0.971,11.994,6.924,2.03,25.63,2.221,5.126,4.694,41.95,N,57.32,9301,2.884,112.72,10.74,0.46,2.42,18.3
2017,Central,2.318,2.315,21.847,5.907,24.438,9.313,4.89,6.29,34.0,Y,48.6,17318,1.426,146.03,49.99,8.79,26.81,1.72
2025,North,4.51,4.114,3.329,5.825,18.368,10.726,1.784,5.742,57.85,N,27.4,8603,9.26,90.29,7.64,58.94,5.46,3.79
2017,East,5.891,7.921,9.049,0.604,12.609,10.676,1.128,0.066,63.67,Y,48.33,10713,10.308,322.24,59.84,49.75,27.45,0.44
2021,North,2.05,2.75,6.315,3.707,1.655,10.767,3.994,7.622,77.31,Y,4.24,7773,6.255,197.46,19.25,7.41,14.09,2.53
2020,South,3.703,12.19,6.063,0.136,29.619,9.602,5.901,3.874,18.35,Y,54.58,9892,2.632,327.62,40.12,57.97,15.25,7.31
2024,East,2.088,12.023,9.634,1.166,32.058,5.587,2.752,1.933,66.24,N,8.47,18410,3.773,492.59,35.72,68.51,2.56,13.01
2024,North,7.25,12.55,2.3,1.429,8.749,9.492,5.583,1.204,79.91,Y,55.95,18946,2.519,252.24,49.15,35.9,7.82,15.04
2023,South,7.12,9.72,11.827,6.274,25.0,11.314,10.664,7.013,35.21,Y,47.97,9967,7.618,292.0,26.96,45.25,2.48,1.76
2023,South,6.889,2.647,21.362,6.631,21.069,2.617,11.856,0.681,59.91,N,61.09,24074,12.281,433.55,44.27,40.66,4.76,6.86
2019,South,3.284,8.704,5.305,8.38,24.769,11.795,1.835,3.693,15.03,Y,0.73,19322,13.918,198.64,55.95,58.4,24.25,0.59
2022,North,6.521,7.49,3.313,3.319,2.937,0.877,7.184,3.483,31.52,N,4.18,16368,10.096,435.89,34.96,76.83,20.77,0.12
2024,South,0.52,11.221,12.329,7.027,20.11,11.525,7.873,3.426,87.46,Y,41.54,3733,14.052,256.13,56.33,73.83,15.96,9.82
2025,Central,5.319,4.992,13.27,2.611,33.416,8.882,7.769,5.754,88.4,N,47.0,13252,11.037,347.92,5.85,69.13,16.1,8.74
2017,South,4.994,12.303,9.495,6.502,31.793,0.105,4.342,0.343,90.77,Y,7.29,9477,2.64,396.93,51.48,30.02,22.25,3.63
2023,North,6.515,6.353,8.02,3.883,17.605,4.793,3.647,0.933,44.66,N,77.7,16106,1.818,43.1,17.28,37.15,1.71,16.29
2020,North,6.055,8.454,16.907,4.417,7.381,11.552,10.246,7.712,93.21,N,63.01,9807,14.293,37.85,57.96,51.37,16.67,1.87
2024,South,5.996,4.015,0.894,5.109,8.631,0.784,7.889,1.481,55.28,Y,56.01,5244,4.14,445.58,52.67,18.11,11.86,8.99
2015,NorthEast,4.701,14.343,7.696,8.766,1.639,3.492,2.512,2.21,33.77,Y,37.84,18839,6.036,220.21,11.05,30.83,26.09,4.33
2020,Central,6.973,13.689,6.574,7.089,24.112,0.254,9.273,5.167,63.1,Y,32.76,160,5.881,142.57,25.72,58.69,16.14,4.42
2021,West,6.777,5.864,6.946,5.349,13.024,9.201,7.668,7.871,42.95,N,41.68,23609,6.66,492.32,7.49,7.67,15.34,9.19
2018,North,2.312,3.526,21.411,6.04,16.059,9.566,7.152,4.903,29.99,N,19.99,1189,12.992,420.29,48.86,1.23,17.11,12.41
2023,Central,4.454,2.498,14.443,7.283,2.79,10.914,10.137,7.233,33.79,Y,1.96,21179,1.264,150.11,33.38,34.73,22.72,12.87
2024,NorthEast,6.268,13.618,1.004,2.637,14.193,9.973,5.504,5.654,75.66,N,41.56,3869,3.796,340.25,25.07,78.92,23.83,0.92
2020,South,4.256,6.369,10.344,5.581,28.327,0.034,10.024,2.03,44.81,Y,29.82,16471,7.959,471.11,42.28,62.87,27.81,19.92
2019,West,5.352,12.546,0.861,0.859,33.622,9.094,6.534,1.35,86.06,N,49.12,12678,7.959,115.35,12.34,9.1,8.65,9.39
2024,Central,6.382,13.096,14.588,1.791,2.649,2.724,3.025,4.333,44.79,Y,45.92,10480,12.587,91.75,10.89,45.51,10.77,14.3
2019,Central,3.773,0.691,11.808,1.366,8.005,9.239,1.616,4.802,60.67,Y,4.6,17460,14.533,199.35,32.61,11.97,16.5,0.35
2015,West,5.816,7.382,16.136,7.647,23.188,4.49,1.893,6.279,21.18,N,9.92,15910,7.93,18.07,15.34,58.54,13.8,9.89
2024,Central,7.412,8.166,6.723,2.389,14.754,6.624,7.335,7.608,51.48,Y,51.0,7509,1.376,396.33,20.68,40.26,26.43,3.32
2015,North,2.625,0.563,8.262,5.379,6.103,7.327,5.537,1.204,26.0,Y,21.97,1350,2.232,259.64,47.31,32.23,17.38,3.3
2020,NorthEast,1.473,1.326,18.657,0.802,27.021,8.357,5.034,2.888,93.29,Y,72.24,15468,14.461,87.42,16.89,27.71,29.58,5.59
2018,East,0.607,6.875,9.248,8.758,31.505,6.276,7.743,3.507,53.27,N,81.22,9535,11.244,169.89,23.06,3.24,26.36,16.81
2018,South,5.082,4.869,0.511,6.89,10.099,8.65,1.174,7.501,14.61,Y,49.74,2420,11.023,288.23,38.51,43.63,14.81,19.32
2017,West,0.554,11.703,5.015,8.895,31.363,11.181,5.143,0.523,14.7,Y,83.01,9773,6.711,410.0,15.11,72.18,24.33,9.85
2017,West,4.394,9.541,1.751,6.992,9.869,7.182,3.08,1.388,28.19,Y,63.33,11148,9.614,284.14,59.65,10.7,9.2,1.53
2023,West,5.917,12.945,13.587,4.541,29.036,1.878,5.198,5.034,61.77,N,57.67,22179,11.585,43.79,54.68,79.97,7.12,11.76
2019,North,4.352,1.482,6.734,4.845,34.017,6.586,1.861,4.249,70.31,Y,79.27,17320,4.757,57.11,10.43,28.6,1.23,3.88
2016,North,0.8,8.096,12.487,0.557,26.856,6.166,8.364,7.871,94.22,N,0.72,1002,7.33,459.24,0.32,46.52,28.21,3.75
2015,NorthEast,1.061,13.668,9.559,3.124,34.027,7.802,7.188,2.901,58.68,Y,55.17,1824,4.194,127.51,21.49,69.62,28.45,18.04
2024,North,2.451,3.904,19.793,7.73,7.148,7.765,2.916,5.886,53.13,N,10.58,12396,12.174,490.58,57.25,51.52,17.51,7.9
2021,West,1.452,2.987,16.424,0.109,4.308,3.66,4.798,2.296,83.22,N,6.67,2495,7.031,398.78,0.98,34.11,12.64,4.09
2025,NorthEast,2.211,3.765,18.9,4.887,31.809,10.041,10.026,0.953,51.21,N,74.74,9571,6.764,87.9,29.56,60.79,17.43,10.88
2023,NorthEast,1.391,8.462,20.755,1.767,14.522,8.803,6.73,6.656,84.78,N,41.29,6388,9.288,279.45,51.53,27.5,9.53,14.11
2018,North,5.38,6.133,5.738,0.698,24.987,5.203,9.596,3.471,62.49,N,31.58,5408,13.979,2.62,56.1,76.38,13.87,3.32
2016,East,5.771,4.502,12.986,1.888,28.734,0.962,9.094,7.085,51.38,Y,53.45,13846,7.782,339.62,37.5,77.58,2.32,17.34
2016,Central,2.923,10.752,2.742,0.413,6.009,0.745,4.657,6.523,93.14,N,75.69,15990,5.024,446.55,33.71,9.75,2.59,13.14
2015,West,6.204,4.301,2.462,6.438,15.061,11.478,9.095,0.855,27.24,N,55.49,9706,7.922,246.34,58.99,24.81,18.83,8.03
2024,West,6.381,13.162,17.195,2.279,33.0,5.429,0.523,2.598,35.98,N,5.54,11542,14.858,496.35,26.88,23.77,23.65,5.03
2022,East,5.072,11.443,15.582,8.161,34.71,3.867,8.645,3.554,92.6,Y,27.63,4498,3.964,135.56,17.08,4.27,5.45,17.14
2021,NorthEast,4.497,1.416,4.744,3.77,6.133,11.7,1.915,3.638,53.2,N,19.79,19675,8.389,137.45,53.08,43.38,2.28,3.24
2016,South,1.825,5.526,14.729,7.945,28.515,10.589,10.895,5.538,40.98,N,44.25,2843,14.145,361.98,47.34,19.22,4.87,4.43
2017,North,1.542,13.739,19.406,2.501,11.968,3.675,4.036,0.332,77.08,Y,20.12,13400,3.835,366.68,54.15,47.41,1.36,17.32
2019,Central,2.267,6.174,5.01,1.564,21.703,3.233,2.712,1.854,48.71,Y,56.97,16988,8.651,486.95,3.99,4.41,21.43,7.78
2015,South,5.331,10.78,17.325,7.193,30.825,8.697,11.735,0.97,34.94,N,67.37,11222,5.153,490.59,58.26,34.08,2.28,6.84
2015,West,7.142,14.909,13.573,2.131,10.944,4.199,1.529,1.695,81.8,N,82.57,615,13.186,73.65,58.97,73.3,27.44,0.5
2021,NorthEast,2.517,7.215,19.969,7.324,14.166,7.485,7.763,5.524,21.41,N,20.83,23999,1.2,379.0,12.47,73.49,9.82,5.89
2015,East,5.185,1.828,11.486,4.713,2.521,8.988,2.641,6.765,74.7,N,5.36,23146,14.603,212.72,46.72,16.39,7.0,12.5
2015,Central,4.738,12.466,1.843,4.964,13.02,8.369,6.901,6.492,58.15,Y,68.46,8357,8.637,27.85,16.45,62.15,6.05,2.3
2020,NorthEast,3.853,5.973,1.852,0.177,3.038,9.329,3.525,2.213,56.41,N,26.64,13561,4.476,290.06,18.1,26.97,2.04,19.35
2022,West,2.168,9.144,4.795,2.731,3.655,7.11,4.72,7.86,53.6,Y,65.08,21325,5.831,488.01,59.09,5.07,28.96,4.64
2018,NorthEast,3.627,2.045,2.879,3.359,24.711,4.129,0.929,3.556,77.63,N,13.44,18697,0.401,444.48,55.23,51.24,0.98,15.84
2023,NorthEast,1.019,8.993,10.727,0.2,9.261,2.607,8.61,1.049,12.67,Y,66.0,19156,12.81,306.14,45.82,30.06,9.52,4.38
2016,West,4.629,5.82,3.67,4.697,2.697,1.991,5.762,4.709,68.17,Y,77.54,13654,11.373,284.47,34.09,64.43,11.54,17.73
2019,Central,3.204,14.257,7.547,3.072,21.428,8.03,9.075,4.967,71.38,Y,69.89,12793,7.189,51.97,39.17,72.57,21.19,8.97
2016,South,1.924,8.236,11.89,4.27,32.955,8.896,0.52,1.66,47.4,Y,84.92,23464,14.811,263.61,52.81,79.94,14.02,5.63
2025,NorthEast,0.609,10.636,10.209,8.123,32.325,2.052,3.808,4.081,86.77,Y,16.59,4497,14.777,286.97,32.45,17.73,5.3,3.49
2024,South,0.737,3.918,1.552,4.074,4.538,11.417,11.67,4.136,83.86,N,32.79,825,2.963,333.09,50.8,48.38,5.21,11.38
2025,NorthEast,5.653,3.728,19.157,5.159,5.222,4.813,10.28,7.061,45.92,Y,13.22,1939,11.948,0.23,15.99,60.5,0.02,19.48
2025,South,7.938,4.836,13.458,7.138,16.262,5.029,8.538,4.152,46.39,N,49.16,8157,14.424,196.45,58.69,16.41,8.35,1.16
2015,East,2.265,13.121,11.332,6.791,15.078,8.423,3.42,1.641,61.38,Y,67.03,18504,1.62,237.09,35.0,16.64,26.92,13.16
2017,West,5.558,7.78,5.015,5.146,11.9,8.142,3.377,6.054,30.59,N,59.97,14599,0.387,33.26,43.35,56.86,18.19,12.3
2022,North,7.621,14.615,15.348,2.618,30.136,8.901,4.489,2.128,32.74,Y,38.63,21680,11.993,307.57,11.82,43.12,20.83,7.96
2023,West,1.479,2.663,17.84,4.574,21.533,4.712,0.68,5.213,54.25,Y,66.29,17600,13.779,465.75,47.5,21.72,0.65,3.47
2018,Central,4.431,3.763,18.8,5.442,20.692,9.033,0.41,6.27,71.31,Y,38.07,3775,10.03,431.34,34.88,25.34,11.53,11.13
2018,North,4.077,14.784,12.407,3.561,28.525,7.315,8.47,5.967,25.57,Y,46.83,9399,9.749,435.56,8.04,51.32,12.32,14.79
