tech_broadband_reference_year,tech_broadband_country_iso2,tech_broadband_region_nuts_code,tech_broadband_technology_type_code,tech_broadband_households_covered_pct,tech_broadband_households_subscribed_pct,tech_broadband_download_speed_mbps_median,tech_broadband_upload_speed_mbps_median,tech_broadband_latency_ms_median,tech_broadband_5g_coverage_pct,tech_broadband_fiber_coverage_pct,tech_broadband_rural_coverage_gap_pp,tech_broadband_affordability_index,tech_broadband_price_eur_per_month_median,tech_broadband_outage_minutes_avg,tech_broadband_net_neutrality_complaints_count,tech_broadband_public_subsidy_program_code,tech_broadband_infrastructure_investment_eur,tech_broadband_desi_component_score,tech_broadband_data_extract_date
2022,FI,MT8,DSL,84.59,39.89,42.63,11.89,47.16,77.5,47.52,50.8,97.69,68.59,139.99,79,ERDF_CONNECT,30385361.52,59.87,2025-09-17
2023,IE,LU689,DSL,69.0,51.87,22.04,4.9,50.51,14.86,39.72,20.76,66.35,84.7,140.89,47,RRF_BROADBAND,178932277.34,75.04,2026-02-04
2024,MT,LV402,DSL,52.45,36.27,37.0,2.81,19.5,78.62,25.47,31.45,60.68,70.64,44.07,39,CEF2_DIGITAL,214792238.47,83.82,2025-06-17
2025,SK,SE866,DSL,55.69,51.13,17.36,6.57,53.24,77.66,17.65,28.99,45.15,70.33,113.73,45,NONE,142284901.38,52.56,2025-02-03
2026,BE,FR25,DSL,64.12,31.73,17.86,12.28,21.81,58.1,44.53,37.41,66.07,27.1,92.25,44,STATE_AID_GBER,105125365.38,55.3,2025-09-19
2014,DK,FI96,DSL,81.44,35.57,27.4,4.58,35.79,32.9,32.25,41.55,62.88,23.86,373.38,60,NATIONAL_RURAL_FIBER,88878866.67,83.86,2024-11-24
2015,GR,MT166,DSL,59.45,21.81,18.9,1.72,43.12,63.68,36.06,20.06,97.21,65.02,198.67,1,ERDF_CONNECT,191479094.87,66.91,2025-02-19
2016,LT,FR443,DSL,41.77,31.02,35.86,13.52,48.95,35.48,33.21,10.0,51.09,36.27,410.95,2,RRF_BROADBAND,166704088.5,44.97,2025-03-19
2017,PT,NL89,DSL,80.13,57.29,20.89,6.32,49.42,15.76,53.59,10.74,96.24,28.56,165.34,5,CEF2_DIGITAL,144283727.66,55.35,2024-11-04
2018,SE,SK545,DSL,53.27,31.14,42.54,8.33,26.48,54.81,55.1,51.3,56.69,53.44,17.13,15,NONE,153436907.74,41.72,2024-12-27
2019,CY,GR17,DSL,66.23,31.44,50.33,13.34,27.17,42.4,61.6,39.66,48.38,55.79,112.31,15,STATE_AID_GBER,112985301.35,66.25,2024-01-14
2020,FR,IE38,DSL,75.65,36.26,36.15,5.54,24.24,84.15,6.33,28.09,45.08,34.82,217.65,13,NATIONAL_RURAL_FIBER,80359731.2,67.07,2025-04-24
2021,IT,LU638,DSL,72.09,57.11,13.31,3.78,37.84,24.02,47.75,10.02,50.79,83.84,272.23,27,ERDF_CONNECT,253072850.5,63.85,2025-01-14
2022,NL,BE942,DSL,73.28,58.33,41.64,2.62,29.34,57.26,39.25,49.33,49.65,81.7,97.58,15,RRF_BROADBAND,123654367.68,78.21,2025-08-16
2023,SI,ES4,DSL,74.53,63.86,48.09,6.9,18.66,79.64,55.39,26.85,57.81,74.88,311.55,10,CEF2_DIGITAL,122018642.12,43.01,2026-01-23
2024,BG,RO152,DSL,70.5,62.19,34.98,4.64,18.72,22.8,46.7,42.26,59.07,65.07,59.5,10,NONE,226320108.55,68.56,2024-07-07
2025,EE,PL27,DSL,77.27,64.41,38.66,4.37,28.14,89.53,36.6,20.09,77.62,41.67,106.37,50,STATE_AID_GBER,351453189.73,27.16,2024-01-24
2026,HU,IE580,DSL,48.58,28.66,14.5,13.98,47.55,14.1,49.52,20.11,55.66,66.4,396.2,19,NATIONAL_RURAL_FIBER,209555514.63,27.31,2024-11-11
2014,LU,DK5,DSL,40.54,36.89,10.96,5.04,36.25,82.94,70.59,37.37,79.67,22.52,172.98,16,ERDF_CONNECT,50448506.4,66.91,2024-09-25
2015,RO,PL53,DSL,63.46,32.89,44.96,3.7,19.65,88.22,53.38,52.82,59.06,43.29,137.3,21,RRF_BROADBAND,172577263.44,28.44,2025-06-12
2016,AT,MT369,DSL,42.62,20.53,39.28,7.67,41.19,26.21,13.24,52.19,87.35,64.31,322.14,24,CEF2_DIGITAL,3315340.73,60.3,2025-07-13
2017,CZ,FR888,DSL,66.21,56.83,50.59,5.98,40.09,17.1,20.49,51.72,52.09,21.27,180.55,24,NONE,51798312.03,68.51,2024-07-16
2018,DE,PT34,DSL,82.86,73.61,31.18,6.18,32.36,88.28,31.69,13.65,51.35,21.1,50.35,45,STATE_AID_GBER,223178247.96,53.66,2024-02-16
2019,LV,SK244,DSL,61.78,55.73,51.41,8.42,30.51,81.2,67.13,17.32,79.91,34.62,118.8,36,NATIONAL_RURAL_FIBER,263450375.42,53.87,2024-05-02
2020,PL,SI561,DSL,43.74,30.48,43.45,6.18,23.98,39.65,16.28,42.01,57.94,28.77,126.16,22,ERDF_CONNECT,252150292.32,59.97,2025-08-21
2021,ES,IE307,DSL,83.3,67.67,47.49,10.56,47.05,86.41,10.62,49.6,49.32,80.53,231.29,30,RRF_BROADBAND,224856365.0,23.27,2025-07-03
2022,HR,RO56,DSL,40.55,14.72,54.15,8.9,30.05,59.6,73.75,52.53,71.21,58.61,347.52,21,CEF2_DIGITAL,236531605.29,80.86,2024-11-11
2023,FI,LU13,DSL,76.81,35.84,40.93,11.03,49.23,39.76,35.19,28.3,50.89,60.0,388.11,22,NONE,191881150.69,68.64,2025-07-27
2024,IE,RO26,DSL,35.2,13.78,30.32,11.38,34.43,90.89,67.58,13.83,44.53,21.16,33.76,26,STATE_AID_GBER,15363610.99,60.83,2025-10-03
2025,MT,IE996,DSL,49.08,17.52,37.62,7.48,19.44,78.04,63.9,14.69,92.8,53.85,291.05,34,NATIONAL_RURAL_FIBER,150912433.59,37.29,2024-01-13
2026,SK,HU80,DSL,83.29,52.41,16.82,5.67,48.37,49.95,54.02,8.87,77.5,79.02,193.13,30,ERDF_CONNECT,121093606.06,45.42,2024-10-07
2014,BE,IE520,DSL,51.85,23.17,38.49,14.77,21.75,48.05,13.59,32.48,49.77,62.62,55.92,32,RRF_BROADBAND,70552711.33,26.16,2024-03-14
2015,DK,AT5,DSL,70.78,48.21,10.84,14.48,52.1,53.35,23.29,39.75,50.35,69.02,25.8,38,CEF2_DIGITAL,13161652.16,61.52,2025-07-14
2016,GR,BG211,DSL,84.13,73.53,11.52,14.66,50.78,48.28,46.9,34.63,95.67,65.61,21.95,37,NONE,206742621.4,84.11,2026-02-13
2017,LT,LU89,DSL,81.07,36.36,12.83,1.67,22.5,66.02,29.53,28.27,84.58,36.26,191.81,39,STATE_AID_GBER,26040431.69,63.09,2025-01-30
2018,PT,RO790,DSL,66.99,58.22,15.8,9.35,20.9,40.15,14.77,45.69,71.91,82.13,85.16,31,NATIONAL_RURAL_FIBER,412317738.6,64.01,2024-07-25
2019,SE,CY6,DSL,36.78,32.11,15.84,13.19,19.99,66.07,23.75,52.24,40.24,39.27,43.06,31,ERDF_CONNECT,143344246.13,26.31,2025-02-17
2020,CY,SI452,DSL,59.9,48.49,24.47,7.17,19.28,23.62,30.18,42.34,57.93,76.89,333.01,34,RRF_BROADBAND,9077109.06,28.74,2024-02-25
2021,FR,FI78,DSL,57.22,34.58,36.17,12.32,31.96,14.48,12.76,9.26,44.38,41.39,154.58,34,CEF2_DIGITAL,158138241.95,26.2,2026-01-28
2022,IT,SE31,DSL,56.26,35.4,37.18,5.94,20.57,63.18,68.63,6.71,97.14,51.24,152.3,40,NONE,77364548.44,61.3,2025-11-23
2023,NL,IT414,DSL,56.92,29.23,50.66,10.85,27.71,70.12,32.83,15.08,67.94,81.34,272.77,75,STATE_AID_GBER,155521604.6,52.78,2024-12-22
2024,SI,FI6,DSL,47.32,43.35,15.01,1.75,51.83,17.77,12.0,35.75,87.1,46.08,409.38,38,NATIONAL_RURAL_FIBER,26137372.44,36.52,2024-05-18
2025,BG,GR84,DSL,68.17,48.88,37.32,2.19,52.2,54.03,6.22,24.03,76.54,57.93,237.58,37,ERDF_CONNECT,294291861.45,65.44,2026-02-23
2026,EE,RO729,DSL,72.89,37.32,26.44,13.25,20.3,51.75,59.76,23.18,89.12,75.19,289.21,63,RRF_BROADBAND,44291998.84,62.51,2024-11-29
2014,HU,CY91,DSL,52.02,19.85,31.92,7.38,50.33,34.03,43.54,45.77,40.79,23.92,416.1,44,CEF2_DIGITAL,242785933.81,42.13,2024-09-03
2015,LU,NL772,DSL,62.27,52.43,10.11,11.81,38.94,39.52,68.29,9.48,45.71,25.43,201.7,72,NONE,168061220.97,71.88,2025-08-03
2016,RO,SE494,DSL,53.08,35.23,52.38,3.13,33.18,76.47,35.6,50.71,52.68,66.65,147.8,2,STATE_AID_GBER,83164605.95,62.55,2025-09-23
2017,AT,PL676,DSL,37.25,27.52,28.61,6.62,36.66,46.56,48.77,7.0,53.58,70.52,74.58,12,NATIONAL_RURAL_FIBER,212381670.94,42.24,2024-04-26
2018,CZ,CY282,DSL,40.2,15.74,48.25,8.35,18.33,27.82,71.56,7.21,84.08,55.67,142.63,11,ERDF_CONNECT,352339628.28,84.72,2024-04-21
2019,DE,CY1,DSL,71.94,54.91,20.27,8.74,53.49,12.96,67.9,10.64,81.53,41.83,371.67,7,RRF_BROADBAND,365791325.21,38.6,2025-06-18
2020,LV,SK9,DSL,62.65,31.88,44.47,12.99,28.44,21.12,29.2,14.37,41.95,80.25,352.03,4,CEF2_DIGITAL,210342566.24,82.74,2024-08-31
2021,PL,CZ893,DSL,52.65,31.8,17.23,8.74,40.47,29.42,21.87,14.32,81.83,41.46,309.66,14,NONE,167909234.85,47.15,2025-11-19
2022,ES,NL83,DSL,58.61,53.2,54.5,12.71,45.7,13.33,52.39,22.31,68.66,41.5,257.83,15,STATE_AID_GBER,11750951.55,26.21,2025-04-29
2023,HR,IE311,DSL,52.58,32.86,33.91,13.24,42.83,62.71,18.94,27.49,55.48,48.93,377.1,16,NATIONAL_RURAL_FIBER,113355252.06,25.43,2024-03-28
2024,FI,BE39,DSL,46.21,17.24,42.09,8.12,21.07,35.02,26.98,14.31,61.22,82.65,251.99,16,ERDF_CONNECT,131689471.36,34.49,2024-01-15
2025,IE,CY49,DSL,39.38,19.55,25.46,8.49,46.98,57.91,39.91,43.16,65.32,35.38,219.8,12,RRF_BROADBAND,123836312.29,40.17,2025-10-31
2026,MT,AT879,DSL,63.7,40.78,33.1,9.22,54.61,16.08,18.19,26.62,50.54,43.03,169.07,12,CEF2_DIGITAL,97991122.76,70.95,2024-09-01
2014,SK,PT263,DSL,75.86,56.45,21.87,10.18,33.92,85.99,34.99,42.76,75.38,40.36,274.75,16,NONE,351408584.46,65.24,2025-12-11
2015,BE,DK2,DSL,41.77,31.7,26.33,3.06,36.43,90.59,44.6,22.8,60.73,75.21,368.24,21,STATE_AID_GBER,345931019.9,36.43,2024-06-09
2016,DK,IE2,DSL,78.51,42.83,41.67,1.53,38.4,68.79,29.06,45.26,50.74,64.04,67.04,20,NATIONAL_RURAL_FIBER,313637899.25,59.67,2024-07-04
2017,GR,PL488,DSL,68.19,33.61,22.36,7.05,23.89,57.71,67.17,45.48,85.06,36.41,253.76,14,ERDF_CONNECT,46010385.62,59.26,2024-03-15
2018,LT,FI224,DSL,76.23,30.99,26.5,7.26,22.79,92.95,60.19,35.01,88.97,37.79,73.83,23,RRF_BROADBAND,71329085.17,73.7,2026-01-01
2019,PT,LT313,DSL,57.45,32.98,29.27,9.51,53.83,24.5,7.64,17.75,60.76,80.55,401.09,17,CEF2_DIGITAL,373081632.78,49.69,2025-02-05
2020,SE,MT790,DSL,59.92,30.34,12.44,7.04,31.7,75.86,42.97,33.83,86.57,25.31,335.67,24,NONE,200659209.03,44.07,2024-06-22
2021,CY,PL2,DSL,71.01,60.53,27.72,11.4,26.99,60.74,29.23,19.49,65.91,52.82,36.48,30,STATE_AID_GBER,8431870.51,81.92,2024-06-09
2022,FR,SI32,DSL,42.83,17.1,54.61,3.23,24.24,93.97,39.76,52.92,80.13,40.72,75.28,19,NATIONAL_RURAL_FIBER,26350448.7,41.8,2025-03-08
2023,IT,DE35,DSL,49.62,39.24,38.56,5.29,23.86,71.97,28.7,39.18,43.15,45.64,304.13,28,ERDF_CONNECT,282733176.22,54.8,2025-11-02
2024,NL,RO590,DSL,74.38,31.88,22.1,2.37,54.23,77.13,30.94,23.05,62.33,21.93,84.73,22,RRF_BROADBAND,112168468.42,50.49,2026-01-03
2025,SI,IT42,DSL,57.12,43.66,27.23,7.18,34.63,20.38,38.76,46.2,83.74,25.88,382.59,81,CEF2_DIGITAL,79076793.55,78.04,2025-11-28
2026,BG,IT54,DSL,76.94,66.81,36.69,13.53,31.08,47.4,13.21,33.16,43.8,35.76,83.49,23,NONE,82871056.27,56.84,2025-02-21
2014,EE,CZ394,DSL,54.24,43.35,53.74,13.22,22.55,84.74,7.42,31.76,73.05,19.7,371.43,26,STATE_AID_GBER,1095644.81,40.64,2026-01-19
2015,HU,EE81,DSL,48.86,39.5,11.78,9.77,24.31,18.61,24.88,39.61,65.88,51.84,220.58,30,NATIONAL_RURAL_FIBER,111397914.37,26.82,2025-12-07
2016,LU,LU42,DSL,72.48,55.84,34.51,8.46,45.16,86.83,19.87,24.72,97.51,84.51,172.61,65,ERDF_CONNECT,114158329.36,49.55,2025-06-15
2017,RO,BE91,DSL,80.77,29.55,49.43,10.32,31.68,14.51,37.79,16.8,94.48,19.48,320.11,28,RRF_BROADBAND,51269915.96,35.29,2024-01-25
2018,AT,ES303,DSL,46.73,24.71,37.57,8.59,38.7,43.82,42.4,22.85,58.61,23.39,223.87,28,CEF2_DIGITAL,85332656.63,68.24,2024-01-19
2019,CZ,SE892,DSL,48.72,33.52,34.57,12.02,42.1,40.26,69.91,49.81,77.39,65.99,376.06,38,NONE,179302781.7,61.22,2025-01-06
2020,DE,FR603,DSL,74.24,62.14,46.52,10.79,21.21,18.73,49.48,13.49,82.95,43.27,349.04,34,STATE_AID_GBER,147340357.67,53.96,2025-12-24
2021,LV,DE4,DSL,72.68,63.95,38.12,2.46,27.27,84.95,33.44,52.14,72.56,74.79,265.25,32,NATIONAL_RURAL_FIBER,37136782.08,44.68,2024-10-17
2022,PL,HU84,DSL,61.17,29.55,40.8,3.3,47.71,58.16,26.56,31.11,51.83,21.74,315.19,35,ERDF_CONNECT,127287328.99,53.09,2024-06-30
2023,ES,LV89,DSL,69.49,37.12,15.76,13.46,26.86,18.75,35.56,27.38,68.09,21.25,360.4,43,RRF_BROADBAND,127530833.88,23.42,2024-05-06
2024,HR,PT228,DSL,79.08,52.34,47.26,4.74,18.98,45.37,69.6,33.66,95.37,44.38,24.96,50,CEF2_DIGITAL,284391636.95,32.84,2024-09-15
2025,FI,DE47,DSL,60.18,46.88,20.1,10.15,43.09,79.13,52.1,14.98,48.25,76.33,371.66,41,NONE,45237697.12,55.01,2024-07-02
2026,IE,LT26,DSL,74.16,66.07,16.41,7.86,32.03,65.47,11.27,28.7,64.91,20.66,310.16,45,STATE_AID_GBER,252467316.93,43.74,2024-06-06
2014,MT,GR37,DSL,83.26,70.13,31.06,2.11,26.27,70.92,27.99,38.25,48.94,71.03,344.09,38,NATIONAL_RURAL_FIBER,217625586.32,31.21,2025-09-13
2015,SK,FR2,DSL,59.9,33.3,31.68,4.48,28.59,63.49,69.41,13.21,65.29,53.28,400.13,47,ERDF_CONNECT,167471452.65,81.81,2024-09-03
2016,BE,SI209,DSL,70.59,61.33,44.4,11.94,41.48,59.21,19.11,9.67,42.43,21.46,416.72,40,RRF_BROADBAND,236977252.75,59.35,2024-10-21
2017,DK,DK98,DSL,60.19,35.87,31.83,6.19,40.21,29.09,35.38,50.12,42.46,65.98,306.95,48,CEF2_DIGITAL,205841944.17,49.74,2025-05-31
2018,GR,NL704,DSL,71.22,55.81,15.56,3.23,34.97,43.08,32.79,29.59,78.3,24.66,96.68,2,NONE,174803437.8,69.96,2024-02-15
2019,LT,CY93,DSL,68.12,53.65,31.68,3.84,48.22,28.98,45.83,32.06,84.83,37.81,239.73,5,STATE_AID_GBER,162909650.36,47.99,2024-04-04
2020,PT,HU100,DSL,69.53,25.75,27.65,13.08,23.78,63.68,54.33,7.94,95.66,27.88,339.89,10,NATIONAL_RURAL_FIBER,25119844.06,20.44,2024-02-10
2021,SE,CZ2,DSL,46.45,33.77,48.46,6.9,38.97,92.04,5.21,37.41,74.1,79.6,303.52,15,ERDF_CONNECT,42746751.74,81.59,2024-02-16
2022,CY,PL261,DSL,68.31,31.98,19.39,12.54,27.19,83.66,45.58,47.64,93.33,33.74,162.16,5,RRF_BROADBAND,156479618.09,80.71,2025-06-04
2023,FR,HR604,DSL,64.76,39.43,45.62,12.91,40.79,17.31,51.92,41.48,56.42,69.77,369.09,15,CEF2_DIGITAL,209430015.73,30.59,2026-01-25
2024,IT,GR329,DSL,74.9,28.29,42.27,6.0,31.18,20.44,41.85,20.45,69.03,67.44,370.15,10,NONE,141635169.74,47.45,2025-07-13
2025,NL,MT7,DSL,65.58,54.15,30.2,7.69,44.02,97.19,36.77,50.09,95.98,44.24,22.27,18,STATE_AID_GBER,206778304.67,77.11,2024-07-11
2026,SI,HR1,DSL,70.71,26.07,52.16,7.42,52.26,39.26,20.07,53.2,74.1,76.23,173.51,21,NATIONAL_RURAL_FIBER,150990824.66,45.76,2025-01-23
2014,BG,AT417,DSL,35.83,20.94,14.59,12.85,45.59,83.01,37.89,29.84,43.91,55.73,296.13,19,ERDF_CONNECT,226305090.15,69.04,2025-12-06
2015,EE,PL398,DSL,45.28,19.15,18.14,5.45,43.5,25.12,63.47,20.41,85.95,40.87,267.69,13,RRF_BROADBAND,154509013.15,49.62,2025-12-13
2016,HU,NL202,DSL,69.88,52.29,40.16,9.21,33.65,19.01,50.64,34.23,54.16,75.26,17.37,22,CEF2_DIGITAL,122452651.93,67.86,2025-05-29
2017,LU,HR184,DSL,52.85,29.52,21.11,11.49,35.15,73.66,71.16,35.77,66.25,50.29,74.84,49,NONE,211367066.91,20.55,2025-05-09
2018,RO,PT655,DSL,63.98,41.37,38.89,9.72,53.41,61.76,40.13,40.8,92.57,51.7,205.91,18,STATE_AID_GBER,335136382.8,54.68,2025-06-28
2019,AT,IT966,DSL,73.13,53.89,24.86,7.68,22.13,97.74,40.32,47.72,90.23,70.64,154.19,26,NATIONAL_RURAL_FIBER,346700888.58,79.76,2024-02-14
2020,CZ,LV3,DSL,41.72,18.38,10.16,9.15,22.84,96.83,69.65,49.22,79.82,19.73,49.67,41,ERDF_CONNECT,61352704.74,74.33,2025-10-25
2021,DE,IT14,DSL,67.93,49.03,16.56,13.28,19.94,93.04,49.02,17.11,79.91,36.7,156.38,18,RRF_BROADBAND,152302601.29,59.88,2025-07-05
2022,LV,SI60,DSL,40.08,26.28,33.36,9.76,23.92,37.75,23.86,29.52,93.83,45.0,126.67,28,CEF2_DIGITAL,195234171.85,54.35,2025-07-02
2023,PL,DE33,DSL,53.58,22.39,30.87,1.8,22.66,59.33,32.93,24.97,96.33,23.99,232.5,28,NONE,189748684.54,39.3,2025-06-23
2024,ES,LV12,DSL,48.21,33.3,38.54,7.29,28.06,95.88,49.52,53.41,89.8,81.67,336.97,28,STATE_AID_GBER,328416597.78,63.22,2025-04-03
2025,HR,GR15,DSL,65.48,28.99,36.25,11.77,47.48,65.05,44.74,44.27,73.11,75.41,13.17,26,NATIONAL_RURAL_FIBER,380975007.5,72.4,2024-04-02
2026,FI,MT768,DSL,68.87,24.25,45.28,11.89,54.36,50.57,9.24,33.5,43.74,26.48,140.21,32,ERDF_CONNECT,49345713.52,38.24,2024-08-27
2014,IE,GR908,DSL,78.77,33.27,32.69,4.21,20.96,38.69,9.74,19.27,61.71,73.84,324.26,63,RRF_BROADBAND,208321718.12,21.6,2025-05-21
2015,MT,SK29,DSL,81.62,59.0,34.21,7.37,19.77,80.84,48.35,52.18,91.14,30.47,335.44,27,CEF2_DIGITAL,264474115.82,46.34,2024-05-17
2016,SK,AT732,DSL,76.07,69.39,24.2,5.45,46.9,28.99,59.53,42.74,75.02,30.55,190.49,25,NONE,170099784.71,48.97,2024-04-18
2017,BE,DK788,DSL,62.98,23.15,53.6,10.7,45.17,45.38,23.29,17.96,89.08,70.23,413.13,28,STATE_AID_GBER,327207663.82,56.34,2025-01-07
2018,DK,BG9,DSL,79.04,39.98,37.15,14.99,48.61,17.02,29.21,51.81,95.52,41.43,266.14,39,NATIONAL_RURAL_FIBER,347324504.32,49.46,2025-07-07
2019,GR,LV640,DSL,39.73,19.52,45.35,7.92,38.24,68.98,47.46,25.5,54.04,20.71,212.17,34,ERDF_CONNECT,21259076.4,32.8,2025-02-04
2020,LT,AT7,DSL,54.32,41.07,51.27,3.82,50.25,18.62,13.22,24.14,66.24,25.2,179.62,40,RRF_BROADBAND,51207824.48,21.3,2025-07-14
2021,PT,PT44,DSL,82.8,55.39,25.55,14.0,44.0,81.32,23.21,39.31,70.17,56.77,51.16,47,CEF2_DIGITAL,205074973.52,83.74,2024-09-02
