tax_vat_reference_year,tax_vat_country_iso2,tax_vat_region_nuts_code,tax_vat_vat_rate_standard_pct,tax_vat_vat_rate_reduced_pct,tax_vat_tax_base_eur,tax_vat_net_vat_revenue_eur,tax_vat_gross_vat_revenue_eur,tax_vat_refunds_eur,tax_vat_vies_transactions_count,tax_vat_one_stop_shop_oss_flag,tax_vat_e_invoicing_mandate_flag,tax_vat_vat_gap_eur,tax_vat_vat_gap_pct,tax_vat_compliance_rate_pct,tax_vat_audit_yield_eur,tax_vat_late_payment_interest_eur,tax_vat_carousel_fraud_cases_count,tax_vat_data_source,tax_vat_data_extract_date
2020,AT,SI7,21.99,10.05,9900037529.16,1841180223.65,2178465318.02,337285094.37,120645,1,0,72728532.75,3.8,96.2,132037231.47,22792121.83,137,NATIONAL_TAX_AUTHORITY,2024-11-18
2021,CZ,CZ878,18.87,5.31,9993058054.68,1373749170.12,1550033072.49,176283902.37,120289,0,0,373356476.74,21.37,78.63,167949670.53,8286183.93,37,EUROFISC,2025-09-01
2022,DE,NL74,27.04,16.99,10182796558.7,2172073773.46,2404309945.44,232236171.98,130287,1,0,231726329.97,9.64,90.36,75254125.18,10425686.95,50,VIES_AGGREGATE,2026-01-06
2023,LV,IE375,26.01,16.99,10356130503.13,2256929594.37,2519961386.72,263031792.35,133209,0,0,119536231.02,5.03,94.97,104148126.26,9737839.14,158,EU_COMMISSION_VAT_GAP_STUDY,2025-12-09
2024,PL,CY40,20.14,12.39,10566287249.01,1883724995.93,2125513127.95,241788132.02,129115,1,0,135056480.8,6.69,93.31,52514563.62,19343225.64,99,NATIONAL_TAX_AUTHORITY,2025-06-24
2025,ES,BE1,18.85,10.39,10783814270.08,1469913923.31,1813187774.38,343273851.07,149090,1,0,299361381.58,16.92,83.08,18968166.36,13824342.42,139,EUROFISC,2025-01-20
2026,HR,CZ3,23.09,16.21,10958891692.97,2246204769.61,2536513880.99,290309111.38,149631,1,0,48885421.06,2.13,97.87,128093822.61,23460967.37,151,VIES_AGGREGATE,2024-08-22
2010,FI,DE782,22.18,10.29,11121792525.0,1874269456.77,2270202616.0,395933159.23,144476,0,0,391256297.82,17.27,82.73,93341581.31,35127178.46,75,EU_COMMISSION_VAT_GAP_STUDY,2024-06-26
2011,IE,FR50,17.24,11.09,11275497449.08,1611526408.45,1852547221.49,241020813.04,137601,1,1,116466738.07,6.74,93.26,53243364.8,18238361.26,139,NATIONAL_TAX_AUTHORITY,2024-01-16
2012,MT,SE977,24.97,12.16,11455492378.23,2092881372.91,2435325381.73,342444008.82,146818,1,0,549979307.61,20.81,79.19,94149938.63,12067028.92,59,EUROFISC,2026-01-25
2013,SK,DE3,26.93,17.46,11670377464.72,2655502765.01,3367234788.08,711732023.07,153965,1,1,144479062.29,5.16,94.84,39226671.59,26356070.03,14,VIES_AGGREGATE,2025-03-09
2014,BE,CY4,16.87,6.33,11893449193.62,1404437709.28,1556051800.14,151614090.86,156833,1,0,262748555.29,15.76,84.24,275270094.92,5631355.68,90,EU_COMMISSION_VAT_GAP_STUDY,2025-07-08
2015,DK,AT498,23.02,15.75,12052890844.0,2113603336.13,2353433435.61,239830099.48,149961,0,1,229897424.64,9.81,90.19,93219588.09,22971162.56,62,NATIONAL_TAX_AUTHORITY,2024-12-14
2016,GR,MT5,27.08,15.61,12243892866.44,2911732207.31,3458928989.84,547196782.53,156349,1,0,223882920.09,7.14,92.86,68909111.12,1541086.4,43,EUROFISC,2024-05-19
2017,LT,DK778,20.11,9.25,12379407614.17,2034111733.14,2272891143.69,238779410.55,163808,0,0,214519411.17,9.54,90.46,28411776.84,13362201.62,16,VIES_AGGREGATE,2024-10-11
2018,PT,LT53,24.08,11.57,12558047425.4,2524825338.66,2984083892.91,459258554.25,173859,0,0,370284555.45,12.79,87.21,41327696.12,248611.41,82,EU_COMMISSION_VAT_GAP_STUDY,2024-10-03
2019,SE,RO10,24.94,17.02,12783874861.39,2425550265.76,2894710771.65,469160505.89,162882,1,1,483480995.64,16.62,83.38,72062220.67,32281258.83,131,NATIONAL_TAX_AUTHORITY,2024-02-24
2020,CY,RO95,27.05,17.23,12929052580.43,2768653860.02,3146475401.17,377821541.15,165544,1,0,466888806.83,14.43,85.57,138606058.04,8596063.88,73,EUROFISC,2024-09-09
2021,FR,SE753,26.95,16.21,13128159396.24,3023294134.04,3697703028.45,674408894.41,170015,0,1,326245123.7,9.74,90.26,105456018.7,19568823.99,86,VIES_AGGREGATE,2025-08-24
2022,IT,RO958,19.88,8.64,13330032555.76,2107570091.63,2345905894.9,238335803.27,173279,1,0,285220657.27,11.92,88.08,297998079.05,9440075.24,118,EU_COMMISSION_VAT_GAP_STUDY,2024-01-05
2023,NL,LV346,22.15,16.05,13471407066.92,2293349006.84,3017667249.03,724318242.19,182986,1,0,523686992.22,18.59,81.41,71834226.36,15097095.54,63,NATIONAL_TAX_AUTHORITY,2024-06-22
2024,SI,FR38,22.95,10.33,13591222489.63,2374369430.07,3034544846.63,660175416.56,180568,0,1,578459111.25,19.59,80.41,216997422.79,10578751.0,32,EUROFISC,2024-05-15
2025,BG,SI82,27.16,18.93,13805351681.98,2870897312.14,3367090125.14,496192813.0,188198,1,1,688360451.48,19.34,80.66,257704620.35,14311532.12,127,VIES_AGGREGATE,2025-07-28
2026,EE,SK267,17.03,7.54,14048061371.45,1779042378.97,2303343760.33,524301381.36,182263,1,1,251364353.48,12.38,87.62,120849421.23,23420235.41,32,EU_COMMISSION_VAT_GAP_STUDY,2025-03-24
2010,HU,LV421,20.76,12.41,14209855802.34,2140377191.99,2527620585.82,387243393.83,195991,0,1,414077029.27,16.21,83.79,247582221.16,4818518.81,30,NATIONAL_TAX_AUTHORITY,2024-03-11
2011,LU,MT23,26.16,16.28,14332929702.64,2856141748.26,3298676124.06,442534375.8,197998,0,1,628232715.89,18.03,81.97,19138996.16,14066943.14,51,EUROFISC,2024-09-30
2012,RO,DE41,24.95,12.01,14539306008.85,2983860413.46,3394431497.36,410571083.9,200333,0,0,302691424.25,9.21,90.79,20060715.29,15710403.29,69,VIES_AGGREGATE,2025-01-17
2013,AT,IE63,26.11,18.39,14741200097.84,2938129397.69,3876987386.82,938857989.13,195261,0,0,451498426.13,13.32,86.68,19654826.2,3474481.41,92,EU_COMMISSION_VAT_GAP_STUDY,2025-10-24
2014,CZ,FR752,16.78,3.07,14906334273.69,2222371445.67,2839818687.54,617447241.87,205869,1,1,134582044.27,5.71,94.29,91478090.5,3958136.49,3,NATIONAL_TAX_AUTHORITY,2025-09-18
2015,DE,IE51,23.9,10.84,15108678497.57,2891166709.56,3250816886.05,359650176.49,194193,0,1,85428276.09,2.87,97.13,149855946.69,16016650.41,101,EUROFISC,2024-05-28
2016,LV,LT165,20.0,12.06,15232212967.42,2381831949.01,3050964843.58,669132894.57,206350,0,1,420982770.94,15.02,84.98,300870367.57,33767323.43,165,VIES_AGGREGATE,2026-02-03
2017,PL,HU700,23.79,14.2,15496269996.29,2903845197.33,3696049766.82,792204569.49,203320,1,0,436595614.05,13.07,86.93,204406821.75,17631147.07,78,EU_COMMISSION_VAT_GAP_STUDY,2026-02-02
2018,ES,IT715,19.88,9.22,15609222003.94,2525952777.24,2764511228.11,238558450.87,204231,0,0,356238890.08,12.36,87.64,191243107.67,12666371.03,128,NATIONAL_TAX_AUTHORITY,2025-08-30
2019,HR,SE671,22.1,15.87,15790135582.94,2687092538.32,2951402945.21,264310406.89,208895,1,1,522909299.36,16.29,83.71,48148505.55,29437782.44,6,EUROFISC,2025-08-16
2020,FI,MT7,19.04,6.82,15959803875.58,2509722936.88,3017859347.58,508136410.7,211161,0,1,210549051.94,7.74,92.26,19115032.95,480129.91,46,VIES_AGGREGATE,2025-07-01
2021,IE,LT46,19.11,8.39,16218837694.38,2348985971.91,2772468187.75,423482215.84,208574,0,0,590185664.62,20.08,79.92,90372651.01,17870000.99,34,EU_COMMISSION_VAT_GAP_STUDY,2024-01-02
2022,MT,MT780,25.91,16.9,16285818866.18,2875361978.3,3550994147.44,675632169.14,211133,1,1,663980683.32,18.76,81.24,1200595.11,10833410.11,126,NATIONAL_TAX_AUTHORITY,2025-04-13
2023,SK,HR88,17.81,9.72,16558820890.81,2535291879.38,3251243943.7,715952064.32,218941,0,1,61811049.71,2.38,97.62,9210597.57,22190804.39,113,EUROFISC,2024-04-19
2024,BE,SK23,17.05,7.07,16673877421.82,2244768820.13,2724677749.57,479908929.44,226748,1,0,384689795.46,14.63,85.37,164602803.21,2915565.2,31,VIES_AGGREGATE,2025-10-02
2025,DK,NL697,24.77,18.51,16887464809.23,2855693950.17,3400692141.97,544998191.8,224774,0,0,626859647.59,18.0,82.0,260120156.53,26390518.83,36,EU_COMMISSION_VAT_GAP_STUDY,2025-06-09
2026,GR,IE76,24.06,15.36,17047506874.53,3579736966.4,4037180125.69,457443159.29,234153,1,1,156550442.43,4.19,95.81,53643180.98,14801508.3,43,NATIONAL_TAX_AUTHORITY,2024-11-21
2010,LT,BE82,16.83,8.95,17257293094.62,2393024291.27,2806006500.62,412982209.35,232469,1,0,269441542.37,10.12,89.88,199393636.52,17127339.25,78,EUROFISC,2025-03-16
2011,PT,CZ2,22.0,14.68,17367162301.86,3143547667.09,3495860272.03,352312604.94,238196,1,1,292023553.77,8.5,91.5,27163851.06,2103461.58,75,VIES_AGGREGATE,2024-12-22
2012,SE,SK12,18.14,10.73,17585361087.81,2439411388.48,2910945925.12,471534536.64,230744,1,0,456719904.97,15.77,84.23,36906449.42,9488200.48,119,EU_COMMISSION_VAT_GAP_STUDY,2025-02-15
2013,CY,FR77,24.84,18.22,17803018869.93,3609816436.4,4423010326.52,813193890.12,233732,1,1,585693136.36,13.96,86.04,299417233.97,31127393.95,169,NATIONAL_TAX_AUTHORITY,2024-08-13
2014,FR,FR67,22.77,16.37,17961268952.1,3279730078.09,4190650944.27,910920866.18,238441,1,0,581046941.44,15.05,84.95,48964530.95,10337246.88,111,EUROFISC,2024-12-20
2015,IT,ES19,21.24,10.15,18139983352.4,2893025264.45,3183288184.55,290262920.1,246291,1,0,649743856.85,18.34,81.66,169450591.82,30299588.16,145,VIES_AGGREGATE,2025-08-20
2016,NL,BG4,23.89,16.35,18324155869.62,3007918404.87,3491509983.1,483591578.23,238429,1,1,617390025.74,17.03,82.97,282247594.92,38530433.02,8,EU_COMMISSION_VAT_GAP_STUDY,2024-02-01
2017,SI,EE569,24.18,15.92,18447291455.88,3603257698.33,4414990144.14,811732445.81,246017,1,1,297216103.72,7.62,92.38,14696920.35,22041398.72,84,NATIONAL_TAX_AUTHORITY,2025-04-19
2018,BG,DE671,27.12,17.32,18626001255.21,3548201076.22,4497884732.74,949683656.52,254084,0,1,995531893.71,21.91,78.09,136063042.82,11747414.26,147,EUROFISC,2025-04-11
2019,EE,PT2,18.19,9.96,18840005667.75,3072635127.82,4054353771.63,981718643.81,243754,0,1,82344980.84,2.61,97.39,130484793.95,13404347.64,95,VIES_AGGREGATE,2024-02-02
2020,HU,SK507,27.19,16.27,19001069149.72,3644840735.56,4538512138.59,893671403.03,258746,1,1,975900562.06,21.12,78.88,19609591.42,14126293.73,64,EU_COMMISSION_VAT_GAP_STUDY,2024-06-03
2021,LU,BG22,18.77,10.5,19174950889.67,2876458693.41,3153618177.86,277159484.45,253431,1,1,194384365.64,6.33,93.67,33487408.28,20863707.45,115,NATIONAL_TAX_AUTHORITY,2024-01-11
2022,RO,SE565,21.23,9.04,19451780507.11,3651682828.13,4001952624.14,350269796.01,266143,1,0,151757259.49,3.99,96.01,103327719.18,3242056.86,20,EUROFISC,2024-12-10
2023,AT,BE7,16.86,5.25,19617531719.41,2872018247.12,3380824230.9,508805983.78,254329,0,0,178452541.12,5.85,94.15,93142794.36,748655.47,115,VIES_AGGREGATE,2025-04-16
2024,CZ,LU55,20.01,6.62,19808760385.2,3339539109.43,3689151741.85,349612632.42,257152,0,0,249819348.68,6.96,93.04,52318052.72,27059498.23,102,EU_COMMISSION_VAT_GAP_STUDY,2025-11-19
2025,DE,SK670,19.1,6.65,19915098924.55,3030273315.68,3515193978.02,484920662.34,276337,0,0,172636858.38,5.39,94.61,130510833.57,16836017.55,77,NATIONAL_TAX_AUTHORITY,2024-05-16
2026,LV,CY113,17.93,11.88,20167827606.05,2968916121.89,3383485722.06,414569600.17,275819,0,0,349420887.04,10.53,89.47,210487479.81,12978357.37,101,EUROFISC,2024-07-09
2010,PL,LV31,23.82,13.0,20354813116.96,3530597322.58,4584743778.14,1054146455.56,262582,1,0,991750983.54,21.93,78.07,291691037.92,9724482.94,127,VIES_AGGREGATE,2025-07-22
2011,ES,HR351,16.92,8.34,20515916900.17,2780761079.76,3441702657.09,660941577.33,284821,0,0,186966860.22,6.3,93.7,104193958.47,20755683.65,61,EU_COMMISSION_VAT_GAP_STUDY,2025-08-15
2012,HR,FR27,25.2,15.87,20627928334.1,4232894810.64,5062329214.0,829434403.36,276466,0,0,738792775.27,14.86,85.14,3937489.26,13652315.16,38,NATIONAL_TAX_AUTHORITY,2024-11-25
2013,FI,NL652,23.01,11.19,20877324361.38,4375735813.07,5072630099.88,696894286.81,279249,1,0,111738100.44,2.49,97.51,15777576.79,9343861.93,141,EUROFISC,2024-02-05
2014,IE,EE52,26.85,17.35,21036257923.01,4961159709.33,5703265741.75,742106032.42,277019,1,1,450817719.85,8.33,91.67,90215787.42,11245721.65,19,VIES_AGGREGATE,2026-02-06
2015,MT,RO125,17.88,9.75,21233523012.91,3060946014.67,3389849283.87,328903269.2,293767,1,0,157037600.41,4.88,95.12,128131178.91,18121849.93,83,EU_COMMISSION_VAT_GAP_STUDY,2025-09-04
2016,SK,BG773,18.77,7.64,21410379072.45,2964574787.85,3702675888.71,738101100.86,296242,0,1,740217498.89,19.98,80.02,277211925.32,27245300.25,92,NATIONAL_TAX_AUTHORITY,2024-07-19
2017,BE,FR26,26.78,15.87,21526299443.02,4413455735.66,4815706241.71,402250506.05,293291,0,0,355270072.72,7.45,92.55,19000717.45,10051179.1,44,EUROFISC,2024-06-06
2018,DK,CY511,24.05,16.79,21745264225.05,4472397510.09,4889979242.93,417581732.84,291941,0,0,142603532.21,3.09,96.91,116020449.41,4086182.06,106,VIES_AGGREGATE,2025-06-20
2019,GR,BG187,24.97,11.11,21929739455.61,3989670501.2,4738299916.35,748629415.15,290286,0,1,762200033.81,16.04,83.96,178656239.88,40764058.08,77,EU_COMMISSION_VAT_GAP_STUDY,2024-06-18
2020,LT,PL673,20.88,8.65,22157502459.29,3413904476.2,4458215872.14,1044311395.94,290768,1,0,587390034.12,14.68,85.32,85752254.9,31875184.72,146,NATIONAL_TAX_AUTHORITY,2026-01-23
2021,PT,SI17,23.96,11.3,22337846022.37,4518266166.23,4980549115.42,462282949.19,300439,0,0,585389279.64,11.47,88.53,136086888.45,26009730.63,151,EUROFISC,2024-01-20
2022,SE,EE12,18.23,8.95,22502583167.71,3327057784.94,4035587288.52,708529503.58,296973,1,1,608425755.32,15.46,84.54,75705285.26,1298377.62,125,VIES_AGGREGATE,2025-03-23
2023,CY,LT661,19.94,12.22,22639540141.99,3511337869.79,4207358315.19,696020445.4,302491,1,1,346851197.11,8.99,91.01,86953063.62,15409004.56,122,EU_COMMISSION_VAT_GAP_STUDY,2025-08-15
2024,FR,BG486,23.09,13.71,22829136188.64,3904095575.46,4880659261.99,976563686.53,305449,0,0,774269404.12,16.55,83.45,111810820.93,35879484.87,23,NATIONAL_TAX_AUTHORITY,2024-10-06
2025,IT,LT97,21.2,13.39,23033922884.46,4574499560.67,5285555844.82,711056284.15,313119,1,1,93833494.4,2.01,97.99,44336817.59,25154002.14,59,EUROFISC,2024-03-21
2026,NL,NL69,18.89,5.97,23185536324.7,3830679557.77,4220186968.54,389507410.77,308505,0,1,89377296.28,2.28,97.72,74555783.53,8901522.75,71,VIES_AGGREGATE,2026-01-19
2010,SI,NL901,22.23,14.7,23354339745.76,4119155745.41,4483927283.73,364771538.32,314316,1,0,803353510.58,16.32,83.68,135419613.14,18002760.75,38,EU_COMMISSION_VAT_GAP_STUDY,2025-01-23
2011,BG,HR139,23.99,15.92,23593419784.95,4313264866.98,4972828430.85,659563563.87,310859,0,1,488855893.41,10.18,89.82,219012922.22,12435739.75,8,NATIONAL_TAX_AUTHORITY,2024-11-27
2012,EE,SE89,25.15,18.83,23745050590.63,4639873546.73,5508340573.07,868467026.34,312571,1,1,935557295.29,16.78,83.22,226409223.85,34644440.92,132,EUROFISC,2024-05-23
2013,HU,LT538,22.88,9.2,23849697705.06,5059189931.0,5787020975.13,727831044.13,319443,0,0,119100684.15,2.3,97.7,45611739.57,16202320.29,61,VIES_AGGREGATE,2025-05-07
2014,LU,EE62,18.83,9.65,24125256880.19,3194577636.11,3773996800.38,579419164.27,318958,0,1,565961076.2,15.05,84.95,138111252.53,18506132.52,170,EU_COMMISSION_VAT_GAP_STUDY,2024-07-12
2015,RO,LT6,19.17,10.52,24221001698.4,3473753188.26,4271905426.6,798152238.34,318038,1,0,803741194.52,18.79,81.21,92136527.71,17838849.82,125,NATIONAL_TAX_AUTHORITY,2024-09-28
2016,AT,EE4,23.88,16.67,24437126589.68,4808590785.36,6333846818.73,1525256033.37,338876,1,0,332637467.99,6.47,93.53,84308825.37,3754828.37,150,EUROFISC,2026-02-12
2017,CZ,CY9,24.05,14.1,24656225657.22,4166397664.73,5169255077.05,1002857412.32,329108,0,0,1130319427.47,21.34,78.66,41163681.34,2907253.35,140,VIES_AGGREGATE,2025-05-22
2018,DE,FR5,25.15,17.61,24745182706.53,4249949782.03,5040233486.49,790283704.46,337114,0,0,1103980404.45,20.62,79.38,210482365.54,32042058.07,87,EU_COMMISSION_VAT_GAP_STUDY,2024-04-01
2019,LV,CY278,17.23,4.06,24966654503.82,3136037972.93,4050140070.87,914102097.94,343537,1,1,572177674.37,15.43,84.57,82516446.02,20385950.18,103,NATIONAL_TAX_AUTHORITY,2024-12-26
2020,PL,IT143,22.02,13.57,25126140377.27,3903877547.05,4632562266.51,728684719.46,342553,1,1,1077464225.37,21.63,78.37,143908834.92,24188711.36,67,EUROFISC,2024-09-23
2021,ES,GR847,26.9,20.53,25354358106.76,5610839246.0,6450324209.75,839484963.75,342677,1,1,210741212.61,3.62,96.38,14853245.7,9410924.38,152,VIES_AGGREGATE,2024-05-07
2022,HR,FR661,24.18,14.8,25488419687.41,4794805022.86,5783867033.39,989062010.53,346369,1,0,286590719.89,5.64,94.36,85339614.45,12580175.05,60,EU_COMMISSION_VAT_GAP_STUDY,2025-12-01
2023,FI,ES24,22.8,8.94,25649685179.56,4700693864.39,5454473571.78,753779707.39,352395,0,0,238047325.35,4.82,95.18,42443791.13,13352534.41,78,NATIONAL_TAX_AUTHORITY,2025-02-22
2024,IE,SK85,20.93,7.5,25836198777.78,4456206072.84,5322663480.09,866457407.25,355293,1,0,415029249.46,8.52,91.48,46503533.75,9210598.17,44,EUROFISC,2025-11-05
2025,MT,BE6,24.13,15.71,26041665408.67,4638955279.18,5701239046.91,1062283767.73,342935,1,0,666952623.35,12.57,87.43,110849414.88,29630691.58,123,VIES_AGGREGATE,2024-02-09
2026,SK,NL985,17.84,11.59,26184543543.55,3074018260.5,3801016502.53,726998242.03,356858,1,0,811733554.06,20.89,79.11,260506251.05,26892234.76,112,EU_COMMISSION_VAT_GAP_STUDY,2024-02-22
2010,BE,RO400,24.05,16.59,26464571305.6,4964549502.8,5872176751.58,907627248.78,361094,0,0,845338739.21,14.55,85.45,171053404.7,17175267.26,104,NATIONAL_TAX_AUTHORITY,2024-07-09
2011,DK,AT53,20.2,7.8,26650065227.17,4369940171.92,5638979629.93,1269039458.01,365577,1,1,696069765.39,13.74,86.26,34769992.07,7872083.81,108,EUROFISC,2024-12-22
2012,GR,AT3,25.04,15.75,26732677372.76,6076096614.97,7733501546.46,1657404931.49,359822,1,1,140494969.82,2.26,97.74,21399051.83,4083290.28,44,VIES_AGGREGATE,2025-06-09
2013,LT,SI98,17.9,10.6,27004878256.89,4313515890.99,5375642957.91,1062127066.92,365385,1,1,173653453.64,3.87,96.13,70292493.2,13354102.91,60,EU_COMMISSION_VAT_GAP_STUDY,2026-02-03
2014,PT,PT490,17.25,8.87,27110461890.97,3398811206.38,4041183083.68,642371877.3,361016,1,0,496227994.15,12.74,87.26,197574103.95,22316960.03,64,NATIONAL_TAX_AUTHORITY,2024-01-27
2015,SE,FR221,21.93,14.33,27296178268.31,4976707661.84,5428754451.25,452046789.41,363175,1,0,548056616.4,9.92,90.08,31600015.34,24058132.54,148,EUROFISC,2025-07-12
2016,CY,BG1,26.9,17.88,27504606757.0,5516308718.65,7130310926.86,1614002208.21,368151,0,1,867568979.12,13.59,86.41,226752976.84,28548417.71,58,VIES_AGGREGATE,2025-01-14
2017,FR,RO30,23.85,11.69,27717954845.08,4852551681.5,5789688379.37,937136697.87,378705,1,1,1040042952.98,17.65,82.35,294160750.81,9023612.08,103,EU_COMMISSION_VAT_GAP_STUDY,2026-02-11
2018,IT,IE60,27.1,17.17,27847004856.51,6128629450.49,7233050108.63,1104420658.14,370004,0,0,1100232840.72,15.22,84.78,276641351.87,22725484.66,70,NATIONAL_TAX_AUTHORITY,2025-11-28
2019,NL,BG794,18.92,7.61,28066339040.88,4409670804.95,4917003545.68,507332740.73,382485,0,1,587689581.44,11.76,88.24,190306682.25,25649659.17,100,EUROFISC,2024-06-05
2020,SI,SK71,19.78,10.89,28258369112.11,4230652048.74,4639406600.65,408754551.91,389394,0,1,755384543.77,15.15,84.85,234155654.09,41843698.33,77,VIES_AGGREGATE,2025-09-18
