biz_innov_reference_year,biz_innov_country_iso2,biz_innov_region_nuts_code,biz_innov_patent_office_code,biz_innov_patent_family_id_hash,biz_innov_technology_field_code,biz_innov_patent_applications_count,biz_innov_patent_grants_count,biz_innov_r_and_d_expenditure_eur,biz_innov_r_and_d_expenditure_pct_gdp,biz_innov_researchers_fte_count,biz_innov_horizon_programme_code,biz_innov_horizon_grants_awarded_eur,biz_innov_horizon_participants_count,biz_innov_startup_creation_rate_per_1k,biz_innov_spinout_count,biz_innov_tech_transfer_office_count,biz_innov_trl_level,biz_innov_open_science_policy_flag,biz_innov_data_extract_date
2025,BE,NL69,OEPM,a23a55fc81a389a543ba,BIOTECH,19,16,676760461.72,0.863,1656,EIC_PATHFINDER,287020190.4,28,2.223,27,12,3,0,2025-10-31
2026,DK,HU2,INPI,5bf8b116c3fa24f898c3,MEDTECH,20,19,1460811341.76,1.347,1653,HORIZON_SPACE,245975643.16,27,2.967,24,13,4,0,2025-09-14
2014,GR,AT79,EUIPO,a41bb7e6b588083dc058,CLEAN_ENERGY,20,17,3576427626.92,3.395,2169,HORIZON_DIGITAL,160982034.64,27,4.406,36,14,5,1,2025-04-02
2015,LT,PL87,BOIP,bb8ae4ed8ad067ac27fe,ADV_MATERIALS,28,17,2825534063.28,3.02,1713,EIC_ACCELERATOR,186655617.12,40,3.385,18,15,6,0,2024-05-20
2016,PT,LV2,PRV,0fb17ac48f0d9dd130d4,AEROSPACE,37,30,1526643082.64,1.522,1659,HORIZON_INDUSTRY,109464955.56,41,2.938,24,16,7,0,2025-10-04
2017,SE,AT7,UKIPO,08854daf016341f7397e,MOBILITY,38,28,699836412.11,0.669,2064,HORIZON_HEALTH,201270421.0,37,4.053,50,17,8,1,2024-02-27
2018,CY,CZ34,DPMA,5aae36457cbcbe7fce0a,FINTECH,28,21,1115340579.6,1.172,1837,HORIZON_WIDENING,120809176.09,24,6.069,22,18,9,0,2025-07-01
2019,FR,HR28,EPO,f9cdc705ba4433aaba03,AGRI_TECH,41,26,3779185301.85,3.043,1767,HORIZON_CLIMATE,28627213.34,35,0.599,38,19,1,0,2025-06-10
2020,IT,LT578,UPV,a22fe36ab5059d2780a9,SECURITY,26,25,916948018.57,0.674,1947,EIC_PATHFINDER,335254266.74,26,0.342,33,20,2,1,2026-02-18
2021,NL,CZ544,OEPM,6a18f035b3b56b9fc41a,ICT,37,19,4783956160.17,3.763,1908,HORIZON_SPACE,126170502.82,29,2.974,35,21,3,1,2025-07-05
2022,SI,FR5,INPI,b3e78759b4f0b108b0e0,BIOTECH,23,23,3163470639.98,2.611,1740,HORIZON_DIGITAL,128182172.42,39,0.829,13,22,4,0,2024-10-26
2023,BG,SE4,EUIPO,f8d29f12aea08d761809,MEDTECH,34,30,3514387516.49,2.434,1582,EIC_ACCELERATOR,235454827.94,23,2.1,54,23,5,1,2024-06-07
2024,EE,BG154,BOIP,75ed44c3e934f8c1f0d7,CLEAN_ENERGY,36,19,2989490833.23,2.078,1758,HORIZON_INDUSTRY,148574595.87,28,0.494,10,24,6,1,2025-04-04
2025,HU,PL746,PRV,e4ab7fb10b1440cb07e5,ADV_MATERIALS,43,27,2818818040.99,1.936,1908,HORIZON_HEALTH,10996551.51,42,5.55,54,25,7,1,2024-11-19
2026,LU,SI5,UKIPO,7e1fa1fa2066d11b9ce2,AEROSPACE,26,13,1819709647.62,1.254,1850,HORIZON_WIDENING,94561731.55,28,5.655,2,26,8,0,2024-08-27
2014,RO,ES691,DPMA,5192af5d5016fb7bc581,MOBILITY,32,21,2976175193.26,2.163,2248,HORIZON_CLIMATE,328019945.23,33,0.803,20,27,9,1,2025-11-05
2015,AT,IE89,EPO,dc4a2757aa2e36c77a31,FINTECH,45,18,3949848189.87,3.188,1993,EIC_PATHFINDER,162386904.01,40,1.023,45,28,1,1,2024-07-20
2016,CZ,LV812,UPV,e6ef43e19be12e6215f3,AGRI_TECH,47,27,2545014388.1,1.802,1931,HORIZON_SPACE,228698040.87,31,4.009,59,29,2,1,2024-02-18
2017,DE,BE173,OEPM,be2988fa7015770b0a0f,SECURITY,34,26,5422718668.31,3.652,2059,HORIZON_DIGITAL,265974190.45,35,5.713,34,30,3,1,2024-10-18
2018,LV,MT3,INPI,bf2f44db77f91337e42f,ICT,44,21,3949266715.01,2.708,1613,EIC_ACCELERATOR,114661229.55,46,3.365,40,31,4,1,2024-03-18
2019,PL,PT82,EUIPO,a607c531673a83968781,BIOTECH,38,22,1539643339.65,0.93,1652,HORIZON_INDUSTRY,64336608.81,42,1.767,30,32,5,1,2025-05-23
2020,ES,SK71,BOIP,bf49ba479415c4969c6e,MEDTECH,46,21,5296714647.67,3.564,1856,HORIZON_HEALTH,147786989.44,56,3.044,44,33,6,1,2026-02-06
2021,HR,HR401,PRV,37991460985549636ea4,CLEAN_ENERGY,52,24,2100464987.92,1.497,2042,HORIZON_WIDENING,204128193.89,35,5.553,5,34,7,1,2024-05-03
2022,FI,FI8,UKIPO,988b89d3f9ebe07d71ad,ADV_MATERIALS,54,41,4021725830.83,2.203,2051,HORIZON_CLIMATE,13268672.33,50,6.045,59,35,8,0,2025-07-29
2023,IE,GR522,DPMA,0c240206dfe6554dd2fe,AEROSPACE,43,34,4313323441.88,2.779,1804,EIC_PATHFINDER,161309058.2,50,6.421,39,1,9,1,2024-06-26
2024,MT,NL67,EPO,4503d84e3dd946d3169f,MOBILITY,46,43,1561209983.19,0.973,1665,HORIZON_SPACE,55308374.77,37,0.664,49,2,1,1,2025-12-06
2025,SK,BG7,UPV,b26a4d886929298ffbc1,FINTECH,49,32,2179471667.32,1.143,2202,HORIZON_DIGITAL,213934407.94,49,5.586,57,3,2,1,2024-12-14
2026,BE,FR28,OEPM,689501be4f839625dd86,AGRI_TECH,41,31,7825894088.13,3.935,1709,EIC_ACCELERATOR,145201565.03,41,2.662,51,4,3,1,2025-04-30
2014,DK,FR60,INPI,7618a9c137f6de3562ed,SECURITY,40,34,877440781.78,0.558,1912,HORIZON_INDUSTRY,217901584.11,47,0.559,31,5,4,0,2025-03-03
2015,GR,EE713,EUIPO,3bf199e41f8441fe5cd3,ICT,53,35,1886520390.53,1.156,1864,HORIZON_HEALTH,253639129.86,46,5.698,59,6,5,0,2024-08-22
2016,LT,IE439,BOIP,fa1688c8e8467cdaba67,BIOTECH,65,36,1191724962.79,0.661,1826,HORIZON_WIDENING,177437084.16,52,2.558,42,7,6,1,2024-11-05
2017,PT,AT48,PRV,789f7ed962571a5db077,MEDTECH,52,42,3440042515.41,2.153,2239,HORIZON_CLIMATE,42126921.99,57,5.495,53,8,7,0,2025-04-24
2018,SE,BG140,UKIPO,93c6e64a08598c0f38ad,CLEAN_ENERGY,61,36,2974413752.78,1.393,2246,EIC_PATHFINDER,5847408.47,64,5.845,30,9,8,1,2026-01-16
2019,CY,AT25,DPMA,83777d8f6a469ad49b09,ADV_MATERIALS,57,57,1871345199.71,0.942,2358,HORIZON_SPACE,264425045.41,54,5.673,40,10,9,0,2024-08-20
2020,FR,BG14,EPO,d9a980940329fe9fb3f1,AEROSPACE,66,62,6068154912.97,3.782,1623,HORIZON_DIGITAL,43376789.75,50,6.346,29,11,1,0,2025-09-26
2021,IT,SE957,UPV,ade9a1ff6fbd2885ce58,MOBILITY,55,27,4928567378.89,2.269,1802,EIC_ACCELERATOR,126084795.96,67,5.18,21,12,2,0,2025-11-24
2022,NL,LT2,OEPM,02c5efd49125933b0422,FINTECH,58,42,1859342424.48,1.063,2352,HORIZON_INDUSTRY,49987400.48,57,5.63,51,13,3,1,2024-06-23
2023,SI,CY1,INPI,642c16e877ab766f5b44,AGRI_TECH,65,37,7065195408.25,3.914,2127,HORIZON_HEALTH,271754245.22,51,1.056,26,14,4,1,2025-05-29
2024,BG,GR6,EUIPO,2b7c81986c79136376b0,SECURITY,60,30,1291938666.38,0.665,1619,HORIZON_WIDENING,298627846.32,62,4.555,44,15,5,0,2024-01-16
2025,EE,LT349,BOIP,d208a733cd87be72bcea,ICT,54,25,5251650153.42,2.266,1883,HORIZON_CLIMATE,78902436.88,74,5.569,6,16,6,1,2024-10-23
2026,HU,SK110,PRV,57e7fb024957ddb4ce19,BIOTECH,74,48,5150465487.17,2.246,2376,EIC_PATHFINDER,110716598.07,54,1.937,32,17,7,0,2025-06-06
2014,LU,PL398,UKIPO,b7588e841274f3de2167,MEDTECH,78,44,1956812606.89,0.835,1662,HORIZON_SPACE,100478262.26,60,5.292,10,18,8,0,2024-08-09
2015,RO,AT82,DPMA,ecd43a3dd3cbe4295257,CLEAN_ENERGY,67,54,1072393042.56,0.596,1997,HORIZON_DIGITAL,38016605.19,66,3.737,59,19,9,0,2024-11-29
2016,AT,SI29,EPO,619f3f11a8056bd9e8cf,ADV_MATERIALS,77,56,1612383812.61,0.893,2326,EIC_ACCELERATOR,203815752.85,62,2.5,32,20,1,1,2026-02-21
2017,CZ,GR376,UPV,29dd21ebda2466f88325,AEROSPACE,63,44,4491137923.47,2.24,1830,HORIZON_INDUSTRY,13058041.85,57,3.054,59,21,2,1,2025-06-13
2018,DE,ES2,OEPM,8ea2c8004716f719b453,MOBILITY,76,47,1037738850.72,0.444,1916,HORIZON_HEALTH,173358657.68,58,5.553,39,22,3,1,2024-07-17
2019,LV,FR199,INPI,7fba23fd0cce77d78c04,FINTECH,59,40,8563672206.11,3.277,1794,HORIZON_WIDENING,64512375.42,76,0.246,59,23,4,1,2024-12-20
2020,PL,NL24,EUIPO,698bc086032455b42339,AGRI_TECH,68,54,8389433085.18,3.413,1619,HORIZON_CLIMATE,46108858.06,83,4.142,43,24,5,0,2024-07-22
2021,ES,PT113,BOIP,e4430239b25ebb413f0a,SECURITY,68,33,3002012723.08,1.345,1842,EIC_PATHFINDER,69867939.37,64,2.301,14,25,6,1,2025-01-16
2022,HR,ES77,PRV,d24bd870ebb9af390518,ICT,77,40,3329122561.11,1.702,2021,HORIZON_SPACE,105639227.08,82,0.835,38,26,7,1,2025-02-08
2023,FI,SI42,UKIPO,fbbd254a2713739e6b4f,BIOTECH,85,46,10253320216.48,3.743,1966,HORIZON_DIGITAL,111707578.92,64,5.981,36,27,8,1,2024-10-24
2024,IE,SK76,DPMA,62f011d8d33b7fa5e91a,MEDTECH,87,84,9904455378.34,3.572,1827,EIC_ACCELERATOR,167024058.26,75,0.539,19,28,9,1,2025-02-14
2025,MT,LV48,EPO,a2f0ae03e806c2d9a82b,CLEAN_ENERGY,84,65,2390016988.25,1.099,2111,HORIZON_INDUSTRY,106302425.07,66,1.604,23,29,1,1,2024-01-19
2026,SK,CY244,UPV,1b4f0261567f1185e71f,ADV_MATERIALS,72,69,8458519826.68,2.955,1876,HORIZON_HEALTH,144094780.22,87,4.968,20,30,2,0,2024-03-06
2014,BE,AT292,OEPM,4fdedcd9d8f74cdf39bd,AEROSPACE,85,37,10930624656.47,4.043,2344,HORIZON_WIDENING,62044239.85,67,0.381,56,31,3,1,2024-08-27
2015,DK,IE59,INPI,b71079d32bc3da63516b,MOBILITY,90,89,2172120364.44,1.019,2082,HORIZON_CLIMATE,168461673.91,86,1.079,11,32,4,0,2025-01-06
2016,GR,SE834,EUIPO,a16ff1a351b25d605917,FINTECH,89,63,5973892920.49,2.539,1645,EIC_PATHFINDER,203093530.21,83,6.435,11,33,5,1,2024-12-29
2017,LT,SE82,BOIP,3e0390f396cb1c467bb4,AGRI_TECH,84,53,2327116481.17,0.966,2417,HORIZON_SPACE,273945309.93,91,2.666,24,34,6,0,2025-12-06
2018,PT,RO110,PRV,b5baec28f74ac281ebe6,SECURITY,94,90,2559637570.97,0.995,2312,HORIZON_DIGITAL,226535399.54,94,1.274,46,35,7,1,2024-10-04
2019,SE,LT73,UKIPO,5184aad772f478ee97eb,ICT,85,70,7697717214.71,3.149,1697,EIC_ACCELERATOR,85365125.2,85,4.892,59,1,8,1,2024-08-17
2020,CY,BE71,DPMA,ffdeb173396be962d27f,BIOTECH,75,58,2560610937.37,1.071,1681,HORIZON_INDUSTRY,213667015.03,90,5.855,9,2,9,1,2024-11-11
2021,FR,DK96,EPO,28186c67b7d2b0fd4084,MEDTECH,78,64,2033745583.13,0.732,2226,HORIZON_HEALTH,19441479.64,94,4.174,38,3,1,0,2025-12-09
2022,IT,CZ9,UPV,ba94ec6e8d0a21015b5e,CLEAN_ENERGY,97,87,6920607265.7,2.604,1961,HORIZON_WIDENING,212630473.57,77,5.395,36,4,2,1,2024-05-27
2023,NL,LV358,OEPM,dab963b308bd5e2676a3,ADV_MATERIALS,95,67,7880281451.96,2.901,2367,HORIZON_CLIMATE,102266405.42,95,0.434,45,5,3,0,2025-04-13
2024,SI,BG866,INPI,9e99a9caa4d3b8af307f,AEROSPACE,77,71,6671290670.1,2.515,1847,EIC_PATHFINDER,41518502.36,85,2.101,52,6,4,1,2025-04-20
2025,BG,CZ4,EUIPO,1bbf0ecc9a70e2a9491b,MOBILITY,81,70,10058582378.46,3.228,2015,HORIZON_SPACE,162695681.17,88,1.427,43,7,5,1,2024-12-11
2026,EE,SK8,BOIP,1a802bf9cc5b4013bfa6,FINTECH,90,56,3855672636.85,1.466,2204,HORIZON_DIGITAL,110017100.67,100,5.304,51,8,6,0,2025-11-27
2014,HU,BE88,PRV,5c1d8115341f8d8fd15a,AGRI_TECH,101,98,3734068384.82,1.466,2283,EIC_ACCELERATOR,156733132.76,97,2.805,62,9,7,1,2025-04-18
2015,LU,BE3,UKIPO,58fae55f32f048237f32,SECURITY,88,60,7203374568.9,2.305,1759,HORIZON_INDUSTRY,7810687.54,97,2.374,39,10,8,1,2025-03-10
2016,RO,LV56,DPMA,eddef046498f7d31c403,ICT,86,69,4294637488.9,1.676,1757,HORIZON_HEALTH,45820442.22,96,5.34,9,11,9,0,2024-05-11
2017,AT,SI67,EPO,78f5ef045d7068720250,BIOTECH,89,82,9533789278.76,3.636,2062,HORIZON_WIDENING,37031403.76,106,2.088,13,12,1,1,2024-03-31
2018,CZ,FI952,UPV,fb3a4d6b7c41e059064d,MEDTECH,97,58,4359967956.02,1.772,1713,HORIZON_CLIMATE,146214401.43,91,0.503,59,13,2,0,2024-02-22
2019,DE,BG57,OEPM,e2109ebcd114ece618e7,CLEAN_ENERGY,105,64,1367330128.51,0.485,2294,EIC_PATHFINDER,70005423.55,98,3.244,35,14,3,0,2024-02-02
2020,LV,NL6,INPI,a90274dba7788c22e24b,ADV_MATERIALS,88,54,3862132075.4,1.11,2258,HORIZON_SPACE,344188182.7,93,0.508,39,15,4,1,2026-01-27
2021,PL,NL865,EUIPO,b9a7f3caa9880b4a55db,AEROSPACE,101,51,8769998989.79,2.945,1778,HORIZON_DIGITAL,38028682.2,88,3.409,37,16,5,1,2024-03-05
2022,ES,LU511,BOIP,72ce47597cd024e4a4c0,MOBILITY,108,100,3200114313.47,1.157,2238,EIC_ACCELERATOR,163298273.58,108,4.963,41,17,6,1,2026-02-06
2023,HR,IT576,PRV,7b8b22e707e04e18bab6,FINTECH,113,48,8112585135.4,2.582,1870,HORIZON_INDUSTRY,165267337.51,93,5.89,16,18,7,1,2025-11-24
2024,FI,DK189,UKIPO,35b2d9f1c9886e570bb0,AGRI_TECH,107,79,8229778949.33,2.241,2269,HORIZON_HEALTH,150611713.99,94,5.654,15,19,8,1,2025-03-20
2025,IE,SI793,DPMA,0c1ca540bba8071ad138,SECURITY,105,67,11127037380.01,3.583,1865,HORIZON_WIDENING,163615354.44,113,1.14,25,20,9,1,2024-09-01
2026,MT,DK319,EPO,aac2b0ab2baf8f9405cf,ICT,111,69,4429766116.91,1.317,1877,HORIZON_CLIMATE,255842459.43,21,0.631,48,21,1,1,2025-01-27
2014,SK,SK676,UPV,66d945a5831029617f59,BIOTECH,115,81,2077987444.06,0.674,2435,EIC_PATHFINDER,115616024.29,22,5.971,55,22,2,1,2025-09-09
2015,BE,LT961,OEPM,ad3a4e0dfb372acb5739,MEDTECH,106,56,12553937567.41,3.728,2397,HORIZON_SPACE,168048362.56,25,6.491,31,23,3,0,2025-09-02
2016,DK,LT5,INPI,068f9ff8c8752f0ec232,CLEAN_ENERGY,114,94,10288969997.86,2.957,2151,HORIZON_DIGITAL,94474614.16,12,2.529,19,24,4,1,2025-01-14
2017,GR,ES6,EUIPO,a2340fa60aa92678d399,ADV_MATERIALS,107,61,3042817634.65,0.868,2240,EIC_ACCELERATOR,52493167.73,25,6.434,27,25,5,0,2025-06-20
2018,LT,AT39,BOIP,dcf1642f9de0e1621b9f,AEROSPACE,100,55,3652968977.49,1.214,1994,HORIZON_INDUSTRY,293650007.26,26,4.131,32,26,6,0,2025-10-25
2019,PT,ES3,PRV,51f7321aa3591019c8a1,MOBILITY,103,47,9495897333.84,2.524,2088,HORIZON_HEALTH,2160269.72,29,6.023,50,27,7,0,2024-12-16
2020,SE,BG151,UKIPO,3fdfa683dd3c46fdf79a,FINTECH,113,99,11196098220.19,2.927,2468,HORIZON_WIDENING,88660239.73,8,4.611,49,28,8,0,2024-11-30
2021,CY,CZ793,DPMA,984bcfe0ae549b0f20bc,AGRI_TECH,118,83,15085969004.02,4.02,1948,HORIZON_CLIMATE,82951910.16,20,3.595,62,29,9,1,2025-10-01
2022,FR,IE55,EPO,571c7ce0e1fe9371dabe,SECURITY,102,81,3484096278.94,0.867,2351,EIC_PATHFINDER,7154776.95,22,1.068,16,30,1,1,2025-02-19
2023,IT,PT691,UPV,92013ce6696c53e87d76,ICT,102,88,10141108457.5,3.034,1774,HORIZON_SPACE,146686517.52,18,5.887,57,31,2,1,2024-09-21
2024,NL,RO258,OEPM,b627988558f75bf695d0,BIOTECH,111,54,4966887423.66,1.705,1911,HORIZON_DIGITAL,71816993.05,35,5.43,45,32,3,0,2025-05-23
2025,SI,CZ339,INPI,187a456dda6a74fc824c,MEDTECH,105,102,12125711973.3,3.263,2422,EIC_ACCELERATOR,350958507.46,17,3.089,28,33,4,1,2025-06-15
2026,BG,FR529,EUIPO,b8bb457c43f0530c9eb5,CLEAN_ENERGY,112,54,3641345439.15,0.95,2502,HORIZON_INDUSTRY,262242122.0,16,0.363,22,34,5,1,2024-02-07
2014,EE,DK964,BOIP,8e9a6c4b638f8fb9dd48,ADV_MATERIALS,114,111,9654062132.71,2.699,2281,HORIZON_HEALTH,221036323.62,26,0.404,24,35,6,0,2025-01-21
2015,HU,EE173,PRV,8df6b5b5f4f56ddd49de,AEROSPACE,107,83,13519213984.06,4.176,1901,HORIZON_WIDENING,94130227.17,27,5.792,60,1,7,1,2025-11-20
2016,LU,PT732,UKIPO,f7a407d7f96cfedc9845,MOBILITY,123,75,12633942515.09,3.54,2240,HORIZON_CLIMATE,67436152.44,17,0.929,35,2,8,0,2024-04-11
2017,RO,RO3,DPMA,dc7a31d92496ce44b96b,FINTECH,129,101,13151099159.49,3.518,1726,EIC_PATHFINDER,242192637.39,29,3.429,21,3,9,1,2025-10-01
2018,AT,HR765,EPO,a4a5432ac85988fb941e,AGRI_TECH,116,101,10855658187.31,3.038,2466,HORIZON_SPACE,6846993.53,24,3.567,32,4,1,0,2024-05-12
2019,CZ,PL579,UPV,09e76cfa311e856cae1b,SECURITY,110,93,1403909346.53,0.404,1848,HORIZON_DIGITAL,170609696.76,39,5.277,46,5,2,1,2025-04-14
2020,DE,FR119,OEPM,47eee52d50e1091cc89a,ICT,132,88,3718119169.59,1.144,2355,EIC_ACCELERATOR,13564696.87,46,5.744,33,6,3,1,2025-07-10
2021,LV,LU224,INPI,f7fa26214b3aabc1bf1b,BIOTECH,137,131,3733765173.83,0.996,2271,HORIZON_INDUSTRY,142198332.09,24,4.428,25,7,4,0,2025-12-22
2022,PL,SE89,EUIPO,ef9202e721709358244c,MEDTECH,114,82,2675081825.87,0.721,2515,HORIZON_HEALTH,193191253.12,44,2.382,14,8,5,0,2025-09-24
2023,ES,FI2,BOIP,d95d090ce78d732bd4fe,CLEAN_ENERGY,126,97,16077821295.48,4.172,1999,HORIZON_WIDENING,132596008.37,28,1.727,47,9,6,1,2025-09-13
2024,HR,RO1,PRV,910526d7d592327dda13,ADV_MATERIALS,115,110,6001477174.5,1.848,1806,HORIZON_CLIMATE,221190276.31,47,4.251,26,10,7,1,2024-03-16
2025,FI,IE285,UKIPO,8f060062a04b73f37b12,AEROSPACE,140,108,5051505773.67,1.471,2417,EIC_PATHFINDER,95081652.44,45,3.022,16,11,8,1,2025-05-27
2026,IE,NL882,DPMA,0ba36e5c470df287b40b,MOBILITY,135,105,4600638477.79,1.135,2364,HORIZON_SPACE,283423502.62,48,0.39,42,12,9,0,2025-02-09
2014,MT,HU918,EPO,08585cb2c6b235950d1a,FINTECH,128,86,6326019797.79,1.572,2022,HORIZON_DIGITAL,247960635.89,35,2.827,50,13,1,0,2025-03-16
2015,SK,PL34,UPV,2f8b3c57186fefa275e3,AGRI_TECH,128,111,13967672782.83,3.894,1854,EIC_ACCELERATOR,173269715.86,33,4.713,67,14,2,0,2026-02-20
2016,BE,SE49,OEPM,a7be89f2fcbe2ee94a5f,SECURITY,136,69,2190177575.07,0.498,1974,HORIZON_INDUSTRY,195607662.8,37,6.031,36,15,3,1,2026-02-21
2017,DK,SK568,INPI,de7ac5f0f535c1cda233,ICT,133,111,11600586083.58,2.735,2296,HORIZON_HEALTH,238903995.73,40,2.703,29,16,4,1,2026-02-10
2018,GR,RO6,EUIPO,5de913e8b642979cc229,BIOTECH,141,130,3240600726.73,0.751,2071,HORIZON_WIDENING,194736312.56,34,3.02,58,17,5,0,2025-05-12
2019,LT,BE2,BOIP,5d384e88c636f9c0d43e,MEDTECH,124,84,6160648407.71,1.399,1908,HORIZON_CLIMATE,149202708.47,46,0.668,21,18,6,1,2024-05-23
2020,PT,HU79,PRV,f1c9941a7e462af4752a,CLEAN_ENERGY,149,143,3977812134.46,1.022,2535,EIC_PATHFINDER,155636415.76,53,4.14,56,19,7,1,2025-05-19
2021,SE,CY7,UKIPO,b8e9ec39cbf6f55865e8,ADV_MATERIALS,137,77,12502824510.22,2.975,2411,HORIZON_SPACE,111610944.23,37,2.341,36,20,8,1,2024-09-04
2022,CY,NL313,DPMA,d2438d6a98b7cedc041c,AEROSPACE,132,96,11495838185.91,2.407,1843,HORIZON_DIGITAL,190809043.46,41,4.356,66,21,9,1,2025-01-28
2023,FR,BG6,EPO,3b60f0dcde16c3fcb975,MOBILITY,131,71,7976560262.75,2.032,2374,EIC_ACCELERATOR,195080991.95,60,1.472,31,22,1,1,2026-02-14
2024,IT,CY684,UPV,dda393835143e24edf6e,FINTECH,144,138,6766431917.34,1.862,2496,HORIZON_INDUSTRY,42508400.92,44,1.788,28,23,2,1,2024-02-15
2025,NL,SK82,OEPM,46e0bdcae31e229f156c,AGRI_TECH,150,68,17160854546.71,3.5,1805,HORIZON_HEALTH,248419406.65,48,6.235,51,24,3,0,2024-08-17
2026,SI,IT817,INPI,cf1961d979f9e5ef8a77,SECURITY,138,64,8166063407.22,2.034,2492,HORIZON_WIDENING,123636867.93,50,4.707,22,25,4,1,2025-10-19
2014,BG,HU1,EUIPO,083b7902fd3e431b86c1,ICT,147,78,2717842706.98,0.582,2353,HORIZON_CLIMATE,36364375.39,42,4.54,68,26,5,0,2026-01-22
2015,EE,GR4,BOIP,15f59aac8a1b39d42edd,BIOTECH,155,149,4652645692.97,1.054,2287,EIC_PATHFINDER,161935686.05,51,3.194,47,27,6,1,2024-08-23
2016,HU,SK78,PRV,8b3641338fcae6d0ff30,MEDTECH,152,67,13721906266.77,2.936,2158,HORIZON_SPACE,169763674.57,54,1.147,47,28,7,0,2025-12-09
2017,LU,LT371,UKIPO,6f660d5751ee11dbbe95,CLEAN_ENERGY,135,118,10291823028.87,2.13,2316,HORIZON_DIGITAL,158948900.59,47,6.199,37,29,8,1,2024-10-21
2018,RO,DK7,DPMA,5c80f65b59de6d87a54a,ADV_MATERIALS,154,84,14581099130.83,3.17,2425,EIC_ACCELERATOR,149490433.12,47,2.821,67,30,9,1,2026-01-31
2019,AT,GR144,EPO,5f6d19e8a592897325e4,AEROSPACE,140,134,7621911585.24,2.044,2190,HORIZON_INDUSTRY,64622066.11,63,1.118,67,31,1,1,2025-01-10
2020,CZ,IE5,UPV,bc8a43161a972a0fcf0c,MOBILITY,138,86,13276697039.76,2.682,2465,HORIZON_HEALTH,75654789.33,59,5.569,17,32,2,1,2025-10-06
2021,DE,IT49,OEPM,74c9623c7c25b1594c3e,FINTECH,148,148,7658309872.11,1.845,2044,HORIZON_WIDENING,282742207.64,53,1.999,69,33,3,1,2024-07-24
2022,LV,RO916,INPI,1ad42ce1db56912174d1,AGRI_TECH,161,68,9020547171.1,1.699,2505,HORIZON_CLIMATE,169501941.15,58,4.163,62,34,4,0,2025-06-27
2023,PL,LV58,EUIPO,49862d562324d3e1c022,SECURITY,141,116,8136055314.64,1.994,2232,EIC_PATHFINDER,243653138.86,72,4.672,14,35,5,0,2025-09-08
2024,ES,PL597,BOIP,995cac9d8a10b0d5e647,ICT,161,91,5678818716.55,1.048,2302,HORIZON_SPACE,131434278.46,60,5.139,70,1,6,0,2024-04-12
