care_costs_billing_year,care_costs_drg_code,care_costs_allowed_amount_avg,care_costs_paid_amount_avg,care_costs_patient_responsibility_avg,care_costs_charge_amount_avg,care_costs_cost_to_charge_ratio,care_costs_denial_rate_pct,care_costs_prior_auth_required_flag,care_costs_appeal_overturn_rate,care_costs_collection_rate_pct,care_costs_charity_care_share_pct,care_costs_bad_debt_share_pct,care_costs_price_transparency_file_flag,care_costs_shoppable_service_code,care_costs_site_of_care_shift_index,care_costs_contracted_rate_index,care_costs_out_of_network_rate_index,care_costs_surprise_bill_incidence_rate,care_costs_inflation_adjustment_base
2025,DRG699,139838.65,122671.63,17167.02,296224.94,0.767,34.31,N,53.44,86.67,15.41,12.32,N,SHOP-259,66.92,1.294,1.26,2.158,GDP_Deflator
2020,DRG809,156443.42,114874.8,41568.62,285023.92,0.965,14.61,Y,51.6,82.89,1.59,23.28,N,SHOP-565,31.33,0.545,1.421,0.239,CPI_Rural
2021,DRG820,106891.26,65819.68,41071.58,239582.83,0.177,34.98,N,33.6,55.47,15.83,18.9,N,SHOP-268,98.21,0.984,1.266,5.025,CPI_Rural
2021,DRG083,90203.36,85891.27,4312.09,100276.2,0.344,30.54,Y,54.62,41.34,10.55,13.13,N,SHOP-555,75.18,1.207,0.883,0.972,CPI_Urban
2019,DRG861,50725.35,43044.4,7680.95,56020.48,1.033,25.49,Y,29.24,89.4,2.53,19.45,Y,SHOP-845,35.52,1.231,1.622,1.608,WPI
2018,DRG378,177145.58,162094.28,15051.3,188431.2,0.609,20.83,N,84.08,97.43,0.37,13.02,N,SHOP-293,28.12,0.694,1.265,1.852,WPI
2019,DRG864,226270.79,204679.39,21591.4,540665.16,0.372,18.76,N,72.71,39.0,1.11,1.62,N,SHOP-214,19.44,1.111,1.33,2.964,WPI
2021,DRG940,153295.07,106035.51,47259.56,225689.2,0.57,18.74,Y,67.7,49.6,13.75,15.49,Y,SHOP-719,83.27,0.636,1.834,2.738,WPI
2021,DRG804,163292.5,94051.07,69241.43,237946.98,0.883,25.28,N,74.31,70.63,14.35,0.11,Y,SHOP-530,37.95,1.193,0.86,0.705,WPI
2021,DRG824,152663.33,119564.75,33098.58,387863.94,0.745,6.65,N,35.66,83.03,0.63,13.72,N,SHOP-839,14.39,0.56,1.348,0.293,WPI
2025,DRG222,206628.64,124212.91,82415.73,217798.55,1.077,11.85,Y,76.91,49.83,14.09,6.42,Y,SHOP-369,87.23,0.536,1.166,7.669,CPI_Urban
2016,DRG395,127914.27,89814.84,38099.43,230754.55,1.087,12.71,Y,87.67,88.57,7.35,14.57,N,SHOP-328,14.87,0.836,1.41,6.299,WPI
2016,DRG375,222004.27,201608.75,20395.52,273039.12,0.98,27.75,N,27.08,58.42,17.75,3.81,N,SHOP-318,89.51,1.156,1.064,0.38,CPI_Urban
2019,DRG925,106252.3,89700.57,16551.73,271029.42,1.032,9.93,N,47.74,93.74,14.21,5.26,Y,SHOP-723,25.19,1.209,1.789,4.073,CPI_Rural
2020,DRG739,231802.33,141579.67,90222.66,326175.36,0.721,30.92,Y,21.69,97.66,12.77,14.36,Y,SHOP-688,70.98,0.598,2.004,6.767,WPI
2024,DRG571,7650.85,5744.99,1905.86,12758.25,1.069,24.79,Y,67.01,97.47,1.84,8.49,N,SHOP-184,62.22,1.481,0.926,1.259,CPI_Rural
2018,DRG474,121597.61,84147.42,37450.19,192551.73,1.065,13.09,Y,73.69,41.1,7.88,20.65,N,SHOP-334,10.44,0.721,1.781,4.643,CPI_Rural
2021,DRG239,62834.96,43100.67,19734.29,133711.78,0.251,24.35,N,6.28,51.45,12.27,1.74,Y,SHOP-822,89.03,1.457,1.921,7.486,CPI_Rural
2016,DRG395,61460.76,38399.15,23061.61,82337.63,0.846,14.08,Y,56.85,47.55,18.81,5.45,N,SHOP-371,30.23,0.865,0.917,0.812,GDP_Deflator
2018,DRG995,204132.65,143022.25,61110.4,378044.58,0.72,27.23,N,47.77,85.04,8.99,3.99,N,SHOP-236,92.59,1.14,1.037,7.401,CPI_Rural
2022,DRG890,190326.62,121791.29,68535.33,450642.69,0.606,7.24,N,73.37,71.32,1.07,14.23,N,SHOP-339,18.49,0.698,0.965,2.283,CPI_Urban
2020,DRG848,192265.82,147054.44,45211.38,499276.7,0.88,34.36,N,85.55,51.1,9.9,2.54,Y,SHOP-425,30.97,1.347,1.96,2.338,CPI_Urban
2019,DRG335,116934.91,86691.44,30243.47,296064.97,0.785,29.67,N,7.92,84.18,12.65,11.55,Y,SHOP-383,63.39,1.382,1.909,3.534,CPI_Urban
2018,DRG397,44167.59,31793.28,12374.31,76653.07,0.725,30.66,Y,81.74,88.36,19.65,11.37,Y,SHOP-154,52.92,0.832,1.129,0.973,GDP_Deflator
2021,DRG090,126489.67,89993.46,36496.21,212986.18,1.076,34.04,Y,44.12,44.92,1.03,11.53,Y,SHOP-789,73.27,1.013,1.929,0.903,CPI_Rural
2021,DRG266,232913.09,136016.72,96896.37,427719.19,0.198,27.58,N,18.55,64.31,7.96,20.85,Y,SHOP-381,7.57,0.745,1.312,5.407,CPI_Rural
2018,DRG233,99334.31,89741.98,9592.33,245044.86,0.338,31.94,Y,65.17,64.92,13.41,10.39,Y,SHOP-339,90.48,0.614,0.89,0.767,GDP_Deflator
2024,DRG200,135230.2,116959.77,18270.43,357889.85,0.936,34.36,Y,41.44,65.53,14.47,24.51,N,SHOP-673,48.05,0.519,1.068,6.153,WPI
2019,DRG404,160400.95,123037.52,37363.43,343244.93,0.203,23.79,Y,10.04,55.25,10.74,12.4,N,SHOP-374,28.81,1.186,1.533,5.39,GDP_Deflator
2022,DRG539,7388.24,4591.18,2797.06,16893.66,0.879,24.79,Y,77.48,51.42,4.88,19.37,N,SHOP-103,14.9,0.532,1.2,3.028,CPI_Rural
2021,DRG606,37899.99,27446.76,10453.23,96504.34,1.184,23.56,Y,4.37,42.98,8.45,15.61,N,SHOP-242,88.54,0.591,0.922,3.569,WPI
2022,DRG008,186350.57,168258.1,18092.47,495077.99,0.665,25.07,N,13.84,38.91,8.61,9.69,N,SHOP-322,22.09,1.194,1.354,2.354,CPI_Urban
2019,DRG812,240710.54,229036.45,11674.09,393488.88,0.305,34.05,Y,72.35,87.01,8.9,18.33,N,SHOP-352,32.59,0.734,2.032,5.418,CPI_Urban
2020,DRG726,64431.44,40554.36,23877.08,79023.37,0.79,3.33,N,4.75,54.75,19.17,15.66,N,SHOP-118,75.81,0.857,1.506,0.143,CPI_Urban
2023,DRG168,28729.5,24047.0,4682.5,63781.0,0.364,28.25,Y,81.73,56.56,0.13,7.94,Y,SHOP-884,20.66,0.844,1.171,2.919,WPI
2016,DRG163,220283.36,152239.72,68043.64,386833.33,0.696,27.26,Y,64.5,49.74,4.62,13.45,N,SHOP-565,22.34,0.631,1.722,2.809,CPI_Rural
2021,DRG825,208877.67,114956.69,93920.98,427474.25,0.956,1.74,Y,81.72,81.05,15.43,23.18,N,SHOP-904,85.08,0.633,1.92,6.267,CPI_Rural
2021,DRG274,180369.58,164326.01,16043.57,477455.63,0.169,24.07,N,87.59,61.57,12.69,19.18,Y,SHOP-520,52.64,0.842,1.126,7.144,WPI
2016,DRG775,129213.9,74310.76,54903.14,320115.31,0.914,21.47,N,43.18,37.6,8.35,7.28,N,SHOP-714,61.07,0.663,1.392,0.354,CPI_Urban
2016,DRG103,70354.55,68724.21,1630.34,114373.29,1.015,6.61,Y,37.56,72.09,5.58,6.39,Y,SHOP-286,90.6,0.709,2.189,6.684,CPI_Urban
2018,DRG970,166150.03,123771.46,42378.57,193932.98,1.05,6.46,N,77.38,61.29,8.65,20.79,N,SHOP-935,93.9,1.059,1.71,0.186,CPI_Rural
2024,DRG165,159898.2,147841.23,12056.97,185971.19,0.412,2.16,N,23.31,44.84,0.81,17.36,Y,SHOP-898,98.89,0.951,1.1,2.629,WPI
2021,DRG244,56168.2,44493.26,11674.94,75581.02,0.891,26.73,N,8.41,43.3,5.92,21.89,N,SHOP-823,60.1,1.06,1.607,5.201,GDP_Deflator
2019,DRG059,47599.75,40137.42,7462.33,69148.33,0.325,0.7,Y,57.97,42.01,10.88,18.87,Y,SHOP-876,31.7,0.966,1.803,5.809,GDP_Deflator
2025,DRG012,62992.4,50248.48,12743.92,93221.87,1.048,23.7,N,55.07,89.98,13.69,10.91,Y,SHOP-244,36.58,0.595,1.442,7.386,GDP_Deflator
2017,DRG896,102538.14,71416.51,31121.63,276114.2,0.681,2.35,Y,16.52,72.29,9.31,13.56,N,SHOP-249,89.41,1.255,1.317,5.424,CPI_Urban
2018,DRG827,237712.37,164148.72,73563.65,390805.82,0.583,25.42,Y,7.4,77.6,13.43,6.41,Y,SHOP-710,60.1,0.873,1.811,6.235,CPI_Urban
2021,DRG201,168436.29,132849.78,35586.51,378731.6,1.176,10.29,Y,6.67,68.76,4.56,15.03,N,SHOP-768,36.44,1.295,0.839,5.579,WPI
2019,DRG384,62589.61,54578.97,8010.64,139054.3,1.137,8.31,Y,27.79,94.21,15.16,11.02,N,SHOP-830,71.99,1.394,1.533,2.511,GDP_Deflator
2020,DRG478,29497.28,21110.11,8387.17,66762.89,0.398,20.25,N,5.74,47.36,16.4,2.04,N,SHOP-721,97.13,1.149,2.176,7.088,WPI
2020,DRG749,60846.93,37697.38,23149.55,124101.6,1.052,24.59,N,15.41,45.89,2.94,19.44,N,SHOP-208,28.89,1.437,1.33,4.604,GDP_Deflator
2016,DRG795,39616.66,27212.49,12404.17,109745.16,0.216,3.88,Y,42.0,89.78,15.32,1.29,N,SHOP-618,85.17,1.001,1.688,5.13,GDP_Deflator
2019,DRG365,120942.17,91894.92,29047.25,164107.9,0.363,31.99,Y,0.3,54.08,15.46,24.05,N,SHOP-350,36.44,1.387,1.233,6.917,GDP_Deflator
2023,DRG353,42387.08,40757.99,1629.09,61858.92,1.091,6.6,N,31.0,44.35,18.42,8.6,Y,SHOP-558,36.08,0.72,2.199,2.029,CPI_Urban
2021,DRG387,70021.54,60285.38,9736.16,194536.89,1.027,9.01,Y,83.34,71.75,10.97,23.44,N,SHOP-811,82.4,1.119,1.048,5.061,WPI
2017,DRG519,226592.62,177527.16,49065.46,480592.19,0.3,1.75,Y,38.86,70.27,15.26,3.02,Y,SHOP-298,86.82,0.808,1.664,6.403,GDP_Deflator
2016,DRG810,8763.35,5095.76,3667.59,23519.2,1.046,24.54,Y,51.26,35.01,1.09,21.25,Y,SHOP-633,93.14,1.477,1.714,7.367,WPI
2016,DRG249,130340.06,87620.68,42719.38,349195.79,0.899,8.52,N,61.26,74.32,7.01,20.47,Y,SHOP-306,91.88,0.925,2.078,0.747,WPI
2018,DRG146,248990.02,225431.42,23558.6,447251.27,0.247,18.4,N,23.89,61.45,0.05,1.37,Y,SHOP-996,71.44,1.319,1.62,1.246,WPI
2016,DRG271,34698.29,22560.02,12138.27,79196.54,0.219,19.65,Y,66.55,55.63,10.21,17.11,Y,SHOP-896,82.19,0.893,1.318,6.244,GDP_Deflator
2017,DRG326,46853.8,34707.8,12146.0,115507.19,0.979,19.68,Y,22.1,97.33,19.12,1.13,Y,SHOP-347,57.55,1.21,1.563,0.771,CPI_Urban
2024,DRG115,16041.82,11656.42,4385.4,25311.32,1.007,20.58,Y,69.79,76.26,4.98,2.61,N,SHOP-144,93.0,1.223,2.157,4.734,WPI
2016,DRG649,28418.4,23768.71,4649.69,39048.81,1.072,15.8,N,14.22,41.38,14.93,11.14,N,SHOP-131,78.64,1.26,1.291,1.844,GDP_Deflator
2020,DRG467,210026.41,161673.08,48353.33,449781.19,0.483,24.1,N,11.64,93.35,19.67,14.93,Y,SHOP-328,81.9,1.291,2.037,6.313,WPI
2020,DRG978,175572.96,171080.33,4492.63,198655.36,0.919,29.31,N,50.16,45.28,19.33,6.66,N,SHOP-416,63.55,1.177,1.525,3.254,CPI_Urban
2019,DRG144,170183.47,110518.94,59664.53,293326.04,0.815,6.62,N,14.08,65.55,3.69,18.57,Y,SHOP-237,73.38,1.355,1.55,7.673,WPI
2020,DRG813,32606.05,27211.1,5394.95,56803.41,0.39,3.59,Y,83.84,40.28,3.74,10.19,N,SHOP-426,13.59,0.688,1.316,6.276,CPI_Urban
2022,DRG685,226919.66,211583.57,15336.09,388089.5,0.909,16.03,N,26.64,56.86,8.78,22.85,N,SHOP-995,87.23,1.42,1.128,5.601,CPI_Rural
2016,DRG793,38546.69,25237.29,13309.4,92567.77,0.846,1.84,N,55.82,56.32,7.17,16.37,Y,SHOP-641,33.3,0.899,1.216,0.532,WPI
2022,DRG720,118660.76,69831.63,48829.13,245758.84,0.439,32.99,N,11.21,75.09,18.7,1.09,Y,SHOP-720,56.81,0.876,1.912,1.258,WPI
2024,DRG490,3766.76,3107.02,659.74,9989.23,0.215,28.85,Y,16.66,58.08,15.19,20.11,Y,SHOP-691,51.42,0.716,0.841,4.823,GDP_Deflator
2025,DRG558,60079.03,43589.31,16489.72,92878.19,1.023,12.74,N,63.89,92.77,0.23,11.48,N,SHOP-500,89.39,0.783,1.561,1.87,CPI_Rural
2021,DRG411,245344.02,200205.98,45138.04,295669.22,0.629,32.8,N,63.63,64.14,5.59,5.31,N,SHOP-142,77.98,0.953,1.516,1.373,WPI
2017,DRG778,31506.26,27268.82,4237.44,76549.31,0.218,30.85,N,12.25,59.23,15.26,12.84,N,SHOP-620,34.82,0.927,0.82,0.933,CPI_Rural
2021,DRG909,83108.15,74787.27,8320.88,176558.77,0.274,14.7,Y,0.4,55.72,1.03,18.37,Y,SHOP-742,81.92,0.813,1.083,4.04,GDP_Deflator
2022,DRG288,104010.28,65266.09,38744.19,198831.48,0.457,24.56,N,25.28,47.34,16.74,18.86,Y,SHOP-208,50.22,1.194,1.044,1.559,CPI_Urban
2020,DRG143,200350.02,152047.08,48302.94,419013.24,1.138,1.71,Y,40.07,81.91,5.76,17.57,Y,SHOP-291,11.01,0.841,2.168,2.443,WPI
2019,DRG037,18019.2,17303.85,715.35,19881.02,0.421,3.58,N,67.75,77.92,8.25,11.54,Y,SHOP-442,18.87,1.114,1.48,3.666,WPI
2017,DRG038,73933.46,57322.0,16611.46,194440.29,0.684,18.86,Y,53.6,38.38,12.3,23.86,Y,SHOP-614,30.24,0.919,2.08,6.947,GDP_Deflator
2018,DRG721,52755.05,39577.34,13177.71,70947.32,0.722,5.69,N,33.38,97.47,6.83,1.08,N,SHOP-563,89.6,1.074,2.029,1.185,GDP_Deflator
2024,DRG395,194552.06,189670.17,4881.89,445756.46,0.681,30.61,N,4.85,52.72,15.08,16.62,N,SHOP-440,37.5,0.893,2.139,4.053,CPI_Rural
2016,DRG246,193798.57,137011.91,56786.66,392531.59,0.968,26.04,Y,64.41,42.94,7.0,20.42,Y,SHOP-508,54.87,0.937,1.89,2.312,WPI
2021,DRG853,194224.09,176021.92,18202.17,392515.7,0.825,0.13,Y,66.6,72.82,16.96,4.77,Y,SHOP-539,6.98,0.68,1.062,3.804,WPI
2023,DRG067,15109.41,11410.94,3698.47,16440.67,0.49,20.22,Y,52.56,57.09,17.86,13.89,Y,SHOP-255,45.5,0.665,0.806,3.01,GDP_Deflator
2022,DRG291,68510.24,64376.79,4133.45,187499.85,1.14,14.52,N,0.01,92.11,3.79,24.7,Y,SHOP-432,69.89,0.647,1.038,5.453,WPI
2016,DRG638,125714.51,107182.33,18532.18,323033.86,0.42,24.63,Y,79.93,56.71,1.5,23.62,Y,SHOP-787,68.71,1.222,1.559,0.278,GDP_Deflator
2023,DRG971,37823.68,25304.37,12519.31,97992.44,0.39,32.36,Y,13.99,81.5,6.03,9.77,N,SHOP-398,35.04,0.665,1.161,7.476,WPI
2023,DRG129,49617.38,33402.46,16214.92,87714.8,0.432,33.76,Y,26.36,79.8,16.44,3.74,N,SHOP-977,12.83,0.61,1.042,2.588,CPI_Urban
2025,DRG215,165775.1,117274.39,48500.71,460476.67,0.66,1.62,N,85.19,84.69,11.72,4.42,Y,SHOP-995,54.84,0.938,1.458,6.054,GDP_Deflator
2022,DRG721,219536.89,187408.53,32128.36,594186.17,0.709,9.04,Y,12.68,72.48,8.16,23.6,N,SHOP-256,32.52,0.587,0.974,5.251,GDP_Deflator
2020,DRG765,9290.4,7392.37,1898.03,21504.02,1.036,7.68,N,62.65,45.29,19.65,13.22,N,SHOP-908,43.47,0.851,1.363,1.625,CPI_Rural
2023,DRG472,133105.46,74302.18,58803.28,226676.63,0.831,0.46,N,88.95,38.18,12.77,23.85,Y,SHOP-343,34.47,0.735,1.12,6.008,GDP_Deflator
2023,DRG323,13250.5,7574.54,5675.96,14528.69,1.126,13.13,N,4.26,87.25,6.95,23.45,N,SHOP-494,15.05,0.628,1.235,6.383,WPI
2017,DRG476,1470.67,939.76,530.91,2588.86,0.422,1.55,Y,18.79,41.72,4.02,20.09,N,SHOP-617,26.32,1.381,1.667,2.455,WPI
2018,DRG797,45493.71,33919.54,11574.17,63914.36,0.77,20.76,Y,15.27,92.59,11.13,15.08,Y,SHOP-814,55.62,1.145,2.159,7.73,GDP_Deflator
2020,DRG641,133536.49,120171.39,13365.1,255276.9,0.584,20.47,Y,55.61,75.23,13.63,23.4,Y,SHOP-639,75.5,0.59,2.101,1.414,CPI_Rural
2022,DRG838,231313.32,157114.54,74198.78,251406.71,0.42,27.49,N,9.88,83.65,16.97,0.32,N,SHOP-979,3.96,0.712,1.816,0.807,CPI_Rural
2018,DRG562,67980.11,63259.88,4720.23,150848.29,0.203,1.58,N,16.87,69.93,1.91,7.04,N,SHOP-571,58.17,1.097,0.823,1.805,CPI_Urban
2020,DRG690,90310.67,69384.74,20925.93,137436.64,0.986,30.73,Y,75.72,49.81,19.31,6.57,Y,SHOP-869,21.37,1.259,2.133,3.162,CPI_Urban
2019,DRG450,182760.28,173805.79,8954.49,218794.72,0.709,25.47,Y,39.31,78.88,14.9,24.19,Y,SHOP-592,24.11,1.395,1.554,1.935,WPI
2023,DRG494,42052.58,36875.23,5177.35,51879.47,0.693,6.83,Y,31.39,39.85,14.45,5.17,Y,SHOP-871,32.24,0.622,1.107,3.247,CPI_Urban
2016,DRG950,142029.61,130376.94,11652.67,236609.82,1.18,6.96,N,37.59,68.5,19.28,7.2,N,SHOP-705,4.68,1.322,1.671,6.808,WPI
2016,DRG242,155169.21,118392.99,36776.22,395540.34,0.445,28.76,Y,45.66,98.3,1.24,7.0,Y,SHOP-914,7.08,1.036,0.903,6.179,GDP_Deflator
2021,DRG638,185569.24,120343.74,65225.5,356662.24,1.107,26.25,Y,37.16,61.29,14.94,0.31,N,SHOP-384,85.0,0.504,1.256,2.534,WPI
2023,DRG716,158670.68,106461.2,52209.48,341549.81,0.292,8.0,Y,29.29,45.92,6.13,15.46,Y,SHOP-766,3.65,0.532,1.945,3.75,CPI_Rural
2020,DRG287,12473.26,9702.69,2770.57,33378.37,1.026,9.63,Y,46.45,78.03,14.39,11.23,Y,SHOP-947,75.81,1.293,0.969,3.493,WPI
2018,DRG866,185868.68,104433.21,81435.47,321486.6,0.773,30.05,N,43.43,81.35,9.39,13.68,Y,SHOP-244,87.06,0.943,1.906,7.772,CPI_Urban
2017,DRG927,22872.73,20330.57,2542.16,51235.57,0.38,27.77,Y,83.76,88.87,17.5,8.55,Y,SHOP-842,62.12,0.783,0.911,3.275,GDP_Deflator
2025,DRG887,143522.27,131282.23,12240.04,328176.79,0.685,11.32,Y,11.58,53.89,17.64,17.24,N,SHOP-430,50.69,1.011,1.897,3.599,CPI_Rural
2017,DRG994,200115.69,178361.72,21753.97,230591.81,0.468,2.95,Y,29.59,91.63,7.27,20.19,Y,SHOP-769,65.23,1.152,1.343,2.184,WPI
2022,DRG388,93303.75,58110.48,35193.27,155745.92,0.692,13.32,Y,6.26,89.48,17.76,5.72,Y,SHOP-524,67.1,0.7,1.613,2.51,GDP_Deflator
2025,DRG418,65092.42,39821.04,25271.38,115681.36,0.969,12.18,N,21.39,73.67,1.71,12.13,Y,SHOP-876,57.99,0.604,2.091,7.405,GDP_Deflator
2019,DRG522,123451.33,86455.13,36996.2,210327.53,1.196,22.56,N,58.98,54.19,15.37,0.8,Y,SHOP-642,24.95,0.775,1.014,6.651,GDP_Deflator
2018,DRG266,173030.19,102318.0,70712.19,216528.89,0.901,21.66,Y,6.17,73.03,10.08,8.34,N,SHOP-236,1.17,0.848,1.824,2.247,WPI
2016,DRG643,237552.78,146311.31,91241.47,311415.63,0.869,13.15,N,36.28,65.73,9.13,24.83,N,SHOP-991,32.64,0.97,1.96,6.724,WPI
2020,DRG347,59187.05,52343.83,6843.22,82215.85,0.727,3.59,Y,8.78,61.6,0.96,6.35,Y,SHOP-246,81.8,1.265,0.939,7.544,CPI_Rural
2020,DRG286,229289.69,126554.63,102735.06,497801.43,1.13,8.61,N,8.38,88.21,0.14,13.71,N,SHOP-833,22.05,1.477,1.493,7.766,CPI_Rural
2024,DRG169,167694.21,163311.26,4382.95,200356.42,0.378,14.77,N,37.24,69.9,8.09,23.11,Y,SHOP-208,46.33,1.498,2.078,0.546,WPI
2016,DRG830,226889.79,145013.8,81875.99,566992.17,1.125,33.04,N,38.88,43.09,4.16,8.19,Y,SHOP-347,12.02,1.161,1.122,4.682,CPI_Rural
2021,DRG301,53218.88,40640.84,12578.04,146362.78,0.626,2.19,Y,11.02,36.04,5.68,4.27,N,SHOP-647,8.26,1.171,0.909,3.978,WPI
2019,DRG847,24028.79,22364.7,1664.09,31647.11,0.157,27.99,Y,54.59,75.34,0.59,13.95,Y,SHOP-427,63.46,0.737,1.694,7.917,CPI_Rural
2020,DRG838,95741.49,55101.88,40639.61,242076.67,0.179,32.43,N,72.62,95.64,8.28,10.3,Y,SHOP-789,54.79,0.669,0.947,0.855,GDP_Deflator
2023,DRG147,194500.05,157071.77,37428.28,465150.04,0.649,26.66,N,86.45,75.59,8.52,6.29,Y,SHOP-100,80.11,1.213,0.852,3.075,CPI_Rural
2017,DRG796,206409.09,127881.85,78527.24,304323.75,0.722,33.4,N,59.38,70.46,7.68,6.05,N,SHOP-973,74.32,1.041,2.043,2.077,CPI_Rural
2017,DRG623,221279.38,177688.89,43590.49,321527.68,0.489,21.13,N,3.06,95.55,17.61,19.87,N,SHOP-172,41.78,0.901,1.667,5.579,WPI
2023,DRG765,47624.28,33588.53,14035.75,60005.74,0.226,22.05,N,21.03,87.95,6.08,10.71,N,SHOP-241,45.22,1.205,1.232,0.026,CPI_Rural
2016,DRG119,139289.43,120674.54,18614.89,313144.64,1.137,13.14,N,27.14,95.64,9.0,0.8,N,SHOP-966,5.75,1.189,1.891,3.043,WPI
2016,DRG220,172737.81,143727.67,29010.14,423886.33,1.096,29.85,Y,85.2,38.6,17.82,18.89,Y,SHOP-443,47.16,1.384,1.303,7.901,GDP_Deflator
2022,DRG902,119765.89,88896.48,30869.41,254210.84,1.144,10.39,N,69.02,72.25,19.08,24.84,Y,SHOP-350,61.51,0.801,1.651,0.594,CPI_Rural
2022,DRG596,189273.67,168344.41,20929.26,286372.14,0.546,17.9,Y,1.39,91.14,10.25,11.64,Y,SHOP-764,59.88,1.033,1.79,7.767,CPI_Rural
2024,DRG165,37306.43,23353.79,13952.64,64414.58,0.66,19.3,N,23.56,45.93,18.45,4.61,N,SHOP-350,72.81,0.651,1.987,2.35,CPI_Rural
