econ_leading_indicator_date,econ_leading_indicator_name_code,econ_leading_composite_index_value,econ_leading_diffusion_index_value,econ_leading_yield_curve_spread_bps,econ_leading_initial_claims_level,econ_leading_new_orders_index,econ_leading_consumer_expectations_index,econ_leading_building_permits_level,econ_leading_stock_market_index_level,econ_leading_credit_spread_bps,econ_leading_money_supply_growth_pct,econ_leading_manufacturing_hours_index,econ_leading_vendor_delivery_times_index,econ_leading_inventory_to_sales_ratio,econ_leading_recession_signal_flag,econ_leading_signal_threshold_used,econ_leading_lag_months_assumed,econ_leading_nowcast_gdp_growth_pct,econ_leading_model_version_tag
2019-01-13,CLAIMS,115.85,59.586,-93,331399,54.35,92.15,1365824,2023.69,197,-1.15,113.94,41.11,1.656,0,94.39,8,1.48,v1_2
2019-01-14,M2,95.856,52.899,-22,203663,41.53,86.62,1717683,2347.25,195,-0.35,79.71,43.53,1.379,0,94.81,12,3.68,v2_0
2019-01-15,EQUITIES,87.66,39.521,-55,332423,47.24,84.97,1396127,5759.69,56,-3.61,92.48,64.04,1.171,1,95.81,10,-0.85,v2_1
2019-01-16,CREDIT,118.066,38.642,-53,198131,61.14,96.49,954192,2646.94,106,7.28,79.5,37.04,1.257,0,98.94,11,6.3,v2_1
2019-01-17,CLAIMS,95.219,59.686,276,508773,37.24,107.55,719703,2019.1,153,3.23,81.43,46.8,1.681,0,97.67,4,5.21,v1_2
2019-01-18,CLAIMS,86.47,56.411,247,379763,40.08,67.69,1423462,2373.04,348,2.05,80.24,35.7,1.36,1,97.92,8,-1.18,v1_0
2019-01-19,ECI,125.222,60.319,104,507753,62.9,69.97,889947,4970.41,253,-1.49,112.54,40.83,1.145,0,92.62,6,3.76,v1_2
2019-01-20,YIELD_CURVE,88.825,49.314,16,513380,44.73,64.54,1477463,2376.54,369,5.53,76.78,44.66,1.275,1,93.66,2,-0.12,v2_1
2019-01-21,ECI,98.9,58.994,42,500165,42.09,67.25,1372282,3974.45,55,1.81,77.74,55.18,1.427,0,98.54,6,-2.48,v2_1
2019-01-22,ECI,91.503,48.89,-188,317543,36.25,91.15,1279865,3367.58,330,13.48,75.13,62.15,1.349,1,92.21,9,2.2,v1_1
2019-01-23,PERMITS,98.945,37.561,-58,376186,39.39,87.35,818201,2648.81,336,6.92,110.34,63.54,1.179,0,95.68,4,0.68,v1_1
2019-01-24,CLAIMS,97.841,51.833,13,204025,40.87,79.54,1060336,4025.52,131,5.4,106.75,56.08,1.507,0,95.31,9,2.73,v2_1
2019-01-25,EQUITIES,99.103,45.239,-93,268227,38.86,66.97,877288,5075.56,165,5.23,98.3,56.2,1.367,0,92.91,12,5.38,v1_1
2019-01-26,PMI_NEW_ORDERS,102.703,59.493,345,506686,37.67,71.71,1880902,4113.99,313,8.0,95.37,58.82,1.652,0,96.4,4,2.34,v2_1
2019-01-27,CREDIT,97.548,64.717,22,194970,64.56,106.35,891722,5680.11,90,0.72,102.25,63.07,1.19,0,92.74,10,6.66,v1_1
2019-01-28,M2,113.038,50.341,333,167001,46.35,56.01,1868412,2837.15,236,4.02,97.46,58.74,1.443,0,97.84,4,4.08,v1_2
2019-01-29,CLAIMS,121.752,49.825,26,178460,56.59,62.62,866889,4399.93,411,7.99,96.74,61.53,1.341,0,98.04,7,2.07,v2_1
2019-01-30,PERMITS,106.666,45.226,9,227883,37.54,68.71,1785377,2871.02,295,0.8,77.89,50.55,1.135,0,97.99,11,0.63,v1_1
2019-01-31,EQUITIES,94.983,51.73,-123,265638,37.35,89.39,828145,5313.67,143,8.1,89.75,52.41,1.45,1,97.04,12,-2.47,v2_0
2019-02-01,YIELD_CURVE,129.325,55.754,-211,521722,56.17,91.73,908379,2716.87,90,-0.35,97.22,58.59,1.103,0,97.0,3,0.4,v1_0
2019-02-02,M2,109.915,36.392,176,350110,48.1,82.29,1231702,4230.31,396,5.33,108.07,55.69,1.594,0,92.82,2,1.9,v2_0
2019-02-03,YIELD_CURVE,125.311,51.728,-37,223730,61.22,86.96,1752960,2377.65,286,-0.02,82.2,57.18,1.112,0,95.56,3,1.24,v2_1
2019-02-04,M2,92.254,36.436,302,401808,36.66,107.77,1533460,5607.06,337,2.46,86.83,44.39,1.152,1,96.06,10,-3.42,v1_1
2019-02-05,PERMITS,129.26,42.331,2,270468,52.34,70.84,1816211,1958.38,62,1.58,85.65,53.46,1.244,0,98.34,3,-1.76,v2_1
2019-02-06,LEI,96.665,49.64,299,218764,37.78,73.55,1471217,3895.15,194,1.59,91.51,44.97,1.351,0,97.25,3,-1.7,v2_1
2019-02-07,ECI,123.664,47.707,59,241287,60.31,70.3,1378176,4982.11,134,6.12,90.9,62.76,1.695,0,94.84,1,6.22,v1_2
2019-02-08,M2,94.736,38.375,123,466583,41.87,98.6,914147,4417.2,364,-2.1,83.5,63.53,1.129,1,95.46,8,2.48,v2_1
2019-02-09,ECI,121.103,36.376,136,254978,60.53,87.07,772324,4215.48,373,3.8,86.2,41.59,1.619,0,98.41,2,2.01,v1_2
2019-02-10,YIELD_CURVE,103.324,50.776,-235,474901,51.54,64.7,1351003,2945.06,110,2.13,105.36,64.09,1.396,0,95.91,10,0.58,v1_0
2019-02-11,M2,124.019,36.034,103,174755,44.51,84.87,739119,4903.84,389,3.19,111.51,47.11,1.666,0,96.35,3,-0.2,v1_0
2019-02-12,PERMITS,86.077,44.466,-173,325595,47.99,73.14,1270059,2214.55,267,1.92,110.34,61.76,1.51,1,95.06,8,4.23,v1_2
2019-02-13,ECI,108.845,57.394,109,201791,38.04,73.09,1400377,5489.1,323,13.71,112.04,50.12,1.53,0,92.17,8,3.62,v1_2
2019-02-14,M2,116.793,41.168,-16,215315,49.55,81.1,1171634,4646.81,51,6.19,77.88,63.68,1.257,0,97.43,10,5.08,v2_0
2019-02-15,CLAIMS,91.379,63.562,-49,464106,51.51,68.81,1239045,4385.58,365,-3.74,86.57,53.96,1.467,1,98.25,10,2.28,v1_0
2019-02-16,EQUITIES,99.826,39.985,211,177442,39.56,98.55,954936,4997.88,68,1.4,79.64,42.28,1.469,0,97.36,1,3.31,v1_2
2019-02-17,M2,87.32,63.717,59,277730,52.1,109.3,1321156,2740.55,67,-0.02,114.33,45.23,1.423,1,93.5,5,-1.65,v2_1
2019-02-18,EQUITIES,115.889,42.655,7,422213,57.7,98.36,1369577,3980.14,191,1.15,91.79,39.46,1.17,0,92.51,4,-0.12,v1_1
2019-02-19,CREDIT,112.228,57.746,225,273007,52.45,80.13,1031300,2463.7,84,6.88,83.87,57.84,1.358,0,98.18,12,7.22,v2_0
2019-02-20,CLAIMS,106.536,44.179,218,499661,47.06,81.43,1385887,5760.95,407,-4.22,94.93,42.42,1.624,0,98.93,6,0.39,v2_1
2019-02-21,PMI_NEW_ORDERS,99.663,50.329,226,345735,54.07,66.71,1389822,2873.13,202,4.29,80.24,40.83,1.329,0,93.15,4,5.19,v1_0
2019-02-22,CREDIT,114.218,46.615,249,503910,53.83,93.18,1217953,2799.29,179,0.05,93.74,51.29,1.247,0,98.75,4,-0.28,v2_1
2019-02-23,M2,115.595,49.313,309,206345,44.43,84.14,1250217,3380.38,315,2.99,76.19,41.72,1.663,0,96.52,12,0.41,v1_0
2019-02-24,CLAIMS,102.365,41.707,-79,511630,37.32,86.31,797725,2233.77,81,6.12,94.8,43.45,1.175,0,93.85,1,5.11,v2_1
2019-02-25,CREDIT,97.385,51.943,-184,298472,38.51,94.76,1851220,3194.14,342,4.41,77.3,51.52,1.205,0,94.92,5,1.39,v1_2
2019-02-26,PERMITS,104.28,38.662,89,213693,40.31,101.82,1399868,2872.85,419,-8.63,110.63,62.03,1.191,0,96.94,7,0.13,v2_0
2019-02-27,LEI,86.76,43.002,59,155460,35.13,56.35,705711,4167.75,144,2.52,85.09,35.44,1.452,1,95.12,10,0.75,v1_0
2019-02-28,CLAIMS,123.985,60.034,19,311006,42.4,95.0,719838,5725.84,179,9.01,92.51,58.88,1.629,0,95.26,8,3.62,v1_1
2019-03-01,YIELD_CURVE,90.927,35.065,-163,313106,52.1,106.99,1628786,5346.39,243,-1.61,99.1,57.64,1.165,1,96.96,1,0.7,v1_1
2019-03-02,ECI,117.529,58.638,-186,269912,55.05,91.78,1221755,3374.81,168,-2.53,108.43,51.02,1.66,0,92.31,1,1.09,v1_2
2019-03-03,CREDIT,119.101,60.9,203,386981,54.2,55.01,1394066,2081.51,349,-1.29,114.18,40.4,1.162,0,96.66,2,0.08,v1_2
2019-03-04,CLAIMS,119.038,55.925,-170,370910,58.16,78.88,952651,2639.73,73,0.84,81.63,54.8,1.508,0,92.77,10,6.79,v1_1
2019-03-05,PERMITS,96.163,56.886,227,418417,40.14,61.76,1473413,4263.98,154,10.0,105.79,62.93,1.475,0,92.02,6,4.52,v2_1
2019-03-06,LEI,101.837,62.447,-201,193243,43.83,83.41,1599980,4025.45,97,5.94,86.71,60.04,1.539,0,95.13,2,2.86,v2_0
2019-03-07,EQUITIES,97.672,40.131,250,391633,51.25,85.69,1649528,4638.38,266,4.86,105.89,48.65,1.53,0,98.64,7,3.16,v1_2
2019-03-08,EQUITIES,114.598,55.188,214,168583,47.59,88.12,1781283,5300.2,370,3.28,101.07,62.81,1.244,0,92.4,12,0.81,v1_1
2019-03-09,PMI_NEW_ORDERS,126.521,43.071,-18,538897,59.42,95.79,1762501,3441.42,56,1.7,97.14,41.22,1.13,0,96.62,12,1.11,v2_0
2019-03-10,PMI_NEW_ORDERS,92.095,37.02,302,190648,44.95,79.04,1155323,5363.58,280,8.38,105.48,50.65,1.147,1,94.44,12,2.82,v1_0
2019-03-11,CLAIMS,116.636,40.66,25,442199,48.92,71.8,731267,2685.22,269,1.93,80.08,58.48,1.681,0,93.07,2,3.81,v2_1
2019-03-12,M2,118.675,53.497,328,209329,39.24,86.57,1610745,2951.43,283,-0.16,89.15,55.45,1.323,0,92.62,12,0.09,v1_2
2019-03-13,PERMITS,102.164,52.593,98,269524,59.92,84.31,1355942,3113.14,309,8.16,106.11,42.8,1.491,0,96.96,9,1.69,v2_1
2019-03-14,EQUITIES,92.144,61.598,-4,295014,35.22,67.3,1602594,2666.02,217,3.32,105.27,40.05,1.421,1,96.49,2,0.08,v1_2
2019-03-15,PMI_NEW_ORDERS,113.299,36.539,123,361330,43.27,62.35,1193240,2074.87,202,-4.78,82.86,41.3,1.242,0,98.25,6,3.53,v2_0
2019-03-16,CLAIMS,86.103,55.354,-76,331302,38.18,85.89,1344904,3672.22,226,8.46,105.58,40.85,1.566,1,94.57,9,1.63,v2_1
2019-03-17,EQUITIES,94.841,57.689,-160,177843,63.93,109.02,1525297,2485.15,350,4.64,80.15,39.06,1.348,1,96.41,7,-0.12,v1_2
2019-03-18,LEI,129.391,60.883,48,299738,64.34,100.91,798139,2310.12,82,0.04,82.11,43.36,1.408,0,98.55,8,5.13,v1_0
2019-03-19,ECI,109.617,48.156,-133,250139,35.85,73.26,1683914,2677.52,261,1.03,101.17,53.03,1.218,0,92.4,4,4.11,v1_1
2019-03-20,EQUITIES,108.594,49.499,279,491291,43.25,70.79,1676078,5299.03,172,1.83,88.29,49.92,1.309,0,96.33,2,4.26,v2_0
2019-03-21,CREDIT,102.823,38.64,97,228102,55.03,93.32,1142870,5338.4,181,0.92,83.93,43.17,1.517,0,95.65,11,-1.15,v1_1
2019-03-22,CREDIT,96.15,62.609,147,230977,57.62,99.57,805829,5197.79,390,1.62,96.43,35.26,1.489,0,92.79,11,4.63,v2_0
2019-03-23,EQUITIES,101.267,57.348,-71,178656,63.26,96.59,1465780,4434.92,410,-4.69,114.07,42.91,1.203,0,92.7,4,2.16,v2_0
2019-03-24,ECI,93.666,42.593,94,482424,44.95,87.12,807914,3265.21,218,4.72,76.29,58.71,1.359,1,94.58,11,5.06,v1_0
2019-03-25,LEI,102.692,42.146,123,540219,41.37,78.55,1030500,3378.06,62,3.37,76.36,49.12,1.331,0,94.96,6,0.82,v1_2
2019-03-26,LEI,110.321,61.417,-129,333113,59.71,102.49,1611819,2542.99,175,0.24,109.08,50.0,1.388,0,92.55,6,2.61,v1_2
2019-03-27,CLAIMS,114.448,61.174,46,158721,45.58,66.44,1352533,5700.04,258,0.84,76.22,42.77,1.587,0,97.65,8,0.57,v1_0
2019-03-28,PERMITS,128.791,60.37,14,302039,59.18,109.87,1426502,3188.72,321,-1.15,88.72,59.24,1.699,0,93.41,8,3.2,v2_0
2019-03-29,M2,101.824,37.026,102,516829,48.17,100.52,1149359,4613.83,391,1.89,88.44,64.67,1.539,0,96.43,11,1.58,v1_0
2019-03-30,YIELD_CURVE,99.508,61.145,175,367090,44.77,61.43,1488095,4296.92,106,1.03,80.79,44.89,1.367,0,95.71,12,2.71,v1_2
2019-03-31,YIELD_CURVE,115.421,53.558,172,336623,38.19,62.61,1209582,1805.31,159,6.35,85.3,56.46,1.572,0,93.82,4,1.3,v1_2
2019-04-01,CREDIT,111.028,39.396,-144,379181,41.68,93.48,1625496,4409.41,183,0.95,110.07,39.22,1.223,0,92.66,11,0.77,v1_1
2019-04-02,ECI,96.642,63.907,299,428604,55.63,74.16,1256768,4857.2,64,7.0,100.14,42.61,1.322,0,95.49,9,6.07,v1_2
2019-04-03,EQUITIES,105.889,41.611,230,363624,59.78,68.14,1651883,3534.66,402,3.54,111.59,44.53,1.475,0,96.27,7,1.45,v1_1
2019-04-04,ECI,107.047,52.511,187,417865,42.82,62.12,858774,5873.04,151,0.11,110.38,61.95,1.344,0,96.93,4,9.78,v1_0
2019-04-05,CLAIMS,100.016,60.482,-183,446721,64.29,99.56,1670644,5041.86,240,5.44,77.59,46.63,1.342,0,98.86,12,3.45,v1_0
2019-04-06,EQUITIES,128.276,48.461,284,174183,56.12,93.23,1697243,4239.65,407,-2.95,113.0,45.64,1.362,0,94.16,11,3.72,v1_2
2019-04-07,PMI_NEW_ORDERS,91.552,43.599,345,347996,48.98,69.78,954684,3610.19,134,5.47,107.16,56.22,1.614,1,98.24,8,4.98,v1_1
2019-04-08,ECI,86.404,63.21,-100,173771,49.23,77.28,1681095,5908.1,162,0.71,79.71,63.73,1.102,1,95.6,9,3.88,v2_1
2019-04-09,ECI,128.986,59.735,259,329270,55.78,71.03,1307194,3214.71,64,5.62,85.17,45.24,1.267,0,95.09,9,-0.63,v1_1
2019-04-10,CREDIT,111.077,59.683,34,464557,54.18,75.46,1889196,2550.0,111,5.3,91.67,35.08,1.273,0,97.96,3,0.38,v1_1
2019-04-11,PERMITS,104.836,46.76,-208,354684,48.48,91.25,1315627,5110.07,102,10.5,113.04,51.17,1.692,0,97.54,4,2.28,v1_1
2019-04-12,LEI,108.353,44.356,-29,150665,55.87,73.47,1368637,5075.61,269,3.87,78.1,55.84,1.675,0,93.26,8,4.36,v1_1
2019-04-13,CLAIMS,115.672,46.361,-206,527983,52.43,58.82,1084099,5020.89,369,6.07,106.82,37.06,1.617,0,98.73,12,0.12,v1_2
2019-04-14,CLAIMS,129.814,40.049,145,248594,37.45,72.02,1546509,3879.93,60,-2.43,105.57,58.12,1.123,0,94.85,6,1.98,v2_0
2019-04-15,CREDIT,124.938,46.759,-160,407466,50.42,85.16,775576,3530.29,57,3.77,111.36,58.05,1.561,0,95.42,4,-0.25,v2_1
2019-04-16,EQUITIES,102.6,39.119,261,417920,58.04,87.43,883269,4194.76,378,3.27,103.77,47.16,1.37,0,96.56,5,2.27,v2_0
2019-04-17,M2,107.573,58.625,-176,465481,61.94,60.14,1601708,3090.25,263,4.03,93.96,59.37,1.204,0,97.36,2,0.9,v2_0
2019-04-18,PMI_NEW_ORDERS,107.084,46.908,31,202129,40.83,105.41,1312736,2060.73,98,-0.35,109.18,62.74,1.404,0,93.14,1,2.58,v1_1
2019-04-19,PERMITS,88.906,58.486,266,436672,52.74,90.53,1649499,4656.99,308,5.91,101.35,40.1,1.361,1,98.07,1,4.35,v1_0
2019-04-20,EQUITIES,110.132,46.64,334,400658,40.44,69.76,1061596,5210.87,211,7.8,98.0,62.18,1.556,0,95.28,9,-0.5,v2_1
2019-04-21,CREDIT,127.823,50.433,114,197511,54.57,109.11,1420282,5986.15,128,2.99,103.99,60.43,1.497,0,94.77,9,-0.48,v1_0
2019-04-22,PERMITS,94.72,36.839,-243,199907,38.49,78.93,759389,4841.07,124,2.16,94.02,39.88,1.675,1,96.6,9,3.78,v1_0
2019-04-23,ECI,105.8,56.724,251,450429,42.62,97.26,1274799,5088.47,387,3.46,112.81,35.13,1.583,0,98.88,9,2.45,v2_1
2019-04-24,M2,127.578,55.579,-8,326670,37.77,63.29,1388147,4064.21,90,2.01,80.1,39.86,1.312,0,94.21,4,0.08,v1_0
2019-04-25,CREDIT,104.438,43.193,126,496470,41.5,63.33,1563509,2370.74,231,10.34,87.76,38.09,1.518,0,93.73,6,0.95,v2_1
2019-04-26,ECI,104.021,57.342,46,452601,43.18,100.41,1105643,5446.9,112,-0.55,92.93,55.02,1.233,0,95.27,3,0.89,v1_2
2019-04-27,LEI,107.386,37.371,-60,176426,45.48,71.65,848161,2530.7,99,7.45,102.9,52.14,1.405,0,95.43,3,3.56,v1_2
2019-04-28,CREDIT,102.882,51.029,190,307571,57.94,105.87,1182060,5529.42,323,-2.49,105.04,42.36,1.218,0,97.19,2,0.78,v2_1
2019-04-29,ECI,117.789,51.56,120,349092,59.67,65.53,1778075,4057.75,331,5.7,83.77,43.7,1.335,0,97.75,11,0.07,v1_2
2019-04-30,PERMITS,122.058,61.462,326,523872,47.55,62.72,1540551,1818.13,386,5.18,98.43,50.34,1.661,0,98.99,12,0.96,v1_2
2019-05-01,CREDIT,124.036,59.499,180,320988,39.07,55.36,1092406,4939.94,292,8.27,95.36,63.72,1.425,0,94.79,6,0.02,v2_0
2019-05-02,EQUITIES,106.384,36.105,279,475846,41.28,97.89,1829739,4317.75,152,2.08,75.22,41.85,1.393,0,94.94,6,5.08,v1_0
2019-05-03,CLAIMS,104.25,37.244,7,333408,44.28,76.82,1767782,4050.25,121,9.5,104.79,59.72,1.147,0,94.6,8,2.58,v2_0
2019-05-04,PMI_NEW_ORDERS,121.839,48.074,-122,178258,41.76,102.85,764028,5541.1,376,-0.23,100.94,61.31,1.369,0,95.83,10,2.31,v2_1
2019-05-05,EQUITIES,120.908,36.685,78,320203,56.58,100.28,1058276,5269.22,417,2.75,75.15,35.14,1.584,0,92.52,3,0.77,v1_2
2019-05-06,ECI,100.497,55.078,346,433772,63.49,97.85,1183966,2879.36,289,-2.17,105.72,37.12,1.311,0,97.06,12,4.33,v2_0
2019-05-07,CLAIMS,129.337,57.377,12,252081,57.06,97.53,1791932,4653.1,63,-1.86,90.6,42.53,1.325,0,96.26,3,-0.35,v2_0
2019-05-08,PMI_NEW_ORDERS,101.408,63.035,-27,206594,58.08,93.92,1729873,3071.82,282,9.28,111.62,35.5,1.478,0,94.52,1,5.44,v1_1
2019-05-09,CREDIT,99.468,40.165,208,517542,56.52,108.44,1656092,1911.36,98,5.83,113.75,51.19,1.22,0,97.47,10,-1.86,v2_0
2019-05-10,CREDIT,100.176,39.076,266,527558,39.86,57.11,1595224,3699.02,115,6.68,87.24,36.7,1.633,0,97.75,1,0.95,v2_0
2019-05-11,PMI_NEW_ORDERS,89.441,45.289,324,425385,38.4,105.25,1417141,4362.34,144,-1.39,83.22,51.89,1.187,1,95.46,4,0.73,v1_2
2019-05-12,ECI,107.308,50.924,168,514711,35.88,81.51,1433595,5150.4,297,-4.08,97.47,51.41,1.251,0,95.04,6,3.58,v2_1
2019-05-13,CREDIT,123.447,50.287,176,472856,50.64,106.43,1749534,4497.48,107,3.55,85.59,49.57,1.207,0,95.89,6,1.22,v2_0
2019-05-14,PMI_NEW_ORDERS,92.347,42.37,310,298353,36.8,109.37,1032247,4274.93,365,13.38,89.18,39.15,1.498,1,93.76,7,1.05,v1_1
2019-05-15,EQUITIES,120.081,40.308,270,294198,59.46,93.74,1479184,5416.26,209,-3.44,87.95,35.4,1.545,0,92.48,10,0.14,v1_0
2019-05-16,YIELD_CURVE,113.139,40.931,341,247008,60.8,69.57,1449080,5765.18,278,1.98,99.09,39.44,1.557,0,98.52,4,2.74,v1_2
2019-05-17,YIELD_CURVE,89.452,52.034,269,170023,51.16,64.48,1625719,3168.01,334,0.12,99.39,58.15,1.556,1,94.62,6,3.96,v1_0
2019-05-18,PMI_NEW_ORDERS,87.998,58.45,-29,388548,57.72,102.97,1368584,4501.28,397,8.92,101.43,54.97,1.368,1,93.31,10,5.92,v1_2
2019-05-19,ECI,128.764,37.64,-29,389148,44.65,68.47,1702560,4226.01,362,5.06,104.72,44.74,1.347,0,93.48,7,5.33,v1_0
2019-05-20,PERMITS,115.867,40.153,-17,175597,50.06,102.77,1096337,5659.87,279,7.12,79.97,43.26,1.122,0,93.51,11,2.56,v1_2
2019-05-21,YIELD_CURVE,125.533,50.674,95,427538,55.41,95.83,1531725,5423.74,278,3.62,97.32,62.6,1.442,0,94.29,5,-2.02,v2_1
2019-05-22,M2,89.804,64.318,119,380311,52.56,73.86,1435138,2988.37,221,4.76,85.41,42.28,1.429,1,93.0,11,3.41,v1_0
2019-05-23,YIELD_CURVE,127.234,43.755,327,292669,37.86,103.64,1207867,4510.8,301,10.74,77.78,63.35,1.646,0,93.1,3,1.03,v2_1
2019-05-24,M2,108.507,56.576,210,154404,63.92,56.6,1687427,2127.24,117,1.97,105.72,46.81,1.103,0,94.04,7,-0.42,v2_1
2019-05-25,PERMITS,117.231,48.513,-31,171559,54.53,80.41,712348,2852.41,366,8.09,76.65,37.2,1.192,0,92.66,11,0.76,v1_2
2019-05-26,EQUITIES,96.799,58.48,215,470321,44.78,92.98,1276136,2853.55,315,-1.86,96.97,41.43,1.366,0,95.79,9,4.41,v2_1
2019-05-27,M2,121.187,46.524,-190,290503,54.15,59.38,1038844,4610.97,174,4.61,88.95,41.82,1.649,0,94.13,11,1.75,v1_0
2019-05-28,YIELD_CURVE,122.752,52.487,-23,154419,49.62,57.29,1852999,2693.63,359,1.45,114.66,37.68,1.415,0,98.98,2,-2.1,v2_0
2019-05-29,PMI_NEW_ORDERS,114.147,57.456,319,473349,37.39,71.19,1727929,2354.05,95,9.75,78.84,64.05,1.153,0,93.68,9,4.73,v1_2
2019-05-30,EQUITIES,107.207,59.835,182,179894,63.07,106.52,1533248,1939.53,215,0.44,79.68,59.2,1.335,0,97.93,4,7.21,v2_0
2019-05-31,ECI,104.725,53.503,-188,371512,35.45,60.62,1627619,3047.3,330,-2.02,102.85,58.43,1.464,0,95.99,12,-0.89,v1_2
2019-06-01,PERMITS,89.259,36.86,231,277968,45.4,80.84,739434,4728.91,381,6.0,82.15,41.46,1.128,1,93.0,3,-2.49,v2_0
2019-06-02,EQUITIES,114.162,56.683,85,280376,45.79,106.49,1637448,5820.92,276,6.25,97.21,44.91,1.157,0,94.33,8,0.43,v2_0
2019-06-03,PMI_NEW_ORDERS,95.955,62.605,27,298758,53.23,104.32,837386,4934.15,267,0.24,88.57,56.19,1.288,0,97.43,4,-0.09,v1_1
2019-06-04,PMI_NEW_ORDERS,107.77,47.545,143,517874,63.5,80.77,1440917,3929.55,149,-0.39,84.56,41.66,1.398,0,93.13,5,0.55,v2_0
2019-06-05,CREDIT,121.801,46.892,48,265215,43.96,88.25,1088022,5611.95,60,4.07,97.23,46.93,1.582,0,97.16,2,-0.83,v1_1
2019-06-06,ECI,89.332,58.634,259,238384,40.37,67.11,1776847,5860.52,403,-2.7,107.96,54.34,1.558,1,97.39,4,1.66,v1_0
2019-06-07,YIELD_CURVE,107.692,56.64,271,450247,51.85,105.4,1248526,3753.09,235,-0.54,114.48,49.54,1.283,0,92.06,2,2.09,v1_2
2019-06-08,CLAIMS,111.498,45.874,211,151179,60.11,75.02,1590596,4109.64,150,7.91,93.47,43.09,1.238,0,94.84,4,1.92,v2_0
2019-06-09,M2,109.827,52.922,61,339037,42.25,73.87,1015380,2785.89,321,1.99,87.62,42.73,1.695,0,95.09,1,0.16,v2_0
2019-06-10,PMI_NEW_ORDERS,85.636,41.245,-96,170328,50.27,68.65,1294577,4764.49,352,8.15,99.95,62.21,1.697,1,98.14,3,4.54,v1_2
2019-06-11,LEI,120.526,59.284,139,393708,47.78,77.86,1242629,4844.95,147,2.59,97.63,39.78,1.536,0,97.23,9,1.56,v1_0
2019-06-12,PMI_NEW_ORDERS,87.707,41.809,-137,488847,38.33,95.46,805409,3128.27,67,6.15,92.2,63.88,1.54,1,94.95,2,8.12,v1_1
2019-06-13,ECI,102.248,47.551,-115,230978,59.75,96.84,1565317,4801.36,166,1.18,82.99,44.72,1.4,0,94.16,7,2.37,v2_1
2019-06-14,CREDIT,87.893,61.284,-27,223479,46.56,77.3,1487903,2174.52,349,1.87,93.66,37.23,1.303,1,97.34,6,4.88,v1_0
2019-06-15,CREDIT,116.316,63.943,-146,349942,40.48,57.57,989176,2629.8,280,4.34,103.23,64.61,1.143,0,92.82,1,3.24,v2_0
2019-06-16,PMI_NEW_ORDERS,122.597,40.198,-196,273389,52.71,82.5,1797137,3426.27,333,6.91,98.71,39.86,1.372,0,96.86,8,-0.63,v1_2
2019-06-17,CLAIMS,118.597,51.436,-33,379541,44.74,66.98,1595437,2097.63,133,3.39,110.71,37.66,1.114,0,92.65,11,-2.79,v1_0
