ph_vax_reference_year,ph_vax_country_iso2,ph_vax_region_nuts_code,ph_vax_vaccine_code,ph_vax_dose_number,ph_vax_target_age_group,ph_vax_coverage_pct,ph_vax_uptake_rate_pct,ph_vax_mandatory_policy_flag,ph_vax_certificate_policy_flag,ph_vax_supply_deliveries_doses,ph_vax_wastage_rate_pct,ph_vax_adverse_events_reports_count,ph_vax_seroprevalence_estimate_pct,ph_vax_misinformation_incident_index,ph_vax_campaign_spend_eur,ph_vax_joint_procurement_flag,ph_vax_data_source,ph_vax_methodology_version,ph_vax_data_extract_date
2013,IT,RO62,MENINGO,4,65_PLUS,62.38,54.86,0,1,1909094,0.38,15365,65.91,12.59,32707963.53,0,HEALTH_INSURANCE_ADMIN,VAX_V2,2025-01-14
2014,NL,EE963,HEP_B,1,25_64,47.65,54.99,0,0,4354429,0.3,12355,42.05,13.7,19625583.26,0,ECDC_VACCINE_TRACKER,VAX_V3,2025-10-08
2015,SI,BG931,VARICELLA,2,16_24,39.43,47.24,0,0,2798575,1.72,14819,27.21,74.22,98645430.97,0,NATIONAL_IMMUNISATION_REGISTRY,VAX_V1,2025-12-29
2016,BG,BG205,MMR,3,12_15,68.24,66.6,1,0,19923581,8.62,2205,98.46,17.73,47589739.78,0,HOUSEHOLD_SURVEY,VAX_V2,2026-01-28
2017,EE,BG3,DTP,4,6_11,69.19,71.12,1,0,13787103,7.44,2238,14.24,4.51,63003477.68,0,HEALTH_INSURANCE_ADMIN,VAX_V3,2026-01-09
2018,HU,MT23,POLIO,1,2_5,96.85,91.79,1,0,5420899,1.09,403,29.72,13.8,73802896.26,0,ECDC_VACCINE_TRACKER,VAX_V1,2024-08-29
2019,LU,IE69,HPV,2,0_1,40.21,44.0,1,0,5034,5.11,8255,37.71,24.45,94269044.1,0,NATIONAL_IMMUNISATION_REGISTRY,VAX_V2,2025-07-28
2020,RO,HR8,FLU_SEASONAL,3,65_PLUS,40.04,36.24,0,0,26412705,5.52,8569,37.24,53.7,240683125.42,1,HOUSEHOLD_SURVEY,VAX_V3,2024-11-07
2021,AT,ES966,COVID_19,4,25_64,37.33,37.37,0,0,16398922,9.82,48988,24.37,9.85,204650557.09,1,HEALTH_INSURANCE_ADMIN,VAX_V1,2024-06-03
2022,CZ,DE8,PNEUMOCOCCAL,1,16_24,23.15,31.07,0,0,4293827,5.61,3763,12.15,66.8,86829229.24,1,ECDC_VACCINE_TRACKER,VAX_V2,2024-08-18
2023,DE,FR29,MENINGO,2,12_15,28.47,32.26,0,0,4009890,6.69,3037,35.56,35.68,64859757.57,0,NATIONAL_IMMUNISATION_REGISTRY,VAX_V3,2025-11-09
2024,LV,AT569,HEP_B,3,6_11,70.58,62.79,1,0,16077726,8.34,760,99.9,65.63,107034084.6,0,HOUSEHOLD_SURVEY,VAX_V1,2024-10-03
2025,PL,SE650,VARICELLA,4,2_5,80.32,84.4,0,0,2622954,3.77,4606,63.79,73.47,101660808.73,0,HEALTH_INSURANCE_ADMIN,VAX_V2,2025-03-20
2006,ES,LT83,MMR,1,0_1,85.35,79.87,1,0,20242495,2.37,9689,28.49,70.37,25710150.87,0,ECDC_VACCINE_TRACKER,VAX_V3,2025-10-20
