tax_compliance_case_open_date,tax_compliance_case_type_code,tax_compliance_taxpayer_segment,tax_compliance_notice_type_code,tax_compliance_assessment_amount_usd,tax_compliance_collection_amount_usd,tax_compliance_payment_plan_flag,tax_compliance_lien_filed_flag,tax_compliance_levy_action_flag,tax_compliance_appeal_requested_flag,tax_compliance_appeal_decision_code,tax_compliance_time_to_resolution_days,tax_compliance_writeoff_amount_usd,tax_compliance_bankruptcy_related_flag,tax_compliance_fraud_referral_flag,tax_compliance_identity_theft_flag,tax_compliance_audit_method_code,tax_compliance_third_party_match_flag,tax_compliance_contact_attempts_count,tax_compliance_case_closure_reason
2018-01-11,PAYMENT_PLAN,INDIVIDUAL,NO_NOTICE,29417373.84,18444515.14,0,0,0,0,PENDING,426,9292918.58,0,0,0,CORRESPONDENCE,0,28,OPEN
2018-01-12,COLLECTION,INDIVIDUAL,NO_NOTICE,20685697.04,21443746.77,0,0,0,0,NONE,902,4439822.19,0,1,0,NONE,1,9,UNABLE_TO_COLLECT
2018-01-13,PAYMENT_PLAN,INDIVIDUAL,NO_NOTICE,8940791.24,3439465.73,0,0,1,1,PENDING,688,2578529.83,0,0,0,CORRESPONDENCE,1,38,TRANSFERRED
2018-01-14,COLLECTION,INDIVIDUAL,CP2000,1718667.96,542530.12,1,0,0,0,NONE,551,36058.59,0,0,0,CORRESPONDENCE,1,32,PAID_IN_FULL
2018-01-15,AUDIT,INDIVIDUAL,LTR4800,30989341.96,9266965.44,0,0,0,1,NONE,630,1790431.46,0,0,0,AUTOMATED,1,21,PAID_IN_FULL
2018-01-16,COLLECTION,INDIVIDUAL,NO_NOTICE,32569889.28,16745551.87,0,0,0,0,PENDING,690,3755556.93,0,0,0,NONE,1,3,TRANSFERRED
2018-01-17,AUDIT,SMALL_BIZ,NO_NOTICE,469289.65,228917.1,1,0,0,0,UPHELD,443,155524.74,1,0,0,CORRESPONDENCE,1,0,INSTALLMENT
2018-01-18,FRAUD,MID_MARKET,NO_NOTICE,7378862.26,3630362.89,0,0,0,0,DISMISSED,1002,143899.2,0,0,0,OFFICE,1,12,OPEN
2018-01-19,COLLECTION,INDIVIDUAL,NO_NOTICE,17809046.25,18155596.31,0,0,0,1,PARTIAL_RELIEF,828,2903176.23,1,0,0,NONE,0,30,INSTALLMENT
2018-01-20,PAYMENT_PLAN,INDIVIDUAL,NO_NOTICE,29680578.77,5642572.33,0,0,0,0,UPHELD,816,8437690.39,0,0,0,NONE,1,23,PAID_IN_FULL
2018-01-21,UNDERREPORTING,INDIVIDUAL,LTR4800,726763.18,637004.55,1,0,0,0,PENDING,55,82416.78,1,0,1,CORRESPONDENCE,1,25,PAID_IN_FULL
2018-01-22,IDENTITY_THEFT,LARGE_BIZ,CP2000,21533116.3,6950839.55,0,0,0,0,UPHELD,279,1205638.19,0,0,0,FIELD,0,26,PAID_IN_FULL
2018-01-23,COLLECTION,LARGE_BIZ,NO_NOTICE,7295652.34,1381629.58,0,1,0,0,DISMISSED,829,2188471.76,0,0,0,OFFICE,0,21,UNABLE_TO_COLLECT
2018-01-24,UNDERREPORTING,INDIVIDUAL,CP2000,10896544.5,1155134.38,1,0,0,0,NONE,1155,547427.3,0,0,0,FIELD,0,37,TRANSFERRED
2018-01-25,FRAUD,INDIVIDUAL,LTR001,9413523.66,9062171.4,0,0,0,0,NONE,749,1573972.73,0,0,0,CORRESPONDENCE,1,6,UNABLE_TO_COLLECT
2018-01-26,LIEN_RELEASE,SMALL_BIZ,LTR001,10352119.95,9606998.86,0,1,0,0,NONE,602,2590492.04,0,0,0,FIELD,0,30,DISMISSED
2018-01-27,LIEN_RELEASE,SMALL_BIZ,LTR001,24477249.09,23507464.09,1,0,0,0,PENDING,607,1243105.88,0,0,0,OFFICE,0,28,TRANSFERRED
2018-01-28,FRAUD,SMALL_BIZ,NO_NOTICE,19171995.58,7090965.17,0,0,0,1,NONE,1047,2287123.54,0,0,0,OFFICE,1,2,PAID_IN_FULL
2018-01-29,COLLECTION,LARGE_BIZ,NO_NOTICE,9665185.41,9210912.88,0,1,0,0,NONE,301,1546577.09,0,0,1,OFFICE,0,26,PAID_IN_FULL
2018-01-30,COLLECTION,GOV_ENTITY,NO_NOTICE,17714482.03,387330.51,0,0,0,0,DISMISSED,194,3397456.67,0,0,0,CORRESPONDENCE,1,31,INSTALLMENT
2018-01-31,UNDERREPORTING,SMALL_BIZ,CP2000,25255930.47,14880091.53,0,0,0,1,NONE,489,1711869.43,0,0,0,FIELD,0,19,COMPROMISE
2018-02-01,UNDERREPORTING,INDIVIDUAL,LTR4800,34531533.16,6591175.48,0,0,0,0,PENDING,704,2894878.59,0,0,0,FIELD,0,7,OPEN
2018-02-02,COLLECTION,SMALL_BIZ,LTR3172,19780100.2,17118749.31,1,0,0,1,NONE,794,6536697.69,0,0,0,NONE,1,2,UNABLE_TO_COLLECT
2018-02-03,PAYMENT_PLAN,INDIVIDUAL,CP2000,20191444.75,9216383.68,1,0,0,0,DISMISSED,265,3640647.22,0,1,0,FIELD,0,21,COMPROMISE
2018-02-04,PAYMENT_PLAN,INDIVIDUAL,NO_NOTICE,27158810.92,22236056.28,0,0,0,0,NONE,306,3113151.66,0,0,0,CORRESPONDENCE,1,32,INSTALLMENT
2018-02-05,PAYMENT_PLAN,INDIVIDUAL,LTR4800,12112965.96,12390001.39,0,0,0,1,UPHELD,199,1873768.55,0,0,0,AUTOMATED,0,0,PAID_IN_FULL
2018-02-06,UNDERREPORTING,INDIVIDUAL,LTR1058,32129350.87,13250184.24,0,0,0,0,NONE,158,10288994.45,0,0,0,CORRESPONDENCE,1,32,DISMISSED
2018-02-07,IDENTITY_THEFT,INDIVIDUAL,OTHER,13299214.36,7301713.09,0,0,0,0,PENDING,256,4087279.26,0,0,0,CORRESPONDENCE,0,6,PAID_IN_FULL
2018-02-08,UNDERREPORTING,SMALL_BIZ,NO_NOTICE,20678778.51,13715331.49,0,1,1,0,FULL_RELIEF,986,562943.06,1,0,0,CORRESPONDENCE,0,12,INSTALLMENT
2018-02-09,COLLECTION,MID_MARKET,NO_NOTICE,32012329.03,25551182.81,1,0,0,0,PARTIAL_RELIEF,545,10440582.64,0,0,0,CORRESPONDENCE,0,2,DISMISSED
2018-02-10,PAYMENT_PLAN,INDIVIDUAL,LTR001,13614365.95,8994618.63,1,0,0,0,NONE,856,3327269.83,0,0,0,NONE,0,31,PAID_IN_FULL
2018-02-11,UNDERREPORTING,INDIVIDUAL,OTHER,34897643.95,35263382.69,1,0,0,0,PARTIAL_RELIEF,570,6530527.43,0,0,0,CORRESPONDENCE,0,40,TRANSFERRED
2018-02-12,COLLECTION,SMALL_BIZ,LTR4800,30972457.6,131022.19,1,0,0,0,NONE,350,1399039.33,0,0,0,AUTOMATED,0,32,DISMISSED
2018-02-13,PAYMENT_PLAN,INDIVIDUAL,NO_NOTICE,24412704.16,3782086.34,1,0,0,0,NONE,457,3228366.01,0,0,0,FIELD,1,24,PAID_IN_FULL
2018-02-14,FRAUD,LARGE_BIZ,NO_NOTICE,8155596.1,1681076.39,1,0,0,0,NONE,297,174747.76,0,0,0,OFFICE,1,17,TRANSFERRED
2018-02-15,COLLECTION,INDIVIDUAL,LTR1058,29097574.28,15220409.12,0,0,0,0,FULL_RELIEF,1073,3727776.35,0,0,0,AUTOMATED,1,2,INSTALLMENT
2018-02-16,LIEN_RELEASE,SMALL_BIZ,LTR4800,16688980.3,674564.01,0,0,0,0,PENDING,257,3234909.7,0,1,0,OFFICE,1,40,PAID_IN_FULL
2018-02-17,COLLECTION,INDIVIDUAL,CP2000,5709059.47,3362827.12,0,0,0,0,UPHELD,532,428850.44,0,0,0,CORRESPONDENCE,1,25,DISMISSED
2018-02-18,COLLECTION,SMALL_BIZ,NO_NOTICE,10323985.22,1751431.38,0,0,0,0,PENDING,1076,150780.85,0,0,0,CORRESPONDENCE,1,6,DISMISSED
2018-02-19,PAYMENT_PLAN,MID_MARKET,CP2000,9013026.79,7290182.13,1,1,0,0,FULL_RELIEF,1046,2302470.32,0,0,0,CORRESPONDENCE,1,16,PAID_IN_FULL
2018-02-20,PAYMENT_PLAN,SMALL_BIZ,NO_NOTICE,7020902.26,6406817.77,0,0,0,0,NONE,101,1868026.7,0,0,0,AUTOMATED,1,33,DISMISSED
2018-02-21,IDENTITY_THEFT,INDIVIDUAL,LTR001,26596858.79,10134301.98,0,0,0,0,UPHELD,897,887141.07,0,0,0,AUTOMATED,1,20,PAID_IN_FULL
2018-02-22,AUDIT,INDIVIDUAL,LTR4800,18576394.82,911503.21,1,0,0,0,PARTIAL_RELIEF,418,1926727.6,0,0,0,CORRESPONDENCE,0,26,INSTALLMENT
2018-02-23,AUDIT,INDIVIDUAL,LTR001,13115470.26,9209722.22,0,0,0,0,NONE,517,18404.91,0,0,0,AUTOMATED,1,32,COMPROMISE
2018-02-24,COLLECTION,SMALL_BIZ,NO_NOTICE,7368338.39,2807921.65,0,0,0,0,NONE,628,902265.16,0,0,0,CORRESPONDENCE,1,18,OPEN
2018-02-25,COLLECTION,LARGE_BIZ,NO_NOTICE,12751613.8,9338258.07,0,0,0,0,PARTIAL_RELIEF,1167,3913738.74,0,0,0,CORRESPONDENCE,0,8,DISMISSED
2018-02-26,COLLECTION,INDIVIDUAL,LTR1058,516385.14,70682.13,1,0,0,0,NONE,666,150460.1,0,0,0,CORRESPONDENCE,0,15,INSTALLMENT
2018-02-27,COLLECTION,SMALL_BIZ,LTR4800,29927922.22,3092868.75,0,0,0,1,NONE,1092,334485.73,0,0,0,AUTOMATED,0,10,UNABLE_TO_COLLECT
2018-02-28,FRAUD,MID_MARKET,NO_NOTICE,14520859.58,10522166.54,0,0,0,1,UPHELD,723,3701187.76,0,0,0,AUTOMATED,1,20,OPEN
2018-03-01,AUDIT,SMALL_BIZ,LTR4800,6042239.45,1780251.69,0,0,0,0,FULL_RELIEF,904,1828795.53,0,0,1,CORRESPONDENCE,0,3,DISMISSED
2018-03-02,COLLECTION,SMALL_BIZ,NO_NOTICE,684720.63,149412.22,0,0,0,0,PENDING,1013,114391.3,0,0,0,OFFICE,0,5,OPEN
2018-03-03,UNDERREPORTING,LARGE_BIZ,LTR001,7860595.86,4425047.61,1,0,0,0,UPHELD,1017,162575.34,0,0,0,FIELD,0,24,UNABLE_TO_COLLECT
2018-03-04,PAYMENT_PLAN,SMALL_BIZ,LTR001,17171613.67,9782004.32,1,0,0,0,UPHELD,672,5916747.17,0,0,0,OFFICE,1,2,INSTALLMENT
2018-03-05,COLLECTION,INDIVIDUAL,NO_NOTICE,7042733.88,2314352.35,1,0,0,0,UPHELD,447,1919171.4,0,0,0,OFFICE,1,39,UNABLE_TO_COLLECT
2018-03-06,LIEN_RELEASE,MID_MARKET,CP2000,30362598.03,5293395.48,0,0,0,0,NONE,1059,4747207.87,0,0,0,OFFICE,0,3,TRANSFERRED
2018-03-07,UNDERREPORTING,MID_MARKET,OTHER,10051244.95,9135612.2,0,0,0,0,PENDING,91,1018971.6,0,0,0,CORRESPONDENCE,1,22,TRANSFERRED
2018-03-08,AUDIT,MID_MARKET,LTR1058,16816163.43,1520529.26,0,1,0,1,NONE,809,529964.69,0,0,0,CORRESPONDENCE,0,21,PAID_IN_FULL
2018-03-09,COLLECTION,INDIVIDUAL,NO_NOTICE,1364600.13,1275983.96,1,0,0,1,UPHELD,171,7242.67,1,0,0,NONE,1,16,INSTALLMENT
2018-03-10,PAYMENT_PLAN,INDIVIDUAL,NO_NOTICE,32040261.25,16986918.61,1,0,0,0,PENDING,134,3195886.36,0,0,0,CORRESPONDENCE,0,16,PAID_IN_FULL
2018-03-11,PAYMENT_PLAN,LARGE_BIZ,LTR001,11616057.85,2593682.79,0,0,1,0,UPHELD,71,348534.85,0,0,0,CORRESPONDENCE,0,38,INSTALLMENT
2018-03-12,UNDERREPORTING,INDIVIDUAL,CP2000,33726531.52,27910074.41,0,0,0,0,UPHELD,557,7069503.33,0,0,0,CORRESPONDENCE,1,6,OPEN
2018-03-13,COLLECTION,SMALL_BIZ,OTHER,22468656.24,3459603.23,0,0,0,0,PENDING,732,1793119.37,0,0,0,OFFICE,0,25,UNABLE_TO_COLLECT
2018-03-14,COLLECTION,SMALL_BIZ,CP2000,22017236.35,15916343.17,0,0,0,0,PENDING,62,2027907.04,0,0,0,NONE,1,25,PAID_IN_FULL
2018-03-15,AUDIT,INDIVIDUAL,LTR1058,28234227.58,8052022.1,1,0,0,0,DISMISSED,327,9703677.41,0,0,0,AUTOMATED,1,31,OPEN
2018-03-16,IDENTITY_THEFT,MID_MARKET,CP2000,24809961.04,23957572.77,0,0,0,0,UPHELD,634,1696006.03,0,0,0,CORRESPONDENCE,0,8,DISMISSED
2018-03-17,FRAUD,INDIVIDUAL,LTR3172,21858410.7,22619323.95,1,0,0,1,NONE,28,3042162.08,0,0,0,OFFICE,1,38,OPEN
2018-03-18,UNDERREPORTING,INDIVIDUAL,LTR1058,32267290.22,8787614.7,0,0,0,1,NONE,347,2274122.61,0,0,1,CORRESPONDENCE,1,25,PAID_IN_FULL
2018-03-19,AUDIT,INDIVIDUAL,CP2000,17617979.03,18352509.5,1,0,0,0,NONE,160,4004625.05,0,0,0,NONE,1,35,DISMISSED
2018-03-20,COLLECTION,SMALL_BIZ,CP2000,24563038.48,18213903.05,0,0,0,0,PARTIAL_RELIEF,1050,2851882.44,0,0,0,OFFICE,0,3,PAID_IN_FULL
2018-03-21,IDENTITY_THEFT,SMALL_BIZ,LTR1058,897224.86,250379.01,1,0,0,1,NONE,422,121009.18,0,0,0,NONE,1,1,OPEN
2018-03-22,LIEN_RELEASE,MID_MARKET,LTR001,15039313.33,15282212.96,1,0,0,0,UPHELD,309,2043178.62,0,0,0,CORRESPONDENCE,0,30,PAID_IN_FULL
2018-03-23,COLLECTION,INDIVIDUAL,NO_NOTICE,16755579.54,16020155.5,1,1,0,0,UPHELD,566,2750634.95,0,0,0,OFFICE,1,32,PAID_IN_FULL
2018-03-24,AUDIT,SMALL_BIZ,NO_NOTICE,16656660.31,4316432.58,0,0,0,0,UPHELD,1076,1088842.47,0,0,0,FIELD,0,1,TRANSFERRED
2018-03-25,AUDIT,MID_MARKET,CP2000,1849430.33,551558.63,0,0,0,0,NONE,306,282650.42,0,0,0,CORRESPONDENCE,1,17,TRANSFERRED
2018-03-26,AUDIT,INDIVIDUAL,OTHER,17403793.61,16895387.11,0,0,0,0,PARTIAL_RELIEF,599,5215633.82,0,0,0,AUTOMATED,1,8,PAID_IN_FULL
2018-03-27,IDENTITY_THEFT,INDIVIDUAL,NO_NOTICE,19563840.55,17955900.99,0,0,0,1,UPHELD,183,3908460.75,0,0,0,FIELD,0,12,INSTALLMENT
2018-03-28,UNDERREPORTING,INDIVIDUAL,NO_NOTICE,25910331.06,12566710.88,1,0,0,0,PENDING,833,5461993.47,0,0,0,CORRESPONDENCE,1,21,PAID_IN_FULL
2018-03-29,FRAUD,GOV_ENTITY,NO_NOTICE,19442452.31,20234251.47,0,0,0,0,NONE,729,3191989.44,0,0,0,CORRESPONDENCE,0,26,PAID_IN_FULL
2018-03-30,AUDIT,SMALL_BIZ,CP2000,26980995.08,954536.97,0,0,0,0,NONE,1156,4632483.36,0,0,0,CORRESPONDENCE,0,16,OPEN
2018-03-31,AUDIT,NONPROFIT,LTR3172,1416848.35,49918.3,0,0,0,1,NONE,1020,213049.09,0,0,1,OFFICE,0,27,OPEN
2018-04-01,COLLECTION,INDIVIDUAL,NO_NOTICE,4437147.85,2262401.01,0,0,0,0,UPHELD,723,707700.39,0,0,0,CORRESPONDENCE,0,23,OPEN
2018-04-02,COLLECTION,INDIVIDUAL,CP2000,19402818.91,20093533.15,0,0,0,1,FULL_RELIEF,626,5288289.23,0,0,0,CORRESPONDENCE,0,13,OPEN
2018-04-03,UNDERREPORTING,INDIVIDUAL,CP2000,19745027.31,15209275.43,0,0,0,0,FULL_RELIEF,1115,2761348.26,0,0,0,NONE,0,0,OPEN
2018-04-04,IDENTITY_THEFT,INDIVIDUAL,CP2000,619424.34,609966.57,0,0,0,0,NONE,174,114911.26,0,0,0,FIELD,1,26,PAID_IN_FULL
2018-04-05,AUDIT,INDIVIDUAL,NO_NOTICE,30004664.43,28403410.51,0,0,0,0,UPHELD,15,286373.77,0,0,0,CORRESPONDENCE,1,24,PAID_IN_FULL
2018-04-06,LIEN_RELEASE,SMALL_BIZ,LTR1058,3334665.48,2593869.64,0,0,0,0,NONE,272,1099312.28,1,0,0,NONE,1,8,OPEN
2018-04-07,LIEN_RELEASE,MID_MARKET,CP2000,34955316.52,3443970.19,0,0,0,0,UPHELD,482,10566504.08,0,0,0,FIELD,1,17,UNABLE_TO_COLLECT
2018-04-08,COLLECTION,MID_MARKET,LTR1058,34716674.3,33147510.34,0,0,0,1,UPHELD,1050,6946676.25,0,0,0,NONE,0,22,UNABLE_TO_COLLECT
2018-04-09,AUDIT,INDIVIDUAL,LTR1058,29025307.0,11833335.48,0,0,0,1,NONE,993,654399.23,0,0,0,AUTOMATED,0,26,UNABLE_TO_COLLECT
2018-04-10,UNDERREPORTING,INDIVIDUAL,LTR3172,27529143.29,28223875.97,0,0,0,1,NONE,613,6856235.87,0,0,0,AUTOMATED,1,34,DISMISSED
2018-04-11,COLLECTION,MID_MARKET,LTR1058,239140.57,126267.72,0,0,0,0,NONE,888,44713.38,0,0,0,OFFICE,0,21,INSTALLMENT
2018-04-12,IDENTITY_THEFT,MID_MARKET,LTR3172,4147110.87,2356028.57,0,0,0,0,NONE,896,430979.52,0,0,0,NONE,0,25,UNABLE_TO_COLLECT
2018-04-13,IDENTITY_THEFT,LARGE_BIZ,OTHER,16024940.95,7798338.59,0,0,0,1,NONE,277,2630375.64,0,1,0,CORRESPONDENCE,1,7,UNABLE_TO_COLLECT
2018-04-14,PAYMENT_PLAN,MID_MARKET,CP2000,27673726.66,10706029.53,1,0,0,0,UPHELD,1051,9236845.97,0,0,0,CORRESPONDENCE,0,5,PAID_IN_FULL
2018-04-15,COLLECTION,SMALL_BIZ,LTR001,9475009.82,9326461.74,0,0,0,1,PENDING,252,1180369.84,0,0,0,AUTOMATED,1,26,UNABLE_TO_COLLECT
2018-04-16,AUDIT,INDIVIDUAL,LTR001,16777464.03,13733436.27,0,0,0,0,UPHELD,971,164207.66,0,0,0,CORRESPONDENCE,0,24,PAID_IN_FULL
2018-04-17,AUDIT,SMALL_BIZ,NO_NOTICE,26243068.49,17786935.85,0,0,0,0,UPHELD,1051,6566127.12,0,0,0,OFFICE,0,35,PAID_IN_FULL
2018-04-18,AUDIT,SMALL_BIZ,LTR3172,23772347.83,19565253.37,0,0,0,0,NONE,1121,7893431.96,0,0,0,NONE,1,31,OPEN
2018-04-19,UNDERREPORTING,LARGE_BIZ,NO_NOTICE,11098503.62,10373054.03,1,0,0,0,UPHELD,569,3216081.38,0,1,0,NONE,0,8,OPEN
2018-04-20,COLLECTION,INDIVIDUAL,CP2000,21594205.3,666087.69,0,0,0,0,PENDING,138,5630444.37,0,0,0,CORRESPONDENCE,0,26,DISMISSED
2018-04-21,AUDIT,INDIVIDUAL,CP2000,3804815.58,1021564.69,0,0,0,0,PENDING,550,5016.32,0,0,0,NONE,0,10,UNABLE_TO_COLLECT
2018-04-22,AUDIT,INDIVIDUAL,CP2000,15552520.76,5239699.05,1,0,0,0,UPHELD,936,5089266.76,0,0,0,CORRESPONDENCE,0,12,OPEN
2018-04-23,PAYMENT_PLAN,INDIVIDUAL,CP2000,22347996.71,13730180.32,0,0,0,0,UPHELD,265,1445076.7,0,0,0,FIELD,0,30,OPEN
2018-04-24,PAYMENT_PLAN,SMALL_BIZ,CP2000,5057068.13,3863278.52,0,0,0,0,NONE,300,757760.98,0,0,1,CORRESPONDENCE,0,15,OPEN
2018-04-25,PAYMENT_PLAN,INDIVIDUAL,LTR001,2881725.66,1011762.78,1,1,0,0,PARTIAL_RELIEF,56,514056.83,0,0,0,CORRESPONDENCE,1,5,OPEN
2018-04-26,COLLECTION,INDIVIDUAL,OTHER,10347680.3,1129408.89,0,0,0,0,NONE,25,2510407.69,0,0,0,NONE,0,9,PAID_IN_FULL
2018-04-27,UNDERREPORTING,INDIVIDUAL,CP2000,24031193.96,16929616.78,1,0,0,0,NONE,594,2184201.89,1,0,0,OFFICE,1,7,DISMISSED
2018-04-28,FRAUD,INDIVIDUAL,OTHER,16534606.21,9027278.19,0,0,0,0,FULL_RELIEF,323,25383.28,0,1,0,FIELD,1,39,OPEN
2018-04-29,AUDIT,INDIVIDUAL,LTR3172,27155244.95,11590389.61,0,0,1,0,NONE,744,8166361.86,0,0,0,CORRESPONDENCE,1,32,PAID_IN_FULL
2018-04-30,IDENTITY_THEFT,MID_MARKET,CP2000,26728889.99,11611732.83,0,0,0,0,PENDING,743,6864097.86,0,1,1,CORRESPONDENCE,1,8,OPEN
2018-05-01,AUDIT,SMALL_BIZ,CP2000,14224454.3,3837899.05,1,0,0,0,PARTIAL_RELIEF,319,1882342.36,0,0,0,FIELD,1,0,PAID_IN_FULL
2018-05-02,UNDERREPORTING,INDIVIDUAL,NO_NOTICE,26886314.59,24301191.96,1,0,0,0,NONE,1027,2889876.07,1,0,0,CORRESPONDENCE,1,6,PAID_IN_FULL
2018-05-03,COLLECTION,INDIVIDUAL,LTR4800,28982685.2,15089809.08,1,0,0,0,UPHELD,8,190385.89,0,0,0,OFFICE,0,36,INSTALLMENT
2018-05-04,IDENTITY_THEFT,MID_MARKET,OTHER,26422293.44,18438256.11,1,0,0,0,NONE,1132,2936178.76,0,0,0,CORRESPONDENCE,0,31,INSTALLMENT
2018-05-05,FRAUD,SMALL_BIZ,LTR4800,18583585.64,1379262.84,1,0,0,0,NONE,1132,5833166.48,0,0,0,AUTOMATED,1,38,OPEN
2018-05-06,COLLECTION,LARGE_BIZ,LTR1058,17607903.57,405145.54,0,0,1,0,NONE,110,6090928.91,0,0,0,CORRESPONDENCE,0,0,UNABLE_TO_COLLECT
2018-05-07,COLLECTION,MID_MARKET,NO_NOTICE,267759.56,112517.08,1,0,0,0,NONE,237,85103.33,0,0,0,FIELD,0,3,OPEN
2018-05-08,COLLECTION,INDIVIDUAL,CP2000,29562834.03,11482776.79,0,0,0,0,FULL_RELIEF,698,6711459.55,0,0,0,AUTOMATED,1,39,INSTALLMENT
2018-05-09,PAYMENT_PLAN,SMALL_BIZ,OTHER,34187096.48,16494061.29,1,0,0,0,NONE,883,9519924.02,0,0,1,OFFICE,0,8,PAID_IN_FULL
2018-05-10,AUDIT,INDIVIDUAL,CP2000,28728961.44,3302120.85,0,0,0,1,PENDING,40,1717270.64,0,0,0,CORRESPONDENCE,0,20,OPEN
2018-05-11,AUDIT,SMALL_BIZ,LTR001,28030774.69,1171731.1,1,0,0,0,DISMISSED,470,7469759.18,0,0,0,CORRESPONDENCE,0,26,UNABLE_TO_COLLECT
2018-05-12,PAYMENT_PLAN,GOV_ENTITY,NO_NOTICE,29790109.41,10794608.09,1,1,0,0,UPHELD,229,6116431.51,0,0,0,AUTOMATED,0,0,OPEN
2018-05-13,PAYMENT_PLAN,SMALL_BIZ,CP2000,31867318.37,5622642.15,1,1,0,1,NONE,270,9635455.57,0,0,0,OFFICE,0,15,COMPROMISE
2018-05-14,COLLECTION,SMALL_BIZ,LTR4800,28479821.63,6967307.71,0,0,0,0,NONE,123,9741269.0,0,0,0,OFFICE,0,1,COMPROMISE
2018-05-15,PAYMENT_PLAN,INDIVIDUAL,NO_NOTICE,30291423.87,3618913.27,0,0,0,0,NONE,747,1880676.43,0,0,0,AUTOMATED,0,31,OPEN
2018-05-16,AUDIT,INDIVIDUAL,NO_NOTICE,18590221.5,6181754.18,0,0,0,0,FULL_RELIEF,1199,4494895.51,0,0,0,CORRESPONDENCE,1,4,PAID_IN_FULL
2018-05-17,AUDIT,SMALL_BIZ,CP2000,31140682.2,15163527.79,1,0,0,1,NONE,1006,9759399.97,0,0,0,AUTOMATED,0,8,COMPROMISE
2018-05-18,IDENTITY_THEFT,MID_MARKET,NO_NOTICE,32917324.91,8180166.72,1,0,0,0,DISMISSED,637,1266111.22,0,0,0,CORRESPONDENCE,0,26,OPEN
2018-05-19,IDENTITY_THEFT,LARGE_BIZ,CP2000,11308096.97,8927110.39,1,1,0,0,UPHELD,303,1811566.69,0,0,0,NONE,1,4,OPEN
2018-05-20,UNDERREPORTING,INDIVIDUAL,NO_NOTICE,4338410.0,1468804.21,0,0,0,0,NONE,974,901576.07,1,0,1,AUTOMATED,1,21,OPEN
2018-05-21,AUDIT,INDIVIDUAL,OTHER,25721720.59,17131177.16,0,0,0,1,UPHELD,597,7199020.36,0,0,0,CORRESPONDENCE,0,16,OPEN
2018-05-22,COLLECTION,LARGE_BIZ,LTR4800,4266334.84,1583859.53,0,0,0,0,NONE,516,1243298.43,0,0,0,CORRESPONDENCE,0,5,UNABLE_TO_COLLECT
2018-05-23,AUDIT,SMALL_BIZ,NO_NOTICE,4280083.32,780629.99,1,0,0,0,NONE,553,849290.45,0,0,0,OFFICE,1,16,DISMISSED
2018-05-24,FRAUD,INDIVIDUAL,LTR3172,9220500.47,6994816.48,1,0,0,0,NONE,843,2997438.74,0,0,0,NONE,0,8,OPEN
