care_coverage_coverage_year,care_coverage_marketplace_rating_area,care_coverage_plan_metal_level,care_coverage_premium_second_lowest_silver,care_coverage_premium_benchmark_adjusted,care_coverage_deductible_individual,care_coverage_oop_max_individual,care_coverage_network_tier_type,care_coverage_covered_lives_count,care_coverage_uninsured_rate_estimate,care_coverage_medicaid_enrollment,care_coverage_chip_enrollment,care_coverage_medicare_enrollment,care_coverage_employer_covered_share_pct,care_coverage_self_insured_share_pct,care_coverage_subsidy_eligible_share_pct,care_coverage_csr_variant_code,care_coverage_plan_switch_rate_pct,care_coverage_special_enrollment_count,care_coverage_rate_review_status
2023,RA000021,BRONZE,457.77,461.24,3748,6271,NARROW,242055,18.0,954359,84591,1100482,21.71,57.75,55.84,CSR73,31.52,66452,APPROVED
2022,RA000022,SILVER,433.32,457.53,2703,9021,PPO,100764,15.78,757461,85692,360259,60.95,51.72,30.41,NONE,36.78,34895,NOT_REQUIRED
2021,RA000023,PLATINUM,951.13,961.44,3011,6888,TIERED,64891,19.47,542317,89132,1097428,23.21,43.83,63.35,CSR87,8.33,25860,APPROVED
2016,RA000024,SILVER,653.65,662.28,7135,8936,TIERED,34756,16.32,831650,54888,213295,26.97,64.96,12.23,CSR73,17.9,8973,APPROVED
2016,RA000025,BRONZE,533.21,481.08,7422,7128,PPO,116038,11.31,342060,236426,684655,20.71,12.03,15.7,NONE,38.15,6279,DENIED
2019,RA000026,GOLD,711.1,666.32,3077,6166,HMO,104484,11.19,921529,136199,1014085,73.82,52.94,62.58,NONE,15.49,46286,APPROVED
2020,RA000027,PLATINUM,349.39,367.64,6929,8339,TIERED,145836,22.15,162370,236008,345615,47.83,35.37,25.25,NONE,8.72,63094,APPROVED
2015,RA000028,PLATINUM,301.8,292.7,3941,4934,BROAD,150882,14.93,278371,93206,632772,65.99,16.82,73.9,NONE,9.52,23663,PENDING
2024,RA000029,BRONZE,371.91,328.75,7261,1808,NARROW,7809,7.25,674570,215439,252422,58.6,44.83,16.68,NONE,16.89,12773,APPROVED
2023,RA000030,GOLD,790.61,681.58,4708,5988,NARROW,117951,9.75,448932,177572,1411006,37.23,7.95,39.54,NONE,0.93,27499,APPROVED
2017,RA000031,BRONZE,320.7,294.02,8736,5109,HMO,252181,15.39,33546,113125,748289,58.72,31.89,23.91,NONE,35.49,7772,APPROVED
2017,RA000032,SILVER,547.63,473.31,6015,7141,HMO,279679,3.08,845728,181275,1002296,46.89,9.26,82.56,NONE,2.07,33282,APPROVED
2015,RA000033,GOLD,625.8,648.12,202,8240,BROAD,113118,23.84,1152469,201302,130922,43.52,42.16,60.73,NONE,29.48,81041,MODIFIED
2023,RA000034,BRONZE,223.68,203.11,2606,3391,HMO,15886,3.92,1022231,199949,1168677,25.57,30.17,72.09,CSR94,28.1,65206,APPROVED
2025,RA000035,GOLD,422.07,370.44,42,4133,PPO,245196,10.09,1147275,124506,446937,43.88,49.77,40.23,CSR94,34.43,9407,APPROVED
2016,RA000036,GOLD,414.93,370.23,3248,4288,EPO,30828,16.11,865100,176362,1258869,22.27,30.07,7.16,NONE,12.88,29455,MODIFIED
2017,RA000037,BRONZE,518.31,490.36,4933,3587,BROAD,244841,14.82,879716,21883,1024403,71.08,47.51,78.7,CSR87,37.6,9245,MODIFIED
2020,RA000038,GOLD,613.37,587.7,3773,7123,HMO,62423,9.52,663725,86593,993436,48.17,26.79,12.31,NONE,3.65,33874,APPROVED
2018,RA000039,PLATINUM,772.45,713.76,5708,5875,BROAD,168218,20.02,761341,90868,1126631,73.21,53.94,68.76,NONE,30.6,50679,APPROVED
2015,RA000040,SILVER,684.05,601.26,3341,5903,TIERED,148647,9.06,394768,221418,1085590,69.5,11.21,31.71,CSR73,18.31,44324,APPROVED
2014,RA000041,SILVER,889.96,879.16,5491,4632,EPO,247311,12.99,89211,225787,758491,61.5,54.5,51.68,NONE,9.12,55057,APPROVED
2016,RA000042,SILVER,822.07,783.15,1670,3891,NARROW,2340,12.35,1028547,121886,594408,61.34,18.55,35.02,CSR73,39.63,31933,APPROVED
2024,RA000043,PLATINUM,507.71,520.22,6378,5826,BROAD,184064,2.11,418610,111084,974715,49.39,25.32,36.68,CSR94,18.98,44036,PENDING
2015,RA000044,BRONZE,640.97,594.99,8049,2161,EPO,55114,3.8,1080322,202637,1260264,66.41,54.1,37.49,NONE,34.14,44760,MODIFIED
2020,RA000045,GOLD,235.48,253.56,1810,4472,HMO,97768,4.12,34721,160460,391746,20.64,56.44,62.08,NONE,11.15,46375,PENDING
2024,RA000046,GOLD,368.63,339.65,8033,3480,PPO,247492,9.4,1075968,12141,484448,43.55,33.87,84.35,CSR87,32.59,37785,PENDING
2017,RA000047,BRONZE,286.1,289.53,475,2487,HMO,238837,1.92,338214,231675,34389,33.15,14.98,13.45,NONE,18.91,38169,PENDING
2023,RA000048,BRONZE,444.51,463.04,3762,8192,BROAD,276355,12.46,727196,38454,183931,46.7,57.79,6.63,NONE,19.38,57375,MODIFIED
2023,RA000049,GOLD,623.87,665.05,1524,2295,EPO,33091,19.28,179713,61941,764758,72.87,31.56,73.93,NONE,1.7,4358,APPROVED
2014,RA000050,SILVER,757.16,656.3,2370,7169,BROAD,80876,3.34,764146,163885,1498775,32.77,25.95,5.74,NONE,30.43,16147,APPROVED
2019,RA000051,SILVER,394.76,389.7,8419,2029,NARROW,217561,21.12,725327,146237,1572544,58.1,15.7,73.76,CSR87,39.0,50328,PENDING
2014,RA000052,BRONZE,374.23,353.88,4787,8271,BROAD,255379,12.14,109302,221669,167054,20.24,24.4,42.59,NONE,8.89,45165,PENDING
2024,RA000053,BRONZE,965.01,890.3,2407,2197,HMO,225730,22.42,1147619,34066,1610837,49.63,31.73,79.82,NONE,18.77,20129,PENDING
2022,RA000054,SILVER,782.62,838.9,4968,4425,TIERED,265129,5.09,399804,188300,370124,27.85,10.52,14.84,NONE,34.78,78619,APPROVED
2025,RA000055,SILVER,330.71,284.84,3564,5026,NARROW,32639,11.86,139971,234680,575277,39.87,23.88,67.17,NONE,35.61,11108,PENDING
2016,RA000056,SILVER,353.0,307.82,6504,5887,NARROW,75989,3.66,1040429,92746,696887,67.64,54.7,28.72,NONE,30.47,20756,APPROVED
2023,RA000057,SILVER,442.13,437.34,3939,3797,HMO,71797,7.72,703267,234961,105086,56.94,31.19,79.41,CSR73,35.57,62007,APPROVED
2019,RA000058,GOLD,621.98,649.2,3804,6797,PPO,250489,8.84,1152692,197307,457924,32.23,62.18,18.14,NONE,12.79,38553,MODIFIED
2017,RA000059,SILVER,908.21,942.36,5148,7911,TIERED,63697,12.42,1082852,131918,1524607,72.01,48.61,20.18,CSR87,10.73,6413,PENDING
2023,RA000060,SILVER,277.19,251.45,5590,7799,NARROW,24405,4.85,933822,80173,1183320,35.1,47.71,63.8,NONE,32.14,57492,PENDING
2016,RA000061,SILVER,565.83,522.89,5883,5130,EPO,33569,13.83,499279,175126,1460898,34.01,63.35,38.16,NONE,33.16,14644,PENDING
2019,RA000062,GOLD,425.21,455.7,7383,5499,NARROW,202096,22.23,1029887,18533,89045,67.43,52.68,34.83,NONE,12.22,11275,DENIED
2022,RA000063,SILVER,947.64,942.91,3497,2231,NARROW,193696,19.93,829804,132405,1572663,52.54,38.96,39.3,NONE,17.75,55742,APPROVED
2017,RA000064,BRONZE,669.2,606.65,1349,3176,PPO,276794,11.91,58314,136586,1516479,27.31,11.26,74.89,NONE,36.52,15893,DENIED
2014,RA000065,BRONZE,455.65,434.07,6293,9053,TIERED,93314,6.1,945151,23981,549505,46.32,61.41,59.55,NONE,3.12,60651,DENIED
2025,RA000066,SILVER,473.17,501.29,8150,4436,PPO,139131,23.75,124730,94152,1374186,74.34,58.13,63.77,NONE,1.02,51384,MODIFIED
2017,RA000067,BRONZE,298.37,302.9,7193,8185,NARROW,47590,23.52,795982,91130,639812,39.65,27.11,63.95,CSR94,5.31,49593,MODIFIED
2020,RA000068,SILVER,302.25,260.42,9067,7414,TIERED,138733,16.07,1135420,144742,359222,70.67,46.72,18.96,NONE,23.29,66496,APPROVED
2022,RA000069,BRONZE,420.75,381.96,1510,5782,HMO,180477,8.83,166881,57743,1541581,68.03,29.29,70.41,NONE,20.75,48793,PENDING
2019,RA000070,SILVER,683.01,631.41,5920,5384,HMO,244049,2.27,777192,155054,17281,35.09,14.77,68.84,NONE,35.36,27244,NOT_REQUIRED
2016,RA000071,BRONZE,502.94,540.16,3137,3418,PPO,172410,2.58,87397,22205,1300471,63.33,36.17,37.01,NONE,13.53,6791,DENIED
2016,RA000072,SILVER,356.55,335.66,5774,7905,PPO,41272,21.41,842501,165046,1364990,20.51,5.5,66.58,NONE,35.11,64208,MODIFIED
2024,RA000073,GOLD,410.9,365.93,3161,6067,PPO,53427,15.51,63354,201610,216299,68.95,64.03,34.83,NONE,15.92,14748,PENDING
2018,RA000074,BRONZE,829.81,773.11,4446,8900,TIERED,257783,17.74,523751,77750,706284,32.73,7.24,65.1,CSR73,30.2,46791,APPROVED
2024,RA000075,BRONZE,606.87,605.83,179,4122,TIERED,146587,16.61,1031680,204838,1126402,23.17,48.13,47.6,CSR94,20.04,59109,MODIFIED
2016,RA000076,GOLD,226.14,230.98,2530,4405,TIERED,201413,7.06,109845,117449,1361044,65.64,49.99,72.24,NONE,15.4,74233,NOT_REQUIRED
2021,RA000077,BRONZE,964.39,866.12,1918,1622,PPO,41348,7.92,214973,20358,1167270,40.1,9.34,70.1,NONE,10.14,44858,MODIFIED
2024,RA000078,SILVER,540.25,580.08,6512,8244,PPO,253900,11.57,1066569,9173,196653,63.74,12.32,43.73,NONE,16.52,42343,APPROVED
2018,RA000079,GOLD,865.14,881.42,2092,8520,EPO,8115,19.23,718326,90274,247353,24.01,34.83,52.87,CSR73,27.51,48322,NOT_REQUIRED
2019,RA000080,BRONZE,491.93,508.13,6398,3873,NARROW,169433,18.54,479060,170205,1125202,45.65,20.11,67.41,NONE,17.48,13195,MODIFIED
2018,RA000081,GOLD,618.85,584.56,1590,7931,HMO,38913,8.01,234145,115497,1336109,50.8,64.08,14.29,CSR87,40.05,10882,PENDING
2022,RA000082,GOLD,262.77,257.21,2526,5897,HMO,61148,9.32,641210,219511,787852,25.41,22.89,55.35,CSR73,17.03,15615,NOT_REQUIRED
2024,RA000083,SILVER,964.42,833.93,2726,8226,EPO,220475,3.33,51119,189540,1275580,29.96,41.47,24.74,NONE,21.18,17985,DENIED
2022,RA000084,BRONZE,280.65,268.26,2575,5918,EPO,139903,22.91,710712,94976,536760,64.72,5.82,49.09,CSR73,31.49,33831,DENIED
2023,RA000085,BRONZE,813.13,835.24,8208,4011,NARROW,209050,17.46,33644,155141,1239962,74.02,39.44,40.1,NONE,22.52,62633,APPROVED
2014,RA000086,GOLD,581.16,536.11,1663,4608,TIERED,127381,6.97,597598,108923,1192387,72.9,5.43,49.46,NONE,20.42,57750,NOT_REQUIRED
2018,RA000087,BRONZE,814.01,755.12,448,1928,PPO,196193,11.92,320469,181250,1527482,64.28,42.65,10.61,CSR94,32.82,48438,APPROVED
2025,RA000088,GOLD,538.36,507.26,4111,3949,HMO,153519,16.54,383116,35845,795654,67.68,56.5,48.21,NONE,33.48,53359,MODIFIED
2021,RA000089,BRONZE,499.54,529.36,1650,6800,EPO,228586,13.76,377507,19861,658379,46.19,11.85,18.59,NONE,0.82,36568,APPROVED
2015,RA000090,BRONZE,854.92,759.16,2774,7014,BROAD,177211,22.07,513381,161687,598728,62.73,46.42,47.43,NONE,19.43,4232,APPROVED
2022,RA000091,SILVER,471.98,482.67,7322,6109,HMO,23731,7.59,253470,10595,37996,31.38,28.48,80.67,NONE,13.2,25394,NOT_REQUIRED
2024,RA000092,PLATINUM,603.93,614.43,124,7028,BROAD,4129,19.42,1194451,235072,1076581,22.91,51.82,46.29,CSR94,10.68,81058,NOT_REQUIRED
2024,RA000093,GOLD,901.7,846.86,1337,4029,BROAD,104344,20.75,448983,3688,1080987,22.26,12.84,78.52,NONE,10.09,1333,NOT_REQUIRED
2020,RA000094,PLATINUM,838.96,718.79,4202,1841,BROAD,229743,3.22,450323,141301,1362817,53.7,20.9,71.36,CSR94,9.47,79283,APPROVED
2017,RA000095,SILVER,633.25,606.2,7119,3910,BROAD,250028,20.9,457898,166334,1576935,68.24,53.53,21.34,NONE,25.71,4661,PENDING
2024,RA000096,SILVER,404.18,431.19,1083,4034,BROAD,183757,2.94,283633,40985,5893,30.28,19.5,34.35,NONE,3.52,54865,PENDING
2024,RA000097,BRONZE,918.55,786.73,2174,8067,HMO,217689,1.79,221983,129181,1353676,50.78,29.4,1.9,CSR73,26.38,48047,NOT_REQUIRED
2017,RA000098,SILVER,917.12,897.49,3833,5599,EPO,148120,7.76,401720,135708,1045801,23.95,24.41,12.26,NONE,18.97,65052,APPROVED
2018,RA000099,SILVER,734.7,664.32,7188,7413,BROAD,28738,4.45,624309,211954,415176,23.06,25.58,15.7,NONE,23.14,43595,PENDING
2017,RA000100,GOLD,441.79,474.52,3586,1982,NARROW,169578,2.66,915062,209927,813123,46.89,38.89,2.12,NONE,8.27,83805,NOT_REQUIRED
2023,RA000101,SILVER,948.36,815.19,8277,4740,EPO,222509,15.3,224148,40549,206495,48.75,51.96,80.82,NONE,4.59,15274,PENDING
2020,RA000102,PLATINUM,675.64,699.61,8193,2622,HMO,173342,11.31,1113267,207160,1372025,73.25,47.42,51.68,NONE,34.1,48222,DENIED
2024,RA000103,BRONZE,271.44,281.28,5370,4783,PPO,53089,7.15,845816,224339,974196,50.39,22.42,10.64,NONE,13.65,42561,NOT_REQUIRED
2018,RA000104,GOLD,500.89,491.03,6949,5690,PPO,213462,13.63,984143,59067,678095,44.55,7.02,67.32,NONE,37.33,5703,APPROVED
2021,RA000105,SILVER,606.97,561.73,3256,8834,PPO,108350,19.33,190552,4999,616745,26.35,7.78,56.01,NONE,9.13,34017,MODIFIED
2021,RA000106,BRONZE,725.63,657.01,4000,9040,HMO,241597,2.03,252185,93530,784831,38.59,33.12,23.81,NONE,1.11,64324,MODIFIED
2025,RA000107,SILVER,937.9,890.94,1314,2368,HMO,140878,16.71,439773,161902,1109741,62.89,6.8,30.98,CSR73,19.25,81563,APPROVED
2024,RA000108,SILVER,750.31,792.17,4680,8798,NARROW,214024,21.75,371245,59897,68222,55.62,15.66,38.47,NONE,29.55,58501,PENDING
2014,RA000109,BRONZE,878.09,881.18,3118,4158,PPO,34462,19.09,137367,46833,599096,56.46,6.48,72.09,CSR73,11.57,82977,NOT_REQUIRED
2019,RA000110,GOLD,582.66,546.54,2094,5424,BROAD,146800,4.35,471507,26214,814724,29.65,39.42,67.39,NONE,12.7,60050,APPROVED
2019,RA000111,GOLD,716.94,656.33,6067,5414,NARROW,233096,4.46,77748,180145,33772,53.62,38.96,4.7,NONE,28.84,45480,NOT_REQUIRED
2014,RA000112,SILVER,698.55,691.73,5304,7618,NARROW,34417,20.05,389393,172626,1133235,59.46,14.87,65.98,CSR87,10.57,40355,NOT_REQUIRED
2022,RA000113,GOLD,713.48,754.39,2095,3282,EPO,91558,3.6,616263,192896,312548,64.12,24.8,29.78,NONE,24.17,42867,APPROVED
2019,RA000114,SILVER,961.12,1015.34,7886,2513,HMO,221756,17.03,645350,231160,1438052,34.15,5.61,45.62,CSR87,37.18,31025,PENDING
2025,RA000115,BRONZE,556.62,489.29,4641,8610,HMO,255455,2.26,373610,47424,1262517,36.7,51.66,63.28,NONE,40.25,51480,APPROVED
2021,RA000116,SILVER,495.03,422.55,494,2954,TIERED,194592,7.97,522093,14342,274614,22.46,35.78,2.41,NONE,40.64,48756,PENDING
2025,RA000117,SILVER,750.52,664.77,8229,6382,HMO,90363,4.78,1191209,27825,534075,33.5,24.2,16.59,NONE,6.03,65831,APPROVED
2022,RA000118,SILVER,820.81,716.98,8480,5888,EPO,203554,21.09,196063,169891,37396,30.59,25.32,3.07,NONE,5.12,23388,APPROVED
2018,RA000119,GOLD,623.13,538.18,4696,6628,TIERED,98493,14.07,690433,236008,195215,30.01,40.69,50.94,CSR73,11.93,55046,APPROVED
2019,RA000120,SILVER,715.97,622.6,3674,8720,BROAD,244397,18.73,642078,177338,367430,55.14,14.38,20.29,NONE,15.55,18155,MODIFIED
2014,RA000121,BRONZE,653.94,635.43,6616,7257,EPO,116465,19.14,49206,66672,256706,45.05,14.03,77.57,NONE,13.73,23800,PENDING
2018,RA000122,BRONZE,797.84,829.93,5044,2485,PPO,252495,7.55,277436,147493,10980,35.39,56.45,51.82,NONE,35.9,37797,APPROVED
2025,RA000123,BRONZE,334.28,307.48,4990,2537,TIERED,165766,2.9,233044,117897,609038,58.29,35.19,41.19,NONE,16.7,72501,NOT_REQUIRED
2017,RA000124,SILVER,437.96,467.19,3048,7303,EPO,192901,17.38,930243,180017,506286,62.97,35.55,48.05,NONE,14.81,35947,APPROVED
2019,RA000125,SILVER,360.09,320.91,5373,3170,HMO,108510,23.76,1084952,135482,1554929,34.01,18.03,39.6,NONE,8.47,40644,PENDING
2018,RA000126,SILVER,297.47,304.32,5982,2252,EPO,262991,5.9,695892,145871,663561,55.09,62.5,27.61,NONE,18.23,61282,APPROVED
2014,RA000127,SILVER,512.21,457.51,4588,4002,NARROW,115820,16.96,53617,31525,337155,53.53,21.54,11.05,CSR94,41.59,74943,MODIFIED
2014,RA000128,SILVER,960.05,969.43,948,8125,PPO,173840,15.64,760645,19832,1433194,48.14,11.32,23.28,NONE,35.12,52888,MODIFIED
2020,RA000129,SILVER,803.68,751.4,3734,2477,TIERED,38066,15.24,840861,167622,857843,63.95,48.57,49.26,NONE,24.37,28930,PENDING
2018,RA000130,SILVER,223.62,214.23,2925,1603,BROAD,84233,7.19,363222,219635,1013677,29.85,37.82,37.47,CSR94,31.81,26201,NOT_REQUIRED
2023,RA000131,SILVER,694.09,741.15,7017,6616,HMO,192755,11.84,601636,209100,898876,39.61,53.15,43.4,CSR87,32.24,1460,APPROVED
2018,RA000132,SILVER,426.58,439.54,7812,8998,HMO,252511,2.58,306346,178688,650307,63.86,13.88,56.47,NONE,3.92,61251,APPROVED
2025,RA000133,SILVER,840.57,899.52,7320,3497,HMO,220409,20.09,632429,224299,1395270,20.38,42.15,46.11,CSR73,4.73,32828,APPROVED
2016,RA000134,BRONZE,506.19,523.08,8781,9107,EPO,43872,7.54,862512,233439,544828,45.93,42.15,83.95,NONE,19.95,8414,APPROVED
2021,RA000135,GOLD,563.9,607.25,4527,3969,BROAD,108555,19.93,870484,141237,357849,72.98,64.42,75.35,CSR73,3.93,15389,PENDING
2015,RA000136,SILVER,487.27,473.05,1356,8104,NARROW,231018,21.49,1097861,31506,933516,55.1,37.12,19.78,CSR73,4.48,43158,APPROVED
2019,RA000137,SILVER,407.22,436.13,398,2061,HMO,3514,10.19,218220,39584,404543,53.66,57.78,4.87,NONE,15.83,81407,APPROVED
2016,RA000138,SILVER,913.7,938.38,4734,8119,HMO,214418,13.1,860513,170436,1537681,52.22,58.49,8.57,NONE,28.91,477,APPROVED
2024,RA000139,SILVER,748.83,733.11,3182,7364,EPO,152813,6.44,345102,154217,267314,41.04,14.9,74.07,NONE,21.59,14435,PENDING
2021,RA000140,BRONZE,463.19,487.83,6420,5750,EPO,103796,17.75,283342,147384,504155,34.47,14.79,79.7,CSR94,28.6,38689,PENDING
2018,RA000141,GOLD,607.26,562.17,5756,2964,PPO,248324,2.19,451185,175440,1159779,36.82,23.29,42.19,CSR94,9.01,22893,APPROVED
2019,RA000142,GOLD,430.77,456.93,1400,7950,PPO,160329,13.3,471276,75887,366385,72.28,5.02,82.45,CSR73,8.73,38084,APPROVED
2024,RA000143,BRONZE,704.96,712.94,4858,3066,EPO,158835,8.58,1103619,152349,8934,55.42,30.16,34.84,CSR94,13.42,22222,NOT_REQUIRED
2016,RA000144,BRONZE,587.99,557.97,1735,4457,EPO,179114,16.51,545251,25861,1596177,41.36,62.74,54.65,CSR87,6.88,73367,APPROVED
2022,RA000145,GOLD,452.31,407.03,3841,4534,PPO,27937,8.79,642220,214591,1128284,39.46,55.57,3.96,CSR73,1.02,6190,APPROVED
2016,RA000146,SILVER,709.3,669.62,5480,7536,HMO,104192,22.61,481983,212735,4982,49.01,7.89,4.59,NONE,35.02,4134,APPROVED
2022,RA000147,SILVER,527.05,506.02,7259,5522,PPO,95126,17.69,559326,184635,1347362,23.09,51.14,10.75,NONE,33.87,16407,APPROVED
2025,RA000148,SILVER,493.62,509.77,9011,5947,NARROW,6138,9.68,492802,57828,96741,50.98,22.14,76.77,CSR73,38.07,9022,APPROVED
2021,RA000149,SILVER,360.08,374.32,3434,2328,TIERED,63857,15.39,843861,128789,1351649,40.44,37.43,41.42,CSR73,9.84,7517,APPROVED
2020,RA000150,BRONZE,255.52,264.65,5318,7869,TIERED,136001,7.12,611881,27560,1073382,71.73,9.84,17.7,CSR73,22.2,76458,APPROVED
2014,RA000151,GOLD,266.22,237.52,493,4665,NARROW,239160,19.57,965418,233390,1528847,42.56,42.83,0.23,NONE,9.11,67111,APPROVED
2025,RA000152,BRONZE,229.45,223.67,5413,5210,EPO,163030,6.49,2891,22947,1386245,62.49,28.94,67.06,CSR73,35.75,15438,APPROVED
2016,RA000153,SILVER,222.5,213.38,1825,4426,BROAD,109466,4.64,1126373,146220,1409685,63.84,35.03,51.9,NONE,9.08,66013,APPROVED
2024,RA000154,SILVER,927.1,885.54,1930,2466,PPO,259225,13.14,300376,81003,867093,22.77,44.74,7.12,CSR73,11.69,67000,PENDING
2020,RA000155,SILVER,405.32,364.44,9163,2788,NARROW,133500,20.38,742474,222510,1165164,41.42,58.8,72.15,NONE,14.41,64148,MODIFIED
2023,RA000156,SILVER,388.11,361.97,3089,5559,PPO,120440,5.87,609096,36293,1373717,60.62,32.97,19.34,NONE,27.56,58744,APPROVED
2024,RA000157,CATASTROPHIC,671.93,615.47,8376,8987,EPO,64865,4.11,1175694,84678,817633,51.1,42.26,19.34,NONE,14.43,73241,APPROVED
2024,RA000158,BRONZE,337.22,304.67,5496,3143,EPO,24965,15.3,368618,212942,449872,31.34,61.29,33.16,NONE,35.92,35971,NOT_REQUIRED
2022,RA000159,BRONZE,497.6,478.41,5171,3036,NARROW,31468,1.51,385482,158733,783040,64.68,49.82,70.39,CSR94,33.98,36069,APPROVED
2024,RA000160,SILVER,942.68,807.51,4476,6748,BROAD,72004,18.17,906938,172188,582490,52.91,7.39,55.26,NONE,9.29,10280,PENDING
2015,RA000161,SILVER,746.91,757.33,7277,7788,PPO,87499,10.26,513814,103677,613849,30.48,14.95,52.44,NONE,14.97,38203,PENDING
2017,RA000162,SILVER,849.52,911.82,6073,5808,BROAD,73547,6.18,1198714,114119,1033625,25.5,24.94,8.84,NONE,14.25,34189,APPROVED
2025,RA000163,SILVER,741.51,697.58,6055,3229,BROAD,38023,18.18,557557,115717,316975,24.03,56.55,71.9,CSR94,15.5,57803,APPROVED
2021,RA000164,GOLD,437.21,454.34,7572,7208,EPO,23747,20.54,201018,142876,905366,51.75,32.79,2.42,CSR73,36.92,22890,APPROVED
2018,RA000165,SILVER,879.69,821.64,3558,7411,EPO,170825,5.52,687309,112397,197017,38.58,15.82,51.11,NONE,12.21,3904,NOT_REQUIRED
2016,RA000166,BRONZE,481.85,427.33,4295,8738,NARROW,89063,6.26,1097067,237330,1510728,71.51,29.94,33.2,NONE,33.31,77339,PENDING
2025,RA000167,SILVER,328.39,316.58,1364,2346,TIERED,83233,9.51,474701,223232,593981,24.57,43.94,55.97,CSR87,31.31,81313,MODIFIED
2022,RA000168,BRONZE,732.83,781.27,8727,5694,BROAD,5364,15.61,280950,76276,999417,27.88,48.17,48.81,NONE,11.62,59130,PENDING
2021,RA000169,PLATINUM,260.21,237.5,2728,3218,BROAD,158854,15.87,198264,138923,57989,45.76,33.39,55.38,NONE,10.07,64784,APPROVED
2022,RA000170,BRONZE,402.74,403.14,7821,8159,EPO,156271,8.73,1029574,70623,1106469,40.4,52.39,42.22,NONE,41.98,18032,APPROVED
