care_capacity_snapshot_date,care_capacity_facility_npi,care_capacity_facility_type_code,care_capacity_service_line_code,care_capacity_licensed_beds_count,care_capacity_staffed_beds_count,care_capacity_icu_beds_count,care_capacity_ed_bays_count,care_capacity_operating_rooms_count,care_capacity_imaging_units_mri,care_capacity_imaging_units_ct,care_capacity_primary_care_fte,care_capacity_nurse_fte,care_capacity_specialist_fte,care_capacity_patient_to_nurse_ratio,care_capacity_avg_wait_time_minutes,care_capacity_appointment_availability_days,care_capacity_closure_risk_score,care_capacity_rural_critical_access_flag,care_capacity_licensure_state_code
2021-01-29,1000000029,FQHC,MED_SURG,123,83,81,113,35,0,21,106.15,961.16,323.05,4.58,67,5,0.6586,0,NE
2021-01-30,1000000030,ASC,CARD,263,263,87,61,18,17,27,59.09,2143.53,318.16,4.66,16,2,0.7721,0,MT
2021-01-31,1000000031,CLINIC,CARD,406,387,92,130,42,0,20,201.14,1287.77,616.31,8.23,78,81,0.1693,0,AL
2021-02-01,1000000032,ASC,ONC,459,319,69,26,26,15,25,35.83,1918.1,514.32,8.15,230,69,0.3095,0,MO
2021-02-02,1000000033,ASC,ONC,5,4,4,48,39,5,20,134.85,1322.91,533.97,9.87,275,88,0.4615,0,RI
2021-02-03,1000000034,RHC,ORTHO,356,327,100,14,39,4,14,77.86,237.26,474.77,3.2,346,52,0.0459,0,WV
2021-02-04,1000000035,HOSPITAL,ONC,211,153,104,156,39,15,23,200.54,1086.77,86.81,4.02,309,54,0.7684,1,MT
2021-02-05,1000000036,ASC,ICU,894,696,17,56,13,10,13,187.46,804.08,291.08,9.37,12,75,0.6916,0,NY
2021-02-06,1000000037,FQHC,ED,574,376,9,134,38,16,12,100.37,2016.47,453.61,8.93,91,10,0.1714,0,ID
2021-02-07,1000000038,CLINIC,ED,769,753,107,56,13,4,8,25.39,1895.98,374.89,6.04,314,55,0.6105,0,KY
2021-02-08,1000000039,CLINIC,CARD,444,293,94,31,6,2,3,34.1,987.85,263.59,6.29,359,35,0.5765,0,MS
2021-02-09,1000000040,LTACH,MED_SURG,469,303,34,56,16,17,19,120.38,2107.69,26.16,9.12,77,33,0.8904,0,SD
2021-02-10,1000000041,CLINIC,BEHAVIORAL,312,228,110,94,16,13,11,139.75,392.96,105.73,3.65,279,5,0.2825,0,MS
2021-02-11,1000000042,SNF,ICU,611,532,67,146,20,13,14,78.27,461.15,305.97,5.12,84,19,0.9579,0,IL
2021-02-12,1000000043,ASC,CARD,485,298,68,139,0,6,22,164.3,1048.15,378.73,2.52,309,9,0.8076,0,RI
2021-02-13,1000000044,FQHC,OB,367,353,87,8,9,0,0,92.65,533.65,275.77,7.49,355,87,0.552,1,ME
2021-02-14,1000000045,ASC,MED_SURG,819,639,94,115,24,17,9,176.87,1332.11,284.4,2.58,13,35,0.1404,1,WV
2021-02-15,1000000046,CLINIC,CARD,658,432,65,136,44,8,0,19.71,1505.71,575.54,6.29,154,40,0.3264,0,MA
2021-02-16,1000000047,SNF,ORTHO,311,279,103,152,34,4,17,63.07,1155.37,190.92,6.76,44,87,0.4478,0,CA
2021-02-17,1000000048,CLINIC,OB,337,203,117,89,34,10,6,9.47,1958.52,608.94,8.39,124,61,0.784,1,MN
2021-02-18,1000000049,ASC,PEDS,22,19,19,108,2,9,19,115.39,358.04,246.82,8.37,44,77,0.0126,1,TN
2021-02-19,1000000050,LTACH,ED,382,328,37,86,6,9,1,51.47,1079.97,290.57,7.44,214,25,0.0583,0,AR
2021-02-20,1000000051,CLINIC,OB,149,119,12,115,0,15,24,33.19,498.9,376.34,3.32,345,54,0.5024,0,NJ
2021-02-21,1000000052,LTACH,ED,297,247,105,54,40,2,14,142.67,1648.88,357.52,8.39,232,89,0.5052,0,WV
2021-02-22,1000000053,SNF,PEDS,562,519,47,153,0,16,24,145.64,2118.63,633.99,8.17,6,2,0.382,0,OK
2021-02-23,1000000054,HOSPITAL,CARD,692,617,69,7,41,8,27,15.89,1727.42,523.81,9.93,304,6,0.247,0,CO
2021-02-24,1000000055,LTACH,ED,846,531,9,107,39,2,25,204.37,1765.4,541.4,5.85,281,41,0.5767,0,WY
2021-02-25,1000000056,LTACH,OB,363,356,48,54,20,14,13,210.94,115.4,20.12,8.71,295,22,0.3576,0,CT
2021-02-26,1000000057,FQHC,ICU,829,563,74,107,33,0,17,117.22,840.12,595.5,3.05,121,3,0.3009,0,NV
2021-02-27,1000000058,SNF,ICU,234,202,37,78,6,9,14,122.09,588.84,21.98,3.12,60,31,0.1538,0,KS
2021-02-28,1000000059,LTACH,MED_SURG,615,531,55,94,20,7,23,216.73,1951.37,73.22,8.54,170,56,0.9091,1,SC
2021-03-01,1000000060,LTACH,CARD,445,384,111,156,5,17,19,131.0,826.02,546.59,7.63,117,24,0.9442,1,KY
2021-03-02,1000000061,RHC,ONC,335,262,94,83,34,4,27,130.55,1726.22,454.17,3.38,196,38,0.1082,1,ME
2021-03-03,1000000062,ASC,ONC,210,199,26,130,10,3,24,41.27,2147.59,479.13,5.66,64,72,0.9044,1,CA
2021-03-04,1000000063,HOSPITAL,ED,245,202,5,87,16,12,22,108.23,341.88,149.95,5.72,31,49,0.4473,0,SD
2021-03-05,1000000064,LTACH,CARD,697,560,56,95,42,8,7,70.68,265.71,445.39,5.78,80,63,0.9422,1,AL
2021-03-06,1000000065,HOSPITAL,BEHAVIORAL,152,128,65,114,43,11,15,132.8,1806.21,279.05,7.13,39,38,0.6059,0,KY
2021-03-07,1000000066,LTACH,BEHAVIORAL,948,830,59,154,13,8,12,24.46,639.67,579.37,8.54,229,88,0.307,0,NM
2021-03-08,1000000067,SNF,OB,605,528,31,99,11,1,22,160.62,1567.72,480.52,4.45,172,30,0.0316,0,TN
2021-03-09,1000000068,RHC,CARD,38,23,16,42,35,0,0,158.99,1576.75,26.35,4.14,93,14,0.782,0,MO
2021-03-10,1000000069,RHC,ONC,243,193,99,109,28,9,22,138.43,1955.87,555.11,3.34,168,6,0.4182,1,OH
2021-03-11,1000000070,HOSPITAL,ICU,357,318,7,30,41,12,23,47.51,377.48,283.46,6.68,43,90,0.47,0,HI
2021-03-12,1000000071,HOSPITAL,BEHAVIORAL,196,124,82,24,20,14,14,75.9,886.18,61.27,9.76,172,73,0.4391,0,NE
2021-03-13,1000000072,SNF,MED_SURG,328,252,73,144,0,3,13,149.22,991.6,318.59,5.25,79,59,0.8082,0,MA
2021-03-14,1000000073,HOSPITAL,BEHAVIORAL,405,333,6,65,42,15,18,114.34,1640.94,49.27,7.75,11,21,0.3374,0,IL
2021-03-15,1000000074,SNF,ICU,827,503,75,9,12,1,4,130.97,2141.35,221.87,9.99,216,48,0.7286,0,OK
2021-03-16,1000000075,HOSPITAL,ORTHO,440,416,78,7,21,9,10,212.14,1691.75,329.44,7.07,239,79,0.2063,1,TX
2021-03-17,1000000076,LTACH,ED,418,358,81,99,16,8,25,77.15,2026.2,301.73,7.2,9,17,0.7666,0,NJ
2021-03-18,1000000077,RHC,BEHAVIORAL,697,556,107,15,28,4,10,27.13,569.9,369.38,4.73,8,86,0.4898,0,MD
2021-03-19,1000000078,ASC,BEHAVIORAL,199,131,103,126,41,7,3,112.15,2167.1,438.99,6.4,235,2,0.9471,1,AZ
2021-03-20,1000000079,SNF,CARD,306,223,45,98,23,9,4,164.2,1261.69,487.87,8.87,127,33,0.7898,0,GA
2021-03-21,1000000080,ASC,BEHAVIORAL,109,100,46,24,5,17,16,194.8,1740.39,637.6,6.41,360,81,0.0965,1,AK
2021-03-22,1000000081,SNF,ED,102,81,4,57,20,10,15,8.23,652.6,355.31,7.48,53,49,0.7194,0,DE
2021-03-23,1000000082,SNF,PEDS,94,65,31,56,3,12,4,178.37,1787.38,459.83,6.19,179,33,0.591,1,MN
2021-03-24,1000000083,SNF,BEHAVIORAL,759,716,68,148,36,4,10,105.07,1199.61,541.97,8.37,218,21,0.7498,0,AZ
2021-03-25,1000000084,SNF,ONC,91,84,18,134,30,10,1,179.66,1414.07,241.37,9.32,240,47,0.4781,0,WA
2021-03-26,1000000085,ASC,OB,676,482,119,94,31,0,23,133.64,1862.82,576.37,6.94,101,61,0.6047,0,MI
2021-03-27,1000000086,ASC,ICU,136,128,53,51,9,8,26,169.86,601.56,396.37,7.67,100,87,0.6254,0,IA
2021-03-28,1000000087,FQHC,CARD,813,720,28,126,9,13,6,215.61,1966.3,270.37,4.42,240,52,0.9291,0,HI
2021-03-29,1000000088,LTACH,MED_SURG,600,373,93,82,26,17,4,87.62,539.57,9.91,9.24,14,50,0.8743,0,MO
2021-03-30,1000000089,FQHC,ICU,527,383,89,143,0,16,7,161.37,620.97,436.62,5.88,314,75,0.4832,0,IL
2021-03-31,1000000090,HOSPITAL,ED,440,290,8,58,41,2,5,121.23,113.45,457.56,8.17,17,69,0.1623,1,FL
2021-04-01,1000000091,RHC,PEDS,685,457,109,44,34,15,21,212.39,1034.84,291.7,6.68,139,50,0.0169,0,LA
2021-04-02,1000000092,SNF,MED_SURG,268,206,4,158,33,8,26,180.63,1228.48,389.44,8.52,224,74,0.1762,0,OK
2021-04-03,1000000093,HOSPITAL,ONC,477,415,113,12,40,10,9,15.49,1496.25,446.64,6.29,161,39,0.6313,1,VT
2021-04-04,1000000094,SNF,BEHAVIORAL,250,205,83,148,40,11,8,52.28,1583.98,382.78,9.48,193,2,0.4853,0,SC
2021-04-05,1000000095,HOSPITAL,OB,741,625,93,37,7,10,10,9.38,1787.47,418.08,8.01,114,68,0.2937,0,TX
2021-04-06,1000000096,LTACH,CARD,511,308,63,8,41,8,6,158.83,41.27,168.24,6.65,142,40,0.6401,0,TN
2021-04-07,1000000097,ASC,ONC,84,64,64,120,33,1,20,15.62,214.95,5.11,8.76,317,38,0.4822,0,VT
2021-04-08,1000000098,HOSPITAL,ED,295,268,4,17,41,1,19,167.17,668.98,460.7,8.26,350,12,0.3535,0,ND
2021-04-09,1000000099,ASC,ORTHO,85,78,8,126,25,0,20,115.2,1607.0,119.35,3.66,41,88,0.9446,0,SD
2021-04-10,1000000100,ASC,ICU,694,660,83,133,23,13,14,177.27,600.41,436.63,5.67,113,86,0.2163,1,NE
2021-04-11,1000000101,CLINIC,OB,838,600,85,12,30,10,26,170.69,1544.3,292.79,4.89,348,90,0.1031,0,ME
2021-04-12,1000000102,FQHC,CARD,212,154,51,60,25,2,24,119.19,1400.03,217.23,4.83,173,62,0.9984,1,VA
2021-04-13,1000000103,ASC,ONC,215,155,67,81,43,17,4,79.41,1787.74,275.87,3.93,270,17,0.6468,0,CA
2021-04-14,1000000104,SNF,ORTHO,604,380,44,22,36,0,24,108.47,761.67,370.42,5.89,173,53,0.5298,0,WY
2021-04-15,1000000105,ASC,PEDS,46,38,38,20,41,5,4,172.75,602.16,218.77,9.22,293,57,0.9175,1,TN
2021-04-16,1000000106,SNF,ORTHO,642,447,39,11,21,3,12,166.59,1038.74,466.61,3.18,27,4,0.3458,1,NV
2021-04-17,1000000107,ASC,MED_SURG,899,655,49,19,35,7,18,122.78,1783.12,81.23,8.03,329,47,0.8635,1,SD
2021-04-18,1000000108,HOSPITAL,CARD,324,204,101,132,20,8,10,26.22,1943.86,249.53,6.97,192,67,0.7568,1,TN
2021-04-19,1000000109,FQHC,MED_SURG,520,405,102,33,39,12,20,139.36,227.7,414.96,9.24,163,28,0.7439,1,MO
2021-04-20,1000000110,FQHC,ONC,219,200,27,93,24,2,27,219.48,383.9,205.06,9.1,60,59,0.345,0,UT
2021-04-21,1000000111,RHC,ONC,713,617,37,27,15,6,3,69.29,2198.03,554.18,8.69,94,17,0.6615,0,MI
2021-04-22,1000000112,CLINIC,CARD,197,139,32,19,8,12,3,102.38,356.65,179.35,3.64,145,13,0.5012,0,OH
2021-04-23,1000000113,ASC,CARD,37,23,1,102,44,7,7,168.6,1177.69,27.57,4.83,184,22,0.8779,0,OK
2021-04-24,1000000114,ASC,ORTHO,317,272,77,6,7,15,27,50.23,1191.58,443.08,9.72,129,24,0.0752,1,OR
2021-04-25,1000000115,ASC,ED,890,836,41,86,14,12,23,61.62,577.73,239.32,8.55,267,27,0.4375,0,OH
2021-04-26,1000000116,FQHC,ORTHO,249,179,105,52,7,8,20,92.55,911.49,2.69,6.29,183,44,0.8045,0,GA
2021-04-27,1000000117,HOSPITAL,ICU,803,554,98,46,42,11,2,100.21,1820.74,24.99,2.52,56,60,0.9978,0,MS
2021-04-28,1000000118,CLINIC,ONC,458,404,51,111,8,1,14,127.59,1268.32,117.88,9.5,187,82,0.8642,0,FL
2021-04-29,1000000119,RHC,PEDS,553,523,4,63,27,0,23,197.85,879.98,211.85,9.48,165,53,0.8012,0,NE
2021-04-30,1000000120,HOSPITAL,CARD,761,488,26,74,16,14,0,159.37,1070.22,74.9,7.99,225,55,0.0371,0,OK
2021-05-01,1000000121,SNF,ONC,7,5,5,115,43,16,9,85.92,1663.61,133.77,3.28,18,54,0.438,0,WI
2021-05-02,1000000122,RHC,PEDS,487,400,61,115,16,5,7,159.36,2129.52,275.01,9.2,76,13,0.1567,0,RI
2021-05-03,1000000123,HOSPITAL,OB,903,574,78,33,31,8,17,76.5,1667.16,126.91,3.46,334,35,0.8614,0,WY
2021-05-04,1000000124,CLINIC,BEHAVIORAL,187,162,39,35,7,1,2,104.03,192.68,545.85,7.55,286,41,0.82,0,ND
2021-05-05,1000000125,RHC,OB,361,322,71,157,5,1,16,217.41,2054.29,195.67,9.69,190,44,0.5999,0,UT
2021-05-06,1000000126,RHC,CARD,135,103,9,117,29,4,23,170.43,1907.64,236.19,5.85,147,12,0.9574,0,LA
2021-05-07,1000000127,RHC,ONC,814,636,32,63,23,1,23,55.8,2161.13,495.54,6.23,154,75,0.4954,1,SC
2021-05-08,1000000128,LTACH,OB,459,381,85,3,15,13,11,9.04,1015.34,476.97,5.74,80,67,0.2741,0,ID
2021-05-09,1000000129,SNF,CARD,384,259,38,139,40,17,27,102.66,2155.7,514.05,2.81,295,72,0.5815,0,MT
2021-05-10,1000000130,CLINIC,ONC,656,428,6,119,29,9,8,194.59,1045.54,254.47,8.14,78,74,0.4986,0,NC
2021-05-11,1000000131,SNF,CARD,50,46,46,156,23,16,19,2.47,679.96,643.52,6.15,282,46,0.8276,0,IA
2021-05-12,1000000132,RHC,ONC,884,569,40,130,28,5,11,91.89,1397.79,612.34,2.79,30,54,0.0292,0,HI
2021-05-13,1000000133,LTACH,CARD,758,492,80,127,20,13,22,174.38,288.87,188.11,6.07,242,83,0.5594,0,NC
2021-05-14,1000000134,HOSPITAL,MED_SURG,806,745,54,4,12,13,0,22.43,1036.63,405.14,6.55,100,85,0.6289,0,VT
2021-05-15,1000000135,SNF,ORTHO,357,273,38,6,19,17,1,20.05,1218.28,276.11,3.1,253,53,0.0326,0,NC
2021-05-16,1000000136,LTACH,ONC,308,299,73,11,8,14,10,37.11,730.87,93.75,9.24,345,24,0.9208,1,MT
2021-05-17,1000000137,RHC,OB,121,89,89,30,37,12,20,179.63,1376.87,383.62,8.23,31,90,0.9104,0,MN
2021-05-18,1000000138,SNF,ED,871,733,10,52,23,9,2,29.23,2084.99,105.56,7.49,127,64,0.4935,0,MN
2021-05-19,1000000139,ASC,PEDS,605,552,11,87,40,12,19,122.6,1443.45,286.04,3.57,27,33,0.0225,0,NH
2021-05-20,1000000140,HOSPITAL,ED,428,391,37,23,16,13,13,67.93,1362.0,371.51,7.24,288,77,0.9847,1,WI
2021-05-21,1000000141,CLINIC,CARD,134,118,109,143,1,12,8,153.72,1063.17,331.83,3.47,250,23,0.3595,1,CA
2021-05-22,1000000142,RHC,OB,615,389,46,84,18,5,15,126.14,968.13,114.44,6.22,30,26,0.4249,1,CO
2021-05-23,1000000143,CLINIC,OB,176,115,50,122,7,2,14,209.17,147.61,515.43,6.66,121,37,0.9609,0,PA
2021-05-24,1000000144,FQHC,ICU,152,115,19,66,2,2,22,71.94,1289.12,621.82,6.81,323,15,0.3864,1,TN
2021-05-25,1000000145,ASC,ONC,456,291,40,59,20,4,17,2.27,1205.82,293.38,8.55,276,71,0.7397,0,IL
2021-05-26,1000000146,LTACH,ED,734,471,42,62,8,4,20,71.54,144.38,289.22,8.16,290,70,0.3701,0,ND
2021-05-27,1000000147,SNF,BEHAVIORAL,690,447,59,142,7,16,2,185.75,1847.72,134.41,6.04,161,26,0.0006,0,NV
2021-05-28,1000000148,RHC,ONC,453,310,88,11,14,4,19,98.22,705.75,384.97,2.84,8,63,0.8428,0,AK
2021-05-29,1000000149,LTACH,ICU,278,237,85,147,23,17,12,35.97,390.85,569.54,5.8,300,32,0.9908,0,NM
2021-05-30,1000000150,RHC,MED_SURG,257,240,47,139,38,15,23,151.07,2075.39,549.67,8.1,239,24,0.8343,0,IL
2021-05-31,1000000151,CLINIC,BEHAVIORAL,46,36,8,125,31,6,9,209.44,1773.13,268.54,4.2,62,23,0.3027,0,CO
2021-06-01,1000000152,ASC,BEHAVIORAL,369,348,71,97,12,15,25,58.7,1303.56,208.38,8.24,99,36,0.0652,0,OH
2021-06-02,1000000153,SNF,CARD,486,306,98,21,1,11,12,161.16,1349.3,293.4,2.52,223,45,0.0697,0,SC
2021-06-03,1000000154,HOSPITAL,CARD,260,208,94,59,24,1,7,118.24,112.55,41.37,8.23,109,56,0.7016,1,GA
2021-06-04,1000000155,LTACH,BEHAVIORAL,885,784,112,88,40,17,2,99.08,1167.59,614.92,3.67,146,66,0.1964,0,WV
2021-06-05,1000000156,ASC,PEDS,308,269,47,57,9,15,17,203.15,1772.97,21.82,7.12,192,75,0.3199,0,CA
2021-06-06,1000000157,ASC,MED_SURG,215,195,110,21,44,13,25,212.77,373.09,123.88,7.58,323,83,0.2402,0,OK
2021-06-07,1000000158,RHC,ORTHO,186,173,87,71,21,1,2,196.61,844.69,266.1,3.47,120,21,0.7868,0,RI
2021-06-08,1000000159,SNF,ONC,898,801,61,85,38,15,9,149.59,1552.83,577.34,5.81,82,30,0.2455,1,IN
2021-06-09,1000000160,HOSPITAL,OB,564,465,35,85,19,8,19,174.03,1074.0,644.11,7.54,227,59,0.5551,0,MI
2021-06-10,1000000161,HOSPITAL,PEDS,818,767,32,47,4,11,15,147.61,2036.94,175.95,9.17,330,58,0.8247,1,MI
2021-06-11,1000000162,FQHC,OB,95,63,34,17,32,13,20,198.33,1845.41,457.22,7.77,158,35,0.6545,0,VA
2021-06-12,1000000163,LTACH,PEDS,535,358,16,135,30,10,15,172.83,401.03,57.45,3.01,149,65,0.6868,0,TN
2021-06-13,1000000164,ASC,ORTHO,253,222,73,86,27,1,8,75.07,587.98,377.65,6.47,244,70,0.3451,1,VA
2021-06-14,1000000165,HOSPITAL,ED,376,343,24,26,28,11,21,48.81,1712.09,177.67,8.36,240,66,0.6429,0,AK
2021-06-15,1000000166,SNF,ORTHO,930,640,40,39,10,14,12,106.12,1084.73,273.58,2.55,73,30,0.0003,0,VT
2021-06-16,1000000167,FQHC,ORTHO,323,284,97,129,13,4,22,179.14,1236.04,163.89,7.29,182,43,0.8088,1,MI
2021-06-17,1000000168,CLINIC,ONC,291,222,4,109,0,12,21,141.74,178.5,540.05,5.12,61,9,0.4439,0,WI
2021-06-18,1000000169,FQHC,ORTHO,502,465,5,53,22,12,19,166.04,1151.7,178.46,4.34,40,81,0.2001,0,MT
2021-06-19,1000000170,RHC,OB,243,188,70,33,20,8,13,124.62,1709.76,226.13,4.08,223,60,0.2605,1,OH
2021-06-20,1000000171,CLINIC,ONC,867,661,54,67,18,4,15,160.73,1079.98,409.15,3.79,202,64,0.772,0,WI
2021-06-21,1000000172,LTACH,MED_SURG,243,203,111,15,32,2,0,206.57,52.12,288.6,5.74,89,40,0.3352,1,MN
2021-06-22,1000000173,ASC,BEHAVIORAL,237,187,15,21,3,2,1,141.67,1254.35,36.91,4.41,335,65,0.5482,1,KY
2021-06-23,1000000174,RHC,OB,870,753,111,12,7,16,18,100.75,1532.68,309.0,8.97,231,0,0.0641,0,OR
2021-06-24,1000000175,ASC,ED,780,656,22,44,4,11,25,6.73,2141.55,244.63,7.58,303,76,0.2765,1,NM
2021-06-25,1000000176,CLINIC,ED,787,619,63,118,9,14,27,150.11,253.48,583.1,4.53,237,13,0.8665,0,SD
2021-06-26,1000000177,HOSPITAL,PEDS,895,639,60,52,39,1,27,105.92,1312.98,538.38,4.88,166,82,0.1373,0,KY
2021-06-27,1000000178,ASC,ORTHO,344,272,69,33,16,6,8,89.74,830.05,400.2,2.71,343,20,0.4522,0,UT
2021-06-28,1000000179,SNF,BEHAVIORAL,242,206,81,155,1,14,3,149.86,1473.39,628.31,5.65,221,74,0.051,0,ME
2021-06-29,1000000180,HOSPITAL,BEHAVIORAL,927,816,19,97,20,15,17,140.1,66.86,100.48,9.09,261,54,0.4709,0,CT
2021-06-30,1000000181,CLINIC,BEHAVIORAL,375,346,70,33,0,1,14,1.18,1621.59,226.08,7.51,201,69,0.2509,1,AR
2021-07-01,1000000182,LTACH,CARD,355,221,114,6,0,6,24,146.57,203.49,628.26,4.48,259,53,0.2841,0,WV
2021-07-02,1000000183,HOSPITAL,OB,888,806,109,116,22,12,26,168.74,1847.96,320.09,3.61,41,83,0.8867,0,NJ
2021-07-03,1000000184,LTACH,ED,905,623,68,136,34,3,3,17.46,2081.26,11.9,5.32,269,5,0.9769,0,HI
2021-07-04,1000000185,RHC,ONC,551,386,63,58,11,17,21,27.51,643.42,479.65,6.56,150,39,0.7706,0,NH
2021-07-05,1000000186,FQHC,ED,820,701,82,4,28,1,12,189.95,1544.58,439.23,4.2,192,53,0.7795,0,OH
2021-07-06,1000000187,CLINIC,ED,432,413,46,42,42,10,18,143.18,1915.35,267.46,3.83,103,85,0.7476,0,MN
2021-07-07,1000000188,HOSPITAL,BEHAVIORAL,514,442,116,5,19,9,23,155.16,160.67,282.17,7.23,272,25,0.5822,0,CT
2021-07-08,1000000189,ASC,ICU,680,654,27,148,13,7,5,25.83,1448.51,398.47,4.19,285,21,0.2183,0,NM
2021-07-09,1000000190,LTACH,BEHAVIORAL,608,496,72,100,11,10,12,167.15,1166.52,622.23,2.62,322,22,0.2674,0,RI
2021-07-10,1000000191,HOSPITAL,PEDS,740,639,67,145,35,5,16,98.63,1253.24,388.76,5.07,306,40,0.3614,0,TX
2021-07-11,1000000192,LTACH,ICU,163,99,9,4,5,9,15,212.0,1148.35,144.53,7.99,7,52,0.1364,1,MS
2021-07-12,1000000193,RHC,OB,806,734,88,35,42,5,18,146.44,509.99,504.69,7.82,356,59,0.3664,0,SC
2021-07-13,1000000194,SNF,MED_SURG,932,680,111,153,10,9,2,14.04,1729.71,471.18,9.71,14,4,0.1929,0,ID
2021-07-14,1000000195,RHC,MED_SURG,929,718,68,128,38,4,4,160.74,1894.83,140.71,5.73,156,20,0.5042,0,AK
2021-07-15,1000000196,SNF,ONC,280,210,67,45,38,17,12,53.93,628.48,232.3,5.14,289,43,0.7306,0,AL
2021-07-16,1000000197,ASC,MED_SURG,744,698,95,79,38,15,18,70.61,458.98,548.42,6.45,252,77,0.6922,0,AZ
2021-07-17,1000000198,HOSPITAL,ONC,811,622,17,64,41,11,15,205.79,1394.53,11.77,7.22,284,35,0.1709,0,OH
2021-07-18,1000000199,RHC,OB,205,203,55,66,5,13,27,19.28,1619.83,448.1,4.3,154,89,0.918,0,PA
2021-07-19,1000000200,RHC,CARD,716,435,82,34,4,8,15,210.56,317.28,182.96,2.83,344,8,0.3777,0,MI
2021-07-20,1000000201,RHC,OB,553,369,113,53,44,15,13,185.38,1750.59,38.29,9.87,183,66,0.2437,1,ME
