care_capacity_snapshot_date,care_capacity_facility_npi,care_capacity_facility_type_code,care_capacity_service_line_code,care_capacity_licensed_beds_count,care_capacity_staffed_beds_count,care_capacity_icu_beds_count,care_capacity_ed_bays_count,care_capacity_operating_rooms_count,care_capacity_imaging_units_mri,care_capacity_imaging_units_ct,care_capacity_primary_care_fte,care_capacity_nurse_fte,care_capacity_specialist_fte,care_capacity_patient_to_nurse_ratio,care_capacity_avg_wait_time_minutes,care_capacity_appointment_availability_days,care_capacity_closure_risk_score,care_capacity_rural_critical_access_flag,care_capacity_licensure_state_code
2022-07-28,FAC-26303461684,PHC,Trauma,1516,1474,99,11,28,1,8,62.38,1415.27,264.86,6.3,27,61,5.27,N,IN-DL
2022-10-20,FAC-88348529407,MedicalCollege,Dialysis,687,467,94,78,34,7,5,99.22,371.42,188.02,3.41,115,22,79.11,N,IN-BR
2025-10-14,FAC-81922452394,CHC,Dialysis,253,168,17,4,31,2,1,189.42,1724.52,318.16,5.67,22,10,87.38,N,IN-LA
2025-09-28,FAC-64203745742,Clinic,Trauma,1611,1538,75,62,24,5,5,206.48,954.2,275.36,9.0,100,12,61.44,N,IN-ML
2023-05-10,FAC-47964148651,PHC,Trauma,542,395,48,51,6,4,9,6.04,1046.09,136.05,3.64,237,30,1.33,Y,IN-PB
2023-05-30,FAC-40264987599,PrivateHospital,Oncology,592,467,47,66,17,2,1,105.31,675.63,357.7,12.0,213,42,53.55,N,IN-ML
2021-12-07,FAC-10711409511,CHC,Trauma,544,354,65,17,5,1,7,192.09,1346.13,24.36,1.82,162,1,26.08,N,IN-ML
2024-11-19,FAC-63179806876,CHC,Medicine,1323,1292,135,36,1,3,4,145.49,1427.13,408.76,9.89,188,54,98.71,Y,IN-TR
2025-05-22,FAC-60799796338,DiagnosticCenter,Orthopedics,936,834,154,53,2,6,8,42.3,911.93,336.61,15.0,28,75,74.9,Y,IN-UK
2025-07-05,FAC-92406555840,PHC,Orthopedics,326,121,53,27,12,2,6,60.35,1151.56,100.48,3.79,239,30,72.45,N,IN-PY
2022-07-15,FAC-20759689788,DiagnosticCenter,Pediatrics,743,699,59,27,1,7,0,149.81,666.52,303.45,12.0,53,26,36.77,Y,IN-CH
2023-04-17,FAC-64700028243,MedicalCollege,Orthopedics,1356,1328,213,66,9,3,1,60.89,92.68,34.75,3.0,96,64,31.61,Y,IN-MH
2024-03-12,FAC-90469381983,PHC,Cardiology,1282,1154,177,61,19,6,5,85.38,576.07,102.44,3.18,141,51,81.51,Y,IN-RJ
2024-06-15,FAC-31848811306,DiagnosticCenter,Dialysis,147,15,20,73,26,4,1,73.49,604.42,301.22,13.73,45,70,58.64,N,IN-PB
2021-03-10,FAC-98665213597,MedicalCollege,Trauma,955,789,116,74,4,0,0,4.46,2159.34,211.04,10.19,210,71,36.73,Y,IN-SK
2024-04-12,FAC-96629254236,PHC,Medicine,1510,1455,102,35,28,2,2,174.16,555.32,49.97,6.47,190,78,99.76,N,IN-JK
2022-10-27,FAC-36871599107,MedicalCollege,Surgery,485,406,34,73,28,4,6,212.08,1114.0,167.87,10.65,150,18,92.53,Y,IN-TS
2023-07-29,FAC-81958704684,PHC,Dialysis,802,648,85,48,28,2,7,59.15,2443.63,388.71,9.34,164,80,92.95,Y,IN-BR
2021-08-03,FAC-67815848827,DistrictHospital,Trauma,1716,1492,254,46,5,2,10,108.63,989.08,387.84,14.62,56,19,49.93,Y,IN-TR
2023-03-09,FAC-15910776569,MedicalCollege,Pediatrics,1004,810,31,65,0,4,2,67.21,115.95,308.89,1.85,64,20,86.44,Y,IN-WB
2021-12-23,FAC-68621477790,DistrictHospital,Trauma,1752,1567,314,34,29,2,5,95.54,796.85,147.82,8.11,120,34,83.75,Y,IN-MP
2023-09-01,FAC-13976385232,DistrictHospital,Surgery,638,616,106,67,14,6,4,20.98,467.51,315.91,9.7,86,39,13.43,Y,IN-MN
2022-06-04,FAC-41682267298,MedicalCollege,Orthopedics,1540,1414,88,10,15,4,11,187.32,432.01,113.22,10.16,163,27,82.42,Y,IN-GJ
2023-11-13,FAC-68886850960,MedicalCollege,Surgery,656,427,47,45,26,0,3,119.35,887.91,11.96,2.54,225,14,58.49,N,IN-UP
2024-10-01,FAC-28843501154,MedicalCollege,Pediatrics,352,268,19,75,5,2,5,74.31,730.04,294.26,3.19,62,31,73.75,Y,IN-JH
2021-06-26,FAC-72977774723,PHC,Surgery,811,609,124,47,16,6,2,120.86,2169.54,152.73,7.01,231,50,32.57,Y,IN-KA
2022-07-16,FAC-35859459173,CHC,Orthopedics,1419,1327,93,21,15,5,1,132.87,1703.59,55.44,7.81,12,9,36.49,N,IN-MZ
2023-05-07,FAC-51434508248,PHC,Oncology,1665,1621,188,6,32,7,3,181.05,179.79,10.69,11.25,51,20,31.4,N,IN-SK
2024-09-13,FAC-94960601191,PHC,Cardiology,293,192,21,70,5,3,2,15.56,2235.46,356.44,11.08,107,42,75.16,N,IN-BR
2023-06-18,FAC-89055546240,MedicalCollege,Oncology,901,708,160,67,13,5,10,164.07,758.45,90.52,8.0,79,8,97.84,Y,IN-LA
2022-07-17,FAC-69581410250,PHC,Dialysis,656,450,94,63,0,4,6,137.78,2168.04,374.31,11.7,37,44,70.79,N,IN-LD
2021-05-24,FAC-19335035225,PrivateHospital,Trauma,359,277,40,9,27,2,6,208.4,701.22,372.63,8.39,92,5,92.45,Y,IN-PB
2024-01-17,FAC-64411153652,PHC,Dialysis,870,790,25,41,11,4,5,92.04,133.58,116.15,9.66,161,28,6.28,Y,IN-AN
2023-05-10,FAC-26344750005,PHC,Cardiology,1746,1643,209,39,34,1,6,137.98,1010.28,134.11,3.5,16,67,60.95,Y,IN-ML
2022-05-29,FAC-12567067091,PrivateHospital,Orthopedics,1563,1466,79,0,33,4,5,2.93,1079.05,140.77,14.52,32,48,46.24,Y,IN-PY
2023-06-10,FAC-55092393040,CHC,Oncology,49,1,5,60,10,3,3,211.86,154.75,71.1,11.35,211,80,51.32,Y,IN-RJ
2024-05-15,FAC-44132766763,Clinic,Orthopedics,1508,1507,89,33,5,3,11,218.95,1440.41,265.5,14.93,217,66,85.19,Y,IN-AN
2024-10-20,FAC-71793741070,PrivateHospital,Oncology,472,272,16,54,23,5,5,178.99,2054.42,201.69,6.67,173,19,44.12,N,IN-HP
2021-02-10,FAC-56819322902,PrivateHospital,Dialysis,1427,1315,49,71,27,6,3,152.4,355.66,266.31,13.54,40,64,60.31,Y,IN-BR
2024-05-05,FAC-72610361281,MedicalCollege,Trauma,478,451,65,67,24,1,10,51.04,1212.87,85.71,2.15,6,26,3.33,Y,IN-PB
2021-01-29,FAC-98297539982,MedicalCollege,Oncology,897,718,79,41,28,5,2,166.7,72.89,312.81,2.48,8,44,65.82,Y,IN-AP
2025-03-22,FAC-19533810570,CHC,ObGyn,1341,1204,222,40,32,5,3,157.02,1403.43,262.76,2.73,108,83,24.69,Y,IN-LD
2022-11-23,FAC-73301878813,PHC,Dialysis,663,518,97,8,28,5,2,44.67,56.56,133.54,5.96,71,75,65.29,Y,IN-SK
2024-11-06,FAC-67512297820,PrivateHospital,ObGyn,931,711,74,41,14,0,5,6.91,1900.63,128.53,12.48,79,43,98.77,Y,IN-HR
2024-11-19,FAC-46563228010,DiagnosticCenter,Cardiology,1022,917,82,48,13,3,10,140.23,1777.67,391.56,7.92,49,50,92.38,Y,IN-LA
2023-03-23,FAC-15924721598,DiagnosticCenter,Medicine,191,10,30,62,2,6,9,52.14,1328.86,284.04,7.2,86,79,97.89,N,IN-LA
2025-01-18,FAC-72911789649,Clinic,Pediatrics,1441,1256,200,9,32,4,4,201.07,2473.03,210.23,11.39,146,85,79.88,N,IN-TR
2021-01-05,FAC-59406914285,PHC,Cardiology,1761,1604,216,72,16,1,3,9.11,1159.11,249.57,5.48,121,34,64.58,Y,IN-MN
2023-11-14,FAC-94680012832,PHC,Surgery,1657,1455,70,0,26,0,8,141.99,478.09,168.64,6.93,230,27,59.0,Y,IN-SK
2022-01-26,FAC-23013193181,DistrictHospital,Pediatrics,742,494,131,17,18,2,3,111.47,907.43,116.06,8.63,50,44,54.64,N,IN-NL
2023-08-18,FAC-90359665986,PHC,ObGyn,1779,1690,244,50,26,4,5,91.88,1932.46,373.58,7.29,224,42,55.85,N,IN-WB
2021-07-07,FAC-77440444003,CHC,Medicine,964,799,55,68,23,6,9,70.6,180.51,335.35,7.49,98,8,7.53,Y,IN-MH
2022-11-25,FAC-10872839961,DiagnosticCenter,Trauma,1198,1156,201,34,26,2,1,29.0,693.62,353.38,10.96,5,62,98.0,Y,IN-LA
2021-06-15,FAC-73435328568,Clinic,Surgery,1349,1141,90,56,17,2,6,41.43,2463.67,91.25,10.28,69,44,62.61,N,IN-KL
2023-11-16,FAC-86594874838,PHC,Cardiology,1497,1489,137,37,30,7,8,64.53,1190.84,367.71,3.27,225,56,90.9,N,IN-AS
2022-12-01,FAC-61200673870,DistrictHospital,Medicine,216,204,37,6,29,6,10,205.27,2287.6,226.67,7.73,150,1,12.99,N,IN-KL
2025-01-01,FAC-46446227481,CHC,Cardiology,460,352,10,54,0,7,0,21.01,2499.01,331.68,3.5,94,59,99.25,Y,IN-BR
2024-05-17,FAC-29980629825,Clinic,Oncology,1100,864,28,1,0,6,1,154.79,2199.75,306.51,5.67,225,23,48.64,N,IN-UP
2022-04-28,FAC-36158300394,DistrictHospital,Medicine,620,379,34,0,3,6,8,124.66,1023.01,17.6,13.01,194,54,50.72,N,IN-AR
2021-03-03,FAC-42178928603,PHC,Trauma,658,587,52,70,17,6,2,102.02,50.03,228.93,9.29,145,28,77.84,Y,IN-LA
2021-12-16,FAC-28920736502,CHC,ObGyn,1564,1418,60,66,20,1,4,185.94,540.41,300.15,14.68,137,8,16.84,N,IN-WB
2022-02-20,FAC-83615034186,PHC,Pediatrics,1739,1576,136,35,11,6,5,9.95,927.49,52.8,4.95,89,51,48.94,Y,IN-JH
2022-09-19,FAC-79198659545,CHC,Oncology,326,249,27,36,30,7,6,67.21,2461.25,196.31,7.98,79,84,39.01,N,IN-LA
2023-03-08,FAC-29905162752,MedicalCollege,Oncology,479,284,77,75,6,0,1,182.64,1773.91,168.75,13.26,83,68,69.83,Y,IN-TN
2023-03-16,FAC-86610105091,PHC,Oncology,1729,1557,219,74,26,5,7,51.32,559.64,306.97,8.29,204,79,6.04,N,IN-MZ
2025-09-15,FAC-33835881004,DiagnosticCenter,Surgery,608,574,50,45,19,6,8,4.89,1428.78,348.46,1.29,230,72,27.26,Y,IN-AP
2021-08-12,FAC-97378147655,Clinic,Oncology,495,453,79,32,9,7,4,53.32,1483.0,249.66,7.82,151,69,24.14,N,IN-PB
2022-02-23,FAC-96680503932,MedicalCollege,Surgery,392,148,62,53,21,2,2,135.02,1484.8,249.27,13.45,236,38,29.92,N,IN-AS
2025-03-12,FAC-68891801132,PrivateHospital,Orthopedics,874,773,118,72,11,3,2,180.94,373.05,84.66,3.77,207,68,72.72,N,IN-MZ
2025-08-28,FAC-75111157184,PrivateHospital,Dialysis,80,45,3,45,23,3,9,165.83,1108.57,15.17,9.25,229,53,34.21,Y,IN-MN
2023-12-16,FAC-88138028069,Clinic,ObGyn,1743,1675,225,26,4,6,1,107.3,2277.27,44.55,6.74,29,13,60.92,Y,IN-CH
2021-06-23,FAC-45859568567,CHC,Trauma,865,774,120,41,21,5,11,56.93,1426.06,14.74,11.19,13,44,14.9,Y,IN-AN
2022-01-02,FAC-14348006566,DiagnosticCenter,Trauma,1020,956,52,77,25,7,11,197.91,683.22,418.95,6.15,127,52,37.74,Y,IN-MP
2022-03-29,FAC-60821950518,DiagnosticCenter,ObGyn,904,831,36,60,28,3,0,125.0,1236.0,344.94,12.39,146,54,34.54,Y,IN-NL
2025-11-24,FAC-33844709664,DiagnosticCenter,Orthopedics,1672,1596,288,63,34,2,5,16.12,1889.85,364.67,1.88,8,20,17.89,N,IN-TR
2022-10-06,FAC-91031121845,DistrictHospital,Surgery,1075,829,159,19,19,2,4,128.88,2110.96,63.21,5.92,230,29,91.55,N,IN-DL
2021-02-15,FAC-34747549697,CHC,Oncology,438,396,37,54,3,3,5,6.95,1656.1,358.15,7.45,136,77,53.05,N,IN-NL
2024-01-16,FAC-44030099109,DiagnosticCenter,Trauma,350,235,46,13,29,3,0,202.36,1888.5,162.65,2.88,192,39,12.86,N,IN-LD
2024-11-26,FAC-91660567219,DistrictHospital,Surgery,175,133,23,61,6,5,4,90.65,486.24,181.54,14.45,105,31,99.24,N,IN-MN
2025-10-29,FAC-19252240572,DistrictHospital,Surgery,71,-96,8,65,9,5,1,6.39,253.89,35.05,1.11,38,8,56.83,Y,IN-GA
2025-04-19,FAC-66394718596,DiagnosticCenter,Surgery,853,711,106,29,31,7,2,43.07,1609.98,184.28,14.49,81,75,63.22,N,IN-UK
2023-06-08,FAC-36584259969,PHC,Orthopedics,550,316,48,73,4,3,8,53.65,1379.62,61.09,5.32,177,74,55.8,Y,IN-NL
2021-02-01,FAC-68086385799,Clinic,Pediatrics,1058,813,167,47,18,0,3,93.15,402.66,159.8,9.42,152,1,13.58,Y,IN-CH
2025-07-10,FAC-41509171303,DiagnosticCenter,Surgery,378,204,33,16,20,0,10,151.91,1422.46,349.14,14.09,171,34,35.56,Y,IN-DL
2022-10-10,FAC-27439845640,CHC,Orthopedics,357,333,7,78,32,2,9,170.4,1122.44,370.13,8.48,137,82,19.01,Y,IN-UP
2023-03-12,FAC-95722320499,PHC,Dialysis,997,807,110,11,10,0,3,140.73,1015.49,13.42,6.65,67,9,94.72,N,IN-ML
2025-02-25,FAC-77735689405,DiagnosticCenter,ObGyn,67,-128,2,14,25,5,0,120.62,2027.2,395.06,4.86,125,41,60.49,Y,IN-ML
2022-12-02,FAC-76873529260,PrivateHospital,Surgery,825,780,80,69,5,5,9,169.04,684.97,156.42,12.11,42,45,65.99,Y,IN-MP
2025-05-02,FAC-56304016208,PHC,Dialysis,736,579,31,75,23,5,4,183.46,533.49,304.28,12.36,88,57,70.43,Y,IN-TR
2023-05-22,FAC-10906937837,PrivateHospital,Oncology,68,-35,7,67,26,5,0,163.4,1319.11,396.44,3.94,62,68,18.4,N,IN-DH
2024-01-08,FAC-95956510278,DistrictHospital,Dialysis,910,887,102,50,9,7,7,185.44,1470.19,377.45,13.68,30,77,38.02,N,IN-NL
2022-11-28,FAC-32776818460,DiagnosticCenter,Pediatrics,1013,969,84,46,32,4,9,21.31,2163.97,216.33,8.66,140,14,18.57,Y,IN-NL
2025-12-08,FAC-10556949522,CHC,Cardiology,586,367,17,32,5,0,0,186.82,961.1,118.07,14.09,149,17,82.97,N,IN-MZ
2022-10-06,FAC-80437126398,PHC,Cardiology,750,690,64,76,24,6,6,10.92,1614.48,389.18,6.81,136,31,25.37,Y,IN-JH
2022-08-04,FAC-34583722507,PrivateHospital,Trauma,268,200,22,50,20,4,11,38.2,2454.96,273.18,5.74,98,20,93.65,N,IN-WB
2023-03-30,FAC-77115547495,PHC,Oncology,297,62,38,10,16,4,2,2.79,616.99,0.97,0.66,17,85,93.59,N,IN-DH
2024-06-11,FAC-40361600811,CHC,Medicine,1688,1677,107,23,13,3,8,82.3,367.24,347.35,1.28,51,11,27.66,Y,IN-ML
2023-01-14,FAC-57393134738,PHC,ObGyn,1474,1394,138,4,32,7,6,179.29,1848.21,92.66,13.72,206,38,41.52,Y,IN-MP
2024-03-24,FAC-28983126043,MedicalCollege,ObGyn,591,569,44,56,15,0,6,41.87,621.81,304.69,11.9,219,32,75.67,N,IN-AR
2021-02-17,FAC-15056231423,PHC,Dialysis,1435,1245,80,8,21,5,1,90.0,1216.85,19.05,11.34,188,37,21.91,N,IN-GA
2023-06-27,FAC-70792853714,DiagnosticCenter,Orthopedics,839,602,29,41,9,7,6,85.3,1973.01,328.0,5.8,162,28,66.28,Y,IN-OD
2021-07-02,FAC-55920138646,Clinic,Dialysis,1466,1237,72,34,27,5,1,176.63,948.52,4.43,5.81,82,85,78.11,N,IN-MP
2025-07-04,FAC-82851666392,Clinic,Orthopedics,1171,998,182,70,11,4,0,81.12,1658.44,353.77,13.57,15,61,91.2,N,IN-RJ
2021-01-06,FAC-82609195790,DiagnosticCenter,Surgery,86,-114,10,48,10,4,4,103.77,1575.62,82.76,3.1,191,6,67.86,N,IN-MN
2024-07-16,FAC-58053359582,DiagnosticCenter,Surgery,437,358,42,58,7,0,8,102.71,1156.31,69.97,6.29,160,55,15.55,Y,IN-GA
2021-08-25,FAC-22923171605,PHC,Trauma,301,65,42,22,7,0,1,106.12,632.38,33.95,0.64,64,3,49.2,Y,IN-DH
2022-02-05,FAC-94907798968,PrivateHospital,Orthopedics,954,806,165,29,15,4,5,55.27,1696.76,99.38,10.85,28,64,1.49,N,IN-JK
2025-02-21,FAC-69017535141,CHC,Surgery,1728,1550,216,52,3,2,8,117.21,1440.82,264.4,14.1,176,15,11.87,N,IN-DL
2021-05-20,FAC-96067345178,PrivateHospital,Oncology,1444,1348,46,37,26,6,11,148.49,291.26,244.52,9.39,58,16,21.95,Y,IN-JH
2025-07-17,FAC-33418622631,Clinic,Oncology,240,206,28,52,31,5,3,41.66,808.81,367.39,12.71,68,48,16.14,N,IN-HP
2025-12-15,FAC-40702133646,MedicalCollege,ObGyn,1736,1732,56,31,13,7,7,157.95,259.67,414.77,7.3,163,40,39.26,Y,IN-TN
2023-09-15,FAC-75048651130,DistrictHospital,Surgery,621,454,58,76,26,2,4,25.34,715.09,175.86,3.84,30,1,50.45,N,IN-MZ
2022-10-04,FAC-29819406076,CHC,Cardiology,549,427,93,14,9,6,11,4.37,2209.91,255.78,11.42,190,28,23.62,Y,IN-HR
2024-08-26,FAC-66501056072,CHC,Trauma,384,353,12,12,4,1,9,146.98,53.87,12.77,4.9,225,10,67.55,Y,IN-TN
2023-05-14,FAC-93077910372,DistrictHospital,Trauma,565,449,30,38,33,3,2,70.17,2372.37,156.2,5.1,132,19,24.72,N,IN-AP
2024-02-28,FAC-82425850670,CHC,Pediatrics,1484,1333,30,44,9,2,5,134.5,1653.01,23.07,2.97,68,57,55.6,N,IN-HR
2024-05-26,FAC-17965722143,DiagnosticCenter,Oncology,1521,1275,77,71,33,1,1,95.66,2464.49,154.59,11.37,113,19,26.51,Y,IN-GA
2025-11-11,FAC-96012020435,PrivateHospital,Orthopedics,1605,1381,191,60,4,2,1,191.81,867.11,246.3,2.62,218,85,35.02,N,IN-BR
2021-08-13,FAC-62101760915,MedicalCollege,Pediatrics,317,263,40,65,25,3,5,150.68,9.92,86.4,1.13,9,74,7.38,Y,IN-GJ
2021-02-21,FAC-80535728255,Clinic,Trauma,727,546,37,24,16,3,7,99.46,1633.61,146.25,14.82,57,0,15.93,N,IN-LD
2025-04-14,FAC-28309255402,DiagnosticCenter,Surgery,1284,1092,184,55,31,7,10,105.35,2267.68,320.63,4.26,43,27,52.64,N,IN-UP
2021-03-11,FAC-44018042760,DistrictHospital,Oncology,1192,1094,194,72,32,2,7,217.87,1564.74,408.1,7.08,88,38,63.35,N,IN-KL
2024-06-13,FAC-87870827683,Clinic,Oncology,1275,1144,201,7,12,4,2,64.42,718.59,306.79,9.49,125,77,18.72,Y,IN-KA
2021-07-05,FAC-39696226393,DiagnosticCenter,Trauma,309,248,54,27,28,1,0,23.87,1846.5,35.75,11.29,55,79,9.04,N,IN-UK
2022-09-26,FAC-31885059140,MedicalCollege,Surgery,214,78,24,15,22,1,0,61.29,1287.46,224.02,2.79,200,20,25.0,Y,IN-DH
2024-08-10,FAC-58698969107,PrivateHospital,Pediatrics,259,227,15,60,27,1,6,201.96,1070.36,31.07,2.04,232,76,22.52,N,IN-TR
2022-09-18,FAC-22546910393,DiagnosticCenter,ObGyn,104,-131,6,66,31,4,3,188.67,2040.68,271.25,5.82,19,79,31.42,Y,IN-SK
2022-05-10,FAC-80216931761,PHC,Medicine,1715,1557,151,23,11,7,3,0.66,281.42,363.45,8.16,10,6,34.07,Y,IN-AP
2023-11-30,FAC-17521747055,DiagnosticCenter,Medicine,674,447,75,53,1,6,1,56.51,1137.03,272.96,11.91,210,20,55.32,Y,IN-CG
2022-04-24,FAC-13866713566,DistrictHospital,Trauma,954,733,41,0,20,0,6,86.63,2105.03,401.96,12.83,214,10,49.56,Y,IN-WB
2024-02-03,FAC-25647918524,PHC,Surgery,885,798,37,71,16,7,4,83.11,1668.78,115.67,3.74,81,7,11.13,N,IN-MH
2021-03-29,FAC-34352534145,DistrictHospital,Orthopedics,73,-154,2,25,16,5,10,178.16,2464.98,162.08,6.61,160,28,25.86,Y,IN-PY
2024-08-01,FAC-46728003217,Clinic,Surgery,1107,1001,154,69,25,7,9,65.48,1757.13,298.7,9.9,44,22,50.67,N,IN-MZ
2025-07-13,FAC-27823985165,Clinic,Trauma,498,396,48,18,25,1,1,2.96,1422.45,52.87,12.27,65,44,66.88,N,IN-CG
2025-12-19,FAC-87704544788,DiagnosticCenter,Cardiology,610,513,43,18,22,1,6,65.41,392.71,118.98,13.23,194,72,5.32,Y,IN-PB
2024-12-29,FAC-68586915893,MedicalCollege,Oncology,1782,1580,141,7,33,7,8,183.85,2198.47,159.0,4.62,78,57,51.56,N,IN-PY
2023-09-23,FAC-11118398586,CHC,Trauma,129,120,14,44,17,0,5,66.09,1752.11,336.91,10.33,104,53,86.12,N,IN-SK
2021-08-27,FAC-83051514787,PrivateHospital,Trauma,593,503,16,27,30,0,9,180.2,2299.56,38.1,11.88,32,19,82.7,N,IN-TS
2022-04-03,FAC-76354992997,MedicalCollege,Orthopedics,1045,990,141,70,34,5,3,176.18,537.66,311.96,11.3,205,32,41.84,Y,IN-PB
2022-01-09,FAC-91333629555,PrivateHospital,Cardiology,149,-99,13,38,3,1,7,155.12,1850.48,349.72,2.9,13,23,21.88,N,IN-MN
2025-03-18,FAC-81007557120,DistrictHospital,Medicine,611,389,66,63,11,2,8,25.5,2161.39,103.4,9.43,203,83,6.39,Y,IN-GJ
2025-12-01,FAC-21515414817,CHC,Oncology,1310,1065,198,25,19,0,3,169.06,1421.04,124.02,9.78,207,87,99.56,Y,IN-LD
2023-07-26,FAC-26059951911,PHC,ObGyn,1212,992,142,58,13,0,2,193.91,376.9,347.4,7.88,181,43,59.46,Y,IN-AR
2025-06-13,FAC-98393799500,CHC,ObGyn,480,375,67,13,6,2,3,157.08,2402.34,296.3,3.22,46,52,18.02,N,IN-TN
2024-07-06,FAC-60613375181,Clinic,Pediatrics,911,805,101,78,18,1,4,198.06,1329.42,287.63,13.88,105,76,80.24,N,IN-SK
2023-04-07,FAC-75062763211,MedicalCollege,Surgery,346,116,19,65,17,3,2,44.07,693.55,258.95,3.3,137,54,80.93,N,IN-PB
2023-03-28,FAC-78876235082,DistrictHospital,Orthopedics,134,-31,17,30,9,4,9,175.61,1517.7,9.42,8.85,192,77,92.16,N,IN-HR
2021-11-28,FAC-16863861983,DiagnosticCenter,Pediatrics,869,800,85,46,24,2,7,123.06,725.85,315.07,13.45,121,18,65.88,Y,IN-GJ
2023-11-30,FAC-91457905418,PHC,Oncology,211,29,21,17,17,4,2,133.24,543.39,335.15,1.21,149,27,95.92,N,IN-DL
2023-07-27,FAC-21041820412,CHC,Cardiology,162,75,7,52,26,0,9,18.52,1044.37,194.83,2.81,62,55,15.11,N,IN-AR
2022-10-09,FAC-16793906917,PHC,Pediatrics,90,-30,12,68,2,5,0,202.24,1648.37,76.67,10.09,160,21,74.25,Y,IN-TN
2024-09-23,FAC-11601159410,PrivateHospital,Oncology,1010,810,147,14,31,5,11,33.7,85.34,89.57,14.21,160,41,10.27,Y,IN-WB
2025-01-17,FAC-97962841775,MedicalCollege,ObGyn,1564,1495,52,14,21,7,4,13.92,2480.37,281.11,10.97,82,51,77.06,Y,IN-GJ
2024-05-02,FAC-51814449094,PrivateHospital,Orthopedics,111,109,17,6,22,0,0,107.48,2240.35,297.88,3.89,144,34,84.19,N,IN-KA
2021-12-24,FAC-67807560618,DiagnosticCenter,Medicine,929,893,30,5,31,0,1,170.45,565.86,399.15,3.9,27,54,66.1,Y,IN-AS
2021-06-30,FAC-61087870121,MedicalCollege,Trauma,500,276,80,20,5,5,1,150.25,1098.07,260.02,2.79,193,3,78.17,Y,IN-HR
2021-08-29,FAC-20739948404,CHC,Surgery,100,-97,10,79,21,4,8,195.15,737.67,189.75,8.41,121,12,77.67,N,IN-TN
2021-08-05,FAC-22684590277,CHC,Trauma,1221,1174,115,23,30,6,0,13.92,1228.88,186.26,8.28,95,42,51.44,N,IN-DL
2024-12-10,FAC-36922505116,DiagnosticCenter,Medicine,679,457,17,61,32,6,5,209.51,939.68,191.41,5.97,87,89,12.35,N,IN-RJ
2021-12-25,FAC-70159602386,DiagnosticCenter,Medicine,1532,1398,222,46,15,5,2,164.07,671.84,363.98,2.18,89,33,30.82,N,IN-GA
2021-11-20,FAC-22971641697,PrivateHospital,Medicine,1263,1101,55,16,16,5,11,131.03,856.59,203.71,11.42,109,57,68.24,Y,IN-MP
2021-01-04,FAC-87400901748,Clinic,Trauma,348,210,46,71,2,2,6,127.01,2363.94,224.98,6.4,162,22,5.43,N,IN-PB
2023-04-26,FAC-74029397582,PHC,Orthopedics,1666,1560,209,70,11,1,0,64.27,1256.85,279.44,4.68,205,32,12.17,Y,IN-AR
