qol_social_survey_cycle_id,qol_social_neighborhood_cluster_id,qol_social_neighborliness_score,qol_social_belonging_score,qol_social_participation_local_events_rate,qol_social_mutual_aid_participation_rate,qol_social_intergroup_contact_score,qol_social_civic_pride_score,qol_social_shared_norms_score,qol_social_conflict_resolution_score,qol_social_online_community_engagement_rate,qol_social_hate_incident_awareness_score,qol_social_trust_local_institutions_score,qol_social_youth_engagement_score,qol_social_senior_engagement_score,qol_social_newcomer_integration_score,qol_social_language_inclusion_score,qol_social_public_space_comfort_score,qol_social_community_problem_solving_score,qol_social_survey_sampling_weight
CYC000000048,NBH000164,2.1577,0.571,0.9367,0.7597,8.667,2.212,1.197,6.453,0.7062,9.33,4.676,3.868,6.451,8.969,8.464,4.932,9.758,1.6873
CYC000000049,NBH000159,0.8508,8.602,0.9658,0.6285,3.009,4.243,0.515,9.036,0.929,5.65,3.447,2.607,9.511,2.975,1.071,5.433,6.714,4.8244
CYC000000050,NBH000035,7.1629,8.26,0.5956,0.41,0.458,3.915,1.594,7.95,0.0637,7.014,4.966,8.13,6.406,0.282,2.161,1.59,7.924,3.8962
CYC000000051,NBH000062,2.516,4.386,0.1608,0.0086,3.444,0.4,4.303,3.129,0.2068,4.251,5.143,1.997,8.402,3.982,9.522,4.617,5.876,0.2045
CYC000000052,NBH000010,3.1041,4.585,0.6378,0.8828,5.123,5.38,2.327,1.528,0.1354,0.521,3.102,3.692,6.719,5.023,2.326,6.89,7.742,1.3003
CYC000000053,NBH000002,2.3972,5.533,0.0061,0.201,6.927,9.22,3.724,3.721,0.9824,5.024,6.626,2.83,6.669,2.871,3.29,6.197,7.755,4.364
CYC000000054,NBH000104,7.6463,6.857,0.9809,0.0088,1.634,7.69,6.623,7.146,0.58,1.043,4.788,7.114,3.546,8.911,8.709,6.417,7.253,0.7037
CYC000000055,NBH000101,8.3624,7.85,0.1077,0.484,0.805,5.363,1.417,9.886,0.9268,7.606,8.902,1.216,2.936,3.908,7.698,8.065,3.453,2.7552
CYC000000056,NBH000039,7.5255,3.493,0.3413,0.0407,2.63,1.521,8.098,2.818,0.3468,9.895,7.89,2.756,3.031,1.417,3.759,8.051,8.094,2.1663
CYC000000057,NBH000142,0.8886,7.066,0.2488,0.1048,1.59,2.951,0.607,1.345,0.9012,0.94,2.473,4.366,5.252,5.599,4.151,9.077,6.909,3.2581
CYC000000058,NBH000052,5.7167,0.597,0.0788,0.2417,3.009,7.336,6.903,8.817,0.4711,7.42,1.997,2.253,0.881,5.203,6.689,0.577,8.15,1.1978
CYC000000059,NBH000153,6.4348,7.186,0.4845,0.7809,0.511,1.585,8.383,0.904,0.0838,5.88,7.889,6.37,6.629,6.893,8.936,5.903,8.806,3.1351
CYC000000060,NBH000166,5.6809,0.361,0.9137,0.7249,6.784,4.153,9.417,3.639,0.149,0.225,7.78,9.659,3.984,6.133,8.958,1.039,1.088,2.1503
CYC000000061,NBH000054,7.998,9.847,0.9757,0.1975,8.374,3.294,1.99,1.7,0.553,3.713,9.895,4.532,4.699,5.907,2.905,2.267,6.361,0.223
CYC000000062,NBH000144,3.6691,4.459,0.7802,0.4846,5.754,3.346,7.247,1.547,0.1333,9.297,7.377,6.166,8.883,4.914,5.124,9.698,8.283,2.7514
CYC000000063,NBH000031,7.3862,9.536,0.4522,0.6669,4.044,9.684,5.163,8.888,0.8613,7.97,8.257,0.122,0.888,8.063,7.697,6.833,1.368,0.4606
CYC000000064,NBH000025,3.7553,6.581,0.1,0.1495,9.129,9.595,2.591,8.893,0.2933,4.355,0.542,7.647,4.043,6.103,6.149,2.774,0.783,3.1993
CYC000000065,NBH000175,7.0534,2.833,0.7058,0.9322,9.647,9.664,9.184,9.275,0.0401,7.069,6.762,5.607,5.258,7.113,4.133,1.694,3.587,0.9438
CYC000000066,NBH000015,1.8495,9.5,0.3067,0.2901,9.401,9.398,2.894,8.835,0.456,3.893,1.167,9.219,2.863,7.331,4.935,3.86,5.492,1.5689
CYC000000067,NBH000225,7.0966,8.823,0.8855,0.7206,8.783,3.163,1.651,0.7,0.0162,4.665,8.748,7.31,9.923,5.572,1.548,8.833,7.058,2.6946
CYC000000068,NBH000224,4.3617,0.302,0.3471,0.9312,3.016,0.326,6.999,6.903,0.2944,7.574,1.479,7.856,8.149,3.958,8.189,0.967,7.917,4.2691
CYC000000069,NBH000196,7.7088,4.395,0.9458,0.7052,3.328,0.555,9.682,8.704,0.3005,4.852,8.419,5.092,3.719,0.586,9.045,8.098,2.159,0.7313
CYC000000070,NBH000134,8.0009,2.511,0.6729,0.3697,4.519,2.68,6.109,9.709,0.5826,6.555,5.025,5.223,7.393,1.691,4.549,4.643,8.085,0.4636
CYC000000071,NBH000231,3.525,3.292,0.6775,0.8463,1.636,7.866,7.423,2.628,0.1491,7.354,3.481,0.702,1.45,5.515,9.578,1.081,3.649,2.9293
CYC000000072,NBH000201,2.5101,9.954,0.8562,0.8119,6.083,2.813,4.56,5.924,0.7577,5.947,7.849,8.195,3.838,2.021,9.805,0.118,0.229,1.7709
CYC000000073,NBH000012,3.2632,4.622,0.9902,0.6923,3.819,4.491,9.244,2.1,0.2092,7.525,1.841,8.114,1.85,9.86,7.57,4.723,2.134,1.5806
CYC000000074,NBH000034,9.6163,8.563,0.3649,0.7897,6.559,9.057,5.039,3.714,0.9464,2.955,1.146,2.823,3.741,7.832,1.019,4.401,8.278,1.9455
CYC000000075,NBH000223,9.8914,2.236,0.6228,0.8959,0.846,4.302,8.774,3.407,0.6974,5.166,3.778,0.136,1.937,3.012,9.651,7.045,6.166,1.5963
CYC000000076,NBH000203,2.3505,2.287,0.522,0.1664,6.469,8.312,0.639,2.666,0.1705,2.884,3.578,7.216,7.801,6.971,8.454,6.541,8.645,2.1292
CYC000000077,NBH000206,4.8786,9.201,0.6966,0.3956,6.911,9.742,3.225,0.593,0.6933,5.783,0.907,4.889,4.986,9.081,6.865,9.999,4.737,0.9147
CYC000000078,NBH000030,4.7397,6.082,0.4499,0.1625,1.582,5.784,8.386,7.59,0.8269,7.504,2.981,8.485,0.573,9.13,4.156,6.246,6.118,0.1565
CYC000000079,NBH000107,8.0318,5.796,0.3298,0.8196,1.929,8.205,1.256,1.519,0.5243,8.662,2.729,7.491,9.409,8.73,5.615,3.988,2.977,2.7438
CYC000000080,NBH000004,4.8149,4.837,0.7195,0.2598,1.249,2.745,0.873,8.965,0.6526,0.258,6.549,0.784,4.823,5.96,2.7,0.062,2.33,3.1742
CYC000000081,NBH000125,0.494,9.434,0.0708,0.5064,6.635,2.574,7.15,1.344,0.4646,8.034,3.274,4.254,8.321,1.49,7.55,6.121,7.045,4.184
CYC000000082,NBH000198,8.9561,4.424,0.6949,0.6142,5.705,6.436,5.254,2.301,0.9485,1.681,1.818,8.105,6.65,3.947,8.115,3.126,3.524,3.2373
CYC000000083,NBH000231,5.1222,9.756,0.814,0.4824,0.745,5.545,9.822,1.153,0.6157,1.688,8.461,4.326,1.337,8.872,3.991,3.113,1.002,1.5842
CYC000000084,NBH000106,5.7103,1.711,0.7761,0.2622,4.301,8.29,4.842,3.932,0.4892,5.67,8.183,0.707,0.564,1.539,0.822,3.569,1.397,0.2068
CYC000000085,NBH000194,1.3624,8.046,0.2545,0.5965,0.939,7.675,2.813,2.177,0.6091,8.112,6.047,1.594,8.89,0.651,6.594,1.465,2.033,2.7455
CYC000000086,NBH000049,6.7365,6.438,0.3541,0.8097,1.765,0.352,3.416,7.407,0.4466,8.822,9.916,7.252,8.465,3.467,9.472,0.058,9.568,1.5032
CYC000000087,NBH000160,7.8006,6.599,0.4079,0.1157,9.03,1.6,3.883,2.177,0.0528,7.074,0.7,8.82,5.619,3.991,0.059,6.014,0.348,2.8281
CYC000000088,NBH000045,9.1287,1.308,0.8262,0.4289,4.596,9.546,0.785,5.063,0.5007,0.9,8.75,0.092,8.055,4.306,6.458,0.381,4.036,1.2294
CYC000000089,NBH000150,8.2478,7.269,0.1782,0.8587,6.623,0.669,2.349,7.528,0.2215,1.176,9.889,3.436,7.706,4.322,1.296,4.628,3.284,4.0163
CYC000000090,NBH000247,9.6839,5.847,0.4519,0.8511,3.565,6.741,2.071,3.153,0.3135,7.601,1.626,0.339,1.079,7.044,4.2,3.108,3.333,2.5238
CYC000000091,NBH000234,1.797,0.417,0.6148,0.1703,9.322,4.183,7.189,8.504,0.5478,9.725,5.783,9.554,1.661,3.503,7.571,4.199,9.527,4.8204
CYC000000092,NBH000075,0.2691,2.682,0.9935,0.3325,0.549,9.281,1.619,2.421,0.2551,8.714,9.285,0.555,2.561,6.598,3.161,0.31,4.705,3.5069
CYC000000093,NBH000039,2.6282,8.035,0.3245,0.9624,1.717,2.676,8.134,0.682,0.7407,9.464,5.739,2.474,1.745,9.789,9.797,8.478,6.035,1.4723
CYC000000094,NBH000055,7.5273,9.913,0.5263,0.8043,9.494,4.794,4.158,1.75,0.6909,1.584,5.101,7.483,0.868,9.212,8.256,9.435,8.42,1.1034
CYC000000095,NBH000104,2.2004,6.63,0.8515,0.0093,1.052,8.311,6.154,7.625,0.1524,3.47,0.806,5.467,6.126,1.93,3.346,1.276,2.686,3.456
CYC000000096,NBH000067,9.2815,6.793,0.5424,0.3425,3.576,4.381,9.586,0.547,0.2069,0.006,0.714,2.706,4.118,6.447,8.306,5.004,9.987,0.3555
CYC000000097,NBH000232,1.9486,2.201,0.2936,0.3543,0.029,0.743,0.392,8.714,0.1743,7.517,5.94,9.083,4.601,5.86,5.907,9.319,1.177,0.9907
CYC000000098,NBH000218,5.6647,0.441,0.1607,0.9175,9.402,8.856,8.199,5.827,0.5187,7.277,4.533,2.138,8.69,6.358,2.288,1.135,7.53,4.4607
CYC000000099,NBH000231,7.5778,0.09,0.4787,0.5874,3.598,9.224,7.363,2.911,0.6707,2.288,8.0,3.417,4.397,6.323,3.09,5.34,1.733,1.1181
CYC000000100,NBH000232,1.1369,2.146,0.2143,0.9736,3.525,5.747,8.41,6.788,0.7428,5.172,1.803,9.656,7.406,7.069,6.014,1.906,4.315,1.4956
CYC000000101,NBH000010,8.051,0.072,0.6903,0.1031,5.403,1.513,5.114,1.553,0.1028,1.014,2.57,4.158,6.595,7.538,8.984,9.669,1.656,1.9206
CYC000000102,NBH000086,1.2631,5.605,0.9608,0.7508,9.446,4.948,2.451,2.237,0.028,1.714,0.089,9.037,5.094,3.234,2.353,7.974,9.204,1.0627
CYC000000103,NBH000149,1.8572,2.69,0.8091,0.277,9.271,8.155,0.348,6.917,0.9928,7.974,4.87,2.218,5.987,9.741,9.265,0.542,0.153,4.2827
CYC000000104,NBH000100,4.2343,2.306,0.5019,0.5263,0.595,4.594,2.961,9.066,0.3031,7.759,7.326,6.221,2.373,0.37,4.066,4.809,0.049,2.8742
CYC000000105,NBH000001,7.3204,9.264,0.11,0.0146,7.82,3.892,3.958,7.093,0.2759,3.566,1.707,1.811,2.431,5.123,7.859,1.675,5.819,0.7315
CYC000000106,NBH000013,0.4005,0.047,0.9093,0.985,9.123,6.814,8.11,4.355,0.2438,2.409,3.572,6.272,7.901,8.017,5.345,3.914,8.575,3.1556
CYC000000107,NBH000162,7.9446,2.278,0.0048,0.3622,4.623,3.495,7.26,5.199,0.5051,6.745,4.719,8.268,9.754,2.722,0.186,4.456,7.886,4.2853
CYC000000108,NBH000040,7.0787,4.587,0.6249,0.4921,3.751,2.551,4.305,8.819,0.6852,9.344,8.838,8.628,4.675,9.602,4.976,4.075,7.011,2.6008
CYC000000109,NBH000126,9.3548,9.714,0.4269,0.8286,0.547,4.707,0.545,8.46,0.4045,3.005,3.254,8.062,1.078,7.641,6.926,9.997,9.898,0.6131
CYC000000110,NBH000185,5.6009,8.35,0.919,0.9428,5.353,6.448,8.193,4.957,0.2553,0.61,4.231,3.439,2.128,3.192,7.866,3.26,0.053,3.7831
CYC000000111,NBH000040,0.056,2.517,0.8344,0.7782,9.117,3.707,8.067,7.023,0.4279,4.301,0.18,4.838,8.971,6.198,3.407,1.207,4.807,3.5022
CYC000000112,NBH000016,0.3301,5.301,0.7755,0.4431,6.882,5.497,1.984,7.73,0.2228,3.901,9.667,1.558,1.86,4.073,7.603,9.563,4.153,1.9055
CYC000000113,NBH000184,0.3482,1.376,0.8165,0.265,4.635,4.679,4.612,1.416,0.2433,6.981,7.277,9.758,5.946,5.654,0.4,1.332,1.39,0.8447
CYC000000114,NBH000119,4.4453,7.616,0.8936,0.8342,6.9,5.185,1.217,4.793,0.2,2.389,6.277,3.547,6.993,7.894,4.846,9.352,2.713,1.4835
CYC000000115,NBH000046,6.7364,5.437,0.5334,0.4342,0.585,6.623,8.858,2.047,0.6163,9.275,4.959,4.379,9.511,7.486,7.997,3.467,9.794,0.2141
CYC000000116,NBH000077,2.4155,4.609,0.8534,0.6418,7.708,9.469,8.111,8.3,0.9124,5.74,2.296,0.9,5.115,1.354,3.331,9.453,1.227,3.961
CYC000000117,NBH000244,7.3156,7.754,0.6111,0.0587,8.519,9.397,9.556,0.966,0.6466,0.037,0.193,0.866,2.739,3.281,0.054,1.935,3.935,0.939
CYC000000118,NBH000059,3.3537,3.258,0.1756,0.1685,4.178,0.232,9.621,2.866,0.8791,6.225,5.86,7.933,7.875,5.786,3.728,4.676,2.216,4.6414
CYC000000119,NBH000115,0.0648,3.59,0.5766,0.9571,6.728,9.305,4.11,4.083,0.8638,1.655,0.586,4.727,5.239,5.7,8.503,7.204,4.642,3.7907
CYC000000120,NBH000110,9.3989,6.75,0.7974,0.402,2.551,8.271,9.479,3.068,0.9657,5.05,1.464,7.538,3.777,7.298,5.591,3.401,1.985,2.1087
CYC000000121,NBH000078,9.209,1.908,0.7923,0.0496,4.502,4.403,6.923,2.474,0.622,9.182,1.891,8.921,4.038,9.122,9.047,8.648,4.846,1.0555
CYC000000122,NBH000074,7.2191,5.89,0.5096,0.6364,7.104,1.658,1.827,8.47,0.8255,6.823,6.552,7.996,9.814,0.156,2.057,7.856,0.488,3.9082
CYC000000123,NBH000077,3.7972,9.29,0.8882,0.063,0.239,6.818,9.799,4.05,0.3759,1.685,5.714,5.432,7.429,5.62,7.461,4.448,2.658,3.6482
CYC000000124,NBH000002,1.3863,1.51,0.6164,0.5016,1.248,0.658,3.31,4.004,0.9253,7.873,4.102,0.372,7.925,2.593,2.842,7.546,2.516,2.4138
CYC000000125,NBH000250,2.9434,6.275,0.4729,0.8433,9.307,0.152,2.567,9.295,0.7671,9.1,0.945,4.176,5.515,7.014,0.574,0.411,1.502,1.9013
CYC000000126,NBH000079,6.3115,1.609,0.8692,0.2097,6.175,0.288,9.515,7.357,0.4995,0.645,2.585,2.414,9.855,2.479,9.519,0.624,8.255,3.7178
CYC000000127,NBH000250,2.3326,8.756,0.0363,0.4199,7.968,2.112,1.53,6.298,0.0783,2.996,3.232,6.666,8.491,7.045,2.951,5.864,4.469,2.4797
CYC000000128,NBH000119,8.4187,2.942,0.2623,0.2248,5.071,2.938,0.623,6.218,0.946,4.214,8.862,4.903,3.085,7.44,8.281,1.931,6.193,1.1276
CYC000000129,NBH000183,8.9958,2.834,0.5229,0.366,3.073,6.414,1.779,6.048,0.5124,4.496,5.15,5.967,4.406,9.694,3.564,6.704,3.065,0.6069
CYC000000130,NBH000068,0.5259,6.391,0.3164,0.9236,0.764,4.396,5.252,8.865,0.0108,7.839,1.618,9.28,6.616,1.345,2.505,6.456,6.634,3.4456
CYC000000131,NBH000131,6.318,6.219,0.3251,0.6178,3.491,2.841,2.803,8.164,0.1406,8.52,9.072,2.148,7.283,8.286,1.989,3.587,3.294,2.4701
CYC000000132,NBH000197,3.9141,2.582,0.7867,0.6141,8.593,6.015,7.92,6.109,0.3091,8.501,1.626,2.942,5.132,9.37,8.194,0.6,6.754,2.0231
CYC000000133,NBH000218,5.8442,6.173,0.1339,0.7969,1.53,4.551,0.914,0.059,0.1329,5.612,2.861,8.283,1.438,1.724,4.806,5.932,8.333,3.8149
CYC000000134,NBH000139,4.0253,5.608,0.0057,0.9708,0.259,6.621,6.289,3.292,0.4043,3.69,6.698,0.824,2.441,0.735,0.839,8.282,5.773,3.5417
CYC000000135,NBH000043,2.8064,7.858,0.2879,0.0003,5.253,8.882,3.718,9.658,0.3726,3.411,0.005,7.362,6.669,9.338,9.461,8.858,8.806,3.3273
CYC000000136,NBH000023,1.6245,8.641,0.0415,0.6996,4.157,5.242,7.573,7.971,0.0215,5.409,8.663,5.548,7.67,0.783,9.879,6.651,5.454,2.7429
CYC000000137,NBH000250,6.6146,2.96,0.275,0.4624,1.339,8.912,2.873,8.75,0.7902,6.065,8.818,1.922,0.182,6.576,7.192,1.694,0.356,1.7502
CYC000000138,NBH000243,0.0567,5.954,0.1937,0.4395,0.077,9.631,9.371,4.932,0.6588,4.939,2.71,0.215,8.318,6.064,6.669,2.864,0.389,1.1425
CYC000000139,NBH000018,5.8138,0.317,0.9264,0.5904,2.449,2.775,6.402,6.708,0.453,2.966,9.942,3.897,9.081,4.205,8.179,0.214,1.416,3.4539
CYC000000140,NBH000034,6.1009,7.569,0.3758,0.086,8.316,1.133,9.321,9.707,0.0222,6.85,7.69,3.297,2.798,1.196,3.759,6.348,6.809,3.6781
CYC000000141,NBH000248,8.391,1.404,0.1105,0.4335,5.527,5.575,2.377,4.056,0.7362,5.984,8.543,8.18,0.118,6.186,5.619,3.769,0.45,3.71
CYC000000142,NBH000159,8.5941,7.773,0.8232,0.0934,8.478,0.438,8.028,4.709,0.9979,5.736,8.642,0.669,4.754,9.011,4.734,7.052,9.863,3.1651
CYC000000143,NBH000213,9.5632,3.296,0.0629,0.9182,5.252,4.689,6.563,5.1,0.6586,2.142,3.409,3.03,0.17,6.05,6.126,8.537,0.458,0.4649
CYC000000144,NBH000041,0.4873,2.542,0.8684,0.5341,1.519,6.873,8.598,9.655,0.7723,8.314,7.153,4.688,4.719,3.409,8.051,9.033,8.596,4.3211
CYC000000145,NBH000029,1.2054,3.036,0.2627,0.9474,1.557,8.043,5.727,7.097,0.5497,8.745,5.446,3.978,6.111,3.706,1.744,4.403,3.7,3.0624
CYC000000146,NBH000061,6.2775,9.267,0.6446,0.7797,5.791,0.287,3.439,6.798,0.3275,0.298,5.44,2.513,4.218,2.291,3.49,0.618,1.573,0.6838
CYC000000147,NBH000038,2.4516,4.087,0.4357,0.5123,6.158,3.013,5.975,2.468,0.1108,7.781,0.191,9.55,5.94,4.654,3.387,6.614,2.196,0.2425
CYC000000148,NBH000135,1.6947,0.627,0.6617,0.2852,6.257,1.572,1.711,2.982,0.0937,5.914,9.035,9.374,4.871,3.148,0.471,0.097,5.772,2.912
CYC000000149,NBH000145,1.9288,7.172,0.3183,0.202,2.737,8.272,9.179,2.276,0.2721,2.245,4.653,2.463,5.085,8.257,4.399,2.192,9.342,3.7191
