demo_household_survey_year,demo_household_household_id_sample,demo_household_relationship_to_householder,demo_household_family_type_code,demo_household_marital_status,demo_household_number_of_children_u18,demo_household_multigenerational_flag,demo_household_single_parent_flag,demo_household_cohabiting_partner_flag,demo_household_household_income_ratio_poverty,demo_household_housing_cost_burden_pct,demo_household_crowding_persons_per_room,demo_household_vehicle_count_household,demo_household_internet_access_type,demo_household_language_spoken_at_home,demo_household_disability_status_household,demo_household_caregiving_hours_week,demo_household_childcare_cost_monthly,demo_household_eldercare_responsibility_flag,demo_household_sampling_stratum
2018,76f064239ec7,Other,Extended,Separated,6,N,N,Y,1.51,22.5,0.38,0,None,Tamil,Any,50,19056,Y,Urban
2020,5206d4de7e83,Spouse,Nuclear,Widowed,6,N,N,N,2.72,70.9,2.71,0,None,Odia,Any,62,27740,N,Metro
2025,b95de4c1af32,Parent,Joint,Married,3,N,Y,Y,2.77,13.3,4.23,4,Mobile_broadband,Other,None,80,5493,Y,Metro
2019,6d40a2a87461,Child,Nuclear,Widowed,0,N,N,Y,2.35,51.5,3.88,4,None,Hindi,None,9,24498,Y,Rural
2021,bb2c0c9aae3a,Parent,Extended,Married,4,Y,Y,Y,2.99,44.3,1.56,0,Both,Odia,Any,13,1188,N,Metro
2024,6fdaeed87ded,Head,Single_person,Divorced,1,N,Y,N,1.33,10.9,3.28,2,None,Telugu,Any,20,27436,Y,Rural
2020,e6efae138303,Other,Joint,Widowed,2,N,N,N,4.7,46.1,0.81,2,Mobile_broadband,Odia,None,18,12434,Y,Town
2025,5239b21c1ea7,Parent,Extended,Widowed,2,Y,Y,N,2.21,20.7,2.01,2,Mobile_broadband,Gujarati,Any,69,29112,N,Urban
2021,1a20b4720361,Parent,Nuclear,Never_married,3,N,Y,Y,2.23,69.7,2.51,3,Fixed_broadband,Punjabi,None,18,3251,N,Rural
2020,3dd9f33f69c5,Head,Extended,Divorced,3,Y,Y,Y,4.85,43.3,2.88,4,Fixed_broadband,Urdu,Any,4,13236,N,Town
2025,5e20a1222fde,Head,Nuclear,Widowed,4,N,N,N,4.83,10.6,0.54,2,Both,Marathi,Any,69,17308,N,Rural
2018,84eb36d04c5d,Sibling,Single_person,Never_married,0,N,Y,N,1.76,46.1,1.56,4,Fixed_broadband,Urdu,Any,29,17485,N,Metro
2021,f65ce7541388,Head,Extended,Divorced,6,Y,N,Y,1.43,42.6,4.52,1,Mobile_broadband,Hindi,None,68,3361,Y,Metro
2023,65d4a6f144eb,Parent,Nuclear,Married,6,N,N,Y,0.98,16.3,4.82,0,Both,Hindi,None,10,1456,N,Rural
2021,fa79a9df1f66,Child,Joint,Married,0,Y,Y,Y,1.46,39.2,2.36,2,Both,Odia,Any,73,870,Y,Urban
2025,dff8bce1a53a,Spouse,Extended,Widowed,2,N,Y,N,4.1,56.8,1.1,2,Both,Punjabi,None,17,19662,N,Metro
2020,e8f0176c35a8,Sibling,Joint,Never_married,3,Y,Y,Y,2.75,5.5,2.77,2,Both,Tamil,None,19,7566,N,Town
2024,b77891dbc7de,Head,Extended,Divorced,1,Y,N,Y,3.29,19.1,1.57,2,Both,Odia,None,73,2486,Y,Urban
2021,7aeeee6299d8,Other,Extended,Never_married,0,Y,Y,N,0.99,64.1,2.27,4,Mobile_broadband,Bengali,Any,54,20005,Y,Rural
2020,e2dbb137b021,Other,Single_person,Widowed,4,N,Y,N,0.84,38.7,3.36,0,Fixed_broadband,Kannada,None,41,22970,N,Urban
2022,2851e1f13b08,Other,Single_person,Married,4,Y,N,Y,1.3,24.3,3.53,1,None,Assamese,None,79,19266,Y,Metro
2018,e9316c826bb9,Child,Joint,Married,2,Y,N,N,1.43,60.7,1.29,2,Both,Tamil,Any,29,5712,Y,Rural
2021,b1c6c0988beb,Other,Extended,Divorced,0,N,Y,N,1.16,17.2,2.85,1,Mobile_broadband,Bengali,None,35,12252,N,Urban
2018,0bfe0a658226,Spouse,Nuclear,Separated,5,N,Y,Y,2.73,67.4,1.54,0,None,Kannada,None,30,6599,N,Rural
2023,a0124438fb7e,Other,Extended,Separated,2,N,N,N,0.53,6.1,4.47,3,Mobile_broadband,Hindi,None,41,8971,N,Rural
2023,3ee5a0f638ec,Child,Joint,Widowed,3,N,N,N,2.39,49.0,3.93,0,Fixed_broadband,Marathi,None,4,24189,Y,Town
2024,074c6d86d1b6,Sibling,Joint,Widowed,3,N,N,Y,4.27,73.8,4.75,1,None,Gujarati,None,55,3845,N,Town
2018,93fbf5e9ec57,Child,Single_person,Married,6,Y,Y,N,4.1,40.7,2.34,0,Mobile_broadband,Marathi,None,19,29612,N,Urban
2025,94b01b55a006,Spouse,Extended,Never_married,2,Y,N,Y,1.27,41.8,2.39,3,Both,Malayalam,Any,50,22873,N,Urban
2022,b86f6f70b8d4,Head,Extended,Divorced,0,N,N,N,3.46,70.8,3.41,4,Fixed_broadband,Punjabi,None,64,26928,N,Rural
2021,321f90e9a281,Child,Joint,Never_married,4,Y,Y,N,2.1,8.8,4.09,2,Fixed_broadband,Malayalam,None,2,8810,Y,Town
2023,e36190d1efe0,Spouse,Single_person,Never_married,0,N,Y,Y,3.69,30.0,4.28,2,Both,Hindi,None,38,20537,N,Urban
2020,5339ee6a2b0d,Parent,Nuclear,Divorced,5,Y,N,Y,2.03,42.8,1.97,2,None,Kannada,Any,25,24628,Y,Town
2022,3e4256be38dd,Parent,Single_person,Separated,5,Y,N,N,1.78,59.3,1.94,1,None,Gujarati,None,9,24944,Y,Urban
2018,5620705ff778,Sibling,Nuclear,Separated,4,N,N,N,4.85,58.7,2.59,4,Fixed_broadband,Punjabi,Any,65,12732,N,Town
2024,21fb1b481295,Spouse,Nuclear,Never_married,6,N,Y,Y,0.99,0.7,4.89,4,Mobile_broadband,Hindi,None,30,6542,Y,Urban
2025,18f88bfd3bdc,Other,Joint,Never_married,3,Y,Y,Y,4.27,45.1,3.1,0,None,Assamese,None,59,24151,Y,Town
2018,4517fee75ab0,Parent,Nuclear,Never_married,0,Y,Y,Y,1.06,63.4,1.99,4,Mobile_broadband,Punjabi,Any,50,10903,Y,Town
2023,686acea67257,Spouse,Nuclear,Divorced,1,N,Y,Y,1.75,49.4,4.6,4,Both,Urdu,None,63,22351,Y,Rural
2019,28cb71e53245,Parent,Single_person,Widowed,2,N,N,N,1.44,33.4,4.52,1,Mobile_broadband,Odia,Any,44,25614,Y,Rural
2019,fe6124c0efe8,Other,Joint,Widowed,4,Y,N,N,0.35,49.4,0.48,1,Mobile_broadband,Assamese,Any,5,16410,Y,Metro
2023,217a165e0909,Sibling,Extended,Separated,1,N,Y,N,3.96,60.4,1.4,1,Fixed_broadband,Urdu,Any,55,22257,Y,Rural
2025,a55db53518d9,Sibling,Extended,Never_married,4,N,Y,Y,0.47,7.1,1.83,2,None,Punjabi,None,36,5754,N,Metro
2019,b2fb48335299,Head,Single_person,Divorced,6,N,N,N,1.83,18.5,1.61,4,None,Hindi,None,21,8569,Y,Town
2022,b83d992c44c5,Other,Extended,Separated,6,Y,Y,Y,1.68,30.6,0.77,3,None,Other,None,25,8364,Y,Urban
2023,845c06832e25,Child,Single_person,Divorced,2,Y,N,N,4.86,28.6,0.42,2,Both,Odia,None,56,18826,N,Rural
2022,4e7155e2b5e6,Parent,Extended,Divorced,0,Y,N,N,2.82,24.1,4.02,0,Fixed_broadband,Bengali,Any,41,14282,N,Town
2021,65faba1b0eba,Child,Nuclear,Widowed,6,Y,N,N,0.89,55.9,0.76,3,Both,Odia,None,41,23841,N,Urban
2024,efd3929e9b86,Sibling,Extended,Divorced,2,N,Y,N,4.14,5.5,2.54,4,Fixed_broadband,Punjabi,None,21,10445,Y,Urban
2021,b1853f312211,Head,Joint,Widowed,5,N,N,N,1.15,2.3,1.18,1,None,Other,Any,62,7871,N,Urban
2019,4e7cd82e4660,Head,Single_person,Divorced,3,N,N,Y,3.06,7.6,4.8,0,Fixed_broadband,Marathi,None,12,26352,Y,Metro
2022,485eebc4cb19,Head,Joint,Widowed,5,Y,Y,N,1.53,51.7,1.68,4,Fixed_broadband,Odia,None,76,22555,N,Metro
2025,464b0c9c1cc0,Spouse,Nuclear,Never_married,0,Y,N,N,1.65,79.3,3.0,1,Mobile_broadband,Odia,Any,54,16764,Y,Metro
2025,78446ddd8bba,Spouse,Nuclear,Married,0,N,Y,Y,0.31,61.5,2.32,4,Both,Gujarati,Any,47,17684,N,Metro
2025,44e0a0585998,Sibling,Extended,Separated,4,Y,Y,Y,1.46,7.3,1.91,2,Both,Punjabi,None,74,2593,Y,Town
2021,b4c21f0df06d,Sibling,Joint,Married,5,Y,Y,Y,2.11,58.5,2.2,3,Fixed_broadband,Urdu,Any,68,9656,Y,Metro
2024,803fe24a2845,Parent,Extended,Divorced,5,N,Y,N,0.32,12.0,4.63,0,Both,Telugu,Any,44,611,Y,Town
2024,05484c45ac61,Spouse,Joint,Married,5,Y,N,N,2.05,45.5,4.31,4,Mobile_broadband,Telugu,Any,37,26472,Y,Metro
2022,3bf3ed89c81a,Parent,Extended,Divorced,4,N,N,Y,3.18,21.9,2.72,4,Fixed_broadband,Telugu,Any,66,24995,N,Metro
2023,5b744e531f12,Sibling,Nuclear,Married,6,Y,Y,N,1.37,70.5,2.74,3,Fixed_broadband,Kannada,Any,80,660,Y,Urban
2024,002d60e42c9f,Other,Single_person,Separated,0,N,N,N,2.69,75.8,1.03,3,Fixed_broadband,Bengali,None,11,13419,Y,Metro
2021,5b5d1190237e,Head,Extended,Never_married,5,N,N,Y,2.98,62.1,4.6,1,None,Punjabi,None,80,26368,Y,Town
2024,13f365e2e246,Spouse,Extended,Married,3,N,N,Y,2.76,36.6,4.32,2,Fixed_broadband,Malayalam,Any,60,4635,Y,Town
2020,d07831f0cd66,Head,Joint,Separated,4,N,Y,N,3.28,43.8,1.0,2,Fixed_broadband,Malayalam,Any,0,17140,Y,Rural
2022,1fa06b876d36,Child,Joint,Married,4,Y,Y,N,0.44,15.3,2.15,1,Mobile_broadband,Kannada,Any,40,5051,Y,Metro
2023,0b412f1c596a,Other,Joint,Never_married,2,N,N,Y,3.93,36.3,1.22,0,Fixed_broadband,Bengali,Any,15,12462,Y,Metro
2019,d1afaeb2ccea,Child,Single_person,Widowed,4,N,N,Y,0.22,71.7,3.86,0,None,Assamese,None,33,20564,N,Town
2018,cee70757bc00,Other,Joint,Married,6,Y,N,N,3.37,6.6,1.06,2,Both,Marathi,Any,39,22553,Y,Metro
2018,2dcdedea48cd,Spouse,Nuclear,Separated,5,Y,N,N,2.34,30.7,2.58,2,Fixed_broadband,Assamese,Any,52,16506,Y,Rural
2022,1771325b8472,Parent,Extended,Never_married,4,N,Y,N,3.95,62.5,2.32,4,Both,Bengali,Any,1,29366,N,Rural
2025,1ac471a38bf9,Other,Nuclear,Never_married,5,Y,N,Y,1.93,53.1,2.59,4,Both,Urdu,Any,33,19354,Y,Rural
2024,4675f528cb8b,Head,Single_person,Married,6,Y,Y,N,4.03,9.0,4.42,1,Mobile_broadband,Assamese,Any,46,25777,Y,Town
2018,642fced43b8e,Parent,Nuclear,Divorced,6,Y,Y,N,1.04,24.2,1.04,3,Mobile_broadband,Odia,None,6,29935,N,Town
2018,eefc99ac3b71,Parent,Single_person,Never_married,5,Y,N,N,2.79,41.4,3.69,0,Both,Punjabi,Any,43,6871,Y,Rural
2019,854ed9a3c045,Sibling,Joint,Married,2,N,Y,Y,0.77,52.0,2.0,3,Both,Tamil,Any,49,1922,N,Town
2019,bcb10f74640f,Sibling,Joint,Never_married,2,N,N,Y,2.94,26.2,0.67,2,Both,Hindi,Any,24,1605,N,Metro
2019,8b67e83f08a9,Other,Nuclear,Separated,2,N,N,Y,4.81,51.9,2.19,2,None,Marathi,None,20,24404,Y,Urban
2021,c91b539c0e88,Other,Single_person,Married,6,Y,Y,Y,0.42,29.2,3.31,4,Fixed_broadband,Odia,Any,46,21660,Y,Town
2019,3066cdf56f53,Sibling,Joint,Separated,1,Y,N,Y,2.13,5.5,2.84,4,Mobile_broadband,Hindi,Any,38,12224,N,Urban
2024,3734f3d79ed1,Parent,Single_person,Widowed,5,Y,Y,N,2.22,29.8,3.87,2,None,Odia,None,3,15952,Y,Metro
2022,d99f3f861e25,Other,Nuclear,Separated,3,N,Y,Y,3.69,46.5,1.34,4,Both,Tamil,None,40,28848,N,Metro
2021,e009e39e011f,Other,Extended,Never_married,6,Y,N,Y,2.38,15.7,3.02,1,Both,Marathi,Any,20,6036,Y,Urban
2019,916f6a6028b0,Other,Joint,Never_married,4,Y,Y,Y,4.17,76.7,0.67,0,Both,Other,Any,29,19159,N,Urban
2018,b3eab3a7caeb,Parent,Joint,Married,0,Y,Y,Y,2.03,49.7,4.15,1,Mobile_broadband,Other,Any,71,23405,Y,Metro
2024,7c5bcac26f6b,Parent,Nuclear,Never_married,3,N,Y,Y,1.04,42.1,4.6,1,Fixed_broadband,Tamil,Any,14,8168,Y,Town
2018,67d670db5de0,Other,Single_person,Widowed,5,Y,N,Y,0.68,15.0,4.51,4,Fixed_broadband,Punjabi,Any,49,22829,N,Town
2020,1a8581f258bc,Child,Joint,Divorced,3,N,Y,Y,1.06,6.2,2.92,3,None,Marathi,None,62,8439,Y,Urban
2021,b1798f2e6969,Parent,Extended,Separated,1,N,Y,N,2.54,60.3,2.96,2,Mobile_broadband,Tamil,Any,19,448,N,Metro
2019,e5d141dc3565,Other,Single_person,Divorced,1,Y,Y,N,0.87,71.2,2.51,3,None,Bengali,Any,60,23821,N,Rural
2025,a8667514fe9f,Sibling,Joint,Divorced,6,N,Y,N,2.79,69.1,2.5,1,Fixed_broadband,Kannada,None,46,21066,N,Metro
2022,118ede4c1a08,Child,Joint,Married,0,Y,Y,N,4.31,6.6,4.9,3,Mobile_broadband,Other,Any,64,17293,N,Metro
2023,fbc69c581acc,Child,Single_person,Divorced,5,N,Y,Y,4.16,49.3,4.76,4,Both,Telugu,None,56,9559,Y,Urban
2022,2be04b97de86,Sibling,Nuclear,Divorced,0,N,Y,Y,3.24,51.3,1.9,3,None,Gujarati,None,39,1968,Y,Metro
2021,322390968b34,Spouse,Nuclear,Divorced,1,N,Y,Y,3.21,63.1,1.78,3,Both,Gujarati,Any,60,15808,N,Town
2019,c0d2e6d1e8cb,Spouse,Extended,Never_married,2,N,Y,N,1.82,18.3,3.58,3,Mobile_broadband,Assamese,None,7,10793,N,Urban
2025,58baa6ccb3fb,Sibling,Joint,Separated,0,Y,Y,Y,1.62,64.4,0.37,0,Both,Kannada,Any,4,1005,Y,Metro
2018,0079bb138bd9,Sibling,Nuclear,Never_married,0,Y,Y,Y,3.85,55.5,3.09,1,None,Other,Any,0,3818,Y,Urban
2021,b86b9b7f0be4,Spouse,Single_person,Widowed,1,Y,Y,Y,2.04,52.5,3.23,2,Mobile_broadband,Odia,None,56,1021,Y,Town
2025,1e339c38b092,Sibling,Extended,Never_married,3,Y,N,N,0.43,61.4,3.05,4,Fixed_broadband,Assamese,None,77,25137,N,Urban
2022,e43a7ce2f9f2,Parent,Nuclear,Divorced,4,N,N,Y,3.24,35.4,2.95,0,None,Assamese,None,62,16823,Y,Town
2022,adc842814302,Parent,Extended,Widowed,6,Y,N,Y,2.98,8.0,0.87,3,Both,Kannada,Any,67,18231,Y,Town
2018,9b12461b2186,Head,Nuclear,Widowed,2,N,Y,N,0.98,1.1,0.51,1,Mobile_broadband,Malayalam,None,40,21712,Y,Town
2025,4766e04ab2bb,Head,Single_person,Never_married,0,N,Y,Y,3.85,13.3,3.01,2,Mobile_broadband,Kannada,Any,15,21125,Y,Town
2024,b0f7c4b95201,Head,Extended,Widowed,3,N,N,Y,4.92,40.0,2.63,4,Mobile_broadband,Other,Any,40,5681,Y,Town
2020,e88107291f7e,Sibling,Single_person,Widowed,1,Y,Y,Y,4.55,47.4,3.59,1,Both,Odia,Any,31,25574,Y,Rural
2024,8f006b25127c,Parent,Single_person,Widowed,3,N,N,Y,3.35,51.9,4.65,0,Mobile_broadband,Malayalam,None,24,7985,N,Rural
2025,eee6ab161c3d,Parent,Nuclear,Married,4,N,N,N,3.89,33.7,4.69,4,Mobile_broadband,Telugu,Any,15,17323,Y,Town
2019,7e5d4e370c21,Head,Joint,Never_married,2,Y,Y,Y,1.19,25.3,2.37,2,Both,Telugu,Any,39,22662,N,Urban
2020,5ef180d6df92,Spouse,Joint,Divorced,1,N,N,Y,3.71,33.3,2.44,4,None,Malayalam,None,66,26968,N,Rural
2024,08c3b89d234e,Child,Single_person,Widowed,1,Y,Y,N,4.89,68.9,3.13,0,Mobile_broadband,Odia,None,76,15907,N,Rural
2025,0dfc0c493230,Sibling,Single_person,Widowed,2,N,Y,N,2.63,17.3,2.09,3,Fixed_broadband,Odia,None,18,2467,Y,Urban
2021,8c201310f7d9,Spouse,Joint,Widowed,4,Y,Y,N,1.19,26.1,3.04,1,Mobile_broadband,Urdu,None,15,8767,N,Urban
2021,b674b33c5a07,Child,Joint,Widowed,2,Y,Y,N,0.26,78.2,3.57,0,Both,Marathi,None,21,18986,Y,Metro
2021,4c5aaff058a9,Parent,Extended,Separated,5,N,Y,Y,0.26,36.4,4.44,1,Mobile_broadband,Odia,None,27,4753,N,Town
2021,11e6ddb451aa,Sibling,Extended,Married,0,N,N,Y,1.8,50.6,1.85,3,Mobile_broadband,Punjabi,None,18,23387,Y,Metro
2018,9732dafe0f38,Head,Single_person,Separated,6,N,Y,N,2.17,0.8,1.93,1,None,Bengali,Any,58,9173,Y,Town
2025,a05c736dcf40,Spouse,Single_person,Divorced,5,N,Y,Y,1.61,52.7,3.46,1,Fixed_broadband,Urdu,Any,54,11107,N,Metro
2022,edd41327fc55,Spouse,Extended,Divorced,6,Y,N,N,2.31,34.3,0.38,0,Both,Bengali,None,28,9453,Y,Rural
2019,7483d8021784,Other,Extended,Never_married,2,Y,N,Y,3.42,50.4,3.82,2,Mobile_broadband,Odia,None,31,2271,N,Urban
2022,59472b0b042a,Child,Single_person,Separated,1,N,Y,N,3.01,19.9,4.66,3,Mobile_broadband,Assamese,Any,53,17573,N,Rural
2020,63b3d5237282,Parent,Joint,Separated,1,Y,Y,Y,2.99,76.0,3.15,0,Mobile_broadband,Odia,Any,14,16072,Y,Rural
2020,86b2db06ea71,Other,Extended,Married,4,Y,Y,Y,2.23,31.8,3.1,4,Mobile_broadband,Kannada,None,43,24951,N,Metro
2025,9708a3ced788,Sibling,Extended,Divorced,4,Y,N,Y,4.23,61.4,3.33,3,Fixed_broadband,Assamese,None,8,28987,N,Metro
2024,f545a87a4b60,Parent,Joint,Married,3,Y,Y,N,2.01,36.5,2.51,1,Fixed_broadband,Hindi,None,29,21041,Y,Urban
2019,e37115e4ab48,Spouse,Joint,Never_married,0,Y,N,N,4.59,57.8,0.54,1,Both,Tamil,Any,6,25104,Y,Rural
2022,af8d248a9317,Spouse,Nuclear,Widowed,5,N,N,N,4.05,35.7,2.42,0,Fixed_broadband,Urdu,None,73,13292,N,Urban
2024,890823a22d55,Sibling,Nuclear,Married,2,Y,Y,Y,3.2,10.9,3.4,3,Mobile_broadband,Bengali,None,71,24757,N,Rural
2023,c1c3404898c2,Parent,Nuclear,Widowed,3,Y,Y,Y,2.61,66.3,0.57,1,None,Assamese,Any,70,24007,N,Rural
2023,efee67ff70a6,Other,Extended,Never_married,6,N,N,N,2.72,64.2,2.19,3,Fixed_broadband,Punjabi,None,35,12324,N,Urban
2019,887006abe92e,Sibling,Nuclear,Divorced,0,Y,Y,N,2.22,52.2,0.74,2,Both,Other,None,72,3561,Y,Rural
2018,7697ccf0ef25,Head,Single_person,Married,2,N,Y,Y,4.96,60.5,2.54,3,None,Tamil,None,30,3720,N,Metro
2024,1bdf2ee529df,Parent,Extended,Married,0,Y,N,Y,1.95,62.5,4.01,0,None,Marathi,None,41,147,N,Town
2020,465543aa9f79,Sibling,Joint,Never_married,6,Y,Y,N,1.47,44.8,0.97,2,Mobile_broadband,Bengali,Any,80,7338,Y,Town
2021,f8f86bba8a43,Other,Joint,Separated,5,N,Y,N,1.58,49.2,2.75,0,Mobile_broadband,Punjabi,Any,26,2822,N,Rural
2025,9fbfd1cf76f3,Child,Extended,Separated,0,N,Y,Y,2.16,66.1,0.8,2,Both,Bengali,Any,46,16001,N,Metro
2020,df87324dd480,Parent,Single_person,Divorced,3,Y,N,N,3.78,75.1,3.92,4,Mobile_broadband,Marathi,None,76,26551,N,Rural
2018,72af49e0d26f,Head,Nuclear,Separated,6,Y,N,N,1.63,14.5,4.8,4,Fixed_broadband,Hindi,None,51,3740,Y,Urban
2021,c1345d552237,Head,Joint,Separated,6,Y,Y,N,1.3,38.7,0.39,2,Both,Tamil,Any,14,11378,N,Metro
2025,6b719903cac5,Spouse,Single_person,Divorced,5,Y,Y,Y,2.62,58.6,3.07,3,Both,Malayalam,None,80,7077,Y,Rural
2021,d47a40a77f19,Child,Extended,Married,0,Y,N,Y,3.46,2.3,4.6,3,Both,Punjabi,None,64,21554,Y,Rural
2025,c9d50d143113,Head,Extended,Married,4,N,Y,N,1.39,59.1,3.45,3,Mobile_broadband,Odia,None,54,3047,Y,Urban
2020,ba6f3bcee822,Spouse,Joint,Never_married,0,Y,Y,Y,3.71,2.3,0.25,3,Both,Tamil,Any,78,16795,N,Rural
2021,354fa0e56afd,Other,Extended,Separated,5,Y,N,Y,4.85,3.0,2.41,1,Mobile_broadband,Gujarati,Any,68,5328,N,Rural
2024,3e9db2e5a0b3,Parent,Nuclear,Separated,2,N,N,Y,4.68,46.1,0.52,0,Both,Gujarati,Any,14,1587,Y,Town
2023,b9db0dad7473,Child,Joint,Separated,5,Y,N,Y,1.16,45.5,3.37,3,None,Odia,None,14,4887,Y,Metro
2018,be4c96e2db45,Head,Joint,Separated,6,Y,N,Y,0.71,5.3,3.45,2,None,Odia,None,74,14860,N,Rural
2023,5e5be40aa1e4,Parent,Joint,Widowed,2,Y,Y,Y,3.37,24.3,2.91,1,Mobile_broadband,Gujarati,Any,16,28820,Y,Town
2019,4eb0507199fe,Other,Extended,Married,6,N,Y,N,4.79,58.1,4.14,2,Both,Gujarati,Any,65,16184,Y,Metro
2024,585df4885c9e,Sibling,Nuclear,Widowed,2,N,Y,Y,4.13,49.4,1.27,1,Fixed_broadband,Assamese,Any,39,5324,N,Urban
2022,95ecdbc3b964,Child,Nuclear,Divorced,2,Y,Y,Y,4.72,12.6,4.28,3,Fixed_broadband,Malayalam,None,11,13775,Y,Metro
2023,0ede7db3dc66,Child,Extended,Separated,6,Y,N,Y,2.1,72.7,2.81,4,Fixed_broadband,Other,Any,1,9285,N,Rural
2022,c86322807ff3,Sibling,Single_person,Never_married,4,N,N,N,3.35,59.4,3.65,1,Fixed_broadband,Malayalam,None,69,6071,N,Rural
2019,d8416d6aa958,Spouse,Single_person,Widowed,6,Y,N,Y,4.1,40.1,3.87,2,Mobile_broadband,Other,None,18,17484,N,Urban
2019,aaab6afc8ece,Head,Extended,Widowed,6,N,Y,N,1.58,68.3,3.65,0,Both,Bengali,None,35,13610,Y,Urban
2020,d561ed82096b,Other,Single_person,Married,2,Y,N,N,4.71,2.0,1.75,3,Mobile_broadband,Odia,Any,72,5719,Y,Urban
2023,5a48badae0a2,Sibling,Single_person,Widowed,0,N,N,Y,3.89,4.9,1.78,0,None,Malayalam,None,39,20826,N,Town
2019,12edcd9360d5,Parent,Nuclear,Never_married,3,N,N,Y,0.27,62.2,4.33,4,Both,Odia,None,53,5896,N,Metro
2021,f5d08a45e51f,Other,Joint,Widowed,5,Y,N,N,4.73,36.7,2.92,2,Both,Hindi,None,66,9318,N,Rural
2024,9ff27301dfc0,Other,Joint,Never_married,0,N,Y,N,1.03,16.5,2.43,1,Both,Telugu,None,59,78,N,Rural
2019,416991b54bac,Parent,Joint,Married,3,Y,N,Y,2.4,55.8,1.12,1,Fixed_broadband,Other,Any,80,5752,N,Rural
2021,f06f748c99f2,Other,Joint,Separated,4,Y,N,N,0.99,0.2,4.6,4,Mobile_broadband,Assamese,Any,61,2063,Y,Town
2024,e8863de3fee6,Other,Extended,Never_married,3,N,Y,Y,1.57,31.6,1.48,2,None,Malayalam,Any,19,13198,Y,Metro
2025,613552a3bdcf,Sibling,Nuclear,Separated,1,Y,Y,Y,0.27,51.0,2.97,2,Mobile_broadband,Urdu,Any,40,28802,N,Metro
2024,44cce4410e3e,Spouse,Single_person,Separated,2,Y,Y,Y,4.88,69.9,1.56,4,Mobile_broadband,Kannada,None,80,94,N,Rural
2025,43cb3bd1588d,Sibling,Nuclear,Married,5,N,N,Y,4.72,5.6,0.99,3,None,Punjabi,None,54,21948,N,Metro
2018,9b5b57250335,Sibling,Joint,Widowed,3,Y,N,Y,4.49,4.2,3.04,2,None,Odia,Any,75,18337,Y,Urban
2024,71e5f3451e8d,Child,Joint,Separated,4,Y,N,N,4.5,3.0,3.04,4,Both,Odia,Any,77,26102,N,Rural
2024,83fd76347411,Parent,Nuclear,Never_married,4,N,N,N,3.96,25.3,4.32,0,Mobile_broadband,Punjabi,None,8,12138,N,Urban
2025,ba4fbf251b5d,Head,Extended,Divorced,4,N,Y,Y,3.47,73.1,1.67,1,Both,Odia,Any,31,29794,Y,Town
2019,028487e8a368,Sibling,Single_person,Divorced,2,Y,N,N,4.11,24.6,1.7,3,None,Tamil,Any,35,27106,Y,Urban
2022,41959947a95a,Spouse,Joint,Never_married,5,Y,N,N,4.02,61.3,4.89,4,Mobile_broadband,Other,None,12,18499,N,Metro
2020,de26e2342087,Parent,Extended,Married,0,N,N,Y,1.59,45.7,3.55,0,None,Malayalam,Any,28,12287,Y,Urban
2023,0c3654b8aa87,Other,Extended,Married,0,Y,N,N,1.35,12.8,2.8,0,None,Hindi,None,72,15972,Y,Rural
