tech_opendata_reference_year,tech_opendata_country_iso2,tech_opendata_open_data_maturity_score,tech_opendata_open_by_default_policy_flag,tech_opendata_public_sector_info_directive_compliance_flag,tech_opendata_high_value_datasets_published_count,tech_opendata_api_endpoints_count,tech_opendata_machine_readable_share_pct,tech_opendata_metadata_dc_at_ap_compliance_pct,tech_opendata_licensing_standard_code,tech_opendata_reuse_cases_count,tech_opendata_digital_identity_eidas_level,tech_opendata_eudi_wallet_ready_flag,tech_opendata_cross_border_service_usage_count,tech_opendata_interoperability_framework_adoption_pct,tech_opendata_data_spaces_participation_flag,tech_opendata_gaia_x_alignment_flag,tech_opendata_data_governance_act_compliance_flag,tech_opendata_data_act_compliance_flag,tech_opendata_data_extract_date
2024,SK,49.8,0,1,79,66,80.31,70.03,CC_BY_4_0,320,HIGH,1,3273,75.71,0,0,0,0,2025-12-17
2025,BE,47.92,0,1,28,121,71.34,97.13,ODC_BY,392,SUBSTANTIAL,1,1071,85.62,0,0,1,0,2025-09-06
2026,DK,43.35,0,1,88,219,40.37,89.19,OTHER,438,LOW,1,3060,35.12,0,1,0,0,2025-05-30
2014,GR,79.64,0,1,97,261,76.91,44.74,CC0_1_0,273,HIGH,0,2355,23.97,0,0,0,1,2026-01-21
2015,LT,51.41,1,1,33,232,39.8,76.21,EU_PSI_STANDARD,71,SUBSTANTIAL,1,2473,42.41,1,0,0,0,2025-11-20
2016,PT,66.01,0,1,91,143,93.96,90.68,CC_BY_4_0,348,LOW,0,525,23.82,0,0,1,1,2025-12-02
2017,SE,52.09,1,1,93,203,74.14,51.74,ODC_BY,383,HIGH,1,832,87.9,0,1,0,0,2025-06-06
2018,CY,78.37,1,0,32,90,83.11,67.21,OTHER,76,SUBSTANTIAL,1,2688,62.22,1,0,0,0,2024-08-08
2019,FR,48.75,0,1,36,52,70.23,71.15,CC0_1_0,408,LOW,0,1298,89.48,0,0,0,0,2026-02-12
2020,IT,21.51,0,0,49,224,87.37,45.4,EU_PSI_STANDARD,35,HIGH,1,1120,57.31,0,1,0,1,2025-08-09
2021,NL,36.38,1,0,61,39,36.06,70.74,CC_BY_4_0,60,SUBSTANTIAL,1,1301,71.06,0,0,1,0,2024-06-22
2022,SI,90.13,1,1,67,191,66.84,58.23,ODC_BY,284,LOW,1,2886,84.54,1,0,0,0,2024-06-17
2023,BG,71.46,1,1,59,199,55.89,85.86,OTHER,238,HIGH,1,2346,61.88,1,0,0,1,2025-09-18
2024,EE,31.93,1,1,89,230,46.92,46.07,CC0_1_0,64,SUBSTANTIAL,1,2374,42.46,1,1,0,1,2025-08-09
2025,HU,87.4,1,0,86,114,47.72,65.28,EU_PSI_STANDARD,125,LOW,0,3837,71.23,1,1,1,1,2025-06-04
2026,LU,43.82,0,1,36,253,80.01,78.7,CC_BY_4_0,324,HIGH,1,2567,19.73,0,0,0,0,2024-12-07
2014,RO,85.18,1,1,76,281,64.81,81.66,ODC_BY,442,SUBSTANTIAL,0,2857,24.88,1,0,1,0,2025-10-05
2015,AT,22.76,1,1,70,207,77.76,86.08,OTHER,300,LOW,0,2331,87.56,0,0,0,0,2025-03-24
2016,CZ,30.96,1,1,105,190,69.15,89.99,CC0_1_0,438,HIGH,1,656,43.32,0,1,0,1,2024-10-28
2017,DE,87.84,1,1,60,259,95.44,72.78,EU_PSI_STANDARD,254,SUBSTANTIAL,1,3188,46.8,0,0,1,1,2025-04-30
2018,LV,34.03,1,1,112,262,61.23,55.31,CC_BY_4_0,99,LOW,1,105,86.23,0,0,1,0,2025-02-25
2019,PL,67.08,1,1,117,267,67.05,75.04,ODC_BY,435,HIGH,1,248,31.31,0,0,1,1,2024-07-21
2020,ES,27.68,0,0,48,216,43.94,49.8,OTHER,354,SUBSTANTIAL,1,2734,67.24,0,0,1,1,2024-10-20
2021,HR,85.83,1,1,64,76,78.84,65.09,CC0_1_0,420,LOW,1,612,65.96,0,0,0,1,2026-01-11
2022,FI,89.47,1,0,92,250,67.1,52.06,EU_PSI_STANDARD,171,HIGH,1,2617,45.09,0,0,1,1,2025-09-28
2023,IE,29.03,0,0,111,159,94.03,87.07,CC_BY_4_0,205,SUBSTANTIAL,0,3542,91.69,1,1,0,1,2024-02-07
2024,MT,87.21,0,0,93,85,45.42,75.01,ODC_BY,80,LOW,1,2462,44.4,1,0,1,1,2024-01-21
2025,SK,87.47,1,1,50,135,53.17,59.32,OTHER,149,HIGH,0,483,50.93,0,1,0,0,2024-12-01
2026,BE,60.35,1,1,128,271,44.9,72.45,CC0_1_0,365,SUBSTANTIAL,1,1793,66.3,0,0,0,0,2025-12-14
2014,DK,33.77,1,0,119,192,42.61,52.85,EU_PSI_STANDARD,286,LOW,0,2076,50.03,1,0,1,1,2025-07-28
2015,GR,44.94,0,0,94,72,61.87,81.24,CC_BY_4_0,376,HIGH,1,2880,28.71,0,0,1,1,2024-12-24
2016,LT,70.68,1,1,80,184,85.88,78.2,ODC_BY,123,SUBSTANTIAL,1,1783,67.81,0,0,1,0,2026-02-07
2017,PT,30.39,0,1,111,216,84.94,68.34,OTHER,95,LOW,1,3411,65.18,0,0,1,1,2024-06-11
2018,SE,35.82,1,1,100,167,55.37,81.1,CC0_1_0,462,HIGH,0,3374,24.24,0,0,1,0,2024-07-10
2019,CY,68.83,0,1,96,70,67.73,84.34,EU_PSI_STANDARD,259,SUBSTANTIAL,1,785,80.54,1,0,1,1,2024-09-26
2020,FR,79.5,1,1,63,104,74.14,82.48,CC_BY_4_0,349,LOW,0,133,37.02,1,0,0,0,2024-11-13
2021,IT,57.18,0,1,72,272,60.87,78.77,ODC_BY,494,HIGH,0,3045,19.35,0,0,0,1,2025-05-14
2022,NL,23.34,0,0,118,234,88.93,77.29,OTHER,414,SUBSTANTIAL,1,2601,92.79,1,1,0,0,2026-01-02
2023,SI,72.07,0,0,131,124,72.53,67.39,CC0_1_0,353,LOW,0,1061,53.76,0,0,1,0,2025-08-22
2024,BG,81.28,0,1,67,97,53.23,62.93,EU_PSI_STANDARD,58,HIGH,1,3545,50.99,0,1,0,0,2025-11-10
2025,EE,92.4,0,0,77,105,62.2,89.21,CC_BY_4_0,464,SUBSTANTIAL,1,2207,39.82,0,1,0,0,2025-06-06
2026,HU,76.39,0,1,126,127,37.21,40.27,ODC_BY,288,LOW,0,3391,32.01,0,1,1,0,2025-04-14
2014,LU,49.1,0,1,135,77,84.09,91.27,OTHER,508,HIGH,0,645,32.56,0,0,1,0,2025-05-29
2015,RO,77.87,1,1,101,246,65.69,90.1,CC0_1_0,245,SUBSTANTIAL,0,283,60.04,0,1,1,1,2024-08-30
2016,AT,25.11,1,0,77,97,95.87,73.76,EU_PSI_STANDARD,338,LOW,0,1916,63.8,0,1,0,0,2024-06-18
2017,CZ,28.5,1,0,140,158,92.42,94.7,CC_BY_4_0,513,HIGH,1,1503,56.58,0,0,0,0,2024-11-29
2018,DE,46.92,1,0,140,241,49.49,42.26,ODC_BY,344,SUBSTANTIAL,1,1395,20.67,1,1,1,1,2024-05-11
2019,LV,31.83,1,1,90,214,51.83,41.18,OTHER,418,LOW,0,3925,30.92,1,0,1,1,2024-12-17
2020,PL,23.26,1,1,122,175,93.55,68.98,CC0_1_0,175,HIGH,1,3358,33.41,1,0,1,0,2025-06-04
2021,ES,20.41,0,0,102,307,69.53,78.67,EU_PSI_STANDARD,478,SUBSTANTIAL,1,4010,53.27,1,1,1,1,2024-11-24
2022,HR,21.97,1,1,108,269,81.5,92.24,CC_BY_4_0,260,LOW,0,591,63.08,1,1,1,0,2024-02-03
2023,FI,50.32,1,1,96,299,54.84,78.89,ODC_BY,142,HIGH,1,163,43.99,0,1,0,1,2024-12-14
2024,IE,83.47,0,1,83,162,74.97,98.56,OTHER,452,SUBSTANTIAL,1,1124,63.68,0,0,1,1,2025-07-05
2025,MT,71.84,0,1,153,184,85.77,91.57,CC0_1_0,361,LOW,0,1016,28.43,0,1,1,1,2024-12-20
2026,SK,28.84,0,1,140,255,89.18,76.59,EU_PSI_STANDARD,100,HIGH,0,3785,72.61,1,0,1,0,2025-06-30
2014,BE,29.88,1,1,104,289,40.48,85.14,CC_BY_4_0,478,SUBSTANTIAL,0,338,61.34,1,1,0,1,2024-11-04
2015,DK,68.2,1,1,96,82,87.93,93.34,ODC_BY,450,LOW,0,1176,95.9,0,1,1,1,2024-05-18
2016,GR,88.95,0,0,87,141,39.72,77.39,OTHER,468,HIGH,1,3647,80.81,1,0,0,1,2025-04-07
2017,LT,41.52,0,1,145,175,83.47,63.45,CC0_1_0,428,SUBSTANTIAL,1,3226,96.0,1,0,0,0,2024-05-10
2018,PT,67.19,1,1,115,205,40.75,71.23,EU_PSI_STANDARD,227,LOW,1,3084,26.36,0,0,1,0,2025-08-21
2019,SE,59.92,1,1,126,195,89.42,84.37,CC_BY_4_0,113,HIGH,0,2812,62.59,0,1,1,1,2025-11-07
2020,CY,33.65,0,1,89,106,70.6,66.93,ODC_BY,293,SUBSTANTIAL,1,742,31.55,0,1,0,0,2026-02-12
2021,FR,43.82,1,1,84,280,94.51,41.22,OTHER,367,LOW,0,555,94.59,1,0,0,0,2024-08-17
2022,IT,42.1,1,1,121,209,60.77,62.36,CC0_1_0,95,HIGH,0,3455,44.54,0,1,0,1,2024-07-22
2023,NL,36.96,1,1,90,311,58.34,68.6,EU_PSI_STANDARD,532,SUBSTANTIAL,0,2053,21.77,1,0,0,0,2024-11-19
2024,SI,60.88,1,1,108,307,82.88,74.41,CC_BY_4_0,527,LOW,0,1175,72.47,0,0,1,1,2025-12-29
2025,BG,54.39,0,1,164,162,85.6,76.59,ODC_BY,398,HIGH,0,252,72.58,0,0,1,0,2024-08-13
2026,EE,22.28,1,0,141,267,88.49,42.78,OTHER,167,SUBSTANTIAL,1,2436,79.24,0,0,1,1,2025-02-17
2014,HU,79.84,0,1,135,338,90.83,81.69,CC0_1_0,98,LOW,0,330,67.79,1,0,1,0,2025-04-14
2015,LU,94.36,1,1,95,342,77.84,77.48,EU_PSI_STANDARD,123,HIGH,0,3090,61.22,0,0,1,0,2025-02-20
2016,RO,35.87,1,1,138,250,38.83,83.68,CC_BY_4_0,256,SUBSTANTIAL,1,444,55.36,1,0,0,1,2024-07-02
2017,AT,69.01,1,1,104,169,37.18,45.73,ODC_BY,258,LOW,0,1109,33.97,1,0,1,0,2024-11-18
2018,CZ,66.72,1,1,125,196,41.85,52.69,OTHER,321,HIGH,0,3024,18.81,0,1,1,0,2025-11-19
2019,DE,70.67,0,1,103,284,39.03,73.34,CC0_1_0,150,SUBSTANTIAL,1,3980,29.55,0,0,1,0,2026-02-10
2020,LV,87.37,1,0,173,220,69.88,41.6,EU_PSI_STANDARD,489,LOW,0,1004,92.63,1,1,1,0,2025-09-11
2021,PL,44.43,0,1,99,278,88.51,93.24,CC_BY_4_0,245,HIGH,0,2449,22.53,0,0,0,0,2024-06-24
2022,ES,34.93,1,0,169,179,82.02,51.32,ODC_BY,522,SUBSTANTIAL,0,3471,41.96,0,0,1,0,2025-04-29
2023,HR,44.27,1,1,170,223,68.98,98.73,OTHER,134,LOW,0,2972,65.03,1,0,1,1,2025-10-19
2024,FI,53.66,1,0,114,183,97.54,70.75,CC0_1_0,226,HIGH,1,1685,37.39,0,1,1,1,2026-01-11
2025,IE,70.4,1,1,150,156,37.76,42.31,EU_PSI_STANDARD,238,SUBSTANTIAL,0,2335,80.29,0,1,1,1,2025-09-27
2026,MT,70.94,1,1,135,245,70.99,73.83,CC_BY_4_0,583,LOW,0,2744,39.18,0,1,0,0,2024-09-27
2014,SK,21.59,1,1,175,275,59.57,77.56,ODC_BY,147,HIGH,1,3604,75.8,0,0,0,1,2025-05-06
2015,BE,64.25,1,1,116,120,47.47,81.44,OTHER,207,SUBSTANTIAL,0,3549,46.13,0,0,0,1,2025-09-07
2016,DK,57.04,0,1,139,334,42.94,95.08,CC0_1_0,124,LOW,1,1413,87.94,0,0,0,1,2024-05-20
2017,GR,88.07,1,1,137,115,64.81,73.44,EU_PSI_STANDARD,357,HIGH,1,3564,60.19,0,1,1,1,2025-03-10
2018,LT,38.65,0,1,110,239,88.57,54.85,CC_BY_4_0,217,SUBSTANTIAL,1,2816,81.97,1,0,1,0,2024-09-12
2019,PT,52.48,1,0,164,168,54.21,56.07,ODC_BY,556,LOW,1,2548,81.56,0,1,0,0,2024-05-21
2020,SE,58.81,1,1,182,267,38.07,50.35,OTHER,300,HIGH,1,3242,68.68,0,0,0,1,2024-06-23
2021,CY,73.08,0,1,171,317,66.87,85.06,CC0_1_0,195,SUBSTANTIAL,1,3822,73.62,0,0,0,0,2025-10-18
2022,FR,70.72,1,0,113,299,62.14,96.9,EU_PSI_STANDARD,376,LOW,1,3421,49.45,0,0,0,1,2025-05-07
2023,IT,24.44,0,0,142,258,76.01,92.5,CC_BY_4_0,279,HIGH,1,2288,34.92,0,1,1,0,2024-08-13
2024,NL,81.74,1,1,179,249,61.07,83.76,ODC_BY,597,SUBSTANTIAL,1,2160,41.29,0,0,0,1,2025-02-23
2025,SI,60.95,0,1,177,177,74.89,53.52,OTHER,177,LOW,0,1273,90.15,0,1,1,1,2024-12-24
2026,BG,90.65,1,1,154,145,64.19,79.28,CC0_1_0,446,HIGH,1,3383,42.22,0,0,0,0,2025-11-23
2014,EE,67.14,1,1,165,279,51.02,50.19,EU_PSI_STANDARD,422,SUBSTANTIAL,1,1799,75.1,0,0,0,1,2024-01-07
2015,HU,82.67,0,1,162,351,87.67,92.81,CC_BY_4_0,179,LOW,0,1181,63.69,0,1,1,1,2024-11-02
2016,LU,34.42,1,0,182,194,88.87,85.48,ODC_BY,514,HIGH,0,3849,69.87,0,1,0,0,2025-06-03
2017,RO,44.34,1,0,164,196,75.86,69.93,OTHER,164,SUBSTANTIAL,1,2354,90.1,0,0,0,0,2024-09-08
2018,AT,27.7,1,0,144,268,97.23,70.79,CC0_1_0,479,LOW,0,1489,90.81,0,1,1,0,2026-01-31
2019,CZ,47.26,1,1,165,333,94.71,50.3,EU_PSI_STANDARD,576,HIGH,1,2118,79.95,1,0,1,1,2024-08-17
2020,DE,39.43,1,1,137,284,39.11,66.23,CC_BY_4_0,465,SUBSTANTIAL,1,1364,39.04,0,1,1,1,2025-04-27
2021,LV,34.57,1,1,134,243,68.66,87.9,ODC_BY,495,LOW,0,416,29.3,0,0,0,1,2024-02-05
2022,PL,57.65,0,0,187,243,58.91,74.53,OTHER,327,HIGH,0,339,79.84,0,0,1,0,2025-11-19
2023,ES,36.54,1,1,125,218,50.01,59.19,CC0_1_0,493,SUBSTANTIAL,1,759,20.89,0,0,1,0,2025-02-10
2024,HR,46.79,0,1,192,287,67.48,63.56,EU_PSI_STANDARD,466,LOW,0,805,48.83,1,0,1,1,2024-05-06
2025,FI,30.93,1,1,177,269,59.39,60.92,CC_BY_4_0,236,HIGH,1,210,49.76,0,0,0,1,2025-12-09
2026,IE,45.16,1,1,176,181,91.71,46.51,ODC_BY,508,SUBSTANTIAL,1,3888,26.12,1,0,1,0,2024-01-18
2014,MT,27.11,0,1,185,290,56.65,76.62,OTHER,176,LOW,0,643,78.85,1,0,0,1,2024-06-30
2015,SK,80.52,0,1,208,311,74.58,40.94,CC0_1_0,563,HIGH,1,1471,78.44,0,0,1,0,2024-10-27
2016,BE,76.42,1,1,198,221,46.14,74.28,EU_PSI_STANDARD,238,SUBSTANTIAL,1,2503,63.93,1,1,1,0,2025-07-03
2017,DK,48.77,0,1,165,230,35.92,71.6,CC_BY_4_0,251,LOW,0,219,37.84,1,0,0,1,2025-06-02
2018,GR,91.68,1,0,191,225,50.87,78.61,ODC_BY,558,HIGH,1,3079,78.01,1,0,0,1,2024-08-17
2019,LT,47.24,0,1,201,184,76.33,92.9,OTHER,623,SUBSTANTIAL,0,2276,79.07,1,0,0,1,2024-06-18
2020,PT,44.13,0,1,148,272,54.96,82.2,CC0_1_0,187,LOW,0,1999,72.02,1,0,0,0,2024-12-26
2021,SE,45.94,0,1,198,265,67.58,70.01,EU_PSI_STANDARD,345,HIGH,0,218,67.62,1,0,0,1,2026-01-30
2022,CY,92.39,1,1,180,374,59.77,84.77,CC_BY_4_0,324,SUBSTANTIAL,1,661,69.91,0,0,0,0,2025-05-06
2023,FR,71.67,0,0,177,380,84.37,51.83,ODC_BY,253,LOW,0,1304,22.22,0,1,0,1,2024-01-16
2024,IT,51.27,0,0,137,188,73.72,62.75,OTHER,626,HIGH,1,2216,95.57,0,0,1,1,2024-06-21
2025,NL,74.63,0,1,196,182,51.91,64.5,CC0_1_0,172,SUBSTANTIAL,0,2440,36.86,0,0,1,1,2024-03-16
2026,SI,85.86,1,0,176,284,59.0,97.43,EU_PSI_STANDARD,382,LOW,0,3109,71.93,1,1,1,1,2024-02-02
2014,BG,21.87,0,0,194,265,67.69,45.53,CC_BY_4_0,358,HIGH,0,2911,26.42,0,0,0,0,2025-04-04
2015,EE,74.59,1,1,220,326,72.53,85.64,ODC_BY,540,SUBSTANTIAL,0,1801,91.13,1,1,1,1,2024-06-15
2016,HU,33.84,1,1,168,207,40.56,53.36,OTHER,364,LOW,0,3205,74.77,1,0,1,1,2025-01-28
2017,LU,66.39,1,0,221,162,87.93,83.84,CC0_1_0,577,HIGH,1,1292,56.38,0,0,1,1,2025-11-05
2018,RO,81.75,1,1,190,392,53.94,98.86,EU_PSI_STANDARD,466,SUBSTANTIAL,1,2650,75.42,1,1,1,0,2025-04-17
2019,AT,64.32,0,1,195,319,76.37,89.08,CC_BY_4_0,447,LOW,0,946,65.3,1,0,0,1,2024-11-20
2020,CZ,88.51,0,1,223,197,51.55,54.77,ODC_BY,236,HIGH,1,3299,46.81,0,0,1,0,2025-07-29
2021,DE,30.53,1,1,202,238,53.85,93.38,OTHER,166,SUBSTANTIAL,0,1920,82.17,0,0,1,1,2025-01-20
2022,LV,94.27,0,1,192,197,62.87,51.63,CC0_1_0,412,LOW,0,2892,65.07,0,1,0,1,2024-08-24
2023,PL,62.48,1,0,157,391,44.62,75.27,EU_PSI_STANDARD,422,HIGH,1,1285,58.39,0,0,1,1,2026-01-07
2024,ES,38.79,0,1,226,294,88.19,64.55,CC_BY_4_0,381,SUBSTANTIAL,1,2223,84.7,0,1,1,1,2025-04-18
2025,HR,35.19,1,0,207,401,67.28,42.08,ODC_BY,444,LOW,1,3645,49.49,1,1,0,0,2025-08-16
2026,FI,37.18,1,1,180,350,67.52,78.87,OTHER,559,HIGH,1,1580,88.2,0,0,1,0,2025-01-18
2014,IE,71.45,0,0,156,273,75.6,48.98,CC0_1_0,522,SUBSTANTIAL,1,3622,86.24,0,1,1,1,2025-12-21
2015,MT,42.59,1,1,205,196,72.12,53.51,EU_PSI_STANDARD,420,LOW,0,2768,87.61,0,1,0,0,2024-11-03
2016,SK,93.96,1,1,185,174,71.62,47.85,CC_BY_4_0,341,HIGH,1,3741,18.59,0,0,1,1,2024-02-20
2017,BE,91.63,1,0,171,197,61.11,78.32,ODC_BY,426,SUBSTANTIAL,0,2542,65.43,1,0,0,1,2026-02-23
2018,DK,54.03,1,1,170,396,78.02,69.9,OTHER,484,LOW,1,3206,18.47,1,1,0,0,2024-09-30
2019,GR,27.45,1,1,181,329,91.92,57.69,CC0_1_0,558,HIGH,1,3983,60.25,0,0,0,0,2024-08-01
2020,LT,87.61,0,1,182,261,90.65,62.19,EU_PSI_STANDARD,369,SUBSTANTIAL,1,535,33.51,0,0,0,1,2024-12-02
2021,PT,39.97,0,1,236,392,88.55,48.82,CC_BY_4_0,382,LOW,1,3687,59.7,0,1,0,1,2025-05-19
2022,SE,41.99,1,1,203,310,43.66,79.18,ODC_BY,490,HIGH,0,3075,79.93,0,1,0,0,2024-08-20
2023,CY,30.0,0,1,180,401,90.29,96.84,OTHER,496,SUBSTANTIAL,1,677,49.77,0,0,1,1,2024-09-18
2024,FR,83.38,0,0,208,384,78.6,74.88,CC0_1_0,360,LOW,0,2992,26.64,0,0,0,0,2024-12-09
2025,IT,47.08,1,0,239,334,60.41,95.56,EU_PSI_STANDARD,298,HIGH,0,2158,20.9,0,0,0,0,2024-01-10
2026,NL,25.74,1,1,209,304,57.57,76.16,CC_BY_4_0,386,SUBSTANTIAL,1,315,36.82,1,1,1,1,2024-03-28
2014,SI,27.49,1,0,210,236,52.57,51.05,ODC_BY,493,LOW,1,213,55.73,1,0,0,0,2026-01-13
2015,BG,94.4,0,1,241,409,72.89,51.43,OTHER,513,HIGH,0,3066,84.88,0,1,0,0,2025-03-17
2016,EE,31.08,0,1,237,270,71.8,85.87,CC0_1_0,404,SUBSTANTIAL,1,890,25.04,0,1,1,1,2025-07-16
2017,HU,24.83,1,0,241,206,52.26,74.34,EU_PSI_STANDARD,598,LOW,0,2943,51.97,0,0,1,1,2024-10-01
2018,LU,64.09,1,1,206,198,61.01,60.01,CC_BY_4_0,465,HIGH,1,1080,89.69,0,0,0,0,2024-08-07
2019,RO,65.58,1,1,189,411,69.81,52.12,ODC_BY,504,SUBSTANTIAL,0,1317,80.0,1,0,0,1,2025-09-12
2020,AT,49.13,1,1,203,279,47.16,42.77,OTHER,244,LOW,0,2977,94.0,1,0,0,0,2024-01-30
2021,CZ,35.06,0,1,198,210,54.52,47.18,CC0_1_0,469,HIGH,0,2061,35.44,1,1,0,1,2025-11-15
2022,DE,75.65,0,1,236,420,94.57,55.84,EU_PSI_STANDARD,361,SUBSTANTIAL,1,2322,33.84,0,0,1,0,2025-04-12
2023,LV,31.64,1,0,204,226,85.88,49.82,CC_BY_4_0,475,LOW,0,2304,46.91,1,1,1,0,2024-10-14
2024,PL,45.28,1,1,239,191,36.51,64.21,ODC_BY,337,HIGH,0,413,19.56,1,0,1,0,2024-01-05
2025,ES,63.52,1,1,235,259,77.21,44.63,OTHER,210,SUBSTANTIAL,1,483,33.17,0,0,0,0,2025-04-04
2026,HR,23.52,1,1,185,431,87.81,44.29,CC0_1_0,488,LOW,0,3156,68.74,1,0,0,0,2024-11-05
2014,FI,33.0,1,1,220,319,86.53,42.79,EU_PSI_STANDARD,283,HIGH,1,990,53.35,0,1,1,1,2025-04-01
2015,IE,61.64,1,1,185,350,59.91,55.4,CC_BY_4_0,611,SUBSTANTIAL,1,1327,78.93,0,1,1,0,2024-03-10
2016,MT,71.63,1,1,247,305,53.85,50.1,ODC_BY,634,LOW,0,1975,53.28,1,0,0,0,2025-05-27
2017,SK,80.53,1,1,209,188,69.15,83.56,OTHER,388,HIGH,1,550,19.91,0,1,0,1,2025-04-26
2018,BE,74.22,1,0,239,256,53.79,85.49,CC0_1_0,417,SUBSTANTIAL,1,1871,72.77,1,0,1,1,2025-07-21
2019,DK,26.64,1,1,222,356,79.72,83.23,EU_PSI_STANDARD,452,LOW,0,1539,21.51,1,0,0,0,2025-07-25
2020,GR,67.66,1,1,229,222,56.97,65.73,CC_BY_4_0,211,HIGH,0,3920,95.14,1,0,1,1,2024-08-24
2021,LT,54.76,1,1,214,220,74.58,52.55,ODC_BY,319,SUBSTANTIAL,0,1161,23.83,0,0,0,0,2025-08-04
2022,PT,44.18,1,1,188,309,92.37,74.99,OTHER,429,LOW,1,266,70.52,1,1,0,0,2025-04-10
2023,SE,59.58,1,1,199,345,36.78,95.47,CC0_1_0,473,HIGH,1,4005,82.2,0,0,0,1,2025-04-12
2024,CY,65.53,1,1,245,277,83.98,64.32,EU_PSI_STANDARD,387,SUBSTANTIAL,1,3412,41.49,0,0,1,0,2026-02-07
2025,FR,65.59,0,0,240,238,78.21,96.13,CC_BY_4_0,683,LOW,0,2280,41.54,1,0,1,0,2024-10-21
2026,IT,67.47,0,0,195,243,69.58,72.82,ODC_BY,626,HIGH,0,1858,75.28,0,0,1,1,2024-03-31
2014,NL,27.48,1,0,231,327,37.26,81.62,OTHER,620,SUBSTANTIAL,1,3192,88.13,0,1,0,0,2025-10-03
2015,SI,94.02,1,1,224,251,36.84,91.84,CC0_1_0,292,LOW,0,3361,84.03,1,1,1,0,2024-11-21
2016,BG,90.25,0,0,250,220,42.71,91.62,EU_PSI_STANDARD,245,HIGH,0,2207,76.4,1,0,1,1,2024-06-20
2017,EE,29.83,0,1,245,424,90.37,90.98,CC_BY_4_0,446,SUBSTANTIAL,0,2414,90.1,0,1,0,0,2025-06-27
2018,HU,22.73,1,1,223,323,69.87,65.93,ODC_BY,409,LOW,0,2791,87.03,0,0,1,1,2024-02-09
2019,LU,53.06,1,0,197,349,91.39,74.62,OTHER,506,HIGH,0,3170,54.61,1,0,1,0,2024-06-04
2020,RO,91.15,1,1,262,374,88.96,98.43,CC0_1_0,323,SUBSTANTIAL,1,873,39.52,0,1,1,0,2025-01-02
2021,AT,71.17,1,1,251,438,42.92,65.02,EU_PSI_STANDARD,587,LOW,0,1788,57.23,1,0,1,1,2024-01-27
2022,CZ,92.51,1,0,237,277,69.07,76.12,CC_BY_4_0,554,HIGH,1,2049,84.0,0,1,0,1,2024-02-17
2023,DE,29.3,1,0,221,392,52.4,98.49,ODC_BY,669,SUBSTANTIAL,0,2273,54.61,0,0,0,1,2024-12-01
2024,LV,89.94,1,1,225,454,38.81,85.05,OTHER,392,LOW,0,783,84.83,0,1,0,0,2024-08-22
2025,PL,27.92,1,1,275,380,86.41,72.51,CC0_1_0,341,HIGH,1,2638,47.97,1,0,1,1,2025-10-18
2026,ES,23.59,1,1,274,410,65.38,83.18,EU_PSI_STANDARD,589,SUBSTANTIAL,1,2764,73.6,1,0,0,0,2025-08-09
2014,HR,44.67,1,0,233,283,93.53,87.53,CC_BY_4_0,638,LOW,0,622,82.21,1,0,1,1,2025-07-14
2015,FI,29.72,1,1,261,242,78.25,48.41,ODC_BY,660,HIGH,1,3106,77.49,1,1,1,1,2025-09-07
