civ_trans_reference_year,civ_trans_register_entity_id,civ_trans_entity_type_code,civ_trans_headquarters_country_iso2,civ_trans_policy_area_code,civ_trans_declared_spend_eur,civ_trans_spend_bracket_code,civ_trans_number_of_persons_involved,civ_trans_meetings_commissioners_count,civ_trans_meetings_cabinet_count,civ_trans_meetings_meps_count,civ_trans_legislative_files_targeted_count,civ_trans_clients_count,civ_trans_consultation_participations_count,civ_trans_code_of_conduct_breach_flag,civ_trans_sanction_type_code,civ_trans_sanction_date,civ_trans_data_source,civ_trans_last_update_date,civ_trans_data_extract_date
2023,REG_2023_000062,NGO,PL,SECURITY,6263698.27,5M_PLUS,111,17,8,25,32,13,1,0,NONE,,PUBLIC_DISCLOSURE_API,2023-02-09,2024-08-31
2024,REG_2024_000063,PUBLIC_BODY,US,AGRICULTURE,1406286.94,1M_4_9M,141,16,23,30,54,21,34,0,NONE,,JOINT_SECRETARIAT,2025-02-03,2025-05-23
2025,REG_2025_000064,TRADE_ASSOCIATION,CA,TRANSPORT,6474785.03,5M_PLUS,101,17,10,49,54,1,40,0,NONE,,EU_TRANSPARENCY_REGISTER,2025-06-07,2025-02-21
2026,REG_2026_000065,COMPANY,CY,ENERGY,7324602.53,5M_PLUS,88,12,1,65,88,39,29,0,NONE,,PUBLIC_DISCLOSURE_API,2026-07-04,2025-02-23
2014,REG_2014_000066,THINK_TANK,GR,DIGITAL,10793499.72,5M_PLUS,74,6,7,12,50,34,27,0,NONE,,JOINT_SECRETARIAT,2015-05-25,2025-05-07
2015,REG_2015_000067,CONSULTANCY,MT,DATA_GOV,8643208.94,5M_PLUS,120,13,20,42,11,18,10,0,NONE,,EU_TRANSPARENCY_REGISTER,2016-08-28,2025-12-02
2016,REG_2016_000068,UNIVERSITY,ES,CONSUMER,1679011.25,1M_4_9M,76,15,26,7,50,33,17,0,NONE,,PUBLIC_DISCLOSURE_API,2016-03-09,2024-11-25
2017,REG_2017_000069,LAW_FIRM,UA,MIGRATION,4469948.4,1M_4_9M,98,25,10,30,65,179,15,0,NONE,,JOINT_SECRETARIAT,2018-11-28,2024-09-01
2018,REG_2018_000070,NGO,BG,FINANCE,1179209.43,1M_4_9M,78,19,15,42,18,4,40,0,NONE,,EU_TRANSPARENCY_REGISTER,2019-01-31,2025-04-14
2019,REG_2019_000071,PUBLIC_BODY,FR,HEALTH,1858057.58,1M_4_9M,140,22,31,10,42,16,53,0,NONE,,PUBLIC_DISCLOSURE_API,2020-06-25,2025-04-26
2020,REG_2020_000072,TRADE_ASSOCIATION,LT,CLIMATE,5333466.89,5M_PLUS,124,19,35,19,72,6,5,0,NONE,,JOINT_SECRETARIAT,2020-02-13,2025-11-08
2021,REG_2021_000073,COMPANY,SK,SPACE,3490666.37,1M_4_9M,107,11,30,49,47,32,47,0,NONE,,EU_TRANSPARENCY_REGISTER,2022-09-01,2024-08-21
2022,REG_2022_000074,THINK_TANK,NO,COMPETITION,6368248.9,5M_PLUS,92,2,22,30,62,29,4,0,NONE,,PUBLIC_DISCLOSURE_API,2023-09-12,2024-06-06
2023,REG_2023_000075,CONSULTANCY,AT,SECURITY,1355010.72,1M_4_9M,95,0,21,46,48,92,3,0,NONE,,JOINT_SECRETARIAT,2024-03-05,2025-10-03
2024,REG_2024_000076,UNIVERSITY,EE,AGRICULTURE,34596.21,10000_49999,114,6,31,57,79,24,37,1,WARNING,2024-04-10,EU_TRANSPARENCY_REGISTER,2025-03-25,2025-10-24
2025,REG_2025_000077,LAW_FIRM,IT,TRANSPORT,539125.11,500000_999999,90,5,19,50,85,175,7,0,NONE,,PUBLIC_DISCLOSURE_API,2026-02-27,2026-02-01
2026,REG_2026_000078,NGO,PT,ENERGY,1538637.35,1M_4_9M,95,17,31,35,30,4,13,0,NONE,,JOINT_SECRETARIAT,2026-08-23,2024-11-03
2014,REG_2014_000079,PUBLIC_BODY,GB,DIGITAL,1273906.9,1M_4_9M,127,4,5,40,77,37,22,0,NONE,,EU_TRANSPARENCY_REGISTER,2015-04-26,2025-03-15
2015,REG_2015_000080,TRADE_ASSOCIATION,JP,DATA_GOV,4508633.14,1M_4_9M,131,1,19,6,41,14,16,0,NONE,,PUBLIC_DISCLOSURE_API,2015-08-30,2025-05-10
2016,REG_2016_000081,COMPANY,CZ,CONSUMER,59220.88,50000_99999,146,3,19,29,5,38,55,0,NONE,,JOINT_SECRETARIAT,2016-06-28,2024-09-14
2017,REG_2017_000082,THINK_TANK,HU,MIGRATION,4713451.23,1M_4_9M,111,1,10,53,55,15,2,0,NONE,,EU_TRANSPARENCY_REGISTER,2017-06-14,2024-02-03
2018,REG_2018_000083,CONSULTANCY,NL,FINANCE,3011599.22,1M_4_9M,158,9,25,1,72,79,23,0,NONE,,PUBLIC_DISCLOSURE_API,2019-06-01,2024-11-19
2019,REG_2019_000084,UNIVERSITY,SE,HEALTH,4986985.72,1M_4_9M,106,14,10,20,97,20,16,0,NONE,,JOINT_SECRETARIAT,2019-04-01,2025-08-16
2020,REG_2020_000085,LAW_FIRM,TR,CLIMATE,2796223.55,1M_4_9M,140,13,11,56,78,84,21,0,NONE,,EU_TRANSPARENCY_REGISTER,2021-09-04,2025-06-30
2021,REG_2021_000086,NGO,HR,SPACE,1212297.09,1M_4_9M,153,17,11,0,47,8,12,0,NONE,,PUBLIC_DISCLOSURE_API,2022-04-13,2024-03-24
2022,REG_2022_000087,PUBLIC_BODY,DE,COMPETITION,10250436.57,5M_PLUS,132,3,5,42,3,14,14,0,NONE,,JOINT_SECRETARIAT,2022-09-18,2024-12-16
2023,REG_2023_000088,TRADE_ASSOCIATION,LU,SECURITY,644486.08,500000_999999,168,6,4,12,35,22,39,0,NONE,,EU_TRANSPARENCY_REGISTER,2024-04-02,2024-02-03
2024,REG_2024_000089,COMPANY,SI,AGRICULTURE,7629419.3,5M_PLUS,89,3,7,10,42,12,13,0,NONE,,PUBLIC_DISCLOSURE_API,2025-11-01,2025-11-09
2025,REG_2025_000090,THINK_TANK,IS,TRANSPORT,951327.92,500000_999999,144,6,31,58,79,12,44,0,NONE,,JOINT_SECRETARIAT,2026-03-03,2024-06-09
2026,REG_2026_000091,CONSULTANCY,BE,ENERGY,1998461.17,1M_4_9M,166,17,35,40,13,142,20,0,NONE,,EU_TRANSPARENCY_REGISTER,2026-12-08,2024-10-08
2014,REG_2014_000092,UNIVERSITY,FI,DIGITAL,4005781.68,1M_4_9M,168,12,31,36,35,37,33,0,NONE,,PUBLIC_DISCLOSURE_API,2015-03-14,2025-01-26
2015,REG_2015_000093,LAW_FIRM,LV,DATA_GOV,5491614.25,5M_PLUS,103,19,2,44,74,60,22,0,NONE,,JOINT_SECRETARIAT,2015-11-29,2024-03-14
2016,REG_2016_000094,NGO,RO,CONSUMER,7316587.81,5M_PLUS,171,12,16,45,29,21,47,0,NONE,,EU_TRANSPARENCY_REGISTER,2017-03-17,2025-09-02
2017,REG_2017_000095,PUBLIC_BODY,CH,MIGRATION,1021690.08,1M_4_9M,157,15,2,7,13,21,34,1,NONE,,PUBLIC_DISCLOSURE_API,2018-11-14,2025-03-10
2018,REG_2018_000096,TRADE_ASSOCIATION,KR,FINANCE,4234813.85,1M_4_9M,118,4,28,4,87,30,38,0,NONE,,JOINT_SECRETARIAT,2018-12-08,2024-09-23
2019,REG_2019_000097,COMPANY,DK,HEALTH,835871.37,500000_999999,132,7,21,53,73,39,31,0,NONE,,EU_TRANSPARENCY_REGISTER,2020-09-29,2026-01-08
2020,REG_2020_000098,THINK_TANK,IE,CLIMATE,5152783.48,5M_PLUS,151,11,28,50,64,39,42,0,NONE,,PUBLIC_DISCLOSURE_API,2020-12-17,2024-02-15
2021,REG_2021_000099,CONSULTANCY,PL,SPACE,6026081.44,5M_PLUS,164,0,24,36,78,210,51,0,NONE,,JOINT_SECRETARIAT,2022-08-01,2024-02-13
2022,REG_2022_000100,UNIVERSITY,US,COMPETITION,8118830.16,5M_PLUS,112,11,26,16,6,2,37,0,NONE,,EU_TRANSPARENCY_REGISTER,2023-02-21,2025-07-23
2023,REG_2023_000101,LAW_FIRM,CA,SECURITY,4701065.95,1M_4_9M,175,24,21,55,17,219,34,0,NONE,,PUBLIC_DISCLOSURE_API,2024-10-31,2025-09-19
2024,REG_2024_000102,NGO,CY,AGRICULTURE,4306796.79,1M_4_9M,133,2,17,34,26,2,23,0,NONE,,JOINT_SECRETARIAT,2024-06-01,2024-12-24
2025,REG_2025_000103,PUBLIC_BODY,GR,TRANSPORT,4701949.31,1M_4_9M,124,4,27,37,12,29,29,0,NONE,,EU_TRANSPARENCY_REGISTER,2026-11-22,2025-09-05
2026,REG_2026_000104,TRADE_ASSOCIATION,MT,ENERGY,1066921.42,1M_4_9M,153,13,27,45,13,19,20,0,NONE,,PUBLIC_DISCLOSURE_API,2026-08-20,2025-10-23
2014,REG_2014_000105,COMPANY,ES,DIGITAL,10449904.1,5M_PLUS,125,3,1,1,74,36,26,0,NONE,,JOINT_SECRETARIAT,2015-01-16,2024-11-24
2015,REG_2015_000106,THINK_TANK,UA,DATA_GOV,2217290.3,1M_4_9M,172,15,2,22,74,35,0,0,NONE,,EU_TRANSPARENCY_REGISTER,2015-07-31,2024-08-04
2016,REG_2016_000107,CONSULTANCY,BG,CONSUMER,4326883.42,1M_4_9M,162,13,17,57,2,188,2,0,NONE,,PUBLIC_DISCLOSURE_API,2016-06-05,2025-04-29
2017,REG_2017_000108,UNIVERSITY,FR,MIGRATION,4897220.12,1M_4_9M,115,12,8,10,24,34,50,0,NONE,,JOINT_SECRETARIAT,2017-01-09,2024-06-02
2018,REG_2018_000109,LAW_FIRM,LT,FINANCE,6150648.6,5M_PLUS,168,12,28,37,22,161,12,0,NONE,,EU_TRANSPARENCY_REGISTER,2018-08-19,2024-02-15
2019,REG_2019_000110,NGO,SK,HEALTH,4587314.1,1M_4_9M,135,2,26,33,50,14,34,0,NONE,,PUBLIC_DISCLOSURE_API,2019-09-02,2024-11-23
2020,REG_2020_000111,PUBLIC_BODY,NO,CLIMATE,152445.78,100000_499999,163,9,22,26,85,30,55,0,NONE,,JOINT_SECRETARIAT,2020-09-16,2024-08-21
2021,REG_2021_000112,TRADE_ASSOCIATION,AT,SPACE,7277082.35,5M_PLUS,163,8,23,9,36,0,54,0,NONE,,EU_TRANSPARENCY_REGISTER,2022-01-05,2024-06-13
2022,REG_2022_000113,COMPANY,EE,COMPETITION,6238924.21,5M_PLUS,177,17,11,34,29,29,0,0,NONE,,PUBLIC_DISCLOSURE_API,2023-10-26,2025-12-16
2023,REG_2023_000114,THINK_TANK,IT,SECURITY,5644711.3,5M_PLUS,157,22,14,18,26,32,9,0,NONE,,JOINT_SECRETARIAT,2024-03-23,2024-04-05
2024,REG_2024_000115,CONSULTANCY,PT,AGRICULTURE,5912895.42,5M_PLUS,151,17,8,53,68,26,45,0,NONE,,EU_TRANSPARENCY_REGISTER,2024-09-24,2025-06-24
2025,REG_2025_000116,UNIVERSITY,GB,TRANSPORT,909436.08,500000_999999,166,10,14,41,79,40,34,0,NONE,,PUBLIC_DISCLOSURE_API,2025-12-29,2024-09-19
2026,REG_2026_000117,LAW_FIRM,JP,ENERGY,2884157.35,1M_4_9M,184,4,13,30,71,40,9,0,NONE,,JOINT_SECRETARIAT,2026-08-30,2024-07-18
2014,REG_2014_000118,NGO,CZ,DIGITAL,1345534.98,1M_4_9M,153,13,29,14,31,21,18,0,NONE,,EU_TRANSPARENCY_REGISTER,2014-08-17,2025-11-26
2015,REG_2015_000119,PUBLIC_BODY,HU,DATA_GOV,3794471.05,1M_4_9M,124,3,26,26,68,19,9,0,NONE,,PUBLIC_DISCLOSURE_API,2015-03-29,2024-01-14
2016,REG_2016_000120,TRADE_ASSOCIATION,NL,CONSUMER,7424012.3,5M_PLUS,133,10,25,52,85,24,19,0,NONE,,JOINT_SECRETARIAT,2017-07-14,2026-01-11
2017,REG_2017_000121,COMPANY,SE,MIGRATION,1133956.68,1M_4_9M,157,17,29,34,73,33,39,0,NONE,,EU_TRANSPARENCY_REGISTER,2018-03-31,2025-01-04
2018,REG_2018_000122,THINK_TANK,TR,FINANCE,6860926.02,5M_PLUS,179,19,8,52,29,2,40,0,NONE,,PUBLIC_DISCLOSURE_API,2019-05-10,2024-06-18
2019,REG_2019_000123,CONSULTANCY,HR,HEALTH,5732629.7,5M_PLUS,151,5,6,38,81,105,9,0,NONE,,JOINT_SECRETARIAT,2019-05-12,2024-06-18
2020,REG_2020_000124,UNIVERSITY,DE,CLIMATE,6715711.1,5M_PLUS,186,11,23,43,29,39,40,1,FINE,2021-08-05,EU_TRANSPARENCY_REGISTER,2020-01-18,2025-04-05
2021,REG_2021_000125,LAW_FIRM,LU,SPACE,6157931.84,5M_PLUS,172,20,3,55,16,32,17,0,NONE,,PUBLIC_DISCLOSURE_API,2021-06-23,2026-01-21
2022,REG_2022_000126,NGO,SI,COMPETITION,5029272.13,5M_PLUS,169,9,8,68,68,11,48,0,NONE,,JOINT_SECRETARIAT,2022-09-01,2024-04-08
2023,REG_2023_000127,PUBLIC_BODY,IS,SECURITY,4452952.38,1M_4_9M,157,5,33,41,53,39,37,0,NONE,,EU_TRANSPARENCY_REGISTER,2023-07-21,2024-12-08
2024,REG_2024_000128,TRADE_ASSOCIATION,BE,AGRICULTURE,4707361.87,1M_4_9M,186,19,7,57,20,6,36,0,NONE,,PUBLIC_DISCLOSURE_API,2025-08-06,2025-08-10
2025,REG_2025_000129,COMPANY,FI,TRANSPORT,8681297.52,5M_PLUS,158,18,1,9,56,23,18,0,NONE,,JOINT_SECRETARIAT,2026-11-06,2024-02-19
2026,REG_2026_000130,THINK_TANK,LV,ENERGY,223040.8,100000_499999,178,4,17,24,18,28,52,0,NONE,,EU_TRANSPARENCY_REGISTER,2026-03-26,2025-07-05
2014,REG_2014_000131,CONSULTANCY,RO,DIGITAL,3710378.41,1M_4_9M,197,20,9,21,0,89,36,0,NONE,,PUBLIC_DISCLOSURE_API,2014-02-01,2024-11-25
2015,REG_2015_000132,UNIVERSITY,CH,DATA_GOV,1613424.06,1M_4_9M,156,13,27,55,83,35,14,0,NONE,,JOINT_SECRETARIAT,2016-11-03,2024-08-06
2016,REG_2016_000133,LAW_FIRM,KR,CONSUMER,8419207.52,5M_PLUS,207,10,9,18,44,245,26,0,NONE,,EU_TRANSPARENCY_REGISTER,2016-08-20,2025-08-21
2017,REG_2017_000134,NGO,DK,MIGRATION,2991429.99,1M_4_9M,164,7,17,18,8,20,28,0,NONE,,PUBLIC_DISCLOSURE_API,2018-10-06,2024-06-09
2018,REG_2018_000135,PUBLIC_BODY,IE,FINANCE,3171656.54,1M_4_9M,154,2,23,20,41,24,55,0,NONE,,JOINT_SECRETARIAT,2019-06-03,2024-08-31
2019,REG_2019_000136,TRADE_ASSOCIATION,PL,HEALTH,8043658.11,5M_PLUS,185,5,2,31,55,38,53,0,NONE,,EU_TRANSPARENCY_REGISTER,2019-02-24,2024-04-17
2020,REG_2020_000137,COMPANY,US,CLIMATE,318998.56,100000_499999,212,15,21,7,43,29,20,0,NONE,,PUBLIC_DISCLOSURE_API,2021-02-16,2024-03-17
2021,REG_2021_000138,THINK_TANK,CA,SPACE,2946626.05,1M_4_9M,154,3,1,4,24,16,38,0,NONE,,JOINT_SECRETARIAT,2022-05-26,2025-09-02
2022,REG_2022_000139,CONSULTANCY,CY,COMPETITION,587975.4,500000_999999,190,11,17,53,66,241,41,0,NONE,,EU_TRANSPARENCY_REGISTER,2023-12-07,2025-09-19
