env_adapt_reference_year,env_adapt_country_iso2,env_adapt_region_nuts_code,env_adapt_hazard_type_code,env_adapt_hazard_frequency_index,env_adapt_hazard_severity_index,env_adapt_population_exposed_count,env_adapt_assets_exposed_eur,env_adapt_vulnerability_index,env_adapt_adaptive_capacity_index,env_adapt_expected_annual_loss_eur,env_adapt_insurance_penetration_pct,env_adapt_national_adaptation_plan_flag,env_adapt_local_adaptation_plan_count,env_adapt_nature_based_solutions_area_ha,env_adapt_climate_services_usage_flag,env_adapt_disaster_risk_reduction_investment_eur,env_adapt_solidarity_fund_activation_flag,env_adapt_data_source,env_adapt_data_extract_date
2020,PT,FR7,FLOOD_RIVER,0.3158,0.7011,24733,47844895140.06,0.3761,0.556,225750973.64,17.14,1,133,82718.77,1,1467301424.89,0,REGIONAL_RESILIENCE_REPORT,2025-03-06
2021,SE,SE795,HEATWAVE,0.9057,0.9297,33228,23296871662.21,0.1723,0.7251,208159538.5,5.93,1,51,72106.89,1,840424499.64,1,EEA_CLIMATE_ADAPTATION_DB,2025-11-10
2022,CY,PL680,COLD_SPELL,0.2618,0.8578,19215,33075744683.99,0.51,0.8282,299609108.67,80.88,0,43,3741.86,1,2246410620.42,0,COPERNICUS_C3S_INDICATORS,2025-05-12
2023,FR,PL6,LANDSLIDE,0.1326,0.5519,26015,51982419622.83,0.6558,0.1221,180082782.15,19.45,1,237,6771.4,1,930540640.94,0,NATIONAL_RISK_ASSESSMENT,2024-12-19
2024,IT,HU7,STORM_WIND,0.6336,0.4238,51720,47116257031.98,0.7064,0.5572,356843256.55,15.77,0,218,24374.75,1,2037389113.83,0,REGIONAL_RESILIENCE_REPORT,2024-10-11
2025,NL,PL4,WILDFIRE,0.1878,0.8932,79071,16606940179.13,0.4338,0.3381,96504259.76,19.41,0,59,11409.49,0,249500999.3,0,EEA_CLIMATE_ADAPTATION_DB,2024-08-31
2005,SI,SI9,DROUGHT,0.5099,0.3469,39437,164733280.77,0.4138,0.9708,630530.95,24.54,1,109,25224.24,0,749243321.32,0,COPERNICUS_C3S_INDICATORS,2024-09-25
2006,BG,PL1,FLOOD_COASTAL,0.8382,0.1465,45395,18203081166.29,0.4038,0.2665,70269547.93,82.64,0,63,36438.74,0,324522362.53,0,NATIONAL_RISK_ASSESSMENT,2024-10-04
2007,EE,FI4,FLOOD_RIVER,0.0793,0.7466,44231,32428776239.89,0.9206,0.5043,100260689.97,9.92,0,28,18836.04,0,3104576895.75,0,REGIONAL_RESILIENCE_REPORT,2025-02-09
2008,HU,ES234,HEATWAVE,0.3072,0.1748,30864,46898475812.92,0.5407,0.7962,68740939.62,6.86,1,155,85042.39,1,4155735719.01,0,EEA_CLIMATE_ADAPTATION_DB,2024-01-26
2009,LU,EE86,COLD_SPELL,0.1109,0.7779,65674,27542172098.04,0.8732,0.6624,32321980.02,57.38,0,196,20909.93,0,2006544878.53,0,COPERNICUS_C3S_INDICATORS,2024-05-10
2010,RO,DE84,LANDSLIDE,0.3338,0.5638,32114,19629498811.22,0.1558,0.8576,21380877.83,84.48,1,78,26625.11,0,1620715719.96,0,NATIONAL_RISK_ASSESSMENT,2025-03-08
2011,AT,CZ783,STORM_WIND,0.5004,0.8294,15271,1380328113.31,0.7365,0.2117,32591686.18,42.1,0,209,35186.67,0,3666007669.09,0,REGIONAL_RESILIENCE_REPORT,2024-05-19
2012,CZ,ES86,WILDFIRE,0.8147,0.9203,44918,38213478566.7,0.7758,0.1309,272923926.97,23.92,1,96,16971.81,1,1721886857.13,0,EEA_CLIMATE_ADAPTATION_DB,2026-02-04
2013,DE,HR8,DROUGHT,0.8312,0.1592,67037,40917066368.76,0.4771,0.6029,131947805.56,26.06,1,47,23454.14,0,633942549.76,0,COPERNICUS_C3S_INDICATORS,2024-06-04
2014,LV,PT76,FLOOD_COASTAL,0.2353,0.5629,57817,24662250524.03,0.4125,0.9021,21600729.08,75.52,1,60,78648.56,0,1628900576.82,0,NATIONAL_RISK_ASSESSMENT,2026-02-11
2015,PL,DK685,FLOOD_RIVER,0.6535,0.8681,57116,6705146474.79,0.6191,0.7507,177858434.73,29.25,1,185,37571.16,1,603363036.78,0,REGIONAL_RESILIENCE_REPORT,2025-12-29
2016,ES,PL145,HEATWAVE,0.2939,0.1132,17274,43087560300.19,0.5252,0.6111,42877683.05,13.15,1,194,80188.27,1,1066763914.78,0,EEA_CLIMATE_ADAPTATION_DB,2024-02-08
2017,HR,MT984,COLD_SPELL,0.8269,0.6052,85659,46096314021.38,0.3625,0.453,128983456.15,7.75,1,64,1294.26,1,1853604854.55,0,COPERNICUS_C3S_INDICATORS,2025-01-22
2018,FI,HR804,LANDSLIDE,0.176,0.6651,16919,14074233138.65,0.7376,0.3666,64406295.13,12.37,1,89,36120.4,0,2125782907.49,0,NATIONAL_RISK_ASSESSMENT,2025-10-24
2019,IE,LV70,STORM_WIND,0.5232,0.3599,32604,30531050529.93,0.3028,0.1912,118854305.9,81.06,1,185,32612.87,0,219021201.31,0,REGIONAL_RESILIENCE_REPORT,2024-12-14
2020,MT,AT35,WILDFIRE,0.5104,0.9044,91334,27850946161.02,0.2688,0.9728,132054226.75,42.01,0,137,1906.79,1,2171185356.07,0,EEA_CLIMATE_ADAPTATION_DB,2024-02-12
2021,SK,SI450,DROUGHT,0.9459,0.8406,89810,1377386353.12,0.8126,0.1505,37894309.23,26.49,1,145,9313.24,0,353437201.94,0,COPERNICUS_C3S_INDICATORS,2024-01-08
2022,BE,PT499,FLOOD_COASTAL,0.0888,0.4398,76127,57436032149.1,0.1273,0.8052,16746955.9,75.62,1,34,50585.78,1,2845184373.07,0,NATIONAL_RISK_ASSESSMENT,2025-02-23
2023,DK,DK567,FLOOD_RIVER,0.3229,0.6597,33720,4283662456.44,0.3829,0.2972,8782476.3,20.68,1,178,20874.0,0,3439095913.13,0,REGIONAL_RESILIENCE_REPORT,2025-03-22
2024,GR,FR95,HEATWAVE,0.3855,0.5053,60330,44526495005.92,0.1928,0.9708,45403244.4,11.27,1,217,66736.77,1,2265131010.71,0,EEA_CLIMATE_ADAPTATION_DB,2025-11-15
2025,LT,MT41,COLD_SPELL,0.5569,0.8105,88691,14963821456.74,0.5225,0.1835,140453272.42,42.04,1,100,11065.9,1,543204530.83,0,COPERNICUS_C3S_INDICATORS,2024-03-14
2005,PT,CY145,LANDSLIDE,0.6726,0.2774,97179,24293960959.03,0.5408,0.2761,159463202.03,81.31,1,139,74623.69,1,729537430.72,0,NATIONAL_RISK_ASSESSMENT,2025-01-20
2006,SE,SK19,STORM_WIND,0.4897,0.6733,87145,26107788970.54,0.3856,0.7301,148155655.22,63.06,1,203,64066.65,0,955072904.19,0,REGIONAL_RESILIENCE_REPORT,2024-06-10
2007,CY,PT375,WILDFIRE,0.2805,0.2488,26051,21890688457.89,0.7102,0.6677,86182327.56,20.3,1,71,46121.45,0,1519821706.93,0,EEA_CLIMATE_ADAPTATION_DB,2025-05-09
2008,FR,AT6,DROUGHT,0.2144,0.6189,61431,38461577533.24,0.3,0.856,22053305.55,18.44,0,35,76132.87,0,3780363688.88,1,COPERNICUS_C3S_INDICATORS,2024-10-25
2009,IT,HU581,FLOOD_COASTAL,0.0537,0.7571,94315,12880786074.31,0.4392,0.2901,3033396.83,74.82,0,136,27129.64,0,3735915784.54,0,NATIONAL_RISK_ASSESSMENT,2025-03-16
2010,NL,HR1,FLOOD_RIVER,0.3633,0.338,79609,42592879069.17,0.837,0.257,265682794.64,66.0,0,187,21024.36,1,1502978188.66,0,REGIONAL_RESILIENCE_REPORT,2024-04-04
2011,SI,BE9,HEATWAVE,0.7231,0.7479,84525,36949796086.96,0.2991,0.3738,185927885.48,15.74,1,69,69118.42,1,3143992550.73,0,EEA_CLIMATE_ADAPTATION_DB,2024-11-08
2012,BG,HU2,COLD_SPELL,0.6474,0.493,101094,29743913061.74,0.8072,0.6772,286443717.38,50.75,1,26,34659.37,1,1949495725.15,0,COPERNICUS_C3S_INDICATORS,2024-01-14
2013,EE,LT22,LANDSLIDE,0.152,0.46,80169,6922656212.55,0.191,0.8807,4063155.02,60.76,0,198,42985.04,1,2282156478.45,0,NATIONAL_RISK_ASSESSMENT,2025-12-02
2014,HU,LU9,STORM_WIND,0.833,0.1622,53428,20926155183.95,0.8534,0.3974,45922516.03,83.35,1,79,37491.93,1,3715078514.31,0,REGIONAL_RESILIENCE_REPORT,2026-01-01
2015,LU,GR25,WILDFIRE,0.6544,0.6996,78379,48519152901.41,0.8005,0.1927,1151137590.25,60.34,0,181,18041.81,1,990873800.13,1,EEA_CLIMATE_ADAPTATION_DB,2025-05-28
2016,RO,LT464,DROUGHT,0.1969,0.5889,33720,73943857790.82,0.8548,0.9651,190571005.08,44.04,1,137,38033.94,0,1272017671.31,0,COPERNICUS_C3S_INDICATORS,2025-05-16
2017,AT,IE58,FLOOD_COASTAL,0.8941,0.4504,41156,64781606689.31,0.8137,0.2716,675387423.41,21.49,1,64,82786.84,0,1589768828.14,0,NATIONAL_RISK_ASSESSMENT,2024-01-23
2018,CZ,FI825,FLOOD_RIVER,0.05,0.8029,84566,25593582949.45,0.7305,0.6858,39633732.88,19.09,0,47,20356.68,1,1209730080.25,1,REGIONAL_RESILIENCE_REPORT,2024-07-25
2019,DE,IT74,HEATWAVE,0.7829,0.1068,32866,18195703408.94,0.7181,0.7357,51679544.13,12.92,1,44,5612.68,1,1144885125.58,0,EEA_CLIMATE_ADAPTATION_DB,2025-05-23
2020,LV,HU28,COLD_SPELL,0.0615,0.8402,103044,31177577284.27,0.1033,0.3069,5450257.5,62.41,1,201,40550.4,0,4136166357.31,0,COPERNICUS_C3S_INDICATORS,2024-03-08
2021,PL,DK829,LANDSLIDE,0.2377,0.6047,45964,16987915994.97,0.4118,0.4274,26042279.33,5.89,1,44,74322.12,1,1163829542.43,0,NATIONAL_RISK_ASSESSMENT,2026-02-05
2022,ES,PT158,STORM_WIND,0.812,0.8332,53517,51420242063.95,0.1341,0.3486,244367440.29,57.11,1,78,13104.56,0,2668594046.18,0,REGIONAL_RESILIENCE_REPORT,2024-08-16
2023,HR,MT6,WILDFIRE,0.8451,0.9591,107721,42669746376.57,0.192,0.1393,312122774.86,47.32,0,180,1284.25,0,155872347.39,1,EEA_CLIMATE_ADAPTATION_DB,2025-05-26
2024,FI,RO538,DROUGHT,0.435,0.4622,103733,8868788452.39,0.4811,0.7781,12889524.03,37.21,1,218,40561.19,0,2998351727.39,0,COPERNICUS_C3S_INDICATORS,2025-05-27
2025,IE,RO209,FLOOD_COASTAL,0.9344,0.5559,46875,7568606022.98,0.2037,0.7975,27243297.17,32.93,0,98,80885.26,0,1204993276.6,0,NATIONAL_RISK_ASSESSMENT,2025-11-14
2005,MT,PL314,FLOOD_RIVER,0.7024,0.2628,102182,27146794910.75,0.579,0.5409,86943341.29,61.21,1,56,25826.79,0,631919805.57,1,REGIONAL_RESILIENCE_REPORT,2024-01-10
2006,SK,NL74,HEATWAVE,0.4384,0.1038,47973,20932435381.27,0.2656,0.8945,2723378.74,26.79,1,140,92744.15,1,106364975.72,0,EEA_CLIMATE_ADAPTATION_DB,2026-01-03
2007,BE,ES96,COLD_SPELL,0.3231,0.1585,97044,48413940753.23,0.2139,0.2198,10974307.28,66.66,0,122,66666.27,1,2111398449.92,0,COPERNICUS_C3S_INDICATORS,2025-04-15
2008,DK,HR173,LANDSLIDE,0.1353,0.9347,101229,38815800004.89,0.1681,0.8996,15573737.16,44.88,1,203,25415.7,1,1397209769.08,0,NATIONAL_RISK_ASSESSMENT,2024-11-27
2009,GR,ES849,STORM_WIND,0.0619,0.2792,105093,32372837739.06,0.4793,0.6348,12148123.46,33.39,0,175,33475.98,0,1186345212.91,0,REGIONAL_RESILIENCE_REPORT,2024-03-26
2010,LT,LV517,WILDFIRE,0.0814,0.4697,81514,71936070055.92,0.9488,0.6332,122160735.21,77.1,1,26,45516.2,1,1428823879.85,0,EEA_CLIMATE_ADAPTATION_DB,2025-05-05
2011,PT,PT904,DROUGHT,0.3088,0.3827,58568,70352482744.99,0.1903,0.6934,74688882.63,24.59,0,209,5826.93,0,2291209594.11,0,COPERNICUS_C3S_INDICATORS,2024-10-10
2012,SE,DE31,FLOOD_COASTAL,0.5224,0.2041,111316,11807900742.48,0.3955,0.4249,30681179.46,75.22,1,73,32321.84,0,758063606.65,0,NATIONAL_RISK_ASSESSMENT,2025-03-10
2013,CY,SK27,FLOOD_RIVER,0.6738,0.2711,35134,8685214007.0,0.9104,0.2394,44358517.98,65.15,0,117,74592.94,1,241173638.1,0,REGIONAL_RESILIENCE_REPORT,2025-01-05
2014,FR,RO127,HEATWAVE,0.5563,0.5445,51058,61895522707.78,0.3901,0.5426,184252616.84,52.19,1,112,21744.84,1,4325854309.25,0,EEA_CLIMATE_ADAPTATION_DB,2024-07-25
2015,IT,LT284,COLD_SPELL,0.0715,0.8829,94332,61538567295.61,0.2282,0.4697,57995594.99,46.97,1,182,9520.94,1,2149512499.95,0,COPERNICUS_C3S_INDICATORS,2025-01-09
2016,NL,AT466,LANDSLIDE,0.7226,0.4027,35356,20357193055.68,0.1745,0.4193,60621473.35,30.65,1,211,49122.41,0,1486582471.07,0,NATIONAL_RISK_ASSESSMENT,2025-04-23
2017,SI,CY972,STORM_WIND,0.699,0.9139,65178,13684580601.33,0.9069,0.9063,149034179.68,43.69,0,166,8780.71,0,71695830.26,0,REGIONAL_RESILIENCE_REPORT,2024-06-30
2018,BG,FI239,WILDFIRE,0.9203,0.7138,73915,36977017033.62,0.7874,0.8879,674880193.82,15.07,0,83,46842.61,1,605317471.22,0,EEA_CLIMATE_ADAPTATION_DB,2024-08-02
2019,EE,DK83,DROUGHT,0.2992,0.8303,73348,10928289596.29,0.7216,0.5151,100238964.74,27.72,1,204,65272.27,0,251514277.68,0,COPERNICUS_C3S_INDICATORS,2024-11-22
2020,HU,LV30,FLOOD_COASTAL,0.8375,0.8271,78946,11196200373.99,0.447,0.8766,162902726.57,56.59,1,156,85608.05,1,228067708.75,0,NATIONAL_RISK_ASSESSMENT,2025-06-26
2021,LU,EE52,FLOOD_RIVER,0.1481,0.1953,61073,61681583301.52,0.3986,0.5189,8211774.26,80.12,1,52,44728.46,0,522435092.64,0,REGIONAL_RESILIENCE_REPORT,2024-05-17
2022,RO,HU21,HEATWAVE,0.9146,0.2783,79692,8178637765.87,0.6027,0.5505,82652179.46,55.86,1,210,44392.16,1,2306994653.42,0,EEA_CLIMATE_ADAPTATION_DB,2024-12-18
2023,AT,DK208,COLD_SPELL,0.2674,0.6427,89973,53941405328.74,0.3251,0.9131,114652658.61,75.62,0,127,49943.39,1,734357069.08,0,COPERNICUS_C3S_INDICATORS,2024-12-10
2024,CZ,FI280,LANDSLIDE,0.3993,0.9751,104633,5335363987.26,0.6193,0.5607,31602360.54,43.21,0,109,22384.24,0,2490272460.37,0,NATIONAL_RISK_ASSESSMENT,2024-10-28
2025,DE,MT96,STORM_WIND,0.3614,0.2598,115639,8048680781.24,0.8829,0.1716,44873193.97,79.35,1,242,36701.9,1,2312492899.8,0,REGIONAL_RESILIENCE_REPORT,2024-10-11
2005,LV,BG122,WILDFIRE,0.8425,0.7452,76525,45681309425.0,0.3875,0.7312,112466006.32,17.04,1,220,41202.85,1,49986752.94,0,EEA_CLIMATE_ADAPTATION_DB,2024-01-31
2006,PL,GR349,DROUGHT,0.153,0.5439,56952,26402675395.84,0.7758,0.5244,88587226.39,79.14,0,197,71759.16,1,2581523127.9,1,COPERNICUS_C3S_INDICATORS,2025-01-23
2007,ES,DE122,FLOOD_COASTAL,0.7332,0.9361,88440,10605798956.19,0.8314,0.4139,86588389.92,81.83,1,141,66182.49,0,24973797.4,0,NATIONAL_RISK_ASSESSMENT,2025-11-21
2008,HR,FI6,FLOOD_RIVER,0.8636,0.3537,103869,6966374192.74,0.8539,0.2347,111981914.11,31.0,1,204,85441.43,1,399469180.59,0,REGIONAL_RESILIENCE_REPORT,2025-11-12
2009,FI,SE1,HEATWAVE,0.3267,0.8527,89071,934281708.12,0.4048,0.5592,1324433.43,50.1,1,175,80934.48,1,1530937288.53,0,EEA_CLIMATE_ADAPTATION_DB,2024-11-04
2010,IE,RO413,COLD_SPELL,0.4658,0.8295,116185,1750550474.77,0.7312,0.5831,37217687.94,26.82,1,148,23812.48,0,1716084879.59,0,COPERNICUS_C3S_INDICATORS,2024-01-13
2011,MT,MT22,LANDSLIDE,0.5699,0.6479,74602,13457988613.13,0.4743,0.3334,139635671.96,54.45,0,7,6663.46,1,2207984495.47,0,NATIONAL_RISK_ASSESSMENT,2025-01-11
2012,SK,CZ1,STORM_WIND,0.4119,0.3711,121928,37298742486.43,0.8997,0.4378,307859154.17,13.26,1,119,59917.15,1,3367687066.36,0,REGIONAL_RESILIENCE_REPORT,2025-05-18
2013,BE,DK854,WILDFIRE,0.6235,0.6086,79617,1100878266.27,0.8496,0.7052,4723597.83,42.48,1,14,43943.29,0,2568127991.86,1,EEA_CLIMATE_ADAPTATION_DB,2024-06-04
2014,DK,LT86,DROUGHT,0.6552,0.1022,55988,25400210339.6,0.1886,0.5608,12223694.08,45.45,1,86,21054.67,0,1842480030.66,0,COPERNICUS_C3S_INDICATORS,2024-09-22
2015,GR,HR691,FLOOD_COASTAL,0.0938,0.6765,43880,31961476272.36,0.3788,0.9462,14972340.46,53.0,1,192,47219.31,1,61587543.42,0,NATIONAL_RISK_ASSESSMENT,2025-02-24
2016,LT,LV27,FLOOD_RIVER,0.5641,0.4957,73094,9644391204.63,0.6047,0.6219,19572534.86,25.13,1,11,22079.45,0,1952346461.79,0,REGIONAL_RESILIENCE_REPORT,2024-11-21
2017,PT,SE227,HEATWAVE,0.9408,0.6056,114762,23572033279.01,0.81,0.3796,236561527.88,39.09,1,120,67125.29,1,3261315028.62,0,EEA_CLIMATE_ADAPTATION_DB,2026-02-03
2018,SE,HU6,COLD_SPELL,0.4744,0.626,119946,3746575426.78,0.1461,0.1707,4577997.77,17.26,1,50,68818.84,1,1790593320.22,0,COPERNICUS_C3S_INDICATORS,2024-01-08
2019,CY,FR6,LANDSLIDE,0.2769,0.8963,122463,2594288928.11,0.2311,0.6515,1547154.55,68.61,1,106,31893.09,1,1310253175.87,0,NATIONAL_RISK_ASSESSMENT,2024-07-02
2020,FR,LT2,STORM_WIND,0.1424,0.7243,62890,8532047512.92,0.1393,0.9076,2415688.79,7.23,1,182,56518.72,1,407255838.68,0,REGIONAL_RESILIENCE_REPORT,2025-09-22
2021,IT,PL64,WILDFIRE,0.4069,0.9647,102174,41300195576.16,0.593,0.7813,541484781.43,18.6,1,172,5449.97,1,256864310.32,0,EEA_CLIMATE_ADAPTATION_DB,2025-10-02
2022,NL,NL87,DROUGHT,0.7315,0.7211,47915,6506209878.02,0.7026,0.5237,24557932.23,47.9,1,160,29893.33,0,1000058484.69,0,COPERNICUS_C3S_INDICATORS,2025-04-12
2023,SI,LV20,FLOOD_COASTAL,0.4543,0.7799,98310,2784170602.71,0.5179,0.1977,34015916.75,46.77,1,131,25892.39,0,1251604691.74,0,NATIONAL_RISK_ASSESSMENT,2025-03-24
2024,BG,SI4,FLOOD_RIVER,0.4687,0.349,97913,23830385472.35,0.1842,0.1349,9280910.95,14.18,1,124,76657.99,0,2438670147.97,0,REGIONAL_RESILIENCE_REPORT,2025-04-04
2025,EE,LT74,HEATWAVE,0.4265,0.7814,50806,52211789832.03,0.1027,0.8047,126899511.55,33.42,1,202,95147.16,1,2264672315.58,0,EEA_CLIMATE_ADAPTATION_DB,2025-06-25
2005,HU,FI115,COLD_SPELL,0.0774,0.566,96808,19301811324.14,0.6893,0.3874,44864205.73,78.76,0,18,3956.6,1,768182456.65,0,COPERNICUS_C3S_INDICATORS,2025-09-07
2006,LU,LT989,LANDSLIDE,0.5056,0.7582,52841,51022996061.23,0.7024,0.9163,838562675.84,68.99,0,105,24608.99,0,1719428617.02,1,NATIONAL_RISK_ASSESSMENT,2024-07-03
2007,RO,EE18,STORM_WIND,0.623,0.5841,65294,4518577274.69,0.9376,0.96,114925303.33,16.95,1,13,51686.47,1,523089550.5,0,REGIONAL_RESILIENCE_REPORT,2025-02-19
2008,AT,HU577,WILDFIRE,0.5593,0.5873,80520,43720520043.69,0.7839,0.4023,378283078.02,64.0,1,211,45369.5,0,1773783996.19,0,EEA_CLIMATE_ADAPTATION_DB,2025-03-17
2009,CZ,ES55,DROUGHT,0.7933,0.584,59518,20504425536.96,0.4675,0.4543,338928832.99,50.69,1,66,47784.61,1,355537634.67,1,COPERNICUS_C3S_INDICATORS,2024-03-23
2010,DE,AT379,FLOOD_COASTAL,0.5518,0.7789,112653,41045642165.87,0.1589,0.6198,207311780.48,17.81,1,136,67155.75,1,251563446.34,1,NATIONAL_RISK_ASSESSMENT,2024-03-16
2011,LV,LV660,FLOOD_RIVER,0.7196,0.9586,72926,18526306517.87,0.4812,0.3269,143128823.01,32.04,1,73,27908.21,1,3085594298.18,0,REGIONAL_RESILIENCE_REPORT,2025-01-20
2012,PL,GR912,HEATWAVE,0.2349,0.8773,93364,32073343327.43,0.8669,0.2314,159334161.11,10.01,1,49,97422.32,0,171520002.64,0,EEA_CLIMATE_ADAPTATION_DB,2024-10-26
2013,ES,PT510,COLD_SPELL,0.4223,0.9131,118021,24672474272.89,0.8928,0.2556,208014812.55,35.02,1,96,33028.75,1,2141953007.11,0,COPERNICUS_C3S_INDICATORS,2025-08-03
2014,HR,ES2,LANDSLIDE,0.199,0.7669,80917,33270538745.54,0.6659,0.9371,215084861.08,36.47,1,147,61143.27,1,575949788.38,0,NATIONAL_RISK_ASSESSMENT,2024-12-21
2015,FI,DE166,STORM_WIND,0.0746,0.8889,95228,17238225815.58,0.6257,0.4785,16417806.09,29.1,1,13,13809.38,0,966044188.34,0,REGIONAL_RESILIENCE_REPORT,2025-08-03
2016,IE,ES275,WILDFIRE,0.8979,0.7566,75061,26941643515.92,0.2382,0.7667,71817084.75,56.21,1,41,17438.1,0,629977531.67,0,EEA_CLIMATE_ADAPTATION_DB,2024-02-26
2017,MT,IT723,DROUGHT,0.7396,0.7987,58563,23198103714.5,0.251,0.3526,258214512.69,33.94,1,6,28957.82,1,2176712947.22,0,COPERNICUS_C3S_INDICATORS,2025-08-27
2018,SK,BE40,FLOOD_COASTAL,0.2681,0.3392,119299,12736150284.9,0.8123,0.3606,65393754.41,55.5,0,192,24894.68,1,171896981.27,0,NATIONAL_RISK_ASSESSMENT,2024-07-17
2019,BE,AT492,FLOOD_RIVER,0.1769,0.2733,111813,14744249822.3,0.4215,0.4991,13471456.21,40.64,1,132,60113.2,0,1022095811.05,0,REGIONAL_RESILIENCE_REPORT,2024-04-22
2020,DK,IT895,HEATWAVE,0.8136,0.4796,130166,11025782702.5,0.4675,0.9195,89640975.93,42.55,1,99,2344.6,0,389181676.02,0,EEA_CLIMATE_ADAPTATION_DB,2025-02-06
2021,GR,SE22,COLD_SPELL,0.2734,0.4938,86792,15608248184.66,0.6784,0.1886,17539284.46,73.78,0,36,41748.5,0,2516846096.02,0,COPERNICUS_C3S_INDICATORS,2025-08-12
2022,LT,ES589,LANDSLIDE,0.2219,0.1892,102159,56078544956.0,0.8259,0.7884,61911169.48,70.76,1,9,56213.62,0,832533177.96,1,NATIONAL_RISK_ASSESSMENT,2024-03-30
2023,PT,CY91,STORM_WIND,0.7448,0.5742,60844,61239152496.89,0.2388,0.7118,284374948.46,59.99,0,40,32585.93,1,2815036423.54,0,REGIONAL_RESILIENCE_REPORT,2025-06-22
2024,SE,LV88,WILDFIRE,0.8204,0.4532,121610,8533966606.49,0.6556,0.9596,29924988.75,6.08,0,100,39488.3,0,2241185899.23,0,EEA_CLIMATE_ADAPTATION_DB,2024-09-13
2025,CY,SI869,DROUGHT,0.4412,0.5359,59065,17668083082.39,0.4064,0.1922,19841855.7,13.1,0,112,73400.69,1,477384863.99,0,COPERNICUS_C3S_INDICATORS,2024-06-22
