house_rent_rent_month,house_rent_building_id_hash,house_rent_unit_bedroom_count,house_rent_asking_rent_inr,house_rent_effective_rent_inr,house_rent_rent_concession_weeks,house_rent_vacancy_rate_building,house_rent_lease_term_months,house_rent_tenant_income_requirement,house_rent_rent_to_income_ratio,house_rent_utility_included_flag,house_rent_pet_fee_inr,house_rent_application_fee_inr,house_rent_security_deposit_inr,house_rent_eviction_filing_rate,house_rent_rent_control_coverage_flag,house_rent_affordability_target_ami,house_rent_subsidy_waitlist_length,house_rent_move_in_incentive_flag,house_rent_renter_turnover_rate
2019-05,BLDG-650b828644d5,5,19117,18619,3,27.6,36,2.81,17.5,Y,24950,1324,352180,6.425,Y,96.4,16704,N,26.88
2024-02,BLDG-3411e3ccabc0,4,68698,64559,2,4.3,3,2.66,40.59,N,2979,1535,218338,4.246,N,95.5,35661,N,58.03
2022-05,BLDG-d53bf6e61329,4,46526,41623,4,20.38,9,4.34,42.76,Y,17560,1168,151172,2.111,N,125.6,6362,Y,30.33
2019-05,BLDG-9d9352d55c25,1,85456,75105,4,22.6,36,4.02,31.5,Y,20257,4230,319826,0.947,N,50.8,23497,N,40.92
2020-06,BLDG-b5869897c0ce,1,120990,109786,6,16.63,3,2.53,51.1,N,17878,3743,306536,0.248,N,51.3,28883,Y,4.06
2025-05,BLDG-fd2b069e65f0,5,61585,61758,1,16.68,11,1.93,19.39,N,11841,3418,288708,3.906,N,65.8,39740,Y,46.21
2024-07,BLDG-095797950f6d,4,60674,56684,6,4.19,24,2.5,40.01,Y,4944,148,241682,0.59,N,127.4,21698,N,9.5
2020-12,BLDG-ba32e35823bd,5,138839,119265,6,13.52,24,2.07,20.87,N,8424,2742,308229,4.91,Y,180.0,9831,Y,37.78
2020-12,BLDG-6445691dd6ae,5,62344,59711,3,22.38,36,2.01,8.74,N,16333,2930,135620,7.489,Y,31.2,3380,N,29.13
2022-10,BLDG-e8fd168b06b8,2,109425,109138,8,13.29,12,2.67,49.61,Y,9321,5094,41294,6.595,Y,145.8,20185,Y,11.61
2021-08,BLDG-3f862551944a,0,22775,20717,6,12.2,36,2.97,53.31,N,8104,5480,68350,1.937,N,168.3,5807,N,39.43
2020-02,BLDG-eefaa7360cc1,4,134881,121346,5,0.67,12,1.94,24.71,N,24532,3732,137965,5.394,Y,42.9,24183,Y,4.56
2019-05,BLDG-16f06ca54f16,1,130790,129906,7,16.39,11,2.21,27.65,N,10139,3142,5699,4.728,Y,179.4,25182,Y,34.71
2019-04,BLDG-77a4af017244,0,138098,117669,2,24.1,36,2.35,14.42,Y,784,1262,73877,7.732,Y,84.0,17184,Y,47.85
2020-11,BLDG-22cff33d572f,3,66181,65404,7,15.39,3,2.52,24.32,Y,7243,2790,103306,3.844,Y,134.1,13979,Y,38.91
2024-03,BLDG-cca51ac3f8c6,2,36855,34088,7,22.28,9,1.93,13.09,N,8168,1239,188235,5.4,Y,65.1,31054,Y,47.99
2022-06,BLDG-b8def4cea064,0,33926,34028,2,4.48,36,3.53,37.24,N,11928,2957,89109,2.52,N,166.7,7148,Y,13.61
2022-06,BLDG-8aec33d76773,2,71792,62506,4,11.73,36,3.24,27.54,Y,717,5771,277888,2.716,N,151.6,40426,N,0.82
2019-12,BLDG-d853704b6851,4,134681,119762,1,11.31,11,3.27,15.27,Y,8610,995,159786,0.557,Y,199.7,38704,N,53.95
2019-03,BLDG-c10c4cae1947,3,111428,95418,5,10.76,24,2.92,46.43,N,16874,3042,341151,4.475,Y,174.8,38133,N,57.72
2020-01,BLDG-2d80aaf2720a,0,144527,142361,8,11.66,9,3.51,37.42,Y,999,4267,185607,3.095,N,123.5,32229,Y,64.97
2021-03,BLDG-1406afbea947,0,56498,54723,2,18.53,6,4.87,41.69,Y,7529,5643,5845,4.254,N,116.0,23992,N,30.62
2022-12,BLDG-32b008ad3535,2,107278,97724,1,16.61,11,3.45,24.6,Y,3270,3089,296569,7.839,N,58.6,13993,N,20.09
2025-10,BLDG-ddc4bccc0a24,5,99918,87983,0,15.09,9,3.08,27.35,N,17348,5766,315105,3.268,Y,160.2,12435,N,42.58
2022-11,BLDG-255394d7fb42,3,92840,91039,0,12.34,3,2.65,13.25,Y,14709,2336,271068,3.941,N,72.7,16999,Y,3.68
2020-10,BLDG-cb14bb645203,5,124565,114159,2,18.01,11,3.47,49.55,Y,10562,4256,69965,0.948,Y,96.5,35677,N,56.82
2019-12,BLDG-f4d3477dca2e,5,54392,51652,4,22.16,12,2.72,49.45,Y,11273,2750,235781,1.016,Y,85.6,36481,Y,49.17
2022-02,BLDG-4cab2a286635,1,144283,126059,2,2.01,12,3.94,14.15,Y,3259,1879,77463,4.601,N,146.0,20472,N,44.32
2022-03,BLDG-9e0fce89fb59,4,102384,88547,5,25.27,6,1.82,49.38,N,3637,590,178708,2.607,N,156.4,5677,Y,19.09
2019-06,BLDG-02dae5532a20,4,16730,15511,0,21.27,36,3.05,28.21,N,10458,3423,180323,7.629,N,56.9,12678,N,9.85
2025-05,BLDG-6b2e6e98efa0,5,53508,46842,0,11.87,36,2.57,17.67,Y,5393,2434,306958,0.128,N,192.7,39365,N,6.88
2025-10,BLDG-8ca9ef866790,4,69003,62315,7,3.37,11,2.89,11.4,Y,1053,3208,287207,7.609,Y,131.2,43205,N,26.06
2025-08,BLDG-d845e60d3450,0,14829,14404,0,1.45,11,4.2,10.98,N,22406,2038,333310,1.392,N,54.4,37538,Y,36.52
2019-03,BLDG-b1280853172c,1,77246,69095,0,9.29,12,4.6,20.07,Y,1467,4930,19901,5.885,N,49.6,29678,Y,34.98
2025-07,BLDG-d1f9eb4a7a3e,3,146595,126743,1,1.62,11,4.17,13.27,Y,2277,2248,290635,2.025,Y,80.3,21187,N,6.0
2019-03,BLDG-9720365d42dd,4,179856,182692,1,0.91,6,3.77,47.62,N,194,4918,38833,5.366,N,71.1,4457,Y,22.58
2019-09,BLDG-98e4d3d3ade2,4,122809,122922,6,2.13,11,4.43,37.81,N,23727,1985,12781,2.442,N,186.9,38620,N,40.07
2021-01,BLDG-4b7094605609,0,45105,42049,6,1.17,3,2.22,47.59,N,22565,4960,114653,1.297,Y,74.7,40056,N,44.91
2025-10,BLDG-518b22ab0734,1,103923,96393,2,11.62,24,4.53,14.44,Y,11856,3144,263216,4.631,Y,148.4,31459,Y,50.87
2024-01,BLDG-60ddb50f27a0,5,128464,129525,5,16.17,9,3.2,44.63,Y,1170,2344,243081,5.745,Y,75.6,37079,N,27.8
2020-12,BLDG-667202289a5e,4,31673,31976,6,4.66,11,2.72,51.93,N,162,1490,28199,6.054,N,140.1,10459,N,29.31
2021-04,BLDG-de80ede639e6,4,52509,50549,5,13.17,3,2.2,24.71,Y,1088,2529,323690,7.14,Y,51.5,26542,Y,18.8
2024-10,BLDG-ed9ac923f2f2,5,162180,150460,7,19.8,11,2.0,47.32,N,23938,5324,141848,5.027,Y,40.4,13583,Y,33.74
2022-05,BLDG-6a2fe46fd962,1,133218,133424,4,21.55,24,4.48,10.69,Y,21312,3643,260015,2.813,Y,171.1,32534,N,39.59
2019-06,BLDG-b88ed7a852fc,4,93630,85691,8,20.22,36,2.74,34.14,N,9979,3175,154855,2.657,Y,32.1,31851,Y,40.56
2023-06,BLDG-e2843b912372,1,116242,105629,1,10.88,9,3.02,39.24,Y,19176,3412,120476,0.231,N,103.5,22017,Y,34.06
2019-07,BLDG-a866b33eef88,4,154429,144281,5,24.44,6,4.56,26.02,N,8855,1570,334171,5.383,Y,112.3,1422,Y,61.31
2022-04,BLDG-3a8b541044d3,5,88990,84469,5,22.25,6,4.01,28.7,Y,15656,2388,114004,0.32,N,195.0,20447,Y,17.02
2024-11,BLDG-00639fba4c72,5,14222,12893,6,8.87,9,4.18,10.69,Y,15458,2410,123231,2.799,Y,168.7,16505,Y,43.31
2019-05,BLDG-5369b71ca0e9,1,127412,111297,7,1.6,3,3.43,19.04,N,10180,933,335812,4.329,N,35.6,1638,N,48.17
2023-06,BLDG-38849e39f414,0,116824,105119,2,17.05,36,3.57,40.2,N,10875,4123,89738,2.95,Y,51.2,41379,N,57.36
2022-11,BLDG-254ab7bef1d5,3,159530,158313,0,6.95,24,4.15,50.33,Y,4639,2914,40949,1.858,N,108.7,7769,N,56.03
2023-06,BLDG-9ee6948653e3,1,135123,132178,7,9.9,9,2.02,37.32,Y,24598,295,202896,6.782,N,167.5,23232,N,18.47
2022-05,BLDG-612ac3d440ef,2,150962,137860,7,26.0,6,3.02,38.78,N,2814,5515,319131,0.236,Y,163.6,35762,N,49.29
2023-12,BLDG-96cf6f429d57,4,12780,12760,0,16.26,6,4.58,17.29,N,20650,3179,92345,7.098,Y,146.7,4831,N,32.84
2019-05,BLDG-a04c10ff0d22,0,40132,37400,0,9.42,12,4.13,10.9,Y,178,622,148628,3.142,Y,49.3,27390,N,18.49
2023-07,BLDG-51720c829c9a,1,29569,25224,6,16.24,9,4.07,43.2,N,19038,3148,311769,1.919,Y,48.5,43952,N,33.78
2020-07,BLDG-ffd7cce66e3a,0,116982,118663,7,2.43,9,3.79,12.02,Y,11064,47,218994,1.879,N,75.2,8624,N,4.65
2025-07,BLDG-3350d2000a68,5,39340,35031,6,18.77,6,3.74,18.23,N,19200,5047,53744,1.1,Y,35.3,23663,N,6.16
2019-01,BLDG-83fe5da9288f,5,112191,96233,1,8.84,6,3.06,36.03,N,6977,2406,114361,2.179,Y,83.9,532,N,43.15
2020-08,BLDG-9020f90149ad,1,45265,39498,6,1.59,11,3.71,29.11,Y,11924,3136,329229,3.972,Y,159.6,37961,N,2.09
2025-10,BLDG-3163641fa33d,4,134570,124495,4,8.1,36,2.49,23.31,Y,24447,1000,342641,6.707,Y,113.3,22600,N,22.37
2022-07,BLDG-4754c9e0c267,1,135857,132302,0,1.12,6,4.28,53.95,Y,6387,7,254591,7.678,Y,34.2,10689,Y,15.05
2024-09,BLDG-e8665aac23a8,3,78877,76742,4,4.45,9,2.94,19.23,N,13433,600,171839,5.757,N,86.2,15610,N,3.57
2025-05,BLDG-ff10bcdd9df6,3,140012,129460,7,2.15,12,2.17,27.22,Y,16195,2905,311807,0.204,N,136.1,2261,Y,38.48
2025-07,BLDG-e65525899edb,2,54750,53948,0,16.37,24,1.8,32.96,Y,17640,3159,178836,2.4,N,199.2,36080,Y,50.4
2022-08,BLDG-a99fbf9a1231,4,114286,114395,3,0.32,11,4.73,31.5,N,11952,3420,204648,0.815,N,192.7,10214,Y,31.62
2025-03,BLDG-f826047b3005,3,36886,33479,4,7.98,11,3.19,29.47,Y,24146,404,81622,5.236,N,72.5,15729,Y,6.41
2025-05,BLDG-bac314c20635,4,133183,113659,8,9.89,11,3.83,47.44,N,15914,2441,28297,2.895,Y,128.1,43337,N,9.03
2019-01,BLDG-1e2b37e10b1b,2,76148,69739,6,23.4,6,1.88,52.76,N,7399,3412,247187,4.253,N,33.7,9344,N,49.16
2025-08,BLDG-1e492adc5d86,5,25218,23470,5,22.36,6,4.37,20.1,N,20020,575,326998,0.746,N,118.1,29066,N,49.45
2025-02,BLDG-bf7a3fd5a49a,3,51616,47574,8,2.08,36,3.08,18.19,Y,6963,4228,55362,0.807,Y,86.2,35448,Y,39.26
2020-02,BLDG-50520fb4d30a,2,82901,83106,3,25.57,24,4.99,15.29,Y,20300,374,61878,2.581,Y,81.9,40707,Y,28.59
2025-08,BLDG-e1d2ae34045e,2,5346,5427,7,14.03,24,2.0,42.94,Y,11849,14,90019,2.412,Y,64.4,39205,N,64.14
2024-10,BLDG-ae2b390ade1c,4,24636,25077,0,7.35,6,4.69,23.62,Y,18299,2440,10497,0.918,Y,117.9,37707,N,49.29
2019-04,BLDG-bb3b3a8c0068,2,168158,160584,1,12.01,11,4.25,45.85,N,9489,5673,317596,3.518,Y,124.8,21140,Y,17.1
2021-02,BLDG-1fc0f2f876e8,1,65906,61826,3,23.15,6,2.56,12.25,Y,3426,1033,242939,6.59,N,189.9,18822,Y,31.64
2020-01,BLDG-4e705613de4d,4,151756,131495,4,10.07,11,1.94,21.52,Y,12563,5535,168823,2.499,N,119.7,10846,N,44.87
2024-05,BLDG-60da40348e79,0,135881,128111,7,10.06,11,2.0,32.36,N,20321,639,203167,7.117,Y,187.5,35718,N,56.4
2020-10,BLDG-75289ba8baeb,5,27467,26605,1,1.57,3,2.14,50.98,N,9183,2898,243439,6.945,N,85.0,32491,N,62.65
2022-08,BLDG-8fec821cb6ef,0,146226,137094,8,20.1,3,1.87,15.4,Y,5435,5395,252363,6.463,Y,59.5,30251,Y,36.04
2024-02,BLDG-d0514d992b7e,3,25867,23569,3,19.13,36,4.72,9.01,Y,17323,197,107280,1.386,Y,62.0,21705,N,28.29
2024-12,BLDG-071d140fb519,3,112141,103423,8,16.34,9,3.86,45.67,N,23582,3285,297078,2.352,N,75.0,20749,N,35.44
2021-03,BLDG-7ae99d46bbbb,1,9237,7949,4,16.25,3,3.39,15.04,Y,5020,1235,270829,5.63,Y,82.3,9793,Y,26.58
2021-07,BLDG-9821533a93a8,3,9651,8637,6,19.42,9,4.23,8.49,Y,488,2362,353103,7.176,Y,55.7,9228,N,49.21
2023-08,BLDG-31f19bc3caa8,2,47515,46566,6,6.45,11,4.02,34.68,Y,12296,2538,34838,2.607,Y,176.8,36969,Y,41.25
2023-09,BLDG-0e829d7197bf,1,147062,136666,5,15.47,11,4.65,19.82,N,12690,4266,289955,4.441,Y,72.2,31974,Y,10.8
2022-06,BLDG-85a37343be54,5,166272,148023,0,17.14,36,2.64,53.21,Y,11917,2231,100114,4.719,N,57.3,38676,N,12.74
2024-09,BLDG-4e6cc6dc0326,5,124369,113470,2,17.52,9,1.93,8.39,Y,20387,5187,34284,2.778,Y,127.9,31844,Y,58.15
2022-05,BLDG-3518a82b52b4,5,101943,92644,2,7.17,24,1.85,42.13,N,12314,2503,35502,0.766,Y,191.2,11824,Y,11.67
2020-07,BLDG-8f6e4aeb13b0,1,80089,79401,1,20.97,11,3.67,26.99,N,15217,925,244050,3.916,N,191.4,30919,N,5.79
2019-05,BLDG-50d768d42557,1,145755,133740,8,26.4,3,3.05,15.15,Y,13986,3631,339738,2.936,N,128.1,4417,Y,61.59
2020-05,BLDG-9549d19bdb3e,2,44370,38223,7,12.74,3,4.62,51.26,Y,13829,2800,35892,2.215,Y,81.5,22292,N,12.37
2019-04,BLDG-5c4c936f556c,3,49475,42384,6,17.18,11,3.27,39.95,Y,8786,2285,249580,0.201,N,197.7,16146,Y,54.89
2023-07,BLDG-6652e51b74a8,1,46253,46995,4,18.5,9,4.91,46.7,Y,16693,4349,349195,6.96,Y,31.9,5837,Y,31.09
2019-11,BLDG-0e774f9135b4,0,118137,103801,3,16.49,11,2.37,37.96,Y,20916,1143,355850,1.503,Y,122.0,26113,N,30.02
2024-01,BLDG-1d3ca4dcc617,5,113100,111152,0,10.76,11,3.95,11.86,N,11941,2325,29783,7.052,N,49.1,31526,N,11.37
2020-09,BLDG-626501127e51,0,82936,79919,0,27.95,11,4.36,30.98,N,21120,2275,302198,0.473,Y,30.4,10486,Y,45.65
2020-08,BLDG-3d96c81a9506,2,147948,144475,1,2.86,12,4.71,21.69,N,18103,2252,270641,1.643,N,84.6,3929,N,59.66
2021-04,BLDG-f5be59e8fbd2,3,67736,65879,5,23.85,11,2.74,43.91,N,8640,1113,216615,7.408,Y,175.6,573,N,20.07
2019-10,BLDG-c5b9e6fc9950,2,64520,59533,1,12.78,12,3.09,20.63,Y,9382,2034,332667,3.513,Y,88.9,43960,N,4.62
2021-07,BLDG-52bda787ef0b,2,16754,16061,4,5.46,36,2.07,51.86,N,1106,3848,349624,6.113,Y,179.1,36313,N,42.0
2020-12,BLDG-4c65ccbcd93e,0,144956,138046,8,4.13,3,2.55,52.02,N,22275,5064,313793,5.612,Y,77.4,30924,N,17.61
2021-10,BLDG-3e248cd49cdf,3,173449,154545,1,21.73,3,3.78,30.03,N,3462,2356,54632,7.661,N,193.7,7869,Y,58.07
2024-08,BLDG-a5ab5e1a7a62,3,80900,69626,0,7.26,3,1.85,20.5,N,3241,1305,349188,1.396,Y,122.2,18158,N,30.48
2023-02,BLDG-07118083c20e,0,15404,15194,6,1.37,12,3.28,20.75,N,24477,1820,101612,3.324,N,165.4,43436,N,8.73
2023-11,BLDG-ed5dce73ebd9,4,123710,124782,2,16.32,9,3.34,27.95,Y,2575,4550,328901,2.398,N,61.2,20842,N,24.11
2022-11,BLDG-3ef572de58e9,4,138894,136416,3,20.12,6,4.88,50.95,Y,6083,2631,316586,7.692,N,77.6,42010,Y,16.82
2025-11,BLDG-7a65965f8f79,5,69390,63658,5,14.4,6,3.8,25.65,N,23658,5889,240449,0.875,Y,192.5,30723,Y,18.35
2019-08,BLDG-f982bdcf1dc1,2,17605,15959,8,23.4,36,3.27,53.27,N,8072,721,195676,7.221,N,183.4,44475,N,58.51
2019-08,BLDG-e1bb83df8f49,5,103258,101972,7,19.24,3,4.83,10.88,Y,17238,2594,278379,3.802,Y,199.3,21935,N,48.46
2025-08,BLDG-9c25305edebb,4,37376,32216,0,14.34,12,4.19,26.89,Y,3180,4671,175200,7.18,N,185.1,27703,Y,58.24
2020-05,BLDG-149e3cd7034c,3,103059,103086,3,20.35,6,2.9,30.47,N,14489,3901,267962,0.971,N,117.5,15506,Y,25.08
2023-07,BLDG-0dacb0d6eda3,1,44035,41403,8,2.68,6,2.81,37.18,Y,4130,264,191674,3.408,N,153.2,38146,Y,42.55
2020-06,BLDG-fd184f319373,2,167813,157876,5,24.65,3,3.71,13.68,N,6657,2894,46629,0.754,N,128.0,41526,Y,13.67
2021-02,BLDG-c00dd7af7ff3,5,52001,51633,4,8.13,3,2.88,52.3,N,20153,4830,306605,3.045,N,186.1,25145,Y,31.79
2020-02,BLDG-6ceadbc5dcc2,5,121581,107869,5,24.13,6,2.07,12.94,N,2093,1285,185599,3.068,N,71.5,19682,N,1.09
2020-07,BLDG-1aeb2fa55ad1,5,168787,153877,3,3.03,36,2.94,54.08,Y,3971,1625,74206,4.835,Y,69.2,40450,N,23.41
2020-08,BLDG-3421d669b129,3,59703,51619,7,18.91,24,4.76,50.31,N,10628,3859,65196,4.504,Y,140.2,22685,N,55.87
2025-08,BLDG-b0e577f9c196,1,119454,104606,4,1.26,36,1.85,54.2,N,1130,4386,250961,3.155,Y,141.4,34842,Y,29.91
2022-09,BLDG-e5ddc976c169,3,107572,99496,6,26.81,3,3.54,22.31,N,19254,917,106299,2.648,N,175.7,2847,N,35.42
2022-05,BLDG-cde440c2cdb0,2,65985,65683,6,5.1,3,4.75,31.57,Y,5893,1211,14753,3.837,N,38.8,5552,Y,45.98
2020-05,BLDG-bb75ab59f343,0,26180,26366,6,5.78,24,4.33,49.48,Y,22072,4777,219403,4.738,Y,54.4,35129,Y,52.74
2024-01,BLDG-35da68719a3c,3,20266,17763,6,20.05,3,4.47,38.08,N,7333,3787,268920,3.029,Y,135.3,28353,Y,15.25
2024-03,BLDG-9b5a56cab268,4,161417,159799,4,0.24,36,4.92,34.41,Y,11330,5548,341737,4.827,N,123.4,39074,N,0.82
2020-03,BLDG-46b1bdbaff80,4,105003,99921,8,6.27,9,2.81,43.44,Y,16973,5680,357134,2.028,N,79.8,44857,N,58.14
2023-03,BLDG-5e4aaf36e7bd,3,139005,135877,6,9.16,24,3.07,16.74,Y,9347,3745,177989,1.546,N,119.9,15219,Y,56.12
2024-10,BLDG-0d51a3bf8116,5,9038,8086,5,10.46,36,4.8,28.65,Y,3196,3565,289403,1.441,Y,64.1,11589,Y,14.96
2019-12,BLDG-7d6af047ddf1,4,175599,174931,2,26.65,24,4.73,35.63,Y,1399,2061,170144,7.636,N,169.0,7835,N,52.86
2020-07,BLDG-e98a765c91ad,5,148724,130225,7,3.13,12,3.92,45.47,N,16175,5301,208147,0.331,N,193.7,27672,N,50.1
2020-08,BLDG-eff1562bd6e3,3,179160,167372,7,18.71,12,2.72,27.49,Y,8857,3191,8236,7.621,N,111.6,33425,N,9.6
2020-03,BLDG-01d2067690cc,5,27827,23725,6,26.57,6,1.97,23.41,Y,2073,2899,221615,0.183,Y,52.1,26963,Y,41.41
2025-04,BLDG-696661f5cf33,0,92431,86786,4,12.46,24,1.82,39.8,N,24669,4002,10099,3.085,N,35.9,33231,N,44.4
2023-12,BLDG-9ae7f9e31e79,0,83839,75336,0,23.24,9,1.98,49.06,N,9372,3270,242715,5.647,Y,53.5,19963,N,2.21
2019-11,BLDG-34893139f88e,1,119169,104167,6,2.54,12,2.58,24.31,Y,2170,5039,255298,5.076,Y,39.9,37442,N,20.61
2025-11,BLDG-a024a74a7b28,2,33994,32952,5,26.59,24,2.43,20.26,N,21736,5282,243233,0.771,N,191.2,27220,Y,25.78
2024-12,BLDG-c4863d58b217,0,112291,97934,4,14.68,6,3.84,42.87,N,11815,3579,316151,3.393,N,54.1,44470,Y,34.71
2022-08,BLDG-9d64200d8a16,0,114020,107936,6,25.76,3,4.87,34.82,N,13018,389,216908,0.338,N,48.2,22702,Y,15.35
2019-06,BLDG-81569dced911,4,157175,154432,8,5.9,12,3.9,50.33,N,5018,1582,78624,6.915,Y,67.6,11004,Y,10.68
2023-02,BLDG-d5c8d0906429,4,161526,162992,5,16.12,11,2.49,27.44,Y,832,314,84172,6.912,N,161.2,18481,Y,26.55
2023-04,BLDG-376cd8de427e,0,83023,72868,6,2.83,12,3.7,22.48,Y,11566,720,9409,4.812,Y,184.6,17261,Y,41.37
2019-03,BLDG-ec6bf47c375a,4,85170,80877,2,1.77,24,3.59,47.7,Y,3726,3543,165327,3.32,N,144.6,8651,N,32.52
2021-04,BLDG-57569693fce4,2,150367,150914,4,14.34,3,3.65,9.58,Y,20547,3929,312172,2.646,N,189.5,25627,Y,62.76
2023-02,BLDG-f5dc80a6825a,2,17222,14738,3,20.11,9,3.52,48.5,Y,11512,4601,256737,1.202,Y,194.6,12930,N,16.76
2024-08,BLDG-ab0c438b55ae,3,31305,30161,7,21.69,12,4.4,24.37,Y,10465,2625,37855,1.224,N,164.5,10948,N,35.63
2022-09,BLDG-16339786b335,4,12783,13007,2,19.55,12,2.28,36.9,N,15735,3677,120782,7.551,N,117.5,5121,N,28.01
2021-06,BLDG-c489b94edb49,2,45105,38523,6,16.48,12,3.45,29.93,N,2351,1591,300742,0.925,Y,59.9,17115,N,17.51
2023-09,BLDG-a3e21bcf91c4,3,147482,132328,5,15.42,3,3.73,38.69,Y,24127,2996,206321,0.168,Y,120.4,4749,N,14.95
2021-10,BLDG-6a8568185dcb,2,18220,17829,4,1.98,6,2.12,49.71,N,3554,1805,320101,0.063,N,157.7,42440,Y,18.61
2021-01,BLDG-e008aa9a4063,4,31494,32026,6,15.67,36,4.02,50.18,N,19752,5434,99184,1.848,N,189.5,4995,N,2.22
2023-07,BLDG-c9448c6a80b1,2,27079,25331,8,6.75,6,4.18,37.8,Y,19492,4389,300761,7.496,N,92.0,11048,N,6.53
2019-05,BLDG-ea12360bfb71,2,12172,11423,3,14.03,11,3.07,29.69,Y,17039,3696,16307,4.032,N,145.0,20008,Y,40.78
2020-03,BLDG-9f70eb8a7740,0,55603,50568,0,15.62,11,4.27,48.3,Y,7631,2055,265431,7.05,N,183.0,39364,N,48.84
2019-05,BLDG-c8e7c4fa0e32,5,85402,79187,7,9.59,9,3.94,42.4,Y,24113,4101,220043,4.228,N,161.4,18717,N,2.67
2019-12,BLDG-8ed1c9246f2f,0,15353,14599,6,12.25,24,3.63,40.29,N,16513,5333,262049,5.458,Y,148.4,20885,Y,41.58
