food_supply_price_week,food_supply_product_upc_category,food_supply_retail_market_area,food_supply_average_price_inr,food_supply_price_change_wow_pct,food_supply_price_change_yoy_pct,food_supply_stockout_rate_pct,food_supply_on_shelf_availability_pct,food_supply_supply_chain_stage_code,food_supply_import_dependency_share_pct,food_supply_shipping_cost_index,food_supply_cold_chain_failure_flag,food_supply_warehouse_capacity_util_pct,food_supply_lead_time_days_avg,food_supply_spoilage_rate_pct,food_supply_private_label_share_pct,food_supply_promo_intensity_index,food_supply_online_grocery_share_pct,food_supply_food_inflation_contribution,food_supply_data_vendor_panel_code
2021-09-20,BEVERAGES,PUNE,315.39,6.73,29.51,1.06,95.97,PROCESSOR,26.91,154.81,0,60.83,8,5.47,46.8,38.4,42.72,4.513,PANEL_D_15
2021-01-04,BEVERAGES,DELHI_NCR,923.54,10.93,-4.86,12.39,90.8,RETAIL,64.13,127.81,0,69.84,8,4.01,51.3,23.63,14.61,1.674,PANEL_A_10
2021-07-26,SNACKS,KOLKATA,223.89,7.09,4.01,1.71,95.46,E_COM,60.99,184.35,0,62.25,6,5.56,9.68,99.49,13.79,4.506,PANEL_C_14
2020-10-26,MEAT,PUNE,1447.06,13.3,22.44,5.75,93.9,MANDI,3.73,106.36,1,79.38,14,4.9,19.34,97.26,33.12,5.222,PANEL_A_10
2020-03-09,GRAINS,PUNE,711.1,6.93,-9.55,6.32,98.42,FARM,53.33,177.13,0,83.33,4,4.89,49.59,15.24,5.27,-0.699,PANEL_A_10
2020-11-09,FRUIT,KOLKATA,1081.73,-6.64,-18.85,10.04,91.28,MANDI,55.31,167.16,0,86.52,12,6.76,12.06,92.82,30.2,1.146,PANEL_A_19
2020-11-16,GRAINS,HYD_METRO,634.38,1.73,-8.56,5.92,93.67,MANDI,44.37,72.45,0,74.6,11,4.56,54.36,14.71,6.24,-1.113,PANEL_A_08
2020-07-27,EDIBLE_OIL,HYD_METRO,310.64,-12.6,5.17,4.0,92.21,MANDI,12.52,74.9,0,77.31,2,0.26,24.45,31.32,21.55,-1.677,PANEL_C_01
2019-08-19,BEVERAGES,PUNE,870.34,-5.83,1.12,3.55,92.79,FARM,18.56,102.09,0,84.44,5,1.52,1.17,44.1,44.88,0.274,PANEL_A_15
2025-02-10,BEVERAGES,DELHI_NCR,81.37,-0.44,27.63,10.77,93.95,FARM,1.88,202.89,0,71.25,8,2.65,54.72,91.35,8.23,-0.345,PANEL_D_02
2021-12-06,EDIBLE_OIL,DELHI_NCR,1342.12,12.52,9.26,9.47,93.29,RETAIL,27.49,197.43,0,72.31,8,1.74,18.38,89.89,20.91,1.472,PANEL_A_17
2024-09-16,SNACKS,LUCKNOW,1120.02,-6.79,-18.81,0.22,96.37,RETAIL,30.5,80.98,0,80.63,8,4.35,51.49,92.6,33.78,0.409,PANEL_D_11
2025-12-15,VEG,AHMEDABAD,711.67,-0.86,2.4,10.92,91.79,FARM,83.02,173.07,1,82.67,7,9.26,6.3,97.86,46.41,1.891,PANEL_B_14
2021-07-26,VEG,BLR_URBAN,1164.7,10.03,7.53,3.99,94.35,WHOLESALE,45.95,67.34,0,78.49,7,2.4,57.6,35.04,50.08,-1.29,PANEL_C_07
2024-09-16,SPICES,HYD_METRO,175.82,3.82,-13.5,0.16,97.91,E_COM,41.83,116.83,0,77.03,4,0.0,16.5,12.28,10.16,2.818,PANEL_C_18
2023-12-11,SNACKS,BLR_URBAN,1422.93,11.31,-24.65,12.69,87.33,MANDI,33.54,78.53,0,69.94,10,5.4,18.42,43.63,9.61,1.62,PANEL_A_05
2019-10-21,VEG,AHMEDABAD,162.4,-3.81,18.11,7.5,89.35,RETAIL,42.73,147.81,0,72.46,1,6.67,57.84,16.98,48.49,3.658,PANEL_D_19
2020-03-16,GRAINS,LUCKNOW,508.93,5.43,12.08,0.0,99.23,WHOLESALE,77.64,206.56,0,84.32,5,4.23,45.39,57.45,4.1,-1.69,PANEL_A_10
2022-08-01,MEAT,LUCKNOW,1188.42,-4.92,13.37,6.11,93.43,E_COM,55.86,109.78,0,63.62,8,4.86,17.05,15.71,42.94,-0.775,PANEL_D_14
2022-05-02,GRAINS,DELHI_NCR,896.46,-7.16,30.42,9.24,89.25,E_COM,83.26,83.31,0,84.11,12,3.86,35.63,99.65,18.09,2.807,PANEL_D_13
2023-01-16,SNACKS,BLR_URBAN,925.22,-3.1,4.83,5.16,97.21,MANDI,51.54,125.21,0,94.49,5,5.29,34.07,98.46,7.29,0.781,PANEL_D_08
2019-02-04,READY_TO_EAT,MUMBAI_MMR,745.17,5.76,25.03,8.02,90.89,MANDI,0.98,135.83,0,100.0,9,3.89,45.3,74.98,19.84,-1.722,PANEL_A_20
2026-02-09,SNACKS,DELHI_NCR,492.1,-5.53,15.71,0.0,98.24,E_COM,35.49,92.9,0,65.14,9,0.0,31.55,63.96,5.24,1.636,PANEL_A_01
2024-09-09,EDIBLE_OIL,LUCKNOW,1269.64,-2.75,-12.13,6.32,90.73,E_COM,67.35,98.06,0,78.06,5,3.45,53.02,48.86,35.84,3.567,PANEL_D_11
2026-11-16,VEG,DELHI_NCR,180.36,-0.8,-21.58,3.22,94.12,PROCESSOR,61.62,101.21,0,62.53,4,7.11,46.82,15.85,29.65,-1.724,PANEL_C_14
2020-05-04,VEG,HYD_METRO,304.76,7.41,-2.8,4.4,93.34,FARM,77.97,172.28,0,78.46,10,4.89,7.3,22.1,38.54,-0.415,PANEL_A_17
2023-10-02,BEVERAGES,PUNE,1119.87,-1.61,25.9,7.99,92.81,FARM,26.75,178.79,0,72.13,2,5.0,3.3,86.89,3.63,0.388,PANEL_D_09
2024-10-07,VEG,BLR_URBAN,241.76,10.47,-8.55,3.41,91.6,WHOLESALE,52.51,121.56,0,88.05,5,1.65,59.98,79.21,24.97,4.047,PANEL_D_13
2024-10-21,SNACKS,BLR_URBAN,950.22,-4.67,5.67,7.4,95.01,PROCESSOR,11.36,64.92,0,75.4,2,4.95,40.77,14.43,27.74,3.166,PANEL_D_20
2024-12-02,BEVERAGES,BLR_URBAN,1197.01,-7.21,19.17,6.7,89.99,MANDI,41.24,79.24,0,75.36,13,3.11,5.2,45.27,11.01,0.073,PANEL_B_05
2021-08-09,SPICES,HYD_METRO,1288.65,7.43,11.22,2.93,100.0,MANDI,44.53,140.01,0,68.16,6,4.97,28.49,97.05,45.48,-0.879,PANEL_A_09
2024-08-26,SNACKS,DELHI_NCR,229.4,5.71,-8.29,9.48,95.22,RETAIL,71.65,87.7,0,90.24,3,5.62,54.85,73.51,28.9,3.61,PANEL_B_05
2022-01-10,VEG,HYD_METRO,1161.79,-3.29,-4.79,11.53,85.59,E_COM,20.14,132.9,0,85.0,2,4.25,16.9,65.84,41.47,3.989,PANEL_B_13
2019-03-18,FRUIT,LUCKNOW,521.68,2.06,-18.74,13.58,82.38,FARM,18.09,194.41,0,77.12,12,3.04,19.8,60.05,24.92,4.024,PANEL_A_02
2023-04-17,EDIBLE_OIL,DELHI_NCR,376.55,-2.56,-1.03,7.06,96.94,RETAIL,60.93,129.46,0,77.28,8,10.27,24.38,26.99,14.19,0.117,PANEL_D_18
2025-11-17,SNACKS,JAIPUR,561.72,5.04,0.01,6.58,94.71,RETAIL,3.97,167.43,0,93.53,12,1.17,39.17,25.99,22.24,5.116,PANEL_D_09
2024-12-02,FRUIT,AHMEDABAD,1458.11,7.63,33.59,3.08,100.0,FARM,60.91,68.76,0,85.32,5,0.0,29.97,63.06,10.71,3.151,PANEL_B_12
2026-08-24,GRAINS,CHENNAI,1181.96,1.55,14.49,5.12,91.96,WHOLESALE,56.68,121.28,0,77.46,1,1.85,4.11,3.54,48.04,2.857,PANEL_C_18
2021-07-26,FRUIT,KOLKATA,116.05,7.51,28.03,6.85,92.52,WHOLESALE,65.26,166.96,0,71.01,1,5.42,8.03,13.91,10.51,1.856,PANEL_B_08
2025-09-15,READY_TO_EAT,LUCKNOW,375.5,-12.57,13.94,7.66,87.52,MANDI,44.32,72.05,0,70.21,4,0.0,27.05,36.6,11.2,4.357,PANEL_C_09
2019-08-19,DAIRY,MUMBAI_MMR,260.57,1.84,-22.25,6.69,92.37,FARM,22.84,122.12,0,54.79,5,8.8,33.88,66.36,37.66,1.015,PANEL_D_18
2026-12-14,BEVERAGES,DELHI_NCR,1489.97,14.37,33.77,8.29,95.52,E_COM,84.75,196.82,1,74.43,7,7.45,19.84,5.85,36.46,0.15,PANEL_C_10
2025-05-19,SNACKS,CHENNAI,230.7,14.52,9.74,1.16,99.69,E_COM,11.26,99.84,0,88.39,6,2.29,58.22,76.61,32.04,5.281,PANEL_D_09
2023-06-19,MEAT,KOLKATA,829.82,14.01,1.65,8.49,88.48,MANDI,31.16,106.57,0,62.4,11,4.11,20.94,77.44,32.08,3.676,PANEL_C_20
2023-05-15,SPICES,MUMBAI_MMR,293.1,-9.84,6.77,13.91,89.43,E_COM,9.5,107.32,0,66.13,7,1.01,11.91,29.61,43.57,1.785,PANEL_D_09
2026-02-09,DAIRY,JAIPUR,1225.94,-7.12,29.58,4.9,90.87,RETAIL,6.6,81.69,0,75.67,10,6.94,3.69,34.2,20.41,-0.652,PANEL_D_03
2025-10-06,READY_TO_EAT,CHENNAI,1174.37,4.32,-24.22,7.07,90.41,MANDI,42.74,105.88,0,88.65,9,3.1,33.89,64.72,41.43,5.334,PANEL_C_01
2022-09-05,SPICES,CHENNAI,403.43,-10.37,-17.26,5.87,95.15,FARM,15.61,139.85,0,72.17,4,2.64,57.79,92.53,42.68,1.165,PANEL_A_10
2023-01-02,VEG,LUCKNOW,1363.06,-1.83,4.21,9.32,90.7,RETAIL,63.86,185.97,0,75.13,9,2.41,16.88,14.32,44.91,-1.274,PANEL_D_09
2020-03-23,FRUIT,CHENNAI,380.48,-0.37,-13.32,2.41,94.17,E_COM,82.98,60.09,0,81.74,5,4.98,58.01,46.52,32.0,1.004,PANEL_C_18
2024-09-30,BEVERAGES,AHMEDABAD,167.92,3.22,11.94,5.36,89.95,E_COM,7.73,99.88,1,100.0,13,5.77,53.84,65.38,18.23,1.984,PANEL_A_20
2023-09-11,GRAINS,PUNE,1382.65,-6.91,-7.52,4.75,91.71,MANDI,82.31,129.06,0,89.6,6,0.0,34.69,24.02,53.01,2.191,PANEL_B_05
2024-01-15,FRUIT,MUMBAI_MMR,1263.42,-7.45,3.99,12.16,91.51,MANDI,6.85,167.18,1,72.88,4,0.16,56.87,49.95,44.83,1.084,PANEL_B_03
2019-06-17,VEG,DELHI_NCR,150.76,9.41,-12.26,0.0,100.0,RETAIL,41.5,92.85,0,56.01,14,6.86,21.94,61.6,18.66,3.516,PANEL_D_09
2020-09-07,DAIRY,HYD_METRO,1021.47,3.5,-18.4,7.18,97.25,RETAIL,51.42,127.42,0,69.8,1,9.54,52.42,93.07,14.19,1.568,PANEL_D_20
2024-03-25,SNACKS,MUMBAI_MMR,1383.94,14.01,3.7,6.51,95.19,PROCESSOR,80.05,135.32,0,86.46,3,0.0,12.97,41.9,34.7,3.15,PANEL_B_02
2019-06-10,READY_TO_EAT,JAIPUR,171.36,11.53,-2.44,5.65,95.87,FARM,28.94,203.61,0,76.69,8,0.83,49.54,18.25,0.91,3.482,PANEL_D_17
2024-06-03,BEVERAGES,KOLKATA,802.04,1.93,24.54,5.53,90.05,E_COM,45.18,170.12,0,74.9,4,4.51,32.95,45.85,15.62,4.929,PANEL_A_10
2020-12-07,SNACKS,PUNE,858.45,0.88,-4.4,0.0,100.0,MANDI,45.87,180.83,0,57.12,7,4.74,56.07,97.78,6.23,-1.789,PANEL_C_12
2023-10-30,BEVERAGES,MUMBAI_MMR,247.97,8.68,12.15,5.83,94.6,E_COM,57.53,182.06,1,83.09,4,5.64,43.57,14.31,32.4,-0.92,PANEL_D_03
2020-05-04,BEVERAGES,CHENNAI,687.26,5.24,22.38,3.04,93.53,E_COM,25.1,73.06,0,73.2,13,3.02,33.07,26.43,54.69,3.264,PANEL_B_04
2026-04-06,GRAINS,KOLKATA,1063.85,11.92,9.5,7.14,95.11,FARM,60.52,201.14,0,72.59,9,1.93,10.98,79.42,16.99,1.346,PANEL_D_02
2020-11-23,BEVERAGES,MUMBAI_MMR,119.43,9.45,-4.94,0.0,95.36,MANDI,12.49,174.23,0,58.88,5,2.18,23.58,46.2,22.92,4.803,PANEL_B_05
2024-01-15,FRUIT,JAIPUR,1376.12,7.14,-2.39,7.73,93.13,MANDI,17.45,75.15,0,85.69,9,3.83,53.61,73.29,41.79,5.959,PANEL_A_01
2026-07-27,READY_TO_EAT,PUNE,896.31,1.27,15.85,1.76,99.27,RETAIL,35.96,123.62,0,87.75,5,3.79,29.76,15.15,38.43,3.55,PANEL_A_20
2019-06-03,BEVERAGES,MUMBAI_MMR,499.72,-6.21,-4.52,7.19,88.12,MANDI,6.32,143.31,0,63.92,5,3.9,17.17,1.6,47.52,0.624,PANEL_D_07
2022-04-25,GRAINS,DELHI_NCR,1471.35,-14.44,-8.0,8.58,95.8,PROCESSOR,26.16,140.06,0,73.53,7,6.18,4.83,46.98,28.03,1.681,PANEL_C_07
2021-03-22,SNACKS,CHENNAI,654.45,0.68,-11.25,11.28,90.8,PROCESSOR,73.42,163.41,0,84.74,5,1.61,39.93,73.33,5.79,3.856,PANEL_A_07
2019-05-20,EDIBLE_OIL,AHMEDABAD,463.58,-2.26,-1.54,1.98,96.28,E_COM,27.17,82.72,0,70.21,10,4.21,8.95,73.2,40.14,4.656,PANEL_B_04
2019-02-11,EDIBLE_OIL,JAIPUR,1096.38,7.78,4.52,7.57,90.74,MANDI,60.0,161.12,0,83.22,5,5.67,51.51,88.81,50.17,2.096,PANEL_C_16
2019-06-24,FRUIT,HYD_METRO,15.89,-10.95,13.34,7.28,97.01,PROCESSOR,5.62,138.06,0,90.39,8,1.49,54.75,56.86,37.05,-0.952,PANEL_D_01
2026-01-12,GRAINS,JAIPUR,78.26,6.17,-21.64,5.61,91.86,FARM,46.74,70.02,0,66.85,9,4.15,39.2,81.07,41.33,-0.317,PANEL_D_09
2023-10-09,SNACKS,CHENNAI,899.38,-11.2,4.69,4.32,99.66,MANDI,13.95,101.38,0,86.46,3,5.73,1.09,15.14,13.34,-1.684,PANEL_B_01
2023-02-13,EDIBLE_OIL,AHMEDABAD,1364.56,-7.03,11.91,10.28,94.21,MANDI,24.8,196.49,0,85.46,5,9.07,29.19,3.06,44.68,4.379,PANEL_D_09
2021-12-27,EDIBLE_OIL,DELHI_NCR,823.55,-6.88,-8.87,0.1,95.75,E_COM,64.01,175.5,0,54.69,4,0.63,27.28,8.21,42.31,2.316,PANEL_A_16
2021-04-19,SPICES,HYD_METRO,1265.63,10.92,28.01,8.27,87.53,WHOLESALE,35.27,197.47,0,67.12,11,2.75,55.96,48.49,29.24,-1.753,PANEL_C_08
2025-05-12,SPICES,JAIPUR,1291.09,-11.89,17.94,0.0,96.65,WHOLESALE,23.02,97.73,0,87.75,4,2.58,28.55,63.66,4.01,4.806,PANEL_D_15
2019-03-11,GRAINS,PUNE,1482.53,-8.9,-19.01,5.92,93.13,RETAIL,20.86,136.31,0,82.58,8,1.8,35.69,33.95,43.53,3.696,PANEL_B_12
2021-04-12,DAIRY,LUCKNOW,477.7,-0.04,33.51,11.86,86.46,WHOLESALE,17.44,179.75,0,85.14,7,8.83,16.28,35.86,36.61,1.974,PANEL_B_03
2026-04-13,READY_TO_EAT,CHENNAI,26.93,13.1,22.98,10.64,90.84,RETAIL,4.21,105.05,0,87.4,13,3.16,55.39,25.73,8.11,-1.965,PANEL_A_16
2024-01-22,BEVERAGES,CHENNAI,1302.16,-3.48,2.81,8.63,89.79,MANDI,16.12,80.11,0,80.65,1,3.51,11.08,50.72,4.59,4.18,PANEL_A_05
2023-07-31,DAIRY,MUMBAI_MMR,1238.45,-8.87,-11.0,5.82,93.55,FARM,21.79,63.24,0,77.62,10,4.13,50.69,90.91,20.72,5.189,PANEL_B_07
2026-10-19,EDIBLE_OIL,HYD_METRO,1260.09,-10.25,17.16,7.43,89.96,FARM,66.99,68.62,0,78.68,10,4.1,22.2,13.07,14.62,2.49,PANEL_D_10
2023-11-20,DAIRY,CHENNAI,487.21,4.26,-11.06,5.24,92.06,FARM,61.71,159.14,0,82.67,9,4.5,44.36,60.36,43.29,4.297,PANEL_D_03
2023-02-27,SNACKS,CHENNAI,737.05,-3.25,0.0,7.97,89.87,E_COM,0.66,120.49,0,93.63,3,2.92,42.42,15.82,1.27,4.333,PANEL_A_09
2021-09-20,DAIRY,DELHI_NCR,66.39,-10.93,30.51,5.85,96.3,RETAIL,7.92,146.97,0,80.26,12,2.55,17.62,7.95,33.08,5.069,PANEL_A_18
2024-09-02,SPICES,PUNE,140.16,6.65,30.85,1.25,100.0,E_COM,67.11,86.48,0,69.24,8,6.68,30.9,33.05,20.01,-0.625,PANEL_D_06
2024-03-11,DAIRY,CHENNAI,823.33,-10.36,15.96,5.22,97.94,RETAIL,29.52,87.95,0,73.47,1,3.65,45.81,5.31,52.45,0.009,PANEL_C_19
2022-03-14,GRAINS,PUNE,438.48,-3.78,-16.6,0.7,97.12,PROCESSOR,12.52,67.46,0,73.41,13,0.57,43.59,0.09,3.57,-0.256,PANEL_C_20
2025-10-27,READY_TO_EAT,PUNE,245.38,-10.86,-4.07,4.87,95.04,E_COM,73.2,164.01,0,65.65,8,3.04,17.04,2.54,49.26,1.515,PANEL_C_07
2025-07-21,EDIBLE_OIL,LUCKNOW,290.68,10.94,-17.07,2.18,100.0,RETAIL,40.28,194.28,0,95.62,12,3.63,0.78,66.8,24.93,3.136,PANEL_D_19
2025-06-30,GRAINS,LUCKNOW,757.47,-12.08,9.3,9.22,89.83,E_COM,32.72,96.06,0,85.14,4,3.42,0.58,9.45,0.81,2.833,PANEL_C_01
2025-06-30,VEG,PUNE,1164.14,0.04,-18.4,5.04,94.91,PROCESSOR,50.5,154.43,0,90.16,7,6.08,39.53,68.55,40.0,2.755,PANEL_C_20
2025-10-06,READY_TO_EAT,LUCKNOW,60.46,-6.43,28.08,9.19,86.31,PROCESSOR,70.9,111.63,0,67.01,6,4.03,36.17,74.41,22.55,5.129,PANEL_C_12
2026-03-16,FRUIT,HYD_METRO,634.44,4.05,21.83,12.49,87.31,FARM,40.59,68.85,0,91.47,7,1.73,41.16,67.32,21.02,2.492,PANEL_A_06
2021-03-29,BEVERAGES,AHMEDABAD,1471.51,2.73,-13.77,1.62,97.38,RETAIL,66.19,190.73,0,86.24,8,2.33,56.99,37.51,3.73,5.924,PANEL_B_08
2022-02-14,BEVERAGES,KOLKATA,604.4,8.09,-21.61,4.52,93.1,WHOLESALE,23.07,180.33,0,70.95,11,5.35,51.54,66.16,38.33,2.231,PANEL_A_12
2023-04-17,FRUIT,HYD_METRO,1237.38,6.42,-19.15,4.42,92.8,RETAIL,9.33,175.21,0,75.59,1,7.43,15.38,50.1,51.91,-1.591,PANEL_A_16
2026-03-02,SPICES,PUNE,1364.64,-11.26,-11.84,2.65,98.11,E_COM,66.65,105.89,0,64.95,3,4.89,29.29,30.24,32.4,1.539,PANEL_C_11
2022-03-21,MEAT,LUCKNOW,129.18,-4.85,22.9,14.15,87.05,MANDI,30.0,116.52,0,76.19,7,4.11,43.82,43.24,37.69,1.078,PANEL_A_18
2026-02-02,GRAINS,HYD_METRO,1200.35,12.73,23.92,6.28,97.82,RETAIL,2.69,111.41,0,81.06,4,4.01,5.47,29.82,2.25,2.128,PANEL_A_05
2026-02-23,FRUIT,LUCKNOW,1041.5,1.02,20.61,8.68,94.75,FARM,7.2,84.53,0,69.98,4,2.95,56.2,42.65,6.76,1.535,PANEL_A_01
2024-04-22,DAIRY,MUMBAI_MMR,1109.84,-0.62,17.43,6.43,90.17,E_COM,8.89,191.98,0,75.94,6,7.16,34.16,82.77,29.28,1.258,PANEL_C_03
2021-03-29,DAIRY,JAIPUR,1036.13,12.38,4.47,0.0,96.07,FARM,2.85,76.37,0,91.57,15,4.11,28.47,56.78,17.31,1.704,PANEL_A_15
2023-11-13,VEG,MUMBAI_MMR,1383.61,2.46,32.11,10.38,92.73,RETAIL,74.39,206.64,0,83.33,12,3.87,48.97,30.34,33.27,5.585,PANEL_D_05
2025-07-21,BEVERAGES,MUMBAI_MMR,388.42,-5.32,-22.46,0.0,98.46,E_COM,25.62,146.81,0,68.83,6,3.58,19.03,51.01,54.56,-1.819,PANEL_A_09
2019-08-05,BEVERAGES,DELHI_NCR,891.46,8.11,-20.91,4.31,92.95,PROCESSOR,25.26,68.34,0,70.11,6,2.75,19.95,66.66,18.86,-1.309,PANEL_A_07
2021-11-08,READY_TO_EAT,JAIPUR,1241.94,-6.3,2.39,5.3,94.65,MANDI,11.59,193.5,0,88.02,7,2.47,48.0,45.29,13.22,-1.683,PANEL_C_20
2021-08-30,DAIRY,CHENNAI,299.64,-12.45,-18.74,0.85,95.25,E_COM,18.17,155.17,0,60.88,3,11.18,7.58,87.39,27.94,4.36,PANEL_C_03
2022-07-18,VEG,DELHI_NCR,1136.03,-9.24,22.9,3.08,92.94,FARM,74.76,145.71,0,79.09,9,3.08,4.91,62.83,27.74,5.261,PANEL_C_01
2021-06-07,BEVERAGES,HYD_METRO,1346.67,-2.26,-15.34,5.06,96.21,RETAIL,0.98,190.6,0,74.34,5,1.01,19.66,97.15,26.9,4.568,PANEL_D_15
2022-05-09,FRUIT,PUNE,262.65,-14.8,-24.78,0.0,95.04,FARM,69.48,152.83,0,66.25,3,2.86,34.45,70.74,17.91,3.334,PANEL_B_05
2024-05-13,MEAT,DELHI_NCR,320.86,1.45,2.12,5.88,94.18,FARM,22.27,86.23,0,61.0,10,2.4,4.28,63.19,27.13,-0.641,PANEL_A_15
2020-11-30,GRAINS,DELHI_NCR,1240.56,-13.39,-4.16,5.25,99.49,FARM,41.35,150.03,0,87.56,7,7.01,18.94,81.4,37.99,-1.297,PANEL_D_18
2022-03-07,READY_TO_EAT,LUCKNOW,73.82,-14.78,3.52,11.11,90.25,RETAIL,49.85,105.15,0,66.13,10,4.92,15.97,19.88,17.49,-0.392,PANEL_C_05
2023-03-27,MEAT,MUMBAI_MMR,69.13,2.98,28.03,12.91,88.91,FARM,31.17,95.56,0,74.24,4,0.73,11.95,88.21,26.35,2.983,PANEL_B_16
2019-09-23,DAIRY,KOLKATA,680.43,9.04,10.33,5.42,99.4,WHOLESALE,62.74,180.22,0,83.67,11,0.0,35.03,16.17,46.64,-0.067,PANEL_A_15
2024-10-07,SNACKS,PUNE,1276.21,4.12,-9.94,3.33,96.01,WHOLESALE,24.52,109.8,0,73.58,6,3.06,29.13,16.78,6.11,0.81,PANEL_B_06
2019-03-18,MEAT,CHENNAI,581.95,-14.19,-15.26,6.46,96.66,FARM,22.13,151.38,0,100.0,11,5.25,28.98,97.69,32.45,2.381,PANEL_A_17
2024-09-23,VEG,JAIPUR,92.77,-2.42,4.17,8.88,90.55,WHOLESALE,3.49,121.84,0,70.1,12,5.01,40.81,9.35,42.12,-1.48,PANEL_B_02
2019-09-23,FRUIT,CHENNAI,944.26,9.99,15.57,4.89,97.21,RETAIL,51.4,85.68,0,81.21,2,1.98,4.69,8.42,19.41,0.412,PANEL_A_12
2021-03-22,DAIRY,AHMEDABAD,416.83,-0.5,-24.37,0.0,100.0,FARM,43.66,112.06,0,100.0,5,6.01,55.56,28.67,23.72,4.905,PANEL_C_15
2022-08-01,DAIRY,KOLKATA,1425.31,-11.08,-16.6,13.78,87.79,RETAIL,57.65,179.83,0,67.26,7,2.36,10.3,36.03,25.15,-1.429,PANEL_B_20
2019-07-01,READY_TO_EAT,DELHI_NCR,97.05,9.45,6.24,3.92,96.1,MANDI,14.3,136.38,0,85.42,8,3.11,6.76,92.91,13.55,-0.096,PANEL_D_03
2023-12-25,MEAT,PUNE,577.25,10.08,32.18,6.55,90.5,E_COM,51.09,138.33,0,83.29,13,1.91,49.31,35.76,39.09,2.094,PANEL_A_18
2026-08-17,READY_TO_EAT,HYD_METRO,1124.86,-13.01,31.75,4.38,97.84,MANDI,48.84,88.82,0,80.22,7,7.45,13.25,47.29,25.5,-0.309,PANEL_C_16
2020-06-22,MEAT,BLR_URBAN,619.0,-3.76,-20.86,10.09,87.12,FARM,53.6,69.93,0,87.31,3,0.55,9.86,68.98,32.08,2.243,PANEL_C_05
2022-09-26,GRAINS,LUCKNOW,1190.12,-2.46,11.21,7.98,93.15,FARM,2.79,182.25,0,64.5,11,7.27,29.92,92.96,15.33,-1.002,PANEL_D_03
2019-04-08,EDIBLE_OIL,KOLKATA,1289.1,14.75,-5.01,14.96,81.14,MANDI,79.66,96.24,0,88.61,1,4.49,15.74,41.62,39.15,1.693,PANEL_D_15
2026-07-06,SNACKS,DELHI_NCR,1295.35,7.77,-19.67,3.57,100.0,PROCESSOR,84.06,146.66,1,77.86,1,4.65,12.37,78.8,12.33,-0.057,PANEL_A_03
2025-05-26,SNACKS,PUNE,547.19,-9.6,26.26,0.0,97.8,WHOLESALE,45.04,136.89,1,87.04,10,5.06,39.14,6.73,52.42,4.354,PANEL_A_11
2020-07-06,DAIRY,HYD_METRO,1278.63,14.99,-14.51,3.03,96.81,FARM,52.2,101.33,0,90.46,3,7.72,20.27,72.68,13.93,5.933,PANEL_C_11
2019-03-04,GRAINS,JAIPUR,823.25,-12.06,21.79,16.05,84.47,E_COM,78.8,107.06,0,66.6,7,4.03,27.53,95.23,47.0,5.283,PANEL_A_11
