care_costs_billing_year,care_costs_drg_code,care_costs_allowed_amount_avg,care_costs_paid_amount_avg,care_costs_patient_responsibility_avg,care_costs_charge_amount_avg,care_costs_cost_to_charge_ratio,care_costs_denial_rate_pct,care_costs_prior_auth_required_flag,care_costs_appeal_overturn_rate,care_costs_collection_rate_pct,care_costs_charity_care_share_pct,care_costs_bad_debt_share_pct,care_costs_price_transparency_file_flag,care_costs_shoppable_service_code,care_costs_site_of_care_shift_index,care_costs_contracted_rate_index,care_costs_out_of_network_rate_index,care_costs_surprise_bill_incidence_rate,care_costs_inflation_adjustment_base
2012,DRG00030,3834.22,3432.47,469.4,17142.78,0.2237,15.71,1,76.84,87.18,0.58,8.65,0,SHOP000030,0.3398,137.32,141.3,4.602,PCE_2017
2015,DRG00031,42414.1,39171.74,4163.4,113280.4,0.3744,8.06,0,30.18,42.45,10.17,6.24,1,SHOP000031,0.2057,125.12,81.16,3.609,PCE_2017
2014,DRG00032,22192.41,18279.01,5253.7,90485.4,0.2453,12.86,1,78.03,79.48,9.5,8.64,1,SHOP000032,0.1862,108.62,98.0,5.572,PCE_2022
2021,DRG00033,63970.22,55894.94,2410.82,178049.46,0.3593,0.52,1,47.36,95.59,3.78,4.48,1,SHOP000033,0.3177,71.6,184.25,4.458,CPI_2017
2018,DRG00034,60023.69,55505.09,6044.02,123118.01,0.4875,2.92,0,5.55,99.27,1.71,4.15,1,SHOP000034,0.9281,109.82,93.79,4.835,PCE_2012
2016,DRG00035,46935.25,37930.52,3191.79,111512.3,0.4209,23.98,1,37.85,62.99,4.45,13.71,0,SHOP000035,0.3331,99.14,82.46,1.677,CPI_2012
2011,DRG00036,65212.61,59282.16,13925.99,152375.77,0.428,14.98,1,73.51,45.03,0.96,13.92,1,SHOP000036,0.0524,133.23,82.64,4.955,PCE_2012
2025,DRG00037,14318.99,9937.76,2292.58,39454.51,0.3629,23.13,1,79.16,77.29,11.25,0.2,0,SHOP000037,0.4329,99.51,138.94,6.077,CPI_2012
2025,DRG00038,37512.9,29106.15,1740.59,167020.63,0.2246,6.69,0,82.92,86.83,3.33,15.06,1,SHOP000038,0.6702,130.11,211.01,2.128,PCE_2012
2023,DRG00039,38651.24,30974.45,2679.79,156762.59,0.2466,20.1,1,54.98,79.94,1.29,17.95,1,SHOP000039,0.4032,110.47,103.98,1.764,CPI_2017
2019,DRG00040,8776.56,6390.65,228.79,36156.26,0.2427,1.62,1,68.85,83.46,8.38,12.19,0,SHOP000040,0.0628,79.4,146.46,2.242,PCE_2022
2017,DRG00041,50235.39,34324.35,8965.61,100890.41,0.4979,7.12,0,82.53,84.77,6.3,8.13,1,SHOP000041,0.7394,74.57,185.55,1.044,CPI_2022
2012,DRG00042,12479.83,7960.66,2849.94,42992.39,0.2903,17.76,1,15.42,68.23,10.23,10.28,1,SHOP000042,0.2922,98.0,190.79,1.381,CPI_2012
2015,DRG00043,10415.68,6853.81,1314.21,32878.47,0.3168,8.11,0,64.71,50.24,2.69,13.44,0,SHOP000043,0.71,125.47,127.55,1.23,CPI_2012
2024,DRG00044,47935.98,29357.86,5601.92,212152.92,0.226,10.21,0,19.92,61.6,9.67,15.34,1,SHOP000044,0.9648,116.83,140.53,0.377,CPI_2012
2013,DRG00045,19559.42,11842.16,4679.3,39750.0,0.4921,21.31,1,50.93,54.59,2.28,5.1,1,SHOP000045,0.1895,120.94,112.22,5.7,PCE_2012
2012,DRG00046,45502.56,38372.4,3046.5,156627.39,0.2905,21.23,0,63.8,87.29,1.39,11.13,1,SHOP000046,0.7044,93.55,203.07,6.1,PCE_2022
2019,DRG00047,61828.02,36669.88,5102.8,207133.86,0.2985,10.96,1,52.59,60.29,11.05,8.35,0,SHOP000047,0.1927,139.64,100.63,3.919,CPI_2012
2010,DRG00048,32513.95,19962.99,1045.33,98259.21,0.3309,21.58,1,7.66,81.07,0.58,12.65,0,SHOP000048,0.4864,105.73,161.49,0.972,CPI_2017
2016,DRG00049,28032.32,18749.54,2221.08,114713.12,0.2444,9.81,0,37.81,49.73,8.18,5.05,0,SHOP000049,0.9195,94.24,137.32,5.211,PCE_2012
2021,DRG00050,17182.56,10939.85,1846.44,73860.54,0.2326,19.53,1,20.86,66.21,7.87,8.91,1,SHOP000050,0.734,100.06,212.32,0.028,PCE_2012
2016,DRG00051,47519.51,42920.52,11615.48,168496.58,0.282,21.62,1,54.94,54.67,11.16,4.74,1,SHOP000051,0.7866,121.68,193.24,3.518,PCE_2022
2011,DRG00052,36242.45,23852.48,4932.15,113888.85,0.3182,14.84,1,82.06,45.24,2.32,0.88,0,SHOP000052,0.6838,90.38,199.27,0.379,CPI_2017
2020,DRG00053,15908.45,11872.66,2013.5,52110.08,0.3053,9.59,0,58.33,84.61,8.72,15.39,0,SHOP000053,0.3231,107.34,99.7,1.942,PCE_2012
2013,DRG00054,14303.17,10102.05,1588.06,53044.37,0.2696,6.8,1,74.05,80.25,2.78,11.15,1,SHOP000054,0.7359,86.62,151.06,5.028,CPI_2017
2016,DRG00055,12073.78,10625.08,2621.34,39367.04,0.3067,24.56,0,24.9,95.21,8.33,6.71,0,SHOP000055,0.3046,77.9,82.89,0.402,PCE_2022
2022,DRG00056,35244.61,24815.68,2968.61,113849.57,0.3096,17.31,1,15.39,58.03,1.92,11.96,1,SHOP000056,0.0634,107.8,205.91,4.17,CPI_2017
2020,DRG00057,7584.28,6662.9,812.45,30476.16,0.2489,13.85,1,56.59,91.41,11.82,13.01,1,SHOP000057,0.9557,83.57,202.77,0.201,PCE_2022
2021,DRG00058,23797.0,20976.47,3680.21,84775.71,0.2807,8.1,0,76.41,71.17,2.8,0.89,1,SHOP000058,0.826,125.28,157.55,6.485,PCE_2022
2016,DRG00059,57052.23,55778.46,1692.26,202581.06,0.2816,22.97,1,32.91,48.19,5.96,16.09,0,SHOP000059,0.1802,117.15,111.75,4.852,PCE_2022
2009,DRG00060,31273.66,24860.3,5264.25,138886.3,0.2252,21.96,1,23.24,85.62,10.99,14.63,1,SHOP000060,0.6196,75.78,88.65,5.253,CPI_2012
2025,DRG00061,15907.17,12711.32,3361.71,61987.77,0.2566,20.1,1,59.22,53.33,8.65,5.75,1,SHOP000061,0.4665,126.86,121.9,3.483,CPI_2012
2013,DRG00062,46294.87,27597.21,11069.59,85717.1,0.5401,11.82,0,23.49,95.44,4.22,17.21,1,SHOP000062,0.3757,106.67,190.17,4.761,PCE_2017
2016,DRG00063,56802.39,46207.59,10357.68,154409.28,0.3679,15.62,1,8.27,85.97,6.92,16.21,0,SHOP000063,0.9578,102.14,142.07,5.202,CPI_2017
2023,DRG00064,55536.96,33728.45,5430.53,250401.06,0.2218,3.2,0,55.26,54.55,5.71,16.79,1,SHOP000064,0.5399,88.63,110.92,1.377,PCE_2022
2015,DRG00065,17667.32,13320.0,2095.47,34582.58,0.5109,4.67,1,55.31,82.36,11.83,13.44,1,SHOP000065,0.0388,123.56,162.84,3.583,CPI_2017
2013,DRG00066,21694.83,19002.41,812.09,79758.67,0.272,13.33,0,80.51,73.18,1.0,15.56,0,SHOP000066,0.3322,120.2,147.51,0.907,CPI_2012
2019,DRG00067,10581.35,9502.53,1466.62,32173.12,0.3289,6.4,1,21.51,62.57,8.82,4.68,1,SHOP000067,0.7623,113.67,191.36,6.462,CPI_2022
2012,DRG00068,30549.41,29827.29,2376.47,95915.62,0.3185,0.01,0,76.53,96.68,6.64,2.55,1,SHOP000068,0.6382,83.41,196.69,6.24,PCE_2012
2019,DRG00069,53539.48,36358.98,10125.69,228446.47,0.2344,20.36,1,24.45,85.92,11.15,12.68,1,SHOP000069,0.3866,112.48,152.14,2.916,CPI_2012
2023,DRG00070,64877.11,55318.31,14102.58,125718.08,0.5161,19.38,0,29.11,96.95,10.84,3.31,1,SHOP000070,0.8749,121.23,100.24,6.205,CPI_2012
2012,DRG00071,29277.09,16103.45,2512.62,80881.29,0.362,13.22,0,29.68,69.44,4.77,1.88,1,SHOP000071,0.6159,70.54,88.3,3.827,PCE_2022
2013,DRG00072,28936.52,18478.34,7041.26,128617.43,0.225,1.09,0,49.29,81.54,5.85,2.68,1,SHOP000072,0.1799,121.55,104.48,3.323,PCE_2017
2009,DRG00073,34102.06,22357.9,4160.73,91937.04,0.3709,9.61,0,71.05,86.84,7.35,3.0,1,SHOP000073,0.0546,133.85,183.86,3.04,PCE_2012
2015,DRG00074,32677.93,23364.59,5832.46,138710.32,0.2356,7.56,1,18.12,69.57,3.64,3.45,0,SHOP000074,0.6873,128.73,97.78,5.42,PCE_2012
2022,DRG00075,37440.55,30650.79,5659.09,113525.65,0.3298,16.57,0,60.98,65.49,11.27,15.43,1,SHOP000075,0.1489,85.14,187.65,4.064,CPI_2012
2009,DRG00076,32096.22,22695.85,1870.79,68901.52,0.4658,23.27,0,52.51,63.48,3.1,13.14,1,SHOP000076,0.3185,99.7,103.82,3.536,PCE_2022
2015,DRG00077,56806.96,36514.1,5743.75,246300.07,0.2306,24.48,0,51.0,72.1,9.32,7.8,1,SHOP000077,0.7365,133.4,135.81,0.162,CPI_2012
2021,DRG00078,12526.96,11500.85,1439.15,37147.83,0.3372,2.44,0,61.51,64.03,2.91,13.75,1,SHOP000078,0.6534,86.47,142.84,5.862,CPI_2022
2011,DRG00079,42368.63,38479.08,10460.7,97880.52,0.4329,1.52,0,84.24,66.15,11.29,10.08,1,SHOP000079,0.4969,110.92,173.95,0.55,CPI_2017
2024,DRG00080,61273.09,34237.41,7699.82,159720.97,0.3836,5.79,1,32.27,47.97,5.97,11.37,1,SHOP000080,0.0813,82.3,211.43,4.417,PCE_2022
2024,DRG00081,57494.57,45469.85,7152.94,254731.26,0.2257,0.3,0,23.26,94.58,4.99,6.81,1,SHOP000081,0.9366,130.84,100.2,5.175,PCE_2012
2025,DRG00082,38845.8,27801.49,5836.29,148325.52,0.2619,15.17,0,16.3,60.58,4.37,10.23,1,SHOP000082,0.4772,78.3,181.45,4.791,PCE_2022
2020,DRG00083,7890.46,7131.66,514.4,26512.08,0.2976,14.82,1,59.83,41.03,9.68,10.13,1,SHOP000083,0.0927,123.24,203.93,0.532,CPI_2022
2018,DRG00084,34984.77,29736.93,1621.32,158393.26,0.2209,10.98,1,17.73,83.11,7.41,5.43,1,SHOP000084,0.1401,89.89,186.56,0.391,CPI_2022
2009,DRG00085,38498.22,33079.69,8437.06,120126.28,0.3205,23.84,1,41.01,41.32,0.47,1.98,1,SHOP000085,0.021,103.04,201.01,3.24,CPI_2012
2012,DRG00086,53328.53,46637.46,1173.81,229359.27,0.2325,8.36,0,40.88,40.7,0.35,6.89,0,SHOP000086,0.434,136.88,144.41,5.629,PCE_2012
2015,DRG00087,29763.39,28333.31,7114.65,94604.3,0.3146,5.94,1,27.74,72.55,8.57,4.17,1,SHOP000087,0.9056,90.36,191.59,3.599,CPI_2012
2014,DRG00088,32905.51,25172.08,6128.31,72603.05,0.4532,5.2,0,64.1,57.63,8.86,5.53,1,SHOP000088,0.7396,96.74,168.99,3.228,CPI_2022
2022,DRG00089,27607.93,21280.49,4394.36,120543.85,0.229,3.97,1,66.32,68.77,8.51,17.15,0,SHOP000089,0.3766,120.14,132.83,2.984,PCE_2012
2017,DRG00090,21465.53,13966.6,2701.67,67559.25,0.3177,11.63,1,47.19,94.17,11.91,5.79,1,SHOP000090,0.9859,98.0,83.1,2.916,PCE_2022
2019,DRG00091,13205.76,10554.05,2339.6,46146.08,0.2862,11.78,0,55.09,48.54,2.89,10.63,1,SHOP000091,0.3341,131.62,149.97,3.259,CPI_2022
2013,DRG00092,43585.81,28455.38,1150.37,140862.44,0.3094,4.88,1,80.26,46.52,3.93,17.66,1,SHOP000092,0.6335,96.85,187.08,4.184,PCE_2022
2023,DRG00093,36497.73,25686.83,4871.07,99545.92,0.3666,12.12,0,24.4,75.53,7.01,8.03,1,SHOP000093,0.0402,84.72,165.18,1.025,CPI_2017
2012,DRG00094,52883.85,37098.89,3307.96,168657.99,0.3136,24.94,0,13.53,82.89,0.11,15.65,0,SHOP000094,0.1522,93.52,160.49,4.718,PCE_2022
2025,DRG00095,57912.89,34587.62,6169.92,158784.27,0.3647,10.07,0,50.5,61.05,5.09,8.42,0,SHOP000095,0.6383,75.1,155.97,3.122,CPI_2017
2021,DRG00096,8544.37,6061.91,1834.56,37766.16,0.2262,24.97,0,65.85,51.51,0.85,3.83,0,SHOP000096,0.5337,72.75,155.09,2.252,PCE_2012
2020,DRG00097,37044.36,35477.44,2173.85,110057.35,0.3366,4.37,0,42.2,82.9,4.91,3.36,1,SHOP000097,0.1018,71.97,143.37,1.176,PCE_2017
2009,DRG00098,45963.64,32021.08,965.01,98581.71,0.4662,18.91,0,76.3,55.62,11.3,8.38,1,SHOP000098,0.7085,89.01,182.52,3.196,CPI_2022
2015,DRG00099,57945.82,49449.3,2516.05,177136.87,0.3271,14.8,0,50.14,53.46,8.89,14.86,1,SHOP000099,0.1634,136.15,167.38,5.812,PCE_2017
2012,DRG00100,26130.58,19674.92,6330.94,113769.68,0.2297,23.54,1,34.32,42.06,6.43,3.03,0,SHOP000100,0.787,82.78,82.23,1.411,PCE_2017
2018,DRG00101,26067.84,16024.43,4626.66,63418.48,0.411,11.59,0,40.52,60.85,3.37,12.61,1,SHOP000101,0.3598,72.62,129.05,3.592,PCE_2017
2017,DRG00102,58786.19,37255.1,11116.67,266418.68,0.2207,18.29,1,68.18,47.42,11.46,1.62,0,SHOP000102,0.8618,107.54,184.97,5.11,PCE_2022
2013,DRG00103,24272.23,17832.11,488.3,57815.07,0.4198,23.18,1,8.53,76.24,5.22,9.09,0,SHOP000103,0.646,123.99,147.49,0.746,PCE_2022
2022,DRG00104,62748.88,55863.42,7832.96,240287.62,0.2611,19.42,0,58.98,53.54,7.48,7.37,1,SHOP000104,0.9647,118.22,171.87,3.738,CPI_2022
2014,DRG00105,12006.27,8473.67,1709.15,35991.84,0.3336,21.6,0,9.53,86.18,1.69,2.46,1,SHOP000105,0.8696,100.8,184.99,2.934,PCE_2022
2020,DRG00106,34294.08,23591.12,4661.59,91929.14,0.373,9.57,0,64.89,99.46,9.76,11.21,1,SHOP000106,0.4025,114.36,163.52,3.016,CPI_2022
2025,DRG00107,41292.59,35573.14,1060.42,86581.52,0.4769,0.36,0,49.52,89.27,1.21,16.49,0,SHOP000107,0.4556,116.59,177.01,1.895,CPI_2022
2010,DRG00108,17298.27,11982.93,1258.99,69468.91,0.249,3.79,1,7.24,62.68,6.11,8.15,0,SHOP000108,0.9931,73.23,206.57,2.638,CPI_2012
2014,DRG00109,4115.84,3735.11,655.92,10389.68,0.3961,0.89,1,39.92,50.37,6.35,11.5,1,SHOP000109,0.2547,116.82,180.15,1.905,PCE_2012
2024,DRG00110,34667.52,20786.63,5807.39,101186.61,0.3426,14.8,1,78.51,72.32,0.64,3.77,0,SHOP000110,0.5478,127.76,140.16,5.727,CPI_2017
2022,DRG00111,31165.97,19231.88,6388.07,103819.94,0.3002,17.42,0,5.94,99.25,7.16,1.54,1,SHOP000111,0.6112,120.07,85.43,6.492,CPI_2017
2010,DRG00112,56434.67,48567.94,12743.09,200923.48,0.2809,18.78,1,12.01,85.85,9.31,2.46,1,SHOP000112,0.4464,118.31,116.17,0.045,PCE_2012
2013,DRG00113,15271.75,10347.12,3397.34,42497.06,0.3594,0.3,0,40.67,57.53,1.65,7.92,1,SHOP000113,0.6507,121.64,97.29,1.36,PCE_2017
2013,DRG00114,29381.76,25102.99,1222.14,112565.23,0.261,2.85,1,67.79,61.66,3.2,10.43,1,SHOP000114,0.5619,104.74,151.63,0.626,CPI_2022
2009,DRG00115,10110.6,8769.84,1141.93,31431.73,0.3217,13.48,1,25.04,71.51,6.17,3.28,1,SHOP000115,0.3328,123.57,133.55,2.491,CPI_2012
2014,DRG00116,20050.27,16571.07,2451.29,36318.6,0.5521,10.18,0,9.26,54.56,0.28,4.52,1,SHOP000116,0.2114,91.14,148.5,2.207,CPI_2012
2019,DRG00117,11960.53,6661.22,489.8,34597.21,0.3457,14.61,0,32.52,41.2,4.12,2.93,1,SHOP000117,0.1629,129.21,140.93,0.123,PCE_2017
2017,DRG00118,19105.43,12040.93,4012.59,75800.73,0.252,2.29,1,44.61,83.37,11.22,12.9,1,SHOP000118,0.9767,101.35,126.33,0.796,PCE_2017
2010,DRG00119,61235.37,55516.98,2718.11,179058.8,0.342,16.79,0,25.58,97.4,0.55,4.36,1,SHOP000119,0.2525,73.01,129.36,0.446,CPI_2022
2012,DRG00120,29550.72,21750.62,7152.44,99508.66,0.297,11.06,1,7.87,63.43,10.56,2.56,1,SHOP000120,0.8015,119.33,189.72,6.475,PCE_2017
2024,DRG00121,54077.09,37370.28,12061.02,197051.4,0.2744,5.73,1,56.91,46.11,10.18,12.57,1,SHOP000121,0.9286,100.33,88.39,4.714,PCE_2012
2020,DRG00122,66073.1,49850.6,12504.25,273121.93,0.2419,4.31,0,29.54,48.93,8.96,2.05,1,SHOP000122,0.3695,88.6,187.65,5.259,PCE_2012
2020,DRG00123,38204.28,22706.54,4005.94,96568.98,0.3956,17.89,0,80.37,51.92,9.95,6.38,1,SHOP000123,0.7126,101.9,212.63,2.86,PCE_2017
2014,DRG00124,52402.77,35362.69,10264.56,161963.3,0.3235,7.08,1,5.35,98.32,7.88,11.1,1,SHOP000124,0.6458,115.99,193.13,1.553,CPI_2017
2011,DRG00125,58501.81,40751.17,11136.33,214724.04,0.2725,11.81,1,79.18,70.21,9.1,3.96,1,SHOP000125,0.3949,92.03,149.13,5.249,PCE_2022
2022,DRG00126,66546.56,61325.11,12868.78,258297.21,0.2576,23.34,1,71.26,63.96,1.48,7.21,1,SHOP000126,0.0113,82.4,151.29,0.404,PCE_2017
2021,DRG00127,36896.4,29445.21,7700.34,172461.37,0.2139,2.45,1,69.64,58.27,6.19,12.55,1,SHOP000127,0.2974,102.05,124.37,5.62,CPI_2012
2019,DRG00128,29547.96,20757.92,4229.51,113564.32,0.2602,22.85,1,10.9,74.81,11.57,12.42,0,SHOP000128,0.5393,70.43,114.24,4.811,PCE_2017
2020,DRG00129,62292.4,35496.45,5104.61,224348.78,0.2777,16.89,0,57.97,91.66,10.97,9.73,1,SHOP000129,0.5236,71.66,109.58,0.039,PCE_2017
2010,DRG00130,57809.16,33218.24,2940.1,174782.59,0.3307,5.49,1,43.14,97.84,1.34,1.64,1,SHOP000130,0.3723,135.22,157.27,1.872,PCE_2012
2020,DRG00131,11920.81,9804.39,2116.97,44218.88,0.2696,14.3,1,12.92,88.14,1.94,3.69,1,SHOP000131,0.6391,122.92,103.21,6.37,PCE_2022
2020,DRG00132,3931.96,3295.13,886.82,12929.79,0.3041,8.29,0,17.56,88.18,0.12,3.74,1,SHOP000132,0.2348,111.9,204.96,1.025,CPI_2012
2020,DRG00133,37772.73,24978.08,8962.95,89185.75,0.4235,20.26,1,24.7,59.41,3.88,7.95,0,SHOP000133,0.5936,112.23,155.46,0.233,PCE_2017
2022,DRG00134,17093.72,13035.38,1552.36,65087.18,0.2626,19.19,0,77.79,40.86,9.6,16.58,1,SHOP000134,0.2904,87.03,149.14,2.63,CPI_2012
2014,DRG00135,63197.41,49659.96,13912.14,237893.93,0.2657,6.64,1,52.68,42.85,4.65,4.3,0,SHOP000135,0.34,123.6,187.08,2.835,PCE_2012
2021,DRG00136,10411.0,9943.11,2340.06,26798.19,0.3885,18.96,1,7.99,91.28,3.1,6.56,0,SHOP000136,0.7552,102.83,144.04,0.918,CPI_2012
2012,DRG00137,25244.92,22078.33,1174.27,104399.79,0.2418,15.23,1,17.23,93.33,5.65,12.28,0,SHOP000137,0.8193,107.67,218.42,2.524,CPI_2022
2014,DRG00138,19238.26,18584.98,4624.1,55330.59,0.3477,7.38,1,71.68,53.74,3.48,7.94,1,SHOP000138,0.9205,116.19,160.57,6.303,CPI_2017
2021,DRG00139,4587.3,3180.84,243.98,10521.48,0.436,16.18,1,67.61,92.36,6.08,4.5,1,SHOP000139,0.2149,118.6,138.91,4.867,CPI_2012
2016,DRG00140,63071.67,59038.94,11184.96,167317.97,0.377,22.38,1,13.5,91.78,2.22,10.84,0,SHOP000140,0.9095,97.41,179.56,4.319,CPI_2012
2013,DRG00141,63228.18,48940.84,10121.39,262943.19,0.2405,20.13,0,6.82,93.19,3.62,3.41,1,SHOP000141,0.7215,139.25,120.43,1.734,PCE_2022
2023,DRG00142,9580.25,6095.86,663.49,32571.43,0.2941,18.28,1,43.45,49.31,9.59,10.34,0,SHOP000142,0.5363,106.71,213.2,0.712,CPI_2017
2023,DRG00143,13247.97,12787.94,1594.71,37405.28,0.3542,13.83,1,7.21,67.36,0.28,15.55,1,SHOP000143,0.2316,107.37,197.61,5.066,CPI_2012
2014,DRG00144,3042.54,1932.5,428.8,5973.71,0.5093,7.7,1,28.1,70.38,9.36,2.66,1,SHOP000144,0.5949,72.22,100.12,3.366,CPI_2012
2015,DRG00145,27920.77,22497.88,4413.94,97870.73,0.2853,0.06,1,51.4,98.98,5.48,2.09,1,SHOP000145,0.652,90.67,165.24,3.503,PCE_2022
2015,DRG00146,12652.32,11061.23,672.02,57477.49,0.2201,24.3,0,12.62,77.65,3.73,6.38,1,SHOP000146,0.1412,84.35,83.06,0.357,CPI_2017
2019,DRG00147,31792.92,30667.16,7892.66,90635.79,0.3508,21.67,1,61.46,56.33,8.84,11.58,1,SHOP000147,0.015,120.66,111.62,2.845,CPI_2017
2010,DRG00148,40767.59,25252.33,2886.9,139509.95,0.2922,15.57,0,63.74,99.0,7.68,11.29,1,SHOP000148,0.2279,89.77,180.05,5.724,PCE_2012
2013,DRG00149,40049.38,22045.23,3786.34,149064.19,0.2687,17.54,0,22.46,52.53,11.34,16.46,0,SHOP000149,0.2747,89.08,197.41,5.687,PCE_2022
2012,DRG00150,35726.73,32296.3,4367.84,119137.45,0.2999,14.81,1,64.94,44.19,2.77,11.49,0,SHOP000150,0.3586,103.46,176.91,1.089,PCE_2022
2021,DRG00151,23590.88,17163.72,1613.28,94074.19,0.2508,1.0,0,56.57,53.02,0.83,13.94,1,SHOP000151,0.549,96.65,91.57,3.374,CPI_2012
