lab_wages_reference_year,lab_wages_country_iso2,lab_wages_region_nuts_code,lab_wages_nace_section,lab_wages_occupation_isco_code,lab_wages_mean_hourly_earnings_eur,lab_wages_median_hourly_earnings_eur,lab_wages_wage_growth_pct,lab_wages_gender_pay_gap_unadjusted_pct,lab_wages_gender_pay_gap_adjusted_pct,lab_wages_collective_bargaining_coverage_pct,lab_wages_minimum_wage_level_eur_month,lab_wages_low_pay_share_pct,lab_wages_bonus_share_pct,lab_wages_inwork_poverty_rate_pct,lab_wages_labor_share_gdp_pct,lab_wages_unit_labor_cost_index,lab_wages_eurostat_table_code,lab_wages_revision_round,lab_wages_data_extract_date
2017,PL,MT188,F,8_PLANT_MACHINE,33.99,27.38,3.5,5.15,3.58,20.29,1723.58,13.63,2.08,7.04,55.43,96.57,nama_10_lp_ulc,FIRST,2025-12-19
2018,ES,LU4,Q,3_TECHNICIANS,17.89,15.38,3.21,6.78,4.45,49.33,2506.71,14.59,2.44,2.68,54.29,115.08,earn_ses_hourly,FLASH,2024-10-30
2019,HR,FI10,G,7_CRAFT,34.87,27.89,1.81,12.26,6.17,53.13,41.41,21.82,8.66,14.69,44.48,84.11,earn_ses_annual,BENCHMARK,2024-06-21
2020,FI,CY87,R,2_PROFESSIONALS,65.3,53.83,6.65,8.9,4.55,80.84,245.42,13.34,5.48,11.1,56.82,115.84,lfs_gpg,SECOND,2024-05-13
2021,IE,GR828,H,6_AGRI,27.2,21.49,4.0,12.24,5.47,60.96,1246.2,19.74,8.23,5.33,49.01,111.55,nama_10_lp_ulc,FIRST,2026-01-30
2022,MT,LV8,S,1_MANAGERS,24.71,19.97,10.01,3.32,1.62,49.51,1327.7,24.25,0.91,6.08,46.95,121.59,earn_ses_hourly,FLASH,2024-01-05
2023,SK,NL562,I,5_SERVICE_SALES,13.07,10.27,1.88,5.24,3.45,75.59,955.35,20.21,9.67,9.38,64.98,125.77,earn_ses_annual,BENCHMARK,2024-11-05
2024,BE,EE647,T,9_ELEMENTARY,26.55,21.59,-0.73,15.69,8.78,80.88,1107.97,7.92,11.94,7.12,64.81,95.23,lfs_gpg,SECOND,2024-06-19
2025,DK,IE4,J,4_CLERICAL,46.41,37.83,2.84,9.78,7.14,89.66,678.17,21.21,5.4,10.76,57.74,132.53,nama_10_lp_ulc,FIRST,2025-11-03
2006,GR,FR22,U,8_PLANT_MACHINE,30.1,26.51,-1.36,5.75,2.59,20.46,1875.21,8.79,1.48,5.63,57.97,110.45,earn_ses_hourly,FLASH,2024-06-19
2007,LT,EE65,K,3_TECHNICIANS,14.83,11.97,-0.91,9.06,4.45,17.34,1626.95,21.06,10.72,9.91,59.2,99.71,earn_ses_annual,BENCHMARK,2024-05-26
2008,PT,FI3,A,7_CRAFT,10.84,10.04,2.31,9.31,3.32,30.23,283.44,14.96,1.47,3.87,44.78,90.17,lfs_gpg,SECOND,2024-01-02
2009,SE,NL408,L,2_PROFESSIONALS,42.04,35.55,-0.16,19.11,12.81,40.05,393.05,20.92,6.12,7.18,44.54,99.18,nama_10_lp_ulc,FIRST,2025-10-30
2010,CY,AT974,B,6_AGRI,8.11,7.47,2.49,6.52,2.91,34.58,1777.28,24.36,4.47,9.4,59.41,111.99,earn_ses_hourly,FLASH,2025-01-17
2011,FR,HR81,M,1_MANAGERS,81.51,68.11,1.96,7.47,4.38,38.51,827.98,15.43,18.12,3.89,44.4,97.14,earn_ses_annual,BENCHMARK,2025-08-21
2012,IT,NL998,C,5_SERVICE_SALES,18.86,16.23,0.53,15.66,10.5,25.73,1298.03,7.22,1.84,11.95,53.79,101.83,lfs_gpg,SECOND,2025-09-14
2013,NL,LT93,N,9_ELEMENTARY,27.75,21.74,4.05,3.48,2.43,35.28,412.84,19.54,10.91,12.46,54.77,104.52,nama_10_lp_ulc,FIRST,2025-09-13
2014,SI,LT270,D,4_CLERICAL,27.11,23.67,2.21,18.05,12.19,69.6,1825.44,12.79,10.07,10.39,48.86,87.03,earn_ses_hourly,FLASH,2024-02-17
2015,BG,HR38,O,8_PLANT_MACHINE,14.14,11.47,3.23,3.59,2.11,16.91,257.32,22.62,9.9,11.18,50.0,93.99,earn_ses_annual,BENCHMARK,2024-09-07
2016,EE,SE619,E,3_TECHNICIANS,26.15,24.1,2.06,9.78,6.42,60.91,1036.5,16.52,9.09,7.03,49.87,109.75,lfs_gpg,SECOND,2025-09-18
2017,HU,MT842,P,7_CRAFT,28.99,22.9,7.58,7.23,3.09,18.82,278.55,20.14,3.39,10.58,45.11,114.33,nama_10_lp_ulc,FIRST,2024-05-14
2018,LU,RO1,F,2_PROFESSIONALS,44.39,40.46,2.63,20.14,11.03,30.48,413.31,11.28,9.49,6.54,52.47,94.29,earn_ses_hourly,FLASH,2025-01-02
2019,RO,EE38,Q,6_AGRI,11.01,9.68,3.69,3.27,2.14,74.03,445.85,13.23,5.77,9.39,63.06,112.5,earn_ses_annual,BENCHMARK,2026-01-17
2020,AT,DE46,G,1_MANAGERS,54.18,43.07,-1.13,17.98,6.76,19.33,903.77,10.38,12.57,11.87,53.51,81.19,lfs_gpg,SECOND,2026-02-24
2021,CZ,PT359,R,5_SERVICE_SALES,15.78,14.15,0.03,10.53,4.37,19.58,971.1,8.11,4.18,5.96,59.74,126.77,nama_10_lp_ulc,FIRST,2024-04-19
2022,DE,LV755,H,9_ELEMENTARY,13.44,10.51,9.89,8.74,4.83,46.94,87.16,14.55,7.09,3.27,43.97,128.58,earn_ses_hourly,FLASH,2025-07-14
2023,LV,EE5,S,4_CLERICAL,19.86,16.81,8.7,2.14,1.05,22.83,1513.07,27.77,2.25,7.38,44.2,102.32,earn_ses_annual,BENCHMARK,2024-06-11
2024,PL,RO797,I,8_PLANT_MACHINE,31.2,27.88,0.31,13.53,5.86,60.62,1168.97,9.22,3.46,6.93,65.56,99.33,lfs_gpg,SECOND,2025-11-10
2025,ES,DE83,T,3_TECHNICIANS,36.46,33.44,-1.31,9.07,6.51,65.44,923.65,17.03,8.73,2.04,49.25,93.33,nama_10_lp_ulc,FIRST,2024-11-13
2006,HR,EE73,J,7_CRAFT,13.84,11.45,7.74,4.08,1.72,22.78,360.47,10.48,3.35,3.15,55.13,109.43,earn_ses_hourly,FLASH,2025-05-11
2007,FI,HU699,U,2_PROFESSIONALS,25.22,20.7,1.36,7.54,4.32,84.07,1098.69,26.03,6.7,12.56,65.16,106.43,earn_ses_annual,BENCHMARK,2025-06-16
2008,IE,AT387,K,6_AGRI,16.85,15.03,0.23,6.89,4.34,70.15,758.94,17.98,6.66,6.24,56.07,93.83,lfs_gpg,SECOND,2024-12-28
2009,MT,AT854,A,1_MANAGERS,24.08,19.82,4.89,20.23,12.25,62.79,124.38,26.66,5.59,8.06,50.83,109.26,nama_10_lp_ulc,FIRST,2024-11-25
2010,SK,LV708,L,5_SERVICE_SALES,11.93,9.88,-0.39,8.31,4.43,44.67,1550.81,7.56,7.86,10.5,51.79,101.32,earn_ses_hourly,FLASH,2024-06-11
2011,BE,FR4,B,9_ELEMENTARY,27.01,23.01,5.84,4.65,1.63,30.67,568.06,11.4,8.7,8.08,58.68,118.44,earn_ses_annual,BENCHMARK,2025-08-25
2012,DK,LV43,M,4_CLERICAL,17.93,16.29,-0.22,2.96,1.81,98.36,643.61,19.99,4.07,3.13,64.7,83.92,lfs_gpg,SECOND,2024-05-16
2013,GR,IT4,C,8_PLANT_MACHINE,14.24,12.1,-0.16,13.81,7.46,46.43,798.65,13.77,5.56,13.27,55.57,91.9,nama_10_lp_ulc,FIRST,2025-08-05
2014,LT,PL5,N,3_TECHNICIANS,15.65,13.28,6.38,6.91,4.12,50.15,533.19,17.95,3.21,8.83,57.56,117.57,earn_ses_hourly,FLASH,2025-07-10
2015,PT,LV130,D,7_CRAFT,38.24,31.22,1.33,18.36,11.66,44.53,750.48,19.89,3.1,8.91,51.43,91.28,earn_ses_annual,BENCHMARK,2025-09-11
2016,SE,PT53,O,2_PROFESSIONALS,63.23,49.98,-0.24,8.29,3.38,50.02,31.62,19.4,6.38,9.12,47.5,113.98,lfs_gpg,SECOND,2025-08-21
2017,CY,BG939,E,6_AGRI,10.63,9.37,2.24,6.16,4.1,49.85,285.26,12.41,11.27,6.59,53.58,110.91,nama_10_lp_ulc,FIRST,2024-11-06
2018,FR,LV452,P,1_MANAGERS,71.97,57.62,5.73,8.08,4.15,97.13,1325.81,13.45,10.03,10.49,48.39,120.51,earn_ses_hourly,FLASH,2025-06-22
2019,IT,IE58,F,5_SERVICE_SALES,10.87,10.07,1.52,17.89,6.65,23.99,1419.69,7.7,8.7,13.65,47.42,103.96,earn_ses_annual,BENCHMARK,2025-03-31
2020,NL,GR981,Q,9_ELEMENTARY,24.03,19.37,6.36,10.52,7.05,45.96,798.14,10.15,7.39,11.5,55.62,103.31,lfs_gpg,SECOND,2024-06-15
2021,SI,BE6,G,4_CLERICAL,40.62,37.07,-0.44,10.31,7.33,42.33,530.1,9.85,3.4,7.38,54.44,128.99,nama_10_lp_ulc,FIRST,2024-08-20
2022,BG,GR276,R,8_PLANT_MACHINE,42.45,34.99,9.16,16.11,9.86,16.66,1802.21,21.92,2.95,12.5,51.26,102.62,earn_ses_hourly,FLASH,2024-01-08
2023,EE,DK2,H,3_TECHNICIANS,17.98,14.97,-1.76,15.04,7.92,45.36,1046.02,12.03,4.65,10.08,48.71,104.51,earn_ses_annual,BENCHMARK,2024-03-06
2024,HU,SI865,S,7_CRAFT,47.83,42.34,4.32,15.27,8.28,71.05,1226.84,13.35,4.76,6.14,49.18,129.71,lfs_gpg,SECOND,2025-01-06
2025,LU,CZ8,I,2_PROFESSIONALS,77.2,69.54,3.35,12.21,5.78,67.75,1370.02,11.92,10.45,10.46,62.92,102.77,nama_10_lp_ulc,FIRST,2026-02-09
2006,RO,PT607,T,6_AGRI,12.33,10.87,-0.24,9.69,3.87,80.22,1155.9,24.68,2.09,7.31,56.09,110.42,earn_ses_hourly,FLASH,2026-01-11
2007,AT,CZ9,J,1_MANAGERS,29.0,24.98,6.6,18.31,8.16,36.86,597.65,22.03,15.72,11.77,58.97,94.57,earn_ses_annual,BENCHMARK,2026-02-11
2008,CZ,HR136,U,5_SERVICE_SALES,8.92,7.77,4.78,2.18,1.32,25.49,1113.59,24.32,5.6,8.13,48.3,91.69,lfs_gpg,SECOND,2024-10-21
2009,DE,IT246,K,9_ELEMENTARY,25.21,20.49,-0.11,17.6,8.55,23.56,410.75,27.03,10.74,4.33,52.35,80.73,nama_10_lp_ulc,FIRST,2025-04-19
2010,LV,RO630,A,4_CLERICAL,16.83,15.05,7.34,10.21,7.23,50.32,215.93,26.56,11.86,14.62,59.29,110.68,earn_ses_hourly,FLASH,2024-10-24
2011,PL,LV58,L,8_PLANT_MACHINE,20.29,15.97,5.07,2.36,1.35,73.98,93.28,18.76,9.4,10.55,52.54,107.35,earn_ses_annual,BENCHMARK,2025-06-23
2012,ES,PL20,B,3_TECHNICIANS,44.93,41.32,-0.31,8.62,3.25,69.45,938.54,20.36,9.35,3.2,54.98,100.88,lfs_gpg,SECOND,2025-04-24
2013,HR,ES363,M,7_CRAFT,28.96,23.5,3.95,16.15,11.2,70.66,778.15,8.77,5.73,7.59,53.15,110.0,nama_10_lp_ulc,FIRST,2024-01-12
2014,FI,DE84,C,2_PROFESSIONALS,51.37,40.26,0.56,3.68,2.68,76.83,1863.36,11.7,5.66,3.9,52.11,85.66,earn_ses_hourly,FLASH,2025-09-20
2015,IE,RO402,N,6_AGRI,25.12,19.8,5.05,6.19,3.74,20.49,1078.2,14.85,6.01,4.7,44.69,108.87,earn_ses_annual,BENCHMARK,2024-08-17
2016,MT,IT917,D,1_MANAGERS,55.13,44.64,1.64,15.26,9.26,74.51,848.1,15.85,12.57,2.45,66.04,109.66,lfs_gpg,SECOND,2024-08-26
2017,SK,FR925,O,5_SERVICE_SALES,30.99,26.97,-1.24,4.43,2.89,74.04,400.13,18.62,10.9,2.55,58.41,84.82,nama_10_lp_ulc,FIRST,2024-07-15
2018,BE,IT98,E,9_ELEMENTARY,33.42,29.84,3.86,5.89,4.24,90.04,1057.67,7.2,10.8,9.02,54.69,90.68,earn_ses_hourly,FLASH,2024-07-30
2019,DK,SE29,P,4_CLERICAL,24.21,21.38,5.76,13.94,6.11,26.52,920.13,20.82,1.61,4.91,44.87,114.88,earn_ses_annual,BENCHMARK,2024-12-08
2020,GR,NL631,F,8_PLANT_MACHINE,36.03,32.59,-1.37,9.28,4.34,18.63,385.56,17.37,8.35,8.12,56.63,96.67,lfs_gpg,SECOND,2025-10-15
2021,LT,MT485,Q,3_TECHNICIANS,37.71,31.43,1.43,17.96,10.8,75.59,1696.26,17.26,0.4,2.69,53.17,100.49,nama_10_lp_ulc,FIRST,2026-01-21
2022,PT,EE729,G,7_CRAFT,22.74,19.88,9.04,8.3,3.71,47.77,1887.0,15.76,9.85,6.24,56.9,116.6,earn_ses_hourly,FLASH,2025-01-13
2023,SE,BG431,R,2_PROFESSIONALS,30.68,24.74,1.08,17.78,10.05,97.43,1458.88,5.56,13.71,3.05,55.78,124.77,earn_ses_annual,BENCHMARK,2024-11-07
2024,CY,HR69,H,6_AGRI,20.31,17.43,3.1,17.39,6.09,61.72,487.28,17.64,7.43,5.96,50.18,131.57,lfs_gpg,SECOND,2025-04-07
2025,FR,CZ512,S,1_MANAGERS,80.79,67.68,7.98,2.28,1.41,80.95,1745.35,17.28,2.56,3.62,49.73,115.65,nama_10_lp_ulc,FIRST,2025-01-16
2006,IT,IT950,I,5_SERVICE_SALES,7.65,7.04,4.99,10.81,6.07,43.37,1683.84,19.67,4.53,8.17,49.95,117.83,earn_ses_hourly,FLASH,2025-11-09
2007,NL,BE58,T,9_ELEMENTARY,8.71,6.94,2.76,6.07,3.71,50.97,105.64,12.93,10.15,3.08,47.68,110.84,earn_ses_annual,BENCHMARK,2025-10-12
2008,SI,DE54,J,4_CLERICAL,25.69,20.85,6.99,12.57,8.7,48.13,1453.18,9.6,5.16,5.77,52.68,104.68,lfs_gpg,SECOND,2024-03-28
2009,BG,SE201,U,8_PLANT_MACHINE,21.4,18.02,5.84,10.64,6.96,57.67,1911.28,19.87,11.33,11.39,58.37,88.7,nama_10_lp_ulc,FIRST,2025-06-27
2010,EE,PT784,K,3_TECHNICIANS,41.13,32.33,3.71,14.21,8.59,32.05,1668.61,19.29,8.81,6.52,53.53,98.97,earn_ses_hourly,FLASH,2025-04-21
2011,HU,EE163,A,7_CRAFT,32.89,29.99,-0.55,8.17,5.98,75.41,593.17,12.29,6.02,10.34,65.35,109.12,earn_ses_annual,BENCHMARK,2024-11-05
2012,LU,SE597,L,2_PROFESSIONALS,54.3,47.42,2.09,7.81,4.74,77.23,1109.82,8.53,6.56,8.32,50.61,97.12,lfs_gpg,SECOND,2024-07-26
2013,RO,MT573,B,6_AGRI,17.68,16.43,0.91,14.3,5.15,54.16,1104.89,6.61,8.9,4.71,47.66,86.08,nama_10_lp_ulc,FIRST,2025-01-21
2014,AT,DK5,M,1_MANAGERS,96.15,78.62,2.43,18.62,9.61,58.6,1828.54,5.5,17.7,6.95,46.62,106.46,earn_ses_hourly,FLASH,2026-01-10
2015,CZ,ES46,C,5_SERVICE_SALES,22.15,20.21,5.42,15.79,7.78,39.74,920.77,9.18,4.79,7.07,46.76,99.0,earn_ses_annual,BENCHMARK,2025-07-29
2016,DE,AT97,N,9_ELEMENTARY,13.49,10.91,6.67,2.41,1.51,42.24,720.9,20.02,3.15,8.27,54.58,85.26,lfs_gpg,SECOND,2025-08-11
2017,LV,LU5,D,4_CLERICAL,22.32,18.39,4.25,7.87,5.61,49.7,1349.6,11.52,7.99,5.13,49.51,103.39,nama_10_lp_ulc,FIRST,2025-01-27
2018,PL,DE981,O,8_PLANT_MACHINE,11.46,9.24,6.18,16.31,10.62,45.97,944.46,20.62,11.39,3.75,55.51,102.63,earn_ses_hourly,FLASH,2024-07-12
2019,ES,FI59,E,3_TECHNICIANS,35.72,29.96,-1.13,4.44,3.18,65.16,1884.45,14.27,0.55,2.81,57.09,88.95,earn_ses_annual,BENCHMARK,2024-07-14
2020,HR,BG15,P,7_CRAFT,15.71,12.37,2.25,19.82,9.72,77.98,35.59,16.23,3.03,7.87,53.62,81.56,lfs_gpg,SECOND,2024-09-25
2021,FI,GR4,F,2_PROFESSIONALS,22.7,19.77,7.92,15.09,10.88,71.72,33.46,22.91,13.58,3.6,50.56,123.97,nama_10_lp_ulc,FIRST,2024-11-16
2022,IE,AT82,Q,6_AGRI,32.97,28.85,0.01,12.15,6.69,78.45,1439.53,7.79,8.45,5.9,51.97,119.29,earn_ses_hourly,FLASH,2025-10-07
2023,MT,LT22,G,1_MANAGERS,29.65,26.84,6.03,18.12,11.49,65.19,89.65,22.75,3.08,11.4,58.29,134.58,earn_ses_annual,BENCHMARK,2025-01-25
2024,SK,CY449,R,5_SERVICE_SALES,16.59,14.13,0.17,11.04,7.31,50.41,1769.15,23.09,0.97,11.45,44.36,123.31,lfs_gpg,SECOND,2024-10-20
2025,BE,AT11,H,9_ELEMENTARY,44.57,38.67,6.7,14.82,7.05,26.14,334.52,17.21,9.55,8.72,47.45,108.42,nama_10_lp_ulc,FIRST,2024-05-23
2006,DK,LT13,S,4_CLERICAL,17.92,14.98,4.58,16.54,10.74,67.52,574.8,16.89,7.45,11.03,60.4,103.1,earn_ses_hourly,FLASH,2024-06-25
2007,GR,GR45,I,8_PLANT_MACHINE,21.24,16.68,2.05,2.79,1.49,40.53,576.58,14.94,7.95,7.31,51.26,102.53,earn_ses_annual,BENCHMARK,2025-10-14
2008,LT,HU67,T,3_TECHNICIANS,15.66,13.93,5.64,6.13,3.47,27.05,1447.36,8.59,5.34,4.6,59.46,119.66,lfs_gpg,SECOND,2024-05-19
2009,PT,SK143,J,7_CRAFT,28.87,24.61,6.57,4.72,2.54,30.54,1485.15,17.31,6.23,3.09,45.25,103.42,nama_10_lp_ulc,FIRST,2024-01-18
2010,SE,SE711,U,2_PROFESSIONALS,20.53,18.1,-1.15,14.4,8.88,43.19,169.61,19.87,4.04,12.78,55.52,90.4,earn_ses_hourly,FLASH,2024-06-06
2011,CY,BG32,K,6_AGRI,17.84,15.63,0.98,19.57,13.56,79.25,170.72,24.78,8.45,4.55,62.9,104.19,earn_ses_annual,BENCHMARK,2025-10-29
2012,FR,PL931,A,1_MANAGERS,55.56,50.49,-0.13,8.98,6.02,27.28,2433.81,21.4,8.85,9.46,54.38,88.08,lfs_gpg,SECOND,2025-07-28
2013,IT,DK4,L,5_SERVICE_SALES,29.59,23.97,0.22,15.74,6.81,73.5,1638.51,27.0,1.95,2.66,53.3,106.82,nama_10_lp_ulc,FIRST,2025-10-06
2014,NL,SE988,B,9_ELEMENTARY,30.73,26.44,0.04,6.78,2.58,47.69,484.88,21.55,4.4,12.94,45.78,83.6,earn_ses_hourly,FLASH,2025-02-16
2015,SI,LT416,M,4_CLERICAL,25.62,22.38,7.54,3.62,1.66,32.58,676.35,21.3,11.75,15.83,55.8,119.07,earn_ses_annual,BENCHMARK,2025-08-23
2016,BG,DK936,C,8_PLANT_MACHINE,21.12,18.19,1.44,10.19,6.44,35.69,1510.58,16.78,2.41,5.95,48.39,92.46,lfs_gpg,SECOND,2024-02-19
2017,EE,FR78,N,3_TECHNICIANS,21.89,18.85,5.76,4.2,3.08,45.91,949.96,14.03,1.78,9.55,58.81,88.22,nama_10_lp_ulc,FIRST,2024-10-14
2018,HU,LT476,D,7_CRAFT,37.64,33.28,0.6,9.99,3.72,42.83,356.67,16.8,8.37,3.43,48.88,102.24,earn_ses_hourly,FLASH,2024-07-05
2019,LU,PL806,O,2_PROFESSIONALS,44.91,36.19,0.63,14.52,8.92,58.28,1363.18,20.26,12.42,11.36,48.16,92.26,earn_ses_annual,BENCHMARK,2025-02-16
2020,RO,EE87,E,6_AGRI,28.65,23.99,1.74,3.64,2.3,65.24,1894.5,23.03,9.2,3.37,63.6,113.32,lfs_gpg,SECOND,2024-06-06
2021,AT,BE281,P,1_MANAGERS,32.87,28.01,-0.33,24.15,14.45,59.51,1856.28,22.75,12.61,14.21,44.4,133.29,nama_10_lp_ulc,FIRST,2025-07-21
2022,CZ,FR955,F,5_SERVICE_SALES,33.86,27.12,5.64,13.37,6.96,59.84,1272.03,16.65,4.98,4.97,56.02,129.36,earn_ses_hourly,FLASH,2024-05-30
2023,DE,DK97,Q,9_ELEMENTARY,34.48,30.55,8.87,12.43,7.41,41.41,1414.07,13.93,2.29,4.03,56.26,115.06,earn_ses_annual,BENCHMARK,2024-09-21
2024,LV,DK20,G,4_CLERICAL,31.98,29.74,4.26,15.32,10.79,30.62,1050.58,8.59,0.55,5.49,55.14,136.14,lfs_gpg,SECOND,2025-01-16
2025,PL,BG919,R,8_PLANT_MACHINE,13.58,11.09,7.86,11.25,6.25,70.72,981.7,27.03,9.03,5.76,54.31,139.91,nama_10_lp_ulc,FIRST,2025-09-21
2006,ES,AT5,H,3_TECHNICIANS,16.75,13.94,2.68,14.11,6.86,80.7,1976.34,16.68,0.61,2.94,49.13,112.27,earn_ses_hourly,FLASH,2025-06-25
2007,HR,SK88,S,7_CRAFT,22.13,17.95,3.28,1.94,0.72,40.04,743.75,16.85,8.28,10.26,54.69,113.74,earn_ses_annual,BENCHMARK,2024-02-04
