labor_wage_wage_survey_year,labor_wage_occupation_nco_6,labor_wage_industry_nic_3,labor_wage_pay_period_type,labor_wage_wage_p10,labor_wage_wage_p25,labor_wage_wage_median,labor_wage_wage_p75,labor_wage_wage_p90,labor_wage_annualized_wage_mean,labor_wage_overtime_share_pct,labor_wage_bonus_share_pct,labor_wage_benefits_cost_share_pct,labor_wage_union_coverage_rate_pct,labor_wage_gender_pay_gap_pct,labor_wage_race_pay_gap_pct,labor_wage_education_premium_pct,labor_wage_experience_premium_pct,labor_wage_cost_adjusted_wage_index,labor_wage_sampling_error_margin
2024,288016,333,Hourly,50926.99,69517.9,89723.83,110218.98,142340.64,1115031.41,2.45,4.49,27.86,25.2,-4.78,19.96,2.4,50.46,133.528,7.871
2022,074274,496,Annual,27273.91,38208.85,46630.58,66140.85,70898.75,579294.11,9.52,28.5,25.67,2.71,26.82,2.95,6.43,51.49,156.727,2.499
2024,836666,261,Annual,79582.69,93876.56,113876.91,159775.84,187079.17,1556170.98,9.04,25.05,9.12,5.5,-0.79,23.03,52.99,32.51,141.766,0.692
2025,344750,298,Annual,92244.06,138205.86,162763.62,231093.84,243865.46,2232028.1,3.04,13.74,24.09,16.98,30.84,28.49,16.81,35.3,82.568,2.459
2023,244886,687,Annual,57799.34,76993.29,86206.54,127074.86,154489.64,1002161.3,4.63,0.65,17.64,32.09,-7.78,29.89,25.83,38.22,117.596,2.48
2016,651856,859,Daily,73495.92,108733.0,125150.54,166851.2,211353.74,1692441.58,24.49,25.24,31.36,6.73,0.33,29.59,41.95,19.93,116.845,0.711
2018,217731,204,Monthly,95085.31,129744.77,175947.19,237818.17,255232.04,1902515.24,24.87,19.98,26.15,22.17,-5.99,-4.57,44.6,24.11,90.674,7.441
2022,934067,639,Hourly,61732.85,102881.91,146087.81,161896.63,169992.97,1626853.77,16.52,10.84,8.4,14.51,12.32,-4.23,17.76,16.63,84.758,0.921
2018,460591,388,Hourly,26076.77,31460.37,36791.47,51464.99,58377.6,488817.82,23.89,28.02,34.8,28.28,6.46,-3.64,31.51,42.83,140.839,2.336
2020,805417,499,Monthly,109390.15,133598.99,149755.06,189988.8,207188.79,1826303.65,24.16,17.81,23.5,27.37,14.1,28.53,1.19,51.83,147.896,2.921
2017,227541,427,Annual,45707.05,59017.62,79943.47,109401.65,141334.85,1030432.97,19.67,24.38,8.59,36.08,-6.74,8.72,6.11,2.16,152.265,2.803
2025,388277,002,Monthly,70713.52,88574.24,111630.89,160020.23,173854.77,1524945.71,0.54,26.94,3.06,15.78,29.54,7.04,43.44,42.45,146.761,6.934
2016,320872,143,Monthly,47876.55,56704.58,77096.77,90819.89,103541.95,1029317.87,14.49,15.84,2.07,3.97,21.38,27.63,49.55,13.08,137.587,6.733
2022,515281,486,Monthly,29663.74,41292.18,51442.8,56740.35,74182.02,703323.43,19.49,26.68,28.89,5.27,26.32,7.93,18.83,7.3,133.625,6.256
2021,219127,650,Daily,82665.88,120551.54,147509.39,208103.79,269108.3,1851012.4,15.86,1.3,9.4,13.0,-9.52,12.1,6.22,29.12,108.893,0.847
2016,397435,536,Monthly,8606.79,13670.23,17329.47,24219.29,29156.58,214241.36,13.5,6.72,23.72,33.55,5.55,21.85,12.73,9.36,110.048,7.096
2018,418232,214,Monthly,65508.09,97620.6,132923.84,166095.94,196598.31,1537365.67,4.62,1.86,16.49,27.28,27.29,-3.04,12.36,42.28,109.415,3.402
2022,583321,112,Hourly,28649.03,40007.57,46343.83,58868.2,76263.09,600937.97,19.45,12.21,25.87,33.53,-5.53,-2.72,52.2,28.61,159.371,5.0
2019,239237,475,Monthly,55119.98,69848.04,97930.21,127780.49,162680.77,1343328.34,6.26,27.91,2.23,23.72,30.96,22.62,23.01,25.64,150.501,2.591
2019,019662,167,Daily,58143.72,72307.39,95873.87,140357.56,176159.85,1204614.45,9.82,20.8,22.67,3.66,16.47,-0.64,53.25,20.07,141.053,5.826
2025,558424,223,Daily,52702.59,63225.05,80651.23,98580.09,121205.36,955315.65,18.38,7.54,6.03,13.03,18.02,7.76,2.55,38.57,144.645,4.35
2019,848880,080,Hourly,61012.75,73402.47,96237.03,128219.18,166386.17,1254754.27,18.41,17.42,3.48,24.1,27.71,-3.07,45.07,46.55,102.188,2.783
2017,945013,092,Hourly,47225.05,55841.44,65703.24,79134.15,97736.72,742083.09,6.52,0.13,25.01,4.67,17.33,29.38,42.48,29.9,90.734,4.407
2017,459844,983,Annual,76345.54,113752.44,155404.82,186177.4,203646.15,2118231.47,13.46,16.89,29.02,1.13,-0.31,9.19,13.83,37.53,120.372,4.731
2025,600382,858,Hourly,33217.41,39748.25,52944.5,59064.83,73403.01,589107.19,20.23,24.73,17.82,17.34,16.46,5.01,58.99,32.73,136.196,3.412
2022,302426,610,Monthly,77515.89,92540.59,129975.0,147583.42,167168.63,1573249.48,9.49,1.75,14.6,28.92,18.22,15.34,37.27,22.33,124.768,2.767
2019,229666,120,Daily,23052.12,29038.68,33617.0,38848.6,48626.05,389985.74,15.81,2.43,10.95,36.5,-0.84,13.78,28.95,11.86,130.568,5.281
2016,801917,091,Hourly,78021.05,97032.99,111823.48,135174.16,144406.55,1434721.33,11.44,14.32,17.56,11.79,-3.54,3.56,43.84,42.09,113.079,1.861
2021,259003,517,Monthly,120177.53,147653.76,175326.83,238590.34,258673.43,2214317.96,22.62,6.33,30.64,9.64,-6.95,21.04,28.26,39.66,74.538,3.663
2022,291949,457,Daily,15200.09,21001.55,28275.39,37142.76,44499.57,394611.56,3.87,8.03,26.24,17.96,17.0,2.64,52.43,35.6,112.795,7.588
2021,869326,132,Daily,88772.91,119946.99,169293.26,236494.06,314346.89,1892167.43,24.25,6.63,5.21,18.79,33.82,9.53,23.72,40.6,129.375,4.713
2017,602323,612,Daily,82484.0,119805.67,158799.67,212345.38,280009.59,2100225.19,11.57,9.39,5.11,5.74,1.84,28.53,47.5,1.78,103.569,7.411
2021,679973,643,Annual,37138.76,54680.15,72117.21,82611.63,96022.18,947446.78,22.16,3.37,4.76,37.79,-9.18,15.25,5.44,1.75,140.277,6.986
2016,070903,244,Annual,78418.12,94557.15,125019.39,164800.2,177738.63,1360626.07,3.75,27.78,24.57,38.3,28.79,5.99,12.51,48.23,109.907,5.126
2023,456644,247,Monthly,25889.12,41938.44,53392.71,59469.65,71910.53,587490.52,22.01,28.76,8.5,29.68,5.66,7.25,18.89,48.53,148.443,1.517
2020,809887,011,Daily,7642.56,11296.1,15943.61,21678.34,27728.52,211837.22,9.18,9.52,17.77,3.51,-5.54,-0.51,30.98,30.17,140.517,1.053
2023,877006,127,Hourly,49096.74,80511.96,114889.41,159043.79,210504.84,1380896.14,4.83,23.14,14.75,5.04,4.26,14.15,36.68,12.12,118.675,2.388
2017,985735,168,Daily,60252.44,97569.15,111293.88,125147.41,165471.73,1550855.56,6.83,3.27,11.57,8.44,34.38,-2.73,38.91,15.47,78.688,6.024
2025,754510,707,Annual,114288.79,146899.65,175823.85,207440.76,229643.56,1869048.08,20.98,16.08,9.36,28.31,-6.79,19.63,2.81,39.71,93.358,3.955
2022,868454,425,Hourly,91707.68,122483.17,148825.19,172398.41,230035.76,1779244.49,3.42,6.75,0.63,24.69,3.36,-1.78,36.54,39.75,95.243,7.877
2024,518203,834,Annual,79001.91,100845.42,132939.96,160140.97,203309.59,1592779.57,5.67,29.45,24.99,14.25,29.56,15.08,8.73,44.53,117.967,6.625
2024,660274,238,Hourly,11239.01,14721.04,17824.78,26072.55,29785.56,221698.97,1.61,26.47,18.35,30.78,16.65,6.38,46.63,38.4,99.733,2.961
2021,757625,072,Hourly,44943.46,63394.12,88743.42,130288.51,158431.22,1117152.99,6.03,24.57,8.11,14.56,33.84,16.43,19.65,16.82,134.004,5.371
2022,089657,833,Daily,97457.92,133773.44,163017.05,213765.78,270335.16,2222710.96,2.51,22.4,32.28,6.32,27.23,-4.2,30.94,33.35,117.588,7.643
2021,501647,954,Monthly,56625.27,71711.68,96199.3,114560.53,153633.87,1010882.11,18.19,3.24,26.12,4.97,18.93,13.26,49.5,15.27,83.362,7.449
2023,003782,682,Daily,85006.24,127723.67,171062.73,211069.2,260551.7,1948986.69,11.49,20.34,28.66,0.4,10.93,2.77,54.25,19.1,92.809,5.619
2019,263849,344,Daily,30094.51,49069.83,62084.22,77281.98,95527.08,686079.03,9.47,10.98,27.78,10.32,24.84,12.41,16.25,12.47,101.898,5.057
2024,978446,136,Monthly,101308.21,134830.05,151981.42,215283.74,254127.39,1690550.66,17.21,17.81,7.45,7.01,10.14,-1.2,27.65,30.09,140.615,1.614
2025,502098,749,Hourly,41249.36,55057.45,64321.42,93894.57,106403.31,758986.12,11.57,10.76,9.31,21.59,2.19,10.39,5.16,20.25,94.284,4.969
2016,629905,447,Monthly,66040.41,92663.87,118732.83,158032.52,172882.57,1317625.94,8.87,24.93,30.34,28.18,1.06,14.92,39.17,2.69,75.309,5.962
2023,597060,394,Hourly,23403.93,36418.53,43014.83,55642.96,62274.64,524031.85,24.39,24.51,0.77,15.97,11.93,-2.83,21.06,28.24,128.182,0.947
2018,456165,393,Hourly,18795.31,30881.33,35473.55,48244.61,60776.44,489434.41,7.02,16.21,23.71,37.22,32.26,-6.13,41.65,15.81,74.555,4.489
2022,616919,873,Daily,30155.01,49282.16,68467.02,94699.59,107656.82,850841.5,23.16,8.81,21.49,21.1,-4.18,11.63,29.97,21.05,141.813,5.334
2022,472561,575,Hourly,51821.98,71007.26,100449.1,112436.8,151107.82,1060865.62,8.26,9.55,28.95,6.91,30.69,9.4,2.87,37.66,108.649,3.983
2023,191566,155,Hourly,102351.2,121961.92,147716.72,204632.36,258640.42,1786724.38,22.04,11.75,31.71,3.84,28.27,2.3,22.63,15.56,101.406,3.907
2017,241434,079,Annual,68415.82,88506.83,103689.32,145953.95,179381.73,1404987.43,10.57,16.79,29.42,8.77,22.82,24.92,23.57,26.53,78.094,7.868
2021,518926,286,Hourly,52304.6,86215.39,111680.77,128867.21,138628.76,1304626.16,2.05,21.7,32.59,22.1,-9.47,-8.34,55.67,1.34,86.955,7.915
2019,910161,829,Annual,42055.76,60079.0,83419.45,108021.68,141510.8,1162770.18,19.25,24.26,5.78,33.33,7.97,-2.72,58.82,51.62,75.423,0.805
2017,630758,320,Hourly,37349.24,44834.21,60655.97,75255.67,98543.0,706980.42,21.63,20.63,33.16,19.75,9.07,-3.28,42.91,7.56,123.689,5.624
2023,682595,750,Daily,77095.53,94162.58,112402.44,126055.41,145862.43,1379904.31,15.95,29.13,33.06,4.89,0.97,5.04,43.44,21.04,88.47,2.094
2025,344034,319,Hourly,35772.82,51702.89,66238.12,77278.87,88472.37,924439.07,1.1,0.54,20.36,12.77,-3.05,14.73,35.74,10.89,107.09,6.37
2021,760471,635,Hourly,8482.23,13322.05,17603.65,20523.78,21650.28,230960.86,4.24,22.28,25.82,29.58,22.45,10.83,13.7,25.53,109.789,4.496
2020,568851,488,Monthly,73814.39,109522.25,141114.84,181590.34,242929.51,1761399.7,2.0,19.61,17.96,24.22,31.11,-4.19,38.84,3.39,103.536,3.749
2016,947502,846,Daily,80880.52,122881.49,169844.59,233373.65,305980.8,1937497.21,16.34,21.4,1.64,25.62,-6.95,0.62,1.34,1.98,85.071,1.936
2022,536973,153,Annual,68077.96,81178.66,90622.29,107231.98,127758.07,1260631.52,11.28,21.91,4.93,3.76,18.44,15.1,49.25,47.89,157.509,7.207
2018,291185,400,Daily,62065.85,76333.98,96901.82,136857.07,165130.76,1086336.78,5.69,19.36,8.92,20.04,27.47,-5.53,11.05,34.88,81.279,2.643
2020,349240,394,Annual,106651.46,136886.47,174408.98,242115.46,312782.05,2347637.67,12.55,28.99,4.07,21.75,18.61,0.16,4.76,34.13,110.825,7.88
2025,790187,490,Annual,9815.56,11649.44,13550.02,15513.93,16466.66,153560.01,6.67,8.71,18.94,26.59,15.86,9.44,45.0,0.06,77.479,5.657
2024,443516,601,Annual,43056.62,51558.81,64953.33,87597.54,113507.48,765253.62,14.8,10.76,25.46,31.56,16.61,-0.63,41.29,17.93,141.045,7.722
2023,386712,693,Annual,35474.43,58160.7,72425.57,99719.15,116156.04,767157.27,0.39,25.09,34.88,0.49,18.39,6.62,27.14,30.36,140.538,1.046
2016,823836,227,Monthly,36129.24,56126.89,63839.24,87584.48,97919.6,730573.42,21.77,13.22,34.92,6.47,6.79,-6.42,25.68,51.65,141.1,7.352
2016,772557,370,Hourly,29544.74,35866.34,44890.1,53863.23,61467.66,541896.23,4.07,4.96,8.12,33.04,8.13,-3.4,5.27,41.12,135.601,2.964
2018,175433,572,Monthly,74559.28,118832.03,146553.17,198487.61,249465.07,1982025.29,19.24,4.02,17.12,15.59,-6.28,13.04,40.2,27.54,112.868,4.732
2016,834080,092,Annual,88256.08,122496.46,162688.97,218781.14,252898.89,2246285.52,12.79,12.97,29.03,27.73,0.7,3.56,59.44,25.14,156.708,3.161
2025,242802,164,Daily,49916.98,74403.87,105613.45,149965.36,170211.85,1365939.98,9.36,9.32,19.73,36.98,16.39,9.8,56.84,12.13,134.791,0.989
2023,908299,351,Annual,55227.27,80692.16,99856.29,110698.68,131290.92,1109169.8,5.3,23.87,34.34,12.66,18.83,-6.28,28.47,44.12,111.797,0.503
2022,731394,902,Monthly,59420.29,74013.93,100620.83,135324.26,151253.02,1391499.42,20.36,22.62,15.69,31.69,5.75,10.5,24.72,28.64,71.993,5.788
2019,391573,480,Monthly,15028.03,21551.53,24669.8,30054.99,32058.45,336870.06,2.81,20.94,23.6,24.57,-7.18,-6.12,38.64,19.06,83.332,2.472
2021,255788,377,Monthly,81612.41,108637.33,134378.76,191356.67,247001.05,1686080.64,0.66,4.24,11.6,31.33,-6.41,27.66,45.26,11.33,135.574,1.518
2023,063050,974,Monthly,47716.36,60446.53,69842.09,92620.52,102928.94,893172.94,3.99,10.6,1.12,26.51,17.03,-6.65,49.8,49.26,83.167,5.237
2023,741290,515,Monthly,50760.63,74338.92,98994.0,139929.99,149330.89,1163531.41,15.6,15.15,6.46,32.75,19.63,-1.52,38.03,39.53,82.086,7.255
2022,746829,971,Monthly,46887.09,63187.11,82926.61,112254.86,134841.41,938226.21,17.87,4.48,10.82,35.35,16.1,28.38,14.78,39.12,151.236,0.917
2017,622001,227,Hourly,76816.45,117662.83,143991.43,163582.59,197306.88,1812090.47,11.28,16.67,14.07,8.54,9.29,24.51,49.43,9.41,79.789,0.68
2023,797289,892,Hourly,37850.97,46378.65,64138.6,76510.17,95001.91,820456.46,7.37,29.58,1.46,35.41,0.27,25.18,12.27,11.41,148.559,4.538
2024,836326,328,Monthly,76044.11,108634.03,126388.47,177187.45,187186.37,1548463.4,10.67,13.51,15.51,22.41,14.33,2.19,44.28,10.91,152.324,0.909
2024,263530,867,Daily,64173.82,85358.72,102412.07,135798.13,181089.39,1237637.59,24.99,15.36,11.82,30.45,11.77,0.26,2.95,35.96,97.15,5.278
2022,530389,544,Annual,40817.61,55646.84,76392.44,87546.64,110172.86,859035.82,7.17,29.03,13.61,33.9,23.77,11.35,22.67,37.13,96.193,2.062
2019,120283,957,Annual,61435.25,85567.69,120114.02,146920.22,176824.97,1319101.08,2.78,6.92,21.33,26.67,19.15,-1.92,50.65,7.19,136.622,5.669
2024,104916,033,Daily,11878.3,17321.52,23561.12,27055.43,28802.85,312025.99,21.13,6.01,17.21,2.48,-4.43,24.25,30.05,26.12,125.699,0.827
2023,760268,081,Daily,34491.83,41812.49,54888.69,78959.76,104430.41,732011.94,7.43,1.88,15.8,36.4,28.32,25.92,34.15,31.46,131.83,0.755
2022,593262,686,Monthly,33937.21,50912.35,70878.14,85575.9,102746.39,762255.87,2.93,5.58,19.99,1.08,30.86,16.76,46.98,28.41,117.982,3.701
2019,713962,439,Daily,37899.41,62712.28,79294.91,91184.4,115541.43,882807.9,24.77,15.97,11.6,23.66,25.36,-8.17,11.45,37.73,135.27,6.076
2019,221895,331,Hourly,19735.2,32007.25,38594.39,47492.11,60804.93,463603.65,6.35,3.23,2.57,10.86,0.63,-7.57,33.76,28.35,114.284,0.558
2025,122180,274,Monthly,63646.6,95997.37,122252.56,168467.54,193318.58,1388859.23,22.72,18.4,14.38,33.22,9.99,14.11,18.68,23.6,133.387,4.947
2024,890378,743,Daily,96270.35,123933.79,160659.95,222739.96,265721.26,2225225.05,15.21,23.78,11.02,26.8,6.39,-3.02,56.4,2.95,93.841,5.296
2019,733966,180,Monthly,96700.31,133767.61,172595.8,201347.78,222725.71,2078292.99,1.48,20.9,10.71,31.83,25.88,-2.17,25.49,7.36,151.462,4.861
2019,519141,381,Annual,90307.19,111812.53,140274.96,186675.64,246794.56,1635311.57,5.73,25.46,7.23,28.03,2.65,10.8,35.69,34.24,70.703,3.976
2017,820043,601,Annual,89760.16,131850.29,168974.87,203355.51,245334.48,2340232.4,19.75,10.48,19.79,15.61,17.92,14.07,37.05,34.86,156.509,3.577
2019,936636,907,Hourly,98096.58,128737.17,179588.89,217037.35,250829.07,2118409.56,19.15,16.64,11.88,22.86,-1.62,1.67,37.98,46.92,115.295,3.8
2018,664050,243,Annual,59438.04,96013.51,110653.73,129255.44,145542.96,1356849.53,11.85,16.61,32.56,3.41,17.77,20.37,44.72,38.72,136.166,4.767
2019,125620,654,Annual,34382.08,45838.92,56824.3,67518.11,71888.34,794071.05,16.16,18.69,32.75,17.85,23.07,9.13,13.4,38.78,125.86,4.323
2025,390795,622,Daily,13468.38,19937.92,24388.19,33092.79,34911.15,266317.59,1.72,12.84,3.92,33.27,-2.89,-5.87,20.38,7.34,106.7,0.786
2017,957871,430,Monthly,29804.71,35447.93,48351.62,62829.18,80036.31,524421.72,11.33,3.65,5.78,10.09,32.43,-8.49,50.37,41.18,118.262,1.38
2021,142986,114,Hourly,93550.33,120301.46,158170.06,209695.93,280363.86,1873471.84,13.35,29.63,8.46,7.72,13.93,20.58,59.51,51.94,109.097,6.17
2024,879268,791,Monthly,8402.37,13906.12,19571.23,24311.49,27428.36,272916.67,17.2,20.8,28.46,33.49,-7.28,25.66,43.48,22.97,100.857,7.478
