safe_cyber_reference_month,safe_cyber_reporting_country_iso2,safe_cyber_incident_type_code,safe_cyber_attack_vector_code,safe_cyber_targets_sector_code,safe_cyber_ransomware_flag,safe_cyber_phishing_flag,safe_cyber_ddos_flag,safe_cyber_financial_loss_eur_estimate,safe_cyber_crypto_payment_flag,safe_cyber_victims_count,safe_cyber_cross_border_component_flag,safe_cyber_europol_case_link_flag,safe_cyber_arrests_count,safe_cyber_takedowns_count,safe_cyber_data_breach_gdpr_notification_flag,safe_cyber_attribution_confidence_level,safe_cyber_data_source,safe_cyber_data_quality_flag,safe_cyber_data_extract_date
2019-08,SE,PHISHING,USB_MEDIA,HEALTH,0,1,0,3166606.97,0,11263,1,1,0,287,0,HIGH,SECTOR_REGULATOR,1,2025-12-28
2019-09,CY,DATA_BREACH,THIRD_PARTY,TELECOM,0,0,0,2829424.14,0,44582,1,1,12,149,1,MEDIUM,POLICE_CYBER_UNIT,1,2024-03-21
2019-10,FR,ACCOUNT_TAKEOVER,RDP_EXPOSED,TRANSPORT,0,1,1,1121806.83,0,7294,0,0,29,128,0,LOW,EUROPOL_IOCTA,1,2024-08-31
2019-11,IT,DDOS,CLOUD_MISCONFIG,FINANCE,0,0,1,218761.43,0,2775,0,0,26,169,0,UNKNOWN,GDPR_SUPERVISORY_AUTHORITY,1,2025-04-13
2019-12,NL,MALWARE,MALVERTISING,SME_MULTI,0,0,0,7215726.11,0,34231,1,1,52,80,0,VERY_HIGH,NATIONAL_CSIRT,1,2024-12-06
2020-01,SI,RANSOMWARE,EMAIL,RETAIL,1,0,0,4305027.12,0,33578,1,0,30,103,0,HIGH,SECTOR_REGULATOR,1,2024-11-16
2020-02,BG,BUSINESS_EMAIL_COMPROMISE,INSIDER,EDUCATION,0,1,0,4033234.69,0,7681,1,1,13,166,0,MEDIUM,POLICE_CYBER_UNIT,1,2024-11-13
2020-03,EE,SUPPLY_CHAIN,WEB_APP,PUBLIC_ADMIN,1,1,0,1166762.49,0,18561,0,0,33,136,0,LOW,EUROPOL_IOCTA,1,2025-11-24
2020-04,HU,PHISHING,USB_MEDIA,MANUFACTURING,1,1,0,4002178.99,0,3866,1,1,70,107,0,UNKNOWN,GDPR_SUPERVISORY_AUTHORITY,1,2025-11-18
2020-05,LU,DATA_BREACH,THIRD_PARTY,ENERGY,0,0,0,2127454.4,0,18363,1,1,65,160,0,VERY_HIGH,NATIONAL_CSIRT,1,2026-02-16
2020-06,RO,ACCOUNT_TAKEOVER,RDP_EXPOSED,HEALTH,0,1,0,1629163.11,0,26153,0,0,17,191,0,HIGH,SECTOR_REGULATOR,1,2024-09-11
2020-07,AT,DDOS,CLOUD_MISCONFIG,TELECOM,0,0,1,663655.73,0,1173,1,1,41,71,0,MEDIUM,POLICE_CYBER_UNIT,1,2026-02-19
2020-08,CZ,MALWARE,MALVERTISING,TRANSPORT,0,0,0,196011.83,0,37521,0,0,38,109,0,LOW,EUROPOL_IOCTA,0,2024-04-13
2020-09,DE,RANSOMWARE,EMAIL,FINANCE,1,0,0,1087084.86,0,46239,1,1,69,186,0,UNKNOWN,GDPR_SUPERVISORY_AUTHORITY,1,2025-09-13
2020-10,LV,BUSINESS_EMAIL_COMPROMISE,INSIDER,SME_MULTI,0,1,0,5374080.59,0,23919,0,0,25,130,0,VERY_HIGH,NATIONAL_CSIRT,1,2024-10-28
2020-11,PL,SUPPLY_CHAIN,WEB_APP,RETAIL,0,1,0,6264889.89,0,40552,1,0,30,171,0,HIGH,SECTOR_REGULATOR,1,2025-12-17
2020-12,ES,PHISHING,USB_MEDIA,EDUCATION,0,1,0,3471815.08,0,47402,0,0,15,33,1,MEDIUM,POLICE_CYBER_UNIT,1,2025-01-11
2021-01,HR,DATA_BREACH,THIRD_PARTY,PUBLIC_ADMIN,0,0,0,5979113.58,0,2907,0,0,0,94,1,LOW,EUROPOL_IOCTA,1,2025-02-16
2021-02,FI,ACCOUNT_TAKEOVER,RDP_EXPOSED,MANUFACTURING,0,1,0,1103058.33,0,9498,0,0,20,178,0,UNKNOWN,GDPR_SUPERVISORY_AUTHORITY,1,2024-09-09
2021-03,IE,DDOS,CLOUD_MISCONFIG,ENERGY,0,0,1,6152506.67,0,68778,1,1,42,168,0,VERY_HIGH,NATIONAL_CSIRT,1,2024-04-17
2021-04,MT,MALWARE,MALVERTISING,HEALTH,0,0,0,1103774.65,0,20622,0,0,13,73,0,HIGH,SECTOR_REGULATOR,1,2026-01-18
2021-05,SK,RANSOMWARE,EMAIL,TELECOM,1,0,0,5619937.67,0,29258,0,1,52,63,0,MEDIUM,POLICE_CYBER_UNIT,1,2025-02-22
2021-06,BE,BUSINESS_EMAIL_COMPROMISE,INSIDER,TRANSPORT,0,1,1,10238194.2,0,37926,0,0,2,96,0,LOW,EUROPOL_IOCTA,1,2024-08-15
2021-07,DK,SUPPLY_CHAIN,WEB_APP,FINANCE,0,0,0,2237602.31,0,43719,0,0,28,123,1,UNKNOWN,GDPR_SUPERVISORY_AUTHORITY,1,2024-06-27
2021-08,GR,PHISHING,USB_MEDIA,SME_MULTI,0,1,0,403920.13,0,11695,1,0,39,62,0,VERY_HIGH,NATIONAL_CSIRT,1,2025-02-09
2021-09,LT,DATA_BREACH,THIRD_PARTY,RETAIL,0,0,0,5085077.28,0,36051,1,0,7,178,1,HIGH,SECTOR_REGULATOR,1,2025-01-19
2021-10,PT,ACCOUNT_TAKEOVER,RDP_EXPOSED,EDUCATION,0,1,0,2882652.84,0,14527,1,1,63,16,0,MEDIUM,POLICE_CYBER_UNIT,1,2026-01-06
2021-11,SE,DDOS,CLOUD_MISCONFIG,PUBLIC_ADMIN,0,0,1,6374672.2,0,66492,0,0,37,63,0,LOW,EUROPOL_IOCTA,1,2024-01-11
2021-12,CY,MALWARE,MALVERTISING,MANUFACTURING,0,0,0,2224827.93,0,20072,1,0,44,169,0,UNKNOWN,GDPR_SUPERVISORY_AUTHORITY,1,2024-06-14
2022-01,FR,RANSOMWARE,EMAIL,ENERGY,1,0,0,117780.1,0,14279,0,0,15,12,0,VERY_HIGH,NATIONAL_CSIRT,1,2024-02-20
2022-02,IT,BUSINESS_EMAIL_COMPROMISE,INSIDER,HEALTH,1,1,0,12535554.82,0,31141,0,0,15,178,1,HIGH,SECTOR_REGULATOR,1,2025-01-19
2022-03,NL,SUPPLY_CHAIN,WEB_APP,TELECOM,0,0,0,1421977.34,0,35476,1,0,3,50,1,MEDIUM,POLICE_CYBER_UNIT,0,2025-08-20
2022-04,SI,PHISHING,USB_MEDIA,TRANSPORT,0,1,0,1326423.46,0,53091,1,0,36,157,0,LOW,EUROPOL_IOCTA,1,2024-11-07
2022-05,BG,DATA_BREACH,THIRD_PARTY,FINANCE,0,0,0,4706223.97,0,18099,0,0,25,127,1,UNKNOWN,GDPR_SUPERVISORY_AUTHORITY,1,2024-12-07
2022-06,EE,ACCOUNT_TAKEOVER,RDP_EXPOSED,SME_MULTI,0,1,1,3089678.48,0,20855,1,1,71,101,0,VERY_HIGH,NATIONAL_CSIRT,1,2025-02-06
2022-07,HU,DDOS,CLOUD_MISCONFIG,RETAIL,0,0,1,3739925.88,0,21127,1,1,13,145,1,HIGH,SECTOR_REGULATOR,1,2024-06-21
2022-08,LU,MALWARE,MALVERTISING,EDUCATION,0,1,0,3917964.42,0,5218,1,1,36,285,0,MEDIUM,POLICE_CYBER_UNIT,1,2025-11-14
2022-09,RO,RANSOMWARE,EMAIL,PUBLIC_ADMIN,1,1,0,6664140.58,1,42446,0,0,27,85,0,LOW,EUROPOL_IOCTA,1,2024-08-17
2022-10,AT,BUSINESS_EMAIL_COMPROMISE,INSIDER,MANUFACTURING,0,1,0,4653502.54,0,18189,0,0,1,180,0,UNKNOWN,GDPR_SUPERVISORY_AUTHORITY,1,2024-12-25
2022-11,CZ,SUPPLY_CHAIN,WEB_APP,ENERGY,0,1,0,7491649.85,0,39025,1,1,66,0,1,VERY_HIGH,NATIONAL_CSIRT,0,2025-02-23
2022-12,DE,PHISHING,USB_MEDIA,HEALTH,0,1,0,7278774.58,0,11701,1,0,41,17,0,HIGH,SECTOR_REGULATOR,1,2025-09-26
2023-01,LV,DATA_BREACH,THIRD_PARTY,TELECOM,0,0,0,2705683.22,0,39860,0,0,37,107,0,MEDIUM,POLICE_CYBER_UNIT,1,2026-02-19
2023-02,PL,ACCOUNT_TAKEOVER,RDP_EXPOSED,TRANSPORT,0,1,0,283846.7,0,44164,0,0,20,6,0,LOW,EUROPOL_IOCTA,1,2024-07-22
2023-03,ES,DDOS,CLOUD_MISCONFIG,FINANCE,0,1,1,1091252.74,0,21097,0,0,1,17,0,UNKNOWN,GDPR_SUPERVISORY_AUTHORITY,1,2026-02-18
2023-04,HR,MALWARE,MALVERTISING,SME_MULTI,0,0,0,4426217.66,0,35308,1,0,38,179,1,VERY_HIGH,NATIONAL_CSIRT,1,2025-08-30
2023-05,FI,RANSOMWARE,EMAIL,RETAIL,1,0,0,15101635.85,0,12571,1,0,45,137,1,HIGH,SECTOR_REGULATOR,0,2024-09-05
2023-06,IE,BUSINESS_EMAIL_COMPROMISE,INSIDER,EDUCATION,0,1,0,7324745.03,0,39220,0,0,38,71,0,MEDIUM,POLICE_CYBER_UNIT,1,2025-06-08
2023-07,MT,SUPPLY_CHAIN,WEB_APP,PUBLIC_ADMIN,0,0,0,1947254.6,0,10595,1,0,13,40,1,LOW,EUROPOL_IOCTA,1,2025-11-03
2023-08,SK,PHISHING,USB_MEDIA,MANUFACTURING,1,1,0,5010458.06,1,16695,0,0,6,236,0,UNKNOWN,GDPR_SUPERVISORY_AUTHORITY,1,2025-08-01
2023-09,BE,DATA_BREACH,THIRD_PARTY,ENERGY,0,0,0,4434972.41,0,18843,0,0,30,34,1,VERY_HIGH,NATIONAL_CSIRT,1,2024-09-07
2023-10,DK,ACCOUNT_TAKEOVER,RDP_EXPOSED,HEALTH,0,1,0,2053341.25,0,28223,0,0,10,67,0,HIGH,SECTOR_REGULATOR,1,2024-07-27
2023-11,GR,DDOS,CLOUD_MISCONFIG,TELECOM,0,0,1,2232169.05,0,23286,0,0,4,172,0,MEDIUM,POLICE_CYBER_UNIT,1,2025-10-26
2023-12,LT,MALWARE,MALVERTISING,TRANSPORT,1,0,0,1036671.71,0,8389,0,0,20,88,0,LOW,EUROPOL_IOCTA,0,2026-01-15
2024-01,PT,RANSOMWARE,EMAIL,FINANCE,1,1,0,1705728.03,1,44751,1,0,29,137,0,UNKNOWN,GDPR_SUPERVISORY_AUTHORITY,1,2025-02-05
2024-02,SE,BUSINESS_EMAIL_COMPROMISE,INSIDER,SME_MULTI,0,1,1,7787401.61,0,10430,1,1,70,111,0,VERY_HIGH,NATIONAL_CSIRT,1,2025-11-07
2024-03,CY,SUPPLY_CHAIN,WEB_APP,RETAIL,0,1,0,7406824.32,0,27314,1,0,41,19,1,HIGH,SECTOR_REGULATOR,1,2024-07-16
2024-04,FR,PHISHING,USB_MEDIA,EDUCATION,0,1,1,2125930.37,0,39102,0,0,3,241,0,MEDIUM,POLICE_CYBER_UNIT,1,2025-10-01
2024-05,IT,DATA_BREACH,THIRD_PARTY,PUBLIC_ADMIN,0,0,0,572278.89,0,9432,0,0,39,112,1,LOW,EUROPOL_IOCTA,1,2024-08-15
2024-06,NL,ACCOUNT_TAKEOVER,RDP_EXPOSED,MANUFACTURING,0,1,0,6740596.53,0,13057,1,1,7,79,0,UNKNOWN,GDPR_SUPERVISORY_AUTHORITY,1,2025-04-10
2024-07,SI,DDOS,CLOUD_MISCONFIG,ENERGY,0,0,1,1144860.42,0,8998,0,0,5,92,0,VERY_HIGH,NATIONAL_CSIRT,1,2025-08-28
2024-08,BG,MALWARE,MALVERTISING,HEALTH,0,0,0,3870113.3,0,18878,1,0,18,169,0,HIGH,SECTOR_REGULATOR,0,2024-07-16
2024-09,EE,RANSOMWARE,EMAIL,TELECOM,1,0,0,5701630.45,0,26615,1,0,10,76,0,MEDIUM,POLICE_CYBER_UNIT,1,2025-09-09
2024-10,HU,BUSINESS_EMAIL_COMPROMISE,INSIDER,TRANSPORT,1,1,0,6693973.81,0,31033,0,0,2,5,0,LOW,EUROPOL_IOCTA,1,2024-03-25
2024-11,LU,SUPPLY_CHAIN,WEB_APP,FINANCE,0,0,0,636733.76,0,44671,0,0,42,98,1,UNKNOWN,GDPR_SUPERVISORY_AUTHORITY,1,2025-10-08
2024-12,RO,PHISHING,USB_MEDIA,SME_MULTI,0,1,0,3386864.44,0,40351,0,0,42,273,0,VERY_HIGH,NATIONAL_CSIRT,1,2024-08-20
2025-01,AT,DATA_BREACH,THIRD_PARTY,RETAIL,1,1,0,5641241.56,0,22161,1,1,7,60,1,HIGH,SECTOR_REGULATOR,1,2025-06-10
2025-02,CZ,ACCOUNT_TAKEOVER,RDP_EXPOSED,EDUCATION,0,1,0,2000292.32,0,13069,1,0,19,131,0,MEDIUM,POLICE_CYBER_UNIT,1,2024-12-11
2025-03,DE,DDOS,CLOUD_MISCONFIG,PUBLIC_ADMIN,1,0,1,856081.63,0,48093,0,0,37,160,0,LOW,EUROPOL_IOCTA,1,2024-02-02
2025-04,LV,MALWARE,MALVERTISING,MANUFACTURING,0,0,0,7852356.75,0,13764,0,1,43,26,0,UNKNOWN,GDPR_SUPERVISORY_AUTHORITY,1,2025-04-16
2025-05,PL,RANSOMWARE,EMAIL,ENERGY,1,0,0,8911573.07,0,22760,1,0,27,41,0,VERY_HIGH,NATIONAL_CSIRT,1,2025-01-27
2025-06,ES,BUSINESS_EMAIL_COMPROMISE,INSIDER,HEALTH,0,1,1,573498.44,0,42246,0,1,49,14,0,HIGH,SECTOR_REGULATOR,1,2024-10-02
2025-07,HR,SUPPLY_CHAIN,WEB_APP,TELECOM,0,0,0,1557162.24,0,17612,1,1,21,92,0,MEDIUM,POLICE_CYBER_UNIT,1,2025-07-25
2025-08,FI,PHISHING,USB_MEDIA,TRANSPORT,0,1,0,333710.45,0,25809,1,1,16,112,1,LOW,EUROPOL_IOCTA,1,2025-02-26
2025-09,IE,DATA_BREACH,THIRD_PARTY,FINANCE,0,0,0,5003091.88,0,8933,1,1,16,110,0,UNKNOWN,GDPR_SUPERVISORY_AUTHORITY,0,2025-06-19
2025-10,MT,ACCOUNT_TAKEOVER,RDP_EXPOSED,SME_MULTI,0,1,0,3816779.62,0,20848,0,0,25,76,0,VERY_HIGH,NATIONAL_CSIRT,1,2024-05-13
2025-11,SK,DDOS,CLOUD_MISCONFIG,RETAIL,0,0,1,2313479.64,0,86677,1,0,23,143,0,HIGH,SECTOR_REGULATOR,1,2024-07-04
2025-12,BE,MALWARE,MALVERTISING,EDUCATION,0,0,0,4731561.79,0,14633,0,0,44,262,0,MEDIUM,POLICE_CYBER_UNIT,1,2025-04-02
2026-01,DK,RANSOMWARE,EMAIL,PUBLIC_ADMIN,1,0,0,16702229.8,1,21783,0,0,17,79,0,LOW,EUROPOL_IOCTA,1,2025-12-21
2026-02,GR,BUSINESS_EMAIL_COMPROMISE,INSIDER,MANUFACTURING,0,1,0,3545832.77,0,19951,1,1,64,58,0,UNKNOWN,GDPR_SUPERVISORY_AUTHORITY,0,2024-11-19
2026-03,LT,SUPPLY_CHAIN,WEB_APP,ENERGY,0,0,0,5298074.79,0,9802,1,0,9,117,0,VERY_HIGH,NATIONAL_CSIRT,1,2024-03-16
2026-04,PT,PHISHING,USB_MEDIA,HEALTH,0,1,0,2192633.14,0,63365,1,0,4,55,0,HIGH,SECTOR_REGULATOR,1,2025-03-21
2026-05,SE,DATA_BREACH,THIRD_PARTY,TELECOM,0,1,0,5303842.37,0,42119,1,1,27,181,0,MEDIUM,POLICE_CYBER_UNIT,1,2025-05-01
2026-06,CY,ACCOUNT_TAKEOVER,RDP_EXPOSED,TRANSPORT,0,1,0,6216209.06,0,40663,0,0,12,62,0,LOW,EUROPOL_IOCTA,1,2025-02-06
2026-07,FR,DDOS,CLOUD_MISCONFIG,FINANCE,0,0,1,3803519.03,0,81989,0,1,3,14,0,UNKNOWN,GDPR_SUPERVISORY_AUTHORITY,1,2024-05-22
2026-08,IT,MALWARE,MALVERTISING,SME_MULTI,0,0,0,627773.78,0,39483,1,0,0,183,0,VERY_HIGH,NATIONAL_CSIRT,1,2024-08-02
2026-09,NL,RANSOMWARE,EMAIL,RETAIL,1,0,0,1146481.2,0,45665,0,0,34,44,0,HIGH,SECTOR_REGULATOR,1,2024-01-25
2026-10,SI,BUSINESS_EMAIL_COMPROMISE,INSIDER,EDUCATION,0,1,0,1059869.1,0,23740,0,0,34,93,0,MEDIUM,POLICE_CYBER_UNIT,1,2025-02-16
2026-11,BG,SUPPLY_CHAIN,WEB_APP,PUBLIC_ADMIN,1,0,0,1099241.18,1,8120,1,0,3,5,0,LOW,EUROPOL_IOCTA,1,2026-02-03
2026-12,EE,PHISHING,USB_MEDIA,MANUFACTURING,0,1,1,3296459.8,0,47112,0,0,26,258,0,UNKNOWN,GDPR_SUPERVISORY_AUTHORITY,1,2025-08-19
2016-01,HU,DATA_BREACH,THIRD_PARTY,ENERGY,0,0,0,4896619.89,0,27440,1,0,3,177,1,VERY_HIGH,NATIONAL_CSIRT,1,2025-02-28
2016-02,LU,ACCOUNT_TAKEOVER,RDP_EXPOSED,HEALTH,0,1,0,5018055.05,0,3869,1,0,24,113,0,HIGH,SECTOR_REGULATOR,1,2025-05-11
2016-03,RO,DDOS,CLOUD_MISCONFIG,TELECOM,0,1,1,2628273.68,0,26860,1,0,31,134,0,MEDIUM,POLICE_CYBER_UNIT,1,2024-12-24
2016-04,AT,MALWARE,MALVERTISING,TRANSPORT,0,0,0,2635756.25,0,18876,1,0,36,110,0,LOW,EUROPOL_IOCTA,1,2024-04-30
2016-05,CZ,RANSOMWARE,EMAIL,FINANCE,1,0,0,2096414.83,0,44463,1,0,19,51,0,UNKNOWN,GDPR_SUPERVISORY_AUTHORITY,1,2024-01-20
2016-06,DE,BUSINESS_EMAIL_COMPROMISE,INSIDER,SME_MULTI,0,1,0,13091654.09,0,37318,1,1,25,123,0,VERY_HIGH,NATIONAL_CSIRT,1,2024-08-11
2016-07,LV,SUPPLY_CHAIN,WEB_APP,RETAIL,0,1,0,2721372.67,0,27811,0,0,35,180,1,HIGH,SECTOR_REGULATOR,1,2024-09-21
2016-08,PL,PHISHING,USB_MEDIA,EDUCATION,0,1,0,3847478.13,0,38322,0,0,3,129,0,MEDIUM,POLICE_CYBER_UNIT,1,2025-10-14
2016-09,ES,DATA_BREACH,THIRD_PARTY,PUBLIC_ADMIN,0,0,0,5315178.23,0,12576,1,1,56,84,1,LOW,EUROPOL_IOCTA,1,2024-10-26
2016-10,HR,ACCOUNT_TAKEOVER,RDP_EXPOSED,MANUFACTURING,1,1,0,4111769.51,0,28067,1,0,10,5,0,UNKNOWN,GDPR_SUPERVISORY_AUTHORITY,1,2025-10-10
2016-11,FI,DDOS,CLOUD_MISCONFIG,ENERGY,0,0,1,8321343.03,0,42435,1,0,11,119,0,VERY_HIGH,NATIONAL_CSIRT,1,2024-09-10
2016-12,IE,MALWARE,MALVERTISING,HEALTH,0,1,0,431828.07,0,47215,1,1,14,80,0,HIGH,SECTOR_REGULATOR,1,2025-10-16
