soc_policy_policy_effective_date,soc_policy_policy_change_id,soc_policy_eligibility_rule_area,soc_policy_income_threshold_pct_fpl,soc_policy_asset_limit_usd,soc_policy_work_requirement_flag,soc_policy_time_limit_months,soc_policy_sanction_rate_pct,soc_policy_exemption_category_code,soc_policy_expected_caseload_change_pct,soc_policy_observed_caseload_change_pct,soc_policy_expected_spending_change_usd,soc_policy_observed_spending_change_usd,soc_policy_application_volume_change_pct,soc_policy_approval_rate_change_pct,soc_policy_benefit_level_change_usd,soc_policy_disparity_impact_score,soc_policy_administrative_cost_change_usd,soc_policy_stakeholder_comment_count,soc_policy_implementation_status_code
2008-12-02,POL0000000049,TIME_LIMIT,106.69,216826.8,0,24,4.327,DISABILITY,-35.202,-24.275,-4670315673.11,-6361734315.62,49.322,-11.067,-373.16,1.3085,-60846061.08,12922,PLANNED
2008-12-09,POL0000000050,REPORTING,384.2,62944.0,1,48,18.537,UNEMPLOYED,34.83,46.092,-270819939.86,34552761.27,-23.098,-4.737,-254.73,-2.2758,-183946186.84,6628,IMPLEMENTED
2008-12-16,POL0000000051,OTHER,28.46,50923.98,0,0,4.753,UNEMPLOYED,37.223,28.249,4598205213.45,5034633308.95,16.593,-11.316,-318.8,2.8109,-209940772.4,5553,IMPLEMENTED
2008-12-23,POL0000000052,RECERTIFICATION,30.26,42887.04,0,24,6.147,NONE,16.63,6.856,3571066212.68,4395030524.06,-25.655,-13.038,250.07,0.6563,2690506.12,9309,PAUSED
2008-12-30,POL0000000053,REPORTING,594.64,235138.06,1,60,8.442,CAREGIVER,-27.942,-26.252,-1406357657.42,-3185243839.02,24.027,16.535,-39.08,2.8391,-143458067.98,10435,IMPLEMENTED
2009-01-06,POL0000000054,BENEFIT_LEVEL,272.32,81387.69,0,60,16.756,OTHER,31.101,45.413,734864842.44,464003648.01,16.112,-0.151,-43.87,-1.0462,-149241547.58,4361,PLANNED
2009-01-13,POL0000000055,RECERTIFICATION,487.14,178342.58,1,0,17.755,NONE,-31.758,-44.749,428669425.47,635011990.55,-20.044,6.428,-71.43,2.1664,-133349966.73,10739,IMPLEMENTED
2009-01-20,POL0000000056,EXEMPTIONS,63.25,21024.43,0,60,23.876,CAREGIVER,-7.996,2.928,113681306.42,319580637.13,43.998,0.737,230.44,0.2174,-148441039.31,16913,REVERSED
2009-01-27,POL0000000057,INCOME_TEST,169.93,209236.66,0,24,2.829,NONE,35.888,45.571,4517339990.97,2823128100.95,-7.873,-22.078,-410.3,-0.2117,242846927.1,12426,IMPLEMENTED
2009-02-03,POL0000000058,WORK_REQUIREMENT,541.79,2800.4,1,36,23.36,OTHER,-18.998,-32.021,-711731320.05,-1889628632.28,-22.634,-6.913,-168.39,1.7873,196653584.68,10275,IMPLEMENTED
2009-02-10,POL0000000059,REPORTING,551.56,115617.07,0,0,9.853,PREGNANT,23.444,36.563,1054595539.84,461022808.42,-7.357,19.869,-185.68,2.7062,40202836.46,17094,PLANNED
2009-02-17,POL0000000060,RECERTIFICATION,445.0,12197.79,1,24,0.739,UNEMPLOYED,-16.416,-10.399,1343096554.12,590713670.87,-49.458,13.577,-107.91,-1.8876,108171153.18,13620,IN_PROGRESS
2009-02-24,POL0000000061,EXEMPTIONS,517.67,199500.68,1,24,21.86,DISABILITY,-33.677,-29.948,4385075483.24,5441100568.41,-32.9,1.557,407.29,-1.7682,151714849.31,10119,PAUSED
2009-03-03,POL0000000062,WORK_REQUIREMENT,157.65,185992.78,0,48,3.544,OTHER,-16.292,-15.474,716036477.91,-922793183.38,-25.292,-13.832,266.22,0.5473,195139846.38,2297,IMPLEMENTED
2009-03-10,POL0000000063,ASSET_TEST,43.06,82428.01,1,36,3.433,VETERAN,-12.96,-13.998,1607826388.7,2529126242.11,15.198,-14.548,-298.93,0.6708,236197783.46,16822,PAUSED
2009-03-17,POL0000000064,TIME_LIMIT,194.94,154408.28,1,36,4.744,NONE,17.269,17.08,-3044197022.19,-1684824960.33,-3.825,-12.869,489.47,-2.1544,-119807317.03,16851,IMPLEMENTED
2009-03-24,POL0000000065,INCOME_TEST,579.01,41551.49,1,12,11.181,NONE,-26.478,-12.505,4995786422.88,5467039936.24,-3.105,-0.753,92.07,0.7507,79878846.8,1004,IMPLEMENTED
2009-03-31,POL0000000066,RECERTIFICATION,317.66,140687.09,0,48,2.942,UNEMPLOYED,33.28,28.367,-4364219480.06,-4240300603.07,-49.324,20.649,-406.29,-2.2168,-156404909.75,6408,IMPLEMENTED
2009-04-07,POL0000000067,SANCTIONS,599.09,248282.57,0,24,4.873,UNEMPLOYED,26.335,11.73,1220355806.32,1812197621.98,-41.815,-17.829,-224.94,-0.3966,153713271.79,6252,REVERSED
2009-04-14,POL0000000068,WORK_REQUIREMENT,405.73,162093.17,0,12,22.33,STUDENT,5.44,4.123,-2817834909.96,-4678960308.7,0.85,-7.366,387.02,-1.3581,-15393593.97,18913,PLANNED
2009-04-21,POL0000000069,TIME_LIMIT,281.89,23051.37,0,36,10.557,OTHER,-31.058,-28.888,1323282499.11,2432758455.33,25.624,-7.524,-184.55,-1.1011,223096908.89,11988,REVERSED
2009-04-28,POL0000000070,EXEMPTIONS,472.92,230703.95,0,36,9.195,OTHER,-21.913,-25.467,831451731.46,2333549134.79,24.933,20.052,465.07,2.0128,-126671783.95,2068,IN_PROGRESS
2009-05-05,POL0000000071,ASSET_TEST,428.7,182507.36,0,48,22.502,DISABILITY,-23.712,-29.911,4429464200.86,5197881244.78,-14.225,8.29,137.3,-2.7768,-104679926.85,19841,IN_PROGRESS
2009-05-12,POL0000000072,ASSET_TEST,317.13,243574.19,1,24,4.02,OTHER,0.855,6.98,4368198130.33,3762137729.84,6.433,15.147,0.7,2.5782,181471474.64,18053,IMPLEMENTED
2009-05-19,POL0000000073,WORK_REQUIREMENT,535.46,111718.11,0,36,3.801,NONE,15.883,13.7,-4739639376.84,-4907599056.71,44.699,23.529,72.59,-2.3808,-72927643.98,5041,IMPLEMENTED
2009-05-26,POL0000000074,RECERTIFICATION,301.59,50762.14,0,0,15.661,NONE,-11.41,-18.808,3433948717.03,1620271153.58,11.471,15.768,-430.5,1.1304,227107640.1,19289,IMPLEMENTED
2009-06-02,POL0000000075,TIME_LIMIT,212.98,96864.81,1,24,19.127,NONE,-19.076,-4.149,-3345030991.21,-3609320509.79,-39.075,12.232,-351.87,-2.3567,169173844.08,2486,IMPLEMENTED
2009-06-09,POL0000000076,TIME_LIMIT,68.64,233587.44,1,36,20.334,VETERAN,3.339,1.774,3589512402.94,2188931399.78,-25.325,7.352,-105.89,-1.7657,-111852096.38,7129,IN_PROGRESS
2009-06-16,POL0000000077,SANCTIONS,474.97,1213.89,0,48,4.658,PREGNANT,-24.193,-31.198,-2135522093.69,-2320495807.36,45.51,11.99,300.06,0.9747,53467560.32,11036,PAUSED
2009-06-23,POL0000000078,INCOME_TEST,251.51,22217.93,0,60,1.337,NONE,-19.145,-30.209,3942392673.22,5187521279.88,-13.938,-12.553,339.98,0.4517,-101548995.97,11363,IMPLEMENTED
2009-06-30,POL0000000079,RECERTIFICATION,437.39,11000.97,1,36,2.234,DISABILITY,-5.195,-15.629,-472941657.96,384743356.34,29.624,-10.378,65.09,-0.2328,13711860.06,8525,IN_PROGRESS
2009-07-07,POL0000000080,INCOME_TEST,490.98,34611.47,0,60,2.395,UNEMPLOYED,-4.608,-9.224,-531781610.2,-2289617184.73,13.201,-20.284,266.46,-1.1787,-111100071.66,3487,IMPLEMENTED
2009-07-14,POL0000000081,INCOME_TEST,102.1,19881.25,0,48,10.782,DISABILITY,-11.237,0.234,1299227987.66,3061742994.59,-5.342,-10.532,-261.84,0.274,47630286.11,16777,PAUSED
2009-07-21,POL0000000082,BENEFIT_LEVEL,489.43,37145.9,1,12,8.744,STUDENT,-31.172,-18.118,1974104327.15,790204924.85,37.509,-2.293,8.52,2.5936,-123128184.96,5142,PLANNED
2009-07-28,POL0000000083,TIME_LIMIT,370.34,156257.69,1,60,2.731,VETERAN,12.818,13.657,-2277489553.27,-2790814682.0,48.101,-14.132,-10.52,1.5592,90016928.45,16168,IMPLEMENTED
2009-08-04,POL0000000084,INCOME_TEST,521.39,154535.57,0,48,13.342,NONE,4.88,-2.902,-2512169556.09,-580048903.43,9.038,18.932,-496.26,-0.7432,1044919.83,3205,IN_PROGRESS
2009-08-11,POL0000000085,RECERTIFICATION,548.75,226004.07,0,0,2.326,NONE,39.501,49.721,-4641150428.11,-4898514013.6,20.64,22.858,99.95,-0.1014,-212120931.53,588,IN_PROGRESS
2009-08-18,POL0000000086,ASSET_TEST,506.52,229875.2,1,36,14.077,UNEMPLOYED,-15.281,-25.344,-586817663.15,800154945.24,39.472,12.488,107.15,-1.2473,-177000774.75,16342,REVERSED
2009-08-25,POL0000000087,BENEFIT_LEVEL,290.63,109635.3,0,0,0.56,DISABILITY,31.204,38.522,-4182541198.76,-3330803626.04,39.869,12.252,-142.32,-1.8454,212497417.99,7751,PLANNED
2009-09-01,POL0000000088,INCOME_TEST,110.49,214164.62,0,48,5.861,OTHER,21.645,18.182,-3319753157.27,-2774992143.53,-11.391,-15.118,-458.94,0.7872,218247245.66,7616,SUNSET
2009-09-08,POL0000000089,TIME_LIMIT,172.97,162049.89,0,36,11.213,VETERAN,37.272,31.808,-432677439.62,-272585366.98,48.495,-19.171,299.48,0.3435,198889393.64,19915,REVERSED
2009-09-15,POL0000000090,INCOME_TEST,249.96,232837.59,1,12,20.025,STUDENT,-2.14,6.26,-2185230669.76,-3642144537.02,-30.698,-2.74,360.63,-2.1936,-123237225.48,19360,IMPLEMENTED
2009-09-22,POL0000000091,RECERTIFICATION,348.46,228383.58,1,48,14.875,CAREGIVER,4.25,0.774,-2628819380.15,-1436006532.5,29.099,-12.631,-251.24,2.2458,110120770.02,12376,PLANNED
2009-09-29,POL0000000092,EXEMPTIONS,16.3,178184.87,0,24,3.118,CAREGIVER,-37.031,-29.588,-1063036951.82,-456788761.34,-48.93,-20.442,-281.37,-2.7658,-126075788.08,19172,IMPLEMENTED
2009-10-06,POL0000000093,EXEMPTIONS,496.1,164975.61,1,0,18.351,NONE,-10.102,-24.995,-277705336.68,-1729973519.45,23.544,-19.193,-393.95,-2.7607,-190219342.1,9105,PLANNED
2009-10-13,POL0000000094,INCOME_TEST,433.99,131531.09,1,0,19.625,STUDENT,2.36,8.871,-225505059.21,-775029083.19,36.885,-19.378,-276.2,-2.605,-49030933.57,3254,IN_PROGRESS
2009-10-20,POL0000000095,EXEMPTIONS,200.56,96010.99,0,24,8.054,CAREGIVER,16.227,20.443,-2003985463.16,-1217926136.34,-20.966,-13.235,82.97,1.0581,207085488.13,13959,IMPLEMENTED
2009-10-27,POL0000000096,INCOME_TEST,16.65,29901.08,1,48,18.485,DISABILITY,8.833,12.535,-4326443859.01,-4693287177.5,3.429,-7.015,-132.04,-1.9935,-64368109.74,11019,IMPLEMENTED
2009-11-03,POL0000000097,INCOME_TEST,323.51,186116.29,0,60,7.593,CAREGIVER,31.684,27.541,-4301731865.11,-2325487346.32,-21.832,16.277,18.41,-2.8001,-106738946.13,7221,PLANNED
2009-11-10,POL0000000098,ASSET_TEST,70.12,58966.6,0,12,11.971,OTHER,15.352,28.862,-617907778.72,317299841.27,4.236,-13.6,-438.08,-1.5688,200634606.77,55,PAUSED
2009-11-17,POL0000000099,ASSET_TEST,589.25,203704.51,1,12,19.563,DISABILITY,-7.645,-14.467,-384771473.79,-209930141.67,43.364,0.612,-483.6,-1.1149,131992318.06,6974,SUNSET
2009-11-24,POL0000000100,BENEFIT_LEVEL,87.17,68007.28,0,0,3.525,OTHER,-1.542,-9.963,-400396919.06,-1879143442.03,-36.141,-4.835,-57.21,2.4491,95290398.3,12198,PAUSED
2009-12-01,POL0000000101,WORK_REQUIREMENT,359.1,39106.78,0,48,17.583,NONE,-34.925,-40.036,-2782713624.59,-1077408733.79,43.442,2.138,-27.5,-1.8017,-117536475.33,19705,REVERSED
2009-12-08,POL0000000102,INCOME_TEST,580.35,207325.02,0,36,19.289,VETERAN,-37.794,-48.811,-3327957018.53,-3444748243.68,13.879,-16.869,-428.53,-2.9527,73724031.07,508,PLANNED
2009-12-15,POL0000000103,ASSET_TEST,200.41,101175.45,1,0,2.537,CAREGIVER,29.31,39.8,-1517016524.63,-3125316136.95,48.069,17.479,413.12,-0.2755,218750083.28,4262,IMPLEMENTED
2009-12-22,POL0000000104,RECERTIFICATION,400.91,171011.46,0,0,4.356,OTHER,-37.562,-41.711,2654108827.64,882411240.75,41.868,5.395,-369.74,2.5417,-137145002.18,13605,IMPLEMENTED
2009-12-29,POL0000000105,ASSET_TEST,30.28,196512.49,0,48,0.491,VETERAN,25.309,39.788,-1808540799.48,-791741183.14,37.506,-1.514,-105.2,2.1392,122434089.88,15211,SUNSET
2010-01-05,POL0000000106,INCOME_TEST,432.67,160671.46,0,36,20.059,NONE,0.864,-11.941,-1439115250.75,286503031.38,7.319,-1.027,-498.17,2.7688,-43969974.44,3511,IN_PROGRESS
2010-01-12,POL0000000107,ASSET_TEST,574.09,54231.39,0,0,10.613,STUDENT,-37.9,-33.272,1032262842.08,472116702.94,49.833,17.332,352.45,1.2329,-109792341.54,18445,PAUSED
2010-01-19,POL0000000108,INCOME_TEST,562.92,240954.84,0,12,9.162,VETERAN,-12.28,-11.373,-990989923.16,-1651324771.94,27.867,14.567,-386.43,-0.7488,-222222091.05,8495,IN_PROGRESS
2010-01-26,POL0000000109,ASSET_TEST,398.14,85532.75,0,36,0.762,UNEMPLOYED,8.258,9.487,-2890474982.5,-4318783046.51,46.751,21.373,-30.21,-1.0751,99543966.57,19425,PLANNED
2010-02-02,POL0000000110,REPORTING,440.35,214875.3,0,60,16.218,OTHER,-25.268,-39.841,-3286708598.99,-4702613099.99,2.493,13.724,-24.54,2.0398,89233306.82,5405,IMPLEMENTED
2010-02-09,POL0000000111,ASSET_TEST,342.65,61943.75,0,48,7.406,PREGNANT,19.938,8.802,-3118323301.21,-2700837062.42,20.468,-4.763,398.49,2.0315,191929883.27,2689,IMPLEMENTED
2010-02-16,POL0000000112,INCOME_TEST,449.57,104460.96,0,0,8.497,CAREGIVER,-7.746,-10.259,-2674111408.45,-4218048368.21,-20.445,8.862,220.34,-0.7654,-466816.33,4776,IMPLEMENTED
2010-02-23,POL0000000113,REPORTING,498.6,132459.77,0,0,17.001,DISABILITY,34.258,42.981,911739449.21,918399336.2,18.992,-22.399,-85.86,1.4603,-220349276.76,13590,IN_PROGRESS
2010-03-02,POL0000000114,EXEMPTIONS,288.15,39734.06,0,0,3.514,NONE,-0.169,-11.462,-1866644211.64,-675849996.61,34.733,-19.726,-249.45,1.1587,11633940.52,14465,PLANNED
2010-03-09,POL0000000115,TIME_LIMIT,422.57,248232.84,0,60,12.09,VETERAN,10.455,8.907,1130765182.47,1740910898.62,26.994,13.546,-204.16,2.151,150507954.8,3801,IMPLEMENTED
2010-03-16,POL0000000116,ASSET_TEST,187.39,102470.82,0,24,17.673,CAREGIVER,-7.348,-3.626,-3829347619.57,-2436377056.83,14.078,9.102,-382.04,0.2612,-44885329.83,11791,REVERSED
2010-03-23,POL0000000117,EXEMPTIONS,398.22,67504.48,1,0,17.678,NONE,-1.734,-11.266,-765606114.26,-844006511.78,-41.644,13.923,73.6,-2.8215,-125488140.46,12724,IMPLEMENTED
2010-03-30,POL0000000118,WORK_REQUIREMENT,443.2,28557.06,1,60,10.188,DISABILITY,30.957,44.496,2896031654.36,2830671448.17,40.173,-14.912,-95.2,-1.8747,-210049931.52,13695,IMPLEMENTED
2010-04-06,POL0000000119,ASSET_TEST,402.66,136444.79,1,60,21.119,STUDENT,-3.001,-13.48,-4628941693.58,-4644281548.03,21.633,-6.407,-375.91,-0.472,-108027267.09,12962,IMPLEMENTED
2010-04-13,POL0000000120,ASSET_TEST,406.87,74624.49,0,12,9.018,UNEMPLOYED,-17.833,-18.163,2586115950.42,1428900956.05,-8.487,-17.653,253.54,-2.9197,225318285.84,16215,PAUSED
2010-04-20,POL0000000121,WORK_REQUIREMENT,261.08,59416.79,0,12,0.7,DISABILITY,1.961,-10.722,2221005468.45,565428821.53,-40.219,23.055,-398.83,-2.8942,-8874496.87,14317,IMPLEMENTED
2010-04-27,POL0000000122,INCOME_TEST,105.48,181164.62,0,0,6.94,UNEMPLOYED,26.084,38.523,4111897129.89,3297957840.73,5.988,4.183,111.96,2.7182,96296924.29,9580,IMPLEMENTED
2010-05-04,POL0000000123,ASSET_TEST,406.97,9070.73,1,60,15.948,UNEMPLOYED,6.67,-6.841,-72240392.57,-259596751.83,-49.096,-9.451,387.19,-0.244,183003098.07,2425,IMPLEMENTED
2010-05-11,POL0000000124,TIME_LIMIT,99.43,203835.01,0,24,0.986,PREGNANT,-13.395,-18.109,-89686362.69,1621290265.92,29.057,21.188,499.98,-0.5953,-8791707.88,14747,IN_PROGRESS
