gov_debt_reporting_year,gov_debt_issuer_id,gov_debt_debt_type_code,gov_debt_principal_outstanding_inr,gov_debt_principal_issued_inr,gov_debt_principal_retired_inr,gov_debt_interest_cost_inr,gov_debt_average_coupon_rate,gov_debt_maturity_years_weighted,gov_debt_debt_service_coverage_ratio,gov_debt_days_cash_on_hand,gov_debt_liquidity_ratio,gov_debt_net_position_change_inr,gov_debt_unfunded_pension_liability,gov_debt_opeb_liability,gov_debt_bond_rating_agency,gov_debt_bond_rating_value,gov_debt_default_event_flag,gov_debt_refinancing_savings_inr,gov_debt_fiscal_distress_flag
2015,GOV16900039,GOVHFLM1,8322641,550422,7295359,64988776,16.37,val_1699_00039,4.025,1892,2.102,val_1699_00039,val_1699_00039,val_1699_00039,MeitY,70553633,1,725130670,0
2020,GOV16900040,GOVI7DKZ,666246654,530042,62450,59130,79.81,val_1699_00040,2.876,2471,0.063,val_1699_00040,val_1699_00040,val_1699_00040,MoHFW,48403269,1,446105676,1
2017,GOV16900041,GOVOSGC2,57718,636211,30454481,512762,25.03,val_1699_00041,1.89,1961,2.589,val_1699_00041,val_1699_00041,val_1699_00041,MHA,329605,0,540388,1
2023,GOV16900042,GOV8IVZ0,25399186,4613508,593094,321455642,74.95,val_1699_00042,1.621,2303,0.716,val_1699_00042,val_1699_00042,val_1699_00042,MOF,398773372,0,51452,0
2022,GOV16900043,GOVP5WSM,4099655,6314043,534679727,430636,31.49,val_1699_00043,2.508,2028,1.646,val_1699_00043,val_1699_00043,val_1699_00043,MoRD,8503358,1,338627392,1
2022,GOV16900044,GOVOEFQ8,118961431,40511,666641,6768006,71.44,val_1699_00044,0.211,835,1.921,val_1699_00044,val_1699_00044,val_1699_00044,DoPT,338353,0,55951174,1
2023,GOV16900045,GOVMGL0P,659998134,63640,389894765,411069546,72.39,val_1699_00045,1.111,578,1.311,val_1699_00045,val_1699_00045,val_1699_00045,MoRTH,30577854,0,581192,1
2025,GOV16900046,GOV3COGI,566438685,73158679,702426029,431642,69.09,val_1699_00046,2.076,2884,4.227,val_1699_00046,val_1699_00046,val_1699_00046,MoE,54955,1,605975981,0
2021,GOV16900047,GOVSOATX,4109242,586805,75732907,59352124,95.49,val_1699_00047,2.337,2963,1.752,val_1699_00047,val_1699_00047,val_1699_00047,MoRTH,25699,0,4249708,1
2025,GOV16900048,GOVDPD4S,5197370,6164933,60427,436542,50.48,val_1699_00048,1.402,599,1.099,val_1699_00048,val_1699_00048,val_1699_00048,MOF,69255889,0,392611,0
2017,GOV16900049,GOVP6INA,414780156,70102,1619703,18617,12.09,val_1699_00049,3.825,229,4.545,val_1699_00049,val_1699_00049,val_1699_00049,MoE,783738,0,371059,1
2020,GOV16900050,GOVW5ADW,72160319,10352927,409432,44341,89.69,val_1699_00050,4.274,2101,2.143,val_1699_00050,val_1699_00050,val_1699_00050,MoRTH,64748,0,695133,0
2013,GOV16900051,GOVY7VJJ,85521,395858269,31966,77805222,20.95,val_1699_00051,2.255,3572,4.76,val_1699_00051,val_1699_00051,val_1699_00051,MoHFW,690806,0,477463,1
2023,GOV16900052,GOVPYBIG,8795032,533607,4627276,58007,16.95,val_1699_00052,4.031,1113,4.677,val_1699_00052,val_1699_00052,val_1699_00052,MoHUA,376377286,1,547887386,1
2010,GOV16900053,GOVMBL4N,4070152,6594237,58155929,604107847,25.98,val_1699_00053,4.666,606,2.363,val_1699_00053,val_1699_00053,val_1699_00053,MOF,713140206,0,417218,0
2024,GOV16900054,GOVS6IER,10733697,750508943,64382087,4092560,90.89,val_1699_00054,1.52,2778,4.125,val_1699_00054,val_1699_00054,val_1699_00054,MoRD,381535,0,67257,1
2013,GOV16900055,GOVGC67Y,5812671,353322,63374660,59078,4.6,val_1699_00055,0.54,483,0.188,val_1699_00055,val_1699_00055,val_1699_00055,MOF,67866304,1,7829269,0
2026,GOV16900056,GOV4R5IL,11100575,61434,84702,373804,36.97,val_1699_00056,4.677,2274,4.15,val_1699_00056,val_1699_00056,val_1699_00056,MNRE,105282080,1,3433809,0
2023,GOV16900057,GOVE3P73,53156207,5278995,52025,393385600,1.91,val_1699_00057,2.958,748,4.404,val_1699_00057,val_1699_00057,val_1699_00057,MoRTH,36217862,0,702009754,0
2011,GOV16900058,GOVOT27X,71579,621941,510038,43915529,34.56,val_1699_00058,3.666,698,2.193,val_1699_00058,val_1699_00058,val_1699_00058,MOF,4357246,1,2673243,0
2017,GOV16900059,GOVEYW6P,3779421,4873557,3411614,12028,72.46,val_1699_00059,2.234,3125,4.062,val_1699_00059,val_1699_00059,val_1699_00059,DoPT,918581138,0,35099,1
2011,GOV16900060,GOVDNRGN,400894368,440637384,393229267,76374,12.33,val_1699_00060,2.593,3018,1.085,val_1699_00060,val_1699_00060,val_1699_00060,MoRD,4166205,0,445489156,0
2019,GOV16900061,GOV6VD44,683660241,66329,4904886,238689597,17.95,val_1699_00061,3.456,3415,1.794,val_1699_00061,val_1699_00061,val_1699_00061,MoRD,239738227,1,7361987,0
2026,GOV16900062,GOVUUW2W,56728541,262239631,6407628,642056,65.71,val_1699_00062,2.736,2368,0.819,val_1699_00062,val_1699_00062,val_1699_00062,MNRE,47439817,1,4907154,1
2022,GOV16900063,GOVYX2NU,37056,573913384,5280893,836990,89.96,val_1699_00063,4.326,3301,0.697,val_1699_00063,val_1699_00063,val_1699_00063,DoPT,996792,0,33983,0
2023,GOV16900064,GOVLQQPD,29513,756019,388808,42528,3.45,val_1699_00064,0.037,1201,2.865,val_1699_00064,val_1699_00064,val_1699_00064,MOF,6254319,0,71455,0
2019,GOV16900065,GOV1ZVND,613183,693233,5029685,35101,72.35,val_1699_00065,3.707,2764,0.522,val_1699_00065,val_1699_00065,val_1699_00065,MOF,5912864,1,52188,0
2015,GOV16900066,GOVCTVZ0,51492,90316,67572351,3833235,24.96,val_1699_00066,4.727,740,2.587,val_1699_00066,val_1699_00066,val_1699_00066,MoRTH,317062,0,82859390,1
2010,GOV16900067,GOV41U0F,6862966,706426702,65744022,48437980,41.27,val_1699_00067,3.178,1034,0.923,val_1699_00067,val_1699_00067,val_1699_00067,MoE,24076239,1,549159653,0
2018,GOV16900068,GOVHCX7A,51256,48740,38406,36966394,92.79,val_1699_00068,3.584,2561,0.79,val_1699_00068,val_1699_00068,val_1699_00068,MNRE,5809905,1,9207627,0
2021,GOV16900069,GOVBA36N,360432462,5025656,41885833,214170721,27.95,val_1699_00069,4.044,2484,4.404,val_1699_00069,val_1699_00069,val_1699_00069,MHA,38246803,0,905446,1
2013,GOV16900070,GOVT5ZJ1,985368846,24974,48730536,361415,59.14,val_1699_00070,1.543,790,3.904,val_1699_00070,val_1699_00070,val_1699_00070,MeitY,564335995,0,7536818,0
2022,GOV16900071,GOVTKC7J,71031,5620975,551278,64498946,83.05,val_1699_00071,3.182,2608,0.315,val_1699_00071,val_1699_00071,val_1699_00071,MoRTH,59761,1,3622511,0
2018,GOV16900072,GOVY59IA,729468722,61962,738963545,59226,51.29,val_1699_00072,1.698,2388,4.63,val_1699_00072,val_1699_00072,val_1699_00072,DoPT,650170920,1,21582,1
2024,GOV16900073,GOVCNZHB,549574639,862723,547686158,412812199,79.63,val_1699_00073,2.163,3202,2.983,val_1699_00073,val_1699_00073,val_1699_00073,MHA,49617,1,6307873,0
2017,GOV16900074,GOVMEBFA,407833812,55676965,66786716,749743408,76.54,val_1699_00074,1.874,3046,4.473,val_1699_00074,val_1699_00074,val_1699_00074,MoE,496833,1,6921034,0
2024,GOV16900075,GOVQDSFZ,664825743,3799085,71705,49795,26.6,val_1699_00075,1.05,3336,2.823,val_1699_00075,val_1699_00075,val_1699_00075,MoRTH,40863,1,4113830,1
2022,GOV16900076,GOVZ70AC,141472517,29685,91834075,418562,23.15,val_1699_00076,3.387,1756,2.636,val_1699_00076,val_1699_00076,val_1699_00076,DoPT,43902328,0,639786466,0
2019,GOV16900077,GOVVBRTQ,38155,6470106,57777,390574,9.07,val_1699_00077,2.912,1271,4.422,val_1699_00077,val_1699_00077,val_1699_00077,MoHFW,56731136,1,4473549,1
2017,GOV16900078,GOV1ED4N,62157189,5621129,56113,8396754,57.83,val_1699_00078,2.126,1024,4.941,val_1699_00078,val_1699_00078,val_1699_00078,MHA,439550041,0,266808375,0
2023,GOV16900079,GOVQZCB5,558628269,665343,5040382,690268620,51.09,val_1699_00079,0.763,2513,3.686,val_1699_00079,val_1699_00079,val_1699_00079,MHA,5806332,1,78053,1
2020,GOV16900080,GOVCNIK5,41043800,61829,799615,16021855,21.22,val_1699_00080,1.199,3005,3.634,val_1699_00080,val_1699_00080,val_1699_00080,MHA,8318358,1,638952453,1
2014,GOV16900081,GOV9CPMM,7537947,511371833,76065787,57192429,40.04,val_1699_00081,4.717,780,3.112,val_1699_00081,val_1699_00081,val_1699_00081,MoHFW,7543238,1,50586,1
2013,GOV16900082,GOVSYCHB,635682869,41965418,436443265,5573759,30.01,val_1699_00082,4.088,1231,1.593,val_1699_00082,val_1699_00082,val_1699_00082,MoRD,491121,0,66846397,0
2015,GOV16900083,GOVGJ706,112428146,647392975,92658,41862951,96.43,val_1699_00083,1.571,279,2.806,val_1699_00083,val_1699_00083,val_1699_00083,MoE,32350,1,547925832,0
2017,GOV16900084,GOVBTJ4A,236814727,55814907,54995720,18153,10.03,val_1699_00084,1.522,2976,0.054,val_1699_00084,val_1699_00084,val_1699_00084,MoRD,245163,1,39788,0
2018,GOV16900085,GOVM7UOH,23373247,5598182,119800580,5411885,26.66,val_1699_00085,1.87,94,1.806,val_1699_00085,val_1699_00085,val_1699_00085,MoRTH,44453,1,815706738,1
2018,GOV16900086,GOVGPPHU,532514793,72736047,42675152,734578,37.15,val_1699_00086,0.17,3572,4.394,val_1699_00086,val_1699_00086,val_1699_00086,MeitY,562615822,1,5462932,0
2018,GOV16900087,GOVVPJZK,47180,5519592,36027,24303820,43.07,val_1699_00087,4.609,3245,3.415,val_1699_00087,val_1699_00087,val_1699_00087,MOF,431626474,1,818055,0
2026,GOV16900088,GOV28C14,2794186,3720537,845893,35608,96.78,val_1699_00088,3.327,2419,3.727,val_1699_00088,val_1699_00088,val_1699_00088,DoPT,48955,0,2719022,0
2018,GOV16900089,GOVMCXYU,38852,30952400,40404,489477,35.72,val_1699_00089,1.453,3048,4.971,val_1699_00089,val_1699_00089,val_1699_00089,MoHFW,8618424,0,5283587,1
2024,GOV16900090,GOV5MRRE,686815,4677225,4120656,44362,43.95,val_1699_00090,0.538,2654,3.005,val_1699_00090,val_1699_00090,val_1699_00090,MeitY,30845,1,4104339,1
2013,GOV16900091,GOVCF4AY,75534,124354,377438255,19069,0.7,val_1699_00091,4.438,1024,4.889,val_1699_00091,val_1699_00091,val_1699_00091,MoE,83397,0,378620,1
2018,GOV16900092,GOV0SSP6,5554654,6650239,83189964,45449112,97.3,val_1699_00092,0.162,1256,0.92,val_1699_00092,val_1699_00092,val_1699_00092,MoE,546411,1,288369240,1
2014,GOV16900093,GOVMBN7H,45561,2837454,48144912,479369119,43.13,val_1699_00093,0.374,1912,1.525,val_1699_00093,val_1699_00093,val_1699_00093,MoE,600108911,0,753845027,1
2016,GOV16900094,GOVR7UU4,45125,83793673,37295090,48090368,69.65,val_1699_00094,3.105,122,2.078,val_1699_00094,val_1699_00094,val_1699_00094,MHA,34444,1,32237,0
2010,GOV16900095,GOV0LJ56,76121,56210,44849,60356,82.92,val_1699_00095,3.998,149,4.284,val_1699_00095,val_1699_00095,val_1699_00095,MeitY,19254947,0,43280431,0
2012,GOV16900096,GOV30WHG,54860251,43737322,4207523,4879149,72.14,val_1699_00096,3.323,1898,3.107,val_1699_00096,val_1699_00096,val_1699_00096,MHA,734193078,1,73595812,0
2026,GOV16900097,GOVJ3Y4L,39383,558094405,527853724,53453,2.63,val_1699_00097,0.204,1375,3.325,val_1699_00097,val_1699_00097,val_1699_00097,MoE,231138562,1,502186,1
2024,GOV16900098,GOV1JM5O,6190206,583576,67132807,58180693,17.36,val_1699_00098,0.208,2562,3.448,val_1699_00098,val_1699_00098,val_1699_00098,MOF,4230918,1,650607,0
2010,GOV16900099,GOVW481K,727746075,316303653,7051077,467523,23.1,val_1699_00099,2.601,2421,2.388,val_1699_00099,val_1699_00099,val_1699_00099,MeitY,51967,0,62457,0
2013,GOV16900100,GOVDU5R0,247581473,4887252,493772802,71522,64.6,val_1699_00100,3.449,3005,1.433,val_1699_00100,val_1699_00100,val_1699_00100,MNRE,634994253,0,493556,1
2019,GOV16900101,GOVNL1AB,7045776,32372,4653910,476461148,19.01,val_1699_00101,2.274,1460,3.175,val_1699_00101,val_1699_00101,val_1699_00101,DoPT,3568816,0,13215856,1
2015,GOV16900102,GOV20ZDD,58433853,2764280,48727628,764817,53.72,val_1699_00102,1.077,3633,2.689,val_1699_00102,val_1699_00102,val_1699_00102,MoRD,564555342,0,19938,1
2015,GOV16900103,GOVTSODU,82458,4506261,7562590,11701374,90.48,val_1699_00103,2.704,1038,1.72,val_1699_00103,val_1699_00103,val_1699_00103,MoRD,42596,1,36288348,1
2022,GOV16900104,GOVS9Y95,4042021,501174617,8162151,26677,16.83,val_1699_00104,1.564,375,0.436,val_1699_00104,val_1699_00104,val_1699_00104,MoHUA,912474,1,87281580,1
2013,GOV16900105,GOVC7YTA,5187430,45519,498083901,65781,96.57,val_1699_00105,3.192,2546,4.56,val_1699_00105,val_1699_00105,val_1699_00105,DoPT,457199,0,3795793,0
2016,GOV16900106,GOV171R3,4601675,373780,50491194,9898,7.34,val_1699_00106,0.954,996,2.212,val_1699_00106,val_1699_00106,val_1699_00106,MHA,56135163,0,58169,0
2017,GOV16900107,GOVV90QH,53416862,60923,642444296,2298929,99.1,val_1699_00107,3.792,3550,4.677,val_1699_00107,val_1699_00107,val_1699_00107,MoHFW,46719,1,4810040,1
2024,GOV16900108,GOV4ELVG,583860037,48622777,534604298,5433142,73.46,val_1699_00108,0.321,1913,0.444,val_1699_00108,val_1699_00108,val_1699_00108,MNRE,687575,1,50369348,0
2010,GOV16900109,GOVC2WNF,49882289,391866,463221,6752901,52.05,val_1699_00109,4.587,263,1.649,val_1699_00109,val_1699_00109,val_1699_00109,MOF,3589372,1,609815,0
2015,GOV16900110,GOV9JHIN,5723959,694104,431655126,382270,9.1,val_1699_00110,4.153,2819,1.28,val_1699_00110,val_1699_00110,val_1699_00110,MoRTH,33003,0,306772,0
2023,GOV16900111,GOVGEVRF,66124,54740,54534736,527312,40.76,val_1699_00111,1.807,754,0.763,val_1699_00111,val_1699_00111,val_1699_00111,MOF,62462200,0,59955668,0
2012,GOV16900112,GOVHGUPX,5311539,1717337,520977617,13906,24.27,val_1699_00112,3.578,3501,1.868,val_1699_00112,val_1699_00112,val_1699_00112,DoPT,6528139,0,62753,0
2024,GOV16900113,GOVY0DM7,600321,818003415,782803,477369157,93.75,val_1699_00113,4.378,1866,3.852,val_1699_00113,val_1699_00113,val_1699_00113,DoPT,391872,1,736375245,1
2022,GOV16900114,GOVKQCQQ,6220,547250,619356,41756105,13.76,val_1699_00114,2.072,1477,0.194,val_1699_00114,val_1699_00114,val_1699_00114,MoHFW,504025,0,64133957,0
2018,GOV16900115,GOV96SIU,5341605,541929529,472252,409665,5.85,val_1699_00115,4.165,1051,1.818,val_1699_00115,val_1699_00115,val_1699_00115,MoRTH,479069,0,70498634,0
2026,GOV16900116,GOVUVMHU,53680624,6534081,39563,3262451,38.06,val_1699_00116,4.12,1103,4.85,val_1699_00116,val_1699_00116,val_1699_00116,MHA,5640546,0,741720,0
2025,GOV16900117,GOVDOKHF,52905088,35679,621543234,5691331,88.8,val_1699_00117,0.104,2793,0.956,val_1699_00117,val_1699_00117,val_1699_00117,MHA,75846676,1,483682,0
2026,GOV16900118,GOVAW0SE,6291753,57174179,202846467,63182771,47.75,val_1699_00118,0.153,3245,0.926,val_1699_00118,val_1699_00118,val_1699_00118,MHA,364950,1,65833,1
2013,GOV16900119,GOVN4UPE,4996120,46711,20353791,161250115,33.0,val_1699_00119,3.784,1536,0.281,val_1699_00119,val_1699_00119,val_1699_00119,MHA,49301,1,358503,1
2013,GOV16900120,GOVTF0QJ,248852903,280986,6330205,558648,83.16,val_1699_00120,3.557,2914,0.944,val_1699_00120,val_1699_00120,val_1699_00120,DoPT,28023,0,594979082,1
2013,GOV16900121,GOVXCJ86,60767200,568076,30984590,49259214,38.17,val_1699_00121,2.826,893,3.99,val_1699_00121,val_1699_00121,val_1699_00121,MHA,431437268,1,53306806,0
2018,GOV16900122,GOVTLP1D,590000,52422285,417960,49801,57.77,val_1699_00122,4.324,1077,1.504,val_1699_00122,val_1699_00122,val_1699_00122,MoE,14611,1,9012205,0
2018,GOV16900123,GOVRS1KP,497456914,766067,682241,44286242,98.28,val_1699_00123,0.068,2129,0.947,val_1699_00123,val_1699_00123,val_1699_00123,MoRTH,96379,1,715128105,1
2015,GOV16900124,GOVZ5PIV,7930505,74198,417938,74573,39.09,val_1699_00124,1.35,1821,3.028,val_1699_00124,val_1699_00124,val_1699_00124,MoRTH,520797,0,526130,1
2017,GOV16900125,GOV0K75X,71123311,757578862,36069285,6156741,91.07,val_1699_00125,3.09,2402,3.989,val_1699_00125,val_1699_00125,val_1699_00125,MoRD,76232,0,62982875,0
2023,GOV16900126,GOVO4MW9,3747131,77300759,413919,655770841,4.23,val_1699_00126,1.519,3222,0.897,val_1699_00126,val_1699_00126,val_1699_00126,MNRE,63438783,1,64529514,0
2010,GOV16900127,GOVOHOV8,36735269,60736766,482154699,7565557,53.68,val_1699_00127,4.082,1182,2.461,val_1699_00127,val_1699_00127,val_1699_00127,MoRTH,49165,0,16365,0
2015,GOV16900128,GOVQUO96,4344662,69596,791337,4311535,62.58,val_1699_00128,3.74,2067,3.073,val_1699_00128,val_1699_00128,val_1699_00128,MoE,64797045,0,355572,0
2010,GOV16900129,GOVIDSI6,34993,5024919,67952235,892303,21.38,val_1699_00129,2.128,3245,2.28,val_1699_00129,val_1699_00129,val_1699_00129,MoRTH,3774904,0,642038205,1
2026,GOV16900130,GOV4YW1C,43196410,40292,31590697,633641203,33.88,val_1699_00130,4.116,589,0.485,val_1699_00130,val_1699_00130,val_1699_00130,MOF,499188170,1,84121096,0
2023,GOV16900131,GOVXCIAN,369878,50949160,4465674,34243,58.29,val_1699_00131,4.063,2267,4.056,val_1699_00131,val_1699_00131,val_1699_00131,MOF,2958007,0,43660936,1
2021,GOV16900132,GOVMGFKF,46103629,297336032,502271,60095,17.29,val_1699_00132,0.913,3432,4.535,val_1699_00132,val_1699_00132,val_1699_00132,MeitY,582610244,0,24233472,0
2016,GOV16900133,GOVOXIRO,40697,603558812,4608452,337845750,80.85,val_1699_00133,2.198,3092,1.065,val_1699_00133,val_1699_00133,val_1699_00133,MoRD,582736839,0,7310114,1
2011,GOV16900134,GOV29DQN,786681,216141011,409500,52260157,6.81,val_1699_00134,1.484,1574,1.725,val_1699_00134,val_1699_00134,val_1699_00134,DoPT,624669,0,981527245,1
2022,GOV16900135,GOVC33ZH,284147,259645,33580,53257191,91.97,val_1699_00135,3.158,834,1.673,val_1699_00135,val_1699_00135,val_1699_00135,MoRTH,66836,1,5060797,0
2017,GOV16900136,GOV8JF68,4593,4094571,518020,598025,6.42,val_1699_00136,2.524,1226,2.714,val_1699_00136,val_1699_00136,val_1699_00136,MoRTH,17464,1,9552095,0
2019,GOV16900137,GOVK0VXJ,459215,93632,46982667,61058767,10.79,val_1699_00137,0.97,664,1.621,val_1699_00137,val_1699_00137,val_1699_00137,MoRD,6665301,0,24831841,0
2013,GOV16900138,GOVMEFPV,21302667,82702555,52577839,14364,69.88,val_1699_00138,1.847,2027,1.043,val_1699_00138,val_1699_00138,val_1699_00138,DoPT,7315812,1,93745,1
