house_social_reference_year,house_social_country_iso2,house_social_region_nuts_code,house_social_social_housing_stock_count,house_social_social_housing_share_pct,house_social_new_units_completed_count,house_social_renovated_units_count,house_social_waitlist_households_count,house_social_average_wait_time_months,house_social_allocation_rule_code,house_social_income_threshold_eur,house_social_rent_setting_rule_code,house_social_rent_level_eur_median,house_social_energy_efficiency_upgrade_flag,house_social_state_aid_compliance_flag,house_social_public_investment_eur,house_social_eu_funding_support_eur,house_social_data_source,house_social_last_update_date,house_social_data_extract_date
2016,SK,RO893,2062477,13.77,48002,43589,58611,74.89,POINTS_BASED,31877.2,COST_BASED,240.66,0,1,3544280393.42,522749186.46,SOCIAL_HOUSING_REGISTER,2016-05-29,2025-01-23
2017,BE,ES776,2728454,16.1,105255,149485,109058,16.65,NEEDS_BASED,61211.01,FIXED_GRID,975.0,1,1,6454669297.09,1731171814.86,AUDIT_REPORT,2016-06-21,2024-09-21
2018,DK,DK3,907646,12.34,52218,52619,345372,76.22,LOTTERY,58828.62,INCOME_RELATED,602.23,1,1,4504415777.65,1927863944.67,HOUSING_AUTHORITY_ADMIN,2016-07-14,2024-01-01
2019,GR,MT3,375953,23.2,13164,19315,152193,33.34,LOCAL_PRIORITY,60635.14,CAPPED_RENT,1234.4,0,1,2329541140.27,1169440619.56,MINISTRY_HOUSING_REPORT,2016-08-06,2024-10-07
2020,LT,FR875,3158641,26.9,137592,260963,25507,56.97,MIXED_MODEL,20952.63,MARKET_DISCOUNTED,1861.29,1,0,1675335376.3,1557317716.72,SOCIAL_HOUSING_REGISTER,2016-08-29,2025-02-22
2021,PT,LU955,806811,23.23,14120,42595,142344,54.22,POINTS_BASED,24528.66,COST_BASED,257.93,1,1,223737389.4,1671792093.98,AUDIT_REPORT,2016-09-21,2025-09-22
2022,SE,AT77,1738637,8.74,100758,78158,213968,91.91,NEEDS_BASED,52185.28,FIXED_GRID,1281.79,0,1,7290963732.18,928171094.04,HOUSING_AUTHORITY_ADMIN,2016-10-14,2025-09-09
2023,CY,GR487,1164747,22.77,27418,97520,232270,32.32,LOTTERY,32860.29,INCOME_RELATED,1070.86,1,0,3603317411.09,1359137363.82,MINISTRY_HOUSING_REPORT,2016-11-06,2024-11-18
2024,FR,EE197,2030134,7.13,26402,17353,142662,44.55,LOCAL_PRIORITY,60376.62,CAPPED_RENT,671.29,0,1,5172158402.81,1574428895.04,SOCIAL_HOUSING_REGISTER,2016-11-29,2024-09-07
2025,IT,HR752,2218031,1.47,46454,57359,177913,57.54,MIXED_MODEL,16873.2,MARKET_DISCOUNTED,1003.81,1,1,3009789516.47,1353361005.82,AUDIT_REPORT,2016-12-22,2024-01-09
2006,NL,IT76,38868,12.73,1054,2014,161208,22.92,POINTS_BASED,20696.87,COST_BASED,633.32,1,0,3922459066.48,567961573.15,HOUSING_AUTHORITY_ADMIN,2017-01-14,2025-12-23
2007,SI,CY2,1415136,22.74,16967,28462,306473,39.56,NEEDS_BASED,38220.32,FIXED_GRID,653.97,0,0,6915073253.76,159879131.85,MINISTRY_HOUSING_REPORT,2017-02-06,2024-03-20
2008,BG,LV6,2368034,8.32,137876,183154,350789,9.28,LOTTERY,18042.59,INCOME_RELATED,855.46,0,1,3890553850.52,290812889.85,SOCIAL_HOUSING_REGISTER,2017-03-01,2026-02-19
2009,EE,DK14,1263617,10.63,24418,43297,363476,59.51,LOCAL_PRIORITY,81229.2,CAPPED_RENT,889.17,0,1,2645307465.9,447909405.98,AUDIT_REPORT,2017-03-24,2024-12-27
2010,HU,SE67,2062944,17.68,25048,92448,87318,60.85,MIXED_MODEL,28820.79,MARKET_DISCOUNTED,532.7,0,1,11185097471.58,89010676.38,HOUSING_AUTHORITY_ADMIN,2017-04-16,2025-07-03
2011,LU,MT232,2204179,3.19,64251,145164,399441,64.44,POINTS_BASED,70313.12,COST_BASED,563.97,0,1,1323813169.84,293264105.52,MINISTRY_HOUSING_REPORT,2017-05-09,2026-01-24
2012,RO,PL359,1242936,2.49,66635,77470,6598,13.53,NEEDS_BASED,24027.35,FIXED_GRID,460.26,0,1,3693911854.38,321080269.57,SOCIAL_HOUSING_REGISTER,2017-06-01,2025-01-21
2013,AT,HU26,1384514,8.77,77533,117802,391450,24.16,LOTTERY,42932.78,INCOME_RELATED,611.2,1,1,6776973307.48,42515084.27,AUDIT_REPORT,2017-06-24,2025-08-25
2014,CZ,EE27,584120,12.95,12088,48406,154684,76.94,LOCAL_PRIORITY,59187.0,CAPPED_RENT,653.69,0,1,6501877322.81,1924727477.5,HOUSING_AUTHORITY_ADMIN,2017-07-17,2025-12-25
2015,DE,GR71,630605,11.85,9177,20988,125190,5.25,MIXED_MODEL,18565.78,MARKET_DISCOUNTED,981.5,0,1,3521960033.36,52339408.59,MINISTRY_HOUSING_REPORT,2017-08-09,2024-02-04
2016,LV,FI207,119228,12.13,1545,5924,87653,12.83,POINTS_BASED,39342.3,COST_BASED,1075.53,1,1,8617798555.61,315546668.4,SOCIAL_HOUSING_REGISTER,2017-09-01,2025-07-04
2017,PL,MT188,1692762,13.95,97112,56844,9273,16.25,NEEDS_BASED,85510.15,FIXED_GRID,1222.03,1,1,5322859927.55,1326125055.58,AUDIT_REPORT,2017-09-24,2025-09-23
2018,ES,LU4,921070,24.27,12137,73819,147521,39.27,LOTTERY,66243.06,INCOME_RELATED,634.78,1,0,8746268518.32,673542027.79,HOUSING_AUTHORITY_ADMIN,2017-10-17,2025-10-20
2019,HR,FI10,1516614,17.48,67276,107524,16881,52.67,LOCAL_PRIORITY,70417.06,CAPPED_RENT,505.63,0,1,1776424446.45,223764916.74,MINISTRY_HOUSING_REPORT,2017-11-09,2024-03-27
2020,FI,CY87,2229090,11.9,86970,148736,110286,42.24,MIXED_MODEL,85184.8,MARKET_DISCOUNTED,402.94,1,0,5871292261.26,2143615960.06,SOCIAL_HOUSING_REGISTER,2017-12-02,2024-07-10
2021,IE,GR828,1581895,15.21,7364,57014,425829,12.05,POINTS_BASED,63226.46,COST_BASED,1325.02,1,1,1901923272.85,985645588.23,AUDIT_REPORT,2017-12-25,2024-11-18
2022,MT,LV8,1599710,15.19,60853,98384,349668,100.82,NEEDS_BASED,17445.58,FIXED_GRID,337.96,0,1,3147781423.6,1430995493.11,HOUSING_AUTHORITY_ADMIN,2018-01-17,2024-06-10
2023,SK,NL562,1655106,26.7,75481,120851,277997,57.16,LOTTERY,39812.43,INCOME_RELATED,274.92,1,1,9818408831.58,1444129354.71,MINISTRY_HOUSING_REPORT,2018-02-09,2025-07-08
2024,BE,EE647,1793684,1.38,27656,54636,276592,5.71,LOCAL_PRIORITY,68804.58,CAPPED_RENT,1653.34,0,1,4948086239.52,1919071.99,SOCIAL_HOUSING_REGISTER,2018-03-04,2024-05-22
2025,DK,IE4,968715,14.96,12567,81429,508843,72.81,MIXED_MODEL,55140.9,MARKET_DISCOUNTED,1136.03,0,1,3942185328.22,61227578.73,AUDIT_REPORT,2018-03-27,2025-09-11
2006,GR,FR22,1338043,18.94,52348,93940,178095,13.62,POINTS_BASED,21348.55,COST_BASED,963.37,0,1,3217562759.85,724509737.83,HOUSING_AUTHORITY_ADMIN,2018-04-19,2024-10-04
2007,LT,EE65,2374526,11.28,59644,193345,96179,54.92,NEEDS_BASED,17041.24,FIXED_GRID,1077.59,0,1,4688081830.97,304696064.96,MINISTRY_HOUSING_REPORT,2018-05-12,2024-10-19
2008,PT,FI3,1650873,12.29,44358,56862,110957,43.79,LOTTERY,38691.05,INCOME_RELATED,1159.58,0,1,5471646136.3,384824850.75,SOCIAL_HOUSING_REGISTER,2018-06-04,2026-01-04
2009,SE,NL408,2143566,8.29,80566,23144,121969,52.95,LOCAL_PRIORITY,21315.98,CAPPED_RENT,1147.87,0,1,1307420904.85,339506659.69,AUDIT_REPORT,2018-06-27,2024-10-15
2010,CY,AT974,2104647,21.84,111874,187300,273207,31.14,MIXED_MODEL,43663.36,MARKET_DISCOUNTED,281.61,1,1,1340798715.83,62872803.34,HOUSING_AUTHORITY_ADMIN,2018-07-20,2025-10-16
2011,FR,HR81,1122031,2.3,37411,67567,65966,61.31,POINTS_BASED,15779.45,COST_BASED,932.27,1,0,4670145296.15,1233793071.87,MINISTRY_HOUSING_REPORT,2018-08-12,2025-10-17
2012,IT,NL998,132242,13.19,6923,10142,28082,14.5,NEEDS_BASED,82136.93,FIXED_GRID,406.64,0,1,2576251742.66,489947680.78,SOCIAL_HOUSING_REGISTER,2018-09-04,2024-12-13
2013,NL,LT93,1743596,5.24,59766,94162,74747,49.75,LOTTERY,73115.0,INCOME_RELATED,1681.4,0,1,3214343270.83,379496944.74,AUDIT_REPORT,2018-09-27,2025-03-04
2014,SI,LT270,2649663,2.1,91760,9136,64041,53.3,LOCAL_PRIORITY,71077.87,CAPPED_RENT,376.63,0,1,7467438026.34,233162700.81,HOUSING_AUTHORITY_ADMIN,2018-10-20,2024-08-21
2015,BG,HR38,1412714,13.66,47632,94069,76382,40.47,MIXED_MODEL,29555.75,MARKET_DISCOUNTED,729.39,1,1,1236788512.98,1249983746.78,MINISTRY_HOUSING_REPORT,2018-11-12,2024-09-01
2016,EE,SE619,2178415,4.37,83217,27641,409400,84.28,POINTS_BASED,65538.79,COST_BASED,802.44,0,1,3834329985.52,2201069382.99,SOCIAL_HOUSING_REGISTER,2018-12-05,2025-04-03
2017,HU,MT842,1647471,11.17,26079,18028,461898,77.27,NEEDS_BASED,66971.4,FIXED_GRID,402.14,0,1,907076265.02,39474564.22,AUDIT_REPORT,2018-12-28,2024-07-14
2018,LU,RO1,1161392,16.63,8813,66899,436295,79.22,LOTTERY,64461.14,INCOME_RELATED,1359.28,1,1,4781824107.71,2107959958.79,HOUSING_AUTHORITY_ADMIN,2019-01-20,2024-02-11
2019,RO,EE38,2889474,2.59,73990,100058,496242,75.66,LOCAL_PRIORITY,37544.5,CAPPED_RENT,1153.32,0,1,5068350723.76,303760837.15,MINISTRY_HOUSING_REPORT,2019-02-12,2025-03-22
2020,AT,DE46,19475,26.81,769,1536,228314,60.63,MIXED_MODEL,81975.39,MARKET_DISCOUNTED,1829.58,0,1,4077481557.81,748137862.46,SOCIAL_HOUSING_REGISTER,2019-03-07,2025-12-24
2021,CZ,PT359,1660080,22.3,72097,140129,478584,80.85,POINTS_BASED,67134.74,COST_BASED,879.07,0,1,6974538163.84,2024321437.45,AUDIT_REPORT,2019-03-30,2024-08-14
2022,DE,LV755,742527,14.1,20897,51450,416634,97.3,NEEDS_BASED,74109.98,FIXED_GRID,1110.62,0,1,8893312046.98,2063678664.28,HOUSING_AUTHORITY_ADMIN,2019-04-22,2024-07-24
2023,LV,EE5,2447045,5.69,144969,95096,353891,97.34,LOTTERY,48391.97,INCOME_RELATED,974.09,1,1,4300508546.48,1174643186.26,MINISTRY_HOUSING_REPORT,2019-05-15,2026-01-23
2024,PL,RO797,330957,9.76,1418,11521,96858,37.61,LOCAL_PRIORITY,46569.63,CAPPED_RENT,1268.57,0,1,9636643310.75,179651302.33,SOCIAL_HOUSING_REGISTER,2019-06-07,2026-01-13
2025,ES,DE83,278353,25.66,1534,14381,482288,81.44,MIXED_MODEL,89006.07,MARKET_DISCOUNTED,298.82,1,0,4183423156.67,2244121226.9,AUDIT_REPORT,2019-06-30,2025-06-29
2006,HR,EE73,410657,9.3,21837,22598,271235,70.24,POINTS_BASED,23292.03,COST_BASED,807.39,1,1,8471181474.57,108757867.45,HOUSING_AUTHORITY_ADMIN,2019-07-23,2025-02-12
2007,FI,HU699,469682,19.37,1162,29558,288630,48.18,NEEDS_BASED,12910.54,FIXED_GRID,349.53,1,0,3281656179.51,121133480.63,MINISTRY_HOUSING_REPORT,2019-08-15,2025-07-13
2008,IE,AT387,2335486,20.17,45419,135254,482423,20.7,LOTTERY,26473.04,INCOME_RELATED,1384.72,0,1,4259228235.35,122846543.92,SOCIAL_HOUSING_REGISTER,2019-09-07,2025-04-30
2009,MT,AT854,355067,17.09,20242,23735,321469,59.26,LOCAL_PRIORITY,62783.99,CAPPED_RENT,1227.29,0,1,3379570916.7,1186807982.77,AUDIT_REPORT,2019-09-30,2025-07-20
2010,SK,LV708,436027,21.69,17096,37257,265777,32.22,MIXED_MODEL,50424.78,MARKET_DISCOUNTED,310.57,1,1,3056767384.55,958932472.67,HOUSING_AUTHORITY_ADMIN,2019-10-23,2024-06-19
2011,BE,FR4,3244870,15.78,174889,24491,315251,17.78,POINTS_BASED,63180.35,COST_BASED,1279.81,0,1,3544102529.84,276037636.58,MINISTRY_HOUSING_REPORT,2019-11-15,2025-06-25
2012,DK,LV43,3068202,4.62,182600,12510,75224,53.57,NEEDS_BASED,92619.58,FIXED_GRID,973.5,0,0,8983472847.35,704252859.04,SOCIAL_HOUSING_REGISTER,2019-12-08,2025-03-24
2013,GR,IT4,2815257,13.2,110308,191409,351577,16.03,LOTTERY,22126.09,INCOME_RELATED,334.95,1,1,4503655128.4,89201593.71,AUDIT_REPORT,2019-12-31,2025-04-29
2014,LT,PL5,485450,21.75,4863,38255,328360,3.69,LOCAL_PRIORITY,48976.44,CAPPED_RENT,326.46,0,1,539089837.12,2326001949.72,HOUSING_AUTHORITY_ADMIN,2020-01-23,2025-10-27
2015,PT,LV130,2525960,17.55,148487,10713,159883,62.41,MIXED_MODEL,55386.79,MARKET_DISCOUNTED,435.17,0,0,3191268313.04,1128103375.61,MINISTRY_HOUSING_REPORT,2020-02-15,2025-03-04
2016,SE,PT53,728201,10.52,20840,5522,136706,17.69,POINTS_BASED,36955.03,COST_BASED,1465.95,1,1,5466330169.85,2249706676.03,SOCIAL_HOUSING_REGISTER,2020-03-09,2024-09-13
2017,CY,BG939,2038504,20.78,77550,183231,562058,78.61,NEEDS_BASED,77452.42,FIXED_GRID,1214.23,1,1,5339667498.7,1878160023.24,AUDIT_REPORT,2020-04-01,2024-09-03
2018,FR,LV452,1442227,18.45,16348,107552,64800,55.0,LOTTERY,14210.98,INCOME_RELATED,1004.66,1,1,2498108192.77,362920228.78,HOUSING_AUTHORITY_ADMIN,2020-04-24,2024-08-29
2019,IT,IE58,188215,4.38,994,9878,303617,80.14,LOCAL_PRIORITY,50983.29,CAPPED_RENT,1715.11,0,0,6689770852.91,3186709547.7,MINISTRY_HOUSING_REPORT,2020-05-17,2024-06-20
2020,NL,GR981,1962233,17.25,17707,6928,185437,25.7,MIXED_MODEL,41091.49,MARKET_DISCOUNTED,259.89,1,0,46575697.53,1168130988.34,SOCIAL_HOUSING_REGISTER,2020-06-09,2026-01-04
2021,SI,BE6,1196032,18.46,9099,58170,193352,52.98,POINTS_BASED,36590.42,COST_BASED,1276.38,0,0,1833604227.67,798927980.13,AUDIT_REPORT,2020-07-02,2025-12-09
2022,BG,GR276,2175506,16.26,25161,42420,42839,38.69,NEEDS_BASED,31148.07,FIXED_GRID,1502.24,1,1,1538576355.4,2000589212.08,HOUSING_AUTHORITY_ADMIN,2020-07-25,2025-05-30
2023,EE,DK2,373564,12.36,8959,15987,435153,59.51,LOTTERY,51107.42,INCOME_RELATED,588.33,1,1,8507181034.5,1324341374.56,MINISTRY_HOUSING_REPORT,2020-08-17,2024-04-22
2024,HU,SI865,847465,2.79,37079,52702,287864,9.05,LOCAL_PRIORITY,17006.09,CAPPED_RENT,836.51,0,1,7277041511.43,864472327.53,SOCIAL_HOUSING_REGISTER,2020-09-09,2024-09-08
2025,LU,CZ8,232985,26.38,11415,20318,339519,42.9,MIXED_MODEL,29239.67,MARKET_DISCOUNTED,1225.71,1,1,2645995750.76,2560818806.62,AUDIT_REPORT,2020-10-02,2025-03-14
2006,RO,PT607,2550808,4.11,150263,133038,235725,48.33,POINTS_BASED,13852.59,COST_BASED,982.57,1,1,9050900289.82,484260615.44,HOUSING_AUTHORITY_ADMIN,2020-10-25,2026-01-25
2007,AT,CZ9,666313,17.71,37419,35547,316396,60.99,NEEDS_BASED,22413.15,FIXED_GRID,1120.6,1,0,858865300.7,968448525.15,MINISTRY_HOUSING_REPORT,2020-11-17,2025-08-10
2008,CZ,HR136,1806752,11.4,5871,94610,209682,39.57,LOTTERY,54469.6,INCOME_RELATED,416.47,1,0,8244102481.66,109488251.83,SOCIAL_HOUSING_REGISTER,2020-12-10,2025-12-10
2009,DE,IT246,305035,26.24,8978,12121,153357,51.79,LOCAL_PRIORITY,88485.16,CAPPED_RENT,1382.92,1,0,2303336677.74,15373711.5,AUDIT_REPORT,2021-01-02,2024-09-08
2010,LV,RO630,3315780,17.32,136093,218750,273076,52.54,MIXED_MODEL,12517.36,MARKET_DISCOUNTED,791.82,0,0,6699907061.91,592534915.58,HOUSING_AUTHORITY_ADMIN,2021-01-25,2025-04-16
2011,PL,LV58,789707,14.81,44835,39181,373369,100.92,POINTS_BASED,92848.34,COST_BASED,1201.12,1,1,1505609801.01,885765758.0,MINISTRY_HOUSING_REPORT,2021-02-17,2025-04-13
2012,ES,PL20,2043699,5.99,61635,109270,108220,49.78,NEEDS_BASED,72702.71,FIXED_GRID,1144.53,1,1,956568796.14,546514591.31,SOCIAL_HOUSING_REGISTER,2021-03-12,2024-03-30
2013,HR,ES363,1432684,11.1,8082,107026,286207,73.46,LOTTERY,82328.34,INCOME_RELATED,372.39,0,1,451381693.66,14670885.17,AUDIT_REPORT,2021-04-04,2024-02-15
2014,FI,DE84,707419,6.67,25356,2824,125021,54.31,LOCAL_PRIORITY,23624.23,CAPPED_RENT,1133.41,1,1,10639831045.99,1078097422.51,HOUSING_AUTHORITY_ADMIN,2021-04-27,2024-09-27
2015,IE,RO402,84972,15.97,1338,905,16229,3.15,MIXED_MODEL,44632.69,MARKET_DISCOUNTED,922.33,0,1,2985466932.67,1271702050.7,MINISTRY_HOUSING_REPORT,2021-05-20,2024-02-27
2016,MT,IT917,12558,10.25,659,826,338363,26.1,POINTS_BASED,90633.59,COST_BASED,1065.83,1,0,11777929237.8,2265497723.98,SOCIAL_HOUSING_REGISTER,2021-06-12,2025-01-23
2017,SK,FR925,2722259,22.01,8100,233270,302195,26.74,NEEDS_BASED,59314.84,FIXED_GRID,306.24,0,1,3204126749.25,572213118.37,AUDIT_REPORT,2021-07-05,2024-10-04
2018,BE,IT98,57883,22.49,1948,3153,236844,80.37,LOTTERY,67201.48,INCOME_RELATED,1431.48,1,1,2424144409.86,1238350268.07,HOUSING_AUTHORITY_ADMIN,2021-07-28,2025-07-22
2019,DK,SE29,1292667,6.1,74184,54555,146762,25.35,LOCAL_PRIORITY,26893.2,CAPPED_RENT,523.75,1,0,3660141061.53,545227644.73,MINISTRY_HOUSING_REPORT,2021-08-20,2024-01-25
2020,GR,NL631,2913989,27.26,32002,159164,293428,20.28,MIXED_MODEL,29659.11,MARKET_DISCOUNTED,1032.18,1,1,10460321177.61,2294893719.2,SOCIAL_HOUSING_REGISTER,2021-09-12,2025-05-02
2021,LT,MT485,810137,19.01,25010,38374,457542,74.1,POINTS_BASED,20805.7,COST_BASED,1043.82,1,1,5308913782.14,1464826452.15,AUDIT_REPORT,2021-10-05,2024-08-09
2022,PT,EE729,237584,7.05,1676,1124,574724,66.94,NEEDS_BASED,75951.29,FIXED_GRID,747.67,1,0,4419420597.5,379348648.31,HOUSING_AUTHORITY_ADMIN,2021-10-28,2024-03-07
2023,SE,BG431,337165,1.35,3362,8318,367005,37.48,LOTTERY,43014.47,INCOME_RELATED,767.83,0,1,3235363745.67,411086703.07,MINISTRY_HOUSING_REPORT,2021-11-20,2024-01-31
2024,CY,HR69,2513062,16.72,114513,185728,170208,9.55,LOCAL_PRIORITY,73206.17,CAPPED_RENT,833.2,0,1,5477596910.25,1964063575.57,SOCIAL_HOUSING_REGISTER,2021-12-13,2025-06-24
2025,FR,CZ512,1992534,25.56,30927,120718,207789,40.49,MIXED_MODEL,49694.18,MARKET_DISCOUNTED,1198.1,0,1,10852343667.63,1545582698.01,AUDIT_REPORT,2022-01-05,2025-07-24
2006,IT,IT950,3451424,19.7,83347,155386,72068,67.22,POINTS_BASED,36499.4,COST_BASED,737.13,1,1,9709998484.78,10495898.45,HOUSING_AUTHORITY_ADMIN,2022-01-28,2024-10-22
2007,NL,BE58,407607,8.3,11800,27163,302263,47.41,NEEDS_BASED,47468.83,FIXED_GRID,1644.2,0,1,2169025298.71,162268481.18,MINISTRY_HOUSING_REPORT,2022-02-20,2026-01-08
2008,SI,DE54,3100171,6.36,111263,43309,194390,62.09,LOTTERY,31171.57,INCOME_RELATED,308.33,0,1,3297439054.57,384512058.06,SOCIAL_HOUSING_REGISTER,2022-03-15,2025-12-14
2009,BG,SE201,1037119,10.55,53921,12630,98700,23.54,LOCAL_PRIORITY,39392.12,CAPPED_RENT,717.04,1,1,2645677860.45,218119787.42,AUDIT_REPORT,2022-04-07,2025-05-14
2010,EE,PT784,201221,8.15,10039,10738,332182,70.73,MIXED_MODEL,53407.79,MARKET_DISCOUNTED,468.31,1,1,4189863284.39,590606071.88,HOUSING_AUTHORITY_ADMIN,2022-04-30,2024-09-26
2011,HU,EE163,3093392,19.57,13516,273423,280432,70.83,POINTS_BASED,18835.48,COST_BASED,395.86,0,0,7451171976.47,500750987.02,MINISTRY_HOUSING_REPORT,2022-05-23,2026-01-04
2012,LU,SE597,2075586,14.4,7489,120775,33848,18.35,NEEDS_BASED,17325.6,FIXED_GRID,327.36,0,1,786940538.78,824901775.58,SOCIAL_HOUSING_REGISTER,2022-06-15,2024-06-04
2013,RO,MT573,62463,24.35,2768,4119,148247,8.12,LOTTERY,13319.35,INCOME_RELATED,1054.66,1,1,309296993.34,832750205.15,AUDIT_REPORT,2022-07-08,2024-07-25
2014,AT,DK5,2179515,27.45,110831,139996,207411,65.82,LOCAL_PRIORITY,60150.35,CAPPED_RENT,1421.31,0,1,5738275426.45,1353186875.43,HOUSING_AUTHORITY_ADMIN,2022-07-31,2024-11-03
2015,CZ,ES46,1824752,3.32,28774,59962,447128,8.34,MIXED_MODEL,49497.22,MARKET_DISCOUNTED,1185.31,1,1,2564316976.54,2898759274.33,MINISTRY_HOUSING_REPORT,2022-08-23,2025-12-02
2016,DE,AT97,140563,24.96,425,5854,243901,61.15,POINTS_BASED,47791.01,COST_BASED,930.87,0,1,4292736696.56,3536608458.41,SOCIAL_HOUSING_REGISTER,2022-09-15,2025-01-05
2017,LV,LU5,1773659,19.63,91592,152575,17665,46.11,NEEDS_BASED,65241.56,FIXED_GRID,1247.6,1,1,8925260247.14,3483189322.97,AUDIT_REPORT,2022-10-08,2025-01-27
2018,PL,DE981,725808,11.68,19521,28367,338497,17.86,LOTTERY,79438.14,INCOME_RELATED,508.08,0,0,3267843124.85,189956099.07,HOUSING_AUTHORITY_ADMIN,2022-10-31,2026-01-29
2019,ES,FI59,534194,11.79,15884,40495,463382,94.83,LOCAL_PRIORITY,69889.25,CAPPED_RENT,793.83,1,1,5105847478.65,405904122.32,MINISTRY_HOUSING_REPORT,2022-11-23,2026-01-12
2020,HR,BG15,467729,6.55,18339,33497,333127,85.95,MIXED_MODEL,14172.56,MARKET_DISCOUNTED,604.67,0,1,2323535857.03,1941385593.83,SOCIAL_HOUSING_REGISTER,2022-12-16,2024-09-17
2021,FI,GR4,1862496,8.54,64935,62895,261909,48.9,POINTS_BASED,97400.96,COST_BASED,1247.6,1,1,6919159563.07,683577114.19,AUDIT_REPORT,2023-01-08,2025-08-03
2022,IE,AT82,1239854,11.46,37033,28667,117485,44.17,NEEDS_BASED,34916.01,FIXED_GRID,623.26,0,1,5732613197.6,758039921.02,HOUSING_AUTHORITY_ADMIN,2023-01-31,2024-12-16
2023,MT,LT22,614129,11.43,27274,28633,540513,29.97,LOTTERY,32082.57,INCOME_RELATED,993.59,0,1,727115645.69,626545054.22,MINISTRY_HOUSING_REPORT,2023-02-23,2024-10-19
2024,SK,CY449,506295,23.93,20496,6805,375291,14.8,LOCAL_PRIORITY,24338.77,CAPPED_RENT,1311.43,0,1,2296057732.56,1539793472.38,SOCIAL_HOUSING_REGISTER,2023-03-18,2025-03-27
2025,BE,AT11,1437266,16.09,18643,119513,417992,8.26,MIXED_MODEL,24544.85,MARKET_DISCOUNTED,1004.99,0,1,2205020619.91,2409751164.98,AUDIT_REPORT,2023-04-10,2025-06-01
2006,DK,LT13,1074658,10.36,21654,50971,182849,14.95,POINTS_BASED,43931.16,COST_BASED,739.5,1,0,4184662350.69,717186887.27,HOUSING_AUTHORITY_ADMIN,2023-05-03,2024-11-14
2007,GR,GR45,2038394,27.87,108214,76392,59897,24.72,NEEDS_BASED,47813.22,FIXED_GRID,884.39,1,1,2597153580.3,497804750.22,MINISTRY_HOUSING_REPORT,2023-05-26,2024-10-23
2008,LT,HU67,299248,20.26,10109,2860,413690,28.11,LOTTERY,37575.42,INCOME_RELATED,1350.64,1,1,5466214450.59,1072729804.2,SOCIAL_HOUSING_REGISTER,2023-06-18,2024-03-29
2009,PT,SK143,1358579,14.87,80022,59384,8365,65.64,LOCAL_PRIORITY,57071.89,CAPPED_RENT,1243.55,0,1,8653617712.56,431301898.06,AUDIT_REPORT,2023-07-11,2025-02-06
