env_emiss_inventory_year,env_emiss_facility_registry_id,env_emiss_emissions_source_type,env_emiss_ghg_gas_code,env_emiss_emissions_metric_tons,env_emiss_stack_height_m,env_emiss_control_technology_code,env_emiss_operating_hours_annual,env_emiss_throughput_activity_level,env_emiss_emission_factor_used,env_emiss_estimation_method_code,env_emiss_permit_number,env_emiss_compliance_status_code,env_emiss_violation_count,env_emiss_inspection_count,env_emiss_nearby_receptor_distance_m,env_emiss_environmental_justice_screen_score,env_emiss_reporting_program_name,env_emiss_verification_flag,env_emiss_uncertainty_rating
2019,IN-FAC-0000018,landfill,N2O,5197.7,69.5,scr,1127,30182,0.504,engineering_estimate,IN-PMT-114614,in_compliance,1,1,351,49,voluntary_program,1,medium
2016,IN-FAC-0000019,transport_hub,CO2,7567.5,25.9,fgd,6047,31569,0.937,cems,IN-PMT-661905,in_compliance,2,0,267,41,esg_disclosure,0,high
2020,IN-FAC-0000020,power_plant,CH4,810.4,66.2,low_nox_burner,1955,18582,0.973,engineering_estimate,IN-PMT-561570,in_compliance,0,1,2044,27,esg_disclosure,0,medium
2018,IN-FAC-0000021,brick_kiln,CO2,14964.9,93.1,fgd,4283,15656,1.037,engineering_estimate,IN-PMT-585576,in_compliance,0,2,513,58,esg_disclosure,1,low
2022,IN-FAC-0000022,landfill,PFCs,4957.7,90.5,low_nox_burner,8662,25761,0.725,cems,IN-PMT-274221,in_compliance,0,2,305,50,esg_disclosure,1,low
2024,IN-FAC-0000023,chemicals,CO2,2742.4,91.9,esp,563,26576,0.601,engineering_estimate,IN-PMT-770238,in_compliance,2,1,1099,54,cpcb_ghg_reporting,1,medium
2018,IN-FAC-0000024,brick_kiln,CO2,23792.0,33.3,oxidation_catalyst,2929,9017,0.275,third_party_audit,IN-PMT-548246,in_compliance,3,0,58,56,cpcb_ghg_reporting,0,low
2020,IN-FAC-0000025,cement,CH4,4563.1,96.9,esp,7696,37501,0.891,cems,IN-PMT-444581,in_compliance,0,2,470,72,spcb_inventory,0,medium
2015,IN-FAC-0000026,cement,CH4,2107.4,51.3,low_nox_burner,3045,37908,0.817,emission_factor,IN-PMT-292384,in_compliance,0,0,249,61,perform_achieve_trade,0,medium
2018,IN-FAC-0000027,cement,CO2,12609.0,65.3,scr,3899,5329,1.274,engineering_estimate,IN-PMT-368982,in_compliance,0,2,327,58,spcb_inventory,1,medium
2018,IN-FAC-0000028,brick_kiln,CO2,3724.8,55.4,none,2058,14169,0.505,engineering_estimate,IN-PMT-937867,in_compliance,1,2,648,36,esg_disclosure,0,low
2020,IN-FAC-0000029,chemicals,CO2,4124.0,38.9,fgd,6274,8190,0.838,third_party_audit,IN-PMT-295028,in_compliance,0,1,222,79,voluntary_program,0,medium
2022,IN-FAC-0000030,brick_kiln,CO2,14147.3,59.0,low_nox_burner,8237,18913,0.469,cems,IN-PMT-380181,in_compliance,0,3,669,51,cpcb_ghg_reporting,1,medium
2018,IN-FAC-0000031,brick_kiln,CH4,16069.8,74.8,fgd,5019,11954,1.421,engineering_estimate,IN-PMT-870321,in_compliance,0,0,242,50,cpcb_ghg_reporting,0,low
2018,IN-FAC-0000032,refinery,CH4,1562.4,69.2,none,4741,25760,0.724,third_party_audit,IN-PMT-381326,minor_violation,2,2,184,60,cpcb_ghg_reporting,0,medium
2017,IN-FAC-0000033,transport_hub,CO2,5540.3,65.0,baghouse,4029,7819,0.367,emission_factor,IN-PMT-255169,in_compliance,1,1,290,38,cpcb_ghg_reporting,1,medium
2025,IN-FAC-0000034,textiles,CO2,1409.1,34.6,scr,5317,31353,0.868,emission_factor,IN-PMT-955239,in_compliance,2,2,819,64,voluntary_program,1,high
2025,IN-FAC-0000035,transport_hub,CO2,3903.9,51.2,esp,2342,178663,0.913,third_party_audit,IN-PMT-274736,in_compliance,1,2,754,81,spcb_inventory,1,low
2022,IN-FAC-0000036,brick_kiln,CO2,2723.3,61.5,low_nox_burner,2454,28754,0.627,cems,IN-PMT-355262,minor_violation,0,1,376,42,cpcb_ghg_reporting,0,medium
2020,IN-FAC-0000037,steel,HFCs,17198.0,15.0,baghouse,8573,68769,0.843,engineering_estimate,IN-PMT-461053,in_compliance,0,0,508,53,esg_disclosure,0,high
2018,IN-FAC-0000038,brick_kiln,CO2,2010.8,70.1,oxidation_catalyst,8236,18300,0.494,third_party_audit,IN-PMT-803467,in_compliance,0,0,1615,43,esg_disclosure,0,medium
2019,IN-FAC-0000039,landfill,CO2,10349.0,65.5,low_nox_burner,2176,8597,0.655,third_party_audit,IN-PMT-415771,in_compliance,0,1,1014,58,spcb_inventory,1,medium
2016,IN-FAC-0000040,landfill,CO2,4457.8,90.9,oxidation_catalyst,5224,15651,0.655,third_party_audit,IN-PMT-683389,minor_violation,1,0,313,62,spcb_inventory,0,low
2023,IN-FAC-0000041,refinery,HFCs,1216.1,44.1,none,7179,35734,1.791,mass_balance,IN-PMT-383905,in_compliance,1,3,131,60,spcb_inventory,0,low
2022,IN-FAC-0000042,chemicals,CO2,2631.6,53.3,low_nox_burner,1437,21212,1.241,emission_factor,IN-PMT-617788,in_compliance,0,0,803,66,spcb_inventory,0,low
2016,IN-FAC-0000043,refinery,CO2,1638.8,54.9,oxidation_catalyst,5554,15931,0.85,mass_balance,IN-PMT-514351,in_compliance,1,0,362,27,voluntary_program,0,medium
2022,IN-FAC-0000044,cement,CO2,2646.7,72.1,none,5734,42278,0.792,third_party_audit,IN-PMT-829924,in_compliance,1,3,129,64,cpcb_ghg_reporting,0,medium
2020,IN-FAC-0000045,chemicals,CO2,2189.3,43.9,low_nox_burner,7457,20031,1.277,emission_factor,IN-PMT-539493,in_compliance,0,1,547,55,voluntary_program,0,low
2015,IN-FAC-0000046,power_plant,HFCs,4315.4,86.2,low_nox_burner,2878,5106,1.256,engineering_estimate,IN-PMT-968340,in_compliance,0,1,683,88,voluntary_program,0,high
2024,IN-FAC-0000047,cement,CO2,15654.0,49.4,esp,1927,37243,0.729,engineering_estimate,IN-PMT-898801,in_compliance,1,1,247,48,cpcb_ghg_reporting,0,medium
2018,IN-FAC-0000048,transport_hub,CO2,2561.7,60.7,esp,5142,26661,1.667,mass_balance,IN-PMT-917228,in_compliance,0,1,1476,84,voluntary_program,0,medium
2019,IN-FAC-0000049,chemicals,CO2,1934.5,37.1,esp,7104,59838,0.729,mass_balance,IN-PMT-119362,in_compliance,1,1,471,73,spcb_inventory,1,medium
2016,IN-FAC-0000050,other_industry,CO2,3279.8,26.2,scr,4562,30852,0.754,emission_factor,IN-PMT-174169,in_compliance,0,0,623,70,perform_achieve_trade,0,low
2024,IN-FAC-0000051,landfill,CH4,4437.5,52.1,oxidation_catalyst,2967,12631,1.047,engineering_estimate,IN-PMT-181795,in_compliance,0,3,214,53,esg_disclosure,1,high
2019,IN-FAC-0000052,brick_kiln,CH4,2756.2,33.6,esp,5993,28959,0.898,mass_balance,IN-PMT-449447,in_compliance,0,1,508,80,spcb_inventory,1,low
2015,IN-FAC-0000053,landfill,CO2,1644.3,29.5,fgd,513,19477,0.668,third_party_audit,IN-PMT-858197,in_compliance,0,1,349,35,spcb_inventory,1,high
2016,IN-FAC-0000054,cement,CH4,12743.5,54.1,esp,2462,25859,0.749,third_party_audit,IN-PMT-541674,in_compliance,1,2,2189,64,cpcb_ghg_reporting,0,high
2015,IN-FAC-0000055,landfill,HFCs,10685.1,21.5,low_nox_burner,6154,56290,0.633,mass_balance,IN-PMT-848568,in_compliance,0,2,336,87,perform_achieve_trade,0,medium
2025,IN-FAC-0000056,textiles,HFCs,5437.9,46.9,low_nox_burner,6099,15249,0.876,cems,IN-PMT-243762,in_compliance,0,2,425,46,cpcb_ghg_reporting,1,medium
2016,IN-FAC-0000057,landfill,CO2,27135.2,55.7,fgd,3555,16903,0.791,mass_balance,IN-PMT-182873,in_compliance,1,2,199,62,spcb_inventory,1,low
2025,IN-FAC-0000058,transport_hub,CO2,71203.8,81.8,baghouse,6928,2569,1.007,cems,IN-PMT-353243,in_compliance,1,1,1349,35,voluntary_program,1,low
2025,IN-FAC-0000059,landfill,CH4,22640.7,51.6,low_nox_burner,8693,98410,0.941,engineering_estimate,IN-PMT-891234,major_violation,0,0,334,87,esg_disclosure,0,medium
2016,IN-FAC-0000060,cement,CO2,732.7,64.8,other,8323,21764,0.543,mass_balance,IN-PMT-760329,in_compliance,0,1,177,47,esg_disclosure,0,medium
2021,IN-FAC-0000061,brick_kiln,CO2,8198.7,23.2,low_nox_burner,579,12619,0.68,engineering_estimate,IN-PMT-161859,in_compliance,0,2,761,50,spcb_inventory,0,low
2021,IN-FAC-0000062,transport_hub,CO2,2741.4,23.8,esp,8087,51351,1.235,mass_balance,IN-PMT-775008,in_compliance,0,1,786,41,cpcb_ghg_reporting,0,high
2021,IN-FAC-0000063,textiles,CO2,4196.5,76.6,esp,1598,69533,0.812,mass_balance,IN-PMT-161542,in_compliance,1,0,302,45,perform_achieve_trade,0,low
2016,IN-FAC-0000064,steel,CO2,1209.7,37.4,low_nox_burner,2215,5535,0.497,third_party_audit,IN-PMT-708826,in_compliance,0,1,199,47,perform_achieve_trade,0,medium
2017,IN-FAC-0000065,brick_kiln,CO2,7806.2,30.3,fgd,2853,12980,0.756,third_party_audit,IN-PMT-541833,in_compliance,0,3,441,60,spcb_inventory,0,low
2016,IN-FAC-0000066,landfill,CO2,33906.5,29.7,low_nox_burner,5051,28021,0.848,cems,IN-PMT-182402,in_compliance,0,1,329,48,perform_achieve_trade,0,high
2019,IN-FAC-0000067,refinery,CO2,5624.8,46.4,esp,813,8064,1.607,engineering_estimate,IN-PMT-112020,in_compliance,0,1,359,12,cpcb_ghg_reporting,1,low
2017,IN-FAC-0000068,chemicals,CO2,16577.9,71.0,oxidation_catalyst,3919,12987,0.719,emission_factor,IN-PMT-669866,in_compliance,0,2,659,61,perform_achieve_trade,0,medium
2024,IN-FAC-0000069,cement,CH4,8467.1,5.0,other,6747,6946,0.734,cems,IN-PMT-993229,minor_violation,0,1,744,84,cpcb_ghg_reporting,1,low
2020,IN-FAC-0000070,other_industry,CO2,12875.9,120.7,other,5392,22637,0.926,mass_balance,IN-PMT-963323,in_compliance,0,1,489,26,spcb_inventory,1,medium
2020,IN-FAC-0000071,transport_hub,CO2,620.4,56.6,esp,8374,9016,1.081,mass_balance,IN-PMT-367334,in_compliance,1,1,204,59,perform_achieve_trade,0,medium
2025,IN-FAC-0000072,landfill,HFCs,9242.9,33.3,none,5655,199860,1.546,third_party_audit,IN-PMT-343789,minor_violation,2,0,108,100,cpcb_ghg_reporting,0,medium
2019,IN-FAC-0000073,brick_kiln,CO2,14023.4,50.9,esp,761,102786,0.765,cems,IN-PMT-573428,in_compliance,0,2,458,46,voluntary_program,0,low
2016,IN-FAC-0000074,textiles,CO2,32976.4,30.7,none,7540,8155,0.781,mass_balance,IN-PMT-279461,in_compliance,0,0,110,52,perform_achieve_trade,1,medium
2022,IN-FAC-0000075,steel,CO2,1422.8,59.4,fgd,6722,4435,0.436,engineering_estimate,IN-PMT-838787,in_compliance,0,1,280,41,esg_disclosure,0,high
2020,IN-FAC-0000076,textiles,CO2,30979.4,34.8,low_nox_burner,4930,5818,0.407,emission_factor,IN-PMT-918144,minor_violation,0,3,563,73,perform_achieve_trade,0,low
2016,IN-FAC-0000077,textiles,CO2,4314.3,58.5,esp,1395,14192,0.861,emission_factor,IN-PMT-580902,minor_violation,0,1,555,68,perform_achieve_trade,1,high
2015,IN-FAC-0000078,textiles,HFCs,7250.4,42.8,baghouse,7411,25592,0.541,engineering_estimate,IN-PMT-624284,in_compliance,0,0,412,37,voluntary_program,0,high
2020,IN-FAC-0000079,brick_kiln,CO2,15426.5,69.7,oxidation_catalyst,4142,6589,0.308,cems,IN-PMT-532060,in_compliance,0,0,490,57,perform_achieve_trade,1,medium
2016,IN-FAC-0000080,textiles,CO2,15138.8,98.0,esp,4154,16856,0.591,cems,IN-PMT-552826,in_compliance,0,3,640,39,perform_achieve_trade,0,low
2018,IN-FAC-0000081,transport_hub,N2O,1071.8,37.2,scr,8349,17697,0.42,emission_factor,IN-PMT-255520,in_compliance,0,3,177,40,spcb_inventory,0,low
2018,IN-FAC-0000082,landfill,CO2,6741.5,53.8,none,5658,7324,0.828,emission_factor,IN-PMT-962888,in_compliance,0,1,226,39,spcb_inventory,1,medium
2023,IN-FAC-0000083,landfill,CH4,2081.1,71.6,other,6576,76222,0.408,engineering_estimate,IN-PMT-423929,in_compliance,0,2,666,44,cpcb_ghg_reporting,0,medium
2025,IN-FAC-0000084,landfill,CO2,6337.1,85.5,baghouse,1021,29139,0.716,emission_factor,IN-PMT-281283,in_compliance,1,0,583,40,esg_disclosure,0,low
2024,IN-FAC-0000085,steel,HFCs,3267.6,64.4,esp,7418,33060,1.016,engineering_estimate,IN-PMT-922456,in_compliance,0,3,363,54,perform_achieve_trade,1,high
2024,IN-FAC-0000086,brick_kiln,CO2,1141.0,36.2,scr,5610,194940,0.774,engineering_estimate,IN-PMT-532674,in_compliance,1,1,896,81,spcb_inventory,0,low
2021,IN-FAC-0000087,transport_hub,CO2,2179.5,24.9,fgd,8005,8200,0.819,third_party_audit,IN-PMT-657105,in_compliance,0,2,1232,39,cpcb_ghg_reporting,1,medium
2023,IN-FAC-0000088,refinery,CH4,10520.9,61.8,scr,8698,50406,0.437,third_party_audit,IN-PMT-399886,in_compliance,0,1,281,38,voluntary_program,0,low
2020,IN-FAC-0000089,refinery,CO2,8493.4,71.8,low_nox_burner,6553,98925,1.067,mass_balance,IN-PMT-434644,in_compliance,1,1,896,60,esg_disclosure,1,medium
2015,IN-FAC-0000090,transport_hub,CH4,1997.2,68.0,oxidation_catalyst,1370,86154,0.933,engineering_estimate,IN-PMT-605282,minor_violation,0,3,361,43,voluntary_program,0,medium
2025,IN-FAC-0000091,cement,CH4,3380.0,71.2,other,2279,39417,0.807,engineering_estimate,IN-PMT-970645,in_compliance,1,0,133,37,cpcb_ghg_reporting,1,medium
2024,IN-FAC-0000092,landfill,HFCs,7690.1,23.1,low_nox_burner,1392,4519,0.923,mass_balance,IN-PMT-310867,major_violation,0,1,523,56,voluntary_program,1,low
2022,IN-FAC-0000093,brick_kiln,HFCs,8031.9,40.7,fgd,3688,29820,0.793,third_party_audit,IN-PMT-157513,in_compliance,0,0,947,51,perform_achieve_trade,0,medium
2018,IN-FAC-0000094,textiles,CO2,11806.3,51.1,fgd,8606,13158,1.001,engineering_estimate,IN-PMT-803636,in_compliance,0,1,301,45,voluntary_program,0,high
2024,IN-FAC-0000095,chemicals,CO2,7564.6,61.1,fgd,653,26928,1.1,cems,IN-PMT-675645,in_compliance,0,0,1092,68,spcb_inventory,1,medium
2022,IN-FAC-0000096,other_industry,HFCs,10840.7,61.9,scr,4857,55635,0.716,emission_factor,IN-PMT-201116,in_compliance,1,1,403,45,spcb_inventory,0,medium
2017,IN-FAC-0000097,other_industry,CO2,5621.6,63.5,scr,4421,29964,0.69,emission_factor,IN-PMT-247006,minor_violation,0,2,770,72,voluntary_program,0,low
2025,IN-FAC-0000098,power_plant,CO2,9894.6,5.8,none,6445,7937,0.652,mass_balance,IN-PMT-721605,in_compliance,0,0,786,58,esg_disclosure,1,medium
2020,IN-FAC-0000099,transport_hub,CO2,29875.2,21.9,fgd,509,6306,0.603,third_party_audit,IN-PMT-270589,in_compliance,0,2,491,26,spcb_inventory,0,low
2018,IN-FAC-0000100,refinery,CH4,28902.8,56.3,scr,7996,10858,0.539,emission_factor,IN-PMT-223929,in_compliance,0,1,2073,59,voluntary_program,0,medium
2024,IN-FAC-0000101,other_industry,CH4,6227.4,58.8,low_nox_burner,3839,20134,0.832,mass_balance,IN-PMT-530853,in_compliance,1,0,1266,44,perform_achieve_trade,0,low
2018,IN-FAC-0000102,refinery,CO2,1862.5,51.1,esp,6664,75525,0.739,mass_balance,IN-PMT-449654,minor_violation,1,3,136,29,spcb_inventory,0,medium
2016,IN-FAC-0000103,steel,SF6,23025.6,65.1,baghouse,7965,27968,0.834,third_party_audit,IN-PMT-413222,in_compliance,0,4,109,52,spcb_inventory,0,medium
2025,IN-FAC-0000104,chemicals,CO2,572.7,71.4,fgd,2367,19709,0.994,third_party_audit,IN-PMT-104990,in_compliance,2,1,647,43,voluntary_program,1,low
2018,IN-FAC-0000105,brick_kiln,CO2,10098.6,27.2,low_nox_burner,6221,18320,0.953,cems,IN-PMT-438411,in_compliance,0,2,100,92,voluntary_program,0,medium
2015,IN-FAC-0000106,steel,CO2,9750.2,11.8,scr,4837,18539,1.304,mass_balance,IN-PMT-706611,in_compliance,0,1,455,45,voluntary_program,1,low
2015,IN-FAC-0000107,landfill,PFCs,6296.9,45.1,baghouse,8271,47130,0.865,mass_balance,IN-PMT-952426,minor_violation,0,1,986,56,esg_disclosure,0,low
2019,IN-FAC-0000108,cement,HFCs,8922.3,71.7,none,6284,8541,0.766,cems,IN-PMT-444197,in_compliance,0,1,683,37,spcb_inventory,0,medium
2015,IN-FAC-0000109,transport_hub,PFCs,1603.0,61.4,fgd,1178,61471,0.877,engineering_estimate,IN-PMT-244083,in_compliance,1,0,317,49,perform_achieve_trade,1,high
2017,IN-FAC-0000110,power_plant,PFCs,2098.9,47.9,scr,4795,43022,1.076,third_party_audit,IN-PMT-399697,in_compliance,0,1,1090,62,perform_achieve_trade,1,medium
2017,IN-FAC-0000111,textiles,N2O,1668.8,85.8,none,2225,17318,1.563,cems,IN-PMT-238461,in_compliance,0,0,402,97,cpcb_ghg_reporting,0,high
2024,IN-FAC-0000112,textiles,HFCs,1887.0,108.2,scr,3010,257671,0.967,emission_factor,IN-PMT-979535,in_compliance,0,1,495,57,voluntary_program,0,low
2018,IN-FAC-0000113,chemicals,CO2,2971.3,73.2,baghouse,1884,55506,0.914,mass_balance,IN-PMT-746135,in_compliance,0,2,380,24,cpcb_ghg_reporting,0,low
2015,IN-FAC-0000114,cement,CO2,5028.4,94.4,scr,1494,18619,1.217,mass_balance,IN-PMT-484416,in_compliance,0,0,718,80,cpcb_ghg_reporting,0,medium
2021,IN-FAC-0000115,brick_kiln,N2O,16277.3,17.5,baghouse,6311,43918,0.686,third_party_audit,IN-PMT-839534,in_compliance,0,1,218,69,esg_disclosure,1,low
2018,IN-FAC-0000116,other_industry,CH4,42455.1,58.2,low_nox_burner,5352,16717,0.817,engineering_estimate,IN-PMT-326783,in_compliance,0,0,429,2,esg_disclosure,0,medium
2021,IN-FAC-0000117,chemicals,N2O,2622.3,41.8,none,839,11246,0.957,engineering_estimate,IN-PMT-759381,minor_violation,1,2,696,24,voluntary_program,1,medium
2019,IN-FAC-0000118,refinery,CH4,5568.0,72.4,none,3095,14181,0.57,third_party_audit,IN-PMT-566023,in_compliance,1,0,1915,44,voluntary_program,1,medium
2015,IN-FAC-0000119,cement,CO2,6625.1,24.2,fgd,6020,21894,0.375,third_party_audit,IN-PMT-525600,minor_violation,1,1,734,35,voluntary_program,0,high
2025,IN-FAC-0000120,chemicals,N2O,2466.6,54.1,scr,1892,4813,1.066,engineering_estimate,IN-PMT-160569,in_compliance,0,1,107,50,perform_achieve_trade,1,medium
2018,IN-FAC-0000121,landfill,CH4,3780.0,39.2,esp,8728,6219,0.507,third_party_audit,IN-PMT-400147,in_compliance,0,2,696,42,voluntary_program,0,high
2019,IN-FAC-0000122,cement,CO2,32608.9,75.2,baghouse,6820,31507,1.19,engineering_estimate,IN-PMT-180611,in_compliance,0,2,325,69,perform_achieve_trade,0,low
2025,IN-FAC-0000123,transport_hub,CO2,19873.7,42.5,low_nox_burner,7756,15516,0.721,cems,IN-PMT-255098,minor_violation,2,1,811,71,cpcb_ghg_reporting,1,medium
2018,IN-FAC-0000124,steel,CO2,22481.5,16.1,oxidation_catalyst,8415,130617,0.793,mass_balance,IN-PMT-451861,in_compliance,1,1,179,30,voluntary_program,0,low
2021,IN-FAC-0000125,brick_kiln,CO2,10437.8,66.7,other,8328,40257,0.23,third_party_audit,IN-PMT-380144,in_compliance,0,0,246,89,spcb_inventory,0,medium
2015,IN-FAC-0000126,refinery,CH4,14021.1,76.5,other,5301,32711,0.997,emission_factor,IN-PMT-918491,in_compliance,0,2,398,78,perform_achieve_trade,0,low
2023,IN-FAC-0000127,brick_kiln,N2O,8634.2,32.8,esp,5630,33892,1.024,emission_factor,IN-PMT-875918,in_compliance,3,1,414,0,voluntary_program,0,high
2020,IN-FAC-0000128,cement,CO2,29684.9,71.8,other,4953,18723,1.034,emission_factor,IN-PMT-203061,in_compliance,0,1,818,36,perform_achieve_trade,0,medium
2022,IN-FAC-0000129,other_industry,CO2,324.4,57.6,fgd,3716,42383,1.129,engineering_estimate,IN-PMT-159161,in_compliance,0,2,782,31,perform_achieve_trade,1,medium
2022,IN-FAC-0000130,chemicals,CO2,2009.1,57.4,low_nox_burner,7634,21008,0.233,cems,IN-PMT-212264,in_compliance,0,0,233,35,voluntary_program,1,medium
2023,IN-FAC-0000131,cement,CH4,1368.6,5.0,baghouse,5574,29799,0.41,cems,IN-PMT-472768,in_compliance,0,0,1245,7,cpcb_ghg_reporting,0,medium
2019,IN-FAC-0000132,landfill,N2O,3034.0,83.7,low_nox_burner,2696,17943,0.387,third_party_audit,IN-PMT-422107,in_compliance,1,1,559,55,voluntary_program,0,medium
2022,IN-FAC-0000133,textiles,CO2,6328.6,63.8,none,4134,64143,0.709,cems,IN-PMT-376154,major_violation,0,2,232,38,cpcb_ghg_reporting,0,high
2022,IN-FAC-0000134,landfill,CO2,5197.3,61.9,oxidation_catalyst,2319,10839,0.542,emission_factor,IN-PMT-619690,in_compliance,0,3,101,62,cpcb_ghg_reporting,0,low
2020,IN-FAC-0000135,power_plant,N2O,2556.9,65.4,none,6274,3380,0.969,cems,IN-PMT-932402,in_compliance,0,1,1192,95,voluntary_program,0,low
2024,IN-FAC-0000136,chemicals,CO2,7111.1,61.1,low_nox_burner,6606,14197,0.843,third_party_audit,IN-PMT-959643,in_compliance,1,1,324,82,spcb_inventory,0,medium
2025,IN-FAC-0000137,refinery,CO2,8483.8,92.2,low_nox_burner,1522,86986,1.003,mass_balance,IN-PMT-107828,in_compliance,0,1,298,41,spcb_inventory,0,low
2022,IN-FAC-0000138,refinery,CO2,10185.5,82.6,fgd,1177,46709,1.027,emission_factor,IN-PMT-289185,in_compliance,0,2,802,51,cpcb_ghg_reporting,1,medium
2019,IN-FAC-0000139,transport_hub,N2O,12860.4,43.7,esp,2998,63864,0.148,engineering_estimate,IN-PMT-919210,minor_violation,0,0,201,64,perform_achieve_trade,1,medium
2025,IN-FAC-0000140,other_industry,CO2,3216.4,123.5,low_nox_burner,3051,24908,1.15,emission_factor,IN-PMT-718162,in_compliance,1,2,343,85,spcb_inventory,0,medium
2024,IN-FAC-0000141,other_industry,CO2,16341.9,74.3,none,7312,24951,0.712,third_party_audit,IN-PMT-267665,under_review,1,0,305,53,voluntary_program,0,low
2022,IN-FAC-0000142,refinery,HFCs,5584.1,103.8,scr,6398,12674,1.174,emission_factor,IN-PMT-618846,in_compliance,0,1,453,31,spcb_inventory,1,medium
2024,IN-FAC-0000143,power_plant,CO2,12746.0,60.6,low_nox_burner,3689,13228,0.321,cems,IN-PMT-802851,in_compliance,0,1,686,64,perform_achieve_trade,0,low
2017,IN-FAC-0000144,steel,CH4,3192.1,58.0,low_nox_burner,5722,22651,1.052,third_party_audit,IN-PMT-198183,under_review,0,0,847,29,spcb_inventory,0,medium
2018,IN-FAC-0000145,landfill,CO2,33402.1,24.0,fgd,1580,22459,0.878,third_party_audit,IN-PMT-131790,in_compliance,0,1,716,30,voluntary_program,0,high
2025,IN-FAC-0000146,other_industry,CH4,9940.3,10.7,fgd,8451,20145,1.388,mass_balance,IN-PMT-935848,in_compliance,0,1,1216,70,voluntary_program,0,medium
2017,IN-FAC-0000147,transport_hub,CO2,6718.3,55.5,none,3400,28875,0.906,emission_factor,IN-PMT-249223,in_compliance,0,0,288,75,cpcb_ghg_reporting,1,medium
2019,IN-FAC-0000148,cement,CO2,1785.1,46.5,fgd,6284,14986,1.174,emission_factor,IN-PMT-831305,in_compliance,1,0,619,82,esg_disclosure,0,low
