edu_k12out_school_year,edu_k12out_district_id_nces,edu_k12out_school_id_nces,edu_k12out_grade_level,edu_k12out_subject_area,edu_k12out_assessment_scale_score,edu_k12out_proficiency_level,edu_k12out_growth_percentile,edu_k12out_attendance_rate_pct,edu_k12out_chronic_absenteeism_rate,edu_k12out_graduation_cohort_year,edu_k12out_graduation_rate_pct,edu_k12out_dropout_rate_pct,edu_k12out_discipline_incident_rate,edu_k12out_special_education_share_pct,edu_k12out_ell_share_pct,edu_k12out_gifted_program_share_pct,edu_k12out_student_teacher_ratio,edu_k12out_per_pupil_spending,edu_k12out_accountability_rating_code
2024-25,1000083,20000083,7,ELA,259.3,ADVANCED,34,94.91,26.28,2018,93.28,9.5,23.73,17.15,6.0,12.31,24.66,27848,F
2019-20,1000084,20000084,9,SCIENCE,207.9,BELOW_BASIC,93,82.94,25.1,2018,62.86,2.34,17.5,13.0,22.15,11.9,15.74,19855,A
2021-22,1000085,20000085,10,ELA,279.9,BASIC,36,95.45,13.07,2017,65.35,1.01,9.44,11.37,8.25,17.56,20.33,14108,D
2022-23,1000086,20000086,9,SOCIAL_STUDIES,155.7,ADVANCED,14,83.91,13.89,2016,74.83,1.46,6.86,12.01,27.15,17.05,13.03,13132,D
2021-22,1000087,20000087,11,MATH,269.2,BASIC,58,98.82,33.39,2024,71.12,6.13,24.36,12.66,28.79,4.6,10.98,13712,B
2017-18,1000088,20000088,7,ELA,197.4,PROFICIENT,36,92.9,30.11,2023,83.61,3.06,2.39,19.59,3.98,7.87,13.15,19059,A
2021-22,1000089,20000089,4,SOCIAL_STUDIES,262.3,BELOW_BASIC,91,98.72,23.72,2017,67.85,3.91,8.35,6.16,1.29,6.17,17.84,10725,B
2018-19,1000090,20000090,7,ELA,335.3,PROFICIENT,47,91.19,4.48,2016,91.83,5.21,0.39,6.91,9.47,7.65,11.2,24454,D
2019-20,1000091,20000091,10,SCIENCE,259.3,BASIC,90,90.43,17.1,2020,86.26,0.11,18.12,8.2,14.14,0.59,24.97,28283,A
2024-25,1000092,20000092,10,SCIENCE,343.1,BELOW_BASIC,40,85.13,10.34,2019,92.89,9.2,15.27,12.1,35.55,17.04,10.62,22627,B
2017-18,1000093,20000093,3,MATH,217.9,BASIC,67,82.93,29.68,2021,69.83,3.78,20.0,20.55,6.59,13.95,21.64,12264,B
2023-24,1000094,20000094,1,ELA,311.4,PROFICIENT,57,84.72,18.52,2017,66.78,6.04,2.4,14.92,30.61,3.4,24.24,9193,A
2020-21,1000095,20000095,6,SCIENCE,294.4,BELOW_BASIC,93,83.13,29.62,2016,76.06,4.3,2.7,9.1,16.67,14.8,17.99,17162,B
2018-19,1000096,20000096,9,SCIENCE,191.5,ADVANCED,63,80.16,12.04,2016,60.56,6.25,10.28,6.64,26.24,5.38,23.78,28950,C
2023-24,1000097,20000097,11,SOCIAL_STUDIES,322.5,PROFICIENT,19,93.88,8.53,2017,97.71,2.09,19.86,16.62,21.73,2.55,10.35,25821,NA
2021-22,1000098,20000098,2,SOCIAL_STUDIES,338.4,BASIC,84,90.94,23.22,2019,61.68,8.13,14.76,15.43,33.7,13.45,21.88,13479,A
2023-24,1000099,20000099,8,SCIENCE,299.4,ADVANCED,94,91.8,14.11,2024,62.58,3.8,24.97,16.08,29.19,3.99,19.85,9216,NA
2017-18,1000100,20000100,10,ELA,201.3,PROFICIENT,60,82.14,24.42,2023,86.54,8.84,8.36,15.04,6.13,12.23,20.15,16600,D
2020-21,1000101,20000101,4,ELA,332.7,BASIC,49,84.24,9.66,2024,63.41,3.33,14.41,18.12,24.09,2.51,19.64,10426,B
2020-21,1000102,20000102,6,ELA,157.9,PROFICIENT,17,88.88,25.42,2020,96.39,9.55,8.87,8.57,18.07,12.59,17.18,13492,B
2017-18,1000103,20000103,4,SCIENCE,198.4,ADVANCED,53,82.0,11.66,2022,92.62,8.77,10.91,9.15,25.13,13.18,24.94,9424,C
2021-22,1000104,20000104,3,ELA,284.5,BASIC,61,82.9,27.45,2022,72.96,9.12,5.2,8.96,26.45,5.13,15.42,28214,A
2021-22,1000105,20000105,8,SCIENCE,207.2,ADVANCED,13,85.63,26.0,2024,69.85,8.98,24.21,12.66,2.84,15.78,13.13,13518,A
2020-21,1000106,20000106,11,MATH,262.0,BASIC,14,91.11,34.24,2019,70.02,4.52,12.42,13.37,27.1,1.12,23.26,30239,B
2020-21,1000107,20000107,K,SOCIAL_STUDIES,344.0,BELOW_BASIC,38,93.6,18.3,2025,75.15,8.56,8.3,14.43,14.75,9.43,17.57,15962,B
2019-20,1000108,20000108,11,MATH,311.0,BASIC,79,86.58,21.53,2021,87.47,9.92,22.66,18.85,6.5,4.61,19.49,25017,D
2018-19,1000109,20000109,7,ELA,254.2,PROFICIENT,28,85.25,23.16,2023,61.05,5.33,16.24,13.5,21.99,5.14,13.67,11015,C
2022-23,1000110,20000110,10,MATH,293.2,ADVANCED,31,90.55,25.09,2021,94.15,3.44,8.12,21.92,27.33,0.82,20.69,16485,NA
2024-25,1000111,20000111,11,MATH,302.8,BASIC,37,97.73,5.68,2016,90.27,0.37,23.37,10.25,5.73,8.57,21.92,30283,F
2022-23,1000112,20000112,10,SCIENCE,316.5,PROFICIENT,8,89.74,5.51,2017,94.02,9.93,19.94,9.75,26.13,13.69,25.11,28552,B
2023-24,1000113,20000113,K,ELA,272.4,PROFICIENT,12,87.98,24.13,2022,83.7,5.19,19.08,19.49,24.21,8.02,15.44,10544,B
2024-25,1000114,20000114,4,ELA,193.7,BASIC,24,94.83,5.44,2020,65.94,10.0,3.12,6.17,26.65,10.23,23.26,24135,A
2021-22,1000115,20000115,6,ELA,258.7,PROFICIENT,5,80.42,23.68,2017,94.82,8.38,23.43,19.37,32.82,2.24,16.51,16896,D
2018-19,1000116,20000116,7,SOCIAL_STUDIES,335.9,PROFICIENT,23,87.09,24.69,2021,66.06,7.8,0.15,7.06,14.61,5.56,17.17,16042,A
2024-25,1000117,20000117,8,SCIENCE,168.1,BELOW_BASIC,94,85.47,17.6,2020,93.6,10.08,20.08,21.76,22.79,11.31,25.57,9613,B
2017-18,1000118,20000118,8,ELA,332.1,BELOW_BASIC,39,90.77,12.3,2025,94.28,3.7,16.68,21.22,12.75,10.85,22.36,28772,B
2020-21,1000119,20000119,9,ELA,232.6,PROFICIENT,68,81.61,23.9,2021,79.95,5.26,5.2,16.21,4.22,15.42,16.66,22732,C
2022-23,1000120,20000120,10,SCIENCE,229.7,PROFICIENT,91,88.04,29.0,2020,91.72,2.5,6.77,7.42,1.29,10.22,20.05,18021,D
2018-19,1000121,20000121,8,SOCIAL_STUDIES,206.7,BELOW_BASIC,33,86.75,25.98,2016,86.45,0.77,6.2,10.33,18.77,3.41,25.63,19682,A
2022-23,1000122,20000122,K,MATH,197.6,PROFICIENT,54,91.51,4.38,2021,63.35,2.68,7.47,19.59,7.56,13.82,16.32,9468,C
2020-21,1000123,20000123,11,SCIENCE,243.1,BELOW_BASIC,86,89.63,16.05,2019,65.31,5.32,19.94,12.52,0.04,12.2,16.46,18079,D
2022-23,1000124,20000124,9,ELA,235.9,BELOW_BASIC,60,88.74,22.62,2022,91.82,8.42,3.82,12.23,10.21,13.52,23.7,10288,D
2018-19,1000125,20000125,3,ELA,333.1,ADVANCED,57,89.21,18.77,2021,65.18,1.13,12.02,10.86,17.27,17.7,18.77,12827,B
2019-20,1000126,20000126,4,SOCIAL_STUDIES,290.1,PROFICIENT,59,98.57,13.38,2018,83.71,5.87,19.84,7.99,4.08,5.95,17.88,15372,B
2022-23,1000127,20000127,9,MATH,221.4,PROFICIENT,59,87.26,20.1,2018,69.35,0.94,18.61,20.55,8.85,5.11,10.29,15795,C
2023-24,1000128,20000128,7,SOCIAL_STUDIES,334.5,PROFICIENT,62,94.4,10.7,2021,81.1,9.19,6.68,9.86,24.65,16.69,19.88,11235,A
2018-19,1000129,20000129,8,ELA,333.0,BELOW_BASIC,31,82.53,33.83,2019,67.65,6.25,24.21,13.88,5.02,11.84,11.99,24897,D
2022-23,1000130,20000130,10,SOCIAL_STUDIES,262.4,BASIC,22,98.73,29.74,2016,90.85,10.98,6.16,9.58,29.49,4.72,17.14,10931,B
2020-21,1000131,20000131,12,MATH,335.7,BASIC,33,83.39,25.16,2025,97.8,0.02,11.06,13.8,34.5,13.37,15.06,9429,A
2020-21,1000132,20000132,K,MATH,168.2,ADVANCED,58,97.22,18.45,2018,79.63,1.51,15.82,9.79,26.1,2.4,21.98,10231,A
2017-18,1000133,20000133,8,ELA,260.0,BELOW_BASIC,5,93.81,27.55,2024,78.94,7.89,16.83,9.96,16.36,1.34,25.82,23818,B
2020-21,1000134,20000134,6,ELA,263.4,PROFICIENT,38,87.69,25.7,2025,88.63,11.9,19.3,20.42,1.54,16.22,11.28,27801,B
2018-19,1000135,20000135,11,ELA,271.6,BASIC,51,86.55,28.92,2019,88.47,6.51,1.27,19.42,27.74,10.31,23.46,20771,A
2023-24,1000136,20000136,12,SOCIAL_STUDIES,293.2,ADVANCED,27,83.33,7.98,2023,87.29,3.32,7.46,19.01,15.69,17.27,15.44,17000,D
2024-25,1000137,20000137,5,SOCIAL_STUDIES,268.8,PROFICIENT,22,98.65,9.81,2023,93.02,6.07,4.58,21.08,33.15,0.06,14.15,16102,B
2021-22,1000138,20000138,9,SOCIAL_STUDIES,215.9,PROFICIENT,1,90.66,24.92,2018,79.86,4.99,8.96,16.29,17.22,15.12,14.48,21563,A
2023-24,1000139,20000139,5,ELA,229.6,BELOW_BASIC,61,94.7,10.44,2024,66.03,11.82,5.53,9.58,31.53,12.9,20.98,26134,C
2021-22,1000140,20000140,7,MATH,324.5,ADVANCED,53,85.56,6.06,2025,74.83,5.88,2.32,19.04,36.96,7.97,15.84,16294,C
2023-24,1000141,20000141,1,ELA,275.6,BASIC,10,90.41,17.48,2019,91.98,2.09,3.54,14.31,25.22,5.07,12.65,27813,F
2021-22,1000142,20000142,7,SOCIAL_STUDIES,314.5,BASIC,35,96.71,17.91,2018,88.93,1.05,1.46,17.71,34.11,17.86,11.9,27338,NA
2019-20,1000143,20000143,5,SCIENCE,201.9,PROFICIENT,9,81.57,19.16,2020,92.49,10.78,1.7,7.19,0.45,3.14,16.54,25887,A
2017-18,1000144,20000144,6,MATH,280.3,PROFICIENT,6,97.32,11.68,2025,86.53,2.03,24.39,11.32,12.76,15.17,17.33,28408,B
2023-24,1000145,20000145,6,SOCIAL_STUDIES,252.0,PROFICIENT,78,88.41,3.83,2021,86.79,8.64,24.76,9.5,11.59,6.39,14.74,31013,C
2023-24,1000146,20000146,1,MATH,173.3,BASIC,88,98.4,3.08,2019,75.96,5.86,0.98,11.95,32.23,12.17,10.08,25748,C
2021-22,1000147,20000147,6,ELA,307.8,ADVANCED,11,95.29,7.6,2025,76.12,11.75,20.27,14.59,20.82,16.84,16.27,8314,A
2017-18,1000148,20000148,8,SCIENCE,296.7,BELOW_BASIC,65,96.35,17.85,2017,88.72,10.95,21.55,18.81,2.39,0.34,13.5,14459,C
2021-22,1000149,20000149,1,SOCIAL_STUDIES,333.2,PROFICIENT,41,82.69,6.0,2017,74.35,1.1,3.65,19.83,20.57,13.79,17.55,14702,B
2024-25,1000150,20000150,5,ELA,242.5,PROFICIENT,9,86.68,24.44,2017,63.07,9.81,23.65,21.4,23.28,12.26,13.07,20549,NA
2017-18,1000151,20000151,4,MATH,217.2,BASIC,32,93.19,23.38,2025,75.03,9.69,18.24,17.44,11.42,6.58,14.46,10940,NA
2017-18,1000152,20000152,10,ELA,343.8,ADVANCED,6,93.81,12.74,2016,88.53,10.51,13.56,20.24,30.13,0.47,10.01,28449,B
2018-19,1000153,20000153,K,ELA,203.8,PROFICIENT,75,84.12,8.56,2016,79.18,8.62,0.66,10.21,16.42,17.82,21.93,17413,A
2023-24,1000154,20000154,8,MATH,322.7,BELOW_BASIC,82,89.97,17.06,2021,74.22,9.49,3.08,20.85,28.4,2.12,23.94,12607,B
2020-21,1000155,20000155,3,MATH,275.5,PROFICIENT,22,93.71,30.63,2025,95.14,9.85,6.74,16.94,22.71,7.53,20.84,14869,NA
2018-19,1000156,20000156,K,SOCIAL_STUDIES,215.0,BASIC,92,91.05,2.52,2019,88.05,4.64,4.28,8.9,13.9,7.17,12.1,26625,C
2018-19,1000157,20000157,2,SOCIAL_STUDIES,227.1,PROFICIENT,41,95.9,2.02,2021,93.44,5.84,0.38,13.27,21.11,13.52,14.0,22609,C
2021-22,1000158,20000158,K,SOCIAL_STUDIES,304.3,BASIC,66,96.38,24.8,2019,94.21,5.66,0.64,11.41,1.37,12.01,19.96,25346,C
2024-25,1000159,20000159,10,SOCIAL_STUDIES,227.9,PROFICIENT,32,93.88,24.74,2021,91.91,6.68,6.93,6.22,17.55,11.87,23.41,12261,B
2019-20,1000160,20000160,7,MATH,269.6,ADVANCED,45,96.13,5.19,2024,77.74,0.67,9.27,18.72,16.18,4.19,11.96,30123,C
2018-19,1000161,20000161,7,ELA,301.5,BASIC,92,91.55,26.73,2018,67.49,1.09,9.09,10.19,33.42,8.96,15.44,12907,A
2022-23,1000162,20000162,10,SCIENCE,275.4,BASIC,23,82.8,20.19,2023,64.23,11.01,17.94,18.47,34.91,7.51,25.25,16223,A
2021-22,1000163,20000163,7,SCIENCE,298.5,PROFICIENT,12,95.97,22.77,2018,77.06,0.12,21.95,20.3,33.7,4.12,20.38,29635,NA
2019-20,1000164,20000164,9,ELA,166.8,ADVANCED,3,81.8,32.03,2024,81.16,7.84,7.09,20.37,5.47,3.39,24.57,9714,F
2024-25,1000165,20000165,3,SCIENCE,333.6,PROFICIENT,44,82.56,30.24,2023,63.38,8.85,16.81,12.8,21.05,14.25,24.01,16909,B
2023-24,1000166,20000166,9,SCIENCE,230.2,BELOW_BASIC,66,91.47,13.92,2024,97.44,10.09,3.13,13.26,28.09,7.54,21.78,11397,C
2021-22,1000167,20000167,12,SOCIAL_STUDIES,254.3,BELOW_BASIC,66,93.58,22.83,2024,64.12,11.97,6.63,11.11,35.99,5.26,16.34,15041,A
2023-24,1000168,20000168,6,MATH,181.5,PROFICIENT,90,96.32,6.38,2021,84.87,2.9,20.72,20.41,13.63,3.42,22.17,26634,A
