ph_disease_report_week,ph_disease_country_iso2,ph_disease_region_nuts_code,ph_disease_pathogen_code,ph_disease_case_definition_code,ph_disease_cases_count,ph_disease_hospitalisations_count,ph_disease_icu_admissions_count,ph_disease_deaths_count,ph_disease_incidence_per_100k,ph_disease_test_positivity_pct,ph_disease_variant_lineage_code,ph_disease_vaccine_breakthrough_share_pct,ph_disease_outbreak_setting_code,ph_disease_contact_tracing_coverage_pct,ph_disease_time_to_report_days_median,ph_disease_ecdc_dataset_code,ph_disease_data_quality_flag,ph_disease_revision_round,ph_disease_data_extract_date
2015-W42,HR,LV2,RSV,CONFIRMED,3311,188,19,3,90.272,22.36,BA_2,12.92,CARE_HOME,54.45,5.69,ECDC_AMR,IMPUTED,BENCHMARK,2025-07-02
2015-W43,DE,PL6,NOROVIRUS,PROBABLE,94,12,0,0,75.408,7.13,RSV_B,10.1,HOSPITAL,68.86,15.58,ECDC_VPD,CHECK,SECOND,2024-06-07
2015-W44,LU,SE19,MEASLES,POSSIBLE,621,19,3,0,85.434,12.15,FLU_H3N2,10.34,COMMUNITY,87.09,10.43,ECDC_TESSy,OK,FIRST,2024-02-01
2015-W45,SI,CY38,PERTUSSIS,CONFIRMED,3368,246,28,6,65.77,10.04,BA_5,3.44,TRAVEL_RELATED,65.94,7.21,ECDC_FOODBORNE,REVISED,FLASH,2025-04-17
2015-W46,CY,HU677,TB,PROBABLE,2157,432,109,8,78.256,13.3,OTHER,2.56,FOODBORNE,74.71,6.09,ECDC_RESPIRATORY,PARTIAL,BENCHMARK,2025-02-24
2015-W47,GR,BE3,SALMONELLA,POSSIBLE,2723,124,28,4,79.088,1.94,FLU_H1N1,11.26,UNKNOWN,48.52,1.31,ECDC_AMR,IMPUTED,SECOND,2024-07-19
2015-W48,MT,GR901,LISTERIA,CONFIRMED,1795,130,8,0,233.755,3.52,XBB_1_5,10.58,HOUSEHOLD,68.61,8.8,ECDC_VPD,CHECK,FIRST,2024-10-19
2015-W49,ES,LU5,SARS_COV_2,PROBABLE,65,8,1,0,60.079,26.26,NONE,22.62,SCHOOL,64.01,11.26,ECDC_TESSy,OK,FLASH,2025-10-26
2015-W50,CZ,SE2,INFLUENZA_A,POSSIBLE,34,2,0,0,8.92,28.86,RSV_A,1.02,WORKPLACE,60.09,6.86,ECDC_FOODBORNE,REVISED,BENCHMARK,2024-05-23
2015-W51,HU,LT183,INFLUENZA_B,CONFIRMED,491,70,5,0,168.422,26.87,JN_1,9.27,CARE_HOME,43.42,7.75,ECDC_RESPIRATORY,PARTIAL,SECOND,2024-12-13
2015-W52,NL,LT760,RSV,PROBABLE,2787,425,101,20,161.913,1.05,BA_2,10.76,HOSPITAL,70.13,11.53,ECDC_AMR,IMPUTED,FIRST,2025-01-24
2016-W01,SE,CZ46,NOROVIRUS,POSSIBLE,5553,416,32,4,66.296,4.09,RSV_B,11.62,COMMUNITY,82.02,4.73,ECDC_VPD,CHECK,FLASH,2024-05-25
2016-W02,DK,DK898,MEASLES,CONFIRMED,3048,454,41,2,52.67,16.17,FLU_H3N2,10.96,TRAVEL_RELATED,17.4,4.14,ECDC_TESSy,OK,BENCHMARK,2025-07-05
2016-W03,IE,BG387,PERTUSSIS,PROBABLE,412,63,14,2,107.507,18.84,BA_5,12.31,FOODBORNE,73.06,4.58,ECDC_FOODBORNE,REVISED,SECOND,2025-01-07
2016-W04,PL,DE9,TB,POSSIBLE,247,38,14,3,16.508,14.93,OTHER,10.63,UNKNOWN,66.33,9.61,ECDC_RESPIRATORY,PARTIAL,FIRST,2024-02-05
2016-W05,AT,AT87,SALMONELLA,CONFIRMED,2182,280,23,5,251.765,3.77,FLU_H1N1,13.73,HOUSEHOLD,31.39,4.61,ECDC_AMR,IMPUTED,FLASH,2024-05-20
2016-W06,EE,DK35,LISTERIA,PROBABLE,5016,397,92,23,220.373,19.01,XBB_1_5,5.73,SCHOOL,98.29,11.94,ECDC_VPD,CHECK,BENCHMARK,2025-01-29
2016-W07,IT,SE357,SARS_COV_2,POSSIBLE,2940,162,13,2,6.007,18.7,NONE,8.62,WORKPLACE,87.9,3.67,ECDC_TESSy,OK,SECOND,2024-09-05
2016-W08,PT,BE28,INFLUENZA_A,CONFIRMED,1418,153,20,2,330.301,17.43,RSV_A,1.61,CARE_HOME,32.08,16.38,ECDC_FOODBORNE,REVISED,FIRST,2025-05-20
2016-W09,BE,DE305,INFLUENZA_B,PROBABLE,3555,566,91,14,143.036,28.93,JN_1,5.1,HOSPITAL,71.94,6.31,ECDC_RESPIRATORY,PARTIAL,FLASH,2025-07-29
2016-W10,FI,GR6,RSV,POSSIBLE,124,5,0,0,68.93,21.0,BA_2,3.24,COMMUNITY,64.97,6.2,ECDC_AMR,IMPUTED,BENCHMARK,2024-11-18
2016-W11,LV,CZ146,NOROVIRUS,CONFIRMED,2799,395,29,2,176.973,21.15,RSV_B,5.16,TRAVEL_RELATED,54.58,5.87,ECDC_VPD,CHECK,SECOND,2025-03-12
2016-W12,RO,ES388,MEASLES,PROBABLE,4028,570,106,17,23.609,16.47,FLU_H3N2,13.1,FOODBORNE,24.74,9.68,ECDC_TESSy,OK,FIRST,2025-02-06
2016-W13,BG,LT68,PERTUSSIS,POSSIBLE,2455,125,16,2,97.83,20.04,BA_5,11.65,UNKNOWN,40.53,6.34,ECDC_FOODBORNE,REVISED,FLASH,2026-02-23
2016-W14,FR,SI51,TB,CONFIRMED,1817,268,91,10,122.183,13.35,OTHER,7.59,HOUSEHOLD,24.72,2.94,ECDC_RESPIRATORY,PARTIAL,BENCHMARK,2024-02-17
2016-W15,LT,DK413,SALMONELLA,PROBABLE,3949,307,26,6,62.894,0.81,FLU_H1N1,9.5,SCHOOL,44.03,9.34,ECDC_AMR,IMPUTED,SECOND,2026-01-29
2016-W16,SK,RO680,LISTERIA,POSSIBLE,2279,246,61,14,121.239,17.23,XBB_1_5,4.99,WORKPLACE,19.33,2.87,ECDC_VPD,CHECK,FIRST,2024-07-03
2016-W17,HR,LT66,SARS_COV_2,CONFIRMED,175,16,5,0,58.805,13.77,NONE,48.08,CARE_HOME,63.25,3.51,ECDC_TESSy,OK,FLASH,2025-10-10
2016-W18,DE,IE10,INFLUENZA_A,PROBABLE,4079,467,46,7,7.783,12.04,RSV_A,6.93,HOSPITAL,18.54,5.72,ECDC_FOODBORNE,REVISED,BENCHMARK,2025-05-25
2016-W19,LU,NL663,INFLUENZA_B,POSSIBLE,70,5,0,0,46.541,25.27,JN_1,6.6,COMMUNITY,22.54,2.04,ECDC_RESPIRATORY,PARTIAL,SECOND,2024-05-28
2016-W20,SI,BG608,RSV,CONFIRMED,4355,272,41,9,235.756,3.02,BA_2,5.3,TRAVEL_RELATED,36.85,10.24,ECDC_AMR,IMPUTED,FIRST,2024-01-27
2016-W21,CY,SE63,NOROVIRUS,PROBABLE,4143,471,114,5,103.934,8.57,RSV_B,10.42,FOODBORNE,77.59,11.61,ECDC_VPD,CHECK,FLASH,2025-06-04
2016-W22,GR,LT85,MEASLES,POSSIBLE,3234,445,95,4,149.977,4.18,FLU_H3N2,8.78,UNKNOWN,32.06,2.42,ECDC_TESSy,OK,BENCHMARK,2025-10-12
2016-W23,MT,BG322,PERTUSSIS,CONFIRMED,1195,108,26,2,44.041,5.64,BA_5,4.1,HOUSEHOLD,19.27,12.14,ECDC_FOODBORNE,REVISED,SECOND,2026-01-08
2016-W24,ES,LU2,TB,PROBABLE,711,45,6,1,151.268,18.61,OTHER,12.06,SCHOOL,56.7,9.3,ECDC_RESPIRATORY,PARTIAL,FIRST,2025-09-15
2016-W25,CZ,MT496,SALMONELLA,POSSIBLE,2442,191,36,3,169.417,10.46,FLU_H1N1,1.48,WORKPLACE,26.66,1.63,ECDC_AMR,IMPUTED,FLASH,2025-04-18
2016-W26,HU,PL117,LISTERIA,CONFIRMED,2531,100,20,1,142.387,19.89,XBB_1_5,8.65,CARE_HOME,69.46,5.66,ECDC_VPD,CHECK,BENCHMARK,2025-08-05
2016-W27,NL,FR308,SARS_COV_2,PROBABLE,214,12,3,0,141.872,13.86,NONE,19.81,HOSPITAL,42.17,12.27,ECDC_TESSy,OK,SECOND,2025-11-30
2016-W28,SE,GR355,INFLUENZA_A,POSSIBLE,1364,60,7,1,120.345,8.42,RSV_A,8.08,COMMUNITY,12.11,8.3,ECDC_FOODBORNE,REVISED,FIRST,2024-12-21
2016-W29,DK,ES674,INFLUENZA_B,CONFIRMED,446,67,10,1,78.519,11.51,JN_1,8.56,TRAVEL_RELATED,72.54,9.34,ECDC_RESPIRATORY,PARTIAL,FLASH,2025-06-26
