env_hazard_event_start_date,env_hazard_event_end_date,env_hazard_hazard_type_code,env_hazard_ndma_disaster_number,env_hazard_impact_area_polygon_id,env_hazard_fatalities_direct,env_hazard_fatalities_indirect,env_hazard_injuries_reported,env_hazard_property_damage_inr,env_hazard_crop_damage_inr,env_hazard_insured_loss_inr,env_hazard_evacuation_order_flag,env_hazard_power_outage_customers_peak,env_hazard_shelter_population_peak,env_hazard_flood_depth_max_ft,env_hazard_wind_gust_max_kmph,env_hazard_drought_severity_index,env_hazard_heat_index_max_f,env_hazard_snowfall_total_in,env_hazard_event_narrative_code
2016-01-28,2016-02-03,flood,NDMA-4217-23,IN-POLY-00000031,0,0,15,3739460,982017,895025,0,225177,1318,2.0,32,4.5,102,3.0,state_relief_note
2022-10-18,2022-11-05,heatwave,NDMA-5424-45,IN-POLY-00000032,1,0,12,762005,764972,132135,0,318249,1535,7.6,73,1.79,94,0.7,impact_brief_b
2010-03-09,2010-03-22,flood,NDMA-5174-96,IN-POLY-00000033,0,0,6,2648077,3927824,481121,0,50307,3654,3.5,65,4.61,122,4.5,media_digest
2018-09-13,2018-09-15,flood,NDMA-5832-88,IN-POLY-00000034,2,1,12,2520526,1693084,216917,0,88948,15895,3.6,136,0.0,110,0.6,impact_brief_a
2010-01-05,2010-01-06,cyclone,NDMA-2335-67,IN-POLY-00000035,0,0,13,2452418,3356095,707410,0,104193,45166,6.0,122,0.87,107,3.4,ndma_sitrep
2011-07-27,2011-08-06,landslide,NDMA-1407-87,IN-POLY-00000036,2,0,8,46765338,3808619,7493252,1,203198,5766,2.8,60,2.2,102,8.9,state_relief_note
2012-04-07,2012-04-26,cloudburst,NDMA-9334-58,IN-POLY-00000037,1,1,8,4279321,945241,589081,0,202659,1589,7.0,85,1.26,102,1.2,impact_brief_a
2022-11-29,2022-12-07,heatwave,NDMA-9081-91,IN-POLY-00000038,2,0,14,4199687,682001,432919,1,397794,3516,5.6,131,0.0,118,0.0,ndma_sitrep
2024-01-03,2024-01-13,wildfire,NDMA-8164-31,IN-POLY-00000039,5,1,13,3455839,3815817,781016,0,166345,28270,4.3,41,0.48,84,4.3,impact_brief_a
2015-07-18,2015-07-22,cloudburst,NDMA-4468-80,IN-POLY-00000040,0,0,7,8404825,1653604,1782742,0,221540,13954,2.6,76,0.7,115,4.6,impact_brief_b
2010-11-11,2010-11-15,heatwave,NDMA-9832-11,IN-POLY-00000041,1,0,12,2753131,553750,972726,0,258995,4040,1.1,113,2.37,100,0.6,ndma_sitrep
2017-12-04,2017-12-19,flood,NDMA-1220-37,IN-POLY-00000042,1,2,18,17077536,2372454,3714347,0,69714,16098,2.3,113,1.58,105,1.9,rapid_assessment
2022-02-09,2022-02-21,cyclone,NDMA-3166-13,IN-POLY-00000043,0,3,17,3785746,5786250,1619802,1,60805,14134,4.3,52,2.34,121,1.3,ndma_sitrep
2015-09-18,2015-10-07,cyclone,NDMA-3553-54,IN-POLY-00000044,1,0,14,8024600,1687004,1846352,0,24142,10858,4.2,114,3.53,125,0.0,impact_brief_a
2021-01-26,2021-01-29,heatwave,NDMA-8438-11,IN-POLY-00000045,1,1,9,392209,619738,100129,0,190083,1198,2.3,25,3.21,117,3.4,state_relief_note
2016-09-22,2016-09-27,drought,NDMA-7963-30,IN-POLY-00000046,3,0,10,522508,4152841,218325,0,95097,12905,5.3,117,3.62,100,1.0,ndma_sitrep
2023-05-03,2023-05-15,drought,NDMA-2858-77,IN-POLY-00000047,2,0,11,679164,9585822,64664,0,103139,5383,0.7,124,2.49,98,7.2,state_relief_note
2016-03-29,2016-03-30,heatwave,NDMA-5324-86,IN-POLY-00000048,2,0,17,3870085,224097,779490,0,8445,11693,8.1,102,1.73,128,4.3,impact_brief_b
2017-03-17,2017-03-21,flood,NDMA-6195-64,IN-POLY-00000049,2,1,11,1331151,1446954,163845,0,446236,4415,7.5,120,0.35,91,4.1,impact_brief_b
2022-03-24,2022-03-29,cyclone,NDMA-6950-41,IN-POLY-00000050,3,0,16,697733,180203,184792,1,66515,29862,1.1,86,1.49,96,3.5,ndma_sitrep
2015-12-30,2016-01-01,heatwave,NDMA-5943-12,IN-POLY-00000051,1,0,12,2967981,556317,1129369,0,104665,11641,5.3,66,1.78,109,1.9,state_relief_note
2019-10-03,2019-10-06,drought,NDMA-1536-93,IN-POLY-00000052,1,0,12,2963474,1222640,1204643,0,50887,6891,6.1,118,2.35,118,0.6,impact_brief_b
2024-10-19,2024-11-03,flood,NDMA-7850-84,IN-POLY-00000053,0,0,15,3009613,2885603,197351,0,5609,3963,4.9,147,2.14,100,1.9,impact_brief_b
2013-03-04,2013-03-06,flood,NDMA-8512-13,IN-POLY-00000054,3,2,14,3777176,1288776,756138,0,19628,3297,3.0,66,3.85,100,0.3,impact_brief_a
2021-10-06,2021-10-11,flood,NDMA-3269-11,IN-POLY-00000055,4,2,15,2934180,10275744,586760,0,400333,37093,6.6,106,3.89,96,7.9,rapid_assessment
2015-12-13,2015-12-30,heatwave,NDMA-9391-72,IN-POLY-00000056,0,0,10,18975226,780431,6508654,1,115023,8231,5.2,16,0.73,108,0.4,impact_brief_a
2021-10-04,2021-10-18,landslide,NDMA-6421-70,IN-POLY-00000057,1,0,17,11017909,3195590,4202921,0,66359,18488,4.0,100,2.02,102,0.1,ndma_sitrep
2021-06-25,2021-07-06,earthquake,NDMA-8555-59,IN-POLY-00000058,0,1,15,10233537,2191174,1887032,1,9766,1606,4.8,31,3.1,93,0.0,impact_brief_a
2018-12-18,2018-12-26,landslide,NDMA-4312-25,IN-POLY-00000059,0,1,13,1316187,8805871,313301,0,170220,29304,2.4,106,0.42,119,4.3,ndma_sitrep
2016-04-24,2016-05-06,landslide,NDMA-2062-96,IN-POLY-00000060,2,0,13,9799580,539878,825733,0,236524,7211,1.3,135,1.93,118,1.3,media_digest
2011-10-13,2011-10-31,flood,NDMA-9954-28,IN-POLY-00000061,2,0,11,228155,971607,19240,0,128536,12676,1.9,109,4.37,117,0.5,rapid_assessment
2014-07-31,2014-08-04,wildfire,NDMA-5569-91,IN-POLY-00000062,2,0,12,5261134,357124,1794776,0,45960,6951,1.5,110,2.96,96,3.7,rapid_assessment
2018-10-11,2018-10-19,flood,NDMA-9242-23,IN-POLY-00000063,1,0,15,7481521,1168385,2848549,0,131097,2770,4.0,76,0.33,119,1.9,impact_brief_a
2014-12-11,2014-12-12,heatwave,NDMA-4594-65,IN-POLY-00000064,2,0,16,26799253,1173982,4305828,0,89545,83903,5.5,81,3.34,101,2.2,media_digest
2015-08-26,2015-08-31,flood,NDMA-3278-74,IN-POLY-00000065,2,1,16,2219573,3403922,606949,0,397849,13983,5.7,114,1.7,105,2.0,impact_brief_a
2020-01-09,2020-01-17,drought,NDMA-6661-30,IN-POLY-00000066,3,1,14,1395020,940857,367367,0,454615,10690,6.6,63,1.17,107,5.7,impact_brief_a
2022-07-22,2022-07-30,flood,NDMA-4786-12,IN-POLY-00000067,2,0,18,336378,1251876,135721,0,552573,7925,3.6,102,3.36,113,1.1,ndma_sitrep
2022-07-12,2022-07-22,drought,NDMA-1746-41,IN-POLY-00000068,0,1,11,904557,770305,70558,0,293772,5929,2.0,88,3.27,106,7.4,media_digest
2014-02-09,2014-02-19,flood,NDMA-4839-66,IN-POLY-00000069,1,0,7,1890331,1131888,570622,0,165611,60618,5.6,109,0.42,107,0.4,impact_brief_a
2024-07-05,2024-07-12,flood,NDMA-9899-95,IN-POLY-00000070,1,1,13,3435990,781108,615036,0,42849,27958,4.3,78,2.37,98,2.3,state_relief_note
2024-08-19,2024-09-05,landslide,NDMA-3872-32,IN-POLY-00000071,0,0,12,857855,1909888,306029,0,94008,11412,3.2,123,3.05,106,3.2,state_relief_note
2020-12-16,2020-12-23,cyclone,NDMA-2507-24,IN-POLY-00000072,2,0,8,2854460,6548252,313385,0,91056,4310,3.9,79,0.0,98,2.5,impact_brief_a
2020-02-16,2020-02-21,wildfire,NDMA-3878-29,IN-POLY-00000073,2,1,12,2675231,367503,873155,1,117363,2638,3.2,108,2.6,102,6.7,impact_brief_a
2025-11-11,2025-11-13,flood,NDMA-4240-56,IN-POLY-00000074,1,0,11,2523088,171110,1010673,0,578834,4143,0.5,61,0.12,122,0.6,rapid_assessment
2013-02-14,2013-03-02,heatwave,NDMA-6637-75,IN-POLY-00000075,1,2,9,3871942,1344695,1482677,0,578752,9034,6.7,62,1.83,108,3.5,impact_brief_a
2024-10-04,2024-10-08,cold_wave,NDMA-6547-28,IN-POLY-00000076,0,0,14,8572507,871080,3693934,1,28426,6065,2.4,61,1.52,112,1.5,media_digest
2025-01-22,2025-02-11,heatwave,NDMA-2309-98,IN-POLY-00000077,0,0,15,5317662,208662,534051,0,65797,15707,3.9,93,0.0,107,0.8,ndma_sitrep
2021-06-19,2021-06-24,cyclone,NDMA-4873-63,IN-POLY-00000078,3,0,16,8624841,619314,2604580,0,39524,9758,3.4,108,0.55,121,0.1,media_digest
2014-07-03,2014-07-16,cloudburst,NDMA-9786-37,IN-POLY-00000079,1,2,7,2738963,945691,213298,0,158517,9776,0.8,102,0.91,83,0.4,state_relief_note
2024-05-27,2024-06-15,heatwave,NDMA-6689-23,IN-POLY-00000080,1,1,11,1148047,92124,300971,0,279544,1923,4.9,114,2.53,106,0.7,ndma_sitrep
2016-02-18,2016-02-25,drought,NDMA-2914-20,IN-POLY-00000081,0,0,17,4741818,256255,1122747,1,263786,5666,6.8,26,2.04,109,2.4,impact_brief_a
2010-09-04,2010-09-23,cold_wave,NDMA-9104-78,IN-POLY-00000082,0,2,11,7629551,1357253,950238,0,226340,18470,1.0,95,3.22,110,7.9,ndma_sitrep
2017-06-27,2017-07-01,flood,NDMA-4406-31,IN-POLY-00000083,1,0,13,6287201,336688,482615,0,14203,28144,6.7,33,2.36,101,0.9,rapid_assessment
2018-10-17,2018-11-01,heatwave,NDMA-5292-88,IN-POLY-00000084,1,0,12,2222169,15561628,895223,0,53166,7783,5.0,75,0.75,101,0.2,rapid_assessment
2019-07-21,2019-08-08,drought,NDMA-9132-85,IN-POLY-00000085,0,0,13,979202,1831630,282105,0,73899,29273,6.8,93,0.25,112,1.1,ndma_sitrep
2026-01-01,2026-01-08,heatwave,NDMA-4857-59,IN-POLY-00000086,1,0,19,2282659,2134489,538023,0,774859,37808,2.5,112,1.03,135,13.6,state_relief_note
2011-11-15,2011-11-30,drought,NDMA-1450-38,IN-POLY-00000087,1,0,10,13890773,537451,3046712,1,32540,24636,1.1,89,2.3,100,3.8,impact_brief_b
2018-05-13,2018-05-22,landslide,NDMA-7420-48,IN-POLY-00000088,2,1,14,4108264,2164310,1257958,0,86293,129062,2.9,123,3.45,116,0.4,impact_brief_a
2025-07-31,2025-08-12,cyclone,NDMA-1328-34,IN-POLY-00000089,1,1,15,1873965,522185,342260,1,53930,3720,3.8,91,4.06,94,0.5,media_digest
2013-11-14,2013-11-21,cyclone,NDMA-6455-27,IN-POLY-00000090,2,1,13,798543,2059873,271832,0,15702,9322,2.8,116,2.79,79,2.3,media_digest
2023-07-29,2023-08-11,flood,NDMA-9680-65,IN-POLY-00000091,3,0,12,5658355,3289780,714777,0,26663,9068,3.3,83,2.03,96,0.5,ndma_sitrep
2025-05-11,2025-05-18,cloudburst,NDMA-6616-70,IN-POLY-00000092,0,1,12,1981280,827338,267388,0,27133,993,4.6,54,0.81,108,14.5,state_relief_note
2019-12-03,2019-12-22,flood,NDMA-1233-19,IN-POLY-00000093,0,0,12,2732405,868238,1126017,1,106943,9433,2.9,64,0.92,112,4.1,rapid_assessment
2017-01-08,2017-01-22,heatwave,NDMA-2076-35,IN-POLY-00000094,0,0,13,620465,2041015,117586,1,140965,11314,7.4,136,0.99,95,0.1,media_digest
2023-01-08,2023-01-19,heatwave,NDMA-5274-38,IN-POLY-00000095,2,0,10,4022699,108885,1442379,0,128468,2234,3.2,3,0.61,105,0.9,state_relief_note
2013-01-10,2013-01-20,flood,NDMA-6080-34,IN-POLY-00000096,1,0,4,3615969,3470769,242846,0,257707,8329,5.0,46,0.0,98,0.8,ndma_sitrep
2010-07-24,2010-07-30,heatwave,NDMA-1331-69,IN-POLY-00000097,2,0,11,2128571,1973516,528732,0,33929,24045,2.6,56,2.57,92,4.3,impact_brief_a
2010-03-03,2010-03-06,flood,NDMA-2047-13,IN-POLY-00000098,0,1,13,2806431,110349,642999,0,31959,74415,1.3,93,2.22,91,1.3,rapid_assessment
2015-08-24,2015-09-10,landslide,NDMA-3068-65,IN-POLY-00000099,1,0,14,7135537,1177367,560695,1,35441,1948,3.9,66,3.23,113,0.9,ndma_sitrep
2011-01-12,2011-01-23,earthquake,NDMA-1066-71,IN-POLY-00000100,0,0,9,5921693,479504,1984112,0,41524,88399,5.2,116,1.8,90,2.8,state_relief_note
2010-08-12,2010-08-16,heatwave,NDMA-4790-22,IN-POLY-00000101,3,0,15,2897614,495092,524771,0,213304,24175,2.9,35,2.58,114,4.5,state_relief_note
2023-10-04,2023-10-13,heatwave,NDMA-4750-49,IN-POLY-00000102,1,1,11,21917192,1750787,7991548,0,63963,45126,0.0,61,3.57,117,8.1,state_relief_note
2024-12-01,2024-12-10,flood,NDMA-2545-87,IN-POLY-00000103,2,1,12,1932490,798561,290728,0,68972,20729,2.4,31,1.78,87,5.0,state_relief_note
2024-02-08,2024-02-11,cyclone,NDMA-2265-52,IN-POLY-00000104,5,3,9,645909,216587,111960,0,54856,24013,3.6,76,2.24,114,3.1,media_digest
2016-06-11,2016-06-19,heatwave,NDMA-5319-78,IN-POLY-00000105,2,0,9,4852376,84191,461697,0,32013,20324,2.4,66,0.98,100,1.2,rapid_assessment
2010-05-16,2010-05-19,heatwave,NDMA-8848-65,IN-POLY-00000106,0,0,14,1026452,2741295,136019,0,28828,4451,4.2,75,0.59,98,1.8,impact_brief_b
2017-06-04,2017-06-15,heatwave,NDMA-5683-84,IN-POLY-00000107,0,1,13,20609938,2096992,8895637,1,52488,13292,3.7,116,2.3,103,2.0,ndma_sitrep
2013-02-02,2013-02-21,flood,NDMA-6474-93,IN-POLY-00000108,3,1,14,11729761,155975,3531431,0,60210,42693,5.0,80,1.88,103,1.9,impact_brief_b
2013-10-26,2013-11-01,flood,NDMA-1039-65,IN-POLY-00000109,1,1,10,777889,291761,291259,0,153064,9458,3.7,49,1.61,104,8.8,ndma_sitrep
2014-11-16,2014-11-26,heatwave,NDMA-3123-44,IN-POLY-00000110,0,0,8,2749361,2790175,246805,0,74338,19461,2.3,152,1.74,93,3.7,impact_brief_a
2013-04-06,2013-04-08,cyclone,NDMA-9263-91,IN-POLY-00000111,1,0,17,1127400,1718746,270808,1,241257,31778,4.6,79,0.82,112,0.2,ndma_sitrep
2015-07-13,2015-07-20,flood,NDMA-7516-89,IN-POLY-00000112,2,4,16,1198203,7081918,63985,0,98300,5882,3.0,111,0.27,118,2.3,state_relief_note
2020-11-29,2020-12-18,drought,NDMA-3823-88,IN-POLY-00000113,0,1,15,2350298,601740,198678,0,105932,12178,0.0,87,2.32,105,3.2,impact_brief_b
2011-09-06,2011-09-18,flood,NDMA-8675-71,IN-POLY-00000114,0,0,13,2799220,8698282,327170,0,923404,2232,0.7,120,1.68,107,1.1,impact_brief_a
2022-12-09,2022-12-16,flood,NDMA-8026-77,IN-POLY-00000115,0,0,9,1647972,754720,520760,0,292790,5909,3.3,99,2.1,103,0.4,ndma_sitrep
2014-02-03,2014-02-12,drought,NDMA-2317-66,IN-POLY-00000116,1,0,10,1590196,736411,415451,0,74116,10159,5.5,108,3.22,103,0.8,media_digest
2021-12-17,2021-12-18,flood,NDMA-3747-74,IN-POLY-00000117,1,0,11,7363362,1939660,2854570,0,10454,4738,4.3,112,1.05,106,0.5,ndma_sitrep
2016-05-25,2016-05-28,flood,NDMA-3344-73,IN-POLY-00000118,1,0,9,236817,169836,54551,0,144693,214879,6.8,96,1.52,102,2.2,rapid_assessment
2010-04-22,2010-05-01,flood,NDMA-4033-20,IN-POLY-00000119,2,0,13,2019252,567169,584780,0,102618,26647,2.9,77,1.17,126,1.4,media_digest
2021-12-17,2021-12-30,cold_wave,NDMA-4243-94,IN-POLY-00000120,1,1,12,4407274,17228225,1327954,0,63246,18149,3.6,75,2.82,108,13.7,rapid_assessment
2025-01-13,2025-01-14,flood,NDMA-6423-40,IN-POLY-00000121,2,0,12,1898306,1704094,151088,0,489432,11764,2.8,83,0.28,109,8.1,impact_brief_b
2017-10-09,2017-10-27,earthquake,NDMA-7626-42,IN-POLY-00000122,0,0,16,19522993,1050760,7766680,0,509728,6599,0.0,99,3.7,97,4.4,state_relief_note
2022-02-16,2022-03-06,landslide,NDMA-6595-70,IN-POLY-00000123,2,1,17,7281394,138768,1769269,0,105327,53257,3.8,73,4.17,118,2.4,state_relief_note
2017-11-27,2017-11-29,earthquake,NDMA-7427-38,IN-POLY-00000124,0,1,13,4386224,4003978,1429001,0,368736,26566,0.0,75,1.57,103,0.4,impact_brief_b
2025-09-07,2025-09-20,drought,NDMA-2073-11,IN-POLY-00000125,2,0,15,9251797,533274,2105261,0,217913,19342,4.0,81,0.64,93,1.0,impact_brief_a
2018-09-24,2018-10-02,flood,NDMA-1642-19,IN-POLY-00000126,0,0,12,12677548,2317082,3492508,0,228946,13813,4.7,72,1.04,99,1.4,impact_brief_b
2015-08-17,2015-09-05,landslide,NDMA-2260-33,IN-POLY-00000127,1,1,9,2273020,905750,544025,0,87767,12429,3.7,64,2.45,122,3.4,state_relief_note
2023-11-08,2023-11-28,heatwave,NDMA-7229-83,IN-POLY-00000128,1,1,14,11089454,1777780,3483811,0,36809,32349,4.7,90,3.57,109,3.2,state_relief_note
2021-05-04,2021-05-22,heatwave,NDMA-4606-54,IN-POLY-00000129,3,1,7,1360096,361435,128612,0,691839,8932,7.3,91,1.79,100,3.6,media_digest
2015-01-09,2015-01-24,drought,NDMA-2218-75,IN-POLY-00000130,3,0,9,198314,84782,60832,0,86726,41692,2.7,80,1.17,93,6.9,impact_brief_b
2020-05-27,2020-06-14,flood,NDMA-4399-57,IN-POLY-00000131,0,0,15,4725579,819973,1709244,0,313959,6639,2.9,85,2.21,128,1.3,media_digest
2010-03-29,2010-04-03,flood,NDMA-9976-93,IN-POLY-00000132,2,0,9,4319349,1674896,330513,0,53106,7084,4.7,24,0.0,103,0.3,media_digest
2011-06-09,2011-06-18,storm_surge,NDMA-4767-79,IN-POLY-00000133,2,0,14,32623805,1866931,9133584,0,40227,6963,2.7,92,1.09,103,5.0,ndma_sitrep
2016-03-07,2016-03-23,wildfire,NDMA-2465-81,IN-POLY-00000134,1,0,13,1731206,2454493,139245,0,123012,8414,3.7,59,1.63,86,13.0,state_relief_note
2010-02-14,2010-03-06,cyclone,NDMA-3869-61,IN-POLY-00000135,1,1,12,2786960,4608529,433483,0,463740,3841,0.7,167,1.01,108,3.0,impact_brief_b
2012-07-13,2012-07-25,storm_surge,NDMA-6370-53,IN-POLY-00000136,1,1,14,19256843,616249,2848645,0,99733,3606,0.4,81,1.91,95,0.8,rapid_assessment
2011-05-31,2011-06-14,flood,NDMA-3329-74,IN-POLY-00000137,2,1,10,28381535,10607444,11686657,0,428170,29657,5.2,41,3.53,104,1.4,rapid_assessment
2012-05-10,2012-05-14,cyclone,NDMA-9516-28,IN-POLY-00000138,1,0,14,1474330,248746,203258,0,151141,13583,1.6,43,1.3,110,1.3,impact_brief_b
2015-02-14,2015-03-02,heatwave,NDMA-8564-66,IN-POLY-00000139,1,0,6,1845405,6881052,279553,0,20141,25859,3.5,49,1.75,119,2.4,rapid_assessment
2018-01-02,2018-01-08,drought,NDMA-1115-42,IN-POLY-00000140,3,1,7,1151425,917206,256830,1,17454,13560,5.1,139,3.04,108,3.3,media_digest
2014-11-16,2014-11-27,landslide,NDMA-6814-31,IN-POLY-00000141,1,2,12,1585126,500864,133097,0,360579,7156,3.6,100,2.04,104,1.1,impact_brief_b
2018-10-25,2018-10-30,landslide,NDMA-6401-96,IN-POLY-00000142,3,0,11,1059226,1090225,214630,0,157690,9074,5.0,124,0.0,117,5.8,media_digest
2019-07-27,2019-07-28,drought,NDMA-9292-53,IN-POLY-00000143,1,0,11,2012008,1264309,575499,0,163589,5322,1.2,29,1.07,107,1.9,rapid_assessment
2020-12-14,2020-12-20,cloudburst,NDMA-4788-23,IN-POLY-00000144,0,1,7,2965727,1438745,333653,1,146114,4066,3.8,104,1.47,111,4.2,ndma_sitrep
2021-04-05,2021-04-23,drought,NDMA-8673-55,IN-POLY-00000145,4,1,9,389414,1742233,164727,0,28706,10147,5.7,115,0.0,119,5.2,media_digest
2012-12-05,2012-12-16,flood,NDMA-9309-34,IN-POLY-00000146,0,1,13,2151171,667410,383847,0,148881,20812,3.5,40,0.45,95,4.9,rapid_assessment
2016-09-24,2016-10-09,drought,NDMA-9461-71,IN-POLY-00000147,1,2,7,911474,1037153,166820,1,14556,3204,6.8,180,3.12,109,2.3,ndma_sitrep
2022-09-17,2022-10-02,landslide,NDMA-7773-60,IN-POLY-00000148,1,0,15,3452532,1467977,784987,0,256774,7937,6.2,67,2.0,114,0.6,state_relief_note
2019-05-23,2019-05-30,cold_wave,NDMA-4714-47,IN-POLY-00000149,2,1,12,17633713,1002029,2781038,0,203821,8720,1.6,64,0.36,98,2.5,ndma_sitrep
2025-06-08,2025-06-24,cyclone,NDMA-3946-88,IN-POLY-00000150,0,0,17,2031671,2032415,656746,0,353021,35422,1.0,151,4.11,122,2.7,impact_brief_a
2025-08-26,2025-08-29,flood,NDMA-8724-37,IN-POLY-00000151,1,1,7,9385588,187238,1860645,0,117092,10026,5.5,108,1.03,109,1.2,impact_brief_b
2011-08-21,2011-09-05,flood,NDMA-6943-45,IN-POLY-00000152,0,0,11,2320154,2884337,379796,1,81403,25497,4.3,24,1.63,116,2.1,media_digest
2021-03-01,2021-03-11,cold_wave,NDMA-4182-74,IN-POLY-00000153,4,2,10,2050352,2535294,177353,0,1021723,11656,0.0,81,2.92,97,2.0,media_digest
