qol_infra_inspection_date,qol_infra_asset_type_code,qol_infra_asset_id_hash,qol_infra_condition_rating,qol_infra_work_order_count,qol_infra_mean_time_to_repair_days,qol_infra_preventive_maintenance_pct,qol_infra_pothole_reports_count,qol_infra_street_sweeping_completion_pct,qol_infra_water_main_break_count,qol_infra_sewer_overflow_count,qol_infra_signal_outage_minutes,qol_infra_graffiti_removal_days_avg,qol_infra_snow_plow_cycle_hours,qol_infra_leaf_pickup_completion_pct,qol_infra_permit_backlog_days,qol_infra_capital_project_status_code,qol_infra_service_request_backlog,qol_infra_operational_cost_inr,qol_infra_resident_report_accuracy_score
2021-03-01,WATER,416505b5b044641d,3,437,15,83.83,5178,15.45,152,153,19135,24.76,45.85,88.81,224,ON_HOLD,3719,1032239,40.4
2019-09-08,LIGHT,82052ea7c8d8647b,5,37,54,25.9,4010,49.26,91,187,12381,48.17,46.25,88.87,214,IN_PROGRESS,14867,9874537,92.4
2019-05-26,SIGNAL,d1b7b4eb2ded3a87,4,228,41,65.46,3674,4.74,33,190,12552,6.42,38.02,57.56,182,PLANNED,17496,15562177,16.1
2023-09-15,OTHER,8416a1093f92f987,4,242,162,82.64,2180,73.32,128,84,19610,5.9,53.47,62.68,129,IN_PROGRESS,8324,15630589,2.3
2022-04-06,BUILD,2512a93179e960e2,4,217,167,10.25,1031,56.63,159,126,8600,0.12,11.73,18.39,351,IN_PROGRESS,16291,46763060,81.0
2021-03-07,WATER,00bf05ae6aa4c078,2,87,142,22.78,5172,56.0,230,63,2926,23.05,41.17,5.38,213,COMPLETED,2861,28894906,56.4
2025-07-01,PARK,cfc73e479700fd46,1,409,74,80.35,328,95.94,91,103,1826,10.35,19.5,89.28,230,ON_HOLD,24402,71281814,13.7
2021-01-06,BUILD,31913fc1585ca019,5,192,113,91.34,2945,82.72,12,7,14962,22.53,55.76,25.84,356,IN_PROGRESS,17464,70634904,29.6
2024-02-11,LIGHT,49787a8e38c82040,3,190,117,21.17,2373,91.95,174,91,796,58.41,22.76,52.76,287,PLANNED,2729,3794594,82.9
2024-12-19,SEWER,378e1f594a991000,3,481,11,0.65,5884,91.96,236,209,2763,48.47,22.03,37.16,305,PLANNED,14971,45237350,13.3
2021-11-24,LIGHT,0e1e5871b58bcb3e,3,442,39,89.12,3484,40.29,399,25,18034,19.55,50.57,9.74,287,COMPLETED,20022,38163907,35.5
2019-08-18,SIGNAL,6a72876e959f45e9,4,82,147,28.36,5128,85.1,363,45,9901,4.7,19.97,51.34,357,PLANNED,9340,28955640,27.3
2020-11-30,SEWER,c4b5777e34084d49,1,340,143,36.84,5939,76.18,5,147,15672,28.15,69.04,3.99,135,CANCELLED,5363,6433877,31.5
2021-09-01,LIGHT,c0f0407fbad593eb,1,99,145,14.44,1117,80.61,34,29,4273,32.16,69.36,62.98,4,IN_PROGRESS,600,6931204,36.8
2022-07-05,BRIDGE,a120304754d83620,1,283,83,87.85,3309,4.73,260,64,1484,3.14,19.47,62.39,66,COMPLETED,17717,69835914,78.0
2022-12-30,BRIDGE,29edffdd682bf0a4,2,270,18,43.11,102,61.59,385,55,9295,39.62,14.0,19.25,96,IN_PROGRESS,11581,49779235,83.4
2021-04-17,SIGNAL,328a6590db6cbba0,5,355,120,97.32,1873,93.43,131,25,11636,44.74,43.88,36.02,200,IN_PROGRESS,16723,36760324,18.9
2024-12-25,SEWER,14a297ca86034f2e,3,140,32,47.38,3684,74.88,49,139,18194,32.54,28.78,3.55,24,CANCELLED,23826,73652569,1.3
2021-04-21,BUILD,0fb23df93d58b1c7,3,417,134,91.04,243,55.49,384,248,494,52.74,33.4,42.17,96,ON_HOLD,23458,14938773,17.1
2021-05-18,OTHER,e1697bb8ce244e99,2,161,167,52.92,5317,28.38,112,141,11019,32.4,55.83,97.97,165,COMPLETED,8410,44183708,14.2
2023-08-01,OTHER,c3ab290c322a49f5,2,445,102,91.73,5841,68.41,348,155,12996,36.33,0.15,43.66,86,COMPLETED,16506,44498893,67.1
2020-04-27,LIGHT,bd76a3631d8f4f29,3,357,131,45.85,25,30.59,196,96,13791,43.17,15.83,51.22,333,IN_PROGRESS,3129,58018123,66.1
2023-08-31,WATER,d35fe49e66563816,1,135,87,7.02,2564,62.56,343,53,6615,20.41,40.43,14.17,243,CANCELLED,12417,52924138,37.2
2023-03-25,BRIDGE,c0cce0e1f70a6d8f,4,216,58,71.98,311,83.48,281,89,2507,31.4,8.0,34.72,347,PLANNED,3671,71114946,34.0
2024-08-22,ROAD,23f8a3728850ae85,5,75,94,14.12,5358,87.77,21,64,19605,57.66,17.41,4.97,62,PLANNED,12137,60743217,79.7
2020-12-28,WATER,f4d870367f6001ad,4,426,31,24.68,5885,17.39,85,165,19812,45.59,39.87,83.02,266,IN_PROGRESS,14668,59756695,76.2
2021-11-01,PARK,39cc1a4080344e28,3,262,82,17.19,2594,66.86,366,123,12455,14.04,61.71,87.06,256,CANCELLED,20630,20532175,23.2
2021-09-21,DRAIN,37dacba905806284,4,351,8,61.91,5050,31.52,46,57,8900,28.58,62.8,98.38,356,COMPLETED,21052,27705968,40.9
2025-03-15,PARK,c2b4eeb51e70b9bb,1,157,112,40.59,5479,17.73,77,46,874,6.26,7.24,77.72,13,CANCELLED,23580,10325479,65.2
2021-04-03,BRIDGE,aac596711082c33d,3,181,116,17.49,815,3.2,359,185,1761,56.69,28.38,15.8,22,CANCELLED,10330,26025631,95.2
2024-01-20,SIGNAL,13ea559895efd31f,4,226,33,43.71,2163,2.36,141,62,7742,57.46,64.64,11.33,67,CANCELLED,1841,34963807,60.2
2019-12-29,ROAD,0e00168f4a323354,4,365,172,73.27,5511,32.37,233,229,5406,43.89,39.21,12.17,167,PLANNED,18804,65595773,7.8
2020-09-28,BUILD,08a3366dfc8f6d78,4,395,162,46.05,2102,12.1,304,89,15738,17.58,26.86,90.31,166,ON_HOLD,5752,4244188,60.1
2024-10-23,LIGHT,1f2a7cce3d5ad3cc,3,129,152,65.09,1090,29.98,325,53,9278,45.39,25.09,17.43,342,PLANNED,76,70957256,90.4
2021-11-03,SIGNAL,fcfa7e508dfee9d1,3,199,96,35.51,2637,21.82,227,170,6466,10.98,59.09,11.9,53,COMPLETED,11204,47936180,63.2
2023-08-02,WATER,4007ed4fca4ff8d4,5,85,63,35.63,4041,28.16,306,81,19738,34.34,70.38,52.08,328,COMPLETED,10085,21820552,25.7
2022-04-05,ROAD,1c04f77a78038133,4,392,144,83.53,4590,94.98,351,191,4649,36.63,35.78,16.5,153,ON_HOLD,15270,18729494,58.2
2019-05-01,BUILD,dff5912e7d616ce3,1,368,67,38.69,2674,33.58,330,42,671,10.63,5.2,67.15,357,IN_PROGRESS,11239,53640247,23.3
2025-05-29,BUILD,318e3044c6f03cda,4,342,92,51.06,2974,5.08,228,90,3272,4.24,67.93,79.9,61,PLANNED,15155,35174557,12.1
2023-08-12,SIGNAL,066f253c876631df,5,253,0,44.97,4925,89.66,322,59,14505,8.69,67.92,80.41,293,CANCELLED,4767,53293773,64.9
2024-01-30,OTHER,f66ed76ebb41c600,2,57,164,19.18,5072,58.13,111,69,847,57.6,62.81,82.23,131,IN_PROGRESS,20416,17856189,66.8
2019-08-08,WATER,20e7ef9e6d0e3f1d,5,2,109,8.85,726,24.67,364,31,12417,31.22,68.42,53.21,57,ON_HOLD,20388,23500577,80.0
2020-07-11,WATER,c4d23b5b9387c25c,5,446,44,40.1,5841,21.38,120,61,4103,15.49,44.64,60.51,220,CANCELLED,8918,9280125,46.1
2019-12-26,BUILD,e8bdaf5984980fe9,4,28,41,5.32,310,54.07,230,237,10390,2.32,21.86,70.9,244,PLANNED,21108,2549536,95.1
2025-09-25,OTHER,cf0348b92bceaac5,3,466,164,6.79,741,76.93,63,195,4944,2.92,9.15,64.95,154,ON_HOLD,342,40116094,36.5
2020-01-20,BRIDGE,50bf056092f31c87,2,124,73,60.67,2574,45.97,329,218,18757,46.28,39.21,54.21,18,PLANNED,10089,22026582,50.7
2020-10-09,DRAIN,1b3a774587cf7766,4,114,139,52.62,2029,97.99,274,38,10857,37.13,53.07,51.42,145,ON_HOLD,11974,1135747,95.0
2019-04-16,SIGNAL,63e0ad14c4967fc7,1,385,178,55.2,2850,77.05,194,56,16669,25.9,64.92,54.62,197,IN_PROGRESS,20700,32452175,60.3
2023-07-12,ROAD,99a688d703c3740f,3,402,74,14.46,3492,48.68,121,75,3935,46.67,69.22,99.42,297,IN_PROGRESS,2645,17732553,97.7
2023-02-28,OTHER,b378cddf028f4c65,4,55,25,43.06,2205,63.21,293,27,11026,40.9,2.08,54.89,230,PLANNED,7179,751593,25.8
2021-10-03,DRAIN,4806689fdd4b2d23,4,448,7,5.37,1190,29.12,333,64,9906,15.99,2.84,99.04,228,COMPLETED,18725,67466095,65.8
2025-12-07,DRAIN,5db85e0f0e4fc8b3,5,49,55,76.39,3983,32.42,38,41,13930,56.32,9.9,78.0,128,CANCELLED,6940,4035530,44.3
2020-06-25,WATER,60728e45204be53c,2,90,159,53.61,4341,34.5,387,167,1305,50.73,1.51,54.59,151,IN_PROGRESS,6515,36082738,11.0
2025-05-20,BRIDGE,a2eecdc32dc7d702,5,104,111,26.95,4377,79.26,138,77,13728,50.42,6.67,41.0,23,CANCELLED,24373,65546938,37.5
2019-03-10,WATER,3e06722bfc9d568e,4,377,125,93.13,3347,53.41,268,14,4297,5.02,49.71,55.36,58,ON_HOLD,19854,33895702,19.5
2022-12-09,BUILD,58350c00854dad06,5,100,179,86.6,697,70.62,22,209,15299,32.65,64.24,81.99,169,CANCELLED,11894,9585062,34.4
2024-03-16,PARK,d6d4005b7c7f7773,3,134,6,63.19,2854,87.66,339,224,5136,44.16,49.88,86.67,271,IN_PROGRESS,9346,70180363,26.9
2024-06-09,BUILD,c0a81eeb32fcfd02,1,335,44,72.71,589,65.87,217,77,13303,45.31,3.14,78.04,14,IN_PROGRESS,8789,28558296,86.9
2019-12-17,SIGNAL,1d8cc21f292fab34,2,56,76,34.54,1285,98.95,159,217,13041,19.43,38.37,37.78,179,COMPLETED,14024,7793159,83.8
2024-09-29,LIGHT,be142a8da31f8389,3,240,49,36.32,2294,96.28,226,150,12387,56.39,13.35,72.46,134,COMPLETED,2612,59996768,66.1
2021-05-29,BUILD,df6463c4d8c85e4b,2,446,22,83.7,5583,79.15,185,167,11670,12.01,19.57,96.42,200,COMPLETED,24139,15853254,55.0
2024-07-05,DRAIN,48735a171737421d,5,84,107,97.21,1415,55.97,126,199,9726,26.41,33.06,35.93,78,IN_PROGRESS,3850,6192482,97.4
2022-09-15,SEWER,7665d725593b35ba,5,71,91,8.37,842,28.93,263,234,9854,56.2,18.31,86.65,231,PLANNED,13393,21249504,85.4
2021-10-30,LIGHT,c79e0b8dfc295c99,2,206,118,1.92,153,91.02,263,165,8400,28.08,28.27,55.09,219,PLANNED,9855,59886191,27.5
2023-08-02,OTHER,69f46d117604ce49,3,153,22,56.0,2469,39.07,229,151,6196,37.07,12.14,88.13,274,CANCELLED,4071,73768210,4.5
2021-03-31,SEWER,06a094d80dae0e33,1,28,24,59.14,1981,15.2,196,160,757,1.54,21.22,68.99,363,CANCELLED,9098,17184817,28.6
2022-03-31,SEWER,cc0d89324f0ed735,5,253,72,17.73,4926,47.52,266,202,6047,16.98,57.01,64.38,58,PLANNED,8297,54710973,37.8
2024-01-12,DRAIN,d9a625ec4423d85b,5,112,152,11.27,5083,39.47,304,52,10834,19.31,55.14,18.87,105,PLANNED,6083,71047454,64.8
2019-09-01,SEWER,4d618156ee289eba,5,16,31,63.93,1740,4.4,398,212,7950,20.46,20.46,92.15,160,PLANNED,1643,6281334,50.8
2024-09-24,ROAD,12f0bdb2720f0c68,5,324,96,98.37,5141,40.84,107,32,9321,29.07,19.76,73.73,311,ON_HOLD,22501,5615809,85.9
2020-09-09,DRAIN,05edc3738354371a,3,368,70,87.58,1226,86.27,191,150,8685,25.13,64.18,16.43,140,CANCELLED,2071,679162,81.7
2019-04-06,SEWER,bf7f5b9a2cc6ef12,3,492,133,5.17,1693,6.75,41,187,13430,8.48,70.99,89.65,298,ON_HOLD,4574,43391197,31.4
2025-06-04,BRIDGE,5b506c427d6aed8e,1,147,117,56.18,5327,75.88,241,222,5984,52.38,28.44,99.21,297,IN_PROGRESS,20183,32387676,66.8
2024-07-25,BUILD,ae17d5ec487e83c3,4,167,29,62.94,5204,31.1,303,182,15996,3.39,69.26,90.36,10,IN_PROGRESS,14815,21804783,2.6
2022-11-30,OTHER,78170352efe9110f,3,311,108,49.71,1304,97.07,243,227,13945,24.81,50.82,32.37,355,CANCELLED,16323,33920407,95.7
2025-07-05,BRIDGE,cf7b0e3334c4fdde,5,83,169,14.28,3291,2.97,394,134,11449,57.04,35.86,44.65,358,IN_PROGRESS,19412,70420225,18.6
2024-07-22,BRIDGE,ae04ef7321f0ea51,5,401,172,42.32,5308,72.95,400,233,9647,58.27,14.79,7.59,102,COMPLETED,24094,12203729,65.3
2022-04-15,SEWER,f142d1f31a45f5e6,2,370,0,71.31,1771,26.64,350,156,19088,40.23,63.21,4.72,224,PLANNED,22161,26325397,10.3
2025-12-10,DRAIN,38b808b238b7c6fe,4,133,107,33.63,755,84.73,209,151,6567,31.17,47.58,72.28,44,COMPLETED,2899,48092460,84.1
2022-08-30,LIGHT,d21bc4f7fe8c2349,1,435,46,97.14,627,14.9,0,152,19438,42.01,16.06,33.77,241,COMPLETED,17824,24942056,71.3
2024-02-21,PARK,3d44d79545e089b0,2,356,148,49.67,4779,87.7,98,71,10711,43.21,29.29,37.63,26,COMPLETED,15634,374731,82.9
2019-02-14,ROAD,4a0eb127b663a06c,2,108,163,55.82,2826,21.6,396,47,12080,5.13,25.21,54.12,285,PLANNED,8173,6314451,65.9
2022-07-20,ROAD,be0f05e6f1edad3a,5,471,39,91.81,131,24.47,226,218,12359,7.78,14.38,43.47,41,COMPLETED,8132,48015942,15.8
2022-04-15,LIGHT,f4b77630e8eacc27,1,304,170,75.22,114,53.04,386,209,17103,58.18,65.74,65.25,16,PLANNED,15281,56358688,9.4
2020-08-01,SEWER,2972ff166301398b,4,70,175,26.12,240,69.68,211,98,7826,11.5,49.06,0.43,330,IN_PROGRESS,21986,35218220,8.4
2025-05-09,SEWER,171f8becfe6ebc24,3,467,130,2.01,4274,52.34,93,50,3242,44.03,46.6,33.5,294,CANCELLED,7937,41451149,84.4
2020-07-16,BRIDGE,f577544861c37bfb,3,421,150,56.17,582,16.91,7,37,14694,7.68,10.27,37.69,304,IN_PROGRESS,13376,55750295,32.6
2020-10-07,PARK,70bfb8e1c79ecbc4,4,371,178,46.08,3855,39.46,339,41,3499,29.35,51.24,55.69,69,IN_PROGRESS,16607,45252361,11.8
2025-09-19,SIGNAL,07f1dcb894ced444,1,420,157,88.66,2354,25.37,146,119,12401,54.05,31.74,74.95,99,COMPLETED,119,48403188,51.9
2025-05-24,SEWER,147a443da84edcd1,3,131,137,42.91,4558,36.0,348,49,18754,19.71,28.77,13.42,205,PLANNED,23341,51608298,16.9
2023-02-28,BRIDGE,9db1916c36d70e4a,2,97,19,64.26,231,22.52,187,201,203,51.48,4.71,39.87,160,CANCELLED,17941,7802179,34.0
2020-11-17,DRAIN,54b9bbef05a9086f,5,141,144,60.7,202,50.53,348,66,19781,57.58,23.68,31.26,5,PLANNED,17167,8370386,51.5
2022-04-27,BUILD,f2ab282a9b1cc1b9,3,219,87,33.6,4121,86.31,279,64,5769,30.89,70.47,31.98,62,PLANNED,19847,46128414,28.9
2022-12-24,DRAIN,e9eb4d2c6557ff81,2,308,16,31.12,3863,5.94,37,22,17327,19.15,70.91,40.74,324,IN_PROGRESS,5127,66944235,70.6
2024-02-28,WATER,463f090d59e1185c,5,280,67,0.04,5999,25.94,16,226,14092,20.62,69.94,47.26,354,COMPLETED,7479,61474602,7.5
2019-09-23,BRIDGE,0a185c0fdc8967b1,2,350,40,99.34,213,87.08,323,52,8457,29.95,9.1,91.45,156,COMPLETED,2811,11807979,54.2
2024-04-03,SEWER,437073fe8917e332,5,98,19,47.8,3280,79.91,159,85,13545,8.52,13.01,49.15,142,COMPLETED,18655,12259799,47.2
2021-10-05,ROAD,298e8e853db97c68,1,88,167,55.32,1312,74.53,152,51,6832,34.94,3.95,81.59,8,IN_PROGRESS,2539,74200143,37.9
2021-06-06,PARK,6f753820e79072ea,1,457,46,86.33,4388,58.71,34,160,6440,12.03,68.69,96.28,296,PLANNED,17524,2001542,44.0
2025-04-20,PARK,9c23b309d1fd8a56,1,252,111,5.29,1844,8.44,250,62,18123,29.0,38.24,24.28,197,ON_HOLD,20115,36446905,65.5
2020-10-17,BRIDGE,1e1a5d1b9c9f9a2e,1,423,126,20.33,5093,3.82,392,20,10740,8.17,62.02,59.21,2,ON_HOLD,18697,18329122,14.3
2025-03-08,PARK,885019afdd8d97b8,2,236,135,92.25,3776,70.65,26,144,10906,50.71,36.53,37.21,225,CANCELLED,15863,46920917,16.1
2022-11-22,BRIDGE,3295af3264c12038,2,380,59,54.33,222,41.49,370,146,9626,26.68,11.15,33.6,302,IN_PROGRESS,4992,48463606,80.3
2024-02-21,SEWER,f31e3a3b4157185e,2,218,156,94.24,4298,97.58,83,65,17553,39.57,2.78,56.59,199,ON_HOLD,1881,43526244,79.3
2020-03-29,SEWER,08f2003c2eab23ed,1,198,12,44.29,1293,5.21,83,133,20,58.54,36.06,21.64,210,PLANNED,23402,60253536,41.3
2023-08-02,OTHER,40fd6257f9a4ab18,5,193,128,75.75,2072,74.23,294,152,13318,32.66,31.52,40.15,46,CANCELLED,699,12784974,4.7
2019-06-11,ROAD,6aedc6bd30b78c11,5,131,21,49.07,1563,92.58,177,93,1771,57.96,30.54,69.88,247,ON_HOLD,8489,29496041,97.9
2021-09-07,ROAD,eba672f617296008,2,73,63,48.65,1616,95.5,80,247,19072,8.46,35.28,29.47,245,PLANNED,21659,27411297,43.4
2022-11-19,OTHER,8db5e260601ea4cd,3,251,171,9.22,5730,77.59,108,145,15321,38.92,8.47,0.52,250,COMPLETED,11042,53328036,10.5
2025-01-11,BUILD,167512a97a2c3db9,2,345,87,42.81,4719,20.14,226,209,3361,8.9,20.99,99.35,69,CANCELLED,5501,66561038,71.7
2020-11-13,WATER,5f8b7b5f29e11e9e,1,447,159,20.03,5445,40.63,287,166,15644,49.41,54.66,93.14,269,PLANNED,17943,4207409,12.7
2025-09-22,BUILD,d00e309ca7644283,5,188,112,60.44,5626,96.4,147,93,11014,47.17,57.84,94.66,20,PLANNED,20417,10687594,49.9
2022-08-02,WATER,9df89e32f6eb2474,5,293,113,84.07,4512,52.08,335,95,508,44.44,1.66,11.17,313,PLANNED,15968,24102017,0.0
2020-04-08,OTHER,0815ccc02222b56d,4,38,12,83.09,2668,72.35,41,197,3706,48.25,37.18,25.86,20,PLANNED,8317,60223738,96.1
2024-01-06,SEWER,72888b9cf92d5d74,4,58,10,0.23,1113,95.63,306,75,19210,54.13,52.01,76.53,101,COMPLETED,2317,52460830,31.1
2025-03-23,DRAIN,4d00bded6b63d496,3,85,138,22.0,2829,82.8,325,13,7338,48.91,3.4,68.67,274,CANCELLED,10981,9905086,3.2
2023-07-20,SEWER,e0c28adb6de8f9ee,5,350,23,21.13,4674,34.53,161,61,4275,9.14,24.46,33.18,256,CANCELLED,13385,54396030,6.9
2022-11-18,OTHER,4f5b2b88c33d925d,5,22,120,36.37,4747,55.23,131,108,14216,8.68,9.1,18.29,289,PLANNED,4527,57433486,48.3
2020-11-10,OTHER,54c9a4939a59c127,4,237,36,40.45,5943,32.45,347,15,5834,15.58,7.23,10.15,317,PLANNED,9548,62048282,78.1
2024-01-26,PARK,1b70a0af2158c278,4,282,137,83.31,2953,32.24,149,133,11424,32.33,1.72,52.68,48,CANCELLED,5145,24764154,28.4
2019-04-11,OTHER,c3777ad94bc84377,2,342,33,54.11,2867,21.23,351,238,8049,12.04,3.67,95.59,12,CANCELLED,1454,6820246,53.8
2019-04-28,LIGHT,164a41cb06a96c12,4,451,56,98.52,4538,74.59,377,136,9448,24.8,23.53,9.46,336,ON_HOLD,3542,3663710,15.3
2021-07-05,SEWER,2fef6460797308a5,1,153,45,16.07,982,28.24,144,224,16071,25.44,41.21,78.46,365,ON_HOLD,22787,52745121,84.8
2019-11-14,SEWER,4097184a5175655b,2,295,52,8.24,5349,13.33,184,203,12481,30.81,54.21,20.24,356,ON_HOLD,6664,66636129,11.5
2021-02-18,PARK,b3e65e7deb6732cd,4,194,70,34.83,2100,2.98,171,40,11104,25.05,40.33,75.25,302,IN_PROGRESS,3783,61386230,32.8
2025-04-24,SIGNAL,a57a8280355cf5ee,2,414,86,68.87,1768,71.05,394,200,338,33.57,53.54,83.17,273,COMPLETED,14038,12188116,39.5
2022-08-08,LIGHT,69eeca6abfb6c66b,4,235,165,97.18,4764,55.04,346,206,17479,20.93,20.2,79.07,280,PLANNED,24910,49229067,18.2
2021-09-14,ROAD,1b93334ec13df1b1,2,411,15,27.08,3547,3.25,394,92,14270,48.18,33.65,89.92,104,COMPLETED,22748,72164343,34.4
2020-03-18,OTHER,026dcf0ea9c3b595,4,454,26,3.65,5684,58.77,26,147,13908,8.81,14.78,18.09,244,CANCELLED,18937,48669671,57.8
2021-11-14,DRAIN,718be57ce8d04b49,2,144,1,97.71,2959,18.71,278,87,18895,45.79,20.29,95.32,203,PLANNED,13074,38854204,83.4
2021-10-11,BUILD,47583a6d30b500f1,4,495,69,84.9,1908,87.26,76,151,16115,1.28,13.82,74.68,35,IN_PROGRESS,21722,64312188,15.1
2023-01-21,BUILD,4b016e6e7ad493d3,1,332,62,0.07,2368,14.49,273,214,13857,14.67,34.44,65.88,247,ON_HOLD,11066,32498334,99.2
2025-01-24,WATER,19d614d090c5eb22,4,472,20,49.49,3668,98.92,243,227,12618,17.22,25.41,69.24,354,ON_HOLD,2791,20174219,98.2
