imm_border_encounter_date,imm_border_sector_code,imm_border_processing_facility_id,imm_border_encounter_type_code,imm_border_single_adult_flag,imm_border_family_unit_flag,imm_border_unaccompanied_child_flag,imm_border_country_of_origin_code,imm_border_repeat_encounter_flag,imm_border_prior_removal_flag,imm_border_credible_fear_claim_flag,imm_border_asylum_referral_flag,imm_border_expedited_removal_flag,imm_border_parole_granted_flag,imm_border_detention_length_days,imm_border_alternatives_to_detention_flag,imm_border_court_notice_issued_flag,imm_border_case_outcome_code,imm_border_resource_load_index,imm_border_policy_regime_code
2020-07-04,ITBP_NORTH,PF0193,RESCUE,1,1,0,DEU,1,0,0,1,1,0,49,1,0,TRANSFERRED,0.95,PR2023
2019-07-19,STATE_POLICE,PF0077,RESCUE,1,0,0,MDV,1,1,0,1,0,1,222,1,1,TRANSFERRED,1.38,PR2025
2022-10-22,STATE_POLICE,PF0142,OVERSTAY_ACTION,1,1,0,DEU,1,1,0,1,0,0,159,1,1,PENDING,0.67,PR2023
2019-12-05,BSF_EAST,PF0023,INTEL_INTERCEPT,0,0,0,GBR,1,0,0,0,1,0,119,1,0,TRANSFERRED,1.53,PR2019
2022-12-14,STATE_POLICE,PF0231,HUMANITARIAN_ASSIST,0,0,1,FRA,1,1,0,1,0,1,338,0,0,VOLUNTARY_RETURN,1.78,PR2022
2020-11-09,COAST_GUARD,PF0156,APPREHENSION,1,0,0,AUS,1,0,1,0,0,1,264,1,1,VOLUNTARY_RETURN,1.69,PR2021
2019-10-04,ITBP_NORTH,PF0093,INTEL_INTERCEPT,0,1,0,LKA,0,1,1,0,0,0,271,1,0,TRANSFERRED,1.22,PR2025
2023-12-20,STATE_POLICE,PF0168,RESCUE,1,0,0,AUS,1,0,1,0,0,1,349,1,0,RELEASED,1.97,PR2022
2019-02-23,BSF_EAST,PF0192,ENTRY_REFUSED,0,0,1,GBR,0,1,0,0,1,1,291,0,1,VOLUNTARY_RETURN,0.93,PR2019
2019-06-13,IB,PF0097,ENTRY_REFUSED,1,1,1,BGD,0,0,0,0,1,0,266,1,1,REMOVED,1.28,PR2023
2022-11-10,BSF_EAST,PF0130,OVERSTAY_ACTION,0,1,1,FRA,1,0,0,0,0,1,78,0,1,RELEASED,0.82,PR2025
2024-10-24,IB,PF0225,RESCUE,0,1,0,SAU,0,1,1,1,1,1,232,1,1,REMOVED,1.59,PR2020
2021-10-02,IB,PF0216,OVERSTAY_ACTION,0,0,1,AUS,0,1,0,0,1,1,190,1,1,TRANSFERRED,1.21,PR2020
2020-02-26,BSF_EAST,PF0012,OVERSTAY_ACTION,0,0,1,BGD,0,1,0,0,1,1,84,0,1,TRANSFERRED,0.7,PR2022
2020-07-30,COAST_GUARD,PF0291,APPREHENSION,0,1,0,AFG,1,1,1,1,0,0,123,0,0,TRANSFERRED,0.91,PR2025
2022-06-07,STATE_POLICE,PF0074,OVERSTAY_ACTION,0,0,1,RUS,0,1,0,0,1,1,73,0,0,VOLUNTARY_RETURN,0.84,PR2024
2022-08-22,COAST_GUARD,PF0111,RESCUE,1,1,1,GBR,0,1,1,0,1,1,216,1,1,RELEASED,2.3,PR2020
2021-09-12,BSF_EAST,PF0197,APPREHENSION,1,0,1,IND,1,0,0,1,1,1,351,0,1,REMOVED,1.4,PR2022
2022-06-17,BSF_WEST,PF0191,ENTRY_REFUSED,0,1,1,SAU,0,0,0,0,0,1,288,0,0,PENDING,1.7,PR2021
2025-12-28,IB,PF0064,APPREHENSION,0,1,0,NPL,0,1,1,1,0,0,48,0,0,RELEASED,2.35,PR2020
2023-04-06,IB,PF0274,RESCUE,1,0,0,USA,0,0,1,1,1,0,178,0,1,REMOVED,0.62,PR2025
2021-12-16,STATE_POLICE,PF0139,HUMANITARIAN_ASSIST,0,1,1,AFG,0,0,1,0,1,1,177,0,1,PENDING,2.35,PR2024
2020-10-20,STATE_POLICE,PF0065,INTEL_INTERCEPT,0,1,0,PAK,0,0,0,1,0,1,23,0,0,RELEASED,1.44,PR2023
2021-11-18,COAST_GUARD,PF0151,APPREHENSION,1,1,1,NGA,1,1,1,1,0,0,276,1,1,RELEASED,2.17,PR2019
2025-10-17,COAST_GUARD,PF0260,HUMANITARIAN_ASSIST,0,1,0,BTN,1,0,0,0,1,1,80,0,1,TRANSFERRED,0.59,PR2021
2025-03-15,BSF_WEST,PF0263,INTEL_INTERCEPT,0,1,1,AFG,1,0,1,1,0,0,146,0,1,RELEASED,0.83,PR2025
2020-06-29,COAST_GUARD,PF0169,APPREHENSION,0,1,1,CAN,1,1,0,1,1,0,194,0,0,REMOVED,0.65,PR2020
2024-07-27,COAST_GUARD,PF0177,APPREHENSION,1,0,0,ARE,0,1,1,0,0,1,65,0,1,TRANSFERRED,1.7,PR2025
2021-04-28,STATE_POLICE,PF0145,OVERSTAY_ACTION,0,0,1,RUS,1,1,1,1,0,1,63,1,1,RELEASED,0.52,PR2020
2020-04-10,ITBP_NORTH,PF0075,INTEL_INTERCEPT,1,0,0,CHN,1,0,0,0,1,1,364,0,0,TRANSFERRED,2.02,PR2025
2020-07-19,BSF_WEST,PF0055,HUMANITARIAN_ASSIST,0,0,0,PAK,1,1,1,0,0,0,31,1,1,PENDING,0.78,PR2025
2020-05-18,IB,PF0122,INTEL_INTERCEPT,1,0,1,AUS,1,1,1,0,0,0,105,1,0,REMOVED,0.79,PR2022
2025-09-01,ITBP_NORTH,PF0027,APPREHENSION,0,1,0,MDV,0,1,0,0,0,1,152,0,0,PENDING,0.85,PR2021
2023-04-15,STATE_POLICE,PF0175,RESCUE,1,1,0,USA,1,1,0,1,0,1,361,0,0,REMOVED,1.92,PR2019
2022-10-06,BSF_WEST,PF0162,RESCUE,1,1,1,CAN,1,0,0,0,0,0,306,1,1,VOLUNTARY_RETURN,2.33,PR2019
2022-09-10,BSF_WEST,PF0136,INTEL_INTERCEPT,1,1,1,AFG,1,0,0,0,0,1,6,0,0,PENDING,2.29,PR2022
2024-07-08,BSF_WEST,PF0023,OVERSTAY_ACTION,1,1,0,RUS,0,1,1,1,0,0,112,0,0,VOLUNTARY_RETURN,0.43,PR2022
2020-06-24,COAST_GUARD,PF0026,OVERSTAY_ACTION,0,0,1,KEN,1,0,1,0,0,1,188,1,1,TRANSFERRED,0.8,PR2022
2022-11-20,BSF_EAST,PF0162,RESCUE,1,0,0,PAK,0,0,0,0,1,0,280,0,0,PENDING,1.75,PR2020
2023-12-12,SSB_NEPAL,PF0248,OVERSTAY_ACTION,1,0,1,PAK,1,1,0,0,0,0,342,1,0,RELEASED,1.62,PR2025
2024-10-27,BSF_EAST,PF0160,APPREHENSION,1,1,1,DEU,1,1,0,0,0,1,253,0,0,REMOVED,1.01,PR2021
2025-12-05,COAST_GUARD,PF0006,APPREHENSION,0,1,1,KEN,0,1,1,0,1,1,91,1,1,RELEASED,2.18,PR2019
2025-06-14,COAST_GUARD,PF0193,INTEL_INTERCEPT,0,1,1,BTN,0,0,1,0,1,1,203,0,0,RELEASED,0.5,PR2023
2020-02-23,IB,PF0178,HUMANITARIAN_ASSIST,0,0,0,SAU,1,0,0,0,1,0,7,0,1,TRANSFERRED,1.67,PR2019
2025-04-01,IB,PF0196,ENTRY_REFUSED,1,0,1,SAU,1,0,1,0,0,1,241,1,0,TRANSFERRED,0.83,PR2024
2022-12-30,SSB_NEPAL,PF0217,RESCUE,1,0,1,MDV,1,1,0,1,0,0,226,0,1,RELEASED,1.41,PR2021
2020-03-12,COAST_GUARD,PF0264,RESCUE,1,0,1,SAU,0,0,1,1,0,0,280,0,1,RELEASED,1.09,PR2022
2024-04-17,BSF_WEST,PF0040,ENTRY_REFUSED,1,0,0,BTN,0,0,1,0,1,0,221,0,0,RELEASED,2.45,PR2020
2025-01-02,ITBP_NORTH,PF0161,OVERSTAY_ACTION,0,0,1,ARE,0,0,1,1,0,0,227,0,1,REMOVED,1.32,PR2019
2025-01-22,ITBP_NORTH,PF0131,APPREHENSION,0,0,0,MMR,0,1,0,0,1,1,52,0,1,TRANSFERRED,2.45,PR2023
2020-08-20,BSF_WEST,PF0079,APPREHENSION,0,1,1,ETH,0,1,0,1,0,0,280,1,1,PENDING,0.79,PR2020
2022-04-04,IB,PF0155,RESCUE,0,0,0,GBR,0,0,0,1,0,1,25,0,1,TRANSFERRED,1.97,PR2019
2022-11-19,BSF_EAST,PF0065,RESCUE,1,0,0,IND,1,0,1,1,1,1,7,0,0,RELEASED,1.85,PR2025
2022-06-30,ITBP_NORTH,PF0057,OVERSTAY_ACTION,0,0,0,SAU,1,1,1,0,0,0,196,0,0,PENDING,2.15,PR2021
2022-12-03,BSF_WEST,PF0273,OVERSTAY_ACTION,1,1,0,MMR,1,0,0,0,1,0,146,0,0,PENDING,1.8,PR2025
2020-03-21,BSF_EAST,PF0052,RESCUE,1,1,0,SAU,0,1,0,1,1,0,203,0,1,PENDING,1.77,PR2019
2020-10-15,STATE_POLICE,PF0076,OVERSTAY_ACTION,0,1,0,USA,1,0,0,0,0,0,223,0,0,TRANSFERRED,1.72,PR2023
2019-02-16,ITBP_NORTH,PF0103,ENTRY_REFUSED,0,0,1,AFG,1,0,1,0,1,1,197,1,1,RELEASED,2.47,PR2020
2022-01-23,BSF_WEST,PF0026,APPREHENSION,0,0,1,DEU,0,0,1,1,1,0,246,0,0,RELEASED,0.72,PR2019
2023-02-21,ITBP_NORTH,PF0027,RESCUE,1,1,0,ARE,1,0,1,1,0,0,263,0,1,VOLUNTARY_RETURN,0.27,PR2023
2022-07-10,ITBP_NORTH,PF0280,ENTRY_REFUSED,0,0,1,GBR,0,0,1,0,1,0,186,1,1,REMOVED,1.76,PR2025
2024-05-02,ITBP_NORTH,PF0139,ENTRY_REFUSED,0,0,0,FRA,0,1,0,1,1,0,132,1,0,TRANSFERRED,0.6,PR2019
2021-07-31,SSB_NEPAL,PF0086,HUMANITARIAN_ASSIST,1,1,0,USA,1,0,1,0,0,0,332,0,1,VOLUNTARY_RETURN,1.76,PR2019
2021-09-09,BSF_EAST,PF0234,INTEL_INTERCEPT,1,0,1,USA,1,1,0,0,0,1,158,1,1,VOLUNTARY_RETURN,0.94,PR2025
2023-09-11,ITBP_NORTH,PF0288,RESCUE,0,1,0,BTN,1,1,1,0,1,0,117,0,0,VOLUNTARY_RETURN,0.3,PR2024
2025-04-09,IB,PF0029,INTEL_INTERCEPT,0,0,1,CAN,1,1,0,0,0,0,45,0,1,TRANSFERRED,1.97,PR2022
2021-05-04,IB,PF0106,ENTRY_REFUSED,1,0,1,JPN,0,0,0,0,1,1,131,0,1,REMOVED,0.32,PR2025
2021-06-22,IB,PF0096,RESCUE,0,0,1,AUS,0,0,1,1,0,1,348,0,1,PENDING,0.72,PR2023
2022-09-18,BSF_WEST,PF0121,INTEL_INTERCEPT,1,0,0,CHN,0,1,1,1,1,0,31,1,0,REMOVED,0.97,PR2019
2022-02-05,SSB_NEPAL,PF0104,APPREHENSION,1,0,0,DEU,1,1,1,1,0,1,96,0,0,REMOVED,0.51,PR2024
2025-06-26,COAST_GUARD,PF0177,RESCUE,1,1,1,ETH,1,1,1,1,0,1,77,0,0,RELEASED,2.3,PR2020
2020-04-18,COAST_GUARD,PF0141,INTEL_INTERCEPT,1,1,0,ARE,0,1,0,1,1,1,338,1,0,VOLUNTARY_RETURN,1.63,PR2021
2025-05-08,BSF_EAST,PF0298,OVERSTAY_ACTION,1,0,1,GBR,0,1,1,1,1,0,307,1,0,VOLUNTARY_RETURN,2.21,PR2025
2020-04-11,BSF_WEST,PF0266,RESCUE,0,0,1,AUS,1,1,1,1,1,0,266,1,1,PENDING,1.77,PR2022
2021-01-24,IB,PF0154,HUMANITARIAN_ASSIST,0,1,0,AUS,1,1,1,0,1,1,264,0,1,RELEASED,2.48,PR2024
2025-03-21,SSB_NEPAL,PF0282,OVERSTAY_ACTION,1,0,0,DEU,1,1,1,0,1,0,184,1,0,PENDING,1.41,PR2022
2022-02-09,IB,PF0213,RESCUE,1,0,1,IND,1,1,1,1,0,0,183,1,1,TRANSFERRED,0.32,PR2022
2023-01-18,BSF_WEST,PF0076,INTEL_INTERCEPT,0,1,1,KEN,0,1,1,0,1,1,50,0,0,RELEASED,0.57,PR2021
2019-10-15,SSB_NEPAL,PF0039,INTEL_INTERCEPT,0,0,0,GBR,0,0,0,1,1,0,219,0,0,VOLUNTARY_RETURN,1.55,PR2025
2023-01-16,STATE_POLICE,PF0171,HUMANITARIAN_ASSIST,1,0,1,MDV,0,1,0,0,0,0,1,1,0,PENDING,1.0,PR2023
2019-12-07,STATE_POLICE,PF0052,RESCUE,1,1,0,AUS,1,0,0,0,0,0,76,0,1,RELEASED,0.46,PR2020
2025-01-14,STATE_POLICE,PF0248,ENTRY_REFUSED,1,0,1,AUS,0,1,1,0,1,0,362,0,1,RELEASED,0.75,PR2021
2020-10-21,SSB_NEPAL,PF0123,INTEL_INTERCEPT,1,0,1,BTN,0,1,0,0,1,0,324,0,1,REMOVED,1.29,PR2020
2019-07-05,IB,PF0217,HUMANITARIAN_ASSIST,0,0,1,JPN,1,0,1,1,1,0,38,1,0,RELEASED,1.39,PR2020
2024-09-07,COAST_GUARD,PF0100,RESCUE,0,1,1,KEN,1,0,0,1,1,0,33,1,0,RELEASED,2.35,PR2022
2022-12-02,STATE_POLICE,PF0274,RESCUE,0,1,1,KEN,1,1,0,1,1,0,229,1,1,VOLUNTARY_RETURN,0.41,PR2019
2021-06-15,IB,PF0298,APPREHENSION,1,0,1,JPN,1,1,1,1,1,1,170,1,1,TRANSFERRED,1.02,PR2020
2021-01-16,BSF_EAST,PF0212,OVERSTAY_ACTION,0,1,1,MDV,1,1,0,0,1,0,250,0,0,PENDING,1.36,PR2020
2021-11-16,BSF_EAST,PF0002,APPREHENSION,1,0,0,IND,0,1,1,1,1,1,65,0,1,TRANSFERRED,0.46,PR2020
2021-09-11,BSF_WEST,PF0289,OVERSTAY_ACTION,1,1,1,MMR,1,0,1,0,0,1,352,0,0,RELEASED,1.78,PR2020
2020-06-16,SSB_NEPAL,PF0174,OVERSTAY_ACTION,0,0,0,AUS,0,0,0,0,0,0,26,0,0,VOLUNTARY_RETURN,1.38,PR2022
2025-01-28,IB,PF0209,APPREHENSION,1,0,1,SAU,0,1,0,1,1,0,66,0,0,VOLUNTARY_RETURN,1.26,PR2020
2019-04-24,STATE_POLICE,PF0059,HUMANITARIAN_ASSIST,1,1,1,BGD,1,1,0,0,1,1,189,1,0,VOLUNTARY_RETURN,1.71,PR2019
2022-01-26,SSB_NEPAL,PF0100,ENTRY_REFUSED,0,0,1,KEN,1,1,0,1,0,1,319,0,0,VOLUNTARY_RETURN,0.86,PR2024
2022-02-18,ITBP_NORTH,PF0185,RESCUE,1,0,1,BTN,1,1,0,1,0,1,242,1,1,REMOVED,0.98,PR2023
2019-07-30,BSF_EAST,PF0191,INTEL_INTERCEPT,1,0,0,CHN,0,0,1,1,1,0,117,1,0,RELEASED,0.57,PR2023
2025-08-30,SSB_NEPAL,PF0159,RESCUE,0,1,0,KEN,0,1,0,1,1,1,168,0,0,REMOVED,1.4,PR2020
2021-06-19,BSF_WEST,PF0167,HUMANITARIAN_ASSIST,1,1,1,PAK,1,1,1,1,0,1,86,0,0,REMOVED,1.06,PR2022
2024-04-07,STATE_POLICE,PF0085,HUMANITARIAN_ASSIST,1,0,0,MDV,0,0,1,0,0,0,96,0,0,RELEASED,0.8,PR2019
2024-03-06,COAST_GUARD,PF0022,APPREHENSION,0,1,0,FRA,1,1,1,1,1,0,269,1,0,VOLUNTARY_RETURN,0.49,PR2025
2020-10-02,STATE_POLICE,PF0273,ENTRY_REFUSED,1,0,0,RUS,1,1,0,1,0,1,60,0,1,PENDING,0.25,PR2019
2023-06-03,COAST_GUARD,PF0131,INTEL_INTERCEPT,0,0,1,ARE,0,1,0,1,0,0,49,1,1,VOLUNTARY_RETURN,0.64,PR2020
2023-01-24,BSF_EAST,PF0288,INTEL_INTERCEPT,1,0,1,MDV,1,0,0,0,0,0,12,1,1,VOLUNTARY_RETURN,0.77,PR2022
2023-10-25,STATE_POLICE,PF0289,HUMANITARIAN_ASSIST,1,0,0,SAU,0,0,1,1,0,0,195,0,1,REMOVED,1.32,PR2025
2024-04-09,BSF_EAST,PF0192,ENTRY_REFUSED,0,0,1,NGA,1,1,0,1,1,1,274,1,1,TRANSFERRED,0.75,PR2023
2024-02-23,ITBP_NORTH,PF0266,INTEL_INTERCEPT,0,0,1,CHN,1,0,0,0,1,0,215,1,0,VOLUNTARY_RETURN,2.08,PR2024
2022-08-24,IB,PF0261,INTEL_INTERCEPT,1,1,1,IND,0,1,0,0,0,1,291,0,0,RELEASED,1.29,PR2021
2022-09-18,BSF_EAST,PF0243,ENTRY_REFUSED,1,1,0,AUS,1,0,1,0,1,0,325,0,1,RELEASED,1.63,PR2020
2025-03-10,SSB_NEPAL,PF0166,APPREHENSION,1,0,0,USA,1,1,1,0,0,0,267,1,1,RELEASED,0.68,PR2020
2025-02-15,SSB_NEPAL,PF0102,APPREHENSION,0,1,0,GBR,1,1,0,0,1,0,328,1,0,REMOVED,1.16,PR2020
2019-07-03,SSB_NEPAL,PF0169,HUMANITARIAN_ASSIST,0,1,1,ARE,0,1,0,0,1,1,12,0,0,PENDING,1.59,PR2022
2024-11-10,IB,PF0212,INTEL_INTERCEPT,1,0,1,AFG,1,1,0,1,1,0,23,0,1,PENDING,0.92,PR2025
2023-07-02,SSB_NEPAL,PF0073,APPREHENSION,0,0,1,CAN,0,1,1,0,0,1,173,0,1,PENDING,0.97,PR2025
2022-07-23,ITBP_NORTH,PF0189,APPREHENSION,1,0,1,ETH,1,1,0,1,0,1,270,0,1,VOLUNTARY_RETURN,2.06,PR2021
2021-09-28,BSF_EAST,PF0008,INTEL_INTERCEPT,0,0,1,MMR,1,0,1,1,0,0,93,0,0,VOLUNTARY_RETURN,2.13,PR2022
2021-11-23,BSF_EAST,PF0098,INTEL_INTERCEPT,1,0,1,CHN,0,0,1,0,1,0,95,1,1,TRANSFERRED,1.43,PR2020
2023-12-12,BSF_EAST,PF0286,HUMANITARIAN_ASSIST,0,0,1,LKA,0,1,1,0,1,0,34,1,1,TRANSFERRED,2.26,PR2021
2025-04-11,IB,PF0074,HUMANITARIAN_ASSIST,0,1,1,RUS,0,0,1,0,1,0,241,1,0,TRANSFERRED,1.89,PR2019
2023-12-01,ITBP_NORTH,PF0078,APPREHENSION,1,1,0,GBR,1,0,1,1,1,1,206,0,1,REMOVED,0.33,PR2019
2022-08-25,ITBP_NORTH,PF0162,HUMANITARIAN_ASSIST,1,1,0,BGD,1,1,1,1,1,1,149,1,0,PENDING,1.49,PR2024
2023-08-05,SSB_NEPAL,PF0187,OVERSTAY_ACTION,1,1,1,CHN,1,0,0,1,1,1,280,0,0,VOLUNTARY_RETURN,1.8,PR2021
2022-11-04,STATE_POLICE,PF0184,ENTRY_REFUSED,1,0,1,ARE,1,0,1,1,0,1,279,0,0,TRANSFERRED,1.44,PR2020
2024-09-28,ITBP_NORTH,PF0214,APPREHENSION,0,0,1,MDV,0,1,1,1,1,1,163,0,0,REMOVED,2.11,PR2022
2019-08-27,ITBP_NORTH,PF0179,APPREHENSION,0,1,1,NGA,0,0,1,0,1,0,267,1,0,TRANSFERRED,0.89,PR2020
2019-11-15,BSF_WEST,PF0059,OVERSTAY_ACTION,1,0,1,ARE,1,0,0,0,0,0,324,1,0,VOLUNTARY_RETURN,0.35,PR2021
2020-07-15,SSB_NEPAL,PF0029,RESCUE,0,0,0,AFG,0,0,1,1,0,1,36,0,1,TRANSFERRED,1.66,PR2024
2022-01-21,SSB_NEPAL,PF0093,HUMANITARIAN_ASSIST,1,0,0,ETH,0,0,1,0,1,0,17,1,1,REMOVED,1.88,PR2025
2025-07-05,BSF_WEST,PF0062,RESCUE,0,0,0,PAK,1,0,1,0,1,1,110,0,0,REMOVED,1.96,PR2020
2025-04-08,BSF_EAST,PF0135,HUMANITARIAN_ASSIST,0,0,1,CHN,0,1,1,1,0,0,224,0,0,TRANSFERRED,0.23,PR2025
2020-08-31,STATE_POLICE,PF0134,ENTRY_REFUSED,1,0,1,SGP,0,0,0,0,0,0,296,0,1,VOLUNTARY_RETURN,1.75,PR2020
2023-02-08,IB,PF0229,INTEL_INTERCEPT,1,1,1,JPN,0,1,1,1,0,0,267,1,1,REMOVED,0.25,PR2019
2023-02-16,BSF_WEST,PF0068,APPREHENSION,1,1,1,MMR,1,1,1,1,0,1,352,0,1,PENDING,1.98,PR2023
2022-12-19,BSF_WEST,PF0253,OVERSTAY_ACTION,1,1,1,RUS,0,1,1,0,1,0,196,1,1,REMOVED,1.82,PR2022
2021-05-15,STATE_POLICE,PF0017,INTEL_INTERCEPT,1,0,0,IND,1,0,0,1,0,1,328,1,0,RELEASED,1.51,PR2024
2024-07-13,IB,PF0152,INTEL_INTERCEPT,1,1,1,CHN,1,1,0,1,1,0,96,0,1,TRANSFERRED,1.36,PR2020
2019-06-04,STATE_POLICE,PF0248,RESCUE,0,0,0,MDV,1,0,1,0,1,1,157,1,1,PENDING,1.84,PR2019
2020-06-25,IB,PF0157,APPREHENSION,0,1,1,BTN,0,1,0,0,1,0,16,0,1,VOLUNTARY_RETURN,0.33,PR2023
2019-06-09,BSF_WEST,PF0088,ENTRY_REFUSED,0,1,0,CAN,0,0,0,0,0,1,34,1,0,PENDING,2.11,PR2019
2021-02-28,ITBP_NORTH,PF0098,OVERSTAY_ACTION,1,1,0,MMR,0,0,1,0,1,0,335,0,1,REMOVED,0.66,PR2020
2023-05-24,BSF_WEST,PF0078,APPREHENSION,0,1,1,RUS,0,1,1,1,0,1,315,0,0,REMOVED,1.3,PR2022
2023-08-12,COAST_GUARD,PF0027,INTEL_INTERCEPT,1,1,0,FRA,0,0,1,0,1,0,197,0,0,RELEASED,1.32,PR2023
2025-12-11,BSF_WEST,PF0296,INTEL_INTERCEPT,0,1,1,RUS,0,1,0,0,0,1,116,1,0,PENDING,1.99,PR2020
2022-07-03,BSF_EAST,PF0013,ENTRY_REFUSED,1,1,0,SAU,0,1,0,0,0,1,238,0,0,REMOVED,0.64,PR2021
