gov_contract_contract_award_date,gov_contract_contracting_office_code,gov_contract_naics_code_contract,gov_contract_psc_code,gov_contract_vendor_duns_hash,gov_contract_contract_vehicle_type,gov_contract_competition_type,gov_contract_contract_value_usd,gov_contract_ceiling_value_usd,gov_contract_obligated_amount_usd,gov_contract_period_of_performance_start,gov_contract_period_of_performance_end,gov_contract_small_business_set_aside,gov_contract_socioeconomic_category,gov_contract_subcontracting_plan_flag,gov_contract_labor_standards_clause_flag,gov_contract_buy_american_clause_flag,gov_contract_performance_based_flag,gov_contract_termination_for_default_flag,gov_contract_past_performance_score
2012-01-14,OFF005,237310,D399,DUNS000000014,IDIQ,FULL_OPEN,3140243253.94,8732612808.62,3054868037.17,2012-02-14,2019-06-03,NONE,NONE,1,0,0,0,0,32.18
2012-01-15,OFF001,611430,D399,DUNS000000015,IDIQ,FULL_OPEN,4900949865.57,9239663945.0,4673782346.07,2012-02-15,2018-05-30,NONE,NONE,0,1,1,1,0,47.27
2012-01-16,OFF003,541512,D302,DUNS000000016,BPA,FULL_OPEN,1497553664.61,6116445039.16,969946385.15,2012-02-16,2012-04-05,NONE,8A,0,1,1,0,0,20.12
2012-01-17,OFF001,561210,D302,DUNS000000017,OTHER,FULL_OPEN,3191798117.05,18779496265.21,180050199.34,2012-02-17,2020-05-27,SB,DBE,0,0,1,0,0,73.15
2012-01-18,OFF005,236220,S206,DUNS000000018,IDIQ,SOLE_SOURCE,5073944350.33,11189835440.14,1857510426.7,2012-02-18,2013-04-03,SB,NONE,0,1,1,0,0,22.17
2012-01-19,OFF002,334111,F999,DUNS000000019,IDIQ,FULL_OPEN,2725599805.8,6425037037.83,2690826395.62,2012-02-19,2019-08-10,NONE,SDB,1,0,0,0,0,42.95
2012-01-20,OFF005,541519,C211,DUNS000000020,BPA,SOLE_SOURCE,4347520816.71,18216540019.99,412899412.86,2012-02-20,2019-04-18,WOSB,8A,1,1,1,0,0,33.24
2012-01-21,OFF003,236220,D302,DUNS000000021,IDIQ,OTHER,1750522969.09,2202287889.07,1101957112.39,2012-02-21,2012-03-28,8A,SDVOSB,0,0,1,0,0,43.98
2012-01-22,OFF003,541330,K016,DUNS000000022,SEALED_BID,FULL_OPEN,2249726822.71,5597697005.83,2078676713.1,2012-02-22,2018-04-08,NONE,8A,0,0,1,0,0,54.18
2012-01-23,OFF001,334111,R408,DUNS000000023,GSA_SCHEDULE,SOLE_SOURCE,2486120968.5,2921489203.85,1319654739.63,2012-02-23,2017-08-31,NONE,NONE,0,0,0,0,0,86.34
2012-01-24,OFF006,541330,F999,DUNS000000024,GWAC,WOSB,4955511199.08,12692310317.88,4223738246.19,2012-02-24,2012-04-17,NONE,SDB,0,1,1,1,0,65.56
2012-01-25,OFF004,541511,J015,DUNS000000025,OT,FULL_OPEN,949048835.66,3018583328.4,272957238.8,2012-02-25,2020-12-13,NONE,DBE,1,1,0,1,0,26.65
2012-01-26,OFF002,561210,S206,DUNS000000026,SEALED_BID,OTHER,3783794345.03,18656086814.37,749525680.21,2012-02-26,2016-02-15,8A,WOSB,0,0,0,0,0,94.11
2012-01-27,OFF003,236220,R408,DUNS000000027,GWAC,FULL_OPEN,578934417.8,1930204603.43,567255409.25,2012-02-27,2016-08-10,8A,8A,0,0,0,1,0,22.36
2012-01-28,OFF004,541519,D399,DUNS000000028,OTHER,WOSB,1528108023.39,4541142800.74,1005752411.51,2012-02-28,2020-08-22,SB,NONE,0,0,1,1,0,66.55
2012-01-29,OFF003,236220,C211,DUNS000000029,OT,SMALL_BUSINESS,3890765183.49,22935587816.41,2365683350.31,2012-02-29,2014-01-22,SB,8A,0,0,1,0,0,16.16
2012-01-30,OFF002,325412,A301,DUNS000000030,BPA,SMALL_BUSINESS,3935797730.32,17298771817.18,3579097443.81,2012-03-01,2012-09-12,SB,DBE,1,0,1,0,0,52.42
2012-01-31,OFF001,237310,K016,DUNS000000031,IDIQ,SMALL_BUSINESS,1350354767.8,4633663117.89,533274020.82,2012-03-02,2016-06-11,NONE,WOSB,1,0,1,0,0,26.09
2012-02-01,OFF005,541330,R408,DUNS000000032,BPA,FULL_OPEN,949710932.53,3603916520.8,586086111.01,2012-03-03,2015-12-31,SB,SDB,0,1,1,0,0,35.1
2012-02-02,OFF002,325412,S206,DUNS000000033,IDIQ,8A,5670555205.99,9907853739.98,5208443528.42,2012-03-04,2015-01-15,NONE,NONE,0,1,1,0,0,34.61
2012-02-03,OFF002,541512,D399,DUNS000000034,IDIQ,HUBZONE,401532355.78,1155226978.11,144098518.61,2012-03-05,2019-02-18,HUBZONE,SDVOSB,1,1,0,1,0,93.33
2012-02-04,OFF001,611430,S206,DUNS000000035,IDIQ,SOLE_SOURCE,2042509889.62,10766006744.85,578801552.09,2012-03-06,2014-02-02,HUBZONE,SDB,0,1,1,0,1,63.96
2012-02-05,OFF004,611430,J015,DUNS000000036,OTHER,8A,1043843177.81,1933125304.5,795951699.78,2012-03-07,2021-06-06,NONE,NONE,0,1,1,0,0,0.46
2012-02-06,OFF003,325412,S206,DUNS000000037,GSA_SCHEDULE,SMALL_BUSINESS,448101890.88,1773167419.2,183278899.24,2012-03-08,2016-09-07,NONE,NONE,1,1,0,0,0,40.14
2012-02-07,OFF003,561210,R408,DUNS000000038,GSA_SCHEDULE,8A,1186358716.51,4837426099.49,1084282595.95,2012-03-09,2016-01-08,NONE,NONE,0,0,1,1,0,53.68
2012-02-08,OFF002,541511,D399,DUNS000000039,OT,FULL_OPEN,1698424904.48,4612136255.73,371743086.35,2012-03-10,2013-01-27,NONE,NONE,1,0,1,1,0,13.65
2012-02-09,OFF005,325412,F999,DUNS000000040,IDIQ,FULL_OPEN,3864101144.98,5226859964.17,3239936729.91,2012-03-11,2018-04-06,SB,NONE,0,0,1,0,0,34.32
2012-02-10,OFF002,561210,J015,DUNS000000041,BPA,SOLE_SOURCE,3544577527.96,20157035956.1,3486652789.89,2012-03-12,2022-01-30,NONE,NONE,0,0,0,0,0,29.48
2012-02-11,OFF004,541330,C211,DUNS000000042,OT,SMALL_BUSINESS,2628099809.92,2841950195.87,609269921.58,2012-03-13,2018-10-30,8A,SDVOSB,0,0,1,1,0,75.11
2012-02-12,OFF003,237310,K016,DUNS000000043,GSA_SCHEDULE,SOLE_SOURCE,5677135281.03,31868469607.52,1227907799.31,2012-03-14,2017-02-15,SDVOSB,NONE,1,1,0,1,0,17.2
2012-02-13,OFF002,561210,D302,DUNS000000044,OTHER,SMALL_BUSINESS,2773074773.45,13260454930.99,964699316.86,2012-03-15,2017-12-28,SB,WOSB,0,1,1,0,0,55.74
2012-02-14,OFF004,611430,B510,DUNS000000045,IDIQ,8A,4797266512.43,7180991256.27,4171868707.07,2012-03-16,2012-05-21,8A,NONE,1,1,0,0,0,86.39
2012-02-15,OFF002,541512,K016,DUNS000000046,IDIQ,SMALL_BUSINESS,3468231571.94,6686399530.57,3388396953.75,2012-03-17,2017-05-25,SB,NONE,0,1,0,1,0,79.86
2012-02-16,OFF002,541511,C211,DUNS000000047,SEALED_BID,HUBZONE,4566978714.92,8984407091.33,3171552962.44,2012-03-18,2017-02-25,NONE,8A,0,1,1,0,0,25.68
2012-02-17,OFF005,541511,S206,DUNS000000048,GSA_SCHEDULE,FULL_OPEN,343053174.78,1034716129.14,110242060.09,2012-03-19,2016-08-03,HUBZONE,DBE,0,1,1,0,0,95.71
2012-02-18,OFF006,325412,C211,DUNS000000049,GSA_SCHEDULE,SMALL_BUSINESS,5482676436.74,31159598626.17,5481119569.1,2012-03-20,2017-01-21,8A,HUBZONE,1,1,1,1,0,33.68
2012-02-19,OFF005,541330,D302,DUNS000000050,OT,OTHER,4689503102.56,27268254791.71,289587477.2,2012-03-21,2022-01-17,HUBZONE,8A,0,1,1,1,0,38.77
2012-02-20,OFF005,541511,S206,DUNS000000051,OTHER,SDVOSB,5511936990.68,16151487183.48,5059291756.4,2012-03-22,2020-03-15,SB,NONE,1,0,1,1,0,70.16
2012-02-21,OFF001,541519,K016,DUNS000000052,GWAC,FULL_OPEN,2682265560.7,14785064053.55,2016200785.07,2012-03-23,2013-09-26,NONE,NONE,1,1,1,1,0,11.6
2012-02-22,OFF002,561210,J015,DUNS000000053,OT,SOLE_SOURCE,3777664678.49,19033502579.95,924959459.42,2012-03-24,2015-10-02,NONE,SDVOSB,0,0,1,1,0,68.61
2012-02-23,OFF003,334111,S206,DUNS000000054,GSA_SCHEDULE,FULL_OPEN,163031650.61,468158284.73,97749511.97,2012-03-25,2017-06-26,SDVOSB,HUBZONE,0,1,1,1,0,70.85
2012-02-24,OFF005,334111,J015,DUNS000000055,GWAC,SMALL_BUSINESS,5459087039.12,14882305602.61,1834826612.02,2012-03-26,2015-11-01,NONE,NONE,1,1,1,1,0,98.45
2012-02-25,OFF002,541519,J015,DUNS000000056,IDIQ,FULL_OPEN,1386674700.09,7726594951.05,341279119.61,2012-03-27,2016-06-27,NONE,NONE,1,0,0,0,0,1.52
2012-02-26,OFF005,611430,K016,DUNS000000057,OT,FULL_OPEN,445714560.07,1315746771.69,191513504.61,2012-03-28,2020-02-04,NONE,SDVOSB,1,0,1,0,0,55.41
2012-02-27,OFF001,325412,K016,DUNS000000058,OTHER,SMALL_BUSINESS,3558882735.39,15341155484.93,349280890.05,2012-03-29,2019-10-15,8A,SDVOSB,1,0,0,0,0,62.47
2012-02-28,OFF005,541330,F999,DUNS000000059,OT,FULL_OPEN,4451188684.48,14247949058.62,710938884.22,2012-03-30,2017-05-09,8A,WOSB,0,1,1,0,0,16.28
2012-02-29,OFF001,541512,D399,DUNS000000060,OTHER,SMALL_BUSINESS,3793177373.83,18932832787.25,667878340.36,2012-03-31,2020-04-11,SDVOSB,SDVOSB,1,0,1,0,0,58.16
2012-03-01,OFF002,334111,C211,DUNS000000061,GWAC,WOSB,5520749314.88,10906547753.22,1317098820.51,2012-04-01,2018-11-30,WOSB,HUBZONE,1,0,0,1,0,46.18
2012-03-02,OFF003,561210,J015,DUNS000000062,IDIQ,SOLE_SOURCE,5528580649.72,29205606272.22,2937899188.95,2012-04-02,2012-11-21,SB,SDB,0,0,1,0,0,49.41
2012-03-03,OFF001,325412,S206,DUNS000000063,OT,SMALL_BUSINESS,1730455134.97,9986943912.68,352896883.46,2012-04-03,2014-07-18,SB,NONE,0,1,1,0,0,75.86
2012-03-04,OFF005,611430,B510,DUNS000000064,OT,SOLE_SOURCE,1196309992.97,2855085691.45,450759792.72,2012-04-04,2016-06-19,SDVOSB,SDVOSB,1,0,1,1,0,95.16
2012-03-05,OFF004,236220,D302,DUNS000000065,IDIQ,FULL_OPEN,1754764399.88,10065583523.32,1477148253.44,2012-04-05,2020-01-08,NONE,8A,0,1,1,0,0,77.37
2012-03-06,OFF006,541519,J015,DUNS000000066,IDIQ,FULL_OPEN,998917470.98,3769322579.13,475324218.12,2012-04-06,2022-02-14,SB,SDB,0,0,1,0,0,47.89
2012-03-07,OFF001,541512,F999,DUNS000000067,GSA_SCHEDULE,SMALL_BUSINESS,3822097141.89,22313661106.23,890767612.04,2012-04-07,2014-11-03,8A,NONE,1,1,0,0,0,19.3
2012-03-08,OFF001,334111,F999,DUNS000000068,SEALED_BID,FULL_OPEN,5137892653.15,17416225744.22,4452916962.1,2012-04-08,2017-03-01,WOSB,8A,1,1,1,1,0,69.49
2012-03-09,OFF006,237310,R408,DUNS000000069,GSA_SCHEDULE,SMALL_BUSINESS,3688918240.47,7969951592.74,593412595.59,2012-04-09,2017-07-06,NONE,8A,1,0,1,0,0,36.21
2012-03-10,OFF005,541511,S206,DUNS000000070,SEALED_BID,SOLE_SOURCE,106548582.46,493676111.37,48424208.53,2012-04-10,2016-05-25,NONE,SDVOSB,0,1,1,0,0,77.09
2012-03-11,OFF003,541512,A301,DUNS000000071,GWAC,SMALL_BUSINESS,505645494.87,2783507067.12,274562287.6,2012-04-11,2018-10-22,HUBZONE,NONE,1,0,0,1,0,62.75
2012-03-12,OFF001,236220,A301,DUNS000000072,GSA_SCHEDULE,WOSB,870900969.3,5180250240.38,243784937.98,2012-04-12,2020-10-26,NONE,SDB,0,1,1,0,0,94.03
2012-03-13,OFF002,236220,A301,DUNS000000073,OTHER,8A,5685975455.45,12246208447.96,2712568929.34,2012-04-13,2013-10-20,WOSB,NONE,0,1,1,0,0,11.16
2012-03-14,OFF004,541519,F999,DUNS000000074,GWAC,SOLE_SOURCE,3139503110.59,15114857249.37,531591027.77,2012-04-14,2016-04-30,HUBZONE,NONE,0,1,1,0,0,59.68
2012-03-15,OFF001,334111,C211,DUNS000000075,SEALED_BID,SOLE_SOURCE,4341396964.16,10415153422.5,2875107793.39,2012-04-15,2013-11-22,8A,NONE,1,1,1,1,0,1.95
2012-03-16,OFF004,541519,B510,DUNS000000076,OTHER,8A,4579169557.66,15131414475.3,4092358943.92,2012-04-16,2012-05-26,SB,NONE,1,1,1,0,0,13.52
2012-03-17,OFF005,325412,K016,DUNS000000077,IDIQ,SOLE_SOURCE,549210585.53,1233234526.45,527633613.02,2012-04-17,2014-04-08,SB,NONE,0,1,1,1,0,4.35
2012-03-18,OFF005,611430,D399,DUNS000000078,OT,SOLE_SOURCE,5257726738.75,26622479484.79,4759921127.96,2012-04-18,2020-01-06,SB,NONE,0,1,0,0,0,58.37
2012-03-19,OFF006,561210,A301,DUNS000000079,SEALED_BID,HUBZONE,721222782.37,3728981931.2,713980178.26,2012-04-19,2016-01-18,SB,NONE,0,0,1,1,0,19.92
2012-03-20,OFF005,325412,D399,DUNS000000080,IDIQ,SOLE_SOURCE,5394392525.18,14327542399.56,4007077234.92,2012-04-20,2013-10-17,SB,NONE,1,1,0,1,0,39.87
2012-03-21,OFF002,541511,C211,DUNS000000081,GSA_SCHEDULE,SMALL_BUSINESS,5988810937.96,14066909560.03,2106060804.25,2012-04-21,2018-01-24,SDVOSB,DBE,0,1,0,0,0,5.76
2012-03-22,OFF001,325412,R408,DUNS000000082,BPA,SMALL_BUSINESS,3207159471.13,19165065987.27,2267193500.55,2012-04-22,2017-01-05,SB,NONE,0,1,0,0,0,37.09
2012-03-23,OFF005,541519,A301,DUNS000000083,GWAC,FULL_OPEN,4069136332.58,12735219024.64,739979148.89,2012-04-23,2014-03-11,NONE,NONE,1,0,0,1,0,36.64
2012-03-24,OFF002,541511,R408,DUNS000000084,IDIQ,HUBZONE,5692282777.23,12124006867.87,1681977204.33,2012-04-24,2014-07-19,HUBZONE,SDVOSB,0,1,1,1,0,83.87
2012-03-25,OFF002,325412,D302,DUNS000000085,IDIQ,FULL_OPEN,456181646.42,1852348334.13,268748041.92,2012-04-25,2019-10-03,HUBZONE,NONE,0,1,1,1,0,2.79
2012-03-26,OFF006,541330,R408,DUNS000000086,IDIQ,OTHER,1913163644.33,5165551935.96,1353546387.27,2012-04-26,2018-12-31,NONE,DBE,1,1,1,1,0,20.84
2012-03-27,OFF003,236220,J015,DUNS000000087,GSA_SCHEDULE,SOLE_SOURCE,2198328511.96,7959716801.17,645689243.36,2012-04-27,2020-02-22,HUBZONE,NONE,0,1,1,0,0,56.82
2012-03-28,OFF004,541512,A301,DUNS000000088,OT,FULL_OPEN,2709896631.7,13596933773.35,1170024824.68,2012-04-28,2017-11-24,NONE,NONE,1,0,1,0,0,55.17
2012-03-29,OFF002,611430,C211,DUNS000000089,BPA,SMALL_BUSINESS,2820044709.92,8849775188.73,1541269518.82,2012-04-29,2017-08-06,WOSB,HUBZONE,0,1,1,0,0,77.76
2012-03-30,OFF002,334111,F999,DUNS000000090,GWAC,FULL_OPEN,5131668272.59,25341767951.38,2121501540.64,2012-04-30,2019-09-15,SDVOSB,NONE,1,1,1,1,1,22.11
2012-03-31,OFF003,541511,C211,DUNS000000091,GSA_SCHEDULE,8A,1801204308.62,2315362449.9,328853047.55,2012-05-01,2020-07-04,NONE,SDVOSB,1,1,1,1,0,39.21
2012-04-01,OFF002,611430,C211,DUNS000000092,BPA,SOLE_SOURCE,2224229089.39,11226706774.57,903636981.74,2012-05-02,2014-09-04,NONE,WOSB,1,0,1,0,0,62.71
2012-04-02,OFF005,541512,J015,DUNS000000093,OTHER,SOLE_SOURCE,3456263557.36,10645701055.48,1675026575.79,2012-05-03,2016-07-31,SB,NONE,0,1,1,1,0,37.51
2012-04-03,OFF004,541512,D399,DUNS000000094,IDIQ,FULL_OPEN,2227100274.75,3326169706.34,197922931.71,2012-05-04,2013-11-10,NONE,SDVOSB,1,1,1,0,0,39.66
2012-04-04,OFF004,541511,S206,DUNS000000095,IDIQ,SDVOSB,5977362622.02,7300692729.21,493375997.64,2012-05-05,2015-05-28,NONE,SDVOSB,1,1,1,1,0,29.4
2012-04-05,OFF002,561210,F999,DUNS000000096,BPA,SOLE_SOURCE,5545480421.31,7122185277.76,4071905876.12,2012-05-06,2017-11-28,SB,NONE,1,0,1,1,0,0.38
2012-04-06,OFF001,541519,C211,DUNS000000097,GSA_SCHEDULE,FULL_OPEN,4880831.95,7721948.08,2561488.04,2012-05-07,2016-02-19,NONE,SDB,0,0,0,0,0,17.64
2012-04-07,OFF003,541330,C211,DUNS000000098,IDIQ,FULL_OPEN,871817904.52,3953875942.92,759927382.46,2012-05-08,2020-10-06,8A,DBE,0,1,1,0,0,63.32
2012-04-08,OFF006,541511,B510,DUNS000000099,GWAC,FULL_OPEN,5666402999.96,29764375593.65,682795828.89,2012-05-09,2018-10-31,NONE,SDB,0,1,1,1,0,11.21
2012-04-09,OFF003,541512,S206,DUNS000000100,GSA_SCHEDULE,HUBZONE,3183665415.6,8139625471.58,2671063664.0,2012-05-10,2014-08-25,NONE,NONE,1,0,0,1,0,74.47
2012-04-10,OFF003,541519,C211,DUNS000000101,GWAC,OTHER,3791049972.01,17825835551.26,1079321676.26,2012-05-11,2018-06-12,NONE,8A,0,0,1,1,0,64.38
2012-04-11,OFF001,541330,B510,DUNS000000102,GWAC,FULL_OPEN,3769538302.25,3843925145.02,459610707.89,2012-05-12,2018-07-02,NONE,NONE,0,1,1,0,0,65.44
2012-04-12,OFF004,541512,S206,DUNS000000103,IDIQ,FULL_OPEN,5906199858.94,24899935896.78,1029643024.08,2012-05-13,2016-02-03,SB,NONE,1,1,1,0,0,91.34
2012-04-13,OFF006,236220,F999,DUNS000000104,BPA,WOSB,2240081577.65,6224203030.0,220551537.09,2012-05-14,2020-09-30,SB,NONE,0,1,1,0,0,31.04
2012-04-14,OFF004,541511,R408,DUNS000000105,GSA_SCHEDULE,OTHER,1045669428.09,2946836398.36,169415628.97,2012-05-15,2022-01-09,SB,8A,0,1,1,1,1,37.6
2012-04-15,OFF006,325412,R408,DUNS000000106,BPA,HUBZONE,4816397519.89,10957481361.35,3372849903.15,2012-05-16,2018-04-22,NONE,WOSB,1,1,1,0,0,79.13
2012-04-16,OFF003,541330,K016,DUNS000000107,OT,SMALL_BUSINESS,4992009410.03,10585782829.43,938453475.5,2012-05-17,2016-04-18,8A,WOSB,0,0,1,0,0,47.99
2012-04-17,OFF003,611430,D302,DUNS000000108,GSA_SCHEDULE,SMALL_BUSINESS,5050992923.78,16104141893.25,295665826.99,2012-05-18,2012-11-26,SB,DBE,1,1,1,0,0,74.31
2012-04-18,OFF005,236220,F999,DUNS000000109,OT,FULL_OPEN,1980254357.06,7871324073.83,1601606246.02,2012-05-19,2012-09-12,NONE,NONE,0,1,1,0,0,73.56
2012-04-19,OFF003,541330,R408,DUNS000000110,GWAC,SOLE_SOURCE,1742079970.82,7099416009.74,586729228.95,2012-05-20,2019-06-19,NONE,8A,0,1,1,0,0,98.67
2012-04-20,OFF002,541519,A301,DUNS000000111,GSA_SCHEDULE,OTHER,4688497911.37,12387802943.41,3760456547.8,2012-05-21,2015-11-02,SB,SDVOSB,1,1,1,0,0,26.11
2012-04-21,OFF004,325412,D399,DUNS000000112,GWAC,SMALL_BUSINESS,1746905906.95,10023912375.61,1294429060.23,2012-05-22,2014-11-16,SB,DBE,1,1,1,1,0,62.68
2012-04-22,OFF001,325412,R408,DUNS000000113,GSA_SCHEDULE,FULL_OPEN,2516220455.75,5869274804.42,2409111317.73,2012-05-23,2018-07-03,8A,SDVOSB,0,0,0,1,0,19.2
2012-04-23,OFF006,561210,C211,DUNS000000114,GSA_SCHEDULE,SOLE_SOURCE,2099064480.14,7933489909.55,765376710.31,2012-05-24,2015-08-01,SB,SDB,0,0,1,1,0,74.72
2012-04-24,OFF002,541511,D399,DUNS000000115,GWAC,FULL_OPEN,1659065484.4,8397931820.33,693705543.2,2012-05-25,2016-09-06,SDVOSB,DBE,0,1,1,0,0,60.82
2012-04-25,OFF006,237310,F999,DUNS000000116,BPA,WOSB,2876621103.48,7664265033.81,2289683137.68,2012-05-26,2021-03-07,SB,NONE,1,1,0,0,0,92.4
2012-04-26,OFF002,561210,F999,DUNS000000117,IDIQ,SMALL_BUSINESS,2194203072.54,9826146544.68,923460050.95,2012-05-27,2015-02-03,8A,WOSB,0,0,0,0,0,3.78
2012-04-27,OFF004,334111,R408,DUNS000000118,IDIQ,FULL_OPEN,4300287187.37,24564979329.69,3548452007.53,2012-05-28,2018-02-19,SB,DBE,1,1,1,1,0,34.82
2012-04-28,OFF005,541330,D399,DUNS000000119,GSA_SCHEDULE,8A,5211834519.12,24136169479.56,3460641206.54,2012-05-29,2015-10-12,NONE,8A,1,0,0,0,0,66.84
2012-04-29,OFF005,611430,R408,DUNS000000120,GWAC,FULL_OPEN,3729243330.15,19687277850.55,1436327394.42,2012-05-30,2019-05-01,NONE,WOSB,0,1,1,1,0,46.03
2012-04-30,OFF004,541511,D302,DUNS000000121,GWAC,FULL_OPEN,1780269365.07,9646133688.98,1081589027.79,2012-05-31,2012-07-30,8A,SDB,1,1,1,0,0,50.12
2012-05-01,OFF004,334111,K016,DUNS000000122,GSA_SCHEDULE,SMALL_BUSINESS,1862171982.54,2085460744.3,1655597584.27,2012-06-01,2021-08-14,8A,HUBZONE,0,1,1,0,0,92.18
2012-05-02,OFF003,541512,D399,DUNS000000123,SEALED_BID,HUBZONE,5039390999.3,23762917123.91,2197825749.26,2012-06-02,2021-04-27,WOSB,SDVOSB,0,1,1,0,0,4.11
2012-05-03,OFF006,237310,J015,DUNS000000124,GSA_SCHEDULE,8A,5903659848.73,17106698784.82,2971342479.19,2012-06-03,2020-10-04,SDVOSB,NONE,0,0,0,0,1,27.74
2012-05-04,OFF005,561210,F999,DUNS000000125,IDIQ,SOLE_SOURCE,5783755139.9,28355940218.11,1284233616.95,2012-06-04,2020-08-25,NONE,NONE,0,1,1,0,0,45.54
2012-05-05,OFF005,561210,J015,DUNS000000126,GSA_SCHEDULE,HUBZONE,5647753843.54,27419564615.93,5029088497.31,2012-06-05,2016-02-21,SB,HUBZONE,1,0,0,0,0,23.07
2012-05-06,OFF001,334111,D399,DUNS000000127,IDIQ,FULL_OPEN,3969281018.33,18985999135.26,2117864874.34,2012-06-06,2019-01-17,HUBZONE,SDB,1,1,0,0,0,65.43
2012-05-07,OFF003,237310,D399,DUNS000000128,GWAC,WOSB,477505737.44,2415587232.41,336670139.89,2012-06-07,2018-11-13,SB,WOSB,1,0,1,0,0,24.21
2012-05-08,OFF003,237310,R408,DUNS000000129,GWAC,SMALL_BUSINESS,2683688843.5,5840468502.18,1610461464.07,2012-06-08,2020-11-03,NONE,NONE,0,1,1,0,0,17.93
2012-05-09,OFF002,611430,J015,DUNS000000130,OTHER,HUBZONE,1311618938.43,4127003883.69,1067742562.43,2012-06-09,2019-05-30,NONE,8A,1,1,1,1,0,80.3
2012-05-10,OFF005,541519,C211,DUNS000000131,SEALED_BID,FULL_OPEN,1673986729.41,4001089362.75,445205383.47,2012-06-10,2020-08-11,SB,HUBZONE,0,0,0,1,0,24.08
2012-05-11,OFF004,236220,K016,DUNS000000132,GSA_SCHEDULE,SOLE_SOURCE,3274936702.37,16456127548.75,329722386.3,2012-06-11,2020-03-29,SDVOSB,NONE,0,0,1,1,0,59.94
2012-05-12,OFF003,325412,S206,DUNS000000133,GWAC,SMALL_BUSINESS,4390635420.53,12041242402.6,3910496048.61,2012-06-12,2016-09-30,SB,NONE,0,1,0,0,0,85.3
2012-05-13,OFF004,236220,A301,DUNS000000134,GSA_SCHEDULE,OTHER,5842368198.61,14333364744.11,1965795890.53,2012-06-13,2020-12-03,NONE,SDB,1,0,0,0,0,26.6
2012-05-14,OFF006,561210,A301,DUNS000000135,GWAC,FULL_OPEN,3725331097.34,17952469462.82,3156781463.69,2012-06-14,2014-09-17,8A,WOSB,0,1,0,0,0,62.12
2012-05-15,OFF005,541512,J015,DUNS000000136,OTHER,FULL_OPEN,4806208728.72,22250687906.2,2170803340.16,2012-06-15,2019-03-17,NONE,NONE,0,0,1,0,0,77.81
