tax_incent_incentive_fiscal_year,tax_incent_incentive_program_id,tax_incent_incentive_type_code,tax_incent_eligible_industry_nic,tax_incent_eligible_activity_code,tax_incent_applications_received,tax_incent_applications_approved,tax_incent_credits_authorized_inr,tax_incent_credits_claimed_inr,tax_incent_beneficiaries_count,tax_incent_jobs_promised_count,tax_incent_jobs_created_verified,tax_incent_capital_investment_promised,tax_incent_capital_investment_verified,tax_incent_clawback_trigger_flag,tax_incent_recapture_amount_inr,tax_incent_performance_reporting_compliance,tax_incent_cost_per_job_estimate,tax_incent_equity_targeting_flag,tax_incent_sunset_date_program
2022,INC-4383,INTEREST_SUBVENTION,79,MSME_FORMALIZE,495,101,51087483,27523184,1739,6794,1349,10505282721,3411643518,0,0,94.23,37870.63,0,2030-04-05
2023,INC-5026,CAPEX_SUBSIDY,70,EXPORT_PROMOTE,1462,506,298518782,233500141,4367,6993,714,13327591857,8802347008,0,0,84.4,418093.53,0,2032-06-06
2019,INC-5598,CAPEX_SUBSIDY,90,R_AND_D,2405,1705,460775662,270110710,3232,5870,2520,16753786602,5230785250,0,0,73.67,182847.48,0,2026-02-23
2023,INC-8689,CAPEX_SUBSIDY,48,GREEN_TECH,2021,1489,188139926,174226600,3062,974,943,13952722602,11813106985,0,0,91.59,199512.12,0,2029-08-15
2022,INC-8007,CAPEX_SUBSIDY,30,GREEN_TECH,727,264,395153151,324266969,1199,430,113,14075340333,4045672138,0,0,88.71,3496930.54,0,2031-12-16
2023,INC-6224,GST_REFUND,83,EXPORT_PROMOTE,3348,986,435310457,349488073,1835,2130,485,2190009388,1354689949,0,0,72.32,897547.33,0,2032-07-21
2020,INC-4939,GST_REFUND,89,GREEN_TECH,3227,2898,42283666,28768506,2915,2702,951,3364940211,2747164336,0,0,96.83,44462.32,0,2030-04-09
2025,INC-4215,GST_REFUND,53,MANUF_UPGRADE,4094,2458,13741444,11047745,2419,1315,991,798013420,762933204,0,0,85.94,13866.24,0,2032-08-07
2018,INC-4767,GST_REFUND,98,MANUF_UPGRADE,2213,637,458396428,232595449,4784,7692,5383,7989498646,6437686430,0,0,60.15,85156.31,1,2031-08-19
2024,INC-1219,GST_REFUND,66,MANUF_UPGRADE,1503,743,451439082,324096490,4722,918,735,3993553181,3361897860,0,0,62.01,614202.83,0,2028-01-24
2024,INC-1287,GST_REFUND,92,EXPORT_PROMOTE,3881,3219,3078068,1656623,336,6962,1079,11479745751,7962306935,0,0,96.93,2852.7,0,2028-06-05
2024,INC-5021,CAPEX_SUBSIDY,38,MSME_FORMALIZE,2250,1054,347163087,237646317,4994,12,10,6104973762,4119983429,0,0,99.7,34716308.7,1,2027-11-26
2018,INC-6268,TAX_HOLIDAY,54,GREEN_TECH,3255,1056,18015873,9950094,385,1569,747,555200535,488995872,1,3848024,62.99,24117.63,0,2026-01-21
2024,INC-5144,TAX_HOLIDAY,97,MSME_FORMALIZE,3171,1519,446659863,411855984,3339,5459,2712,18454481392,13257898930,0,0,75.94,164697.59,1,2032-01-31
2023,INC-8205,EXPORT_REBATE,56,SKILL_DEV,1020,893,369875054,298419825,2545,3447,2910,2503523209,1871951659,0,0,65.89,127104.83,1,2029-07-25
2022,INC-0592,EXPORT_REBATE,39,MSME_FORMALIZE,2912,2155,80476054,44411272,844,6682,6393,15972261598,13227551044,0,0,84.31,12588.15,1,2031-08-27
2025,INC-8303,CAPEX_SUBSIDY,34,MSME_FORMALIZE,3319,1953,328876129,273263890,4680,2663,411,8048303939,7035865741,0,0,73.04,800185.23,0,2028-03-04
2018,INC-8539,INTEREST_SUBVENTION,49,MSME_FORMALIZE,3386,3177,51232745,42707119,3991,2694,873,804104099,204752015,0,0,77.68,58685.85,0,2028-02-19
2024,INC-0899,GST_REFUND,93,GREEN_TECH,1185,523,472314194,226192165,3225,6035,800,3649010809,2941848286,0,0,62.87,590392.74,0,2029-07-30
2024,INC-1106,EXPORT_REBATE,84,MSME_FORMALIZE,2659,1664,266102217,161383886,1012,7234,1568,7563927039,2618192388,0,0,62.35,169708.05,1,2029-09-11
2021,INC-4400,EXPORT_REBATE,79,SKILL_DEV,2058,1161,152789038,147639304,737,1047,444,12956267840,4298347731,0,0,69.01,344119.45,0,2030-07-29
2025,INC-9314,INTEREST_SUBVENTION,29,MSME_FORMALIZE,2834,1881,264544787,168161794,940,7635,1546,6298626864,3285812020,0,0,60.17,171115.64,1,2027-11-08
2024,INC-3113,INTEREST_SUBVENTION,66,GREEN_TECH,3341,799,358589306,263953391,1098,6852,1991,15270600841,10910793177,1,30545278,90.93,180105.13,1,2029-06-20
2023,INC-6142,EXPORT_REBATE,15,SKILL_DEV,2877,2385,66906103,53181260,4550,4204,3214,3653679353,2905434409,0,0,95.72,20817.08,0,2032-01-27
2022,INC-9346,EXPORT_REBATE,14,MSME_FORMALIZE,4706,976,64610880,25808896,1962,815,710,19787687716,19444361512,0,0,66.16,91001.24,1,2027-03-30
2020,INC-5640,EXPORT_REBATE,53,EXPORT_PROMOTE,4109,2206,4523588,1896943,417,70,27,14195341851,11672679182,0,0,94.35,167540.3,0,2027-09-25
2020,INC-9112,TAX_HOLIDAY,95,MANUF_UPGRADE,3219,797,125949959,112647178,835,802,417,13165091947,6411633010,1,19643264,77.17,302038.27,1,2028-02-03
2020,INC-8967,INTEREST_SUBVENTION,53,MANUF_UPGRADE,25,8,171646585,126026138,2265,1329,305,2912115340,2412726307,0,0,96.14,562775.69,0,2033-10-06
2022,INC-1893,CAPEX_SUBSIDY,62,R_AND_D,1091,777,124470578,57983246,988,1569,502,8938837816,6799926154,0,0,94.5,247949.36,0,2026-11-07
2020,INC-6043,INTEREST_SUBVENTION,64,GREEN_TECH,3607,2789,400039320,338435973,3944,4937,1995,10267007604,9162233319,0,0,71.01,200520.96,1,2033-08-03
2022,INC-8388,INTEREST_SUBVENTION,94,R_AND_D,1508,703,467748403,374118792,753,3161,809,15148814307,10255936847,0,0,72.79,578180.97,0,2031-05-25
2021,INC-6775,INTEREST_SUBVENTION,50,GREEN_TECH,4200,3846,480729169,243881071,3096,4162,3049,14781976574,6749869771,0,0,70.93,157667.82,1,2030-04-08
2022,INC-4215,TAX_HOLIDAY,84,GREEN_TECH,913,745,388859656,290684615,1683,2829,2771,17967776908,4664308604,0,0,93.3,140331.89,0,2029-11-29
2023,INC-2626,CAPEX_SUBSIDY,35,SKILL_DEV,4582,2790,430184465,414183725,4566,4026,3631,15456700796,10654995056,0,0,63.1,118475.48,0,2028-10-15
2021,INC-8859,INTEREST_SUBVENTION,35,MANUF_UPGRADE,2113,1788,189944682,150472799,2135,3318,800,10859795659,6081871804,0,0,96.2,237430.85,1,2031-02-25
2020,INC-4751,TAX_HOLIDAY,17,R_AND_D,639,433,199894949,76609342,2274,4802,4774,4074271861,3007353713,0,0,76.19,41871.59,0,2030-11-14
2021,INC-0781,CAPEX_SUBSIDY,84,R_AND_D,4155,3017,186663156,160170358,4001,5101,621,8478631693,3001285581,0,0,83.91,300584.79,0,2030-04-29
2025,INC-5132,GST_REFUND,88,EXPORT_PROMOTE,2467,2202,369063162,272439400,8,5325,884,17232308128,6989313262,0,0,79.19,417492.26,0,2029-08-26
2024,INC-4930,INTEREST_SUBVENTION,21,R_AND_D,2137,1881,434688372,281810710,3534,2909,2421,15843196720,6724878705,0,0,94.4,179549.1,1,2033-12-29
2025,INC-8942,EXPORT_REBATE,38,R_AND_D,817,720,497656783,307422325,31,2355,1855,6747680097,2476067967,0,0,63.08,268278.59,1,2032-08-09
2025,INC-0849,TAX_HOLIDAY,75,SKILL_DEV,3639,3058,185176294,174346325,479,402,387,952366169,779370797,0,0,80.3,478491.72,0,2031-12-02
2019,INC-1469,GST_REFUND,29,GREEN_TECH,862,758,193673251,120625266,4723,4913,845,18528332896,10149253013,0,0,89.02,229199.11,0,2033-02-01
2024,INC-1087,CAPEX_SUBSIDY,61,MSME_FORMALIZE,2095,1278,313423512,119189717,3766,7242,6561,890393426,300043388,0,0,84.19,47770.69,0,2033-04-29
2020,INC-2188,TAX_HOLIDAY,49,R_AND_D,366,264,58494787,38497116,4116,7715,6990,8720826797,2531846832,0,0,82.98,8368.35,0,2032-05-21
2025,INC-5078,EXPORT_REBATE,87,GREEN_TECH,107,53,90544516,49699121,3547,7759,7425,10650653860,8086815141,0,0,70.51,12194.55,0,2026-05-03
2020,INC-6512,TAX_HOLIDAY,48,GREEN_TECH,1018,477,480555277,182105408,1668,1329,1187,8121169826,4060550863,0,0,74.6,404848.59,0,2027-10-05
2020,INC-8958,GST_REFUND,50,R_AND_D,1022,238,337963559,199529009,2454,498,78,4115507553,3237238251,0,0,97.29,4332866.14,0,2032-10-15
2019,INC-0903,INTEREST_SUBVENTION,12,SKILL_DEV,4176,3169,269522831,106649181,109,0,0,13765670571,7436895977,0,0,71.1,269522831.0,0,2030-07-27
2023,INC-0972,CAPEX_SUBSIDY,27,MANUF_UPGRADE,2935,2243,306518328,206661513,2949,894,193,8521365788,5703903067,0,0,73.99,1588177.87,0,2028-11-10
2020,INC-8268,GST_REFUND,74,MANUF_UPGRADE,4436,3147,347394941,180849370,2154,315,166,19724441334,18059059550,0,0,64.45,2092740.61,0,2033-08-16
2019,INC-9686,CAPEX_SUBSIDY,42,MSME_FORMALIZE,2735,748,381582082,299342038,236,7289,1629,8443676315,6474125012,0,0,91.48,234243.14,1,2032-04-15
2024,INC-1875,INTEREST_SUBVENTION,45,SKILL_DEV,3673,2832,136922791,66916540,474,1227,533,18646033611,9134956541,1,15113155,62.54,256890.79,0,2028-04-28
2019,INC-3671,INTEREST_SUBVENTION,11,MSME_FORMALIZE,2011,1708,215233950,186282963,1377,3605,3236,2940269110,2582384198,0,0,79.37,66512.35,0,2032-05-17
2022,INC-3903,GST_REFUND,45,R_AND_D,353,303,402760077,393060988,1203,7740,2863,9505372342,4111658696,1,120555994,88.97,140677.64,1,2033-12-06
2023,INC-3939,EXPORT_REBATE,62,MANUF_UPGRADE,1173,467,203999299,92765583,4316,7769,2338,753345169,463735183,0,0,65.66,87253.76,1,2029-06-09
2019,INC-0315,GST_REFUND,68,EXPORT_PROMOTE,3033,1208,468318111,378215072,3260,5211,2882,18248929057,15014876084,0,0,81.06,162497.61,0,2033-09-19
2019,INC-0852,GST_REFUND,10,MSME_FORMALIZE,2712,2483,308206135,264738211,1546,494,227,5086841748,4630192146,0,0,77.58,1357736.28,0,2032-09-30
2022,INC-9829,INTEREST_SUBVENTION,53,EXPORT_PROMOTE,614,206,366637931,256230144,4197,1599,1554,2276740686,1559453074,0,0,84.22,235931.74,0,2032-09-23
2018,INC-7087,INTEREST_SUBVENTION,74,MSME_FORMALIZE,2048,1445,404056855,270285844,2456,2472,1657,18579826955,5216917401,0,0,77.24,243848.43,1,2026-06-04
2021,INC-9323,GST_REFUND,78,SKILL_DEV,351,204,40079833,17659072,2307,6884,4538,16558690968,6549888580,0,0,94.75,8832.05,0,2027-05-27
2018,INC-6183,INTEREST_SUBVENTION,10,R_AND_D,4418,1832,382788851,322707379,1816,7644,2458,14717317679,9229301076,0,0,71.23,155731.84,1,2029-09-30
2025,INC-8537,TAX_HOLIDAY,88,SKILL_DEV,2684,1979,374229661,189663957,1942,134,38,3640634888,1988363111,0,0,86.35,9848148.97,1,2028-03-01
2025,INC-5711,CAPEX_SUBSIDY,20,MSME_FORMALIZE,3007,1309,475686823,242921888,193,5827,689,8740396934,5042971794,0,0,64.24,690401.78,0,2030-07-09
2021,INC-9648,CAPEX_SUBSIDY,98,MANUF_UPGRADE,4931,4278,17097986,7295246,4334,1749,1467,16916119022,8330928393,0,0,95.41,11655.07,0,2027-08-11
2021,INC-3213,EXPORT_REBATE,61,MSME_FORMALIZE,1467,1317,29218887,14228003,1444,3945,495,14795115128,5143429869,0,0,94.04,59028.05,0,2031-07-02
2024,INC-6769,INTEREST_SUBVENTION,63,MANUF_UPGRADE,3870,3283,455118221,345923117,279,1602,1211,1924436921,557600423,0,0,83.17,375820.17,0,2032-08-06
2019,INC-4405,GST_REFUND,52,SKILL_DEV,4048,1412,62289638,57588651,1102,5824,3313,13276214705,7250287869,0,0,73.92,18801.58,0,2031-12-01
2023,INC-8865,CAPEX_SUBSIDY,66,SKILL_DEV,4851,4513,491722778,433769769,941,2095,473,16177601469,5793663710,1,162135533,96.86,1039583.04,0,2030-03-16
2025,INC-7155,TAX_HOLIDAY,73,EXPORT_PROMOTE,3369,1510,78531955,71885008,2621,7840,2656,836677850,559053339,0,0,86.63,29567.75,0,2026-04-05
2024,INC-9083,TAX_HOLIDAY,46,GREEN_TECH,4887,2922,374207076,227471950,4986,6555,1716,14336699575,6974815624,0,0,89.39,218069.39,0,2027-08-30
2019,INC-4453,GST_REFUND,20,GREEN_TECH,4015,3409,23265425,10854288,4917,420,275,18083421233,17526144502,0,0,91.74,84601.55,1,2028-03-31
2025,INC-3529,INTEREST_SUBVENTION,50,SKILL_DEV,1255,744,140837475,75304656,3474,4125,2722,9296032635,8966371673,0,0,76.5,51740.44,0,2030-05-16
2025,INC-4084,INTEREST_SUBVENTION,45,R_AND_D,2115,889,171956727,132680172,3191,2573,483,14974178987,6774251521,0,0,77.5,356018.07,0,2027-11-10
2020,INC-3552,INTEREST_SUBVENTION,20,GREEN_TECH,2987,1211,375814861,263652504,1609,4676,1646,5520563378,3574971093,1,96591184,60.26,228320.09,0,2029-11-23
2022,INC-2170,EXPORT_REBATE,79,MANUF_UPGRADE,2866,1644,301757908,211927723,3251,4596,1334,12271685502,3920220122,0,0,89.67,226205.33,0,2027-06-27
2025,INC-8550,TAX_HOLIDAY,51,SKILL_DEV,1356,940,29962275,25462672,3213,5427,4719,14670700514,6426426417,0,0,82.83,6349.28,0,2028-09-08
2019,INC-8212,INTEREST_SUBVENTION,22,GREEN_TECH,4837,3255,131296461,111333404,2979,5154,4817,12591636268,3378179926,0,0,96.66,27256.89,0,2031-01-06
2019,INC-8916,TAX_HOLIDAY,42,MSME_FORMALIZE,3161,635,141873215,103389168,4142,6293,1879,2970917292,1044969326,0,0,94.52,75504.64,1,2029-02-08
2021,INC-6462,EXPORT_REBATE,93,EXPORT_PROMOTE,3968,3015,281128004,201953313,4127,5526,4317,14122891680,4364896983,0,0,66.94,65121.15,1,2031-09-09
2019,INC-7085,GST_REFUND,77,MANUF_UPGRADE,3461,1640,388972097,291144916,3711,3149,507,14540148684,6026425595,0,0,95.61,767203.35,0,2032-12-30
2022,INC-3993,EXPORT_REBATE,97,EXPORT_PROMOTE,3208,3043,39332667,29326247,1141,2415,898,17252399440,14950684552,0,0,79.59,43800.3,0,2027-02-10
2021,INC-5267,CAPEX_SUBSIDY,49,SKILL_DEV,4129,1476,266534446,146406040,1279,1177,448,18454695626,16836344110,0,0,76.95,594942.96,0,2033-01-26
2018,INC-0732,TAX_HOLIDAY,19,SKILL_DEV,957,782,106403263,85448999,1036,4512,3597,2215495154,1944986654,0,0,64.97,29581.11,0,2028-04-06
2020,INC-4676,INTEREST_SUBVENTION,11,MSME_FORMALIZE,2221,1078,233589688,217424520,1958,5389,1348,12124741339,8243793586,0,0,62.58,173286.12,0,2030-09-25
2020,INC-9463,TAX_HOLIDAY,28,R_AND_D,1815,948,322763030,153437516,4569,789,701,7338779854,1903009905,1,50335228,62.78,460432.28,0,2028-11-24
2025,INC-0483,GST_REFUND,71,MSME_FORMALIZE,824,618,254862456,110633094,895,5651,4911,9082764615,2577390072,0,0,78.58,51896.24,0,2031-04-10
2020,INC-8290,CAPEX_SUBSIDY,54,SKILL_DEV,3216,2408,203498886,107457790,2095,1493,1301,8772908637,5583882063,0,0,86.14,156417.28,0,2031-12-26
2024,INC-9943,CAPEX_SUBSIDY,70,R_AND_D,1907,1111,200607864,125713521,249,6542,5822,6880571717,1793200448,1,16244194,99.94,34456.86,0,2033-12-25
2019,INC-6517,GST_REFUND,53,MSME_FORMALIZE,4724,1719,49563238,40954266,4692,5675,3077,14719354138,4834268073,0,0,78.2,16107.65,1,2028-01-25
2018,INC-0867,INTEREST_SUBVENTION,53,MSME_FORMALIZE,3580,2960,52203294,51032802,4873,669,202,17081283252,5258012759,0,0,71.81,258432.15,0,2031-11-12
2025,INC-4230,GST_REFUND,56,R_AND_D,4353,3159,77521825,43746445,4241,6380,6138,13275653132,8281740720,0,0,93.15,12629.82,1,2030-01-22
2023,INC-3341,INTEREST_SUBVENTION,97,MANUF_UPGRADE,2959,2667,125777197,101018167,3492,6093,1352,2178406289,1981617362,1,8676765,69.84,93030.47,1,2033-05-07
2019,INC-3766,GST_REFUND,94,R_AND_D,2439,1541,443402863,402161685,2431,3000,2098,2300453217,2098431916,0,0,62.74,211345.5,1,2027-09-04
2023,INC-0191,TAX_HOLIDAY,54,SKILL_DEV,4300,1863,240405743,87376602,3011,4157,1350,8643716157,7107462689,0,0,81.5,178078.33,1,2031-10-22
2021,INC-5936,INTEREST_SUBVENTION,27,MANUF_UPGRADE,1532,1297,472905196,302296513,234,459,328,792061943,468726443,0,0,80.43,1441784.13,0,2032-06-24
2024,INC-3837,EXPORT_REBATE,14,GREEN_TECH,953,200,378201262,267469393,1604,1803,1665,16654741159,10839834327,0,0,97.16,227147.91,1,2030-01-20
2020,INC-8139,EXPORT_REBATE,41,R_AND_D,1174,681,181885379,64720183,2498,5906,2675,5461451448,3808974719,0,0,64.12,67994.53,0,2029-06-25
2018,INC-6556,EXPORT_REBATE,80,GREEN_TECH,2390,1648,89795376,84137568,3072,1506,1230,10852835274,9089872336,1,12889484,88.61,73004.37,0,2028-12-24
2024,INC-0506,TAX_HOLIDAY,30,MANUF_UPGRADE,4243,3916,178167571,139806227,777,2451,1336,19772014992,18846814773,1,23040980,87.1,133358.96,0,2030-09-18
2023,INC-0066,CAPEX_SUBSIDY,72,GREEN_TECH,2802,1726,37930826,24794829,2769,3454,2791,6252040256,4530572739,0,0,65.99,13590.41,0,2031-03-17
2025,INC-5934,TAX_HOLIDAY,65,MANUF_UPGRADE,2984,1810,277677681,264809262,294,7989,4579,14692087399,5941179115,0,0,77.7,60641.56,0,2029-01-30
2018,INC-2066,EXPORT_REBATE,50,GREEN_TECH,3833,2654,411155636,342357381,4750,1699,703,18000317252,10471712241,0,0,92.52,584858.66,1,2032-08-15
2019,INC-4131,CAPEX_SUBSIDY,76,SKILL_DEV,3257,1963,471949246,401267943,3426,7066,3629,7678369336,2237302200,0,0,94.22,130049.39,1,2029-02-13
2021,INC-1802,CAPEX_SUBSIDY,94,MSME_FORMALIZE,4602,2254,234505752,191020738,2684,5330,2007,6395858662,6131246823,0,0,61.11,116843.92,0,2032-12-28
2018,INC-8902,TAX_HOLIDAY,29,MSME_FORMALIZE,277,141,408848568,334925183,619,936,634,14749906134,11666580098,1,26355328,68.94,644871.56,0,2032-09-24
2022,INC-6204,INTEREST_SUBVENTION,24,R_AND_D,409,99,254878338,225416353,3137,3638,3571,1338788021,1141216342,0,0,72.14,71374.5,0,2028-04-04
2023,INC-1425,CAPEX_SUBSIDY,77,GREEN_TECH,4936,2520,494895601,336707490,325,3955,1867,379915667,343720143,0,0,67.97,265075.31,0,2026-04-08
2022,INC-1347,CAPEX_SUBSIDY,58,MANUF_UPGRADE,3403,1106,184870912,75714755,2693,2993,1877,11209844760,5908929254,0,0,82.02,98492.76,0,2029-01-26
2024,INC-6768,CAPEX_SUBSIDY,73,EXPORT_PROMOTE,914,632,45854021,29919909,1130,34,10,325462064,188154833,0,0,94.3,4585402.1,1,2028-08-31
2021,INC-4391,EXPORT_REBATE,64,MSME_FORMALIZE,2863,1623,403294985,319973066,1894,68,40,8044035588,4674114700,0,0,63.85,10082374.62,0,2029-03-01
2020,INC-5503,INTEREST_SUBVENTION,33,R_AND_D,4695,1454,239253436,193764638,3105,2153,936,18962412885,8999707856,0,0,78.3,255612.65,1,2032-08-01
2025,INC-0005,TAX_HOLIDAY,54,EXPORT_PROMOTE,956,390,224928647,125877131,103,3558,3404,2409019154,2303132826,0,0,85.16,66077.75,1,2032-06-11
2022,INC-0499,GST_REFUND,15,MANUF_UPGRADE,3845,1068,167906722,159085709,328,4283,3335,11583080212,7117495296,0,0,61.28,50346.84,0,2031-04-25
2022,INC-2889,GST_REFUND,13,GREEN_TECH,4649,2294,74266826,67475014,3060,5993,3888,740883793,547362630,0,0,68.43,19101.55,1,2032-10-11
2024,INC-8093,TAX_HOLIDAY,71,MSME_FORMALIZE,4443,3700,424322781,269386243,4853,6190,3462,3441362781,2950380728,0,0,92.53,122565.79,1,2029-02-27
2023,INC-2197,TAX_HOLIDAY,18,EXPORT_PROMOTE,2770,2431,296575638,116070037,3565,6937,4103,11951395915,7522418845,1,21219478,81.55,72282.63,1,2032-08-15
2018,INC-8498,GST_REFUND,68,EXPORT_PROMOTE,1499,1150,480152709,448875259,3968,2584,464,10329952675,5870627237,0,0,62.73,1034811.87,0,2028-02-29
2024,INC-9542,INTEREST_SUBVENTION,93,GREEN_TECH,612,498,477045127,326798469,2555,3816,476,12152974716,7003109345,0,0,67.51,1002195.64,1,2027-07-16
2022,INC-3268,GST_REFUND,86,SKILL_DEV,2250,2124,408305237,329037390,886,5438,3485,5699430828,1820637234,0,0,60.3,117160.76,0,2032-08-26
2024,INC-8056,GST_REFUND,84,GREEN_TECH,2384,1682,468823859,410778365,3448,2730,1785,6904516097,5853657600,0,0,64.22,262646.42,0,2027-04-30
2019,INC-6485,INTEREST_SUBVENTION,52,SKILL_DEV,1061,249,60524244,50361144,4764,3326,1009,17464736173,16726967122,0,0,83.27,59984.38,1,2033-04-06
2020,INC-9832,CAPEX_SUBSIDY,78,GREEN_TECH,3971,1522,180733374,86640075,639,4410,3563,5256378462,1777007731,0,0,80.34,50725.06,0,2030-07-21
2025,INC-7327,CAPEX_SUBSIDY,51,SKILL_DEV,4173,2052,395739259,332558643,4957,5197,954,12918839369,8767878144,0,0,61.53,414821.03,0,2032-03-25
2024,INC-0462,TAX_HOLIDAY,45,MSME_FORMALIZE,901,374,44665186,34583270,1393,2867,2171,4935862247,2452430430,0,0,80.94,20573.55,0,2028-01-14
2019,INC-9445,EXPORT_REBATE,57,R_AND_D,3536,1357,38662855,33805674,3637,4022,2368,15744990142,13881656001,0,0,81.67,16327.22,1,2029-02-11
2023,INC-8379,CAPEX_SUBSIDY,93,SKILL_DEV,4958,3193,413764252,280694619,4503,2973,1170,15118029356,10047882133,0,0,78.53,353644.66,0,2026-09-01
2018,INC-0168,CAPEX_SUBSIDY,85,MANUF_UPGRADE,432,92,106433180,102967516,4722,7003,6359,17954731972,14356504659,0,0,89.88,16737.41,1,2032-07-29
2020,INC-6448,CAPEX_SUBSIDY,36,EXPORT_PROMOTE,2879,1171,91920992,83841197,4900,243,189,4149188834,3645645665,0,0,81.35,486354.46,1,2033-05-23
2023,INC-8092,GST_REFUND,45,R_AND_D,3985,1895,277916472,119600298,841,6973,6597,10117997573,5423170301,0,0,91.14,42127.71,1,2026-08-02
2022,INC-5146,GST_REFUND,58,MSME_FORMALIZE,2666,1759,418837684,214667203,435,5342,1925,3178801559,1612738605,0,0,91.4,217578.02,0,2026-09-28
2020,INC-7155,EXPORT_REBATE,18,EXPORT_PROMOTE,1229,336,329361980,207317996,1569,1398,922,9102351569,6822318135,0,0,95.5,357225.57,1,2028-09-13
2023,INC-5304,INTEREST_SUBVENTION,37,SKILL_DEV,4854,1797,471486500,225407829,1147,4750,3689,13581051467,6613209710,0,0,89.28,127808.76,0,2029-05-20
2025,INC-3999,GST_REFUND,26,MANUF_UPGRADE,722,657,76397481,58968536,4303,3520,2011,3976447632,2960580209,0,0,98.05,37989.8,1,2029-09-11
2018,INC-7426,TAX_HOLIDAY,68,MANUF_UPGRADE,4825,1787,396525838,204793798,3680,5714,5114,9994400420,7279771980,0,0,92.99,77537.32,0,2032-09-17
2025,INC-8502,EXPORT_REBATE,19,MANUF_UPGRADE,4500,3295,54295695,32837038,661,6919,2671,19542329046,19513856032,0,0,85.73,20327.85,1,2026-03-17
2024,INC-6075,TAX_HOLIDAY,67,MSME_FORMALIZE,950,770,226180507,132933962,1060,3391,2312,3644691182,1992287904,0,0,62.23,97828.94,1,2033-09-17
2020,INC-1931,EXPORT_REBATE,15,GREEN_TECH,87,65,285496035,254210763,1739,5555,3567,5659906664,4203192154,0,0,87.9,80038.14,0,2032-03-09
