gov_unionspend_obligation_date,gov_unionspend_program_cfda_number,gov_unionspend_awarding_agency_code,gov_unionspend_funding_subagency_code,gov_unionspend_recipient_uei_hash,gov_unionspend_recipient_type_code,gov_unionspend_award_amount_inr,gov_unionspend_award_type_code,gov_unionspend_assistance_listing_title,gov_unionspend_place_of_performance_lgd_code,gov_unionspend_primary_purpose_code,gov_unionspend_covid_relief_flag,gov_unionspend_infrastructure_act_flag,gov_unionspend_competition_indicator,gov_unionspend_matching_requirement_flag,gov_unionspend_period_of_performance_days,gov_unionspend_outlay_estimate_inr,gov_unionspend_deobligation_amount_inr,gov_unionspend_reporting_period_quarter,gov_unionspend_data_source_system
2019-12-17,266822,258110,MoE,GOV81215f54f704,GOV8WRA6,73992,239621,Skill Training 65,GOV47L80,GOV6IHKM,1,1,GOVMNHD2,0,3494,32440,530701,2018Q3,DBT
2022-10-17,115119,287663,MoHUA,GOVe4488c2b55c5,GOVXZW5B,378878,240508,Farm Support 80,GOV3HQVD,GOVMUJ15,0,0,GOV2DM8T,0,2612,5988383,545798,2021Q2,PFMS
2018-03-21,458905,348632,MNRE,GOV7862b593bfb1,GOVUX1LP,67497577,299962,Clean Water 38,GOV6WY5M,GOVATDR2,0,0,GOVAA877,0,2052,22773,722717,2019Q2,PFMS
2018-08-26,107751,111874,MoHUA,GOV64b34c7bb444,GOVZDINH,648699,270347,Farm Support 2,GOVN0I85,GOVCRDRF,0,1,GOV7SJ21,1,3464,23198698,32732752,2023Q2,CPGRAMS
2024-09-30,305836,186071,DoPT,GOV4f7e8d9d6cc7,GOVM1YUN,2878311,270072,Renewable Energy 40,GOVAHL5I,GOVALAEQ,1,1,GOVXTJ51,0,1834,48420539,763088,2021Q4,GeM
2020-09-08,445165,164490,MoHUA,GOVbfd43561b0f3,GOVTZRYL,38773666,343447,Disaster Relief 98,GOVD19Y6,GOV58MYR,1,0,GOVZ4TBS,0,850,48676324,434602,2026Q1,CPGRAMS
2019-09-10,293674,8292,MoHFW,GOVaa7c21f1c42d,GOVWWIVQ,987062,495830,Housing Upgrade 69,GOVQ97TW,GOV9T3RB,1,0,GOVEOS78,1,1362,57466,34091285,2024Q2,PFMS
2023-08-03,405501,71781,MoHFW,GOV6a90983e351c,GOVTI38L,6330396,283475,Housing Upgrade 3,GOVNIER9,GOV2IHOQ,1,0,GOVKNY55,1,520,45441139,492979460,2018Q2,IFMIS
2018-03-01,307540,234460,MoRD,GOV4feab590fb01,GOV8FQVZ,5217500,34531,Skill Training 84,GOVWL9ZD,GOVYRKDD,0,1,GOV13PLP,0,410,4312924,577542230,2026Q3,eProcure
2020-09-01,471057,396655,MoHUA,GOV402d2ef6682f,GOVUIKBA,390599422,273566,Clean Water 74,GOVI34TG,GOVVP0MC,1,0,GOVG3MY9,0,1919,49318,405597910,2023Q2,CPGRAMS
2024-07-20,269044,444295,MoE,GOVe14a4b3b0992,GOVV0MNT,67577029,135767,Urban Transit 90,GOV0F0D1,GOVM9OT4,1,1,GOV2K9S4,1,248,3759780,4669067,2021Q3,CPGRAMS
2019-11-30,58396,108288,MOF,GOV8b95e0eaeeab,GOV5PYAY,80003278,475521,Clean Water 79,GOVI46AS,GOV4D3Y8,1,0,GOVF2EDH,1,1504,647953,37986487,2021Q3,CPGRAMS
2025-09-05,239485,377144,MOF,GOV3441591fe00a,GOVT7AON,553687,74378,Rural Roads 30,GOVYDPZ4,GOVSDGQP,1,1,GOV0U4SV,1,3286,26872,81121,2021Q4,CPGRAMS
2024-05-13,148048,34374,MHA,GOV9b03b8c24217,GOV4GJHH,761588,85185,Clean Water 22,GOV64BXF,GOVVQU5F,0,1,GOVCYL2M,1,3177,49901,42184,2020Q4,eProcure
2018-12-09,68732,282598,MoRD,GOVa85aa946d669,GOVDUP5B,49094,211011,Rural Roads 40,GOV5MO2Z,GOVOM297,0,1,GOVCHT43,1,1184,156672,76719,2020Q2,IFMIS
2023-10-26,48115,256935,MeitY,GOV39d2683c617b,GOV881ET,4666700,64454,Urban Transit 52,GOVQOFQ1,GOVVX1FN,0,0,GOVAVGS0,0,840,73030,446941,2020Q1,GeM
2018-12-26,153522,303187,MoHUA,GOV5ac367b3a71b,GOV9JZE7,28077257,200574,Digital Health 84,GOVJAR70,GOVS2M6R,1,0,GOV0PRCR,1,1847,4455257,2049367,2024Q3,eProcure
2020-09-19,435083,315522,MNRE,GOV8df41885c3de,GOVHGHBI,70420,44597,Housing Upgrade 30,GOV2SGEH,GOVDBS42,0,1,GOVCNR9D,1,2332,50446,557323389,2024Q1,PFMS
2025-12-01,408799,268671,MoHFW,GOVecdc90a67721,GOVSUYLL,592274025,320424,Disaster Relief 66,GOV84X51,GOVJET9C,1,1,GOVF673B,0,2913,56844001,72655,2025Q3,eProcure
2021-01-02,89475,149732,MoRTH,GOV763637fcc3c2,GOVJPKH2,45056653,403519,Rural Roads 1,GOV8617T,GOVJD8X8,1,1,GOVV0ZRV,1,3291,46258195,628503440,2023Q3,IFMIS
2021-05-07,91899,339048,MeitY,GOV30141c7ea5ad,GOVPLP4R,4860517,231372,Urban Transit 63,GOVJN8NV,GOVHQ418,0,1,GOVS7G62,0,1430,547853,63334,2021Q2,CAG
2023-02-25,60221,178723,MoRD,GOVa7f6da3ca16c,GOVFSWY2,30859,112159,Urban Transit 9,GOVGX2UD,GOVUPJ5Z,0,1,GOVWG24L,1,3039,520633600,57266615,2020Q3,CAG
2020-03-28,321399,117684,DoPT,GOV6d67bfcf22f5,GOVEHAEG,358459009,26439,Clean Water 62,GOVBTF8S,GOVJGI4K,1,0,GOVPWM86,1,2036,1217400755,50806,2022Q4,eProcure
2023-12-01,245987,203290,MNRE,GOVa44fc4dae9d6,GOVGY1C8,390646,323241,Women Empowerment 36,GOVEMVH7,GOVI2LYF,1,0,GOV20DWS,1,853,42407,4389101,2022Q2,PFMS
2019-12-18,224664,102533,MNRE,GOV054fd723a023,GOVWYB0A,482535,113417,Skill Training 93,GOVCSPUD,GOVWA0TV,1,1,GOVBCDA7,0,2349,780850667,50483195,2025Q2,PFMS
2023-01-18,102750,301931,MoE,GOV5aacd4bcb5dc,GOVPDFLD,66888075,296639,Disaster Relief 65,GOV53MEN,GOVFA97R,0,0,GOVMMFB4,1,3153,87342,542208367,2020Q2,PFMS
2022-03-01,180282,462126,MeitY,GOV842110089395,GOVSBHRR,7943776,173195,Housing Upgrade 3,GOVN83WJ,GOVBSIFT,0,0,GOV1PW72,0,1602,331907827,45642972,2019Q1,eProcure
2021-06-05,360438,54074,MoRTH,GOVb77a76a438e2,GOVL0ONJ,47928762,62027,Digital Health 77,GOVHMGHY,GOVVZR7U,0,1,GOV0NUR9,1,1024,3415586,68820544,2024Q4,GeM
2025-04-11,37001,246920,MeitY,GOV3d691a8bf204,GOV8BPW0,46063,225177,Renewable Energy 98,GOVTFXOT,GOV4ZWVM,0,1,GOVJP95O,0,1075,582375,8615861,2018Q3,CPGRAMS
2023-12-06,444739,283499,MoRD,GOV5bae6ad5f2f3,GOV9TK3K,2861411,380648,Skill Training 22,GOV3GYY3,GOVQSUCT,1,0,GOVR56QA,1,3413,3082760,448137,2024Q1,PFMS
2024-08-18,419667,345498,MOF,GOV2179543d191e,GOV0GU81,32911,89243,Skill Training 80,GOVABM46,GOVA45YH,1,0,GOVM0MKP,0,537,5491091,520330,2018Q2,DBT
2021-06-02,91260,485422,MHA,GOV01bf971c8d2f,GOVS0Z96,55019,147972,Disaster Relief 58,GOVPBT1P,GOV8LSIG,0,1,GOVC3VOQ,1,2320,316660853,5398611,2023Q3,IFMIS
2020-10-27,462964,84660,MHA,GOV0e3ca2a9c539,GOV5E8WG,5908771,179955,Disaster Relief 24,GOVTZT0A,GOVFKPE5,0,1,GOV7RHWN,0,732,1643524,65023912,2021Q2,eProcure
2020-03-22,207379,114130,MoRTH,GOV8f64412162e0,GOVF3410,5075313,37219,Digital Health 45,GOVTR181,GOVHJ8WE,1,0,GOVFI3IY,1,2831,31622158,31457,2022Q4,GeM
2019-02-04,238564,37774,MeitY,GOVf4306fbcbb33,GOVVCWC1,300796006,200313,Farm Support 38,GOVIN6ST,GOVLSFAX,0,0,GOVDWLOV,1,1827,703215244,71157,2023Q4,GeM
2018-12-24,256518,381690,MoHUA,GOVfa2c2f1a62a9,GOVB9KGG,52748,284828,Skill Training 41,GOVDWGUJ,GOVF6SM7,0,1,GOVBAEZB,0,0,24876718,54969308,2024Q1,PFMS
2023-08-18,205931,83765,MoHUA,GOV24a112a5d639,GOVOQ1K1,6660822,421709,Rural Roads 72,GOVO70VL,GOVSXOP5,1,1,GOV9U6X5,0,2021,2564055,678573613,2022Q3,PFMS
2021-02-15,67556,170724,MoRD,GOV5d0b5c8b3c1c,GOV8TXP8,151634,434011,Housing Upgrade 90,GOVWBP3D,GOVQDYK7,0,0,GOVUAX7R,1,1263,6035158,62237656,2026Q2,DBT
2022-12-03,100970,278650,DoPT,GOVe0ed1ab27936,GOVQYXSD,555958,9763,Renewable Energy 26,GOV8F67A,GOVRK7G4,1,0,GOVF1FEQ,1,2818,2497315,31363855,2023Q2,PFMS
2021-10-13,176286,252374,MoE,GOV1873bbf8270d,GOV5O9V0,58280023,202939,Farm Support 85,GOV6PRIP,GOVRF463,0,1,GOVTBVXC,0,3194,41333448,785764798,2019Q1,CPGRAMS
2022-05-21,105486,164742,MeitY,GOV87700820538d,GOVSMNJQ,7123749,294999,Disaster Relief 24,GOVIATJ6,GOVKMYO8,1,0,GOVGZJ3I,0,1005,65148,389463,2020Q1,GeM
2021-04-13,76974,453791,MHA,GOVc6cf8e314c58,GOVYJOK0,64300,250519,Urban Transit 59,GOVLAN28,GOVHA7UY,1,1,GOV6IEEK,0,2160,5348519,5304658,2022Q4,eProcure
2019-12-22,85820,495945,MoRD,GOV36d9af4fcb19,GOVQMBZZ,545125558,68476,Rural Roads 84,GOV1KAZS,GOVWBD5Z,1,1,GOVC4PTP,1,3277,15271813,82217,2021Q3,eProcure
2020-11-16,294369,444917,MHA,GOVd58c07c76769,GOV611NZ,4657673,167987,Urban Transit 43,GOVDB7A7,GOVSX3B8,0,0,GOV47VCV,1,2818,595387,38405557,2026Q3,PFMS
2020-06-16,250621,108773,MOF,GOV3a8c6de958e5,GOVKQQ2V,779118166,348786,Renewable Energy 84,GOVVUYTA,GOVBZ3AG,1,0,GOVFCJDI,0,2727,3856440,179057613,2026Q1,GeM
2023-05-15,287397,397237,MoRTH,GOVd7306461b251,GOVU0LU7,232990836,204968,Digital Health 73,GOV6ZOJ9,GOVHB6OW,0,1,GOVYNO23,1,99,471918,192860,2022Q1,GeM
2023-10-18,495951,301956,DoPT,GOVa6b62c1506ce,GOV4F7XP,4829681,68434,Skill Training 72,GOV7SZY0,GOVOEDMY,0,1,GOVKRCNR,1,1132,467849,483731,2019Q2,CPGRAMS
2018-08-18,216239,251865,MeitY,GOV1d4f0ed3b944,GOV9KSQT,63256409,237438,Disaster Relief 63,GOVB4E3N,GOVRI2TC,1,1,GOV2NS46,0,285,46219885,1852080,2025Q2,PFMS
2019-07-27,238442,349354,MoHFW,GOV02d788009963,GOVLTJR4,79301,293441,Housing Upgrade 1,GOVVGPJZ,GOV88S7D,1,1,GOVWO3SG,1,3202,642677335,188797558,2020Q3,eProcure
2022-08-08,111012,479300,MoRD,GOV63b3c85f117a,GOV2ZE9W,820219,164850,Women Empowerment 86,GOVJU023,GOVR2R7W,1,0,GOV2KDSR,1,1943,3927108,67992,2021Q4,IFMIS
2018-06-25,290055,138728,MHA,GOVa53699682d6e,GOVEVNPX,47333490,448260,Housing Upgrade 47,GOVP4MPL,GOV3N49F,0,1,GOVRLZ9Z,0,603,39302211,232172,2021Q2,CAG
2020-07-18,311546,469148,MoRTH,GOV79d5700483fd,GOVGPT6F,4663,39390,Urban Transit 19,GOV2V63F,GOV743W6,0,1,GOVZY4IA,1,1188,466919,8580446,2019Q2,IFMIS
2024-09-13,245477,277455,MoHUA,GOVb408ee7442cc,GOVF0ZNN,742826,373908,Skill Training 50,GOV6E2K7,GOVG3OQL,0,0,GOVU14ZL,0,1372,407520,3802407,2024Q4,IFMIS
2023-11-03,13446,203160,DoPT,GOV1e4e9aa3bf45,GOV9KNKV,38230272,219966,Urban Transit 74,GOVW4QLZ,GOV83NNL,0,0,GOV1ZK8X,0,1991,59451226,645817,2026Q1,DBT
2021-07-28,183181,45834,MoHUA,GOV2d370906ef50,GOVEFW03,58346340,276922,Farm Support 47,GOVF14SJ,GOVS3GUR,1,1,GOV01L79,1,2649,6884274,369441817,2020Q2,DBT
2023-06-02,142947,158752,MoE,GOVe27e552aac04,GOV6JF3M,3400661,359498,Skill Training 49,GOVXWEHV,GOVF9TW6,1,1,GOVCWFJ2,0,560,41564,368993,2023Q1,IFMIS
2021-12-16,384412,118699,MoE,GOV5000e7efb50a,GOVNXEWU,76999501,354157,Skill Training 28,GOVVA6S5,GOV2RW18,0,1,GOV0BH68,0,3645,8418248,21744,2020Q3,eProcure
2023-04-21,120652,67902,MoE,GOV08717246390e,GOVEK964,2146489,288596,Clean Water 38,GOVZG581,GOVBLY5Z,1,1,GOV2LN0Y,1,588,6186305,3064667,2023Q2,CAG
2022-09-23,394646,95543,MOF,GOV3037d136c1c3,GOVC2WJN,6384151,130039,Rural Roads 88,GOVV0SGM,GOV50ACM,1,0,GOV7CSP6,0,843,323654,588238772,2026Q1,eProcure
2023-11-10,322074,79681,MoE,GOV82f147797f2d,GOVK5DM7,64334,169979,Farm Support 67,GOVU4SZW,GOVS229V,0,1,GOVZXAZ9,1,2280,540444,376304231,2021Q4,DBT
2018-09-08,408680,344427,MoHUA,GOV451aab84c3ae,GOVG35OA,559374,329149,Farm Support 61,GOV0WGH5,GOV9VA7U,0,1,GOVN9LTP,0,2924,51088,31136903,2018Q2,CPGRAMS
2021-10-06,126277,21652,MoE,GOV363242d9da5c,GOVPDXAU,46104,124380,Urban Transit 15,GOVRL8QI,GOVA4Z3Y,0,0,GOV1SIFF,1,1091,4078080,25383910,2018Q2,GeM
2025-01-06,163581,318421,MHA,GOV25a618fe954d,GOVS9LZY,5069538,389695,Women Empowerment 61,GOVY91AE,GOVAQ1JT,0,1,GOVRSKZS,0,210,34463134,1834673,2026Q2,GeM
2023-03-06,13602,215542,MoHUA,GOV30c91171d1a3,GOVX503J,4376937,402078,Clean Water 72,GOV6PZI8,GOV00RN0,1,1,GOVT114T,0,3214,673393,2470950,2023Q4,CPGRAMS
2024-06-20,165835,103093,MoE,GOV0df2df4f14ae,GOVARMEH,3410940,204706,Skill Training 98,GOV35ACV,GOVDBZVX,1,1,GOVTOT7Y,1,3298,61911,5312864,2021Q3,IFMIS
2018-12-19,484214,437452,MoRTH,GOVce3d0d66add7,GOVB4FBE,690851,432822,Women Empowerment 22,GOVCZ2MU,GOVJ0V33,1,1,GOVP69XG,0,3000,594935053,47160,2026Q4,CPGRAMS
2018-07-08,253864,241734,MHA,GOVdcc971def8c4,GOV4BWKT,6587396,428225,Clean Water 24,GOV0XOKM,GOVEJ4EV,1,1,GOVK9D3N,0,2322,3587450,14739993,2026Q4,PFMS
2023-11-12,480284,195038,MoE,GOV7c6c449297d0,GOVLERET,58433962,339212,Disaster Relief 22,GOV4H81S,GOVBDP3E,0,1,GOVO1V5F,1,3586,6946,282634,2024Q1,PFMS
2020-04-13,336466,34235,MOF,GOV6267bce7e079,GOVLR8NW,31306498,56098,Urban Transit 30,GOVSHOCB,GOVPHK51,0,1,GOV3FRZX,1,773,5566580,47440542,2025Q2,CPGRAMS
2025-05-13,69534,106244,MoRTH,GOV67b21e4146f4,GOV5OQYX,3052649,380955,Disaster Relief 90,GOVEV1L1,GOVHIBKO,1,1,GOV9UN5Q,1,1505,567287,483841049,2024Q2,GeM
2025-06-06,375480,290949,DoPT,GOV646e5321b37f,GOVSN38E,6801969,87465,Urban Transit 63,GOVO1781,GOV6M5NC,1,1,GOVYQV3K,1,2393,734848315,55688,2024Q4,GeM
2021-06-30,472414,383301,MOF,GOVbb7b90d652c0,GOVXCUQE,61015688,126624,Farm Support 48,GOVDK9R1,GOVFF5KL,1,0,GOVSM2UC,1,13,50469722,50237201,2018Q4,CAG
2018-12-31,448071,110237,MoRD,GOV1e83a5b1eeb4,GOVGJ5OE,3361706,196250,Disaster Relief 89,GOVCI5E8,GOVSAYLH,0,1,GOVDGY3Q,1,3175,8666789,5904,2024Q4,GeM
2024-03-12,363521,196214,MeitY,GOVd36529fdd453,GOVSXR5B,837422,351354,Rural Roads 26,GOVR0MXT,GOVPF7H7,0,1,GOVXVKYD,1,1212,863487,733211,2019Q4,DBT
2022-07-14,259273,108546,MoHUA,GOV8292109e97fd,GOV0UXO9,47870315,17130,Rural Roads 56,GOVNXG64,GOVEYGHF,0,1,GOV8QERQ,0,3615,644110,3931,2024Q2,IFMIS
2025-12-18,68768,153453,MeitY,GOV7303560e7612,GOVS64MC,452548,40526,Farm Support 62,GOV6OBOE,GOVN8JQF,0,0,GOV5L7R0,1,3616,5537641,53607956,2021Q3,IFMIS
2020-12-21,407361,95828,MOF,GOVb02c49b51250,GOVQUVZZ,515594,105496,Disaster Relief 98,GOVXLW13,GOV8SA81,1,0,GOVKWVEA,0,3511,549599095,48132616,2018Q3,CPGRAMS
2022-05-03,379926,431018,MoRTH,GOVd9c0a9427ae3,GOVIJQFK,397936,81749,Skill Training 67,GOV8XY3P,GOVXXBKR,1,0,GOV9108V,1,1222,6392958,47594648,2022Q1,PFMS
2021-12-11,203088,30306,MoRD,GOVdac88f630d5c,GOV1FVAD,431854,283466,Housing Upgrade 30,GOVOCIHP,GOVPM7E8,1,0,GOVE60RD,0,3590,4558338,86359943,2020Q4,GeM
2020-03-25,374619,157888,MoHFW,GOV3dd4741d70bc,GOVU5X2K,61938,59886,Housing Upgrade 35,GOVXSBQ5,GOVZ2ZJU,1,1,GOVVOTZ9,0,1087,55340,560375,2021Q1,GeM
2019-07-19,207757,250984,MNRE,GOVd2548850a568,GOVSXU3T,81396543,465602,Clean Water 59,GOV7TPAZ,GOVP4R7Q,0,0,GOVJOIQ2,1,2905,6582074,629877,2023Q2,CAG
2024-08-15,203408,156920,MoHFW,GOV985ae2b872eb,GOVN0U02,79844297,478719,Renewable Energy 86,GOVWIY67,GOVLPYXE,0,1,GOVFUCBR,1,1048,87063,44278556,2026Q3,PFMS
2019-11-28,125600,70342,DoPT,GOV1184144ea6d0,GOV5Z4RP,27482992,290844,Farm Support 71,GOVWRUCN,GOVU49Y1,1,1,GOVAMAZB,1,2070,73335,44461018,2024Q2,CAG
2020-01-08,492195,398270,MHA,GOV7b8026ac3cf9,GOVPLLGE,762843046,402167,Women Empowerment 74,GOVKBN6T,GOV3RVFO,1,0,GOVN1HGM,0,1957,89129288,112841362,2020Q3,CAG
2022-01-23,263033,285111,MoE,GOVdecdfdec7d3a,GOV4QA6J,59393648,68959,Farm Support 33,GOVYJTUH,GOVCO662,1,1,GOVM7YS4,1,618,40300,457166,2022Q1,CPGRAMS
2023-01-11,302120,471564,MHA,GOVa5a2ae5a38aa,GOVAK4FK,208760,85714,Digital Health 45,GOVZPOU8,GOVS9L6J,1,1,GOV4RM7A,0,878,151304409,54282,2023Q2,DBT
2019-07-07,403008,257590,MoE,GOV7fcd24670911,GOVECZTN,23723870,246328,Rural Roads 74,GOV3IRC1,GOVX12U6,1,0,GOVZQ0HJ,1,3409,27196,664288698,2025Q4,GeM
2025-10-19,294651,3907,MoE,GOV244976a91454,GOVSE6FS,283015044,317043,Skill Training 20,GOVKW4LE,GOVJLR12,0,0,GOVER014,1,2176,989700,6112166,2022Q1,DBT
2021-06-01,385939,383355,MoHUA,GOV02e325d5ee3c,GOVCU0XK,46617634,11493,Rural Roads 16,GOVPXDL7,GOV6KD77,0,1,GOV8MQFS,1,3033,16039,344179531,2021Q4,CAG
2022-10-20,154348,386592,MNRE,GOV6e72df5fc924,GOVC4VVA,46973234,19507,Women Empowerment 75,GOVJTAWH,GOVHVW4T,1,1,GOVPN812,1,2024,5743406,664980041,2025Q3,GeM
2022-07-18,363138,136035,MeitY,GOVf65a901be042,GOVNOCY8,58133,8652,Skill Training 34,GOV9ZF48,GOVSSUP9,0,0,GOV641VT,0,3608,5980510,63187,2022Q1,PFMS
2020-02-08,403180,260660,DoPT,GOV61f34e1a1a56,GOVREW4F,926401002,343690,Housing Upgrade 86,GOVTMK2Y,GOVU9B8Z,0,1,GOVVPBKE,1,2792,721465785,89833414,2019Q1,DBT
2018-12-22,146401,410896,MoE,GOV037169d35616,GOVE81NW,77384874,446993,Renewable Energy 42,GOVVCLP4,GOVDS6HZ,1,0,GOVIX2YH,1,165,5881540,42986,2018Q4,CPGRAMS
2019-06-01,94806,147070,MoHFW,GOV9098fa841cfb,GOVWYQJE,2897629,441074,Farm Support 32,GOVLZBT5,GOVDZYH0,1,1,GOVKZFVX,1,1950,57622,499630,2024Q1,eProcure
2020-04-16,240374,198288,MoRD,GOVdf54afac1390,GOVPCA1H,4582365,323780,Rural Roads 71,GOVGZELW,GOV7Y8OE,0,0,GOVNOVF8,1,201,830941,39459,2019Q4,eProcure
2023-06-10,111811,377486,MoRTH,GOV96267321715b,GOVGQFUE,412145,35762,Digital Health 94,GOVKOFPD,GOVCNZTT,0,0,GOV1YQQ8,0,2314,30417,467263489,2018Q1,IFMIS
2020-08-05,51435,391292,MeitY,GOV99839f171afe,GOV4OUSO,1683027,304703,Urban Transit 12,GOV67Z8C,GOVFRI4A,0,1,GOV0RQBX,1,495,696667522,170128,2019Q2,CAG
2021-02-26,406790,250122,MoHFW,GOVf0cc303c1b10,GOVMYLGQ,122746,326288,Housing Upgrade 23,GOVDAEIA,GOVTMN0A,1,0,GOVBJYJD,1,1623,26141,418295620,2018Q4,GeM
