energy_eff_program_year,energy_eff_program_id,energy_eff_measure_type_code,energy_eff_rebate_amount_inr,energy_eff_participant_count,energy_eff_kwh_savings_first_year,energy_eff_kw_savings_peak,energy_eff_therm_savings_first_year,energy_eff_lifetime_savings_mwh,energy_eff_cost_effectiveness_trc,energy_eff_cost_effectiveness_pac,energy_eff_net_to_gross_ratio,energy_eff_free_ridership_rate,energy_eff_spillover_rate,energy_eff_verification_method_code,energy_eff_evaluation_report_link_id,energy_eff_income_qualification_flag,energy_eff_contractor_network_size,energy_eff_market_transformation_score,energy_eff_measure_installation_time_days
2021,EFF2021-00034,led,67469.69,46096,484232.6,2369.088,345770.73,2314.457,1.204,0.842,0.879,0.121,0.0,onsite,RPT2021-000034,1,238,26.45,230
2018,EFF2018-00035,led,183171.61,47096,790392.95,1248.273,166703.37,6234.757,1.279,1.182,0.676,0.168,0.078,billing_analysis,RPT2018-000035,1,76,40.66,97
2021,EFF2021-00036,hvac,3502.22,41024,231063.49,1859.626,59671.4,616.916,1.127,1.121,0.767,0.202,0.152,engineering,RPT2021-000036,1,559,57.98,158
2021,EFF2021-00037,hvac,66256.82,18070,97696.07,4404.033,234725.11,285.295,1.667,0.05,0.662,0.13,0.034,onsite,RPT2021-000037,1,317,40.36,207
2022,EFF2022-00038,led,74472.37,38100,123120.0,3538.659,267441.39,407.729,1.489,1.022,0.622,0.233,0.0,billing_analysis,RPT2022-000038,0,257,52.16,70
2025,EFF2025-00039,hvac,118343.24,46647,345941.31,1163.884,43941.74,1422.182,2.047,1.287,0.92,0.016,0.161,onsite,RPT2025-000039,0,329,56.65,153
2024,EFF2024-00040,insulation,168207.7,21171,15103.16,4149.661,160832.48,120.317,0.199,0.996,0.879,0.077,0.146,onsite,RPT2024-000040,0,94,49.09,124
2023,EFF2023-00041,motor,179425.89,34746,604909.8,420.315,55524.41,2978.737,0.409,2.246,0.98,0.0,0.0,engineering,RPT2023-000041,1,498,38.58,120
2023,EFF2023-00042,motor,173051.01,4647,268446.99,2306.406,193887.23,1354.926,1.481,0.341,0.717,0.126,0.008,billing_analysis,RPT2023-000042,0,98,39.18,60
2021,EFF2021-00043,smart_meter,192323.77,48599,737069.76,1375.343,163671.15,7735.087,1.702,1.276,0.694,0.177,0.0,billing_analysis,RPT2021-000043,0,125,84.07,125
2022,EFF2022-00044,insulation,146361.27,47031,443526.98,4082.345,967.62,2694.439,0.1,0.371,0.98,0.027,0.101,engineering,RPT2022-000044,1,604,27.62,109
2018,EFF2018-00045,hvac,83941.54,9852,314189.54,75.495,412973.5,671.9,1.742,1.609,0.639,0.195,0.136,engineering,RPT2018-000045,0,392,33.73,108
2024,EFF2024-00046,smart_meter,51624.07,44749,239784.45,3509.148,20740.9,1301.687,1.465,0.366,0.629,0.125,0.213,onsite,RPT2024-000046,0,619,35.95,205
2024,EFF2024-00047,solar_rooftop,84840.84,9602,524907.19,1438.151,508773.47,5755.618,1.475,0.925,0.819,0.1,0.095,metered_savings,RPT2024-000047,0,97,58.59,184
2021,EFF2021-00048,led,91705.1,10101,660213.47,4325.435,496892.96,7538.54,0.566,0.05,0.655,0.174,0.194,metered_savings,RPT2021-000048,1,46,65.44,92
2021,EFF2021-00049,insulation,173217.29,34476,628117.49,4032.897,367527.32,3880.324,1.064,0.786,0.805,0.016,0.095,billing_analysis,RPT2021-000049,0,644,70.18,59
2020,EFF2020-00050,insulation,54914.58,24859,364757.33,2009.24,110120.05,3482.117,1.114,1.492,0.773,0.087,0.075,engineering,RPT2020-000050,1,428,54.51,113
2021,EFF2021-00051,led,88010.01,25754,723.69,3938.87,318123.72,8.032,1.506,2.032,0.886,0.127,0.122,engineering,RPT2021-000051,0,560,79.31,228
2019,EFF2019-00052,led,127644.19,23118,90334.51,3111.894,566322.32,410.842,1.931,0.958,0.787,0.096,0.093,billing_analysis,RPT2019-000052,1,570,36.09,26
2024,EFF2024-00053,motor,98464.69,35114,169614.32,4415.556,462842.2,388.584,0.281,0.05,0.573,0.218,0.2,billing_analysis,RPT2024-000053,1,100,53.97,129
2023,EFF2023-00054,smart_meter,36721.7,48277,736252.31,1663.195,150821.32,4476.378,1.808,1.255,0.621,0.173,0.0,billing_analysis,RPT2023-000054,0,411,60.05,53
2019,EFF2019-00055,led,158093.01,1964,211859.92,2287.237,356956.61,1687.816,1.18,0.647,0.869,0.309,0.173,metered_savings,RPT2019-000055,0,331,43.05,127
2021,EFF2021-00056,hvac,16328.09,45925,650393.6,4450.029,294251.51,2588.94,1.628,1.363,0.689,0.178,0.028,onsite,RPT2021-000056,1,484,57.38,213
2023,EFF2023-00057,insulation,122915.43,15346,677502.89,1365.675,87364.11,6212.984,2.178,1.903,0.751,0.081,0.098,billing_analysis,RPT2023-000057,1,156,53.72,124
2021,EFF2021-00058,hvac,93236.4,25485,516596.84,4362.507,147130.34,5107.295,0.783,1.059,0.875,0.109,0.001,randomized,RPT2021-000058,1,114,46.76,43
2022,EFF2022-00059,hvac,160903.43,35029,269614.61,1046.68,275173.99,2487.77,0.1,0.962,0.848,0.199,0.076,randomized,RPT2022-000059,1,594,21.84,98
2023,EFF2023-00060,building_retrofit,37218.73,22541,718722.86,1146.26,110346.41,5273.336,1.215,0.577,0.56,0.246,0.132,metered_savings,RPT2023-000060,1,353,80.28,232
2023,EFF2023-00061,motor,89693.12,8546,680580.35,2018.567,442730.91,4892.078,1.372,1.077,0.503,0.003,0.166,onsite,RPT2023-000061,0,155,56.29,12
2020,EFF2020-00062,building_retrofit,148095.25,22874,667643.32,2464.194,233953.38,7799.575,0.471,1.23,0.689,0.17,0.111,engineering,RPT2020-000062,1,135,54.42,119
2018,EFF2018-00063,led,17601.11,8966,83334.08,1712.87,364539.0,819.935,2.395,1.18,0.768,0.087,0.047,billing_analysis,RPT2018-000063,0,491,88.83,1
2023,EFF2023-00064,smart_meter,149258.59,30028,212511.62,3711.049,492059.28,2253.08,0.519,1.048,0.817,0.14,0.022,metered_savings,RPT2023-000064,0,29,75.17,137
2021,EFF2021-00065,ag_pump,28636.05,15472,381370.65,4214.671,461938.63,1603.917,0.965,1.62,0.618,0.123,0.108,billing_analysis,RPT2021-000065,0,292,43.14,119
2022,EFF2022-00066,led,216829.39,5371,258082.58,1707.166,229328.02,2461.15,1.58,1.792,0.701,0.09,0.076,billing_analysis,RPT2022-000066,1,66,44.43,238
2024,EFF2024-00067,building_retrofit,40374.54,33546,414176.54,4178.555,578846.26,1947.279,2.033,1.176,0.829,0.023,0.14,randomized,RPT2024-000067,1,389,66.08,13
2022,EFF2022-00068,motor,94891.87,44262,195098.98,376.75,465498.34,1173.66,1.34,0.269,0.722,0.079,0.091,metered_savings,RPT2022-000068,1,85,6.77,63
2022,EFF2022-00069,smart_meter,101799.48,32138,679201.69,1599.026,5994.51,2989.61,0.1,1.509,0.654,0.136,0.121,randomized,RPT2022-000069,0,217,48.93,100
2023,EFF2023-00070,ag_pump,25528.02,35259,112993.65,1553.996,291032.07,868.633,1.493,1.373,0.592,0.13,0.047,engineering,RPT2023-000070,1,170,49.68,60
2024,EFF2024-00071,motor,160138.76,25605,111233.61,495.636,492830.35,1271.053,1.001,0.915,0.723,0.144,0.0,randomized,RPT2024-000071,1,601,19.21,201
2023,EFF2023-00072,motor,75294.46,31922,42466.02,924.468,67173.99,257.581,0.226,1.127,0.621,0.164,0.0,onsite,RPT2023-000072,0,609,29.24,209
2018,EFF2018-00073,ag_pump,238274.87,29766,94734.67,2090.953,534322.75,824.736,1.012,0.867,0.811,0.212,0.091,billing_analysis,RPT2018-000073,0,171,16.91,42
2020,EFF2020-00074,hvac,172892.6,27907,587586.46,1788.226,87099.92,4322.599,1.886,1.044,0.826,0.039,0.015,engineering,RPT2020-000074,1,71,54.5,36
2018,EFF2018-00075,ag_pump,20966.34,34551,573656.63,3181.685,133964.99,2916.865,0.1,0.82,0.796,0.0,0.193,engineering,RPT2018-000075,0,217,60.63,146
2023,EFF2023-00076,smart_meter,88513.77,14301,132567.4,3667.846,233463.53,1026.235,0.1,2.504,0.787,0.361,0.069,engineering,RPT2023-000076,0,138,44.25,117
2020,EFF2020-00077,insulation,38701.0,19951,441725.87,383.382,490134.82,1116.917,1.083,1.05,0.496,0.142,0.072,onsite,RPT2020-000077,0,366,70.67,210
2019,EFF2019-00078,building_retrofit,215390.06,17479,78020.41,3652.01,357366.71,841.549,1.068,0.05,0.817,0.203,0.155,billing_analysis,RPT2019-000078,0,211,35.06,33
2023,EFF2023-00079,hvac,110073.81,420,326384.84,1927.964,26848.23,1229.836,1.048,1.085,0.821,0.116,0.107,metered_savings,RPT2023-000079,1,156,50.16,40
2020,EFF2020-00080,smart_meter,113504.82,42482,470381.6,3702.567,301424.11,1073.708,1.068,0.05,0.794,0.072,0.0,billing_analysis,RPT2020-000080,1,441,34.73,233
2021,EFF2021-00081,led,6566.28,623,790374.91,4141.185,199254.38,2495.525,1.887,2.705,0.672,0.163,0.0,billing_analysis,RPT2021-000081,1,608,53.24,185
2022,EFF2022-00082,ag_pump,231156.67,6846,250377.1,1361.196,557455.43,2321.073,0.118,0.05,0.895,0.061,0.034,metered_savings,RPT2022-000082,0,360,42.75,28
2025,EFF2025-00083,insulation,157920.19,22521,770115.19,1164.163,165012.0,3880.052,0.799,0.05,0.974,0.231,0.0,billing_analysis,RPT2025-000083,1,239,59.53,129
2019,EFF2019-00084,hvac,173266.2,8519,474097.06,151.008,554789.87,2090.727,0.651,1.087,0.708,0.0,0.18,onsite,RPT2019-000084,0,219,43.9,4
2023,EFF2023-00085,building_retrofit,148009.53,35304,728689.88,465.718,272354.61,3745.633,1.017,0.712,0.887,0.156,0.016,onsite,RPT2023-000085,1,333,39.87,148
2022,EFF2022-00086,solar_rooftop,166889.78,49748,423341.23,1634.236,451654.11,3264.301,2.054,0.876,0.843,0.027,0.143,metered_savings,RPT2022-000086,0,373,47.16,110
2022,EFF2022-00087,smart_meter,21171.84,34727,72064.44,540.951,441534.56,409.231,0.862,1.59,0.766,0.105,0.145,randomized,RPT2022-000087,1,593,50.07,189
2024,EFF2024-00088,building_retrofit,131618.3,24680,682258.97,1616.873,313461.39,4106.525,0.923,0.687,0.837,0.123,0.158,onsite,RPT2024-000088,1,195,85.59,121
2022,EFF2022-00089,led,125526.15,30464,45182.83,395.117,378180.18,381.273,0.512,0.493,0.785,0.122,0.137,billing_analysis,RPT2022-000089,0,375,66.11,184
2024,EFF2024-00090,smart_meter,4000.1,45354,558509.12,115.011,570429.02,3466.126,1.401,1.638,0.499,0.302,0.103,onsite,RPT2024-000090,0,467,63.94,28
2022,EFF2022-00091,smart_meter,90319.2,36675,500548.09,582.75,147986.45,2773.711,1.813,1.052,0.894,0.177,0.108,engineering,RPT2022-000091,0,340,61.55,130
2020,EFF2020-00092,smart_meter,152778.83,32186,702613.25,2991.762,109231.72,6373.017,0.53,0.65,0.852,0.143,0.02,onsite,RPT2020-000092,0,640,72.29,91
2025,EFF2025-00093,ag_pump,152157.39,43986,621586.97,4398.793,422474.59,5700.28,1.849,1.472,0.98,0.121,0.084,engineering,RPT2025-000093,0,498,61.98,173
2019,EFF2019-00094,hvac,237275.07,47695,433174.31,3696.913,149082.24,3004.899,1.597,0.766,0.879,0.151,0.166,randomized,RPT2019-000094,1,586,21.88,191
2018,EFF2018-00095,motor,227133.76,29698,578981.73,2102.965,196373.02,5712.367,0.739,1.183,0.946,0.114,0.026,onsite,RPT2018-000095,1,80,56.98,88
2020,EFF2020-00096,ag_pump,5919.21,7840,633403.99,2048.709,490589.38,5390.194,1.108,0.974,0.937,0.14,0.061,engineering,RPT2020-000096,0,350,50.39,18
2024,EFF2024-00097,solar_rooftop,9876.1,29656,63654.56,3989.716,277292.6,132.876,0.691,1.254,0.819,0.074,0.124,billing_analysis,RPT2024-000097,0,332,62.95,127
2023,EFF2023-00098,solar_rooftop,193780.53,49179,19747.28,1483.47,221654.34,206.586,1.684,0.331,0.756,0.165,0.099,engineering,RPT2023-000098,0,301,69.8,140
2023,EFF2023-00099,smart_meter,141680.16,2607,233297.9,829.373,25800.8,902.901,0.949,1.005,0.762,0.035,0.066,randomized,RPT2023-000099,0,212,70.59,12
2022,EFF2022-00100,building_retrofit,192136.88,39410,345103.33,1804.493,398334.49,2352.511,1.333,1.173,0.711,0.194,0.057,metered_savings,RPT2022-000100,0,419,94.44,201
2019,EFF2019-00101,insulation,146121.51,35070,599522.12,4401.143,589030.91,7184.17,2.012,1.258,0.856,0.118,0.22,onsite,RPT2019-000101,0,643,79.63,28
2022,EFF2022-00102,solar_rooftop,181003.07,11527,746390.09,2346.398,32883.9,5445.09,1.024,0.406,0.791,0.151,0.0,metered_savings,RPT2022-000102,1,280,27.83,30
2018,EFF2018-00103,solar_rooftop,190868.68,41650,456985.88,2518.923,167932.69,2559.803,1.252,1.347,0.623,0.235,0.164,onsite,RPT2018-000103,0,483,70.13,103
2024,EFF2024-00104,hvac,6002.1,14218,27709.29,1572.608,447273.54,135.554,0.733,2.67,0.768,0.257,0.023,randomized,RPT2024-000104,1,230,58.09,180
2023,EFF2023-00105,motor,98075.09,5993,535177.92,2346.134,311552.01,1994.187,0.922,0.461,0.98,0.113,0.034,onsite,RPT2023-000105,1,176,56.5,93
2018,EFF2018-00106,ag_pump,99579.72,35226,647392.3,2674.185,115671.68,1491.571,0.203,1.687,0.544,0.073,0.155,metered_savings,RPT2018-000106,0,207,48.45,28
2024,EFF2024-00107,motor,172816.0,25871,2075.45,3441.51,53830.23,13.376,0.756,1.38,0.808,0.074,0.171,engineering,RPT2024-000107,0,519,65.4,23
2025,EFF2025-00108,motor,160556.66,46403,272717.02,197.879,333584.21,827.742,1.352,0.573,0.698,0.085,0.024,onsite,RPT2025-000108,1,527,77.16,132
2020,EFF2020-00109,ag_pump,112953.21,48172,9571.58,2564.118,91054.41,100.724,1.559,1.0,0.771,0.285,0.169,billing_analysis,RPT2020-000109,1,274,85.95,159
2021,EFF2021-00110,motor,138271.19,5287,726529.64,4208.297,585938.45,6322.279,2.144,0.853,0.674,0.043,0.109,billing_analysis,RPT2021-000110,0,510,36.25,190
2021,EFF2021-00111,ag_pump,245149.18,6653,247219.59,243.033,419388.66,1288.044,0.607,1.532,0.786,0.196,0.145,billing_analysis,RPT2021-000111,0,645,58.09,156
2021,EFF2021-00112,led,47675.78,23329,643816.22,3680.82,599701.93,7115.49,0.631,0.05,0.75,0.149,0.043,billing_analysis,RPT2021-000112,0,337,49.13,37
2019,EFF2019-00113,hvac,24867.77,13410,794265.47,1725.974,27375.95,1615.886,1.32,0.113,0.979,0.071,0.125,randomized,RPT2019-000113,0,23,55.2,58
2023,EFF2023-00114,solar_rooftop,177098.1,38773,60077.38,1009.254,331278.17,427.953,1.508,0.426,0.878,0.117,0.03,engineering,RPT2023-000114,0,578,44.22,205
2022,EFF2022-00115,led,180829.72,14561,498719.69,2222.347,432338.48,5328.735,1.411,1.321,0.906,0.166,0.137,metered_savings,RPT2022-000115,1,471,71.79,3
2020,EFF2020-00116,hvac,246946.28,42355,350566.24,2532.344,25453.15,2255.668,0.984,0.497,0.842,0.198,0.148,randomized,RPT2020-000116,0,394,28.76,38
2019,EFF2019-00117,insulation,231205.55,38206,262035.85,732.989,307267.06,707.519,0.964,0.43,0.682,0.237,0.16,engineering,RPT2019-000117,1,294,37.04,227
2025,EFF2025-00118,led,125647.06,26365,331919.38,1374.901,188537.61,3503.15,0.926,0.75,0.757,0.0,0.174,onsite,RPT2025-000118,1,106,62.0,61
2018,EFF2018-00119,hvac,158537.4,21317,739117.16,2450.034,417770.72,5172.194,1.688,0.712,0.829,0.091,0.072,engineering,RPT2018-000119,0,197,45.36,79
2022,EFF2022-00120,hvac,202623.63,37490,365087.79,311.593,471005.17,887.09,1.203,1.38,0.796,0.213,0.155,randomized,RPT2022-000120,1,328,30.6,12
2022,EFF2022-00121,building_retrofit,16039.51,23013,118542.32,1559.223,276573.2,652.184,1.121,1.012,0.86,0.128,0.093,metered_savings,RPT2022-000121,1,216,70.73,117
2024,EFF2024-00122,insulation,191870.52,9953,296562.62,4266.516,517603.06,1173.181,0.1,1.003,0.957,0.19,0.228,billing_analysis,RPT2024-000122,1,499,100.0,23
2024,EFF2024-00123,insulation,139812.72,22437,146538.33,3886.85,181067.55,637.551,1.689,0.863,0.763,0.066,0.074,randomized,RPT2024-000123,1,240,53.25,204
2018,EFF2018-00124,smart_meter,49932.6,14915,229825.48,1380.788,277425.26,955.169,1.62,1.544,0.746,0.196,0.082,engineering,RPT2018-000124,1,610,70.62,170
2021,EFF2021-00125,led,164136.03,36130,684644.17,4356.391,172412.42,2120.638,0.318,1.322,0.574,0.05,0.146,metered_savings,RPT2021-000125,0,237,42.29,117
2019,EFF2019-00126,insulation,177264.44,48820,50074.08,4247.207,49773.95,469.61,1.209,0.29,0.696,0.159,0.039,onsite,RPT2019-000126,1,82,18.48,93
2024,EFF2024-00127,smart_meter,177459.21,27886,20739.18,4251.586,231662.77,214.083,1.635,1.14,0.863,0.072,0.122,engineering,RPT2024-000127,1,552,60.68,95
2025,EFF2025-00128,motor,143873.23,35670,346999.56,231.423,125659.45,3261.258,1.436,1.426,0.697,0.0,0.174,engineering,RPT2025-000128,0,158,46.13,187
2022,EFF2022-00129,hvac,12252.36,6485,402111.57,1828.441,85092.26,3897.139,1.427,1.306,0.713,0.074,0.129,onsite,RPT2022-000129,1,303,64.14,238
2018,EFF2018-00130,motor,158478.69,12467,218477.67,2802.048,220661.03,2587.213,0.964,1.07,0.92,0.172,0.132,randomized,RPT2018-000130,0,138,38.41,224
2023,EFF2023-00131,solar_rooftop,236649.48,7985,238450.45,93.078,209965.95,830.971,0.682,1.654,0.903,0.022,0.059,randomized,RPT2023-000131,1,303,49.42,81
2023,EFF2023-00132,solar_rooftop,231869.43,29474,577220.18,3413.103,46203.96,4221.933,1.102,0.961,0.722,0.202,0.069,onsite,RPT2023-000132,0,46,47.21,136
2020,EFF2020-00133,motor,222995.73,45336,630449.43,1355.139,52628.65,1825.403,1.537,1.665,0.849,0.195,0.102,onsite,RPT2020-000133,1,264,35.73,81
2018,EFF2018-00134,led,191308.88,43121,66933.67,1861.086,488004.16,169.332,0.183,1.426,0.623,0.087,0.0,billing_analysis,RPT2018-000134,1,394,52.42,200
2020,EFF2020-00135,solar_rooftop,178437.19,24479,244769.41,4248.254,68478.39,569.802,1.93,1.098,0.702,0.126,0.282,randomized,RPT2020-000135,0,588,59.96,220
2020,EFF2020-00136,insulation,142138.88,43960,366330.08,1648.522,231686.48,1827.371,0.596,0.798,0.857,0.16,0.062,engineering,RPT2020-000136,1,390,63.34,154
2022,EFF2022-00137,led,204481.48,2686,396988.83,3154.245,329610.02,1776.623,0.901,0.449,0.922,0.0,0.064,engineering,RPT2022-000137,0,385,53.62,110
2020,EFF2020-00138,building_retrofit,83923.06,17707,176693.91,577.516,198816.16,2013.804,1.077,0.346,0.821,0.137,0.0,onsite,RPT2020-000138,1,214,78.4,173
2021,EFF2021-00139,solar_rooftop,53165.3,17794,8112.7,483.533,498887.09,21.912,1.254,1.079,0.625,0.184,0.07,engineering,RPT2021-000139,1,138,40.52,55
2024,EFF2024-00140,ag_pump,156154.91,44465,412341.77,3166.621,469123.59,1316.662,1.39,0.837,0.688,0.148,0.115,randomized,RPT2024-000140,1,298,59.08,175
2018,EFF2018-00141,led,163492.91,38059,260959.76,2110.371,245674.9,1192.571,1.312,1.399,0.681,0.041,0.149,metered_savings,RPT2018-000141,0,287,86.09,88
2020,EFF2020-00142,building_retrofit,22398.39,16486,232565.39,978.467,85719.15,1723.703,0.262,0.633,0.98,0.134,0.061,engineering,RPT2020-000142,0,322,54.78,142
2021,EFF2021-00143,ag_pump,126671.08,46231,754430.62,1562.371,168986.99,8525.47,0.854,0.847,0.635,0.048,0.114,metered_savings,RPT2021-000143,0,471,53.92,220
2019,EFF2019-00144,smart_meter,188414.12,2802,789055.78,2556.697,174457.35,1721.459,1.531,0.203,0.724,0.15,0.163,metered_savings,RPT2019-000144,0,431,68.39,3
2025,EFF2025-00145,hvac,69576.43,44690,148662.15,874.806,438909.72,1269.467,0.964,0.756,0.98,0.161,0.095,onsite,RPT2025-000145,0,470,74.67,47
2018,EFF2018-00146,building_retrofit,142674.12,7826,729227.25,4217.525,186082.15,5112.147,0.862,1.126,0.664,0.164,0.107,billing_analysis,RPT2018-000146,0,112,66.7,100
2023,EFF2023-00147,smart_meter,193519.86,16616,298503.83,2222.125,519512.87,1822.223,1.285,1.22,0.589,0.0,0.088,engineering,RPT2023-000147,1,407,65.81,196
2020,EFF2020-00148,hvac,49840.02,4104,16609.35,3.51,240138.16,105.783,0.947,2.506,0.785,0.166,0.225,billing_analysis,RPT2020-000148,0,587,67.4,44
2022,EFF2022-00149,motor,108770.12,37484,640647.76,3309.368,572282.3,4664.959,0.745,1.937,0.906,0.0,0.019,metered_savings,RPT2022-000149,0,252,32.7,231
2024,EFF2024-00150,hvac,35655.3,20333,74842.25,535.813,467256.03,600.131,1.412,0.807,0.602,0.191,0.0,randomized,RPT2024-000150,1,221,65.65,123
2020,EFF2020-00151,led,210189.45,48351,369779.67,1057.118,527532.82,1370.864,1.647,2.261,0.745,0.198,0.117,metered_savings,RPT2020-000151,1,309,50.69,183
