safe_survey_survey_wave_id,safe_survey_respondent_household_id,safe_survey_perceived_safety_night_score,safe_survey_perceived_safety_day_score,safe_survey_victimization_any_flag,safe_survey_victimization_property_flag,safe_survey_victimization_violent_flag,safe_survey_reporting_to_police_flag,safe_survey_reason_not_reported_code,safe_survey_trust_in_police_score,safe_survey_fear_of_crime_index,safe_survey_neighborhood_disorder_index,safe_survey_social_cohesion_score,safe_survey_collective_efficacy_score,safe_survey_gun_heard_frequency,safe_survey_drug_activity_observed_frequency,safe_survey_lighting_adequacy_score,safe_survey_public_space_usage_score,safe_survey_survey_mode_type,safe_survey_weight_calibration_factor
WAVE003,HH000000042,5,8,0,0,0,1,TOO_MINOR,9,0.5759,0.1173,0.1095,0.2992,NEVER,OFTEN,1,0.6006,WEB,0.495781
WAVE004,HH000000043,5,5,1,0,0,1,NOT_APPLICABLE,1,0.6386,0.8944,0.6538,0.3472,SOMETIMES,RARELY,7,0.6023,PHONE,1.695439
WAVE005,HH000000044,10,7,0,0,0,1,NOT_APPLICABLE,6,0.0918,0.8581,0.7277,0.7742,NEVER,OFTEN,4,0.249,MAIL,0.774672
WAVE006,HH000000045,4,6,0,0,0,1,NO_TRUST,3,0.5823,0.6788,0.3565,0.1429,RARELY,SOMETIMES,0,0.0366,PHONE,1.500803
WAVE007,HH000000046,8,10,1,0,0,0,NOT_APPLICABLE,10,0.5329,0.532,0.8638,0.5139,SOMETIMES,NEVER,4,0.3779,WEB,1.365914
WAVE008,HH000000047,7,6,0,0,0,1,NOT_APPLICABLE,9,0.6037,0.5135,0.7057,0.1797,SOMETIMES,NEVER,3,0.184,PHONE,1.269689
WAVE009,HH000000048,5,7,0,0,0,0,NOT_APPLICABLE,4,0.5862,0.6,0.6167,0.4664,RARELY,SOMETIMES,10,0.1709,WEB,0.83302
WAVE010,HH000000049,6,6,1,0,0,1,TOO_MINOR,9,0.6351,0.915,0.8795,0.0009,NEVER,RARELY,1,0.0015,WEB,2.399174
WAVE011,HH000000050,5,2,0,0,0,1,NO_TRUST,4,0.6631,0.6244,0.5892,0.3162,NEVER,NEVER,5,0.8143,MAIL,1.682805
WAVE012,HH000000051,8,6,0,0,0,1,NO_TIME,7,0.8241,0.6821,0.937,0.1107,RARELY,RARELY,2,0.9906,PHONE,1.476062
WAVE013,HH000000052,3,9,1,0,0,1,NOT_APPLICABLE,1,0.3696,0.7883,0.0933,0.7886,NEVER,SOMETIMES,4,0.5936,PHONE,2.584438
WAVE014,HH000000053,0,10,1,0,0,1,NOT_APPLICABLE,9,0.8761,0.4682,0.6645,0.0871,NEVER,RARELY,4,0.5131,PHONE,2.441191
WAVE015,HH000000054,0,5,1,0,0,1,NOT_APPLICABLE,2,0.0431,0.0349,0.7035,0.1501,RARELY,NEVER,7,0.0323,WEB,1.166615
WAVE016,HH000000055,8,4,0,0,0,0,NO_TIME,10,0.1473,0.9843,0.5809,0.1755,OFTEN,NEVER,9,0.6292,WEB,0.423898
WAVE017,HH000000056,5,0,0,0,0,1,TOO_MINOR,10,0.472,0.9105,0.3748,0.4398,NEVER,SOMETIMES,6,0.3751,WEB,2.038334
WAVE018,HH000000057,3,9,0,1,0,0,NOT_APPLICABLE,4,0.6275,0.559,0.9353,0.1479,NEVER,SOMETIMES,1,0.5997,WEB,2.484298
WAVE019,HH000000058,2,6,1,1,0,0,NOT_APPLICABLE,3,0.9573,0.0828,0.634,0.8153,NEVER,NEVER,7,0.9693,WEB,1.920546
WAVE020,HH000000059,10,5,0,0,0,0,NOT_APPLICABLE,3,0.3104,0.3275,0.4274,0.9829,OFTEN,RARELY,0,0.4431,IN_PERSON,1.164834
WAVE021,HH000000060,4,9,0,0,0,1,OTHER,9,0.1179,0.429,0.7345,0.1237,RARELY,NEVER,4,0.6953,IN_PERSON,1.707561
WAVE022,HH000000061,7,8,0,0,0,1,NOT_APPLICABLE,0,0.4752,0.7871,0.7284,0.3659,RARELY,OFTEN,8,0.6203,WEB,2.602265
WAVE023,HH000000062,9,6,0,0,0,1,NOT_APPLICABLE,6,0.783,0.8965,0.1822,0.3709,RARELY,SOMETIMES,10,0.3712,PHONE,1.619061
WAVE024,HH000000063,4,10,0,0,0,1,NO_TIME,0,0.8359,0.7838,0.6765,0.8145,RARELY,NEVER,8,0.6642,WEB,1.805876
WAVE025,HH000000064,0,3,0,1,1,0,NOT_APPLICABLE,1,0.9065,0.1015,0.1055,0.1822,NEVER,NEVER,10,0.0573,WEB,2.825171
WAVE026,HH000000065,1,2,0,0,0,0,NOT_APPLICABLE,8,0.665,0.9722,0.593,0.598,NEVER,SOMETIMES,9,0.3331,PHONE,1.766817
WAVE027,HH000000066,8,7,0,0,0,0,NOT_APPLICABLE,9,0.4163,0.9959,0.9333,0.7019,NEVER,NEVER,6,0.7987,PHONE,0.629656
WAVE028,HH000000067,2,1,0,0,0,1,NOT_APPLICABLE,3,0.8618,0.7458,0.3719,0.4872,NEVER,RARELY,0,0.2774,PHONE,2.016874
WAVE029,HH000000068,0,9,0,0,0,1,NOT_APPLICABLE,5,0.5285,0.321,0.0965,0.7242,OFTEN,NEVER,9,0.6034,MAIL,2.992562
WAVE030,HH000000069,7,10,0,0,0,0,FEAR_RETALIATION,4,0.2835,0.2982,0.2404,0.2569,RARELY,NEVER,0,0.8317,WEB,1.927616
WAVE031,HH000000070,3,10,0,1,0,1,TOO_MINOR,9,0.8642,0.3408,0.2017,0.458,NEVER,RARELY,6,0.7012,WEB,1.620523
WAVE032,HH000000071,2,8,0,1,0,0,NOT_APPLICABLE,8,0.5336,0.4758,0.6855,0.929,RARELY,RARELY,2,0.1655,WEB,0.728935
WAVE033,HH000000072,1,10,0,0,0,0,NOT_APPLICABLE,4,0.9908,0.707,0.0134,0.2687,RARELY,RARELY,7,0.8171,WEB,1.917358
WAVE034,HH000000073,2,1,0,0,0,0,NO_TIME,9,0.7977,0.0436,0.5617,0.1776,SOMETIMES,NEVER,5,0.3472,WEB,2.491325
WAVE035,HH000000074,5,6,1,0,0,0,OTHER,6,0.5486,0.6338,0.7778,0.753,RARELY,OFTEN,4,0.1923,MAIL,2.77382
WAVE036,HH000000075,10,2,0,1,0,0,TOO_MINOR,5,0.7622,0.8807,0.5414,0.3895,RARELY,NEVER,6,0.498,MAIL,1.122895
WAVE037,HH000000076,5,9,0,0,0,0,NOT_APPLICABLE,0,0.1304,0.2596,0.4679,0.259,NEVER,RARELY,9,0.0765,WEB,1.769534
WAVE038,HH000000077,10,0,0,0,0,1,NOT_APPLICABLE,5,0.2919,0.708,0.3347,0.7654,NEVER,SOMETIMES,1,0.7101,WEB,2.96179
WAVE039,HH000000078,1,3,0,0,0,0,NOT_APPLICABLE,5,0.3262,0.9699,0.4047,0.4698,RARELY,RARELY,2,0.2055,PHONE,1.067746
WAVE040,HH000000079,4,2,0,0,0,0,NO_TIME,9,0.173,0.0541,0.3899,0.5265,RARELY,SOMETIMES,1,0.4088,WEB,1.095534
WAVE001,HH000000080,6,7,1,0,0,0,NOT_APPLICABLE,1,0.6097,0.0484,0.141,0.8783,RARELY,SOMETIMES,7,0.0477,WEB,1.600565
WAVE002,HH000000081,7,7,0,0,0,1,TOO_MINOR,10,0.3099,0.1976,0.9319,0.8437,NEVER,NEVER,0,0.1226,PHONE,0.855287
WAVE003,HH000000082,1,2,0,1,0,0,NOT_APPLICABLE,5,0.6927,0.9034,0.0217,0.7135,NEVER,NEVER,5,0.3609,WEB,1.366938
WAVE004,HH000000083,4,3,1,0,0,1,NOT_APPLICABLE,9,0.4299,0.5689,0.0073,0.6835,SOMETIMES,RARELY,3,0.1425,WEB,2.663137
WAVE005,HH000000084,2,8,0,0,0,0,NO_TIME,0,0.7015,0.1795,0.5375,0.0451,SOMETIMES,SOMETIMES,9,0.7702,MAIL,0.634455
WAVE006,HH000000085,0,6,0,0,0,1,NO_TRUST,2,0.4089,0.6558,0.8832,0.9767,OFTEN,RARELY,6,0.5818,WEB,1.831973
WAVE007,HH000000086,4,0,0,1,0,0,NOT_APPLICABLE,1,0.0336,0.3346,0.1652,0.7238,OFTEN,NEVER,2,0.8736,WEB,0.547547
WAVE008,HH000000087,0,4,0,1,0,0,TOO_MINOR,8,0.2249,0.3973,0.4397,0.6936,RARELY,SOMETIMES,6,0.5064,PHONE,0.416619
WAVE009,HH000000088,1,3,1,0,0,0,TOO_MINOR,7,0.7358,0.0352,0.3631,0.7697,SOMETIMES,NEVER,3,0.1677,IN_PERSON,0.766519
WAVE010,HH000000089,1,4,0,0,0,0,OTHER,5,0.2722,0.0812,0.8431,0.2312,SOMETIMES,SOMETIMES,1,0.1597,WEB,0.63866
WAVE011,HH000000090,4,5,0,0,0,1,NOT_APPLICABLE,1,0.0065,0.8303,0.0056,0.2566,NEVER,SOMETIMES,7,0.7649,WEB,1.83417
WAVE012,HH000000091,5,0,0,0,0,1,NOT_APPLICABLE,9,0.4177,0.5296,0.8682,0.7993,SOMETIMES,OFTEN,1,0.7921,WEB,2.358465
WAVE013,HH000000092,10,6,0,1,0,0,FEAR_RETALIATION,5,0.3872,0.2277,0.6103,0.6484,NEVER,NEVER,0,0.496,PHONE,2.717652
WAVE014,HH000000093,8,7,1,0,0,0,NOT_APPLICABLE,9,0.2278,0.2798,0.9761,0.5776,NEVER,SOMETIMES,7,0.1494,WEB,1.265546
WAVE015,HH000000094,2,9,0,0,0,0,NOT_APPLICABLE,3,0.1537,0.3353,0.7658,0.1507,RARELY,OFTEN,0,0.5377,MAIL,2.369432
WAVE016,HH000000095,8,4,1,0,0,1,TOO_MINOR,5,0.1142,0.3366,0.36,0.5391,NEVER,OFTEN,1,0.391,IN_PERSON,2.397607
WAVE017,HH000000096,2,9,0,0,0,0,NOT_APPLICABLE,9,0.7857,0.1401,0.4876,0.217,RARELY,RARELY,5,0.4498,WEB,1.367551
WAVE018,HH000000097,7,9,1,0,0,0,NO_TRUST,8,0.7699,0.7861,0.1748,0.4952,SOMETIMES,NEVER,9,0.1448,PHONE,1.366483
WAVE019,HH000000098,3,1,0,1,0,1,NOT_APPLICABLE,7,0.6274,0.4061,0.288,0.4936,NEVER,NEVER,6,0.7496,WEB,1.285278
WAVE020,HH000000099,8,8,1,0,0,1,FEAR_RETALIATION,8,0.7109,0.9327,0.7523,0.8448,NEVER,SOMETIMES,9,0.7644,IN_PERSON,2.384365
WAVE021,HH000000100,8,7,0,0,0,0,NO_TRUST,4,0.491,0.9518,0.8346,0.4013,NEVER,RARELY,7,0.4518,IN_PERSON,2.46503
WAVE022,HH000000101,0,8,1,1,0,1,NO_TIME,4,0.6141,0.8881,0.923,0.7314,NEVER,NEVER,7,0.0923,WEB,1.941449
WAVE023,HH000000102,0,8,1,0,0,1,NOT_APPLICABLE,3,0.028,0.8029,0.7296,0.8269,RARELY,SOMETIMES,9,0.6381,PHONE,2.846128
WAVE024,HH000000103,0,5,1,0,0,1,FEAR_RETALIATION,8,0.9014,0.0572,0.8668,0.6068,SOMETIMES,NEVER,8,0.1015,PHONE,1.100192
WAVE025,HH000000104,10,0,1,1,0,0,NO_TRUST,2,0.8506,0.4555,0.235,0.7224,NEVER,NEVER,6,0.4843,PHONE,1.798597
WAVE026,HH000000105,6,10,0,0,0,0,TOO_MINOR,6,0.9782,0.9398,0.017,0.0126,NEVER,OFTEN,4,0.646,WEB,2.194686
WAVE027,HH000000106,6,10,1,1,0,1,NOT_APPLICABLE,2,0.9066,0.9628,0.3229,0.9915,RARELY,NEVER,4,0.9185,WEB,2.738362
WAVE028,HH000000107,8,7,0,0,0,0,NOT_APPLICABLE,9,0.152,0.6158,0.0959,0.6138,RARELY,OFTEN,8,0.8622,PHONE,0.931181
WAVE029,HH000000108,10,4,0,1,0,0,NOT_APPLICABLE,9,0.575,0.6157,0.4705,0.6864,NEVER,NEVER,1,0.9933,WEB,1.150279
WAVE030,HH000000109,4,3,0,0,0,0,NO_TRUST,7,0.6927,0.597,0.1983,0.0144,RARELY,NEVER,9,0.7826,IN_PERSON,1.251834
WAVE031,HH000000110,2,8,0,1,0,1,NOT_APPLICABLE,6,0.3595,0.9731,0.8539,0.0036,NEVER,SOMETIMES,10,0.103,WEB,2.67151
WAVE032,HH000000111,4,1,0,0,0,0,NO_TRUST,10,0.8658,0.4536,0.861,0.9907,NEVER,RARELY,7,0.8017,WEB,1.337148
WAVE033,HH000000112,4,5,0,0,0,1,TOO_MINOR,4,0.2646,0.9705,0.1473,0.8331,SOMETIMES,NEVER,2,0.7277,WEB,2.472863
WAVE034,HH000000113,6,5,0,0,0,0,NOT_APPLICABLE,7,0.3645,0.7871,0.518,0.3279,NEVER,NEVER,1,0.2255,WEB,2.053383
WAVE035,HH000000114,0,6,0,0,0,1,NOT_APPLICABLE,9,0.4259,0.7592,0.1536,0.5596,RARELY,NEVER,8,0.4267,MAIL,2.683542
WAVE036,HH000000115,6,0,1,0,0,0,NOT_APPLICABLE,1,0.2213,0.6161,0.1644,0.5143,SOMETIMES,RARELY,4,0.2395,WEB,1.881651
WAVE037,HH000000116,9,1,0,0,0,1,TOO_MINOR,1,0.0807,0.712,0.4614,0.0891,RARELY,OFTEN,0,0.3792,IN_PERSON,2.518115
WAVE038,HH000000117,7,10,0,1,0,1,NO_TRUST,0,0.1815,0.3592,0.4524,0.7425,SOMETIMES,NEVER,10,0.9444,WEB,0.824661
WAVE039,HH000000118,9,4,0,0,1,0,NOT_APPLICABLE,4,0.3051,0.1479,0.8455,0.8427,OFTEN,OFTEN,0,0.965,MAIL,1.649758
WAVE040,HH000000119,5,5,1,0,1,0,TOO_MINOR,5,0.9521,0.3003,0.4959,0.5111,RARELY,NEVER,4,0.0639,WEB,0.370321
WAVE001,HH000000120,6,4,1,0,1,1,NOT_APPLICABLE,6,0.3444,0.7187,0.1886,0.026,NEVER,NEVER,10,0.1289,IN_PERSON,2.319945
WAVE002,HH000000121,6,7,1,0,1,1,NOT_APPLICABLE,6,0.0192,0.7856,0.1579,0.3883,NEVER,RARELY,10,0.6338,WEB,2.251273
WAVE003,HH000000122,4,5,1,0,0,0,TOO_MINOR,3,0.1152,0.6285,0.6284,0.9478,RARELY,RARELY,5,0.2554,MAIL,0.24579
WAVE004,HH000000123,7,0,0,0,1,1,NO_TRUST,7,0.4289,0.7608,0.8665,0.7223,SOMETIMES,SOMETIMES,10,0.959,PHONE,1.453021
WAVE005,HH000000124,10,7,0,0,1,0,TOO_MINOR,6,0.1599,0.5049,0.759,0.8135,RARELY,RARELY,0,0.6173,MAIL,0.431343
WAVE006,HH000000125,10,5,1,0,0,0,NOT_APPLICABLE,5,0.5408,0.7207,0.3288,0.7747,OFTEN,NEVER,8,0.5959,WEB,2.618742
WAVE007,HH000000126,4,0,0,0,0,1,NOT_APPLICABLE,6,0.5759,0.9038,0.6253,0.0582,NEVER,NEVER,5,0.8037,WEB,2.674561
WAVE008,HH000000127,1,3,0,0,0,0,NOT_APPLICABLE,4,0.7488,0.7472,0.3311,0.8478,SOMETIMES,RARELY,5,0.8599,PHONE,1.321104
WAVE009,HH000000128,9,7,0,0,0,1,NO_TRUST,7,0.0997,0.9954,0.2311,0.9699,SOMETIMES,NEVER,2,0.1385,MAIL,2.124584
WAVE010,HH000000129,3,8,0,0,0,0,NOT_APPLICABLE,8,0.39,0.5082,0.258,0.47,SOMETIMES,NEVER,6,0.8953,MAIL,0.535384
WAVE011,HH000000130,1,3,0,0,0,1,NOT_APPLICABLE,5,0.6686,0.2522,0.2837,0.3282,SOMETIMES,SOMETIMES,2,0.1192,PHONE,1.40021
WAVE012,HH000000131,9,5,0,1,0,1,FEAR_RETALIATION,9,0.9433,0.8901,0.1515,0.2163,SOMETIMES,SOMETIMES,10,0.1102,WEB,2.606081
WAVE013,HH000000132,2,4,0,1,0,0,NOT_APPLICABLE,10,0.6998,0.1832,0.3799,0.3058,RARELY,SOMETIMES,2,0.9673,WEB,0.808201
WAVE014,HH000000133,3,9,0,0,1,1,NO_TRUST,4,0.3916,0.9433,0.1972,0.4688,NEVER,SOMETIMES,1,0.1643,WEB,2.275551
WAVE015,HH000000134,5,6,0,0,0,0,NO_TRUST,9,0.1067,0.2801,0.4322,0.6052,NEVER,NEVER,6,0.425,MAIL,2.186298
WAVE016,HH000000135,6,2,0,1,0,1,NO_TRUST,3,0.7899,0.0192,0.9129,0.5186,SOMETIMES,NEVER,4,0.9336,WEB,2.262552
WAVE017,HH000000136,5,10,0,0,0,1,NOT_APPLICABLE,4,0.4638,0.3753,0.0649,0.894,SOMETIMES,NEVER,4,0.3658,WEB,0.727796
WAVE018,HH000000137,3,5,0,1,0,0,NOT_APPLICABLE,0,0.6253,0.4636,0.6065,0.925,RARELY,OFTEN,7,0.3764,WEB,2.292928
WAVE019,HH000000138,9,3,1,0,0,0,NOT_APPLICABLE,2,0.7312,0.7868,0.5265,0.4687,NEVER,NEVER,5,0.9859,PHONE,0.414746
WAVE020,HH000000139,1,8,0,0,1,0,NO_TRUST,4,0.4648,0.379,0.5664,0.954,NEVER,RARELY,8,0.8826,WEB,2.361807
WAVE021,HH000000140,5,10,0,0,0,0,NOT_APPLICABLE,4,0.7606,0.1519,0.2734,0.5659,OFTEN,SOMETIMES,3,0.0111,WEB,1.282103
WAVE022,HH000000141,9,1,0,1,1,0,NO_TRUST,4,0.7441,0.9853,0.3924,0.4645,NEVER,OFTEN,8,0.0127,PHONE,0.454017
WAVE023,HH000000142,2,1,0,1,0,0,NOT_APPLICABLE,4,0.7636,0.8697,0.9478,0.3944,SOMETIMES,NEVER,4,0.8403,WEB,1.982363
WAVE024,HH000000143,7,2,1,1,0,0,TOO_MINOR,9,0.6331,0.617,0.2024,0.7421,RARELY,SOMETIMES,0,0.6075,MAIL,2.772562
WAVE025,HH000000144,10,3,0,1,0,1,NO_TIME,4,0.4615,0.9899,0.3535,0.3813,RARELY,NEVER,3,0.9937,PHONE,0.311676
WAVE026,HH000000145,4,5,1,0,0,0,NOT_APPLICABLE,8,0.9348,0.3979,0.8524,0.8478,NEVER,RARELY,6,0.0744,WEB,0.802629
WAVE027,HH000000146,6,6,0,1,0,0,FEAR_RETALIATION,0,0.3583,0.4901,0.7429,0.8781,OFTEN,NEVER,6,0.4428,WEB,2.989861
WAVE028,HH000000147,3,6,0,0,0,1,NOT_APPLICABLE,6,0.1475,0.1608,0.985,0.0136,RARELY,SOMETIMES,10,0.5487,PHONE,2.734709
WAVE029,HH000000148,3,2,0,0,0,0,TOO_MINOR,10,0.8571,0.6245,0.8668,0.792,RARELY,NEVER,9,0.5473,MAIL,0.275878
WAVE030,HH000000149,8,5,0,0,0,1,NO_TRUST,1,0.7105,0.8444,0.503,0.536,SOMETIMES,NEVER,1,0.3155,PHONE,2.764844
WAVE031,HH000000150,0,7,0,0,0,0,TOO_MINOR,0,0.583,0.3157,0.5423,0.7825,NEVER,SOMETIMES,8,0.3097,WEB,2.964092
WAVE032,HH000000151,0,5,0,0,0,1,NOT_APPLICABLE,1,0.1288,0.6187,0.3858,0.5936,RARELY,NEVER,3,0.153,WEB,1.212738
WAVE033,HH000000152,2,9,0,0,0,1,FEAR_RETALIATION,4,0.0161,0.5126,0.1885,0.0818,RARELY,NEVER,7,0.0762,IN_PERSON,0.552919
WAVE034,HH000000153,9,3,0,0,0,0,NOT_APPLICABLE,6,0.3396,0.8388,0.1046,0.2515,SOMETIMES,SOMETIMES,1,0.4926,MAIL,1.996149
WAVE035,HH000000154,7,0,0,0,1,0,NO_TRUST,8,0.9396,0.3703,0.8216,0.1924,SOMETIMES,RARELY,9,0.4792,PHONE,2.140212
WAVE036,HH000000155,9,2,0,0,1,0,TOO_MINOR,4,0.7683,0.1624,0.7243,0.9294,RARELY,OFTEN,4,0.4637,PHONE,0.884782
WAVE037,HH000000156,6,4,0,0,0,0,NO_TRUST,9,0.1418,0.0331,0.3395,0.7739,NEVER,NEVER,8,0.8738,MAIL,2.860848
WAVE038,HH000000157,4,1,0,0,0,1,FEAR_RETALIATION,0,0.0562,0.1339,0.3082,0.0252,NEVER,NEVER,7,0.5038,WEB,2.016503
WAVE039,HH000000158,4,0,1,0,0,0,NOT_APPLICABLE,1,0.5903,0.3265,0.3698,0.6437,NEVER,NEVER,7,0.9559,WEB,0.718332
WAVE040,HH000000159,3,3,0,0,0,0,NO_TRUST,8,0.3063,0.2607,0.6737,0.6746,NEVER,NEVER,10,0.0402,PHONE,2.430642
