ph_env_reference_year,ph_env_country_iso2,ph_env_region_nuts_code,ph_env_heatwave_days_count,ph_env_heat_related_mortality_count,ph_env_cold_spell_days_count,ph_env_air_pollution_attributable_deaths_count,ph_env_noise_exposure_l_den_share_pct,ph_env_urban_heat_island_index,ph_env_green_space_access_pct,ph_env_water_quality_compliance_pct,ph_env_bathing_water_quality_code,ph_env_chemical_exposure_indicator,ph_env_endocrine_disruptor_risk_index,ph_env_climate_adaptation_measures_count,ph_env_health_alert_system_flag,ph_env_data_source,ph_env_methodology_version,ph_env_revision_round,ph_env_data_extract_date
2025,IT,CZ208,28,926,16,21863,33.73,2.53,46.12,77.47,UNKNOWN,59.56,19.92,34,1,CITY_MONITORING_NETWORK,ENVH_V3,FIRST,2024-12-12
2006,NL,SE4,9,584,25,35643,37.88,5.86,47.04,89.54,EXCELLENT,60.9,67.44,43,0,EEA_ENV_HEALTH,ENVH_V2,FLASH,2024-01-25
2007,SI,FR2,14,778,18,23378,22.92,4.28,61.17,91.48,GOOD,37.64,54.38,54,0,NATIONAL_ENV_AGENCY,ENVH_V1,BENCHMARK,2024-09-29
2008,BG,BE296,10,82,14,8826,23.17,2.87,19.71,80.2,SUFFICIENT,47.38,26.01,29,0,COPERNICUS_DERIVED,ENVH_V3,SECOND,2024-02-03
2009,EE,PT29,13,1052,5,15430,21.94,4.39,22.53,82.44,POOR,43.89,17.45,16,0,CITY_MONITORING_NETWORK,ENVH_V2,FIRST,2025-05-19
2010,HU,SI4,1,191,3,24354,9.56,4.02,37.55,81.7,UNKNOWN,26.0,68.87,45,0,EEA_ENV_HEALTH,ENVH_V1,FLASH,2025-04-05
2011,LU,LU815,4,483,3,29412,19.17,1.08,23.27,79.82,EXCELLENT,46.19,76.58,50,1,NATIONAL_ENV_AGENCY,ENVH_V3,BENCHMARK,2024-06-11
2012,RO,GR20,18,2050,19,14183,14.77,2.19,67.49,80.32,GOOD,56.02,70.12,52,0,COPERNICUS_DERIVED,ENVH_V2,SECOND,2025-05-13
2013,AT,HU240,11,268,13,19443,27.9,4.05,34.68,72.7,SUFFICIENT,38.06,41.81,43,0,CITY_MONITORING_NETWORK,ENVH_V1,FIRST,2025-01-11
2014,CZ,SE363,16,1230,10,14420,18.17,5.9,56.22,80.21,POOR,74.09,74.08,66,0,EEA_ENV_HEALTH,ENVH_V3,FLASH,2024-06-04
2015,DE,FI77,11,1643,17,29876,38.23,5.92,60.75,82.72,UNKNOWN,15.75,61.52,81,1,NATIONAL_ENV_AGENCY,ENVH_V2,BENCHMARK,2025-11-25
2016,LV,ES781,10,666,16,3873,35.65,2.98,39.67,95.86,EXCELLENT,28.31,16.68,45,1,COPERNICUS_DERIVED,ENVH_V1,SECOND,2026-02-18
2017,PL,PL328,10,491,4,2421,11.29,5.28,57.66,71.75,GOOD,47.57,67.56,37,1,CITY_MONITORING_NETWORK,ENVH_V3,FIRST,2024-03-25
2018,ES,DE6,25,1232,18,7577,20.31,0.64,55.71,84.76,SUFFICIENT,16.62,51.82,82,1,EEA_ENV_HEALTH,ENVH_V2,FLASH,2024-07-27
2019,HR,FI9,21,428,9,6729,33.04,0.7,58.31,98.15,POOR,49.81,87.43,77,1,NATIONAL_ENV_AGENCY,ENVH_V1,BENCHMARK,2025-07-09
2020,FI,IT343,12,152,2,35793,32.02,6.98,77.85,93.56,UNKNOWN,29.44,42.72,34,1,COPERNICUS_DERIVED,ENVH_V3,SECOND,2024-12-20
2021,IE,LU675,20,1222,14,22292,8.88,2.44,65.58,81.77,EXCELLENT,31.9,50.99,103,1,CITY_MONITORING_NETWORK,ENVH_V2,FIRST,2025-10-19
2022,MT,IT87,21,4320,6,31403,34.54,3.1,58.64,86.56,GOOD,10.47,15.05,32,0,EEA_ENV_HEALTH,ENVH_V1,FLASH,2025-02-15
2023,SK,EE31,29,1623,3,21422,33.08,1.53,19.97,88.93,SUFFICIENT,53.32,65.05,36,1,NATIONAL_ENV_AGENCY,ENVH_V3,BENCHMARK,2025-07-17
2024,BE,RO53,14,1308,1,17979,6.87,5.71,23.07,77.24,POOR,50.37,80.27,43,1,COPERNICUS_DERIVED,ENVH_V2,SECOND,2024-08-19
2025,DK,HU905,30,3947,6,24129,25.58,0.99,60.86,95.77,UNKNOWN,15.62,9.76,81,0,CITY_MONITORING_NETWORK,ENVH_V1,FIRST,2025-07-03
2006,GR,SK723,4,492,3,6146,31.12,0.83,68.51,80.12,EXCELLENT,20.77,8.29,25,0,EEA_ENV_HEALTH,ENVH_V3,FLASH,2025-01-27
2007,LT,IT829,9,1194,16,1598,20.39,6.6,67.01,95.05,GOOD,11.27,22.66,51,0,NATIONAL_ENV_AGENCY,ENVH_V2,BENCHMARK,2024-12-28
2008,PT,FI32,4,433,6,37418,31.09,3.74,80.81,84.12,SUFFICIENT,63.89,9.26,26,0,COPERNICUS_DERIVED,ENVH_V1,SECOND,2024-05-10
2009,SE,IT3,6,989,11,8097,10.78,4.77,48.88,73.46,POOR,43.6,55.4,27,0,CITY_MONITORING_NETWORK,ENVH_V3,FIRST,2024-10-15
2010,CY,BE368,3,135,7,23147,11.66,4.27,25.14,84.59,UNKNOWN,57.98,72.76,9,0,EEA_ENV_HEALTH,ENVH_V2,FLASH,2025-07-22
2011,FR,CY2,20,3010,1,37247,20.16,1.05,70.73,91.27,EXCELLENT,12.58,43.36,10,0,NATIONAL_ENV_AGENCY,ENVH_V1,BENCHMARK,2025-01-18
2012,IT,DK8,14,1126,15,21987,9.74,3.12,38.51,91.94,GOOD,70.76,55.59,23,0,COPERNICUS_DERIVED,ENVH_V3,SECOND,2026-02-07
2013,NL,PL17,7,31,12,18674,43.41,7.89,74.19,78.4,SUFFICIENT,60.82,85.92,46,0,CITY_MONITORING_NETWORK,ENVH_V2,FIRST,2025-03-04
2014,SI,IE29,12,1743,16,29838,13.39,2.12,55.56,91.13,POOR,35.41,43.66,24,0,EEA_ENV_HEALTH,ENVH_V1,FLASH,2024-11-09
2015,BG,PL98,10,1479,11,43161,34.96,2.95,73.98,72.57,UNKNOWN,66.91,9.04,29,1,NATIONAL_ENV_AGENCY,ENVH_V3,BENCHMARK,2024-05-16
2016,EE,ES421,13,2389,5,1019,23.85,1.33,29.17,89.88,EXCELLENT,73.53,8.43,66,0,COPERNICUS_DERIVED,ENVH_V2,SECOND,2025-08-09
2017,HU,FI3,25,1058,16,41595,36.0,3.03,80.25,93.29,GOOD,7.84,43.64,23,0,CITY_MONITORING_NETWORK,ENVH_V1,FIRST,2025-08-07
2018,LU,HR911,15,1558,11,14898,14.69,3.76,63.96,84.88,SUFFICIENT,61.03,46.94,34,1,EEA_ENV_HEALTH,ENVH_V3,FLASH,2024-07-16
2019,RO,CZ112,17,225,3,24519,35.06,7.6,80.84,88.83,POOR,15.43,66.77,43,0,NATIONAL_ENV_AGENCY,ENVH_V2,BENCHMARK,2024-09-08
2020,AT,ES7,23,3801,4,22222,12.8,5.19,59.55,88.83,UNKNOWN,13.66,72.3,40,1,COPERNICUS_DERIVED,ENVH_V1,SECOND,2024-01-14
2021,CZ,DK113,14,929,1,15896,16.45,2.92,29.05,94.35,EXCELLENT,69.11,72.39,90,0,CITY_MONITORING_NETWORK,ENVH_V3,FIRST,2026-01-01
2022,DE,FR982,13,3045,18,15288,39.11,4.19,45.98,90.21,GOOD,21.99,33.85,80,1,EEA_ENV_HEALTH,ENVH_V2,FLASH,2024-04-28
2023,LV,RO46,24,3513,6,44067,19.11,1.59,37.46,90.43,SUFFICIENT,40.82,71.78,29,1,NATIONAL_ENV_AGENCY,ENVH_V1,BENCHMARK,2025-07-19
2024,PL,CY7,16,132,10,2227,20.94,2.15,42.83,86.56,POOR,32.85,59.5,74,0,COPERNICUS_DERIVED,ENVH_V3,SECOND,2025-12-06
2025,ES,HR76,14,1522,17,35655,8.29,3.39,53.74,93.78,UNKNOWN,72.82,89.75,7,1,CITY_MONITORING_NETWORK,ENVH_V2,FIRST,2024-06-23
2006,HR,PL82,7,109,24,1812,22.63,6.6,70.18,100.0,EXCELLENT,36.63,65.91,25,0,EEA_ENV_HEALTH,ENVH_V1,FLASH,2024-02-14
2007,FI,PT6,4,234,2,36459,30.51,6.01,56.08,97.01,GOOD,71.06,20.51,14,0,NATIONAL_ENV_AGENCY,ENVH_V3,BENCHMARK,2025-08-10
2008,IE,NL7,9,1741,13,21910,9.23,1.96,38.66,70.72,SUFFICIENT,14.42,67.05,29,0,COPERNICUS_DERIVED,ENVH_V2,SECOND,2025-11-02
2009,MT,RO88,10,1494,8,2025,9.65,4.21,81.4,70.1,POOR,57.3,45.84,15,0,CITY_MONITORING_NETWORK,ENVH_V1,FIRST,2024-10-30
2010,SK,LT81,6,860,9,23517,23.83,3.68,45.54,88.17,UNKNOWN,9.2,22.37,8,0,EEA_ENV_HEALTH,ENVH_V3,FLASH,2025-04-15
2011,BE,FR89,2,403,11,24356,5.7,3.32,75.58,82.18,EXCELLENT,9.29,52.52,41,0,NATIONAL_ENV_AGENCY,ENVH_V2,BENCHMARK,2025-01-24
2012,DK,IE58,16,275,20,12293,21.69,0.62,79.23,92.18,GOOD,36.45,68.47,38,0,COPERNICUS_DERIVED,ENVH_V1,SECOND,2025-06-19
2013,GR,AT41,21,1384,0,5045,36.27,0.92,30.45,86.53,SUFFICIENT,25.36,50.2,39,1,CITY_MONITORING_NETWORK,ENVH_V3,FIRST,2024-07-13
2014,LT,CZ2,18,2837,11,21068,9.44,2.48,56.32,95.51,POOR,14.69,72.12,67,0,EEA_ENV_HEALTH,ENVH_V2,FLASH,2024-11-09
2015,PT,DE58,11,2518,13,39229,34.11,7.4,39.01,84.13,UNKNOWN,51.64,31.81,27,1,NATIONAL_ENV_AGENCY,ENVH_V1,BENCHMARK,2024-09-15
2016,SE,BE3,13,104,17,7569,26.51,6.4,25.0,91.87,EXCELLENT,24.02,10.99,30,0,COPERNICUS_DERIVED,ENVH_V3,SECOND,2024-06-12
2017,CY,CY907,12,397,11,6776,17.05,2.32,57.22,90.29,GOOD,11.26,39.43,59,1,CITY_MONITORING_NETWORK,ENVH_V2,FIRST,2025-01-14
2018,FR,GR743,21,1436,13,23693,9.23,2.6,45.74,73.47,SUFFICIENT,10.84,41.97,74,1,EEA_ENV_HEALTH,ENVH_V1,FLASH,2024-06-05
2019,IT,LT957,6,1128,0,26904,31.07,6.84,55.12,80.54,POOR,39.06,25.07,74,1,NATIONAL_ENV_AGENCY,ENVH_V3,BENCHMARK,2024-04-03
2020,NL,EE142,18,929,6,37510,20.47,2.28,39.49,95.6,UNKNOWN,47.21,28.42,76,1,COPERNICUS_DERIVED,ENVH_V2,SECOND,2024-01-28
2021,SI,DK898,26,1076,20,15857,28.53,0.67,51.89,93.28,EXCELLENT,38.67,64.95,23,1,CITY_MONITORING_NETWORK,ENVH_V1,FIRST,2025-03-27
2022,BG,IT41,16,258,14,16068,11.44,0.57,31.8,78.2,GOOD,57.38,8.13,27,0,EEA_ENV_HEALTH,ENVH_V3,FLASH,2024-02-26
2023,EE,PL671,30,1816,11,36113,10.1,3.9,27.49,82.27,SUFFICIENT,21.42,5.67,75,1,NATIONAL_ENV_AGENCY,ENVH_V2,BENCHMARK,2024-11-01
2024,HU,LU72,16,1193,11,2789,35.14,5.3,74.23,71.73,POOR,45.78,69.68,96,1,COPERNICUS_DERIVED,ENVH_V1,SECOND,2025-04-17
2025,LU,ES171,24,2396,11,27385,18.52,0.85,49.91,72.07,UNKNOWN,30.67,44.75,43,1,CITY_MONITORING_NETWORK,ENVH_V3,FIRST,2025-03-05
2006,RO,DE305,2,206,20,33969,31.57,3.2,39.72,78.01,EXCELLENT,61.45,63.69,9,1,EEA_ENV_HEALTH,ENVH_V2,FLASH,2025-03-02
2007,AT,RO7,9,438,1,36236,28.64,5.47,82.53,92.82,GOOD,62.77,31.38,40,0,NATIONAL_ENV_AGENCY,ENVH_V1,BENCHMARK,2025-01-31
2008,CZ,EE764,12,260,27,25781,32.08,3.38,24.15,97.63,SUFFICIENT,31.27,23.6,31,0,COPERNICUS_DERIVED,ENVH_V3,SECOND,2025-10-03
2009,DE,DK937,9,1176,14,28657,19.27,4.2,33.63,91.03,POOR,80.07,29.93,10,0,CITY_MONITORING_NETWORK,ENVH_V2,FIRST,2024-04-28
2010,LV,PL57,18,822,13,882,34.55,5.51,36.69,79.32,UNKNOWN,14.22,69.19,39,0,EEA_ENV_HEALTH,ENVH_V1,FLASH,2024-12-17
2011,PL,RO680,7,246,11,34912,36.79,5.54,60.74,92.03,EXCELLENT,43.08,36.25,24,0,NATIONAL_ENV_AGENCY,ENVH_V3,BENCHMARK,2024-06-05
2012,ES,PT55,7,247,19,9828,16.84,2.78,54.09,93.98,GOOD,71.94,11.72,60,0,COPERNICUS_DERIVED,ENVH_V2,SECOND,2025-03-14
2013,HR,ES43,14,416,10,10792,18.78,4.78,51.77,94.8,SUFFICIENT,66.06,24.32,29,0,CITY_MONITORING_NETWORK,ENVH_V1,FIRST,2024-04-14
2014,FI,PL30,12,530,17,2891,12.3,4.26,53.71,94.61,POOR,31.16,15.99,64,0,EEA_ENV_HEALTH,ENVH_V3,FLASH,2025-04-13
2015,IE,DE462,16,710,8,3779,19.06,1.96,52.01,81.96,UNKNOWN,34.04,12.35,28,0,NATIONAL_ENV_AGENCY,ENVH_V2,BENCHMARK,2025-11-10
2016,MT,BG322,12,49,10,7880,28.07,4.32,68.42,81.05,EXCELLENT,52.94,26.21,33,0,COPERNICUS_DERIVED,ENVH_V1,SECOND,2025-12-17
2017,SK,ES386,23,2536,19,27242,10.28,6.55,55.7,90.82,GOOD,35.72,31.78,51,0,CITY_MONITORING_NETWORK,ENVH_V3,FIRST,2024-04-03
2018,BE,SI72,28,348,1,20717,7.76,1.09,75.47,90.51,SUFFICIENT,18.18,22.93,46,1,EEA_ENV_HEALTH,ENVH_V2,FLASH,2025-11-09
2019,DK,HU29,13,382,11,9641,8.85,4.92,30.36,74.28,POOR,55.83,79.09,34,1,NATIONAL_ENV_AGENCY,ENVH_V1,BENCHMARK,2024-01-31
2020,GR,RO34,7,210,19,36809,12.76,6.06,24.07,90.62,UNKNOWN,51.97,23.1,20,1,COPERNICUS_DERIVED,ENVH_V3,SECOND,2025-05-01
2021,LT,FR431,2,102,7,2710,33.52,1.41,73.52,92.84,EXCELLENT,68.39,25.5,81,1,CITY_MONITORING_NETWORK,ENVH_V2,FIRST,2025-07-24
2022,PT,CZ516,23,445,7,17744,31.47,6.86,22.02,73.67,GOOD,31.28,30.42,62,1,EEA_ENV_HEALTH,ENVH_V1,FLASH,2025-02-03
2023,SE,BE364,19,607,17,40543,37.5,2.6,40.05,80.3,SUFFICIENT,16.9,32.34,51,1,NATIONAL_ENV_AGENCY,ENVH_V3,BENCHMARK,2024-04-16
2024,CY,AT721,9,45,8,23656,23.55,4.15,38.96,82.94,POOR,70.43,68.63,24,1,COPERNICUS_DERIVED,ENVH_V2,SECOND,2025-08-31
2025,FR,IT903,19,2706,3,32564,36.65,0.96,41.39,78.96,UNKNOWN,15.23,12.67,64,1,CITY_MONITORING_NETWORK,ENVH_V1,FIRST,2026-01-28
2006,IT,ES369,12,2645,11,39827,27.0,6.63,47.15,91.17,EXCELLENT,71.44,75.89,13,0,EEA_ENV_HEALTH,ENVH_V3,FLASH,2024-12-19
2007,NL,CY13,8,897,20,18346,16.35,5.04,33.81,96.77,GOOD,36.26,43.78,6,0,NATIONAL_ENV_AGENCY,ENVH_V2,BENCHMARK,2025-02-05
2008,SI,SE16,2,121,3,31115,10.53,4.94,82.45,80.03,SUFFICIENT,42.32,21.01,12,0,COPERNICUS_DERIVED,ENVH_V1,SECOND,2025-02-22
2009,BG,HR253,12,780,16,32403,25.35,1.38,71.07,86.89,POOR,18.18,12.64,7,1,CITY_MONITORING_NETWORK,ENVH_V3,FIRST,2025-05-05
2010,EE,BG381,7,310,20,27084,23.76,2.58,61.81,93.59,UNKNOWN,60.58,10.42,28,0,EEA_ENV_HEALTH,ENVH_V2,FLASH,2025-10-22
2011,HU,EE27,18,1885,2,12542,13.62,2.56,41.74,95.04,EXCELLENT,29.56,19.11,46,0,NATIONAL_ENV_AGENCY,ENVH_V1,BENCHMARK,2025-09-03
2012,LU,MT1,23,1310,5,27582,33.36,5.92,75.07,80.94,GOOD,65.22,74.58,50,0,COPERNICUS_DERIVED,ENVH_V3,SECOND,2024-05-06
2013,RO,GR27,10,903,21,42816,8.22,6.49,37.91,91.21,SUFFICIENT,54.79,33.38,66,0,CITY_MONITORING_NETWORK,ENVH_V2,FIRST,2025-06-18
2014,AT,MT367,7,587,14,22006,31.37,5.39,67.51,75.17,POOR,73.43,32.94,55,0,EEA_ENV_HEALTH,ENVH_V1,FLASH,2025-03-24
2015,CZ,HR733,5,362,21,8132,30.76,4.06,55.72,78.09,UNKNOWN,24.75,36.44,14,1,NATIONAL_ENV_AGENCY,ENVH_V3,BENCHMARK,2024-02-27
2016,DE,FI133,14,1583,3,21753,10.98,3.72,35.01,74.23,EXCELLENT,64.63,55.98,53,1,COPERNICUS_DERIVED,ENVH_V2,SECOND,2025-08-12
2017,LV,BE4,13,3024,19,15738,6.42,4.69,21.75,76.5,GOOD,44.65,14.52,80,0,CITY_MONITORING_NETWORK,ENVH_V1,FIRST,2025-12-27
2018,PL,BE8,12,2142,20,8121,30.57,6.79,73.6,72.51,SUFFICIENT,70.99,53.47,46,1,EEA_ENV_HEALTH,ENVH_V3,FLASH,2025-06-08
2019,ES,IE98,23,1973,16,17593,11.48,2.93,58.58,85.66,POOR,31.19,33.94,21,1,NATIONAL_ENV_AGENCY,ENVH_V2,BENCHMARK,2025-10-21
2020,HR,MT46,28,1376,0,11688,15.95,1.48,63.0,79.27,UNKNOWN,25.96,10.28,41,1,COPERNICUS_DERIVED,ENVH_V1,SECOND,2024-11-02
2021,FI,RO78,13,1232,14,7696,31.43,7.28,76.06,94.01,EXCELLENT,18.65,15.6,60,1,CITY_MONITORING_NETWORK,ENVH_V3,FIRST,2025-11-17
2022,IE,AT7,20,1517,2,39619,6.74,3.87,61.03,91.08,GOOD,61.52,35.96,13,0,EEA_ENV_HEALTH,ENVH_V2,FLASH,2024-03-23
2023,MT,RO692,12,37,12,3289,21.43,2.01,83.08,91.37,SUFFICIENT,69.16,25.54,36,1,NATIONAL_ENV_AGENCY,ENVH_V1,BENCHMARK,2025-02-24
2024,SK,PL46,12,1703,9,5268,28.57,7.85,71.46,94.27,POOR,64.23,60.08,51,1,COPERNICUS_DERIVED,ENVH_V3,SECOND,2024-01-03
2025,BE,PT15,20,1838,13,43426,28.95,4.56,63.62,81.08,UNKNOWN,33.7,28.92,68,1,CITY_MONITORING_NETWORK,ENVH_V2,FIRST,2024-03-11
2006,DK,FI75,8,397,27,26484,29.62,0.64,92.14,92.13,EXCELLENT,12.88,18.85,53,0,EEA_ENV_HEALTH,ENVH_V1,FLASH,2025-05-29
2007,GR,PL533,9,73,21,23554,29.74,7.89,30.95,82.33,GOOD,47.82,89.78,27,0,NATIONAL_ENV_AGENCY,ENVH_V3,BENCHMARK,2025-01-10
2008,LT,IT812,10,822,11,21246,19.2,6.48,61.24,86.59,SUFFICIENT,29.02,70.08,27,0,COPERNICUS_DERIVED,ENVH_V2,SECOND,2025-04-15
2009,PT,HU3,15,142,9,30805,31.61,5.73,27.84,100.0,POOR,71.46,76.3,57,0,CITY_MONITORING_NETWORK,ENVH_V1,FIRST,2024-09-16
2010,SE,NL36,8,780,16,22481,32.3,7.79,62.63,80.04,UNKNOWN,72.08,63.86,8,1,EEA_ENV_HEALTH,ENVH_V3,FLASH,2026-02-15
2011,CY,ES88,18,2150,3,14264,27.77,2.19,60.38,80.78,EXCELLENT,42.53,52.71,24,0,NATIONAL_ENV_AGENCY,ENVH_V2,BENCHMARK,2024-06-17
2012,FR,SK1,16,378,1,23617,27.51,2.0,21.61,100.0,GOOD,52.55,40.3,62,0,COPERNICUS_DERIVED,ENVH_V1,SECOND,2025-11-12
2013,IT,RO62,21,1280,5,14209,43.69,5.72,41.06,80.11,SUFFICIENT,11.34,12.85,69,0,CITY_MONITORING_NETWORK,ENVH_V3,FIRST,2025-06-17
2014,NL,EE963,11,783,5,3605,15.11,4.96,71.5,86.63,POOR,23.75,34.89,19,1,EEA_ENV_HEALTH,ENVH_V2,FLASH,2024-10-21
2015,SI,BG931,12,527,6,6965,11.77,1.2,47.99,100.0,UNKNOWN,51.27,49.15,32,0,NATIONAL_ENV_AGENCY,ENVH_V1,BENCHMARK,2025-04-04
2016,BG,BG205,9,1204,11,9293,26.58,2.26,27.12,82.44,EXCELLENT,53.59,21.7,57,1,COPERNICUS_DERIVED,ENVH_V3,SECOND,2024-09-09
2017,EE,BG3,15,1307,6,29184,5.63,3.88,65.92,75.82,GOOD,56.22,7.12,61,0,CITY_MONITORING_NETWORK,ENVH_V2,FIRST,2025-02-12
2018,HU,MT23,23,3639,1,4744,24.73,3.85,36.49,94.85,SUFFICIENT,8.33,59.37,33,1,EEA_ENV_HEALTH,ENVH_V1,FLASH,2026-01-01
2019,LU,IE69,19,308,18,11544,32.76,0.88,27.43,79.78,POOR,36.87,66.37,85,0,NATIONAL_ENV_AGENCY,ENVH_V3,BENCHMARK,2024-03-10
2020,RO,HR8,26,6257,10,20054,10.15,4.64,40.72,87.52,UNKNOWN,42.57,31.35,30,0,COPERNICUS_DERIVED,ENVH_V2,SECOND,2024-10-26
2021,AT,ES966,3,11,5,21927,36.26,2.7,43.7,82.73,EXCELLENT,24.52,31.5,34,1,CITY_MONITORING_NETWORK,ENVH_V1,FIRST,2026-01-19
2022,CZ,DE8,23,777,2,13862,14.26,3.67,19.75,88.67,GOOD,59.88,82.35,70,0,EEA_ENV_HEALTH,ENVH_V3,FLASH,2024-01-30
2023,DE,FR29,4,252,18,6905,38.79,6.37,68.8,73.74,SUFFICIENT,73.28,24.58,111,0,NATIONAL_ENV_AGENCY,ENVH_V2,BENCHMARK,2025-11-18
2024,LV,AT569,14,929,10,36714,18.52,3.57,40.48,83.01,POOR,52.61,7.45,47,1,COPERNICUS_DERIVED,ENVH_V1,SECOND,2024-11-01
2025,PL,SE650,32,971,8,3643,6.51,2.19,49.09,72.0,UNKNOWN,19.41,11.69,40,1,CITY_MONITORING_NETWORK,ENVH_V3,FIRST,2025-07-29
2006,ES,LT83,16,2513,1,17964,31.92,2.35,60.88,76.4,EXCELLENT,56.97,78.44,53,0,EEA_ENV_HEALTH,ENVH_V2,FLASH,2024-06-30
2007,HR,EE969,16,1590,12,26449,21.2,4.67,29.9,91.01,GOOD,33.59,29.91,43,0,NATIONAL_ENV_AGENCY,ENVH_V1,BENCHMARK,2024-10-30
2008,FI,MT825,8,488,15,18518,9.52,5.22,31.25,91.26,SUFFICIENT,12.91,24.08,43,1,COPERNICUS_DERIVED,ENVH_V3,SECOND,2025-05-04
2009,IE,DK4,10,1042,17,38401,25.81,7.23,51.71,89.61,POOR,50.52,37.59,11,0,CITY_MONITORING_NETWORK,ENVH_V2,FIRST,2024-06-12
2010,MT,HR18,4,492,13,18585,27.77,4.61,75.06,80.69,UNKNOWN,68.12,58.56,28,0,EEA_ENV_HEALTH,ENVH_V1,FLASH,2024-11-14
2011,SK,CZ64,4,322,10,155,15.39,2.93,67.0,87.94,EXCELLENT,60.33,80.14,63,0,NATIONAL_ENV_AGENCY,ENVH_V3,BENCHMARK,2024-02-15
2012,BE,MT163,8,1362,5,23854,16.03,1.03,50.31,73.38,GOOD,45.4,60.45,50,0,COPERNICUS_DERIVED,ENVH_V2,SECOND,2025-12-15
2013,DK,LU752,8,1832,12,27395,19.88,4.6,38.15,82.02,SUFFICIENT,65.47,76.37,49,0,CITY_MONITORING_NETWORK,ENVH_V1,FIRST,2025-08-12
