energy_use_billing_month,energy_use_sector_code,energy_use_end_use_category,energy_use_sales_mwh,energy_use_customer_count,energy_use_average_kwh_per_customer,energy_use_peak_demand_mw,energy_use_load_factor_pct,energy_use_time_of_use_share_pct,energy_use_demand_response_participant_count,energy_use_electrification_index,energy_use_ev_charging_load_mwh,energy_use_heat_pump_adoption_rate,energy_use_distributed_solar_generation_mwh,energy_use_battery_storage_dispatch_mwh,energy_use_natural_gas_therms_equiv,energy_use_propane_gallons_equiv,energy_use_energy_burden_pct_households,energy_use_weather_normalization_factor,energy_use_meter_data_granularity
2014-02,COM,MOTIVE_POWER,2812861.21,1748933,1608.33,14334.07,22.86,14.03,232653,0.028,24807.37,1.52,304042.48,339490.79,55746036.94,15443854.79,8.87,1.2846,MONTHLY
2014-03,COM,EV_CHARGING,3769115.0,1810052,2082.32,13151.8,19.12,36.58,268065,0.1255,15019.39,9.6,523732.08,248559.81,11899667.5,1081483.5,8.51,0.8654,HOURLY
2014-04,COM,PROCESS,2847534.61,2001698,1422.56,8476.0,54.34,4.32,112049,0.5388,355892.07,13.67,660435.28,97730.79,55536163.78,2969621.11,0.74,1.0895,30_MIN
2014-05,COM,HVAC,4933148.36,3219485,1532.28,6644.24,42.81,37.72,255634,0.7792,462185.8,26.47,305053.89,20039.81,90771979.04,24194175.18,15.51,0.9816,15_MIN
2014-06,TRANS,WATER_HEAT,3676184.52,1536526,2392.53,17220.58,76.07,11.86,411089,0.2841,371334.37,21.21,816381.38,52420.84,75091117.94,16667099.19,3.56,0.8024,15_MIN
2014-07,RES,APPLIANCES,2063846.48,2090179,987.4,20750.16,44.09,1.38,115848,0.0905,361093.03,21.1,71497.8,110822.12,2465287.75,15696077.33,10.19,0.9365,MONTHLY
2014-08,COM,PROCESS,293789.15,1512585,194.23,15477.91,33.99,12.02,79121,0.4734,89952.5,53.0,730427.43,375456.89,41641453.23,3986381.9,4.66,1.2491,MONTHLY
2014-09,RES,LIGHTING,4801929.76,2186732,2195.94,8949.44,72.76,5.51,254916,0.8195,240243.09,12.0,692693.5,183102.14,62065416.36,17455651.62,8.59,1.2016,15_MIN
2014-10,RES,MOTIVE_POWER,536809.77,1914874,280.34,14861.21,67.94,37.23,314055,0.3997,12139.08,47.61,361649.56,10591.58,72475557.01,5599046.14,10.67,0.8923,HOURLY
2014-11,RES,WATER_HEAT,3117255.93,3240455,961.98,7907.9,67.31,14.7,202658,0.8323,486407.28,6.82,747794.83,424237.08,28944825.25,15987912.94,5.83,1.0059,15_MIN
2014-12,RES,APPLIANCES,812868.08,3417282,237.87,2852.36,83.43,5.08,34488,0.6255,256008.9,11.76,293149.04,333590.93,50263808.4,23612458.48,13.55,1.2297,DAILY
2015-01,RES,MOTIVE_POWER,914649.81,3306453,276.63,12979.56,23.83,58.07,106963,0.3513,353438.18,21.85,71484.68,241953.41,78375986.62,9918859.91,2.94,0.9626,15_MIN
2015-02,IND,HVAC,4797470.21,1118775,4288.15,7998.41,18.26,12.81,155714,0.0446,315350.73,45.34,583796.11,229324.98,64367151.41,16998361.59,8.55,0.9322,15_MIN
2015-03,RES,MOTIVE_POWER,2989222.53,1807972,1653.36,6569.82,67.38,47.3,249083,0.0321,134199.38,16.99,337535.11,93132.17,33531423.89,22463641.58,0.59,0.7507,HOURLY
2015-04,IND,APPLIANCES,4238443.78,3028664,1399.44,17709.46,64.57,59.17,249017,0.1853,52119.18,50.83,179535.41,58400.34,41446050.08,18198525.36,14.15,1.2993,15_MIN
2015-05,COM,WATER_HEAT,5067976.74,736009,6885.75,15864.55,73.61,20.84,164483,0.8959,54184.39,39.23,110032.42,248100.68,66383802.98,19139070.0,0.61,0.8464,MONTHLY
2015-06,COM,WATER_HEAT,5438048.12,3202169,1698.24,7813.75,82.66,58.76,297759,0.0699,352684.87,26.13,646270.08,89165.51,86106939.17,13623774.63,16.93,1.2006,MONTHLY
2015-07,IND,LIGHTING,614057.77,3332264,184.28,19795.47,28.67,5.9,270665,0.7611,85872.28,26.69,282778.54,21104.94,93001679.83,4029871.67,13.71,0.7978,HOURLY
2015-08,COM,HVAC,717537.16,842177,852.0,6986.68,80.24,21.62,215618,0.351,79064.08,23.76,421131.89,429780.59,63245762.58,22087595.48,9.67,1.055,HOURLY
2015-09,IND,OTHER,1964965.15,2213737,887.62,12312.72,72.58,41.46,262538,0.4474,360723.37,17.94,349535.29,85774.01,70010667.0,19182226.29,15.15,1.0666,30_MIN
2015-10,RES,EV_CHARGING,2306713.83,1620008,1423.89,8823.97,20.36,64.88,373724,0.7027,175525.29,36.47,667837.81,93589.24,7866219.18,11764372.38,2.89,1.0853,15_MIN
2015-11,COM,WATER_HEAT,2322500.48,1784042,1301.82,7930.28,83.98,11.71,422784,0.9654,234431.27,40.37,661745.19,355784.02,67588587.52,7480581.19,13.66,1.164,DAILY
2015-12,COM,MOTIVE_POWER,1609857.23,1753993,917.82,15105.5,23.46,52.8,434602,0.9303,503876.92,41.78,810479.16,269428.75,9582721.2,20789309.85,5.82,1.2022,HOURLY
2016-01,RES,PROCESS,188807.62,1325437,142.45,4717.22,52.32,12.76,371367,0.0924,256654.65,39.47,145194.59,254897.47,76848391.16,22795613.99,2.55,1.0649,15_MIN
2016-02,IND,LIGHTING,2145637.5,1988031,1079.28,11115.07,29.45,52.54,80323,0.513,329061.05,36.8,80715.42,78232.14,45547226.81,15622411.77,12.62,0.7467,30_MIN
2016-03,IND,HVAC,5373818.8,964416,5572.1,1481.87,17.03,34.25,164121,0.8577,156080.39,4.89,568376.57,42248.14,52962739.18,17096406.17,16.14,1.0864,DAILY
2016-04,IND,OTHER,1853672.64,507920,3649.54,4632.33,76.29,32.17,245459,0.458,469597.24,42.66,42942.33,174244.49,37475188.83,8027442.63,14.49,1.2988,MONTHLY
2016-05,RES,PROCESS,1149701.31,635449,1809.27,11842.49,50.84,25.47,409630,0.4274,500525.15,31.59,194665.94,180559.44,71286234.7,18368907.15,15.88,0.8532,MONTHLY
2016-06,COM,WATER_HEAT,3822263.61,1336679,2859.52,12714.19,45.02,5.8,441654,0.0825,361571.06,43.32,441878.82,202651.14,41667463.49,16990893.43,9.3,0.9331,HOURLY
2016-07,COM,PROCESS,5463682.63,1409870,3875.31,4663.32,51.77,21.75,390218,0.3884,483786.77,49.99,419039.72,186465.36,79407708.6,15025657.07,12.02,0.7233,30_MIN
2016-08,COM,HVAC,1144998.85,3009712,380.43,15946.39,70.46,35.42,337879,0.7318,535847.15,27.56,758818.12,220292.96,83649701.09,5395137.69,9.8,1.1889,15_MIN
2016-09,IND,EV_CHARGING,3857397.62,2449766,1574.6,5038.92,83.87,52.66,133057,0.2969,514862.14,17.79,575801.01,283617.28,81172417.97,3677881.19,7.02,0.7824,MONTHLY
2016-10,COM,PROCESS,1618344.41,2785189,581.05,900.98,78.31,39.56,124945,0.295,291323.16,30.42,144233.43,142672.89,77470449.28,11255830.39,1.99,0.9407,DAILY
2016-11,RES,HVAC,4659407.71,1724674,2701.62,1519.23,65.37,23.11,197998,0.8822,503737.14,37.26,514519.64,195319.21,24163305.68,7877267.27,6.15,0.8589,MONTHLY
2016-12,IND,PROCESS,2193425.03,1517365,1445.55,17089.89,46.51,20.98,253699,0.4549,114954.64,33.13,340433.74,187823.15,24963104.96,12853581.85,15.08,1.077,DAILY
2017-01,COM,APPLIANCES,1194620.59,3200687,373.24,14296.19,50.51,32.77,261432,0.797,172527.16,17.71,493176.2,365519.99,71163073.86,9566904.05,13.43,1.0776,DAILY
2017-02,IND,LIGHTING,712612.81,2657486,268.15,786.04,41.41,55.65,41362,0.0582,327099.44,12.93,191787.89,447729.42,89363411.31,11074883.91,6.46,0.9636,30_MIN
2017-03,RES,HVAC,4286500.26,3076879,1393.13,5895.3,35.56,62.36,328628,0.129,159290.0,41.0,445472.36,432553.07,7795410.3,24017529.04,3.63,0.7294,MONTHLY
2017-04,RES,PROCESS,936040.0,3457625,270.72,19495.25,68.04,2.15,43005,0.7359,314414.16,49.85,43400.09,64264.03,1910634.35,4872632.7,6.72,1.0405,15_MIN
2017-05,RES,HVAC,2952421.36,2160260,1366.7,15037.59,54.51,21.33,170003,0.6628,58625.85,9.67,523553.11,53673.12,18340038.18,20556590.28,8.02,0.7569,HOURLY
2017-06,RES,MOTIVE_POWER,3979035.6,734773,5415.33,249.42,52.81,46.89,311205,0.2873,114389.18,22.85,427117.11,164966.37,79897337.18,1843860.29,14.48,0.7828,HOURLY
2017-07,COM,EV_CHARGING,3807435.82,28481,133683.36,5547.22,79.4,57.38,88532,0.9246,471193.62,16.72,849717.65,205728.32,3419528.52,21734006.76,3.59,0.9827,15_MIN
2017-08,RES,WATER_HEAT,2775754.19,2823953,982.93,21001.28,47.26,10.67,368670,0.5561,219274.24,17.46,483840.16,247620.8,66700343.81,9597812.57,16.79,0.7219,HOURLY
2017-09,RES,WATER_HEAT,2349652.77,1841244,1276.12,12150.33,21.41,42.21,216603,0.4609,276307.45,10.23,821898.79,10547.0,41951062.98,15359620.75,14.92,1.1502,30_MIN
2017-10,RES,EV_CHARGING,3728362.51,2164727,1722.32,18136.42,78.77,14.05,232128,0.2585,49384.17,0.12,391272.24,163893.74,6814035.41,2054525.7,8.9,1.154,HOURLY
2017-11,COM,WATER_HEAT,5205344.95,1023890,5083.89,14574.49,67.61,17.75,423105,0.5136,384634.96,0.55,52234.13,208494.26,389024.06,4765700.69,11.92,0.7809,30_MIN
2017-12,IND,PROCESS,5218579.06,60143,86769.52,7361.34,77.26,57.04,260839,0.0479,416779.88,6.94,675075.45,222487.64,32816126.25,16754138.33,6.81,1.2335,15_MIN
2018-01,IND,MOTIVE_POWER,3788576.26,1195020,3170.3,18529.43,71.84,52.26,349478,0.1767,197484.19,43.56,607117.17,401029.77,12510918.11,9705636.1,1.43,0.8834,MONTHLY
2018-02,RES,PROCESS,5298365.33,1409846,3758.12,15501.75,56.71,53.8,237641,0.7045,420263.59,48.65,394850.22,149266.01,67192934.67,7266873.3,5.87,0.7197,15_MIN
2018-03,COM,HVAC,3081634.13,1730194,1781.09,6098.8,60.01,2.74,239260,0.8961,186885.4,6.63,330179.31,16286.36,88844182.68,2580102.35,5.46,1.2635,MONTHLY
2018-04,RES,PROCESS,4694484.89,1138251,4124.3,19484.54,21.16,61.58,332967,0.5049,469717.86,21.3,595081.34,143291.12,90365200.04,10530161.83,3.64,0.7219,15_MIN
2018-05,IND,MOTIVE_POWER,1851122.94,3186234,580.98,11783.12,34.73,54.47,28107,0.07,473825.76,6.56,380996.27,54937.59,15941202.87,3833101.63,14.53,0.7579,HOURLY
2018-06,TRANS,APPLIANCES,2306984.62,2929459,787.51,21410.52,22.43,49.86,53392,0.4628,179661.42,30.02,458617.5,35290.87,47785860.55,6869193.14,3.93,0.8511,30_MIN
2018-07,COM,OTHER,1181299.42,1549155,762.54,5188.58,34.5,38.61,83313,0.9738,178255.31,24.31,811017.73,85569.0,81636608.47,21687095.09,2.39,0.9389,30_MIN
2018-08,RES,HVAC,4049504.83,3208206,1262.23,13617.68,38.92,13.03,264622,0.6768,39685.02,50.98,215615.16,96428.06,12885876.73,19455815.53,16.48,1.288,MONTHLY
2018-09,RES,HVAC,1883565.52,3254497,578.76,21577.95,39.56,23.09,197459,0.2587,462287.22,17.0,257668.59,58036.8,31929124.66,3406697.4,14.29,0.8438,MONTHLY
2018-10,RES,LIGHTING,4680470.28,1706482,2742.76,15972.28,23.69,52.61,404568,0.8818,260130.92,38.22,559391.5,311261.69,38074377.37,19778515.87,2.13,0.8741,MONTHLY
2018-11,COM,HVAC,3254761.96,921368,3532.53,5633.67,60.5,38.04,278658,0.7352,208160.66,5.46,343043.25,91226.68,7443915.69,12871282.97,0.28,1.0603,30_MIN
2018-12,RES,WATER_HEAT,4303053.02,775520,5548.6,9821.58,64.33,61.24,409462,0.7816,192411.6,14.29,53933.94,279341.68,43813888.58,18293422.55,7.23,0.7082,HOURLY
2019-01,AG,HVAC,166518.84,2898092,57.46,20508.15,55.95,15.92,70254,0.7067,530591.08,3.0,328491.69,443515.53,67946903.28,24548170.96,1.14,1.2364,DAILY
2019-02,RES,HVAC,5317338.42,11641,456776.77,20058.8,78.08,59.11,424769,0.8104,165555.24,3.29,367817.43,313605.43,53270995.99,11208414.17,0.58,0.7063,HOURLY
2019-03,RES,MOTIVE_POWER,966149.39,764080,1264.46,19119.29,47.79,11.33,185299,0.5265,529699.1,2.5,820949.6,422810.04,17213659.61,21940738.08,11.5,0.9692,MONTHLY
2019-04,RES,LIGHTING,768813.6,1959691,392.31,10410.9,53.35,49.81,241126,0.3949,310417.75,5.45,174855.97,289973.18,46718580.66,14210806.7,16.41,1.2958,HOURLY
2019-05,RES,WATER_HEAT,4935289.13,2798341,1763.65,20059.46,50.66,61.78,112354,0.1934,88853.86,54.55,306449.27,351059.03,15349337.26,19891068.85,6.08,1.1464,30_MIN
2019-06,IND,PROCESS,3854630.38,2351470,1639.24,11168.99,29.09,6.81,203172,0.6229,277683.69,6.45,80278.53,127859.88,37172621.14,5978000.18,12.87,0.7678,HOURLY
2019-07,RES,HVAC,1213852.93,1510672,803.52,20499.73,50.21,14.46,266240,0.515,185334.55,39.77,95011.79,132547.68,19388441.81,18048567.52,17.66,0.7207,HOURLY
2019-08,COM,APPLIANCES,5025398.42,890959,5640.44,14421.04,54.74,48.92,223447,0.3246,234872.75,21.0,792710.65,230030.1,19516959.62,8300212.22,3.45,1.1989,MONTHLY
2019-09,RES,LIGHTING,4939971.82,610050,8097.65,15863.88,44.08,16.56,126617,0.2908,183559.39,26.25,122457.17,435599.66,50876514.25,22354143.03,5.22,0.9443,MONTHLY
2019-10,RES,LIGHTING,4254390.18,3233255,1315.82,14894.55,49.76,30.66,90997,0.3665,280006.81,54.39,373226.61,152076.17,14458745.97,1104581.02,9.6,0.9306,DAILY
2019-11,RES,LIGHTING,2227094.33,2669858,834.16,7751.92,54.09,23.95,296498,0.0532,307518.36,6.29,46802.41,137026.54,17333635.95,14081933.72,8.0,0.7217,15_MIN
2019-12,RES,APPLIANCES,2167158.76,3367228,643.6,3107.42,42.17,59.97,390289,0.8754,240719.79,19.35,661891.62,143319.2,92270280.49,19709801.39,13.06,0.8916,15_MIN
2020-01,RES,WATER_HEAT,3022938.8,1207973,2502.49,8107.27,53.73,47.86,331402,0.6753,225444.14,6.1,440156.29,341069.92,4705490.33,14018680.09,17.89,0.7982,15_MIN
2020-02,IND,HVAC,1977694.82,385417,5131.31,17444.67,22.23,61.36,271431,0.0775,74822.01,27.74,709786.74,153699.86,17525559.84,8581605.53,7.19,1.0495,15_MIN
2020-03,RES,WATER_HEAT,4219373.29,2562247,1646.75,13231.4,33.57,34.17,395546,0.302,299114.05,31.63,94475.12,348341.29,60087104.76,7522264.84,1.25,1.1193,15_MIN
2020-04,IND,HVAC,4846039.35,3370991,1437.57,11079.58,29.69,61.24,221785,0.2506,81694.29,10.6,359407.78,317746.95,78685115.1,7918552.58,11.83,0.8921,MONTHLY
2020-05,RES,LIGHTING,2615756.05,365078,7164.92,1517.43,41.79,63.52,212506,0.2785,224508.22,10.98,216985.55,2430.96,8163258.51,15535924.43,2.4,0.759,MONTHLY
2020-06,AG,WATER_HEAT,4921385.41,1262124,3899.29,1311.53,21.24,17.18,145271,0.2264,38492.12,8.04,103233.01,179547.42,48786841.55,16820661.65,16.38,0.8287,15_MIN
2020-07,COM,HVAC,1650139.17,509404,3239.35,15846.84,34.8,42.99,248353,0.0301,293433.94,21.5,392073.24,233233.7,16982903.32,11695716.34,7.72,0.9156,15_MIN
2020-08,RES,MOTIVE_POWER,1395869.57,771779,1808.64,19850.47,17.39,25.8,429113,0.1962,258867.94,26.38,577408.64,2223.65,92386108.16,17930192.41,11.09,0.9045,15_MIN
2020-09,RES,PROCESS,2288253.02,1315201,1739.85,8244.28,42.91,56.29,3298,0.7865,317359.82,27.37,449295.07,387735.43,91233756.14,14220952.1,4.34,1.2491,15_MIN
2020-10,COM,LIGHTING,4110574.2,1673303,2456.56,2493.24,65.26,43.25,342709,0.9443,424087.58,15.06,496686.58,26610.54,6276150.81,1803971.66,13.69,0.9705,DAILY
2020-11,IND,HVAC,1192758.22,1354846,880.36,19832.62,61.57,27.87,201182,0.4576,463489.92,45.94,83256.72,324794.23,9803230.03,17811483.38,10.22,0.855,MONTHLY
2020-12,RES,HVAC,3704591.74,1755752,2109.97,18195.76,42.03,29.78,338270,0.9703,125903.85,17.66,129356.97,300485.31,7420147.36,20693618.64,16.93,0.7412,MONTHLY
2021-01,AG,EV_CHARGING,4766719.12,2401505,1984.89,14159.78,40.97,23.61,135235,0.589,72150.24,37.37,256046.18,15485.49,22904769.49,7141510.7,8.83,1.0621,HOURLY
2021-02,COM,PROCESS,444691.37,3191440,139.34,20637.34,50.61,56.11,444826,0.9748,256855.04,13.88,797725.89,371550.91,60905529.16,12664700.44,10.55,0.9167,DAILY
2021-03,RES,HVAC,4626262.8,1852235,2497.67,20633.32,56.56,11.61,178077,0.5327,299033.37,45.93,424652.85,95409.79,66448378.96,1889419.47,6.14,1.1538,15_MIN
2021-04,TRANS,WATER_HEAT,805469.18,1105356,728.7,14398.05,47.81,28.15,368989,0.4953,296195.8,33.09,168102.51,183093.72,68340250.01,28729.64,3.01,0.9634,HOURLY
2021-05,IND,PROCESS,494133.73,1696808,291.21,3688.29,73.4,22.8,169290,0.3073,529291.45,51.46,653725.04,125383.71,31058293.57,22855012.33,12.07,1.1515,15_MIN
2021-06,COM,WATER_HEAT,1437019.87,2988784,480.8,16681.3,37.04,18.13,258786,0.2944,507672.47,26.05,172889.67,348759.15,87336729.64,24966429.31,5.02,1.0677,HOURLY
2021-07,RES,EV_CHARGING,4635527.89,3166775,1463.8,21451.89,33.66,47.29,156883,0.3019,66807.65,2.29,680354.78,403925.98,15873539.53,15335452.01,9.57,1.1884,30_MIN
2021-08,IND,APPLIANCES,1355256.71,1612936,840.24,5152.38,22.53,56.47,120449,0.7563,389165.87,19.21,339049.19,198208.22,48158145.12,12823633.47,12.59,0.725,HOURLY
2021-09,RES,WATER_HEAT,4808047.99,1089512,4413.03,13104.28,80.74,64.78,250511,0.0077,301387.12,50.8,391715.0,447957.07,3781996.61,21670410.78,14.14,0.7001,MONTHLY
2021-10,RES,HVAC,1661787.19,1291906,1286.31,17860.63,22.94,6.57,229586,0.9594,13707.03,24.5,122683.4,134497.9,3422418.32,11559414.65,11.91,0.9419,30_MIN
2021-11,TRANS,PROCESS,5323828.55,3375996,1576.97,994.1,21.89,35.88,340857,0.3845,252810.02,2.17,767458.43,161286.4,84384440.31,195382.5,0.6,0.7202,15_MIN
2021-12,COM,WATER_HEAT,5022823.79,332729,15095.84,16401.72,17.97,51.63,145678,0.7381,275305.43,18.49,32603.05,8908.38,69874351.42,1850518.02,15.99,1.2003,HOURLY
2022-01,RES,HVAC,5433147.57,2101147,2585.8,17759.35,37.04,29.96,117435,0.7515,455201.47,7.89,502328.01,201512.55,64650260.14,3169118.09,8.32,1.2148,30_MIN
2022-02,COM,LIGHTING,1054668.2,253480,4160.76,17238.65,26.01,48.17,215518,0.0973,56898.25,32.69,766994.35,344973.08,9549292.75,18563177.75,3.28,0.7462,HOURLY
2022-03,COM,LIGHTING,717228.65,731114,981.01,14360.71,79.23,1.29,128506,0.1764,112856.47,32.54,729794.67,117091.36,2146594.52,863142.37,2.07,1.0672,15_MIN
2022-04,COM,MOTIVE_POWER,2814684.21,150929,18649.06,13532.46,20.63,11.0,68639,0.7581,524966.88,25.87,601446.7,219397.64,22527041.44,10432481.69,5.99,1.1916,HOURLY
2022-05,AG,EV_CHARGING,2652755.91,794728,3337.94,3632.42,71.66,51.74,183292,0.9981,50912.42,19.14,434042.98,109184.32,15160128.81,15472082.6,13.17,1.0551,MONTHLY
2022-06,COM,APPLIANCES,437041.59,1723687,253.55,13602.06,19.71,25.21,345681,0.8874,441935.22,1.44,538967.58,312102.55,29030349.41,12130312.69,11.27,1.0363,15_MIN
