demo_migflow_move_year,demo_migflow_origin_nuts_code,demo_migflow_destination_nuts_code,demo_migflow_movement_scope_code,demo_migflow_schengen_flag,demo_migflow_residence_permit_type,demo_migflow_citizenship_iso2,demo_migflow_age_at_move,demo_migflow_sex,demo_migflow_household_size_at_move,demo_migflow_primary_reason_for_move,demo_migflow_employment_status_before_move,demo_migflow_employment_status_after_move,demo_migflow_commute_change_minutes,demo_migflow_distance_km_estimate,demo_migflow_cross_border_worker_flag,demo_migflow_inflow_count,demo_migflow_outflow_count,demo_migflow_survey_weight,demo_migflow_data_collection_wave
2024,EE15,PT785,EXTRA_EU,1,WORK,LV,27,M,4,PROTECTION,INACTIVE,INACTIVE,118,835,0,178,179,1.2287,2022Q2
2025,PT370,GR596,INTERNAL,1,WORK,SE,30,F,5,FAMILY,STUDENT,STUDENT,22,2399,0,159,158,2.4353,2024Q3
2026,HR802,DE417,CROSS_BORDER,1,WORK,DE,33,T,6,STUDY,UNEMPLOYED,UNEMPLOYED,1,1676,0,142,159,1.5977,2026Q4
2015,ES69,FR21,INTRA_EU,1,WORK,PT,36,M,1,WORK,EMPLOYED,EMPLOYED,2,407,0,172,181,3.0831,2024Q1
2016,PT757,GR969,EXTRA_EU,1,WORK,CZ,39,F,2,OTHER,INACTIVE,INACTIVE,15,2227,0,156,185,3.2659,2026Q2
2017,IE2,SE74,INTERNAL,1,WORK,LT,42,T,3,RETIREMENT,STUDENT,STUDENT,14,2728,0,145,167,2.6319,2023Q3
2018,ES5,IT6,CROSS_BORDER,1,WORK,AT,45,M,4,PROTECTION,UNEMPLOYED,UNEMPLOYED,78,2625,1,170,176,2.1948,2025Q4
2019,EE792,BE53,INTRA_EU,1,WORK,GR,48,F,5,FAMILY,EMPLOYED,EMPLOYED,-10,1786,0,178,168,2.1236,2023Q1
2020,NL47,PL105,EXTRA_EU,1,WORK,RO,51,T,6,STUDY,INACTIVE,INACTIVE,-6,2641,0,172,191,0.8408,2025Q2
2021,IT574,SI1,INTERNAL,1,WORK,DK,54,M,1,WORK,STUDENT,STUDENT,44,2471,0,182,212,0.3022,2022Q3
2022,FR921,LU31,CROSS_BORDER,1,WORK,LU,57,F,2,OTHER,UNEMPLOYED,UNEMPLOYED,29,995,0,155,185,1.3351,2024Q4
2023,RO84,DE3,INTRA_EU,1,WORK,BE,60,T,3,RETIREMENT,EMPLOYED,EMPLOYED,2,1909,0,170,218,2.975,2022Q1
2024,EE69,SK8,EXTRA_EU,1,WORK,HU,63,M,4,PROTECTION,INACTIVE,INACTIVE,-114,2253,0,186,206,3.3707,2024Q2
2025,FI1,HR93,INTERNAL,1,WORK,SK,66,F,5,FAMILY,STUDENT,STUDENT,-39,125,0,170,193,2.7743,2026Q3
2026,NL43,FR10,CROSS_BORDER,1,WORK,EE,69,T,6,STUDY,UNEMPLOYED,UNEMPLOYED,79,1592,1,188,226,0.9031,2023Q4
2015,PL147,LV811,INTRA_EU,1,WORK,MT,72,M,1,WORK,EMPLOYED,EMPLOYED,90,574,0,176,217,1.4229,2026Q1
2016,FR72,FI956,EXTRA_EU,1,WORK,BG,75,F,2,OTHER,INACTIVE,INACTIVE,16,1812,0,162,214,1.9819,2023Q2
2017,GR942,NL21,INTERNAL,1,WORK,IE,78,T,3,RETIREMENT,STUDENT,STUDENT,103,2673,0,158,198,2.5989,2025Q3
2018,ES8,IT7,CROSS_BORDER,1,WORK,SI,81,M,4,PROTECTION,UNEMPLOYED,UNEMPLOYED,-51,2439,0,185,236,2.9729,2022Q4
2019,BG14,IE55,INTRA_EU,1,WORK,FI,84,F,5,FAMILY,EMPLOYED,EMPLOYED,43,1901,0,198,218,2.3562,2025Q1
2020,SE613,SE2,EXTRA_EU,1,WORK,NL,87,T,6,STUDY,INACTIVE,INACTIVE,30,808,1,165,216,1.3877,2022Q2
2021,RO71,ES9,INTERNAL,1,WORK,HR,0,M,1,WORK,STUDENT,STUDENT,44,2082,0,200,212,1.8789,2024Q3
2022,EE367,PT7,CROSS_BORDER,1,WORK,IT,3,F,2,OTHER,UNEMPLOYED,UNEMPLOYED,73,99,1,199,235,0.7776,2026Q4
2023,SK361,NL61,INTRA_EU,1,WORK,ES,6,T,3,RETIREMENT,EMPLOYED,EMPLOYED,-62,779,0,175,223,2.3288,2024Q1
2024,BE637,LU24,EXTRA_EU,1,WORK,FR,9,M,4,PROTECTION,INACTIVE,INACTIVE,-77,176,1,194,259,0.9258,2026Q2
2025,HR685,LU909,INTERNAL,0,WORK,PL,12,F,5,FAMILY,STUDENT,STUDENT,87,1076,0,188,249,0.7445,2023Q3
2026,HR23,FI555,CROSS_BORDER,1,WORK,CY,15,T,6,STUDY,UNEMPLOYED,UNEMPLOYED,26,1853,1,195,265,1.2225,2025Q4
2015,BG493,MT712,INTRA_EU,1,WORK,LV,18,M,1,WORK,EMPLOYED,EMPLOYED,87,1342,0,171,245,1.2762,2023Q1
2016,FI3,DK77,EXTRA_EU,0,WORK,SE,21,F,2,OTHER,INACTIVE,INACTIVE,32,1510,0,198,247,0.459,2025Q2
2017,AT49,FR699,INTERNAL,1,WORK,DE,24,T,3,RETIREMENT,STUDENT,STUDENT,111,2024,0,191,253,1.1101,2022Q3
2018,SK91,CZ114,CROSS_BORDER,1,WORK,PT,27,M,4,PROTECTION,UNEMPLOYED,UNEMPLOYED,-55,1357,0,196,272,3.4206,2024Q4
2019,IT99,IT53,INTRA_EU,1,WORK,CZ,30,F,5,FAMILY,EMPLOYED,EMPLOYED,-13,1454,0,202,252,2.432,2022Q1
2020,NL9,HR88,EXTRA_EU,0,WORK,LT,33,T,6,STUDY,INACTIVE,INACTIVE,9,817,0,206,257,2.4163,2024Q2
2021,LV71,FR3,INTERNAL,0,WORK,AT,36,M,1,WORK,STUDENT,STUDENT,47,2245,0,212,256,3.035,2026Q3
2022,DE312,HR8,CROSS_BORDER,0,WORK,GR,39,F,2,OTHER,UNEMPLOYED,UNEMPLOYED,-65,1783,0,206,269,1.0691,2023Q4
2023,NL578,HU488,INTRA_EU,1,WORK,RO,42,T,3,RETIREMENT,EMPLOYED,EMPLOYED,49,1892,0,207,282,0.3146,2026Q1
2024,PL936,SK7,EXTRA_EU,1,WORK,DK,45,M,4,PROTECTION,INACTIVE,INACTIVE,35,1195,0,201,294,2.0947,2023Q2
2025,DE76,MT76,INTERNAL,1,WORK,LU,48,F,5,FAMILY,STUDENT,STUDENT,46,1036,0,203,296,2.5096,2025Q3
2026,CY811,IT616,CROSS_BORDER,0,WORK,BE,51,T,6,STUDY,UNEMPLOYED,UNEMPLOYED,-112,1463,1,196,31,2.8591,2022Q4
2015,IE6,HU63,INTRA_EU,1,WORK,HU,54,M,1,WORK,EMPLOYED,EMPLOYED,64,135,0,212,31,1.5829,2025Q1
2016,BE985,DK62,EXTRA_EU,1,WORK,SK,57,F,2,OTHER,INACTIVE,INACTIVE,90,38,1,191,34,0.8511,2022Q2
2017,GR704,CZ879,INTERNAL,0,WORK,EE,60,T,3,RETIREMENT,STUDENT,STUDENT,34,808,0,209,48,1.0273,2024Q3
2018,MT427,DE627,CROSS_BORDER,1,WORK,MT,63,M,4,PROTECTION,UNEMPLOYED,UNEMPLOYED,112,586,0,198,63,2.8231,2026Q4
