safe_justice_booking_date,safe_justice_arrest_offense_code,safe_justice_charge_severity_level,safe_justice_bail_amount_set,safe_justice_pretrial_release_flag,safe_justice_court_case_id_hash,safe_justice_court_disposition_code,safe_justice_sentence_type_code,safe_justice_sentence_length_days,safe_justice_probation_start_date,safe_justice_parole_eligibility_date,safe_justice_jail_days_served,safe_justice_prison_admission_flag,safe_justice_recidivism_12mo_flag,safe_justice_recidivism_36mo_flag,safe_justice_risk_assessment_score,safe_justice_public_defender_assigned_flag,safe_justice_diversion_program_flag,safe_justice_restorative_justice_flag,safe_justice_record_sealing_eligible_flag
2016-03-24,FRAUD,INFRACTION,5000,0,CASE0000000084,GUILTY,PROBATION,694,2016-04-23,2016-09-20,545,0,1,0,95,1,0,0,0
2016-03-25,ASSAULT,INFRACTION,100,1,CASE0000000085,DISMISSED,COMMUNITY_SERVICE,1788,2016-04-24,2016-09-21,509,0,0,0,12,1,1,0,1
2016-03-26,LARCENY,MISDEMEANOR,1000,1,CASE0000000086,DISMISSED,COMMUNITY_SERVICE,1274,2016-04-25,2016-09-22,726,0,0,1,90,1,0,0,1
2016-03-27,DUI,MISDEMEANOR,500,1,CASE0000000087,DISMISSED,NONE,635,2016-04-26,2016-09-23,723,0,1,1,59,1,1,1,1
2016-03-28,LARCENY,MISDEMEANOR,250,1,CASE0000000088,PENDING,DIVERSION,3499,2016-04-27,2016-09-24,16,0,1,0,11,1,0,0,0
2016-03-29,FRAUD,MISDEMEANOR,5000,1,CASE0000000089,PENDING,NONE,456,2016-04-28,2016-09-25,452,0,0,0,62,1,0,1,1
2016-03-30,ASSAULT,MISDEMEANOR,250,0,CASE0000000090,PLEA,PROBATION,511,2016-04-29,2016-09-26,322,0,0,0,39,0,0,0,1
2016-03-31,DRUG_POSSESS,INFRACTION,5000,1,CASE0000000091,GUILTY,PROBATION,1826,2016-04-30,2016-09-27,710,1,0,0,41,0,1,0,1
2016-04-01,ASSAULT,MISDEMEANOR,500,1,CASE0000000092,PLEA,PROBATION,689,2016-05-01,2016-09-28,722,0,0,1,58,0,1,1,1
2016-04-02,DUI,MISDEMEANOR,100,1,CASE0000000093,GUILTY,JAIL,997,2016-05-02,2016-09-29,520,0,0,1,28,0,0,0,0
2016-04-03,VANDALISM,MISDEMEANOR,100,0,CASE0000000094,DEFERRED,PROBATION,2389,2016-05-03,2016-09-30,636,1,0,1,78,0,0,0,1
2016-04-04,FRAUD,FELONY,100,0,CASE0000000095,GUILTY,PRISON,1838,2016-05-04,2016-10-01,92,0,0,0,68,1,0,0,0
2016-04-05,BURGLARY,FELONY,2500,1,CASE0000000096,DEFERRED,PROBATION,3405,2016-05-05,2016-10-02,64,0,0,1,40,0,0,0,0
2016-04-06,BURGLARY,MISDEMEANOR,2500,0,CASE0000000097,PENDING,JAIL,1535,2016-05-06,2016-10-03,653,0,0,0,46,0,0,0,1
2016-04-07,DRUG_POSSESS,MISDEMEANOR,500,1,CASE0000000098,PENDING,JAIL,2516,2016-05-07,2016-10-04,638,0,0,1,10,0,0,1,0
2016-04-08,DRUG_TRAFFICK,MISDEMEANOR,250,1,CASE0000000099,PLEA,DIVERSION,3383,2016-05-08,2016-10-05,167,1,0,1,75,1,0,0,0
2016-04-09,LARCENY,FELONY,500,1,CASE0000000100,NOT_GUILTY,DIVERSION,3225,2016-05-09,2016-10-06,77,0,0,0,58,0,0,0,1
2016-04-10,DUI,MISDEMEANOR,100,0,CASE0000000101,DEFERRED,DIVERSION,3547,2016-05-10,2016-10-07,87,1,1,0,66,1,0,0,1
2016-04-11,OTHER,MISDEMEANOR,2500,1,CASE0000000102,PENDING,NONE,3195,2016-05-11,2016-10-08,66,0,1,0,79,1,0,0,0
2016-04-12,DRUG_POSSESS,FELONY,1000,1,CASE0000000103,DISMISSED,JAIL,1173,2016-05-12,2016-10-09,60,1,1,0,28,0,0,1,0
2016-04-13,BURGLARY,FELONY,2500,1,CASE0000000104,PLEA,JAIL,2817,2016-05-13,2016-10-10,186,1,0,1,36,0,1,1,0
2016-04-14,DRUG_TRAFFICK,MISDEMEANOR,2500,0,CASE0000000105,GUILTY,PROBATION,2575,2016-05-14,2016-10-11,564,0,0,1,44,1,0,0,1
2016-04-15,ASSAULT,FELONY,250,1,CASE0000000106,PLEA,NONE,463,2016-05-15,2016-10-12,316,0,0,0,99,1,0,0,0
2016-04-16,LARCENY,FELONY,2500,1,CASE0000000107,PLEA,PROBATION,719,2016-05-16,2016-10-13,419,0,1,0,96,1,0,1,0
2016-04-17,FRAUD,MISDEMEANOR,25000,1,CASE0000000108,GUILTY,DIVERSION,1090,2016-05-17,2016-10-14,502,0,0,0,20,1,0,0,0
2016-04-18,BURGLARY,FELONY,500,0,CASE0000000109,GUILTY,NONE,3428,2016-05-18,2016-10-15,543,0,0,0,5,1,0,0,1
2016-04-19,VANDALISM,FELONY,100,1,CASE0000000110,DISMISSED,JAIL,339,2016-05-19,2016-10-16,179,1,0,1,69,1,0,1,1
2016-04-20,BURGLARY,FELONY,250,1,CASE0000000111,PLEA,PROBATION,255,2016-05-20,2016-10-17,679,0,0,0,6,1,0,0,1
2016-04-21,FRAUD,MISDEMEANOR,25000,1,CASE0000000112,PLEA,JAIL,245,2016-05-21,2016-10-18,398,0,0,1,61,0,0,1,0
2016-04-22,FRAUD,MISDEMEANOR,500,1,CASE0000000113,GUILTY,JAIL,2468,2016-05-22,2016-10-19,304,0,0,0,82,1,0,0,1
2016-04-23,OTHER,INFRACTION,25000,0,CASE0000000114,DISMISSED,PROBATION,3386,2016-05-23,2016-10-20,515,0,1,0,16,1,0,1,0
2016-04-24,WEAPONS,FELONY,25000,1,CASE0000000115,GUILTY,PROBATION,2973,2016-05-24,2016-10-21,123,0,0,0,85,0,1,0,0
2016-04-25,ASSAULT,FELONY,500,1,CASE0000000116,PLEA,NONE,846,2016-05-25,2016-10-22,314,0,0,0,25,1,1,0,0
2016-04-26,FRAUD,MISDEMEANOR,100,0,CASE0000000117,GUILTY,JAIL,2114,2016-05-26,2016-10-23,214,0,0,0,31,0,0,0,1
2016-04-27,WEAPONS,MISDEMEANOR,1000,0,CASE0000000118,DISMISSED,DIVERSION,3177,2016-05-27,2016-10-24,333,1,0,1,86,0,0,0,1
2016-04-28,FRAUD,MISDEMEANOR,500,1,CASE0000000119,NOT_GUILTY,PROBATION,910,2016-05-28,2016-10-25,216,0,0,0,98,1,0,1,0
2016-04-29,DRUG_TRAFFICK,FELONY,0,1,CASE0000000120,DISMISSED,NONE,628,2016-05-29,2016-10-26,590,0,1,0,38,1,0,1,1
2016-04-30,DRUG_POSSESS,MISDEMEANOR,2500,0,CASE0000000121,DEFERRED,JAIL,1006,2016-05-30,2016-10-27,416,0,0,0,6,1,0,0,0
2016-05-01,BURGLARY,MISDEMEANOR,10000,1,CASE0000000122,GUILTY,DIVERSION,850,2016-05-31,2016-10-28,401,0,0,1,91,0,0,1,1
2016-05-02,LARCENY,FELONY,500,0,CASE0000000123,GUILTY,JAIL,1033,2016-06-01,2016-10-29,411,0,1,0,3,1,0,0,1
2016-05-03,OTHER,INFRACTION,500,0,CASE0000000124,GUILTY,PROBATION,1149,2016-06-02,2016-10-30,625,0,0,1,10,1,1,0,0
2016-05-04,VANDALISM,INFRACTION,1000,0,CASE0000000125,GUILTY,DIVERSION,1024,2016-06-03,2016-10-31,399,0,1,0,61,1,0,0,0
2016-05-05,OTHER,MISDEMEANOR,500,0,CASE0000000126,DISMISSED,PROBATION,1660,2016-06-04,2016-11-01,27,0,0,0,33,0,1,0,0
2016-05-06,DRUG_TRAFFICK,FELONY,0,1,CASE0000000127,PLEA,PROBATION,440,2016-06-05,2016-11-02,668,0,0,0,43,0,0,0,1
2016-05-07,DUI,INFRACTION,25000,0,CASE0000000128,DISMISSED,PROBATION,395,2016-06-06,2016-11-03,68,0,0,0,7,0,0,0,1
2016-05-08,FRAUD,INFRACTION,0,1,CASE0000000129,NOT_GUILTY,NONE,605,2016-06-07,2016-11-04,460,0,1,1,12,1,0,0,1
2016-05-09,DRUG_TRAFFICK,INFRACTION,5000,1,CASE0000000130,GUILTY,DIVERSION,2292,2016-06-08,2016-11-05,103,0,1,1,7,1,0,1,1
2016-05-10,OTHER,FELONY,250,1,CASE0000000131,PLEA,JAIL,2196,2016-06-09,2016-11-06,679,0,0,1,46,0,0,0,0
2016-05-11,OTHER,MISDEMEANOR,500,1,CASE0000000132,PENDING,COMMUNITY_SERVICE,2307,2016-06-10,2016-11-07,222,0,0,0,32,1,1,0,0
2016-05-12,DUI,MISDEMEANOR,100,1,CASE0000000133,PENDING,PROBATION,2941,2016-06-11,2016-11-08,299,0,0,0,3,0,0,1,0
2016-05-13,DRUG_POSSESS,FELONY,0,1,CASE0000000134,GUILTY,PROBATION,1041,2016-06-12,2016-11-09,194,0,1,0,78,0,0,0,0
2016-05-14,BURGLARY,INFRACTION,500,1,CASE0000000135,PENDING,PROBATION,2753,2016-06-13,2016-11-10,22,0,0,0,94,1,0,0,0
2016-05-15,ASSAULT,FELONY,10000,1,CASE0000000136,DISMISSED,COMMUNITY_SERVICE,233,2016-06-14,2016-11-11,526,0,0,1,99,0,0,0,1
2016-05-16,LARCENY,FELONY,1000,1,CASE0000000137,PENDING,PRISON,7,2016-06-15,2016-11-12,377,0,1,0,59,0,1,0,1
2016-05-17,DRUG_POSSESS,INFRACTION,25000,0,CASE0000000138,PENDING,JAIL,946,2016-06-16,2016-11-13,518,0,1,0,16,1,0,0,0
2016-05-18,FRAUD,MISDEMEANOR,25000,1,CASE0000000139,PENDING,PRISON,1542,2016-06-17,2016-11-14,507,0,0,0,64,1,0,1,0
2016-05-19,VANDALISM,MISDEMEANOR,100,0,CASE0000000140,PLEA,PROBATION,2889,2016-06-18,2016-11-15,227,0,1,0,71,1,0,0,0
2016-05-20,LARCENY,FELONY,500,1,CASE0000000141,PENDING,PRISON,662,2016-06-19,2016-11-16,328,0,0,0,49,0,1,0,1
2016-05-21,OTHER,FELONY,25000,1,CASE0000000142,NOT_GUILTY,JAIL,118,2016-06-20,2016-11-17,546,0,0,1,2,0,0,0,0
2016-05-22,DRUG_TRAFFICK,INFRACTION,0,1,CASE0000000143,GUILTY,DIVERSION,3358,2016-06-21,2016-11-18,675,0,0,0,30,1,1,0,0
2016-05-23,DRUG_POSSESS,MISDEMEANOR,1000,0,CASE0000000144,GUILTY,DIVERSION,1395,2016-06-22,2016-11-19,348,0,0,1,4,0,0,1,0
2016-05-24,DRUG_POSSESS,FELONY,5000,1,CASE0000000145,PLEA,JAIL,2020,2016-06-23,2016-11-20,129,0,1,0,53,1,1,0,0
2016-05-25,DRUG_TRAFFICK,MISDEMEANOR,2500,0,CASE0000000146,DISMISSED,JAIL,3331,2016-06-24,2016-11-21,345,0,0,1,9,1,0,0,1
2016-05-26,WEAPONS,FELONY,250,1,CASE0000000147,DEFERRED,PROBATION,735,2016-06-25,2016-11-22,692,0,0,1,56,0,0,0,0
2016-05-27,DRUG_POSSESS,MISDEMEANOR,500,1,CASE0000000148,PLEA,NONE,2725,2016-06-26,2016-11-23,685,0,0,1,32,0,0,0,0
2016-05-28,ASSAULT,INFRACTION,2500,1,CASE0000000149,GUILTY,PRISON,56,2016-06-27,2016-11-24,481,0,1,1,54,1,1,0,1
2016-05-29,DUI,INFRACTION,0,0,CASE0000000150,PLEA,JAIL,2076,2016-06-28,2016-11-25,387,0,1,0,15,0,0,1,0
2016-05-30,BURGLARY,MISDEMEANOR,2500,1,CASE0000000151,PLEA,PROBATION,3512,2016-06-29,2016-11-26,98,0,1,1,58,1,0,0,1
2016-05-31,WEAPONS,MISDEMEANOR,2500,0,CASE0000000152,NOT_GUILTY,JAIL,2632,2016-06-30,2016-11-27,477,0,0,1,87,0,0,0,1
2016-06-01,VANDALISM,FELONY,1000,1,CASE0000000153,DISMISSED,PROBATION,540,2016-07-01,2016-11-28,64,0,0,0,72,1,0,0,0
2016-06-02,DUI,MISDEMEANOR,25000,1,CASE0000000154,PLEA,PROBATION,1520,2016-07-02,2016-11-29,629,1,0,0,55,0,0,0,0
2016-06-03,ASSAULT,FELONY,1000,1,CASE0000000155,GUILTY,NONE,2847,2016-07-03,2016-11-30,276,0,0,0,100,0,1,0,0
2016-06-04,DRUG_TRAFFICK,FELONY,25000,0,CASE0000000156,DEFERRED,PRISON,432,2016-07-04,2016-12-01,103,0,0,1,7,1,0,0,0
2016-06-05,VANDALISM,MISDEMEANOR,1000,0,CASE0000000157,GUILTY,DIVERSION,1343,2016-07-05,2016-12-02,280,0,0,0,45,0,1,0,1
2016-06-06,DRUG_POSSESS,FELONY,5000,1,CASE0000000158,GUILTY,PROBATION,1892,2016-07-06,2016-12-03,81,1,1,1,23,1,1,0,0
2016-06-07,BURGLARY,INFRACTION,500,0,CASE0000000159,PENDING,NONE,2089,2016-07-07,2016-12-04,483,0,1,1,28,0,1,0,0
2016-06-08,DRUG_POSSESS,MISDEMEANOR,1000,0,CASE0000000160,PLEA,PRISON,1278,2016-07-08,2016-12-05,356,0,0,1,24,0,0,1,0
2016-06-09,LARCENY,MISDEMEANOR,10000,1,CASE0000000161,DISMISSED,PROBATION,1730,2016-07-09,2016-12-06,267,0,0,1,39,0,0,0,1
2016-06-10,DRUG_TRAFFICK,MISDEMEANOR,1000,1,CASE0000000162,PENDING,NONE,2980,2016-07-10,2016-12-07,3,0,0,0,15,1,0,1,0
2016-06-11,ASSAULT,MISDEMEANOR,10000,0,CASE0000000163,GUILTY,DIVERSION,271,2016-07-11,2016-12-08,610,0,1,0,37,0,0,0,0
