demo_household_survey_year,demo_household_household_id_sample,demo_household_relationship_to_householder,demo_household_family_type_code,demo_household_marital_status,demo_household_number_of_children_u18,demo_household_multigenerational_flag,demo_household_single_parent_flag,demo_household_cohabiting_partner_flag,demo_household_household_income_ratio_poverty,demo_household_housing_cost_burden_pct,demo_household_crowding_persons_per_room,demo_household_vehicle_count_household,demo_household_internet_access_type,demo_household_language_spoken_at_home,demo_household_disability_status_household,demo_household_caregiving_hours_week,demo_household_childcare_cost_monthly,demo_household_eldercare_responsibility_flag,demo_household_sampling_stratum
2018,HH00000020,CHILD,MALE_HH_NO_SPOUSE,WIDOWED,0,0,1,1,0.78,14.4,2.18,3,NONE,ARABIC,NONE,10,1244,0,URBAN_CORE
2024,HH00000021,SIBLING,FEMALE_HH_NO_SPOUSE,NEVER_MARRIED,4,0,0,1,2.39,36.9,1.37,1,SATELLITE,CHINESE,MULTIPLE_MEMBERS,48,621,1,RURAL
2022,HH00000022,SPOUSE,MARRIED_COUPLE,MARRIED,3,1,0,0,0.92,33.7,1.84,4,NONE,CHINESE,NONE,21,1977,0,RURAL
2021,HH00000023,NONREL,FEMALE_HH_NO_SPOUSE,DIVORCED,4,0,1,1,5.6,54.8,0.4,1,SATELLITE,TAGALOG,MULTIPLE_MEMBERS,18,1483,1,SUBURBAN
2020,HH00000024,SPOUSE,MALE_HH_NO_SPOUSE,MARRIED,0,0,1,1,4.21,60.1,0.32,1,MOBILE_ONLY,ENGLISH,MULTIPLE_MEMBERS,36,461,1,SUBURBAN
2019,HH00000025,SPOUSE,FEMALE_HH_NO_SPOUSE,WIDOWED,5,1,1,0,1.65,11.8,2.01,1,MOBILE_ONLY,VIETNAMESE,NONE,3,1548,0,URBAN_CORE
2023,HH00000026,SIBLING,MALE_HH_NO_SPOUSE,SEPARATED,4,0,1,1,1.02,40.0,1.99,4,SATELLITE,KOREAN,NONE,49,734,1,RURAL
2022,HH00000027,PARENT,MALE_HH_NO_SPOUSE,DIVORCED,2,1,1,0,0.92,30.0,0.64,1,FIXED_WIRELESS,KOREAN,ONE_MEMBER,55,2332,1,SMALL_TOWN
2020,HH00000028,SIBLING,FEMALE_HH_NO_SPOUSE,NEVER_MARRIED,3,1,1,0,3.17,33.6,1.66,4,NONE,FRENCH,ONE_MEMBER,24,709,0,SUBURBAN
2025,HH00000029,SPOUSE,MALE_HH_NO_SPOUSE,DIVORCED,0,0,1,0,1.72,55.0,1.04,1,SATELLITE,FRENCH,ONE_MEMBER,39,710,1,SMALL_TOWN
2020,HH00000030,SPOUSE,NONFAMILY,WIDOWED,2,0,1,0,5.81,45.3,0.73,3,NONE,TAGALOG,MULTIPLE_MEMBERS,5,960,0,RURAL
2018,HH00000031,CHILD,FEMALE_HH_NO_SPOUSE,NEVER_MARRIED,4,0,1,0,2.48,35.5,2.36,3,SATELLITE,OTHER,NONE,58,1334,0,URBAN_CORE
2022,HH00000032,SPOUSE,NONFAMILY,WIDOWED,1,1,0,1,5.96,38.7,2.35,4,CABLE,ARABIC,NONE,59,1232,1,SMALL_TOWN
2023,HH00000033,NONREL,MARRIED_COUPLE,DIVORCED,4,0,0,0,5.19,56.3,1.79,3,CABLE,SPANISH,MULTIPLE_MEMBERS,44,317,0,RURAL
2019,HH00000034,OTHER_REL,MALE_HH_NO_SPOUSE,MARRIED,0,0,1,1,5.45,55.2,2.49,1,CABLE,VIETNAMESE,MULTIPLE_MEMBERS,26,1168,0,SMALL_TOWN
2023,HH00000035,NONREL,NONFAMILY,WIDOWED,5,0,1,0,2.46,25.5,0.69,0,SATELLITE,FRENCH,MULTIPLE_MEMBERS,52,3167,0,RURAL
2022,HH00000036,HOUSEHOLDER,MALE_HH_NO_SPOUSE,SEPARATED,1,1,0,0,0.9,11.8,2.12,0,SATELLITE,KOREAN,ONE_MEMBER,1,1213,1,RURAL
2019,HH00000037,SIBLING,MALE_HH_NO_SPOUSE,SEPARATED,4,0,0,1,5.07,14.4,1.53,1,DSL,FRENCH,MULTIPLE_MEMBERS,46,3094,0,SMALL_TOWN
2025,HH00000038,NONREL,MARRIED_COUPLE,DIVORCED,0,1,1,0,0.23,24.3,0.7,3,SATELLITE,CHINESE,NONE,10,3053,0,SMALL_TOWN
2023,HH00000039,CHILD,FEMALE_HH_NO_SPOUSE,NEVER_MARRIED,2,1,1,0,2.8,62.9,1.67,2,MOBILE_ONLY,VIETNAMESE,ONE_MEMBER,37,2085,0,SUBURBAN
2020,HH00000040,CHILD,FEMALE_HH_NO_SPOUSE,MARRIED,2,1,1,0,1.05,60.9,2.48,0,SATELLITE,OTHER,ONE_MEMBER,9,2239,0,RURAL
2023,HH00000041,OTHER_REL,MARRIED_COUPLE,NEVER_MARRIED,1,1,1,0,5.43,59.1,0.79,3,SATELLITE,ARABIC,MULTIPLE_MEMBERS,20,1878,1,SUBURBAN
2019,HH00000042,PARENT,MALE_HH_NO_SPOUSE,WIDOWED,4,0,1,1,5.24,38.8,1.33,5,NONE,TAGALOG,MULTIPLE_MEMBERS,17,386,0,RURAL
2020,HH00000043,PARENT,MARRIED_COUPLE,DIVORCED,2,1,1,1,1.0,34.9,0.52,5,MOBILE_ONLY,ARABIC,ONE_MEMBER,59,605,1,SUBURBAN
2023,HH00000044,SPOUSE,FEMALE_HH_NO_SPOUSE,MARRIED,5,1,1,0,3.4,19.9,0.88,4,MOBILE_ONLY,ENGLISH,ONE_MEMBER,35,2467,1,SMALL_TOWN
2025,HH00000045,HOUSEHOLDER,MALE_HH_NO_SPOUSE,DIVORCED,4,1,1,0,1.56,45.7,0.95,3,CABLE,CHINESE,MULTIPLE_MEMBERS,5,1485,0,RURAL
2024,HH00000046,NONREL,FEMALE_HH_NO_SPOUSE,DIVORCED,2,1,1,1,3.18,57.8,1.56,0,MOBILE_ONLY,TAGALOG,ONE_MEMBER,44,2505,0,SMALL_TOWN
2023,HH00000047,HOUSEHOLDER,MARRIED_COUPLE,DIVORCED,0,1,0,0,5.86,55.4,0.45,2,SATELLITE,FRENCH,ONE_MEMBER,15,1572,1,SMALL_TOWN
2023,HH00000048,CHILD,NONFAMILY,NEVER_MARRIED,1,1,0,1,1.54,50.6,2.25,2,CABLE,SPANISH,NONE,18,2666,1,SMALL_TOWN
2023,HH00000049,NONREL,NONFAMILY,WIDOWED,1,1,1,0,0.58,19.6,2.41,0,CABLE,FRENCH,MULTIPLE_MEMBERS,60,2419,0,SUBURBAN
2023,HH00000050,SIBLING,MARRIED_COUPLE,WIDOWED,5,1,1,1,1.68,39.6,1.8,1,FIXED_WIRELESS,KOREAN,NONE,30,2384,0,SUBURBAN
2019,HH00000051,PARENT,MALE_HH_NO_SPOUSE,NEVER_MARRIED,3,1,0,0,5.91,18.5,1.77,0,SATELLITE,KOREAN,ONE_MEMBER,57,2897,1,SUBURBAN
2018,HH00000052,NONREL,NONFAMILY,SEPARATED,2,0,0,1,0.67,53.2,0.96,4,CABLE,FRENCH,ONE_MEMBER,48,116,0,SMALL_TOWN
2022,HH00000053,CHILD,NONFAMILY,MARRIED,2,0,1,0,0.42,60.3,2.26,3,CABLE,KOREAN,NONE,16,2089,0,SUBURBAN
2018,HH00000054,PARENT,MARRIED_COUPLE,MARRIED,3,0,1,1,1.08,61.3,2.11,0,CABLE,KOREAN,ONE_MEMBER,11,573,1,RURAL
2021,HH00000055,PARENT,MARRIED_COUPLE,NEVER_MARRIED,4,0,1,1,4.88,60.2,0.56,4,SATELLITE,ENGLISH,NONE,19,236,0,SUBURBAN
2022,HH00000056,NONREL,NONFAMILY,DIVORCED,1,0,0,1,2.93,22.1,1.88,1,DSL,ENGLISH,ONE_MEMBER,23,2477,1,SUBURBAN
2022,HH00000057,HOUSEHOLDER,NONFAMILY,DIVORCED,1,1,1,1,2.16,17.6,0.58,2,SATELLITE,FRENCH,MULTIPLE_MEMBERS,8,2809,1,SMALL_TOWN
2019,HH00000058,CHILD,MALE_HH_NO_SPOUSE,WIDOWED,1,0,0,0,4.01,9.9,0.82,1,MOBILE_ONLY,KOREAN,NONE,55,1742,0,SUBURBAN
2025,HH00000059,HOUSEHOLDER,MARRIED_COUPLE,NEVER_MARRIED,0,1,0,0,0.76,50.0,2.11,0,SATELLITE,OTHER,ONE_MEMBER,45,1477,0,SUBURBAN
2024,HH00000060,OTHER_REL,MALE_HH_NO_SPOUSE,SEPARATED,4,0,0,0,4.24,62.7,1.35,2,DSL,VIETNAMESE,ONE_MEMBER,21,179,0,SUBURBAN
2020,HH00000061,HOUSEHOLDER,MARRIED_COUPLE,SEPARATED,5,1,1,1,1.96,12.1,1.3,3,NONE,SPANISH,ONE_MEMBER,29,59,0,SUBURBAN
2025,HH00000062,CHILD,MARRIED_COUPLE,MARRIED,3,1,1,0,5.17,33.7,0.86,0,SATELLITE,FRENCH,ONE_MEMBER,49,1600,0,SMALL_TOWN
2019,HH00000063,SIBLING,MARRIED_COUPLE,MARRIED,1,0,1,0,4.4,21.4,1.66,5,FIXED_WIRELESS,TAGALOG,NONE,60,1783,1,SMALL_TOWN
2024,HH00000064,PARENT,MARRIED_COUPLE,DIVORCED,2,1,1,0,5.29,48.8,0.61,2,FIXED_WIRELESS,VIETNAMESE,NONE,6,3058,1,SUBURBAN
2022,HH00000065,HOUSEHOLDER,FEMALE_HH_NO_SPOUSE,DIVORCED,2,1,1,1,1.27,56.9,2.05,0,MOBILE_ONLY,ENGLISH,MULTIPLE_MEMBERS,58,2993,1,SMALL_TOWN
2018,HH00000066,SIBLING,MALE_HH_NO_SPOUSE,NEVER_MARRIED,4,0,0,0,1.06,26.0,1.47,3,NONE,TAGALOG,NONE,14,463,0,SMALL_TOWN
2025,HH00000067,SPOUSE,MARRIED_COUPLE,DIVORCED,0,0,0,1,4.33,46.1,2.16,0,SATELLITE,VIETNAMESE,NONE,0,1000,1,SMALL_TOWN
2020,HH00000068,CHILD,MALE_HH_NO_SPOUSE,DIVORCED,3,1,1,0,5.54,28.9,1.39,4,FIXED_WIRELESS,OTHER,MULTIPLE_MEMBERS,14,2674,0,SUBURBAN
2019,HH00000069,SPOUSE,NONFAMILY,WIDOWED,5,1,1,1,4.87,61.9,0.95,1,MOBILE_ONLY,VIETNAMESE,MULTIPLE_MEMBERS,17,1047,1,SMALL_TOWN
2018,HH00000070,OTHER_REL,MALE_HH_NO_SPOUSE,NEVER_MARRIED,1,0,0,0,5.66,5.1,0.33,0,CABLE,VIETNAMESE,ONE_MEMBER,20,2787,1,RURAL
2025,HH00000071,OTHER_REL,FEMALE_HH_NO_SPOUSE,MARRIED,3,1,0,1,0.26,51.1,1.21,5,FIBER,KOREAN,MULTIPLE_MEMBERS,46,1489,0,URBAN_CORE
2019,HH00000072,SPOUSE,MARRIED_COUPLE,NEVER_MARRIED,5,0,0,1,1.24,7.6,2.38,5,MOBILE_ONLY,TAGALOG,NONE,0,1219,1,SUBURBAN
2023,HH00000073,CHILD,MARRIED_COUPLE,SEPARATED,3,0,1,0,3.79,48.5,2.14,5,SATELLITE,FRENCH,ONE_MEMBER,10,708,0,RURAL
2022,HH00000074,PARENT,FEMALE_HH_NO_SPOUSE,DIVORCED,5,0,0,0,2.65,62.0,2.5,4,NONE,VIETNAMESE,ONE_MEMBER,44,2290,0,SMALL_TOWN
2019,HH00000075,SIBLING,MARRIED_COUPLE,MARRIED,5,1,1,0,4.64,58.1,0.64,4,MOBILE_ONLY,VIETNAMESE,NONE,15,484,1,SUBURBAN
2025,HH00000076,SPOUSE,FEMALE_HH_NO_SPOUSE,NEVER_MARRIED,2,1,0,0,0.59,12.1,1.7,5,DSL,ARABIC,NONE,33,2309,1,SUBURBAN
2024,HH00000077,NONREL,NONFAMILY,MARRIED,0,0,0,0,3.86,9.4,0.59,0,CABLE,KOREAN,ONE_MEMBER,15,2049,0,URBAN_CORE
2018,HH00000078,SPOUSE,NONFAMILY,DIVORCED,1,0,0,0,5.59,60.1,2.29,5,DSL,FRENCH,ONE_MEMBER,10,1992,1,SMALL_TOWN
2025,HH00000079,SIBLING,MARRIED_COUPLE,MARRIED,2,0,1,0,1.53,21.5,1.07,2,DSL,KOREAN,NONE,8,2747,1,SUBURBAN
2023,HH00000080,SPOUSE,FEMALE_HH_NO_SPOUSE,MARRIED,2,1,0,0,4.15,15.6,2.27,2,FIBER,CHINESE,ONE_MEMBER,43,1823,1,URBAN_CORE
2018,HH00000081,CHILD,FEMALE_HH_NO_SPOUSE,MARRIED,5,1,1,1,2.19,19.0,0.75,1,FIXED_WIRELESS,OTHER,ONE_MEMBER,3,2357,1,RURAL
2023,HH00000082,SIBLING,NONFAMILY,SEPARATED,2,0,0,1,2.35,37.1,0.65,2,NONE,VIETNAMESE,NONE,1,724,1,RURAL
2018,HH00000083,HOUSEHOLDER,MALE_HH_NO_SPOUSE,WIDOWED,2,1,1,0,3.19,9.1,0.69,3,MOBILE_ONLY,FRENCH,MULTIPLE_MEMBERS,59,2619,1,RURAL
2019,HH00000084,HOUSEHOLDER,FEMALE_HH_NO_SPOUSE,NEVER_MARRIED,3,0,0,0,1.96,6.6,2.02,0,DSL,ENGLISH,ONE_MEMBER,21,2179,1,URBAN_CORE
2023,HH00000085,PARENT,MARRIED_COUPLE,MARRIED,0,1,1,1,5.81,40.2,2.2,2,MOBILE_ONLY,ENGLISH,NONE,5,2527,0,SMALL_TOWN
2022,HH00000086,NONREL,MARRIED_COUPLE,SEPARATED,3,1,0,0,0.45,31.2,0.39,3,SATELLITE,FRENCH,NONE,28,2741,1,URBAN_CORE
2024,HH00000087,OTHER_REL,MARRIED_COUPLE,MARRIED,0,1,1,0,4.45,59.0,0.63,5,MOBILE_ONLY,ARABIC,NONE,59,237,1,SUBURBAN
2021,HH00000088,SPOUSE,FEMALE_HH_NO_SPOUSE,MARRIED,0,0,1,0,0.67,38.5,0.31,3,SATELLITE,CHINESE,ONE_MEMBER,11,3023,0,SMALL_TOWN
2021,HH00000089,CHILD,NONFAMILY,WIDOWED,5,0,0,0,5.15,39.9,0.43,4,CABLE,VIETNAMESE,ONE_MEMBER,4,2086,1,SMALL_TOWN
2021,HH00000090,NONREL,MARRIED_COUPLE,SEPARATED,1,1,0,1,2.97,60.1,0.5,2,MOBILE_ONLY,VIETNAMESE,MULTIPLE_MEMBERS,55,3073,0,SUBURBAN
2025,HH00000091,SIBLING,FEMALE_HH_NO_SPOUSE,WIDOWED,3,1,1,1,1.5,10.7,0.95,1,CABLE,FRENCH,ONE_MEMBER,17,76,1,RURAL
2020,HH00000092,OTHER_REL,FEMALE_HH_NO_SPOUSE,SEPARATED,4,1,0,0,3.05,32.5,0.77,3,DSL,SPANISH,NONE,32,1915,0,SMALL_TOWN
2025,HH00000093,OTHER_REL,FEMALE_HH_NO_SPOUSE,NEVER_MARRIED,5,1,1,0,5.74,29.2,1.76,5,FIBER,ARABIC,NONE,55,2544,1,SMALL_TOWN
2022,HH00000094,SPOUSE,MARRIED_COUPLE,NEVER_MARRIED,0,1,0,0,1.15,51.9,2.49,2,MOBILE_ONLY,FRENCH,NONE,1,2032,0,URBAN_CORE
2022,HH00000095,OTHER_REL,FEMALE_HH_NO_SPOUSE,WIDOWED,4,0,1,0,3.71,30.2,1.75,0,NONE,VIETNAMESE,NONE,22,2625,1,URBAN_CORE
2020,HH00000096,CHILD,NONFAMILY,NEVER_MARRIED,2,1,1,0,2.95,34.0,0.3,1,NONE,ENGLISH,MULTIPLE_MEMBERS,43,1802,0,URBAN_CORE
2021,HH00000097,CHILD,MARRIED_COUPLE,MARRIED,0,1,0,0,4.25,33.3,0.59,2,FIXED_WIRELESS,TAGALOG,MULTIPLE_MEMBERS,41,18,0,SUBURBAN
2023,HH00000098,HOUSEHOLDER,MARRIED_COUPLE,NEVER_MARRIED,0,0,0,0,1.21,52.5,0.54,0,FIBER,SPANISH,NONE,32,1085,1,SUBURBAN
2021,HH00000099,HOUSEHOLDER,NONFAMILY,NEVER_MARRIED,5,1,1,0,3.65,45.4,1.22,3,FIBER,SPANISH,NONE,55,2386,1,SMALL_TOWN
2023,HH00000100,CHILD,MALE_HH_NO_SPOUSE,NEVER_MARRIED,3,0,0,1,5.14,30.6,0.91,3,CABLE,ENGLISH,ONE_MEMBER,4,969,1,SMALL_TOWN
2023,HH00000101,SPOUSE,NONFAMILY,MARRIED,0,0,1,0,0.35,9.3,2.42,0,FIXED_WIRELESS,VIETNAMESE,ONE_MEMBER,30,3015,0,SMALL_TOWN
2020,HH00000102,SIBLING,NONFAMILY,SEPARATED,4,0,1,1,4.85,55.0,0.67,2,DSL,ENGLISH,NONE,60,2745,0,SMALL_TOWN
2018,HH00000103,PARENT,FEMALE_HH_NO_SPOUSE,NEVER_MARRIED,0,1,1,0,2.95,64.6,1.76,3,FIBER,TAGALOG,ONE_MEMBER,60,140,1,RURAL
2025,HH00000104,NONREL,MARRIED_COUPLE,NEVER_MARRIED,1,0,0,0,1.31,49.6,0.66,5,NONE,VIETNAMESE,MULTIPLE_MEMBERS,41,1595,1,SMALL_TOWN
2023,HH00000105,SPOUSE,MARRIED_COUPLE,DIVORCED,1,1,1,0,3.73,31.0,1.49,2,DSL,ENGLISH,ONE_MEMBER,47,2596,1,SMALL_TOWN
2022,HH00000106,NONREL,FEMALE_HH_NO_SPOUSE,DIVORCED,3,1,0,1,1.94,28.6,0.35,3,CABLE,CHINESE,ONE_MEMBER,13,1398,1,SUBURBAN
2025,HH00000107,CHILD,FEMALE_HH_NO_SPOUSE,SEPARATED,1,1,0,1,5.91,40.9,0.41,4,DSL,FRENCH,MULTIPLE_MEMBERS,51,1654,1,URBAN_CORE
2024,HH00000108,SIBLING,MALE_HH_NO_SPOUSE,NEVER_MARRIED,0,0,0,1,1.77,17.8,0.37,5,NONE,SPANISH,MULTIPLE_MEMBERS,4,2679,1,SMALL_TOWN
2024,HH00000109,PARENT,MARRIED_COUPLE,NEVER_MARRIED,1,0,0,0,4.34,14.4,0.64,3,NONE,VIETNAMESE,NONE,21,993,0,RURAL
2021,HH00000110,NONREL,NONFAMILY,SEPARATED,5,1,1,0,3.11,11.8,0.31,3,SATELLITE,OTHER,MULTIPLE_MEMBERS,21,161,1,SMALL_TOWN
2021,HH00000111,CHILD,NONFAMILY,SEPARATED,2,1,0,1,2.49,63.1,1.38,4,FIXED_WIRELESS,FRENCH,ONE_MEMBER,27,2673,0,URBAN_CORE
2020,HH00000112,SIBLING,MALE_HH_NO_SPOUSE,DIVORCED,3,0,1,1,3.25,44.6,1.15,5,FIBER,SPANISH,ONE_MEMBER,50,232,1,SUBURBAN
2019,HH00000113,NONREL,FEMALE_HH_NO_SPOUSE,MARRIED,5,1,1,0,1.97,38.3,0.44,5,CABLE,KOREAN,MULTIPLE_MEMBERS,60,137,0,SMALL_TOWN
2023,HH00000114,SIBLING,NONFAMILY,SEPARATED,0,0,1,1,2.88,58.0,0.47,1,DSL,SPANISH,NONE,8,1704,1,SMALL_TOWN
2022,HH00000115,PARENT,NONFAMILY,DIVORCED,1,1,1,0,2.38,24.7,2.0,4,CABLE,CHINESE,ONE_MEMBER,27,247,0,SMALL_TOWN
2023,HH00000116,NONREL,NONFAMILY,WIDOWED,2,1,0,1,3.95,35.6,0.35,5,SATELLITE,TAGALOG,ONE_MEMBER,2,2496,1,SUBURBAN
2022,HH00000117,CHILD,NONFAMILY,MARRIED,1,0,0,0,4.39,13.4,2.32,1,CABLE,ARABIC,NONE,53,2062,0,SUBURBAN
2022,HH00000118,OTHER_REL,FEMALE_HH_NO_SPOUSE,DIVORCED,1,0,0,1,4.66,41.4,1.12,3,FIXED_WIRELESS,KOREAN,NONE,60,1024,0,SUBURBAN
2025,HH00000119,HOUSEHOLDER,MARRIED_COUPLE,SEPARATED,1,1,1,0,4.76,58.9,0.62,1,MOBILE_ONLY,KOREAN,NONE,43,572,1,RURAL
2024,HH00000120,SPOUSE,MALE_HH_NO_SPOUSE,WIDOWED,0,0,1,0,2.25,49.8,2.19,0,NONE,KOREAN,NONE,59,2986,0,URBAN_CORE
2018,HH00000121,OTHER_REL,MALE_HH_NO_SPOUSE,WIDOWED,3,1,0,0,3.77,39.4,1.08,0,FIXED_WIRELESS,FRENCH,MULTIPLE_MEMBERS,38,871,1,RURAL
2025,HH00000122,OTHER_REL,MALE_HH_NO_SPOUSE,SEPARATED,2,0,1,1,3.14,36.2,1.56,0,NONE,SPANISH,MULTIPLE_MEMBERS,58,2369,1,SMALL_TOWN
2023,HH00000123,PARENT,MALE_HH_NO_SPOUSE,SEPARATED,3,0,1,0,3.91,41.1,1.39,4,FIXED_WIRELESS,OTHER,MULTIPLE_MEMBERS,40,1270,1,URBAN_CORE
2019,HH00000124,SPOUSE,FEMALE_HH_NO_SPOUSE,WIDOWED,5,0,0,0,2.25,42.7,1.62,0,NONE,VIETNAMESE,NONE,25,2400,0,SMALL_TOWN
2022,HH00000125,PARENT,FEMALE_HH_NO_SPOUSE,MARRIED,3,0,0,0,1.31,41.8,0.69,2,SATELLITE,KOREAN,MULTIPLE_MEMBERS,13,69,0,URBAN_CORE
2018,HH00000126,HOUSEHOLDER,MARRIED_COUPLE,WIDOWED,4,1,0,0,4.41,33.0,1.17,0,NONE,TAGALOG,NONE,0,2841,0,URBAN_CORE
2018,HH00000127,NONREL,FEMALE_HH_NO_SPOUSE,SEPARATED,2,0,1,0,2.39,42.6,0.95,3,FIXED_WIRELESS,KOREAN,ONE_MEMBER,9,1620,1,SUBURBAN
2023,HH00000128,SPOUSE,FEMALE_HH_NO_SPOUSE,MARRIED,0,0,1,0,4.44,36.3,2.01,5,SATELLITE,SPANISH,NONE,30,2679,0,SMALL_TOWN
2018,HH00000129,SIBLING,MARRIED_COUPLE,DIVORCED,0,0,0,0,4.3,30.3,2.02,0,FIBER,TAGALOG,NONE,47,2173,1,SMALL_TOWN
2022,HH00000130,NONREL,FEMALE_HH_NO_SPOUSE,NEVER_MARRIED,5,1,0,1,5.96,36.3,2.49,1,SATELLITE,ENGLISH,MULTIPLE_MEMBERS,38,2263,0,RURAL
2022,HH00000131,NONREL,MARRIED_COUPLE,NEVER_MARRIED,4,0,0,0,2.32,54.2,2.5,3,DSL,ARABIC,ONE_MEMBER,48,1090,1,SUBURBAN
2024,HH00000132,OTHER_REL,FEMALE_HH_NO_SPOUSE,NEVER_MARRIED,4,0,0,0,4.16,59.4,0.51,3,NONE,SPANISH,ONE_MEMBER,16,786,1,RURAL
2020,HH00000133,SIBLING,FEMALE_HH_NO_SPOUSE,DIVORCED,4,1,0,0,4.22,43.3,1.32,0,FIXED_WIRELESS,TAGALOG,MULTIPLE_MEMBERS,36,1177,1,SMALL_TOWN
2023,HH00000134,SPOUSE,MALE_HH_NO_SPOUSE,DIVORCED,4,0,0,0,5.64,56.7,1.95,5,CABLE,OTHER,NONE,3,233,1,URBAN_CORE
2020,HH00000135,CHILD,MARRIED_COUPLE,WIDOWED,0,1,0,1,3.09,5.3,1.78,1,SATELLITE,VIETNAMESE,NONE,40,1399,1,URBAN_CORE
2019,HH00000136,NONREL,NONFAMILY,DIVORCED,0,0,1,0,4.06,61.4,1.37,3,FIBER,TAGALOG,MULTIPLE_MEMBERS,3,1438,1,URBAN_CORE
2024,HH00000137,SIBLING,NONFAMILY,DIVORCED,1,0,0,1,4.58,5.5,0.52,3,DSL,OTHER,NONE,14,3015,1,SMALL_TOWN
2024,HH00000138,NONREL,MALE_HH_NO_SPOUSE,SEPARATED,5,0,1,0,5.94,61.1,1.33,2,FIBER,ENGLISH,ONE_MEMBER,35,3008,1,URBAN_CORE
