trans_air_flight_date,trans_air_airport_iata_code,trans_air_carrier_code,trans_air_flight_number_hash,trans_air_scheduled_departure_local,trans_air_actual_departure_local,trans_air_departure_delay_minutes,trans_air_scheduled_arrival_local,trans_air_actual_arrival_local,trans_air_arrival_delay_minutes,trans_air_cancellation_flag,trans_air_diversion_flag,trans_air_taxi_out_minutes,trans_air_taxi_in_minutes,trans_air_airborne_time_minutes,trans_air_seat_capacity,trans_air_passengers_enplaned,trans_air_baggage_mishandled_rate,trans_air_cisf_security_wait_time_minutes,trans_air_gate_utilization_pct
2025-10-08,AMD,SG,FL6E6982C12EE9,2025-10-08 21:50,2025-10-08 21:55,5,2025-10-09 00:09,2025-10-09 00:35,26,N,N,16,2,121,195,156,2.03,29,86.91
2025-03-21,AMD,AI,FL7EAD5EC5EB3A,2025-03-21 16:08,2025-03-21 16:11,3,2025-03-21 19:44,2025-03-21 19:56,12,N,N,29,18,169,342,337,5.34,18,89.37
2021-05-21,IXC,SG,FLBBA7A4B91250,2021-05-21 17:56,2021-05-21 17:47,-9,2021-05-21 21:21,2021-05-21 21:17,-4,N,N,29,3,173,188,139,2.64,0,78.62
2025-11-23,DEL,G8,FLA5C181176BEF,2025-11-23 14:49,2025-11-23 15:37,48,2025-11-23 16:07,2025-11-23 17:19,72,N,N,20,3,55,363,264,4.37,30,34.33
2021-01-20,GAU,S5,FL361B89B68A19,2021-01-20 12:48,2021-01-20 12:51,3,2021-01-20 14:18,2021-01-20 14:06,-12,N,N,5,3,82,236,231,0.07,15,62.28
2021-01-13,IXB,I5,FLE2FDA919AF4F,2021-01-13 20:05,2021-01-13 20:40,35,2021-01-13 22:14,2021-01-13 22:49,35,N,N,10,13,106,190,157,1.31,12,51.77
2019-02-04,DEL,AI,FLE6A69C648FA5,2019-02-04 13:26,2019-02-04 13:42,16,2019-02-04 16:14,2019-02-04 16:55,41,N,N,17,2,149,297,237,0.0,12,75.56
2020-08-27,TRV,UK,FLDC1CA6AB94A8,2020-08-27 16:39,2020-08-27 16:19,-20,2020-08-27 20:11,2020-08-27 19:42,-29,N,N,15,3,194,326,270,5.74,7,59.21
2023-07-08,CCU,QP,FL6048234A090A,2023-07-08 12:10,2023-07-08 12:08,-2,2023-07-08 14:40,2023-07-08 15:11,31,N,N,15,3,132,234,148,3.48,17,59.86
2025-12-21,IXB,UK,FL4DC2DD7D5FCF,2025-12-21 14:28,2025-12-21 14:31,3,2025-12-21 17:06,2025-12-21 17:35,29,N,N,20,7,131,75,65,2.87,14,87.26
2023-07-22,CCU,AI,FL9F69D9F85D3F,2023-07-22 09:58,2023-07-22 10:07,9,2023-07-22 12:36,2023-07-22 12:13,-23,N,N,17,10,131,207,175,4.04,32,72.18
2019-01-27,MAA,SG,FLD2AD34CAF010,2019-01-27 15:02,2019-01-27 15:05,3,2019-01-27 17:54,2019-01-27 17:56,2,N,N,4,10,158,362,337,1.6,25,60.58
2025-06-25,CCU,G8,FL86ADEB6EE398,2025-06-25 08:25,2025-06-25 08:36,11,2025-06-25 09:57,2025-06-25 10:06,9,N,N,19,6,67,96,80,4.65,13,81.91
2022-03-11,LKO,QP,FLD0759BD897DB,2022-03-11 12:58,2022-03-11 12:55,-3,2022-03-11 16:38,2022-03-11 17:02,24,N,N,19,6,195,265,213,5.23,0,66.69
2023-06-10,AMD,G8,FLA5F1E0979A67,2023-06-10 10:59,2023-06-10 11:01,2,2023-06-10 14:42,2023-06-10 14:24,-18,N,N,21,2,200,339,288,4.9,10,59.37
2023-08-27,HYD,UK,FL936AECF7B2B9,2023-08-27 20:31,2023-08-27 20:46,15,2023-08-27 23:29,2023-08-27 23:17,-12,N,N,7,7,164,152,106,1.14,6,62.28
2024-08-30,HYD,SG,FL8C614348B95B,2024-08-30 18:13,2024-08-30 18:02,-11,2024-08-30 20:43,2024-08-30 20:13,-30,N,N,8,11,131,371,319,2.43,14,47.54
2020-12-25,GOI,S5,FLB4005C9E6FBB,2020-12-25 05:26,2020-12-25 05:23,-3,2020-12-25 07:55,2020-12-25 07:46,-9,N,N,20,12,117,104,102,6.47,10,81.39
2021-04-28,TRV,SG,FL8CB4A7E0E697,2021-04-28 17:21,2021-04-28 18:12,51,2021-04-28 19:33,2021-04-28 20:36,63,N,N,11,14,107,163,148,1.19,10,48.96
2023-06-19,IXB,QP,FL1FF9F5547952,2023-06-19 12:18,2023-06-19 11:58,-20,2023-06-19 15:18,2023-06-19 14:48,-30,N,N,15,7,158,248,214,2.25,6,67.37
2024-04-12,COK,S5,FL7EEE662DF435,2024-04-12 06:59,2024-04-12 06:46,-13,2024-04-12 07:56,2024-04-12 07:44,-12,N,N,9,3,45,308,305,2.68,13,56.0
2024-12-01,MAA,SG,FL6303B9D4A249,2024-12-01 11:30,2024-12-01 12:15,45,2024-12-01 13:11,2024-12-01 14:01,50,N,N,9,9,83,286,250,1.73,31,77.31
2022-10-20,MAA,SG,FL9B786D8C1B8A,2022-10-20 14:48,2022-10-20 14:45,-3,2022-10-20 17:32,2022-10-20 17:19,-13,N,N,14,6,144,347,338,6.17,16,72.46
2021-09-29,PNQ,UK,FL3EE9B01ADF96,2021-09-29 07:23,2021-09-29 07:32,9,2021-09-29 10:05,2021-09-29 10:21,16,N,N,8,8,146,194,150,0.0,34,75.62
2021-10-31,LKO,G8,FLD21AA7E2BAEF,2021-10-31 17:52,2021-10-31 17:39,-13,2021-10-31 20:55,2021-10-31 20:25,-30,N,N,13,8,162,276,221,4.54,24,55.25
2025-02-21,BLR,UK,FLED72FFC09AD7,2025-02-21 17:22,2025-02-21 17:02,-20,2025-02-21 19:39,2025-02-21 19:30,-9,N,N,19,5,113,183,180,3.75,9,70.3
2022-02-12,IXC,QP,FLEDF6ED22564E,2022-02-12 12:31,2022-02-12 12:42,11,2022-02-12 15:59,2022-02-12 16:05,6,N,N,26,13,169,83,64,4.34,5,51.9
2024-11-30,IXB,AI,FLD02490FFB8BC,2024-11-30 10:35,2024-11-30 10:22,-13,2024-11-30 13:44,2024-11-30 13:46,2,N,N,8,18,163,205,151,0.0,18,55.8
2024-02-18,AMD,I5,FLF60149D9621D,2024-02-18 20:38,2024-02-18 20:53,15,2024-02-18 22:06,2024-02-18 22:56,50,N,N,6,8,74,80,58,0.0,41,38.16
2024-03-30,CCU,SG,FL80AA59908A9F,2024-03-30 22:15,2024-03-30 22:57,42,2024-03-31 01:15,2024-03-31 01:58,43,N,N,21,21,138,270,245,3.49,0,73.92
2023-08-26,TRV,AI,FLA19828A17A83,2023-08-26 11:02,2023-08-26 11:43,41,2023-08-26 14:48,2023-08-26 15:26,38,N,N,25,16,185,287,284,0.67,49,63.28
2023-01-20,GOI,SG,FL350430A90BB1,2023-01-20 08:21,2023-01-20 08:23,2,2023-01-20 11:55,2023-01-20 12:05,10,N,N,17,5,192,304,196,3.38,29,64.86
2020-10-10,CCU,I5,FL2599D2986F08,2020-10-10 08:42,2020-10-10 08:40,-2,2020-10-10 10:40,2020-10-10 10:16,-24,N,N,22,7,89,203,171,0.0,20,82.65
2019-03-11,GAU,QP,FL8F3C4A0E72D6,2019-03-11 15:29,2019-03-11 15:17,-12,2019-03-11 17:31,2019-03-11 17:45,14,N,N,19,12,91,370,278,0.0,27,75.02
2019-11-21,CCU,I5,FL457DA6363896,2019-11-21 21:42,2019-11-21 22:15,33,2019-11-22 01:05,2019-11-22 02:26,81,N,N,8,21,174,311,278,3.95,4,50.13
2024-07-09,PNQ,6E,FL25FA013092F6,2024-07-09 06:31,2024-07-09 06:29,-2,2024-07-09 07:57,2024-07-09 08:17,20,N,N,27,8,51,285,206,2.62,18,70.7
2021-01-21,MAA,QP,FL5A731F3ECDEA,2021-01-21 05:27,2021-01-21 05:54,27,2021-01-21 07:43,2021-01-21 08:33,50,N,N,12,12,112,359,355,1.55,9,96.35
2024-04-14,HYD,S5,FLAB80CADDA56A,2024-04-14 15:09,2024-04-14 15:01,-8,2024-04-14 17:58,2024-04-14 17:40,-18,N,N,21,4,144,207,186,4.37,8,65.18
2024-06-29,TRV,6E,FL54CDBCCC2349,2024-06-29 05:07,2024-06-29 05:12,5,2024-06-29 08:01,2024-06-29 07:50,-11,N,N,18,4,152,305,292,4.7,13,54.66
2024-10-21,BLR,QP,FL952029734998,2024-10-21 18:43,2024-10-21 19:02,19,2024-10-21 21:26,2024-10-21 21:52,26,N,N,18,12,133,107,92,4.13,25,88.17
2022-01-25,MAA,6E,FL76D3A39D8560,2022-01-25 15:06,2022-01-25 15:55,49,2022-01-25 17:09,2022-01-25 18:50,101,N,N,20,22,81,176,132,6.49,12,85.87
2020-09-28,HYD,QP,FLF3FF9A06FE4A,2020-09-28 08:01,2020-09-28 08:11,10,2020-09-28 10:26,2020-09-28 10:45,19,N,N,23,11,111,264,223,2.73,27,76.96
2020-03-07,GOI,QP,FL7CA842E5B599,2020-03-07 07:43,2020-03-07 07:51,8,2020-03-07 09:13,2020-03-07 09:02,-11,N,N,8,13,69,169,128,4.93,20,89.48
2020-08-19,GAU,QP,FL46ED6A1B0161,2020-08-19 17:57,2020-08-19 18:16,19,2020-08-19 19:27,2020-08-19 19:52,25,N,N,10,9,71,131,116,3.27,0,83.15
2025-02-07,PNQ,AI,FLF330E35F2115,2025-02-07 06:06,2025-02-07 06:07,1,2025-02-07 09:32,2025-02-07 09:29,-3,N,N,14,8,184,124,102,1.39,34,48.26
2025-09-17,PNQ,SG,FLE061ECBB26DB,2025-09-17 17:13,2025-09-17 17:28,15,2025-09-17 21:05,2025-09-17 21:30,25,N,N,24,15,193,323,169,5.49,27,85.16
2022-08-29,COK,QP,FLD1A3714FBCCB,2022-08-29 20:32,2022-08-29 21:22,50,2022-08-29 23:20,2022-08-30 00:25,65,N,N,10,10,148,159,111,1.56,17,61.21
2020-02-07,DEL,I5,FL39BA811041E0,2020-02-07 08:25,2020-02-07 08:05,-20,2020-02-07 10:02,2020-02-07 09:32,-30,N,N,15,7,75,257,227,3.42,18,88.8
2019-07-23,COK,S5,FL012D0F2D655E,2019-07-23 14:03,2019-07-23 13:43,-20,2019-07-23 16:25,2019-07-23 16:16,-9,N,N,13,11,118,319,254,2.53,18,88.05
2020-01-10,TRV,G8,FLBF92F42B892A,2020-01-10 08:27,2020-01-10 08:07,-20,2020-01-10 10:26,2020-01-10 09:56,-30,N,N,9,12,98,331,297,5.4,7,81.23
2023-03-18,GOI,I5,FL48624DF9AB85,2023-03-18 11:14,2023-03-18 11:29,15,2023-03-18 12:27,2023-03-18 13:03,36,N,N,5,13,55,298,283,4.06,19,77.06
2021-03-23,AMD,S5,FL551D708B587E,2021-03-23 19:37,2021-03-23 20:33,56,2021-03-23 21:52,2021-03-23 23:05,73,N,N,20,16,99,211,209,2.35,13,73.43
2022-02-08,TRV,UK,FL374C35981E9F,2022-02-08 14:04,2022-02-08 13:44,-20,2022-02-08 16:44,2022-02-08 16:22,-22,N,N,21,15,124,331,267,0.26,13,74.28
2019-05-02,HYD,SG,FL4C57F1D043B2,2019-05-02 16:20,2019-05-02 16:19,-1,2019-05-02 19:00,2019-05-02 18:58,-2,N,N,13,8,139,235,222,4.56,22,58.82
2021-02-07,IXB,G8,FL71A9B40E34D3,2021-02-07 22:13,2021-02-07 22:45,32,2021-02-08 01:55,2021-02-08 02:41,46,N,N,6,10,206,155,121,2.31,7,84.47
2023-07-05,GOI,AI,FL926E21C03E67,2023-07-05 07:59,2023-07-05 07:39,-20,2023-07-05 09:31,2023-07-05 09:01,-30,N,N,21,20,51,80,77,2.49,8,91.22
2025-11-19,TRV,QP,FLEA0515107167,2025-11-19 14:33,2025-11-19 14:14,-19,2025-11-19 17:00,2025-11-19 16:54,-6,N,N,26,5,116,234,184,0.0,7,59.38
2023-05-04,PNQ,SG,FLF14C666EBDB0,2023-05-04 15:26,2023-05-04 15:20,-6,2023-05-04 16:45,2023-05-04 17:18,33,N,N,4,13,62,216,168,3.18,14,70.47
2020-11-02,CCU,SG,FL72AECA688DD7,2020-11-02 07:04,2020-11-02 07:01,-3,2020-11-02 09:55,2020-11-02 09:59,4,N,N,10,8,153,80,52,5.01,9,64.74
2023-02-25,IXC,QP,FLA38087FA4514,2023-02-25 08:37,2023-02-25 08:35,-2,2023-02-25 11:51,2023-02-25 12:16,25,N,N,9,10,175,147,124,0.83,26,75.92
2024-09-10,HYD,I5,FLDC63EACA2F51,2024-09-10 12:35,2024-09-10 12:50,15,2024-09-10 14:36,2024-09-10 15:39,63,N,N,16,4,101,254,237,0.75,24,84.77
2022-06-10,MAA,QP,FLE1264FA1087A,2022-06-10 15:18,2022-06-10 15:05,-13,2022-06-10 17:11,2022-06-10 17:27,16,N,N,26,2,85,263,209,6.02,6,44.01
2021-02-01,MAA,6E,FL695CD43A607D,2021-02-01 05:55,2021-02-01 07:13,78,2021-02-01 08:32,2021-02-01 09:18,46,N,N,14,2,141,238,168,3.74,26,89.18
2023-11-07,TRV,QP,FL98B6EDDC7CAB,2023-11-07 11:50,2023-11-07 12:08,18,2023-11-07 13:18,2023-11-07 13:14,-4,N,N,11,9,68,370,290,6.12,13,56.86
2020-01-22,MAA,G8,FL9B1DCC6AB928,2020-01-22 08:57,2020-01-22 08:54,-3,2020-01-22 10:37,2020-01-22 10:28,-9,N,N,11,12,77,243,234,3.72,16,87.26
2022-08-18,LKO,UK,FLB9AC1A5F7922,2022-08-18 19:49,2022-08-18 20:01,12,2022-08-18 20:49,2022-08-18 20:40,-9,N,N,12,2,46,135,102,1.55,6,69.02
2019-03-08,CCU,I5,FL298486626DBF,2019-03-08 05:38,2019-03-08 05:50,12,2019-03-08 07:03,2019-03-08 06:59,-4,N,N,17,10,58,299,260,1.8,13,80.59
2024-06-17,CCU,S5,FLC1D1E1A20A1D,2024-06-17 11:47,2024-06-17 12:23,36,2024-06-17 15:11,2024-06-17 16:09,58,N,N,4,5,195,114,87,4.77,10,37.83
2021-02-13,BOM,AI,FL9390F225D347,2021-02-13 19:30,2021-02-13 19:53,23,2021-02-13 22:22,2021-02-13 23:00,38,N,N,14,2,156,163,161,8.36,12,69.1
2020-08-17,DEL,QP,FL1BD1FB9C3019,2020-08-17 21:55,2020-08-17 22:17,22,2020-08-18 00:22,2020-08-18 01:15,53,N,N,13,2,132,72,53,2.4,19,67.48
2020-09-02,BLR,G8,FL3F605CB3D31B,2020-09-02 15:32,2020-09-02 15:58,26,2020-09-02 18:59,2020-09-02 19:48,49,N,N,17,17,173,185,154,0.0,4,80.08
2025-12-08,MAA,UK,FL0B2033AF741F,2025-12-08 06:25,2025-12-08 06:29,4,2025-12-08 08:01,2025-12-08 08:01,0,N,N,12,17,67,328,283,3.06,0,81.71
2024-07-23,BLR,SG,FL8F6C6D6F6365,2024-07-23 09:06,2024-07-23 09:06,0,2024-07-23 11:50,2024-07-23 11:50,0,Y,N,24,2,138,258,0,0.49,27,85.93
2024-03-25,HYD,S5,FL01007F806FC6,2024-03-25 08:49,2024-03-25 09:29,40,2024-03-25 11:21,2024-03-25 11:37,16,N,N,18,13,121,91,83,7.77,5,61.28
2023-05-16,IXC,UK,FLCDDA449D071A,2023-05-16 10:23,2023-05-16 10:20,-3,2023-05-16 13:54,2023-05-16 14:30,36,N,N,11,13,187,165,152,2.81,34,67.73
2025-03-06,MAA,G8,FLA56E76880F3F,2025-03-06 15:37,2025-03-06 16:18,41,2025-03-06 16:55,2025-03-06 18:05,70,N,N,8,3,67,321,318,4.56,10,100.0
2022-01-26,PNQ,6E,FL59CA7D4DDB41,2022-01-26 22:21,2022-01-26 22:40,19,2022-01-27 01:19,2022-01-27 01:29,10,N,N,11,2,165,264,261,2.53,0,92.94
2024-01-21,MAA,AI,FL844635BBEA99,2024-01-21 20:18,2024-01-21 20:49,31,2024-01-21 22:29,2024-01-21 23:04,35,N,N,17,4,110,210,183,4.76,2,77.96
2024-12-09,MAA,I5,FL8573E4478FC7,2024-12-09 06:02,2024-12-09 06:29,27,2024-12-09 08:41,2024-12-09 09:22,41,N,N,16,9,134,272,267,3.38,10,91.98
2022-01-03,MAA,SG,FLCB6C66B6FA2B,2022-01-03 07:05,2022-01-03 07:54,49,2022-01-03 08:38,2022-01-03 09:39,61,N,N,16,5,72,242,224,2.51,21,66.41
2022-09-06,GAU,I5,FL4F402689EF26,2022-09-06 21:54,2022-09-06 21:34,-20,2022-09-07 00:27,2022-09-07 00:09,-18,N,N,15,5,133,177,170,3.15,0,96.26
2023-05-29,IXC,6E,FLE3B668EB0E00,2023-05-29 17:31,2023-05-29 17:34,3,2023-05-29 20:28,2023-05-29 20:33,5,N,N,7,21,149,361,307,3.83,20,83.17
2024-01-15,BLR,S5,FL00482A0DD6F1,2024-01-15 16:40,2024-01-15 17:17,37,2024-01-15 17:50,2024-01-15 18:45,55,N,N,13,12,45,125,91,4.51,21,79.22
2023-01-08,IXC,6E,FL9E39D96CA5C2,2023-01-08 05:32,2023-01-08 05:32,0,2023-01-08 07:17,2023-01-08 07:17,0,Y,N,10,8,87,242,0,7.29,10,69.74
2024-10-04,GAU,SG,FL5E0847A7C6BA,2024-10-04 20:30,2024-10-04 20:37,7,2024-10-04 22:23,2024-10-04 22:24,1,N,N,16,12,85,90,74,2.18,3,74.64
2022-12-21,IXC,I5,FLB270CFC8482C,2022-12-21 12:19,2022-12-21 12:22,3,2022-12-21 14:43,2022-12-21 14:27,-16,N,N,29,9,106,196,166,6.17,13,100.0
2021-11-30,GAU,UK,FL267934CA6BD6,2021-11-30 20:54,2021-11-30 21:35,41,2021-11-30 22:04,2021-11-30 22:39,35,N,N,4,6,60,97,96,1.44,17,75.11
2024-05-31,IXB,S5,FLDD447CE118F1,2024-05-31 14:10,2024-05-31 14:11,1,2024-05-31 15:20,2024-05-31 15:16,-4,N,N,22,2,46,349,319,5.25,28,89.84
2021-08-28,AMD,I5,FL03548AD9E791,2021-08-28 08:33,2021-08-28 08:13,-20,2021-08-28 11:09,2021-08-28 10:40,-29,N,N,4,14,138,247,220,8.41,41,88.41
2020-08-06,TRV,I5,FL21A03D7A69FA,2020-08-06 15:52,2020-08-06 15:57,5,2020-08-06 17:34,2020-08-06 17:49,15,N,N,14,9,79,260,219,2.11,29,87.45
2025-12-25,BLR,S5,FLCA7D7B8B4C06,2025-12-25 09:16,2025-12-25 09:28,12,2025-12-25 11:58,2025-12-25 12:27,29,N,N,27,2,133,76,69,1.21,17,77.82
2024-08-17,COK,QP,FLD5CC815208DF,2024-08-17 12:39,2024-08-17 12:19,-20,2024-08-17 14:04,2024-08-17 14:04,0,N,N,18,2,65,233,194,3.54,8,57.13
2022-07-06,TRV,QP,FL01140CFB225C,2022-07-06 05:30,2022-07-06 05:25,-5,2022-07-06 06:49,2022-07-06 06:36,-13,N,N,12,9,58,96,84,3.69,21,28.61
2022-12-14,BOM,SG,FLC880A9DC23A1,2022-12-14 13:53,2022-12-14 13:39,-14,2022-12-14 16:54,2022-12-14 17:02,8,N,N,24,11,146,310,249,6.95,11,77.3
2026-01-11,GAU,G8,FLA49DF08EB71F,2026-01-11 10:56,2026-01-11 10:50,-6,2026-01-11 13:31,2026-01-11 13:32,1,N,N,14,6,135,280,200,2.9,22,76.82
2023-04-02,JAI,S5,FL27FE90D9293F,2023-04-02 06:46,2023-04-02 06:49,3,2023-04-02 07:52,2023-04-02 07:57,5,N,N,5,15,46,306,258,4.75,9,71.68
2020-04-12,IXC,AI,FL294848D68E16,2020-04-12 21:02,2020-04-12 20:55,-7,2020-04-12 22:57,2020-04-12 22:43,-14,N,N,17,2,96,226,190,0.59,23,45.58
2019-02-15,GAU,QP,FLC8F0BF34E828,2019-02-15 16:42,2019-02-15 17:10,28,2019-02-15 19:37,2019-02-15 20:11,34,N,N,16,4,155,100,85,6.04,15,80.06
2025-05-11,AMD,QP,FLE97E78AF1F0B,2025-05-11 08:49,2025-05-11 09:23,34,2025-05-11 10:16,2025-05-11 10:27,11,N,N,12,2,73,119,102,5.75,30,55.21
2025-09-26,TRV,UK,FL12528BDB5CFA,2025-09-26 21:04,2025-09-26 21:11,7,2025-09-27 00:03,2025-09-27 00:12,9,N,N,15,9,155,136,123,6.74,5,94.09
2025-04-07,TRV,QP,FL6CC9F26052BE,2025-04-07 07:06,2025-04-07 07:06,0,2025-04-07 10:21,2025-04-07 10:21,0,Y,N,18,9,168,226,0,5.31,20,68.61
2026-01-09,LKO,I5,FLECD554037AA9,2026-01-09 06:33,2026-01-09 06:46,13,2026-01-09 09:25,2026-01-09 09:52,27,N,N,19,9,144,321,270,0.26,21,62.55
2022-11-15,MAA,G8,FL560D3E146A27,2022-11-15 07:08,2022-11-15 07:14,6,2022-11-15 11:03,2022-11-15 10:35,-28,N,N,19,8,208,80,75,0.0,14,71.26
2025-09-20,IXC,QP,FL18CCF34C7A41,2025-09-20 12:09,2025-09-20 13:35,86,2025-09-20 14:19,2025-09-20 15:18,59,N,N,10,4,116,341,213,2.37,25,68.76
2025-05-30,PNQ,G8,FLAB6B05A5AA9E,2025-05-30 21:27,2025-05-30 21:49,22,2025-05-31 01:15,2025-05-31 01:12,-3,N,N,16,8,204,267,235,0.78,14,74.2
2025-12-12,DEL,I5,FLF5E54C86B191,2025-12-12 11:48,2025-12-12 11:44,-4,2025-12-12 15:03,2025-12-12 15:05,2,N,N,19,5,171,324,236,5.23,14,44.83
2023-02-21,JAI,UK,FL51781E5DF979,2023-02-21 11:43,2023-02-21 11:26,-17,2023-02-21 15:00,2023-02-21 14:40,-20,N,N,23,10,164,255,232,4.83,12,78.49
2019-05-20,MAA,QP,FLAF175ED1802E,2019-05-20 21:33,2019-05-20 21:47,14,2019-05-20 23:08,2019-05-20 23:33,25,N,N,16,8,71,361,355,2.66,31,68.31
2020-04-13,LKO,QP,FLE624B82EF263,2020-04-13 21:53,2020-04-13 22:47,54,2020-04-14 00:25,2020-04-14 01:17,52,N,N,25,3,124,119,85,3.81,7,49.65
2022-07-17,JAI,S5,FL829CFC3EA1C0,2022-07-17 08:39,2022-07-17 08:53,14,2022-07-17 12:23,2022-07-17 12:56,33,N,N,20,4,200,348,205,2.03,23,53.61
2022-01-03,BOM,I5,FLE8EDC9E7BA04,2022-01-03 15:56,2022-01-03 16:28,32,2022-01-03 18:38,2022-01-03 19:19,41,N,N,20,14,128,239,192,0.0,24,61.26
2021-05-22,AMD,I5,FL7EF3E7357FD4,2021-05-22 18:29,2021-05-22 19:24,55,2021-05-22 20:27,2021-05-22 21:32,65,N,N,19,11,88,137,91,6.24,2,75.94
2023-04-19,HYD,I5,FLA714DA9B4B48,2023-04-19 06:14,2023-04-19 06:21,7,2023-04-19 08:22,2023-04-19 08:52,30,N,N,17,10,101,214,132,4.29,4,71.23
2023-09-05,GOI,AI,FL799A1ACBB1E4,2023-09-05 09:31,2023-09-05 09:53,22,2023-09-05 11:42,2023-09-05 11:28,-14,N,N,4,6,121,335,327,2.19,6,97.26
2019-09-04,BOM,6E,FLC3839A605645,2019-09-04 09:51,2019-09-04 10:29,38,2019-09-04 12:09,2019-09-04 12:51,42,N,N,10,5,123,247,229,3.8,15,71.53
2021-10-03,LKO,6E,FL4F95EFE44D57,2021-10-03 13:28,2021-10-03 14:43,75,2021-10-03 15:29,2021-10-03 17:05,96,N,N,12,17,92,287,206,4.07,33,37.43
2023-12-02,BOM,S5,FL9253A25ACA50,2023-12-02 16:55,2023-12-02 17:24,29,2023-12-02 19:54,2023-12-02 20:16,22,N,N,8,7,164,302,228,5.76,31,77.77
2025-09-30,BOM,QP,FL0200E6A2A973,2025-09-30 12:47,2025-09-30 12:27,-20,2025-09-30 14:53,2025-09-30 14:43,-10,N,N,14,8,104,72,70,3.36,30,63.83
2019-06-10,AMD,S5,FL577430B27B7A,2019-06-10 18:37,2019-06-10 18:47,10,2019-06-10 19:48,2019-06-10 19:50,2,N,N,18,2,51,120,113,1.67,19,71.07
2023-11-03,TRV,UK,FL3ACED1511CB7,2023-11-03 07:52,2023-11-03 07:59,7,2023-11-03 10:58,2023-11-03 11:07,9,N,N,23,4,159,246,199,3.2,9,65.4
2021-04-18,DEL,6E,FL651B4A9FAEAC,2021-04-18 19:28,2021-04-18 19:19,-9,2021-04-18 20:57,2021-04-18 21:08,11,N,N,18,9,62,280,239,0.0,17,81.28
2022-09-17,TRV,UK,FL019256506354,2022-09-17 07:39,2022-09-17 07:19,-20,2022-09-17 09:39,2022-09-17 09:45,6,N,N,6,4,110,103,84,0.0,38,73.55
2025-10-26,GOI,UK,FLE56794F7F538,2025-10-26 20:00,2025-10-26 20:00,0,2025-10-26 22:49,2025-10-26 22:37,-12,N,N,15,12,142,353,320,2.63,9,67.51
2019-09-10,IXC,QP,FL1D9ADAC90939,2019-09-10 09:52,2019-09-10 10:17,25,2019-09-10 13:29,2019-09-10 13:43,14,N,N,18,10,189,160,158,0.32,17,80.58
