agri_nutrition_reference_year,agri_nutrition_country_iso2,agri_nutrition_region_nuts_code,agri_nutrition_age_group,agri_nutrition_sex,agri_nutrition_bmi_category,agri_nutrition_obesity_rate_pct,agri_nutrition_fruit_veg_intake_servings_day,agri_nutrition_ultra_processed_food_share_pct,agri_nutrition_food_desert_index,agri_nutrition_school_meal_program_flag,agri_nutrition_front_of_pack_label_scheme_code,agri_nutrition_sugar_sweetened_tax_flag,agri_nutrition_salt_reduction_policy_flag,agri_nutrition_breastfeeding_rate_pct,agri_nutrition_household_food_insecurity_rate_pct,agri_nutrition_nutri_score_distribution,agri_nutrition_ehis_table_code,agri_nutrition_data_source,agri_nutrition_data_extract_date
2020,SK,LT5,50-64,T,OVERWEIGHT,33.05,5.26,54.46,0.3952,1,NORDIC_KEYHOLE,0,0,28.42,9.85,A:0.12;B:0.31;C:0.24;D:0.11;E:0.22,hlth_ehis_bm1e,EHIS,2024-08-05
2021,BE,MT97,35-49,F,OBESE,18.04,6.59,43.37,0.6362,1,KEYHOLE,0,1,37.31,9.64,A:0.31;B:0.21;C:0.27;D:0.22;E:0.0,hlth_ehis_dn1e,ECDC_NUTRITION,2025-03-20
2022,DK,NL24,20-34,M,UNDERWEIGHT,8.76,3.5,8.3,0.5036,0,NUTRI_SCORE,0,1,20.27,9.38,A:0.13;B:0.12;C:0.24;D:0.14;E:0.37,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2025-08-06
2023,GR,SK91,15-19,T,NORMAL,4.49,6.06,22.39,0.8715,1,NONE,1,1,59.9,16.98,A:0.29;B:0.29;C:0.21;D:0.11;E:0.1,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2025-03-05
2024,LT,SE6,10-14,F,OVERWEIGHT,19.64,2.94,59.25,0.9491,1,TRAFFIC_LIGHTS,1,1,28.03,9.6,A:0.33;B:0.33;C:0.17;D:0.1;E:0.07,hlth_ehis_sk1e,WHO_EURO,2025-10-10
2025,PT,HU1,5-9,M,OBESE,14.3,1.34,53.24,0.2502,0,BATTERY_LABEL,0,1,52.32,11.58,A:0.2;B:0.31;C:0.28;D:0.08;E:0.13,hlth_ehis_bm1e,EHIS,2024-05-26
2026,SE,LT966,0-4,T,UNDERWEIGHT,28.07,1.57,40.71,0.2445,1,NORDIC_KEYHOLE,0,0,66.01,6.49,A:0.3;B:0.13;C:0.31;D:0.07;E:0.19,hlth_ehis_dn1e,ECDC_NUTRITION,2024-08-11
2010,CY,BE5,65+,F,NORMAL,9.67,5.23,58.5,0.5768,0,KEYHOLE,1,1,56.27,16.79,A:0.2;B:0.21;C:0.15;D:0.17;E:0.27,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2025-11-18
2011,FR,FI550,50-64,M,OVERWEIGHT,20.68,3.69,15.11,0.3577,1,NUTRI_SCORE,0,1,58.06,16.42,A:0.15;B:0.25;C:0.14;D:0.12;E:0.34,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2024-07-03
2012,IT,CY4,35-49,T,OBESE,22.23,1.83,24.85,0.0511,0,NONE,0,1,33.81,3.36,A:0.26;B:0.11;C:0.22;D:0.09;E:0.32,hlth_ehis_sk1e,WHO_EURO,2024-01-18
2013,NL,SE4,20-34,F,UNDERWEIGHT,31.2,1.76,22.17,0.329,1,TRAFFIC_LIGHTS,1,0,46.05,5.7,A:0.34;B:0.26;C:0.16;D:0.14;E:0.1,hlth_ehis_bm1e,EHIS,2025-09-02
2014,SI,LU737,15-19,M,NORMAL,16.38,1.92,25.75,0.1175,1,BATTERY_LABEL,1,0,61.09,16.05,A:0.17;B:0.34;C:0.29;D:0.14;E:0.06,hlth_ehis_dn1e,ECDC_NUTRITION,2025-09-30
2015,BG,AT28,10-14,T,OVERWEIGHT,23.15,4.18,51.81,0.7633,1,NORDIC_KEYHOLE,0,0,58.44,3.81,A:0.21;B:0.23;C:0.15;D:0.18;E:0.23,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2024-07-22
2016,EE,LU8,5-9,F,OBESE,21.1,1.32,54.49,0.128,1,KEYHOLE,0,0,64.71,4.76,A:0.2;B:0.3;C:0.33;D:0.08;E:0.09,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2024-05-19
2017,HU,ES655,0-4,M,UNDERWEIGHT,15.51,4.85,35.52,0.1649,0,NUTRI_SCORE,0,1,33.44,5.49,A:0.11;B:0.3;C:0.1;D:0.23;E:0.26,hlth_ehis_sk1e,WHO_EURO,2024-01-20
2018,LU,DE440,65+,T,NORMAL,19.53,1.97,50.59,0.5018,1,NONE,0,0,59.63,3.53,A:0.1;B:0.26;C:0.3;D:0.13;E:0.21,hlth_ehis_bm1e,EHIS,2026-02-09
2019,RO,DK3,50-64,F,OVERWEIGHT,13.67,6.5,33.48,0.3898,1,TRAFFIC_LIGHTS,0,1,40.37,1.35,A:0.26;B:0.15;C:0.33;D:0.16;E:0.1,hlth_ehis_dn1e,ECDC_NUTRITION,2025-02-02
2020,AT,DE895,35-49,M,OBESE,19.46,1.28,8.82,0.8925,0,BATTERY_LABEL,0,0,61.38,3.12,A:0.32;B:0.32;C:0.13;D:0.2;E:0.03,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2024-10-06
2021,CZ,IE53,20-34,T,UNDERWEIGHT,17.29,2.06,25.9,0.8061,1,NORDIC_KEYHOLE,0,1,63.76,3.09,A:0.33;B:0.16;C:0.33;D:0.15;E:0.03,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2025-11-09
2022,DE,MT68,15-19,F,NORMAL,29.5,3.0,29.1,0.1347,1,KEYHOLE,0,0,46.32,12.45,A:0.14;B:0.11;C:0.14;D:0.16;E:0.45,hlth_ehis_sk1e,WHO_EURO,2025-01-28
2023,LV,NL82,10-14,M,OVERWEIGHT,23.37,6.79,17.83,0.056,1,NUTRI_SCORE,1,1,41.98,17.16,A:0.16;B:0.14;C:0.17;D:0.05;E:0.48,hlth_ehis_bm1e,EHIS,2025-09-29
2024,PL,ES22,5-9,T,OBESE,30.75,3.42,54.25,0.6163,1,NONE,1,0,61.37,2.61,A:0.31;B:0.33;C:0.21;D:0.15;E:0.0,hlth_ehis_dn1e,ECDC_NUTRITION,2025-09-18
2025,ES,FR3,0-4,F,UNDERWEIGHT,33.02,2.16,39.62,0.225,0,TRAFFIC_LIGHTS,0,0,20.73,15.37,A:0.12;B:0.15;C:0.31;D:0.13;E:0.29,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2025-01-28
2026,HR,HR5,65+,M,NORMAL,34.01,4.48,46.54,0.4677,1,BATTERY_LABEL,0,0,46.39,10.4,A:0.13;B:0.12;C:0.2;D:0.05;E:0.5,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2025-07-31
2010,FI,MT90,50-64,T,OVERWEIGHT,34.31,5.05,36.62,0.699,1,NORDIC_KEYHOLE,0,1,40.2,12.65,A:0.16;B:0.14;C:0.13;D:0.13;E:0.44,hlth_ehis_sk1e,WHO_EURO,2024-02-11
2011,IE,SI88,35-49,F,OBESE,4.45,4.6,36.67,0.9145,1,KEYHOLE,1,0,57.74,13.3,A:0.32;B:0.15;C:0.31;D:0.22;E:0.0,hlth_ehis_bm1e,EHIS,2026-01-09
2012,MT,FR26,20-34,M,UNDERWEIGHT,19.65,5.71,56.47,0.8189,1,NUTRI_SCORE,1,1,46.54,4.22,A:0.22;B:0.26;C:0.29;D:0.22;E:0.0,hlth_ehis_dn1e,ECDC_NUTRITION,2025-07-22
2013,SK,CZ357,15-19,T,NORMAL,13.0,2.66,9.17,0.9115,1,NONE,0,1,24.12,7.86,A:0.19;B:0.25;C:0.28;D:0.18;E:0.1,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2024-10-10
2014,BE,SK19,10-14,F,OVERWEIGHT,19.77,2.4,57.14,0.3592,1,TRAFFIC_LIGHTS,1,1,21.23,10.42,A:0.26;B:0.26;C:0.28;D:0.15;E:0.05,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2024-03-11
2015,DK,LT161,5-9,M,OBESE,15.17,3.23,34.17,0.8742,0,BATTERY_LABEL,1,0,54.64,1.62,A:0.22;B:0.16;C:0.26;D:0.23;E:0.13,hlth_ehis_sk1e,WHO_EURO,2025-07-26
2016,GR,NL55,0-4,T,UNDERWEIGHT,26.32,3.16,59.19,0.4007,0,NORDIC_KEYHOLE,0,1,30.73,6.41,A:0.15;B:0.15;C:0.13;D:0.13;E:0.44,hlth_ehis_bm1e,EHIS,2024-04-23
2017,LT,GR996,65+,F,NORMAL,9.43,2.22,10.07,0.7794,1,KEYHOLE,0,1,51.07,15.45,A:0.23;B:0.31;C:0.24;D:0.06;E:0.16,hlth_ehis_dn1e,ECDC_NUTRITION,2025-06-17
2018,PT,CY6,50-64,M,OVERWEIGHT,27.94,2.75,26.66,0.0618,1,NUTRI_SCORE,0,1,54.16,4.06,A:0.26;B:0.32;C:0.14;D:0.2;E:0.08,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2026-01-04
2019,SE,IE24,35-49,T,OBESE,13.93,6.51,28.52,0.7218,0,NONE,1,1,31.58,15.57,A:0.11;B:0.27;C:0.28;D:0.23;E:0.11,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2024-07-29
2020,CY,IT506,20-34,F,UNDERWEIGHT,9.7,5.59,34.51,0.2291,1,TRAFFIC_LIGHTS,0,0,36.63,4.95,A:0.13;B:0.11;C:0.25;D:0.24;E:0.27,hlth_ehis_sk1e,WHO_EURO,2024-06-06
2021,FR,IE933,15-19,M,NORMAL,12.94,1.88,32.21,0.1097,1,BATTERY_LABEL,0,0,45.33,12.05,A:0.3;B:0.25;C:0.31;D:0.14;E:0.0,hlth_ehis_bm1e,EHIS,2025-09-06
2022,IT,MT567,10-14,T,OVERWEIGHT,15.14,6.23,22.16,0.6872,0,NORDIC_KEYHOLE,0,1,19.19,12.36,A:0.29;B:0.32;C:0.16;D:0.18;E:0.05,hlth_ehis_dn1e,ECDC_NUTRITION,2025-01-28
2023,NL,LV892,5-9,F,OBESE,18.38,4.35,27.39,0.6059,0,KEYHOLE,0,0,27.76,2.97,A:0.31;B:0.26;C:0.27;D:0.1;E:0.06,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2024-12-17
2024,SI,LV621,0-4,M,UNDERWEIGHT,29.18,4.19,53.26,0.3737,1,NUTRI_SCORE,0,1,63.8,1.76,A:0.27;B:0.2;C:0.23;D:0.18;E:0.12,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2025-07-09
2025,BG,SI86,65+,T,NORMAL,16.66,2.81,47.35,0.1112,1,NONE,0,1,29.98,7.8,A:0.3;B:0.3;C:0.21;D:0.19;E:0.0,hlth_ehis_sk1e,WHO_EURO,2026-01-12
2026,EE,SE778,50-64,F,OVERWEIGHT,24.1,1.68,30.07,0.0895,1,TRAFFIC_LIGHTS,0,1,35.36,15.72,A:0.14;B:0.12;C:0.26;D:0.23;E:0.25,hlth_ehis_bm1e,EHIS,2024-04-18
2010,HU,DK506,35-49,M,OBESE,14.89,5.77,20.15,0.6552,1,BATTERY_LABEL,1,1,50.09,10.72,A:0.28;B:0.12;C:0.31;D:0.23;E:0.06,hlth_ehis_dn1e,ECDC_NUTRITION,2024-02-07
2011,LU,RO65,20-34,T,UNDERWEIGHT,6.47,2.25,52.49,0.3579,1,NORDIC_KEYHOLE,1,1,41.8,16.13,A:0.21;B:0.3;C:0.34;D:0.08;E:0.07,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2025-03-20
2012,RO,LU56,15-19,F,NORMAL,15.92,2.94,58.88,0.5518,1,KEYHOLE,1,1,69.68,12.94,A:0.21;B:0.32;C:0.15;D:0.06;E:0.26,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2025-06-10
2013,AT,DK44,10-14,M,OVERWEIGHT,30.83,4.45,25.19,0.8935,1,NUTRI_SCORE,0,1,24.99,11.33,A:0.22;B:0.11;C:0.24;D:0.24;E:0.19,hlth_ehis_sk1e,WHO_EURO,2025-08-22
2014,CZ,BE40,5-9,T,OBESE,18.79,2.08,48.17,0.0674,0,NONE,0,1,66.32,7.89,A:0.32;B:0.28;C:0.24;D:0.16;E:0.0,hlth_ehis_bm1e,EHIS,2025-07-19
2015,DE,FR475,0-4,F,UNDERWEIGHT,10.25,2.33,32.58,0.1511,0,TRAFFIC_LIGHTS,0,1,44.76,3.46,A:0.13;B:0.24;C:0.13;D:0.12;E:0.38,hlth_ehis_dn1e,ECDC_NUTRITION,2026-01-01
2016,LV,LU267,65+,M,NORMAL,31.87,6.1,49.18,0.1702,1,BATTERY_LABEL,1,0,41.98,4.06,A:0.13;B:0.34;C:0.18;D:0.21;E:0.14,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2024-12-22
2017,PL,BG54,50-64,T,OVERWEIGHT,19.61,2.16,29.25,0.4145,1,NORDIC_KEYHOLE,0,0,20.45,7.47,A:0.15;B:0.22;C:0.31;D:0.14;E:0.18,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2024-08-27
2018,ES,PL47,35-49,F,OBESE,32.94,2.91,26.31,0.5088,1,KEYHOLE,1,1,57.13,8.75,A:0.19;B:0.19;C:0.24;D:0.2;E:0.18,hlth_ehis_sk1e,WHO_EURO,2025-04-08
2019,HR,SK8,20-34,M,UNDERWEIGHT,4.9,1.79,27.0,0.7433,1,NUTRI_SCORE,0,1,29.63,14.0,A:0.19;B:0.28;C:0.31;D:0.22;E:0.0,hlth_ehis_bm1e,EHIS,2024-08-02
2020,FI,DK915,15-19,T,NORMAL,11.99,1.41,10.02,0.6986,0,NONE,1,0,58.19,8.17,A:0.22;B:0.25;C:0.17;D:0.16;E:0.2,hlth_ehis_dn1e,ECDC_NUTRITION,2025-09-16
2021,IE,SK1,10-14,F,OVERWEIGHT,9.15,5.26,27.46,0.5377,1,TRAFFIC_LIGHTS,0,1,49.7,11.36,A:0.24;B:0.34;C:0.13;D:0.2;E:0.09,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2024-05-07
2022,MT,HR85,5-9,M,OBESE,16.34,5.48,61.0,0.3647,0,BATTERY_LABEL,0,0,36.55,5.67,A:0.22;B:0.31;C:0.17;D:0.12;E:0.18,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2024-08-25
2023,SK,HR672,0-4,T,UNDERWEIGHT,22.51,6.26,45.41,0.1246,1,NORDIC_KEYHOLE,1,0,28.63,16.64,A:0.2;B:0.18;C:0.2;D:0.09;E:0.33,hlth_ehis_sk1e,WHO_EURO,2024-04-01
2024,BE,IE458,65+,F,NORMAL,32.01,2.78,30.36,0.875,0,KEYHOLE,0,1,28.48,9.63,A:0.29;B:0.12;C:0.28;D:0.11;E:0.2,hlth_ehis_bm1e,EHIS,2024-01-07
2025,DK,DE19,50-64,M,OVERWEIGHT,17.46,4.0,15.4,0.5373,1,NUTRI_SCORE,0,0,20.35,4.9,A:0.1;B:0.13;C:0.32;D:0.18;E:0.27,hlth_ehis_dn1e,ECDC_NUTRITION,2024-11-14
2026,GR,PL45,35-49,T,OBESE,34.5,4.55,20.17,0.8599,1,NONE,1,0,23.93,13.06,A:0.33;B:0.27;C:0.28;D:0.11;E:0.01,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2025-12-11
2010,LT,NL8,20-34,F,UNDERWEIGHT,19.71,2.12,29.32,0.0844,0,TRAFFIC_LIGHTS,1,1,54.18,2.18,A:0.16;B:0.13;C:0.1;D:0.21;E:0.4,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2025-02-13
2011,PT,AT8,15-19,M,NORMAL,24.77,4.38,34.8,0.7244,0,BATTERY_LABEL,1,0,40.81,11.15,A:0.22;B:0.32;C:0.29;D:0.12;E:0.05,hlth_ehis_sk1e,WHO_EURO,2025-08-03
2012,SE,GR297,10-14,T,OVERWEIGHT,9.18,1.36,37.61,0.917,1,NORDIC_KEYHOLE,0,1,40.82,4.45,A:0.21;B:0.33;C:0.3;D:0.06;E:0.1,hlth_ehis_bm1e,EHIS,2025-11-02
2013,CY,CY56,5-9,F,OBESE,5.15,6.07,16.64,0.1848,1,KEYHOLE,0,1,43.6,9.91,A:0.3;B:0.29;C:0.24;D:0.17;E:0.0,hlth_ehis_dn1e,ECDC_NUTRITION,2025-10-18
2014,FR,DE6,0-4,M,UNDERWEIGHT,22.01,1.73,16.15,0.2368,1,NUTRI_SCORE,0,0,59.19,17.07,A:0.3;B:0.21;C:0.34;D:0.15;E:0.0,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2025-01-12
2015,IT,HR820,65+,T,NORMAL,30.1,6.7,9.29,0.7123,0,NONE,0,1,47.11,9.67,A:0.29;B:0.1;C:0.33;D:0.1;E:0.18,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2025-05-18
2016,NL,AT657,50-64,F,OVERWEIGHT,11.22,6.42,38.99,0.9255,1,TRAFFIC_LIGHTS,0,1,22.03,11.28,A:0.27;B:0.19;C:0.24;D:0.21;E:0.09,hlth_ehis_sk1e,WHO_EURO,2026-01-31
2017,SI,SE407,35-49,M,OBESE,12.69,2.98,57.37,0.4292,0,BATTERY_LABEL,0,0,46.21,11.74,A:0.33;B:0.27;C:0.21;D:0.11;E:0.08,hlth_ehis_bm1e,EHIS,2024-04-03
2018,BG,GR14,20-34,T,UNDERWEIGHT,23.38,2.89,47.7,0.5834,1,NORDIC_KEYHOLE,1,1,60.0,4.96,A:0.15;B:0.14;C:0.12;D:0.12;E:0.47,hlth_ehis_dn1e,ECDC_NUTRITION,2024-10-02
2019,EE,DE836,15-19,F,NORMAL,8.76,5.68,32.76,0.4501,0,KEYHOLE,1,1,40.24,8.7,A:0.12;B:0.17;C:0.11;D:0.05;E:0.55,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2024-12-31
2020,HU,CY3,10-14,M,OVERWEIGHT,30.95,6.03,40.82,0.4561,1,NUTRI_SCORE,1,0,69.11,16.16,A:0.27;B:0.14;C:0.26;D:0.19;E:0.14,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2025-06-12
2021,LU,EE6,5-9,T,OBESE,19.54,1.37,50.83,0.4293,1,NONE,1,1,23.23,6.8,A:0.31;B:0.18;C:0.31;D:0.2;E:0.0,hlth_ehis_sk1e,WHO_EURO,2025-09-28
2022,RO,LT97,0-4,F,UNDERWEIGHT,25.02,3.29,56.52,0.5063,1,TRAFFIC_LIGHTS,0,1,24.76,7.96,A:0.28;B:0.26;C:0.33;D:0.13;E:0.0,hlth_ehis_bm1e,EHIS,2025-09-19
2023,AT,RO966,65+,M,NORMAL,15.32,5.04,40.99,0.0738,1,BATTERY_LABEL,0,0,38.85,11.57,A:0.1;B:0.14;C:0.29;D:0.09;E:0.38,hlth_ehis_dn1e,ECDC_NUTRITION,2024-12-24
2024,CZ,NL37,50-64,T,OVERWEIGHT,16.23,4.82,29.3,0.8267,0,NORDIC_KEYHOLE,0,1,44.73,14.92,A:0.24;B:0.16;C:0.32;D:0.22;E:0.06,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2024-06-27
2025,DE,SI248,35-49,F,OBESE,33.28,1.27,28.67,0.2483,0,KEYHOLE,1,0,29.91,13.46,A:0.2;B:0.23;C:0.11;D:0.21;E:0.25,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2025-10-14
2026,LV,RO676,20-34,M,UNDERWEIGHT,29.26,6.38,52.35,0.5302,1,NUTRI_SCORE,1,0,28.25,13.29,A:0.13;B:0.12;C:0.19;D:0.09;E:0.47,hlth_ehis_sk1e,WHO_EURO,2025-09-19
2010,PL,PL63,15-19,T,NORMAL,20.68,3.5,56.75,0.1196,1,NONE,1,0,33.98,6.83,A:0.22;B:0.31;C:0.34;D:0.13;E:0.0,hlth_ehis_bm1e,EHIS,2024-08-09
2011,ES,IE9,10-14,F,OVERWEIGHT,7.13,3.37,8.31,0.3218,1,TRAFFIC_LIGHTS,0,1,57.16,4.97,A:0.31;B:0.22;C:0.29;D:0.18;E:0.0,hlth_ehis_dn1e,ECDC_NUTRITION,2024-02-22
2012,HR,BE8,5-9,M,OBESE,14.15,4.96,47.46,0.4037,0,BATTERY_LABEL,1,1,63.81,1.05,A:0.17;B:0.12;C:0.18;D:0.08;E:0.45,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2025-11-15
2013,FI,IE14,0-4,T,UNDERWEIGHT,25.2,5.49,28.49,0.3905,1,NORDIC_KEYHOLE,1,0,33.96,2.73,A:0.11;B:0.28;C:0.15;D:0.18;E:0.28,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2024-08-31
2014,IE,SI62,65+,F,NORMAL,15.93,3.48,40.48,0.6092,1,KEYHOLE,0,1,70.85,8.62,A:0.31;B:0.27;C:0.23;D:0.14;E:0.05,hlth_ehis_sk1e,WHO_EURO,2024-05-02
2015,MT,SK3,50-64,M,OVERWEIGHT,26.45,3.67,54.79,0.3764,0,NUTRI_SCORE,0,0,55.43,5.57,A:0.17;B:0.22;C:0.33;D:0.1;E:0.18,hlth_ehis_bm1e,EHIS,2024-08-16
2016,SK,FR31,35-49,T,OBESE,33.68,6.08,17.16,0.3459,0,NONE,0,0,69.74,14.51,A:0.29;B:0.32;C:0.16;D:0.08;E:0.15,hlth_ehis_dn1e,ECDC_NUTRITION,2024-02-09
2017,BE,DK99,20-34,F,UNDERWEIGHT,31.83,2.35,26.57,0.54,1,TRAFFIC_LIGHTS,0,1,23.72,7.39,A:0.33;B:0.25;C:0.11;D:0.09;E:0.22,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2025-08-10
2018,DK,NL64,15-19,M,NORMAL,4.03,2.66,51.87,0.1605,1,BATTERY_LABEL,0,1,70.97,9.87,A:0.22;B:0.2;C:0.2;D:0.07;E:0.31,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2024-03-01
2019,GR,DE1,10-14,T,OVERWEIGHT,30.15,1.87,11.4,0.7874,0,NORDIC_KEYHOLE,1,1,18.42,3.26,A:0.21;B:0.12;C:0.11;D:0.2;E:0.36,hlth_ehis_sk1e,WHO_EURO,2024-01-18
2020,LT,BG6,5-9,F,OBESE,21.24,5.54,23.78,0.3079,0,KEYHOLE,0,0,61.99,3.97,A:0.27;B:0.21;C:0.23;D:0.24;E:0.05,hlth_ehis_bm1e,EHIS,2025-11-21
2021,PT,ES99,0-4,M,UNDERWEIGHT,20.88,4.06,59.5,0.605,1,NUTRI_SCORE,1,0,43.64,5.08,A:0.21;B:0.23;C:0.2;D:0.23;E:0.13,hlth_ehis_dn1e,ECDC_NUTRITION,2024-11-02
2022,SE,FR127,65+,T,NORMAL,33.45,6.13,61.68,0.293,1,NONE,0,1,26.43,7.3,A:0.32;B:0.15;C:0.34;D:0.09;E:0.1,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2025-11-21
2023,CY,PT2,50-64,F,OVERWEIGHT,8.79,1.41,40.9,0.5428,1,TRAFFIC_LIGHTS,0,1,62.13,1.32,A:0.14;B:0.1;C:0.26;D:0.2;E:0.3,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2024-01-02
2024,FR,FR64,35-49,M,OBESE,12.82,1.62,10.39,0.4048,1,BATTERY_LABEL,0,0,54.82,5.19,A:0.24;B:0.32;C:0.3;D:0.14;E:0.0,hlth_ehis_sk1e,WHO_EURO,2024-01-06
2025,IT,EE84,20-34,T,UNDERWEIGHT,29.08,4.33,46.81,0.0834,1,NORDIC_KEYHOLE,0,1,27.97,3.72,A:0.26;B:0.23;C:0.26;D:0.1;E:0.15,hlth_ehis_bm1e,EHIS,2026-02-10
2026,NL,SI73,15-19,F,NORMAL,15.61,6.33,27.46,0.5576,1,KEYHOLE,0,1,60.89,16.58,A:0.22;B:0.18;C:0.22;D:0.09;E:0.29,hlth_ehis_dn1e,ECDC_NUTRITION,2024-04-08
2010,SI,LT6,10-14,M,OVERWEIGHT,5.58,6.73,20.55,0.914,1,NUTRI_SCORE,0,1,49.04,16.63,A:0.31;B:0.23;C:0.28;D:0.13;E:0.05,hlth_ehis_fv1e,NATIONAL_HEALTH_SURVEY,2024-06-07
2011,BG,HR860,5-9,T,OBESE,12.49,5.66,10.32,0.5682,1,NONE,1,1,18.29,8.94,A:0.19;B:0.29;C:0.32;D:0.2;E:0.0,hlth_ehis_pe1e,ACADEMIC_STUDY_META,2025-02-07
