gov_debt_reporting_year,gov_debt_issuer_id,gov_debt_debt_type_code,gov_debt_principal_outstanding_usd,gov_debt_principal_issued_usd,gov_debt_principal_retired_usd,gov_debt_interest_cost_usd,gov_debt_average_coupon_rate,gov_debt_maturity_years_weighted,gov_debt_debt_service_coverage_ratio,gov_debt_days_cash_on_hand,gov_debt_liquidity_ratio,gov_debt_net_position_change_usd,gov_debt_unfunded_pension_liability,gov_debt_opeb_liability,gov_debt_bond_rating_agency,gov_debt_bond_rating_value,gov_debt_default_event_flag,gov_debt_refinancing_savings_usd,gov_debt_fiscal_distress_flag
2021,ISSUER0000019,GO_BOND,209674125777.85,32413866964.43,27173512711.1,11665625719.04,2.154,15.054,3.046,292.47,2.748,-602776963.74,19525069939.63,74431192522.19,S&P,BBB-,0,772889947.13,0
2009,ISSUER0000020,REVENUE_BOND,19516284264.04,34573896451.87,23986833429.77,1125364168.69,8.164,21.699,1.122,467.7,0.135,-7296449770.36,12661974753.49,63007111957.87,NONE,AA-,0,489368642.57,0
2022,ISSUER0000021,REVENUE_BOND,221182787167.69,34763994693.2,33003159374.88,2372029857.88,7.885,17.332,3.656,365.72,1.388,-6197604018.23,89056846113.55,7386109637.51,MOODYS,BBB-,0,704083560.69,0
2025,ISSUER0000022,GO_BOND,234872015221.43,12723682734.07,10402648055.95,11830777288.22,2.965,11.353,3.098,327.11,0.694,-7968040323.49,136374713711.91,2923078655.1,MOODYS,A+,0,1437970316.12,0
2006,ISSUER0000023,REVENUE_BOND,194722069284.48,24268220533.22,5459925068.33,14989688228.58,3.136,12.357,0.686,281.64,0.982,-6142834265.86,157204905620.44,3900899379.71,MOODYS,BBB+,0,1958655177.35,0
2002,ISSUER0000024,REVENUE_BOND,104338507342.47,37250357186.94,10275653864.52,5531341161.61,5.171,9.023,0.454,17.23,2.359,6454435964.24,66465918376.78,3837123873.96,MOODYS,NR,0,285907189.71,0
2000,ISSUER0000025,GO_BOND,200494589839.81,25585549895.16,32800558761.76,2373098130.63,4.584,2.352,4.491,144.76,0.315,-4477358740.37,102904176164.85,69257335932.56,FITCH,BB+,0,2365076799.28,0
2002,ISSUER0000026,GO_BOND,240232440229.75,36026580668.96,9540242127.86,15534192962.07,2.84,7.98,3.214,28.64,0.585,-2838693675.82,146573457926.19,29281731094.72,MOODYS,BB+,0,153532871.91,0
2011,ISSUER0000027,REVENUE_BOND,75069723240.62,4829106676.28,24100321386.25,1951975787.04,0.631,16.211,2.75,373.39,1.023,-7309873811.75,82814514887.31,7629246027.86,NONE,BBB+,0,1486159381.62,0
2013,ISSUER0000028,LEASE,22725099631.22,23029795325.11,28217719448.15,927456170.79,3.172,27.439,0.466,227.52,0.313,-7145991508.98,136888417070.72,58428447895.18,MOODYS,BBB,0,2106671380.5,0
2005,ISSUER0000029,GO_BOND,227150176408.35,12922648332.74,38530204736.82,7816571486.75,4.004,16.797,1.784,378.59,1.855,-6176584728.25,140798496670.73,15386322614.41,NONE,A+,1,1107301889.66,1
2014,ISSUER0000030,GO_BOND,216695310888.49,27036922404.02,28594851098.21,16279558051.48,7.681,16.833,2.075,178.72,1.313,-424495314.09,26386720525.14,29357118817.07,NONE,NR,0,242777875.46,0
2013,ISSUER0000031,REVENUE_BOND,194612830932.7,161452105.2,29884986882.99,13799189272.57,6.033,11.356,2.942,269.47,1.201,1478193479.66,99048859113.48,27120537563.26,S&P,A-,0,1440174991.75,0
2023,ISSUER0000032,GO_BOND,118052203973.13,42903237652.03,17089329583.31,9385694573.95,2.266,21.323,1.602,137.82,1.174,-6201308653.66,7399502614.62,52055889559.84,FITCH,AA,0,642149821.14,0
2011,ISSUER0000033,GO_BOND,177125557731.31,8463969571.08,10341157298.75,5063106690.13,3.239,2.32,3.514,150.21,2.086,-5060107520.32,34148182846.42,16012707126.48,FITCH,BBB+,0,1188605937.34,0
2008,ISSUER0000034,GO_BOND,2293600188.19,18960899746.59,29735248921.11,46643453.66,7.319,22.66,3.094,290.86,0.814,-1655775182.35,21618635241.29,15731563158.79,MOODYS,AA,0,1719714618.9,0
2021,ISSUER0000035,REVENUE_BOND,206620272847.97,30584580348.03,10606085852.11,2591671302.32,7.715,10.386,1.468,45.26,2.908,1669599257.99,64345763278.86,16163259802.16,MOODYS,A+,0,2329435703.2,0
2019,ISSUER0000036,LEASE,178067434922.2,27541425501.49,18517422841.5,5006049785.28,5.786,2.346,3.054,295.98,1.526,-1188750763.55,127778530884.54,40156118033.08,S&P,BBB+,0,855754158.21,0
2025,ISSUER0000037,GO_BOND,50530961255.81,12108217644.42,14358334029.34,1888829422.9,7.38,11.011,2.96,152.29,0.095,-1940895560.03,86796063513.62,7929737851.01,NONE,A,0,648438378.38,0
2013,ISSUER0000038,CERT_PARTICIPATION,38960405280.05,28710302108.96,17666349211.46,637189501.91,4.193,13.525,1.386,137.37,1.233,-7101990021.27,28086643164.28,41026679103.3,MOODYS,A,0,871120532.12,0
2012,ISSUER0000039,REVENUE_BOND,54301217700.48,18822428173.54,35821291003.01,1193650321.78,3.187,13.186,3.182,236.98,2.276,-4031919058.15,114276529695.78,41725174281.99,MOODYS,BBB-,0,776782158.76,1
2025,ISSUER0000040,REVENUE_BOND,93849570310.41,7307302536.32,23014803965.4,6446892701.75,2.925,5.272,1.026,186.48,0.325,1083400596.29,119062110960.14,75204035162.97,NONE,A+,0,1117050915.19,0
2006,ISSUER0000041,LEASE,97802197167.16,14696197663.34,12960054708.08,5987713777.56,1.443,11.842,0.592,85.82,0.391,4757805518.09,54373432825.69,11115304936.31,S&P,A,0,360637653.88,0
2023,ISSUER0000042,GO_BOND,127363593955.16,17714703154.89,25868437183.13,6355858647.54,5.53,20.595,2.304,321.32,2.081,777822857.24,120962119142.02,2786932263.2,KBRA,AA+,0,1089488570.16,0
2020,ISSUER0000043,LEASE,191696875105.71,3962372655.46,29551158591.74,8310142673.37,8.113,14.823,0.671,508.5,0.107,7483332736.13,20531318586.33,12536353431.96,S&P,AA,0,2026538557.21,0
2007,ISSUER0000044,REVENUE_BOND,3632245668.01,42593748747.48,13098839482.69,99901481.26,3.337,26.659,1.476,367.83,0.173,-7685692150.31,55810550025.59,41219162505.59,MOODYS,A,0,1617105468.16,0
2001,ISSUER0000045,GO_BOND,45585174766.61,17626301457.51,36649715816.88,1513258900.58,5.854,14.061,3.757,508.34,0.577,2298201117.6,85200244217.42,13396165997.43,NONE,A-,0,1131862469.18,0
2021,ISSUER0000046,GO_BOND,188304195912.6,23040356334.19,19066076476.0,12878447174.78,7.07,8.588,1.13,442.04,0.95,-5944438148.94,155742205250.28,3246222859.94,MOODYS,A+,0,1382662037.97,0
2022,ISSUER0000047,NOTES,28491146922.94,1811247941.47,11031283873.22,688135620.74,4.952,11.067,4.303,450.83,0.346,-4549274733.99,135290851694.73,54689122694.19,FITCH,BB+,0,1387187298.62,0
2024,ISSUER0000048,LEASE,170040716536.0,42928205329.38,26149996189.19,8140610497.85,1.118,16.014,4.159,165.11,0.596,4083087291.33,27856613737.04,29933165103.55,S&P,AA+,0,2193036760.96,0
2024,ISSUER0000049,NOTES,165933359811.9,42692647946.58,19381596192.5,11784967816.39,6.646,16.8,3.128,90.82,0.6,5821213421.59,5572623588.84,32276881467.66,S&P,A+,0,2353602396.84,0
2000,ISSUER0000050,NOTES,88303382294.31,41043395252.1,34743611632.24,5455056026.46,4.654,17.563,1.048,243.14,1.291,4902189980.04,57002351559.52,42813516143.51,KBRA,A-,0,1441827173.83,0
2020,ISSUER0000051,LEASE,238586633827.55,8876549353.68,38600286673.33,11270238967.15,1.738,26.99,0.731,9.25,1.868,-2563546915.88,36664618163.47,60906640753.17,FITCH,BBB,0,763056442.21,0
2025,ISSUER0000052,NOTES,223374515788.56,9327958799.59,11186959268.22,13080670618.16,0.579,19.508,2.378,248.05,1.758,-1048763378.81,159986377831.47,29050948855.13,MOODYS,AA,0,1022918255.7,0
2003,ISSUER0000053,GO_BOND,198011037881.65,28535864347.81,2820119222.99,6639895795.51,7.908,20.86,1.301,74.72,2.807,-4275493326.74,108963000103.28,58912767645.79,S&P,A,0,551382170.23,0
2015,ISSUER0000054,REVENUE_BOND,8113130024.3,12361289525.53,9756962912.91,509656781.85,3.285,1.706,1.922,347.84,1.861,-2595592635.89,118257113430.9,36591013690.08,S&P,A,0,2372698183.05,0
2016,ISSUER0000055,LEASE,96464089006.69,13660817152.0,26676409912.48,6613992168.74,6.35,19.244,2.097,298.82,2.719,5413641806.33,130755417154.79,5244425741.42,S&P,BBB+,0,484841904.42,0
2007,ISSUER0000056,PENSION_OBLIGATION,121871839911.07,41651454930.64,10465302301.91,4478778109.47,0.756,20.929,0.808,319.44,2.51,-873609430.83,79463261657.17,2626498146.69,S&P,BBB+,0,31668748.19,0
2008,ISSUER0000057,CERT_PARTICIPATION,101376821272.06,12135524907.1,17114997734.69,3308364872.09,5.748,15.249,4.349,314.24,1.7,2319404292.69,83926668363.86,13384737897.83,S&P,A+,0,1564039518.24,0
2011,ISSUER0000058,REVENUE_BOND,188581258827.95,9158643331.58,39114815136.21,4975620878.09,5.444,26.978,3.561,140.33,2.225,-4523001044.39,105103271344.64,7454509221.38,NONE,NR,0,1598145422.21,0
2018,ISSUER0000059,CERT_PARTICIPATION,227888572114.76,23501864523.08,3655649786.06,2982065375.18,6.347,4.981,1.276,252.18,0.499,428827035.85,93641062868.54,11799656584.41,FITCH,BBB+,0,1737757958.91,1
2023,ISSUER0000060,GO_BOND,60255789735.79,32569942217.49,18474519971.94,2662784971.27,0.655,3.264,4.206,102.07,0.988,2331751981.54,139519132024.64,53104125091.89,FITCH,A+,0,2371583285.21,0
2007,ISSUER0000061,REVENUE_BOND,117816240915.47,5320168074.65,239878572.94,8019143806.21,6.942,22.345,3.933,497.89,1.406,-5810072428.3,152658466513.15,69045284401.24,FITCH,AAA,0,2184398679.02,0
2001,ISSUER0000062,LEASE,30180777039.02,11151540725.76,12699117700.65,2320513626.73,5.453,17.61,1.778,72.23,1.943,-6341293263.6,46182854302.01,43276175592.13,S&P,BBB-,0,220188877.11,0
2012,ISSUER0000063,REVENUE_BOND,170125426165.32,9030322410.2,39994982741.89,3132307483.32,7.09,9.119,2.853,467.91,2.35,2463120490.45,125705575522.7,1082285111.62,S&P,A,0,1980338922.7,1
2003,ISSUER0000064,GO_BOND,247880908248.79,6286362485.4,24242862260.13,8368270353.85,4.249,8.528,0.792,384.29,2.036,-3943443015.78,111951919747.39,28589214170.45,S&P,A,0,639013725.71,1
2001,ISSUER0000065,NOTES,224855433554.16,31414624221.41,16070617278.8,8434953936.18,2.102,27.688,1.049,456.36,0.02,7891147593.34,46091459170.7,34916069003.97,MOODYS,A+,0,2132218838.6,0
2000,ISSUER0000066,REVENUE_BOND,12192595798.26,14222878594.18,2049831629.94,713456110.89,0.727,4.302,0.615,47.14,1.684,-1681620047.55,54500751403.38,61464804647.24,S&P,BB+,0,1342612820.99,0
2000,ISSUER0000067,LEASE,160411575919.62,40749894664.14,36265202985.1,9041637451.82,5.266,25.675,3.604,398.7,1.295,5876533458.01,29256145961.21,66035608672.47,NONE,AA-,0,1755293652.62,0
2012,ISSUER0000068,REVENUE_BOND,196652454086.59,8901521267.88,33017349064.7,10253706476.69,2.175,22.155,2.556,415.55,2.755,3886969823.34,19871626769.97,28139972192.49,FITCH,A,0,453979300.56,1
2003,ISSUER0000069,PENSION_OBLIGATION,51816083137.95,19825160430.87,27094869336.59,3964026668.1,7.958,20.641,0.742,344.36,1.273,4858620735.38,120860074726.78,36457425327.62,MOODYS,AA+,0,497275370.71,0
2013,ISSUER0000070,GO_BOND,117940935219.62,22283451509.32,16324269745.46,2489175196.78,5.363,17.04,2.331,226.12,1.716,-3566974473.53,79852010962.51,74400037104.67,S&P,A-,0,2448476260.6,0
2007,ISSUER0000071,LEASE,223390333774.24,3939592996.74,31641321855.26,16178710081.36,4.377,17.639,3.049,376.69,1.9,4705050619.84,59312396872.2,72844970731.45,S&P,A+,0,2174776216.17,0
2015,ISSUER0000072,REVENUE_BOND,115520529552.33,9324923691.66,23621158672.45,3148936894.53,4.505,24.795,0.805,317.69,0.094,5759839023.36,81346146778.19,28156305962.07,S&P,AAA,0,2108628643.97,0
2009,ISSUER0000073,GO_BOND,241820956671.23,27831469501.82,1952984106.32,5872215634.3,2.562,15.18,3.247,412.51,2.075,-3928630280.95,26765167820.74,38302205227.32,FITCH,BBB,0,1294962921.22,0
2006,ISSUER0000074,GO_BOND,133041206207.16,29161375572.4,31972668832.69,2909625375.72,4.922,20.954,4.342,427.94,0.642,2778020896.03,149120935096.75,71647009874.26,S&P,NR,0,462761546.47,0
2025,ISSUER0000075,GO_BOND,212777682145.02,19984465870.23,38095511136.86,3648256189.55,2.71,18.346,3.977,406.53,0.049,-3210792221.36,19304757808.94,12051581593.32,S&P,A,0,786105500.43,0
2000,ISSUER0000076,GO_BOND,143641583567.27,41857191228.86,8857114948.68,10966161710.1,4.07,6.455,0.652,217.63,2.158,847312716.39,101939429536.02,21708048145.12,S&P,A,0,167468157.77,0
2016,ISSUER0000077,REVENUE_BOND,77372999068.88,33285202651.16,30744457722.22,1371403272.26,6.452,10.725,0.324,432.12,1.713,3014867055.79,49021363823.13,33560437291.15,FITCH,AA,0,339036711.22,0
2003,ISSUER0000078,REVENUE_BOND,205541190642.07,29644726485.84,16002966371.33,14575237062.66,3.24,18.129,0.626,76.0,1.387,1734912587.06,17255184145.97,12711749564.03,MOODYS,A+,0,2151901791.61,0
2004,ISSUER0000079,GO_BOND,21019447829.32,35530514380.67,29144850471.94,1257616355.51,2.103,12.09,2.741,1.39,0.492,-662540252.85,47495439919.62,29679274902.07,NONE,AA-,0,330090014.11,0
2018,ISSUER0000080,CERT_PARTICIPATION,194409686749.87,25721737826.05,3006915614.45,5935655058.53,0.537,1.275,4.035,212.93,2.768,6056462734.56,94452399965.17,882142972.71,FITCH,AA-,0,502121724.7,0
2004,ISSUER0000081,GO_BOND,7936937641.59,30516093501.34,38202654497.64,410346562.17,5.521,9.06,2.562,293.52,0.759,3173515441.26,130977575058.99,66605641150.73,FITCH,AA,0,958880422.44,0
2006,ISSUER0000082,REVENUE_BOND,198021636123.48,18526038568.98,35136476148.99,10477340181.08,2.711,29.36,4.013,372.94,1.391,5446600861.97,12447465052.46,14728431106.59,NONE,BB+,0,2382917913.61,0
2005,ISSUER0000083,GO_BOND,70405351842.9,26351565892.28,2010494142.1,3747537381.73,5.861,11.528,4.202,209.19,0.862,-1964399837.95,117653734112.33,47208497767.82,S&P,AA+,0,2344946209.97,0
2022,ISSUER0000084,REVENUE_BOND,111835571151.99,18573311865.83,7438916147.8,7561504168.74,2.678,12.257,2.531,399.35,1.428,2244637648.15,57499740527.55,28558183096.03,MOODYS,AA-,0,758607952.6,0
2000,ISSUER0000085,REVENUE_BOND,123428431444.58,35591051719.27,17810498424.05,2851974081.42,1.262,24.58,1.566,315.81,2.298,5937607535.14,121652782365.03,57590705185.88,S&P,A-,0,1078892166.35,0
2012,ISSUER0000086,PENSION_OBLIGATION,108495784403.25,35629548068.51,8393679404.86,1235004888.14,7.923,3.132,3.335,282.64,2.233,-6670044246.47,36552249775.9,6914038651.85,NONE,BBB+,0,741376303.54,1
2023,ISSUER0000087,REVENUE_BOND,194905197975.71,16598597236.87,13259976651.58,11260141131.54,1.81,4.749,2.483,227.38,1.085,5807967944.44,54055177045.4,14875394893.26,FITCH,A,0,607054558.35,0
2021,ISSUER0000088,PENSION_OBLIGATION,15255127645.86,36685768679.45,19527178235.65,356755586.78,7.089,29.886,1.864,173.25,2.2,-7270327554.27,101171001998.41,27855317323.64,MOODYS,A-,0,1035597646.5,0
2000,ISSUER0000089,REVENUE_BOND,137095810711.3,13209635375.33,9191515805.41,3515939453.19,4.93,14.29,1.031,53.75,0.444,-2275876981.7,13761236055.2,62193774653.04,MOODYS,BBB-,0,1044254535.05,1
2000,ISSUER0000090,REVENUE_BOND,13521534931.8,27523668366.79,20961452580.06,158936756.73,5.029,1.438,3.675,362.67,0.996,7493057685.07,50396333361.54,69799392793.35,S&P,AA,0,844258046.28,0
2010,ISSUER0000091,NOTES,165290427863.94,6385660952.51,13509728711.05,3522372100.2,4.789,2.021,3.247,356.16,0.099,3788424467.31,145576071017.14,77602829606.49,KBRA,A,0,143562140.14,0
2005,ISSUER0000092,GO_BOND,61644049232.28,8634232258.23,12274637456.24,4304462864.27,5.716,4.736,3.536,333.78,0.343,4916583646.17,106062081815.65,5333884766.31,FITCH,BBB,0,900234752.96,0
2017,ISSUER0000093,LEASE,31490475955.34,11201668674.23,29553275491.04,927087707.13,7.087,21.244,0.511,383.92,0.356,-1786637490.26,30232254111.57,11356024536.8,FITCH,AA,0,1489989371.11,0
2014,ISSUER0000094,GO_BOND,50519755523.25,21608001051.51,33040304706.5,2746238704.94,6.458,11.99,2.247,205.14,2.411,-4787770324.58,159881746378.01,42634905641.09,S&P,AA,0,1182420875.95,0
2003,ISSUER0000095,LEASE,230793215852.09,13357794401.09,9677123420.6,10130849357.56,8.193,12.01,1.713,477.15,1.579,1098399795.36,104035467823.52,63971570396.75,FITCH,BBB+,0,773676828.03,0
2003,ISSUER0000096,GO_BOND,128513014188.55,39554314152.95,24142293002.72,7434794628.16,6.424,17.154,1.118,289.62,0.725,-4948096492.94,5845712420.12,16039941589.9,S&P,A-,0,169068407.77,0
2002,ISSUER0000097,GO_BOND,62912050037.06,3898616795.17,28568253827.16,3341860164.45,1.503,24.236,2.17,243.03,2.077,5761555727.12,88578438915.31,47438301297.72,S&P,BB+,0,1393079282.69,0
2021,ISSUER0000098,GO_BOND,59848724845.6,7877619094.32,17702498179.82,4100161549.49,4.565,4.37,4.353,505.39,2.435,-3697231555.56,130070688793.44,65001708381.39,FITCH,A,0,2446833107.59,0
2024,ISSUER0000099,GO_BOND,36893644032.12,479182911.44,15589689981.87,857472407.54,1.019,1.206,4.146,448.86,1.761,-4210646683.07,157213637634.19,29953209101.83,S&P,A-,0,628570041.61,0
2018,ISSUER0000100,GO_BOND,91709206850.33,20081393508.27,37041321360.17,4050796974.74,2.648,19.271,3.41,427.9,0.13,-3756148643.17,151208322696.77,20084284689.61,S&P,A,0,710618389.5,0
2000,ISSUER0000101,GO_BOND,96767144469.86,138820097.93,34709152692.55,6811207854.91,4.157,0.663,2.818,190.44,0.737,450436107.49,5517159623.01,21715898756.32,S&P,AAA,0,2174798334.57,0
2022,ISSUER0000102,CERT_PARTICIPATION,44323481383.78,3708656557.04,25478505228.62,1705337635.07,1.661,25.28,4.073,107.6,0.03,-7321034678.09,135700755948.94,33889220698.83,FITCH,AA+,0,1785176233.28,0
2022,ISSUER0000103,CERT_PARTICIPATION,178322723650.51,17052233393.03,27062053887.22,10187013398.04,2.329,28.155,3.949,171.21,0.675,-2923509269.19,8280658576.8,39326286852.08,KBRA,BBB-,0,1399927029.56,0
2001,ISSUER0000104,REVENUE_BOND,226608175175.57,15403639064.24,18304523664.62,17141557490.82,6.724,24.802,2.393,251.41,0.393,-5891483180.68,30500612740.25,7089034069.71,S&P,AA-,0,779495836.01,0
2022,ISSUER0000105,GO_BOND,171977327117.28,11263256163.23,20184404832.73,3698085767.24,5.867,23.398,1.342,435.5,1.097,-7345818983.29,115006221480.24,1565575043.49,FITCH,A+,0,2363417548.69,0
2021,ISSUER0000106,NOTES,186506974555.49,9741962440.37,21651376899.77,3609723814.96,5.458,28.231,3.88,241.58,2.55,159365588.45,51888157823.85,11382334032.51,S&P,BBB+,0,917811839.02,0
2004,ISSUER0000107,REVENUE_BOND,240228847553.34,650632699.3,30767353991.26,19059171549.27,8.432,20.776,3.411,518.17,2.891,-6177893532.16,43971013641.55,32503050695.72,S&P,A+,0,2057452602.06,0
2023,ISSUER0000108,GO_BOND,205852132904.91,151248844.4,9281155641.23,14295493673.37,3.068,11.64,1.504,51.86,1.385,3062539388.37,18842029257.63,53019726052.94,S&P,BBB,0,1248223189.8,0
2006,ISSUER0000109,REVENUE_BOND,154301464051.18,1200195958.58,29355236064.05,6627194659.69,5.311,13.642,0.85,517.97,1.038,-4621249299.21,74281629881.42,78915145023.15,S&P,AAA,0,1844487742.76,0
2023,ISSUER0000110,CERT_PARTICIPATION,210672255310.97,8624927514.29,25755078767.27,2405751205.02,3.002,16.815,0.803,244.59,0.171,-4354817177.13,149642344787.29,51506531909.79,MOODYS,A+,0,476925204.85,0
2005,ISSUER0000111,REVENUE_BOND,218619693050.89,18982603863.81,16281040494.29,15117714683.7,7.295,12.839,2.086,455.89,0.864,-4820869734.57,75909131284.76,54125404839.19,MOODYS,BBB,1,2348152460.74,0
2006,ISSUER0000112,GO_BOND,74015259806.27,18503977664.34,13253393382.35,3552544920.22,1.72,28.215,4.302,501.74,2.134,-7503391791.85,85697694612.23,69202162234.54,S&P,AA,0,99786283.05,0
2000,ISSUER0000113,REVENUE_BOND,94255882894.12,20683430361.44,11426904598.0,5886878453.28,5.354,2.141,0.705,120.93,1.103,-4104026751.21,14033624735.71,60129594818.18,S&P,A,0,839376300.58,0
2003,ISSUER0000114,REVENUE_BOND,6624928188.65,29255781634.32,14989639902.11,342007354.93,1.222,10.62,1.596,472.52,0.514,418687420.28,154984623176.12,21520435712.62,S&P,AA,0,1538470608.96,0
2006,ISSUER0000115,GO_BOND,92036313967.76,32557152545.38,4989410908.27,5071556828.87,8.344,19.941,0.894,73.17,1.427,-7311338359.85,49794345827.59,25684371690.34,NONE,BB,0,1843846626.55,1
2010,ISSUER0000116,REVENUE_BOND,249442621369.66,22501765003.73,21581878721.74,9522882627.5,0.537,14.452,3.611,361.44,1.569,-5777095992.83,15708330916.41,8395206473.89,S&P,AA+,0,1205035421.99,0
2011,ISSUER0000117,GO_BOND,155996967252.21,36189161659.52,16768074361.07,5956852665.72,6.814,15.318,1.473,343.83,2.404,-3461335751.02,84820656236.85,59150001557.42,FITCH,AAA,0,1094491209.35,0
2019,ISSUER0000118,PENSION_OBLIGATION,29089074115.34,34636372604.55,20902232186.35,1103574643.54,6.029,23.891,0.749,376.85,2.987,-1329771054.14,151569233555.5,12727559271.3,FITCH,AA-,0,2069586127.15,0
2005,ISSUER0000119,REVENUE_BOND,125295950850.99,27119280117.34,8233779700.93,3284239230.06,7.484,13.001,3.857,0.65,1.527,-6177803703.03,159073314653.56,59607418983.79,FITCH,BB,0,2120258696.1,0
2000,ISSUER0000120,NOTES,163007472911.59,24977090316.53,8473044298.07,2164667053.45,0.774,6.279,1.617,141.59,1.445,3941952178.66,72966844145.37,79038422088.85,NONE,BB+,0,540051933.88,0
2005,ISSUER0000121,GO_BOND,3627715021.69,42956163341.12,10984884842.0,143319494.25,8.168,15.438,2.544,154.34,2.266,-6324332781.54,120314850139.55,64266601472.52,FITCH,A-,0,1113857646.17,1
2011,ISSUER0000122,GO_BOND,246603454098.17,20984491667.38,7729154886.1,11149937791.3,3.883,23.654,1.476,178.14,0.11,-1281528450.62,1089514202.59,3097549513.29,NONE,AA,0,509091007.78,0
2007,ISSUER0000123,GO_BOND,215455402895.83,37814917202.89,39067559596.06,6668487447.33,4.96,17.983,1.731,299.43,1.938,6691911457.08,120887519961.59,72891707448.42,MOODYS,AAA,0,10600025.64,1
