house_insecure_point_in_time_date,house_insecure_service_region_id,house_insecure_unsheltered_count,house_insecure_sheltered_count,house_insecure_family_households_count,house_insecure_youth_count,house_insecure_veteran_count,house_insecure_chronic_homeless_count,house_insecure_length_of_stay_median_days,house_insecure_returns_to_homelessness_rate,house_insecure_hm_is_system_coverage_pct,house_insecure_encampment_clearance_count,house_insecure_outreach_contacts_count,house_insecure_bed_utilization_rate,house_insecure_housing_placement_rate,house_insecure_rrh_program_enrollments,house_insecure_psh_program_enrollments,house_insecure_eviction_prevention_assistance,house_insecure_street_medicine_visits,house_insecure_barrier_assessment_score
2010-12-13,SR000047,2480,3539,2193,1406,1125,2424,294,30.47,80.17,150,12945,42.01,48.47,2561,2505,5059,2853,0.1445
2010-12-20,SR000048,4415,4648,3028,6,287,1352,376,20.33,61.88,176,16426,91.59,21.52,664,173,6757,1705,0.2059
2010-12-27,SR000049,1596,13120,2555,1514,1066,1797,167,29.05,85.37,240,3175,68.81,8.48,3950,6964,20530,7823,0.6103
2011-01-03,SR000050,5256,3151,701,1433,39,663,211,1.1,61.59,129,17134,67.82,47.77,2987,4006,22316,7303,0.2919
2011-01-10,SR000051,4570,6422,1309,183,102,566,184,14.66,71.83,174,566,89.0,43.35,368,714,21617,5135,0.0487
2011-01-17,SR000052,1015,6098,1362,1449,179,1623,78,5.27,62.01,166,306,96.07,42.55,88,3441,3057,1231,0.7033
2011-01-24,SR000053,4415,2243,1343,1082,1218,817,352,22.33,88.33,123,1858,33.59,58.87,3795,6427,19398,6234,0.5736
2011-01-31,SR000054,5388,8598,2851,309,380,539,199,0.02,80.81,62,8653,32.56,55.99,1192,4468,14252,9799,0.6006
2011-02-07,SR000055,3304,7285,2553,1482,896,1699,150,2.6,88.53,42,8232,49.57,14.98,44,6910,4941,2024,0.7551
2011-02-14,SR000056,6390,10909,1658,1571,841,750,309,8.11,60.72,149,13416,63.51,26.03,4209,4485,18997,4640,0.2044
2011-02-21,SR000057,1305,2820,2734,142,910,2176,305,18.14,85.67,141,4725,48.61,50.59,2875,5525,995,8776,0.5094
2011-02-28,SR000058,1358,13661,2889,1942,1021,1973,48,14.67,93.52,191,14182,66.46,62.27,434,6757,14936,8887,0.2917
2011-03-07,SR000059,5383,7959,972,1078,866,1138,271,18.17,58.21,42,929,67.12,60.74,4556,1776,22101,1426,0.3199
2011-03-14,SR000060,6433,13602,2230,2180,447,474,120,18.59,96.4,19,6441,75.55,53.36,3908,3735,12237,5648,0.0394
2011-03-21,SR000061,657,8259,2480,1455,148,1347,27,13.96,70.87,205,10524,69.17,28.82,2310,7161,366,6259,0.5977
2011-03-28,SR000062,1771,1620,891,407,835,1068,298,11.24,91.24,59,2509,73.78,14.71,2967,2830,19318,2536,0.1108
2011-04-04,SR000063,1973,15752,3745,1676,658,2721,416,3.82,68.85,151,1417,70.16,62.9,3917,3608,569,7521,0.2124
2011-04-11,SR000064,3181,15500,1519,364,171,1873,102,10.13,47.78,13,12376,64.84,48.99,5,2811,21238,8822,0.9228
2011-04-18,SR000065,6438,7028,721,1239,483,1719,279,22.57,94.15,31,17620,85.71,7.22,1443,4335,5351,5162,0.9303
2011-04-25,SR000066,474,17763,2570,1513,1070,1697,132,9.99,84.91,253,992,73.1,8.04,3569,3729,9951,6577,0.979
2011-05-02,SR000067,4138,12035,904,300,241,2176,210,5.7,90.28,242,922,38.94,22.42,495,5401,10782,2495,0.9987
2011-05-09,SR000068,5387,5923,615,122,563,1440,391,0.43,62.79,129,2335,94.57,7.07,93,6770,24628,3202,0.4949
2011-05-16,SR000069,5799,9343,4036,667,702,674,219,5.56,97.06,26,5343,77.93,56.28,558,2517,2151,1285,0.259
2011-05-23,SR000070,5067,17651,2256,693,378,314,79,33.67,76.79,68,10849,41.63,12.29,3242,6110,2210,8865,0.5264
2011-05-30,SR000071,3955,11519,3269,478,171,641,24,12.41,53.54,252,3334,46.66,18.65,3707,4252,5581,5786,0.8901
2011-06-06,SR000072,1348,14669,175,2175,770,439,175,5.89,93.52,212,15539,35.48,38.95,3515,1842,438,4780,0.5695
2011-06-13,SR000073,4886,13462,1965,381,1175,1810,357,20.07,80.73,121,13681,48.84,59.81,2161,4442,12032,6156,0.0973
2011-06-20,SR000074,3534,3286,1347,1957,480,383,343,4.26,64.53,169,3734,94.5,31.09,303,2477,19806,1469,0.9102
2011-06-27,SR000075,1664,5414,2739,1143,908,826,207,7.89,94.53,128,7627,32.15,10.86,1602,3258,9295,5039,0.2677
2011-07-04,SR000076,296,10509,3035,2046,810,1102,134,26.35,70.9,84,8790,80.91,32.72,337,270,14817,3652,0.4999
2011-07-11,SR000077,2627,5591,1580,796,813,1463,250,10.9,68.77,223,15483,79.07,37.48,4145,5463,12750,2418,0.7294
2011-07-18,SR000078,3418,12336,215,1028,1062,364,144,6.63,46.65,25,7431,73.46,46.44,3904,1137,7157,1962,0.2207
2011-07-25,SR000079,1697,8145,1314,1121,241,1501,249,25.74,88.4,242,2307,77.65,42.49,854,2374,9617,7629,0.0767
2011-08-01,SR000080,1050,7194,2772,2050,168,199,104,3.97,56.46,190,3613,55.14,37.09,477,4599,24867,7694,0.4193
2011-08-08,SR000081,5015,10400,3366,698,545,1978,103,20.84,99.09,162,4085,46.8,54.51,996,4593,17014,6944,0.8454
2011-08-15,SR000082,4026,940,2339,2154,264,1551,188,31.08,53.31,139,13256,72.78,9.32,604,745,3827,9660,0.8926
2011-08-22,SR000083,3688,3459,770,1849,1080,2018,42,28.14,62.65,14,2914,89.66,26.17,3225,516,10594,6033,0.3486
2011-08-29,SR000084,795,1863,3150,554,6,1071,188,34.36,98.19,249,11566,75.5,60.45,1217,680,15967,2366,0.0152
2011-09-05,SR000085,248,2794,680,913,1115,700,135,2.77,92.29,154,7432,30.98,7.18,4287,6963,5907,5801,0.6416
2011-09-12,SR000086,4069,10760,1032,766,1268,2427,16,15.58,69.98,123,12878,83.75,5.9,3822,2054,2301,8611,0.024
2011-09-19,SR000087,1981,5631,4,779,1042,386,304,31.34,61.44,105,6031,77.17,18.44,383,4635,7475,7390,0.3421
2011-09-26,SR000088,1381,17850,1178,1172,173,2047,47,18.9,52.85,60,16157,36.53,7.16,2398,896,5174,2972,0.2635
2011-10-03,SR000089,5780,4458,352,1531,1004,744,391,16.52,70.94,33,15779,50.87,57.42,4497,5142,11158,10259,0.3805
2011-10-10,SR000090,5143,2773,406,894,905,2499,188,21.47,59.36,190,11037,76.06,35.1,3108,5485,11956,8094,0.4521
2011-10-17,SR000091,4572,17360,3006,1422,813,712,97,17.66,60.27,244,418,84.13,53.75,3523,6665,3664,925,0.5628
2011-10-24,SR000092,5991,1616,4171,317,200,1880,296,18.01,63.53,193,17214,57.49,45.52,3353,2165,20173,1375,0.5768
2011-10-31,SR000093,3720,7936,1182,2021,762,754,200,24.97,89.75,166,6637,73.18,59.52,582,6499,8333,703,0.8191
2011-11-07,SR000094,3058,8239,796,378,177,986,273,19.05,69.86,190,4879,67.33,29.99,69,4713,22336,4348,0.1734
2011-11-14,SR000095,284,7815,146,606,1005,2633,3,25.6,49.94,72,14658,53.78,59.78,4943,1796,21237,9860,0.5612
2011-11-21,SR000096,149,17897,2235,894,1179,2574,399,26.2,55.28,83,15043,60.73,52.96,787,7095,19002,148,0.9616
2011-11-28,SR000097,315,8835,987,1612,1176,370,24,16.35,89.77,102,8795,51.02,45.31,3866,6087,15702,7355,0.5301
2011-12-05,SR000098,4800,6021,2938,339,567,1043,4,30.48,75.46,198,385,88.9,36.92,1083,4405,11299,7459,0.888
2011-12-12,SR000099,3278,17916,1156,77,303,889,346,19.87,76.83,215,10246,30.12,5.7,1984,2227,840,7627,0.0391
2011-12-19,SR000100,6314,14970,2526,1866,753,1689,184,19.64,79.8,188,16208,71.64,57.75,4110,227,23034,6552,0.5239
2011-12-26,SR000101,1234,1592,1747,600,42,683,161,20.56,85.69,39,8646,90.14,63.1,348,3215,1511,5207,0.4817
2012-01-02,SR000102,736,7231,3643,900,254,776,316,3.98,71.08,169,7603,35.62,63.83,3991,4102,11192,412,0.5051
2012-01-09,SR000103,5389,16230,2470,129,690,1088,340,34.75,45.16,179,1081,44.78,8.62,4604,118,23736,1090,0.1921
2012-01-16,SR000104,403,6099,1667,1171,25,1632,158,20.94,84.08,36,3599,39.28,13.73,2588,7086,16909,5621,0.7909
2012-01-23,SR000105,164,8947,271,1761,385,236,240,18.58,88.67,235,15153,86.76,28.1,3503,2092,19415,7858,0.9429
2012-01-30,SR000106,5574,17169,532,523,86,92,275,30.7,91.58,217,8112,41.25,21.56,1376,3945,14279,3090,0.4504
2012-02-06,SR000107,3389,4206,3078,135,162,180,359,4.22,51.23,137,3220,77.8,51.08,1024,5563,15761,4695,0.3659
2012-02-13,SR000108,2719,16745,1465,393,1101,2130,197,22.31,92.23,23,3800,50.26,43.96,982,5920,22144,7640,0.1361
2012-02-20,SR000109,3598,434,245,1275,172,792,100,27.45,70.53,93,2125,86.12,21.49,4436,1433,22226,5230,0.1259
2012-02-27,SR000110,5047,4416,3622,159,455,428,205,0.78,94.54,121,17304,75.63,12.03,731,3110,10400,6848,0.3617
2012-03-05,SR000111,5914,13247,2381,421,917,419,24,15.43,59.94,175,17577,96.75,21.62,120,544,17443,1452,0.8222
2012-03-12,SR000112,3263,10314,2487,756,23,1874,114,34.61,63.25,198,8873,66.3,45.16,2710,2675,15288,5282,0.8229
2012-03-19,SR000113,74,11044,137,1119,864,480,254,0.39,49.84,178,17999,43.13,41.95,2682,6834,7618,3775,0.3581
2012-03-26,SR000114,2550,13069,751,1308,191,565,345,22.6,60.72,50,7133,69.19,29.88,758,7154,19765,8012,0.3768
2012-04-02,SR000115,6006,16037,3198,1442,8,657,28,7.98,59.58,64,7390,99.25,40.11,2017,5266,13699,5382,0.4657
2012-04-09,SR000116,263,8309,2942,1214,1115,1283,189,6.56,47.36,235,16652,88.45,6.9,4190,6355,20188,7346,0.5915
2012-04-16,SR000117,1820,3808,618,679,858,1667,70,29.95,69.68,148,3605,58.04,57.33,425,1939,10464,6415,0.1129
2012-04-23,SR000118,2036,12615,2372,1272,975,1367,22,22.56,79.55,242,1427,56.54,43.01,1820,35,969,870,0.5423
2012-04-30,SR000119,201,4039,2056,687,73,2518,24,29.4,57.63,163,9995,41.86,5.58,3649,0,18402,8963,0.5126
2012-05-07,SR000120,1595,13790,1940,1541,689,377,416,1.23,63.35,170,4773,86.56,19.96,1520,1987,7416,661,0.9492
2012-05-14,SR000121,607,8983,4010,148,1148,159,213,11.31,69.42,160,11007,60.47,11.29,2471,6664,14812,2770,0.5535
2012-05-21,SR000122,4626,16246,126,611,506,2378,323,25.55,82.77,217,6410,35.23,56.07,902,4300,24021,9608,0.2571
2012-05-28,SR000123,59,4922,3176,817,254,18,114,2.64,90.93,137,4934,35.18,37.22,767,4982,15808,7022,0.3326
2012-06-04,SR000124,1358,15790,1001,734,278,7,120,7.23,66.41,70,4037,69.4,18.99,1858,5862,7192,988,0.432
2012-06-11,SR000125,6160,5681,2236,1020,1037,1934,25,29.22,97.16,164,3021,34.53,6.4,3390,4112,23168,1870,0.4037
2012-06-18,SR000126,4583,2811,3958,1779,771,1804,168,8.1,47.52,114,668,74.83,17.95,3333,6633,9806,10156,0.7667
2012-06-25,SR000127,4568,15407,965,1033,938,1696,360,28.35,67.88,175,6734,66.89,43.08,4456,1960,13541,9514,0.6312
2012-07-02,SR000128,2802,17601,795,560,49,784,4,11.07,51.12,51,4495,48.63,25.28,4733,3353,23161,7025,0.0369
2012-07-09,SR000129,2128,301,1630,736,704,2526,15,32.18,52.16,3,167,37.09,54.43,1829,4467,15786,7548,0.8043
2012-07-16,SR000130,4434,4046,860,1855,1046,2513,238,25.78,52.64,167,5006,68.26,24.31,2076,6508,2443,4936,0.1872
2012-07-23,SR000131,4153,9642,627,866,687,896,399,23.62,94.4,152,3843,60.47,9.57,1492,504,554,8772,0.7637
2012-07-30,SR000132,2148,6203,3864,410,396,1404,257,29.8,83.67,222,16269,93.44,31.08,4874,4163,22240,618,0.5602
2012-08-06,SR000133,6451,2811,791,813,66,643,127,8.96,49.17,90,12932,96.45,22.7,1776,5718,20886,985,0.5839
2012-08-13,SR000134,3621,5128,1749,836,1188,948,323,12.39,46.42,227,4999,40.57,59.54,1864,5587,1818,5309,0.3036
2012-08-20,SR000135,3276,13606,3151,1130,204,314,6,8.29,47.25,220,9221,40.55,40.93,877,1070,20140,987,0.444
2012-08-27,SR000136,582,16559,1560,22,78,511,96,14.35,55.36,77,10117,89.19,57.0,3080,1488,20913,10784,0.034
2012-09-03,SR000137,82,13562,409,2080,173,663,26,12.13,57.36,167,9160,33.13,35.12,3127,4151,8289,2206,0.5812
2012-09-10,SR000138,4815,1455,2628,265,25,1506,226,0.36,91.12,208,12299,34.82,16.59,2152,5313,6882,38,0.8058
2012-09-17,SR000139,3333,15573,1692,1034,932,1067,123,14.33,92.97,207,13069,44.52,49.51,888,92,11566,2069,0.4524
2012-09-24,SR000140,6461,3288,2618,1610,1,2500,228,34.72,91.78,171,3020,49.37,61.26,164,1976,22067,8879,0.5869
2012-10-01,SR000141,4313,5817,866,1955,1098,1564,209,9.21,68.85,175,8774,84.75,19.38,4397,4222,23991,1095,0.9253
2012-10-08,SR000142,2551,17642,479,628,109,2689,150,24.29,66.43,176,3200,31.75,24.65,707,3461,1697,10293,0.2167
2012-10-15,SR000143,5248,4609,895,692,453,788,262,1.54,86.55,115,725,65.11,29.57,877,5609,23364,5256,0.5191
2012-10-22,SR000144,3146,11013,1151,1249,109,713,273,10.78,80.54,226,1397,71.16,5.02,110,5500,1560,10691,0.8052
2012-10-29,SR000145,946,10006,1663,414,965,2378,51,20.41,79.72,171,7296,32.38,25.75,1349,1072,24469,5876,0.0316
2012-11-05,SR000146,934,14966,1042,1881,503,294,275,8.94,60.88,156,6006,39.17,5.59,4218,4978,5625,8748,0.8943
2012-11-12,SR000147,5263,4694,3515,330,184,1222,158,32.22,93.45,219,5253,63.18,63.77,4635,4786,1504,3548,0.2763
2012-11-19,SR000148,3331,532,3355,443,581,1614,141,5.72,74.02,133,5577,77.5,40.44,5130,2715,5188,7187,0.8284
2012-11-26,SR000149,5983,7569,3361,1118,984,55,88,18.02,73.26,224,10162,97.16,23.73,1038,6963,23523,10970,0.4821
2012-12-03,SR000150,2921,5786,3958,286,1272,902,119,24.74,70.46,257,11809,52.07,12.85,3584,4150,6942,2726,0.725
2012-12-10,SR000151,1954,835,1916,11,642,1322,390,26.6,58.62,180,2278,80.86,48.16,1528,99,6004,2178,0.0613
2012-12-17,SR000152,3038,3006,3729,1070,636,2015,46,11.74,73.64,120,8178,76.41,35.99,4203,198,24217,8532,0.1025
2012-12-24,SR000153,1420,8866,1870,679,770,2104,336,22.87,84.14,213,16108,96.31,24.44,3537,1071,20477,1871,0.7617
2012-12-31,SR000154,361,4241,1930,654,325,2239,309,23.97,48.13,39,9230,78.6,47.26,1937,3415,19397,8745,0.8232
2013-01-07,SR000155,24,4883,515,267,515,30,420,26.0,78.69,129,16197,97.04,18.11,3177,6429,5274,10847,0.9145
2013-01-14,SR000156,5169,5389,817,920,353,1635,237,16.55,97.79,47,14136,38.88,54.97,1945,6694,5164,8622,0.6626
2013-01-21,SR000157,853,13564,3095,1158,816,1221,20,4.58,98.2,4,9828,80.03,19.15,2639,3587,10998,7835,0.0835
2013-01-28,SR000158,4126,15233,1618,1598,53,2058,315,26.84,48.26,27,12503,96.46,35.23,411,5528,14047,9736,0.0589
2013-02-04,SR000159,5511,9202,3751,283,245,945,349,23.35,70.89,125,1161,96.71,57.91,4996,3877,5397,9627,0.3178
2013-02-11,SR000160,2658,12865,3480,214,1111,899,367,12.78,86.86,67,744,58.84,12.42,5007,5952,16579,6047,0.2314
2013-02-18,SR000161,2749,12141,3884,1472,303,304,81,5.53,73.66,136,4868,41.63,46.42,4360,211,15159,5062,0.6266
2013-02-25,SR000162,5875,1250,3076,545,1027,702,150,22.37,82.97,11,8968,49.05,55.07,1133,3448,14664,7168,0.8753
2013-03-04,SR000163,4164,6004,312,838,254,2422,155,33.19,68.04,115,10205,98.58,28.31,3480,3189,2073,1493,0.8029
2013-03-11,SR000164,3750,10086,3640,1206,323,1540,85,22.02,72.5,15,7327,41.64,57.16,3875,2272,9134,2950,0.5609
2013-03-18,SR000165,2317,11691,2405,414,543,2371,40,3.23,54.88,17,5332,77.95,35.87,2824,6536,10354,10334,0.5152
2013-03-25,SR000166,4702,481,2817,214,881,1796,212,0.05,99.08,164,16801,90.57,40.65,181,500,7413,1215,0.4596
2013-04-01,SR000167,2230,15164,12,1955,554,1904,2,13.7,92.18,13,3277,47.83,8.13,2928,5321,2153,8374,0.6737
2013-04-08,SR000168,1967,15976,3851,1548,1157,2421,420,10.34,54.21,27,6991,73.54,61.54,4285,3664,9384,4404,0.4838
2013-04-15,SR000169,2605,17089,2495,551,1018,1272,286,12.85,80.01,177,8395,49.05,21.59,440,3575,6365,3778,0.4336
2013-04-22,SR000170,5162,12057,2888,1663,62,774,384,33.87,61.4,61,4475,43.06,36.26,2706,1123,23045,5952,0.9953
2013-04-29,SR000171,5728,16849,3738,1859,522,1294,150,28.35,62.65,1,2768,74.47,32.82,3838,3576,6635,7117,0.6528
2013-05-06,SR000172,5909,1688,2485,1745,379,2633,358,14.35,99.23,202,13704,47.86,63.32,3678,4616,24981,288,0.97
2013-05-13,SR000173,2,10374,321,1875,1279,2261,8,3.61,62.24,252,1829,55.71,47.92,3204,6091,24166,10550,0.9692
2013-05-20,SR000174,2123,9762,1147,449,675,1771,387,4.89,72.13,192,3262,73.75,20.45,3421,5353,11337,10858,0.8652
2013-05-27,SR000175,4635,3527,2901,1274,480,756,400,13.61,87.11,133,15483,53.06,64.65,228,5484,10909,801,0.5947
2013-06-03,SR000176,408,16571,1889,168,309,1818,184,14.75,58.22,45,3469,49.89,40.85,2028,2360,15128,1118,0.1358
2013-06-10,SR000177,3055,3068,1471,425,46,265,54,14.87,46.96,137,7473,61.7,36.53,2458,7057,13431,3691,0.9561
2013-06-17,SR000178,1725,7144,3227,1513,333,912,122,33.65,62.85,131,16373,72.12,60.96,321,6526,16525,9683,0.4084
2013-06-24,SR000179,2627,16,2250,1214,1293,57,205,23.32,81.65,252,5971,88.2,13.06,3122,2271,20632,10453,0.8396
2013-07-01,SR000180,494,7220,367,1179,630,2580,176,17.96,96.38,89,8128,35.9,17.66,1716,6890,6985,7225,0.2149
2013-07-08,SR000181,1138,16699,3281,12,378,736,400,23.73,93.55,252,12389,47.76,26.72,499,5405,18819,6607,0.1845
2013-07-15,SR000182,3166,13592,1175,1264,143,412,328,34.34,69.41,123,17127,37.79,64.35,4848,297,10374,9111,0.8799
2013-07-22,SR000183,220,13106,2625,401,227,2308,129,6.06,57.15,207,17909,59.38,10.82,236,2409,11560,43,0.9392
2013-07-29,SR000184,6328,8313,1591,866,589,2595,25,7.47,60.6,231,4597,49.38,59.87,150,388,24653,8331,0.4252
2013-08-05,SR000185,627,17128,1898,1641,347,1138,65,20.95,48.88,142,15780,64.96,33.26,3828,6150,2710,911,0.26
2013-08-12,SR000186,1358,10735,2078,1125,1181,88,319,34.55,95.07,251,9620,58.81,13.89,961,1326,3346,6311,0.8526
2013-08-19,SR000187,916,17077,3785,492,1109,817,388,6.98,87.85,135,7702,75.65,52.48,721,3533,7602,9836,0.3866
2013-08-26,SR000188,2343,7324,830,1617,1114,1783,369,6.61,82.92,53,9307,60.21,63.71,1023,7000,10881,3456,0.7664
2013-09-02,SR000189,6430,4835,2710,263,731,719,48,2.03,51.49,88,4351,88.46,40.07,3471,464,22270,9241,0.0963
2013-09-09,SR000190,5328,13924,470,1291,200,330,102,32.07,83.92,123,4602,30.03,24.21,3361,1542,6311,9995,0.6278
2013-09-16,SR000191,4670,7,2212,1072,474,2082,187,24.62,85.13,51,14221,56.45,30.0,1675,3412,7875,2480,0.2249
2013-09-23,SR000192,1394,16383,3940,1552,1209,81,288,1.9,60.52,203,3762,66.73,35.35,1299,1154,19711,8894,0.699
2013-09-30,SR000193,1463,1373,965,198,865,2266,60,0.79,51.1,3,14860,60.94,35.74,1171,2416,3467,2746,0.6948
2013-10-07,SR000194,3853,11837,1993,656,740,461,385,7.18,51.62,190,6160,32.33,12.33,1303,4542,10935,5909,0.7646
2013-10-14,SR000195,980,4259,2837,1486,553,593,4,0.06,62.08,107,4899,88.73,44.78,70,21,16490,9525,0.2366
2013-10-21,SR000196,5946,10346,1673,1766,301,442,38,33.91,69.63,84,12289,97.16,40.65,4038,6466,6102,9828,0.7909
2013-10-28,SR000197,2064,10936,107,210,68,328,244,12.11,88.37,161,9990,96.8,62.73,2172,3381,17875,1653,0.6432
2013-11-04,SR000198,3603,7012,2910,1763,544,503,310,13.26,51.08,234,6975,43.89,58.24,1266,3596,9450,4763,0.6552
2013-11-11,SR000199,3582,3321,564,2163,1266,897,345,24.6,97.96,130,10946,51.43,47.84,2204,4555,17432,6841,0.6031
