qol_amen_inventory_year,qol_amen_service_area_id,qol_amen_park_acres_per_1k,qol_amen_playground_count,qol_amen_trail_miles_total,qol_amen_library_branches_count,qol_amen_library_visits_per_capita,qol_amen_public_pool_count,qol_amen_recreation_program_participation,qol_amen_arts_venue_count,qol_amen_community_center_count,qol_amen_clinic_access_points_count,qol_amen_childcare_slots_per_1k,qol_amen_senior_center_count,qol_amen_public_restroom_count,qol_amen_tree_canopy_acres,qol_amen_streetlight_density,qol_amen_sidewalk_coverage_pct,qol_amen_accessibility_score_ada,qol_amen_amenity_equity_index
2015,SVC000000012,62.5171,361,405.12,84,30.542,44,0.2453,127,45,98,28.65,23,277,8776.16,176.076,54.84,6.6,0.4906
2025,SVC000000013,34.1102,398,670.05,18,6.462,25,0.9099,145,41,12,25.59,16,548,13640.38,150.66,98.3,9.27,0.6141
2015,SVC000000014,75.4013,232,440.02,95,15.719,29,0.2763,43,57,155,52.36,9,568,49595.75,211.188,81.81,39.32,0.715
2012,SVC000000015,35.8294,434,212.79,30,35.051,26,0.8485,33,24,7,11.5,38,47,23541.12,41.63,34.15,46.02,0.0511
2025,SVC000000016,31.7095,116,735.94,3,30.121,30,0.2065,25,20,79,36.47,54,422,34183.04,0.508,19.65,7.85,0.5436
2013,SVC000000017,97.3116,403,561.28,100,7.147,2,0.8635,30,57,168,7.64,28,630,395.11,246.412,72.73,91.51,0.112
2016,SVC000000018,80.2507,405,482.58,26,20.277,32,0.6912,104,79,120,47.32,29,215,19564.37,206.696,21.99,17.52,0.9676
2015,SVC000000019,61.9178,85,204.15,37,10.044,13,0.7376,119,80,29,11.85,35,421,44452.16,130.128,2.7,55.39,0.9594
2022,SVC000000020,14.6529,34,1.9,9,28.78,9,0.6651,116,49,146,110.13,3,282,10026.25,79.288,84.52,28.63,0.9845
2021,SVC000000021,90.833,103,335.41,42,4.812,25,0.8262,104,57,164,58.8,52,16,48245.64,51.225,16.71,3.68,0.2434
2023,SVC000000022,9.1241,165,67.46,2,11.366,34,0.744,4,64,64,108.18,21,664,12116.93,38.159,33.15,2.72,0.987
2012,SVC000000023,81.0152,442,354.31,2,30.915,31,0.1746,69,41,184,30.69,39,539,27055.88,238.939,87.47,90.79,0.2097
2011,SVC000000024,117.7503,323,420.95,23,7.707,34,0.0445,113,64,10,47.11,5,514,46153.05,229.878,49.9,9.13,0.5755
2025,SVC000000025,21.2264,57,539.05,68,8.299,25,0.3606,31,0,69,16.27,54,270,5400.97,123.908,56.89,26.39,0.8716
2021,SVC000000026,102.8995,149,717.66,45,16.745,7,0.2029,93,66,86,119.62,4,458,3952.39,5.772,19.04,50.28,0.9164
2012,SVC000000027,83.7546,315,571.16,43,34.922,37,0.6924,88,80,55,17.71,38,237,15803.29,121.989,5.53,55.43,0.0461
2018,SVC000000028,93.6177,195,248.06,83,35.447,30,0.1602,82,62,77,29.48,19,1,5999.76,21.349,54.6,81.41,0.7127
2024,SVC000000029,3.5348,136,801.51,21,27.815,39,0.3116,95,32,95,60.25,42,64,32297.6,59.242,86.63,13.77,0.8976
2016,SVC000000030,10.1859,356,231.37,88,24.288,37,0.1855,143,16,70,33.5,9,699,37040.67,238.735,15.48,30.5,0.5251
2022,SVC000000031,81.456,405,697.91,42,6.076,38,0.0525,139,57,57,53.37,6,256,12099.57,143.003,7.96,19.18,0.364
2025,SVC000000032,88.8171,238,190.6,21,12.693,47,0.9701,5,36,1,1.4,53,90,15052.95,73.814,91.19,59.88,0.78
2010,SVC000000033,30.2962,425,563.25,27,11.703,41,0.4843,124,62,156,24.3,28,78,20057.4,202.823,42.97,3.07,0.6557
2025,SVC000000034,33.5823,85,56.15,10,28.475,31,0.5782,142,43,34,93.78,15,156,8924.05,7.826,40.38,39.8,0.1295
2025,SVC000000035,76.4694,351,436.2,2,30.705,44,0.6502,56,5,146,105.17,52,297,17292.15,194.422,32.6,10.02,0.9156
2022,SVC000000036,49.9035,304,501.46,4,4.663,26,0.1522,126,25,134,9.22,49,64,46903.01,19.413,48.61,5.28,0.3524
2015,SVC000000037,68.7886,321,843.38,99,15.539,37,0.1814,45,18,51,107.61,30,22,6100.62,72.072,40.53,27.56,0.284
2009,SVC000000038,86.3217,164,590.07,92,30.346,24,0.8369,66,27,77,83.32,45,336,41163.19,98.022,27.57,99.64,0.0626
2013,SVC000000039,86.7958,314,151.15,27,15.735,15,0.5891,30,43,42,58.32,29,165,1591.81,192.531,92.03,29.06,0.2782
2013,SVC000000040,109.0739,154,219.54,90,11.539,9,0.6274,69,20,74,50.06,44,221,38992.03,205.694,10.78,26.11,0.3467
2022,SVC000000041,22.757,456,806.08,76,9.634,38,0.4742,17,12,162,74.08,26,675,22617.88,121.983,40.18,68.97,0.9205
2023,SVC000000042,47.2831,263,399.13,36,14.069,12,0.5112,116,73,19,110.53,25,302,12435.11,25.503,29.76,22.24,0.5557
2009,SVC000000043,50.3762,494,431.25,85,37.622,19,0.471,85,26,6,94.72,52,548,3584.27,216.739,92.64,78.4,0.6234
2010,SVC000000044,42.0883,385,325.44,45,28.109,44,0.5126,80,50,47,16.09,28,275,31353.7,230.2,51.85,57.65,0.6722
2025,SVC000000045,38.3354,191,888.23,13,13.41,43,0.8976,143,36,198,10.51,34,219,12554.52,192.461,70.02,57.33,0.4374
2025,SVC000000046,95.8055,343,435.71,32,36.55,19,0.3012,13,1,151,87.04,16,691,5741.68,143.862,82.21,79.15,0.6773
2021,SVC000000047,78.3116,377,798.45,88,28.955,35,0.1057,76,53,155,81.2,35,664,3483.59,144.513,33.73,93.67,0.3595
2015,SVC000000048,103.1247,255,346.61,50,21.29,0,0.771,20,60,158,108.62,21,458,27911.63,131.18,62.75,27.83,0.0991
2021,SVC000000049,18.0578,453,176.36,47,24.254,12,0.9871,51,38,49,112.73,60,14,44213.07,233.817,94.32,48.67,0.2444
2014,SVC000000050,8.7529,128,551.18,10,30.652,31,0.0944,145,25,65,80.05,21,547,28449.71,168.184,9.82,13.29,0.7666
2016,SVC000000051,97.882,43,867.88,35,26.945,16,0.3692,72,56,57,4.56,35,151,22117.26,170.551,45.55,56.08,0.2599
2017,SVC000000052,69.7471,175,597.24,81,6.655,45,0.6776,88,41,91,1.11,44,338,29141.54,171.158,87.33,90.25,0.989
2016,SVC000000053,61.6892,410,376.38,45,6.984,0,0.6476,126,5,44,110.12,44,468,5716.46,202.541,45.21,32.34,0.5203
2022,SVC000000054,52.3953,187,835.74,54,21.696,13,0.8293,80,9,71,86.34,30,379,15290.46,217.577,81.51,71.35,0.7394
2018,SVC000000055,58.8754,85,814.7,3,37.881,12,0.7196,81,67,191,61.18,45,12,17640.45,5.782,91.76,42.4,0.9939
2014,SVC000000056,113.7535,310,766.53,65,20.174,34,0.3397,29,4,28,53.51,39,394,7432.39,129.53,96.13,26.44,0.3779
2022,SVC000000057,81.4256,327,484.45,64,28.152,33,0.7435,140,42,125,29.93,39,248,13983.05,71.761,55.53,4.37,0.9126
2019,SVC000000058,113.9347,395,91.64,13,27.045,34,0.8654,88,18,120,53.54,7,633,9915.56,103.98,45.39,42.32,0.9834
2009,SVC000000059,108.9168,374,767.79,16,6.998,29,0.36,55,38,169,60.26,47,149,726.74,128.019,6.99,70.92,0.1383
2019,SVC000000060,38.7929,436,655.95,62,9.88,1,0.7943,115,58,86,23.99,44,469,20945.04,138.384,20.11,41.66,0.0979
2009,SVC000000061,17.948,30,852.74,82,20.424,44,0.852,76,56,65,46.28,26,571,23411.77,223.585,66.31,97.59,0.7754
2022,SVC000000062,75.7891,350,791.72,79,32.461,24,0.1961,45,18,74,11.41,45,255,15793.02,213.367,21.97,25.25,0.4343
2021,SVC000000063,10.2882,136,669.38,19,8.161,39,0.2894,82,69,53,55.57,56,432,14515.08,226.454,92.2,69.45,0.579
2019,SVC000000064,88.4743,466,46.03,87,20.145,41,0.037,21,53,98,36.3,56,210,747.67,45.97,89.5,36.39,0.4899
2019,SVC000000065,47.0414,5,44.82,67,10.137,45,0.9453,113,71,68,19.91,33,623,45322.14,166.631,60.79,49.65,0.4639
2022,SVC000000066,34.5815,191,872.36,74,21.636,36,0.3021,142,38,29,44.6,16,180,41097.17,194.855,88.87,11.98,0.6315
2020,SVC000000067,5.5686,242,313.49,43,37.904,24,0.5926,106,37,46,78.33,50,544,44073.53,163.78,67.5,52.79,0.3637
2015,SVC000000068,88.1227,102,340.96,53,20.803,40,0.3975,36,75,75,33.98,12,169,23097.31,190.031,75.22,34.73,0.557
2019,SVC000000069,34.4988,154,642.86,26,32.339,6,0.6931,76,40,59,58.45,48,684,29838.5,146.628,21.52,82.47,0.0654
2012,SVC000000070,36.6309,191,325.28,87,1.861,48,0.7942,12,24,10,50.27,7,455,7391.72,165.635,25.09,10.18,0.5852
2021,SVC000000071,3.964,449,106.07,4,17.685,8,0.8695,12,80,172,82.78,5,76,32496.34,137.177,45.9,57.01,0.3271
2023,SVC000000072,73.7011,21,846.09,62,34.385,15,0.5406,31,79,154,76.21,44,394,9101.79,146.195,10.53,25.3,0.3835
2012,SVC000000073,9.1072,340,748.57,90,22.283,44,0.7595,81,1,126,112.13,37,139,41137.87,226.476,23.27,82.57,0.1238
2014,SVC000000074,86.5223,117,138.12,31,19.924,39,0.2327,50,56,141,18.16,19,670,23641.99,216.64,73.07,36.18,0.5647
2012,SVC000000075,25.9814,393,233.24,30,18.617,9,0.6748,143,70,149,107.89,51,661,14186.84,103.428,15.4,79.86,0.6489
2014,SVC000000076,40.8295,85,594.46,9,17.64,36,0.2229,52,17,100,23.07,8,475,20736.75,197.347,82.0,63.59,0.683
2014,SVC000000077,119.3476,365,40.05,92,14.976,37,0.0333,86,17,193,72.77,52,143,1495.84,8.805,49.68,92.36,0.0766
2016,SVC000000078,103.8137,184,783.85,78,5.297,1,0.0187,13,1,179,75.78,47,29,31347.83,69.464,5.91,18.82,0.791
2016,SVC000000079,93.0218,281,384.72,18,32.083,19,0.4444,64,62,168,18.09,2,79,34025.65,236.723,63.53,1.15,0.2419
2022,SVC000000080,54.9059,371,801.23,89,9.355,10,0.5489,32,71,141,17.27,33,679,42290.06,69.179,72.69,74.89,0.0796
2016,SVC000000081,104.04,37,894.27,44,34.367,40,0.3889,26,76,71,108.03,55,241,19735.89,229.858,42.33,58.8,0.8602
2019,SVC000000082,48.0791,222,295.76,12,30.846,4,0.2845,28,57,155,36.09,14,527,25870.63,113.162,90.41,98.57,0.1267
2015,SVC000000083,44.3772,332,548.5,63,13.558,43,0.4942,96,67,198,23.68,36,395,39037.9,222.719,13.86,70.19,0.8112
2024,SVC000000084,7.4823,90,522.17,62,16.58,50,0.3723,132,21,70,21.96,11,210,10071.69,123.121,86.52,92.27,0.7524
2009,SVC000000085,45.7454,244,884.69,85,32.608,18,0.081,53,17,32,110.99,59,375,48323.33,102.529,21.94,58.65,0.8322
2022,SVC000000086,118.3215,401,354.69,35,28.58,12,0.3851,123,41,44,112.04,35,361,1429.07,106.768,74.98,28.41,0.7356
2009,SVC000000087,13.0536,403,766.18,88,7.105,45,0.1099,68,80,156,38.92,53,606,38697.84,135.173,17.59,77.23,0.7937
2025,SVC000000088,66.4427,387,324.06,19,10.098,12,0.9497,103,23,200,46.55,28,663,34801.44,127.635,56.06,58.5,0.0438
2017,SVC000000089,75.8378,177,864.14,77,20.363,44,0.4243,89,6,129,67.05,54,69,20828.48,101.556,85.03,43.01,0.9907
2015,SVC000000090,87.4659,500,352.75,59,21.776,31,0.9194,94,77,143,8.74,0,631,46528.52,160.73,71.88,46.07,0.3619
2018,SVC000000091,48.371,81,571.5,41,24.355,48,0.1435,19,38,52,41.04,44,289,14411.61,168.728,96.43,42.04,0.7816
2013,SVC000000092,39.9241,131,385.5,74,4.367,12,0.4464,45,23,52,15.3,54,106,31834.11,148.165,76.79,80.72,0.053
2024,SVC000000093,27.0932,363,570.34,13,9.027,5,0.8856,64,24,102,4.14,42,253,17933.46,156.366,92.24,96.31,0.6455
2015,SVC000000094,67.9103,351,829.86,63,4.902,1,0.699,16,17,145,6.94,4,496,12166.76,106.568,4.37,44.01,0.2724
2016,SVC000000095,89.7544,138,13.53,100,30.964,29,0.7502,51,31,68,75.99,54,300,12604.86,190.537,93.29,11.52,0.0748
2016,SVC000000096,41.2485,170,38.31,19,37.95,16,0.5745,91,70,142,16.5,14,169,33806.97,144.514,9.3,33.67,0.776
2016,SVC000000097,85.8216,472,871.37,54,26.089,24,0.4094,13,14,80,55.06,30,22,2800.0,144.203,72.49,11.39,0.9136
2021,SVC000000098,107.1627,402,280.69,70,22.789,2,0.3849,14,33,49,83.84,7,88,24783.84,186.196,36.28,35.72,0.4316
2022,SVC000000099,61.3808,257,793.93,0,23.092,31,0.1251,78,13,73,39.23,54,595,35841.11,201.74,41.27,22.85,0.8385
2009,SVC000000100,69.6799,277,396.03,15,2.688,21,0.6049,116,67,122,9.57,12,393,31147.63,135.694,28.92,53.4,0.9596
2012,SVC000000101,14.902,337,868.9,27,29.057,40,0.3561,47,0,167,102.06,24,348,29147.17,0.615,88.79,36.13,0.6553
2015,SVC000000102,77.8101,66,398.51,70,29.01,20,0.0437,149,8,153,115.61,43,528,4010.58,98.375,15.25,50.4,0.43
2015,SVC000000103,49.0812,156,796.31,97,33.913,28,0.6689,74,42,108,75.62,56,553,8502.16,170.169,81.28,60.05,0.5655
2010,SVC000000104,61.7823,255,579.07,91,22.847,8,0.3041,98,2,136,40.97,57,430,37527.07,174.22,71.83,44.9,0.0124
2025,SVC000000105,42.1084,370,5.4,20,21.344,29,0.3127,113,3,97,109.27,26,225,25414.22,175.976,52.04,73.04,0.7718
2021,SVC000000106,105.3335,375,61.22,54,2.686,41,0.3835,39,74,66,116.87,43,475,5247.8,8.563,54.56,14.5,0.4338
2009,SVC000000107,75.7286,129,360.85,26,18.951,6,0.5,126,56,151,84.25,43,591,41105.4,212.563,11.44,45.98,0.7861
2012,SVC000000108,40.5417,251,560.66,36,27.475,17,0.8277,118,36,44,62.32,26,477,44120.0,115.639,10.34,48.14,0.4966
2016,SVC000000109,93.6348,232,488.57,11,9.043,7,0.6417,107,0,141,78.96,54,316,41695.47,159.706,16.83,22.86,0.2754
2014,SVC000000110,54.6979,308,74.71,19,31.053,24,0.0216,42,29,100,57.66,28,537,35347.49,111.382,13.31,2.95,0.2178
2017,SVC000000111,111.657,248,769.67,35,32.851,21,0.8132,129,65,79,3.89,56,167,16127.41,59.72,20.54,89.0,0.8226
2015,SVC000000112,74.7311,115,167.39,80,31.311,50,0.6384,134,60,1,75.24,39,356,44463.26,117.261,59.65,93.89,0.8098
2019,SVC000000113,89.4842,477,733.43,89,23.582,5,0.1035,60,6,122,23.4,57,96,32854.71,85.549,76.09,0.42,0.2748
2021,SVC000000114,39.5783,68,876.99,23,3.245,22,0.1401,21,39,193,22.28,1,76,34907.97,157.341,0.53,37.09,0.5719
2012,SVC000000115,88.7584,55,658.48,27,16.125,22,0.0653,29,68,116,71.5,37,408,40737.03,101.978,59.86,87.15,0.2924
2012,SVC000000116,10.2625,75,596.0,86,5.198,31,0.7147,12,17,193,51.03,10,14,10588.31,180.489,29.15,22.27,0.5285
2015,SVC000000117,57.3006,294,24.88,51,33.794,34,0.5796,97,69,163,62.42,44,691,3182.81,10.667,81.73,57.54,0.6939
2013,SVC000000118,107.5227,155,517.89,38,31.899,7,0.5009,89,21,96,6.6,49,271,15134.42,56.889,16.43,84.76,0.6029
2025,SVC000000119,24.1848,64,724.04,72,39.632,13,0.0161,4,73,9,30.35,48,429,42866.93,233.55,82.18,11.51,0.391
2011,SVC000000120,10.2289,274,408.42,11,28.091,16,0.8454,102,0,101,74.9,13,486,1864.62,32.464,64.76,99.77,0.9808
2022,SVC000000121,37.563,421,223.13,68,33.19,26,0.0048,28,18,188,32.75,10,88,16080.98,187.14,62.59,12.72,0.6038
2019,SVC000000122,87.4091,135,646.4,70,37.261,4,0.4036,92,80,20,58.79,29,530,22464.47,87.015,57.58,51.65,0.7289
2019,SVC000000123,6.0572,144,213.0,19,34.382,36,0.3894,32,30,71,108.76,48,504,38223.46,47.629,8.26,0.28,0.1037
2019,SVC000000124,43.8673,14,497.38,88,26.7,19,0.707,101,10,112,75.46,30,536,17252.01,199.245,14.82,24.02,0.5433
2010,SVC000000125,38.4924,489,99.54,28,20.592,33,0.4905,4,68,171,117.01,49,428,14112.71,169.254,45.64,75.31,0.8624
2010,SVC000000126,14.0125,130,468.27,69,29.905,6,0.5004,104,66,2,19.86,44,126,41502.83,48.388,45.33,81.4,0.8124
2011,SVC000000127,115.5126,465,547.12,29,38.631,21,0.311,89,8,105,33.07,30,183,28986.9,80.005,68.37,33.56,0.9304
2019,SVC000000128,51.1567,108,694.72,54,3.951,33,0.4055,92,48,57,11.02,9,271,36046.02,111.759,86.14,78.13,0.0926
2022,SVC000000129,14.6868,210,363.64,70,27.854,21,0.4395,124,2,92,19.76,28,581,19885.18,6.553,58.87,35.5,0.4912
2014,SVC000000130,22.5559,316,678.23,7,27.954,34,0.5456,147,27,109,70.78,54,485,25176.07,199.753,22.92,20.14,0.8803
2017,SVC000000131,46.415,381,548.65,64,31.246,50,0.995,97,11,85,90.32,35,316,29355.15,129.083,25.97,4.55,0.6747
2019,SVC000000132,19.1271,311,328.03,71,38.709,31,0.5178,39,29,148,10.67,19,85,1951.21,156.895,82.49,72.85,0.4948
2025,SVC000000133,60.2052,157,294.92,85,36.507,16,0.6166,85,18,17,72.98,47,176,24656.64,84.893,96.88,78.33,0.4545
2012,SVC000000134,53.3593,397,387.72,90,5.298,44,0.9871,9,65,122,92.0,38,423,3555.67,95.018,70.09,40.42,0.2565
2010,SVC000000135,99.1934,174,550.63,18,27.315,41,0.5561,75,20,115,58.62,27,650,1773.21,6.754,20.02,32.44,0.6565
2016,SVC000000136,77.2665,242,312.63,68,1.588,29,0.3357,8,33,77,112.34,19,376,48160.02,229.715,31.39,72.82,0.1781
2017,SVC000000137,57.6506,435,498.59,9,23.967,10,0.0215,82,53,144,107.58,42,198,10306.75,164.59,29.47,17.42,0.9823
2016,SVC000000138,0.9577,81,319.74,13,3.918,8,0.9965,86,48,39,33.32,18,468,7666.04,205.153,59.17,19.93,0.291
2016,SVC000000139,3.9768,228,277.43,36,19.718,41,0.4347,125,1,13,52.86,25,658,3257.52,115.756,58.74,51.18,0.4095
2024,SVC000000140,27.0099,365,702.23,76,25.199,16,0.046,118,44,62,45.39,33,669,39159.16,199.565,5.53,38.55,0.3325
2019,SVC000000141,8.152,437,734.02,40,36.053,19,0.4218,131,58,54,119.78,8,664,124.76,212.216,88.84,61.74,0.7798
2016,SVC000000142,26.8551,402,852.66,77,13.161,4,0.1083,98,63,70,89.35,24,208,40915.21,50.617,20.02,75.48,0.8637
2010,SVC000000143,16.0812,462,88.18,91,16.072,40,0.8726,64,73,127,44.61,26,135,41619.78,206.583,91.0,0.21,0.2804
2010,SVC000000144,81.3553,220,833.87,8,27.386,41,0.2025,110,37,172,118.49,56,6,23305.52,102.264,26.52,66.59,0.7789
2024,SVC000000145,22.8454,474,763.36,28,36.858,42,0.1422,102,44,51,29.63,17,2,40254.95,187.781,60.52,44.39,0.0806
2015,SVC000000146,93.0445,76,217.35,32,13.084,23,0.3969,79,33,16,25.92,26,654,28028.35,149.233,29.88,40.3,0.2426
2023,SVC000000147,70.4056,183,840.93,23,34.336,35,0.4695,55,36,91,89.86,42,652,37069.67,241.494,56.51,95.8,0.8121
2023,SVC000000148,45.7167,498,521.26,24,21.664,1,0.9392,64,72,148,12.1,8,329,20468.8,158.403,57.35,23.21,0.6164
2023,SVC000000149,44.1158,251,777.92,33,9.63,45,0.8762,76,6,166,2.61,19,571,16595.05,49.019,98.21,60.42,0.7648
2010,SVC000000150,118.3889,476,731.14,3,21.763,10,0.9639,148,62,12,75.95,52,22,35165.45,150.303,40.62,67.57,0.7373
2023,SVC000000151,69.788,28,722.81,67,4.895,31,0.6598,87,60,164,8.68,60,297,40963.33,31.181,64.62,40.72,0.2954
2022,SVC000000152,3.0521,332,230.53,57,26.3,36,0.5054,48,70,139,65.99,58,276,11405.75,39.616,13.97,58.65,0.9844
2013,SVC000000153,28.6832,425,608.98,7,13.766,2,0.4668,118,26,7,79.97,55,543,13669.14,201.092,61.51,8.75,0.4841
2010,SVC000000154,110.4513,439,236.97,12,26.937,15,0.4188,2,2,177,34.37,9,655,39302.3,232.982,53.18,70.22,0.5457
2015,SVC000000155,45.6464,119,373.63,2,8.676,44,0.2557,82,41,14,30.78,5,231,15420.47,81.988,14.72,10.14,0.1166
2020,SVC000000156,10.9265,166,544.18,29,27.434,14,0.607,26,12,44,55.22,5,276,9231.37,55.108,35.16,42.85,0.0989
2017,SVC000000157,93.1076,495,641.04,44,2.355,17,0.9625,6,27,6,71.06,14,434,29606.92,150.79,45.03,26.4,0.0361
2018,SVC000000158,2.6447,185,10.5,40,17.976,5,0.1576,145,26,95,106.38,48,99,35837.38,247.058,48.1,87.01,0.7108
2016,SVC000000159,26.0018,171,750.85,57,10.336,24,0.2454,104,30,84,30.79,13,158,30745.45,2.752,2.21,95.1,0.9823
2009,SVC000000160,86.4519,64,368.58,32,14.18,31,0.6265,129,75,20,96.49,23,123,44157.59,236.653,47.66,42.12,0.9184
2020,SVC000000161,89.172,496,134.13,24,19.183,34,0.9285,84,8,133,15.29,12,161,18339.99,14.055,38.26,1.88,0.5839
2020,SVC000000162,12.4671,203,314.84,69,24.2,29,0.6807,40,10,117,90.31,10,497,23884.16,199.294,43.92,52.35,0.6433
2018,SVC000000163,83.6122,198,830.12,54,37.14,1,0.6663,134,16,39,80.93,25,375,45343.69,57.409,3.8,52.35,0.2238
2010,SVC000000164,83.3753,482,38.44,2,1.463,1,0.5919,4,24,130,36.58,55,22,40374.9,155.532,27.78,47.0,0.9164
2020,SVC000000165,41.6234,10,524.07,42,25.202,16,0.8219,106,11,129,79.63,4,389,8804.81,179.705,55.09,88.83,0.4258
2025,SVC000000166,107.1685,462,114.27,78,10.975,16,0.3662,9,48,159,35.8,1,485,39798.79,140.582,4.42,63.21,0.7725
2017,SVC000000167,14.5766,1,57.48,80,31.315,37,0.9998,48,27,34,13.67,55,332,40634.07,69.055,21.41,33.23,0.396
2010,SVC000000168,93.0607,70,587.88,62,6.877,42,0.0647,66,50,144,17.22,53,271,33128.36,97.021,26.11,8.5,0.1547
2014,SVC000000169,38.2388,78,111.45,75,20.682,33,0.8094,65,33,97,82.77,25,639,31992.02,26.995,58.59,34.69,0.6127
2021,SVC000000170,112.5329,127,346.52,81,32.898,7,0.9527,27,6,158,69.54,38,511,27752.39,3.283,11.77,56.83,0.7642
2011,SVC000000171,76.446,344,779.99,85,23.412,16,0.6569,43,57,119,4.98,45,376,45521.4,237.879,8.5,99.39,0.2778
2016,SVC000000172,115.4411,33,432.94,81,24.956,18,0.8628,31,24,145,2.41,50,296,2318.8,231.145,7.26,5.51,0.4943
2022,SVC000000173,114.1662,361,402.59,5,4.526,18,0.1302,8,79,31,29.73,37,528,4749.55,5.985,61.12,89.52,0.5862
2012,SVC000000174,101.9633,178,769.84,41,24.446,9,0.0012,28,71,119,39.1,6,168,18728.09,63.774,64.97,41.65,0.9953
2015,SVC000000175,20.8634,226,70.57,72,5.639,40,0.454,19,52,8,81.11,34,480,36.56,198.246,23.45,84.44,0.8087
2013,SVC000000176,26.6055,340,128.7,34,4.058,17,0.9931,114,31,144,16.9,29,513,1283.71,13.447,12.52,44.12,0.5763
2024,SVC000000177,74.0436,471,436.53,73,32.606,20,0.6425,135,68,46,20.3,20,274,4699.16,147.231,83.73,91.44,0.6397
2023,SVC000000178,30.0187,128,593.5,5,33.962,29,0.7379,50,61,158,72.9,42,62,10478.61,118.647,12.91,68.56,0.2304
2022,SVC000000179,12.7058,327,519.69,12,12.861,25,0.2661,98,19,104,100.61,15,458,1765.54,51.895,26.02,66.42,0.2913
2018,SVC000000180,105.0579,6,716.39,51,6.738,5,0.3527,45,46,38,76.84,46,186,32513.05,202.508,69.34,34.44,0.3352
2016,SVC000000181,22.524,187,113.48,40,38.195,25,0.4072,113,78,62,36.5,23,600,31533.3,159.874,93.98,89.74,0.5349
2016,SVC000000182,69.1031,206,79.72,78,36.891,2,0.7086,128,61,199,24.31,51,574,37202.79,178.857,94.21,66.6,0.2508
2021,SVC000000183,67.1962,398,178.84,52,6.21,21,0.6678,89,44,4,81.62,35,625,39723.84,123.025,23.08,89.56,0.1254
2021,SVC000000184,40.6863,283,845.74,67,24.745,4,0.272,64,52,134,91.48,30,617,27674.98,176.387,72.34,52.91,0.1433
2025,SVC000000185,78.9474,138,400.87,52,36.963,27,0.3494,139,69,187,108.5,8,414,44924.67,154.336,81.93,30.31,0.1745
2021,SVC000000186,116.8285,256,888.38,45,4.749,26,0.908,113,63,128,27.35,31,372,190.96,47.819,99.05,91.48,0.1353
2017,SVC000000187,12.3306,464,305.23,87,39.872,22,0.4858,84,12,140,17.63,30,662,4110.89,149.942,56.48,79.07,0.5351
2019,SVC000000188,93.2607,39,809.83,81,22.921,3,0.5562,24,58,38,51.4,8,272,19916.87,213.507,22.46,69.76,0.5193
2009,SVC000000189,61.4078,470,845.09,74,12.689,27,0.8801,27,42,27,97.09,14,514,16009.46,79.26,48.12,32.34,0.3117
2013,SVC000000190,77.6599,222,329.29,22,10.803,48,0.5379,136,40,198,35.94,50,280,2601.64,51.044,29.38,18.07,0.7219
2019,SVC000000191,18.217,115,649.06,79,1.654,19,0.4245,2,12,196,98.34,16,593,23343.7,173.214,49.83,10.03,0.6616
2025,SVC000000192,92.4571,337,444.07,62,19.554,41,0.5451,79,10,79,6.69,3,97,43671.44,127.962,48.64,44.04,0.8031
